Fp1   1,4087 1,4938 1,3483 0,9845 0,4971 0,0380 -0,2297 -0,1964 0,1779 0,8977 1,9319 3,1784 4,4696 5,6417 6,6115 7,3908 8,0104 8,4239 8,4977 8,0860 7,0968 5,5214 3,4626 1,1565 -1,0627 -2,8789 -4,1238 -4,8041 -5,0181 -4,8597 -4,3653 -3,5267 -2,3823 -1,1014 0,0354 0,7335 0,7770 0,0955 -1,1967 -2,8212 -4,4342 -5,7602 -6,6636 -7,0988 -7,0297 -6,4304 -5,3414 -3,8872 -2,2327 -0,5215 1,1423 2,6662 3,9529 4,9187 5,5356 5,8659 6,0563 6,2816 6,6590 7,1795 7,7221 8,1519 8,4154 8,5626 8,7017 8,9116 9,1558 9,2778 9,1048 8,5790 7,8078 7,0063 6,3991 6,1507 6,3434 6,9805 8,0017 9,3160 10,8364 12,4769 14,1254 15,6426 16,8869 17,7392 18,1342 18,1029 17,7736 17,2934 16,7506 16,1830 15,6080 15,0001 14,2840 13,3933 12,3240 11,1329 9,9089 8,7411 7,6931 6,8087 6,1421 5,7501 5,6230 5,6300 5,5475 5,1313 4,1701 2,5458 0,3054 -2,3449 -5,1573 -7,9553 -10,6322 -13,0822 -15,1911 -16,9112 -18,3080 -19,4894 -20,4978 -21,2824 -21,7588 -21,8791 -21,6662 -21,2119 -20,6351 -20,0275 -19,4290 -18,8350 -18,2119 -17,5242 -16,7582 -15,9108 -14,9491 -13,7973 -12,3709 -10,6222 -8,5692 -6,2877 -3,8621 -1,3422 1,2480 3,8840 6,5373 9,1696 11,7053 14,0369 16,0909 17,8685 19,4071 20,7382 21,8879 22,8814 23,7201 24,3630 24,7378 24,7680 24,3998 23,6218 22,4703 21,0090 19,2904 17,3548 15,2647 13,1151 11,0158 9,0739 7,3844 6,0286 5,0637 4,5000 4,2872 4,3180 4,4324 4,4599 4,3188 4,0629 3,8137 3,6668 3,6445 3,7040 3,7814 3,8210 3,7810 3,6643 3,5568 3,5992 3,9073 4,5095 5,3293 6,2140 7,0051 7,6052 7,9932 8,1806 8,1342 7,7459 6,8912 5,5127 3,6722 1,5505 -0,6278 -2,6903 -4,5477 -6,1723 -7,5795 -8,8032 -9,8406 -10,6396 -11,1698 -11,4731 -11,6238 -11,6853 -11,7263 -11,8248 -11,9988 -12,1450 -12,0970 -11,7596 -11,1618 -10,3981 -9,5524 -8,6644 -7,7372 -6,7783 -5,8311 -4,9487 -4,1265 -3,2658 -2,2148 -0,8572 0,8299 2,7759 4,8343 6,7992 8,4481 9,6111 10,2118 10,2697 9,9064 9,3288 8,7487 8,2970 7,9924 7,7490 7,4335 6,9696 6,3847 5,7391 5,0543 4,3223 3,5314 2,6566 1,6322 0,3328 -1,3843 -3,5768 -6,1433 -8,8474 -11,4332 -13,7407 -15,7319 -17,4400 -18,9036 -20,1096 -20,9774 -21,4213 -21,4396 -21,1293 -20,6179 -19,9907 -19,2767 -18,4849 -17,6236 -16,6790 -15,6017 -14,3399 -12,8884 -11,3066 -9,7012 -8,1992 -6,9068 -5,8568 -4,9863 -4,1740 -3,3090 -2,3296 -1,2232 -0,0314 1,1505 2,2100 3,0568 3,6367 3,9298 3,9355 3,6532 3,0752 2,2071 1,1205 -0,0289 -1,0796 -1,9460 -2,6042 -3,0441 -3,2740 -3,3614 -3,4385 -3,6508 -4,0882 -4,7354 -5,4660 -6,0976 -6,4953 -6,6608 -6,7266 -6,8470 -7,0778 -7,3528 -7,5574 -7,6036 -7,4328 -6,9887 -6,2508 -5,2930 -4,2530 -3,2381 -2,2938 -1,4306 -0,6342 0,1395 0,9437 1,8072 2,7200 3,6558 4,5966 5,5134 6,3316 6,9520 7,3193 7,4578 7,4340 7,3114 7,1549 7,0480 7,0721 7,2381 7,4379 7,4925 7,2401 6,5819 5,4945 4,0113 2,1922 0,1339 -2,0033 -4,0069 -5,6532 -6,7587 -7,2406 -7,1444 -6,5951 -5,7139 -4,5841 -3,2816 -1,8979 -0,5049 0,8879 2,3069 3,7418 5,1197 6,3447 7,3359 8,0304 8,3883 8,4148 8,1737 7,7742 7,3306 6,9248 6,6093 6,4287 6,4095 6,5306 6,7259 6,9311 7,1293 7,3511 7,6262 7,9332 8,1867 8,2731 8,1037 7,6490 6,9467 6,1058 5,2998 4,7303 4,5725 4,9127 5,6889 6,6836 7,6086 8,2246 8,4222 8,2616 7,9395 7,6609 7,5275 7,5376 7,6244 7,6758 7,5759 7,2722 6,8144 6,3379 6,0053 5,9489 6,2358 6,8431 7,6527 8,4844 9,1399 9,4473 9,3214 8,8094 8,0798 7,3582 6,8612 6,7624 7,1637 8,0522 9,2892 10,6613 11,9464 12,9531 13,5518 13,6829 13,3362 12,5499 11,4361 10,1785 8,9797 7,9823 7,2235 6,6604 6,2271 5,8745 5,5814 5,3395 5,1208 4,8646 4,5160 4,0707 3,5673 3,0640 2,6418 2,4066 2,4418 2,7412 3,2010 3,6942 4,1425 4,5095 4,7589 4,8682 4,8599 4,7797 4,6763 4,6029 4,5936 4,6414 4,7151 4,7837 4,8497 4,9899 5,3339 5,9635 6,8251 7,7309 8,4145 8,5899 8,0113 6,5514 4,2670 1,3931 -1,7448 -4,8399 -7,6749 -10,1430 -12,2394 -14,0239 -15,5400 -16,7499 -17,5761 -17,9886 -18,0149 -17,7017 -17,1186 -16,3759 -15,5859 -14,7968 -13,9897 -13,1510 -12,3221 -11,5646 -10,9084 -10,3519 -9,8837 -9,4932 -9,1900 -9,0090 -8,9678 -9,0181 -9,0378 -8,8516 -8,2734 -7,1754 -5,5547 -3,5367 -1,2997 1,0081 3,2842 5,4417 7,3811 8,9763 10,1129 10,7685 11,0275 10,9905 10,7039 10,1924 9,5265 8,8302 8,2140 7,7115 7,2928 6,9249 6,6090 6,3690 6,2153 6,1236 6,0547 5,9957 5,9807 6,0751 6,3369 6,7755 7,3310 7,8874 8,2938 8,3897 8,0532 7,2427 5,9902 4,3680 2,4848 0,5007 -1,4007 -3,0952 -4,5735 -5,8837 -7,0201 -7,8845 -8,3241 -8,1782 -7,3283 -5,7478 -3,5251 -0,8581 1,9854 4,7319 7,1590 9,1155 10,5050 11,2624 11,3875 11,0051 10,3243 9,5050 8,6004 7,6200 6,5899 5,5571 4,5847 3,7411 3,0596 2,5157 2,0557 1,6187 1,1219 0,4681 -0,3965 -1,4304 -2,5106 -3,5112 -4,3839 -5,1729 -5,9681 -6,8402 -7,7850 -8,7079
Fz    1,3159 1,4319 1,3303 1,0166 0,5633 0,0786 -0,3263 -0,5686 -0,6044 -0,4157 -0,0110 0,5556 1,1849 1,7708 2,2459 2,6006 2,8541 2,9998 2,9880 2,7567 2,2641 1,5055 0,5344 -0,5238 -1,4985 -2,2396 -2,6770 -2,8278 -2,7545 -2,5138 -2,1274 -1,5930 -0,9307 -0,2214 0,4028 0,8059 0,8960 0,6540 0,1423 -0,5071 -1,1373 -1,6312 -1,9420 -2,0587 -1,9627 -1,6389 -1,1102 -0,4387 0,3032 1,0589 1,7866 2,4414 2,9720 3,3357 3,5257 3,5928 3,6345 3,7491 3,9859 4,3232 4,6873 4,9994 5,2159 5,3436 5,4283 5,5143 5,5915 5,5853 5,4135 5,0569 4,5771 4,0766 3,6513 3,3682 3,2644 3,3509 3,6155 4,0338 4,5822 5,2324 5,9327 6,6064 7,1738 7,5736 7,7771 7,7990 7,6968 7,5378 7,3634 7,1885 7,0182 6,8450 6,6455 6,3995 6,1027 5,7616 5,3907 5,0143 4,6587 4,3428 4,0837 3,8986 3,7837 3,6901 3,5304 3,2077 2,6433 1,8068 0,7409 -0,4505 -1,6520 -2,7819 -3,7970 -4,6634 -5,3478 -5,8462 -6,2038 -6,4883 -6,7394 -6,9450 -7,0572 -7,0244 -6,8234 -6,4789 -6,0532 -5,6194 -5,2361 -4,9265 -4,6679 -4,4111 -4,1182 -3,7747 -3,3605 -2,8267 -2,1162 -1,2067 -0,1333 1,0294 2,2175 3,4116 4,6178 5,8319 7,0325 8,1898 9,2655 10,2187 11,0259 11,6866 12,2055 12,5858 12,8481 13,0387 13,2065 13,3710 13,5139 13,5906 13,5499 13,3533 12,9878 12,4583 11,7753 10,9659 10,0881 9,2230 8,4557 7,8581 7,4715 7,2984 7,3081 7,4471 7,6508 7,8515 7,9790 7,9788 7,8467 7,6359 7,4186 7,2448 7,1257 7,0390 6,9485 6,8216 6,6337 6,3810 6,1038 5,8817 5,7895 5,8537 6,0389 6,2697 6,4717 6,6075 6,6814 6,7158 6,7077 6,6029 6,3185 5,7961 5,0461 4,1547 3,2405 2,3957 1,6590 1,0232 0,4553 -0,0761 -0,5704 -0,9891 -1,2953 -1,4876 -1,5890 -1,6261 -1,6354 -1,6666 -1,7448 -1,8312 -1,8430 -1,7162 -1,4414 -1,0536 -0,6053 -0,1440 0,2979 0,6974 1,0332 1,2946 1,4999 1,7055 1,9913 2,4263 3,0344 3,7818 4,5855 5,3380 5,9392 6,3245 6,4738 6,4040 6,1614 5,8193 5,4656 5,1770 4,9853 4,8564 4,7167 4,5156 4,2568 3,9677 3,6652 3,3552 3,0379 2,7000 2,3033 1,7836 1,0792 0,1727 -0,8844 -1,9773 -2,9706 -3,7727 -4,3709 -4,8140 -5,1611 -5,4342 -5,6068 -5,6391 -5,5230 -5,2957 -5,0159 -4,7285 -4,4522 -4,1955 -3,9689 -3,7729 -3,5818 -3,3505 -3,0386 -2,6292 -2,1347 -1,5951 -1,0651 -0,5874 -0,1753 0,1816 0,5065 0,8314 1,1867 1,5838 2,0066 2,4257 2,8106 3,1309 3,3547 3,4538 3,4130 3,2355 2,9430 2,5839 2,2325 1,9579 1,7915 1,7311 1,7618 1,8609 1,9875 2,0828 2,0861 1,9607 1,7189 1,4292 1,1848 1,0516 1,0329 1,0755 1,1135 1,1156 1,0907 1,0560 1,0188 0,9969 1,0373 1,1804 1,4077 1,6550 1,8784 2,0805 2,2836 2,5050 2,7561 3,0410 3,3461 3,6400 3,8929 4,1005 4,2760 4,4176 4,5034 4,5228 4,5002 4,4787 4,4965 4,5822 4,7615 5,0462 5,4034 5,7442 5,9660 6,0037 5,8404 5,4967 5,0138 4,4356 3,8028 3,1575 2,5484 2,0355 1,6894 1,5690 1,6939 2,0392 2,5548 3,1801 3,8456 4,4818 5,0439 5,5292 5,9594 6,3436 6,6661 6,9068 7,0601 7,1300 7,1187 7,0299 6,8842 6,7211 6,5784 6,4697 6,3881 6,3247 6,2760 6,2395 6,2114 6,1919 6,1935 6,2370 6,3387 6,5006 6,7014 6,8981 7,0434 7,1040 7,0661 6,9386 6,7585 6,5887 6,5049 6,5722 6,8101 7,1646 7,5205 7,7540 7,7965 7,6737 7,4848 7,3238 7,2251 7,1805 7,1708 7,1661 7,1267 7,0252 6,8665 6,6901 6,5519 6,4953 6,5335 6,6510 6,8164 6,9937 7,1434 7,2221 7,1917 7,0397 6,7972 6,5314 6,3175 6,2219 6,2932 6,5438 6,9423 7,4349 7,9657 8,4742 8,8923 9,1509 9,1946 9,0053 8,6204 8,1275 7,6325 7,2170 6,9128 6,7138 6,5997 6,5461 6,5265 6,5172 6,4913 6,4146 6,2629 6,0423 5,7870 5,5430 5,3593 5,2843 5,3474 5,5295 5,7607 5,9656 6,1074 6,1843 6,1939 6,1206 5,9490 5,6735 5,3121 4,9207 4,5743 4,3296 4,2072 4,1995 4,2942 4,4976 4,8303 5,2943 5,8433 6,3855 6,8094 7,0022 6,8630 6,3345 5,4375 4,2699 2,9608 1,6181 0,3061 -0,9442 -2,1185 -3,2071 -4,1856 -5,0011 -5,5975 -5,9513 -6,0696 -5,9718 -5,7002 -5,3330 -4,9555 -4,6051 -4,2607 -3,8891 -3,4833 -3,0542 -2,6091 -2,1541 -1,7035 -1,2819 -0,9201 -0,6431 -0,4572 -0,3484 -0,2827 -0,1968 -0,0029 0,3724 0,9396 1,6420 2,4026 3,1637 3,8858 4,5375 5,0987 5,5566 5,9035 6,1508 6,3287 6,4538 6,5117 6,4803 6,3641 6,2045 6,0555 5,9535 5,9154 5,9507 6,0589 6,2187 6,3873 6,5127 6,5549 6,5111 6,4211 6,3464 6,3397 6,4230 6,5813 6,7664 6,9079 6,9319 6,7886 6,4653 5,9798 5,3673 4,6776 3,9763 3,3307 2,7798 2,3121 1,8831 1,4643 1,0736 0,7739 0,6534 0,7905 1,2193 1,9197 2,8266 3,8464 4,8764 5,8259 6,6252 7,2200 7,5653 7,6447 7,4974 7,1935 6,7725 6,2267 5,5478 4,7663 3,9522 3,1918 2,5603 2,0979 1,8043 1,6514 1,5971 1,5813 1,5250 1,3643 1,0972 0,7873 0,5105 0,2979 0,1246 -0,0626 -0,3106 -0,6296 -0,9813
F3    0,6814 0,8943 0,9126 0,7268 0,3912 -0,0002 -0,3399 -0,5389 -0,5437 -0,3293 0,0988 0,6832 1,3182 1,8928 2,3439 2,6749 2,9198 3,0801 3,1053 2,9301 2,5122 1,8445 0,9673 -0,0165 -0,9598 -1,7289 -2,2546 -2,5350 -2,5968 -2,4601 -2,1281 -1,6020 -0,9197 -0,1829 0,4599 0,8600 0,9139 0,5947 -0,0300 -0,8064 -1,5428 -2,0900 -2,3878 -2,4347 -2,2379 -1,8125 -1,2036 -0,4802 0,2916 1,0649 1,8085 2,4899 3,0663 3,4946 3,7584 3,8863 3,9455 4,0143 4,1476 4,3475 4,5646 4,7339 4,8220 4,8542 4,8974 5,0010 5,1349 5,1895 5,0482 4,6724 4,1251 3,5285 3,0109 2,6738 2,5788 2,7433 3,1407 3,7177 4,4187 5,1907 5,9723 6,6909 7,2754 7,6704 7,8509 7,8387 7,6999 7,5083 7,3079 7,1176 6,9461 6,7808 6,5838 6,3203 5,9815 5,5792 5,1373 4,6856 4,2493 3,8426 3,4813 3,1868 2,9629 2,7716 2,5360 2,1638 1,5703 0,7087 -0,3940 -1,6403 -2,9142 -4,1330 -5,2500 -6,2244 -7,0150 -7,6143 -8,0692 -8,4448 -8,7642 -8,9899 -9,0576 -8,9238 -8,5971 -8,1402 -7,6417 -7,1757 -6,7806 -6,4569 -6,1730 -5,8839 -5,5598 -5,1931 -4,7698 -4,2478 -3,5729 -2,7155 -1,6941 -0,5636 0,6304 1,8829 3,2062 4,5885 5,9865 7,3424 8,5915 9,6723 10,5539 11,2486 11,7889 12,2066 12,5364 12,8165 13,0703 13,2911 13,4460 13,4859 13,3612 13,0400 12,5186 11,8126 10,9436 9,9485 8,8933 7,8632 6,9458 6,2144 5,7108 5,4395 5,3725 5,4594 5,6398 5,8476 6,0087 6,0618 5,9979 5,8678 5,7456 5,6879 5,7105 5,7857 5,8642 5,9012 5,8676 5,7612 5,6217 5,5168 5,5007 5,5842 5,7352 5,9002 6,0351 6,1258 6,1825 6,2141 6,1943 6,0469 5,6792 5,0407 4,1615 3,1440 2,1089 1,1413 0,2762 -0,4865 -1,1646 -1,7763 -2,3161 -2,7510 -3,0535 -3,2269 -3,2919 -3,2732 -3,2153 -3,1833 -3,2181 -3,2930 -3,3320 -3,2706 -3,0882 -2,7989 -2,4278 -1,9945 -1,5102 -0,9922 -0,4787 -0,0195 0,3561 0,6706 0,9990 1,4270 2,0017 2,7086 3,4815 4,2261 4,8478 5,2783 5,4897 5,4899 5,3154 5,0294 4,7115 4,4355 4,2381 4,0942 3,9308 3,6853 3,3465 2,9384 2,4877 2,0136 1,5237 1,0081 0,4366 -0,2421 -1,0815 -2,0995 -3,2487 -4,4164 -5,4669 -6,3045 -6,9084 -7,3202 -7,6025 -7,7953 -7,9000 -7,9034 -7,8107 -7,6526 -7,4637 -7,2590 -7,0327 -6,7807 -6,5150 -6,2487 -5,9719 -5,6523 -5,2587 -4,7807 -4,2315 -3,6416 -3,0479 -2,4796 -1,9522 -1,4741 -1,0476 -0,6653 -0,3110 0,0278 0,3494 0,6444 0,9039 1,1187 1,2749 1,3512 1,3236 1,1798 0,9321 0,6274 0,3392 0,1304 0,0196 -0,0098 0,0187 0,0797 0,1291 0,1005 -0,0721 -0,4189 -0,9055 -1,4310 -1,8707 -2,1393 -2,2290 -2,1980 -2,1196 -2,0327 -1,9383 -1,8337 -1,7338 -1,6502 -1,5621 -1,4362 -1,2748 -1,1122 -0,9633 -0,8062 -0,6119 -0,3681 -0,0738 0,2688 0,6503 1,0508 1,4528 1,8547 2,2569 2,6330 2,9293 3,1010 3,1447 3,0917 2,9876 2,8880 2,8582 2,9529 3,1701 3,4299 3,6186 3,6551 3,5134 3,2086 2,7680 2,2149 1,5791 0,9131 0,2887 -0,2168 -0,5353 -0,6304 -0,5095 -0,2085 0,2344 0,7835 1,3894 1,9901 2,5398 3,0364 3,5069 3,9670 4,4018 4,7834 5,0886 5,2948 5,3727 5,2995 5,0816 4,7606 4,3924 4,0209 3,6765 3,3852 3,1679 3,0339 2,9826 3,0128 3,1282 3,3297 3,6033 3,9154 4,2162 4,4507 4,5718 4,5500 4,3796 4,0863 3,7308 3,3987 3,1814 3,1483 3,3092 3,5963 3,8908 4,0791 4,1033 3,9913 3,8350 3,7149 3,6463 3,6027 3,5577 3,4901 3,3805 3,2248 3,0446 2,8865 2,8068 2,8454 3,0066 3,2586 3,5504 3,8285 4,0441 4,1562 4,1381 3,9876 3,7379 3,4511 3,2040 3,0787 3,1441 3,4222 3,8774 4,4419 5,0415 5,5970 6,0258 6,2503 6,2116 5,8934 5,3467 4,6844 4,0406 3,5156 3,1466 2,9226 2,8145 2,7867 2,8020 2,8280 2,8348 2,7916 2,6773 2,4935 2,2643 2,0315 1,8507 1,7801 1,8499 2,0355 2,2677 2,4809 2,6491 2,7719 2,8401 2,8292 2,7186 2,4989 2,1841 1,8261 1,4961 1,2504 1,1142 1,0833 1,1450 1,3083 1,6043 2,0495 2,6059 3,1757 3,6249 3,8116 3,6154 2,9774 1,9341 0,6073 -0,8534 -2,3289 -3,7503 -5,0842 -6,3126 -7,4212 -8,3834 -9,1530 -9,6915 -9,9967 -10,0869 -9,9783 -9,7008 -9,3185 -8,9048 -8,4913 -8,0592 -7,5833 -7,0648 -6,5215 -5,9719 -5,4373 -4,9452 -4,5243 -4,2022 -3,9969 -3,9013 -3,8757 -3,8521 -3,7383 -3,4351 -2,8806 -2,0915 -1,1550 -0,1719 0,7873 1,6816 2,4840 3,1748 3,7329 4,1352 4,3807 4,4984 4,5185 4,4497 4,2912 4,0605 3,8040 3,5767 3,4167 3,3399 3,3485 3,4302 3,5497 3,6496 3,6678 3,5668 3,3590 3,1060 2,8911 2,7833 2,8137 2,9662 3,1800 3,3656 3,4335 3,3261 3,0310 2,5693 1,9741 1,2825 0,5441 -0,1807 -0,8468 -1,4491 -2,0048 -2,5086 -2,9163 -3,1627 -3,1807 -2,9225 -2,3752 -1,5684 -0,5739 0,5049 1,5594 2,5056 3,2959 3,9031 4,3001 4,4725 4,4483 4,2800 3,9877 3,5462 2,9345 2,1794 1,3597 0,5824 -0,0542 -0,4946 -0,7395 -0,8312 -0,8330 -0,8215 -0,8779 -1,0584 -1,3592 -1,7164 -2,0538 -2,3368 -2,5852 -2,8484 -3,1714 -3,5677 -4,0067
F7    0,6640 0,9690 1,0459 0,8868 0,5573 0,1650 -0,1725 -0,3634 -0,3560 -0,1234 0,3360 0,9746 1,6905 2,3666 2,9256 3,3570 3,6898 3,9320 4,0357 3,9168 3,4991 2,7508 1,7123 0,5096 -0,6678 -1,6378 -2,3036 -2,6708 -2,7971 -2,7315 -2,4854 -2,0506 -1,4496 -0,7746 -0,1744 0,1969 0,2321 -0,0937 -0,7129 -1,4795 -2,2138 -2,7675 -3,0669 -3,0971 -2,8551 -2,3445 -1,6047 -0,7204 0,2071 1,0944 1,8869 2,5505 3,0604 3,4051 3,6023 3,7104 3,8126 3,9805 4,2385 4,5458 4,8144 4,9637 4,9702 4,8782 4,7720 4,7189 4,7122 4,6680 4,4929 4,1643 3,7501 3,3632 3,1053 3,0379 3,1799 3,5188 4,0274 4,6781 5,4425 6,2772 7,1145 7,8721 8,4774 8,8827 9,0754 9,0900 8,9996 8,8679 8,7121 8,5204 8,2841 7,9930 7,6299 7,1935 6,7116 6,2263 5,7741 5,3730 5,0183 4,6976 4,4138 4,1848 4,0111 3,8486 3,6163 3,2184 2,5618 1,5923 0,3450 -1,0575 -2,4807 -3,8465 -5,1270 -6,2888 -7,2738 -8,0406 -8,6051 -9,0179 -9,3072 -9,4591 -9,4498 -9,2864 -9,0164 -8,7039 -8,3975 -8,1195 -7,8727 -7,6458 -7,4095 -7,1232 -6,7552 -6,2940 -5,7338 -5,0662 -4,2893 -3,4165 -2,4770 -1,5080 -0,5324 0,4601 1,4995 2,6129 3,8164 5,1020 6,4078 7,6270 8,6765 9,5450 10,2663 10,8701 11,3681 11,7613 12,0465 12,2181 12,2708 12,1974 11,9859 11,6288 11,1367 10,5297 9,8113 8,9780 8,0554 7,1061 6,2078 5,4317 4,8252 4,4039 4,1551 4,0514 4,0661 4,1717 4,3153 4,4199 4,4308 4,3509 4,2293 4,1295 4,0951 4,1277 4,1959 4,2628 4,3002 4,3008 4,2950 4,3434 4,4970 4,7610 5,0892 5,4109 5,6742 5,8713 6,0225 6,1338 6,1635 6,0225 5,6165 4,9021 3,9268 2,8185 1,7154 0,6963 -0,2267 -1,0693 -1,8418 -2,5386 -3,1303 -3,5686 -3,8221 -3,9012 -3,8457 -3,7062 -3,5487 -3,4470 -3,4410 -3,5004 -3,5456 -3,5048 -3,3498 -3,0925 -2,7665 -2,4075 -2,0385 -1,6742 -1,3316 -1,0182 -0,7115 -0,3581 0,1053 0,7218 1,4926 2,3740 3,2874 4,1321 4,8082 5,2481 5,4283 5,3588 5,0772 4,6488 4,1542 3,6692 3,2442 2,8837 2,5548 2,2317 1,9215 1,6398 1,3851 1,1423 0,8879 0,5883 0,1938 -0,3687 -1,1757 -2,2545 -3,5435 -4,9023 -6,1731 -7,2505 -8,1080 -8,7773 -9,3098 -9,7404 -10,0692 -10,2755 -10,3471 -10,2968 -10,1606 -9,9835 -9,8001 -9,6261 -9,4597 -9,2713 -8,9976 -8,5706 -7,9651 -7,2189 -6,4141 -5,6405 -4,9609 -4,3930 -3,9167 -3,4983 -3,1109 -2,7369 -2,3614 -1,9823 -1,6194 -1,2993 -1,0361 -0,8324 -0,6878 -0,6107 -0,6234 -0,7553 -1,0251 -1,4159 -1,8674 -2,3061 -2,6797 -2,9578 -3,1194 -3,1665 -3,1450 -3,1372 -3,2284 -3,4697 -3,8496 -4,2898 -4,6808 -4,9417 -5,0618 -5,0972 -5,1258 -5,1934 -5,2941 -5,3906 -5,4389 -5,3880 -5,1789 -4,7801 -4,2358 -3,6514 -3,1226 -2,6876 -2,3341 -2,0276 -1,7293 -1,4086 -1,0570 -0,6914 -0,3324 0,0214 0,3812 0,7325 1,0330 1,2509 1,3938 1,4932 1,5745 1,6538 1,7476 1,8707 2,0121 2,1169 2,1091 1,9328 1,5725 1,0485 0,3958 -0,3574 -1,1852 -2,0422 -2,8549 -3,5283 -3,9651 -4,1036 -3,9509 -3,5740 -3,0577 -2,4730 -1,8751 -1,3037 -0,7671 -0,2353 0,3320 0,9390 1,5410 2,0724 2,4766 2,7118 2,7558 2,6178 2,3414 1,9896 1,6176 1,2572 0,9310 0,6710 0,5088 0,4510 0,4751 0,5549 0,6845 0,8738 1,1205 1,3931 1,6345 1,7775 1,7680 1,5932 1,2933 0,9439 0,6274 0,4132 0,3544 0,4844 0,7944 1,2141 1,6324 1,9497 2,1178 2,1533 2,1218 2,0883 2,0758 2,0711 2,0465 1,9683 1,8066 1,5566 1,2514 0,9563 0,7458 0,6778 0,7820 1,0520 1,4401 1,8629 2,2194 2,4168 2,4013 2,1772 1,8056 1,3832 1,0195 0,8226 0,8786 1,2140 1,7753 2,4535 3,1278 3,6928 4,0705 4,2090 4,0741 3,6606 3,0186 2,2594 1,5218 0,9148 0,4825 0,2137 0,0680 -0,0053 -0,0482 -0,0830 -0,1330 -0,2410 -0,4451 -0,7398 -1,0728 -1,3689 -1,5444 -1,5236 -1,2753 -0,8449 -0,3393 0,1334 0,5126 0,7786 0,9182 0,9212 0,7995 0,5814 0,2988 -0,0103 -0,3039 -0,5457 -0,7095 -0,7831 -0,7639 -0,6398 -0,3863 -0,0007 0,4657 0,9155 1,2311 1,2921 0,9962 0,2923 -0,7878 -2,1308 -3,5867 -5,0244 -6,3618 -7,5642 -8,6293 -9,5684 -10,3790 -11,0264 -11,4674 -11,6892 -11,7082 -11,5456 -11,2282 -10,8025 -10,3215 -9,8133 -9,2820 -8,7420 -8,2339 -7,7940 -7,4274 -7,1195 -6,8585 -6,6448 -6,4964 -6,4402 -6,4804 -6,5740 -6,6342 -6,5475 -6,2013 -5,5266 -4,5379 -3,3341 -2,0505 -0,8072 0,3101 1,2493 1,9888 2,5265 2,8730 3,0604 3,1331 3,1125 2,9885 2,7551 2,4476 2,1381 1,8930 1,7368 1,6593 1,6431 1,6747 1,7332 1,7796 1,7628 1,6392 1,4066 1,1243 0,8932 0,8044 0,8960 1,1428 1,4718 1,7837 1,9685 1,9323 1,6268 1,0554 0,2518 -0,7310 -1,8099 -2,8757 -3,8353 -4,6562 -5,3523 -5,9275 -6,3454 -6,5391 -6,4335 -5,9747 -5,1633 -4,0655 -2,7946 -1,4808 -0,2402 0,8466 1,7375 2,4115 2,8482 3,0412 3,0292 2,8792 2,6301 2,2774 1,8136 1,2597 0,6637 0,0904 -0,3949 -0,7551 -0,9968 -1,1539 -1,2707 -1,4045 -1,6225 -1,9721 -2,4461 -2,9835 -3,5135 -4,0067 -4,4854 -4,9959 -5,5738 -6,2136 -6,8552
