Fp1   -2,2633 -2,3067 -2,3598 -2,4580 -2,5920 -2,7164 -2,7731 -2,7263 -2,5934 -2,4425 -2,3459 -2,3348 -2,3970 -2,4959 -2,5802 -2,5872 -2,4550 -2,1395 -1,6325 -0,9754 -0,2512 0,4547 1,0969 1,6860 2,2594 2,8371 3,4144 3,9849 4,5394 5,0473 5,4450 5,6380 5,5420 5,1422 4,5008 3,7138 2,8702 2,0236 1,1749 0,3012 -0,5823 -1,4009 -2,0591 -2,4751 -2,5834 -2,3463 -1,7923 -1,0425 -0,2807 0,3169 0,6250 0,5719 0,1594 -0,5065 -1,2455 -1,8960 -2,3839 -2,6899 -2,7603 -2,4898 -1,7971 -0,7091 0,6215 1,9843 3,2163 4,2576 5,1277 5,8593 6,4495 6,8609 7,0530 7,0022 6,7044 6,1931 5,5599 4,9241 4,3690 3,9157 3,5410 3,1921 2,8042 2,3608 1,9409 1,6665 1,5946 1,6732 1,7914 1,8569 1,8339 1,7418 1,6308 1,5353 1,4347 1,2833 1,0820 0,8846 0,7334 0,6245 0,5408 0,4937 0,5297 0,7075 1,0712 1,6185 2,2791 2,9316 3,4588 3,7919 3,9165 3,8759 3,7829 3,7876 4,0048 4,4776 5,1972 6,1282 7,2019 8,2947 9,2420 9,9012 10,2025 10,1522 9,8160 9,2804 8,6088 7,8489 7,0720 6,3788 5,8781 5,6709 5,8278 6,3424 7,1031 7,9414 8,7303 9,4426 10,1233 10,8214 11,5388 12,2279 12,8363 13,3461 13,7731 14,1513 14,5255 14,9336 15,3848 15,8590 16,3273 16,7819 17,2371 17,6769 18,0174 18,1587 18,0660 17,7685 17,3034 16,6929 15,9583 15,1297 14,2490 13,3632 12,5072 11,6951 10,9252 10,1775 9,4081 8,5708 7,6639 6,7531 5,9366 5,2841 4,8056 4,4660 4,2174 4,0166 3,8209 3,5802 3,2442 2,7872 2,2270 1,6146 1,0134 0,4891 0,1114 -0,0504 0,0527 0,4271 1,0270 1,7630 2,5225 3,1947 3,6950 3,9719 3,9991 3,7774 3,3288 2,6709 1,8121 0,7877 -0,3032 -1,3188 -2,1243 -2,6069 -2,6755 -2,3123 -1,6455 -0,9478 -0,5242 -0,5693 -1,0973 -1,9727 -3,0010 -4,0235 -4,9658 -5,8167 -6,5725 -7,2064 -7,6755 -7,9363 -7,9583 -7,7358 -7,2836 -6,6176 -5,7466 -4,7002 -3,5611 -2,4719 -1,6081 -1,1100 -1,0064 -1,2071 -1,5701 -1,9600 -2,2483 -2,3179 -2,1231 -1,7378 -1,3145 -0,9878 -0,8069 -0,7372 -0,7122 -0,6791 -0,5995 -0,4309 -0,1491 0,2022 0,5081 0,6477 0,5671 0,2915 -0,1093 -0,5519 -0,9615 -1,2856 -1,4863 -1,5448 -1,4899 -1,3842 -1,2582 -1,0808 -0,8069 -0,4434 -0,0579 0,2619 0,4377 0,4078 0,1504 -0,2888 -0,8118 -1,3198 -1,7535 -2,1010 -2,3834 -2,6274 -2,8283 -2,9321 -2,8461 -2,4721 -1,7477 -0,6968 0,5437 1,7648 2,7743 3,4570 3,7816 3,7864 3,5522 3,1733 2,7572 2,4298 2,3016 2,4039 2,6615 2,9449 3,1602 3,2764 3,2872 3,1923 3,0110 2,7705 2,4798 2,1416 1,7811 1,4420 1,1706 1,0056 0,9515 0,9479 0,8816 0,6520 0,2408 -0,2845 -0,8304 -1,3215 -1,6997 -1,9110 -1,9063 -1,6520 -1,1444 -0,4237 0,4328 1,3342 2,1961 2,9487 3,5401 3,9408 4,1535 4,2272 4,2478 4,3007 4,4454 4,7146 5,1148 5,6156 6,1395 6,5718 6,8001 6,7564 6,4398 5,9292 5,3687 4,8976 4,5766 4,3868 4,2824 4,2170 4,1360 3,9846 3,7380 3,4056 3,0064 2,5599 2,0973 1,6580 1,2698 0,9372 0,6532 0,4236 0,2713 0,2191 0,2796 0,4552 0,7401 1,1055 1,4778 1,7629 1,9196 1,9990 2,1078 2,3377 2,7172 3,2031 3,7138 4,1780 4,5496 4,7901 4,8740 4,8269 4,7301 4,6706 4,7040 4,8634 5,1603 5,5564 5,9599 6,2714 6,4412 6,4855 6,4686 6,4679 6,5336 6,6664 6,8214 6,9161 6,8408 6,5033 5,9019 5,1612 4,4780 4,0114 3,8046 3,7909 3,8604 3,9171 3,9029 3,8094 3,6688 3,5151 3,3602 3,2145 3,1093 3,0760 3,1249 3,2686 3,5508 4,0132 4,6293 5,2907 5,8632 6,2529 6,4263 6,3839 6,1407 5,7438 5,2893 4,8941 4,6347 4,5138 4,4844 4,5064 4,5883 4,7778 5,1153 5,6008 6,1881 6,7899 7,2891 7,5742 7,5788 7,2806 6,6756 5,8026 4,7988 3,8899 3,2990 3,1578 3,4833 4,2018 5,1743 6,2200 7,1574 7,8410 8,1754 8,1205 7,7019 7,0070 6,1586 5,2796 4,4787 3,8466 3,4386 3,2607 3,2752 3,4213 3,6428 3,9060 4,1930 4,4926 4,8092 5,1709 5,6178 6,1735 6,8217 7,5131 8,1957 8,8428 9,4596 10,0738 10,7126 11,3614 11,9454 12,3728 12,5968 12,6414 12,5829 12,5004 12,4287 12,3526 12,2485 12,1193 11,9811 11,8315 11,6402 11,3695 11,0078 10,5812 10,1252 9,6462 9,1293 8,5919 8,0954 7,6852 7,3425 7,0144 6,6790 6,3699 6,1479 6,0492 6,0535 6,1046 6,1714 6,2914 6,5537 7,0266 7,6919 8,4467 9,1543 9,6961 9,9986 10,0474 9,8905 9,6344 9,4260 9,4045 9,6354 10,0795 10,6367 11,2222 11,7929 12,3292 12,8450 13,4088 14,0980 14,9168 15,7663 16,4772 16,8837 16,9281 16,7087 16,4033 16,1423 15,9514 15,7840 15,5761 15,2651 14,7846 14,0810 13,1419 12,0032 10,7531 9,5419 8,5406 7,8495 7,4367 7,1622 6,8535 6,3675 5,6201 4,5953 3,3406 1,9602 0,6013 -0,5853 -1,4851 -2,0351 -2,2312 -2,1415 -1,9106 -1,7223 -1,7168 -1,9180 -2,2305 -2,5053 -2,6192 -2,5315 -2,3087 -2,1035 -2,0698 -2,2644 -2,6194 -2,9978 -3,2513 -3,2547 -2,9388 -2,3037 -1,4015 -0,3197 0,8250 1,9042 2,8014 3,4247 3,7179 3,6842 3,3944 2,9565 2,4636 1,9642 1,4729
Fz    0,2293 0,0321 -0,2335 -0,5775 -0,9757 -1,3836 -1,7545 -2,0578 -2,2907 -2,4757 -2,6364 -2,7774 -2,8893 -2,9582 -2,9627 -2,8773 -2,6919 -2,4189 -2,0802 -1,6944 -1,2695 -0,7988 -0,2667 0,3374 1,0066 1,7149 2,4295 3,1226 3,7698 4,3423 4,7965 5,0657 5,0799 4,8081 4,2735 3,5369 2,6812 1,7932 0,9375 0,1489 -0,5478 -1,1237 -1,5459 -1,7757 -1,7741 -1,5303 -1,0945 -0,5838 -0,1477 0,0884 0,0633 -0,2165 -0,6857 -1,2340 -1,7435 -2,1363 -2,3915 -2,5095 -2,4585 -2,1671 -1,5763 -0,6974 0,3770 1,5170 2,6196 3,6379 4,5636 5,3936 6,1109 6,6821 7,0663 7,2261 7,1394 6,8175 6,3156 5,7077 5,0481 4,3688 3,6999 3,0690 2,4876 1,9650 1,5376 1,2608 1,1659 1,2358 1,4215 1,6703 1,9439 2,2275 2,5258 2,8373 3,1285 3,3455 3,4537 3,4501 3,3391 3,1209 2,8134 2,4703 2,1697 1,9883 1,9819 2,1681 2,5151 2,9516 3,3985 3,7918 4,0846 4,2553 4,3258 4,3573 4,4172 4,5535 4,7891 5,1215 5,5207 5,9322 6,2917 6,5467 6,6632 6,6173 6,3992 6,0185 5,4950 4,8574 4,1575 3,4797 2,9317 2,6288 2,6685 3,0908 3,8496 4,8282 5,8909 6,9259 7,8561 8,6325 9,2277 9,6373 9,8849 10,0208 10,1132 10,2401 10,4779 10,8785 11,4517 12,1665 12,9639 13,7778 14,5561 15,2552 15,8235 16,2181 16,4364 16,5092 16,4662 16,3200 16,0713 15,7199 15,2744 14,7509 14,1610 13,5080 12,7932 12,0212 11,2029 10,3629 9,5470 8,8144 8,2100 7,7373 7,3583 7,0198 6,6860 6,3495 6,0128 5,6626 5,2689 4,8103 4,2996 3,7819 3,3142 2,9522 2,7521 2,7678 3,0360 3,5541 4,2686 5,0866 5,9080 6,6493 7,2460 7,6495 7,8292 7,7821 7,5373 7,1462 6,6688 6,1721 5,7297 5,4028 5,2180 5,1774 5,2739 5,4702 5,6655 5,7093 5,4699 4,9090 4,1005 3,1863 2,3045 1,5377 0,8986 0,3555 -0,1231 -0,5412 -0,8790 -1,1120 -1,2289 -1,2351 -1,1435 -0,9613 -0,6886 -0,3308 0,0866 0,5078 0,8549 1,0667 1,1395 1,1217 1,0682 1,0172 1,0073 1,0914 1,3046 1,6225 1,9705 2,2735 2,4937 2,6271 2,6774 2,6423 2,5264 2,3606 2,1927 2,0475 1,9058 1,7328 1,5209 1,2986 1,1130 1,0073 0,9989 1,0719 1,1974 1,3551 1,5296 1,7115 1,9133 2,1686 2,4988 2,8790 3,2383 3,4931 3,5742 3,4385 3,0805 2,5449 1,9209 1,3163 0,8254 0,4979 0,3276 0,2749 0,3042 0,4035 0,5821 0,8583 1,2442 1,7294 2,2727 2,8115 3,2826 3,6314 3,8133 3,8048 3,6147 3,2906 2,9245 2,6408 2,5533 2,7114 3,0774 3,5606 4,0728 4,5487 4,9311 5,1738 5,2601 5,2036 5,0300 4,7678 4,4462 4,0960 3,7554 3,4665 3,2482 3,0740 2,8800 2,5986 2,1955 1,6838 1,1084 0,5287 0,0120 -0,3708 -0,5532 -0,4856 -0,1525 0,4139 1,1400 1,9340 2,7062 3,3808 3,9031 4,2499 4,4364 4,5189 4,5782 4,6824 4,8629 5,1238 5,4577 5,8428 6,2368 6,5800 6,8099 6,8781 6,7696 6,5222 6,2242 5,9746 5,8357 5,8215 5,9107 6,0532 6,1763 6,2106 6,1207 5,9092 5,5974 5,2113 4,7834 4,3488 3,9354 3,5578 3,2220 2,9350 2,7126 2,5803 2,5658 2,6848 2,9315 3,2718 3,6439 3,9860 4,2823 4,5742 4,9224 5,3598 5,8751 6,4242 6,9524 7,4127 7,7696 7,9987 8,1050 8,1426 8,1986 8,3441 8,6025 8,9535 9,3515 9,7365 10,0448 10,2242 10,2498 10,1327 9,9189 9,6779 9,4780 9,3602 9,3200 9,3025 9,2196 8,9941 8,6107 8,1358 7,6814 7,3346 7,1086 6,9526 6,7913 6,5563 6,2051 5,7370 5,1928 4,6362 4,1435 3,8040 3,7048 3,8915 4,3407 4,9816 5,7351 6,5235 7,2519 7,8085 8,0987 8,0873 7,8058 7,3210 6,7094 6,0565 5,4595 5,0096 4,7608 4,7113 4,8167 5,0292 5,3259 5,6998 6,1339 6,5939 7,0346 7,3984 7,6159 7,6278 7,4141 6,9939 6,4058 5,7114 5,0183 4,4725 4,2086 4,2995 4,7349 5,4324 6,2630 7,0829 7,7682 8,2342 8,4333 8,3509 8,0109 7,4747 6,8223 6,1291 5,4587 4,8638 4,3770 4,0047 3,7368 3,5649 3,4958 3,5468 3,7293 4,0401 4,4645 4,9774 5,5435 6,1204 6,6627 7,1327 7,5179 7,8373 8,1334 8,4564 8,8439 9,2974 9,7759 10,2183 10,5725 10,8177 10,9723 11,0832 11,1960 11,3349 11,5080 11,7150 11,9335 12,1068 12,1519 11,9892 11,5783 10,9383 10,1378 9,2634 8,3985 7,6250 7,0198 6,6261 6,4276 6,3579 6,3355 6,2923 6,1866 6,0001 5,7243 5,3626 4,9526 4,5838 4,3782 4,4380 4,8018 5,4364 6,2604 7,1759 8,0871 8,9067 9,5665 10,0384 10,3480 10,5601 10,7340 10,8858 10,9982 11,0632 11,1041 11,1647 11,3034 11,5915 12,0813 12,7619 13,5459 14,2903 14,8420 15,1080 15,0978 14,8929 14,5765 14,1932 13,7564 13,2732 12,7464 12,1602 11,4844 10,7021 9,8322 8,9355 8,1067 7,4446 7,0013 6,7491 6,5921 6,4148 6,1281 5,6890 5,1002 4,4036 3,6786 3,0280 2,5348 2,2281 2,0874 2,0666 2,1084 2,1485 2,1265 2,0119 1,8327 1,6698 1,6059 1,6711 1,8303 2,0050 2,1062 2,0743 1,9096 1,6552 1,3542 1,0354 0,7267 0,4594 0,2662 0,1808 0,2245 0,3873 0,6304 0,9041 1,1529 1,3146 1,3346 1,1885 0,8875 0,4683 -0,0167 -0,5087
F3    -0,2680 -0,3814 -0,4907 -0,6109 -0,7530 -0,9375 -1,1877 -1,5054 -1,8549 -2,1746 -2,3966 -2,4651 -2,3584 -2,0979 -1,7364 -1,3427 -0,9891 -0,7394 -0,6344 -0,6756 -0,8110 -0,9349 -0,9195 -0,6692 -0,1631 0,5437 1,3596 2,1959 2,9800 3,6574 4,1844 4,5115 4,5871 4,3790 3,8870 3,1475 2,2324 1,2287 0,2169 -0,7234 -1,5019 -2,0273 -2,2323 -2,0955 -1,6567 -1,0189 -0,3280 0,2629 0,6255 0,6820 0,4206 -0,1034 -0,7772 -1,4519 -1,9853 -2,2925 -2,3712 -2,2759 -2,0617 -1,7470 -1,3146 -0,7401 -0,0247 0,7944 1,6670 2,5599 3,4605 4,3520 5,1901 5,9035 6,4176 6,6809 6,6780 6,4365 6,0215 5,5028 4,9182 4,2746 3,5802 2,8629 2,1585 1,5042 0,9513 0,5603 0,3681 0,3644 0,5018 0,7284 1,0121 1,3416 1,7115 2,1046 2,4830 2,8041 3,0491 3,2207 3,3129 3,3007 3,1692 2,9433 2,6880 2,4895 2,4378 2,5971 2,9649 3,4621 3,9768 4,4162 4,7297 4,9120 4,9959 5,0290 5,0488 5,0813 5,1544 5,2958 5,5102 5,7637 6,0073 6,2111 6,3585 6,4219 6,3687 6,1823 5,8610 5,4116 4,8587 4,2515 3,6587 3,1661 2,8714 2,8580 3,1613 3,7589 4,5886 5,5684 6,6068 7,6098 8,4906 9,1796 9,6386 9,8661 9,8967 9,8070 9,7146 9,7448 9,9824 10,4422 11,0748 11,8050 12,5670 13,2975 13,9158 14,3435 14,5486 14,5558 14,4136 14,1619 13,8208 13,3966 12,8989 12,3458 11,7550 11,1423 10,5287 9,9399 9,4010 8,9311 8,5342 8,1923 7,8720 7,5364 7,1504 6,6909 6,1635 5,6057 5,0592 4,5401 4,0431 3,5738 3,1654 2,8604 2,6862 2,6510 2,7572 3,0115 3,4204 3,9736 4,6299 5,3276 6,0077 6,6178 7,1056 7,4273 7,5600 7,5060 7,2899 6,9532 6,5499 6,1436 5,8001 5,5635 5,4350 5,3789 5,3426 5,2667 5,0856 4,7310 4,1578 3,3804 2,4839 1,5937 0,8227 0,2252 -0,2150 -0,5540 -0,8413 -1,0901 -1,2787 -1,3736 -1,3549 -1,2286 -1,0240 -0,7810 -0,5385 -0,3301 -0,1825 -0,1131 -0,1262 -0,1995 -0,2734 -0,2730 -0,1576 0,0606 0,3508 0,7003 1,1047 1,5404 1,9644 2,3297 2,5959 2,7301 2,7075 2,5193 2,1872 1,7731 1,3631 1,0253 0,7809 0,6161 0,5112 0,4489 0,4109 0,3851 0,3627 0,3266 0,2607 0,1751 0,1108 0,1226 0,2699 0,6054 1,1358 1,7839 2,4031 2,8464 3,0246 2,9141 2,5388 1,9593 1,2726 0,5937 0,0184 -0,4043 -0,6676 -0,7812 -0,7588 -0,6271 -0,4256 -0,1805 0,1105 0,4620 0,8786 1,3509 1,8550 2,3461 2,7635 3,0525 3,1819 3,1557 3,0267 2,8917 2,8487 2,9455 3,1670 3,4650 3,7949 4,1252 4,4173 4,6169 4,6763 4,5809 4,3541 4,0387 3,6686 3,2533 2,7924 2,2968 1,7839 1,2599 0,7173 0,1510 -0,4271 -0,9908 -1,5103 -1,9528 -2,2736 -2,4160 -2,3285 -1,9878 -1,4175 -0,6937 0,0752 0,7915 1,3975 1,8765 2,2345 2,4834 2,6342 2,7039 2,7303 2,7738 2,9015 3,1670 3,5923 4,1605 4,8247 5,5187 6,1572 6,6443 6,9033 6,9173 6,7391 6,4500 6,1122 5,7619 5,4227 5,1061 4,8083 4,5267 4,2762 4,0808 3,9431 3,8295 3,6837 3,4510 3,0992 2,6357 2,1184 1,6518 1,3460 1,2581 1,3617 1,5710 1,7927 1,9653 2,0747 2,1570 2,2897 2,5548 2,9883 3,5653 4,2281 4,9076 5,5241 6,0023 6,3054 6,4527 6,5078 6,5550 6,6726 6,9055 7,2524 7,6780 8,1310 8,5564 8,9041 9,1390 9,2497 9,2500 9,1735 9,0605 8,9414 8,8279 8,7084 8,5462 8,2863 7,8834 7,3385 6,7117 6,0935 5,5544 5,1087 4,7198 4,3445 3,9735 3,6352 3,3738 3,2193 3,1715 3,2127 3,3371 3,5684 3,9395 4,4528 5,0593 5,6717 6,1915 6,5317 6,6364 6,4950 6,1419 5,6369 5,0397 4,4040 3,7947 3,2974 2,9983 2,9464 3,1319 3,4986 3,9838 4,5535 5,2015 5,9251 6,7045 7,4814 8,1476 8,5714 8,6598 8,4032 7,8610 7,1183 6,2686 5,4264 4,7233 4,2756 4,1457 4,3246 4,7396 5,2777 5,8148 6,2400 6,4774 6,5004 6,3353 6,0465 5,7033 5,3492 5,0051 4,6998 4,4755 4,3519 4,2972 4,2470 4,1529 4,0174 3,8867 3,8211 3,8766 4,1032 4,5309 5,1400 5,8449 6,5221 7,0721 7,4651 7,7368 7,9492 8,1522 8,3676 8,5963 8,8331 9,0758 9,3253 9,5859 9,8685 10,1902 10,5623 10,9777 11,4108 11,8315 12,2168 12,5429 12,7643 12,8139 12,6367 12,2230 11,6030 10,8183 9,9126 8,9481 8,0059 7,1545 6,4228 5,8015 5,2676 4,8106 4,4378 4,1523 3,9311 3,7354 3,5477 3,4036 3,3871 3,5840 4,0322 4,7022 5,5166 6,3922 7,2722 8,1157 8,8735 9,5011 9,9922 10,3734 10,6634 10,8485 10,9000 10,8136 10,6316 10,4301 10,2926 10,2937 10,4842 10,8708 11,4063 11,9966 12,5251 12,8953 13,0653 13,0490 12,8917 12,6529 12,3988 12,1850 12,0218 11,8511 11,5717 11,1056 10,4497 9,6821 8,9246 8,2808 7,7842 7,3910 7,0108 6,5509 5,9560 5,2280 4,4217 3,6221 2,9178 2,3767 2,0267 1,8544 1,8254 1,8946 2,0019 2,0754 2,0507 1,8975 1,6399 1,3535 1,1284 1,0207 1,0273 1,0953 1,1542 1,1525 1,0751 0,9365 0,7649 0,5955 0,4598 0,3668 0,3062 0,2762 0,2948 0,3789 0,5264 0,7205 0,9417 1,1749 1,4061 1,6153 1,7738 1,8477 1,8073 1,6445
F7    -1,4383 -1,4925 -1,5065 -1,5206 -1,5577 -1,6179 -1,6768 -1,7001 -1,6686 -1,5921 -1,4940 -1,3857 -1,2628 -1,1175 -0,9480 -0,7599 -0,5650 -0,3775 -0,2069 -0,0508 0,1101 0,3056 0,5582 0,8647 1,1935 1,5010 1,7590 1,9682 2,1471 2,3136 2,4696 2,5890 2,6235 2,5297 2,2968 1,9553 1,5598 1,1544 0,7473 0,3252 -0,1156 -0,5513 -0,9301 -1,1861 -1,2650 -1,1540 -0,8962 -0,5757 -0,2813 -0,0772 0,0000 -0,0689 -0,2804 -0,5959 -0,9524 -1,2848 -1,5387 -1,6681 -1,6238 -1,3550 -0,8331 -0,0832 0,8060 1,7108 2,5274 3,2057 3,7359 4,1169 4,3405 4,3938 4,2683 3,9734 3,5498 3,0735 2,6372 2,3086 2,1043 2,0002 1,9564 1,9317 1,8906 1,8192 1,7391 1,6888 1,6873 1,7208 1,7589 1,7735 1,7487 1,6863 1,6026 1,5143 1,4228 1,3173 1,1972 1,0802 0,9861 0,9240 0,8984 0,9179 0,9965 1,1538 1,4110 1,7750 2,2217 2,7026 3,1726 3,6067 3,9948 4,3356 4,6342 4,8958 5,1224 5,3204 5,5066 5,7031 5,9270 6,1761 6,4229 6,6234 6,7321 6,7133 6,5481 6,2337 5,7786 5,2035 4,5470 3,8671 3,2421 2,7692 2,5420 2,6030 2,9145 3,3864 3,9321 4,5008 5,0717 5,6323 6,1646 6,6506 7,0865 7,4822 7,8520 8,2132 8,5840 8,9743 9,3802 9,7804 10,1386 10,4242 10,6350 10,7922 10,9185 11,0310 11,1447 11,2600 11,3557 11,4051 11,3916 11,3070 11,1488 10,9142 10,5901 10,1550 9,5948 8,9185 8,1695 7,4203 6,7472 6,2020 5,8002 5,5205 5,3145 5,1273 4,9245 4,7052 4,4929 4,3125 4,1733 4,0699 3,9940 3,9423 3,9197 3,9456 4,0538 4,2726 4,6022 5,0103 5,4430 5,8463 6,1852 6,4404 6,5917 6,6151 6,4907 6,2137 5,8042 5,3108 4,8077 4,3766 4,0736 3,9043 3,8314 3,8118 3,8226 3,8479 3,8451 3,7358 3,4409 2,9305 2,2490 1,5000 0,7992 0,2223 -0,2204 -0,5657 -0,8581 -1,1231 -1,3643 -1,5702 -1,7192 -1,7862 -1,7485 -1,5947 -1,3331 -0,9901 -0,5980 -0,1905 0,1951 0,5343 0,8334 1,1158 1,3839 1,6079 1,7637 1,8626 1,9286 1,9595 1,9330 1,8429 1,7179 1,6029 1,5224 1,4659 1,4074 1,3378 1,2731 1,2301 1,2048 1,1873 1,1848 1,2123 1,2679 1,3264 1,3428 1,2674 1,0781 0,8000 0,4891 0,2072 0,0151 -0,0339 0,0819 0,3264 0,6137 0,8511 0,9773 0,9724 0,8533 0,6628 0,4544 0,2791 0,1738 0,1479 0,1805 0,2355 0,2801 0,2963 0,2924 0,3096 0,4090 0,6359 0,9958 1,4589 1,9750 2,4830 2,9240 3,2569 3,4629 3,5467 3,5442 3,5217 3,5468 3,6484 3,7988 3,9337 3,9934 3,9471 3,7861 3,5112 3,1300 2,6582 2,1201 1,5470 0,9737 0,4335 -0,0431 -0,4335 -0,7376 -0,9839 -1,2095 -1,4322 -1,6411 -1,8135 -1,9336 -1,9971 -2,0028 -1,9444 -1,8063 -1,5677 -1,2163 -0,7644 -0,2505 0,2772 0,7794 1,2327 1,6325 1,9881 2,3119 2,6139 2,9030 3,1856 3,4689 3,7693 4,1024 4,4619 4,8165 5,1212 5,3264 5,3875 5,2836 5,0388 4,7217 4,4095 4,1522 3,9699 3,8670 3,8297 3,8179 3,7769 3,6618 3,4474 3,1268 2,7210 2,2865 1,8969 1,6082 1,4380 1,3718 1,3835 1,4470 1,5289 1,5832 1,5687 1,4728 1,3117 1,1078 0,8865 0,6972 0,6186 0,7191 1,0137 1,4589 1,9786 2,4945 2,9528 3,3345 3,6431 3,8929 4,1083 4,3165 4,5334 4,7618 5,0025 5,2559 5,5112 5,7391 5,9005 5,9684 5,9469 5,8676 5,7640 5,6510 5,5261 5,3793 5,1967 4,9637 4,6745 4,3470 4,0288 3,7811 3,6466 3,6258 3,6789 3,7496 3,7873 3,7545 3,6290 3,4081 3,1113 2,7826 2,4870 2,2895 2,2227 2,2739 2,4014 2,5616 2,7221 2,8576 2,9449 2,9691 2,9373 2,8788 2,8223 2,7796 2,7550 2,7603 2,8136 2,9260 3,0940 3,3036 3,5440 3,8175 4,1270 4,4614 4,7959 5,0962 5,3217 5,4383 5,4328 5,3106 5,0766 4,7240 4,2514 3,6947 3,1427 2,7104 2,4861 2,4945 2,7019 3,0439 3,4512 3,8624 4,2225 4,4818 4,6043 4,5743 4,3974 4,0989 3,7169 3,2983 2,8964 2,5615 2,3293 2,2159 2,2182 2,3163 2,4759 2,6586 2,8401 3,0211 3,2175 3,4450 3,7065 3,9892 4,2789 4,5716 4,8715 5,1889 5,5477 5,9739 6,4632 6,9670 7,4201 7,7775 8,0289 8,1936 8,3039 8,3902 8,4717 8,5563 8,6433 8,7208 8,7610 8,7217 8,5634 8,2764 7,8848 7,4178 6,8841 6,2847 5,6403 4,9986 4,4125 3,9096 3,4749 3,0671 2,6566 2,2499 1,8805 1,5856 1,3954 1,3340 1,4188 1,6564 2,0345 2,5170 3,0466 3,5588 4,0000 4,3413 4,5833 4,7514 4,8877 5,0390 5,2373 5,4865 5,7721 6,0814 6,4147 6,7776 7,1666 7,5706 7,9859 8,4178 8,8621 9,2947 9,6784 9,9820 10,2019 10,3634 10,4919 10,5872 10,6325 10,6224 10,5709 10,4836 10,3313 10,0619 9,6372 9,0582 8,3697 7,6451 6,9546 6,3344 5,7841 5,2835 4,8096 4,3440 3,8704 3,3722 2,8380 2,2782 1,7316 1,2441 0,8395 0,5153 0,2513 0,0143 -0,2391 -0,5452 -0,9094 -1,2917 -1,6154 -1,7988 -1,7984 -1,6321 -1,3722 -1,1108 -0,9139 -0,7948 -0,7273 -0,6753 -0,6016 -0,4658 -0,2324 0,1191 0,5903 1,1548 1,7552 2,3190 2,7776 3,0756 3,1830 3,1119 2,9179 2,6746 2,4392 2,2383 2,0800
