Fp1   0,3712 0,3604 0,2994 0,2178 0,1325 0,0430 -0,0451 -0,1086 -0,1222 -0,0717 0,0476 0,2248 0,4250 0,6076 0,7557 0,8780 0,9867 1,0822 1,1421 1,1188 0,9714 0,7088 0,3885 0,0720 -0,2124 -0,4659 -0,6882 -0,8613 -0,9652 -1,0037 -1,0115 -1,0334 -1,0915 -1,1713 -1,2403 -1,2786 -1,2881 -1,2733 -1,2232 -1,1163 -0,9364 -0,6874 -0,3885 -0,0568 0,2988 0,6749 1,0722 1,4811 1,8571 2,1233 2,2148 2,1154 1,8537 1,4823 1,0678 0,6829 0,3906 0,2242 0,1848 0,2544 0,4081 0,6258 0,9033 1,2420 1,6232 1,9988 2,3091 2,5143 2,6114 2,6233 2,5765 2,4836 2,3385 2,1322 1,8823 1,6388 1,4577 1,3702 1,3704 1,4207 1,4772 1,5169 1,5454 1,5842 1,6514 1,7456 1,8377 1,8820 1,8471 1,7362 1,5750 1,3931 1,2228 1,0960 1,0240 0,9840 0,9386 0,8695 0,7791 0,6591 0,4766 0,2037 -0,1478 -0,5292 -0,8959 -1,2409 -1,5825 -1,9286 -2,2628 -2,5656 -2,8380 -3,0962 -3,3473 -3,5773 -3,7598 -3,8756 -3,9267 -3,9390 -3,9517 -3,9963 -4,0836 -4,2154 -4,4024 -4,6548 -4,9442 -5,1843 -5,2690 -5,1409 -4,8226 -4,3896 -3,9129 -3,4228 -2,9194 -2,3958 -1,8506 -1,3062 -0,8159 -0,4233 -0,1183 0,1496 0,4186 0,6928 0,9604 1,2106 1,4386 1,6523 1,8719 2,1200 2,4155 2,7674 3,1672 3,5877 3,9942 4,3590 4,6684 4,9216 5,1350 5,3429 5,5792 5,8511 6,1361 6,4062 6,6388 6,8084 6,8872 6,8591 6,7250 6,5032 6,2306 5,9570 5,7183 5,5135 5,3233 5,1470 5,0105 4,9387 4,9254 4,9262 4,8791 4,7385 4,4959 4,1865 3,8811 3,6534 3,5487 3,5859 3,7688 4,0775 4,4539 4,8128 5,0845 5,2480 5,3189 5,3154 5,2469 5,1307 4,9967 4,8693 4,7557 4,6481 4,5301 4,3837 4,2036 4,0115 3,8476 3,7328 3,6451 3,5394 3,3882 3,2022 3,0143 2,8454 2,6866 2,5187 2,3501 2,2188 2,1529 2,1488 2,1982 2,3129 2,5069 2,7656 3,0432 3,2865 3,4596 3,5519 3,5698 3,5272 3,4440 3,3520 3,2895 3,2873 3,3578 3,4887 3,6493 3,8123 3,9719 4,1327 4,2781 4,3562 4,3079 4,1144 3,8210 3,5168 3,2885 3,1899 3,2347 3,3894 3,5712 3,6771 3,6427 3,4760 3,2279 2,9492 2,6837 2,4735 2,3480 2,3186 2,3824 2,5143 2,6614 2,7696 2,8169 2,8093 2,7526 2,6452 2,4903 2,3055 2,1190 1,9553 1,8219 1,7119 1,6134 1,5188 1,4275 1,3370 1,2450 1,1694 1,1464 1,1972 1,3159 1,4853 1,6848 1,8853 2,0556 2,1877 2,3092 2,4555 2,6338 2,8214 2,9851 3,0961 3,1399 3,1217 3,0733 3,0467 3,0776 3,1462 3,1862 3,1465 3,0408 2,9322 2,8802 2,9053 2,9859 3,0813 3,1609 3,2201 3,2760 3,3489 3,4495 3,5721 3,6883 3,7586 3,7589 3,6987 3,6222 3,5896 3,6486 3,8135 4,0539 4,2968 4,4618 4,5042 4,4332 4,3001 4,1689 4,0808 4,0351 3,9987 3,9339 3,8274 3,7004 3,5903 3,5248 3,5117 3,5380 3,5751 3,5973 3,6047 3,6204 3,6586 3,6958 3,6874 3,6164 3,5089 3,3996 3,3138 3,2786 3,3080 3,3734 3,4117 3,3735 3,2594 3,1171 3,0119 2,9940 3,0745 3,2246 3,3997 3,5618 3,6844 3,7501 3,7522 3,6979 3,6019 3,4768 3,3339 3,1986 3,1174 3,1366 3,2650 3,4547 3,6236 3,7056 3,6862 3,5918 3,4542 3,2997 3,1547 3,0405 2,9637 2,9183 2,8926 2,8723 2,8446 2,8071 2,7624 2,7049 2,6287 2,5420 2,4583 2,3789 2,2993 2,2314 2,2066 2,2535 2,3803 2,5799 2,8294 3,0737 3,2348 3,2568 3,1328 2,8937 2,5876 2,2657 1,9671 1,7142 1,5203 1,3973 1,3506 1,3666 1,4080 1,4185 1,3392 1,1383 0,8234 0,4280 0,0050 -0,3674 -0,6085 -0,6748 -0,5705 -0,3307 -0,0026 0,3653 0,7295 1,0481 1,2865 1,4361 1,5206 1,5743 1,6191 1,6634 1,7105 1,7631 1,8247 1,8950 1,9604 1,9988 2,0008 1,9872 2,0007 2,0776 2,2315 2,4585 2,7348 3,0033 3,1885 3,2391 3,1539 2,9664 2,7153 2,4342 2,1555 1,9168 1,7649 1,7449 1,8673 2,0870 2,3272 2,5261 2,6591 2,7317 2,7697 2,8050 2,8590 2,9373 3,0336 3,1279 3,1890 3,1829 3,0818 2,8778 2,5945 2,2687 1,9249 1,5778 1,2429 0,9302 0,6415 0,3738 0,1147 -0,1546 -0,4432 -0,7483 -1,0686 -1,4057 -1,7574 -2,1227 -2,4974 -2,8571 -3,1687 -3,4250 -3,6393 -3,8082 -3,9000 -3,8766 -3,7247 -3,4758 -3,1969 -2,9496 -2,7536 -2,5920 -2,4397 -2,2838 -2,1350 -2,0238 -1,9771 -1,9872 -2,0035 -1,9660 -1,8518 -1,6839 -1,5089 -1,3733 -1,2974 -1,2563 -1,2014 -1,1055 -0,9797 -0,8495 -0,7132 -0,5298 -0,2519 0,1299 0,5762 1,0254 1,4259 1,7466 1,9676 2,0863 2,1318 2,1567 2,2112 2,3289 2,5246 2,7897 3,0811 3,3235 3,4412 3,3950 3,1917 2,8601 2,4310 1,9402 1,4361 0,9780 0,6210 0,3885 0,2595 0,1915 0,1547 0,1359 0,1181 0,0786 0,0085 -0,0802 -0,1680 -0,2373 -0,2774 -0,2939 -0,3085 -0,3369 -0,3774 -0,4279 -0,5005 -0,6070 -0,7400 -0,8738 -0,9772 -1,0244 -1,0082 -0,9448 -0,8653 -0,8088 -0,8173 -0,9128 -1,0779 -1,2678 -1,4341 -1,5455 -1,6101 -1,6798 -1,8115 -2,0046 -2,1887 -2,2852 -2,2682 -2,1678 -2,0316 -1,8871 -1,7303 -1,5399 -1,2989 -1,0018 -0,6561 -0,2938 0,0283
Fz    0,0250 -0,0966 -0,1920 -0,2380 -0,2240 -0,1628 -0,0725 0,0416 0,1819 0,3477 0,5356 0,7305 0,8942 0,9861 0,9981 0,9547 0,8855 0,8126 0,7470 0,6717 0,5439 0,3360 0,0672 -0,2131 -0,4626 -0,6587 -0,7959 -0,8821 -0,9368 -0,9870 -1,0567 -1,1526 -1,2594 -1,3482 -1,3900 -1,3681 -1,2806 -1,1325 -0,9325 -0,6944 -0,4345 -0,1687 0,0900 0,3381 0,5803 0,8300 1,1137 1,4522 1,8230 2,1537 2,3589 2,3827 2,2149 1,8934 1,4947 1,1043 0,7897 0,5903 0,5175 0,5590 0,6889 0,8811 1,1224 1,4060 1,7133 2,0076 2,2471 2,4064 2,4853 2,4967 2,4506 2,3507 2,1993 2,0087 1,8104 1,6480 1,5537 1,5309 1,5537 1,5844 1,5985 1,5951 1,5868 1,5914 1,6241 1,6847 1,7459 1,7586 1,6819 1,5099 1,2699 1,0063 0,7657 0,5852 0,4815 0,4484 0,4661 0,5163 0,5864 0,6555 0,6872 0,6492 0,5373 0,3667 0,1463 -0,1244 -0,4324 -0,7383 -1,0004 -1,2107 -1,4001 -1,6088 -1,8555 -2,1248 -2,3775 -2,5741 -2,6987 -2,7701 -2,8338 -2,9382 -3,1062 -3,3290 -3,5795 -3,8277 -4,0351 -4,1451 -4,1023 -3,8896 -3,5404 -3,1165 -2,6724 -2,2321 -1,7925 -1,3380 -0,8571 -0,3654 0,0913 0,4788 0,8151 1,1543 1,5321 1,9370 2,3240 2,6462 2,8814 3,0432 3,1707 3,3082 3,4908 3,7338 4,0313 4,3668 4,7205 5,0768 5,4302 5,7850 6,1536 6,5573 7,0131 7,5126 8,0198 8,4899 8,8848 9,1718 9,3232 9,3232 9,1747 8,9055 8,5652 8,2112 7,8852 7,6021 7,3655 7,1870 7,0775 7,0248 6,9913 6,9255 6,7829 6,5464 6,2311 5,8768 5,5426 5,2886 5,1551 5,1627 5,3168 5,5968 5,9477 6,2949 6,5718 6,7403 6,7959 6,7594 6,6657 6,5588 6,4842 6,4697 6,5108 6,5756 6,6208 6,6083 6,5232 6,3894 6,2534 6,1417 6,0402 5,9159 5,7510 5,5529 5,3397 5,1175 4,8749 4,6011 4,3080 4,0272 3,7864 3,5981 3,4758 3,4444 3,5185 3,6791 3,8776 4,0642 4,2155 4,3407 4,4596 4,5753 4,6672 4,7063 4,6767 4,5890 4,4711 4,3431 4,2093 4,0774 3,9790 3,9519 3,9960 4,0554 4,0568 3,9666 3,8124 3,6611 3,5784 3,6044 3,7442 3,9604 4,1749 4,3022 4,2968 4,1685 3,9538 3,6909 3,4242 3,2024 3,0575 2,9935 2,9925 3,0248 3,0560 3,0628 3,0474 3,0266 3,0086 2,9891 2,9596 2,9089 2,8231 2,6910 2,5135 2,3083 2,0996 1,9035 1,7229 1,5516 1,3894 1,2661 1,2288 1,3034 1,4825 1,7429 2,0577 2,3948 2,7142 2,9807 3,1884 3,3569 3,4972 3,5983 3,6425 3,6233 3,5496 3,4443 3,3447 3,2955 3,3221 3,3967 3,4437 3,3990 3,2690 3,1217 3,0287 3,0217 3,0922 3,2158 3,3693 3,5353 3,7008 3,8531 3,9796 4,0685 4,1055 4,0808 4,0042 3,9057 3,8188 3,7648 3,7520 3,7860 3,8670 3,9747 4,0719 4,1302 4,1425 4,1207 4,0829 4,0375 3,9757 3,8755 3,7193 3,5197 3,3294 3,2119 3,2026 3,2944 3,4464 3,6059 3,7368 3,8394 3,9416 4,0624 4,1818 4,2522 4,2456 4,1702 4,0425 3,8771 3,7071 3,5774 3,5129 3,5056 3,5264 3,5518 3,5860 3,6585 3,7915 3,9679 4,1377 4,2559 4,3067 4,2923 4,2178 4,0909 3,9243 3,7340 3,5361 3,3493 3,2025 3,1345 3,1685 3,2851 3,4252 3,5233 3,5392 3,4750 3,3655 3,2492 3,1517 3,0860 3,0504 3,0287 3,0061 2,9782 2,9430 2,8999 2,8543 2,8074 2,7452 2,6536 2,5374 2,4120 2,2885 2,1796 2,1093 2,0989 2,1471 2,2377 2,3639 2,5189 2,6655 2,7443 2,7231 2,6152 2,4487 2,2452 2,0301 1,8398 1,7083 1,6530 1,6670 1,7215 1,7793 1,8035 1,7505 1,5723 1,2460 0,8011 0,3051 -0,1629 -0,5268 -0,7318 -0,7589 -0,6186 -0,3424 0,0175 0,3967 0,7383 1,0090 1,2066 1,3584 1,5048 1,6729 1,8579 2,0270 2,1467 2,2092 2,2324 2,2355 2,2210 2,1824 2,1269 2,0858 2,1023 2,2079 2,4129 2,7088 3,0622 3,4114 3,6867 3,8359 3,8384 3,7040 3,4644 3,1631 2,8436 2,5459 2,3164 2,2023 2,2200 2,3357 2,4875 2,6277 2,7412 2,8365 2,9335 3,0499 3,1871 3,3333 3,4744 3,5906 3,6590 3,6685 3,6180 3,5029 3,3181 3,0694 2,7745 2,4576 2,1406 1,8341 1,5389 1,2547 0,9849 0,7391 0,5245 0,3276 0,1137 -0,1484 -0,4676 -0,8386 -1,2506 -1,6848 -2,1166 -2,5209 -2,8637 -3,1015 -3,2011 -3,1518 -2,9644 -2,6795 -2,3700 -2,1104 -1,9353 -1,8310 -1,7607 -1,6939 -1,6258 -1,5799 -1,5880 -1,6539 -1,7331 -1,7644 -1,7205 -1,6128 -1,4683 -1,3220 -1,2045 -1,1160 -1,0318 -0,9394 -0,8561 -0,8016 -0,7554 -0,6502 -0,4155 -0,0270 0,4802 1,0360 1,5707 2,0368 2,4109 2,6935 2,9078 3,0868 3,2517 3,4045 3,5388 3,6526 3,7424 3,7933 3,7849 3,7077 3,5670 3,3696 3,1131 2,7969 2,4430 2,0989 1,8142 1,6110 1,4750 1,3750 1,2900 1,2154 1,1505 1,0895 1,0239 0,9419 0,8322 0,6986 0,5625 0,4380 0,3144 0,1808 0,0527 -0,0430 -0,0978 -0,1266 -0,1507 -0,1748 -0,1806 -0,1431 -0,0559 0,0604 0,1691 0,2272 0,1921 0,0430 -0,2008 -0,4903 -0,7701 -1,0031 -1,1896 -1,3627 -1,5510 -1,7419 -1,8861 -1,9386 -1,8884 -1,7579 -1,5827 -1,3899 -1,1877 -0,9702 -0,7290 -0,4593 -0,1638 0,1381 0,4132
F3    0,9187 1,0763 1,0967 1,0175 0,8625 0,6384 0,3667 0,0951 -0,1305 -0,2770 -0,3152 -0,2395 -0,0904 0,0734 0,2251 0,3739 0,5336 0,7002 0,8405 0,8935 0,8114 0,6069 0,3408 0,0625 -0,2216 -0,5168 -0,7882 -0,9629 -0,9927 -0,9022 -0,7731 -0,6865 -0,6790 -0,7413 -0,8508 -0,9979 -1,1811 -1,3752 -1,5212 -1,5512 -1,4182 -1,1177 -0,6893 -0,1955 0,3021 0,7611 1,1725 1,5426 1,8527 2,0505 2,0885 1,9561 1,6699 1,2598 0,7802 0,3152 -0,0481 -0,2554 -0,2918 -0,1650 0,1064 0,4958 0,9764 1,5186 2,0724 2,5581 2,8881 3,0171 2,9771 2,8534 2,7195 2,5860 2,4010 2,1075 1,7143 1,3086 0,9945 0,8255 0,7878 0,8280 0,8959 0,9723 1,0681 1,2068 1,4037 1,6469 1,8835 2,0342 2,0420 1,9105 1,6914 1,4535 1,2620 1,1528 1,1050 1,0513 0,9365 0,7695 0,6057 0,4777 0,3568 0,1861 -0,0564 -0,3374 -0,6158 -0,8989 -1,2277 -1,6112 -2,0015 -2,3463 -2,6450 -2,9402 -3,2614 -3,5891 -3,8586 -3,9945 -3,9557 -3,7662 -3,5071 -3,2691 -3,1176 -3,1078 -3,3041 -3,7435 -4,3628 -4,9802 -5,3825 -5,4491 -5,2068 -4,7830 -4,3044 -3,8203 -3,3044 -2,7082 -2,0169 -1,2882 -0,6405 -0,1726 0,1141 0,3032 0,4782 0,6620 0,8334 0,9780 1,1127 1,2800 1,5282 1,8924 2,3872 2,9988 3,6775 4,3444 4,9162 5,3346 5,5817 5,6782 5,6774 5,6532 5,6709 5,7562 5,8928 6,0539 6,2230 6,3831 6,5052 6,5588 6,5316 6,4418 6,3320 6,2388 6,1493 5,9991 5,7396 5,4106 5,1314 5,0137 5,0759 5,2259 5,3158 5,2219 4,9037 4,4238 3,9231 3,5492 3,3911 3,4695 3,7583 4,1967 4,6926 5,1430 5,4741 5,6700 5,7515 5,7317 5,6099 5,4125 5,2089 5,0696 5,0199 5,0336 5,0582 5,0489 4,9986 4,9468 4,9511 5,0305 5,1291 5,1394 4,9725 4,6201 4,1530 3,6565 3,1741 2,7250 2,3596 2,1554 2,1523 2,3231 2,6143 2,9911 3,4287 3,8787 4,2645 4,5129 4,5880 4,5013 4,2982 4,0418 3,8053 3,6592 3,6445 3,7526 3,9342 4,1281 4,2932 4,4329 4,5900 4,7959 5,0141 5,1386 5,0589 4,7428 4,2774 3,8248 3,5252 3,4418 3,5738 3,8658 4,1977 4,4170 4,4255 4,2315 3,9047 3,5105 3,1117 2,7934 2,6389 2,6814 2,8864 3,1653 3,4064 3,5329 3,5454 3,4943 3,4110 3,2839 3,0870 2,8146 2,4909 2,1567 1,8564 1,6287 1,4923 1,4410 1,4483 1,4668 1,4456 1,3780 1,3098 1,2897 1,3333 1,4329 1,5736 1,7276 1,8611 1,9719 2,1064 2,3133 2,5894 2,8846 3,1400 3,3161 3,4038 3,4188 3,3983 3,3995 3,4665 3,5780 3,6471 3,5988 3,4498 3,2998 3,2490 3,3239 3,4668 3,5879 3,6265 3,5766 3,4775 3,3899 3,3738 3,4569 3,6052 3,7393 3,7843 3,7090 3,5397 3,3391 3,1710 3,0840 3,0962 3,1715 3,2310 3,2101 3,1110 3,0082 2,9988 3,1349 3,3957 3,7032 3,9588 4,0867 4,0719 3,9588 3,8145 3,6917 3,6091 3,5507 3,4965 3,4584 3,4719 3,5419 3,6092 3,5918 3,4605 3,2576 3,0453 2,8738 2,7839 2,7844 2,8230 2,8137 2,7078 2,5332 2,3647 2,2711 2,2893 2,4171 2,6195 2,8541 3,0916 3,3095 3,4805 3,5755 3,5718 3,4556 3,2280 2,9228 2,6197 2,4267 2,4269 2,6261 2,9441 3,2609 3,4834 3,5819 3,5629 3,4285 3,1888 2,8924 2,6124 2,4030 2,2761 2,2096 2,1680 2,1203 2,0559 1,9838 1,9196 1,8831 1,8946 1,9472 1,9956 1,9949 1,9501 1,9150 1,9448 2,0637 2,2786 2,5817 2,9179 3,1792 3,2636 3,1351 2,8332 2,4392 2,0327 1,6645 1,3586 1,1314 1,0077 1,0093 1,1236 1,2923 1,4266 1,4366 1,2636 0,8902 0,3330 -0,3371 -0,9799 -1,4420 -1,6393 -1,5790 -1,3177 -0,9140 -0,4106 0,1530 0,7189 1,2108 1,5635 1,7555 1,8115 1,7805 1,7127 1,6450 1,5984 1,5861 1,6096 1,6435 1,6464 1,6063 1,5730 1,6281 1,8236 2,1536 2,5772 3,0300 3,4121 3,6098 3,5581 3,2722 2,8206 2,2821 1,7302 1,2348 0,8634 0,6784 0,7236 0,9943 1,4162 1,8666 2,2319 2,4554 2,5460 2,5556 2,5418 2,5422 2,5754 2,6487 2,7519 2,8503 2,8888 2,8073 2,5782 2,2330 1,8308 1,4140 1,0144 0,6713 0,4147 0,2444 0,1246 -0,0088 -0,2142 -0,5036 -0,8489 -1,2162 -1,5762 -1,9099 -2,2310 -2,5780 -2,9644 -3,3712 -3,7860 -4,2005 -4,5685 -4,8057 -4,8334 -4,6195 -4,1950 -3,6465 -3,0783 -2,5673 -2,1491 -1,8267 -1,5901 -1,4458 -1,4282 -1,5679 -1,8392 -2,1462 -2,3696 -2,4358 -2,3447 -2,1579 -1,9705 -1,8623 -1,8498 -1,8862 -1,9048 -1,8604 -1,7396 -1,5389 -1,2435 -0,8394 -0,3473 0,1698 0,6425 1,0361 1,3470 1,5693 1,6953 1,7475 1,7865 1,8842 2,0946 2,4347 2,8717 3,3234 3,6852 3,8741 3,8607 3,6615 3,3025 2,8002 2,1780 1,4895 0,8225 0,2768 -0,0782 -0,2377 -0,2475 -0,1620 -0,0351 0,0636 0,0659 -0,0434 -0,2108 -0,3576 -0,4364 -0,4510 -0,4389 -0,4336 -0,4373 -0,4340 -0,4310 -0,4673 -0,5730 -0,7319 -0,8859 -0,9666 -0,9280 -0,7757 -0,5712 -0,3994 -0,3350 -0,4265 -0,6757 -1,0205 -1,3559 -1,5840 -1,6646 -1,6442 -1,6424 -1,7741 -2,0426 -2,3185 -2,4524 -2,4009 -2,2388 -2,0720 -1,9515 -1,8552 -1,7272 -1,5231 -1,2242 -0,8356 -0,4002 -0,0025
F7    -0,3345 -0,7078 -1,0033 -1,1740 -1,1646 -0,9362 -0,5045 0,0482 0,6152 1,1125 1,4839 1,6998 1,7712 1,7364 1,6330 1,4849 1,3023 1,0850 0,8191 0,4790 0,0561 -0,4109 -0,8384 -1,1262 -1,2125 -1,1207 -0,9403 -0,7584 -0,6100 -0,4859 -0,3884 -0,3754 -0,5223 -0,8239 -1,1607 -1,3868 -1,4373 -1,3413 -1,1523 -0,8880 -0,5475 -0,1647 0,1980 0,5077 0,7823 1,0461 1,2852 1,4569 1,5118 1,4022 1,1122 0,7032 0,3051 0,0359 -0,0705 -0,0535 0,0310 0,1406 0,2566 0,3856 0,5334 0,6879 0,8444 1,0230 1,2380 1,4720 1,6911 1,8632 1,9540 1,9340 1,8118 1,6497 1,5301 1,5049 1,5740 1,7084 1,8912 2,1325 2,4341 2,7418 2,9597 3,0321 2,9932 2,9228 2,8672 2,8102 2,7068 2,5320 2,2926 2,0036 1,6682 1,2875 0,9000 0,6140 0,5658 0,8164 1,2888 1,8119 2,2016 2,3142 2,0838 1,5406 0,7929 -0,0046 -0,6838 -1,1133 -1,2657 -1,2475 -1,2281 -1,3144 -1,5031 -1,7299 -1,9359 -2,1011 -2,2519 -2,4590 -2,8075 -3,3306 -3,9671 -4,5760 -4,9747 -4,9905 -4,5491 -3,7498 -2,8399 -2,0947 -1,6906 -1,6493 -1,8664 -2,1834 -2,4508 -2,5846 -2,6150 -2,6560 -2,7841 -2,9493 -3,0081 -2,8214 -2,3370 -1,6255 -0,8382 -0,0995 0,5521 1,1165 1,5763 1,9063 2,1033 2,1867 2,1914 2,1715 2,1971 2,3300 2,6027 3,0118 3,5149 4,0394 4,5103 4,8871 5,1844 5,4511 5,7281 6,0099 6,2248 6,2703 6,0867 5,6921 5,1531 4,5311 3,8771 3,2839 2,9059 2,8756 3,1877 3,6786 4,1201 4,3544 4,3725 4,2904 4,2514 4,3338 4,5173 4,7138 4,8273 4,7993 4,6284 4,3642 4,0852 3,8691 3,7544 3,7219 3,7358 3,7995 3,9395 4,1573 4,4137 4,6232 4,6610 4,4348 3,9730 3,4200 2,9360 2,6058 2,4193 2,3093 2,1926 1,9995 1,7195 1,4399 1,3125 1,4466 1,8302 2,3464 2,8378 3,1612 3,2340 3,0504 2,6486 2,0775 1,4055 0,7324 0,1668 -0,2001 -0,3065 -0,1299 0,2962 0,8783 1,4864 1,9862 2,2668 2,2811 2,0801 1,8001 1,5969 1,5693 1,7136 1,9370 2,1229 2,2024 2,1804 2,1048 2,0209 1,9321 1,7827 1,5038 1,0897 0,6050 0,1282 -0,2764 -0,5509 -0,6592 -0,6132 -0,4527 -0,2042 0,1267 0,5230 0,9115 1,1729 1,2406 1,1741 1,0910 1,0474 1,0217 0,9762 0,8897 0,7495 0,5532 0,3280 0,1391 0,0596 0,1162 0,2563 0,3746 0,3886 0,2959 0,1623 0,0624 0,0365 0,0873 0,1927 0,3169 0,4306 0,5277 0,6152 0,7021 0,8098 0,9720 1,2094 1,5195 1,8869 2,2784 2,6267 2,8422 2,8520 2,6395 2,2575 1,7973 1,3439 0,9682 0,7464 0,7391 0,9243 1,1765 1,3519 1,3898 1,3221 1,2154 1,1353 1,1498 1,3104 1,6006 1,9259 2,1814 2,3291 2,4050 2,4792 2,6192 2,8704 3,2549 3,7662 4,3332 4,8111 5,0608 5,0455 4,8308 4,5007 4,1078 3,6928 3,2911 2,9088 2,5430 2,2361 2,0568 2,0079 1,9876 1,8648 1,5895 1,2258 0,8873 0,6470 0,5078 0,4470 0,4710 0,6146 0,9038 1,3323 1,8427 2,3182 2,6406 2,7781 2,7910 2,7497 2,6639 2,4796 2,1402 1,6568 1,1322 0,7160 0,5225 0,5716 0,7959 1,0971 1,4041 1,6838 1,9197 2,1167 2,3053 2,4964 2,6390 2,6428 2,4495 2,0859 1,6478 1,2325 0,8915 0,6436 0,5137 0,5344 0,7244 1,0709 1,5110 1,9346 2,2297 2,3386 2,2749 2,0907 1,8383 1,5633 1,2955 1,0260 0,7273 0,4216 0,2079 0,1914 0,3809 0,6784 0,9818 1,2615 1,5260 1,7477 1,8563 1,8068 1,6320 1,4182 1,2374 1,1141 1,0446 1,0161 0,9958 0,9350 0,8029 0,6072 0,3720 0,1092 -0,1783 -0,4779 -0,7583 -0,9674 -1,0435 -0,9525 -0,7237 -0,4344 -0,1551 0,0822 0,2799 0,4525 0,5942 0,6724 0,6631 0,5842 0,4960 0,4757 0,5683 0,7479 0,9433 1,1172 1,2988 1,5307 1,8052 2,0686 2,2746 2,4063 2,4340 2,2856 1,8962 1,2795 0,5508 -0,0983 -0,4688 -0,4467 -0,0437 0,6443 1,4912 2,3579 3,1044 3,6217 3,8608 3,8361 3,6029 3,2351 2,8140 2,4314 2,1923 2,1724 2,3428 2,5637 2,6895 2,6763 2,5756 2,4441 2,2880 2,0881 1,8446 1,5770 1,3009 1,0314 0,8049 0,6694 0,6396 0,6660 0,6498 0,4985 0,2041 -0,1324 -0,3939 -0,5601 -0,7005 -0,8800 -1,1131 -1,3793 -1,6364 -1,8281 -1,9047 -1,8445 -1,6712 -1,4553 -1,2869 -1,2308 -1,3041 -1,4975 -1,8144 -2,2735 -2,8683 -3,5259 -4,1135 -4,5032 -4,6329 -4,5136 -4,2009 -3,7667 -3,2809 -2,8025 -2,3678 -1,9851 -1,6514 -1,3752 -1,1678 -1,0174 -0,8823 -0,7128 -0,4774 -0,1769 0,1478 0,4277 0,6148 0,7246 0,8217 0,9755 1,2204 1,5284 1,8116 1,9613 1,9075 1,6604 1,2925 0,8776 0,4573 0,0573 -0,2686 -0,4208 -0,3152 0,0229 0,4509 0,8225 1,0941 1,3031 1,4827 1,6343 1,7558 1,8531 1,9166 1,8992 1,7400 1,4178 0,9782 0,5153 0,1236 -0,1422 -0,2810 -0,3449 -0,4075 -0,4950 -0,5601 -0,5443 -0,4496 -0,3282 -0,2235 -0,1588 -0,1682 -0,2948 -0,5594 -0,9518 -1,4384 -1,9631 -2,4425 -2,7764 -2,8875 -2,7643 -2,4592 -2,0542 -1,6578 -1,4101 -1,4179 -1,6633 -2,0072 -2,2848 -2,3928 -2,3135 -2,1001 -1,8468 -1,6347 -1,4855 -1,3829 -1,3296 -1,3571 -1,4854 -1,6954 -1,9286 -2,1012 -2,1350 -1,9973
