Fp1   -2,4320 -1,9461 -1,5245 -1,1868 -0,9621 -0,8721 -0,9143 -1,0359 -1,1205 -1,0279 -0,6969 -0,2038 0,3055 0,7085 0,9212 0,8895 0,6097 0,1540 -0,3345 -0,6927 -0,8168 -0,7003 -0,4067 -0,0187 0,3940 0,7752 1,0760 1,2597 1,3015 1,1997 0,9932 0,7559 0,5651 0,4659 0,4605 0,5190 0,5898 0,6224 0,5830 0,4321 0,1214 -0,3443 -0,8483 -1,1787 -1,1289 -0,6301 0,1867 1,0691 1,7950 2,2695 2,5212 2,6295 2,6441 2,5581 2,3415 1,9724 1,4489 0,8357 0,3102 0,0748 0,1852 0,5061 0,8410 1,0703 1,1764 1,2039 1,2271 1,3069 1,4540 1,6583 1,9242 2,2358 2,5296 2,7526 2,9156 3,0600 3,1877 3,2414 3,1488 2,8994 2,5941 2,3988 2,4195 2,6179 2,8482 2,9672 2,9351 2,8396 2,8245 2,9821 3,2887 3,6196 3,8233 3,8182 3,6384 3,3876 3,1692 3,0665 3,1405 3,4019 3,7940 4,2174 4,5727 4,7918 4,8442 4,7159 4,3954 3,8944 3,2646 2,5756 1,8687 1,1450 0,4158 -0,2570 -0,8046 -1,2280 -1,6057 -2,0131 -2,4368 -2,7779 -2,9425 -2,9179 -2,7657 -2,5701 -2,3920 -2,2461 -2,1325 -2,0967 -2,2310 -2,5967 -3,1530 -3,7829 -4,3613 -4,7643 -4,8700 -4,6219 -4,0827 -3,4051 -2,7553 -2,2326 -1,8322 -1,4871 -1,1332 -0,7363 -0,3093 0,0756 0,3322 0,4315 0,3838 0,1696 -0,2446 -0,8243 -1,4362 -1,8937 -2,0355 -1,7944 -1,2246 -0,4754 0,2736 0,8705 1,2129 1,2511 1,0000 0,5479 0,0273 -0,4568 -0,8674 -1,1814 -1,3229 -1,1989 -0,7802 -0,1208 0,6639 1,4317 2,0613 2,4990 2,7591 2,8791 2,8835 2,7976 2,6774 2,6038 2,6536 2,8729 3,2472 3,6913 4,0895 4,3411 4,3819 4,1979 3,8397 3,4237 3,1013 2,9896 3,1052 3,3734 3,6914 3,9681 4,1261 4,1048 3,8718 3,4313 2,8299 2,1627 1,5619 1,1474 0,9624 0,9532 1,0198 1,0866 1,1296 1,1617 1,2189 1,3475 1,5712 1,8574 2,1233 2,2888 2,3175 2,1938 1,8990 1,4415 0,8773 0,2717 -0,3383 -0,9335 -1,4925 -1,9747 -2,3011 -2,3735 -2,1446 -1,6674 -1,0643 -0,4468 0,1275 0,6322 1,0310 1,2750 1,3372 1,2294 0,9941 0,7152 0,5193 0,5208 0,7488 1,1286 1,5460 1,9245 2,2199 2,3755 2,3419 2,1201 1,7627 1,3641 1,0459 0,9218 1,0460 1,3794 1,8167 2,2422 2,5433 2,6341 2,5326 2,3664 2,2419 2,1350 1,9441 1,6218 1,2354 0,9037 0,6884 0,5672 0,4992 0,4925 0,5971 0,8413 1,1868 1,5458 1,8406 2,0532 2,2201 2,3905 2,5961 2,8446 3,1113 3,3393 3,4720 3,4970 3,4491 3,3988 3,4430 3,6433 3,9496 4,2275 4,3684 4,3477 4,2138 4,0648 3,9917 4,0030 4,0181 3,9288 3,6657 3,2335 2,7080 2,2066 1,8434 1,6752 1,6831 1,8175 2,0443 2,3341 2,6261 2,8365 2,9203 2,9245 2,9655 3,1452 3,4893 3,9501 4,4537 4,9382 5,3483 5,6349 5,7959 5,8882 5,9692 6,0425 6,0614 5,9773 5,7860 5,5223 5,2273 4,9448 4,7179 4,5555 4,4227 4,2776 4,1146 3,9686 3,8802 3,8699 3,9348 4,0479 4,1799 4,3435 4,5902 4,9460 5,3731 5,8014 6,1644 6,3967 6,4326 6,2533 5,9392 5,6410 5,4820 5,4980 5,6534 5,8947 6,1992 6,5744 6,9941 7,3629 7,5802 7,6150 7,5046 7,3064 7,0554 6,7659 6,4611 6,1723 5,9028 5,6223 5,3069 4,9618 4,5939 4,2030 3,8110 3,4656 3,2263 3,1534 3,2598 3,4677 3,6604 3,7739 3,8039 3,7531 3,6211 3,4333 3,2376 3,0599 2,8776 2,6608 2,4328 2,2629 2,2015 2,2488 2,3669 2,4955 2,5773 2,5998 2,6139 2,6865 2,8134 2,9120 2,9173 2,8314 2,6799 2,5131 2,4358 2,5392 2,8117 3,1605 3,4777 3,6644 3,6625 3,5078 3,3121 3,1759 3,1466 3,2375 3,4317 3,6745 3,8968 4,0419 4,0599 3,9145 3,6349 3,3290 3,1126 3,0294 3,0280 3,0032 2,8757 2,6386 2,3300 1,9949 1,6807 1,4347 1,2862 1,2256 1,1999 1,1343 0,9784 0,7603 0,5811 0,5126 0,5300 0,5753 0,6407 0,7683 0,9926 1,2809 1,5296 1,6342 1,5613 1,3611 1,1491 1,0775 1,2682 1,7503 2,4612 3,2914 4,1240 4,8400 5,3161 5,4637 5,2712 4,8119 4,2446 3,7824 3,6086 3,8079 4,3230 4,9335 5,3333 5,2880 4,7371 3,8011 2,7240 1,7558 1,0399 0,5834 0,2881 0,0030 -0,3869 -0,8898 -1,4363 -1,9573 -2,4139 -2,7895 -3,0713 -3,2225 -3,1946 -2,9962 -2,7176 -2,4804 -2,3792 -2,4395 -2,6200 -2,8838 -3,2251 -3,6069 -3,9586 -4,2594 -4,5410 -4,8060 -5,0030 -5,0665 -4,9554 -4,6925 -4,3808 -4,1475 -4,0403 -3,9807 -3,8463 -3,5854 -3,2397 -2,8977 -2,6698 -2,6809 -2,9977 -3,5368 -4,0986 -4,5011 -4,6596 -4,5740 -4,2748 -3,7779 -3,0904 -2,2511 -1,3428 -0,4779 0,2098 0,5981 0,6447 0,4167 0,0316 -0,4039 -0,7830 -0,9878 -0,9415 -0,6660 -0,2818 0,0454 0,1956 0,1780 0,1270 0,1815 0,3689 0,6122 0,8209 0,9439 0,9576 0,8411 0,5994 0,3052 0,0662 -0,0720 -0,1694 -0,3297 -0,6010 -0,9381 -1,2577 -1,5081 -1,6720 -1,7393 -1,7145 -1,6360 -1,5630 -1,5519 -1,6530 -1,9114 -2,3487 -2,9468 -3,6375 -4,2980 -4,8057 -5,1177 -5,2761 -5,3540 -5,4097 -5,4630 -5,4889 -5,4379 -5,2778 -5,0213 -4,7008 -4,3252 -3,8862 -3,4137 -2,9901 -2,7005 -2,5926 -2,6793 -2,9420 -3,3321 -3,7863 -4,2423
Fz    0,5710 0,7286 0,8179 0,8378 0,7832 0,6466 0,4154 0,0965 -0,2333 -0,4321 -0,4055 -0,2010 0,0533 0,2589 0,3611 0,3200 0,1270 -0,1684 -0,4756 -0,7101 -0,8256 -0,8016 -0,6142 -0,2371 0,3296 1,0229 1,7167 2,2694 2,5686 2,5503 2,2154 1,6414 0,9659 0,3371 -0,1276 -0,3613 -0,3710 -0,2455 -0,1206 -0,1340 -0,3871 -0,8963 -1,5554 -2,1579 -2,4895 -2,4520 -2,1106 -1,6097 -1,0530 -0,4589 0,2023 0,9360 1,6809 2,3213 2,7185 2,7402 2,3116 1,4990 0,5391 -0,2741 -0,7600 -0,9032 -0,7750 -0,4524 0,0025 0,5441 1,1465 1,7805 2,3862 2,8943 3,2617 3,4607 3,4687 3,3069 3,0678 2,8680 2,7686 2,7440 2,7130 2,6079 2,4466 2,3331 2,3612 2,5212 2,7120 2,8405 2,9038 2,9808 3,1601 3,4695 3,8385 4,1141 4,1354 3,8276 3,2421 2,5130 1,7961 1,2374 0,9447 0,9514 1,2157 1,6585 2,1913 2,7277 3,1978 3,5474 3,7174 3,6482 3,3103 2,7170 1,9137 0,9753 0,0236 -0,7827 -1,3206 -1,5839 -1,6813 -1,7391 -1,7890 -1,7591 -1,5761 -1,2451 -0,8310 -0,4015 0,0065 0,3842 0,7028 0,8735 0,7869 0,3920 -0,2642 -1,0658 -1,8738 -2,5342 -2,8916 -2,8562 -2,4585 -1,8317 -1,1402 -0,5019 0,0492 0,5379 1,0040 1,4771 1,9490 2,3481 2,5724 2,5665 2,3365 1,9027 1,2872 0,5541 -0,1635 -0,6851 -0,8516 -0,6062 -0,0277 0,7170 1,4657 2,1082 2,5638 2,7669 2,7058 2,4549 2,1377 1,8481 1,6171 1,4599 1,4149 1,5113 1,7381 2,0633 2,4487 2,8432 3,1902 3,4496 3,5929 3,5745 3,3431 2,9092 2,3899 1,9627 1,7675 1,8386 2,0929 2,3758 2,5461 2,5427 2,3852 2,1231 1,7998 1,4687 1,2163 1,1309 1,2367 1,4784 1,7656 2,0180 2,1784 2,2123 2,1040 1,8562 1,4956 1,0850 0,7247 0,5092 0,4648 0,5337 0,6176 0,6367 0,5511 0,3559 0,0839 -0,2083 -0,4813 -0,7316 -0,9610 -1,1358 -1,2086 -1,1973 -1,1990 -1,3065 -1,5417 -1,8743 -2,2821 -2,7760 -3,3715 -4,0348 -4,6490 -5,0437 -5,0790 -4,7216 -4,0460 -3,1635 -2,1636 -1,1399 -0,2473 0,3301 0,5006 0,3218 -0,0665 -0,5219 -0,9215 -1,1696 -1,2228 -1,1045 -0,8707 -0,5671 -0,2484 -0,0063 0,0852 0,0309 -0,0982 -0,1966 -0,1494 0,1247 0,6206 1,2313 1,8065 2,2283 2,4157 2,3102 1,9222 1,3479 0,6885 -0,0206 -0,7767 -1,5360 -2,1881 -2,6050 -2,7288 -2,6116 -2,3689 -2,1008 -1,8539 -1,6355 -1,4473 -1,3107 -1,2492 -1,2481 -1,2568 -1,2359 -1,1775 -1,0849 -0,9769 -0,9145 -0,9676 -1,1379 -1,3491 -1,5003 -1,5062 -1,3364 -1,0493 -0,7655 -0,5898 -0,5573 -0,6238 -0,6865 -0,6449 -0,4809 -0,2774 -0,1574 -0,1952 -0,3723 -0,6017 -0,7783 -0,8194 -0,6951 -0,4398 -0,1233 0,1964 0,4887 0,7235 0,8485 0,8171 0,6454 0,4262 0,2755 0,2657 0,4088 0,6933 1,1066 1,6055 2,0992 2,4995 2,7784 2,9606 3,0724 3,1062 3,0233 2,7895 2,3944 1,8538 1,2375 0,6762 0,2940 0,1332 0,1498 0,2629 0,3914 0,4678 0,4669 0,4211 0,3866 0,4046 0,4967 0,6644 0,8777 1,0861 1,2505 1,3534 1,3785 1,3038 1,1314 0,9152 0,7324 0,6287 0,6053 0,6450 0,7422 0,9264 1,2475 1,7046 2,2124 2,6751 3,0581 3,3684 3,6017 3,7200 3,6808 3,4926 3,2319 2,9960 2,8419 2,7621 2,7012 2,5834 2,3469 1,9830 1,5456 1,1267 0,8232 0,6934 0,7290 0,8802 1,0979 1,3300 1,4994 1,5258 1,3783 1,0973 0,7549 0,3926 0,0152 -0,3460 -0,6098 -0,7044 -0,6116 -0,3534 0,0225 0,4361 0,7910 1,0232 1,1272 1,1108 0,9534 0,6487 0,2497 -0,1550 -0,4512 -0,5043 -0,2413 0,2720 0,8602 1,3202 1,4989 1,3519 0,9565 0,4629 0,0243 -0,2486 -0,3048 -0,1568 0,1279 0,4489 0,6992 0,7786 0,6205 0,2576 -0,1518 -0,4020 -0,3564 -0,0165 0,4945 1,0208 1,4501 1,7235 1,8319 1,8255 1,7851 1,7635 1,7604 1,7403 1,6621 1,5073 1,3090 1,1424 1,0465 0,9740 0,8463 0,6265 0,3327 -0,0010 -0,3705 -0,7965 -1,2721 -1,7394 -2,1162 -2,3117 -2,2263 -1,8035 -1,0944 -0,2433 0,5825 1,2486 1,6561 1,7374 1,4912 0,9946 0,3592 -0,2865 -0,7840 -0,9670 -0,7236 -0,0822 0,7337 1,3837 1,5809 1,2107 0,3611 -0,7205 -1,7407 -2,4888 -2,8976 -3,0282 -3,0175 -3,0011 -3,0448 -3,1385 -3,2355 -3,2851 -3,2455 -3,0842 -2,7756 -2,3205 -1,7853 -1,3069 -1,0305 -1,0252 -1,2426 -1,5699 -1,9339 -2,3218 -2,7124 -3,0715 -3,4167 -3,8062 -4,2579 -4,7206 -5,1033 -5,3177 -5,3274 -5,1804 -4,9884 -4,8500 -4,7796 -4,7196 -4,6085 -4,4206 -4,1677 -3,9124 -3,7771 -3,8617 -4,1210 -4,3758 -4,4515 -4,2717 -3,8441 -3,2074 -2,3929 -1,4303 -0,3816 0,6512 1,5487 2,1869 2,4491 2,2850 1,7637 1,0371 0,2668 -0,3970 -0,8192 -0,9242 -0,7494 -0,4517 -0,2432 -0,2759 -0,5407 -0,8688 -1,0579 -1,0198 -0,8189 -0,5981 -0,4834 -0,5460 -0,8144 -1,2638 -1,7947 -2,2763 -2,6355 -2,8949 -3,1228 -3,3388 -3,4743 -3,4470 -3,2568 -2,9849 -2,7291 -2,5672 -2,5472 -2,6705 -2,8982 -3,2006 -3,5923 -4,1017 -4,7174 -5,3617 -5,9067 -6,2359 -6,3145 -6,2050 -6,0294 -5,9076 -5,9036 -6,0166 -6,2056 -6,4158 -6,5949 -6,6836 -6,5947 -6,2466 -5,6538 -4,9638 -4,3813 -4,0682 -4,0927 -4,4317 -5,0140 -5,7548 -6,5503
F3    -0,5045 -0,1648 0,0598 0,1630 0,1808 0,1560 0,0911 -0,0432 -0,2218 -0,3251 -0,2457 -0,0051 0,2871 0,5382 0,6848 0,6703 0,4746 0,1465 -0,2196 -0,5326 -0,7343 -0,7959 -0,7017 -0,4397 -0,0060 0,5644 1,1761 1,7038 2,0463 2,1539 2,0249 1,6971 1,2393 0,7291 0,2417 -0,1434 -0,3693 -0,4531 -0,4883 -0,6013 -0,8986 -1,3955 -1,9584 -2,3398 -2,3164 -1,8343 -1,0364 -0,1532 0,6347 1,2643 1,7611 2,1550 2,4267 2,5212 2,3757 1,9389 1,2109 0,3035 -0,5533 -1,1151 -1,2626 -1,0406 -0,5810 -0,0180 0,5407 1,0255 1,4249 1,7738 2,1074 2,4368 2,7494 3,0078 3,1661 3,2056 3,1531 3,0674 3,0031 2,9750 2,9528 2,9010 2,8425 2,8678 3,0504 3,3489 3,6174 3,7260 3,6606 3,5117 3,3940 3,3699 3,4085 3,4029 3,2502 2,9381 2,5513 2,1927 1,9307 1,8090 1,8549 2,0637 2,3953 2,7949 3,2098 3,5899 3,8843 4,0382 3,9946 3,7169 3,2136 2,5324 1,7277 0,8500 -0,0203 -0,7592 -1,2656 -1,5394 -1,6766 -1,7751 -1,8406 -1,7967 -1,5841 -1,2262 -0,8054 -0,4072 -0,0754 0,1973 0,4199 0,5468 0,4936 0,2051 -0,3030 -0,9569 -1,6494 -2,2381 -2,5662 -2,5404 -2,1903 -1,6466 -1,0663 -0,5603 -0,1586 0,1750 0,5037 0,8842 1,3246 1,7509 2,0465 2,1370 2,0065 1,6533 1,0872 0,3694 -0,3683 -0,9449 -1,1907 -1,0349 -0,5584 0,0545 0,6357 1,0972 1,3917 1,4778 1,3618 1,1405 0,9525 0,8794 0,9108 1,0092 1,1637 1,3716 1,6156 1,8781 2,1448 2,3929 2,5921 2,7176 2,7428 2,6186 2,2911 1,7681 1,1643 0,6582 0,3976 0,4335 0,7138 1,1222 1,5330 1,8507 2,0210 2,0212 1,8630 1,6188 1,4132 1,3509 1,4443 1,6202 1,7827 1,8597 1,8171 1,6569 1,4013 1,0730 0,6946 0,3095 -0,0034 -0,1688 -0,1809 -0,1081 -0,0231 0,0594 0,1694 0,3244 0,5131 0,7106 0,8706 0,9161 0,7773 0,4572 0,0361 -0,4052 -0,8387 -1,2600 -1,6499 -1,9881 -2,2844 -2,5744 -2,8860 -3,2063 -3,4650 -3,5584 -3,4108 -3,0335 -2,5158 -1,9380 -1,3084 -0,6159 0,0658 0,5791 0,8030 0,7382 0,4743 0,1286 -0,1824 -0,3688 -0,4069 -0,3475 -0,2568 -0,1451 0,0093 0,1903 0,3491 0,4541 0,5131 0,5785 0,7289 1,0161 1,4145 1,8149 2,0880 2,1554 1,9893 1,5994 1,0661 0,5355 0,1230 -0,1597 -0,3718 -0,5685 -0,7538 -0,8845 -0,9181 -0,8669 -0,7986 -0,7800 -0,8282 -0,9151 -1,0113 -1,1202 -1,2575 -1,4022 -1,4925 -1,4787 -1,3507 -1,1151 -0,7940 -0,4529 -0,1794 -0,0204 0,0353 0,0350 0,0407 0,0838 0,1238 0,0845 -0,0652 -0,2775 -0,4487 -0,4603 -0,2387 0,1752 0,6128 0,8614 0,7921 0,4331 -0,0668 -0,5294 -0,8183 -0,8743 -0,7159 -0,4042 -0,0051 0,4232 0,8273 1,1517 1,3515 1,4258 1,4332 1,4543 1,5320 1,6575 1,8113 1,9910 2,1820 2,3362 2,4209 2,4691 2,5532 2,7184 2,9370 3,1163 3,1578 3,0042 2,6528 2,1766 1,7143 1,3912 1,2446 1,2286 1,2730 1,3278 1,3753 1,4306 1,5231 1,6585 1,8070 1,9290 1,9904 1,9597 1,8235 1,6146 1,3987 1,2228 1,0890 0,9916 0,9572 1,0177 1,1617 1,3399 1,5037 1,6349 1,7637 1,9474 2,1951 2,4367 2,5997 2,6797 2,7191 2,7509 2,7679 2,7372 2,6555 2,5809 2,5951 2,7373 2,9684 3,1792 3,2334 3,0335 2,5700 1,9220 1,2324 0,6761 0,3854 0,3748 0,5586 0,8360 1,1335 1,3883 1,5398 1,5529 1,4362 1,2211 0,9124 0,4973 0,0286 -0,3536 -0,5196 -0,4406 -0,1782 0,1700 0,5027 0,7336 0,8214 0,7776 0,6243 0,3618 0,0058 -0,3836 -0,7248 -0,9091 -0,8042 -0,3532 0,3374 1,0430 1,5433 1,7155 1,5602 1,1675 0,6630 0,1701 -0,2050 -0,3866 -0,3511 -0,1367 0,1766 0,4950 0,7209 0,7701 0,6319 0,4119 0,2769 0,3402 0,5876 0,9013 1,1522 1,2681 1,2408 1,1238 1,0219 1,0327 1,1838 1,4314 1,6986 1,9014 1,9672 1,8807 1,7036 1,5037 1,2883 1,0391 0,7724 0,5381 0,3685 0,2303 0,0417 -0,2519 -0,6302 -1,0188 -1,3172 -1,4126 -1,2226 -0,7447 -0,0538 0,7330 1,4935 2,1111 2,4793 2,5402 2,3104 1,8609 1,3102 0,8274 0,5932 0,7315 1,2264 1,8724 2,3509 2,3950 1,9052 0,9826 -0,1110 -1,0826 -1,7523 -2,1006 -2,2237 -2,2666 -2,3476 -2,4958 -2,6654 -2,8014 -2,8770 -2,8782 -2,7716 -2,5045 -2,0558 -1,4944 -0,9786 -0,6789 -0,6788 -0,9268 -1,2983 -1,7129 -2,1576 -2,6162 -3,0515 -3,4546 -3,8410 -4,1960 -4,4653 -4,5877 -4,5284 -4,3062 -4,0041 -3,7418 -3,6081 -3,5983 -3,6257 -3,5960 -3,4602 -3,2243 -2,9549 -2,7759 -2,7918 -2,9877 -3,2385 -3,4134 -3,4427 -3,3013 -2,9712 -2,4325 -1,6894 -0,8015 0,1202 0,9506 1,5684 1,8591 1,7664 1,3487 0,7400 0,0753 -0,5167 -0,8958 -0,9539 -0,7009 -0,3018 -0,0046 0,0089 -0,2543 -0,6040 -0,8071 -0,7487 -0,4887 -0,1991 -0,0537 -0,1509 -0,5063 -1,0641 -1,7042 -2,2880 -2,7324 -3,0401 -3,2534 -3,3774 -3,3575 -3,1470 -2,7725 -2,3166 -1,8727 -1,5348 -1,3861 -1,4598 -1,7252 -2,1393 -2,6974 -3,4125 -4,2563 -5,1210 -5,8374 -6,2580 -6,3387 -6,1484 -5,8227 -5,5047 -5,2855 -5,1786 -5,1454 -5,1498 -5,1833 -5,2313 -5,2263 -5,0779 -4,7662 -4,3781 -4,0463 -3,8737 -3,8925 -4,0681 -4,3500 -4,7099 -5,1202
F7    -0,4962 -0,4078 -0,4001 -0,4491 -0,4908 -0,4677 -0,3912 -0,3289 -0,3124 -0,2776 -0,1445 0,0540 0,1927 0,1826 0,0229 -0,2308 -0,5049 -0,7455 -0,9441 -1,1132 -1,2391 -1,2707 -1,1396 -0,7756 -0,1368 0,7235 1,6247 2,3283 2,6501 2,5327 2,0503 1,3623 0,6441 0,0358 -0,3743 -0,5693 -0,6267 -0,6745 -0,7863 -0,9336 -1,0356 -1,0337 -0,9160 -0,6847 -0,3224 0,1796 0,7602 1,2967 1,6873 1,8959 1,9135 1,7289 1,3553 0,8532 0,3105 -0,1993 -0,6466 -1,0225 -1,2739 -1,3074 -1,0987 -0,7555 -0,4224 -0,1631 0,0377 0,2261 0,4457 0,6942 0,9160 1,0744 1,2095 1,3925 1,6351 1,8793 2,0750 2,2179 2,2846 2,1867 1,8396 1,2822 0,7299 0,4813 0,7136 1,3427 2,0871 2,6656 2,9575 3,0192 2,9911 2,9967 3,0865 3,2279 3,3477 3,3976 3,3735 3,2759 3,0942 2,8479 2,6072 2,4427 2,3666 2,3401 2,3202 2,2851 2,2346 2,1784 2,1300 2,1268 2,2274 2,4344 2,6376 2,6746 2,4566 2,0326 1,5372 1,0822 0,6961 0,3571 0,0724 -0,0866 -0,0298 0,2673 0,7264 1,1989 1,5375 1,6457 1,4763 1,0264 0,3539 -0,4298 -1,1969 -1,8307 -2,2328 -2,3323 -2,1186 -1,6624 -1,0816 -0,4879 0,0309 0,4091 0,6129 0,6520 0,5859 0,5115 0,5251 0,6784 0,9510 1,2638 1,5454 1,7830 1,9876 2,1345 2,1833 2,1498 2,1099 2,1261 2,1978 2,2759 2,3010 2,2114 1,9274 1,3905 0,6621 -0,0508 -0,5017 -0,5466 -0,2109 0,3497 0,9517 1,4672 1,8460 2,0896 2,2173 2,2448 2,1714 1,9865 1,6959 1,3340 0,9619 0,6546 0,4825 0,5043 0,7558 1,2161 1,7875 2,3227 2,6720 2,7235 2,4568 1,9719 1,4345 0,9990 0,7825 0,8469 1,1614 1,5955 1,9561 2,0542 1,7880 1,1962 0,4342 -0,3204 -0,9609 -1,4691 -1,8649 -2,1539 -2,3053 -2,2734 -2,0514 -1,6908 -1,2534 -0,7640 -0,2378 0,2537 0,5732 0,5903 0,2675 -0,3001 -0,9387 -1,5028 -1,9236 -2,1943 -2,3575 -2,4848 -2,6351 -2,8234 -3,0284 -3,2358 -3,4589 -3,7036 -3,9320 -4,0707 -4,0330 -3,7395 -3,1657 -2,3938 -1,6091 -1,0186 -0,7460 -0,7881 -1,0527 -1,4189 -1,7671 -1,9953 -2,0433 -1,9152 -1,6690 -1,3764 -1,1032 -0,9160 -0,8640 -0,9527 -1,1453 -1,3703 -1,5266 -1,5083 -1,2590 -0,8195 -0,3114 0,1144 0,3052 0,1680 -0,2301 -0,6781 -0,9865 -1,1121 -1,1239 -1,0997 -1,0624 -0,9898 -0,8784 -0,7956 -0,8512 -1,1074 -1,5179 -1,9525 -2,2889 -2,4835 -2,5465 -2,4767 -2,2689 -1,9689 -1,6688 -1,4467 -1,3359 -1,3307 -1,3834 -1,4105 -1,3406 -1,1487 -0,8457 -0,4771 -0,1443 0,0009 -0,1661 -0,6343 -1,2202 -1,6537 -1,7401 -1,4852 -1,0737 -0,7203 -0,5378 -0,5246 -0,6194 -0,7440 -0,8265 -0,8288 -0,7642 -0,6841 -0,6306 -0,5977 -0,5491 -0,4644 -0,3476 -0,2022 -0,0369 0,0849 0,0447 -0,2281 -0,6653 -1,1102 -1,4467 -1,6364 -1,6435 -1,3975 -0,8655 -0,1317 0,6117 1,1617 1,4226 1,4343 1,2937 1,0895 0,9067 0,8278 0,9041 1,1408 1,5002 1,9028 2,2461 2,4560 2,5218 2,4722 2,3256 2,0824 1,7640 1,4420 1,2089 1,1057 1,0735 0,9895 0,7692 0,4396 0,1154 -0,0933 -0,1450 -0,0511 0,1722 0,5191 0,9941 1,6062 2,3268 3,0433 3,5891 3,8366 3,7642 3,4552 3,0479 2,6743 2,4181 2,2986 2,2771 2,2782 2,2238 2,0861 1,9115 1,7678 1,6743 1,5937 1,4746 1,2952 1,0774 0,8639 0,6842 0,5398 0,3977 0,1843 -0,1802 -0,7118 -1,3271 -1,8850 -2,2622 -2,3930 -2,2631 -1,8927 -1,3286 -0,6419 0,0769 0,7283 1,2265 1,5224 1,6231 1,5927 1,5078 1,3982 1,2493 1,0381 0,7463 0,4013 0,1136 0,0007 0,0735 0,2371 0,3742 0,4032 0,3000 0,1003 -0,1181 -0,2695 -0,2912 -0,1613 0,1097 0,5013 0,9951 1,5579 2,1062 2,5164 2,7134 2,7237 2,6149 2,4226 2,1475 1,7889 1,3682 0,9328 0,5443 0,2683 0,1596 0,2210 0,3778 0,5044 0,4875 0,2909 -0,0264 -0,3476 -0,5615 -0,6257 -0,5802 -0,4955 -0,4256 -0,3997 -0,4420 -0,5887 -0,8649 -1,2353 -1,5946 -1,8173 -1,8139 -1,5484 -1,0383 -0,3532 0,4035 1,1242 1,7243 2,1536 2,3874 2,4261 2,3140 2,1343 1,9646 1,8467 1,8056 1,8698 2,0342 2,2142 2,2807 2,1488 1,8264 1,4021 0,9974 0,6984 0,5095 0,3752 0,2332 0,0393 -0,2244 -0,5427 -0,8931 -1,2690 -1,6563 -2,0081 -2,2564 -2,3332 -2,1933 -1,8443 -1,3624 -0,8620 -0,4414 -0,1455 0,0219 0,0559 -0,0546 -0,2889 -0,5905 -0,9138 -1,2478 -1,5835 -1,8681 -2,0025 -1,9039 -1,5869 -1,1768 -0,8293 -0,6227 -0,5253 -0,4569 -0,3637 -0,2377 -0,1014 -0,0017 0,0015 -0,1111 -0,2768 -0,4015 -0,4413 -0,3995 -0,2705 -0,0256 0,3480 0,8167 1,3142 1,7816 2,1850 2,4959 2,6717 2,6679 2,4673 2,0793 1,5222 0,8350 0,1185 -0,4751 -0,8325 -0,9495 -0,9033 -0,7704 -0,5634 -0,2317 0,2676 0,8830 1,4485 1,7613 1,7055 1,3098 0,6998 0,0234 -0,5848 -1,0159 -1,2090 -1,1754 -0,9871 -0,7230 -0,4289 -0,1337 0,1129 0,2507 0,2574 0,1633 0,0141 -0,1600 -0,3486 -0,5808 -0,9462 -1,5428 -2,3718 -3,2969 -4,1115 -4,6349 -4,7728 -4,5457 -4,0864 -3,5790 -3,1687 -2,9186 -2,8250 -2,8568 -2,9822 -3,1560 -3,2918 -3,2880 -3,1155 -2,8696 -2,7150 -2,7774 -3,0710 -3,5016 -3,9400 -4,2826 -4,4494
