Fp1   0,4543 0,7162 0,8998 1,0158 1,0749 1,0865 1,0569 0,9826 0,8494 0,6446 0,3773 0,0802 -0,2176 -0,5058 -0,7754 -1,0070 -1,1818 -1,2886 -1,3187 -1,2651 -1,1269 -0,9135 -0,6501 -0,3766 -0,1343 0,0549 0,1995 0,3259 0,4560 0,5842 0,6682 0,6465 0,4788 0,1748 -0,2077 -0,5891 -0,8973 -1,0858 -1,1376 -1,0617 -0,8823 -0,6274 -0,3234 0,0042 0,3319 0,6356 0,8820 1,0253 1,0211 0,8461 0,5061 0,0326 -0,5225 -1,0964 -1,6307 -2,0889 -2,4601 -2,7407 -2,9163 -2,9705 -2,9056 -2,7506 -2,5483 -2,3365 -2,1309 -1,9152 -1,6524 -1,3167 -0,9177 -0,5009 -0,1344 0,1075 0,1673 0,0353 -0,2361 -0,5554 -0,8370 -1,0355 -1,1525 -1,2232 -1,2860 -1,3525 -1,4028 -1,4064 -1,3406 -1,1926 -0,9561 -0,6360 -0,2527 0,1608 0,5626 0,9057 1,1451 1,2491 1,2062 1,0273 0,7405 0,3709 -0,0780 -0,6151 -1,2254 -1,8459 -2,3842 -2,7680 -2,9794 -3,0479 -3,0184 -2,9209 -2,7685 -2,5705 -2,3424 -2,1106 -1,9125 -1,7798 -1,7234 -1,7401 -1,8282 -1,9887 -2,2109 -2,4616 -2,6936 -2,8651 -2,9569 -2,9726 -2,9211 -2,8133 -2,6836 -2,5927 -2,5885 -2,6686 -2,7809 -2,8529 -2,8274 -2,6864 -2,4512 -2,1654 -1,8771 -1,6245 -1,4279 -1,2885 -1,1865 -1,0868 -0,9600 -0,8002 -0,6237 -0,4627 -0,3665 -0,3924 -0,5737 -0,8856 -1,2374 -1,5030 -1,5807 -1,4477 -1,1731 -0,8716 -0,6344 -0,4950 -0,4422 -0,4577 -0,5354 -0,6703 -0,8426 -1,0270 -1,2081 -1,3777 -1,5234 -1,6281 -1,6746 -1,6526 -1,5640 -1,4166 -1,2149 -0,9606 -0,6724 -0,3992 -0,2026 -0,1191 -0,1341 -0,1905 -0,2295 -0,2325 -0,2265 -0,2591 -0,3682 -0,5649 -0,8349 -1,1483 -1,4656 -1,7446 -1,9534 -2,0871 -2,1673 -2,2198 -2,2555 -2,2716 -2,2663 -2,2478 -2,2226 -2,1793 -2,0952 -1,9587 -1,7850 -1,6114 -1,4817 -1,4294 -1,4684 -1,5964 -1,8018 -2,0613 -2,3372 -2,5893 -2,7898 -2,9269 -3,0045 -3,0469 -3,0875 -3,1431 -3,2010 -3,2296 -3,2032 -3,1217 -3,0092 -2,8939 -2,7894 -2,6944 -2,6034 -2,5276 -2,5035 -2,5672 -2,7152 -2,8964 -3,0456 -3,1239 -3,1380 -3,1235 -3,1065 -3,0827 -3,0266 -2,9177 -2,7702 -2,6411 -2,6009 -2,6869 -2,8814 -3,1305 -3,3743 -3,5671 -3,6853 -3,7203 -3,6678 -3,5291 -3,3268 -3,1127 -2,9519 -2,8941 -2,9521 -3,1002 -3,2879 -3,4585 -3,5605 -3,5543 -3,4209 -3,1742 -2,8655 -2,5654 -2,3236 -2,1426 -1,9934 -1,8511 -1,7124 -1,5936 -1,5207 -1,5127 -1,5640 -1,6505 -1,7492 -1,8493 -1,9541 -2,0780 -2,2324 -2,4139 -2,6105 -2,8115 -3,0100 -3,1960 -3,3483 -3,4371 -3,4391 -3,3513 -3,1905 -2,9816 -2,7504 -2,5197 -2,3068 -2,1231 -1,9779 -1,8801 -1,8393 -1,8665 -1,9678 -2,1335 -2,3333 -2,5279 -2,6866 -2,7983 -2,8688 -2,9137 -2,9488 -2,9783 -2,9918 -2,9745 -2,9216 -2,8421 -2,7556 -2,6792 -2,6061 -2,5049 -2,3524 -2,1613 -1,9739 -1,8366 -1,7822 -1,8251 -1,9597 -2,1587 -2,3752 -2,5541 -2,6572 -2,6836 -2,6658 -2,6469 -2,6589 -2,7129 -2,7997 -2,9003 -2,9944 -3,0584 -3,0659 -2,9973 -2,8509 -2,6454 -2,4159 -2,2055 -2,0613 -2,0276 -2,1307 -2,3710 -2,7240 -3,1401 -3,5445 -3,8503 -3,9776 -3,8732 -3,5313 -3,0048 -2,3932 -1,8191 -1,4027 -1,2320 -1,3331 -1,6582 -2,0972 -2,5135 -2,7955 -2,9018 -2,8688 -2,7776 -2,7033 -2,6761 -2,6731 -2,6426 -2,5450 -2,3755 -2,1543 -1,9079 -1,6641 -1,4548 -1,3103 -1,2503 -1,2780 -1,3787 -1,5248 -1,6889 -1,8570 -2,0280 -2,1977 -2,3379 -2,4019 -2,3583 -2,2128 -1,9964 -1,7442 -1,4881 -1,2611 -1,1005 -1,0416 -1,1042 -1,2811 -1,5384 -1,8265 -2,0883 -2,2721 -2,3507 -2,3351 -2,2676 -2,2026 -2,1878 -2,2489 -2,3865 -2,5872 -2,8350 -3,1057 -3,3493 -3,4925 -3,4693 -3,2538 -2,8712 -2,3888 -1,9007 -1,5042 -1,2661 -1,1989 -1,2672 -1,4177 -1,6060 -1,8056 -2,0046 -2,2030 -2,4145 -2,6559 -2,9286 -3,2063 -3,4359 -3,5603 -3,5527 -3,4279 -3,2221 -2,9624 -2,6541 -2,2963 -1,9087 -1,5402 -1,2527 -1,0971 -1,0970 -1,2478 -1,5204 -1,8644 -2,2199 -2,5396 -2,8018 -3,0015 -3,1389 -3,2194 -3,2577 -3,2778 -3,2991 -3,3158 -3,2905 -3,1807 -2,9821 -2,7428 -2,5355 -2,4123 -2,3769 -2,3958 -2,4370 -2,4953 -2,5850 -2,7201 -2,9012 -3,1232 -3,3852 -3,6832 -3,9918 -4,2594 -4,4273 -4,4560 -4,3386 -4,1013 -3,8012 -3,5141 -3,3012 -3,1816 -3,1332 -3,1133 -3,0841 -3,0358 -2,9934 -3,0035 -3,1158 -3,3672 -3,7698 -4,3038 -4,9161 -5,5264 -6,0470 -6,4104 -6,5868 -6,5886 -6,4692 -6,2996 -6,1278 -5,9617 -5,7889 -5,5966 -5,3733 -5,1067 -4,7930 -4,4519 -4,1321 -3,8950 -3,7913 -3,8465 -4,0524 -4,3628 -4,7043 -4,9969 -5,1682 -5,1680 -4,9831 -4,6449 -4,2286 -3,8359 -3,5610 -3,4485 -3,4697 -3,5384 -3,5642 -3,5031 -3,3674 -3,1997 -3,0499 -2,9627 -2,9676 -3,0708 -3,2502 -3,4559 -3,6236 -3,7014 -3,6801 -3,5992 -3,5174 -3,4789 -3,5000 -3,5779 -3,7130 -3,9153 -4,1832 -4,4857 -4,7713 -4,9896 -5,1045 -5,0992 -4,9824 -4,7901 -4,5804 -4,4182 -4,3488 -4,3791 -4,4810 -4,6129 -4,7474 -4,8852 -5,0434 -5,2314 -5,4344 -5,6099 -5,6978 -5,6460 -5,4360 -5,0890 -4,6528 -4,1863 -3,7509 -3,4033 -3,1898 -3,1454 -3,2888 -3,6126 -4,0773 -4,6184 -5,1695 -5,6866 -6,1521 -6,5620 -6,9127 -7,1939 -7,3869 -7,4711 -7,4361 -7,2889 -7,0545 -6,7689 -6,4678 -6,1740 -5,8968 -5,6474 -5,4538
Fz    0,4645 0,4505 0,4492 0,4610 0,4728 0,4643 0,4191 0,3299 0,1983 0,0337 -0,1473 -0,3281 -0,5009 -0,6673 -0,8326 -0,9983 -1,1595 -1,3068 -1,4274 -1,5062 -1,5280 -1,4813 -1,3629 -1,1822 -0,9626 -0,7381 -0,5440 -0,4033 -0,3120 -0,2386 -0,1408 0,0091 0,2076 0,4200 0,5996 0,7124 0,7532 0,7452 0,7267 0,7290 0,7640 0,8282 0,9103 0,9923 1,0511 1,0679 1,0350 0,9547 0,8343 0,6844 0,5204 0,3646 0,2425 0,1681 0,1317 0,1064 0,0660 -0,0007 -0,0886 -0,1842 -0,2742 -0,3509 -0,4136 -0,4669 -0,5139 -0,5495 -0,5650 -0,5599 -0,5441 -0,5298 -0,5217 -0,5149 -0,5015 -0,4787 -0,4516 -0,4251 -0,3945 -0,3472 -0,2744 -0,1754 -0,0568 0,0701 0,1921 0,3025 0,4020 0,4877 0,5428 0,5455 0,4916 0,4064 0,3321 0,3033 0,3305 0,3967 0,4652 0,4970 0,4674 0,3768 0,2452 0,0980 -0,0422 -0,1554 -0,2289 -0,2693 -0,3035 -0,3656 -0,4799 -0,6527 -0,8809 -1,1622 -1,4927 -1,8589 -2,2407 -2,6156 -2,9659 -3,2838 -3,5695 -3,8234 -4,0449 -4,2333 -4,3839 -4,4830 -4,5124 -4,4613 -4,3336 -4,1497 -3,9434 -3,7490 -3,5854 -3,4536 -3,3444 -3,2475 -3,1550 -3,0601 -2,9504 -2,8046 -2,6054 -2,3522 -2,0605 -1,7485 -1,4244 -1,0840 -0,7204 -0,3342 0,0697 0,4860 0,9015 1,2878 1,6076 1,8275 1,9257 1,8969 1,7547 1,5261 1,2404 0,9249 0,6104 0,3342 0,1323 0,0294 0,0372 0,1587 0,3942 0,7428 1,1976 1,7357 2,3128 2,8646 3,3228 3,6422 3,8216 3,8985 3,9221 3,9288 3,9320 3,9264 3,9001 3,8478 3,7783 3,7119 3,6637 3,6271 3,5734 3,4640 3,2635 2,9473 2,5114 1,9809 1,4079 0,8568 0,3838 0,0183 -0,2452 -0,4346 -0,5816 -0,7132 -0,8519 -1,0148 -1,2142 -1,4575 -1,7451 -2,0654 -2,3891 -2,6760 -2,8948 -3,0385 -3,1214 -3,1667 -3,1979 -3,2311 -3,2690 -3,3042 -3,3317 -3,3564 -3,3849 -3,4168 -3,4410 -3,4406 -3,4081 -3,3628 -3,3518 -3,4269 -3,6124 -3,8886 -4,1967 -4,4582 -4,6001 -4,5787 -4,3939 -4,0862 -3,7178 -3,3535 -3,0483 -2,8382 -2,7404 -2,7588 -2,8830 -3,0854 -3,3255 -3,5618 -3,7653 -3,9277 -4,0575 -4,1655 -4,2563 -4,3276 -4,3730 -4,3850 -4,3599 -4,3013 -4,2219 -4,1398 -4,0694 -4,0133 -3,9606 -3,8929 -3,7948 -3,6603 -3,4918 -3,2956 -3,0780 -2,8437 -2,5990 -2,3556 -2,1313 -1,9485 -1,8299 -1,7905 -1,8292 -1,9257 -2,0430 -2,1379 -2,1748 -2,1338 -2,0109 -1,8169 -1,5820 -1,3525 -1,1779 -1,0910 -1,0968 -1,1760 -1,2965 -1,4252 -1,5452 -1,6649 -1,8053 -1,9762 -2,1670 -2,3553 -2,5176 -2,6339 -2,6906 -2,6785 -2,5909 -2,4293 -2,2106 -1,9663 -1,7356 -1,5532 -1,4365 -1,3817 -1,3716 -1,3906 -1,4353 -1,5118 -1,6230 -1,7570 -1,8866 -1,9798 -2,0176 -2,0039 -1,9556 -1,8872 -1,8101 -1,7412 -1,7008 -1,7044 -1,7573 -1,8498 -1,9567 -2,0471 -2,1021 -2,1261 -2,1405 -2,1697 -2,2276 -2,3110 -2,3988 -2,4612 -2,4712 -2,4123 -2,2815 -2,0855 -1,8383 -1,5628 -1,2932 -1,0727 -0,9426 -0,9264 -1,0172 -1,1837 -1,3882 -1,6015 -1,8097 -2,0139 -2,2223 -2,4405 -2,6653 -2,8829 -3,0768 -3,2406 -3,3817 -3,5095 -3,6225 -3,7076 -3,7460 -3,7223 -3,6322 -3,4882 -3,3188 -3,1655 -3,0746 -3,0813 -3,1954 -3,3961 -3,6412 -3,8806 -4,0708 -4,1848 -4,2144 -4,1666 -4,0597 -3,9220 -3,7856 -3,6758 -3,6025 -3,5609 -3,5424 -3,5419 -3,5553 -3,5725 -3,5745 -3,5432 -3,4742 -3,3793 -3,2795 -3,1954 -3,1438 -3,1387 -3,1888 -3,2889 -3,4135 -3,5225 -3,5778 -3,5584 -3,4703 -3,3465 -3,2341 -3,1744 -3,1853 -3,2548 -3,3469 -3,4152 -3,4197 -3,3435 -3,2049 -3,0512 -2,9333 -2,8794 -2,8935 -2,9687 -3,0967 -3,2695 -3,4788 -3,7142 -3,9603 -4,2006 -4,4206 -4,6084 -4,7521 -4,8419 -4,8787 -4,8810 -4,8755 -4,8799 -4,8972 -4,9224 -4,9497 -4,9722 -4,9810 -4,9690 -4,9388 -4,9019 -4,8711 -4,8544 -4,8584 -4,8938 -4,9702 -5,0845 -5,2170 -5,3396 -5,4238 -5,4458 -5,3969 -5,2902 -5,1594 -5,0502 -5,0080 -5,0619 -5,2108 -5,4191 -5,6315 -5,8026 -5,9182 -5,9931 -6,0537 -6,1205 -6,2010 -6,2905 -6,3750 -6,4341 -6,4500 -6,4166 -6,3417 -6,2397 -6,1291 -6,0343 -5,9803 -5,9812 -6,0332 -6,1139 -6,1975 -6,2732 -6,3487 -6,4408 -6,5673 -6,7443 -6,9823 -7,2786 -7,6134 -7,9536 -8,2634 -8,5141 -8,6918 -8,8014 -8,8626 -8,9003 -8,9372 -8,9897 -9,0617 -9,1401 -9,1974 -9,2053 -9,1535 -9,0636 -8,9843 -8,9723 -9,0683 -9,2832 -9,6004 -9,9892 -10,4149 -10,8422 -11,2359 -11,5564 -11,7579 -11,8013 -11,6701 -11,3716 -10,9315 -10,3936 -9,8157 -9,2499 -8,7236 -8,2389 -7,7870 -7,3625 -6,9672 -6,6089 -6,3015 -6,0651 -5,9137 -5,8440 -5,8325 -5,8424 -5,8345 -5,7822 -5,6806 -5,5452 -5,4073 -5,3030 -5,2607 -5,2949 -5,4031 -5,5668 -5,7597 -5,9553 -6,1303 -6,2646 -6,3410 -6,3528 -6,3142 -6,2577 -6,2204 -6,2323 -6,3068 -6,4365 -6,5944 -6,7418 -6,8429 -6,8763 -6,8384 -6,7391 -6,5990 -6,4416 -6,2802 -6,1125 -5,9329 -5,7469 -5,5724 -5,4280 -5,3210 -5,2450 -5,1874 -5,1387 -5,0952 -5,0592 -5,0383 -5,0436 -5,0865 -5,1746 -5,3108 -5,4925 -5,7119 -5,9630 -6,2500 -6,5805 -6,9544 -7,3557 -7,7527 -8,1059 -8,3780 -8,5422 -8,5909 -8,5469 -8,4612 -8,3956 -8,3959 -8,4709 -8,5902 -8,7071 -8,7866 -8,8191 -8,8150 -8,7922 -8,7644 -8,7405 -8,7360 -8,7772
F3    -0,8786 -1,0147 -1,0088 -0,9087 -0,7603 -0,5923 -0,4191 -0,2473 -0,0744 0,1077 0,2948 0,4621 0,5836 0,6483 0,6460 0,5588 0,3746 0,1033 -0,2162 -0,5216 -0,7510 -0,8694 -0,8770 -0,8007 -0,6825 -0,5677 -0,4905 -0,4627 -0,4700 -0,4736 -0,4185 -0,2562 0,0274 0,3976 0,7867 1,1211 1,3407 1,4184 1,3765 1,2737 1,1658 1,0753 0,9892 0,8744 0,6971 0,4295 0,0517 -0,4374 -1,0080 -1,5970 -2,1172 -2,4736 -2,5897 -2,4441 -2,0925 -1,6435 -1,1985 -0,8151 -0,5133 -0,2897 -0,1257 0,0064 0,1249 0,2153 0,2272 0,1031 -0,1879 -0,6335 -1,1777 -1,7312 -2,1871 -2,4486 -2,4641 -2,2525 -1,8950 -1,4907 -1,1125 -0,7906 -0,5123 -0,2301 0,1142 0,5516 1,0580 1,5505 1,9077 2,0036 1,7568 1,1800 0,3840 -0,4756 -1,2586 -1,8643 -2,2331 -2,3502 -2,2487 -2,0016 -1,6877 -1,3495 -0,9845 -0,5755 -0,1177 0,3688 0,8384 1,2278 1,4722 1,5227 1,3624 1,0066 0,4817 -0,1856 -0,9482 -1,7248 -2,4270 -3,0028 -3,4493 -3,7863 -4,0261 -4,1781 -4,2700 -4,3403 -4,4048 -4,4438 -4,4180 -4,2905 -4,0439 -3,6884 -3,2535 -2,7755 -2,2973 -1,8739 -1,5653 -1,4210 -1,4645 -1,6737 -1,9769 -2,2772 -2,4878 -2,5592 -2,4823 -2,2797 -1,9971 -1,6922 -1,4138 -1,1796 -0,9715 -0,7453 -0,4445 -0,0196 0,5386 1,1792 1,8030 2,2954 2,5648 2,5697 2,3219 1,8720 1,2932 0,6678 0,0745 -0,4163 -0,7471 -0,8871 -0,8357 -0,5976 -0,1712 0,4260 1,1353 1,8605 2,4906 2,9347 3,1562 3,1818 3,0721 2,8763 2,6194 2,3252 2,0368 1,8133 1,7080 1,7396 1,8720 2,0289 2,1310 2,1203 1,9662 1,6725 1,2734 0,8143 0,3354 -0,1335 -0,5672 -0,9347 -1,1999 -1,3430 -1,3763 -1,3360 -1,2653 -1,2099 -1,2254 -1,3699 -1,6833 -2,1670 -2,7787 -3,4480 -4,0963 -4,6430 -5,0161 -5,1775 -5,1382 -4,9462 -4,6617 -4,3409 -4,0295 -3,7565 -3,5249 -3,3123 -3,0904 -2,8480 -2,6041 -2,4073 -2,3282 -2,4371 -2,7677 -3,2924 -3,9286 -4,5719 -5,1238 -5,4993 -5,6276 -5,4713 -5,0572 -4,4807 -3,8650 -3,3047 -2,8456 -2,5043 -2,2952 -2,2388 -2,3538 -2,6408 -3,0634 -3,5450 -3,9982 -4,3623 -4,6129 -4,7505 -4,7907 -4,7573 -4,6713 -4,5402 -4,3641 -4,1480 -3,9042 -3,6419 -3,3593 -3,0431 -2,6857 -2,3060 -1,9506 -1,6688 -1,4823 -1,3774 -1,3328 -1,3463 -1,4285 -1,5796 -1,7906 -2,0606 -2,3918 -2,7584 -3,0973 -3,3374 -3,4305 -3,3650 -3,1703 -2,9036 -2,6221 -2,3595 -2,1230 -1,9082 -1,7169 -1,5620 -1,4642 -1,4409 -1,4997 -1,6470 -1,8931 -2,2343 -2,6313 -3,0147 -3,3231 -3,5421 -3,7024 -3,8423 -3,9703 -4,0568 -4,0466 -3,8853 -3,5617 -3,1397 -2,7377 -2,4629 -2,3555 -2,3847 -2,4841 -2,5881 -2,6508 -2,6563 -2,6230 -2,5879 -2,5767 -2,5828 -2,5651 -2,4743 -2,2946 -2,0701 -1,8918 -1,8488 -1,9709 -2,2126 -2,4870 -2,7119 -2,8368 -2,8593 -2,8274 -2,8157 -2,8832 -3,0400 -3,2454 -3,4378 -3,5604 -3,5674 -3,4280 -3,1340 -2,7119 -2,2323 -1,7990 -1,5153 -1,4510 -1,6222 -1,9846 -2,4517 -2,9280 -3,3348 -3,6203 -3,7640 -3,7752 -3,6848 -3,5405 -3,4080 -3,3619 -3,4547 -3,6869 -4,0165 -4,3969 -4,7894 -5,1390 -5,3615 -5,3752 -5,1538 -4,7519 -4,2858 -3,8857 -3,6464 -3,6007 -3,7236 -3,9504 -4,1968 -4,3793 -4,4389 -4,3629 -4,1901 -3,9896 -3,8286 -3,7549 -3,7871 -3,9043 -4,0515 -4,1702 -4,2267 -4,2232 -4,1887 -4,1533 -4,1200 -4,0600 -3,9367 -3,7411 -3,5110 -3,3258 -3,2785 -3,4330 -3,7795 -4,2195 -4,6075 -4,8243 -4,8245 -4,6304 -4,3105 -3,9643 -3,6955 -3,5706 -3,5928 -3,7027 -3,8041 -3,8106 -3,6865 -3,4553 -3,1846 -2,9534 -2,8086 -2,7448 -2,7291 -2,7435 -2,8111 -2,9910 -3,3360 -3,8510 -4,4896 -5,1749 -5,8045 -6,2609 -6,4535 -6,3606 -6,0308 -5,5539 -5,0347 -4,5736 -4,2443 -4,0704 -4,0209 -4,0386 -4,0803 -4,1429 -4,2594 -4,4640 -4,7563 -5,1032 -5,4690 -5,8366 -6,2014 -6,5474 -6,8296 -6,9849 -6,9594 -6,7357 -6,3502 -5,8837 -5,4295 -5,0684 -4,8561 -4,8030 -4,8643 -4,9647 -5,0382 -5,0529 -5,0180 -4,9738 -4,9709 -5,0509 -5,2384 -5,5342 -5,8992 -6,2441 -6,4579 -6,4722 -6,3067 -6,0584 -5,8492 -5,7677 -5,8361 -6,0153 -6,2294 -6,3948 -6,4507 -6,3849 -6,2390 -6,0924 -6,0365 -6,1462 -6,4574 -6,9524 -7,5548 -8,1560 -8,6663 -9,0403 -9,2656 -9,3548 -9,3521 -9,3218 -9,3177 -9,3504 -9,3695 -9,2854 -9,0284 -8,6033 -8,1027 -7,6729 -7,4477 -7,4892 -7,7752 -8,2250 -8,7435 -9,2634 -9,7610 -10,2316 -10,6503 -10,9596 -11,0976 -11,0318 -10,7662 -10,3331 -9,7879 -9,2016 -8,6394 -8,1333 -7,6754 -7,2393 -6,8096 -6,3968 -6,0312 -5,7538 -5,6110 -5,6365 -5,8169 -6,0747 -6,2904 -6,3518 -6,2110 -5,9088 -5,5482 -5,2417 -5,0681 -5,0585 -5,2044 -5,4707 -5,8134 -6,1975 -6,5982 -6,9904 -7,3421 -7,6143 -7,7697 -7,7861 -7,6599 -7,4120 -7,1049 -6,8287 -6,6459 -6,5603 -6,5470 -6,5878 -6,6630 -6,7293 -6,7386 -6,6772 -6,5708 -6,4577 -6,3651 -6,2994 -6,2480 -6,1938 -6,1283 -6,0437 -5,9184 -5,7225 -5,4383 -5,0781 -4,6962 -4,3821 -4,2213 -4,2521 -4,4589 -4,7944 -5,2046 -5,6494 -6,1178 -6,6175 -7,1423 -7,6527 -8,0920 -8,4139 -8,5932 -8,6292 -8,5423 -8,3663 -8,1421 -7,9107 -7,7080 -7,5650 -7,5003 -7,5128 -7,5859 -7,6958 -7,8158 -7,9233 -8,0064 -8,0660 -8,1155 -8,1774 -8,2720
