Fp1   -0,4574 -0,2678 -0,0996 0,0782 0,2865 0,5346 0,8215 1,1337 1,4443 1,7204 1,9396 2,0941 2,1872 2,2341 2,2602 2,2846 2,3088 2,3237 2,3144 2,2567 2,1240 1,9030 1,5996 1,2297 0,8124 0,3746 -0,0458 -0,4114 -0,7096 -0,9696 -1,2469 -1,5828 -1,9758 -2,3790 -2,7201 -2,9324 -2,9814 -2,8691 -2,6310 -2,3322 -2,0471 -1,8209 -1,6476 -1,4863 -1,2945 -1,0445 -0,7227 -0,3265 0,1291 0,6074 1,0588 1,4357 1,7077 1,8696 1,9410 1,9573 1,9535 1,9517 1,9610 1,9850 2,0194 2,0453 2,0314 1,9502 1,7989 1,6031 1,4024 1,2364 1,1377 1,1206 1,1686 1,2355 1,2666 1,2272 1,1191 0,9718 0,8189 0,6828 0,5721 0,4879 0,4308 0,3981 0,3773 0,3452 0,2745 0,1438 -0,0472 -0,2745 -0,5069 -0,7238 -0,9150 -1,0685 -1,1692 -1,2124 -1,2131 -1,1974 -1,1886 -1,2009 -1,2376 -1,2887 -1,3348 -1,3598 -1,3643 -1,3632 -1,3692 -1,3791 -1,3793 -1,3590 -1,3223 -1,2881 -1,2795 -1,3131 -1,3958 -1,5251 -1,6859 -1,8473 -1,9684 -2,0183 -1,9919 -1,9000 -1,7420 -1,4989 -1,1612 -0,7560 -0,3379 0,0389 0,3380 0,5409 0,6431 0,6572 0,6178 0,5782 0,5945 0,7044 0,9147 1,2017 1,5264 1,8493 2,1392 2,3811 2,5812 2,7620 2,9482 3,1544 3,3751 3,5857 3,7599 3,8825 3,9485 3,9561 3,9041 3,7952 3,6425 3,4703 3,3090 3,1901 3,1421 3,1818 3,3064 3,5011 3,7499 4,0380 4,3543 4,7014 5,0989 5,5637 6,0810 6,6020 7,0695 7,4378 7,6776 7,7835 7,7823 7,7221 7,6441 7,5672 7,4935 7,4150 7,3158 7,1818 7,0201 6,8632 6,7521 6,7158 6,7612 6,8707 7,0001 7,0849 7,0657 6,9183 6,6634 6,3475 6,0080 5,6488 5,2456 4,7715 4,2198 3,6102 2,9809 2,3727 1,8203 1,3522 0,9831 0,7051 0,4897 0,3017 0,1160 -0,0738 -0,2695 -0,4885 -0,7615 -1,1057 -1,5008 -1,8941 -2,2350 -2,5104 -2,7427 -2,9536 -3,1393 -3,2747 -3,3358 -3,3196 -3,2444 -3,1339 -3,0039 -2,8607 -2,7047 -2,5373 -2,3709 -2,2263 -2,1107 -1,9998 -1,8517 -1,6335 -1,3318 -0,9514 -0,5129 -0,0497 0,4001 0,8029 1,1421 1,4292 1,6947 1,9665 2,2550 2,5487 2,8166 3,0235 3,1499 3,2014 3,2031 3,1809 3,1451 3,0986 3,0499 3,0084 2,9781 2,9648 2,9798 3,0288 3,1014 3,1759 3,2342 3,2741 3,3076 3,3467 3,3941 3,4442 3,4819 3,4820 3,4235 3,3061 3,1479 2,9727 2,8006 2,6413 2,4932 2,3531 2,2294 2,1406 2,0973 2,0941 2,1152 2,1425 2,1595 2,1556 2,1273 2,0796 2,0263 1,9812 1,9473 1,9212 1,9034 1,8978 1,9034 1,9146 1,9290 1,9532 1,9934 2,0400 2,0659 2,0464 1,9748 1,8572 1,6961 1,4948 1,2784 1,0966 0,9961 0,9994 1,1077 1,3094 1,5801 1,8874 2,1994 2,4861 2,7191 2,8805 2,9758 3,0293 3,0645 3,0965 3,1433 3,2268 3,3521 3,4946 3,6199 3,7176 3,8092 3,9222 4,0635 4,2194 4,3702 4,5014 4,6124 4,7198 4,8441 4,9944 5,1642 5,3354 5,4815 5,5805 5,6335 5,6719 5,7401 5,8730 6,0806 6,3466 6,6345 6,9041 7,1335 7,3262 7,4962 7,6547 7,8111 7,9722 8,1386 8,3055 8,4624 8,5898 8,6641 8,6673 8,5971 8,4693 8,3050 8,1155 7,9097 7,7092 7,5408 7,4139 7,3147 7,2177 7,1039 6,9731 6,8486 6,7644 6,7317 6,7229 6,6928 6,6102 6,4670 6,2780 6,0760 5,8945 5,7497 5,6408 5,5617 5,5092 5,4874 5,5020 5,5496 5,6165 5,6875 5,7549 5,8156 5,8665 5,9059 5,9323 5,9371 5,9024 5,8099 5,6502 5,4330 5,1980 5,0101 4,9307 4,9808 5,1311 5,3277 5,5281 5,7182 5,9067 6,1091 6,3346 6,5806 6,8333 7,0688 7,2608 7,3949 7,4810 7,5492 7,6345 7,7566 7,9119 8,0802 8,2352 8,3497 8,4006 8,3759 8,2797 8,1282 7,9410 7,7390 7,5438 7,3723 7,2318 7,1247 7,0597 7,0523 7,1117 7,2315 7,3956 7,5892 7,8012 8,0173 8,2135 8,3596 8,4329 8,4301 8,3643 8,2500 8,0935 7,8941 7,6511 7,3680 7,0539 6,7287 6,4260 6,1825 6,0138 5,8973 5,7899 5,6618 5,5166 5,3845 5,2994 5,2790 5,3197 5,4010 5,4893 5,5425 5,5226 5,4092 5,2040 4,9291 4,6214 4,3230 4,0650 3,8544 3,6761 3,5111 3,3557 3,2255 3,1418 3,1081 3,1007 3,0837 3,0296 2,9308 2,7964 2,6437 2,4904 2,3465 2,2078 2,0663 1,9278 1,8126 1,7419 1,7316 1,7893 1,9172 2,1201 2,4034 2,7615 3,1722 3,6018 4,0113 4,3633 4,6344 4,8171 4,9109 4,9251 4,8902 4,8488 4,8301 4,8376 4,8603 4,8914 4,9334 4,9889 5,0525 5,1179 5,1943 5,3017 5,4468 5,6131 5,7713 5,8908 5,9508 5,9489 5,8935 5,7843 5,6117 5,3765 5,1043 4,8380 4,6180 4,4608 4,3491 4,2430 4,1093 3,9426 3,7573 3,5687 3,3830 3,1975 3,0045 2,7976 2,5754 2,3452 2,1240 1,9316 1,7829 1,6886 1,6547 1,6758 1,7318 1,7929 1,8334 1,8439 1,8297 1,7968 1,7477 1,6882 1,6233 1,5440 1,4303 1,2690 1,0679 0,8577 0,6844 0,5901 0,5895 0,6619 0,7679 0,8790 0,9890 1,0983 1,1954 1,2580 1,2659 1,2093 1,0873 0,9085 0,6912 0,4549 0,2093 -0,0472 -0,3160 -0,5886 -0,8466 -1,0671 -1,2283 -1,3147 -1,3260 -1,2840 -1,2284 -1,2003 -1,2247 -1,3041
Fz    1,6948 2,0353 2,2785 2,4662 2,6308 2,7927 2,9584 3,1175 3,2461 3,3190 3,3238 3,2614 3,1376 2,9663 2,7739 2,5880 2,4227 2,2745 2,1213 1,9264 1,6554 1,3003 0,8838 0,4420 0,0052 -0,4034 -0,7622 -1,0595 -1,3115 -1,5667 -1,8801 -2,2755 -2,7286 -3,1796 -3,5599 -3,8189 -3,9383 -3,9259 -3,8038 -3,6053 -3,3702 -3,1307 -2,8984 -2,6608 -2,3871 -2,0436 -1,6125 -1,1051 -0,5601 -0,0343 0,4167 0,7570 0,9799 1,1041 1,1613 1,1818 1,1822 1,1571 1,0846 0,9435 0,7324 0,4754 0,2061 -0,0506 -0,2784 -0,4582 -0,5667 -0,5798 -0,4785 -0,2601 0,0506 0,4036 0,7397 1,0110 1,1956 1,2953 1,3200 1,2750 1,1594 0,9757 0,7398 0,4762 0,2061 -0,0585 -0,3126 -0,5511 -0,7652 -0,9452 -1,0870 -1,1943 -1,2756 -1,3380 -1,3882 -1,4358 -1,4913 -1,5562 -1,6193 -1,6648 -1,6866 -1,6940 -1,6971 -1,6884 -1,6458 -1,5527 -1,4099 -1,2293 -1,0235 -0,8024 -0,5757 -0,3557 -0,1559 0,0137 0,1512 0,2613 0,3482 0,4152 0,4668 0,5053 0,5282 0,5369 0,5533 0,6207 0,7797 1,0372 1,3550 1,6634 1,8862 1,9645 1,8697 1,6110 1,2330 0,8032 0,3954 0,0785 -0,0949 -0,0971 0,0684 0,3649 0,7315 1,1061 1,4458 1,7336 1,9736 2,1822 2,3748 2,5518 2,6958 2,7796 2,7780 2,6747 2,4662 2,1682 1,8242 1,5039 1,2844 1,2242 1,3468 1,6369 2,0487 2,5249 3,0175 3,5006 3,9727 4,4543 4,9827 5,5911 6,2834 7,0287 7,7770 8,4726 9,0623 9,5113 9,8168 10,0070 10,1266 10,2174 10,3012 10,3723 10,4104 10,4036 10,3614 10,3039 10,2427 10,1754 10,0927 9,9864 9,8480 9,6618 9,4058 9,0622 8,6311 8,1297 7,5759 6,9741 6,3189 5,6070 4,8441 4,0478 3,2456 2,4695 1,7546 1,1384 0,6471 0,2812 0,0160 -0,1891 -0,3819 -0,6073 -0,9011 -1,2916 -1,7913 -2,3783 -2,9899 -3,5457 -3,9866 -4,3002 -4,5165 -4,6791 -4,8203 -4,9487 -5,0525 -5,1157 -5,1310 -5,0973 -5,0105 -4,8603 -4,6399 -4,3577 -4,0425 -3,7297 -3,4368 -3,1526 -2,8504 -2,5040 -2,0944 -1,6138 -1,0727 -0,5018 0,0570 0,5693 1,0285 1,4612 1,9071 2,3942 2,9304 3,5004 4,0608 4,5499 4,9128 5,1266 5,2068 5,1960 5,1444 5,0976 5,0911 5,1434 5,2524 5,3988 5,5501 5,6622 5,6948 5,6324 5,4917 5,3091 5,1225 4,9614 4,8438 4,7714 4,7252 4,6722 4,5841 4,4505 4,2766 4,0773 3,8766 3,7056 3,5903 3,5410 3,5514 3,6006 3,6553 3,6787 3,6439 3,5445 3,3954 3,2246 3,0570 2,9048 2,7707 2,6514 2,5412 2,4379 2,3470 2,2759 2,2280 2,2053 2,2134 2,2565 2,3243 2,3874 2,4105 2,3726 2,2778 2,1503 2,0196 1,9105 1,8464 1,8526 1,9459 2,1233 2,3633 2,6329 2,8972 3,1299 3,3203 3,4671 3,5681 3,6204 3,6259 3,5911 3,5210 3,4223 3,3109 3,2097 3,1357 3,0967 3,0981 3,1501 3,2606 3,4245 3,6248 3,8439 4,0765 4,3370 4,6616 5,0950 5,6585 6,3260 7,0276 7,6737 8,1828 8,5078 8,6500 8,6545 8,5893 8,5195 8,4880 8,5078 8,5708 8,6635 8,7819 8,9354 9,1387 9,4028 9,7331 10,1261 10,5631 11,0093 11,4172 11,7388 11,9432 12,0279 12,0139 11,9325 11,8075 11,6457 11,4478 11,2251 10,9931 10,7507 10,4789 10,1624 9,8077 9,4435 9,1113 8,8498 8,6761 8,5787 8,5308 8,5088 8,4972 8,4862 8,4649 8,4150 8,3143 8,1505 7,9289 7,6715 7,4085 7,1704 6,9876 6,8868 6,8822 6,9682 7,1238 7,3240 7,5480 7,7774 7,9897 8,1590 8,2601 8,2729 8,1915 8,0374 7,8642 7,7381 7,7045 7,7719 7,9248 8,1477 8,4384 8,8081 9,2710 9,8346 10,4935 11,2223 11,9700 12,6695 13,2578 13,6990 13,9983 14,1968 14,3489 14,5001 14,6783 14,8907 15,1256 15,3607 15,5720 15,7400 15,8516 15,9000 15,8850 15,8152 15,7079 15,5840 15,4658 15,3755 15,3310 15,3388 15,3928 15,4791 15,5798 15,6751 15,7427 15,7570 15,6911 15,5248 15,2508 14,8725 14,4011 13,8590 13,2805 12,7044 12,1605 11,6646 11,2232 10,8395 10,5113 10,2195 9,9300 9,6169 9,2858 8,9714 8,7144 8,5382 8,4352 8,3664 8,2711 8,0819 7,7468 7,2490 6,6162 5,9152 5,2400 4,6934 4,3556 4,2563 4,3654 4,6116 4,9156 5,2185 5,4907 5,7232 5,9083 6,0267 6,0538 5,9735 5,7872 5,5196 5,2202 4,9532 4,7759 4,7198 4,7930 4,9921 5,3022 5,6931 6,1219 6,5438 6,9299 7,2838 7,6336 8,0050 8,4007 8,7967 9,1475 9,4003 9,5164 9,4831 9,3120 9,0392 8,7256 8,4423 8,2443 8,1563 8,1744 8,2704 8,3952 8,4940 8,5298 8,5010 8,4404 8,3970 8,4086 8,4915 8,6413 8,8317 9,0170 9,1540 9,2233 9,2278 9,1792 9,0898 8,9718 8,8306 8,6559 8,4220 8,0982 7,6676 7,1413 6,5546 5,9490 5,3634 4,8349 4,3890 4,0243 3,7119 3,4118 3,0947 2,7571 2,4251 2,1470 1,9749 1,9426 2,0499 2,2603 2,5121 2,7412 2,9037 2,9829 2,9806 2,9127 2,8078 2,6960 2,5938 2,4999 2,4008 2,2816 2,1415 2,0015 1,8981 1,8655 1,9187 2,0458 2,2160 2,3963 2,5609 2,6858 2,7443 2,7135 2,5848 2,3671 2,0832 1,7587 1,4067 1,0203 0,5849 0,0985 -0,4202 -0,9404 -1,4284 -1,8536 -2,1960 -2,4533 -2,6450 -2,8100 -2,9935 -3,2258 -3,5096
F3    2,2503 2,6987 3,0610 3,3340 3,5148 3,6141 3,6631 3,6950 3,7160 3,7026 3,6279 3,4801 3,2585 2,9683 2,6236 2,2538 1,9009 1,5963 1,3343 1,0743 0,7697 0,3947 -0,0530 -0,5589 -1,0928 -1,6058 -2,0440 -2,3735 -2,5972 -2,7509 -2,8798 -3,0091 -3,1320 -3,2242 -3,2693 -3,2733 -3,2543 -3,2165 -3,1418 -3,0094 -2,8161 -2,5785 -2,3210 -2,0575 -1,7760 -1,4437 -1,0327 -0,5446 -0,0097 0,5336 1,0528 1,5248 1,9356 2,2793 2,5540 2,7631 2,9139 3,0069 3,0294 2,9712 2,8483 2,7031 2,5771 2,4849 2,4160 2,3534 2,2926 2,2517 2,2677 2,3726 2,5651 2,8067 3,0388 3,2051 3,2715 3,2384 3,1303 2,9672 2,7486 2,4638 2,1090 1,6949 1,2473 0,8009 0,3915 0,0518 -0,1928 -0,3350 -0,3986 -0,4388 -0,5148 -0,6536 -0,8434 -1,0566 -1,2677 -1,4478 -1,5559 -1,5537 -1,4358 -1,2369 -1,0073 -0,7875 -0,6043 -0,4767 -0,4127 -0,4031 -0,4282 -0,4732 -0,5316 -0,5999 -0,6742 -0,7486 -0,8099 -0,8383 -0,8213 -0,7662 -0,6959 -0,6320 -0,5769 -0,5049 -0,3667 -0,1070 0,3040 0,8483 1,4627 2,0612 2,5563 2,8751 2,9755 2,8605 2,5774 2,1990 1,8037 1,4647 1,2426 1,1760 1,2772 1,5315 1,8995 2,3303 2,7804 3,2239 3,6456 4,0323 4,3738 4,6634 4,8950 5,0609 5,1491 5,1437 5,0309 4,8132 4,5256 4,2406 4,0512 4,0340 4,2176 4,5761 5,0453 5,5444 6,0007 6,3689 6,6413 6,8458 7,0351 7,2657 7,5729 7,9602 8,4023 8,8508 9,2484 9,5538 9,7536 9,8547 9,8769 9,8510 9,8068 9,7566 9,6990 9,6396 9,5972 9,5864 9,6016 9,6204 9,6178 9,5729 9,4673 9,2911 9,0437 8,7291 8,3529 7,9248 7,4529 6,9376 6,3724 5,7494 5,0708 4,3654 3,6885 3,0998 2,6412 2,3260 2,1319 2,0055 1,8849 1,7163 1,4574 1,0828 0,5955 0,0273 -0,5701 -1,1357 -1,6127 -1,9641 -2,1845 -2,3023 -2,3635 -2,4043 -2,4367 -2,4522 -2,4330 -2,3557 -2,1977 -1,9539 -1,6488 -1,3204 -0,9962 -0,6902 -0,4136 -0,1734 0,0384 0,2425 0,4555 0,6812 0,9187 1,1689 1,4272 1,6737 1,8768 2,0168 2,1113 2,2149 2,3867 2,6609 3,0435 3,5170 4,0385 4,5447 4,9676 5,2491 5,3610 5,3262 5,2180 5,1256 5,1127 5,2028 5,3878 5,6369 5,8913 6,0687 6,0999 5,9675 5,7100 5,3921 5,0756 4,8050 4,6060 4,4852 4,4282 4,4019 4,3697 4,3053 4,1983 4,0604 3,9286 3,8554 3,8861 4,0391 4,3006 4,6303 4,9689 5,2471 5,4051 5,4179 5,3078 5,1305 4,9453 4,7926 4,6866 4,6159 4,5551 4,4851 4,4036 4,3153 4,2216 4,1223 4,0248 3,9418 3,8743 3,8037 3,7048 3,5615 3,3694 3,1349 2,8802 2,6527 2,5194 2,5392 2,7293 3,0587 3,4665 3,8852 4,2598 4,5637 4,7988 4,9782 5,1141 5,2156 5,2859 5,3184 5,3025 5,2371 5,1330 5,0022 4,8546 4,7073 4,5921 4,5487 4,6063 4,7632 4,9835 5,2164 5,4240 5,5996 5,7743 6,0071 6,3511 6,8144 7,3468 7,8617 8,2742 8,5318 8,6299 8,6066 8,5198 8,4193 8,3319 8,2659 8,2261 8,2242 8,2795 8,4098 8,6193 8,8940 9,2032 9,5074 9,7717 9,9774 10,1228 10,2180 10,2810 10,3334 10,3921 10,4631 10,5365 10,5857 10,5825 10,5163 10,3917 10,2066 9,9485 9,6129 9,2139 8,7784 8,3438 7,9589 7,6741 7,5272 7,5391 7,7148 8,0390 8,4676 8,9206 9,2973 9,5183 9,5597 9,4526 9,2564 9,0301 8,8176 8,6475 8,5357 8,4816 8,4692 8,4836 8,5312 8,6329 8,7980 9,0148 9,2617 9,5134 9,7372 9,8972 9,9713 9,9672 9,9224 9,8848 9,8860 9,9304 10,0109 10,1352 10,3384 10,6620 11,1211 11,6961 12,3479 13,0319 13,6967 14,2782 14,7092 14,9493 15,0072 14,9308 14,7839 14,6284 14,5082 14,4420 14,4324 14,4727 14,5466 14,6231 14,6600 14,6203 14,4951 14,3113 14,1142 13,9438 13,8302 13,7987 13,8663 14,0349 14,2868 14,5836 14,8706 15,0862 15,1738 15,0932 14,8293 14,3947 13,8246 13,1650 12,4654 11,7783 11,1506 10,6120 10,1729 9,8264 9,5472 9,2948 9,0197 8,6794 8,2680 7,8334 7,4576 7,2156 7,1443 7,2362 7,4501 7,7174 7,9437 8,0263 7,8924 7,5321 6,9997 6,3946 5,8384 5,4405 5,2581 5,2814 5,4539 5,7084 5,9917 6,2701 6,5199 6,7122 6,8058 6,7544 6,5265 6,1257 5,5996 5,0303 4,5135 4,1386 3,9696 4,0320 4,3156 4,7876 5,3982 6,0755 6,7336 7,3049 7,7628 8,1064 8,3369 8,4562 8,4786 8,4327 8,3511 8,2547 8,1457 8,0192 7,8784 7,7337 7,5893 7,4387 7,2806 7,1338 7,0229 6,9475 6,8770 6,7818 6,6659 6,5702 6,5435 6,6110 6,7667 6,9871 7,2427 7,5029 7,7414 7,9451 8,1118 8,2437 8,3451 8,4205 8,4665 8,4610 8,3677 8,1535 7,8017 7,3143 6,7112 6,0285 5,3183 4,6425 4,0500 3,5558 3,1429 2,7829 2,4531 2,1522 1,9083 1,7688 1,7755 1,9455 2,2651 2,6854 3,1252 3,4918 3,7166 3,7729 3,6699 3,4397 3,1287 2,7878 2,4632 2,1877 1,9755 1,8209 1,7030 1,6015 1,5189 1,4832 1,5188 1,6185 1,7509 1,8905 2,0384 2,2098 2,3995 2,5667 2,6594 2,6469 2,5286 2,3160 2,0139 1,6152 1,1160 0,5333 -0,0928 -0,7149 -1,2938 -1,8065 -2,2492 -2,6344 -2,9846 -3,3249 -3,6764 -4,0478 -4,4308
F7    -0,0958 0,0335 0,1819 0,3689 0,5928 0,8409 1,1015 1,3603 1,5942 1,7824 1,9256 2,0406 2,1346 2,1968 2,2105 2,1657 2,0677 1,9334 1,7735 1,5829 1,3511 1,0711 0,7404 0,3624 -0,0476 -0,4569 -0,8212 -1,1057 -1,3067 -1,4584 -1,6098 -1,7901 -1,9920 -2,1751 -2,2839 -2,2830 -2,1761 -1,9889 -1,7523 -1,5062 -1,2985 -1,1591 -1,0803 -1,0246 -0,9468 -0,8103 -0,5928 -0,2873 0,0977 0,5394 1,0053 1,4634 1,8866 2,2482 2,5221 2,6971 2,7865 2,8166 2,8104 2,7857 2,7563 2,7274 2,6917 2,6366 2,5557 2,4559 2,3574 2,2896 2,2792 2,3286 2,4032 2,4444 2,3989 2,2386 1,9667 1,6192 1,2537 0,9281 0,6806 0,5222 0,4408 0,4133 0,4182 0,4377 0,4502 0,4335 0,3799 0,2988 0,2000 0,0826 -0,0572 -0,2147 -0,3803 -0,5514 -0,7313 -0,9118 -1,0634 -1,1504 -1,1569 -1,0928 -0,9807 -0,8434 -0,7021 -0,5757 -0,4721 -0,3848 -0,3019 -0,2211 -0,1586 -0,1429 -0,1959 -0,3152 -0,4708 -0,6156 -0,7072 -0,7278 -0,6864 -0,6088 -0,5295 -0,4743 -0,4324 -0,3526 -0,1820 0,0912 0,4305 0,7726 1,0547 1,2355 1,3042 1,2823 1,2182 1,1715 1,1920 1,3073 1,5200 1,8110 2,1473 2,4874 2,7879 3,0266 3,2233 3,4259 3,6714 3,9633 4,2793 4,5926 4,8882 5,1617 5,4046 5,5919 5,6877 5,6632 5,5149 5,2701 4,9814 4,7166 4,5432 4,5048 4,6006 4,7879 5,0071 5,2103 5,3780 5,5207 5,6713 5,8625 6,1004 6,3631 6,6211 6,8474 7,0171 7,1162 7,1528 7,1500 7,1303 7,1117 7,1096 7,1307 7,1692 7,2177 7,2769 7,3522 7,4458 7,5513 7,6527 7,7257 7,7447 7,6879 7,5408 7,3038 6,9961 6,6470 6,2745 5,8727 5,4222 4,9084 4,3327 3,7201 3,1234 2,6079 2,2223 1,9840 1,8770 1,8571 1,8698 1,8738 1,8461 1,7762 1,6598 1,4949 1,2813 1,0246 0,7427 0,4631 0,2029 -0,0525 -0,3306 -0,6258 -0,8848 -1,0401 -1,0573 -0,9558 -0,7884 -0,6002 -0,4098 -0,2188 -0,0206 0,1933 0,4192 0,6364 0,8259 0,9900 1,1481 1,3230 1,5343 1,7905 2,0816 2,3789 2,6422 2,8313 2,9264 2,9441 2,9352 2,9638 3,0823 3,3060 3,5987 3,8887 4,1071 4,2173 4,2234 4,1594 4,0672 3,9822 3,9255 3,9021 3,9082 3,9449 4,0162 4,1126 4,2090 4,2817 4,3217 4,3381 4,3515 4,3773 4,4137 4,4434 4,4431 4,3970 4,3101 4,2060 4,1049 4,0136 3,9380 3,8936 3,8935 3,9389 4,0264 4,1531 4,3060 4,4556 4,5668 4,6169 4,6044 4,5402 4,4347 4,3034 4,1780 4,0980 4,0870 4,1445 4,2526 4,3802 4,4869 4,5391 4,5320 4,4920 4,4486 4,4049 4,3381 4,2237 4,0508 3,8156 3,5139 3,1522 2,7685 2,4337 2,2222 2,1755 2,2897 2,5292 2,8470 3,1985 3,5483 3,8733 4,1638 4,4196 4,6478 4,8588 5,0600 5,2532 5,4386 5,6162 5,7796 5,9091 5,9834 6,0066 6,0164 6,0516 6,1167 6,1851 6,2309 6,2501 6,2626 6,3006 6,3862 6,5144 6,6597 6,7982 6,9204 7,0328 7,1530 7,3004 7,4825 7,6868 7,8875 8,0644 8,2153 8,3509 8,4828 8,6181 8,7571 8,8928 9,0128 9,1059 9,1652 9,1881 9,1756 9,1355 9,0843 9,0384 9,0074 8,9951 8,9940 8,9777 8,9152 8,8002 8,6550 8,5033 8,3509 8,1912 8,0187 7,8403 7,6788 7,5634 7,5076 7,4973 7,5057 7,5194 7,5423 7,5766 7,6053 7,5973 7,5325 7,4199 7,2843 7,1405 6,9901 6,8368 6,6988 6,6032 6,5639 6,5688 6,5906 6,6097 6,6262 6,6523 6,6965 6,7580 6,8317 6,9101 6,9795 7,0276 7,0554 7,0758 7,0948 7,0975 7,0619 6,9899 6,9172 6,8879 6,9288 7,0473 7,2397 7,4850 7,7436 7,9729 8,1457 8,2565 8,3218 8,3722 8,4374 8,5307 8,6414 8,7398 8,7960 8,8007 8,7653 8,7060 8,6293 8,5348 8,4285 8,3302 8,2580 8,2082 8,1557 8,0787 7,9800 7,8844 7,8266 7,8376 7,9318 8,1011 8,3157 8,5279 8,6849 8,7495 8,7150 8,6057 8,4599 8,3045 8,1457 7,9784 7,7982 7,6054 7,4080 7,2227 7,0682 6,9466 6,8326 6,6945 6,5238 6,3396 6,1743 6,0579 6,0096 6,0357 6,1246 6,2442 6,3469 6,3863 6,3365 6,2000 6,0002 5,7673 5,5286 5,3038 5,1019 4,9205 4,7511 4,5869 4,4327 4,3052 4,2159 4,1555 4,1032 4,0428 3,9619 3,8487 3,7022 3,5430 3,4033 3,3085 3,2677 3,2763 3,3222 3,3953 3,4923 3,6131 3,7581 3,9292 4,1220 4,3189 4,4932 4,6223 4,7043 4,7662 4,8493 4,9744 5,1264 5,2779 5,4190 5,5574 5,6950 5,8164 5,9039 5,9569 5,9883 6,0062 6,0063 5,9851 5,9538 5,9315 5,9257 5,9273 5,9191 5,8834 5,8120 5,7172 5,6279 5,5675 5,5392 5,5327 5,5390 5,5582 5,5938 5,6369 5,6543 5,5960 5,4200 5,1190 4,7246 4,2915 3,8755 3,5124 3,2092 2,9583 2,7567 2,6094 2,5219 2,4938 2,5130 2,5605 2,6222 2,6949 2,7813 2,8809 2,9852 3,0793 3,1416 3,1423 3,0544 2,8675 2,5895 2,2376 1,8319 1,3954 0,9632 0,5879 0,3294 0,2318 0,3024 0,4970 0,7326 0,9350 1,0838 1,2096 1,3496 1,5086 1,6554 1,7476 1,7576 1,6783 1,5153 1,2806 0,9911 0,6637 0,3124 -0,0491 -0,4052 -0,7383 -1,0278 -1,2501 -1,3855 -1,4339 -1,4228 -1,3956 -1,3900 -1,4201
