Fp1   -0,5163 -0,4576 -0,3264 -0,1378 0,0726 0,2717 0,4462 0,5981 0,7347 0,8634 0,9883 1,1060 1,2025 1,2553 1,2437 1,1588 1,0063 0,8075 0,5979 0,4175 0,2941 0,2305 0,2051 0,1921 0,1801 0,1729 0,1751 0,1805 0,1754 0,1530 0,1159 0,0650 -0,0070 -0,1068 -0,2292 -0,3606 -0,4877 -0,6002 -0,6906 -0,7579 -0,8114 -0,8666 -0,9314 -0,9985 -1,0520 -1,0829 -1,0975 -1,1106 -1,1302 -1,1512 -1,1637 -1,1603 -1,1360 -1,0863 -1,0083 -0,9031 -0,7792 -0,6505 -0,5303 -0,4273 -0,3463 -0,2934 -0,2731 -0,2808 -0,3026 -0,3276 -0,3579 -0,4074 -0,4918 -0,6217 -0,7981 -1,0109 -1,2397 -1,4605 -1,6521 -1,7980 -1,8829 -1,8944 -1,8288 -1,6964 -1,5213 -1,3347 -1,1605 -1,0080 -0,8791 -0,7747 -0,6933 -0,6285 -0,5718 -0,5182 -0,4684 -0,4224 -0,3781 -0,3343 -0,2891 -0,2377 -0,1754 -0,1031 -0,0288 0,0320 0,0611 0,0450 -0,0252 -0,1587 -0,3642 -0,6464 -1,0053 -1,4340 -1,9172 -2,4326 -2,9526 -3,4481 -3,8948 -4,2766 -4,5820 -4,8061 -4,9520 -5,0258 -5,0307 -4,9684 -4,8430 -4,6611 -4,4304 -4,1614 -3,8670 -3,5580 -3,2426 -2,9296 -2,6299 -2,3531 -2,1058 -1,8912 -1,7071 -1,5422 -1,3756 -1,1843 -0,9574 -0,7065 -0,4577 -0,2288 -0,0130 0,2152 0,4823 0,8014 1,1698 1,5761 2,0062 2,4440 2,8715 3,2761 3,6572 4,0257 4,3949 4,7734 5,1635 5,5615 5,9565 6,3353 6,6888 7,0081 7,2787 7,4879 7,6322 7,7161 7,7462 7,7309 7,6800 7,6038 7,5155 7,4310 7,3618 7,3027 7,2298 7,1173 6,9556 6,7531 6,5288 6,3045 6,0939 5,8958 5,6989 5,4913 5,2654 5,0179 4,7542 4,4926 4,2585 4,0755 3,9589 3,9077 3,9011 3,9117 3,9186 3,9093 3,8763 3,8138 3,7149 3,5691 3,3656 3,1039 2,8025 2,4925 2,2024 1,9498 1,7432 1,5823 1,4589 1,3719 1,3377 1,3781 1,5020 1,7006 1,9517 2,2266 2,5010 2,7639 3,0178 3,2683 3,5127 3,7400 3,9392 4,1050 4,2372 4,3381 4,4105 4,4570 4,4793 4,4767 4,4475 4,3957 4,3395 4,3071 4,3207 4,3831 4,4818 4,6056 4,7547 4,9351 5,1457 5,3727 5,5941 5,7853 5,9231 5,9889 5,9725 5,8779 5,7253 5,5422 5,3552 5,1861 5,0530 4,9683 4,9355 4,9467 4,9843 5,0261 5,0501 5,0410 4,9916 4,9027 4,7837 4,6501 4,5168 4,3953 4,2963 4,2266 4,1836 4,1556 4,1293 4,0970 4,0571 4,0117 3,9634 3,9070 3,8304 3,7280 3,6115 3,5024 3,4168 3,3579 3,3216 3,3052 3,3057 3,3101 3,3014 3,2745 3,2370 3,1953 3,1448 3,0739 2,9744 2,8482 2,7048 2,5580 2,4292 2,3428 2,3056 2,2927 2,2665 2,2062 2,1180 2,0222 1,9404 1,8884 1,8746 1,8968 1,9423 1,9946 2,0410 2,0753 2,0990 2,1244 2,1705 2,2493 2,3565 2,4810 2,6151 2,7507 2,8757 2,9781 3,0499 3,0861 3,0869 3,0593 3,0093 2,9397 2,8556 2,7695 2,6973 2,6501 2,6286 2,6309 2,6610 2,7202 2,7934 2,8553 2,8867 2,8855 2,8667 2,8526 2,8628 2,9091 2,9907 3,0917 3,1856 3,2482 3,2721 3,2724 3,2727 3,2875 3,3160 3,3475 3,3679 3,3648 3,3290 3,2563 3,1489 3,0153 2,8715 2,7405 2,6442 2,5951 2,5927 2,6308 2,7029 2,7984 2,8990 2,9824 3,0294 3,0271 2,9715 2,8687 2,7264 2,5473 2,3322 2,0884 1,8340 1,5945 1,3931 1,2404 1,1342 1,0684 1,0365 1,0322 1,0500 1,0830 1,1193 1,1470 1,1634 1,1776 1,2009 1,2397 1,2958 1,3689 1,4568 1,5486 1,6271 1,6826 1,7206 1,7481 1,7601 1,7443 1,6930 1,6073 1,4902 1,3435 1,1712 0,9813 0,7821 0,5835 0,4009 0,2517 0,1453 0,0821 0,0619 0,0854 0,1434 0,2135 0,2725 0,3103 0,3304 0,3406 0,3438 0,3343 0,3011 0,2349 0,1343 0,0064 -0,1376 -0,2898 -0,4467 -0,6066 -0,7737 -0,9523 -1,1310 -1,2783 -1,3580 -1,3458 -1,2357 -1,0402 -0,7905 -0,5282 -0,2932 -0,1125 0,0050 0,0655 0,0817 0,0650 0,0228 -0,0427 -0,1306 -0,2413 -0,3801 -0,5562 -0,7733 -1,0206 -1,2751 -1,5145 -1,7307 -1,9282 -2,1084 -2,2559 -2,3455 -2,3571 -2,2828 -2,1297 -1,9199 -1,6859 -1,4624 -1,2848 -1,1859 -1,1876 -1,2916 -1,4761 -1,7039 -1,9427 -2,1789 -2,4119 -2,6429 -2,8759 -3,1186 -3,3716 -3,6219 -3,8518 -4,0510 -4,2219 -4,3753 -4,5209 -4,6594 -4,7848 -4,8891 -4,9677 -5,0203 -5,0486 -5,0524 -5,0355 -5,0107 -4,9930 -4,9881 -4,9912 -4,9935 -4,9819 -4,9400 -4,8535 -4,7138 -4,5195 -4,2798 -4,0157 -3,7526 -3,5058 -3,2685 -3,0187 -2,7389 -2,4287 -2,1013 -1,7716 -1,4489 -1,1368 -0,8356 -0,5451 -0,2690 -0,0163 0,1997 0,3705 0,4987 0,5956 0,6709 0,7275 0,7684 0,8011 0,8285 0,8428 0,8329 0,7943 0,7341 0,6683 0,6103 0,5637 0,5268 0,5024 0,5002 0,5292 0,5872 0,6574 0,7164 0,7423 0,7199 0,6432 0,5161 0,3532 0,1755 0,0034 -0,1477 -0,2704 -0,3702 -0,4626 -0,5627 -0,6740 -0,7902 -0,9041 -1,0137 -1,1202 -1,2257 -1,3308 -1,4292 -1,5096 -1,5663 -1,6059 -1,6415 -1,6827 -1,7318 -1,7837 -1,8240 -1,8336 -1,8019 -1,7367 -1,6559 -1,5736 -1,4945 -1,4191 -1,3497 -1,2978 -1,2849 -1,3343 -1,4616 -1,6632 -1,9105 -2,1630 -2,3909 -2,5810 -2,7260 -2,8189 -2,8602 -2,8619 -2,8420 -2,8159 -2,7953 -2,7916 -2,8133 -2,8591
Fz    -0,0070 -0,0691 -0,0537 0,0329 0,1667 0,3292 0,5181 0,7391 0,9913 1,2598 1,5165 1,7271 1,8600 1,8938 1,8228 1,6581 1,4275 1,1741 0,9492 0,7986 0,7465 0,7809 0,8567 0,9254 0,9624 0,9676 0,9481 0,9042 0,8298 0,7228 0,5853 0,4157 0,2063 -0,0460 -0,3313 -0,6304 -0,9234 -1,1920 -1,4221 -1,6095 -1,7641 -1,9060 -2,0518 -2,1991 -2,3283 -2,4185 -2,4621 -2,4652 -2,4393 -2,3979 -2,3573 -2,3326 -2,3273 -2,3277 -2,3101 -2,2540 -2,1526 -2,0120 -1,8429 -1,6552 -1,4620 -1,2834 -1,1401 -1,0441 -0,9974 -0,9973 -1,0392 -1,1179 -1,2302 -1,3786 -1,5653 -1,7837 -2,0165 -2,2402 -2,4313 -2,5696 -2,6385 -2,6256 -2,5240 -2,3350 -2,0719 -1,7587 -1,4201 -1,0723 -0,7236 -0,3780 -0,0360 0,3040 0,6404 0,9647 1,2634 1,5234 1,7342 1,8883 1,9850 2,0358 2,0598 2,0728 2,0784 2,0687 2,0328 1,9637 1,8551 1,6916 1,4491 1,1025 0,6357 0,0513 -0,6245 -1,3488 -2,0748 -2,7681 -3,4148 -4,0154 -4,5699 -5,0716 -5,5071 -5,8559 -6,0953 -6,2106 -6,2023 -6,0822 -5,8667 -5,5711 -5,2080 -4,7894 -4,3333 -3,8667 -3,4214 -3,0257 -2,7003 -2,4553 -2,2865 -2,1732 -2,0826 -1,9816 -1,8540 -1,7086 -1,5673 -1,4416 -1,3125 -1,1331 -0,8499 -0,4292 0,1309 0,8056 1,5554 2,3361 3,1090 3,8504 4,5563 5,2349 5,8925 6,5238 7,1178 7,6661 8,1611 8,5924 8,9520 9,2365 9,4440 9,5795 9,6584 9,6969 9,7020 9,6743 9,6174 9,5411 9,4606 9,3905 9,3327 9,2664 9,1508 8,9487 8,6485 8,2690 7,8497 7,4327 7,0418 6,6788 6,3356 6,0052 5,6849 5,3772 5,0939 4,8558 4,6852 4,5976 4,5977 4,6738 4,7981 4,9364 5,0594 5,1452 5,1790 5,1492 5,0427 4,8461 4,5540 4,1768 3,7440 3,2955 2,8702 2,4982 2,1967 1,9660 1,7958 1,6839 1,6438 1,6938 1,8405 2,0731 2,3668 2,6933 3,0339 3,3855 3,7561 4,1510 4,5624 4,9714 5,3579 5,7067 6,0060 6,2449 6,4156 6,5166 6,5527 6,5336 6,4767 6,4115 6,3763 6,4015 6,4938 6,6352 6,7977 6,9618 7,1261 7,2980 7,4779 7,6543 7,8109 7,9344 8,0157 8,0473 8,0230 7,9431 7,8171 7,6634 7,5068 7,3743 7,2840 7,2359 7,2143 7,2000 7,1810 7,1544 7,1196 7,0722 6,9999 6,8885 6,7368 6,5606 6,3820 6,2193 6,0857 5,9875 5,9210 5,8754 5,8429 5,8224 5,8174 5,8344 5,8751 5,9269 5,9661 5,9757 5,9564 5,9196 5,8746 5,8226 5,7600 5,6849 5,5991 5,5027 5,3925 5,2686 5,1370 5,0028 4,8635 4,7112 4,5414 4,3554 4,1561 3,9482 3,7455 3,5695 3,4308 3,3143 3,1946 3,0622 2,9308 2,8261 2,7722 2,7826 2,8575 2,9840 3,1422 3,3166 3,5008 3,6907 3,8785 4,0579 4,2304 4,3980 4,5558 4,6966 4,8171 4,9169 4,9975 5,0622 5,1114 5,1404 5,1479 5,1386 5,1152 5,0723 5,0035 4,9104 4,8056 4,7062 4,6254 4,5760 4,5734 4,6226 4,7059 4,7929 4,8616 4,9076 4,9410 4,9786 5,0343 5,1118 5,2007 5,2792 5,3243 5,3227 5,2784 5,2114 5,1450 5,0916 5,0496 5,0089 4,9581 4,8877 4,7932 4,6776 4,5500 4,4184 4,2883 4,1671 4,0662 3,9970 3,9668 3,9790 4,0336 4,1224 4,2232 4,3071 4,3519 4,3494 4,3026 4,2163 4,0888 3,9122 3,6853 3,4240 3,1615 2,9349 2,7688 2,6654 2,6103 2,5858 2,5796 2,5876 2,6104 2,6466 2,6904 2,7378 2,7944 2,8753 2,9939 3,1521 3,3390 3,5355 3,7177 3,8581 3,9323 3,9340 3,8785 3,7860 3,6660 3,5212 3,3546 3,1685 2,9599 2,7253 2,4681 2,2014 1,9431 1,7119 1,5248 1,3898 1,2984 1,2334 1,1827 1,1411 1,1007 1,0491 0,9777 0,8874 0,7869 0,6869 0,5901 0,4863 0,3603 0,2033 0,0162 -0,1961 -0,4316 -0,6921 -0,9760 -1,2737 -1,5742 -1,8695 -2,1461 -2,3784 -2,5340 -2,5860 -2,5226 -2,3533 -2,1093 -1,8354 -1,5756 -1,3621 -1,2076 -1,1032 -1,0264 -0,9565 -0,8886 -0,8357 -0,8188 -0,8564 -0,9617 -1,1446 -1,4096 -1,7504 -2,1467 -2,5694 -2,9928 -3,3987 -3,7672 -4,0674 -4,2626 -4,3176 -4,2056 -3,9172 -3,4718 -2,9168 -2,3196 -1,7592 -1,3122 -1,0342 -0,9469 -1,0363 -1,2622 -1,5770 -1,9385 -2,3090 -2,6569 -2,9683 -3,2515 -3,5220 -3,7886 -4,0530 -4,3155 -4,5799 -4,8510 -5,1276 -5,3977 -5,6445 -5,8503 -5,9996 -6,0856 -6,1141 -6,1009 -6,0702 -6,0502 -6,0609 -6,1031 -6,1628 -6,2227 -6,2639 -6,2666 -6,2153 -6,1003 -5,9165 -5,6720 -5,3962 -5,1300 -4,9017 -4,7098 -4,5296 -4,3346 -4,1121 -3,8609 -3,5795 -3,2633 -2,9091 -2,5175 -2,0942 -1,6552 -1,2269 -0,8372 -0,5022 -0,2219 0,0138 0,2156 0,3886 0,5363 0,6611 0,7548 0,7936 0,7521 0,6230 0,4251 0,1922 -0,0464 -0,2759 -0,4896 -0,6789 -0,8260 -0,9079 -0,9087 -0,8306 -0,6949 -0,5389 -0,4083 -0,3483 -0,3906 -0,5399 -0,7721 -1,0460 -1,3193 -1,5644 -1,7797 -1,9860 -2,2055 -2,4399 -2,6672 -2,8605 -3,0067 -3,1117 -3,1940 -3,2730 -3,3552 -3,4335 -3,4977 -3,5450 -3,5797 -3,6072 -3,6278 -3,6343 -3,6076 -3,5218 -3,3611 -3,1340 -2,8691 -2,5990 -2,3542 -2,1631 -2,0480 -2,0206 -2,0832 -2,2332 -2,4616 -2,7477 -3,0567 -3,3486 -3,5909 -3,7637 -3,8578 -3,8736 -3,8227 -3,7269 -3,6109 -3,4973 -3,4069 -3,3602 -3,3723 -3,4452
F3    -0,6760 -0,6264 -0,4910 -0,2874 -0,0488 0,1993 0,4465 0,6879 0,9162 1,1210 1,2894 1,4082 1,4645 1,4476 1,3531 1,1860 0,9626 0,7149 0,4914 0,3442 0,3060 0,3683 0,4857 0,6086 0,7095 0,7831 0,8292 0,8449 0,8283 0,7866 0,7297 0,6555 0,5502 0,4040 0,2228 0,0230 -0,1798 -0,3743 -0,5549 -0,7269 -0,9085 -1,1208 -1,3714 -1,6460 -1,9182 -2,1621 -2,3597 -2,5035 -2,5910 -2,6215 -2,5996 -2,5383 -2,4537 -2,3573 -2,2524 -2,1380 -2,0165 -1,8949 -1,7800 -1,6754 -1,5862 -1,5230 -1,4962 -1,5064 -1,5450 -1,6039 -1,6817 -1,7825 -1,9135 -2,0840 -2,2998 -2,5554 -2,8304 -3,0965 -3,3266 -3,4955 -3,5790 -3,5574 -3,4227 -3,1831 -2,8631 -2,4973 -2,1160 -1,7377 -1,3735 -1,0334 -0,7258 -0,4552 -0,2220 -0,0294 0,1136 0,1992 0,2282 0,2119 0,1724 0,1395 0,1407 0,1920 0,2902 0,4082 0,5051 0,5473 0,5154 0,3948 0,1700 -0,1686 -0,6202 -1,1735 -1,8073 -2,4928 -3,1967 -3,8885 -4,5485 -5,1661 -5,7309 -6,2293 -6,6453 -6,9605 -7,1583 -7,2305 -7,1785 -7,0081 -6,7297 -6,3609 -5,9280 -5,4641 -5,0059 -4,5877 -4,2357 -3,9641 -3,7751 -3,6601 -3,6029 -3,5847 -3,5851 -3,5812 -3,5524 -3,4911 -3,4041 -3,2969 -3,1569 -2,9517 -2,6415 -2,1999 -1,6276 -0,9525 -0,2171 0,5344 1,2662 1,9576 2,6048 3,2157 3,7985 4,3516 4,8665 5,3383 5,7673 6,1559 6,5067 6,8157 7,0679 7,2504 7,3636 7,4156 7,4129 7,3616 7,2752 7,1786 7,1025 7,0721 7,0952 7,1503 7,1871 7,1502 7,0093 6,7712 6,4681 6,1369 5,8032 5,4785 5,1667 4,8706 4,5917 4,3287 4,0818 3,8593 3,6775 3,5543 3,5030 3,5232 3,5993 3,7056 3,8112 3,8857 3,9086 3,8709 3,7663 3,5832 3,3089 2,9420 2,5017 2,0241 1,5490 1,1072 0,7165 0,3825 0,1078 -0,0963 -0,2097 -0,2176 -0,1178 0,0814 0,3595 0,6829 1,0191 1,3537 1,6888 2,0280 2,3635 2,6763 2,9489 3,1740 3,3527 3,4880 3,5811 3,6316 3,6406 3,6132 3,5607 3,5035 3,4721 3,4944 3,5762 3,6994 3,8395 3,9858 4,1457 4,3316 4,5467 4,7779 4,9971 5,1704 5,2686 5,2764 5,1939 5,0356 4,8272 4,5987 4,3787 4,1924 4,0568 3,9723 3,9251 3,8969 3,8748 3,8548 3,8377 3,8210 3,7934 3,7405 3,6577 3,5516 3,4293 3,2959 3,1586 3,0247 2,8952 2,7688 2,6518 2,5565 2,4915 2,4580 2,4517 2,4602 2,4654 2,4538 2,4261 2,3969 2,3862 2,4110 2,4791 2,5866 2,7186 2,8527 2,9687 3,0568 3,1142 3,1370 3,1150 3,0349 2,8882 2,6770 2,4140 2,1225 1,8370 1,5913 1,3957 1,2294 1,0643 0,8941 0,7372 0,6209 0,5674 0,5904 0,6945 0,8722 1,1036 1,3644 1,6327 1,8873 2,1065 2,2758 2,3980 2,4889 2,5641 2,6325 2,6985 2,7635 2,8247 2,8764 2,9124 2,9285 2,9269 2,9149 2,8959 2,8655 2,8180 2,7569 2,6978 2,6610 2,6603 2,7027 2,7895 2,9088 3,0293 3,1130 3,1350 3,0928 3,0044 2,8981 2,8004 2,7315 2,7024 2,7118 2,7469 2,7916 2,8383 2,8911 2,9570 3,0332 3,1056 3,1570 3,1752 3,1544 3,0926 2,9921 2,8600 2,7075 2,5492 2,4020 2,2840 2,2086 2,1814 2,2015 2,2629 2,3488 2,4325 2,4881 2,4994 2,4597 2,3684 2,2280 2,0404 1,8045 1,5221 1,2050 0,8806 0,5869 0,3547 0,1887 0,0716 -0,0159 -0,0820 -0,1246 -0,1396 -0,1292 -0,1063 -0,0876 -0,0803 -0,0768 -0,0621 -0,0241 0,0421 0,1350 0,2470 0,3629 0,4619 0,5299 0,5655 0,5685 0,5303 0,4425 0,3089 0,1447 -0,0339 -0,2203 -0,4174 -0,6292 -0,8514 -1,0690 -1,2607 -1,4104 -1,5120 -1,5651 -1,5691 -1,5286 -1,4627 -1,4035 -1,3799 -1,4025 -1,4635 -1,5461 -1,6407 -1,7523 -1,8909 -2,0591 -2,2508 -2,4578 -2,6735 -2,8950 -3,1197 -3,3448 -3,5721 -3,8064 -4,0385 -4,2367 -4,3602 -4,3793 -4,2835 -4,0838 -3,8125 -3,5138 -3,2313 -2,9982 -2,8310 -2,7271 -2,6697 -2,6388 -2,6216 -2,6177 -2,6353 -2,6869 -2,7876 -2,9526 -3,1899 -3,4903 -3,8270 -4,1674 -4,4874 -4,7739 -5,0150 -5,1900 -5,2741 -5,2481 -5,1008 -4,8313 -4,4558 -4,0086 -3,5357 -3,0896 -2,7223 -2,4758 -2,3717 -2,4037 -2,5401 -2,7407 -2,9742 -3,2194 -3,4637 -3,7090 -3,9706 -4,2600 -4,5735 -4,8988 -5,2249 -5,5431 -5,8445 -6,1164 -6,3452 -6,5216 -6,6426 -6,7118 -6,7420 -6,7523 -6,7594 -6,7785 -6,8296 -6,9329 -7,0923 -7,2934 -7,5148 -7,7334 -7,9232 -8,0516 -8,0832 -7,9911 -7,7725 -7,4524 -7,0712 -6,6668 -6,2636 -5,8745 -5,5090 -5,1763 -4,8786 -4,6062 -4,3438 -4,0801 -3,8105 -3,5319 -3,2413 -2,9447 -2,6609 -2,4095 -2,1969 -2,0167 -1,8644 -1,7427 -1,6504 -1,5791 -1,5288 -1,5160 -1,5566 -1,6464 -1,7612 -1,8710 -1,9544 -2,0037 -2,0192 -2,0021 -1,9516 -1,8695 -1,7684 -1,6762 -1,6263 -1,6422 -1,7299 -1,8868 -2,1083 -2,3832 -2,6901 -3,0049 -3,3044 -3,5700 -3,7945 -3,9863 -4,1555 -4,2985 -4,3971 -4,4355 -4,4144 -4,3522 -4,2773 -4,2150 -4,1753 -4,1512 -4,1306 -4,1098 -4,0949 -4,0952 -4,1179 -4,1600 -4,1996 -4,1980 -4,1208 -3,9601 -3,7331 -3,4668 -3,1893 -2,9289 -2,7143 -2,5717 -2,5200 -2,5681 -2,7140 -2,9413 -3,2149 -3,4887 -3,7260 -3,9100 -4,0360 -4,1015 -4,1074 -4,0662 -4,0015 -3,9380 -3,8965 -3,8929 -3,9352 -4,0200
F7    -1,4171 -1,2743 -1,0528 -0,7746 -0,4760 -0,1852 0,0850 0,3297 0,5455 0,7291 0,8777 0,9908 1,0698 1,1105 1,1005 1,0275 0,8938 0,7229 0,5542 0,4262 0,3561 0,3273 0,3010 0,2485 0,1731 0,1008 0,0563 0,0490 0,0763 0,1334 0,2133 0,2985 0,3604 0,3733 0,3299 0,2426 0,1346 0,0306 -0,0498 -0,1037 -0,1543 -0,2415 -0,3952 -0,6123 -0,8583 -1,0879 -1,2681 -1,3881 -1,4536 -1,4753 -1,4640 -1,4319 -1,3933 -1,3611 -1,3396 -1,3234 -1,3036 -1,2766 -1,2462 -1,2213 -1,2146 -1,2392 -1,2996 -1,3877 -1,4909 -1,5984 -1,7000 -1,7862 -1,8562 -1,9227 -2,0052 -2,1173 -2,2614 -2,4312 -2,6155 -2,7989 -2,9638 -3,0908 -3,1583 -3,1489 -3,0610 -2,9122 -2,7276 -2,5257 -2,3190 -2,1201 -1,9413 -1,7913 -1,6707 -1,5744 -1,4984 -1,4428 -1,4092 -1,3963 -1,3945 -1,3818 -1,3331 -1,2342 -1,0911 -0,9301 -0,7872 -0,6939 -0,6719 -0,7339 -0,8834 -1,1149 -1,4205 -1,7971 -2,2427 -2,7456 -3,2761 -3,7927 -4,2588 -4,6507 -4,9560 -5,1734 -5,3118 -5,3836 -5,3974 -5,3599 -5,2779 -5,1598 -5,0152 -4,8538 -4,6836 -4,5138 -4,3566 -4,2248 -4,1283 -4,0712 -4,0478 -4,0433 -4,0400 -4,0228 -3,9798 -3,9008 -3,7795 -3,6204 -3,4370 -3,2384 -3,0181 -2,7556 -2,4303 -2,0374 -1,5915 -1,1174 -0,6379 -0,1686 0,2803 0,7042 1,1051 1,4911 1,8725 2,2569 2,6468 3,0383 3,4202 3,7783 4,1062 4,4035 4,6654 4,8813 5,0410 5,1348 5,1571 5,1120 5,0172 4,9012 4,7985 4,7417 4,7483 4,8078 4,8835 4,9339 4,9306 4,8650 4,7495 4,6083 4,4584 4,3037 4,1431 3,9742 3,7894 3,5768 3,3314 3,0651 2,8046 2,5789 2,4075 2,2959 2,2394 2,2271 2,2415 2,2615 2,2721 2,2646 2,2268 2,1402 1,9883 1,7689 1,4977 1,2010 0,9065 0,6358 0,3988 0,1898 -0,0015 -0,1727 -0,3071 -0,3915 -0,4242 -0,4077 -0,3444 -0,2417 -0,1119 0,0361 0,1975 0,3620 0,5069 0,6055 0,6435 0,6254 0,5666 0,4859 0,4029 0,3330 0,2786 0,2275 0,1615 0,0710 -0,0349 -0,1321 -0,1958 -0,2090 -0,1625 -0,0503 0,1313 0,3755 0,6585 0,9416 1,1831 1,3504 1,4302 1,4270 1,3568 1,2431 1,1155 1,0013 0,9164 0,8648 0,8420 0,8377 0,8413 0,8473 0,8580 0,8787 0,9123 0,9550 0,9937 1,0117 1,0005 0,9620 0,9009 0,8236 0,7409 0,6640 0,5968 0,5379 0,4887 0,4539 0,4370 0,4385 0,4555 0,4812 0,5070 0,5303 0,5566 0,5937 0,6486 0,7255 0,8224 0,9315 1,0466 1,1657 1,2870 1,4040 1,5039 1,5709 1,5924 1,5601 1,4709 1,3298 1,1495 0,9520 0,7687 0,6301 0,5468 0,5020 0,4690 0,4334 0,3973 0,3690 0,3557 0,3626 0,3907 0,4327 0,4720 0,4900 0,4730 0,4146 0,3160 0,1876 0,0496 -0,0725 -0,1531 -0,1710 -0,1150 0,0082 0,1766 0,3638 0,5473 0,7100 0,8430 0,9487 1,0348 1,1063 1,1643 1,2102 1,2475 1,2769 1,2942 1,2982 1,2942 1,2827 1,2535 1,2011 1,1376 1,0862 1,0656 1,0809 1,1230 1,1741 1,2154 1,2336 1,2257 1,2005 1,1762 1,1754 1,2135 1,2868 1,3708 1,4340 1,4546 1,4265 1,3539 1,2457 1,1112 0,9577 0,7937 0,6342 0,5014 0,4161 0,3881 0,4135 0,4799 0,5677 0,6484 0,6936 0,6890 0,6392 0,5614 0,4720 0,3787 0,2802 0,1722 0,0505 -0,0861 -0,2343 -0,3876 -0,5428 -0,6986 -0,8479 -0,9761 -1,0709 -1,1297 -1,1597 -1,1767 -1,1993 -1,2400 -1,3002 -1,3754 -1,4579 -1,5348 -1,5862 -1,5941 -1,5586 -1,4955 -1,4169 -1,3222 -1,2133 -1,1079 -1,0338 -1,0139 -1,0576 -1,1612 -1,3129 -1,4954 -1,6892 -1,8767 -2,0461 -2,1918 -2,3120 -2,4053 -2,4685 -2,4984 -2,4971 -2,4747 -2,4452 -2,4179 -2,3937 -2,3656 -2,3230 -2,2602 -2,1845 -2,1120 -2,0562 -2,0241 -2,0194 -2,0444 -2,1006 -2,1855 -2,2905 -2,4084 -2,5360 -2,6630 -2,7632 -2,8022 -2,7569 -2,6279 -2,4400 -2,2324 -2,0420 -1,8905 -1,7830 -1,7144 -1,6766 -1,6617 -1,6631 -1,6775 -1,7077 -1,7616 -1,8470 -1,9709 -2,1398 -2,3568 -2,6124 -2,8810 -3,1296 -3,3382 -3,5068 -3,6414 -3,7355 -3,7705 -3,7303 -3,6086 -3,4109 -3,1544 -2,8659 -2,5771 -2,3222 -2,1334 -2,0327 -2,0274 -2,1083 -2,2528 -2,4387 -2,6535 -2,8874 -3,1275 -3,3671 -3,6103 -3,8575 -4,0968 -4,3159 -4,5147 -4,7009 -4,8780 -5,0394 -5,1722 -5,2630 -5,3005 -5,2782 -5,2021 -5,0928 -4,9805 -4,9000 -4,8831 -4,9465 -5,0815 -5,2621 -5,4627 -5,6634 -5,8435 -5,9809 -6,0552 -6,0506 -5,9618 -5,8012 -5,5940 -5,3636 -5,1218 -4,8695 -4,6041 -4,3246 -4,0326 -3,7284 -3,4142 -3,0974 -2,7882 -2,4931 -2,2163 -1,9646 -1,7438 -1,5501 -1,3688 -1,1834 -0,9885 -0,7921 -0,6069 -0,4453 -0,3245 -0,2645 -0,2745 -0,3422 -0,4384 -0,5325 -0,6092 -0,6718 -0,7295 -0,7832 -0,8212 -0,8302 -0,8119 -0,7861 -0,7779 -0,8038 -0,8651 -0,9546 -1,0631 -1,1821 -1,3028 -1,4189 -1,5244 -1,6143 -1,6904 -1,7634 -1,8426 -1,9210 -1,9779 -1,9985 -1,9887 -1,9716 -1,9742 -2,0140 -2,0913 -2,1919 -2,2985 -2,4009 -2,4991 -2,6002 -2,7156 -2,8512 -2,9936 -3,1080 -3,1596 -3,1362 -3,0490 -2,9163 -2,7575 -2,5956 -2,4564 -2,3666 -2,3503 -2,4234 -2,5866 -2,8222 -3,0977 -3,3779 -3,6362 -3,8572 -4,0357 -4,1736 -4,2761 -4,3473 -4,3873 -4,3948 -4,3747 -4,3431 -4,3208 -4,3223
