Fp1   3,3844 3,5410 3,6373 3,7097 3,7675 3,7808 3,7106 3,5496 3,3224 3,0557 2,7589 2,4329 2,0876 1,7454 1,4257 1,1367 0,8813 0,6589 0,4609 0,2702 0,0616 -0,1944 -0,5160 -0,8973 -1,3150 -1,7444 -2,1659 -2,5604 -2,9052 -3,1764 -3,3544 -3,4322 -3,4202 -3,3428 -3,2214 -3,0577 -2,8434 -2,5810 -2,2821 -1,9550 -1,6064 -1,2532 -0,9244 -0,6441 -0,4135 -0,2143 -0,0322 0,1270 0,2444 0,3027 0,2947 0,2320 0,1410 0,0422 -0,0639 -0,1869 -0,3290 -0,4777 -0,6158 -0,7315 -0,8068 -0,8106 -0,7260 -0,5758 -0,4085 -0,2640 -0,1595 -0,0920 -0,0413 0,0252 0,1411 0,3270 0,5795 0,8667 1,1327 1,3158 1,3807 1,3322 1,1935 0,9854 0,7344 0,4776 0,2382 0,0073 -0,2441 -0,5419 -0,8932 -1,2864 -1,6962 -2,0911 -2,4511 -2,7841 -3,1133 -3,4517 -3,7941 -4,1293 -4,4495 -4,7480 -5,0153 -5,2387 -5,4069 -5,5219 -5,6042 -5,6699 -5,7101 -5,7037 -5,6422 -5,5287 -5,3702 -5,1759 -4,9495 -4,6914 -4,4123 -4,1291 -3,8442 -3,5455 -3,2298 -2,9201 -2,6530 -2,4526 -2,3180 -2,2293 -2,1610 -2,0894 -1,9913 -1,8389 -1,6018 -1,2625 -0,8295 -0,3216 0,2595 0,9264 1,6719 2,4481 3,1836 3,8187 4,3200 4,6694 4,8587 4,9018 4,8383 4,7253 4,6209 4,5531 4,5004 4,4134 4,2579 4,0327 3,7556 3,4440 3,1056 2,7388 2,3391 1,9030 1,4287 0,9247 0,4190 -0,0411 -0,4018 -0,6300 -0,7280 -0,7143 -0,6002 -0,3923 -0,1060 0,2299 0,5813 0,9165 1,2115 1,4585 1,6674 1,8517 2,0181 2,1707 2,3087 2,4178 2,4760 2,4690 2,3951 2,2657 2,1123 1,9871 1,9352 1,9585 2,0166 2,0636 2,0808 2,0811 2,0916 2,1260 2,1767 2,2317 2,2899 2,3512 2,4009 2,4130 2,3708 2,2753 2,1289 1,9214 1,6376 1,2773 0,8615 0,4170 -0,0394 -0,4939 -0,9235 -1,3045 -1,6270 -1,8870 -2,0747 -2,1840 -2,2248 -2,2241 -2,2179 -2,2372 -2,2946 -2,3849 -2,4988 -2,6392 -2,8193 -3,0450 -3,3059 -3,5823 -3,8511 -4,0799 -4,2204 -4,2254 -4,0858 -3,8387 -3,5345 -3,2078 -2,8712 -2,5199 -2,1413 -1,7324 -1,3150 -0,9329 -0,6241 -0,3990 -0,2451 -0,1411 -0,0659 -0,0088 0,0285 0,0451 0,0534 0,0784 0,1452 0,2588 0,4026 0,5529 0,6885 0,7936 0,8624 0,8928 0,8703 0,7702 0,5740 0,2783 -0,1080 -0,5739 -1,1106 -1,7045 -2,3300 -2,9502 -3,5293 -4,0435 -4,4850 -4,8616 -5,1883 -5,4763 -5,7309 -5,9611 -6,1811 -6,3948 -6,5840 -6,7202 -6,7868 -6,7938 -6,7704 -6,7413 -6,7074 -6,6519 -6,5620 -6,4306 -6,2431 -5,9790 -5,6296 -5,2074 -4,7369 -4,2484 -3,7866 -3,4102 -3,1676 -3,0727 -3,1022 -3,2082 -3,3331 -3,4310 -3,4805 -3,4774 -3,4194 -3,3060 -3,1479 -2,9655 -2,7756 -2,5876 -2,4124 -2,2624 -2,1412 -2,0370 -1,9285 -1,7968 -1,6309 -1,4318 -1,2174 -1,0204 -0,8782 -0,8230 -0,8782 -1,0516 -1,3227 -1,6422 -1,9598 -2,2412 -2,4626 -2,6102 -2,6862 -2,7068 -2,7071 -2,7351 -2,8227 -2,9720 -3,1738 -3,4199 -3,6952 -3,9657 -4,1843 -4,3199 -4,3742 -4,3614 -4,2830 -4,1333 -3,9201 -3,6722 -3,4284 -3,2191 -3,0600 -2,9550 -2,8929 -2,8463 -2,7854 -2,6947 -2,5762 -2,4421 -2,3055 -2,1701 -2,0291 -1,8757 -1,7114 -1,5454 -1,3870 -1,2338 -1,0671 -0,8657 -0,6242 -0,3567 -0,0844 0,1755 0,4113 0,6182 0,7974 0,9463 1,0498 1,0876 1,0507 0,9467 0,7868 0,5740 0,3068 -0,0147 -0,3887 -0,8069 -1,2453 -1,6726 -2,0657 -2,4101 -2,6918 -2,8916 -2,9871 -2,9647 -2,8335 -2,6281 -2,4029 -2,2177 -2,1175 -2,1154 -2,1858 -2,2717 -2,3126 -2,2772 -2,1714 -2,0223 -1,8588 -1,7013 -1,5581 -1,4371 -1,3535 -1,3204 -1,3293 -1,3382 -1,2838 -1,1166 -0,8274 -0,4422 -0,0016 0,4528 0,8858 1,2747 1,6103 1,8932 2,1275 2,3128 2,4317 2,4562 2,3821 2,2467 2,1012 1,9743 1,8687 1,7769 1,6886 1,5862 1,4491 1,2615 1,0127 0,6931 0,3056 -0,1235 -0,5510 -0,9369 -1,2615 -1,5300 -1,7602 -1,9683 -2,1650 -2,3564 -2,5412 -2,7079 -2,8368 -2,9118 -2,9266 -2,8807 -2,7739 -2,6029 -2,3635 -2,0561 -1,6893 -1,2837 -0,8711 -0,4836 -0,1447 0,1363 0,3672 0,5654 0,7498 0,9362 1,1320 1,3326 1,5285 1,7152 1,8987 2,0859 2,2788 2,4817 2,7078 2,9698 3,2663 3,5796 3,8874 4,1735 4,4193 4,5941 4,6636 4,6022 4,3986 4,0607 3,6206 3,1323 2,6583 2,2488 1,9247 1,6670 1,4275 1,1629 0,8656 0,5632 0,2950 0,0925 -0,0291 -0,0662 -0,0199 0,1010 0,2782 0,4902 0,7176 0,9400 1,1333 1,2711 1,3363 1,3423 1,3339 1,3624 1,4609 1,6369 1,8744 2,1370 2,3828 2,5872 2,7568 2,9196 3,1018 3,3089 3,5246 3,7278 3,9094 4,0672 4,1935 4,2771 4,3182 4,3331 4,3387 4,3378 4,3176 4,2614 4,1668 4,0561 3,9591 3,8876 3,8364 3,8050 3,8077 3,8640 3,9749 4,1164 4,2557 4,3658 4,4283 4,4337 4,3824 4,2861 4,1624 4,0227 3,8635 3,6761 3,4622 3,2334 3,0028 2,7870 2,6107 2,4972 2,4523 2,4613 2,4981 2,5381 2,5674 2,5846 2,5926 2,5903 2,5737 2,5476 2,5295 2,5404 2,5919 2,6824 2,8031 2,9438 3,0920 3,2262 3,3108 3,3079 3,2029 3,0151 2,7761 2,5142 2,2583 2,0322 1,8392 1,6649 1,4969 1,3417 1,2178 1,1310 1,0604 0,9729 0,8524 0,7165 0,6010 0,5237
Fz    3,8125 4,0100 4,0937 4,1163 4,1118 4,0761 3,9838 3,8206 3,5950 3,3263 3,0258 2,6923 2,3279 1,9571 1,6208 1,3536 1,1691 1,0557 0,9748 0,8689 0,6815 0,3814 -0,0281 -0,5157 -1,0402 -1,5716 -2,0967 -2,6087 -3,0975 -3,5469 -3,9337 -4,2314 -4,4189 -4,4848 -4,4193 -4,2030 -3,8221 -3,3022 -2,7120 -2,1298 -1,6094 -1,1752 -0,8359 -0,5880 -0,4089 -0,2618 -0,1218 0,0005 0,0669 0,0411 -0,0874 -0,2951 -0,5370 -0,7713 -0,9763 -1,1467 -1,2812 -1,3774 -1,4394 -1,4862 -1,5354 -1,5736 -1,5626 -1,4773 -1,3213 -1,1109 -0,8664 -0,6135 -0,3742 -0,1549 0,0551 0,2723 0,5039 0,7363 0,9322 1,0478 1,0625 0,9830 0,8162 0,5568 0,2159 -0,1629 -0,5361 -0,8920 -1,2422 -1,5985 -1,9668 -2,3512 -2,7512 -3,1581 -3,5667 -3,9844 -4,4199 -4,8651 -5,2951 -5,6836 -6,0137 -6,2802 -6,4925 -6,6703 -6,8269 -6,9661 -7,0906 -7,1927 -7,2412 -7,2016 -7,0660 -6,8522 -6,5887 -6,3041 -6,0156 -5,7326 -5,4704 -5,2417 -5,0326 -4,8045 -4,5278 -4,2140 -3,9067 -3,6439 -3,4354 -3,2716 -3,1403 -3,0290 -2,9156 -2,7578 -2,4980 -2,0945 -1,5565 -0,9336 -0,2659 0,4379 1,1754 1,9215 2,6303 3,2524 3,7433 4,0604 4,1739 4,0879 3,8482 3,5325 3,2300 3,0026 2,8580 2,7616 2,6695 2,5480 2,3738 2,1288 1,7953 1,3616 0,8367 0,2533 -0,3486 -0,9313 -1,4577 -1,8922 -2,2086 -2,4034 -2,4917 -2,4837 -2,3747 -2,1590 -1,8444 -1,4495 -0,9956 -0,5087 -0,0208 0,4376 0,8433 1,1743 1,4091 1,5402 1,5765 1,5326 1,4271 1,2836 1,1222 0,9602 0,8260 0,7583 0,7744 0,8457 0,9234 0,9839 1,0358 1,0973 1,1782 1,2720 1,3626 1,4370 1,4894 1,5135 1,5009 1,4476 1,3609 1,2524 1,1176 0,9285 0,6545 0,2879 -0,1493 -0,6227 -1,1066 -1,5814 -2,0204 -2,4000 -2,7167 -2,9742 -3,1624 -3,2698 -3,3040 -3,2899 -3,2605 -3,2479 -3,2713 -3,3325 -3,4233 -3,5408 -3,6985 -3,9165 -4,2028 -4,5433 -4,9011 -5,2201 -5,4321 -5,4877 -5,3934 -5,2035 -4,9705 -4,7175 -4,4479 -4,1561 -3,8321 -3,4705 -3,0867 -2,7189 -2,4022 -2,1471 -1,9478 -1,7953 -1,6776 -1,5850 -1,5116 -1,4452 -1,3646 -1,2466 -1,0793 -0,8763 -0,6718 -0,4977 -0,3696 -0,2870 -0,2379 -0,2107 -0,2103 -0,2616 -0,4007 -0,6594 -1,0494 -1,5632 -2,1814 -2,8729 -3,5916 -4,2808 -4,8927 -5,4084 -5,8403 -6,2161 -6,5590 -6,8773 -7,1695 -7,4377 -7,6892 -7,9190 -8,0991 -8,1983 -8,2117 -8,1681 -8,1138 -8,0837 -8,0778 -8,0686 -8,0256 -7,9223 -7,7332 -7,4453 -7,0747 -6,6618 -6,2452 -5,8479 -5,4909 -5,2036 -5,0099 -4,9097 -4,8803 -4,8902 -4,9122 -4,9312 -4,9418 -4,9401 -4,9187 -4,8654 -4,7655 -4,6081 -4,3911 -4,1277 -3,8494 -3,5892 -3,3623 -3,1651 -2,9861 -2,8124 -2,6221 -2,3879 -2,1015 -1,7883 -1,5005 -1,3025 -1,2509 -1,3714 -1,6400 -1,9858 -2,3219 -2,5773 -2,7071 -2,7013 -2,5876 -2,4152 -2,2428 -2,1336 -2,1351 -2,2640 -2,5103 -2,8435 -3,2117 -3,5426 -3,7659 -3,8538 -3,8324 -3,7441 -3,6102 -3,4303 -3,2056 -2,9578 -2,7222 -2,5226 -2,3658 -2,2536 -2,1813 -2,1314 -2,0844 -2,0298 -1,9651 -1,8911 -1,8089 -1,7190 -1,6253 -1,5395 -1,4736 -1,4324 -1,4084 -1,3755 -1,2882 -1,0975 -0,7774 -0,3450 0,1489 0,6451 1,0990 1,4903 1,8144 2,0660 2,2347 2,3168 2,3216 2,2615 2,1394 1,9508 1,6981 1,3941 1,0503 0,6754 0,2898 -0,0732 -0,3845 -0,6285 -0,8030 -0,9151 -0,9790 -1,0116 -1,0281 -1,0426 -1,0718 -1,1325 -1,2357 -1,3841 -1,5659 -1,7444 -1,8675 -1,9013 -1,8470 -1,7266 -1,5648 -1,3799 -1,1841 -0,9929 -0,8309 -0,7186 -0,6543 -0,6056 -0,5176 -0,3403 -0,0517 0,3411 0,8157 1,3429 1,8887 2,4159 2,8902 3,2907 3,6156 3,8756 4,0753 4,2059 4,2718 4,3104 4,3590 4,4154 4,4506 4,4416 4,3790 4,2543 4,0600 3,7992 3,4791 3,1010 2,6691 2,2054 1,7439 1,3153 0,9367 0,6138 0,3499 0,1482 0,0041 -0,1020 -0,1983 -0,3061 -0,4277 -0,5484 -0,6425 -0,6786 -0,6277 -0,4682 -0,1888 0,2054 0,6852 1,1974 1,6789 2,0801 2,3766 2,5709 2,6945 2,7975 2,9261 3,1054 3,3335 3,5857 3,8321 4,0579 4,2693 4,4804 4,7019 4,9455 5,2281 5,5627 5,9400 6,3203 6,6519 6,9008 7,0484 7,0774 6,9791 6,7649 6,4561 6,0673 5,6044 5,0804 4,5256 3,9769 3,4600 2,9824 2,5409 2,1392 1,7994 1,5499 1,4016 1,3397 1,3379 1,3771 1,4478 1,5372 1,6249 1,7016 1,7782 1,8708 1,9766 2,0710 2,1320 2,1637 2,1900 2,2412 2,3435 2,5101 2,7348 2,9957 3,2596 3,4939 3,6881 3,8644 4,0608 4,3045 4,5972 4,9244 5,2709 5,6205 5,9456 6,2149 6,4185 6,5741 6,7015 6,8028 6,8689 6,8950 6,8865 6,8536 6,8015 6,7287 6,6397 6,5511 6,4843 6,4572 6,4757 6,5287 6,5938 6,6441 6,6507 6,5913 6,4607 6,2721 6,0453 5,7940 5,5273 5,2653 5,0403 4,8725 4,7552 4,6717 4,6123 4,5701 4,5340 4,4933 4,4471 4,4073 4,3901 4,3996 4,4188 4,4202 4,3876 4,3308 4,2781 4,2581 4,2873 4,3711 4,5068 4,6801 4,8604 5,0057 5,0713 5,0251 4,8690 4,6393 4,3829 4,1416 3,9495 3,8172 3,7183 3,6097 3,4629 3,2773 3,0725 2,8692 2,6765 2,4902 2,3059 2,1313 1,9773 1,8383
F3    3,5827 3,8774 4,0642 4,1776 4,2351 4,2223 4,1153 3,9167 3,6606 3,3853 3,1068 2,8151 2,4974 2,1631 1,8369 1,5383 1,2795 1,0687 0,8989 0,7407 0,5493 0,2842 -0,0718 -0,5074 -0,9967 -1,5163 -2,0435 -2,5461 -2,9891 -3,3490 -3,6160 -3,7885 -3,8720 -3,8791 -3,8178 -3,6782 -3,4458 -3,1255 -2,7432 -2,3297 -1,9147 -1,5345 -1,2314 -1,0299 -0,9122 -0,8266 -0,7274 -0,6071 -0,4931 -0,4237 -0,4249 -0,4958 -0,6149 -0,7612 -0,9255 -1,0997 -1,2667 -1,4052 -1,5044 -1,5692 -1,5995 -1,5706 -1,4573 -1,2735 -1,0666 -0,8769 -0,7159 -0,5742 -0,4352 -0,2807 -0,0898 0,1569 0,4624 0,8037 1,1350 1,4052 1,5811 1,6542 1,6248 1,4928 1,2767 1,0188 0,7510 0,4701 0,1519 -0,2220 -0,6525 -1,1266 -1,6256 -2,1302 -2,6342 -3,1507 -3,6943 -4,2584 -4,8140 -5,3275 -5,7736 -6,1335 -6,4022 -6,5972 -6,7432 -6,8591 -6,9615 -7,0550 -7,1151 -7,1039 -7,0019 -6,8143 -6,5605 -6,2667 -5,9585 -5,6591 -5,3944 -5,1782 -4,9920 -4,7974 -4,5745 -4,3423 -4,1416 -4,0040 -3,9337 -3,9098 -3,8995 -3,8709 -3,7941 -3,6332 -3,3435 -2,8910 -2,2828 -1,5627 -0,7708 0,0753 0,9573 1,8322 2,6392 3,3223 3,8441 4,1803 4,3143 4,2479 4,0136 3,6801 3,3369 3,0487 2,8223 2,6261 2,4328 2,2352 2,0314 1,8144 1,5716 1,2873 0,9506 0,5610 0,1248 -0,3442 -0,8183 -1,2551 -1,6134 -1,8747 -2,0427 -2,1213 -2,1069 -2,0014 -1,8190 -1,5758 -1,2826 -0,9542 -0,6167 -0,2949 -0,0011 0,2547 0,4590 0,6065 0,6956 0,7161 0,6587 0,5310 0,3533 0,1510 -0,0411 -0,1790 -0,2342 -0,2187 -0,1701 -0,1159 -0,0548 0,0399 0,1963 0,4117 0,6476 0,8587 1,0183 1,1156 1,1442 1,1002 0,9921 0,8401 0,6551 0,4306 0,1510 -0,1950 -0,6050 -1,0644 -1,5541 -2,0480 -2,5047 -2,8816 -3,1562 -3,3186 -3,3609 -3,2906 -3,1432 -2,9720 -2,8292 -2,7483 -2,7344 -2,7721 -2,8422 -2,9431 -3,1011 -3,3525 -3,7151 -4,1783 -4,7029 -5,2190 -5,6330 -5,8633 -5,8871 -5,7448 -5,4998 -5,2048 -4,8942 -4,5775 -4,2400 -3,8645 -3,4604 -3,0666 -2,7192 -2,4299 -2,1999 -2,0299 -1,9150 -1,8470 -1,8174 -1,8050 -1,7738 -1,6884 -1,5323 -1,3220 -1,0994 -0,9045 -0,7553 -0,6483 -0,5730 -0,5272 -0,5213 -0,5716 -0,6965 -0,9126 -1,2286 -1,6452 -2,1578 -2,7506 -3,3891 -4,0218 -4,5960 -5,0812 -5,4797 -5,8185 -6,1316 -6,4442 -6,7692 -7,1104 -7,4599 -7,7908 -8,0627 -8,2414 -8,3152 -8,2974 -8,2198 -8,1193 -8,0212 -7,9334 -7,8563 -7,7835 -7,6898 -7,5319 -7,2754 -6,9191 -6,4896 -6,0259 -5,5852 -5,2458 -5,0724 -5,0739 -5,1983 -5,3661 -5,5064 -5,5780 -5,5709 -5,4921 -5,3509 -5,1550 -4,9179 -4,6591 -4,3922 -4,1211 -3,8482 -3,5750 -3,2978 -3,0107 -2,7123 -2,4101 -2,1094 -1,8070 -1,5039 -1,2165 -0,9748 -0,8191 -0,7967 -0,9470 -1,2707 -1,7117 -2,1801 -2,5918 -2,8876 -3,0410 -3,0586 -2,9687 -2,8192 -2,6753 -2,5951 -2,6139 -2,7498 -3,0049 -3,3504 -3,7162 -4,0147 -4,1924 -4,2522 -4,2210 -4,1158 -3,9489 -3,7492 -3,5641 -3,4316 -3,3510 -3,2958 -3,2475 -3,2011 -3,1516 -3,0940 -3,0277 -2,9528 -2,8638 -2,7481 -2,5853 -2,3595 -2,0786 -1,7769 -1,4996 -1,2813 -1,1282 -1,0141 -0,8957 -0,7376 -0,5274 -0,2704 0,0214 0,3310 0,6390 0,9300 1,1909 1,4118 1,5914 1,7364 1,8480 1,9093 1,8920 1,7761 1,5520 1,2111 0,7554 0,2188 -0,3424 -0,8795 -1,3596 -1,7576 -2,0541 -2,2376 -2,3054 -2,2696 -2,1655 -2,0460 -1,9618 -1,9419 -1,9854 -2,0640 -2,1307 -2,1400 -2,0730 -1,9438 -1,7826 -1,6213 -1,4833 -1,3762 -1,2971 -1,2470 -1,2292 -1,2345 -1,2288 -1,1573 -0,9684 -0,6431 -0,1998 0,3214 0,8741 1,4131 1,9024 2,3242 2,6786 2,9742 3,2178 3,4005 3,5010 3,5217 3,5107 3,5200 3,5580 3,5962 3,6030 3,5546 3,4309 3,2200 2,9251 2,5552 2,1147 1,6148 1,0842 0,5589 0,0639 -0,3938 -0,8181 -1,2106 -1,5652 -1,8725 -2,1221 -2,3042 -2,4156 -2,4636 -2,4627 -2,4238 -2,3464 -2,2219 -2,0373 -1,7762 -1,4252 -0,9847 -0,4823 0,0289 0,4928 0,8696 1,1463 1,3415 1,4924 1,6377 1,8067 2,0105 2,2381 2,4678 2,6866 2,8955 3,0993 3,3013 3,5135 3,7594 4,0605 4,4185 4,8085 5,1906 5,5284 5,7882 5,9348 5,9443 5,8123 5,5495 5,1722 4,7007 4,1641 3,6048 3,0695 2,5911 2,1713 1,7838 1,4028 1,0319 0,7009 0,4410 0,2653 0,1658 0,1252 0,1295 0,1671 0,2263 0,3018 0,3972 0,5159 0,6489 0,7709 0,8552 0,8944 0,9039 0,9111 0,9445 1,0211 1,1412 1,2922 1,4556 1,6152 1,7671 1,9240 2,1081 2,3371 2,6122 2,9220 3,2560 3,6049 3,9482 4,2603 4,5318 4,7715 4,9813 5,1433 5,2344 5,2465 5,1979 5,1277 5,0716 5,0417 5,0305 5,0289 5,0366 5,0611 5,1027 5,1446 5,1643 5,1448 5,0752 4,9535 4,7896 4,6004 4,4040 4,2094 4,0159 3,8279 3,6643 3,5411 3,4579 3,4124 3,4127 3,4607 3,5363 3,6070 3,6502 3,6635 3,6581 3,6402 3,6007 3,5240 3,4044 3,2553 3,1035 2,9772 2,8959 2,8714 2,9143 3,0315 3,2102 3,4054 3,5456 3,5664 3,4513 3,2383 2,9845 2,7378 2,5297 2,3648 2,2167 2,0518 1,8546 1,6354 1,4198 1,2274 1,0547 0,8787 0,6890 0,5118 0,3858 0,3180
F7    2,4510 2,6353 2,8057 2,9565 3,0668 3,1078 3,0682 2,9701 2,8454 2,7013 2,5247 2,3178 2,1077 1,9231 1,7769 1,6686 1,5884 1,5155 1,4274 1,3104 1,1491 0,9107 0,5568 0,0746 -0,5055 -1,1252 -1,7305 -2,2837 -2,7493 -3,0800 -3,2325 -3,2031 -3,0455 -2,8471 -2,6794 -2,5627 -2,4816 -2,4149 -2,3376 -2,2197 -2,0425 -1,8127 -1,5579 -1,3097 -1,0871 -0,8950 -0,7354 -0,6070 -0,5011 -0,4131 -0,3530 -0,3284 -0,3324 -0,3654 -0,4512 -0,6188 -0,8768 -1,2029 -1,5505 -1,8546 -2,0335 -2,0212 -1,8201 -1,5063 -1,1809 -0,9228 -0,7693 -0,7070 -0,6724 -0,5791 -0,3616 -0,0043 0,4523 0,9247 1,3095 1,5202 1,5297 1,3798 1,1396 0,8628 0,5837 0,3215 0,0721 -0,1918 -0,5085 -0,9068 -1,3839 -1,9052 -2,4218 -2,8778 -3,2304 -3,4863 -3,6931 -3,8923 -4,1025 -4,3360 -4,6033 -4,9021 -5,2060 -5,4656 -5,6376 -5,7235 -5,7668 -5,8094 -5,8607 -5,9100 -5,9454 -5,9544 -5,9282 -5,8680 -5,7660 -5,6011 -5,3680 -5,0821 -4,7553 -4,3877 -3,9893 -3,6018 -3,2872 -3,0905 -3,0144 -3,0228 -3,0628 -3,0831 -3,0391 -2,8938 -2,6338 -2,2850 -1,8895 -1,4523 -0,9307 -0,2855 0,4619 1,2231 1,8921 2,4122 2,7964 3,0839 3,2986 3,4579 3,5909 3,7277 3,8751 4,0006 4,0380 3,9232 3,6432 3,2477 2,8098 2,3838 1,9950 1,6518 1,3474 1,0553 0,7417 0,3899 0,0117 -0,3545 -0,6508 -0,8303 -0,8913 -0,8712 -0,8033 -0,6911 -0,5279 -0,3303 -0,1405 0,0030 0,0916 0,1520 0,2307 0,3675 0,5771 0,8516 1,1629 1,4621 1,6984 1,8459 1,9016 1,8654 1,7501 1,6124 1,5375 1,5677 1,6614 1,7364 1,7371 1,6593 1,5293 1,3677 1,1773 0,9687 0,7841 0,6709 0,6372 0,6518 0,6808 0,7070 0,7094 0,6450 0,4694 0,1770 -0,1928 -0,5909 -0,9886 -1,3695 -1,7109 -1,9856 -2,1710 -2,2521 -2,2309 -2,1340 -2,0035 -1,8836 -1,8073 -1,7870 -1,8173 -1,8903 -2,0181 -2,2377 -2,5744 -3,0033 -3,4610 -3,8831 -4,2307 -4,4898 -4,6509 -4,6988 -4,6353 -4,4936 -4,3217 -4,1524 -3,9801 -3,7624 -3,4547 -3,0461 -2,5766 -2,1288 -1,7866 -1,5826 -1,4807 -1,4119 -1,3282 -1,2280 -1,1409 -1,0985 -1,1086 -1,1444 -1,1576 -1,1074 -0,9764 -0,7755 -0,5449 -0,3325 -0,1593 -0,0263 0,0491 0,0343 -0,0869 -0,3078 -0,6108 -0,9774 -1,3927 -1,8420 -2,3112 -2,7938 -3,2890 -3,7850 -4,2503 -4,6517 -4,9760 -5,2292 -5,4245 -5,5831 -5,7365 -5,9093 -6,0967 -6,2678 -6,3949 -6,4872 -6,5854 -6,7157 -6,8584 -6,9701 -7,0238 -7,0104 -6,9181 -6,7324 -6,4490 -6,0772 -5,6389 -5,1762 -4,7525 -4,4256 -4,2151 -4,1119 -4,1015 -4,1598 -4,2433 -4,3093 -4,3410 -4,3380 -4,2949 -4,2060 -4,0806 -3,9410 -3,8035 -3,6718 -3,5464 -3,4285 -3,3132 -3,1852 -3,0202 -2,7975 -2,5171 -2,2071 -1,9116 -1,6737 -1,5257 -1,4801 -1,5275 -1,6433 -1,7891 -1,9238 -2,0399 -2,1690 -2,3409 -2,5574 -2,7930 -3,0097 -3,1954 -3,3758 -3,5723 -3,7738 -3,9561 -4,1087 -4,2406 -4,3696 -4,5069 -4,6585 -4,8283 -5,0014 -5,1301 -5,1560 -5,0404 -4,7741 -4,3809 -3,9283 -3,5141 -3,2195 -3,0659 -3,0130 -2,9990 -2,9867 -2,9728 -2,9674 -2,9804 -3,0169 -3,0689 -3,1112 -3,1110 -3,0430 -2,9009 -2,6911 -2,4173 -2,0835 -1,7109 -1,3351 -0,9883 -0,6932 -0,4642 -0,3019 -0,1892 -0,1032 -0,0377 -0,0058 -0,0135 -0,0443 -0,0810 -0,1387 -0,2601 -0,4800 -0,8054 -1,2166 -1,6740 -2,1337 -2,5642 -2,9482 -3,2745 -3,5224 -3,6560 -3,6477 -3,4981 -3,2392 -2,9339 -2,6641 -2,5000 -2,4677 -2,5343 -2,6299 -2,6945 -2,7080 -2,6802 -2,6211 -2,5298 -2,4012 -2,2362 -2,0563 -1,9106 -1,8546 -1,9087 -2,0261 -2,1092 -2,0725 -1,8895 -1,5852 -1,2064 -0,8008 -0,4026 -0,0218 0,3481 0,7084 1,0457 1,3310 1,5177 1,5596 1,4463 1,2174 0,9406 0,6731 0,4359 0,2242 0,0273 -0,1671 -0,3756 -0,6136 -0,8948 -1,2322 -1,6259 -2,0473 -2,4406 -2,7507 -2,9567 -3,0860 -3,1939 -3,3281 -3,5133 -3,7554 -4,0393 -4,3205 -4,5390 -4,6568 -4,6751 -4,6125 -4,4803 -4,2808 -4,0219 -3,7229 -3,3987 -3,0541 -2,6942 -2,3327 -1,9930 -1,6996 -1,4660 -1,2926 -1,1659 -1,0589 -0,9429 -0,7989 -0,6174 -0,3968 -0,1483 0,0959 0,2967 0,4464 0,5833 0,7575 0,9891 1,2666 1,5724 1,8927 2,2033 2,4594 2,6007 2,5637 2,3047 1,8309 1,2204 0,6081 0,1310 -0,1334 -0,1963 -0,1490 -0,1245 -0,2375 -0,5299 -0,9590 -1,4311 -1,8482 -2,1401 -2,2718 -2,2295 -2,0131 -1,6467 -1,1866 -0,7111 -0,2999 -0,0181 0,0862 -0,0101 -0,2687 -0,5769 -0,8063 -0,8843 -0,8060 -0,6143 -0,3791 -0,1654 0,0052 0,1590 0,3337 0,5441 0,7751 0,9960 1,1832 1,3345 1,4611 1,5734 1,6704 1,7412 1,7830 1,8120 1,8449 1,8780 1,8888 1,8615 1,8117 1,7683 1,7293 1,6627 1,5547 1,4382 1,3700 1,3769 1,4383 1,5195 1,6036 1,6903 1,7745 1,8404 1,8774 1,8862 1,8639 1,7955 1,6665 1,4821 1,2681 1,0501 0,8416 0,6595 0,5364 0,5005 0,5440 0,6193 0,6718 0,6823 0,6781 0,7003 0,7566 0,8129 0,8331 0,8142 0,7817 0,7713 0,8101 0,9003 1,0227 1,1566 1,2856 1,3820 1,4051 1,3259 1,1444 0,8725 0,5214 0,1201 -0,2806 -0,6388 -0,9471 -1,2163 -1,4355 -1,5696 -1,6052 -1,5763 -1,5401 -1,5366 -1,5620 -1,5778 -1,5604
