Fp1   -0,9902 -1,0683 -1,1680 -1,2629 -1,2818 -1,1597 -0,8833 -0,5040 -0,1109 0,2183 0,4586 0,6288 0,7381 0,7624 0,6754 0,4749 0,1749 -0,2048 -0,6407 -1,1005 -1,5233 -1,8191 -1,9126 -1,7858 -1,4800 -1,0711 -0,6398 -0,2441 0,0999 0,4138 0,7236 1,0302 1,3198 1,5933 1,8572 2,0877 2,2171 2,1606 1,8700 1,3853 0,8223 0,3040 -0,0870 -0,3127 -0,3743 -0,3070 -0,1660 -0,0186 0,0643 0,0362 -0,0915 -0,2447 -0,3270 -0,2869 -0,1527 -0,0048 0,0850 0,0970 0,0617 0,0332 0,0671 0,2113 0,4919 0,8913 1,3422 1,7556 2,0552 2,1900 2,1414 1,9463 1,7102 1,5602 1,5608 1,6794 1,8360 1,9738 2,0640 2,0701 1,9436 1,6483 1,1849 0,6175 0,0701 -0,3383 -0,5645 -0,6360 -0,5968 -0,4821 -0,3255 -0,1656 -0,0370 0,0500 0,1232 0,2287 0,3903 0,5922 0,7917 0,9336 0,9572 0,8033 0,4332 -0,1400 -0,8305 -1,5053 -2,0434 -2,3858 -2,5538 -2,6180 -2,6390 -2,6457 -2,6549 -2,6812 -2,7277 -2,7864 -2,8582 -2,9591 -3,0976 -3,2551 -3,3989 -3,5056 -3,5605 -3,5363 -3,3885 -3,0880 -2,6546 -2,1581 -1,6898 -1,3316 -1,1337 -1,0918 -1,1341 -1,1588 -1,1000 -0,9731 -0,8672 -0,8819 -1,0467 -1,2996 -1,5315 -1,6460 -1,6003 -1,4212 -1,1888 -0,9896 -0,8691 -0,8296 -0,8676 -0,9977 -1,2363 -1,5671 -1,9248 -2,2094 -2,3205 -2,1926 -1,8263 -1,3010 -0,7459 -0,2849 0,0147 0,1613 0,2180 0,2535 0,3121 0,4183 0,5859 0,8047 1,0280 1,1837 1,2033 1,0573 0,7775 0,4303 0,0649 -0,3004 -0,6546 -0,9808 -1,2641 -1,4917 -1,6513 -1,7453 -1,8013 -1,8515 -1,9073 -1,9555 -1,9682 -1,9221 -1,8282 -1,7432 -1,7447 -1,8841 -2,1542 -2,4893 -2,7997 -3,0180 -3,1193 -3,1138 -3,0342 -2,9213 -2,8036 -2,6932 -2,6033 -2,5569 -2,5730 -2,6621 -2,8402 -3,1146 -3,4460 -3,7535 -3,9733 -4,1019 -4,1694 -4,1808 -4,1097 -3,9445 -3,7159 -3,4815 -3,2946 -3,1813 -3,1385 -3,1480 -3,2013 -3,3171 -3,5188 -3,7873 -4,0580 -4,2747 -4,4215 -4,4996 -4,4910 -4,3500 -4,0344 -3,5503 -2,9666 -2,3877 -1,9084 -1,5829 -1,4230 -1,4174 -1,5346 -1,7068 -1,8471 -1,9060 -1,8948 -1,8421 -1,7672 -1,7122 -1,7481 -1,9189 -2,1990 -2,5163 -2,8038 -3,0234 -3,1600 -3,2199 -3,2396 -3,2738 -3,3526 -3,4435 -3,4694 -3,3747 -3,1678 -2,8925 -2,5784 -2,2296 -1,8472 -1,4526 -1,0908 -0,8092 -0,6388 -0,5976 -0,6974 -0,9385 -1,2994 -1,7348 -2,1880 -2,6030 -2,9307 -3,1421 -3,2476 -3,2929 -3,3194 -3,3398 -3,3573 -3,3789 -3,3968 -3,3817 -3,3135 -3,2006 -3,0614 -2,9075 -2,7641 -2,6862 -2,7269 -2,8880 -3,1139 -3,3394 -3,5337 -3,6985 -3,8377 -3,9325 -3,9403 -3,8228 -3,5868 -3,2983 -3,0455 -2,8817 -2,8046 -2,7729 -2,7303 -2,6205 -2,4090 -2,1120 -1,8108 -1,6253 -1,6538 -1,9228 -2,3679 -2,8528 -3,2299 -3,4098 -3,3887 -3,2338 -3,0349 -2,8408 -2,6376 -2,3910 -2,0950 -1,7784 -1,4762 -1,2035 -0,9543 -0,7186 -0,5007 -0,3202 -0,1971 -0,1473 -0,1921 -0,3521 -0,6303 -1,0115 -1,4626 -1,9290 -2,3364 -2,6006 -2,6448 -2,4336 -2,0086 -1,4935 -1,0581 -0,8515 -0,9382 -1,2826 -1,7822 -2,3099 -2,7437 -3,0032 -3,0791 -3,0155 -2,8584 -2,6328 -2,3648 -2,1001 -1,8892 -1,7505 -1,6473 -1,5126 -1,3095 -1,0693 -0,8753 -0,8241 -0,9867 -1,3679 -1,8853 -2,3943 -2,7526 -2,8855 -2,8180 -2,6600 -2,5419 -2,5437 -2,6714 -2,8733 -3,0605 -3,1222 -2,9603 -2,5464 -1,9552 -1,3268 -0,7839 -0,3844 -0,1378 -0,0437 -0,1129 -0,3682 -0,8262 -1,4626 -2,1917 -2,8906 -3,4492 -3,8067 -3,9537 -3,9029 -3,6648 -3,2584 -2,7322 -2,1603 -1,6157 -1,1402 -0,7324 -0,3710 -0,0497 0,2066 0,3474 0,3322 0,1781 -0,0293 -0,1901 -0,2534 -0,2331 -0,1766 -0,1285 -0,1149 -0,1433 -0,2070 -0,2914 -0,3861 -0,4970 -0,6454 -0,8493 -1,1057 -1,3874 -1,6473 -1,8234 -1,8562 -1,7232 -1,4738 -1,2317 -1,1457 -1,3035 -1,6749 -2,1335 -2,5407 -2,8154 -2,9394 -2,9124 -2,7223 -2,3773 -1,9522 -1,5578 -1,2629 -1,0680 -0,9449 -0,8831 -0,8990 -1,0159 -1,2455 -1,5833 -2,0087 -2,4811 -2,9421 -3,3328 -3,6015 -3,6975 -3,5953 -3,3393 -3,0433 -2,8386 -2,8259 -3,0432 -3,4462 -3,9271 -4,3650 -4,6784 -4,8538 -4,9306 -4,9512 -4,9258 -4,8466 -4,7153 -4,5442 -4,3449 -4,1369 -3,9650 -3,8985 -4,0120 -4,3450 -4,8541 -5,4142 -5,8947 -6,2393 -6,4734 -6,6488 -6,7867 -6,8732 -6,8967 -6,8763 -6,8540 -6,8610 -6,8979 -6,9570 -7,0557 -7,2302 -7,5003 -7,8495 -8,2325 -8,5923 -8,8663 -8,9836 -8,8757 -8,5137 -7,9488 -7,3060 -6,7255 -6,3095 -6,0972 -6,0484 -6,0553 -6,0002 -5,8278 -5,5776 -5,3450 -5,2112 -5,2079 -5,3224 -5,5029 -5,6634 -5,7128 -5,5938 -5,2988 -4,8612 -4,3288 -3,7380 -3,1233 -2,5380 -2,0500 -1,7183 -1,5786 -1,6332 -1,8456 -2,1503 -2,4764 -2,7718 -3,0095 -3,1736 -3,2445 -3,2078 -3,0800 -2,9147 -2,7684 -2,6651 -2,6076 -2,6164 -2,7375 -3,0071 -3,4262 -3,9591 -4,5416 -5,0995 -5,5673 -5,8933 -6,0374 -5,9780 -5,7198 -5,2977 -4,7786 -4,2432 -3,7549 -3,3478 -3,0413 -2,8542 -2,7964 -2,8568 -3,0052 -3,2077 -3,4360 -3,6654 -3,8781 -4,0748 -4,2763 -4,5068 -4,7729 -5,0616 -5,3462 -5,5858 -5,7282 -5,7353 -5,6079 -5,3865 -5,1438 -4,9731 -4,9548 -5,1227 -5,4605 -5,9169 -6,4248 -6,9123 -7,3050 -7,5285 -7,5199 -7,2650
Fz    -0,0856 -0,2120 -0,3779 -0,5654 -0,7250 -0,8011 -0,7739 -0,6799 -0,5834 -0,5177 -0,4537 -0,3273 -0,0962 0,2200 0,5433 0,7743 0,8371 0,7059 0,4034 -0,0131 -0,4594 -0,8290 -1,0264 -1,0182 -0,8502 -0,6170 -0,4094 -0,2722 -0,1874 -0,0915 0,0813 0,3565 0,7101 1,0917 1,4432 1,6987 1,7928 1,6866 1,3930 0,9823 0,5530 0,1822 -0,0997 -0,2926 -0,4078 -0,4661 -0,4963 -0,5262 -0,5694 -0,6246 -0,6916 -0,7754 -0,8730 -0,9793 -1,1036 -1,2598 -1,4469 -1,6483 -1,8445 -2,0178 -2,1381 -2,1504 -1,9943 -1,6431 -1,1253 -0,5176 0,0836 0,5920 0,9553 1,1769 1,3134 1,4303 1,5553 1,6694 1,7302 1,7052 1,5893 1,3910 1,1082 0,7235 0,2234 -0,3661 -0,9655 -1,4773 -1,8366 -2,0290 -2,0764 -2,0156 -1,8834 -1,7118 -1,5262 -1,3432 -1,1681 -1,0009 -0,8499 -0,7292 -0,6433 -0,5845 -0,5540 -0,5714 -0,6551 -0,7982 -0,9708 -1,1474 -1,3277 -1,5316 -1,7829 -2,0907 -2,4384 -2,7940 -3,1312 -3,4296 -3,6675 -3,8327 -3,9402 -4,0186 -4,0769 -4,0972 -4,0609 -3,9750 -3,8689 -3,7630 -3,6473 -3,5050 -3,3466 -3,2040 -3,0939 -3,0019 -2,9011 -2,7704 -2,5974 -2,3811 -2,1368 -1,9004 -1,7238 -1,6492 -1,6772 -1,7705 -1,8829 -1,9784 -2,0343 -2,0393 -1,9905 -1,8900 -1,7445 -1,5691 -1,3939 -1,2558 -1,1737 -1,1326 -1,0913 -1,0034 -0,8379 -0,5871 -0,2720 0,0489 0,2928 0,3936 0,3398 0,1774 -0,0172 -0,1732 -0,2435 -0,1998 -0,0280 0,2637 0,6345 1,0105 1,2997 1,4290 1,3783 1,1828 0,9046 0,6020 0,3142 0,0507 -0,2135 -0,5169 -0,8756 -1,2682 -1,6463 -1,9543 -2,1470 -2,2069 -2,1545 -2,0400 -1,9294 -1,8891 -1,9616 -2,1431 -2,3825 -2,5998 -2,7207 -2,7107 -2,5801 -2,3608 -2,0898 -1,8070 -1,5514 -1,3533 -1,2314 -1,1898 -1,2154 -1,2875 -1,3912 -1,5102 -1,6215 -1,7142 -1,8065 -1,9328 -2,1170 -2,3579 -2,6361 -2,9312 -3,2302 -3,5293 -3,8210 -4,0734 -4,2306 -4,2450 -4,1078 -3,8577 -3,5664 -3,3021 -3,0985 -2,9602 -2,8853 -2,8716 -2,9007 -2,9272 -2,9001 -2,7994 -2,6463 -2,4822 -2,3373 -2,2131 -2,0904 -1,9523 -1,7936 -1,6115 -1,3991 -1,1605 -0,9268 -0,7461 -0,6546 -0,6645 -0,7604 -0,9007 -1,0400 -1,1640 -1,2939 -1,4496 -1,6158 -1,7545 -1,8447 -1,9045 -1,9743 -2,0757 -2,1846 -2,2495 -2,2305 -2,1152 -1,9085 -1,6330 -1,3391 -1,0967 -0,9672 -0,9833 -1,1484 -1,4418 -1,8207 -2,2275 -2,6043 -2,9156 -3,1604 -3,3581 -3,5229 -3,6584 -3,7715 -3,8791 -3,9903 -4,0913 -4,1568 -4,1692 -4,1166 -3,9947 -3,8242 -3,6569 -3,5495 -3,5307 -3,5920 -3,7004 -3,8168 -3,9097 -3,9663 -4,0042 -4,0680 -4,1980 -4,3953 -4,6145 -4,7873 -4,8506 -4,7629 -4,5150 -4,1345 -3,6782 -3,2171 -2,8203 -2,5306 -2,3462 -2,2349 -2,1644 -2,1223 -2,1208 -2,1882 -2,3485 -2,6008 -2,9116 -3,2263 -3,4869 -3,6470 -3,6873 -3,6173 -3,4530 -3,2006 -2,8719 -2,5018 -2,1342 -1,7963 -1,4956 -1,2340 -1,0147 -0,8423 -0,7248 -0,6654 -0,6534 -0,6781 -0,7450 -0,8707 -1,0631 -1,3041 -1,5517 -1,7580 -1,8880 -1,9267 -1,8784 -1,7696 -1,6488 -1,5755 -1,5925 -1,7001 -1,8606 -2,0310 -2,1779 -2,2669 -2,2689 -2,1849 -2,0438 -1,8657 -1,6420 -1,3651 -1,0751 -0,8619 -0,8093 -0,9341 -1,1843 -1,4830 -1,7681 -2,0040 -2,1840 -2,3222 -2,4292 -2,4994 -2,5283 -2,5284 -2,5179 -2,5055 -2,4962 -2,4950 -2,4969 -2,4812 -2,4193 -2,2944 -2,1112 -1,8932 -1,6800 -1,5243 -1,4709 -1,5312 -1,6802 -1,8788 -2,0906 -2,2852 -2,4443 -2,5696 -2,6759 -2,7808 -2,9014 -3,0444 -3,1892 -3,2883 -3,2870 -3,1485 -2,8719 -2,4953 -2,0826 -1,7027 -1,4084 -1,2274 -1,1645 -1,1984 -1,2793 -1,3485 -1,3650 -1,3167 -1,2141 -1,0798 -0,9485 -0,8683 -0,8819 -0,9928 -1,1599 -1,3347 -1,4968 -1,6507 -1,8046 -1,9669 -2,1516 -2,3727 -2,6281 -2,8976 -3,1561 -3,3780 -3,5304 -3,5844 -3,5503 -3,4975 -3,5252 -3,6948 -3,9741 -4,2397 -4,3504 -4,2343 -3,9171 -3,4799 -3,0038 -2,5540 -2,1882 -1,9421 -1,8074 -1,7468 -1,7339 -1,7696 -1,8633 -2,0098 -2,1968 -2,4315 -2,7372 -3,1139 -3,5097 -3,8410 -4,0394 -4,0825 -3,9982 -3,8479 -3,7032 -3,6275 -3,6616 -3,8077 -4,0254 -4,2539 -4,4454 -4,5867 -4,7017 -4,8344 -5,0243 -5,2867 -5,6064 -5,9517 -6,2944 -6,6064 -6,8445 -6,9623 -6,9488 -6,8517 -6,7476 -6,6843 -6,6617 -6,6678 -6,7092 -6,7994 -6,9334 -7,0887 -7,2439 -7,3921 -7,5444 -7,7239 -7,9529 -8,2357 -8,5571 -8,8923 -9,2086 -9,4694 -9,6467 -9,7256 -9,6949 -9,5418 -9,2611 -8,8659 -8,3912 -7,8959 -7,4575 -7,1441 -6,9863 -6,9688 -7,0390 -7,1245 -7,1564 -7,0995 -6,9678 -6,8032 -6,6393 -6,4916 -6,3641 -6,2476 -6,1178 -5,9498 -5,7341 -5,4812 -5,2135 -4,9443 -4,6666 -4,3727 -4,0746 -3,8007 -3,5810 -3,4389 -3,3853 -3,4119 -3,4900 -3,5842 -3,6751 -3,7712 -3,8917 -4,0406 -4,2074 -4,3873 -4,5871 -4,8095 -5,0400 -5,2491 -5,4154 -5,5398 -5,6389 -5,7336 -5,8442 -5,9811 -6,1379 -6,2889 -6,3893 -6,3948 -6,2937 -6,1134 -5,8940 -5,6629 -5,4294 -5,1963 -4,9747 -4,7870 -4,6560 -4,5955 -4,6062 -4,6704 -4,7543 -4,8251 -4,8689 -4,8976 -4,9432 -5,0415 -5,2112 -5,4430 -5,7086 -5,9723 -6,1957 -6,3497 -6,4288 -6,4481 -6,4313 -6,4133 -6,4437 -6,5683 -6,8053 -7,1396 -7,5286 -7,9138 -8,2392 -8,4640 -8,5579 -8,4885 -8,2436
F3    -0,0783 -0,4128 -0,7789 -1,1307 -1,3843 -1,4656 -1,3645 -1,1446 -0,8923 -0,6481 -0,3864 -0,0558 0,3583 0,8050 1,1840 1,3898 1,3609 1,1061 0,6852 0,1692 -0,3679 -0,8340 -1,1332 -1,2112 -1,0841 -0,8277 -0,5381 -0,2875 -0,0933 0,0830 0,2984 0,5750 0,8846 1,1801 1,4208 1,5687 1,5854 1,4487 1,1724 0,8096 0,4330 0,1032 -0,1443 -0,2937 -0,3508 -0,3452 -0,3184 -0,3072 -0,3342 -0,4085 -0,5361 -0,7180 -0,9443 -1,2025 -1,4870 -1,7878 -2,0793 -2,3276 -2,5015 -2,5802 -2,5509 -2,3994 -2,1080 -1,6761 -1,1406 -0,5713 -0,0443 0,3821 0,6802 0,8669 1,0055 1,1704 1,3933 1,6420 1,8479 1,9497 1,9141 1,7323 1,4104 0,9630 0,4145 -0,1869 -0,7654 -1,2490 -1,6081 -1,8551 -2,0162 -2,1057 -2,1206 -2,0506 -1,8910 -1,6507 -1,3542 -1,0395 -0,7536 -0,5344 -0,3882 -0,2928 -0,2308 -0,2131 -0,2632 -0,3918 -0,5957 -0,8769 -1,2456 -1,7030 -2,2302 -2,7885 -3,3208 -3,7691 -4,1051 -4,3371 -4,4896 -4,5896 -4,6659 -4,7335 -4,7725 -4,7338 -4,5764 -4,3036 -3,9638 -3,6111 -3,2716 -2,9557 -2,6869 -2,4985 -2,4077 -2,4074 -2,4824 -2,6126 -2,7543 -2,8469 -2,8520 -2,7867 -2,7134 -2,6860 -2,7025 -2,7131 -2,6647 -2,5284 -2,3039 -2,0128 -1,6878 -1,3616 -1,0594 -0,8013 -0,6095 -0,5100 -0,5184 -0,6244 -0,7862 -0,9426 -1,0351 -1,0268 -0,9177 -0,7558 -0,6185 -0,5666 -0,6096 -0,7047 -0,7809 -0,7697 -0,6250 -0,3310 0,0945 0,5979 1,1010 1,5163 1,7584 1,7669 1,5390 1,1356 0,6460 0,1455 -0,3182 -0,7217 -1,0648 -1,3637 -1,6317 -1,8686 -2,0643 -2,2049 -2,2761 -2,2708 -2,1963 -2,0766 -1,9518 -1,8738 -1,8871 -2,0061 -2,2025 -2,4098 -2,5507 -2,5759 -2,4820 -2,2973 -2,0618 -1,8158 -1,5935 -1,4234 -1,3317 -1,3355 -1,4338 -1,6138 -1,8586 -2,1361 -2,3930 -2,5810 -2,6907 -2,7558 -2,8239 -2,9251 -3,0644 -3,2352 -3,4337 -3,6624 -3,9140 -4,1488 -4,2970 -4,2946 -4,1211 -3,8122 -3,4436 -3,0907 -2,8004 -2,5990 -2,5077 -2,5324 -2,6378 -2,7466 -2,7805 -2,7083 -2,5573 -2,3837 -2,2318 -2,1112 -2,0047 -1,8915 -1,7581 -1,5899 -1,3679 -1,0895 -0,7941 -0,5501 -0,4138 -0,4045 -0,5039 -0,6656 -0,8404 -1,0104 -1,1909 -1,3946 -1,5999 -1,7658 -1,8750 -1,9515 -2,0346 -2,1363 -2,2207 -2,2255 -2,1070 -1,8627 -1,5251 -1,1498 -0,8080 -0,5707 -0,4826 -0,5456 -0,7259 -0,9779 -1,2621 -1,5499 -1,8194 -2,0580 -2,2659 -2,4487 -2,6017 -2,7107 -2,7683 -2,7879 -2,7953 -2,8116 -2,8486 -2,9084 -2,9733 -3,0083 -2,9904 -2,9338 -2,8779 -2,8553 -2,8751 -2,9266 -2,9882 -3,0363 -3,0568 -3,0574 -3,0652 -3,1050 -3,1776 -3,2586 -3,3098 -3,2893 -3,1598 -2,9026 -2,5274 -2,0688 -1,5765 -1,1044 -0,6949 -0,3678 -0,1272 0,0248 0,0814 0,0267 -0,1547 -0,4556 -0,8367 -1,2389 -1,6068 -1,9053 -2,1235 -2,2712 -2,3611 -2,3803 -2,2853 -2,0399 -1,6509 -1,1615 -0,6196 -0,0636 0,4648 0,9141 1,2340 1,3957 1,4080 1,3158 1,1676 0,9836 0,7533 0,4572 0,0993 -0,2752 -0,5945 -0,7938 -0,8364 -0,7228 -0,4927 -0,2214 -0,0020 0,0875 0,0220 -0,1655 -0,4202 -0,6917 -0,9274 -1,0745 -1,1056 -1,0273 -0,8546 -0,5915 -0,2525 0,1011 0,3635 0,4422 0,3194 0,0566 -0,2579 -0,5576 -0,8130 -1,0257 -1,2098 -1,3672 -1,4815 -1,5381 -1,5422 -1,5122 -1,4669 -1,4214 -1,3824 -1,3389 -1,2648 -1,1358 -0,9459 -0,7086 -0,4530 -0,2268 -0,0912 -0,0955 -0,2456 -0,5025 -0,8096 -1,1178 -1,3913 -1,6092 -1,7688 -1,8812 -1,9645 -2,0364 -2,1017 -2,1386 -2,1057 -1,9610 -1,6821 -1,2828 -0,8176 -0,3661 -0,0037 0,2223 0,3006 0,2507 0,1206 -0,0267 -0,1414 -0,2060 -0,2246 -0,2047 -0,1504 -0,0728 -0,0016 0,0256 -0,0043 -0,0675 -0,1329 -0,1965 -0,2751 -0,3824 -0,5226 -0,6988 -0,9142 -1,1645 -1,4383 -1,7230 -2,0012 -2,2399 -2,4011 -2,4789 -2,5238 -2,6205 -2,8266 -3,1198 -3,3948 -3,5230 -3,4319 -3,1367 -2,7092 -2,2300 -1,7718 -1,3990 -1,1510 -1,0247 -0,9907 -1,0258 -1,1241 -1,2816 -1,4816 -1,7068 -1,9622 -2,2685 -2,6231 -2,9756 -3,2488 -3,3794 -3,3455 -3,1736 -2,9298 -2,6990 -2,5644 -2,5897 -2,7954 -3,1433 -3,5504 -3,9327 -4,2467 -4,4999 -4,7266 -4,9538 -5,1825 -5,3924 -5,5642 -5,6965 -5,7922 -5,8368 -5,8055 -5,6983 -5,5603 -5,4563 -5,4221 -5,4540 -5,5462 -5,7120 -5,9586 -6,2561 -6,5433 -6,7618 -6,8871 -6,9392 -6,9729 -7,0514 -7,2173 -7,4845 -7,8477 -8,2842 -8,7489 -9,1797 -9,5082 -9,6683 -9,6092 -9,3179 -8,8314 -8,2273 -7,6096 -7,0904 -6,7570 -6,6384 -6,6954 -6,8390 -6,9625 -6,9773 -6,8514 -6,6291 -6,3965 -6,2191 -6,1117 -6,0491 -5,9828 -5,8554 -5,6237 -5,2810 -4,8654 -4,4467 -4,0892 -3,8180 -3,6201 -3,4708 -3,3554 -3,2733 -3,2278 -3,2125 -3,2100 -3,2019 -3,1822 -3,1648 -3,1785 -3,2494 -3,3819 -3,5597 -3,7650 -3,9907 -4,2324 -4,4746 -4,6917 -4,8660 -4,9981 -5,0978 -5,1767 -5,2485 -5,3213 -5,3891 -5,4361 -5,4412 -5,3894 -5,2911 -5,1817 -5,0954 -5,0414 -5,0004 -4,9390 -4,8348 -4,6925 -4,5398 -4,4111 -4,3317 -4,3037 -4,3084 -4,3295 -4,3729 -4,4677 -4,6497 -4,9420 -5,3372 -5,7925 -6,2443 -6,6285 -6,8934 -7,0095 -6,9780 -6,8289 -6,6144 -6,4031 -6,2678 -6,2622 -6,4049 -6,6766 -7,0228 -7,3704 -7,6555 -7,8388 -7,8951 -7,7987 -7,5431
