Fp1   -1,5378 -1,0967 -0,6182 -0,1578 0,2115 0,4216 0,4276 0,2226 -0,1473 -0,5849 -0,9835 -1,2785 -1,4568 -1,5328 -1,5355 -1,5092 -1,5002 -1,5313 -1,5884 -1,6265 -1,5850 -1,4068 -1,0704 -0,6120 -0,1101 0,3467 0,6816 0,8549 0,8865 0,8442 0,8040 0,8275 0,9592 1,2128 1,5529 1,9059 2,1900 2,3407 2,3248 2,1528 1,8825 1,5873 1,3005 0,9963 0,6283 0,1703 -0,3638 -0,9120 -1,3695 -1,6180 -1,5862 -1,3028 -0,8845 -0,4632 -0,1226 0,1168 0,2805 0,4248 0,6132 0,8735 1,1717 1,4347 1,5906 1,5940 1,4411 1,1720 0,8478 0,5174 0,2244 0,0368 0,0209 0,1649 0,3713 0,5362 0,6130 0,6042 0,5205 0,3605 0,1248 -0,1670 -0,4789 -0,7698 -1,0087 -1,1880 -1,3194 -1,4073 -1,4347 -1,3754 -1,2270 -1,0364 -0,8844 -0,8339 -0,8958 -1,0337 -1,1809 -1,2593 -1,2100 -1,0287 -0,7758 -0,5493 -0,4426 -0,5123 -0,7728 -1,2188 -1,8360 -2,5812 -3,3694 -4,0917 -4,6553 -5,0170 -5,1934 -5,2513 -5,2760 -5,3224 -5,3942 -5,4719 -5,5460 -5,6311 -5,7637 -5,9815 -6,2954 -6,6721 -7,0403 -7,3175 -7,4395 -7,3787 -7,1407 -6,7423 -6,1919 -5,4787 -4,5798 -3,4952 -2,2811 -1,0446 0,0929 1,0309 1,7167 2,1571 2,4061 2,5365 2,6153 2,6898 2,7806 2,8828 2,9799 3,0623 3,1337 3,2139 3,3483 3,6072 4,0560 4,7123 5,5221 6,3653 7,0854 7,5514 7,7218 7,6413 7,3714 6,9521 6,4260 5,8499 5,2681 4,7081 4,2072 3,8268 3,6330 3,6536 3,8492 4,1283 4,3957 4,5875 4,6647 4,5883 4,3159 3,8262 3,1457 2,3591 1,5918 0,9643 0,5429 0,3270 0,2811 0,3721 0,5697 0,8176 1,0199 1,0682 0,8887 0,4837 -0,0537 -0,5863 -1,0153 -1,3209 -1,5383 -1,7262 -1,9557 -2,2876 -2,7302 -3,2254 -3,6823 -4,0202 -4,1899 -4,1868 -4,0588 -3,8916 -3,7745 -3,7671 -3,8775 -4,0566 -4,2301 -4,3510 -4,4203 -4,4535 -4,4352 -4,3104 -4,0223 -3,5633 -2,9935 -2,4265 -2,0050 -1,8601 -2,0465 -2,4994 -3,0707 -3,6168 -4,0545 -4,3614 -4,5566 -4,6839 -4,7878 -4,8828 -4,9257 -4,8254 -4,4919 -3,8806 -3,0099 -1,9664 -0,9055 -0,0184 0,5368 0,6910 0,4709 -0,0307 -0,6923 -1,3921 -2,0274 -2,5294 -2,8762 -3,0896 -3,2095 -3,2687 -3,2789 -3,2256 -3,0831 -2,8387 -2,4930 -2,0573 -1,5692 -1,0906 -0,6786 -0,3697 -0,1904 -0,1703 -0,3258 -0,6279 -1,0048 -1,3800 -1,6891 -1,8673 -1,8468 -1,5893 -1,1209 -0,5299 0,0751 0,6139 1,0521 1,3830 1,6127 1,7650 1,8793 1,9858 2,0844 2,1543 2,1837 2,1865 2,1889 2,2066 2,2295 2,2170 2,1115 1,8671 1,4719 0,9566 0,3992 -0,0989 -0,4682 -0,7012 -0,8237 -0,8534 -0,7988 -0,6830 -0,5487 -0,4329 -0,3472 -0,2936 -0,2858 -0,3424 -0,4721 -0,6564 -0,8351 -0,9258 -0,8716 -0,6735 -0,3875 -0,0972 0,1246 0,2527 0,3262 0,4202 0,5851 0,8096 1,0343 1,1910 1,2352 1,1603 0,9930 0,7792 0,5673 0,3900 0,2446 0,0879 -0,1402 -0,4826 -0,9429 -1,4757 -1,9938 -2,3964 -2,5961 -2,5307 -2,1672 -1,5209 -0,6785 0,2177 1,0209 1,6146 1,9196 1,9032 1,5948 1,0834 0,4922 -0,0559 -0,4679 -0,6912 -0,7059 -0,5224 -0,1831 0,2427 0,6787 1,0589 1,3256 1,4252 1,3297 1,0617 0,6892 0,2913 -0,0698 -0,3450 -0,4713 -0,3610 0,0635 0,8148 1,8007 2,8277 3,6596 4,1134 4,1261 3,7581 3,1574 2,5060 1,9580 1,5993 1,4274 1,3421 1,1885 0,8583 0,3727 -0,1187 -0,4242 -0,4142 -0,0772 0,4986 1,1778 1,8155 2,2855 2,5172 2,5222 2,3814 2,1994 2,0652 2,0389 2,1504 2,3982 2,7523 3,1612 3,5589 3,8756 4,0619 4,1120 4,0582 3,9422 3,7901 3,6069 3,3924 3,1624 2,9527 2,7992 2,7163 2,6979 2,7383 2,8548 3,0886 3,4693 3,9751 4,5273 5,0132 5,3052 5,2884 4,9144 4,2402 3,4083 2,5853 1,9080 1,4553 1,2443 1,2309 1,3141 1,3731 1,3413 1,2510 1,2036 1,3068 1,6383 2,2240 3,0039 3,8315 4,5330 4,9741 5,0905 4,8973 4,4767 3,9312 3,3267 2,6798 1,9974 1,3162 0,7047 0,2393 -0,0268 -0,0863 0,0266 0,2593 0,5548 0,8530 1,1125 1,3403 1,5708 1,8023 1,9832 2,0671 2,0546 1,9731 1,8314 1,6149 1,3296 1,0230 0,7340 0,4286 0,0015 -0,6515 -1,5616 -2,6727 -3,8684 -5,0082 -5,9628 -6,6409 -7,0015 -7,0595 -6,8845 -6,5875 -6,2925 -6,1004 -6,0571 -6,1591 -6,3925 -6,7536 -7,2233 -7,7361 -8,1849 -8,4552 -8,4578 -8,1495 -7,5412 -6,6897 -5,6761 -4,5818 -3,4765 -2,4115 -1,4202 -0,5324 0,2217 0,8296 1,3136 1,7265 2,1261 2,5341 2,9112 3,1977 3,3938 3,5860 3,8982 4,4251 5,1901 6,1289 7,0963 7,9087 8,4130 8,5444 8,3342 7,8715 7,2588 6,5928 5,9643 5,4491 5,0936 4,9072 4,8565 4,8681 4,8571 4,7665 4,5827 4,3130 3,9526 3,4782 2,8786 2,1947 1,5249 0,9805 0,6253 0,4481 0,3840 0,3606 0,3316 0,2814 0,2077 0,1081 -0,0160 -0,1560 -0,3065 -0,4796 -0,6966 -0,9645 -1,2730 -1,6119 -1,9784 -2,3629 -2,7403 -3,0812 -3,3678 -3,6024 -3,8086 -4,0304 -4,3259 -4,7546 -5,3515 -6,1032 -6,9525 -7,8211 -8,6287 -9,3190 -9,8833 -10,3607 -10,8107 -11,2677 -11,7048 -12,0454 -12,2113 -12,1677 -11,9374 -11,5931 -11,2377 -10,9690 -10,8371 -10,8200 -10,8361 -10,7892 -10,6176 -10,3139 -9,8993 -9,3837
Fz    1,7153 1,9406 2,0633 2,0411 1,8882 1,6652 1,4417 1,2686 1,1693 1,1429 1,1623 1,1747 1,1295 1,0154 0,8634 0,7138 0,5865 0,4771 0,3782 0,2976 0,2536 0,2547 0,2852 0,3142 0,3184 0,2884 0,2146 0,0840 -0,1013 -0,3165 -0,5366 -0,7543 -0,9675 -1,1652 -1,3297 -1,4466 -1,5104 -1,5279 -1,5168 -1,4918 -1,4512 -1,3849 -1,2976 -1,2186 -1,1854 -1,2209 -1,3157 -1,4264 -1,4963 -1,4862 -1,3979 -1,2735 -1,1627 -1,0870 -1,0363 -0,9946 -0,9597 -0,9333 -0,9045 -0,8590 -0,8019 -0,7622 -0,7766 -0,8627 -1,0026 -1,1574 -1,3065 -1,4693 -1,6797 -1,9413 -2,2206 -2,4844 -2,7259 -2,9472 -3,1335 -3,2561 -3,2976 -3,2673 -3,1936 -3,1043 -3,0156 -2,9329 -2,8564 -2,7825 -2,7012 -2,6022 -2,4890 -2,3851 -2,3243 -2,3322 -2,4104 -2,5343 -2,6701 -2,7975 -2,9099 -2,9934 -3,0186 -2,9598 -2,8141 -2,6004 -2,3543 -2,1252 -1,9670 -1,9270 -2,0356 -2,2931 -2,6653 -3,0993 -3,5469 -3,9774 -4,3816 -4,7727 -5,1725 -5,5802 -5,9622 -6,2821 -6,5397 -6,7764 -7,0427 -7,3634 -7,7277 -8,1048 -8,4610 -8,7686 -9,0098 -9,1779 -9,2748 -9,3047 -9,2735 -9,1842 -9,0277 -8,7843 -8,4368 -7,9830 -7,4416 -6,8512 -6,2595 -5,7091 -5,2300 -4,8341 -4,5088 -4,2242 -3,9486 -3,6642 -3,3686 -3,0659 -2,7561 -2,4324 -2,0832 -1,6931 -1,2460 -0,7344 -0,1666 0,4354 1,0476 1,6568 2,2591 2,8370 3,3407 3,7067 3,9025 3,9476 3,8994 3,8301 3,8090 3,8834 4,0702 4,3591 4,7194 5,1124 5,5089 5,8973 6,2716 6,6145 6,8988 7,0990 7,1951 7,1759 7,0526 6,8614 6,6442 6,4235 6,1985 5,9554 5,6761 5,3428 4,9423 4,4751 3,9586 3,4222 2,9038 2,4447 2,0782 1,8186 1,6559 1,5503 1,4346 1,2393 0,9249 0,4883 -0,0585 -0,6987 -1,4035 -2,1292 -2,8277 -3,4575 -3,9917 -4,4207 -4,7462 -4,9763 -5,1306 -5,2413 -5,3440 -5,4629 -5,5976 -5,7211 -5,8010 -5,8266 -5,8123 -5,7763 -5,7235 -5,6550 -5,5809 -5,5122 -5,4505 -5,3989 -5,3705 -5,3711 -5,3817 -5,3713 -5,3227 -5,2396 -5,1367 -5,0273 -4,9160 -4,7999 -4,6788 -4,5637 -4,4744 -4,4279 -4,4239 -4,4419 -4,4515 -4,4263 -4,3488 -4,2057 -3,9850 -3,6849 -3,3229 -2,9323 -2,5515 -2,2181 -1,9609 -1,7853 -1,6679 -1,5711 -1,4619 -1,3201 -1,1365 -0,9066 -0,6303 -0,3142 0,0279 0,3746 0,6994 0,9861 1,2390 1,4705 1,6804 1,8616 2,0219 2,1910 2,4048 2,6871 3,0405 3,4421 3,8403 4,1657 4,3649 4,4353 4,4204 4,3658 4,2836 4,1595 3,9807 3,7465 3,4601 3,1277 2,7663 2,4048 2,0758 1,8018 1,5805 1,3851 1,1853 0,9656 0,7217 0,4528 0,1671 -0,1096 -0,3421 -0,5039 -0,5861 -0,5946 -0,5437 -0,4542 -0,3474 -0,2389 -0,1399 -0,0510 0,0443 0,1651 0,3067 0,4368 0,5170 0,5242 0,4585 0,3425 0,2150 0,1169 0,0727 0,0786 0,1111 0,1404 0,1437 0,1158 0,0720 0,0412 0,0506 0,1063 0,1887 0,2707 0,3361 0,3764 0,3786 0,3304 0,2350 0,1135 -0,0032 -0,0790 -0,0752 0,0314 0,2294 0,4817 0,7504 1,0062 1,2262 1,3918 1,4958 1,5522 1,5959 1,6608 1,7548 1,8619 1,9618 2,0429 2,1035 2,1414 2,1474 2,1119 2,0298 1,9010 1,7421 1,5936 1,4985 1,4721 1,4996 1,5600 1,6508 1,7887 1,9932 2,2662 2,5757 2,8574 3,0379 3,0685 2,9425 2,6882 2,3505 1,9798 1,6263 1,3298 1,1071 0,9488 0,8328 0,7420 0,6747 0,6472 0,6870 0,8132 1,0197 1,2704 1,5108 1,6941 1,7980 1,8186 1,7627 1,6461 1,4909 1,3211 1,1612 1,0361 0,9651 0,9565 1,0143 1,1480 1,3628 1,6417 1,9439 2,2252 2,4563 2,6219 2,7114 2,7272 2,6992 2,6722 2,6708 2,6831 2,6809 2,6525 2,6153 2,5993 2,6205 2,6677 2,7148 2,7355 2,7063 2,6104 2,4506 2,2561 2,0709 1,9293 1,8416 1,7953 1,7686 1,7437 1,7077 1,6478 1,5606 1,4617 1,3812 1,3512 1,3928 1,5061 1,6702 1,8567 2,0423 2,2082 2,3337 2,3975 2,3881 2,3063 2,1551 1,9322 1,6405 1,2989 0,9428 0,6217 0,3918 0,2950 0,3408 0,5037 0,7320 0,9629 1,1453 1,2593 1,3098 1,3019 1,2353 1,1253 1,0092 0,9204 0,8584 0,7856 0,6568 0,4542 0,1866 -0,1410 -0,5451 -1,0492 -1,6538 -2,3228 -2,9951 -3,6068 -4,1126 -4,4983 -4,7744 -4,9601 -5,0752 -5,1428 -5,1919 -5,2526 -5,3460 -5,4801 -5,6613 -5,8978 -6,1816 -6,4820 -6,7621 -6,9942 -7,1630 -7,2629 -7,2879 -7,2242 -7,0549 -6,7690 -6,3658 -5,8581 -5,2760 -4,6628 -4,0578 -3,4809 -2,9284 -2,3801 -1,8076 -1,1894 -0,5255 0,1687 0,8880 1,6453 2,4568 3,3272 4,2458 5,1852 6,1005 6,9294 7,6089 8,1086 8,4457 8,6634 8,7997 8,8821 8,9365 8,9817 9,0141 9,0064 8,9239 8,7416 8,4587 8,1059 7,7383 7,4104 7,1456 6,9211 6,6844 6,3919 6,0314 5,6118 5,1499 4,6673 4,1864 3,7221 3,2765 2,8390 2,3914 1,9194 1,4190 0,8997 0,3827 -0,1086 -0,5625 -0,9851 -1,3986 -1,8352 -2,3263 -2,8933 -3,5413 -4,2603 -5,0325 -5,8370 -6,6473 -7,4282 -8,1397 -8,7490 -9,2470 -9,6528 -10,0046 -10,3462 -10,7053 -11,0763 -11,4337 -11,7671 -12,0947 -12,4380 -12,7906 -13,1154 -13,3698 -13,5349 -13,6233 -13,6680 -13,7039 -13,7478 -13,7856 -13,7781 -13,6808 -13,4649 -13,1255 -12,6756 -12,1305 -11,4991
F3    0,7681 1,0134 1,1331 1,0998 0,9351 0,7051 0,4861 0,3349 0,2734 0,2836 0,3123 0,2882 0,1639 -0,0434 -0,2573 -0,3928 -0,4089 -0,3191 -0,1587 0,0467 0,2793 0,5144 0,7195 0,8683 0,9533 0,9824 0,9599 0,8797 0,7410 0,5568 0,3346 0,0666 -0,2498 -0,5915 -0,9145 -1,1731 -1,3326 -1,3781 -1,3219 -1,1982 -1,0407 -0,8662 -0,6844 -0,5165 -0,3975 -0,3589 -0,4031 -0,4947 -0,5797 -0,6180 -0,6075 -0,5839 -0,5921 -0,6568 -0,7705 -0,9090 -1,0591 -1,2225 -1,3905 -1,5334 -1,6240 -1,6629 -1,6750 -1,6821 -1,6867 -1,6852 -1,6924 -1,7461 -1,8811 -2,0964 -2,3499 -2,5905 -2,7903 -2,9438 -3,0474 -3,0907 -3,0694 -2,9957 -2,8923 -2,7788 -2,6666 -2,5624 -2,4680 -2,3759 -2,2723 -2,1550 -2,0503 -2,0058 -2,0616 -2,2231 -2,4569 -2,7086 -2,9292 -3,0974 -3,2192 -3,3002 -3,3201 -3,2434 -3,0494 -2,7524 -2,4079 -2,0989 -1,9016 -1,8592 -1,9773 -2,2290 -2,5679 -2,9469 -3,3377 -3,7336 -4,1391 -4,5598 -4,9943 -5,4195 -5,7892 -6,0634 -6,2466 -6,3872 -6,5388 -6,7245 -6,9318 -7,1318 -7,3039 -7,4495 -7,5861 -7,7265 -7,8637 -7,9716 -8,0223 -8,0010 -7,9065 -7,7393 -7,4943 -7,1610 -6,7331 -6,2217 -5,6540 -5,0604 -4,4685 -3,9040 -3,3867 -2,9252 -2,5136 -2,1331 -1,7589 -1,3680 -0,9463 -0,4940 -0,0279 0,4236 0,8328 1,1871 1,4930 1,7750 2,0722 2,4275 2,8666 3,3716 3,8746 4,2894 4,5616 4,6894 4,7042 4,6471 4,5605 4,4792 4,4209 4,3850 4,3597 4,3324 4,3050 4,3020 4,3601 4,5072 4,7500 5,0696 5,4181 5,7244 5,9196 5,9616 5,8384 5,5578 5,1415 4,6234 4,0422 3,4275 2,7960 2,1654 1,5640 1,0227 0,5688 0,2262 0,0123 -0,0714 -0,0489 0,0289 0,0979 0,1028 0,0085 -0,2097 -0,5790 -1,1165 -1,8023 -2,5707 -3,3302 -3,9926 -4,4998 -4,8410 -5,0466 -5,1617 -5,2215 -5,2434 -5,2335 -5,1998 -5,1565 -5,1201 -5,1097 -5,1463 -5,2377 -5,3552 -5,4348 -5,4182 -5,2910 -5,0810 -4,8336 -4,5969 -4,4113 -4,2900 -4,2072 -4,1181 -3,9947 -3,8396 -3,6703 -3,5005 -3,3392 -3,1986 -3,0980 -3,0615 -3,1128 -3,2583 -3,4708 -3,6953 -3,8746 -3,9743 -3,9878 -3,9192 -3,7670 -3,5247 -3,1917 -2,7829 -2,3333 -1,8934 -1,5137 -1,2238 -1,0198 -0,8710 -0,7408 -0,6036 -0,4469 -0,2639 -0,0504 0,1928 0,4600 0,7413 1,0213 1,2854 1,5325 1,7743 2,0122 2,2272 2,4013 2,5392 2,6637 2,8008 2,9754 3,1993 3,4513 3,6773 3,8248 3,8800 3,8660 3,8047 3,6934 3,5192 3,2858 3,0118 2,7062 2,3613 1,9719 1,5536 1,1444 0,7877 0,5080 0,3002 0,1389 -0,0088 -0,1738 -0,3707 -0,5884 -0,7974 -0,9699 -1,0865 -1,1322 -1,0982 -0,9904 -0,8309 -0,6465 -0,4569 -0,2727 -0,0913 0,1043 0,3273 0,5638 0,7786 0,9434 1,0439 1,0671 1,0013 0,8534 0,6568 0,4599 0,3059 0,2208 0,2102 0,2588 0,3393 0,4259 0,5096 0,5954 0,6861 0,7746 0,8555 0,9343 1,0204 1,1137 1,2001 1,2568 1,2584 1,1878 1,0513 0,8821 0,7188 0,5833 0,4850 0,4397 0,4731 0,6074 0,8427 1,1519 1,4946 1,8382 2,1589 2,4267 2,6101 2,7004 2,7201 2,7076 2,6960 2,6948 2,6883 2,6441 2,5293 2,3394 2,1162 1,9216 1,7975 1,7501 1,7622 1,8115 1,8860 1,9869 2,1105 2,2281 2,2946 2,2810 2,1981 2,0911 2,0034 1,9484 1,9151 1,8901 1,8674 1,8447 1,8200 1,7942 1,7710 1,7520 1,7405 1,7456 1,7759 1,8291 1,8819 1,8981 1,8556 1,7614 1,6404 1,5167 1,4038 1,3033 1,2092 1,1156 1,0267 0,9618 0,9489 1,0174 1,1941 1,4891 1,8758 2,2969 2,6898 3,0061 3,2120 3,2876 3,2481 3,1639 3,1305 3,2033 3,3623 3,5363 3,6501 3,6570 3,5489 3,3470 3,0857 2,8061 2,5516 2,3570 2,2404 2,2001 2,2130 2,2417 2,2522 2,2298 2,1780 2,1114 2,0573 2,0483 2,0976 2,1881 2,2855 2,3594 2,3913 2,3704 2,2900 2,1543 1,9908 1,8487 1,7767 1,7987 1,9090 2,0817 2,2771 2,4434 2,5282 2,4964 2,3460 2,1096 1,8457 1,6193 1,4776 1,4358 1,4816 1,5870 1,7210 1,8596 1,9882 2,0974 2,1764 2,2168 2,2231 2,2101 2,1814 2,1133 1,9615 1,6906 1,3056 0,8530 0,3868 -0,0661 -0,5075 -0,9494 -1,4007 -1,8686 -2,3589 -2,8732 -3,4039 -3,9312 -4,4250 -4,8536 -5,1932 -5,4334 -5,5781 -5,6415 -5,6418 -5,6001 -5,5356 -5,4533 -5,3504 -5,2406 -5,1525 -5,1010 -5,0735 -5,0381 -4,9597 -4,8136 -4,5948 -4,3163 -3,9969 -3,6511 -3,2874 -2,9070 -2,4992 -2,0424 -1,5117 -0,8900 -0,1787 0,5967 1,3988 2,1981 2,9783 3,7237 4,4111 5,0210 5,5528 6,0211 6,4333 6,7752 7,0298 7,2033 7,3255 7,4315 7,5468 7,6792 7,8077 7,8798 7,8323 7,6213 7,2401 6,7239 6,1427 5,5823 5,1177 4,7867 4,5751 4,4246 4,2665 4,0511 3,7507 3,3555 2,8767 2,3476 1,8136 1,3172 0,8827 0,5140 0,2032 -0,0655 -0,3145 -0,5649 -0,8275 -1,1026 -1,3828 -1,6608 -1,9394 -2,2329 -2,5591 -2,9349 -3,3783 -3,9113 -4,5471 -5,2662 -6,0102 -6,7021 -7,2778 -7,7103 -8,0124 -8,2251 -8,4052 -8,6103 -8,8750 -9,2048 -9,5956 -10,0474 -10,5489 -11,0576 -11,5090 -11,8492 -12,0596 -12,1578 -12,1860 -12,1925 -12,2062 -12,2166 -12,1799 -12,0484 -11,8004 -11,4483 -11,0228 -10,5508 -10,0455
F7    -0,5652 -0,5964 -0,7192 -0,8729 -1,0030 -1,0722 -1,0649 -0,9890 -0,8665 -0,7229 -0,5874 -0,4862 -0,4212 -0,3651 -0,2869 -0,1817 -0,0726 0,0111 0,0519 0,0482 0,0106 -0,0515 -0,1305 -0,1961 -0,1959 -0,0952 0,0957 0,3389 0,6030 0,8701 1,1139 1,2873 1,3426 1,2668 1,1008 0,9203 0,7831 0,6910 0,6044 0,4880 0,3403 0,1954 0,1037 0,0981 0,1609 0,2106 0,1454 -0,0797 -0,4285 -0,8315 -1,2359 -1,6054 -1,9007 -2,0830 -2,1318 -2,0506 -1,8624 -1,6044 -1,3200 -1,0541 -0,8523 -0,7523 -0,7705 -0,8983 -1,1071 -1,3498 -1,5679 -1,7115 -1,7568 -1,7066 -1,5840 -1,4235 -1,2579 -1,1113 -0,9927 -0,8977 -0,8328 -0,8295 -0,9215 -1,1104 -1,3526 -1,5770 -1,7225 -1,7663 -1,7241 -1,6370 -1,5542 -1,5097 -1,5093 -1,5470 -1,6239 -1,7460 -1,9104 -2,0999 -2,2898 -2,4522 -2,5561 -2,5759 -2,5040 -2,3527 -2,1496 -1,9400 -1,7823 -1,7168 -1,7398 -1,8155 -1,9034 -1,9795 -2,0471 -2,1305 -2,2543 -2,4313 -2,6631 -2,9398 -3,2426 -3,5551 -3,8717 -4,1885 -4,4869 -4,7351 -4,9181 -5,0468 -5,1313 -5,1620 -5,1182 -4,9846 -4,7615 -4,4712 -4,1584 -3,8788 -3,6753 -3,5531 -3,4696 -3,3445 -3,0886 -2,6438 -2,0111 -1,2527 -0,4702 0,2298 0,7746 1,1573 1,4317 1,6677 1,9086 2,1651 2,4317 2,7074 3,0071 3,3460 3,7081 4,0443 4,3140 4,5163 4,6782 4,8293 4,9898 5,1631 5,3296 5,4560 5,5253 5,5557 5,5860 5,6487 5,7572 5,9051 6,0717 6,2329 6,3732 6,4857 6,5597 6,5690 6,4748 6,2445 5,8721 5,3894 4,8599 4,3555 3,9350 3,6413 3,5018 3,5125 3,6217 3,7411 3,7858 3,7146 3,5420 3,3127 3,0679 2,8347 2,6322 2,4644 2,3085 2,1325 1,9298 1,7253 1,5489 1,4178 1,3406 1,3180 1,3263 1,3139 1,2343 1,0789 0,8723 0,6458 0,4235 0,2221 0,0519 -0,0853 -0,1929 -0,2734 -0,3310 -0,3773 -0,4234 -0,4604 -0,4543 -0,3638 -0,1733 0,0836 0,3390 0,5315 0,6389 0,6832 0,7044 0,7234 0,7331 0,7199 0,6818 0,6358 0,6127 0,6396 0,7134 0,7897 0,8108 0,7544 0,6430 0,5175 0,4156 0,3684 0,3939 0,4815 0,5945 0,6986 0,7879 0,8860 1,0280 1,2385 1,5192 1,8434 2,1528 2,3774 2,4838 2,5061 2,5202 2,5815 2,6875 2,7918 2,8469 2,8378 2,7876 2,7396 2,7361 2,8085 2,9689 3,2017 3,4712 3,7435 3,9961 4,2119 4,3803 4,5083 4,6293 4,7940 5,0421 5,3668 5,6957 5,9206 5,9625 5,8130 5,5238 5,1656 4,7943 4,4401 4,1164 3,8314 3,5967 3,4326 3,3609 3,3808 3,4545 3,5275 3,5640 3,5564 3,5069 3,4063 3,2289 2,9502 2,5749 2,1490 1,7453 1,4353 1,2648 1,2487 1,3788 1,6209 1,9124 2,1857 2,4010 2,5589 2,6851 2,8035 2,9208 3,0273 3,1078 3,1602 3,1988 3,2410 3,2997 3,3856 3,5000 3,6216 3,7131 3,7422 3,6921 3,5562 3,3424 3,0915 2,8761 2,7593 2,7560 2,8395 2,9722 3,1117 3,2073 3,2139 3,1119 2,9167 2,6738 2,4452 2,2919 2,2581 2,3605 2,5878 2,9084 3,2780 3,6405 3,9384 4,1411 4,2557 4,3017 4,2929 4,2469 4,1870 4,1237 4,0540 3,9786 3,9033 3,8298 3,7546 3,6723 3,5867 3,5214 3,5076 3,5617 3,6822 3,8619 4,0912 4,3572 4,6353 4,8828 5,0597 5,1629 5,2301 5,3086 5,4165 5,5207 5,5472 5,4326 5,1693 4,7981 4,3736 3,9449 3,5530 3,2279 2,9846 2,8258 2,7546 2,7897 2,9543 3,2423 3,5965 3,9244 4,1469 4,2366 4,2109 4,1077 3,9695 3,8294 3,7072 3,6213 3,5931 3,6396 3,7692 3,9743 4,2274 4,5008 4,7865 5,0901 5,4111 5,7376 6,0487 6,3125 6,4927 6,5717 6,5669 6,5205 6,4718 6,4361 6,4016 6,3476 6,2697 6,1830 6,0994 6,0145 5,9162 5,7918 5,6268 5,4141 5,1766 4,9787 4,8999 4,9839 5,2039 5,4678 5,6660 5,7347 5,6779 5,5373 5,3656 5,2225 5,1567 5,1783 5,2568 5,3504 5,4317 5,4857 5,4929 5,4289 5,2813 5,0653 4,8232 4,6048 4,4422 4,3362 4,2682 4,2258 4,2164 4,2593 4,3737 4,5710 4,8555 5,2271 5,6650 6,1059 6,4606 6,6598 6,6843 6,5692 6,3824 6,1863 6,0072 5,8336 5,6326 5,3765 5,0650 4,7227 4,3654 3,9705 3,4885 2,8892 2,1939 1,4754 0,8310 0,3406 0,0310 -0,1277 -0,1952 -0,2330 -0,2881 -0,3887 -0,5404 -0,7189 -0,8796 -0,9904 -1,0592 -1,1261 -1,2280 -1,3723 -1,5367 -1,6812 -1,7619 -1,7474 -1,6229 -1,3778 -0,9955 -0,4635 0,2092 0,9813 1,7839 2,5510 3,2553 3,9055 4,4982 4,9845 5,2975 5,4076 5,3527 5,2285 5,1482 5,2003 5,4284 5,8338 6,3782 6,9849 7,5586 8,0273 8,3708 8,6060 8,7552 8,8334 8,8557 8,8427 8,8112 8,7635 8,6947 8,5988 8,4629 8,2615 7,9672 7,5784 7,1334 6,6821 6,2395 5,7849 5,3040 4,8138 4,3473 3,9377 3,6213 3,4345 3,3941 3,4800 3,6318 3,7629 3,7967 3,7059 3,5198 3,2885 3,0466 2,8062 2,5689 2,3299 2,0744 1,7825 1,4421 1,0546 0,6364 0,2185 -0,1746 -0,5531 -0,9475 -1,3623 -1,7629 -2,1060 -2,3776 -2,6043 -2,8304 -3,0901 -3,3990 -3,7535 -4,1363 -4,5324 -4,9358 -5,3387 -5,7183 -6,0376 -6,2656 -6,3984 -6,4562 -6,4560 -6,3962 -6,2738 -6,1079 -5,9355 -5,7856 -5,6594 -5,5252 -5,3291 -5,0236
