Fp1   -2,4793 -2,9422 -3,6792 -4,4029 -4,7867 -4,6355 -3,9515 -2,8883 -1,6701 -0,5389 0,2913 0,6963 0,6764 0,3296 -0,2109 -0,8370 -1,4990 -2,1760 -2,7940 -3,1785 -3,1358 -2,5917 -1,6192 -0,3544 1,0444 2,3775 3,4257 4,0306 4,1506 3,8315 3,1404 2,1503 0,9767 -0,1976 -1,1588 -1,7548 -1,9600 -1,8443 -1,4862 -0,9161 -0,1273 0,8635 1,9659 3,0318 3,9203 4,5393 4,8475 4,8470 4,5757 4,1042 3,5433 3,0178 2,5989 2,2656 1,9432 1,5797 1,1804 0,7723 0,3648 -0,0312 -0,3811 -0,6614 -0,8877 -1,0945 -1,3189 -1,5956 -1,9246 -2,2459 -2,4897 -2,6546 -2,8143 -3,0504 -3,3901 -3,7916 -4,1744 -4,4794 -4,7073 -4,8810 -4,9708 -4,8776 -4,4871 -3,7270 -2,5968 -1,1806 0,3687 1,8787 3,2195 4,3318 5,1958 5,7648 5,9405 5,6361 4,8726 3,8093 2,6721 1,6408 0,7816 0,0810 -0,4662 -0,8143 -0,8969 -0,6676 -0,1235 0,6567 1,5001 2,2022 2,6058 2,6457 2,3739 1,9365 1,4877 1,1099 0,7753 0,3511 -0,3265 -1,3232 -2,5276 -3,7123 -4,6957 -5,4510 -6,0668 -6,6235 -7,1077 -7,4207 -7,4383 -7,0527 -6,2070 -4,9451 -3,4296 -1,8766 -0,4577 0,7449 1,7150 2,4466 2,9153 3,1180 3,1173 3,0086 2,8400 2,5833 2,1726 1,5518 0,6992 -0,3669 -1,5875 -2,8375 -3,8880 -4,4327 -4,2123 -3,1662 -1,4943 0,4265 2,2098 3,5821 4,4131 4,7027 4,5631 4,1665 3,6698 3,1765 2,7357 2,3398 1,9378 1,4865 1,0096 0,6094 0,4153 0,5017 0,8294 1,2573 1,6246 1,8409 1,9120 1,8840 1,7677 1,5326 1,1591 0,6652 0,0819 -0,5761 -1,3170 -2,1490 -3,0397 -3,9083 -4,6608 -5,2172 -5,5320 -5,6457 -5,6860 -5,7621 -5,8738 -5,9379 -5,8593 -5,5608 -5,0114 -4,2853 -3,5772 -3,1100 -3,0170 -3,3050 -3,8732 -4,5267 -5,0076 -5,0953 -4,7469 -4,1518 -3,6277 -3,4304 -3,6205 -4,0658 -4,5605 -4,9737 -5,3132 -5,6480 -5,9855 -6,2474 -6,3560 -6,3226 -6,2515 -6,2581 -6,3684 -6,5008 -6,5398 -6,4200 -6,1669 -5,8941 -5,7447 -5,8062 -6,0935 -6,5868 -7,2311 -7,9227 -8,5382 -8,9775 -9,1906 -9,1845 -8,9957 -8,6666 -8,2640 -7,8887 -7,6268 -7,4812 -7,3688 -7,1932 -6,8960 -6,4341 -5,7521 -4,8200 -3,6946 -2,5196 -1,4763 -0,7624 -0,5771 -1,0555 -2,2085 -3,9358 -6,0542 -8,2965 -10,3317 -11,8450 -12,6304 -12,6546 -12,0684 -11,1371 -10,1185 -9,1614 -8,2995 -7,5286 -6,8451 -6,2027 -5,5149 -4,7472 -3,9746 -3,3402 -2,9858 -3,0186 -3,5011 -4,4217 -5,6535 -6,9586 -8,0629 -8,7587 -8,9645 -8,7053 -8,0648 -7,1734 -6,2010 -5,3042 -4,5779 -4,0801 -3,8791 -4,0238 -4,4638 -5,0364 -5,5625 -5,9608 -6,2551 -6,4795 -6,6118 -6,6091 -6,4782 -6,2736 -6,0391 -5,7817 -5,4990 -5,2136 -4,9763 -4,8381 -4,8329 -4,9887 -5,3193 -5,7873 -6,3035 -6,7717 -7,1383 -7,4192 -7,6732 -7,9357 -8,1757 -8,3135 -8,2582 -7,9242 -7,2632 -6,3203 -5,2415 -4,2070 -3,3500 -2,6991 -2,1584 -1,5628 -0,7860 0,1817 1,2339 2,2012 2,9148 3,2349 3,0463 2,2866 1,0187 -0,5265 -2,0212 -3,1959 -3,9357 -4,2524 -4,2157 -3,9043 -3,3859 -2,7252 -1,9955 -1,2827 -0,6847 -0,2920 -0,1553 -0,2694 -0,5755 -0,9748 -1,3579 -1,6219 -1,6594 -1,3798 -0,7925 -0,0617 0,5612 0,8773 0,8471 0,6032 0,3520 0,2372 0,2852 0,4541 0,7090 1,0368 1,3847 1,6150 1,5650 1,1410 0,3432 -0,7615 -2,0558 -3,3663 -4,4773 -5,1729 -5,2871 -4,7635 -3,6883 -2,2445 -0,6306 0,9808 2,4290 3,5510 4,2200 4,4025 4,1617 3,6046 2,8368 1,9459 1,0012 0,0849 -0,6708 -1,1243 -1,2268 -1,0596 -0,7728 -0,5074 -0,3480 -0,3122 -0,3816 -0,5357 -0,7507 -0,9737 -1,1147 -1,1057 -0,9680 -0,7848 -0,6331 -0,5897 -0,7512 -1,1752 -1,8153 -2,5526 -3,2801 -3,9187 -4,3646 -4,4818 -4,1754 -3,4456 -2,3737 -1,0840 0,2740 1,5191 2,4460 2,8765 2,7234 2,0171 0,8910 -0,4485 -1,7749 -2,8993 -3,6967 -4,1072 -4,1197 -3,7465 -3,0329 -2,0797 -1,0171 0,0291 0,9214 1,5150 1,7560 1,7725 1,8181 2,1088 2,7046 3,4815 4,1714 4,4812 4,2436 3,4738 2,3084 0,9160 -0,5486 -1,9511 -3,1772 -4,1326 -4,7470 -4,9938 -4,9306 -4,7106 -4,5175 -4,4511 -4,4659 -4,4207 -4,1824 -3,6860 -2,9303 -1,9679 -0,9155 0,0547 0,7755 1,1462 1,1428 0,8009 0,1962 -0,5852 -1,4721 -2,4009 -3,2924 -4,0712 -4,7152 -5,2449 -5,6712 -5,9841 -6,1757 -6,2668 -6,3187 -6,4099 -6,5938 -6,8747 -7,2127 -7,5352 -7,7616 -7,8297 -7,6957 -7,3270 -6,7274 -5,9599 -5,1215 -4,2768 -3,4150 -2,4936 -1,5270 -0,6166 0,1238 0,6802 1,1651 1,7164 2,3705 3,0344 3,5539 3,7955 3,6841 3,2061 2,4135 1,4420 0,4969 -0,2259 -0,6166 -0,6556 -0,3816 0,1101 0,6638 1,1103 1,3569 1,4574 1,5818 1,8894 2,4140 3,0411 3,5793 3,8617 3,7882 3,2993 2,3581 0,9781 -0,7275 -2,5238 -4,1192 -5,2952 -5,9967 -6,3199 -6,4261 -6,4415 -6,4185 -6,3718 -6,3149 -6,2509 -6,1538 -5,9864 -5,7370 -5,4219 -5,0484 -4,5917 -4,0287 -3,4030 -2,8476 -2,5375 -2,6084 -3,0947 -3,9284 -4,9991 -6,2020 -7,4280 -8,5585 -9,5075 -10,2446 -10,7758 -11,1295 -11,3391 -11,3963 -11,2257 -10,7435 -9,9608 -9,0216 -8,1414 -7,5083 -7,1996 -7,1642 -7,3018 -7,5560 -7,9287 -8,4326 -9,0481 -9,7174 -10,3598 -10,9018 -11,3094 -11,5769 -11,6842 -11,6004 -11,3313
Fz    0,9118 0,7749 0,5617 0,3499 0,2149 0,1797 0,2084 0,2497 0,2871 0,3447 0,4519 0,6144 0,8162 1,0332 1,2353 1,3792 1,4152 1,3110 1,0769 0,7673 0,4509 0,1730 -0,0478 -0,2004 -0,2743 -0,2723 -0,2214 -0,1658 -0,1393 -0,1477 -0,1817 -0,2391 -0,3279 -0,4478 -0,5768 -0,6771 -0,7180 -0,6961 -0,6383 -0,5789 -0,5322 -0,4927 -0,4591 -0,4504 -0,4989 -0,6286 -0,8414 -1,1210 -1,4449 -1,7878 -2,1197 -2,4157 -2,6660 -2,8662 -3,0018 -3,0535 -3,0241 -2,9536 -2,8955 -2,8785 -2,8979 -2,9367 -2,9747 -2,9831 -2,9327 -2,8149 -2,6444 -2,4477 -2,2597 -2,1195 -2,0504 -2,0450 -2,0782 -2,1293 -2,1855 -2,2371 -2,2806 -2,3155 -2,3319 -2,3076 -2,2242 -2,0846 -1,9122 -1,7331 -1,5648 -1,4206 -1,3096 -1,2300 -1,1742 -1,1441 -1,1563 -1,2218 -1,3245 -1,4213 -1,4663 -1,4394 -1,3562 -1,2544 -1,1715 -1,1301 -1,1322 -1,1588 -1,1847 -1,2072 -1,2556 -1,3681 -1,5705 -1,8716 -2,2605 -2,7055 -3,1646 -3,5967 -3,9698 -4,2731 -4,5170 -4,7136 -4,8572 -4,9230 -4,8841 -4,7275 -4,4594 -4,0986 -3,6634 -3,1645 -2,6140 -2,0366 -1,4706 -0,9616 -0,5542 -0,2760 -0,1222 -0,0552 -0,0226 0,0186 0,0830 0,1586 0,2198 0,2382 0,1965 0,1036 -0,0092 -0,1185 -0,2305 -0,3729 -0,5692 -0,8163 -1,0751 -1,2802 -1,3689 -1,3105 -1,1181 -0,8419 -0,5541 -0,3175 -0,1506 -0,0214 0,1246 0,3337 0,6309 1,0259 1,5192 2,0949 2,7100 3,2942 3,7722 4,0923 4,2425 4,2431 4,1240 3,9084 3,6098 3,2398 2,8113 2,3300 1,7909 1,1941 0,5576 -0,0851 -0,6878 -1,2005 -1,5942 -1,8773 -2,0802 -2,2275 -2,3327 -2,4125 -2,4929 -2,6003 -2,7456 -2,9077 -3,0381 -3,0897 -3,0406 -2,8987 -2,7002 -2,5081 -2,3958 -2,4165 -2,5827 -2,8693 -3,2287 -3,6076 -3,9631 -4,2678 -4,5096 -4,6944 -4,8418 -4,9734 -5,0972 -5,2013 -5,2693 -5,3051 -5,3344 -5,3806 -5,4471 -5,5212 -5,5860 -5,6242 -5,6207 -5,5681 -5,4650 -5,3138 -5,1283 -4,9381 -4,7826 -4,7073 -4,7551 -4,9389 -5,2236 -5,5440 -5,8378 -6,0666 -6,2143 -6,2732 -6,2378 -6,1089 -5,8938 -5,6099 -5,2960 -5,0084 -4,7881 -4,6307 -4,5011 -4,3701 -4,2231 -4,0417 -3,8007 -3,4918 -3,1464 -2,8240 -2,5825 -2,4609 -2,4770 -2,6240 -2,8744 -3,1926 -3,5371 -3,8539 -4,0871 -4,2100 -4,2379 -4,2096 -4,1641 -4,1294 -4,1207 -4,1406 -4,1859 -4,2562 -4,3465 -4,4296 -4,4615 -4,4124 -4,2808 -4,0835 -3,8459 -3,6043 -3,4043 -3,2878 -3,2814 -3,3951 -3,6173 -3,9111 -4,2261 -4,5228 -4,7873 -5,0308 -5,2790 -5,5554 -5,8619 -6,1783 -6,4778 -6,7338 -6,9151 -6,9863 -6,9228 -6,7261 -6,4261 -6,0608 -5,6517 -5,2112 -4,7706 -4,3847 -4,1036 -3,9445 -3,8901 -3,9136 -4,0075 -4,1845 -4,4511 -4,7899 -5,1621 -5,5191 -5,8198 -6,0432 -6,1874 -6,2558 -6,2483 -6,1672 -6,0218 -5,8247 -5,5900 -5,3342 -5,0735 -4,8203 -4,5851 -4,3882 -4,2639 -4,2346 -4,2818 -4,3538 -4,4047 -4,4194 -4,4039 -4,3649 -4,3007 -4,2074 -4,0936 -3,9928 -3,9487 -3,9777 -4,0597 -4,1764 -4,3425 -4,5760 -4,8518 -5,1001 -5,2382 -5,1987 -4,9509 -4,5241 -4,0021 -3,4865 -3,0635 -2,7901 -2,6877 -2,7369 -2,8822 -3,0477 -3,1585 -3,1629 -3,0477 -2,8378 -2,5821 -2,3357 -2,1361 -1,9895 -1,8867 -1,8263 -1,8125 -1,8409 -1,8950 -1,9520 -1,9985 -2,0437 -2,1102 -2,2170 -2,3739 -2,5798 -2,8149 -3,0393 -3,2052 -3,2696 -3,2023 -2,9978 -2,6891 -2,3409 -2,0239 -1,7904 -1,6631 -1,6399 -1,7044 -1,8275 -1,9668 -2,0799 -2,1432 -2,1589 -2,1466 -2,1206 -2,0749 -1,9983 -1,9011 -1,8137 -1,7596 -1,7373 -1,7284 -1,7140 -1,6848 -1,6476 -1,6254 -1,6378 -1,6775 -1,7172 -1,7405 -1,7572 -1,7938 -1,8772 -2,0195 -2,2054 -2,3999 -2,5686 -2,6890 -2,7561 -2,7780 -2,7559 -2,6728 -2,5132 -2,2881 -2,0301 -1,7709 -1,5306 -1,3243 -1,1694 -1,0814 -1,0656 -1,1136 -1,2105 -1,3446 -1,5057 -1,6703 -1,8014 -1,8626 -1,8275 -1,6857 -1,4461 -1,1306 -0,7652 -0,3850 -0,0355 0,2518 0,4850 0,6951 0,8946 1,0658 1,1778 1,2039 1,1305 0,9615 0,7177 0,4330 0,1473 -0,1078 -0,3170 -0,4707 -0,5529 -0,5406 -0,4185 -0,2029 0,0457 0,2396 0,3115 0,2571 0,1295 -0,0038 -0,0948 -0,1235 -0,0975 -0,0461 -0,0082 -0,0186 -0,1020 -0,2715 -0,5280 -0,8624 -1,2608 -1,7023 -2,1556 -2,5821 -2,9468 -3,2296 -3,4247 -3,5389 -3,5888 -3,5918 -3,5664 -3,5462 -3,5699 -3,6512 -3,7716 -3,9049 -4,0356 -4,1542 -4,2488 -4,2993 -4,2737 -4,1370 -3,8682 -3,4758 -2,9952 -2,4678 -1,9288 -1,4103 -0,9399 -0,5249 -0,1365 0,2790 0,7567 1,2794 1,7902 2,2383 2,6089 2,9188 3,1917 3,4357 3,6402 3,7931 3,8946 3,9534 3,9800 3,9818 3,9551 3,8836 3,7483 3,5439 3,2952 3,0542 2,8709 2,7650 2,7293 2,7512 2,8224 2,9242 3,0203 3,0770 3,0826 3,0426 2,9620 2,8320 2,6311 2,3476 1,9963 1,6105 1,2171 0,8241 0,4275 0,0254 -0,3690 -0,7261 -1,0215 -1,2622 -1,4889 -1,7496 -2,0677 -2,4311 -2,8060 -3,1556 -3,4515 -3,6835 -3,8687 -4,0474 -4,2668 -4,5566 -4,9069 -5,2802 -5,6518 -6,0222 -6,3905 -6,7380 -7,0337 -7,2460 -7,3557 -7,3679 -7,3143 -7,2454 -7,2139 -7,2542 -7,3658 -7,5118 -7,6456 -7,7427 -7,8061 -7,8486 -7,8806 -7,9093 -7,9356 -7,9532 -7,9600 -7,9655 -7,9799 -7,9992 -8,0097
F3    0,5508 0,1784 -0,2170 -0,5364 -0,6978 -0,6867 -0,5617 -0,4037 -0,2547 -0,1040 0,0781 0,3070 0,5775 0,8729 1,1665 1,4138 1,5538 1,5338 1,3457 1,0445 0,7220 0,4541 0,2762 0,1938 0,1969 0,2613 0,3398 0,3688 0,3045 0,1534 -0,0475 -0,2748 -0,5287 -0,8084 -1,0953 -1,3548 -1,5441 -1,6246 -1,5741 -1,3850 -1,0582 -0,6216 -0,1493 0,2584 0,5207 0,6013 0,5058 0,2694 -0,0648 -0,4560 -0,8637 -1,2580 -1,6341 -1,9935 -2,3157 -2,5625 -2,7115 -2,7824 -2,8175 -2,8415 -2,8524 -2,8461 -2,8217 -2,7624 -2,6412 -2,4545 -2,2335 -2,0240 -1,8689 -1,7962 -1,8004 -1,8391 -1,8677 -1,8747 -1,8746 -1,8774 -1,8787 -1,8598 -1,7896 -1,6414 -1,4206 -1,1725 -0,9533 -0,7976 -0,7145 -0,6999 -0,7361 -0,7857 -0,8040 -0,7686 -0,6975 -0,6337 -0,6118 -0,6349 -0,6804 -0,7259 -0,7609 -0,7787 -0,7759 -0,7673 -0,7838 -0,8509 -0,9797 -1,1781 -1,4494 -1,7764 -2,1274 -2,4806 -2,8312 -3,1822 -3,5353 -3,8840 -4,2175 -4,5303 -4,8173 -5,0583 -5,2173 -5,2615 -5,1854 -5,0148 -4,7877 -4,5302 -4,2413 -3,8994 -3,4875 -3,0106 -2,4906 -1,9587 -1,4561 -1,0260 -0,6896 -0,4284 -0,1944 0,0555 0,3294 0,5972 0,8034 0,8810 0,7806 0,5074 0,1305 -0,2551 -0,5807 -0,8289 -1,0278 -1,2233 -1,4366 -1,6352 -1,7483 -1,7121 -1,5076 -1,1785 -0,8223 -0,5455 -0,4055 -0,3855 -0,4154 -0,4096 -0,2921 -0,0051 0,4804 1,1443 1,9072 2,6528 3,2712 3,6917 3,8903 3,8807 3,6948 3,3673 2,9323 2,4288 1,9010 1,3796 0,8667 0,3484 -0,1874 -0,7386 -1,2754 -1,7452 -2,1160 -2,4123 -2,6926 -2,9954 -3,3144 -3,6160 -3,8621 -4,0266 -4,1003 -4,0795 -3,9594 -3,7458 -3,4637 -3,1539 -2,8646 -2,6514 -2,5712 -2,6575 -2,9017 -3,2662 -3,7092 -4,1939 -4,6762 -5,0977 -5,4088 -5,5954 -5,6727 -5,6621 -5,5837 -5,4600 -5,3198 -5,1980 -5,1254 -5,1162 -5,1702 -5,2848 -5,4610 -5,6926 -5,9494 -6,1741 -6,2976 -6,2676 -6,0811 -5,7949 -5,5066 -5,3223 -5,3198 -5,5086 -5,8217 -6,1547 -6,4207 -6,5859 -6,6597 -6,6535 -6,5637 -6,3889 -6,1440 -5,8566 -5,5649 -5,3202 -5,1644 -5,0967 -5,0756 -5,0600 -5,0310 -4,9763 -4,8707 -4,6886 -4,4338 -4,1457 -3,8754 -3,6697 -3,5690 -3,6006 -3,7657 -4,0336 -4,3460 -4,6312 -4,8252 -4,9007 -4,8731 -4,7722 -4,6185 -4,4282 -4,2272 -4,0493 -3,9280 -3,8909 -3,9494 -4,0758 -4,2057 -4,2798 -4,2776 -4,2096 -4,0958 -3,9604 -3,8343 -3,7532 -3,7530 -3,8596 -4,0726 -4,3638 -4,7036 -5,0787 -5,4832 -5,9052 -6,3244 -6,7130 -7,0290 -7,2240 -7,2733 -7,1986 -7,0476 -6,8525 -6,6119 -6,3114 -5,9536 -5,5549 -5,1237 -4,6640 -4,2060 -3,8096 -3,5301 -3,3885 -3,3749 -3,4684 -3,6527 -3,9118 -4,2182 -4,5375 -4,8361 -5,0822 -5,2560 -5,3622 -5,4208 -5,4495 -5,4595 -5,4581 -5,4435 -5,4004 -5,3127 -5,1772 -5,0030 -4,8033 -4,5933 -4,3960 -4,2416 -4,1465 -4,0936 -4,0445 -3,9696 -3,8657 -3,7449 -3,6170 -3,4806 -3,3253 -3,1464 -2,9673 -2,8348 -2,7786 -2,7845 -2,8215 -2,8913 -3,0262 -3,2454 -3,5272 -3,8138 -4,0241 -4,0830 -3,9653 -3,7068 -3,3755 -3,0480 -2,8035 -2,7075 -2,7805 -2,9781 -3,2018 -3,3385 -3,3046 -3,0726 -2,6805 -2,2218 -1,8069 -1,5031 -1,3046 -1,1676 -1,0676 -1,0124 -1,0118 -1,0528 -1,1052 -1,1474 -1,1839 -1,2322 -1,3009 -1,3885 -1,4925 -1,6085 -1,7189 -1,7889 -1,7734 -1,6309 -1,3519 -0,9775 -0,5786 -0,2181 0,0653 0,2450 0,2832 0,1295 -0,2378 -0,7684 -1,3506 -1,8669 -2,2394 -2,4381 -2,4602 -2,3111 -2,0156 -1,6404 -1,2854 -1,0380 -0,9323 -0,9379 -0,9762 -0,9637 -0,8685 -0,7337 -0,6383 -0,6349 -0,7263 -0,8842 -1,0744 -1,2729 -1,4733 -1,6744 -1,8583 -1,9929 -2,0596 -2,0721 -2,0732 -2,1113 -2,2048 -2,3251 -2,4197 -2,4488 -2,3971 -2,2649 -2,0589 -1,7960 -1,5087 -1,2350 -0,9987 -0,8101 -0,6859 -0,6540 -0,7267 -0,8750 -1,0437 -1,1810 -1,2458 -1,2075 -1,0502 -0,7743 -0,3941 0,0555 0,5119 0,9071 1,2114 1,4398 1,6129 1,7278 1,7679 1,7217 1,5923 1,3941 1,1452 0,8670 0,5840 0,3131 0,0624 -0,1583 -0,3299 -0,4273 -0,4309 -0,3389 -0,1772 0,0060 0,1701 0,3118 0,4491 0,5826 0,6938 0,7739 0,8279 0,8489 0,8009 0,6361 0,3236 -0,1296 -0,6798 -1,2736 -1,8730 -2,4510 -2,9731 -3,3888 -3,6508 -3,7446 -3,6971 -3,5674 -3,4257 -3,3222 -3,2799 -3,3142 -3,4307 -3,6015 -3,7737 -3,9103 -4,0075 -4,0795 -4,1418 -4,1936 -4,2039 -4,1210 -3,8990 -3,5198 -3,0025 -2,4013 -1,7968 -1,2746 -0,8910 -0,6394 -0,4377 -0,1630 0,2741 0,8718 1,5487 2,2113 2,8092 3,3386 3,8068 4,1998 4,4826 4,6206 4,5957 4,4130 4,1107 3,7539 3,4015 3,0782 2,7754 2,4768 2,1931 1,9696 1,8530 1,8566 1,9640 2,1560 2,4145 2,6983 2,9354 3,0539 3,0136 2,8161 2,4966 2,0997 1,6589 1,2056 0,7837 0,4332 0,1651 -0,0355 -0,1883 -0,3102 -0,4143 -0,5051 -0,5891 -0,6951 -0,8722 -1,1618 -1,5628 -2,0210 -2,4602 -2,8237 -3,0905 -3,2747 -3,4220 -3,5946 -3,8521 -4,2309 -4,7237 -5,2871 -5,8770 -6,4569 -6,9748 -7,3656 -7,5815 -7,6139 -7,4908 -7,2644 -6,9995 -6,7642 -6,6196 -6,6084 -6,7378 -6,9645 -7,2128 -7,4217 -7,5758 -7,6960 -7,8076 -7,9190 -8,0222 -8,1068 -8,1730 -8,2318 -8,2940 -8,3618 -8,4263
F7    -1,0032 -1,3208 -1,7447 -2,1286 -2,3189 -2,2428 -1,9374 -1,5073 -1,0589 -0,6677 -0,3781 -0,2052 -0,1364 -0,1454 -0,2103 -0,3204 -0,4753 -0,6739 -0,8828 -1,0183 -0,9858 -0,7469 -0,3313 0,2022 0,7858 1,3344 1,7484 1,9490 1,9168 1,6925 1,3384 0,9056 0,4335 -0,0289 -0,4141 -0,6564 -0,7260 -0,6408 -0,4419 -0,1595 0,1962 0,6082 1,0272 1,3884 1,6490 1,7968 1,8335 1,7646 1,5967 1,3411 1,0299 0,7161 0,4443 0,2265 0,0509 -0,0926 -0,2058 -0,2976 -0,3860 -0,4726 -0,5351 -0,5622 -0,5716 -0,5874 -0,6254 -0,7028 -0,8290 -0,9888 -1,1579 -1,3355 -1,5457 -1,8062 -2,1057 -2,4076 -2,6673 -2,8537 -2,9676 -3,0310 -3,0476 -2,9828 -2,7856 -2,4247 -1,9012 -1,2425 -0,4991 0,2575 0,9541 1,5395 1,9862 2,2682 2,3462 2,1906 1,8252 1,3419 0,8651 0,4880 0,2300 0,0512 -0,0939 -0,2199 -0,3097 -0,3289 -0,2500 -0,0883 0,0879 0,1983 0,2002 0,1010 -0,0605 -0,2449 -0,4310 -0,6121 -0,7929 -0,9964 -1,2549 -1,5796 -1,9454 -2,3042 -2,6182 -2,8828 -3,1167 -3,3275 -3,4828 -3,5181 -3,3759 -3,0346 -2,5163 -1,8864 -1,2412 -0,6692 -0,2045 0,1789 0,5267 0,8603 1,1627 1,3975 1,5344 1,5610 1,4800 1,3009 1,0371 0,7035 0,3122 -0,1311 -0,6210 -1,1275 -1,5709 -1,8328 -1,8116 -1,4826 -0,9169 -0,2472 0,3923 0,9075 1,2554 1,4418 1,5129 1,5289 1,5338 1,5477 1,5783 1,6243 1,6742 1,7183 1,7636 1,8273 1,9165 2,0232 2,1277 2,2029 2,2242 2,1796 2,0722 1,9078 1,6834 1,3961 1,0591 0,6958 0,3224 -0,0580 -0,4527 -0,8725 -1,3150 -1,7590 -2,1778 -2,5486 -2,8535 -3,0987 -3,3144 -3,5110 -3,6483 -3,6653 -3,5218 -3,2134 -2,7776 -2,2983 -1,8892 -1,6465 -1,6138 -1,7792 -2,0860 -2,4372 -2,7074 -2,7909 -2,6705 -2,4419 -2,2568 -2,2254 -2,3614 -2,6004 -2,8635 -3,1126 -3,3586 -3,6198 -3,8790 -4,0905 -4,2231 -4,2870 -4,3205 -4,3567 -4,3930 -4,3939 -4,3280 -4,1996 -4,0504 -3,9457 -3,9452 -4,0669 -4,2831 -4,5484 -4,8210 -5,0679 -5,2683 -5,4109 -5,4946 -5,5262 -5,5055 -5,4265 -5,3051 -5,1916 -5,1363 -5,1354 -5,1253 -5,0344 -4,8307 -4,5196 -4,1222 -3,6717 -3,2222 -2,8412 -2,5860 -2,4950 -2,5928 -2,8893 -3,3794 -4,0423 -4,8289 -5,6483 -6,3779 -6,9014 -7,1473 -7,1033 -6,8214 -6,4038 -5,9537 -5,5221 -5,1051 -4,6925 -4,2991 -3,9413 -3,6130 -3,3004 -3,0034 -2,7367 -2,5286 -2,4269 -2,4896 -2,7511 -3,1878 -3,7123 -4,2055 -4,5716 -4,7778 -4,8461 -4,8176 -4,7312 -4,6212 -4,5056 -4,3800 -4,2453 -4,1316 -4,0815 -4,1082 -4,1768 -4,2279 -4,2199 -4,1461 -4,0171 -3,8397 -3,6212 -3,3842 -3,1599 -2,9641 -2,7945 -2,6501 -2,5499 -2,5282 -2,6111 -2,8001 -3,0789 -3,4152 -3,7534 -4,0372 -4,2444 -4,3893 -4,4980 -4,5883 -4,6596 -4,6904 -4,6473 -4,4966 -4,2100 -3,7762 -3,2228 -2,6265 -2,0950 -1,7257 -1,5552 -1,5338 -1,5536 -1,5131 -1,3676 -1,1364 -0,8768 -0,6496 -0,5014 -0,4701 -0,5865 -0,8464 -1,1845 -1,4972 -1,7082 -1,8058 -1,8178 -1,7710 -1,6799 -1,5467 -1,3609 -1,1111 -0,8113 -0,5133 -0,2858 -0,1826 -0,2233 -0,3947 -0,6593 -0,9676 -1,2638 -1,4874 -1,5866 -1,5498 -1,4204 -1,2736 -1,1698 -1,1140 -1,0502 -0,9083 -0,6671 -0,3675 -0,0673 0,2037 0,4387 0,6138 0,6746 0,5738 0,3113 -0,0732 -0,5336 -1,0292 -1,5101 -1,9109 -2,1587 -2,1855 -1,9580 -1,5095 -0,9265 -0,2999 0,3083 0,8563 1,2975 1,5816 1,6832 1,6195 1,4371 1,1850 0,8982 0,6017 0,3269 0,1234 0,0399 0,0892 0,2376 0,4231 0,5801 0,6650 0,6708 0,6099 0,4929 0,3351 0,1788 0,0911 0,1198 0,2518 0,4263 0,5751 0,6325 0,5340 0,2467 -0,1999 -0,7267 -1,2464 -1,6875 -1,9877 -2,0870 -1,9524 -1,6089 -1,1377 -0,6353 -0,1765 0,1847 0,4014 0,4441 0,3197 0,0687 -0,2550 -0,6003 -0,9280 -1,2104 -1,4193 -1,5254 -1,5078 -1,3538 -1,0658 -0,6730 -0,2251 0,2198 0,5943 0,8316 0,9147 0,9154 0,9560 1,1246 1,4262 1,7878 2,0885 2,2081 2,0843 1,7344 1,2295 0,6501 0,0605 -0,4879 -0,9436 -1,2560 -1,3888 -1,3382 -1,1490 -0,9139 -0,7411 -0,6904 -0,7316 -0,7718 -0,7256 -0,5556 -0,2712 0,0843 0,4460 0,7478 0,9470 1,0311 1,0032 0,8686 0,6292 0,2852 -0,1525 -0,6509 -1,1548 -1,6065 -1,9724 -2,2419 -2,4115 -2,4867 -2,4901 -2,4607 -2,4531 -2,5219 -2,6921 -2,9500 -3,2607 -3,5815 -3,8641 -4,0615 -4,1285 -4,0266 -3,7456 -3,3182 -2,8080 -2,2755 -1,7484 -1,2332 -0,7531 -0,3556 -0,0677 0,1515 0,3970 0,7439 1,1878 1,6530 2,0461 2,3026 2,3994 2,3399 2,1435 1,8556 1,5542 1,3189 1,1880 1,1550 1,1999 1,3063 1,4541 1,6124 1,7525 1,8723 2,0043 2,1877 2,4308 2,6997 2,9367 3,0884 3,1101 2,9565 2,5878 1,9954 1,2273 0,3965 -0,3562 -0,9302 -1,3043 -1,5201 -1,6442 -1,7380 -1,8441 -1,9878 -2,1746 -2,3809 -2,5544 -2,6424 -2,6284 -2,5388 -2,4144 -2,2779 -2,1357 -2,0102 -1,9482 -1,9942 -2,1635 -2,4379 -2,7830 -3,1782 -3,6229 -4,1088 -4,6076 -5,0996 -5,5843 -6,0598 -6,5126 -6,9199 -7,2400 -7,4067 -7,3565 -7,0811 -6,6501 -6,1807 -5,7846 -5,5265 -5,4092 -5,3971 -5,4586 -5,5918 -5,8128 -6,1188 -6,4652 -6,7813 -7,0145 -7,1657 -7,2774 -7,3854 -7,4866 -7,5516
