Fp1   1,2592 0,9868 0,4981 -0,1954 -0,9637 -1,6092 -1,9653 -1,9485 -1,5736 -0,9604 -0,3103 0,1769 0,4019 0,3925 0,2479 0,0791 -0,0322 -0,0709 -0,0884 -0,1442 -0,2417 -0,3100 -0,2518 -0,0215 0,3551 0,8195 1,2948 1,6863 1,9056 1,8951 1,6441 1,2154 0,7379 0,3291 0,0253 -0,2045 -0,3932 -0,5269 -0,5431 -0,3856 -0,0776 0,2595 0,4595 0,4024 0,0946 -0,3364 -0,7346 -1,0034 -1,1279 -1,1465 -1,1141 -1,0798 -1,0713 -1,0722 -1,0098 -0,7900 -0,3622 0,2510 0,9802 1,7578 2,5343 3,2529 3,8374 4,2299 4,4330 4,4886 4,4199 4,2148 3,8691 3,4446 3,0701 2,8518 2,7842 2,7695 2,7122 2,5826 2,4158 2,2753 2,2087 2,2104 2,2114 2,1133 1,8529 1,4393 0,9348 0,4218 -0,0046 -0,2280 -0,1353 0,3078 1,0113 1,8163 2,5775 3,1703 3,4646 3,3638 2,8722 2,1041 1,2356 0,4483 -0,1196 -0,4127 -0,4729 -0,4114 -0,3440 -0,3298 -0,3502 -0,3395 -0,2428 -0,0476 0,2444 0,6592 1,2367 1,9709 2,7763 3,5176 4,0788 4,4150 4,5499 4,5449 4,4762 4,4143 4,4096 4,5057 4,7516 5,1741 5,7288 6,3010 6,7897 7,1794 7,5088 7,7959 8,0245 8,1842 8,3033 8,4438 8,6747 9,0495 9,5937 10,2946 11,0901 11,8726 12,5213 12,9472 13,1287 13,1212 13,0242 12,9362 12,9416 13,1064 13,4396 13,8523 14,1773 14,2431 13,9433 13,2687 12,2896 11,1011 9,7853 8,4247 7,1234 5,9930 5,1213 4,5638 4,3540 4,4789 4,8331 5,2510 5,6029 5,8362 5,9355 5,8883 5,6900 5,3513 4,8862 4,3038 3,6107 2,8128 1,9236 0,9823 0,0614 -0,7664 -1,4733 -2,0732 -2,5762 -2,9605 -3,1693 -3,1211 -2,7365 -1,9725 -0,8641 0,4384 1,6816 2,5955 3,0134 2,9448 2,5524 2,0500 1,5878 1,1825 0,7380 0,1519 -0,5769 -1,3390 -1,9838 -2,3803 -2,4423 -2,1412 -1,5141 -0,6611 0,2794 1,1804 1,9791 2,6859 3,3401 3,9442 4,4390 4,7653 4,9512 5,1045 5,3224 5,6339 6,0034 6,3432 6,5434 6,5277 6,2776 5,8117 5,1845 4,5137 3,9719 3,7161 3,8040 4,1614 4,6286 5,0578 5,3828 5,6021 5,7158 5,7053 5,5558 5,2702 4,8704 4,4055 3,9613 3,6467 3,5470 3,6542 3,8378 3,9111 3,7433 3,3144 2,6960 2,0069 1,3756 0,9022 0,6212 0,5001 0,4933 0,6032 0,8649 1,2615 1,6758 1,9491 1,9933 1,8471 1,6365 1,5002 1,5331 1,7649 2,1678 2,6670 3,1482 3,4924 3,6309 3,5707 3,3796 3,1562 2,9921 2,9239 2,9123 2,8728 2,7215 2,3976 1,8787 1,2019 0,4674 -0,1944 -0,6858 -0,9771 -1,0831 -1,0185 -0,7858 -0,4020 0,0683 0,5309 0,9163 1,1989 1,3739 1,4539 1,4899 1,5574 1,7016 1,9092 2,1324 2,3195 2,4274 2,4381 2,3735 2,2827 2,2099 2,1675 2,1396 2,1128 2,0839 2,0364 1,9416 1,7845 1,5719 1,3203 1,0518 0,7955 0,5844 0,4467 0,3984 0,4336 0,5101 0,5427 0,4332 0,1295 -0,3339 -0,8525 -1,3008 -1,5749 -1,6342 -1,5293 -1,3671 -1,2292 -1,1135 -0,9402 -0,6239 -0,1546 0,4034 0,9695 1,4675 1,8040 1,8764 1,6251 1,0793 0,3560 -0,3749 -0,9474 -1,2543 -1,2663 -1,0153 -0,5689 -0,0094 0,5816 1,1487 1,6880 2,2261 2,7586 3,2185 3,5029 3,5329 3,3021 2,8825 2,3842 1,9040 1,5029 1,2135 1,0409 0,9551 0,9044 0,8562 0,8235 0,8495 0,9725 1,2075 1,5438 1,9400 2,3117 2,5314 2,4855 2,1681 1,7159 1,3220 1,1096 1,0955 1,2483 1,5415 1,9546 2,4482 2,9584 3,4225 3,8126 4,1408 4,4298 4,6757 4,8398 4,8908 4,8546 4,8054 4,8079 4,8787 4,9962 5,1361 5,2960 5,4877 5,7050 5,8940 5,9570 5,7991 5,3833 4,7523 4,0109 3,2837 2,6777 2,2712 2,1191 2,2481 2,6382 3,1938 3,7482 4,1432 4,3122 4,2680 4,0285 3,5909 2,9821 2,3097 1,7388 1,4106 1,3757 1,5843 1,9253 2,2748 2,5387 2,6915 2,7899 2,9417 3,2424 3,7122 4,2697 4,7591 5,0073 4,8909 4,3954 3,6325 2,8055 2,1398 1,8102 1,8861 2,2957 2,8342 3,2452 3,3404 3,0844 2,5923 2,0623 1,7015 1,6596 1,9780 2,5793 3,2902 3,8869 4,1665 4,0227 3,4810 2,6651 1,7211 0,7592 -0,1620 -1,0172 -1,7928 -2,4785 -3,0605 -3,5082 -3,7786 -3,8475 -3,7340 -3,4722 -3,0559 -2,4341 -1,5798 -0,5489 0,5386 1,5541 2,4022 3,0661 3,6291 4,2056 4,8149 5,3321 5,5787 5,4478 4,9525 4,2004 3,3415 2,5138 1,8193 1,3326 1,1022 1,1375 1,4006 1,8123 2,2905 2,8128 3,4317 4,2136 5,1634 6,1865 7,1047 7,7286 7,9473 7,7686 7,2868 6,6239 5,9020 5,2361 4,7213 4,4199 4,3621 4,5463 4,9364 5,4670 6,0663 6,6781 7,2639 7,7962 8,2453 8,5625 8,6693 8,4825 7,9741 7,2022 6,2667 5,2450 4,1798 3,1188 2,1447 1,3434 0,7385 0,2648 -0,1905 -0,7271 -1,3983 -2,1971 -3,0514 -3,8494 -4,4888 -4,9266 -5,1934 -5,3580 -5,4790 -5,5983 -5,7610 -6,0115 -6,3685 -6,8110 -7,2799 -7,6883 -7,9579 -8,0783 -8,1358 -8,2563 -8,5109 -8,8849 -9,3272 -9,7926 -10,2270 -10,5451 -10,6440 -10,4426 -9,9341 -9,2273 -8,5218 -8,0036 -7,7303 -7,5913 -7,3820 -6,9381 -6,2287 -5,3569 -4,4965 -3,8220 -3,4570 -3,4506 -3,7760 -4,3200 -4,8762 -5,2140 -5,1968 -4,8309 -4,2150 -3,4652 -2,6599 -1,8228 -0,9618 -0,1368
Fz    -2,3188 -2,3705 -2,3778 -2,3303 -2,2195 -2,0499 -1,8525 -1,6795 -1,5732 -1,5416 -1,5630 -1,5961 -1,5830 -1,4688 -1,2412 -0,9449 -0,6537 -0,4280 -0,2892 -0,2172 -0,1653 -0,0829 0,0608 0,2624 0,4981 0,7526 1,0203 1,2770 1,4757 1,5766 1,5729 1,4868 1,3501 1,1855 1,0006 0,7967 0,5818 0,3785 0,2184 0,1371 0,1664 0,3204 0,5848 0,9271 1,3161 1,7208 2,0989 2,4060 2,6208 2,7537 2,8365 2,9046 2,9814 3,0743 3,1844 3,3195 3,5017 3,7630 4,1266 4,5890 5,1143 5,6377 6,0811 6,3873 6,5499 6,6090 6,6212 6,6342 6,6766 6,7604 6,8831 7,0145 7,0926 7,0477 6,8374 6,4615 5,9600 5,4000 4,8563 4,3876 4,0175 3,7363 3,5252 3,3721 3,2723 3,2249 3,2222 3,2364 3,2208 3,1344 2,9710 2,7657 2,5655 2,3958 2,2608 2,1680 2,1441 2,2211 2,4042 2,6517 2,8849 3,0186 2,9966 2,8107 2,4916 2,0831 1,6245 1,1549 0,7188 0,3579 0,1077 0,0041 0,0828 0,3696 0,8690 1,5554 2,3727 3,2433 4,0862 4,8383 5,4786 6,0388 6,5803 7,1476 7,7345 8,2933 8,7752 9,1684 9,5182 9,9112 10,4277 11,1111 11,9723 13,0006 14,1696 15,4405 16,7521 18,0047 19,0766 19,8754 20,3846 20,6642 20,8034 20,8657 20,8698 20,8152 20,7104 20,5772 20,4384 20,3039 20,1643 19,9978 19,7815 19,4966 19,1267 18,6598 18,0934 17,4381 16,7140 15,9488 15,1778 14,4387 13,7588 13,1458 12,5948 12,0988 11,6471 11,2180 10,7750 10,2678 9,6491 8,9055 8,0680 7,1911 6,3286 5,5271 4,8234 4,2291 3,7236 3,2685 2,8347 2,4178 2,0341 1,7133 1,4933 1,4079 1,4686 1,6524 1,9129 2,2022 2,4824 2,7302 2,9452 3,1489 3,3653 3,5988 3,8310 4,0404 4,2202 4,3761 4,5177 4,6623 4,8393 5,0771 5,3751 5,6948 5,9854 6,2180 6,3952 6,5330 6,6458 6,7495 6,8664 7,0194 7,2255 7,4933 7,8231 8,2177 8,6846 9,2121 9,7447 10,1968 10,4953 10,6105 10,5590 10,3876 10,1536 9,9175 9,7342 9,6286 9,5775 9,5256 9,4216 9,2494 9,0361 8,8350 8,6982 8,6564 8,7071 8,8133 8,9109 8,9286 8,8116 8,5352 8,1050 7,5540 6,9362 6,3092 5,7156 5,1825 4,7298 4,3718 4,1167 3,9661 3,9149 3,9579 4,0951 4,3269 4,6487 5,0500 5,5075 5,9741 6,3839 6,6806 6,8534 6,9427 7,0047 7,0686 7,1245 7,1431 7,1006 6,9948 6,8467 6,6942 6,5797 6,5352 6,5692 6,6646 6,7823 6,8649 6,8449 6,6642 6,2927 5,7402 5,0548 4,3091 3,5865 2,9679 2,5189 2,2796 2,2636 2,4632 2,8537 3,3904 4,0084 4,6368 5,2217 5,7383 6,1855 6,5653 6,8652 7,0654 7,1614 7,1748 7,1396 7,0857 7,0318 6,9857 6,9452 6,9006 6,8379 6,7434 6,6117 6,4531 6,2796 6,0821 5,8324 5,5069 5,1026 4,6343 4,1263 3,6125 3,1340 2,7301 2,4275 2,2271 2,0980 1,9923 1,8707 1,7217 1,5658 1,4472 1,4124 1,4892 1,6781 1,9520 2,2594 2,5338 2,7045 2,7104 2,5142 2,1138 1,5463 0,8703 0,1333 -0,6364 -1,4011 -2,0969 -2,6515 -3,0115 -3,1515 -3,0671 -2,7715 -2,2970 -1,6928 -1,0187 -0,3371 0,3002 0,8678 1,3725 1,8334 2,2482 2,5739 2,7453 2,7169 2,4975 2,1548 1,7899 1,4974 1,3297 1,2913 1,3638 1,5266 1,7480 1,9757 2,1594 2,2818 2,3642 2,4446 2,5407 2,6304 2,6665 2,6069 2,4332 2,1605 1,8370 1,5260 1,2850 1,1649 1,2155 1,4764 1,9610 2,6528 3,5080 4,4581 5,4209 6,3179 7,0904 7,7098 8,1737 8,4939 8,6856 8,7632 8,7386 8,6277 8,4567 8,2567 8,0534 7,8605 7,6833 7,5277 7,4054 7,3295 7,3099 7,3440 7,4027 7,4255 7,3471 7,1388 6,8264 6,4746 6,1567 5,9274 5,8101 5,7973 5,8579 5,9424 5,9931 5,9640 5,8396 5,6346 5,3843 5,1366 4,9449 4,8566 4,9055 5,1037 5,4359 5,8622 6,3312 6,7936 7,2053 7,5224 7,7039 7,7278 7,6090 7,3974 7,1489 6,8945 6,6404 6,3954 6,1919 6,0770 6,0753 6,1592 6,2579 6,3094 6,3079 6,2948 6,3051 6,3348 6,3486 6,3040 6,1715 5,9481 5,6552 5,3241 4,9818 4,6397 4,2937 3,9396 3,5872 3,2635 3,0133 2,8941 2,9538 3,2007 3,5904 4,0394 4,4561 4,7714 4,9626 5,0638 5,1422 5,2525 5,4106 5,6006 5,7957 5,9727 6,1206 6,2372 6,3165 6,3461 6,3162 6,2334 6,1233 6,0143 5,9131 5,8056 5,6816 5,5473 5,4156 5,2944 5,1886 5,1138 5,1070 5,2220 5,5133 6,0109 6,7008 7,5255 8,4012 9,2366 9,9487 10,4871 10,8645 11,1584 11,4630 11,8275 12,2342 12,6327 12,9901 13,3132 13,6269 13,9372 14,2148 14,4076 14,4663 14,3642 14,1011 13,6910 13,1516 12,5128 11,8297 11,1758 10,6137 10,1676 9,8182 9,5179 9,2072 8,8308 8,3536 7,7674 7,0828 6,3175 5,4859 4,5955 3,6573 2,7069 1,8045 1,0074 0,3429 -0,1924 -0,6104 -0,9129 -1,0888 -1,1245 -1,0237 -0,8288 -0,6220 -0,4975 -0,5250 -0,7333 -1,1199 -1,6647 -2,3302 -3,0548 -3,7606 -4,3736 -4,8386 -5,1221 -5,2128 -5,1223 -4,8815 -4,5331 -4,1179 -3,6603 -3,1701 -2,6598 -2,1601 -1,7160 -1,3647 -1,1147 -0,9471 -0,8298 -0,7288 -0,6198 -0,5005 -0,3905 -0,3132 -0,2729 -0,2500 -0,2131 -0,1312 0,0218 0,2589 0,5759 0,9623 1,4098 1,9024
F3    -3,3273 -3,3336 -3,0955 -2,6031 -1,9581 -1,3462 -0,9406 -0,8182 -0,9374 -1,1820 -1,4321 -1,5978 -1,6040 -1,3973 -1,0001 -0,5249 -0,0964 0,2408 0,5252 0,7991 1,0506 1,2339 1,3117 1,2654 1,0941 0,8346 0,5768 0,4349 0,4986 0,8168 1,3790 2,0735 2,7027 3,0791 3,0983 2,7385 2,0389 1,0921 0,0467 -0,9020 -1,5650 -1,8298 -1,6733 -1,1431 -0,3671 0,4474 1,0867 1,4296 1,4765 1,3036 1,0220 0,7679 0,6755 0,8274 1,2300 1,8301 2,5506 3,3259 4,1214 4,9097 5,6179 6,1040 6,1956 5,7848 4,9211 3,8207 2,7791 2,0646 1,8410 2,1191 2,7595 3,5463 4,2816 4,8368 5,1492 5,1980 4,9920 4,5723 4,0088 3,3907 2,8255 2,4285 2,2861 2,4171 2,7668 3,2225 3,6167 3,7455 3,4478 2,7088 1,6909 0,6606 -0,1336 -0,5522 -0,5906 -0,3309 0,1501 0,8258 1,6675 2,5737 3,3748 3,8942 4,0111 3,7021 3,0352 2,1238 1,1017 0,1204 -0,6782 -1,2069 -1,4557 -1,4812 -1,3737 -1,2197 -1,0662 -0,8955 -0,6332 -0,1942 0,4682 1,3380 2,3405 3,3746 4,3539 5,2176 5,9132 6,3933 6,6464 6,7426 6,8375 7,1019 7,6336 8,4418 9,4977 10,7550 12,1294 13,5108 14,8067 15,9401 16,8064 17,2842 17,3343 17,0755 16,7372 16,5249 16,5113 16,6255 16,7350 16,7429 16,6024 16,2659 15,6883 14,9027 14,0488 13,2970 12,7477 12,3938 12,1644 11,9956 11,8604 11,7567 11,6885 11,6475 11,5796 11,3659 10,8701 10,0267 8,8877 7,6051 6,3644 5,2959 4,4219 3,6873 3,0327 2,4352 1,9081 1,4854 1,1984 1,0464 0,9932 0,9865 0,9940 1,0463 1,2396 1,6622 2,3130 3,0922 3,8396 4,3798 4,5824 4,4175 3,9498 3,2843 2,5321 1,8129 1,2417 0,8845 0,7282 0,7112 0,7913 0,9832 1,3344 1,8708 2,5692 3,3795 4,2459 5,0880 5,7889 6,2333 6,3693 6,2429 5,9743 5,6872 5,4493 5,2653 5,1110 4,9814 4,9273 5,0349 5,3422 5,7762 6,1840 6,4200 6,4135 6,1976 5,8917 5,6291 5,4870 5,4843 5,6053 5,7956 5,9679 6,0482 6,0233 5,9546 5,9531 6,1123 6,4382 6,8363 7,1696 7,3303 7,2750 7,0165 6,5946 6,0410 5,3597 4,5437 3,6200 2,6908 1,9221 1,4678 1,3781 1,5646 1,8474 2,0448 2,0499 1,8780 1,6680 1,6124 1,8493 2,4084 3,2360 4,2379 5,3039 6,3203 7,1744 7,7693 8,0558 8,0505 7,8104 7,3838 6,7961 6,0893 5,3585 4,7358 4,3302 4,1739 4,2051 4,2869 4,2645 4,0392 3,6037 3,0096 2,3206 1,6028 0,9350 0,4017 0,0675 -0,0408 0,0767 0,4056 0,9035 1,4877 2,0491 2,4876 2,7536 2,8583 2,8423 2,7576 2,6747 2,6580 2,7183 2,8084 2,8604 2,8151 2,6557 2,4465 2,3259 2,4327 2,8219 3,4325 4,1302 4,7804 5,2888 5,6076 5,7287 5,6679 5,4533 5,1249 4,7176 4,2210 3,5732 2,7320 1,7700 0,8789 0,2410 -0,1066 -0,2628 -0,3388 -0,3868 -0,4218 -0,4405 -0,3988 -0,2203 0,1293 0,5917 1,0622 1,4621 1,7476 1,8625 1,7099 1,1927 0,2945 -0,8864 -2,1760 -3,3790 -4,3115 -4,8391 -4,9280 -4,6566 -4,1649 -3,5750 -2,9415 -2,2649 -1,5452 -0,8205 -0,1660 0,3417 0,6683 0,8381 0,9022 0,8896 0,7822 0,5398 0,1527 -0,3317 -0,8195 -1,1910 -1,3267 -1,1472 -0,6476 0,0995 0,9736 1,8294 2,5097 2,8881 2,9257 2,6807 2,2688 1,8113 1,3955 1,0707 0,8657 0,7798 0,7583 0,7099 0,5646 0,3138 0,0110 -0,2489 -0,3722 -0,3223 -0,1269 0,1815 0,6142 1,2137 2,0108 2,9899 4,0896 5,2439 6,4170 7,5685 8,5877 9,3066 9,6079 9,5052 9,1003 8,4807 7,6809 6,7243 5,6773 4,6679 3,8544 3,3558 3,1924 3,2897 3,5312 3,8051 4,0253 4,1330 4,0882 3,8700 3,5027 3,0780 2,7258 2,5366 2,5092 2,5835 2,7182 2,9169 3,1800 3,4537 3,6473 3,6861 3,5420 3,2447 2,8987 2,6685 2,7060 3,0660 3,6748 4,3607 4,9302 5,2683 5,3879 5,3936 5,4166 5,5644 5,8832 6,3349 6,8048 7,1404 7,2096 6,9609 6,4482 5,8008 5,1757 4,7273 4,5645 4,6928 4,9929 5,2644 5,3138 5,0287 4,3989 3,5032 2,4904 1,5409 0,7922 0,2654 -0,1295 -0,4895 -0,8156 -1,0130 -0,9696 -0,6190 0,0461 0,9693 2,0120 2,9767 3,6936 4,0811 4,1262 3,8525 3,3254 2,6689 2,0522 1,6381 1,5251 1,7145 2,0923 2,4396 2,5191 2,2066 1,5649 0,8185 0,2585 0,1146 0,4503 1,1629 2,0866 3,0816 4,0354 4,8366 5,3905 5,6554 5,6630 5,5189 5,3717 5,3466 5,4927 5,7955 6,2384 6,8382 7,6182 8,5647 9,6310 10,7738 11,9628 13,1526 14,2616 15,1873 15,8495 16,2257 16,3414 16,2175 15,8333 15,1429 14,1279 12,8489 11,4498 10,0996 8,9278 8,0183 7,4338 7,2086 7,3171 7,6697 8,1538 8,6818 9,1803 9,5318 9,5631 9,1196 8,1659 6,8164 5,2743 3,7439 2,3814 1,2786 0,4524 -0,1598 -0,6776 -1,2166 -1,8211 -2,4381 -2,9394 -3,1756 -3,0551 -2,6161 -2,0354 -1,5606 -1,4132 -1,7016 -2,3612 -3,1825 -3,9369 -4,4935 -4,8402 -5,0411 -5,1917 -5,3738 -5,6082 -5,8473 -6,0158 -6,0526 -5,9167 -5,5682 -4,9758 -4,1705 -3,3017 -2,6224 -2,3673 -2,5912 -3,1158 -3,6391 -3,8933 -3,7383 -3,1786 -2,3361 -1,4061 -0,5945 -0,0427 0,2252 0,2912 0,2785 0,2829 0,3508 0,4937 0,7069 0,9922
F7    -1,2406 -1,1601 -1,1209 -1,0989 -1,0733 -1,0450 -1,0348 -1,0743 -1,1906 -1,3859 -1,6249 -1,8398 -1,9492 -1,8888 -1,6464 -1,2741 -0,8565 -0,4621 -0,1165 0,1940 0,4993 0,8179 1,1448 1,4572 1,7206 1,9003 1,9745 1,9324 1,7727 1,5143 1,1946 0,8490 0,4845 0,0783 -0,3809 -0,8455 -1,2144 -1,3940 -1,3556 -1,1330 -0,7805 -0,3534 0,0940 0,5319 0,9786 1,4657 1,9736 2,4201 2,7161 2,8255 2,7755 2,6199 2,4072 2,1742 1,9503 1,7615 1,6302 1,5693 1,5837 1,6765 1,8411 2,0461 2,2409 2,3798 2,4419 2,4471 2,4635 2,5836 2,8768 3,3524 3,9581 4,6011 5,1751 5,5867 5,7680 5,6843 5,3460 4,8112 4,1612 3,4691 2,7862 2,1466 1,5822 1,1323 0,8359 0,7147 0,7555 0,8979 1,0593 1,1931 1,3226 1,5040 1,7489 1,9928 2,1518 2,1893 2,1226 1,9913 1,8370 1,6981 1,5943 1,5214 1,4782 1,4740 1,4989 1,5062 1,4312 1,2192 0,8401 0,2931 -0,3776 -1,0686 -1,6390 -1,9659 -1,9921 -1,7415 -1,2954 -0,7491 -0,1814 0,3615 0,8765 1,3949 1,9447 2,5206 3,0948 3,6502 4,1955 4,7542 5,3331 5,8997 6,4027 6,8235 7,1981 7,5934 8,0736 8,6775 9,3933 10,1465 10,8370 11,3968 11,8180 12,1363 12,3917 12,5963 12,7268 12,7574 12,6990 12,5975 12,5016 12,4433 12,4218 12,3954 12,3041 12,1050 11,7842 11,3421 10,7720 10,0547 9,1776 8,1638 7,0764 6,0079 5,0728 4,3773 3,9714 3,8275 3,8637 3,9751 4,0495 3,9779 3,6855 3,1764 2,5453 1,9283 1,4242 1,0589 0,8137 0,6793 0,6736 0,8031 1,0172 1,2083 1,2607 1,1155 0,8028 0,4188 0,0714 -0,1616 -0,2449 -0,1888 -0,0442 0,1244 0,2796 0,4265 0,5875 0,7657 0,9377 1,0707 1,1367 1,1171 0,9992 0,7846 0,5113 0,2547 0,0990 0,1051 0,2850 0,5914 0,9432 1,2719 1,5501 1,7852 1,9930 2,1764 2,3252 2,4245 2,4675 2,4674 2,4507 2,4281 2,3780 2,2630 2,0528 1,7326 1,3103 0,8237 0,3337 -0,0893 -0,3807 -0,4936 -0,4020 -0,1076 0,3480 0,8854 1,4132 1,8613 2,2008 2,4375 2,5856 2,6398 2,5628 2,3042 1,8431 1,2220 0,5410 -0,0889 -0,5976 -0,9769 -1,2707 -1,5465 -1,8586 -2,2207 -2,5988 -2,9305 -3,1525 -3,2213 -3,1289 -2,9038 -2,5849 -2,1929 -1,7376 -1,2556 -0,8274 -0,5389 -0,4159 -0,3944 -0,3592 -0,2190 0,0401 0,3590 0,6543 0,8659 0,9697 0,9655 0,8637 0,6759 0,4063 0,0533 -0,3755 -0,8495 -1,3201 -1,7453 -2,1179 -2,4727 -2,8601 -3,2980 -3,7431 -4,1077 -4,3104 -4,3161 -4,1340 -3,7960 -3,3460 -2,8361 -2,3240 -1,8683 -1,5145 -1,2704 -1,1020 -0,9672 -0,8477 -0,7443 -0,6584 -0,5858 -0,5142 -0,4201 -0,2789 -0,0831 0,1484 0,3743 0,5556 0,6825 0,7788 0,8802 0,9969 1,0855 1,0611 0,8547 0,4660 -0,0299 -0,5155 -0,8754 -1,0371 -0,9914 -0,7928 -0,5420 -0,3503 -0,2955 -0,4010 -0,6492 -1,0028 -1,4059 -1,7738 -1,9972 -1,9837 -1,7209 -1,3026 -0,8803 -0,5861 -0,4869 -0,5831 -0,8276 -1,1472 -1,4792 -1,8074 -2,1532 -2,5306 -2,9237 -3,3040 -3,6470 -3,9198 -4,0701 -4,0452 -3,8218 -3,4111 -2,8515 -2,2004 -1,5239 -0,8763 -0,2829 0,2579 0,7509 1,1779 1,4891 1,6185 1,5215 1,2118 0,7631 0,2747 -0,1664 -0,5020 -0,7028 -0,7653 -0,7147 -0,6058 -0,4971 -0,4131 -0,3358 -0,2406 -0,1359 -0,0654 -0,0771 -0,1912 -0,3907 -0,6316 -0,8563 -1,0067 -1,0389 -0,9252 -0,6483 -0,2035 0,3915 1,0968 1,8625 2,6359 3,3607 3,9815 4,4571 4,7650 4,8990 4,8757 4,7420 4,5607 4,3795 4,2142 4,0590 3,9056 3,7519 3,5921 3,4046 3,1566 2,8295 2,4455 2,0644 1,7497 1,5294 1,3795 1,2423 1,0668 0,8423 0,6050 0,4158 0,3243 0,3431 0,4540 0,6289 0,8298 1,0039 1,1081 1,1452 1,1614 1,2115 1,3327 1,5371 1,8112 2,1235 2,4435 2,7546 3,0444 3,2912 3,4748 3,5987 3,6874 3,7593 3,8084 3,8107 3,7409 3,5753 3,2936 2,9053 2,4768 2,1167 1,9204 1,9148 2,0368 2,1607 2,1699 2,0255 1,7835 1,5573 1,4584 1,5434 1,7954 2,1410 2,4847 2,7376 2,8413 2,7846 2,5955 2,3124 1,9629 1,5687 1,1548 0,7468 0,3645 0,0282 -0,2314 -0,3835 -0,4233 -0,3804 -0,2971 -0,1992 -0,0846 0,0620 0,2422 0,4326 0,6038 0,7446 0,8705 1,0143 1,2102 1,4774 1,8074 2,1595 2,4704 2,6756 2,7382 2,6702 2,5296 2,3918 2,3088 2,2835 2,2837 2,2843 2,3002 2,3848 2,6013 2,9916 3,5609 4,2792 5,0919 5,9359 6,7425 7,4279 7,9135 8,1819 8,2976 8,3553 8,4128 8,4834 8,5632 8,6495 8,7458 8,8612 9,0012 9,1648 9,3458 9,5276 9,6773 9,7609 9,7636 9,6884 9,5393 9,3153 9,0207 8,6667 8,2654 7,8286 7,3672 6,8831 6,3727 5,8461 5,3273 4,8216 4,2903 3,6724 2,9259 2,0500 1,0846 0,0934 -0,8618 -1,7398 -2,5184 -3,1762 -3,6830 -4,0098 -4,1436 -4,0990 -3,9321 -3,7392 -3,6173 -3,6173 -3,7333 -3,9354 -4,2105 -4,5670 -4,9964 -5,4443 -5,8325 -6,1042 -6,2432 -6,2644 -6,1984 -6,0758 -5,9202 -5,7493 -5,5701 -5,3732 -5,1486 -4,9102 -4,6958 -4,5323 -4,3986 -4,2320 -3,9795 -3,6386 -3,2561 -2,9052 -2,6619 -2,5675 -2,5930 -2,6456 -2,6186 -2,4400 -2,0940 -1,6147 -1,0587 -0,4786 0,0885 0,6130
