Fp1   3,4570 2,1487 0,5298 -1,1231 -2,5126 -3,4093 -3,7186 -3,4879 -2,8578 -2,0089 -1,1361 -0,4391 -0,0911 -0,1737 -0,6318 -1,3126 -2,0408 -2,6646 -3,0765 -3,2296 -3,1372 -2,8279 -2,2907 -1,4998 -0,5081 0,5220 1,3887 1,9436 2,1352 1,9992 1,6417 1,2199 0,8942 0,7592 0,7859 0,8348 0,7580 0,4963 0,0970 -0,3262 -0,6321 -0,6765 -0,3419 0,4112 1,4977 2,7291 3,9016 4,8604 5,4847 5,6586 5,3171 4,5259 3,4753 2,3825 1,3920 0,5424 -0,1821 -0,7709 -1,1560 -1,2492 -1,0002 -0,4142 0,4524 1,4705 2,4353 3,1337 3,4285 3,2897 2,7685 1,9502 0,9274 -0,1843 -1,2280 -2,0395 -2,5215 -2,6802 -2,5936 -2,3473 -1,9784 -1,4709 -0,7964 0,0473 1,0251 2,0614 3,0527 3,9179 4,6494 5,2808 5,7850 6,0410 5,9286 5,4219 4,5944 3,5869 2,5652 1,6514 0,8863 0,2554 -0,2768 -0,7353 -1,0766 -1,1661 -0,8612 -0,1311 0,9160 2,1039 3,2782 4,3642 5,3528 6,2199 6,8898 7,3023 7,4771 7,4896 7,4034 7,2272 6,9114 6,3716 5,5308 4,3700 2,9623 1,4552 0,0180 -1,1944 -2,0460 -2,4082 -2,1606 -1,2240 0,3801 2,4627 4,6670 6,5987 7,9866 8,7319 8,8615 8,5050 7,9038 7,3568 7,0973 7,2013 7,5869 8,0860 8,5409 8,8651 9,0448 9,1062 9,0920 9,0486 9,0094 8,9859 8,9836 9,0127 9,0666 9,1019 9,0682 8,9430 8,6968 8,2309 7,4051 6,1577 4,6095 3,0629 1,8979 1,4297 1,7825 2,8248 4,2009 5,4413 6,1311 6,0840 5,4107 4,4161 3,4127 2,6026 2,0817 1,8939 2,0506 2,5007 3,1221 3,7846 4,4209 5,0306 5,6410 6,2591 6,8492 7,3506 7,6876 7,7411 7,3604 6,4593 5,1004 3,4724 1,8108 0,3297 -0,8318 -1,6203 -2,0432 -2,1507 -1,9997 -1,6000 -0,9209 0,0355 1,1665 2,2766 3,1653 3,7156 3,9086 3,7977 3,4851 3,0716 2,5891 1,9981 1,2478 0,3171 -0,7488 -1,7857 -2,5388 -2,8130 -2,6187 -2,1749 -1,7680 -1,5811 -1,6095 -1,7066 -1,6905 -1,4245 -0,8715 -0,1427 0,5277 0,9200 0,9798 0,8360 0,6788 0,6303 0,7095 0,8643 1,0196 1,1237 1,1747 1,2118 1,2848 1,4268 1,6427 1,9177 2,2316 2,5715 2,9448 3,3883 3,9608 4,7046 5,5797 6,4264 7,0228 7,1968 6,8945 6,1782 5,1822 4,0481 2,8806 1,7660 0,8049 0,0974 -0,2997 -0,4152 -0,3843 -0,4078 -0,6629 -1,2514 -2,2075 -3,4892 -4,9362 -6,2955 -7,3398 -7,9693 -8,2308 -8,2679 -8,2261 -8,1603 -8,0177 -7,7026 -7,1506 -6,3648 -5,4383 -4,5413 -3,8358 -3,4001 -3,2317 -3,2868 -3,5252 -3,9477 -4,5807 -5,4206 -6,3929 -7,3579 -8,1554 -8,6555 -8,7927 -8,5726 -8,0517 -7,3181 -6,4810 -5,6382 -4,8230 -3,9832 -3,0138 -1,8359 -0,4930 0,8102 1,7999 2,3050 2,3601 2,1557 1,8944 1,6796 1,5076 1,3263 1,0843 0,7617 0,3831 0,0000 -0,3267 -0,5327 -0,5927 -0,5676 -0,5507 -0,5641 -0,5496 -0,4502 -0,2826 -0,1436 -0,1594 -0,4336 -1,0115 -1,8397 -2,7508 -3,5131 -3,9161 -3,8282 -3,2319 -2,2708 -1,2504 -0,5086 -0,2347 -0,4110 -0,8831 -1,4376 -1,8526 -1,9544 -1,6735 -1,0618 -0,2742 0,4493 0,8289 0,6648 -0,0500 -1,1259 -2,2675 -3,2003 -3,7826 -4,0395 -4,1094 -4,1499 -4,2531 -4,4019 -4,4941 -4,4300 -4,1852 -3,7920 -3,2678 -2,6033 -1,8328 -1,0872 -0,5543 -0,3791 -0,5883 -1,1005 -1,8015 -2,5832 -3,3236 -3,8901 -4,1991 -4,2516 -4,1049 -3,8421 -3,5643 -3,3560 -3,2300 -3,1343 -3,0251 -2,9169 -2,8615 -2,8990 -3,0368 -3,2635 -3,5595 -3,8816 -4,1638 -4,3365 -4,3113 -3,9662 -3,2208 -2,1251 -0,8402 0,4538 1,6285 2,6214 3,4037 3,9486 4,2168 4,1750 3,8475 3,3378 2,7768 2,2541 1,7926 1,3736 0,9876 0,6582 0,4169 0,2623 0,1344 -0,0821 -0,5028 -1,1486 -1,8803 -2,4395 -2,5895 -2,2447 -1,4839 -0,4592 0,6957 1,8832 3,0251 4,0650 4,9590 5,6415 6,0169 5,9988 5,5670 4,8073 3,9107 3,1186 2,6239 2,4847 2,6210 2,8928 3,1795 3,4099 3,5638 3,6557 3,7075 3,7300 3,7172 3,6476 3,4976 3,2689 3,0207 2,8618 2,8806 3,0724 3,3386 3,5649 3,7148 3,8450 4,0330 4,2979 4,5906 4,8378 4,9806 4,9832 4,8471 4,6380 4,4816 4,5035 4,7717 5,2825 5,9555 6,6267 7,0756 7,0894 6,5394 5,4510 4,0279 2,5882 1,4326 0,7150 0,3837 0,2352 0,0658 -0,1961 -0,4863 -0,6992 -0,7634 -0,6508 -0,3569 0,1030 0,6753 1,2573 1,7319 2,0278 2,1556 2,2062 2,3141 2,6010 3,1215 3,8377 4,6462 5,4463 6,2072 6,9703 7,7627 8,5233 9,1295 9,4705 9,5026 9,2729 8,9187 8,6406 8,6340 9,0056 9,7264 10,6453 11,5543 12,2639 12,6651 12,7755 12,7143 12,6095 12,5284 12,4664 12,3676 12,1647 11,8279 11,4046 11,0154 10,7902 10,7887 10,9670 11,2121 11,4184 11,5481 11,6294 11,7028 11,7538 11,6868 11,3783 10,7768 9,9503 9,0205 8,0779 7,1932 6,4748 6,0538 5,9959 6,2311 6,5872 6,8990 7,0806 7,1342 7,1427 7,2367 7,5064 7,9164 8,3195 8,5594 8,5506 8,2826 7,7869 7,1101 6,2977 5,3974 4,4693 3,5693 2,7105 1,8818 1,1260 0,5659 0,3432 0,5420 1,1341 1,9644 2,8131 3,5120 3,9963 4,2470 4,2346 3,9540 3,4776 2,9516 2,5497 2,3985 2,5155 2,8196 3,1737 3,4016 3,3255 2,8571 2,0649 1,1462 0,3364
Fz    0,0154 -0,0718 -0,2437 -0,4898 -0,7995 -1,1477 -1,5016 -1,8309 -2,1114 -2,3231 -2,4501 -2,4892 -2,4551 -2,3669 -2,2306 -2,0420 -1,8007 -1,5166 -1,2147 -0,9351 -0,7196 -0,5853 -0,5091 -0,4428 -0,3468 -0,2129 -0,0609 0,0862 0,2279 0,3863 0,5853 0,8272 1,0821 1,2991 1,4353 1,4810 1,4596 1,4071 1,3572 1,3361 1,3565 1,4161 1,5045 1,6142 1,7468 1,9140 2,1316 2,4098 2,7389 3,0797 3,3812 3,6077 3,7374 3,7502 3,6280 3,3654 2,9772 2,5009 1,9870 1,4800 1,0092 0,5920 0,2363 -0,0597 -0,2967 -0,4660 -0,5599 -0,5883 -0,5787 -0,5635 -0,5650 -0,5846 -0,6007 -0,5814 -0,5008 -0,3517 -0,1537 0,0499 0,2204 0,3552 0,4833 0,6299 0,7919 0,9423 1,0512 1,1126 1,1546 1,2185 1,3236 1,4571 1,5941 1,7201 1,8327 1,9300 2,0020 2,0308 2,0014 1,9141 1,7815 1,6163 1,4349 1,2710 1,1702 1,1625 1,2485 1,4214 1,6853 2,0445 2,4813 2,9422 3,3546 3,6636 3,8557 3,9469 3,9599 3,9155 3,8350 3,7323 3,6060 3,4441 3,2331 2,9648 2,6458 2,3055 1,9894 1,7459 1,6117 1,5918 1,6519 1,7298 1,7563 1,6811 1,5005 1,2613 1,0350 0,8866 0,8593 0,9698 1,2120 1,5648 1,9955 2,4609 2,9206 3,3498 3,7374 4,0731 4,3402 4,5190 4,5922 4,5474 4,3820 4,1082 3,7461 3,3127 2,8235 2,3029 1,7830 1,2914 0,8438 0,4534 0,1468 -0,0394 -0,0737 0,0605 0,3539 0,7620 1,2173 1,6555 2,0347 2,3441 2,6056 2,8564 3,1198 3,3912 3,6565 3,9136 4,1715 4,4395 4,7170 4,9855 5,2108 5,3570 5,4007 5,3339 5,1619 4,9055 4,5963 4,2650 3,9300 3,5982 3,2708 2,9461 2,6256 2,3158 2,0250 1,7707 1,5836 1,4814 1,4525 1,4777 1,5465 1,6454 1,7476 1,8257 1,8705 1,8870 1,8676 1,7872 1,6281 1,3922 1,0820 0,6915 0,2230 -0,3074 -0,8821 -1,4762 -2,0457 -2,5360 -2,9003 -3,1140 -3,1815 -3,1337 -3,0158 -2,8726 -2,7357 -2,6127 -2,4876 -2,3427 -2,1801 -2,0174 -1,8717 -1,7583 -1,6960 -1,6977 -1,7537 -1,8288 -1,8773 -1,8594 -1,7489 -1,5414 -1,2623 -0,9563 -0,6638 -0,4069 -0,1974 -0,0456 0,0482 0,1015 0,1455 0,2161 0,3386 0,5143 0,7305 0,9760 1,2370 1,4830 1,6704 1,7615 1,7431 1,6320 1,4663 1,2925 1,1560 1,0807 1,0423 0,9794 0,8406 0,6164 0,3299 0,0153 -0,2913 -0,5593 -0,7747 -0,9408 -1,0671 -1,1646 -1,2409 -1,2945 -1,3186 -1,3139 -1,2933 -1,2700 -1,2513 -1,2433 -1,2467 -1,2552 -1,2657 -1,2764 -1,2801 -1,2736 -1,2685 -1,2818 -1,3167 -1,3502 -1,3382 -1,2407 -1,0471 -0,7797 -0,4748 -0,1595 0,1524 0,4486 0,7086 0,9097 1,0374 1,0897 1,0778 1,0209 0,9425 0,8710 0,8371 0,8639 0,9585 1,1049 1,2690 1,4166 1,5334 1,6377 1,7735 1,9756 2,2372 2,5109 2,7359 2,8619 2,8622 2,7401 2,5189 2,2248 1,8777 1,4935 1,0901 0,6947 0,3518 0,1238 0,0734 0,2305 0,5676 1,0060 1,4573 1,8610 2,1957 2,4730 2,7160 2,9265 3,0783 3,1467 3,1347 3,0738 3,0113 2,9935 3,0489 3,1765 3,3418 3,4971 3,6108 3,6691 3,6571 3,5582 3,3735 3,1324 2,8776 2,6404 2,4356 2,2767 2,1867 2,1831 2,2567 2,3733 2,5000 2,6264 2,7619 2,9151 3,0755 3,2133 3,3034 3,3443 3,3506 3,3409 3,3345 3,3400 3,3449 3,3278 3,2848 3,2358 3,2037 3,1950 3,2009 3,2007 3,1592 3,0417 2,8434 2,5939 2,3354 2,1017 1,9139 1,7812 1,6954 1,6319 1,5721 1,5231 1,5010 1,5106 1,5529 1,6342 1,7543 1,8969 2,0341 2,1328 2,1584 2,0848 1,9158 1,6968 1,4959 1,3734 1,3601 1,4483 1,6040 1,7881 1,9648 2,1017 2,1747 2,1704 2,0798 1,9071 1,6918 1,5011 1,3883 1,3639 1,4014 1,4676 1,5494 1,6568 1,8112 2,0337 2,3287 2,6710 3,0151 3,3212 3,5751 3,7835 3,9518 4,0692 4,1177 4,0953 4,0291 3,9593 3,9098 3,8804 3,8640 3,8586 3,8522 3,8138 3,7178 3,5770 3,4431 3,3784 3,4279 3,6052 3,8854 4,2101 4,5028 4,6917 4,7379 4,6502 4,4776 4,2883 4,1413 4,0646 4,0523 4,0753 4,0900 4,0537 3,9431 3,7559 3,5028 3,2127 2,9333 2,7104 2,5666 2,4905 2,4385 2,3565 2,2110 2,0078 1,7866 1,5925 1,4392 1,3004 1,1430 0,9605 0,7725 0,6007 0,4543 0,3375 0,2562 0,2147 0,2210 0,2920 0,4410 0,6600 0,9205 1,1875 1,4318 1,6406 1,8222 1,9997 2,1984 2,4422 2,7527 3,1379 3,5727 4,0035 4,3801 4,6833 4,9308 5,1690 5,4540 5,8274 6,2906 6,7966 7,2693 7,6381 7,8644 7,9430 7,8860 7,7158 7,4692 7,1913 6,9191 6,6720 6,4525 6,2549 6,0759 5,9284 5,8464 5,8663 5,9957 6,2008 6,4231 6,6086 6,7307 6,7914 6,8093 6,8043 6,7801 6,7142 6,5757 6,3593 6,0886 5,7901 5,4760 5,1533 4,8481 4,6129 4,4995 4,5213 4,6411 4,7837 4,8653 4,8352 4,6966 4,4790 4,1956 3,8436 3,4405 3,0360 2,6800 2,3926 2,1644 1,9709 1,7831 1,5768 1,3383 1,0640 0,7673 0,4886 0,2756 0,1423 0,0537 -0,0511 -0,2221 -0,4705 -0,7651 -1,0566 -1,3082 -1,5049 -1,6410 -1,7189 -1,7599 -1,7987 -1,8671 -1,9840 -2,1456 -2,3222 -2,4715 -2,5580 -2,5621 -2,4858 -2,3511 -2,1830
F3    -0,6034 -0,7261 -0,8311 -0,9064 -0,9653 -1,0333 -1,1416 -1,3198 -1,5910 -1,9516 -2,3450 -2,6751 -2,8614 -2,8730 -2,7225 -2,4525 -2,1168 -1,7585 -1,4061 -1,0892 -0,8440 -0,6924 -0,6178 -0,5710 -0,4969 -0,3570 -0,1416 0,1343 0,4481 0,7721 1,0749 1,3284 1,5113 1,6021 1,5852 1,4705 1,2979 1,1202 0,9881 0,9417 0,9976 1,1472 1,3681 1,6367 1,9400 2,2811 2,6711 3,1148 3,5949 4,0641 4,4573 4,7091 4,7585 4,5581 4,0936 3,3981 2,5533 1,6702 0,8558 0,1877 -0,2938 -0,5806 -0,6968 -0,7011 -0,6659 -0,6458 -0,6603 -0,6998 -0,7486 -0,8061 -0,8833 -0,9817 -1,0826 -1,1489 -1,1316 -0,9869 -0,7101 -0,3485 0,0319 0,3963 0,7409 1,0540 1,3008 1,4450 1,4703 1,3930 1,2657 1,1552 1,0975 1,0854 1,0948 1,1113 1,1357 1,1797 1,2536 1,3514 1,4448 1,4937 1,4673 1,3607 1,2037 1,0580 0,9986 1,0731 1,2782 1,5804 1,9524 2,3825 2,8589 3,3483 3,7956 4,1482 4,3748 4,4628 4,4128 4,2437 3,9946 3,7093 3,4214 3,1571 2,9365 2,7647 2,6316 2,5238 2,4357 2,3714 2,3339 2,3118 2,2868 2,2524 2,2093 2,1467 2,0521 1,9390 1,8483 1,8218 1,8831 2,0403 2,2964 2,6507 3,0796 3,5275 3,9313 4,2513 4,4795 4,6282 4,7190 4,7750 4,8067 4,7981 4,7215 4,5645 4,3307 4,0208 3,6350 3,1890 2,7119 2,2246 1,7321 1,2455 0,8060 0,4773 0,3230 0,3916 0,7036 1,2313 1,8935 2,5839 3,2134 3,7332 4,1314 4,4148 4,5920 4,6709 4,6682 4,6190 4,5838 4,6350 4,8167 5,1135 5,4621 5,7937 6,0652 6,2559 6,3554 6,3637 6,2898 6,1400 5,9110 5,5916 5,1678 4,6346 4,0133 3,3549 2,7238 2,1887 1,8170 1,6472 1,6687 1,8430 2,1333 2,5069 2,9168 3,3013 3,6064 3,8010 3,8673 3,7962 3,5991 3,3036 2,9245 2,4573 1,9025 1,2707 0,5740 -0,1616 -0,8843 -1,5255 -2,0223 -2,3417 -2,4936 -2,5185 -2,4643 -2,3700 -2,2541 -2,1027 -1,8769 -1,5508 -1,1453 -0,7150 -0,3073 0,0528 0,3457 0,5439 0,6261 0,6003 0,5045 0,3904 0,3076 0,2852 0,3178 0,3770 0,4391 0,4982 0,5529 0,5922 0,6072 0,6127 0,6507 0,7739 1,0142 1,3605 1,7697 2,1931 2,5829 2,8826 3,0306 2,9862 2,7529 2,3785 1,9354 1,5023 1,1538 0,9376 0,8421 0,8081 0,7786 0,7275 0,6465 0,5226 0,3351 0,0674 -0,2820 -0,6876 -1,0944 -1,4397 -1,6763 -1,7750 -1,7280 -1,5624 -1,3349 -1,0959 -0,8713 -0,6724 -0,5023 -0,3592 -0,2516 -0,1946 -0,1947 -0,2527 -0,3703 -0,5425 -0,7484 -0,9452 -1,0728 -1,0733 -0,9180 -0,6203 -0,2272 0,2055 0,6381 1,0500 1,4234 1,7405 2,0018 2,2297 2,4416 2,6207 2,7249 2,7267 2,6421 2,5277 2,4486 2,4455 2,5242 2,6682 2,8581 3,0894 3,3754 3,7237 4,1072 4,4654 4,7300 4,8459 4,7828 4,5408 4,1420 3,6166 2,9977 2,3225 1,6383 1,0075 0,5038 0,1998 0,1513 0,3706 0,8035 1,3433 1,8873 2,3790 2,8076 3,1869 3,5273 3,8103 3,9959 4,0620 4,0337 3,9800 3,9820 4,0912 4,3082 4,5844 4,8375 4,9864 4,9899 4,8478 4,5789 4,2128 3,7966 3,3936 3,0531 2,7816 2,5617 2,4013 2,3358 2,3758 2,4729 2,5545 2,5837 2,5846 2,6154 2,7231 2,9103 3,1283 3,3089 3,4099 3,4322 3,4071 3,3742 3,3522 3,3201 3,2457 3,1336 3,0273 2,9612 2,9262 2,8868 2,8116 2,6828 2,4979 2,2760 2,0527 1,8616 1,7252 1,6553 1,6464 1,6639 1,6534 1,5847 1,4833 1,4066 1,3979 1,4748 1,6326 1,8364 2,0182 2,0958 2,0069 1,7336 1,3112 0,8310 0,4213 0,1969 0,2140 0,4580 0,8575 1,3142 1,7337 2,0390 2,1733 2,1134 1,8794 1,5223 1,1128 0,7443 0,5099 0,4537 0,5493 0,7263 0,9151 1,0780 1,2117 1,3356 1,4869 1,7075 2,0125 2,3722 2,7297 3,0352 3,2635 3,4092 3,4741 3,4611 3,3824 3,2705 3,1679 3,1070 3,1085 3,1921 3,3656 3,5964 3,8092 3,9299 3,9288 3,8247 3,6684 3,5299 3,4843 3,5806 3,8061 4,0808 4,2995 4,3910 4,3458 4,2073 4,0471 3,9271 3,8665 3,8363 3,7771 3,6291 3,3706 3,0386 2,7075 2,4525 2,3313 2,3705 2,5483 2,8038 3,0594 3,2340 3,2609 3,1172 2,8377 2,5015 2,1923 1,9446 1,7201 1,4460 1,0780 0,6293 0,1462 -0,3263 -0,7471 -1,0697 -1,2514 -1,2686 -1,1240 -0,8469 -0,4895 -0,1151 0,2204 0,4784 0,6457 0,7434 0,8187 0,9203 1,0892 1,3667 1,7816 2,3168 2,9055 3,4679 3,9495 4,3401 4,6727 5,0048 5,3854 5,8266 6,2964 6,7390 7,1048 7,3685 7,5205 7,5475 7,4373 7,1990 6,8674 6,4884 6,1013 5,7311 5,3923 5,0954 4,8599 4,7244 4,7286 4,8859 5,1731 5,5337 5,8921 6,1866 6,3937 6,5190 6,5681 6,5297 6,3789 6,1053 5,7417 5,3528 4,9873 4,6520 4,3414 4,0857 3,9440 3,9476 4,0677 4,2402 4,3986 4,4825 4,4462 4,2687 3,9447 3,4681 2,8490 2,1436 1,4453 0,8396 0,3693 0,0388 -0,1656 -0,2659 -0,2937 -0,2928 -0,3098 -0,3648 -0,4281 -0,4413 -0,3742 -0,2564 -0,1637 -0,1769 -0,3370 -0,6242 -0,9820 -1,3615 -1,7360 -2,0827 -2,3773 -2,6085 -2,7857 -2,9286 -3,0532 -3,1552 -3,2048 -3,1624 -3,0028 -2,7327 -2,4000 -2,0813 -1,8469
F7    1,1566 0,6749 0,0722 -0,5390 -1,0603 -1,4299 -1,6293 -1,6739 -1,5924 -1,4158 -1,1879 -0,9769 -0,8609 -0,8875 -1,0488 -1,2970 -1,5649 -1,7795 -1,8882 -1,8846 -1,8020 -1,6734 -1,4978 -1,2555 -0,9537 -0,6383 -0,3647 -0,1611 -0,0169 0,0990 0,2153 0,3507 0,5114 0,6871 0,8473 0,9489 0,9567 0,8659 0,7159 0,5818 0,5392 0,6365 0,8935 1,3074 1,8432 2,4350 3,0154 3,5383 3,9624 4,2256 4,2666 4,0700 3,6728 3,1366 2,5201 1,8646 1,2067 0,6004 0,1148 -0,1969 -0,3203 -0,2706 -0,0728 0,2313 0,5709 0,8615 1,0398 1,0855 1,0117 0,8320 0,5466 0,1657 -0,2641 -0,6671 -0,9739 -1,1516 -1,2108 -1,1847 -1,0883 -0,8964 -0,5705 -0,1026 0,4698 1,0766 1,6368 2,0911 2,4319 2,6854 2,8516 2,8861 2,7463 2,4316 1,9835 1,4712 0,9741 0,5539 0,2367 0,0186 -0,1242 -0,2138 -0,2312 -0,1016 0,2528 0,8404 1,5867 2,3877 3,1609 3,8605 4,4646 4,9492 5,2852 5,4682 5,5368 5,5502 5,5467 5,5228 5,4394 5,2417 4,8817 4,3404 3,6379 2,8309 2,0046 1,2596 0,6935 0,3877 0,3961 0,7286 1,3371 2,1119 2,8985 3,5466 3,9708 4,1701 4,1942 4,1086 3,9958 3,9524 4,0571 4,3366 4,7503 5,2011 5,5789 5,8106 5,8801 5,8112 5,6492 5,4526 5,2781 5,1629 5,1210 5,1473 5,2092 5,2485 5,2106 5,0740 4,8399 4,4975 4,0165 3,3829 2,6450 1,9301 1,4066 1,2143 1,4058 1,9246 2,6238 3,3157 3,8456 4,1610 4,3184 4,4164 4,5202 4,6401 4,7681 4,9192 5,1347 5,4429 5,8221 6,2075 6,5329 6,7665 6,9145 6,9963 7,0165 6,9614 6,8106 6,5395 6,1264 5,5777 4,9423 4,2907 3,6884 3,1819 2,7889 2,5075 2,3368 2,2788 2,3362 2,5179 2,8255 3,2227 3,6296 3,9594 4,1657 4,2500 4,2326 4,1373 3,9993 3,8447 3,6516 3,3608 2,9345 2,3792 1,7323 1,0666 0,4900 0,1060 -0,0430 0,0019 0,1484 0,3111 0,4478 0,5539 0,6410 0,7303 0,8447 0,9813 1,1041 1,1750 1,1892 1,1787 1,1861 1,2397 1,3449 1,4871 1,6392 1,7781 1,8973 1,9992 2,0775 2,1088 2,0676 1,9513 1,7948 1,6609 1,6162 1,7100 1,9617 2,3554 2,8357 3,3094 3,6751 3,8673 3,8721 3,7117 3,4222 3,0389 2,5927 2,1243 1,6942 1,3680 1,1880 1,1479 1,1823 1,1934 1,1049 0,8935 0,5744 0,1770 -0,2572 -0,6746 -1,0315 -1,3126 -1,5235 -1,6754 -1,7715 -1,7923 -1,7013 -1,4739 -1,1164 -0,6624 -0,1725 0,2703 0,5988 0,7927 0,8634 0,8282 0,7013 0,4867 0,1847 -0,1858 -0,5740 -0,9120 -1,1404 -1,2212 -1,1401 -0,9056 -0,5512 -0,1326 0,2853 0,6548 0,9661 1,2471 1,5448 1,8918 2,2705 2,6073 2,8167 2,8727 2,8361 2,8087 2,8577 2,9777 3,1129 3,1985 3,1906 3,0862 2,9244 2,7595 2,6352 2,5816 2,6065 2,6806 2,7556 2,8006 2,8064 2,7674 2,6711 2,4938 2,2063 1,7972 1,2956 0,7757 0,3364 0,0618 -0,0117 0,1096 0,4000 0,8085 1,2390 1,5743 1,7339 1,7056 1,5407 1,3345 1,1922 1,1877 1,3399 1,6170 1,9544 2,2649 2,4489 2,4326 2,2102 1,8428 1,4230 1,0329 0,7143 0,4690 0,2731 0,0910 -0,1003 -0,2839 -0,4048 -0,4090 -0,2801 -0,0375 0,2906 0,6776 1,0819 1,4384 1,6716 1,7172 1,5519 1,2092 0,7597 0,2833 -0,1371 -0,4339 -0,5911 -0,6454 -0,6346 -0,5620 -0,4175 -0,2099 0,0362 0,2897 0,5076 0,6392 0,6545 0,5629 0,3997 0,2008 -0,0070 -0,1991 -0,3552 -0,4627 -0,4933 -0,3822 -0,0668 0,4545 1,1219 1,8532 2,5702 3,2039 3,6956 4,0061 4,1190 4,0354 3,7805 3,4113 3,0005 2,6083 2,2686 1,9895 1,7667 1,6010 1,5020 1,4662 1,4560 1,4010 1,2260 0,9005 0,4883 0,1364 -0,0050 0,1309 0,4988 0,9849 1,4885 1,9643 2,4068 2,8237 3,2193 3,5792 3,8677 4,0428 4,0796 3,9849 3,7981 3,5800 3,3944 3,2901 3,2894 3,3847 3,5426 3,7245 3,9120 4,1088 4,3161 4,5176 4,6898 4,8156 4,8867 4,9027 4,8788 4,8469 4,8327 4,8288 4,7953 4,6976 4,5463 4,3942 4,2965 4,2769 4,3200 4,3880 4,4421 4,4543 4,4135 4,3293 4,2280 4,1380 4,0817 4,0811 4,1486 4,2612 4,3584 4,3631 4,2101 3,8798 3,4214 2,9386 2,5445 2,3037 2,1882 2,0986 1,9513 1,7479 1,5572 1,4408 1,4080 1,4339 1,4957 1,5844 1,6905 1,7902 1,8543 1,8740 1,8755 1,9127 2,0367 2,2691 2,5960 2,9802 3,3817 3,7786 4,1783 4,5992 5,0296 5,4167 5,7014 5,8522 5,8753 5,8143 5,7453 5,7606 5,9354 6,2890 6,7739 7,3040 7,7954 8,1868 8,4435 8,5663 8,5920 8,5666 8,5173 8,4416 8,3170 8,1216 7,8556 7,5556 7,2895 7,1162 7,0478 7,0535 7,0893 7,1275 7,1714 7,2455 7,3648 7,5056 7,6037 7,5873 7,4265 7,1591 6,8584 6,5776 6,3259 6,0885 5,8572 5,6370 5,4268 5,2125 4,9854 4,7520 4,5258 4,3265 4,1860 4,1325 4,1572 4,2108 4,2415 4,2270 4,1656 4,0502 3,8643 3,5933 3,2388 2,8269 2,3959 1,9666 1,5465 1,1643 0,8735 0,7181 0,7106 0,8267 1,0071 1,1780 1,2879 1,3189 1,2679 1,1432 0,9814 0,8425 0,7828 0,8331 0,9835 1,1808 1,3600 1,4755 1,4949 1,3870 1,1398 0,7812 0,3723 -0,0099
