Fp1   -1,1278 -0,6206 -0,2520 -0,0775 -0,0871 -0,2184 -0,3991 -0,5893 -0,7832 -0,9768 -1,1354 -1,1868 -1,0599 -0,7455 -0,3141 0,1277 0,4989 0,7660 0,9257 0,9912 0,9887 0,9332 0,8113 0,6090 0,3475 0,0754 -0,1659 -0,3587 -0,4925 -0,5361 -0,4363 -0,1600 0,2551 0,6941 1,0158 1,1221 0,9961 0,7020 0,3606 0,1005 -0,0039 0,0276 0,0987 0,1004 -0,0177 -0,2098 -0,3572 -0,3445 -0,1291 0,2372 0,6471 1,0143 1,3223 1,5935 1,8198 1,9513 1,9462 1,7885 1,4528 0,8916 0,0906 -0,8518 -1,7252 -2,3120 -2,5044 -2,3406 -1,9548 -1,4826 -1,0000 -0,5295 -0,0879 0,2841 0,5385 0,6572 0,6680 0,6279 0,5971 0,6339 0,7918 1,0892 1,4723 1,8291 2,0514 2,0838 1,9292 1,6336 1,2703 0,9225 0,6579 0,5099 0,4870 0,6000 0,8707 1,3100 1,8815 2,4864 3,0037 3,3556 3,5142 3,4489 3,1119 2,4932 1,6805 0,8457 0,1677 -0,2273 -0,2811 -0,0149 0,4678 1,0218 1,5147 1,8584 2,0167 1,9995 1,8320 1,5216 1,0821 0,5936 0,1943 -0,0079 -0,0011 0,1506 0,3676 0,5871 0,7575 0,8293 0,7725 0,6151 0,4513 0,3872 0,4691 0,6538 0,8362 0,9261 0,9255 0,9251 1,0175 1,2224 1,4898 1,7561 1,9852 2,1611 2,2720 2,3214 2,3477 2,4169 2,5811 2,8374 3,1341 3,4063 3,5874 3,6139 3,4583 3,1539 2,7808 2,4295 2,1744 2,0645 2,1198 2,3333 2,6704 3,0574 3,3843 3,5474 3,5022 3,2834 2,9648 2,6034 2,2298 1,8721 1,5548 1,2834 1,0577 0,8896 0,7947 0,7795 0,8441 0,9883 1,2019 1,4415 1,6265 1,6801 1,5847 1,3787 1,1066 0,8030 0,5089 0,2593 0,0612 -0,0895 -0,1827 -0,1945 -0,1106 0,0416 0,1861 0,2441 0,1978 0,1022 0,0406 0,0841 0,2832 0,6495 1,1264 1,6040 1,9785 2,1893 2,2222 2,1068 1,9172 1,7579 1,7138 1,7894 1,9196 2,0542 2,2071 2,4129 2,6625 2,8961 3,0319 2,9960 2,7603 2,3773 1,9619 1,6211 1,3958 1,2590 1,1496 1,0192 0,8648 0,7041 0,5234 0,2845 -0,0220 -0,3658 -0,7100 -1,0223 -1,2646 -1,4033 -1,4434 -1,4352 -1,4269 -1,4186 -1,3705 -1,2423 -1,0224 -0,7293 -0,3959 -0,0502 0,3024 0,6798 1,0878 1,4744 1,7446 1,8232 1,6956 1,4013 1,0165 0,6326 0,3190 0,0995 -0,0283 -0,0691 -0,0256 0,1021 0,3033 0,5272 0,6811 0,6788 0,4951 0,1644 -0,2609 -0,7260 -1,1565 -1,4570 -1,5470 -1,4046 -1,0791 -0,6531 -0,1782 0,3384 0,8767 1,3631 1,7029 1,8401 1,7811 1,5597 1,1972 0,7129 0,1637 -0,3503 -0,7229 -0,8842 -0,8153 -0,5368 -0,0969 0,4212 0,8986 1,2182 1,3053 1,1407 0,7712 0,3193 -0,0552 -0,2337 -0,1973 -0,0148 0,2210 0,4415 0,5991 0,6531 0,5843 0,4124 0,1782 -0,0811 -0,3218 -0,4746 -0,4646 -0,2543 0,1321 0,6261 1,1534 1,6496 2,0595 2,3481 2,5044 2,5447 2,5242 2,5219 2,5946 2,7381 2,8812 2,9183 2,7689 2,4261 1,9624 1,4936 1,1382 0,9796 1,0219 1,1697 1,2785 1,2493 1,0796 0,8382 0,6126 0,4696 0,4402 0,5206 0,6879 0,9346 1,2855 1,7591 2,3263 2,9198 3,4670 3,9027 4,1628 4,1864 3,9516 3,5179 3,0189 2,6003 2,3454 2,2364 2,1893 2,1461 2,1252 2,1863 2,3765 2,7089 3,1546 3,6275 4,0000 4,1651 4,0828 3,7685 3,2638 2,6388 2,0105 1,5197 1,2517 1,1854 1,2325 1,3228 1,4463 1,6219 1,8446 2,0834 2,3171 2,5431 2,7531 2,9175 2,9941 2,9495 2,7800 2,5066 2,1401 1,6690 1,1068 0,5463 0,1453 0,0481 0,3035 0,8322 1,4690 2,0529 2,5013 2,8155 3,0290 3,1627 3,2040 3,0980 2,7817 2,2555 1,6097 0,9659 0,3984 -0,0763 -0,4422 -0,6507 -0,6484 -0,4196 -0,0025 0,5279 1,0881 1,6003 1,9949 2,2168 2,2504 2,1388 1,9502 1,7279 1,5030 1,3389 1,3134 1,4380 1,6169 1,7188 1,6871 1,5682 1,4607 1,4592 1,6053 1,8590 2,1264 2,3150 2,3629 2,2460 1,9770 1,5995 1,1703 0,7430 0,3742 0,1307 0,0628 0,1702 0,4119 0,7319 1,0651 1,3427 1,5179 1,6011 1,6664 1,7925 1,9834 2,1785 2,3370 2,4625 2,5616 2,6305 2,6605 2,6190 2,4592 2,1794 1,8511 1,5618 1,3504 1,1974 1,0417 0,8179 0,5118 0,1658 -0,1716 -0,4868 -0,7960 -1,1172 -1,4507 -1,7735 -2,0447 -2,2303 -2,3361 -2,4112 -2,5105 -2,6613 -2,8619 -3,0914 -3,3091 -3,4595 -3,4948 -3,3994 -3,2035 -2,9846 -2,8458 -2,8667 -3,0575 -3,3605 -3,6978 -4,0027 -4,2117 -4,2726 -4,1790 -3,9643 -3,6623 -3,3097 -2,9740 -2,7376 -2,6500 -2,7023 -2,8374 -2,9763 -3,0423 -2,9718 -2,7287 -2,3215 -1,8063 -1,2598 -0,7390 -0,2740 0,1058 0,3709 0,5089 0,5255 0,4455 0,3270 0,2579 0,3060 0,4649 0,6432 0,6883 0,4563 -0,0882 -0,8358 -1,6073 -2,2710 -2,7963 -3,2118 -3,5289 -3,7240 -3,7853 -3,7398 -3,6336 -3,5102 -3,3902 -3,2376 -2,9709 -2,5364 -1,9722 -1,3981 -0,9579 -0,7658 -0,8812 -1,3050 -1,9677 -2,6970 -3,2591 -3,4977 -3,4092 -3,0786 -2,5948 -2,0372 -1,4981 -1,0633 -0,7579 -0,5470 -0,4078 -0,3917 -0,5957 -1,0670 -1,7527 -2,5258 -3,2309 -3,7437 -4,0176 -4,0735 -3,9632 -3,7394 -3,4467 -3,1414 -2,8879 -2,7195 -2,6220 -2,5522 -2,4701 -2,3727 -2,2858 -2,2163 -2,1405 -2,0431 -1,9459 -1,8877
Fz    -0,3563 -0,3876 -0,5244 -0,7611 -1,0343 -1,2522 -1,3477 -1,3202 -1,2262 -1,1330 -1,0722 -1,0162 -0,9045 -0,7063 -0,4569 -0,2274 -0,0656 0,0225 0,0543 0,0650 0,1064 0,2140 0,3831 0,5920 0,8280 1,0735 1,2863 1,4051 1,3731 1,1686 0,8289 0,4405 0,0949 -0,1594 -0,3272 -0,4366 -0,4997 -0,5026 -0,4240 -0,2497 0,0177 0,3422 0,6561 0,8886 0,9922 0,9625 0,8423 0,6965 0,5729 0,4840 0,4192 0,3700 0,3448 0,3563 0,3947 0,4264 0,4263 0,3962 0,3422 0,2448 0,0760 -0,1598 -0,4284 -0,7085 -1,0059 -1,3249 -1,6430 -1,9076 -2,0489 -2,0057 -1,7625 -1,3673 -0,9068 -0,4602 -0,0739 0,2381 0,4846 0,6877 0,8747 1,0612 1,2397 1,3885 1,4984 1,5798 1,6413 1,6688 1,6376 1,5401 1,3951 1,2372 1,1017 1,0181 1,0116 1,1031 1,2969 1,5574 1,8123 1,9977 2,0851 2,0570 1,8867 1,5678 1,1482 0,7173 0,3636 0,1479 0,0882 0,1529 0,2900 0,4716 0,6942 0,9398 1,1673 1,3403 1,4271 1,3811 1,1710 0,8303 0,4400 0,0652 -0,2674 -0,5476 -0,7619 -0,8993 -0,9739 -1,0250 -1,0783 -1,1117 -1,0760 -0,9438 -0,7350 -0,5125 -0,3615 -0,3440 -0,4549 -0,6286 -0,7835 -0,8419 -0,7357 -0,4283 0,0669 0,6942 1,3785 2,0532 2,6758 3,2153 3,6306 3,8772 3,9434 3,8661 3,7004 3,4865 3,2511 3,0188 2,8058 2,6153 2,4484 2,3173 2,2518 2,2906 2,4561 2,7296 3,0593 3,3915 3,6936 3,9531 4,1511 4,2432 4,1830 3,9493 3,5413 2,9801 2,3329 1,7112 1,2222 0,9199 0,8046 0,8557 1,0468 1,3346 1,6435 1,8713 1,9249 1,7616 1,4026 0,9266 0,4490 0,0709 -0,1655 -0,2764 -0,2975 -0,2449 -0,1113 0,0973 0,3315 0,5192 0,6131 0,6165 0,5738 0,5457 0,5852 0,7148 0,9002 1,0541 1,0844 0,9471 0,6685 0,3370 0,0716 -0,0231 0,0992 0,4017 0,7851 1,1512 1,4576 1,7136 1,9460 2,1842 2,4440 2,7004 2,8959 2,9822 2,9476 2,8122 2,6099 2,3714 2,1074 1,8136 1,5052 1,2272 1,0170 0,8805 0,8063 0,7777 0,7721 0,7696 0,7671 0,7789 0,8155 0,8613 0,8971 0,9392 1,0292 1,1921 1,4265 1,7214 2,0591 2,4030 2,7046 2,9286 3,0573 3,0710 2,9495 2,6932 2,3233 1,8713 1,3861 0,9390 0,5999 0,4177 0,4203 0,6047 0,9235 1,3033 1,6780 1,9952 2,2037 2,2589 2,1445 1,8737 1,4714 0,9748 0,4460 -0,0334 -0,3875 -0,5647 -0,5456 -0,3465 -0,0118 0,3917 0,7802 1,0786 1,2504 1,2982 1,2516 1,1536 1,0462 0,9656 0,9415 0,9906 1,1146 1,3033 1,5350 1,7740 1,9684 2,0590 2,0096 1,8366 1,6008 1,3703 1,2004 1,1317 1,1775 1,3091 1,4613 1,5575 1,5431 1,4099 1,1914 0,9327 0,6805 0,4947 0,4229 0,4560 0,5322 0,5877 0,6006 0,6010 0,6447 0,7833 1,0534 1,4620 1,9584 2,4325 2,7613 2,8824 2,8389 2,7404 2,6846 2,7203 2,8560 3,0689 3,3085 3,5099 3,6013 3,5122 3,2106 2,7421 2,2125 1,7264 1,3427 1,0668 0,8712 0,7266 0,6214 0,5602 0,5522 0,5983 0,6918 0,8350 1,0386 1,2945 1,5640 1,8032 1,9867 2,1109 2,1906 2,2529 2,3235 2,4209 2,5495 2,6902 2,8012 2,8331 2,7501 2,5501 2,2629 1,9258 1,5736 1,2567 1,0417 0,9745 1,0507 1,2261 1,4369 1,6159 1,7188 1,7556 1,7912 1,8970 2,0868 2,2983 2,4433 2,4734 2,4013 2,2702 2,1181 1,9728 1,8634 1,8123 1,8081 1,8046 1,7460 1,5928 1,3372 1,0031 0,6246 0,2309 -0,1460 -0,4534 -0,6161 -0,5730 -0,3286 0,0328 0,3943 0,6715 0,8376 0,9005 0,8667 0,7361 0,5275 0,2845 0,0508 -0,1436 -0,2756 -0,3295 -0,3182 -0,2892 -0,2845 -0,3006 -0,2969 -0,2336 -0,0958 0,1064 0,3429 0,5635 0,7069 0,7247 0,6076 0,4027 0,1954 0,0614 0,0417 0,1570 0,4162 0,7965 1,2245 1,6013 1,8601 1,9899 2,0169 1,9868 1,9524 1,9468 1,9552 1,9177 1,7736 1,5132 1,1917 0,8928 0,6643 0,4873 0,3193 0,1582 0,0474 0,0349 0,1497 0,3944 0,7375 1,1152 1,4549 1,7100 1,8825 2,0043 2,0937 2,1510 2,1866 2,2214 2,2584 2,2743 2,2418 2,1465 1,9854 1,7660 1,5088 1,2356 0,9562 0,6650 0,3372 -0,0599 -0,5230 -0,9979 -1,4218 -1,7659 -2,0385 -2,2653 -2,4715 -2,6735 -2,8743 -3,0608 -3,2111 -3,3097 -3,3525 -3,3425 -3,2899 -3,2126 -3,1207 -3,0044 -2,8433 -2,6253 -2,3659 -2,1262 -2,0023 -2,0703 -2,3246 -2,6845 -3,0671 -3,4314 -3,7482 -3,9725 -4,0626 -4,0005 -3,7950 -3,4885 -3,1568 -2,8856 -2,7417 -2,7465 -2,8614 -3,0131 -3,1445 -3,2331 -3,2636 -3,2068 -3,0347 -2,7499 -2,3921 -2,0218 -1,6899 -1,4035 -1,1280 -0,8315 -0,5181 -0,2182 0,0326 0,1937 0,2187 0,0673 -0,2855 -0,8306 -1,4942 -2,1406 -2,6391 -2,9569 -3,1809 -3,4302 -3,7489 -4,0932 -4,4014 -4,6432 -4,8075 -4,8808 -4,8476 -4,6962 -4,4245 -4,0503 -3,6234 -3,2229 -2,9324 -2,8104 -2,8729 -3,0954 -3,4237 -3,7753 -4,0523 -4,1787 -4,1203 -3,8753 -3,4623 -2,9195 -2,3068 -1,6993 -1,1693 -0,7709 -0,5433 -0,5328 -0,7860 -1,2863 -1,9195 -2,5281 -2,9730 -3,1686 -3,1112 -2,8790 -2,5933 -2,3629 -2,2416 -2,2272 -2,2878 -2,3805 -2,4611 -2,4971 -2,4865 -2,4698 -2,5108 -2,6511 -2,8771 -3,1317 -3,3619 -3,5471
F3    -0,3103 -0,6940 -1,1578 -1,6452 -2,0423 -2,2228 -2,1201 -1,7767 -1,3216 -0,8930 -0,5713 -0,3566 -0,1976 -0,0488 0,0909 0,1882 0,2152 0,1703 0,0700 -0,0551 -0,1586 -0,1956 -0,1367 0,0431 0,3635 0,8061 1,2922 1,7028 1,9274 1,9106 1,6781 1,3209 0,9408 0,5946 0,2840 -0,0068 -0,2704 -0,4735 -0,5776 -0,5497 -0,3749 -0,0818 0,2535 0,5417 0,7210 0,7771 0,7379 0,6465 0,5369 0,4254 0,3142 0,2103 0,1431 0,1463 0,2176 0,3174 0,4119 0,4941 0,5578 0,5697 0,4875 0,3052 0,0575 -0,2204 -0,5179 -0,8357 -1,1638 -1,4713 -1,7055 -1,8091 -1,7505 -1,5422 -1,2272 -0,8550 -0,4692 -0,1079 0,2003 0,4542 0,6857 0,9245 1,1538 1,3193 1,3856 1,3655 1,2976 1,2164 1,1473 1,1084 1,0998 1,1055 1,1199 1,1683 1,2959 1,5327 1,8630 2,2176 2,5035 2,6506 2,6277 2,4156 2,0003 1,4118 0,7512 0,1534 -0,2719 -0,4618 -0,3990 -0,1149 0,3279 0,8721 1,4677 2,0415 2,4986 2,7636 2,7941 2,5646 2,0793 1,4038 0,6374 -0,1494 -0,9173 -1,6084 -2,1281 -2,3877 -2,3630 -2,1100 -1,7210 -1,2683 -0,7899 -0,3155 0,1081 0,4169 0,5535 0,5068 0,3364 0,1408 -0,0007 -0,0477 0,0195 0,2136 0,5401 0,9846 1,5122 2,0900 2,6955 3,2877 3,7815 4,0767 4,1248 3,9603 3,6663 3,3262 3,0073 2,7550 2,5777 2,4456 2,3154 2,1631 2,0068 1,9099 1,9534 2,1907 2,6179 3,1741 3,7661 4,2995 4,6899 4,8628 4,7664 4,3880 3,7470 2,8907 1,9120 0,9515 0,1540 -0,3839 -0,6252 -0,5707 -0,2480 0,2804 0,9109 1,5079 1,9334 2,0813 1,9073 1,4536 0,8417 0,2125 -0,3329 -0,7467 -1,0144 -1,1308 -1,0919 -0,9073 -0,6151 -0,2776 0,0404 0,2973 0,4890 0,6469 0,8225 1,0541 1,3215 1,5364 1,5910 1,4254 1,0609 0,5878 0,1279 -0,2046 -0,3404 -0,2895 -0,1358 0,0297 0,1749 0,3230 0,5107 0,7646 1,0813 1,4055 1,6517 1,7645 1,7547 1,6825 1,6095 1,5639 1,5272 1,4548 1,3213 1,1374 0,9225 0,6836 0,4257 0,1605 -0,0974 -0,3296 -0,5066 -0,5908 -0,5604 -0,4341 -0,2544 -0,0463 0,1868 0,4358 0,6840 0,9273 1,1720 1,4142 1,6386 1,8330 1,9810 2,0481 1,9981 1,8251 1,5549 1,2244 0,8761 0,5598 0,3188 0,1763 0,1355 0,1787 0,2695 0,3742 0,4785 0,5777 0,6578 0,6961 0,6744 0,5780 0,3842 0,0760 -0,3225 -0,7358 -1,0710 -1,2579 -1,2700 -1,1200 -0,8398 -0,4683 -0,0564 0,3403 0,6807 0,9454 1,1384 1,2834 1,4109 1,5411 1,6686 1,7628 1,7850 1,7020 1,4974 1,1836 0,8080 0,4378 0,1355 -0,0558 -0,1215 -0,0785 0,0426 0,2255 0,4715 0,7737 1,0937 1,3685 1,5426 1,5965 1,5413 1,3924 1,1707 0,9291 0,7379 0,6316 0,5868 0,5565 0,5173 0,4876 0,5089 0,6179 0,8349 1,1476 1,4946 1,7792 1,9175 1,8954 1,7881 1,7132 1,7604 1,9605 2,2927 2,6990 3,0982 3,4043 3,5381 3,4378 3,0923 2,5663 1,9700 1,4012 0,9175 0,5415 0,2737 0,1043 0,0248 0,0328 0,1296 0,3099 0,5556 0,8464 1,1664 1,4928 1,7902 2,0224 2,1641 2,2141 2,2069 2,1972 2,2279 2,3155 2,4538 2,6146 2,7506 2,8047 2,7247 2,4874 2,1110 1,6438 1,1532 0,7278 0,4586 0,3948 0,5202 0,7733 1,0771 1,3573 1,5685 1,7164 1,8526 2,0389 2,2931 2,5582 2,7331 2,7408 2,5723 2,2768 1,9304 1,6196 1,4262 1,3897 1,4769 1,5980 1,6505 1,5522 1,2666 0,8146 0,2585 -0,3225 -0,8432 -1,2146 -1,3563 -1,2269 -0,8544 -0,3389 0,1840 0,5961 0,8293 0,8665 0,7247 0,4430 0,0758 -0,3246 -0,7157 -1,0478 -1,2515 -1,2685 -1,1038 -0,8352 -0,5549 -0,3073 -0,0841 0,1435 0,3974 0,6830 0,9832 1,2523 1,4267 1,4505 1,3020 1,0122 0,6591 0,3355 0,1295 0,1242 0,3815 0,8967 1,5709 2,2539 2,8287 3,2460 3,4998 3,6044 3,5863 3,4679 3,2497 2,9161 2,4667 1,9431 1,4224 0,9774 0,6321 0,3554 0,1120 -0,0799 -0,1554 -0,0591 0,2208 0,6528 1,1709 1,6920 2,1450 2,4959 2,7523 2,9318 3,0225 3,0017 2,8936 2,7650 2,6619 2,5798 2,4886 2,3635 2,1972 2,0045 1,8194 1,6706 1,5585 1,4521 1,2907 1,0067 0,5786 0,0523 -0,4968 -1,0061 -1,4373 -1,7739 -2,0156 -2,1687 -2,2423 -2,2532 -2,2347 -2,2350 -2,2944 -2,4172 -2,5689 -2,6945 -2,7360 -2,6487 -2,4212 -2,0877 -1,7236 -1,4401 -1,3589 -1,5503 -1,9770 -2,5195 -3,0650 -3,5547 -3,9471 -4,1856 -4,2186 -4,0208 -3,5968 -2,9987 -2,3355 -1,7401 -1,3182 -1,1125 -1,0986 -1,2181 -1,4182 -1,6611 -1,9060 -2,1021 -2,2031 -2,1872 -2,0648 -1,8742 -1,6611 -1,4459 -1,2143 -0,9434 -0,6224 -0,2519 0,1524 0,5411 0,8302 0,9281 0,7599 0,2982 -0,3969 -1,1771 -1,8766 -2,4058 -2,7868 -3,0936 -3,3595 -3,5592 -3,6662 -3,6873 -3,6377 -3,5210 -3,3417 -3,1142 -2,8541 -2,5748 -2,3011 -2,0787 -1,9610 -1,9823 -2,1392 -2,3942 -2,6883 -2,9369 -3,0425 -2,9451 -2,6533 -2,2303 -1,7655 -1,3500 -1,0570 -0,9256 -0,9470 -1,0735 -1,2558 -1,4875 -1,8042 -2,2167 -2,6592 -3,0169 -3,1904 -3,1447 -2,9192 -2,5957 -2,2611 -1,9856 -1,8089 -1,7417 -1,7703 -1,8557 -1,9441 -1,9860 -1,9556 -1,8686 -1,7805 -1,7580 -1,8490 -2,0692 -2,4054 -2,8194
F7    -1,4638 -1,4295 -1,4026 -1,3736 -1,3106 -1,1765 -0,9605 -0,6992 -0,4631 -0,3146 -0,2662 -0,2658 -0,2283 -0,0972 0,1158 0,3514 0,5526 0,6921 0,7705 0,8041 0,8077 0,7835 0,7302 0,6571 0,5901 0,5562 0,5556 0,5539 0,5069 0,3947 0,2455 0,1241 0,0792 0,1000 0,1284 0,1039 -0,0062 -0,1925 -0,4027 -0,5565 -0,5818 -0,4545 -0,2111 0,0725 0,3209 0,4962 0,6080 0,6816 0,7279 0,7463 0,7450 0,7434 0,7591 0,7888 0,7954 0,7326 0,5904 0,4018 0,2012 -0,0087 -0,2389 -0,4706 -0,6534 -0,7516 -0,7799 -0,7890 -0,8252 -0,8985 -0,9755 -0,9992 -0,9263 -0,7610 -0,5533 -0,3655 -0,2404 -0,1914 -0,2096 -0,2546 -0,2441 -0,0974 0,1990 0,5862 0,9800 1,3083 1,5253 1,6161 1,5935 1,4849 1,3170 1,1125 0,8992 0,7208 0,6317 0,6714 0,8401 1,0961 1,3735 1,6082 1,7505 1,7542 1,5814 1,2393 0,8012 0,3711 0,0323 -0,1615 -0,1784 -0,0231 0,2551 0,5854 0,8940 1,1137 1,2121 1,2088 1,1402 1,0096 0,7896 0,4685 0,0722 -0,3598 -0,7940 -1,1934 -1,5128 -1,7129 -1,7742 -1,7034 -1,5315 -1,3051 -1,0707 -0,8650 -0,7140 -0,6349 -0,6324 -0,6908 -0,7662 -0,8023 -0,7614 -0,6352 -0,4329 -0,1626 0,1761 0,5710 0,9792 1,3504 1,6598 1,9053 2,0810 2,1666 2,1489 2,0456 1,8947 1,7246 1,5509 1,3869 1,2494 1,1600 1,1355 1,1717 1,2491 1,3548 1,4843 1,6270 1,7598 1,8565 1,8972 1,8735 1,7856 1,6424 1,4596 1,2421 0,9719 0,6287 0,2313 -0,1578 -0,4703 -0,6646 -0,7301 -0,6787 -0,5380 -0,3500 -0,1680 -0,0393 0,0048 -0,0769 -0,3405 -0,7902 -1,3317 -1,8327 -2,2127 -2,4590 -2,5833 -2,5853 -2,4576 -2,2108 -1,8830 -1,5324 -1,2205 -0,9877 -0,8363 -0,7348 -0,6332 -0,4892 -0,3086 -0,1549 -0,1093 -0,2197 -0,4772 -0,8175 -1,1387 -1,3270 -1,3048 -1,0857 -0,7650 -0,4367 -0,1418 0,1118 0,3240 0,5102 0,6840 0,8197 0,8611 0,7819 0,6175 0,4338 0,2743 0,1364 -0,0229 -0,2577 -0,5929 -1,0110 -1,4685 -1,9081 -2,2659 -2,4986 -2,6046 -2,6075 -2,5264 -2,3711 -2,1592 -1,9191 -1,6695 -1,4098 -1,1338 -0,8481 -0,5708 -0,3147 -0,0850 0,1069 0,2510 0,3598 0,4553 0,5349 0,5747 0,5635 0,5111 0,4219 0,2838 0,0919 -0,1271 -0,3208 -0,4467 -0,5048 -0,5296 -0,5475 -0,5501 -0,5111 -0,4221 -0,3108 -0,2273 -0,2233 -0,3347 -0,5584 -0,8336 -1,0597 -1,1452 -1,0503 -0,8033 -0,4826 -0,1630 0,1244 0,3752 0,5713 0,6757 0,6708 0,5856 0,4752 0,3834 0,3334 0,3335 0,3806 0,4575 0,5342 0,5863 0,6179 0,6583 0,7271 0,8047 0,8416 0,7903 0,6299 0,3818 0,1129 -0,0926 -0,1808 -0,1510 -0,0406 0,1073 0,2697 0,4381 0,6024 0,7566 0,9097 1,0654 1,1996 1,2780 1,2938 1,2812 1,2972 1,3862 1,5537 1,7700 1,9894 2,1640 2,2553 2,2454 2,1482 2,0120 1,9020 1,8681 1,9209 2,0362 2,1755 2,2987 2,3635 2,3297 2,1747 1,9116 1,5917 1,2778 1,0119 0,8071 0,6630 0,5751 0,5351 0,5335 0,5639 0,6265 0,7210 0,8280 0,9190 0,9887 1,0599 1,1577 1,2870 1,4286 1,5578 1,6631 1,7429 1,7984 1,8423 1,9009 1,9903 2,0944 2,1718 2,1832 2,1157 1,9878 1,8368 1,7018 1,6142 1,5991 1,6700 1,8169 2,0045 2,1797 2,2835 2,2762 2,1648 2,0068 1,8860 1,8591 1,9090 1,9578 1,9402 1,8552 1,7439 1,6408 1,5679 1,5556 1,6264 1,7575 1,8852 1,9493 1,9170 1,7726 1,5063 1,1258 0,6737 0,2249 -0,1329 -0,3266 -0,3198 -0,1214 0,2166 0,6050 0,9451 1,1712 1,2679 1,2492 1,1348 0,9418 0,6868 0,3932 0,1034 -0,1282 -0,2645 -0,3108 -0,3086 -0,2996 -0,2922 -0,2554 -0,1450 0,0607 0,3472 0,6675 0,9525 1,1371 1,1858 1,1025 0,9293 0,7275 0,5438 0,4093 0,3710 0,4908 0,7941 1,2274 1,6826 2,0654 2,3268 2,4492 2,4326 2,2889 2,0399 1,7171 1,3511 0,9636 0,5811 0,2396 -0,0357 -0,2403 -0,3832 -0,4719 -0,4949 -0,4285 -0,2621 -0,0081 0,2996 0,6083 0,8598 1,0129 1,0631 1,0534 1,0451 1,0623 1,0896 1,1252 1,1949 1,3091 1,4392 1,5360 1,5507 1,4503 1,2384 0,9615 0,6819 0,4473 0,2715 0,1263 -0,0354 -0,2381 -0,4807 -0,7611 -1,0771 -1,4122 -1,7421 -2,0512 -2,3320 -2,5778 -2,7821 -2,9467 -3,0927 -3,2475 -3,4201 -3,6010 -3,7784 -3,9394 -4,0510 -4,0549 -3,8991 -3,5834 -3,1802 -2,8105 -2,5785 -2,5124 -2,5733 -2,7134 -2,9039 -3,1109 -3,2831 -3,3747 -3,3586 -3,2267 -3,0031 -2,7505 -2,5436 -2,4271 -2,3918 -2,3900 -2,3774 -2,3423 -2,2941 -2,2344 -2,1441 -1,9940 -1,7734 -1,5070 -1,2481 -1,0528 -0,9494 -0,9313 -0,9683 -1,0096 -0,9895 -0,8604 -0,6348 -0,3909 -0,2398 -0,2839 -0,5677 -1,0415 -1,5906 -2,1139 -2,5760 -2,9962 -3,3984 -3,7660 -4,0519 -4,2274 -4,2990 -4,2837 -4,1949 -4,0461 -3,8389 -3,5484 -3,1487 -2,6657 -2,1900 -1,8303 -1,6561 -1,6768 -1,8691 -2,2022 -2,6115 -2,9815 -3,2100 -3,2745 -3,2224 -3,1230 -3,0439 -3,0430 -3,1427 -3,3081 -3,4763 -3,6103 -3,7106 -3,7857 -3,8364 -3,8610 -3,8560 -3,8138 -3,7342 -3,6287 -3,5056 -3,3689 -3,2335 -3,1319 -3,0962 -3,1308 -3,2005 -3,2495 -3,2263 -3,1051 -2,9024 -2,6723 -2,4798 -2,3761 -2,3860 -2,5053 -2,7045
