Fp1   1,9611 1,8031 1,5934 1,3400 1,0408 0,6895 0,2952 -0,1024 -0,4495 -0,7075 -0,8623 -0,9162 -0,8807 -0,7734 -0,6159 -0,4377 -0,2756 -0,1636 -0,1201 -0,1436 -0,2154 -0,3077 -0,3907 -0,4416 -0,4530 -0,4307 -0,3824 -0,3054 -0,1877 -0,0217 0,1812 0,3874 0,5518 0,6473 0,6845 0,6880 0,6606 0,5852 0,4477 0,2483 0,0034 -0,2527 -0,4714 -0,6071 -0,6423 -0,5985 -0,5185 -0,4382 -0,3731 -0,3220 -0,2791 -0,2357 -0,1781 -0,0982 -0,0019 0,1015 0,2151 0,3586 0,5556 0,8152 1,1253 1,4593 1,7778 2,0312 2,1713 2,1684 2,0250 1,7737 1,4599 1,1257 0,8163 0,5871 0,4855 0,5231 0,6720 0,8870 1,1284 1,3685 1,5870 1,7641 1,8778 1,9052 1,8367 1,6966 1,5412 1,4298 1,3955 1,4313 1,5007 1,5702 1,6332 1,6985 1,7671 1,8325 1,8977 1,9816 2,1127 2,3169 2,5999 2,9281 3,2309 3,4342 3,4966 3,4136 3,1986 2,8658 2,4339 1,9374 1,4172 0,9031 0,4215 0,0119 -0,2797 -0,4269 -0,4453 -0,3950 -0,3575 -0,3963 -0,5291 -0,7319 -0,9639 -1,1889 -1,3746 -1,4829 -1,4774 -1,3471 -1,1092 -0,7897 -0,4139 -0,0158 0,3654 0,7049 0,9910 1,2088 1,3356 1,3532 1,2617 1,0852 0,8684 0,6646 0,5200 0,4556 0,4576 0,4939 0,5401 0,5889 0,6336 0,6511 0,6100 0,4966 0,3332 0,1703 0,0624 0,0496 0,1515 0,3688 0,6920 1,1033 1,5737 2,0720 2,5813 3,0981 3,6154 4,1164 4,5785 4,9793 5,3036 5,5452 5,6987 5,7510 5,6820 5,4754 5,1270 4,6457 4,0601 3,4272 2,8224 2,3037 1,8886 1,5647 1,3136 1,1198 0,9709 0,8567 0,7680 0,6938 0,6198 0,5321 0,4313 0,3384 0,2801 0,2657 0,2788 0,2929 0,3033 0,3349 0,4121 0,5320 0,6678 0,7848 0,8500 0,8386 0,7407 0,5710 0,3682 0,1750 0,0207 -0,0793 -0,1236 -0,1273 -0,1167 -0,1132 -0,1192 -0,1191 -0,0885 -0,0067 0,1373 0,3383 0,5739 0,8149 1,0404 1,2376 1,3953 1,5083 1,5844 1,6352 1,6599 1,6471 1,5884 1,4861 1,3520 1,2030 1,0599 0,9477 0,8945 0,9267 1,0533 1,2524 1,4757 1,6654 1,7707 1,7617 1,6346 1,4059 1,1000 0,7448 0,3771 0,0421 -0,2167 -0,3681 -0,3997 -0,3270 -0,1963 -0,0643 0,0259 0,0478 -0,0162 -0,1660 -0,3660 -0,5459 -0,6288 -0,5712 -0,3873 -0,1350 0,1191 0,3303 0,4882 0,6014 0,6713 0,6882 0,6420 0,5233 0,3244 0,0571 -0,2366 -0,4971 -0,6821 -0,7961 -0,8844 -0,9956 -1,1503 -1,3338 -1,5091 -1,6397 -1,7005 -1,6790 -1,5841 -1,4509 -1,3205 -1,2151 -1,1352 -1,0759 -1,0399 -1,0301 -1,0333 -1,0185 -0,9530 -0,8234 -0,6407 -0,4268 -0,2076 -0,0172 0,1098 0,1613 0,1620 0,1611 0,2005 0,2913 0,4225 0,5853 0,7733 0,9620 1,1028 1,1404 1,0334 0,7711 0,3841 -0,0612 -0,4807 -0,7897 -0,9266 -0,8765 -0,6736 -0,3757 -0,0243 0,3776 0,8509 1,4049 2,0178 2,6471 3,2493 3,7841 4,2132 4,5092 4,6626 4,6917 4,6493 4,6026 4,6011 4,6715 4,8272 5,0579 5,3128 5,5141 5,6002 5,5536 5,3894 5,1362 4,8287 4,5022 4,1912 3,9349 3,7736 3,7311 3,7998 3,9414 4,1032 4,2409 4,3325 4,3759 4,3852 4,3881 4,4186 4,5050 4,6572 4,8604 5,0805 5,2859 5,4663 5,6332 5,8045 5,9872 6,1714 6,3381 6,4673 6,5398 6,5398 6,4583 6,2932 6,0526 5,7660 5,4810 5,2443 5,0874 5,0198 5,0357 5,1315 5,3111 5,5679 5,8691 6,1664 6,4224 6,6244 6,7698 6,8454 6,8300 6,7125 6,5007 6,2203 5,9048 5,5860 5,3019 5,1077 5,0617 5,1944 5,4855 5,8624 6,2278 6,5091 6,6887 6,7871 6,8232 6,7966 6,6990 6,5359 6,3365 6,1429 5,9870 5,8757 5,7985 5,7450 5,7096 5,6842 5,6622 5,6474 5,6451 5,6414 5,5991 5,4887 5,3231 5,1485 5,0045 4,9075 4,8619 4,8706 4,9339 5,0442 5,1812 5,3144 5,4116 5,4538 5,4470 5,4170 5,3906 5,3882 5,4298 5,5338 5,7070 5,9320 6,1691 6,3789 6,5391 6,6358 6,6449 6,5288 6,2619 5,8645 5,4060 4,9659 4,5959 4,3210 4,1591 4,1251 4,2222 4,4350 4,7298 5,0698 5,4268 5,7737 6,0790 6,3143 6,4545 6,4779 6,3843 6,2105 6,0162 5,8510 5,7284 5,6230 5,4914 5,3035 5,0584 4,7754 4,4776 4,1863 3,9269 3,7297 3,6179 3,5930 3,6305 3,6856 3,7035 3,6356 3,4551 3,1639 2,7842 2,3536 1,9276 1,5727 1,3386 1,2342 1,2297 1,2819 1,3629 1,4647 1,5764 1,6687 1,7000 1,6354 1,4667 1,2179 0,9336 0,6658 0,4630 0,3576 0,3530 0,4210 0,5095 0,5606 0,5346 0,4193 0,2253 -0,0190 -0,2716 -0,4990 -0,6992 -0,8936 -1,0892 -1,2541 -1,3359 -1,2953 -1,1236 -0,8456 -0,5068 -0,1476 0,2142 0,5803 0,9609 1,3625 1,7734 2,1560 2,4593 2,6491 2,7281 2,7304 2,7015 2,6863 2,7236 2,8303 2,9904 3,1652 3,3146 3,4024 3,3935 3,2650 3,0242 2,7082 2,3603 2,0062 1,6519 1,2989 0,9527 0,6142 0,2705 -0,0977 -0,4982 -0,9159 -1,3128 -1,6430 -1,8794 -2,0264 -2,1075 -2,1481 -2,1689 -2,1860 -2,2110 -2,2530 -2,3203 -2,4217 -2,5673 -2,7710 -3,0474 -3,3962 -3,7854 -4,1535 -4,4323 -4,5822 -4,6130 -4,5646 -4,4699 -4,3370 -4,1570 -3,9168 -3,6113 -3,2488 -2,8484 -2,4342 -2,0317 -1,6651 -1,3511
Fz    3,6491 3,4088 3,0914 2,7014 2,2405 1,7114 1,1287 0,5366 0,0044 -0,4057 -0,6683 -0,7947 -0,8105 -0,7389 -0,6020 -0,4329 -0,2805 -0,1945 -0,2037 -0,3059 -0,4721 -0,6584 -0,8218 -0,9375 -1,0053 -1,0359 -1,0325 -0,9856 -0,8777 -0,6948 -0,4438 -0,1654 0,0789 0,2498 0,3529 0,4086 0,4154 0,3548 0,2119 -0,0112 -0,2897 -0,5750 -0,8035 -0,9198 -0,9062 -0,7932 -0,6341 -0,4731 -0,3355 -0,2347 -0,1768 -0,1539 -0,1426 -0,1214 -0,0864 -0,0432 0,0122 0,1015 0,2545 0,4881 0,7941 1,1440 1,4956 1,7980 2,0032 2,0826 2,0373 1,8942 1,6874 1,4445 1,1959 0,9884 0,8710 0,8645 0,9520 1,0989 1,2757 1,4628 1,6429 1,7965 1,9040 1,9473 1,9125 1,8042 1,6575 1,5286 1,4665 1,4869 1,5733 1,7023 1,8648 2,0584 2,2693 2,4722 2,6469 2,7921 2,9281 3,0864 3,2865 3,5142 3,7202 3,8504 3,8784 3,8067 3,6475 3,4079 3,0950 2,7326 2,3552 1,9839 1,6283 1,3102 1,0698 0,9404 0,9198 0,9602 0,9875 0,9375 0,7877 0,5610 0,3034 0,0614 -0,1253 -0,2227 -0,2093 -0,0886 0,1160 0,3832 0,7014 1,0550 1,4218 1,7851 2,1296 2,4297 2,6546 2,7843 2,8214 2,7940 2,7491 2,7369 2,7924 2,9190 3,0821 3,2296 3,3242 3,3558 3,3262 3,2321 3,0697 2,8518 2,6166 2,4141 2,2849 2,2533 2,3305 2,5171 2,8017 3,1600 3,5560 3,9560 4,3462 4,7287 5,1056 5,4726 5,8192 6,1318 6,4010 6,6239 6,7950 6,8938 6,8888 6,7530 6,4715 6,0391 5,4690 4,8095 4,1409 3,5415 3,0509 2,6666 2,3632 2,1119 1,8914 1,6912 1,5080 1,3428 1,1979 1,0751 0,9802 0,9263 0,9265 0,9813 1,0725 1,1748 1,2831 1,4197 1,6080 1,8452 2,1024 2,3357 2,5030 2,5796 2,5647 2,4820 2,3728 2,2739 2,1987 2,1412 2,0930 2,0497 2,0090 1,9733 1,9527 1,9604 2,0067 2,0971 2,2347 2,4156 2,6240 2,8377 3,0391 3,2147 3,3497 3,4326 3,4633 3,4508 3,4024 3,3193 3,2021 3,0560 2,8922 2,7250 2,5746 2,4686 2,4352 2,4904 2,6254 2,8031 2,9737 3,0920 3,1267 3,0632 2,9061 2,6740 2,3894 2,0712 1,7393 1,4216 1,1497 0,9490 0,8307 0,7848 0,7793 0,7760 0,7469 0,6744 0,5487 0,3784 0,2007 0,0757 0,0650 0,2003 0,4639 0,8017 1,1494 1,4521 1,6760 1,8069 1,8387 1,7725 1,6178 1,3881 1,0985 0,7776 0,4742 0,2446 0,1212 0,0867 0,0854 0,0636 -0,0033 -0,1077 -0,2203 -0,3079 -0,3448 -0,3163 -0,2272 -0,1068 0,0077 0,0915 0,1364 0,1422 0,1067 0,0293 -0,0710 -0,1500 -0,1587 -0,0784 0,0700 0,2521 0,4416 0,6132 0,7387 0,8070 0,8381 0,8725 0,9462 1,0727 1,2489 1,4693 1,7208 1,9613 2,1268 2,1613 2,0358 1,7519 1,3440 0,8751 0,4227 0,0662 -0,1320 -0,1488 -0,0092 0,2366 0,5566 0,9621 1,4871 2,1433 2,8934 3,6649 4,3871 5,0100 5,4997 5,8343 6,0071 6,0391 5,9919 5,9508 5,9824 6,1153 6,3510 6,6632 6,9848 7,2251 7,3174 7,2443 7,0232 6,6866 6,2738 5,8249 5,3816 4,9946 4,7217 4,6095 4,6701 4,8703 5,1446 5,4257 5,6657 5,8377 5,9361 5,9799 6,0040 6,0453 6,1319 6,2738 6,4549 6,6456 6,8244 6,9863 7,1335 7,2678 7,3883 7,4915 7,5685 7,6032 7,5757 7,4733 7,2970 7,0667 6,8146 6,5696 6,3491 6,1698 6,0522 6,0129 6,0627 6,2073 6,4388 6,7232 7,0083 7,2461 7,4120 7,4999 7,5057 7,4213 7,2450 6,9920 6,6981 6,4080 6,1551 5,9639 5,8670 5,9001 6,0770 6,3698 6,7063 6,9951 7,1763 7,2504 7,2529 7,2082 7,1157 6,9697 6,7822 6,5852 6,4140 6,2875 6,2029 6,1488 6,1206 6,1169 6,1245 6,1259 6,1170 6,1007 6,0614 5,9637 5,7841 5,5410 5,2829 5,0547 4,8859 4,7924 4,7748 4,8201 4,9088 5,0152 5,1050 5,1424 5,1113 5,0263 4,9204 4,8264 4,7772 4,8130 4,9696 5,2530 5,6240 6,0112 6,3471 6,5926 6,7286 6,7366 6,5968 6,3075 5,9055 5,4609 5,0424 4,6879 4,4118 4,2268 4,1480 4,1878 4,3464 4,6055 4,9378 5,3222 5,7371 6,1519 6,5340 6,8524 7,0774 7,1937 7,2150 7,1773 7,1181 7,0553 6,9772 6,8540 6,6600 6,3869 6,0464 5,6665 5,2850 4,9451 4,6908 4,5534 4,5334 4,5964 4,6844 4,7310 4,6800 4,5090 4,2360 3,9014 3,5473 3,2158 2,9484 2,7720 2,6842 2,6579 2,6598 2,6719 2,6927 2,7183 2,7281 2,6887 2,5711 2,3708 2,1117 1,8363 1,5935 1,4293 1,3727 1,4203 1,5311 1,6411 1,6897 1,6419 1,4932 1,2601 0,9727 0,6700 0,3858 0,1330 -0,0890 -0,2669 -0,3634 -0,3398 -0,1838 0,0857 0,4306 0,8094 1,1941 1,5765 1,9596 2,3512 2,7595 3,1806 3,5850 3,9230 4,1512 4,2608 4,2806 4,2548 4,2233 4,2178 4,2569 4,3361 4,4285 4,4970 4,5012 4,4032 4,1841 3,8562 3,4536 3,0120 2,5561 2,1007 1,6603 1,2524 0,8847 0,5438 0,2019 -0,1619 -0,5420 -0,9071 -1,2231 -1,4811 -1,6980 -1,8946 -2,0800 -2,2530 -2,4074 -2,5381 -2,6466 -2,7405 -2,8298 -2,9269 -3,0484 -3,2133 -3,4290 -3,6751 -3,9005 -4,0451 -4,0737 -3,9988 -3,8621 -3,6981 -3,5149 -3,3037 -3,0540 -2,7600 -2,4204 -2,0367 -1,6120 -1,1553 -0,6868 -0,2352
F3    2,3749 2,1593 1,8900 1,5817 1,2326 0,8370 0,4079 -0,0129 -0,3721 -0,6271 -0,7579 -0,7708 -0,6942 -0,5668 -0,4242 -0,2929 -0,1947 -0,1466 -0,1562 -0,2187 -0,3196 -0,4384 -0,5526 -0,6416 -0,6914 -0,6963 -0,6554 -0,5643 -0,4150 -0,2081 0,0356 0,2755 0,4630 0,5706 0,6123 0,6173 0,5914 0,5184 0,3828 0,1826 -0,0633 -0,3118 -0,5096 -0,6162 -0,6261 -0,5698 -0,4911 -0,4211 -0,3700 -0,3363 -0,3174 -0,3084 -0,2932 -0,2530 -0,1817 -0,0853 0,0332 0,1845 0,3848 0,6420 0,9507 1,2940 1,6400 1,9405 2,1434 2,2115 2,1385 1,9534 1,7029 1,4283 1,1701 0,9801 0,9048 0,9564 1,1089 1,3201 1,5558 1,7957 2,0185 2,1912 2,2766 2,2472 2,1015 1,8784 1,6486 1,4826 1,4223 1,4666 1,5767 1,7064 1,8342 1,9630 2,0974 2,2347 2,3734 2,5235 2,7079 2,9536 3,2696 3,6219 3,9361 4,1383 4,1939 4,1060 3,8874 3,5442 3,0870 2,5503 1,9836 1,4268 0,9144 0,4919 0,2056 0,0765 0,0806 0,1507 0,2019 0,1679 0,0272 -0,1963 -0,4539 -0,6943 -0,8702 -0,9393 -0,8757 -0,6856 -0,4010 -0,0543 0,3325 0,7341 1,1195 1,4688 1,7734 2,0164 2,1666 2,1930 2,0895 1,8871 1,6447 1,4281 1,2888 1,2418 1,2614 1,3071 1,3574 1,4151 1,4830 1,5399 1,5474 1,4807 1,3498 1,1922 1,0515 0,9670 0,9747 1,1017 1,3578 1,7291 2,1785 2,6645 3,1632 3,6658 4,1629 4,6415 5,0857 5,4718 5,7744 5,9787 6,0814 6,0806 5,9683 5,7351 5,3767 4,8996 4,3295 3,7181 3,1331 2,6293 2,2289 1,9292 1,7207 1,5933 1,5345 1,5281 1,5521 1,5777 1,5747 1,5219 1,4215 1,3037 1,2090 1,1635 1,1686 1,2111 1,2852 1,3953 1,5373 1,6873 1,8124 1,8878 1,9046 1,8668 1,7837 1,6713 1,5548 1,4559 1,3799 1,3178 1,2504 1,1566 1,0268 0,8731 0,7270 0,6282 0,6113 0,6967 0,8890 1,1747 1,5194 1,8765 2,2039 2,4668 2,6350 2,6951 2,6603 2,5564 2,4006 2,2001 1,9656 1,7185 1,4862 1,2934 1,1583 1,0968 1,1256 1,2598 1,4975 1,8065 2,1300 2,4040 2,5728 2,6035 2,4903 2,2488 1,9100 1,5159 1,1175 0,7669 0,5072 0,3648 0,3439 0,4177 0,5305 0,6237 0,6602 0,6218 0,4976 0,2909 0,0338 -0,2123 -0,3740 -0,4004 -0,2906 -0,0896 0,1401 0,3484 0,5145 0,6375 0,7145 0,7343 0,6868 0,5650 0,3694 0,1231 -0,1214 -0,2997 -0,3739 -0,3647 -0,3409 -0,3698 -0,4769 -0,6399 -0,8086 -0,9351 -0,9884 -0,9554 -0,8494 -0,7130 -0,5913 -0,5029 -0,4383 -0,3830 -0,3392 -0,3194 -0,3233 -0,3299 -0,3105 -0,2513 -0,1603 -0,0525 0,0585 0,1488 0,1881 0,1670 0,1131 0,0774 0,1049 0,2117 0,3882 0,6195 0,8859 1,1453 1,3341 1,3941 1,2933 1,0318 0,6440 0,1937 -0,2374 -0,5607 -0,7033 -0,6382 -0,3959 -0,0442 0,3578 0,7959 1,2933 1,8671 2,4976 3,1378 3,7383 4,2579 4,6656 4,9469 5,1071 5,1747 5,2000 5,2333 5,3052 5,4342 5,6363 5,9031 6,1763 6,3635 6,3902 6,2391 5,9393 5,5389 5,0885 4,6348 4,2215 3,8955 3,7018 3,6665 3,7830 4,0099 4,2852 4,5492 4,7595 4,8919 4,9462 4,9555 4,9725 5,0416 5,1826 5,3854 5,6186 5,8505 6,0683 6,2768 6,4844 6,6931 6,8941 7,0705 7,2020 7,2661 7,2399 7,1068 6,8667 6,5410 6,1690 5,7985 5,4767 5,2435 5,1191 5,0986 5,1685 5,3231 5,5543 5,8348 6,1235 6,3867 6,6127 6,7975 6,9207 6,9465 6,8435 6,6033 6,2528 5,8470 5,4406 5,0829 4,8349 4,7593 4,8878 5,1947 5,5951 5,9775 6,2648 6,4474 6,5545 6,6036 6,5890 6,5060 6,3744 6,2367 6,1346 6,0864 6,0829 6,1026 6,1276 6,1414 6,1220 6,0576 5,9620 5,8559 5,7376 5,5828 5,3778 5,1478 4,9398 4,7805 4,6653 4,5816 4,5280 4,5112 4,5327 4,5852 4,6539 4,7218 4,7796 4,8315 4,8880 4,9542 5,0325 5,1351 5,2834 5,4917 5,7476 6,0064 6,2139 6,3370 6,3648 6,2863 6,0827 5,7475 5,3119 4,8424 4,4085 4,0557 3,8076 3,6801 3,6854 3,8248 4,0775 4,4020 4,7591 5,1287 5,4949 5,8304 6,1021 6,2770 6,3294 6,2607 6,1096 5,9316 5,7690 5,6336 5,5082 5,3641 5,1837 4,9710 4,7429 4,5178 4,3144 4,1551 4,0646 4,0570 4,1217 4,2217 4,3045 4,3140 4,2021 3,9472 3,5649 3,0966 2,5912 2,1019 1,6860 1,3859 1,2087 1,1303 1,1195 1,1623 1,2578 1,3921 1,5242 1,5949 1,5503 1,3710 1,0879 0,7687 0,4897 0,3133 0,2722 0,3604 0,5371 0,7427 0,9189 1,0237 1,0339 0,9398 0,7499 0,4971 0,2216 -0,0598 -0,3551 -0,6619 -0,9404 -1,1309 -1,1866 -1,0922 -0,8665 -0,5514 -0,1904 0,1899 0,5812 0,9882 1,4193 1,8696 2,3080 2,6838 2,9537 3,1043 3,1534 3,1349 3,0901 3,0631 3,0856 3,1631 3,2770 3,3957 3,4787 3,4799 3,3655 3,1370 2,8303 2,4856 2,1191 1,7247 1,3031 0,8750 0,4596 0,0555 -0,3510 -0,7680 -1,1865 -1,5769 -1,9000 -2,1346 -2,2911 -2,3965 -2,4743 -2,5389 -2,5985 -2,6586 -2,7240 -2,8044 -2,9191 -3,0933 -3,3486 -3,6945 -4,1144 -4,5556 -4,9416 -5,2010 -5,2998 -5,2549 -5,1147 -4,9217 -4,6906 -4,4120 -4,0690 -3,6541 -3,1759 -2,6568 -2,1276 -1,6235 -1,1784 -0,8111
F7    1,0057 0,8022 0,5702 0,3297 0,0812 -0,1882 -0,4791 -0,7583 -0,9731 -1,0856 -1,0886 -1,0002 -0,8533 -0,6763 -0,4864 -0,3070 -0,1728 -0,1057 -0,1021 -0,1415 -0,1946 -0,2282 -0,2209 -0,1803 -0,1419 -0,1433 -0,1935 -0,2572 -0,2745 -0,2067 -0,0580 0,1428 0,3667 0,5924 0,8012 0,9647 1,0474 1,0275 0,9135 0,7431 0,5649 0,4147 0,3058 0,2326 0,1735 0,1002 -0,0013 -0,1213 -0,2331 -0,3071 -0,3243 -0,2809 -0,1897 -0,0787 0,0277 0,1266 0,2351 0,3798 0,5804 0,8301 1,0908 1,3127 1,4566 1,5007 1,4357 1,2638 1,0089 0,7215 0,4592 0,2652 0,1703 0,1995 0,3558 0,6022 0,8675 1,0763 1,1793 1,1708 1,0890 0,9969 0,9420 0,9285 0,9305 0,9263 0,9208 0,9432 1,0172 1,1309 1,2426 1,3233 1,3799 1,4251 1,4460 1,4189 1,3479 1,2745 1,2559 1,3406 1,5489 1,8583 2,2050 2,5047 2,6797 2,6805 2,4904 2,1237 1,6283 1,0744 0,5210 -0,0003 -0,4618 -0,8191 -1,0272 -1,0706 -0,9790 -0,8257 -0,7031 -0,6782 -0,7606 -0,9117 -1,0830 -1,2523 -1,4225 -1,5888 -1,7250 -1,8011 -1,7941 -1,6873 -1,4837 -1,2168 -0,9259 -0,6259 -0,3190 -0,0182 0,2561 0,4818 0,6275 0,6579 0,5562 0,3370 0,0380 -0,2924 -0,6022 -0,8430 -0,9793 -1,0000 -0,9282 -0,8213 -0,7523 -0,7743 -0,8899 -1,0472 -1,1629 -1,1621 -1,0174 -0,7573 -0,4342 -0,0864 0,2747 0,6546 1,0616 1,5020 1,9717 2,4441 2,8782 3,2441 3,5320 3,7377 3,8506 3,8558 3,7479 3,5376 3,2395 2,8570 2,3940 1,8855 1,4034 1,0178 0,7517 0,5811 0,4690 0,3952 0,3576 0,3611 0,4040 0,4679 0,5225 0,5471 0,5513 0,5666 0,6162 0,6968 0,7784 0,8226 0,8162 0,7834 0,7573 0,7532 0,7740 0,8156 0,8564 0,8556 0,7769 0,6120 0,3824 0,1220 -0,1332 -0,3408 -0,4575 -0,4615 -0,3723 -0,2416 -0,1179 -0,0188 0,0649 0,1452 0,2196 0,2736 0,2954 0,2891 0,2781 0,2934 0,3545 0,4642 0,6126 0,7720 0,8984 0,9585 0,9511 0,8982 0,8219 0,7379 0,6613 0,6099 0,6064 0,6730 0,8165 1,0178 1,2324 1,4034 1,4841 1,4510 1,3049 1,0719 0,7968 0,5283 0,3109 0,1758 0,1303 0,1644 0,2718 0,4485 0,6675 0,8721 0,9982 0,9977 0,8452 0,5510 0,1791 -0,1692 -0,4057 -0,4971 -0,4687 -0,3744 -0,2652 -0,1702 -0,0931 -0,0273 0,0283 0,0751 0,1214 0,1667 0,1939 0,1911 0,1657 0,1310 0,0926 0,0525 0,0087 -0,0539 -0,1561 -0,3009 -0,4668 -0,6202 -0,7289 -0,7763 -0,7760 -0,7701 -0,8063 -0,9072 -1,0564 -1,2127 -1,3398 -1,4175 -1,4322 -1,3674 -1,2125 -0,9756 -0,6835 -0,3732 -0,0849 0,1483 0,3044 0,3686 0,3381 0,2371 0,1108 0,0021 -0,0587 -0,0480 0,0491 0,2237 0,4319 0,6020 0,6578 0,5445 0,2511 -0,1730 -0,6221 -0,9731 -1,1407 -1,1116 -0,9349 -0,6785 -0,3850 -0,0646 0,2850 0,6594 1,0456 1,4315 1,8064 2,1455 2,4064 2,5521 2,5794 2,5264 2,4516 2,4003 2,3880 2,4157 2,4899 2,6188 2,7962 2,9967 3,1839 3,3192 3,3668 3,3063 3,1495 2,9388 2,7293 2,5741 2,5113 2,5483 2,6555 2,7813 2,8779 2,9203 2,9125 2,8877 2,8949 2,9639 3,0936 3,2815 3,5346 3,8369 4,1377 4,3836 4,5539 4,6716 4,7817 4,9146 5,0698 5,2339 5,3936 5,5280 5,6089 5,6128 5,5177 5,3047 4,9878 4,6322 4,3283 4,1423 4,0868 4,1385 4,2743 4,4824 4,7415 5,0059 5,2219 5,3590 5,4193 5,4179 5,3609 5,2519 5,1111 4,9689 4,8319 4,6702 4,4576 4,2192 4,0331 3,9907 4,1470 4,4866 4,9281 5,3673 5,7226 5,9645 6,1158 6,2188 6,2951 6,3300 6,2962 6,1873 6,0279 5,8586 5,7119 5,5972 5,5056 5,4287 5,3734 5,3574 5,3858 5,4371 5,4691 5,4403 5,3382 5,1942 5,0586 4,9588 4,8914 4,8505 4,8471 4,8985 5,0056 5,1438 5,2731 5,3527 5,3556 5,2941 5,2255 5,2121 5,2752 5,3939 5,5390 5,6975 5,8686 6,0532 6,2570 6,4798 6,6880 6,8076 6,7557 6,4902 6,0452 5,5222 5,0325 4,6418 4,3648 4,2036 4,1751 4,3008 4,5789 4,9674 5,3892 5,7558 6,0012 6,1070 6,0972 6,0040 5,8466 5,6460 5,4507 5,3317 5,3419 5,4749 5,6631 5,8149 5,8597 5,7733 5,5691 5,2702 4,8984 4,4889 4,1001 3,7991 3,6314 3,6007 3,6681 3,7660 3,8259 3,8035 3,6794 3,4438 3,1039 2,7079 2,3342 2,0449 1,8480 1,7011 1,5494 1,3713 1,1936 1,0601 0,9932 0,9875 1,0283 1,0989 1,1685 1,1859 1,1056 0,9213 0,6695 0,4119 0,2138 0,1136 0,1050 0,1510 0,2109 0,2590 0,2856 0,2861 0,2468 0,1387 -0,0666 -0,3666 -0,7097 -1,0082 -1,1703 -1,1376 -0,9136 -0,5553 -0,1361 0,2847 0,6731 1,0213 1,3400 1,6426 1,9300 2,1924 2,4221 2,6200 2,7924 2,9462 3,0903 3,2391 3,3990 3,5545 3,6808 3,7672 3,8132 3,8088 3,7356 3,5856 3,3705 3,1113 2,8258 2,5253 2,2174 1,9134 1,6303 1,3758 1,1393 0,9025 0,6564 0,4109 0,1909 0,0198 -0,0929 -0,1540 -0,1823 -0,2061 -0,2562 -0,3475 -0,4674 -0,5895 -0,7027 -0,8249 -0,9872 -1,2080 -1,4830 -1,7893 -2,0904 -2,3481 -2,5409 -2,6721 -2,7551 -2,7940 -2,7775 -2,6864 -2,5076 -2,2474 -1,9334 -1,6055 -1,2993 -1,0303 -0,8006 -0,6148
