Fp1   -1,7890 -1,5607 -1,3923 -1,2752 -1,1788 -1,0603 -0,8884 -0,6620 -0,4100 -0,1719 0,0255 0,1776 0,2980 0,4057 0,5157 0,6380 0,7778 0,9309 1,0788 1,1899 1,2296 1,1797 1,0501 0,8735 0,6858 0,5017 0,3047 0,0666 -0,2214 -0,5309 -0,8068 -0,9995 -1,0925 -1,1005 -1,0416 -0,9148 -0,7129 -0,4506 -0,1688 0,0886 0,2974 0,4574 0,5799 0,6751 0,7505 0,8084 0,8354 0,8036 0,6927 0,5097 0,2832 0,0444 -0,1848 -0,3915 -0,5673 -0,7062 -0,8023 -0,8488 -0,8413 -0,7873 -0,7099 -0,6322 -0,5585 -0,4754 -0,3682 -0,2294 -0,0601 0,1323 0,3420 0,5705 0,8135 1,0465 1,2340 1,3519 1,3964 1,3807 1,3305 1,2774 1,2479 1,2495 1,2734 1,3128 1,3756 1,4796 1,6372 1,8395 2,0544 2,2450 2,3925 2,4938 2,5455 2,5434 2,4964 2,4286 2,3602 2,2912 2,2097 2,1079 1,9814 1,8177 1,5971 1,3073 0,9516 0,5409 0,0872 -0,3957 -0,8959 -1,4125 -1,9541 -2,5293 -3,1413 -3,7878 -4,4610 -5,1422 -5,7956 -6,3733 -6,8293 -7,1351 -7,2912 -7,3174 -7,2282 -7,0208 -6,6808 -6,1941 -5,5594 -4,7893 -3,9012 -2,9160 -1,8621 -0,7771 0,2917 1,2921 2,1879 2,9716 3,6461 4,2052 4,6445 4,9817 5,2558 5,5100 5,7714 6,0370 6,2774 6,4648 6,5963 6,6869 6,7446 6,7624 6,7281 6,6358 6,4891 6,3021 6,0966 5,8926 5,7024 5,5330 5,3867 5,2553 5,1154 4,9343 4,6876 4,3729 4,0041 3,5981 3,1737 2,7601 2,4004 2,1330 1,9648 1,8678 1,8037 1,7451 1,6791 1,6075 1,5426 1,4930 1,4546 1,4236 1,4083 1,4201 1,4603 1,5219 1,6001 1,6935 1,7976 1,8999 1,9784 2,0079 1,9748 1,8866 1,7644 1,6318 1,5105 1,4187 1,3636 1,3359 1,3194 1,3034 1,2778 1,2169 1,0853 0,8697 0,5951 0,3078 0,0460 -0,1766 -0,3712 -0,5625 -0,7756 -1,0264 -1,3204 -1,6556 -2,0219 -2,3983 -2,7570 -3,0738 -3,3339 -3,5311 -3,6680 -3,7578 -3,8187 -3,8637 -3,8981 -3,9316 -3,9853 -4,0868 -4,2539 -4,4768 -4,7153 -4,9227 -5,0735 -5,1680 -5,2155 -5,2172 -5,1648 -5,0552 -4,9023 -4,7312 -4,5662 -4,4261 -4,3198 -4,2435 -4,1837 -4,1198 -4,0241 -3,8694 -3,6436 -3,3530 -3,0125 -2,6412 -2,2694 -1,9389 -1,6889 -1,5466 -1,5239 -1,6083 -1,7577 -1,9199 -2,0599 -2,1680 -2,2553 -2,3387 -2,4228 -2,4966 -2,5478 -2,5803 -2,6124 -2,6515 -2,6760 -2,6512 -2,5601 -2,4137 -2,2378 -2,0600 -1,9029 -1,7764 -1,6785 -1,6083 -1,5707 -1,5638 -1,5758 -1,5944 -1,6086 -1,5964 -1,5255 -1,3777 -1,1662 -0,9282 -0,7075 -0,5430 -0,4619 -0,4727 -0,5624 -0,6986 -0,8386 -0,9460 -1,0028 -1,0096 -0,9741 -0,8961 -0,7674 -0,5869 -0,3686 -0,1386 0,0761 0,2653 0,4470 0,6483 0,8751 1,1039 1,3008 1,4393 1,5081 1,5158 1,4917 1,4759 1,5017 1,5792 1,6891 1,7919 1,8446 1,8129 1,6797 1,4528 1,1667 0,8723 0,6203 0,4447 0,3462 0,2917 0,2360 0,1506 0,0395 -0,0700 -0,1505 -0,1905 -0,1951 -0,1788 -0,1505 -0,1003 -0,0096 0,1277 0,2950 0,4673 0,6301 0,7829 0,9270 1,0591 1,1801 1,3024 1,4425 1,6075 1,7919 1,9821 2,1555 2,2871 2,3705 2,4250 2,4753 2,5283 2,5670 2,5681 2,5277 2,4678 2,4181 2,3974 2,4065 2,4326 2,4634 2,5020 2,5635 2,6604 2,7947 2,9555 3,1261 3,2962 3,4669 3,6424 3,8226 4,0008 4,1636 4,2902 4,3528 4,3249 4,1972 3,9837 3,7138 3,4261 3,1660 2,9758 2,8758 2,8527 2,8689 2,8880 2,8927 2,8817 2,8591 2,8341 2,8280 2,8675 2,9674 3,1181 3,2865 3,4274 3,5020 3,4877 3,3819 3,2083 3,0166 2,8633 2,7852 2,7848 2,8369 2,9119 2,9930 3,0784 3,1739 3,2834 3,3975 3,4960 3,5596 3,5741 3,5269 3,4155 3,2584 3,0861 2,9203 2,7678 2,6252 2,4842 2,3405 2,2005 2,0751 1,9691 1,8876 1,8506 1,8873 2,0111 2,2036 2,4281 2,6547 2,8647 3,0323 3,1192 3,0918 2,9418 2,6895 2,3687 2,0093 1,6346 1,2712 0,9479 0,6782 0,4546 0,2668 0,1179 0,0253 0,0117 0,0913 0,2590 0,4958 0,7790 1,0832 1,3835 1,6659 1,9332 2,2035 2,4951 2,8022 3,0878 3,2972 3,3742 3,2766 2,9957 2,5643 2,0450 1,5114 1,0331 0,6656 0,4358 0,3288 0,2966 0,2929 0,2983 0,3126 0,3357 0,3626 0,3890 0,4211 0,4730 0,5507 0,6445 0,7387 0,8193 0,8742 0,8937 0,8768 0,8343 0,7865 0,7490 0,7188 0,6742 0,5938 0,4746 0,3311 0,1839 0,0513 -0,0527 -0,1196 -0,1464 -0,1330 -0,0766 0,0259 0,1683 0,3300 0,4882 0,6393 0,7941 0,9524 1,0895 1,1691 1,1713 1,1151 1,0435 0,9890 0,9596 0,9490 0,9487 0,9572 0,9861 1,0543 1,1706 1,3231 1,4928 1,6732 1,8644 2,0553 2,2246 2,3546 2,4375 2,4735 2,4720 2,4477 2,4122 2,3684 2,3065 2,2057 2,0435 1,8095 1,5093 1,1642 0,8129 0,5048 0,2748 0,1144 -0,0237 -0,1883 -0,4020 -0,6595 -0,9430 -1,2350 -1,5219 -1,7894 -2,0245 -2,2192 -2,3700 -2,4775 -2,5489 -2,5918 -2,6035 -2,5761 -2,5181 -2,4620 -2,4423 -2,4706 -2,5366 -2,6312 -2,7641 -2,9575 -3,2292 -3,5822 -4,0088 -4,4988 -5,0408 -5,6096 -6,1523 -6,5952 -6,8748 -6,9657 -6,8880 -6,6971 -6,4638 -6,2549 -6,1195 -6,0765 -6,1119 -6,1873 -6,2587 -6,3022 -6,3278
Fz    -0,9102 -0,5727 -0,2942 -0,0693 0,1237 0,3110 0,5080 0,7160 0,9304 1,1470 1,3613 1,5645 1,7415 1,8768 1,9598 1,9889 1,9707 1,9134 1,8175 1,6679 1,4397 1,1176 0,7164 0,2781 -0,1510 -0,5414 -0,8841 -1,1791 -1,4226 -1,6019 -1,6983 -1,7014 -1,6214 -1,4861 -1,3214 -1,1372 -0,9334 -0,7160 -0,5035 -0,3187 -0,1797 -0,0980 -0,0843 -0,1487 -0,2928 -0,5051 -0,7659 -1,0541 -1,3460 -1,6114 -1,8162 -1,9325 -1,9459 -1,8576 -1,6826 -1,4448 -1,1707 -0,8892 -0,6341 -0,4466 -0,3679 -0,4200 -0,5865 -0,8140 -1,0348 -1,1901 -1,2432 -1,1833 -1,0195 -0,7689 -0,4488 -0,0783 0,3181 0,7084 1,0555 1,3267 1,5045 1,5919 1,6075 1,5747 1,5180 1,4664 1,4484 1,4805 1,5555 1,6421 1,6949 1,6778 1,5815 1,4209 1,2179 0,9924 0,7659 0,5640 0,4079 0,3054 0,2546 0,2512 0,2878 0,3484 0,4055 0,4173 0,3309 0,0976 -0,3079 -0,8778 -1,5797 -2,3699 -3,2050 -4,0514 -4,8899 -5,7075 -6,4863 -7,1994 -7,8101 -8,2783 -8,5704 -8,6669 -8,5609 -8,2530 -7,7465 -7,0498 -6,1830 -5,1801 -4,0841 -2,9412 -1,7943 -0,6810 0,3662 1,3186 2,1522 2,8559 3,4441 3,9551 4,4294 4,8898 5,3420 5,7883 6,2311 6,6647 7,0662 7,3970 7,6157 7,6952 7,6338 7,4519 7,1780 6,8392 6,4626 6,0777 5,7150 5,3984 5,1353 4,9130 4,7080 4,5038 4,2953 4,0828 3,8673 3,6532 3,4556 3,2968 3,1853 3,0968 2,9810 2,7950 2,5353 2,2407 1,9694 1,7735 1,6862 1,7162 1,8444 2,0347 2,2484 2,4474 2,5963 2,6743 2,6850 2,6476 2,5823 2,5064 2,4383 2,3938 2,3777 2,3815 2,3871 2,3685 2,3000 2,1699 1,9900 1,7943 1,6249 1,5126 1,4617 1,4512 1,4487 1,4246 1,3553 1,2141 0,9700 0,6072 0,1433 -0,3762 -0,8975 -1,3748 -1,7787 -2,1017 -2,3569 -2,5672 -2,7537 -2,9295 -3,0973 -3,2559 -3,4087 -3,5658 -3,7390 -3,9402 -4,1797 -4,4651 -4,7969 -5,1622 -5,5375 -5,9001 -6,2338 -6,5270 -6,7691 -6,9449 -7,0322 -7,0103 -6,8756 -6,6453 -6,3486 -6,0165 -5,6774 -5,3534 -5,0552 -4,7777 -4,5012 -4,2025 -3,8644 -3,4801 -3,0558 -2,6138 -2,1841 -1,7921 -1,4575 -1,1979 -1,0199 -0,9095 -0,8400 -0,7908 -0,7593 -0,7597 -0,8110 -0,9167 -1,0586 -1,2117 -1,3592 -1,4946 -1,6156 -1,7155 -1,7806 -1,7987 -1,7662 -1,6868 -1,5669 -1,4095 -1,2095 -0,9610 -0,6740 -0,3789 -0,1135 0,0919 0,2218 0,2770 0,2672 0,2029 0,0978 -0,0258 -0,1399 -0,2175 -0,2347 -0,1730 -0,0273 0,1859 0,4285 0,6519 0,8110 0,8731 0,8233 0,6699 0,4426 0,1813 -0,0747 -0,2937 -0,4513 -0,5303 -0,5196 -0,4084 -0,1856 0,1490 0,5725 1,0371 1,4824 1,8625 2,1652 2,4018 2,5804 2,6955 2,7371 2,7020 2,5983 2,4484 2,2829 2,1262 1,9881 1,8699 1,7732 1,6997 1,6462 1,6069 1,5801 1,5713 1,5875 1,6244 1,6633 1,6806 1,6582 1,5867 1,4682 1,3218 1,1806 1,0812 1,0517 1,1068 1,2475 1,4633 1,7429 2,0805 2,4684 2,8872 3,3101 3,7153 4,0983 4,4678 4,8284 5,1726 5,4906 5,7819 6,0540 6,3151 6,5671 6,8007 6,9937 7,1184 7,1570 7,1094 6,9862 6,7986 6,5582 6,2831 6,0000 5,7360 5,5104 5,3386 5,2382 5,2311 5,3373 5,5642 5,8919 6,2737 6,6552 6,9943 7,2669 7,4683 7,6120 7,7209 7,8155 7,9049 7,9829 8,0325 8,0332 7,9695 7,8383 7,6485 7,4133 7,1484 6,8779 6,6351 6,4478 6,3195 6,2296 6,1546 6,0882 6,0430 6,0408 6,1002 6,2296 6,4254 6,6706 6,9387 7,1998 7,4293 7,6109 7,7337 7,7917 7,7897 7,7502 7,7080 7,6973 7,7394 7,8361 7,9721 8,1262 8,2808 8,4202 8,5276 8,5912 8,6105 8,5922 8,5399 8,4514 8,3251 8,1642 7,9743 7,7585 7,5165 7,2485 6,9568 6,6443 6,3180 5,9927 5,6884 5,4268 5,2330 5,1307 5,1290 5,2166 5,3662 5,5424 5,7076 5,8238 5,8572 5,7886 5,6211 5,3763 5,0819 4,7618 4,4351 4,1183 3,8245 3,5558 3,3033 3,0623 2,8429 2,6635 2,5408 2,4848 2,4989 2,5852 2,7470 2,9840 3,2924 3,6672 4,0986 4,5687 5,0517 5,5101 5,8931 6,1459 6,2264 6,1229 5,8620 5,4992 5,1013 4,7332 4,4543 4,3140 4,3370 4,5121 4,7980 5,1439 5,5014 5,8255 6,0769 6,2278 6,2686 6,2144 6,1057 5,9961 5,9393 5,9782 6,1314 6,3821 6,6794 6,9549 7,1439 7,1999 7,0970 6,8252 6,3855 5,7926 5,0794 4,2973 3,5120 2,7968 2,2188 1,8203 1,6087 1,5645 1,6546 1,8371 2,0614 2,2756 2,4412 2,5399 2,5647 2,5059 2,3495 2,0868 1,7286 1,3124 0,8925 0,5199 0,2306 0,0433 -0,0403 -0,0283 0,0736 0,2657 0,5427 0,8877 1,2803 1,7071 2,1569 2,6099 3,0353 3,3966 3,6601 3,8087 3,8563 3,8433 3,8159 3,8061 3,8223 3,8515 3,8730 3,8722 3,8440 3,7897 3,7188 3,6488 3,5921 3,5397 3,4660 3,3501 3,1879 2,9861 2,7509 2,4825 2,1838 1,8711 1,5716 1,3088 1,0910 0,9064 0,7277 0,5284 0,3002 0,0534 -0,2005 -0,4556 -0,7026 -0,9241 -1,1043 -1,2472 -1,3830 -1,5524 -1,7846 -2,0913 -2,4762 -2,9460 -3,5048 -4,1414 -4,8194 -5,4815 -6,0680 -6,5387 -6,8860 -7,1366 -7,3378 -7,5361 -7,7594 -8,0102 -8,2684 -8,5001 -8,6701 -8,7593 -8,7725
F3    -1,2338 -0,8914 -0,6081 -0,3689 -0,1347 0,1375 0,4683 0,8450 1,2335 1,6004 1,9298 2,2170 2,4495 2,6016 2,6467 2,5714 2,3823 2,1000 1,7495 1,3507 0,9148 0,4494 -0,0336 -0,5089 -0,9373 -1,2772 -1,5032 -1,6171 -1,6400 -1,5883 -1,4582 -1,2400 -0,9444 -0,6070 -0,2672 0,0485 0,3192 0,5128 0,5899 0,5283 0,3378 0,0513 -0,2980 -0,6902 -1,1129 -1,5456 -1,9555 -2,3076 -2,5680 -2,6980 -2,6563 -2,4233 -2,0198 -1,4986 -0,9188 -0,3256 0,2480 0,7652 1,1793 1,4449 1,5340 1,4448 1,2059 0,8740 0,5229 0,2239 0,0299 -0,0314 0,0464 0,2487 0,5399 0,8716 1,1983 1,4870 1,7127 1,8511 1,8876 1,8305 1,7058 1,5402 1,3632 1,2194 1,1574 1,1985 1,3143 1,4365 1,4949 1,4577 1,3438 1,2005 1,0672 0,9581 0,8738 0,8164 0,7886 0,7857 0,7949 0,8045 0,8128 0,8257 0,8381 0,8125 0,6814 0,3817 -0,1069 -0,7539 -1,5036 -2,3085 -3,1433 -4,0005 -4,8812 -5,7864 -6,7064 -7,6055 -8,4112 -9,0248 -9,3511 -9,3311 -8,9613 -8,2852 -7,3706 -6,2915 -5,1182 -3,9105 -2,7170 -1,5753 -0,5097 0,4696 1,3642 2,1830 2,9325 3,6127 4,2272 4,7937 5,3339 5,8540 6,3451 6,8012 7,2295 7,6435 8,0459 8,4227 8,7484 8,9906 9,1125 9,0828 8,8885 8,5475 8,1112 7,6496 7,2234 6,8638 6,5712 6,3231 6,0873 5,8396 5,5761 5,3087 5,0508 4,8170 4,6339 4,5351 4,5327 4,5929 4,6427 4,6051 4,4375 4,1494 3,7889 3,4154 3,0828 2,8286 2,6610 2,5590 2,4893 2,4201 2,3261 2,1989 2,0506 1,8977 1,7416 1,5720 1,3877 1,2091 1,0692 0,9921 0,9767 0,9952 1,0077 0,9850 0,9267 0,8674 0,8641 0,9684 1,1940 1,5054 1,8332 2,1036 2,2595 2,2643 2,0985 1,7598 1,2668 0,6606 -0,0033 -0,6645 -1,2643 -1,7590 -2,1330 -2,3964 -2,5716 -2,6801 -2,7327 -2,7305 -2,6817 -2,6137 -2,5665 -2,5771 -2,6718 -2,8677 -3,1683 -3,5518 -3,9758 -4,4005 -4,8055 -5,1862 -5,5347 -5,8233 -6,0038 -6,0281 -5,8774 -5,5753 -5,1759 -4,7439 -4,3372 -3,9927 -3,7145 -3,4716 -3,2126 -2,8933 -2,4980 -2,0448 -1,5783 -1,1542 -0,8159 -0,5768 -0,4264 -0,3478 -0,3263 -0,3500 -0,4115 -0,5077 -0,6330 -0,7759 -0,9239 -1,0688 -1,2085 -1,3408 -1,4542 -1,5287 -1,5450 -1,4874 -1,3427 -1,1057 -0,7842 -0,3993 0,0189 0,4408 0,8497 1,2419 1,6101 1,9316 2,1776 2,3258 2,3651 2,3002 2,1539 1,9617 1,7690 1,6287 1,5820 1,6405 1,7934 2,0232 2,3119 2,6369 2,9692 3,2732 3,5061 3,6222 3,5892 3,4077 3,1097 2,7363 2,3239 1,9109 1,5471 1,2882 1,1801 1,2485 1,4924 1,8738 2,3209 2,7493 3,0902 3,3107 3,4191 3,4511 3,4457 3,4238 3,3824 3,3033 3,1695 2,9835 2,7691 2,5510 2,3433 2,1570 2,0057 1,9015 1,8502 1,8541 1,9145 2,0273 2,1798 2,3483 2,4972 2,5880 2,5959 2,5187 2,3753 2,1975 2,0250 1,9002 1,8630 1,9445 2,1599 2,4984 2,9251 3,3940 3,8530 4,2467 4,5335 4,7094 4,8193 4,9404 5,1419 5,4538 5,8666 6,3465 6,8551 7,3625 7,8446 8,2711 8,6036 8,8080 8,8663 8,7797 8,5587 8,2134 7,7625 7,2506 6,7446 6,3101 5,9923 5,8135 5,7806 5,8901 6,1293 6,4747 6,8886 7,3229 7,7313 8,0815 8,3524 8,5261 8,5881 8,5346 8,3784 8,1429 7,8520 7,5282 7,1972 6,8883 6,6280 6,4286 6,2834 6,1774 6,1023 6,0635 6,0686 6,1087 6,1526 6,1624 6,1155 6,0141 5,8791 5,7364 5,6080 5,5088 5,4478 5,4273 5,4428 5,4854 5,5477 5,6257 5,7128 5,7944 5,8542 5,8899 5,9185 5,9648 6,0455 6,1610 6,2991 6,4457 6,5892 6,7162 6,8115 6,8620 6,8552 6,7774 6,6218 6,3983 6,1314 5,8489 5,5714 5,3108 5,0767 4,8753 4,7029 4,5490 4,4130 4,3065 4,2437 4,2386 4,3066 4,4582 4,6908 4,9841 5,2994 5,5853 5,7887 5,8681 5,8035 5,6033 5,3056 4,9596 4,5998 4,2391 3,8851 3,5508 3,2443 2,9625 2,7066 2,4933 2,3448 2,2737 2,2767 2,3372 2,4355 2,5604 2,7173 2,9284 3,2171 3,5868 4,0152 4,4690 4,9138 5,3145 5,6333 5,8336 5,8878 5,7827 5,5275 5,1614 4,7559 4,4043 4,1937 4,1735 4,3350 4,6178 4,9395 5,2271 5,4289 5,5109 5,4548 5,2661 4,9822 4,6673 4,3913 4,2139 4,1802 4,3118 4,5915 4,9646 5,3598 5,7131 5,9763 6,1126 6,0882 5,8769 5,4736 4,8997 4,1981 3,4319 2,6864 2,0538 1,5989 1,3393 1,2632 1,3528 1,5808 1,8919 2,2067 2,4535 2,5936 2,6185 2,5291 2,3259 2,0139 1,6131 1,1699 0,7538 0,4340 0,2540 0,2195 0,3095 0,5030 0,7960 1,1885 1,6621 2,1761 2,6797 3,1270 3,4893 3,7607 3,9543 4,0901 4,1797 4,2229 4,2159 4,1559 4,0381 3,8584 3,6203 3,3365 3,0260 2,7170 2,4491 2,2583 2,1568 2,1293 2,1414 2,1517 2,1247 2,0398 1,8970 1,7109 1,4981 1,2663 1,0140 0,7384 0,4444 0,1494 -0,1196 -0,3369 -0,4908 -0,5836 -0,6220 -0,6151 -0,5816 -0,5464 -0,5314 -0,5509 -0,6139 -0,7291 -0,9056 -1,1469 -1,4455 -1,7892 -2,1745 -2,6104 -3,1108 -3,6846 -4,3278 -5,0131 -5,6897 -6,3030 -6,8188 -7,2328 -7,5619 -7,8249 -8,0254 -8,1470 -8,1632 -8,0576 -7,8428 -7,5686 -7,3066
F7    -1,8398 -1,7272 -1,6174 -1,4871 -1,3040 -1,0461 -0,7237 -0,3794 -0,0647 0,1838 0,3540 0,4557 0,5105 0,5410 0,5719 0,6373 0,7691 0,9710 1,2058 1,4065 1,5047 1,4629 1,2921 1,0414 0,7687 0,5105 0,2714 0,0379 -0,2013 -0,4347 -0,6223 -0,7213 -0,7274 -0,6816 -0,6297 -0,5846 -0,5307 -0,4540 -0,3591 -0,2593 -0,1582 -0,0470 0,0793 0,2088 0,3193 0,3904 0,4060 0,3561 0,2448 0,0997 -0,0387 -0,1412 -0,2031 -0,2394 -0,2691 -0,2996 -0,3219 -0,3237 -0,3067 -0,2893 -0,2915 -0,3156 -0,3437 -0,3516 -0,3229 -0,2480 -0,1224 0,0477 0,2482 0,4637 0,6749 0,8568 0,9919 1,0805 1,1309 1,1448 1,1240 1,0838 1,0462 1,0171 0,9826 0,9298 0,8644 0,8076 0,7760 0,7680 0,7731 0,7967 0,8639 0,9929 1,1702 1,3557 1,5098 1,6133 1,6638 1,6650 1,6233 1,5535 1,4765 1,4075 1,3412 1,2501 1,0947 0,8389 0,4618 -0,0352 -0,6314 -1,2954 -1,9916 -2,6825 -3,3331 -3,9237 -4,4592 -4,9564 -5,4175 -5,8211 -6,1317 -6,3196 -6,3816 -6,3376 -6,2023 -5,9671 -5,6104 -5,1199 -4,5072 -3,8008 -3,0226 -2,1805 -1,2818 -0,3502 0,5700 1,4246 2,1728 2,8045 3,3304 3,7600 4,1018 4,3795 4,6311 4,8876 5,1591 5,4353 5,6952 5,9241 6,1242 6,3051 6,4690 6,6107 6,7218 6,7856 6,7733 6,6611 6,4511 6,1675 5,8396 5,4931 5,1517 4,8314 4,5299 4,2285 3,9116 3,5881 3,2844 3,0179 2,7868 2,5834 2,4097 2,2764 2,1891 2,1411 2,1213 2,1181 2,1151 2,0928 2,0348 1,9259 1,7497 1,5009 1,2045 0,9141 0,6848 0,5462 0,4936 0,5023 0,5478 0,6142 0,6902 0,7641 0,8305 0,8971 0,9799 1,0905 1,2319 1,3995 1,5741 1,7139 1,7694 1,7143 1,5582 1,3269 1,0430 0,7319 0,4338 0,1927 0,0262 -0,0873 -0,1914 -0,3311 -0,5356 -0,8066 -1,1253 -1,4704 -1,8165 -2,1232 -2,3489 -2,4808 -2,5426 -2,5727 -2,6020 -2,6444 -2,6982 -2,7536 -2,8054 -2,8647 -2,9551 -3,0971 -3,2922 -3,5136 -3,7148 -3,8578 -3,9360 -3,9697 -3,9838 -3,9908 -3,9907 -3,9800 -3,9576 -3,9227 -3,8711 -3,7949 -3,6879 -3,5507 -3,3896 -3,2083 -3,0034 -2,7707 -2,5170 -2,2624 -2,0317 -1,8490 -1,7351 -1,7034 -1,7581 -1,8940 -2,0906 -2,3064 -2,4887 -2,5976 -2,6202 -2,5648 -2,4513 -2,3018 -2,1306 -1,9429 -1,7424 -1,5401 -1,3538 -1,1944 -1,0531 -0,9118 -0,7657 -0,6331 -0,5399 -0,5003 -0,5089 -0,5470 -0,5993 -0,6624 -0,7303 -0,7788 -0,7769 -0,7131 -0,6008 -0,4590 -0,2952 -0,1036 0,1240 0,3860 0,6600 0,8977 1,0396 1,0440 0,9107 0,6851 0,4359 0,2199 0,0638 -0,0286 -0,0608 -0,0309 0,0664 0,2289 0,4374 0,6584 0,8540 1,0036 1,1204 1,2375 1,3724 1,5085 1,6030 1,6114 1,5148 1,3395 1,1486 1,0121 0,9767 1,0495 1,1958 1,3541 1,4643 1,4929 1,4429 1,3464 1,2515 1,2013 1,2067 1,2361 1,2317 1,1420 0,9468 0,6671 0,3578 0,0862 -0,0948 -0,1616 -0,1202 0,0015 0,1737 0,3845 0,6322 0,9020 1,1599 1,3705 1,5148 1,5946 1,6226 1,6156 1,5908 1,5559 1,5106 1,4619 1,4346 1,4574 1,5463 1,7023 1,9196 2,1858 2,4780 2,7594 2,9811 3,0978 3,0922 2,9818 2,8055 2,6094 2,4341 2,3060 2,2377 2,2339 2,2926 2,4015 2,5365 2,6682 2,7752 2,8536 2,9143 2,9749 3,0529 3,1589 3,2862 3,4083 3,4899 3,5060 3,4521 3,3324 3,1459 2,8998 2,6264 2,3757 2,1910 2,0858 2,0420 2,0322 2,0394 2,0542 2,0638 2,0544 2,0243 1,9890 1,9722 1,9883 2,0247 2,0438 2,0077 1,8961 1,7103 1,4731 1,2274 1,0267 0,9149 0,9042 0,9726 1,0825 1,2044 1,3272 1,4513 1,5750 1,6904 1,7866 1,8518 1,8731 1,8385 1,7447 1,6050 1,4430 1,2757 1,1036 0,9204 0,7244 0,5211 0,3208 0,1378 -0,0128 -0,1101 -0,1221 -0,0153 0,2230 0,5709 0,9793 1,3919 1,7590 2,0421 2,2169 2,2741 2,2168 2,0544 1,7991 1,4660 1,0764 0,6621 0,2589 -0,1109 -0,4420 -0,7276 -0,9444 -1,0564 -1,0329 -0,8659 -0,5776 -0,2135 0,1726 0,5351 0,8513 1,1257 1,3792 1,6318 1,8890 2,1360 2,3421 2,4682 2,4722 2,3186 1,9969 1,5352 0,9962 0,4616 0,0163 -0,2724 -0,3842 -0,3592 -0,2719 -0,1829 -0,1197 -0,0950 -0,1257 -0,2267 -0,3953 -0,5994 -0,7830 -0,8957 -0,9192 -0,8657 -0,7633 -0,6426 -0,5262 -0,4223 -0,3295 -0,2422 -0,1552 -0,0714 -0,0102 0,0015 -0,0520 -0,1656 -0,3223 -0,5043 -0,6966 -0,8872 -1,0657 -1,2143 -1,3066 -1,3202 -1,2547 -1,1341 -0,9906 -0,8455 -0,7051 -0,5698 -0,4456 -0,3463 -0,2772 -0,2173 -0,1327 -0,0075 0,1451 0,2963 0,4199 0,5108 0,5927 0,6986 0,8409 1,0035 1,1626 1,3058 1,4296 1,5251 1,5816 1,6037 1,6070 1,6035 1,5960 1,5745 1,5144 1,3864 1,1767 0,8972 0,5789 0,2624 -0,0148 -0,2344 -0,4020 -0,5359 -0,6577 -0,7928 -0,9679 -1,1971 -1,4766 -1,7948 -2,1434 -2,5159 -2,8984 -3,2624 -3,5718 -3,7970 -3,9255 -3,9653 -3,9398 -3,8734 -3,7772 -3,6527 -3,5132 -3,3898 -3,3121 -3,2836 -3,2879 -3,3176 -3,3919 -3,5411 -3,7797 -4,1024 -4,5021 -4,9835 -5,5492 -6,1747 -6,7947 -7,3147 -7,6469 -7,7488 -7,6447 -7,4170 -7,1639 -6,9546 -6,8152 -6,7399 -6,7064 -6,6898 -6,6730 -6,6579 -6,6668
