Fp1   1,7353 1,6872 1,6182 1,5812 1,6262 1,7520 1,9085 2,0400 2,1174 2,1414 2,1301 2,1114 2,1103 2,1286 2,1535 2,1873 2,2320 2,2537 2,1910 1,9766 1,5605 0,9611 0,2825 -0,3521 -0,8791 -1,3096 -1,6881 -2,0432 -2,3641 -2,6030 -2,6959 -2,6031 -2,3408 -1,9743 -1,5877 -1,2545 -1,0163 -0,8724 -0,7911 -0,7442 -0,7306 -0,7669 -0,8703 -1,0492 -1,2991 -1,6011 -1,9237 -2,2200 -2,4246 -2,4811 -2,3929 -2,2233 -2,0404 -1,8819 -1,7575 -1,6578 -1,5553 -1,4147 -1,2273 -1,0411 -0,9345 -0,9531 -1,0725 -1,2008 -1,2237 -1,0731 -0,7537 -0,3143 0,1866 0,6894 1,1141 1,3510 1,3044 0,9441 0,3186 -0,4630 -1,2655 -1,9693 -2,5041 -2,8646 -3,0941 -3,2283 -3,2573 -3,1688 -3,0028 -2,8299 -2,7075 -2,6636 -2,6901 -2,7492 -2,8061 -2,8553 -2,9111 -2,9875 -3,0890 -3,2168 -3,3879 -3,6410 -4,0055 -4,4701 -4,9871 -5,4973 -5,9626 -6,3939 -6,8444 -7,3648 -7,9564 -8,5627 -9,1107 -9,5642 -9,9337 -10,2400 -10,4951 -10,7167 -10,9217 -11,1076 -11,2643 -11,3948 -11,5117 -11,6157 -11,6776 -11,6385 -11,4398 -11,0519 -10,4693 -9,7064 -8,8123 -7,8668 -6,9435 -6,0858 -5,3197 -4,6701 -4,1523 -3,7489 -3,4046 -3,0644 -2,7195 -2,4042 -2,1613 -2,0077 -1,9107 -1,7948 -1,5904 -1,2863 -0,9373 -0,6268 -0,4173 -0,3193 -0,2918 -0,2597 -0,1542 0,0469 0,3238 0,6327 0,8997 1,0309 0,9599 0,6826 0,2471 -0,2862 -0,8714 -1,4787 -2,0859 -2,6561 -3,1163 -3,3737 -3,3712 -3,1326 -2,7536 -2,3542 -2,0335 -1,8347 -1,7352 -1,6778 -1,6148 -1,5325 -1,4489 -1,3908 -1,3749 -1,4048 -1,4798 -1,6110 -1,8177 -2,1075 -2,4625 -2,8409 -3,1889 -3,4555 -3,5970 -3,5721 -3,3518 -2,9534 -2,4508 -1,9333 -1,4685 -1,0977 -0,8292 -0,6362 -0,4862 -0,3722 -0,3148 -0,3457 -0,4864 -0,7247 -1,0272 -1,3823 -1,7923 -2,2365 -2,6834 -3,1244 -3,5573 -3,9361 -4,1731 -4,2083 -4,0639 -3,8308 -3,6244 -3,5414 -3,6232 -3,8499 -4,1662 -4,5216 -4,8948 -5,2668 -5,5872 -5,8043 -5,9209 -5,9890 -6,0561 -6,1328 -6,1936 -6,1940 -6,1038 -5,9292 -5,6919 -5,4212 -5,1830 -5,0554 -5,0561 -5,1366 -5,2417 -5,3393 -5,4194 -5,5039 -5,6443 -5,8636 -6,1203 -6,3611 -6,5727 -6,7611 -6,9283 -7,0820 -7,2353 -7,3961 -7,5646 -7,7187 -7,8086 -7,8007 -7,7193 -7,6257 -7,5676 -7,5569 -7,5808 -7,6285 -7,7061 -7,8303 -8,0196 -8,2843 -8,6098 -8,9443 -9,2116 -9,3473 -9,3290 -9,1837 -8,9553 -8,6483 -8,2234 -7,6742 -7,0629 -6,4582 -5,8932 -5,3967 -5,0203 -4,8182 -4,7989 -4,8892 -4,9729 -4,9848 -4,9499 -4,9302 -4,9627 -5,0479 -5,1602 -5,2431 -5,2323 -5,1179 -4,9692 -4,8804 -4,9042 -5,0349 -5,2251 -5,4123 -5,5567 -5,6616 -5,7561 -5,8524 -5,9276 -5,9494 -5,9003 -5,7755 -5,5779 -5,3143 -4,9977 -4,6562 -4,3267 -4,0326 -3,7704 -3,5207 -3,2642 -2,9950 -2,7483 -2,6106 -2,6735 -2,9659 -3,4245 -3,9271 -4,3542 -4,6291 -4,7279 -4,6720 -4,4939 -4,2040 -3,8047 -3,3337 -2,8672 -2,4747 -2,1942 -2,0435 -2,0222 -2,1155 -2,3135 -2,5994 -2,9138 -3,1631 -3,2755 -3,2373 -3,0788 -2,8446 -2,5856 -2,3523 -2,1691 -2,0157 -1,8560 -1,6678 -1,4307 -1,1139 -0,6927 -0,1740 0,3886 0,9052 1,2983 1,5539 1,7285 1,8971 2,0753 2,2032 2,2193 2,1227 1,9611 1,7925 1,6625 1,6026 1,6327 1,7517 1,9339 2,1356 2,3057 2,4035 2,4252 2,4122 2,4265 2,5077 2,6450 2,7895 2,8892 2,9156 2,8783 2,8316 2,8568 3,0119 3,2909 3,6306 3,9391 4,1288 4,1599 4,0609 3,9030 3,7550 3,6584 3,6228 3,6302 3,6458 3,6299 3,5484 3,3723 3,0779 2,6585 2,1448 1,6111 1,1449 0,7979 0,5794 0,4914 0,5422 0,7249 0,9986 1,2926 1,5384 1,7173 1,8724 2,0727 2,3783 2,8152 3,3485 3,8822 4,3039 4,5397 4,5827 4,4694 4,2409 3,9492 3,6723 3,4843 3,4128 3,4305 3,4866 3,5442 3,5907 3,6101 3,5605 3,3871 3,0561 2,5832 2,0362 1,5009 1,0408 0,6915 0,4877 0,4854 0,7436 1,2816 2,0549 2,9643 3,8850 4,7015 5,3435 5,8071 6,1364 6,3766 6,5322 6,5601 6,4162 6,1098 5,6983 5,2435 4,7978 4,3980 4,0411 3,6907 3,3265 2,9610 2,6145 2,3065 2,0609 1,8919 1,7949 1,7545 1,7391 1,7015 1,6162 1,5106 1,4358 1,4109 1,4089 1,3947 1,3551 1,2879 1,1842 1,0312 0,8206 0,5581 0,2628 -0,0535 -0,3977 -0,7808 -1,1937 -1,5987 -1,9490 -2,2232 -2,4371 -2,6167 -2,7717 -2,8977 -2,9879 -3,0419 -3,0741 -3,1029 -3,1236 -3,1095 -3,0418 -2,9278 -2,7936 -2,6626 -2,5312 -2,3669 -2,1332 -1,8173 -1,4460 -1,0779 -0,7735 -0,5727 -0,4866 -0,5001 -0,5854 -0,7112 -0,8419 -0,9417 -0,9860 -0,9732 -0,9223 -0,8558 -0,7913 -0,7444 -0,7297 -0,7607 -0,8476 -0,9883 -1,1680 -1,3712 -1,5827 -1,7794 -1,9276 -1,9934 -1,9647 -1,8635 -1,7338 -1,6197 -1,5502 -1,5410 -1,6142 -1,8064 -2,1431 -2,6103 -3,1559 -3,7162 -4,2487 -4,7436 -5,1974 -5,5808 -5,8534 -6,0005 -6,0438 -6,0265 -5,9869 -5,9269 -5,8193 -5,6563 -5,4743 -5,3126 -5,1687 -5,0095 -4,8089 -4,5636 -4,2851 -3,9920 -3,7145 -3,4914 -3,3465 -3,2687 -3,2239 -3,1663 -3,0332 -2,7683 -2,3663 -1,8801 -1,3957 -1,0105 -0,8099 -0,8311 -1,0426 -1,3677 -1,7291 -2,0675 -2,3323 -2,4815 -2,4976 -2,3964 -2,2166 -1,9947 -1,7367
Fz    1,2711 1,2244 1,1447 1,0961 1,1386 1,2870 1,5114 1,7569 1,9557 2,0522 2,0376 1,9532 1,8539 1,7765 1,7403 1,7492 1,7743 1,7609 1,6606 1,4451 1,1105 0,6975 0,2855 -0,0601 -0,3394 -0,6157 -0,9461 -1,3176 -1,6627 -1,9142 -2,0334 -2,0181 -1,9050 -1,7483 -1,5966 -1,4842 -1,4193 -1,3793 -1,3282 -1,2455 -1,1399 -1,0368 -0,9595 -0,9230 -0,9329 -0,9869 -1,0842 -1,2271 -1,4025 -1,5767 -1,7220 -1,8353 -1,9179 -1,9525 -1,9111 -1,7757 -1,5466 -1,2377 -0,8818 -0,5426 -0,3045 -0,2260 -0,2885 -0,3870 -0,3967 -0,2622 -0,0133 0,2787 0,5415 0,7342 0,8502 0,8778 0,7846 0,5503 0,1934 -0,2292 -0,6432 -0,9895 -1,2448 -1,4185 -1,5419 -1,6418 -1,7115 -1,7271 -1,6885 -1,6228 -1,5594 -1,5102 -1,4620 -1,3899 -1,2858 -1,1624 -1,0346 -0,9208 -0,8527 -0,8594 -0,9510 -1,1199 -1,3449 -1,5980 -1,8523 -2,0826 -2,2760 -2,4521 -2,6565 -2,9278 -3,2795 -3,7036 -4,1721 -4,6439 -5,0904 -5,5052 -5,8829 -6,2111 -6,4745 -6,6533 -6,7324 -6,7198 -6,6484 -6,5666 -6,5127 -6,4762 -6,3970 -6,2079 -5,8595 -5,3237 -4,6147 -3,8038 -2,9960 -2,2926 -1,7648 -1,4360 -1,2741 -1,2064 -1,1539 -1,0714 -0,9624 -0,8553 -0,7713 -0,7131 -0,6616 -0,5776 -0,4221 -0,1909 0,0724 0,3019 0,4493 0,5001 0,4627 0,3559 0,2043 0,0436 -0,0777 -0,1299 -0,1382 -0,1738 -0,3095 -0,5762 -0,9486 -1,3664 -1,7664 -2,1052 -2,3709 -2,5738 -2,7198 -2,7969 -2,7886 -2,6917 -2,5193 -2,3027 -2,0916 -1,9318 -1,8435 -1,8240 -1,8560 -1,9089 -1,9473 -1,9439 -1,8902 -1,8093 -1,7546 -1,7858 -1,9348 -2,1887 -2,5006 -2,8098 -3,0585 -3,1991 -3,1933 -3,0230 -2,7152 -2,3480 -2,0149 -1,7749 -1,6348 -1,5705 -1,5503 -1,5464 -1,5425 -1,5386 -1,5513 -1,6169 -1,7825 -2,0715 -2,4622 -2,9102 -3,3722 -3,8094 -4,1947 -4,5163 -4,7601 -4,8917 -4,8739 -4,7113 -4,4663 -4,2204 -4,0285 -3,9154 -3,8897 -3,9424 -4,0479 -4,1851 -4,3472 -4,5170 -4,6533 -4,7264 -4,7504 -4,7669 -4,8085 -4,8828 -4,9621 -4,9931 -4,9428 -4,8390 -4,7494 -4,7275 -4,7851 -4,8875 -4,9605 -4,9334 -4,7968 -4,6045 -4,4182 -4,2672 -4,1482 -4,0291 -3,8626 -3,6304 -3,3665 -3,1313 -2,9895 -3,0015 -3,2010 -3,5808 -4,0938 -4,6361 -5,0736 -5,3371 -5,4627 -5,5311 -5,6032 -5,7046 -5,8326 -5,9666 -6,0769 -6,1393 -6,1579 -6,1740 -6,2379 -6,3597 -6,4943 -6,5782 -6,5795 -6,5101 -6,3929 -6,2163 -5,9335 -5,5274 -5,0553 -4,6014 -4,2134 -3,9088 -3,7095 -3,6391 -3,6860 -3,7755 -3,8047 -3,7174 -3,5346 -3,3187 -3,1337 -3,0344 -3,0535 -3,1715 -3,3176 -3,4258 -3,4892 -3,5540 -3,6614 -3,7975 -3,9055 -3,9428 -3,9179 -3,8809 -3,8821 -3,9301 -3,9883 -4,0146 -3,9919 -3,9166 -3,7831 -3,5905 -3,3573 -3,1148 -2,8800 -2,6494 -2,4200 -2,2008 -2,0042 -1,8439 -1,7466 -1,7527 -1,8863 -2,1287 -2,4215 -2,6875 -2,8553 -2,8906 -2,8157 -2,6895 -2,5536 -2,3960 -2,1837 -1,9276 -1,6806 -1,4768 -1,3138 -1,1829 -1,0785 -0,9970 -0,9534 -0,9749 -1,0660 -1,1976 -1,3250 -1,4054 -1,4100 -1,3308 -1,1926 -1,0479 -0,9402 -0,8696 -0,8021 -0,7061 -0,5707 -0,3987 -0,1900 0,0585 0,3292 0,5760 0,7562 0,8661 0,9465 1,0504 1,1899 1,3166 1,3699 1,3313 1,2213 1,0732 0,9240 0,8137 0,7784 0,8358 0,9799 1,1779 1,3717 1,5043 1,5575 1,5533 1,5256 1,4986 1,4829 1,4853 1,5175 1,5877 1,6899 1,8104 1,9445 2,0975 2,2705 2,4430 2,5679 2,5962 2,5177 2,3745 2,2292 2,1241 2,0698 2,0608 2,0899 2,1480 2,2169 2,2671 2,2604 2,1646 1,9692 1,6938 1,3856 1,0959 0,8483 0,6398 0,4688 0,3513 0,3115 0,3650 0,5061 0,7053 0,9265 1,1467 1,3552 1,5494 1,7293 1,8805 1,9690 1,9632 1,8613 1,6937 1,4902 1,2582 1,0117 0,7994 0,6763 0,6561 0,7006 0,7526 0,7745 0,7646 0,7380 0,6912 0,5891 0,3930 0,0997 -0,2531 -0,6099 -0,9220 -1,1584 -1,2981 -1,3111 -1,1550 -0,7977 -0,2456 0,4494 1,2044 1,9256 2,5353 3,0005 3,3297 3,5409 3,6344 3,5922 3,4043 3,0925 2,7009 2,2687 1,8260 1,3976 0,9961 0,6261 0,2988 0,0263 -0,1930 -0,3680 -0,5035 -0,6050 -0,6773 -0,7219 -0,7549 -0,8123 -0,9167 -1,0538 -1,1948 -1,3300 -1,4676 -1,6105 -1,7467 -1,8612 -1,9456 -2,0041 -2,0594 -2,1393 -2,2576 -2,4158 -2,6173 -2,8703 -3,1755 -3,5129 -3,8472 -4,1481 -4,4024 -4,6060 -4,7546 -4,8482 -4,8951 -4,9052 -4,8880 -4,8530 -4,8026 -4,7270 -4,6153 -4,4715 -4,3184 -4,1813 -4,0655 -3,9488 -3,7935 -3,5662 -3,2620 -2,9164 -2,5879 -2,3257 -2,1475 -2,0392 -1,9764 -1,9420 -1,9288 -1,9344 -1,9568 -1,9949 -2,0541 -2,1397 -2,2493 -2,3758 -2,5104 -2,6475 -2,7915 -2,9549 -3,1453 -3,3595 -3,5872 -3,8123 -4,0128 -4,1645 -4,2491 -4,2574 -4,1959 -4,0924 -3,9881 -3,9223 -3,9277 -4,0299 -4,2345 -4,5190 -4,8425 -5,1658 -5,4655 -5,7363 -5,9751 -6,1683 -6,3065 -6,4019 -6,4785 -6,5553 -6,6371 -6,7070 -6,7334 -6,6965 -6,6057 -6,4858 -6,3517 -6,2053 -6,0487 -5,8944 -5,7613 -5,6583 -5,5752 -5,4949 -5,4068 -5,3083 -5,1995 -5,0701 -4,8888 -4,6175 -4,2428 -3,7930 -3,3371 -2,9726 -2,7945 -2,8464 -3,0897 -3,4297 -3,7740 -4,0569 -4,2249 -4,2350 -4,0762 -3,7816 -3,4127 -3,0300 -2,6667
F3    0,2686 0,2827 0,3123 0,3944 0,5655 0,8238 1,1343 1,4519 1,7273 1,9162 2,0011 2,0055 1,9745 1,9411 1,9279 1,9628 2,0497 2,1365 2,1412 2,0000 1,6944 1,2602 0,7673 0,2736 -0,2064 -0,6863 -1,1624 -1,5957 -1,9350 -2,1371 -2,1754 -2,0561 -1,8251 -1,5489 -1,2910 -1,1026 -1,0100 -0,9989 -1,0253 -1,0501 -1,0628 -1,0701 -1,0770 -1,0831 -1,0872 -1,0917 -1,1064 -1,1450 -1,2072 -1,2763 -1,3426 -1,4105 -1,4758 -1,5149 -1,4960 -1,3909 -1,1818 -0,8688 -0,4863 -0,1114 0,1606 0,2652 0,2092 0,0788 -0,0159 -0,0206 0,0494 0,1516 0,2531 0,3433 0,4117 0,4145 0,2890 0,0065 -0,3950 -0,8276 -1,1990 -1,4511 -1,5769 -1,6263 -1,6864 -1,8097 -1,9611 -2,0701 -2,1181 -2,1400 -2,1730 -2,2214 -2,2557 -2,2384 -2,1551 -2,0209 -1,8675 -1,7336 -1,6567 -1,6580 -1,7346 -1,8714 -2,0515 -2,2623 -2,4937 -2,7294 -2,9496 -3,1497 -3,3525 -3,5956 -3,9045 -4,2733 -4,6744 -5,0891 -5,5173 -5,9490 -6,3467 -6,6656 -6,8715 -6,9424 -6,8729 -6,6831 -6,4246 -6,1731 -5,9897 -5,8732 -5,7676 -5,6071 -5,3327 -4,8994 -4,3079 -3,6169 -2,9205 -2,3183 -1,8829 -1,6293 -1,5156 -1,4686 -1,4136 -1,3114 -1,1752 -1,0487 -0,9771 -0,9844 -1,0459 -1,0858 -1,0270 -0,8477 -0,5965 -0,3602 -0,2082 -0,1561 -0,1747 -0,2166 -0,2383 -0,2139 -0,1342 -0,0166 0,0798 0,0778 -0,0694 -0,3604 -0,7598 -1,2088 -1,6348 -1,9831 -2,2482 -2,4595 -2,6366 -2,7675 -2,8236 -2,7879 -2,6671 -2,4920 -2,3100 -2,1665 -2,0863 -2,0681 -2,0899 -2,1290 -2,1720 -2,1942 -2,1595 -2,0580 -1,9289 -1,8404 -1,8479 -1,9711 -2,1932 -2,4651 -2,7241 -2,9139 -2,9856 -2,9051 -2,6788 -2,3620 -2,0313 -1,7484 -1,5503 -1,4577 -1,4732 -1,5683 -1,6907 -1,7941 -1,8673 -1,9465 -2,0921 -2,3275 -2,6219 -2,9485 -3,3048 -3,6626 -3,9714 -4,2173 -4,4200 -4,5723 -4,6284 -4,5671 -4,4331 -4,2983 -4,2155 -4,2072 -4,2650 -4,3584 -4,4552 -4,5446 -4,6421 -4,7456 -4,8016 -4,7575 -4,6297 -4,4804 -4,3560 -4,2704 -4,2058 -4,1249 -4,0271 -3,9755 -4,0275 -4,1757 -4,3815 -4,6083 -4,8051 -4,9181 -4,9364 -4,8943 -4,8256 -4,7359 -4,6079 -4,4040 -4,0840 -3,6663 -3,2451 -2,9195 -2,7413 -2,7307 -2,8910 -3,2119 -3,6678 -4,1673 -4,5527 -4,7250 -4,7299 -4,6932 -4,7207 -4,8552 -5,0750 -5,3153 -5,5065 -5,6137 -5,6584 -5,7012 -5,7953 -5,9376 -6,0599 -6,0816 -5,9793 -5,8050 -5,6336 -5,4748 -5,2583 -4,9342 -4,5428 -4,1486 -3,7713 -3,4283 -3,1899 -3,1421 -3,2987 -3,5523 -3,7342 -3,7438 -3,6062 -3,4114 -3,2371 -3,1344 -3,1382 -3,2407 -3,3763 -3,4792 -3,5406 -3,5946 -3,6724 -3,7682 -3,8339 -3,8232 -3,7491 -3,6878 -3,7116 -3,8196 -3,9479 -4,0492 -4,1255 -4,1819 -4,1924 -4,1258 -3,9899 -3,8268 -3,6573 -3,4561 -3,1837 -2,8198 -2,3727 -1,8812 -1,4263 -1,1281 -1,0941 -1,3524 -1,8235 -2,3453 -2,7429 -2,9105 -2,8490 -2,6390 -2,3679 -2,0686 -1,7413 -1,4183 -1,1621 -1,0073 -0,9509 -0,9827 -1,0772 -1,1855 -1,2697 -1,3167 -1,3182 -1,2644 -1,1533 -0,9872 -0,7626 -0,4792 -0,1674 0,0944 0,2176 0,1777 0,0360 -0,1186 -0,2188 -0,2249 -0,1183 0,0971 0,3805 0,6579 0,8643 0,9917 1,0927 1,2338 1,4266 1,6093 1,7125 1,7172 1,6413 1,5108 1,3544 1,2046 1,0918 1,0371 1,0553 1,1522 1,3031 1,4524 1,5531 1,5987 1,6141 1,6296 1,6622 1,7099 1,7529 1,7614 1,7159 1,6342 1,5705 1,5784 1,6743 1,8295 1,9856 2,0831 2,0932 2,0300 1,9351 1,8506 1,8029 1,8036 1,8580 1,9638 2,1053 2,2475 2,3375 2,3225 2,1762 1,9123 1,5869 1,2776 1,0367 0,8736 0,7841 0,7752 0,8558 1,0137 1,2036 1,3615 1,4473 1,4667 1,4527 1,4498 1,4986 1,6025 1,7170 1,7868 1,7900 1,7416 1,6577 1,5336 1,3703 1,2039 1,0864 1,0465 1,0757 1,1399 1,2043 1,2546 1,2859 1,2724 1,1647 0,9221 0,5478 0,1002 -0,3354 -0,6937 -0,9488 -1,0919 -1,1033 -0,9488 -0,6019 -0,0658 0,6195 1,3821 2,1246 2,7529 3,2170 3,5199 3,6827 3,7134 3,6106 3,3862 3,0755 2,7190 2,3436 1,9652 1,5950 1,2373 0,8954 0,5803 0,3023 0,0611 -0,1446 -0,3061 -0,4142 -0,4687 -0,4809 -0,4805 -0,5146 -0,6145 -0,7657 -0,9223 -1,0481 -1,1346 -1,1847 -1,1969 -1,1710 -1,1198 -1,0719 -1,0632 -1,1173 -1,2332 -1,4009 -1,6205 -1,9015 -2,2485 -2,6432 -3,0382 -3,3784 -3,6358 -3,8114 -3,9139 -3,9567 -3,9626 -3,9537 -3,9401 -3,9144 -3,8531 -3,7295 -3,5380 -3,3085 -3,0976 -2,9602 -2,9139 -2,9244 -2,9254 -2,8545 -2,6831 -2,4287 -2,1417 -1,8760 -1,6660 -1,5237 -1,4470 -1,4203 -1,4184 -1,4235 -1,4339 -1,4573 -1,5044 -1,5805 -1,6811 -1,8006 -1,9384 -2,0985 -2,2844 -2,4950 -2,7258 -2,9715 -3,2223 -3,4581 -3,6473 -3,7553 -3,7581 -3,6525 -3,4613 -3,2292 -3,0071 -2,8352 -2,7443 -2,7615 -2,8990 -3,1394 -3,4420 -3,7623 -4,0664 -4,3314 -4,5296 -4,6255 -4,6028 -4,4842 -4,3172 -4,1565 -4,0532 -4,0308 -4,0666 -4,1176 -4,1620 -4,1960 -4,2096 -4,1870 -4,1236 -4,0316 -3,9357 -3,8639 -3,8359 -3,8577 -3,9167 -3,9827 -4,0234 -4,0123 -3,9187 -3,7099 -3,3685 -2,9133 -2,4177 -2,0056 -1,8037 -1,8703 -2,1531 -2,5247 -2,8655 -3,1008 -3,1781 -3,0568 -2,7372 -2,2817 -1,7974 -1,3846 -1,0831
F7    1,5334 1,5706 1,4670 1,2782 1,0958 0,9950 0,9967 1,0807 1,2331 1,4514 1,7052 1,9309 2,0820 2,1511 2,1318 2,0088 1,7950 1,5352 1,2587 0,9305 0,4711 -0,1417 -0,8095 -1,3716 -1,7109 -1,8250 -1,8248 -1,8453 -1,9438 -2,0705 -2,1146 -1,9832 -1,6610 -1,2203 -0,7879 -0,4780 -0,3299 -0,2983 -0,2941 -0,2448 -0,1405 -0,0276 0,0300 -0,0228 -0,2234 -0,5812 -1,0620 -1,5740 -1,9803 -2,1648 -2,1108 -1,9056 -1,6647 -1,4672 -1,3509 -1,3278 -1,3775 -1,4553 -1,5359 -1,6250 -1,7122 -1,7449 -1,6667 -1,4726 -1,2074 -0,9107 -0,5877 -0,2421 0,0975 0,3876 0,5694 0,5747 0,3751 0,0105 -0,4608 -1,0099 -1,6059 -2,1743 -2,6205 -2,8731 -2,8988 -2,7172 -2,3994 -2,0223 -1,6278 -1,2414 -0,9095 -0,6952 -0,6297 -0,6764 -0,7548 -0,7989 -0,7945 -0,7670 -0,7447 -0,7563 -0,8581 -1,1197 -1,5581 -2,0976 -2,5979 -2,9271 -3,0455 -3,0478 -3,0976 -3,2947 -3,6180 -3,9740 -4,2653 -4,4288 -4,4476 -4,3518 -4,2099 -4,0998 -4,0678 -4,1194 -4,2542 -4,4758 -4,7510 -4,9902 -5,0932 -5,0106 -4,7518 -4,3582 -3,8889 -3,4148 -2,9958 -2,6464 -2,3161 -1,9166 -1,4000 -0,8188 -0,2977 0,0552 0,2054 0,1880 0,0807 -0,0187 -0,0289 0,0768 0,2568 0,4213 0,4797 0,3934 0,1926 -0,0563 -0,3011 -0,5225 -0,7034 -0,7957 -0,7589 -0,6283 -0,4955 -0,4072 -0,3286 -0,2319 -0,1645 -0,1866 -0,2938 -0,4620 -0,7123 -1,0776 -1,5250 -1,9409 -2,1919 -2,2027 -1,9948 -1,6685 -1,3512 -1,1423 -1,0771 -1,1090 -1,1296 -1,0396 -0,8022 -0,4276 0,0433 0,5178 0,8731 1,0282 0,9785 0,7775 0,5220 0,3246 0,2419 0,2326 0,2136 0,1260 -0,0584 -0,3300 -0,6232 -0,8479 -0,9429 -0,8869 -0,7010 -0,4407 -0,1522 0,1383 0,3840 0,5247 0,5397 0,4577 0,3076 0,0811 -0,2350 -0,6005 -0,9437 -1,2467 -1,5466 -1,8552 -2,1392 -2,3642 -2,5068 -2,5274 -2,3808 -2,0809 -1,7322 -1,4822 -1,4463 -1,6640 -2,0897 -2,6029 -3,0529 -3,3428 -3,4784 -3,5261 -3,5578 -3,6454 -3,8298 -4,0734 -4,2962 -4,4375 -4,4332 -4,1904 -3,6572 -2,8985 -2,0849 -1,4152 -1,0291 -0,9445 -1,0572 -1,2093 -1,2902 -1,3129 -1,4139 -1,7543 -2,3861 -3,2057 -4,0245 -4,6692 -5,0273 -5,0647 -4,8248 -4,3624 -3,7190 -3,0261 -2,4996 -2,2540 -2,2204 -2,2448 -2,1965 -2,0284 -1,7936 -1,6004 -1,5415 -1,6457 -1,8688 -2,1132 -2,2780 -2,3409 -2,3900 -2,5332 -2,7756 -3,0070 -3,0978 -3,0043 -2,7838 -2,5077 -2,1962 -1,8726 -1,6257 -1,5370 -1,5804 -1,6539 -1,6783 -1,6418 -1,5717 -1,4830 -1,3789 -1,2802 -1,2074 -1,1470 -1,0670 -0,9655 -0,8863 -0,8871 -1,0051 -1,2389 -1,5452 -1,8758 -2,2239 -2,6014 -2,9750 -3,2542 -3,3606 -3,3059 -3,1571 -2,9120 -2,5010 -1,9304 -1,3199 -0,7741 -0,2983 0,1380 0,5098 0,7561 0,8456 0,7690 0,5171 0,1109 -0,3717 -0,8009 -1,0319 -0,9708 -0,6434 -0,2141 0,1024 0,1917 0,0995 -0,0314 -0,0494 0,1490 0,5938 1,2376 1,9695 2,6604 3,2331 3,6705 3,9404 3,9572 3,6524 3,0592 2,3163 1,6021 1,0440 0,6641 0,4081 0,2174 0,0864 0,0960 0,3780 0,9754 1,7497 2,4783 3,0132 3,3307 3,4839 3,5492 3,6006 3,6890 3,8210 3,9696 4,1107 4,2431 4,3721 4,4862 4,5480 4,5116 4,3616 4,1276 3,8567 3,5961 3,3965 3,2951 3,2983 3,3996 3,6039 3,9098 4,2778 4,6442 4,9637 5,2144 5,3687 5,3986 5,3192 5,1973 5,0898 5,0016 4,9275 4,8934 4,9333 5,0558 5,2351 5,4173 5,5495 5,6125 5,6198 5,5977 5,5745 5,5674 5,5669 5,5459 5,4910 5,4252 5,3909 5,4028 5,4285 5,4246 5,3688 5,2512 5,0644 4,8153 4,5343 4,2595 4,0156 3,8217 3,6991 3,6588 3,6987 3,8221 4,0349 4,3106 4,5806 4,7868 4,9170 4,9780 4,9685 4,8946 4,7745 4,6210 4,4522 4,3126 4,2543 4,3001 4,4380 4,6390 4,8680 5,0796 5,2229 5,2581 5,1688 4,9670 4,6948 4,4121 4,1735 4,0061 3,8999 3,8275 3,7789 3,7713 3,8316 3,9725 4,1842 4,4538 4,7824 5,1777 5,6288 6,0869 6,4780 6,7370 6,8274 6,7510 6,5560 6,3119 6,0682 5,8458 5,6473 5,4523 5,2208 4,9269 4,5779 4,1995 3,8219 3,4749 3,1709 2,9044 2,6780 2,5088 2,4158 2,4202 2,5444 2,7827 3,0708 3,3118 3,4419 3,4567 3,3832 3,2544 3,1012 2,9480 2,8064 2,6673 2,4998 2,2751 1,9933 1,6845 1,3829 1,0995 0,8243 0,5521 0,3027 0,1195 0,0472 0,1057 0,2760 0,4961 0,6880 0,8029 0,8317 0,7831 0,6774 0,5596 0,5056 0,5948 0,8555 1,2382 1,6516 2,0106 2,2551 2,3555 2,3209 2,1979 2,0539 1,9454 1,8945 1,8983 1,9463 2,0167 2,0785 2,1143 2,1275 2,1189 2,0763 1,9890 1,8578 1,6891 1,4901 1,2736 1,0676 0,9103 0,8308 0,8355 0,9049 0,9994 1,0807 1,1346 1,1720 1,2120 1,2565 1,2770 1,2329 1,1069 0,9220 0,7245 0,5518 0,4079 0,2616 0,0723 -0,1694 -0,4365 -0,6927 -0,9173 -1,1020 -1,2184 -1,2098 -1,0534 -0,8080 -0,5738 -0,4212 -0,3616 -0,3654 -0,3976 -0,4367 -0,4596 -0,4253 -0,2849 -0,0089 0,3904 0,8559 1,3062 1,6754 1,9452 2,1312 2,2278 2,1971 2,0218 1,7473 1,4614 1,2321 1,0567 0,8781 0,6480 0,3555 0,0038 -0,3998 -0,8246 -1,2040 -1,4516 -1,5014 -1,3441
