Fp1   0,4456 0,2034 0,1337 0,2828 0,6963 1,3846 2,3039 3,3501 4,3741 5,2257 5,7908 6,0009 5,8499 5,3993 4,7341 3,9201 3,0205 2,1242 1,3311 0,7068 0,2337 -0,1973 -0,7144 -1,3550 -2,0260 -2,5786 -2,9088 -3,0007 -2,9225 -2,7904 -2,7091 -2,7153 -2,7703 -2,8018 -2,7503 -2,5745 -2,2512 -1,8124 -1,3576 -1,0008 -0,8337 -0,9129 -1,2130 -1,5948 -1,8804 -1,9814 -1,9452 -1,8945 -1,9329 -2,0854 -2,3047 -2,5214 -2,6688 -2,6879 -2,5612 -2,3371 -2,0846 -1,8407 -1,6062 -1,3641 -1,1020 -0,8362 -0,6193 -0,5177 -0,5615 -0,7045 -0,8444 -0,8935 -0,8193 -0,6388 -0,4094 -0,2001 -0,0275 0,1587 0,4061 0,6998 0,9689 1,1379 1,1853 1,1639 1,1554 1,2005 1,2724 1,3079 1,2575 1,0980 0,8052 0,3514 -0,2438 -0,8951 -1,5081 -2,0449 -2,5218 -2,9560 -3,3246 -3,5673 -3,6295 -3,5227 -3,3333 -3,1573 -3,0540 -3,0628 -3,2114 -3,4921 -3,8588 -4,2503 -4,5918 -4,7872 -4,7542 -4,4731 -3,9821 -3,3413 -2,6261 -1,9322 -1,3598 -0,9932 -0,8843 -1,0378 -1,4143 -1,9356 -2,4886 -2,9566 -3,2615 -3,3816 -3,3419 -3,1794 -2,9212 -2,6054 -2,2973 -2,0584 -1,9209 -1,8947 -1,9652 -2,0721 -2,1262 -2,0730 -1,9311 -1,7682 -1,6482 -1,5974 -1,6152 -1,7031 -1,8516 -1,9970 -2,0271 -1,8431 -1,4174 -0,8240 -0,2191 0,2551 0,5606 0,7730 1,0379 1,4918 2,1557 2,8868 3,4513 3,6563 3,4254 2,7920 1,8737 0,8404 -0,1461 -0,9737 -1,5803 -1,9581 -2,1518 -2,2218 -2,2143 -2,1771 -2,1762 -2,2702 -2,4598 -2,6882 -2,9073 -3,1175 -3,3355 -3,5543 -3,7560 -3,9457 -4,1534 -4,3987 -4,6703 -4,9554 -5,2875 -5,7475 -6,4063 -7,2766 -8,3169 -9,4476 -10,5487 -11,4726 -12,0871 -12,2992 -12,0705 -11,4573 -10,6158 -9,7347 -8,9566 -8,3601 -7,9924 -7,8835 -8,0171 -8,2962 -8,5547 -8,6230 -8,4089 -7,9366 -7,3222 -6,6902 -6,0948 -5,5393 -5,0614 -4,7412 -4,6261 -4,6918 -4,8627 -5,0463 -5,1834 -5,2817 -5,3822 -5,5008 -5,6210 -5,7353 -5,8712 -6,0748 -6,3791 -6,7785 -7,2254 -7,6514 -7,9939 -8,2218 -8,3514 -8,4404 -8,5715 -8,8323 -9,2696 -9,8353 -10,3917 -10,7847 -10,9223 -10,8088 -10,5297 -10,1992 -9,9040 -9,6780 -9,5044 -9,3305 -9,1035 -8,8239 -8,5613 -8,4053 -8,4051 -8,5497 -8,7947 -9,1043 -9,4644 -9,8506 -10,1937 -10,3942 -10,3778 -10,1438 -9,7720 -9,3935 -9,1359 -9,0471 -9,0473 -8,9874 -8,7753 -8,4269 -7,9973 -7,5057 -6,9466 -6,3363 -5,7098 -5,0876 -4,4686 -3,8496 -3,2359 -2,6480 -2,1369 -1,7917 -1,6962 -1,8575 -2,1961 -2,6181 -3,0791 -3,5824 -4,1286 -4,6823 -5,1970 -5,6563 -6,0628 -6,4087 -6,6801 -6,8897 -7,1054 -7,4317 -7,9330 -8,5738 -9,2544 -9,8956 -10,4639 -10,9206 -11,1909 -11,2061 -10,9518 -10,4753 -9,8800 -9,3103 -8,9093 -8,7731 -8,9303 -9,3337 -9,8702 -10,3926 -10,7614 -10,8800 -10,7077 -10,2440 -9,5146 -8,5742 -7,5020 -6,3794 -5,2663 -4,2172 -3,3341 -2,7741 -2,6583 -2,9661 -3,5313 -4,1416 -4,6369 -4,9380 -5,0332 -4,9554 -4,7569 -4,5001 -4,2579 -4,0914 -4,0158 -4,0060 -4,0432 -4,1492 -4,3692 -4,7353 -5,2578 -5,9145 -6,6105 -7,1856 -7,5032 -7,5146 -7,2378 -6,7244 -6,0675 -5,4031 -4,8539 -4,4737 -4,2678 -4,2312 -4,3368 -4,5243 -4,7307 -4,9155 -5,0521 -5,1279 -5,1628 -5,2092 -5,3159 -5,4908 -5,6988 -5,8934 -6,0433 -6,1428 -6,2085 -6,2528 -6,2637 -6,2196 -6,1011 -5,8889 -5,5817 -5,2202 -4,8706 -4,5867 -4,3899 -4,2860 -4,2982 -4,4637 -4,7772 -5,1510 -5,4296 -5,4426 -5,0900 -4,4136 -3,5628 -2,6889 -1,8923 -1,2395 -0,7824 -0,5437 -0,4918 -0,5440 -0,5973 -0,5624 -0,3886 -0,0633 0,4043 0,9901 1,6495 2,3117 2,8885 3,3194 3,6149 3,8382 4,0431 4,2407 4,4066 4,5043 4,5103 4,4208 4,2393 3,9781 3,6644 3,3271 2,9740 2,5859 2,1375 1,6284 1,0952 0,5939 0,1620 -0,1955 -0,4750 -0,6509 -0,6916 -0,5799 -0,3303 -0,0297 0,1619 0,1030 -0,2304 -0,7489 -1,3271 -1,8498 -2,2071 -2,3090 -2,1209 -1,6792 -1,0844 -0,4785 0,0130 0,3579 0,6339 0,9506 1,3599 1,8327 2,2995 2,7139 3,0850 3,4498 3,8356 4,2713 4,8128 5,5220 6,4188 7,4757 8,6398 9,8342 10,9576 11,9106 12,6233 13,0619 13,2225 13,1227 12,7935 12,2726 11,5907 10,7630 9,8147 8,8223 7,9097 7,1880 6,6907 6,3505 6,0278 5,5755 4,9043 4,0050 2,9243 1,7432 0,5786 -0,4269 -1,1413 -1,4915 -1,4827 -1,1676 -0,6141 0,0898 0,8402 1,5525 2,1763 2,6776 3,0335 3,2372 3,2873 3,1804 2,9293 2,5740 2,1767 1,8169 1,5687 1,4642 1,4925 1,6262 1,8198 1,9997 2,0975 2,0891 1,9910 1,8326 1,6507 1,4923 1,3895 1,3345 1,3065 1,3110 1,3713 1,4912 1,6439 1,7851 1,8789 1,9220 1,9414 1,9599 1,9704 1,9472 1,8750 1,7536 1,5724 1,2987 0,8974 0,3442 -0,3790 -1,2758 -2,3116 -3,3889 -4,3504 -5,0490 -5,4304 -5,5309 -5,4153 -5,1438 -4,7897 -4,4580 -4,2618 -4,2723 -4,4845 -4,8211 -5,1723 -5,4425 -5,5686 -5,5141 -5,2669 -4,8579 -4,3915 -4,0175 -3,8241 -3,7667 -3,7218 -3,5900 -3,3506 -3,0592 -2,8007 -2,6213 -2,4936 -2,3571 -2,1935 -2,0605 -2,0582 -2,2595 -2,6581 -3,1763 -3,7286 -4,2922 -4,9119 -5,6169 -6,3370 -6,9221 -7,2438 -7,2690 -7,0602 -6,7298 -6,3719 -6,0152 -5,6324 -5,1751 -4,6042 -3,9188 -3,1683 -2,4353
Fz    1,1720 1,1956 1,2509 1,3646 1,5609 1,8431 2,1849 2,5355 2,8401 3,0646 3,1949 3,2170 3,1155 2,8844 2,5235 2,0327 1,4315 0,7703 0,1126 -0,4890 -1,0038 -1,4282 -1,7794 -2,0669 -2,2683 -2,3393 -2,2504 -2,0143 -1,6888 -1,3536 -1,0741 -0,8777 -0,7558 -0,6827 -0,6309 -0,5767 -0,5066 -0,4335 -0,3951 -0,4268 -0,5466 -0,7567 -1,0328 -1,3119 -1,5167 -1,6075 -1,6070 -1,5812 -1,5974 -1,6949 -1,8811 -2,1403 -2,4317 -2,6907 -2,8617 -2,9307 -2,9178 -2,8535 -2,7688 -2,6905 -2,6327 -2,5947 -2,5633 -2,5189 -2,4406 -2,3113 -2,1277 -1,9134 -1,7145 -1,5738 -1,5140 -1,5308 -1,5891 -1,6384 -1,6480 -1,6210 -1,5809 -1,5471 -1,5141 -1,4528 -1,3365 -1,1662 -0,9672 -0,7685 -0,5851 -0,4202 -0,2838 -0,2009 -0,1936 -0,2640 -0,3993 -0,5923 -0,8475 -1,1667 -1,5336 -1,9114 -2,2593 -2,5580 -2,8158 -3,0478 -3,2609 -3,4609 -3,6550 -3,8456 -4,0295 -4,2020 -4,3526 -4,4582 -4,4869 -4,4100 -4,2035 -3,8475 -3,3398 -2,7095 -2,0056 -1,2732 -0,5433 0,1621 0,8223 1,4180 1,9378 2,3772 2,7370 3,0282 3,2657 3,4524 3,5728 3,6022 3,5234 3,3433 3,0912 2,7997 2,4955 2,2056 1,9540 1,7420 1,5447 1,3308 1,0804 0,7933 0,4912 0,2105 -0,0076 -0,1230 -0,1074 0,0409 0,2943 0,6025 0,9032 1,1484 1,3276 1,4665 1,6112 1,8026 2,0442 2,2845 2,4359 2,4152 2,1758 1,7186 1,0945 0,3881 -0,3191 -0,9716 -1,5374 -2,0061 -2,3886 -2,7066 -2,9823 -3,2339 -3,4749 -3,7083 -3,9165 -4,0658 -4,1356 -4,1360 -4,0893 -4,0021 -3,8734 -3,7212 -3,5862 -3,5051 -3,4925 -3,5509 -3,6917 -3,9368 -4,3003 -4,7774 -5,3540 -6,0185 -6,7530 -7,5171 -8,2429 -8,8464 -9,2578 -9,4595 -9,4947 -9,4353 -9,3439 -9,2589 -9,2025 -9,1854 -9,1971 -9,1988 -9,1321 -8,9419 -8,6001 -8,1199 -7,5547 -6,9731 -6,4250 -5,9359 -5,5319 -5,2461 -5,0956 -5,0709 -5,1408 -5,2591 -5,3840 -5,5019 -5,6216 -5,7457 -5,8598 -5,9504 -6,0254 -6,1139 -6,2476 -6,4472 -6,7207 -7,0641 -7,4563 -7,8628 -8,2508 -8,5993 -8,8998 -9,1494 -9,3396 -9,4495 -9,4522 -9,3273 -9,0766 -8,7340 -8,3560 -7,9995 -7,7020 -7,4757 -7,3104 -7,1847 -7,0861 -7,0313 -7,0578 -7,1937 -7,4334 -7,7352 -8,0398 -8,2992 -8,4935 -8,6201 -8,6747 -8,6454 -8,5217 -8,3088 -8,0338 -7,7361 -7,4451 -7,1579 -6,8382 -6,4493 -5,9921 -5,5030 -5,0165 -4,5414 -4,0755 -3,6292 -3,2257 -2,8853 -2,6126 -2,3934 -2,1993 -2,0037 -1,8014 -1,6166 -1,4826 -1,4102 -1,3835 -1,3843 -1,4089 -1,4581 -1,5172 -1,5553 -1,5490 -1,4996 -1,4164 -1,2948 -1,1211 -0,8960 -0,6576 -0,4822 -0,4455 -0,5744 -0,8382 -1,1784 -1,5366 -1,8553 -2,0757 -2,1582 -2,0995 -1,9298 -1,7028 -1,4865 -1,3435 -1,3089 -1,3790 -1,5145 -1,6572 -1,7531 -1,7670 -1,6832 -1,5006 -1,2263 -0,8738 -0,4636 -0,0155 0,4635 0,9799 1,5248 2,0417 2,4382 2,6456 2,6642 2,5540 2,3925 2,2429 2,1444 2,1106 2,1302 2,1748 2,2104 2,2057 2,1461 2,0443 1,9275 1,8091 1,6767 1,5082 1,2902 1,0130 0,6678 0,2754 -0,0967 -0,3706 -0,5075 -0,5204 -0,4528 -0,3526 -0,2588 -0,1922 -0,1560 -0,1518 -0,1838 -0,2410 -0,2947 -0,3215 -0,3165 -0,2858 -0,2415 -0,2063 -0,2094 -0,2623 -0,3451 -0,4210 -0,4587 -0,4423 -0,3717 -0,2613 -0,1340 -0,0123 0,0862 0,1534 0,1929 0,2112 0,2081 0,1731 0,0931 -0,0343 -0,1973 -0,3817 -0,5802 -0,7848 -0,9765 -1,1227 -1,1754 -1,0887 -0,8571 -0,5205 -0,1269 0,2859 0,6769 0,9983 1,2179 1,3380 1,3934 1,4385 1,5309 1,7139 2,0054 2,4009 2,8774 3,3949 3,9016 4,3463 4,6960 4,9464 5,1120 5,2091 5,2526 5,2557 5,2248 5,1597 5,0615 4,9336 4,7839 4,6252 4,4677 4,3120 4,1488 3,9626 3,7349 3,4567 3,1382 2,8007 2,4647 2,1507 1,8788 1,6624 1,5020 1,3773 1,2345 0,9978 0,6115 0,0773 -0,5519 -1,2020 -1,7930 -2,2393 -2,4695 -2,4601 -2,2474 -1,9103 -1,5400 -1,2020 -0,9043 -0,6011 -0,2361 0,2167 0,7402 1,2893 1,8174 2,2956 2,7105 3,0607 3,3704 3,6973 4,1080 4,6403 5,2912 6,0267 6,7900 7,5146 8,1482 8,6686 9,0754 9,3708 9,5458 9,5807 9,4528 9,1450 8,6508 7,9855 7,2021 6,3888 5,6389 5,0065 4,4821 4,0068 3,5120 2,9564 2,3378 1,6856 1,0497 0,4930 0,0732 -0,1768 -0,2551 -0,1810 0,0244 0,3400 0,7257 1,1194 1,4633 1,7263 1,9035 2,0032 2,0378 2,0159 1,9389 1,8068 1,6258 1,4143 1,2073 1,0491 0,9760 1,0100 1,1610 1,4194 1,7465 2,0839 2,3706 2,5539 2,6015 2,5159 2,3323 2,0869 1,7933 1,4588 1,1066 0,7616 0,4239 0,0678 -0,3349 -0,7868 -1,2565 -1,6987 -2,0840 -2,4093 -2,6873 -2,9312 -3,1566 -3,3952 -3,6878 -4,0607 -4,5148 -5,0366 -5,6063 -6,2013 -6,7921 -7,3321 -7,7680 -8,0722 -8,2535 -8,3312 -8,3146 -8,2121 -8,0464 -7,8516 -7,6568 -7,4745 -7,2994 -7,1189 -6,9287 -6,7349 -6,5430 -6,3534 -6,1658 -5,9887 -5,8347 -5,6996 -5,5558 -5,3760 -5,1599 -4,9404 -4,7758 -4,7246 -4,8097 -5,0025 -5,2465 -5,5032 -5,7782 -6,1082 -6,5226 -7,0172 -7,5566 -8,0973 -8,6139 -9,1094 -9,5925 -10,0409 -10,3960 -10,5980 -10,6222 -10,4881 -10,2443 -9,9390 -9,5987 -9,2274 -8,8125 -8,3323 -7,7776 -7,1638 -6,5207
F3    1,6653 1,5772 1,5191 1,5319 1,6503 1,8831 2,2050 2,5612 2,8866 3,1323 3,2735 3,2937 3,1784 2,9248 2,5427 2,0489 1,4706 0,8485 0,2299 -0,3405 -0,8321 -1,2434 -1,5974 -1,9030 -2,1272 -2,2199 -2,1596 -1,9727 -1,7235 -1,4864 -1,3098 -1,1983 -1,1247 -1,0586 -0,9832 -0,8907 -0,7774 -0,6575 -0,5680 -0,5459 -0,6139 -0,7849 -1,0438 -1,3254 -1,5418 -1,6478 -1,6673 -1,6612 -1,6797 -1,7371 -1,8219 -1,9198 -2,0160 -2,0836 -2,0978 -2,0613 -1,9999 -1,9418 -1,9064 -1,9027 -1,9291 -1,9792 -2,0487 -2,1341 -2,2209 -2,2768 -2,2717 -2,2071 -2,1178 -2,0456 -2,0178 -2,0355 -2,0652 -2,0556 -1,9750 -1,8283 -1,6439 -1,4519 -1,2651 -1,0732 -0,8613 -0,6329 -0,4119 -0,2286 -0,1030 -0,0404 -0,0426 -0,1126 -0,2393 -0,3896 -0,5276 -0,6445 -0,7654 -0,9273 -1,1478 -1,4108 -1,6800 -1,9300 -2,1608 -2,3791 -2,5835 -2,7740 -2,9613 -3,1598 -3,3775 -3,6096 -3,8323 -4,0009 -4,0636 -3,9800 -3,7226 -3,2752 -2,6489 -1,8976 -1,0998 -0,3260 0,3795 0,9976 1,5190 1,9342 2,2393 2,4408 2,5542 2,6062 2,6284 2,6402 2,6367 2,5877 2,4572 2,2333 1,9387 1,6111 1,2863 1,0032 0,8015 0,6965 0,6663 0,6654 0,6466 0,5808 0,4669 0,3260 0,1934 0,1155 0,1361 0,2705 0,4975 0,7715 1,0416 1,2758 1,4770 1,6765 1,9167 2,2299 2,6131 3,0102 3,3230 3,4542 3,3512 3,0219 2,5266 1,9545 1,3860 0,8699 0,4265 0,0533 -0,2662 -0,5458 -0,7916 -1,0128 -1,2294 -1,4627 -1,7122 -1,9476 -2,1335 -2,2547 -2,3141 -2,3139 -2,2587 -2,1762 -2,1179 -2,1291 -2,2284 -2,4184 -2,7051 -3,0977 -3,5927 -4,1674 -4,7931 -5,4500 -6,1239 -6,7933 -7,4201 -7,9476 -8,3150 -8,4898 -8,4883 -8,3646 -8,1805 -7,9843 -7,8114 -7,6857 -7,6094 -7,5529 -7,4580 -7,2601 -6,9250 -6,4744 -5,9750 -5,4966 -5,0732 -4,7094 -4,4187 -4,2309 -4,1612 -4,1891 -4,2712 -4,3668 -4,4604 -4,5685 -4,7152 -4,8997 -5,0926 -5,2598 -5,3871 -5,4869 -5,5859 -5,7076 -5,8639 -6,0568 -6,2806 -6,5268 -6,7917 -7,0744 -7,3697 -7,6656 -7,9411 -8,1638 -8,2957 -8,3042 -8,1797 -7,9469 -7,6621 -7,3940 -7,1984 -7,0963 -7,0688 -7,0758 -7,0912 -7,1291 -7,2361 -7,4540 -7,7849 -8,1821 -8,5715 -8,8886 -9,0977 -9,1833 -9,1322 -8,9330 -8,5928 -8,1515 -7,6733 -7,2210 -6,8301 -6,4931 -6,1654 -5,8041 -5,4069 -5,0075 -4,6364 -4,2937 -3,9630 -3,6366 -3,3245 -3,0437 -2,8013 -2,5877 -2,3840 -2,1745 -1,9589 -1,7593 -1,6086 -1,5258 -1,5092 -1,5537 -1,6574 -1,8106 -1,9846 -2,1376 -2,2373 -2,2731 -2,2436 -2,1405 -1,9550 -1,7028 -1,4457 -1,2792 -1,2818 -1,4694 -1,7959 -2,1916 -2,5944 -2,9497 -3,2061 -3,3296 -3,3160 -3,1877 -2,9876 -2,7707 -2,5931 -2,4977 -2,4989 -2,5722 -2,6634 -2,7117 -2,6658 -2,4907 -2,1717 -1,7142 -1,1425 -0,4975 0,1739 0,8390 1,4855 2,0971 2,6184 2,9656 3,0871 3,0059 2,8033 2,5699 2,3718 2,2407 2,1786 2,1706 2,1989 2,2476 2,3017 2,3535 2,4126 2,4950 2,5966 2,6762 2,6719 2,5383 2,2642 1,8696 1,4100 0,9727 0,6424 0,4660 0,4440 0,5442 0,7191 0,9212 1,1156 1,2830 1,4067 1,4689 1,4705 1,4368 1,3957 1,3607 1,3370 1,3261 1,3162 1,2852 1,2220 1,1404 1,0648 1,0112 0,9849 0,9817 0,9880 0,9887 0,9788 0,9615 0,9414 0,9240 0,9133 0,9084 0,9015 0,8798 0,8323 0,7524 0,6299 0,4466 0,1930 -0,1114 -0,4137 -0,6383 -0,7202 -0,6505 -0,4779 -0,2652 -0,0586 0,1071 0,2046 0,2299 0,2103 0,1885 0,2034 0,2842 0,4516 0,7204 1,0972 1,5686 2,0932 2,6079 3,0454 3,3591 3,5402 3,6142 3,6221 3,6027 3,5788 3,5564 3,5380 3,5275 3,5229 3,5188 3,5141 3,5067 3,4820 3,4155 3,2891 3,1017 2,8688 2,6138 2,3543 2,1012 1,8712 1,6865 1,5599 1,4903 1,4577 1,4077 1,2595 0,9546 0,5000 -0,0431 -0,6021 -1,1120 -1,5110 -1,7509 -1,8171 -1,7340 -1,5559 -1,3475 -1,1520 -0,9662 -0,7473 -0,4466 -0,0420 0,4524 0,9965 1,5430 2,0528 2,4990 2,8739 3,2022 3,5434 3,9586 4,4741 5,0798 5,7482 6,4371 7,0870 7,6355 8,0414 8,2920 8,3917 8,3469 8,1600 7,8325 7,3713 6,7935 6,1291 5,4274 4,7542 4,1717 3,7053 3,3256 2,9632 2,5450 2,0291 1,4203 0,7632 0,1233 -0,4304 -0,8411 -1,0775 -1,1416 -1,0560 -0,8395 -0,5074 -0,0957 0,3385 0,7487 1,1153 1,4307 1,6841 1,8598 1,9396 1,9088 1,7681 1,5405 1,2697 1,0121 0,8167 0,7036 0,6705 0,7137 0,8278 0,9890 1,1512 1,2599 1,2717 1,1698 0,9746 0,7344 0,4951 0,2772 0,0860 -0,0744 -0,2107 -0,3531 -0,5440 -0,8130 -1,1582 -1,5452 -1,9247 -2,2574 -2,5330 -2,7692 -2,9919 -3,2231 -3,4852 -3,8038 -4,1961 -4,6651 -5,2102 -5,8299 -6,5073 -7,1922 -7,7993 -8,2437 -8,4896 -8,5622 -8,5144 -8,3925 -8,2275 -8,0437 -7,8671 -7,7232 -7,6282 -7,5765 -7,5394 -7,4816 -7,3819 -7,2420 -7,0768 -6,9011 -6,7343 -6,6001 -6,5046 -6,4227 -6,3193 -6,1784 -6,0138 -5,8667 -5,7854 -5,7898 -5,8524 -5,9237 -5,9798 -6,0398 -6,1404 -6,3041 -6,5310 -6,8093 -7,1289 -7,4914 -7,9085 -8,3790 -8,8649 -9,2995 -9,6189 -9,7850 -9,7929 -9,6689 -9,4528 -9,1748 -8,8476 -8,4671 -8,0199 -7,5027 -6,9355 -6,3517
F7    0,9335 0,7456 0,6105 0,5891 0,7187 1,0009 1,4004 1,8502 2,2742 2,6149 2,8370 2,9133 2,8248 2,5735 2,1858 1,7055 1,1868 0,6830 0,2331 -0,1436 -0,4511 -0,7159 -0,9682 -1,2094 -1,4064 -1,5261 -1,5624 -1,5353 -1,4811 -1,4346 -1,4045 -1,3736 -1,3234 -1,2526 -1,1711 -1,0808 -0,9644 -0,8040 -0,6058 -0,4021 -0,2459 -0,1963 -0,2775 -0,4469 -0,6272 -0,7738 -0,8976 -1,0345 -1,1994 -1,3656 -1,4864 -1,5318 -1,5002 -1,4055 -1,2699 -1,1281 -1,0263 -1,0066 -1,0879 -1,2560 -1,4638 -1,6471 -1,7512 -1,7552 -1,6695 -1,5139 -1,3075 -1,0750 -0,8441 -0,6352 -0,4586 -0,3184 -0,2064 -0,1006 0,0202 0,1644 0,3313 0,5150 0,7037 0,8826 1,0373 1,1523 1,2129 1,2118 1,1560 1,0617 0,9386 0,7855 0,6066 0,4244 0,2654 0,1348 0,0093 -0,1412 -0,3270 -0,5381 -0,7660 -1,0203 -1,3179 -1,6577 -2,0169 -2,3744 -2,7237 -3,0643 -3,3857 -3,6577 -3,8365 -3,8887 -3,8129 -3,6292 -3,3401 -2,9164 -2,3397 -1,6431 -0,8964 -0,1698 0,4799 1,0086 1,3876 1,6101 1,6956 1,6867 1,6379 1,5968 1,5813 1,5721 1,5289 1,4101 1,1905 0,8776 0,5128 0,1453 -0,1916 -0,4690 -0,6490 -0,6996 -0,6164 -0,4277 -0,1928 0,0119 0,1262 0,1379 0,0852 0,0293 0,0166 0,0561 0,1304 0,2172 0,3002 0,3846 0,5113 0,7412 1,1175 1,6379 2,2506 2,8630 3,3607 3,6436 3,6603 3,4146 2,9559 2,3633 1,7187 1,0869 0,5153 0,0372 -0,3271 -0,5683 -0,6887 -0,7088 -0,6743 -0,6459 -0,6651 -0,7289 -0,8080 -0,8839 -0,9531 -1,0091 -1,0418 -1,0610 -1,1044 -1,2081 -1,3803 -1,6105 -1,8956 -2,2475 -2,6804 -3,1960 -3,7781 -4,3945 -5,0053 -5,5761 -6,0843 -6,5067 -6,8086 -6,9548 -6,9345 -6,7751 -6,5295 -6,2537 -5,9938 -5,7834 -5,6380 -5,5468 -5,4657 -5,3293 -5,0870 -4,7327 -4,3061 -3,8671 -3,4652 -3,1302 -2,8860 -2,7527 -2,7297 -2,7921 -2,9091 -3,0632 -3,2531 -3,4816 -3,7383 -3,9957 -4,2235 -4,4094 -4,5723 -4,7545 -4,9936 -5,2984 -5,6514 -6,0229 -6,3833 -6,7162 -7,0250 -7,3154 -7,5816 -7,8131 -8,0068 -8,1652 -8,2878 -8,3691 -8,4026 -8,3861 -8,3236 -8,2248 -8,0993 -7,9511 -7,7770 -7,5777 -7,3731 -7,2093 -7,1443 -7,2133 -7,3955 -7,6205 -7,8151 -7,9417 -7,9945 -7,9688 -7,8415 -7,5837 -7,1963 -6,7317 -6,2737 -5,8973 -5,6415 -5,4948 -5,4013 -5,3019 -5,1775 -5,0453 -4,9176 -4,7778 -4,5957 -4,3585 -4,0803 -3,7866 -3,4916 -3,1955 -2,8978 -2,6024 -2,3133 -2,0392 -1,7983 -1,6085 -1,4825 -1,4356 -1,4852 -1,6326 -1,8485 -2,0820 -2,2896 -2,4507 -2,5586 -2,6067 -2,5889 -2,5141 -2,4202 -2,3670 -2,3999 -2,5156 -2,6700 -2,8165 -2,9303 -2,9981 -3,0076 -2,9559 -2,8531 -2,7171 -2,5714 -2,4443 -2,3701 -2,3838 -2,4975 -2,6820 -2,8805 -3,0373 -3,1071 -3,0525 -2,8447 -2,4685 -1,9260 -1,2384 -0,4465 0,3943 1,2230 1,9718 2,5556 2,8920 2,9597 2,8266 2,6110 2,4188 2,3037 2,2611 2,2502 2,2295 2,1808 2,1113 2,0437 2,0061 2,0260 2,1187 2,2661 2,4034 2,4414 2,3224 2,0577 1,7101 1,3517 1,0373 0,7994 0,6569 0,6234 0,6988 0,8596 1,0659 1,2767 1,4521 1,5492 1,5359 1,4198 1,2561 1,1192 1,0675 1,1270 1,2894 1,5147 1,7460 1,9394 2,0846 2,1930 2,2699 2,3060 2,2836 2,1894 2,0280 1,8252 1,6149 1,4278 1,2875 1,2092 1,1964 1,2327 1,2768 1,2791 1,2107 1,0653 0,8447 0,5620 0,2503 -0,0409 -0,2541 -0,3414 -0,2952 -0,1590 -0,0001 0,1272 0,1970 0,2120 0,2003 0,1998 0,2321 0,2911 0,3623 0,4450 0,5559 0,7178 0,9408 1,2065 1,4659 1,6570 1,7324 1,6817 1,5361 1,3550 1,1996 1,1131 1,1195 1,2279 1,4238 1,6663 1,9139 2,1473 2,3590 2,5288 2,6262 2,6405 2,5927 2,5145 2,4162 2,2751 2,0610 1,7761 1,4581 1,1530 0,8925 0,6820 0,4905 0,2599 -0,0585 -0,4666 -0,9189 -1,3513 -1,7026 -1,9223 -1,9815 -1,8851 -1,6706 -1,3952 -1,1204 -0,8936 -0,7279 -0,5950 -0,4439 -0,2324 0,0513 0,3840 0,7181 1,0024 1,2055 1,3334 1,4380 1,6036 1,9067 2,3771 2,9971 3,7232 4,4923 5,2215 5,8261 6,2488 6,4687 6,4894 6,3290 6,0139 5,5744 5,0435 4,4522 3,8255 3,1927 2,5984 2,0944 1,7129 1,4444 1,2340 1,0020 0,6823 0,2550 -0,2492 -0,7647 -1,2095 -1,5101 -1,6287 -1,5761 -1,3972 -1,1482 -0,8891 -0,6816 -0,5645 -0,5239 -0,5021 -0,4387 -0,3096 -0,1397 0,0151 0,0974 0,0746 -0,0504 -0,2408 -0,4375 -0,5828 -0,6513 -0,6518 -0,6021 -0,5177 -0,4235 -0,3591 -0,3592 -0,4307 -0,5503 -0,6814 -0,7943 -0,8784 -0,9374 -0,9751 -0,9984 -1,0303 -1,1041 -1,2394 -1,4321 -1,6661 -1,9212 -2,1675 -2,3691 -2,5078 -2,5979 -2,6721 -2,7592 -2,8819 -3,0649 -3,3319 -3,6945 -4,1486 -4,6809 -5,2672 -5,8540 -6,3569 -6,7045 -6,8865 -6,9476 -6,9392 -6,8852 -6,7865 -6,6493 -6,5058 -6,4067 -6,3871 -6,4399 -6,5210 -6,5781 -6,5810 -6,5391 -6,4921 -6,4742 -6,4925 -6,5343 -6,5746 -6,5784 -6,5157 -6,3739 -6,1612 -5,9083 -5,6567 -5,4366 -5,2569 -5,1196 -5,0333 -5,0053 -5,0286 -5,0891 -5,1788 -5,3015 -5,4741 -5,7255 -6,0804 -6,5319 -7,0333 -7,5183 -7,9249 -8,2065 -8,3358 -8,3115 -8,1582 -7,9157 -7,6187 -7,2736 -6,8575 -6,3560 -5,7952 -5,2334
