Fp1   1,3689 1,5216 1,7089 1,8987 2,0581 2,1652 2,2244 2,2790 2,3849 2,5510 2,7188 2,8055 2,7587 2,5838 2,3351 2,0767 1,8453 1,6451 1,4633 1,2715 1,0239 0,6882 0,2912 -0,0922 -0,3929 -0,5787 -0,6499 -0,6338 -0,5796 -0,5461 -0,5860 -0,7314 -0,9780 -1,2813 -1,5799 -1,8284 -2,0052 -2,0982 -2,1046 -2,0510 -1,9963 -1,9992 -2,0855 -2,2498 -2,4661 -2,6895 -2,8629 -2,9390 -2,9004 -2,7620 -2,5504 -2,2884 -2,0092 -1,7839 -1,7127 -1,8671 -2,2349 -2,7327 -3,2691 -3,7844 -4,2402 -4,5985 -4,8234 -4,8960 -4,8320 -4,6883 -4,5487 -4,4977 -4,5935 -4,8449 -5,2121 -5,6292 -6,0264 -6,3572 -6,6190 -6,8407 -7,0433 -7,2168 -7,3239 -7,3252 -7,2062 -6,9827 -6,6880 -6,3560 -6,0101 -5,6610 -5,3174 -4,9983 -4,7295 -4,5289 -4,3903 -4,2695 -4,0923 -3,7985 -3,3856 -2,9121 -2,4598 -2,0800 -1,7711 -1,5106 -1,2995 -1,1705 -1,1608 -1,2858 -1,5408 -1,9197 -2,4092 -2,9591 -3,4773 -3,8721 -4,1056 -4,2059 -4,2315 -4,2362 -4,2688 -4,3821 -4,6197 -4,9903 -5,4621 -5,9796 -6,4799 -6,8986 -7,1766 -7,2737 -7,1778 -6,9116 -6,5304 -6,0965 -5,6390 -5,1368 -4,5438 -3,8329 -3,0270 -2,2027 -1,4596 -0,8667 -0,4275 -0,0988 0,1605 0,3629 0,5036 0,5694 0,5419 0,4265 0,2806 0,1903 0,1986 0,2657 0,3024 0,2372 0,0562 -0,2013 -0,4778 -0,7278 -0,9281 -1,0757 -1,1826 -1,2648 -1,3348 -1,3929 -1,4172 -1,3753 -1,2572 -1,0905 -0,9262 -0,7999 -0,6991 -0,5728 -0,3681 -0,0594 0,3336 0,7358 1,0344 1,1365 1,0289 0,7892 0,5435 0,4041 0,4241 0,5845 0,8181 1,0543 1,2562 1,4206 1,5559 1,6725 1,7912 1,9492 2,1826 2,4890 2,8094 3,0585 3,1755 3,1483 3,0054 2,8033 2,6133 2,4962 2,4749 2,5276 2,6061 2,6670 2,6864 2,6575 2,5920 2,5161 2,4470 2,3749 2,2726 2,1182 1,9094 1,6535 1,3414 0,9511 0,4783 -0,0486 -0,5724 -1,0227 -1,3517 -1,5710 -1,7459 -1,9361 -2,1333 -2,2626 -2,2491 -2,0805 -1,8151 -1,5491 -1,3714 -1,3263 -1,3988 -1,5260 -1,6266 -1,6343 -1,5260 -1,3329 -1,1257 -0,9798 -0,9361 -0,9794 -1,0510 -1,0951 -1,1039 -1,1102 -1,1386 -1,1768 -1,1870 -1,1371 -1,0266 -0,8900 -0,7863 -0,7744 -0,8707 -1,0219 -1,1334 -1,1385 -1,0408 -0,8998 -0,7859 -0,7402 -0,7508 -0,7583 -0,6935 -0,5185 -0,2479 0,0543 0,3030 0,4366 0,4522 0,4012 0,3504 0,3452 0,4030 0,5224 0,6751 0,8019 0,8467 0,8025 0,7129 0,6351 0,6086 0,6531 0,7865 1,0353 1,4115 1,8697 2,3098 2,6417 2,8432 2,9588 3,0600 3,2046 3,4152 3,6733 3,9287 4,1288 4,2551 4,3351 4,4185 4,5419 4,7086 4,8880 5,0305 5,0944 5,0731 5,0067 4,9678 5,0307 5,2354 5,5537 5,8886 6,1242 6,1892 6,0869 5,8729 5,6138 5,3696 5,1941 5,1239 5,1554 5,2382 5,2936 5,2499 5,0815 4,8241 4,5390 4,2588 3,9729 3,6649 3,3492 3,0689 2,8702 2,7862 2,8341 3,0112 3,2939 3,6386 3,9856 4,2699 4,4427 4,4898 4,4313 4,3125 4,1966 4,1396 4,1509 4,1890 4,1983 4,1494 4,0625 4,0023 4,0383 4,2012 4,4780 4,8300 5,2000 5,5179 5,7263 5,8060 5,7773 5,6732 5,5160 5,3155 5,0863 4,8619 4,6924 4,6194 4,6536 4,7784 4,9707 5,2113 5,4790 5,7408 5,9482 6,0496 6,0098 5,8194 5,5015 5,1126 4,7188 4,3580 4,0332 3,7346 3,4638 3,2493 3,1452 3,1990 3,4149 3,7507 4,1411 4,5235 4,8530 5,0999 5,2393 5,2515 5,1357 4,9234 4,6848 4,5130 4,4825 4,6093 4,8441 5,1037 5,3110 5,4149 5,4008 5,3031 5,1962 5,1620 5,2633 5,5289 5,9427 6,4435 6,9473 7,3771 7,6773 7,8140 7,7761 7,5834 7,2800 6,9173 6,5479 6,2283 6,0022 5,8812 5,8564 5,9121 6,0156 6,1220 6,2143 6,3220 6,4935 6,7686 7,1685 7,6820 8,2477 8,7582 9,0915 9,1522 8,8944 8,3258 7,5075 6,5456 5,5604 4,6454 3,8479 3,1783 2,6258 2,1675 1,7773 1,4345 1,1272 0,8542 0,6286 0,4770 0,4345 0,5427 0,8341 1,2916 1,8245 2,3092 2,6552 2,8397 2,9004 2,9062 2,9240 3,0019 3,1718 3,4545 3,8542 4,3504 4,9056 5,4796 6,0347 6,5371 6,9524 7,2377 7,3503 7,2743 7,0359 6,6978 6,3431 6,0569 5,8963 5,8590 5,8765 5,8374 5,6280 5,1766 4,4879 3,6535 2,8123 2,0726 1,4657 0,9727 0,5744 0,2663 0,0417 -0,1184 -0,2346 -0,3178 -0,3830 -0,4663 -0,6055 -0,7993 -0,9944 -1,1117 -1,0816 -0,8656 -0,4552 0,1294 0,8271 1,5405 2,1886 2,7564 3,2842 3,8182 4,3679 4,8951 5,3368 5,6432 5,7921 5,7885 5,6820 5,5675 5,5286 5,5821 5,6807 5,7538 5,7438 5,6213 5,3853 5,0622 4,7076 4,3892 4,1578 4,0310 3,9996 4,0436 4,1359 4,2295 4,2555 4,1481 3,8718 3,4205 2,8015 2,0335 1,1526 0,2167 -0,6878 -1,4522 -1,9794 -2,2224 -2,2006 -1,9889 -1,6930 -1,4147 -1,2128 -1,0792 -0,9634 -0,8286 -0,6792 -0,5332 -0,3765 -0,1503 0,2112 0,7201 1,3114 1,8777 2,3232 2,5910 2,6702 2,5937 2,4224 2,2241 2,0593 1,9670 1,9498 1,9675 1,9492 1,8160 1,5091 1,0316 0,4682 -0,0644 -0,4837 -0,7553 -0,8693 -0,8307 -0,6637 -0,4096 -0,1167 0,1707 0,4170 0,5932 0,6771 0,6654 0,5763 0,4299 0,2394
Fz    0,4959 0,5073 0,6686 0,9456 1,2769 1,5999 1,8818 2,1332 2,3861 2,6536 2,9137 3,1265 3,2577 3,2950 3,2503 3,1457 3,0001 2,8312 2,6592 2,4924 2,3076 2,0620 1,7315 1,3354 0,9263 0,5656 0,2991 0,1409 0,0686 0,0319 -0,0287 -0,1595 -0,3785 -0,6752 -1,0194 -1,3783 -1,7283 -2,0579 -2,3637 -2,6531 -2,9433 -3,2505 -3,5783 -3,9176 -4,2469 -4,5340 -4,7427 -4,8427 -4,8179 -4,6733 -4,4409 -4,1748 -3,9386 -3,7927 -3,7775 -3,8918 -4,0879 -4,3003 -4,4819 -4,6154 -4,6940 -4,6990 -4,6012 -4,3863 -4,0769 -3,7255 -3,3943 -3,1425 -3,0203 -3,0593 -3,2594 -3,5805 -3,9538 -4,3147 -4,6296 -4,8907 -5,0927 -5,2223 -5,2638 -5,2106 -5,0693 -4,8576 -4,5997 -4,3257 -4,0722 -3,8801 -3,7851 -3,8040 -3,9222 -4,0917 -4,2452 -4,3152 -4,2506 -4,0356 -3,7002 -3,3081 -2,9269 -2,6022 -2,3525 -2,1836 -2,1077 -2,1467 -2,3175 -2,6116 -2,9960 -3,4342 -3,8971 -4,3522 -4,7556 -5,0659 -5,2646 -5,3652 -5,4077 -5,4438 -5,5275 -5,7102 -6,0263 -6,4719 -7,0047 -7,5639 -8,0875 -8,5190 -8,8142 -8,9445 -8,8943 -8,6585 -8,2483 -7,6977 -7,0508 -6,3376 -5,5629 -4,7172 -3,7958 -2,8144 -1,8099 -0,8303 0,0796 0,8870 1,5744 2,1346 2,5619 2,8518 3,0124 3,0784 3,1149 3,1986 3,3792 3,6516 3,9644 4,2521 4,4627 4,5676 4,5540 4,4131 4,1412 3,7528 3,2962 2,8482 2,4831 2,2449 2,1438 2,1664 2,2808 2,4417 2,6036 2,7457 2,8921 3,0959 3,3946 3,7766 4,1752 4,4937 4,6494 4,6075 4,3871 4,0528 3,7012 3,4354 3,3309 3,4083 3,6367 3,9650 4,3530 4,7717 5,1883 5,5689 5,8986 6,1897 6,4676 6,7470 7,0172 7,2452 7,3922 7,4295 7,3474 7,1603 6,9066 6,6349 6,3881 6,1966 6,0794 6,0398 6,0550 6,0880 6,1177 6,1506 6,1980 6,2517 6,2815 6,2558 6,1609 6,0002 5,7787 5,5001 5,1809 4,8563 4,5667 4,3372 4,1628 4,0057 3,8153 3,5645 3,2794 3,0330 2,8996 2,9044 3,0082 3,1313 3,1964 3,1630 3,0376 2,8654 2,7080 2,6070 2,5621 2,5375 2,4837 2,3631 2,1755 1,9699 1,8265 1,8141 1,9556 2,2303 2,6079 3,0683 3,5878 4,1220 4,6122 5,0088 5,2864 5,4411 5,4917 5,4884 5,5043 5,5946 5,7596 5,9459 6,0779 6,0968 5,9927 5,8144 5,6460 5,5641 5,6060 5,7611 5,9827 6,2122 6,4029 6,5307 6,5924 6,5991 6,5680 6,5142 6,4361 6,3092 6,1066 5,8270 5,4972 5,1574 4,8528 4,6365 4,5705 4,7094 5,0607 5,5512 6,0469 6,4296 6,6556 6,7492 6,7620 6,7369 6,6910 6,6141 6,4774 6,2540 5,9449 5,5909 5,2571 5,0048 4,8651 4,8257 4,8433 4,8790 4,9270 5,0114 5,1612 5,3904 5,6901 6,0248 6,3360 6,5625 6,6701 6,6755 6,6393 6,6285 6,6857 6,8248 7,0388 7,2997 7,5588 7,7616 7,8668 7,8577 7,7453 7,5633 7,3483 7,1181 6,8719 6,6052 6,3115 5,9802 5,6101 5,2276 4,8836 4,6361 4,5321 4,5886 4,7800 5,0467 5,3155 5,5201 5,6246 5,6418 5,6245 5,6231 5,6517 5,6931 5,7279 5,7575 5,8036 5,8907 6,0326 6,2312 6,4742 6,7282 6,9464 7,0969 7,1815 7,2204 7,2224 7,1778 7,0759 6,9187 6,7251 6,5351 6,4005 6,3558 6,3986 6,4972 6,6100 6,6993 6,7382 6,7140 6,6258 6,4745 6,2548 5,9653 5,6272 5,2832 4,9706 4,7017 4,4740 4,2878 4,1489 4,0621 4,0258 4,0325 4,0705 4,1280 4,1920 4,2464 4,2748 4,2659 4,2159 4,1292 4,0248 3,9401 3,9173 3,9842 4,1430 4,3702 4,6239 4,8608 5,0497 5,1789 5,2617 5,3347 5,4421 5,6144 5,8517 6,1208 6,3724 6,5672 6,6928 6,7577 6,7684 6,7189 6,6034 6,4317 6,2308 6,0343 5,8737 5,7677 5,7147 5,6983 5,6996 5,7004 5,6905 5,6817 5,7100 5,8150 6,0256 6,3515 6,7691 7,2125 7,5882 7,8051 7,8029 7,5610 7,0904 6,4242 5,6097 4,6998 3,7490 2,8129 1,9462 1,1923 0,5713 0,0780 -0,3041 -0,5837 -0,7515 -0,7798 -0,6288 -0,2682 0,2942 0,9978 1,7334 2,3699 2,8020 2,9963 3,0000 2,9034 2,7954 2,7438 2,7923 2,9609 3,2530 3,6600 4,1554 4,6929 5,2180 5,6781 6,0233 6,2077 6,1982 5,9890 5,6124 5,1345 4,6383 4,2086 3,9150 3,7892 3,8082 3,8995 3,9693 3,9364 3,7593 3,4485 3,0561 2,6394 2,2214 1,7832 1,2898 0,7287 0,1323 -0,4363 -0,9209 -1,3049 -1,6224 -1,9378 -2,2983 -2,6914 -3,0461 -3,2738 -3,3085 -3,1281 -2,7495 -2,2091 -1,5468 -0,8119 -0,0690 0,6221 1,2316 1,7592 2,2221 2,6448 3,0379 3,3819 3,6467 3,8275 3,9457 4,0212 4,0616 4,0697 4,0447 3,9740 3,8339 3,6016 3,2675 2,8367 2,3254 1,7576 1,1633 0,5762 0,0266 -0,4642 -0,8773 -1,1971 -1,4335 -1,6328 -1,8555 -2,1400 -2,4913 -2,8909 -3,3049 -3,6901 -4,0056 -4,2190 -4,3050 -4,2533 -4,0818 -3,8342 -3,5636 -3,3190 -3,1293 -2,9828 -2,8251 -2,5918 -2,2514 -1,8187 -1,3343 -0,8299 -0,3100 0,2366 0,8105 1,3857 1,9164 2,3532 2,6639 2,8512 2,9544 3,0268 3,1061 3,1997 3,2844 3,3129 3,2289 2,9958 2,6097 2,0901 1,4791 0,8425 0,2509 -0,2454 -0,6211 -0,8693 -0,9955 -1,0084 -0,9080 -0,6864 -0,3407 0,1148 0,6413 1,1794 1,6669 2,0560 2,3231 2,4799
F3    0,8242 0,9573 1,2140 1,5393 1,8572 2,1006 2,2426 2,3067 2,3424 2,3820 2,4207 2,4299 2,3817 2,2680 2,1059 1,9247 1,7488 1,5948 1,4710 1,3661 1,2388 1,0379 0,7403 0,3700 -0,0185 -0,3660 -0,6278 -0,7875 -0,8636 -0,9025 -0,9579 -1,0644 -1,2237 -1,4079 -1,5767 -1,6978 -1,7611 -1,7774 -1,7683 -1,7585 -1,7725 -1,8276 -1,9299 -2,0755 -2,2501 -2,4246 -2,5578 -2,6060 -2,5336 -2,3274 -2,0116 -1,6495 -1,3305 -1,1480 -1,1678 -1,3935 -1,7622 -2,1831 -2,5874 -2,9436 -3,2329 -3,4210 -3,4610 -3,3280 -3,0495 -2,6975 -2,3553 -2,0909 -1,9505 -1,9600 -2,1235 -2,4168 -2,7910 -3,1948 -3,5972 -3,9855 -4,3450 -4,6496 -4,8670 -4,9700 -4,9455 -4,7974 -4,5436 -4,2133 -3,8461 -3,4874 -3,1781 -2,9440 -2,7855 -2,6759 -2,5735 -2,4362 -2,2310 -1,9487 -1,6142 -1,2739 -0,9696 -0,7223 -0,5343 -0,4068 -0,3542 -0,4032 -0,5768 -0,8770 -1,2827 -1,7639 -2,2886 -2,8128 -3,2780 -3,6300 -3,8401 -3,9135 -3,8858 -3,8122 -3,7572 -3,7896 -3,9642 -4,2982 -4,7680 -5,3251 -5,9072 -6,4420 -6,8608 -7,1135 -7,1712 -7,0230 -6,6808 -6,1798 -5,5633 -4,8591 -4,0706 -3,1937 -2,2418 -1,2567 -0,2971 0,5846 1,3569 2,0095 2,5437 2,9616 3,2610 3,4386 3,5021 3,4838 3,4442 3,4547 3,5609 3,7519 3,9678 4,1367 4,2099 4,1733 4,0387 3,8216 3,5310 3,1804 2,8079 2,4753 2,2365 2,1089 2,0806 2,1301 2,2306 2,3449 2,4322 2,4743 2,4987 2,5652 2,7253 2,9862 3,2967 3,5651 3,7046 3,6767 3,5008 3,2361 2,9630 2,7663 2,7114 2,8208 3,0688 3,4057 3,7877 4,1866 4,5788 4,9417 5,2617 5,5394 5,7819 5,9928 6,1637 6,2743 6,2996 6,2222 6,0451 5,7974 5,5258 5,2758 5,0786 4,9503 4,8943 4,8955 4,9171 4,9210 4,8993 4,8775 4,8807 4,9010 4,8966 4,8192 4,6423 4,3660 4,0043 3,5812 3,1351 2,7158 2,3662 2,1039 1,9071 1,7165 1,4623 1,1113 0,7026 0,3369 0,1159 0,0804 0,1890 0,3456 0,4497 0,4423 0,3242 0,1469 -0,0181 -0,1199 -0,1526 -0,1521 -0,1739 -0,2680 -0,4495 -0,6813 -0,8859 -0,9860 -0,9460 -0,7768 -0,5049 -0,1498 0,2673 0,7074 1,1190 1,4601 1,7080 1,8539 1,9029 1,8886 1,8733 1,9126 2,0152 2,1388 2,2171 2,1958 2,0679 1,8881 1,7489 1,7295 1,8566 2,0981 2,3866 2,6544 2,8584 2,9805 3,0188 2,9811 2,8855 2,7546 2,5991 2,4065 2,1598 1,8666 1,5591 1,2743 1,0444 0,9049 0,9061 1,1049 1,5207 2,0869 2,6632 3,1181 3,3990 3,5280 3,5593 3,5435 3,5078 3,4494 3,3401 3,1496 2,8781 2,5681 2,2878 2,1015 2,0404 2,0855 2,1822 2,2822 2,3766 2,4921 2,6623 2,9047 3,2102 3,5398 3,8307 4,0175 4,0611 3,9713 3,8052 3,6363 3,5239 3,5049 3,5930 3,7725 3,9964 4,2040 4,3461 4,3974 4,3560 4,2387 4,0665 3,8476 3,5811 3,2708 2,9217 2,5337 2,1169 1,7096 1,3713 1,1597 1,1120 1,2308 1,4778 1,7874 2,0898 2,3292 2,4814 2,5644 2,6226 2,6881 2,7553 2,7935 2,7818 2,7327 2,6868 2,6893 2,7696 2,9341 3,1618 3,4047 3,6061 3,7349 3,8020 3,8407 3,8719 3,8901 3,8758 3,8114 3,6971 3,5638 3,4654 3,4452 3,5106 3,6363 3,7836 3,9190 4,0229 4,0881 4,1110 4,0794 3,9708 3,7684 3,4832 3,1553 2,8285 2,5283 2,2684 2,0653 1,9372 1,8934 1,9273 2,0191 2,1483 2,3024 2,4714 2,6376 2,7794 2,8806 2,9312 2,9279 2,8817 2,8220 2,7859 2,8024 2,8814 3,0076 3,1440 3,2484 3,2890 3,2543 3,1626 3,0618 3,0105 3,0522 3,1944 3,4045 3,6253 3,8032 3,9125 3,9529 3,9275 3,8328 3,6729 3,4720 3,2697 3,1046 3,0025 2,9715 3,0022 3,0746 3,1667 3,2550 3,3224 3,3754 3,4463 3,5761 3,8039 4,1580 4,6339 5,1764 5,6916 6,0765 6,2518 6,1819 5,8732 5,3594 4,6890 3,9188 3,1089 2,3195 1,6041 0,9968 0,5008 0,0938 -0,2507 -0,5444 -0,7799 -0,9306 -0,9525 -0,8039 -0,4789 -0,0278 0,4531 0,8562 1,1068 1,1946 1,1670 1,0918 1,0237 1,0020 1,0603 1,2278 1,5259 1,9564 2,4872 3,0539 3,5845 4,0201 4,3208 4,4625 4,4362 4,2536 3,9541 3,5973 3,2496 2,9732 2,8146 2,7851 2,8473 2,9223 2,9184 2,7668 2,4494 2,0042 1,5031 1,0136 0,5610 0,1184 -0,3664 -0,9210 -1,5173 -2,0877 -2,5700 -2,9463 -3,2559 -3,5750 -3,9603 -4,3950 -4,7942 -5,0586 -5,1207 -4,9582 -4,5856 -4,0327 -3,3278 -2,5107 -1,6505 -0,8273 -0,0982 0,5127 1,0081 1,4128 1,7554 2,0480 2,2914 2,4937 2,6701 2,8301 2,9724 3,0924 3,1860 3,2446 3,2507 3,1811 3,0161 2,7440 2,3627 1,8852 1,3437 0,7854 0,2573 -0,2027 -0,5579 -0,7782 -0,8702 -0,8926 -0,9285 -1,0415 -1,2544 -1,5569 -1,9220 -2,3188 -2,7185 -3,0909 -3,4024 -3,6277 -3,7656 -3,8338 -3,8543 -3,8509 -3,8450 -3,8325 -3,7712 -3,6088 -3,3277 -2,9594 -2,5568 -2,1552 -1,7537 -1,3326 -0,8846 -0,4294 -0,0079 0,3336 0,5603 0,6675 0,6838 0,6520 0,6066 0,5640 0,5220 0,4534 0,3059 0,0298 -0,3933 -0,9460 -1,5769 -2,2080 -2,7623 -3,1889 -3,4647 -3,5893 -3,5821 -3,4716 -3,2775 -3,0054 -2,6545 -2,2322 -1,7649 -1,2983 -0,8817 -0,5570 -0,3507 -0,2599
F7    0,4556 0,6669 0,9523 1,2619 1,5314 1,7116 1,7917 1,8077 1,8096 1,8103 1,7773 1,6666 1,4556 1,1577 0,8200 0,5073 0,2801 0,1750 0,1892 0,2791 0,3841 0,4671 0,5323 0,5986 0,6656 0,7153 0,7309 0,7008 0,6095 0,4330 0,1484 -0,2491 -0,7338 -1,2453 -1,6951 -1,9881 -2,0568 -1,8979 -1,5848 -1,2376 -0,9681 -0,8475 -0,9075 -1,1423 -1,4978 -1,8723 -2,1464 -2,2260 -2,0748 -1,7214 -1,2380 -0,7097 -0,2220 0,1381 0,2966 0,2258 -0,0374 -0,4164 -0,8409 -1,2670 -1,6493 -1,9080 -1,9426 -1,6919 -1,1936 -0,5881 -0,0520 0,2864 0,3740 0,2106 -0,1733 -0,7230 -1,3602 -1,9977 -2,5665 -3,0288 -3,3757 -3,6218 -3,7873 -3,8767 -3,8712 -3,7391 -3,4683 -3,1036 -2,7366 -2,4482 -2,2699 -2,1878 -2,1660 -2,1712 -2,1817 -2,1779 -2,1378 -2,0459 -1,8968 -1,6939 -1,4584 -1,2357 -1,0754 -1,0061 -1,0243 -1,0940 -1,1583 -1,1708 -1,1329 -1,0985 -1,1380 -1,2954 -1,5673 -1,9060 -2,2483 -2,5491 -2,7934 -2,9921 -3,1787 -3,3979 -3,6826 -4,0343 -4,4341 -4,8703 -5,3435 -5,8401 -6,3098 -6,6768 -6,8748 -6,8769 -6,7031 -6,3993 -6,0004 -5,5054 -4,8879 -4,1373 -3,2928 -2,4367 -1,6513 -0,9765 -0,3900 0,1648 0,7107 1,1967 1,5349 1,6676 1,5998 1,3942 1,1530 0,9870 0,9662 1,0800 1,2490 1,3788 1,4118 1,3522 1,2546 1,1797 1,1533 1,1623 1,1766 1,1735 1,1497 1,1169 1,0951 1,1100 1,1900 1,3491 1,5657 1,7899 1,9717 2,0780 2,1002 2,0605 1,9979 1,9338 1,8572 1,7531 1,6406 1,5683 1,5777 1,6800 1,8645 2,1119 2,3883 2,6471 2,8538 3,0037 3,1061 3,1636 3,1773 3,1653 3,1555 3,1543 3,1372 3,0712 2,9406 2,7556 2,5518 2,3763 2,2582 2,1998 2,1943 2,2370 2,3208 2,4239 2,5086 2,5423 2,5270 2,5013 2,5087 2,5606 2,6244 2,6394 2,5381 2,2678 1,8101 1,1938 0,5055 -0,1201 -0,5532 -0,7378 -0,7188 -0,6164 -0,5740 -0,6918 -0,9701 -1,3108 -1,5796 -1,6764 -1,5700 -1,3026 -0,9819 -0,7412 -0,6662 -0,7497 -0,9130 -1,0632 -1,1402 -1,1399 -1,1039 -1,0854 -1,1178 -1,2023 -1,3010 -1,3384 -1,2237 -0,8967 -0,3725 0,2483 0,8331 1,2878 1,5814 1,7276 1,7559 1,6864 1,5329 1,3256 1,1148 0,9447 0,8327 0,7798 0,7785 0,8057 0,8340 0,8627 0,9241 1,0512 1,2460 1,4762 1,6897 1,8306 1,8558 1,7463 1,5111 1,1839 0,8174 0,4709 0,1812 -0,0581 -0,2798 -0,5044 -0,7213 -0,8818 -0,9112 -0,7620 -0,4502 -0,0167 0,5087 1,0716 1,5633 1,8754 1,9687 1,8767 1,6712 1,4310 1,2194 1,0624 0,9380 0,7966 0,6102 0,4048 0,2362 0,1464 0,1513 0,2548 0,4421 0,6629 0,8534 0,9845 1,0768 1,1707 1,2910 1,4365 1,5974 1,7794 1,9947 2,2314 2,4577 2,6583 2,8378 2,9981 3,1347 3,2390 3,2925 3,2735 3,1748 3,0092 2,8023 2,5831 2,3715 2,1680 1,9617 1,7519 1,5462 1,3360 1,0942 0,8140 0,5508 0,4168 0,5119 0,8396 1,2926 1,7293 2,0602 2,2663 2,3702 2,4104 2,4258 2,4309 2,4086 2,3303 2,1863 2,0068 1,8628 1,8430 2,0139 2,3780 2,8603 3,3414 3,7214 3,9633 4,0901 4,1555 4,2127 4,2817 4,3343 4,3283 4,2540 4,1337 3,9924 3,8504 3,7350 3,6774 3,7019 3,8229 4,0381 4,3135 4,5885 4,8056 4,9378 4,9850 4,9454 4,8034 4,5566 4,2387 3,9046 3,6000 3,3565 3,2043 3,1624 3,2167 3,3280 3,4568 3,5731 3,6524 3,6680 3,5899 3,4046 3,1419 2,8806 2,7269 2,7697 3,0356 3,4756 3,9991 4,5209 4,9761 5,2984 5,4252 5,3402 5,0970 4,7967 4,5435 4,4035 4,3823 4,4302 4,4764 4,4672 4,3796 4,2176 4,0064 3,7770 3,5424 3,3020 3,0753 2,9147 2,8821 3,0076 3,2585 3,5484 3,7902 3,9510 4,0577 4,1579 4,2859 4,4640 4,7136 5,0398 5,4078 5,7529 6,0130 6,1530 6,1616 6,0268 5,7231 5,2379 4,6047 3,9001 3,2128 2,6182 2,1556 1,8118 1,5336 1,2673 0,9874 0,7010 0,4501 0,3081 0,3399 0,5554 0,9140 1,3612 1,8454 2,3141 2,7126 2,9947 3,1415 3,1694 3,1246 3,0737 3,0891 3,2218 3,4771 3,8115 4,1533 4,4276 4,5777 4,5834 4,4713 4,2970 4,1015 3,8950 3,6815 3,4800 3,3161 3,2024 3,1369 3,1105 3,0970 3,0387 2,8624 2,5265 2,0520 1,5132 0,9955 0,5481 0,1617 -0,2094 -0,6098 -1,0666 -1,5921 -2,1781 -2,7856 -3,3458 -3,7770 -4,0152 -4,0526 -3,9439 -3,7562 -3,5188 -3,2361 -2,9136 -2,5328 -2,0263 -1,3326 -0,4806 0,4088 1,2054 1,8404 2,3222 2,7108 3,0707 3,4348 3,8028 4,1529 4,4512 4,6709 4,8082 4,8754 4,8923 4,8847 4,8666 4,8128 4,6665 4,3853 3,9796 3,5073 3,0365 2,6108 2,2469 1,9580 1,7665 1,6828 1,6829 1,7226 1,7635 1,7684 1,6904 1,4898 1,1610 0,7293 0,2302 -0,2997 -0,8206 -1,2861 -1,6457 -1,8570 -1,9066 -1,8208 -1,6481 -1,4261 -1,1724 -0,8936 -0,5918 -0,2703 0,0546 0,3591 0,6365 0,9051 1,1810 1,4529 1,6916 1,8696 1,9657 1,9705 1,8956 1,7682 1,6102 1,4312 1,2395 1,0388 0,8066 0,4991 0,0864 -0,4199 -0,9683 -1,4894 -1,9277 -2,2512 -2,4398 -2,4929 -2,4491 -2,3734 -2,3209 -2,3142 -2,3458 -2,3901 -2,4146 -2,3820 -2,2526 -2,0031 -1,6597 -1,3068
