Fp1   1,2971 1,5252 1,7076 1,8157 1,8320 1,7777 1,7058 1,6604 1,6465 1,6362 1,5929 1,4951 1,3435 1,1583 0,9731 0,8217 0,7267 0,6900 0,6891 0,6944 0,6948 0,6939 0,6904 0,6774 0,6550 0,6272 0,5825 0,4871 0,3093 0,0533 -0,2345 -0,4938 -0,6911 -0,8335 -0,9495 -1,0645 -1,1925 -1,3402 -1,5070 -1,6818 -1,8456 -1,9813 -2,0818 -2,1534 -2,2142 -2,2836 -2,3633 -2,4332 -2,4670 -2,4480 -2,3717 -2,2396 -2,0652 -1,8821 -1,7324 -1,6380 -1,5908 -1,5665 -1,5441 -1,5124 -1,4569 -1,3434 -1,1342 -0,8295 -0,4805 -0,1525 0,1171 0,3262 0,4872 0,6090 0,6985 0,7630 0,8058 0,8278 0,8356 0,8419 0,8551 0,8683 0,8650 0,8432 0,8245 0,8244 0,8218 0,7685 0,6212 0,3608 0,0048 -0,3949 -0,7844 -1,1340 -1,4332 -1,6813 -1,8880 -2,0667 -2,2176 -2,3282 -2,3980 -2,4491 -2,5052 -2,5673 -2,6190 -2,6481 -2,6548 -2,6397 -2,5956 -2,5147 -2,3948 -2,2395 -2,0597 -1,8720 -1,6922 -1,5328 -1,4014 -1,2942 -1,1961 -1,0963 -0,9984 -0,9172 -0,8744 -0,8911 -0,9600 -1,0329 -1,0562 -1,0134 -0,9262 -0,8199 -0,6989 -0,5537 -0,3834 -0,1997 -0,0121 0,1853 0,4110 0,6826 1,0033 1,3566 1,7125 2,0426 2,3273 2,5525 2,7048 2,7668 2,7194 2,5511 2,2691 1,9039 1,5014 1,1079 0,7555 0,4559 0,2068 0,0063 -0,1389 -0,2213 -0,2455 -0,2264 -0,1743 -0,0785 0,0908 0,3569 0,7093 1,0988 1,4621 1,7602 1,9950 2,1918 2,3664 2,5063 2,5789 2,5533 2,4154 2,1674 1,8265 1,4325 1,0483 0,7350 0,5200 0,3971 0,3508 0,3598 0,3836 0,3743 0,3067 0,1909 0,0621 -0,0333 -0,0527 0,0245 0,1866 0,3999 0,6300 0,8551 1,0608 1,2318 1,3594 1,4587 1,5672 1,7197 1,9238 2,1592 2,4008 2,6318 2,8343 2,9902 3,1048 3,2061 3,3112 3,4067 3,4670 3,4793 3,4445 3,3685 3,2660 3,1629 3,0822 3,0201 2,9396 2,7948 2,5626 2,2507 1,8789 1,4644 1,0323 0,6257 0,2969 0,0928 0,0393 0,1238 0,2965 0,4963 0,6774 0,8190 0,9171 0,9729 0,9850 0,9448 0,8393 0,6640 0,4328 0,1701 -0,1201 -0,4643 -0,8925 -1,3980 -1,9250 -2,3956 -2,7486 -2,9594 -3,0407 -3,0325 -2,9764 -2,8889 -2,7594 -2,5848 -2,4017 -2,2718 -2,2402 -2,3175 -2,4931 -2,7518 -3,0710 -3,4091 -3,7180 -3,9725 -4,1799 -4,3599 -4,5275 -4,6940 -4,8722 -5,0685 -5,2699 -5,4471 -5,5739 -5,6395 -5,6462 -5,6007 -5,5076 -5,3752 -5,2383 -5,1550 -5,1650 -5,2590 -5,3927 -5,5151 -5,5834 -5,5751 -5,4894 -5,3340 -5,1186 -4,8659 -4,6155 -4,4064 -4,2534 -4,1486 -4,0866 -4,0735 -4,1127 -4,1914 -4,2796 -4,3364 -4,3206 -4,2067 -4,0047 -3,7632 -3,5425 -3,3820 -3,2948 -3,2731 -3,2948 -3,3416 -3,4112 -3,5011 -3,5969 -3,6822 -3,7492 -3,8030 -3,8635 -3,9562 -4,0913 -4,2586 -4,4463 -4,6535 -4,8761 -5,0896 -5,2518 -5,3167 -5,2514 -5,0550 -4,7595 -4,4112 -4,0599 -3,7590 -3,5471 -3,4214 -3,3355 -3,2262 -3,0540 -2,8250 -2,5781 -2,3560 -2,1944 -2,1222 -2,1533 -2,2812 -2,4883 -2,7456 -3,0015 -3,1941 -3,2817 -3,2603 -3,1528 -2,9884 -2,7932 -2,5873 -2,3856 -2,1997 -2,0381 -1,9026 -1,7861 -1,6719 -1,5398 -1,3871 -1,2410 -1,1371 -1,0864 -1,0593 -1,0062 -0,8971 -0,7315 -0,5146 -0,2437 0,0792 0,4211 0,7078 0,8486 0,7813 0,4964 0,0203 -0,6103 -1,3526 -2,1538 -2,9525 -3,6875 -4,3170 -4,8307 -5,2398 -5,5606 -5,8098 -6,0034 -6,1553 -6,2787 -6,3862 -6,4846 -6,5667 -6,6149 -6,6107 -6,5440 -6,4197 -6,2555 -6,0644 -5,8460 -5,5918 -5,2892 -4,9253 -4,4985 -4,0209 -3,5051 -2,9594 -2,4023 -1,8672 -1,3828 -0,9534 -0,5542 -0,1485 0,2833 0,7295 1,1612 1,5558 1,9024 2,1892 2,4054 2,5602 2,6860 2,8173 2,9677 3,1214 3,2432 3,3056 3,3035 3,2350 3,0857 2,8502 2,5574 2,2573 1,9916 1,7878 1,6628 1,6206 1,6454 1,6962 1,7108 1,6282 1,4191 1,0955 0,6896 0,2270 -0,2737 -0,7874 -1,2860 -1,7533 -2,1823 -2,5571 -2,8498 -3,0376 -3,1181 -3,1051 -3,0099 -2,8349 -2,5891 -2,3019 -2,0132 -1,7522 -1,5274 -1,3358 -1,1704 -1,0141 -0,8315 -0,5796 -0,2313 0,2133 0,7393 1,3276 1,9485 2,5595 3,1220 3,6153 4,0349 4,3877 4,6921 4,9819 5,2986 5,6610 6,0419 6,3860 6,6440 6,7828 6,7832 6,6447 6,3876 6,0438 5,6474 5,2256 4,7910 4,3499 3,9228 3,5546 3,2946 3,1603 3,1240 3,1363 3,1574 3,1708 3,1805 3,2077 3,2838 3,4284 3,6180 3,7848 3,8546 3,7939 3,6191 3,3676 3,0650 2,7171 2,3230 1,8866 1,4167 0,9265 0,4342 -0,0355 -0,4491 -0,7662 -0,9566 -1,0190 -0,9768 -0,8591 -0,6897 -0,4874 -0,2675 -0,0419 0,1826 0,4116 0,6632 0,9523 1,2726 1,5999 1,9122 2,2032 2,4781 2,7480 3,0284 3,3337 3,6602 3,9780 4,2522 4,4677 4,6294 4,7456 4,8256 4,8863 4,9479 5,0265 5,1369 5,2883 5,4690 5,6442 5,7781 5,8580 5,9022 5,9470 6,0236 6,1440 6,3034 6,4874 6,6787 6,8582 7,0056 7,1076 7,1627 7,1613 7,0707 6,8564 6,5219 6,1145 5,6951 5,3100 4,9826 4,7128 4,4889 4,3025 4,1508 4,0227 3,8908 3,7215 3,4918 3,2008 2,8742 2,5498 2,2552 2,0005 1,7866 1,6103 1,4662 1,3487 1,2513 1,1653 1,0812 0,9965 0,9214 0,8668
Fz    1,2040 1,2921 1,3740 1,4423 1,4813 1,4940 1,5073 1,5461 1,6086 1,6659 1,6845 1,6513 1,5807 1,5009 1,4327 1,3783 1,3321 1,2876 1,2309 1,1524 1,0626 0,9812 0,9139 0,8540 0,7998 0,7542 0,7044 0,6111 0,4295 0,1457 -0,2050 -0,5577 -0,8590 -1,0915 -1,2655 -1,3958 -1,4896 -1,5510 -1,5936 -1,6439 -1,7299 -1,8632 -2,0320 -2,2159 -2,4038 -2,5905 -2,7621 -2,8960 -2,9727 -2,9848 -2,9329 -2,8200 -2,6597 -2,4842 -2,3308 -2,2196 -2,1454 -2,0861 -2,0125 -1,8943 -1,6995 -1,3885 -0,9296 -0,3404 0,2981 0,8860 1,3506 1,6557 1,7943 1,7855 1,6745 1,5194 1,3673 1,2450 1,1674 1,1414 1,1551 1,1703 1,1432 1,0605 0,9462 0,8277 0,7053 0,5620 0,3825 0,1580 -0,1042 -0,3779 -0,6406 -0,8868 -1,1153 -1,3243 -1,5195 -1,7061 -1,8690 -1,9735 -1,9985 -1,9642 -1,9160 -1,8837 -1,8639 -1,8397 -1,8051 -1,7590 -1,6890 -1,5737 -1,3978 -1,1639 -0,8953 -0,6203 -0,3596 -0,1312 0,0515 0,1935 0,3191 0,4529 0,6058 0,7718 0,9199 1,0011 0,9884 0,9038 0,7922 0,6812 0,5795 0,5016 0,4785 0,5346 0,6623 0,8304 1,0157 1,2189 1,4507 1,7141 2,0019 2,2989 2,5844 2,8340 3,0202 3,1183 3,1140 3,0049 2,7953 2,4930 2,1111 1,6745 1,2205 0,7865 0,3966 0,0577 -0,2354 -0,4877 -0,6889 -0,8144 -0,8438 -0,7753 -0,6248 -0,4134 -0,1541 0,1484 0,4860 0,8377 1,1744 1,4792 1,7616 2,0413 2,3184 2,5594 2,7155 2,7530 2,6679 2,4790 2,2127 1,8974 1,5677 1,2619 1,0089 0,8219 0,7063 0,6577 0,6523 0,6529 0,6265 0,5570 0,4534 0,3510 0,2922 0,2972 0,3538 0,4311 0,5036 0,5684 0,6392 0,7284 0,8446 1,0022 1,2206 1,5053 1,8354 2,1751 2,4967 2,7848 3,0248 3,2076 3,3530 3,5001 3,6655 3,8219 3,9224 3,9374 3,8680 3,7376 3,5885 3,4794 3,4571 3,5185 3,6042 3,6359 3,5599 3,3643 3,0627 2,6719 2,2164 1,7452 1,3276 1,0351 0,9115 0,9487 1,0913 1,2694 1,4288 1,5465 1,6261 1,6789 1,7090 1,7066 1,6524 1,5266 1,3214 1,0418 0,6878 0,2357 -0,3446 -1,0464 -1,8003 -2,5031 -3,0696 -3,4592 -3,6783 -3,7655 -3,7628 -3,6922 -3,5555 -3,3586 -3,1344 -2,9404 -2,8306 -2,8312 -2,9367 -3,1193 -3,3390 -3,5522 -3,7268 -3,8568 -3,9587 -4,0545 -4,1631 -4,3031 -4,4903 -4,7191 -4,9545 -5,1527 -5,2861 -5,3457 -5,3322 -5,2526 -5,1211 -4,9645 -4,8286 -4,7643 -4,7936 -4,8967 -5,0307 -5,1518 -5,2220 -5,2149 -5,1224 -4,9499 -4,7150 -4,4564 -4,2283 -4,0703 -3,9848 -3,9474 -3,9382 -3,9523 -3,9908 -4,0521 -4,1271 -4,1966 -4,2325 -4,2059 -4,1052 -3,9471 -3,7581 -3,5484 -3,3189 -3,0843 -2,8779 -2,7438 -2,7216 -2,8216 -3,0186 -3,2721 -3,5473 -3,8203 -4,0828 -4,3452 -4,6208 -4,9026 -5,1730 -5,4315 -5,6908 -5,9471 -6,1649 -6,2866 -6,2589 -6,0612 -5,7118 -5,2546 -4,7524 -4,2848 -3,9170 -3,6566 -3,4495 -3,2227 -2,9378 -2,6148 -2,3114 -2,0826 -1,9586 -1,9434 -2,0154 -2,1362 -2,2727 -2,4029 -2,5029 -2,5481 -2,5305 -2,4676 -2,3882 -2,3138 -2,2542 -2,2071 -2,1584 -2,0916 -1,9965 -1,8684 -1,7059 -1,5115 -1,2996 -1,1084 -0,9901 -0,9738 -1,0324 -1,0880 -1,0614 -0,9216 -0,6834 -0,3733 -0,0135 0,3713 0,7373 1,0145 1,1290 1,0406 0,7570 0,3115 -0,2633 -0,9409 -1,6909 -2,4700 -3,2244 -3,9078 -4,4976 -4,9948 -5,4136 -5,7791 -6,1201 -6,4534 -6,7732 -7,0555 -7,2718 -7,3957 -7,4072 -7,2986 -7,0817 -6,7887 -6,4586 -6,1137 -5,7515 -5,3589 -4,9176 -4,4051 -3,8100 -3,1416 -2,4223 -1,6843 -0,9758 -0,3522 0,1471 0,5166 0,7874 1,0110 1,2284 1,4536 1,6885 1,9437 2,2283 2,5256 2,7986 3,0275 3,2264 3,4226 3,6313 3,8479 4,0517 4,2194 4,3386 4,4015 4,3935 4,3078 4,1669 4,0203 3,9230 3,9168 4,0112 4,1789 4,3816 4,5910 4,7725 4,8717 4,8324 4,6268 4,2683 3,7979 3,2573 2,6751 2,0687 1,4516 0,8418 0,2679 -0,2400 -0,6622 -0,9917 -1,2264 -1,3607 -1,3905 -1,3288 -1,2085 -1,0650 -0,9222 -0,7926 -0,6767 -0,5589 -0,4092 -0,1951 0,1029 0,4804 0,9130 1,3763 1,8638 2,3757 2,8946 3,3909 3,8416 4,2343 4,5649 4,8449 5,1074 5,3985 5,7416 6,1090 6,4428 6,7006 6,8673 6,9355 6,8970 6,7538 6,5283 6,2525 5,9452 5,6078 5,2459 4,8925 4,6091 4,4560 4,4501 4,5558 4,7162 4,8838 5,0305 5,1538 5,2800 5,4499 5,6899 5,9836 6,2656 6,4514 6,4847 6,3576 6,0848 5,6730 5,1239 4,4553 3,7119 2,9542 2,2357 1,5829 0,9957 0,4694 0,0178 -0,3377 -0,5901 -0,7419 -0,7877 -0,7190 -0,5423 -0,2889 -0,0031 0,2818 0,5581 0,8406 1,1462 1,4761 1,8163 2,1516 2,4753 2,7866 3,0848 3,3705 3,6489 3,9276 4,2122 4,5084 4,8258 5,1693 5,5213 5,8457 6,1186 6,3472 6,5645 6,8139 7,1300 7,5210 7,9633 8,4174 8,8471 9,2293 9,5521 9,8096 10,0004 10,1291 10,2044 10,2361 10,2323 10,1953 10,1243 10,0239 9,8991 9,7366 9,5030 9,1688 8,7387 8,2629 7,8199 7,4734 7,2314 7,0506 6,8779 6,6785 6,4335 6,1315 5,7732 5,3747 4,9628 4,5614 4,1716 3,7689 3,3277 2,8469 2,3531 1,8892 1,4996 1,2149 1,0394 0,9480 0,9024 0,8800 0,8803
F3    0,9702 1,2133 1,4233 1,5603 1,5963 1,5557 1,5092 1,5193 1,5960 1,7022 1,7859 1,8094 1,7628 1,6613 1,5279 1,3794 1,2334 1,1099 1,0106 0,9172 0,8176 0,7165 0,6193 0,5245 0,4353 0,3649 0,3130 0,2445 0,1100 -0,1098 -0,3879 -0,6727 -0,9221 -1,1203 -1,2695 -1,3736 -1,4375 -1,4760 -1,5141 -1,5705 -1,6480 -1,7419 -1,8460 -1,9549 -2,0680 -2,1868 -2,3036 -2,4024 -2,4723 -2,5112 -2,5188 -2,4907 -2,4240 -2,3303 -2,2339 -2,1567 -2,1053 -2,0704 -2,0320 -1,9654 -1,8434 -1,6300 -1,2922 -0,8393 -0,3355 0,1429 0,5485 0,8638 1,0822 1,2024 1,2407 1,2320 1,2078 1,1835 1,1677 1,1685 1,1834 1,1885 1,1556 1,0819 0,9908 0,8914 0,7551 0,5416 0,2299 -0,1746 -0,6350 -1,0856 -1,4648 -1,7470 -1,9390 -2,0624 -2,1412 -2,1899 -2,2035 -2,1643 -2,0713 -1,9621 -1,8906 -1,8807 -1,9113 -1,9461 -1,9628 -1,9481 -1,8891 -1,7796 -1,6224 -1,4223 -1,1885 -0,9386 -0,6958 -0,4883 -0,3388 -0,2432 -0,1689 -0,0860 0,0071 0,0870 0,1150 0,0534 -0,0914 -0,2524 -0,3574 -0,3878 -0,3752 -0,3496 -0,3063 -0,2232 -0,0970 0,0518 0,2050 0,3676 0,5621 0,8071 1,1050 1,4424 1,7992 2,1525 2,4697 2,7038 2,8052 2,7408 2,5076 2,1300 1,6463 1,0993 0,5357 0,0037 -0,4600 -0,8409 -1,1430 -1,3709 -1,5152 -1,5555 -1,4779 -1,2867 -1,0005 -0,6378 -0,2095 0,2684 0,7608 1,2213 1,6155 1,9412 2,2257 2,4985 2,7609 2,9785 3,1012 3,0912 2,9344 2,6393 2,2349 1,7726 1,3226 0,9511 0,6875 0,5205 0,4271 0,3869 0,3720 0,3459 0,2810 0,1717 0,0406 -0,0611 -0,0787 0,0090 0,1777 0,3783 0,5686 0,7311 0,8662 0,9760 1,0646 1,1497 1,2623 1,4296 1,6549 1,9173 2,1888 2,4486 2,6776 2,8629 3,0143 3,1551 3,2881 3,3862 3,4160 3,3639 3,2443 3,0892 2,9421 2,8504 2,8416 2,8930 2,9352 2,8935 2,7311 2,4582 2,1045 1,6916 1,2464 0,8236 0,4932 0,3141 0,3145 0,4747 0,7278 0,9871 1,1856 1,3038 1,3584 1,3697 1,3440 1,2771 1,1659 1,0145 0,8324 0,6209 0,3535 -0,0234 -0,5564 -1,2388 -1,9937 -2,7053 -3,2701 -3,6300 -3,7847 -3,7804 -3,6744 -3,4989 -3,2547 -2,9467 -2,6229 -2,3660 -2,2435 -2,2726 -2,4284 -2,6685 -2,9428 -3,1923 -3,3676 -3,4568 -3,4880 -3,5030 -3,5375 -3,6221 -3,7827 -4,0269 -4,3313 -4,6455 -4,9090 -5,0701 -5,1012 -5,0054 -4,8096 -4,5598 -4,3241 -4,1768 -4,1567 -4,2464 -4,3932 -4,5361 -4,6257 -4,6359 -4,5592 -4,3892 -4,1301 -3,8233 -3,5420 -3,3434 -3,2291 -3,1619 -3,1157 -3,0947 -3,1116 -3,1664 -3,2447 -3,3254 -3,3852 -3,4005 -3,3620 -3,2840 -3,1898 -3,0922 -2,9953 -2,9051 -2,8320 -2,7981 -2,8313 -2,9391 -3,1015 -3,2918 -3,4852 -3,6586 -3,8065 -3,9510 -4,1141 -4,2913 -4,4678 -4,6466 -4,8413 -5,0447 -5,2155 -5,2937 -5,2322 -5,0258 -4,7146 -4,3515 -3,9802 -3,6483 -3,4016 -3,2430 -3,1177 -2,9476 -2,6856 -2,3468 -1,9990 -1,7296 -1,6103 -1,6663 -1,8636 -2,1377 -2,4307 -2,6937 -2,8776 -2,9493 -2,9132 -2,8073 -2,6734 -2,5307 -2,3799 -2,2170 -2,0410 -1,8600 -1,6893 -1,5373 -1,3976 -1,2571 -1,1116 -0,9776 -0,8876 -0,8665 -0,9045 -0,9488 -0,9376 -0,8408 -0,6563 -0,3843 -0,0220 0,4236 0,9114 1,3480 1,6152 1,6322 1,3881 0,9193 0,2679 -0,5324 -1,4408 -2,3897 -3,2885 -4,0589 -4,6734 -5,1542 -5,5438 -5,8745 -6,1576 -6,3936 -6,5834 -6,7271 -6,8183 -6,8431 -6,7897 -6,6563 -6,4487 -6,1835 -5,8929 -5,6095 -5,3454 -5,0918 -4,8227 -4,4984 -4,0840 -3,5632 -2,9407 -2,2506 -1,5638 -0,9632 -0,4960 -0,1524 0,1216 0,3988 0,7391 1,1649 1,6624 2,1940 2,7042 3,1293 3,4254 3,5963 3,6906 3,7697 3,8747 4,0104 4,1492 4,2577 4,3159 4,3082 4,2164 4,0384 3,8078 3,5806 3,4050 3,3111 3,3096 3,3897 3,5277 3,6954 3,8501 3,9345 3,8970 3,7150 3,4013 2,9882 2,5127 2,0086 1,4973 0,9807 0,4573 -0,0533 -0,5103 -0,8749 -1,1335 -1,2979 -1,3839 -1,3982 -1,3523 -1,2754 -1,2014 -1,1475 -1,1099 -1,0735 -1,0185 -0,9168 -0,7334 -0,4435 -0,0524 0,4049 0,8898 1,3834 1,8802 2,3716 2,8452 3,2903 3,7016 4,0841 4,4564 4,8492 5,2915 5,7796 6,2571 6,6451 6,8889 6,9695 6,8883 6,6589 6,3121 5,8966 5,4624 5,0414 4,6479 4,2999 4,0354 3,9029 3,9337 4,1128 4,3761 4,6435 4,8531 4,9767 5,0209 5,0239 5,0434 5,1256 5,2677 5,4079 5,4609 5,3716 5,1363 4,7790 4,3179 3,7582 3,1123 2,4177 1,7307 1,0959 0,5227 -0,0051 -0,4906 -0,9024 -1,2006 -1,3749 -1,4435 -1,4236 -1,3196 -1,1360 -0,8949 -0,6328 -0,3798 -0,1395 0,1119 0,4049 0,7476 1,1209 1,5012 1,8800 2,2591 2,6357 3,0001 3,3449 3,6688 3,9752 4,2735 4,5811 4,9144 5,2710 5,6274 5,9604 6,2638 6,5480 6,8331 7,1390 7,4675 7,7979 8,1013 8,3592 8,5704 8,7462 8,9023 9,0576 9,2312 9,4331 9,6538 9,8633 10,0244 10,1162 10,1418 10,0995 9,9549 9,6587 9,1959 8,6105 7,9802 7,3792 6,8536 6,4112 6,0360 5,7149 5,4452 5,2193 5,0134 4,7971 4,5527 4,2872 4,0228 3,7659 3,4927 3,1766 2,8218 2,4621 2,1338 1,8601 1,6489 1,4973 1,3935 1,3209 1,2704 1,2419
F7    1,7152 1,7292 1,6694 1,5248 1,3048 1,0606 0,8689 0,7828 0,7993 0,8657 0,9169 0,9110 0,8316 0,6805 0,4908 0,3224 0,2237 0,2006 0,2237 0,2627 0,3087 0,3636 0,4225 0,4770 0,5259 0,5630 0,5529 0,4401 0,1946 -0,1452 -0,4775 -0,6919 -0,7325 -0,6250 -0,4512 -0,2984 -0,2330 -0,2930 -0,4777 -0,7419 -1,0159 -1,2413 -1,3948 -1,4881 -1,5542 -1,6326 -1,7483 -1,8889 -2,0141 -2,0874 -2,0891 -2,0058 -1,8348 -1,6024 -1,3585 -1,1453 -0,9768 -0,8505 -0,7740 -0,7696 -0,8319 -0,8941 -0,8704 -0,7374 -0,5547 -0,4008 -0,2954 -0,1902 -0,0331 0,1752 0,3891 0,5568 0,6454 0,6516 0,5926 0,4920 0,3739 0,2519 0,1269 0,0141 -0,0384 0,0145 0,1623 0,3344 0,4360 0,3913 0,1804 -0,1575 -0,5644 -0,9899 -1,3820 -1,6923 -1,9061 -2,0438 -2,1318 -2,1878 -2,2308 -2,2812 -2,3438 -2,4040 -2,4460 -2,4637 -2,4575 -2,4270 -2,3623 -2,2458 -2,0750 -1,8751 -1,6802 -1,5060 -1,3442 -1,1826 -1,0268 -0,8962 -0,8023 -0,7488 -0,7481 -0,8211 -0,9776 -1,2040 -1,4516 -1,6369 -1,6829 -1,5777 -1,3893 -1,2176 -1,1290 -1,1262 -1,1714 -1,2260 -1,2653 -1,2674 -1,1993 -1,0205 -0,7033 -0,2644 0,2301 0,7016 1,1030 1,4266 1,6797 1,8551 1,9217 1,8481 1,6355 1,3213 0,9577 0,5944 0,2726 0,0195 -0,1515 -0,2348 -0,2352 -0,1785 -0,1055 -0,0461 0,0033 0,0867 0,2697 0,5965 1,0515 1,5571 2,0129 2,3545 2,5853 2,7566 2,9170 3,0787 3,2114 3,2607 3,1794 2,9467 2,5732 2,1158 1,6789 1,3670 1,2279 1,2471 1,3782 1,5509 1,6673 1,6401 1,4540 1,1778 0,9129 0,7351 0,6768 0,7312 0,8630 1,0302 1,2048 1,3744 1,5294 1,6561 1,7485 1,8267 1,9284 2,0753 2,2518 2,4157 2,5350 2,6143 2,6682 2,6938 2,6972 2,7188 2,7975 2,9318 3,0907 3,2414 3,3576 3,4231 3,4373 3,4190 3,3990 3,3957 3,3868 3,3179 3,1425 2,8446 2,4300 1,9290 1,4110 0,9612 0,6358 0,4561 0,4323 0,5604 0,7961 1,0599 1,2796 1,4136 1,4442 1,3771 1,2393 1,0615 0,8548 0,6103 0,3303 0,0493 -0,2054 -0,4528 -0,7393 -1,0873 -1,4631 -1,7950 -2,0262 -2,1462 -2,1809 -2,1724 -2,1607 -2,1536 -2,1165 -2,0184 -1,8824 -1,7630 -1,6915 -1,6712 -1,7109 -1,8390 -2,0767 -2,4037 -2,7645 -3,1092 -3,4149 -3,6699 -3,8591 -3,9782 -4,0541 -4,1358 -4,2546 -4,3959 -4,5208 -4,6062 -4,6492 -4,6467 -4,5871 -4,4782 -4,3840 -4,4039 -4,5870 -4,8802 -5,1747 -5,3792 -5,4497 -5,3846 -5,2072 -4,9422 -4,6016 -4,2022 -3,7863 -3,4168 -3,1430 -2,9745 -2,8981 -2,9081 -3,0016 -3,1571 -3,3315 -3,4692 -3,5153 -3,4409 -3,2638 -3,0516 -2,9030 -2,9114 -3,1165 -3,4731 -3,8713 -4,2089 -4,4406 -4,5591 -4,5649 -4,4613 -4,2549 -3,9690 -3,6576 -3,3889 -3,2169 -3,1747 -3,2831 -3,5453 -3,9244 -4,3385 -4,6907 -4,8996 -4,9160 -4,7337 -4,3918 -3,9643 -3,5404 -3,1927 -2,9506 -2,7971 -2,6822 -2,5455 -2,3515 -2,1142 -1,8733 -1,6515 -1,4601 -1,3361 -1,3291 -1,4581 -1,7097 -2,0518 -2,4253 -2,7448 -2,9275 -2,9306 -2,7693 -2,4982 -2,1707 -1,8146 -1,4461 -1,0869 -0,7636 -0,5051 -0,3440 -0,2960 -0,3354 -0,4169 -0,5120 -0,6096 -0,7011 -0,7694 -0,7833 -0,7148 -0,5551 -0,3072 0,0202 0,4030 0,7945 1,1343 1,3586 1,4090 1,2460 0,8542 0,2461 -0,5207 -1,3493 -2,1492 -2,8677 -3,4857 -3,9994 -4,4014 -4,6791 -4,8357 -4,8936 -4,8772 -4,8145 -4,7504 -4,7319 -4,7756 -4,8606 -4,9466 -4,9971 -4,9951 -4,9407 -4,8437 -4,7144 -4,5470 -4,3224 -4,0368 -3,7142 -3,3822 -3,0324 -2,6148 -2,0876 -1,4641 -0,8052 -0,1736 0,4039 0,9286 1,3979 1,7898 2,0708 2,2180 2,2327 2,1405 1,9937 1,8644 1,8112 1,8551 1,9878 2,1766 2,3659 2,5089 2,5978 2,6374 2,6075 2,4880 2,3012 2,0983 1,9248 1,8178 1,8182 1,9586 2,2121 2,4598 2,5415 2,3569 1,9267 1,3622 0,7692 0,1902 -0,3675 -0,8894 -1,3606 -1,7912 -2,2091 -2,6242 -3,0029 -3,2833 -3,4092 -3,3538 -3,1212 -2,7417 -2,2707 -1,7867 -1,3759 -1,0919 -0,9227 -0,8121 -0,7163 -0,6275 -0,5442 -0,4416 -0,2781 -0,0125 0,3865 0,9205 1,5390 2,1521 2,6807 3,0952 3,4106 3,6628 3,8949 4,1603 4,5138 4,9733 5,4962 6,0090 6,4398 6,7194 6,7845 6,6132 6,2486 5,7738 5,2764 4,8219 4,4292 4,0766 3,7468 3,4595 3,2615 3,1861 3,2185 3,3065 3,4049 3,4966 3,5843 3,6884 3,8463 4,0704 4,2952 4,3941 4,2666 3,9070 3,3996 2,8618 2,3876 2,0167 1,7299 1,4668 1,1562 0,7514 0,2533 -0,2875 -0,7927 -1,1885 -1,4259 -1,4884 -1,4043 -1,2409 -1,0743 -0,9509 -0,8713 -0,8008 -0,6922 -0,5091 -0,2395 0,1082 0,5135 0,9477 1,3755 1,7621 2,0924 2,3874 2,6981 3,0743 3,5171 3,9667 4,3487 4,6188 4,7627 4,7891 4,7453 4,7116 4,7483 4,8564 5,0010 5,1434 5,2430 5,2580 5,1673 4,9913 4,7952 4,6673 4,6756 4,8370 5,1251 5,4970 5,9151 6,3465 6,7536 7,0988 7,3495 7,4598 7,3659 7,0320 6,5022 5,8895 5,3079 4,8219 4,4475 4,1739 3,9806 3,8520 3,7822 3,7555 3,7283 3,6417 3,4457 3,1238 2,7214 2,3380 2,0724 1,9727 2,0236 2,1587 2,2898 2,3466 2,2965 2,1409 1,9110 1,6653 1,4683 1,3536
