Fp1   2,7515 2,8739 2,8736 2,7199 2,4380 2,0863 1,7226 1,3861 1,0954 0,8505 0,6360 0,4338 0,2372 0,0579 -0,0837 -0,1718 -0,1975 -0,1562 -0,0571 0,0657 0,1573 0,1561 0,0123 -0,2883 -0,7035 -1,1310 -1,4394 -1,5339 -1,4039 -1,1145 -0,7662 -0,4552 -0,2438 -0,1532 -0,1771 -0,2992 -0,4944 -0,7159 -0,8931 -0,9606 -0,8961 -0,7401 -0,5861 -0,5375 -0,6424 -0,8597 -1,0933 -1,2539 -1,2941 -1,2108 -1,0364 -0,8277 -0,6544 -0,5765 -0,6065 -0,6977 -0,7818 -0,8141 -0,7867 -0,7216 -0,6572 -0,6370 -0,6974 -0,8403 -1,0138 -1,1438 -1,1847 -1,1349 -1,0230 -0,8833 -0,7263 -0,5363 -0,3110 -0,0950 0,0411 0,0520 -0,0501 -0,2041 -0,3343 -0,3782 -0,2975 -0,0845 0,2329 0,6048 0,9857 1,3473 1,6686 1,9211 2,0687 2,0879 1,9860 1,7979 1,5693 1,3411 1,1346 0,9452 0,7622 0,6030 0,5210 0,5708 0,7650 1,0584 1,3690 1,6109 1,7244 1,6967 1,5631 1,3903 1,2431 1,1435 1,0555 0,9189 0,6966 0,3853 0,0033 -0,4127 -0,8083 -1,1261 -1,3252 -1,3947 -1,3582 -1,2705 -1,1964 -1,1700 -1,1702 -1,1398 -1,0296 -0,8299 -0,5688 -0,2894 -0,0299 0,1802 0,3165 0,3615 0,3206 0,2324 0,1582 0,1572 0,2586 0,4455 0,6668 0,8637 0,9924 1,0404 1,0360 1,0401 1,1135 1,2867 1,5615 1,9276 2,3711 2,8808 3,4563 4,1096 4,8604 5,7226 6,6813 7,6840 8,6529 9,5066 10,1857 10,6711 10,9750 11,1186 11,1277 11,0435 10,9230 10,8264 10,8032 10,8867 11,0925 11,4080 11,7860 12,1620 12,4846 12,7318 12,8995 12,9873 13,0011 12,9524 12,8350 12,6129 12,2463 11,7275 11,0927 10,4079 9,7444 9,1525 8,6483 8,2204 7,8440 7,4932 7,1495 6,8004 6,4392 6,0755 5,7380 5,4595 5,2628 5,1607 5,1610 5,2647 5,4498 5,6577 5,8099 5,8531 5,7887 5,6551 5,4901 5,3097 5,1060 4,8575 4,5462 4,1691 3,7448 3,3150 2,9334 2,6415 2,4529 2,3611 2,3612 2,4593 2,6610 2,9559 3,3122 3,6865 4,0392 4,3422 4,5789 4,7415 4,8237 4,8181 4,7219 4,5379 4,2763 3,9663 3,6629 3,4213 3,2643 3,1819 3,1499 3,1391 3,1227 3,0859 3,0273 2,9528 2,8717 2,7976 2,7490 2,7421 2,7806 2,8595 2,9754 3,1233 3,2822 3,4196 3,5133 3,5604 3,5641 3,5213 3,4223 3,2582 3,0378 2,7983 2,5973 2,4933 2,5306 2,7268 3,0662 3,5090 4,0032 4,4856 4,8898 5,1644 5,2905 5,2840 5,1869 5,0552 4,9444 4,8875 4,8828 4,8979 4,8786 4,7677 4,5374 4,2127 3,8670 3,5950 3,4775 3,5539 3,8061 4,1664 4,5493 4,8871 5,1535 5,3698 5,5862 5,8438 6,1386 6,4097 6,5670 6,5494 6,3615 6,0641 5,7373 5,4451 5,2201 5,0687 4,9832 4,9456 4,9238 4,8735 4,7566 4,5661 4,3290 4,0806 3,8426 3,6272 3,4458 3,3048 3,1931 3,0831 2,9477 2,7850 2,6306 2,5403 2,5469 2,6284 2,7209 2,7623 2,7269 2,6285 2,5040 2,3929 2,3248 2,3191 2,3879 2,5295 2,7231 2,9461 3,1958 3,4892 3,8366 4,2237 4,6197 4,9965 5,3399 5,6486 5,9212 6,1463 6,3029 6,3653 6,3120 6,1318 5,8303 5,4377 5,0103 4,6098 4,2772 4,0205 3,8123 3,6007 3,3448 3,0475 2,7532 2,5218 2,4006 2,4010 2,4932 2,6295 2,7736 2,9067 3,0176 3,0961 3,1350 3,1411 3,1431 3,1786 3,2710 3,4217 3,6176 3,8360 4,0482 4,2250 4,3399 4,3674 4,2904 4,1155 3,8785 3,6264 3,3905 3,1775 2,9808 2,7994 2,6469 2,5429 2,5005 2,5242 2,6190 2,7874 3,0122 3,2471 3,4354 3,5450 3,5867 3,5983 3,6153 3,6587 3,7415 3,8750 4,0663 4,3041 4,5517 4,7654 4,9251 5,0420 5,1420 5,2458 5,3552 5,4457 5,4700 5,3757 5,1333 4,7620 4,3411 3,9854 3,7965 3,8196 4,0319 4,3619 4,7185 5,0191 5,2141 5,2982 5,2941 5,2302 5,1396 5,0629 5,0325 5,0544 5,1137 5,1928 5,2719 5,3192 5,3032 5,2238 5,1229 5,0620 5,0858 5,2024 5,3897 5,6138 5,8396 6,0307 6,1481 6,1612 6,0714 5,9173 5,7493 5,5993 5,4772 5,3862 5,3359 5,3424 5,4171 5,5536 5,7245 5,8979 6,0588 6,2148 6,3720 6,5122 6,6013 6,6191 6,5756 6,5012 6,4228 6,3541 6,3092 6,3124 6,3832 6,5114 6,6530 6,7568 6,7953 6,7717 6,7097 6,6369 6,5641 6,4730 6,3245 6,0863 5,7593 5,3822 5,0076 4,6753 4,4048 4,2024 4,0622 3,9563 3,8406 3,6889 3,5254 3,4129 3,4077 3,5261 3,7419 3,9943 4,2031 4,2932 4,2199 3,9781 3,5922 3,1029 2,5580 2,0083 1,5065 1,1068 0,8520 0,7581 0,8080 0,9577 1,1520 1,3454 1,5207 1,6987 1,9327 2,2820 2,7748 3,3820 4,0193 4,5748 4,9488 5,0935 5,0368 4,8764 4,7340 4,6947 4,7709 4,9097 5,0301 5,0607 4,9643 4,7516 4,4812 4,2395 4,1023 4,0969 4,1947 4,3275 4,4166 4,4088 4,3001 4,1322 3,9644 3,8445 3,7946 3,8156 3,8993 4,0317 4,1959 4,3759 4,5553 4,7200 4,8651 4,9909 5,0919 5,1593 5,1949 5,2080 5,2043 5,1850 5,1553 5,1375 5,1709 5,2825 5,4615 5,6637 5,8325 5,9180 5,8927 5,7505 5,4973 5,1480 4,7292 4,2850 3,8781 3,5737 3,4156 3,4154 3,5571 3,7969 4,0661 4,2972 4,4620 4,5786 4,6825 4,8035 4,9595 5,1511
Fz    2,1131 2,1543 2,1142 1,9702 1,7306 1,4276 1,0999 0,7784 0,4842 0,2307 0,0243 -0,1344 -0,2465 -0,3080 -0,3148 -0,2729 -0,1986 -0,1069 -0,0096 0,0723 0,1020 0,0351 -0,1565 -0,4602 -0,8187 -1,1423 -1,3342 -1,3329 -1,1435 -0,8295 -0,4781 -0,1680 0,0512 0,1642 0,1801 0,1194 0,0070 -0,1256 -0,2366 -0,2875 -0,2664 -0,2005 -0,1478 -0,1671 -0,2821 -0,4646 -0,6572 -0,8078 -0,8849 -0,8753 -0,7841 -0,6370 -0,4789 -0,3577 -0,2946 -0,2682 -0,2373 -0,1753 -0,0812 0,0254 0,1106 0,1366 0,0802 -0,0451 -0,1885 -0,2938 -0,3282 -0,2885 -0,1947 -0,0779 0,0397 0,1504 0,2451 0,3005 0,2919 0,2157 0,1009 0,0002 -0,0353 0,0234 0,1786 0,4090 0,6770 0,9422 1,1794 1,3838 1,5598 1,7052 1,8093 1,8643 1,8734 1,8456 1,7902 1,7179 1,6374 1,5494 1,4544 1,3693 1,3322 1,3798 1,5214 1,7298 1,9536 2,1397 2,2560 2,3054 2,3185 2,3313 2,3602 2,3875 2,3698 2,2691 2,0780 1,8180 1,5221 1,2281 0,9731 0,7869 0,6844 0,6589 0,6786 0,6934 0,6583 0,5650 0,4502 0,3690 0,3595 0,4259 0,5442 0,6798 0,7994 0,8764 0,8942 0,8512 0,7651 0,6738 0,6260 0,6651 0,8047 1,0173 1,2485 1,4445 1,5693 1,6158 1,6122 1,6137 1,6747 1,8243 2,0631 2,3754 2,7400 3,1413 3,5785 4,0637 4,6126 5,2344 5,9208 6,6430 7,3579 8,0186 8,5888 9,0536 9,4151 9,6806 9,8593 9,9664 10,0266 10,0707 10,1301 10,2353 10,4103 10,6539 10,9282 11,1762 11,3523 11,4376 11,4333 11,3515 11,2144 11,0473 10,8562 10,6131 10,2769 9,8308 9,2994 8,7371 8,2043 7,7471 7,3834 7,1046 6,8871 6,7069 6,5449 6,3866 6,2222 6,0524 5,8891 5,7484 5,6454 5,5950 5,6106 5,6970 5,8389 5,9962 6,1171 6,1671 6,1470 6,0800 5,9860 5,8683 5,7154 5,5096 5,2390 4,9027 4,5142 4,1046 3,7156 3,3825 3,1215 2,9355 2,8290 2,8112 2,8856 3,0365 3,2248 3,4019 3,5305 3,5966 3,6024 3,5547 3,4601 3,3290 3,1752 3,0072 2,8259 2,6386 2,4678 2,3388 2,2624 2,2346 2,2444 2,2766 2,3138 2,3421 2,3527 2,3417 2,3093 2,2589 2,2007 2,1527 2,1335 2,1569 2,2302 2,3490 2,4929 2,6376 2,7707 2,8899 2,9878 3,0449 3,0388 2,9567 2,8051 2,6102 2,4106 2,2506 2,1762 2,2264 2,4156 2,7239 3,1016 3,4830 3,8058 4,0276 4,1323 4,1283 4,0479 3,9391 3,8482 3,7985 3,7837 3,7769 3,7415 3,6437 3,4708 3,2427 3,0088 2,8329 2,7730 2,8614 3,0920 3,4208 3,7837 4,1213 4,4020 4,6311 4,8386 5,0501 5,2608 5,4287 5,4999 5,4489 5,2937 5,0801 4,8592 4,6716 4,5388 4,4619 4,4266 4,4097 4,3821 4,3152 4,1927 4,0205 3,8204 3,6097 3,3920 3,1687 2,9491 2,7459 2,5615 2,3852 2,2052 2,0229 1,8588 1,7425 1,6910 1,6926 1,7144 1,7243 1,7064 1,6620 1,6039 1,5476 1,5062 1,4927 1,5233 1,6098 1,7481 1,9228 2,1262 2,3644 2,6414 2,9437 3,2432 3,5142 3,7470 3,9470 4,1239 4,2805 4,4109 4,4996 4,5233 4,4571 4,2881 4,0294 3,7226 3,4231 3,1770 3,0039 2,8894 2,7918 2,6647 2,4847 2,2626 2,0366 1,8533 1,7429 1,7082 1,7366 1,8150 1,9282 2,0559 2,1796 2,2887 2,3815 2,4667 2,5593 2,6676 2,7872 2,9061 3,0138 3,1039 3,1707 3,2059 3,1996 3,1473 3,0601 2,9636 2,8818 2,8195 2,7633 2,6976 2,6171 2,5293 2,4499 2,3966 2,3856 2,4327 2,5473 2,7193 2,9159 3,0972 3,2372 3,3283 3,3750 3,3893 3,3893 3,3949 3,4241 3,4917 3,6009 3,7323 3,8536 3,9424 3,9971 4,0282 4,0454 4,0500 4,0316 3,9685 3,8377 3,6300 3,3647 3,0935 2,8880 2,8094 2,8815 3,0826 3,3621 3,6627 3,9351 4,1467 4,2862 4,3593 4,3819 4,3790 4,3813 4,4106 4,4673 4,5359 4,6007 4,6488 4,6642 4,6329 4,5621 4,4875 4,4566 4,5008 4,6210 4,7955 4,9941 5,1870 5,3482 5,4557 5,4945 5,4643 5,3815 5,2693 5,1446 5,0172 4,8981 4,8044 4,7535 4,7569 4,8153 4,9194 5,0543 5,2094 5,3807 5,5604 5,7261 5,8462 5,8987 5,8845 5,8258 5,7517 5,6868 5,6527 5,6688 5,7454 5,8713 6,0133 6,1318 6,2015 6,2183 6,1925 6,1363 6,0510 5,9246 5,7435 5,5070 5,2348 4,9586 4,7043 4,4814 4,2876 4,1172 3,9620 3,8044 3,6198 3,3962 3,1552 2,9466 2,8184 2,7899 2,8487 2,9605 3,0821 3,1736 3,2096 3,1829 3,0985 2,9662 2,8000 2,6213 2,4621 2,3612 2,3499 2,4377 2,6082 2,8249 3,0423 3,2210 3,3439 3,4277 3,5202 3,6758 3,9248 4,2562 4,6227 4,9567 5,1934 5,2954 5,2698 5,1685 5,0635 5,0115 5,0286 5,0926 5,1634 5,2011 5,1752 5,0768 4,9297 4,7844 4,6896 4,6634 4,6871 4,7171 4,7036 4,6138 4,4497 4,2452 4,0443 3,8825 3,7833 3,7603 3,8171 3,9435 4,1166 4,3076 4,4883 4,6397 4,7590 4,8550 4,9324 4,9883 5,0227 5,0411 5,0485 5,0442 5,0259 5,0010 4,9918 5,0183 5,0787 5,1496 5,1992 5,2005 5,1402 5,0185 4,8419 4,6194 4,3648 4,1015 3,8642 3,6884 3,5948 3,5835 3,6365 3,7198 3,7904 3,8167 3,7993 3,7661 3,7500 3,7740 3,8481 3,9664
F3    2,0351 2,0930 2,0822 1,9889 1,8254 1,6192 1,3956 1,1690 0,9455 0,7244 0,5008 0,2761 0,0664 -0,1002 -0,1998 -0,2263 -0,1898 -0,1084 -0,0106 0,0605 0,0556 -0,0643 -0,3147 -0,6757 -1,0889 -1,4649 -1,7038 -1,7373 -1,5633 -1,2403 -0,8564 -0,4955 -0,2127 -0,0271 0,0655 0,0779 0,0273 -0,0573 -0,1302 -0,1444 -0,0823 0,0241 0,0998 0,0644 -0,1168 -0,4051 -0,7156 -0,9698 -1,1246 -1,1707 -1,1250 -1,0222 -0,9074 -0,8239 -0,7870 -0,7703 -0,7265 -0,6229 -0,4563 -0,2545 -0,0692 0,0391 0,0260 -0,1042 -0,2850 -0,4294 -0,4854 -0,4509 -0,3559 -0,2392 -0,1229 -0,0046 0,1190 0,2298 0,2962 0,2976 0,2418 0,1618 0,0996 0,0886 0,1444 0,2645 0,4320 0,6272 0,8389 1,0637 1,2930 1,5024 1,6545 1,7176 1,6819 1,5604 1,3810 1,1773 0,9753 0,7855 0,6105 0,4629 0,3722 0,3675 0,4565 0,6186 0,8136 0,9964 1,1328 1,2106 1,2391 1,2441 1,2542 1,2755 1,2797 1,2283 1,1044 0,9155 0,6844 0,4447 0,2345 0,0836 0,0019 -0,0253 -0,0330 -0,0649 -0,1530 -0,2915 -0,4327 -0,5149 -0,4979 -0,3838 -0,2110 -0,0283 0,1281 0,2403 0,3038 0,3265 0,3299 0,3446 0,3995 0,5129 0,6847 0,8941 1,1049 1,2784 1,3882 1,4356 1,4580 1,5130 1,6418 1,8438 2,0899 2,3510 2,6141 2,8855 3,1890 3,5588 4,0295 4,6236 5,3362 6,1296 6,9422 7,7033 8,3524 8,8554 9,2063 9,4150 9,5021 9,5012 9,4561 9,4087 9,3865 9,4035 9,4659 9,5702 9,6971 9,8169 9,9074 9,9632 9,9884 9,9869 9,9624 9,9166 9,8359 9,6864 9,4345 9,0739 8,6318 8,1526 7,6799 7,2452 6,8595 6,5145 6,1928 5,8809 5,5741 5,2731 4,9830 4,7134 4,4756 4,2770 4,1243 4,0282 4,0031 4,0589 4,1880 4,3562 4,5132 4,6223 4,6783 4,6923 4,6693 4,6002 4,4669 4,2538 3,9582 3,5910 3,1755 2,7506 2,3633 2,0465 1,8056 1,6281 1,5056 1,4426 1,4507 1,5346 1,6835 1,8760 2,0918 2,3146 2,5257 2,7012 2,8188 2,8669 2,8473 2,7696 2,6476 2,5039 2,3686 2,2647 2,1955 2,1519 2,1241 2,1065 2,0998 2,1086 2,1333 2,1670 2,1982 2,2162 2,2204 2,2244 2,2427 2,2839 2,3556 2,4643 2,6045 2,7582 2,9099 3,0520 3,1747 3,2588 3,2825 3,2353 3,1282 2,9919 2,8649 2,7851 2,7878 2,8993 3,1244 3,4423 3,8081 4,1602 4,4405 4,6173 4,6929 4,6963 4,6715 4,6630 4,6984 4,7764 4,8687 4,9334 4,9293 4,8291 4,6340 4,3759 4,1071 3,8886 3,7772 3,8096 3,9848 4,2588 4,5652 4,8459 5,0769 5,2724 5,4651 5,6726 5,8730 6,0067 6,0091 5,8558 5,5807 5,2555 4,9560 4,7373 4,6218 4,6025 4,6526 4,7345 4,8049 4,8254 4,7777 4,6713 4,5339 4,3874 4,2338 4,0664 3,8855 3,6978 3,5051 3,3028 3,0899 2,8800 2,7047 2,6010 2,5837 2,6299 2,6935 2,7327 2,7256 2,6711 2,5832 2,4847 2,4020 2,3625 2,3907 2,4985 2,6764 2,9029 3,1643 3,4588 3,7825 4,1185 4,4446 4,7451 5,0153 5,2562 5,4646 5,6294 5,7353 5,7648 5,7013 5,5343 5,2661 4,9207 4,5452 4,1939 3,9066 3,6958 3,5432 3,4083 3,2555 3,0798 2,9080 2,7800 2,7270 2,7550 2,8412 2,9488 3,0452 3,1068 3,1224 3,1004 3,0648 3,0428 3,0578 3,1217 3,2243 3,3386 3,4396 3,5190 3,5829 3,6414 3,6978 3,7439 3,7644 3,7524 3,7170 3,6717 3,6175 3,5476 3,4642 3,3837 3,3256 3,3028 3,3190 3,3727 3,4624 3,5841 3,7217 3,8475 3,9362 3,9782 3,9788 3,9486 3,8997 3,8485 3,8138 3,8118 3,8565 3,9513 4,0791 4,2118 4,3338 4,4512 4,5790 4,7243 4,8746 4,9922 5,0225 4,9196 4,6715 4,3164 3,9432 3,6658 3,5727 3,6834 3,9448 4,2645 4,5532 4,7511 4,8411 4,8446 4,8004 4,7441 4,7053 4,7081 4,7580 4,8325 4,8963 4,9275 4,9234 4,8865 4,8217 4,7492 4,7086 4,7379 4,8489 5,0239 5,2310 5,4384 5,6212 5,7604 5,8394 5,8464 5,7843 5,6722 5,5320 5,3779 5,2165 5,0544 4,9057 4,7919 4,7323 4,7320 4,7794 4,8572 4,9566 5,0777 5,2160 5,3496 5,4477 5,4945 5,5048 5,5122 5,5423 5,6003 5,6817 5,7839 5,9034 6,0223 6,1061 6,1230 6,0644 5,9453 5,7941 5,6392 5,4937 5,3505 5,1955 5,0270 4,8631 4,7289 4,6371 4,5798 4,5366 4,4867 4,4087 4,2750 4,0583 3,7597 3,4294 3,1485 2,9855 2,9665 3,0720 3,2471 3,4156 3,5049 3,4728 3,3175 3,0664 2,7618 2,4490 2,1647 1,9342 1,7776 1,7111 1,7387 1,8449 1,9964 2,1554 2,2962 2,4147 2,5332 2,6943 2,9408 3,2885 3,7143 4,1633 4,5673 4,8647 5,0212 5,0481 5,0019 4,9556 4,9589 5,0143 5,0839 5,1201 5,0903 4,9850 4,8187 4,6266 4,4527 4,3311 4,2715 4,2559 4,2417 4,1782 4,0344 3,8225 3,5913 3,3971 3,2806 3,2609 3,3370 3,4905 3,6911 3,9055 4,1063 4,2741 4,4000 4,4894 4,5555 4,6044 4,6340 4,6453 4,6453 4,6382 4,6228 4,6005 4,5892 4,6218 4,7182 4,8626 5,0101 5,1087 5,1197 5,0340 4,8695 4,6553 4,4197 4,1857 3,9732 3,8061 3,7085 3,6894 3,7374 3,8261 3,9218 3,9897 4,0102 3,9959 3,9842 4,0116 4,0970 4,2398 4,4224
F7    1,7083 1,8536 1,9032 1,8387 1,6745 1,4394 1,1630 0,8745 0,6001 0,3566 0,1483 -0,0249 -0,1560 -0,2324 -0,2471 -0,2061 -0,1226 -0,0094 0,1160 0,2217 0,2660 0,2145 0,0522 -0,2116 -0,5345 -0,8359 -1,0190 -1,0257 -0,8714 -0,6246 -0,3600 -0,1299 0,0388 0,1333 0,1435 0,0606 -0,1117 -0,3418 -0,5682 -0,7237 -0,7696 -0,7144 -0,6089 -0,5219 -0,5016 -0,5510 -0,6357 -0,7083 -0,7337 -0,7049 -0,6406 -0,5716 -0,5328 -0,5572 -0,6538 -0,7915 -0,9223 -1,0161 -1,0690 -1,0917 -1,0980 -1,0984 -1,0978 -1,0901 -1,0567 -0,9814 -0,8632 -0,7189 -0,5780 -0,4666 -0,3848 -0,3107 -0,2361 -0,1873 -0,2047 -0,3077 -0,4758 -0,6573 -0,7965 -0,8548 -0,8151 -0,6829 -0,4834 -0,2488 -0,0015 0,2459 0,4780 0,6664 0,7751 0,7811 0,6916 0,5398 0,3660 0,2010 0,0558 -0,0785 -0,2141 -0,3435 -0,4345 -0,4507 -0,3798 -0,2438 -0,0872 0,0420 0,1102 0,1132 0,0801 0,0531 0,0564 0,0771 0,0779 0,0269 -0,0821 -0,2327 -0,4016 -0,5668 -0,7138 -0,8364 -0,9328 -1,0028 -1,0521 -1,0957 -1,1518 -1,2227 -1,2829 -1,2926 -1,2262 -1,0893 -0,9120 -0,7287 -0,5672 -0,4494 -0,3913 -0,3963 -0,4470 -0,5048 -0,5214 -0,4596 -0,3157 -0,1245 0,0649 0,2168 0,3180 0,3758 0,4163 0,4771 0,5873 0,7511 0,9553 1,1873 1,4426 1,7242 2,0431 2,4134 2,8469 3,3463 3,8953 4,4586 4,9937 5,4618 5,8355 6,1048 6,2763 6,3641 6,3854 6,3621 6,3207 6,2869 6,2836 6,3361 6,4705 6,6928 6,9748 7,2667 7,5250 7,7264 7,8600 7,9164 7,8932 7,8003 7,6445 7,4129 7,0873 6,6724 6,2045 5,7365 5,3152 4,9637 4,6753 4,4254 4,1923 3,9662 3,7448 3,5216 3,2871 3,0427 2,8059 2,5993 2,4389 2,3346 2,2941 2,3227 2,4094 2,5146 2,5816 2,5708 2,4826 2,3449 2,1856 2,0182 1,8447 1,6649 1,4818 1,2984 1,1147 0,9327 0,7579 0,5944 0,4442 0,3158 0,2319 0,2217 0,3057 0,4839 0,7366 1,0315 1,3328 1,6064 1,8260 1,9750 2,0468 2,0443 1,9778 1,8588 1,6959 1,5025 1,3061 1,1362 1,0063 0,9154 0,8612 0,8420 0,8531 0,8836 0,9167 0,9400 0,9551 0,9757 1,0181 1,0911 1,1934 1,3201 1,4702 1,6410 1,8188 1,9807 2,1063 2,1826 2,1990 2,1471 2,0257 1,8433 1,6200 1,3895 1,1951 1,0797 1,0771 1,2011 1,4390 1,7576 2,1132 2,4579 2,7453 2,9427 3,0389 3,0442 2,9833 2,8900 2,7999 2,7395 2,7172 2,7209 2,7216 2,6876 2,6045 2,4858 2,3669 2,2911 2,2928 2,3833 2,5459 2,7436 2,9390 3,1101 3,2549 3,3915 3,5475 3,7402 3,9571 4,1502 4,2570 4,2362 4,0863 3,8409 3,5515 3,2708 3,0396 2,8806 2,7980 2,7784 2,7918 2,8002 2,7746 2,7122 2,6329 2,5562 2,4852 2,4099 2,3209 2,2165 2,1000 1,9741 1,8426 1,7180 1,6246 1,5864 1,6047 1,6479 1,6676 1,6300 1,5379 1,4241 1,3299 1,2860 1,3051 1,3854 1,5187 1,6916 1,8841 2,0773 2,2661 2,4614 2,6733 2,8956 3,1078 3,2901 3,4365 3,5533 3,6452 3,7061 3,7237 3,6885 3,5962 3,4454 3,2394 2,9954 2,7477 2,5332 2,3721 2,2605 2,1719 2,0675 1,9180 1,7236 1,5093 1,3090 1,1525 1,0545 1,0100 1,0066 1,0360 1,0912 1,1609 1,2296 1,2809 1,3062 1,3130 1,3202 1,3425 1,3838 1,4417 1,5116 1,5866 1,6607 1,7295 1,7842 1,8070 1,7791 1,6959 1,5716 1,4275 1,2812 1,1432 1,0220 0,9283 0,8753 0,8725 0,9211 1,0185 1,1582 1,3224 1,4797 1,6010 1,6820 1,7501 1,8405 1,9637 2,0998 2,2270 2,3457 2,4742 2,6220 2,7728 2,8978 2,9829 3,0385 3,0879 3,1499 3,2237 3,2807 3,2734 3,1612 2,9361 2,6336 2,3244 2,0863 1,9746 2,0073 2,1654 2,4038 2,6643 2,8920 3,0528 3,1402 3,1661 3,1496 3,1131 3,0809 3,0703 3,0847 3,1171 3,1577 3,1908 3,1912 3,1350 3,0211 2,8797 2,7572 2,6916 2,6941 2,7507 2,8374 2,9351 3,0296 3,1005 3,1244 3,0972 3,0429 2,9920 2,9560 2,9296 2,9088 2,9012 2,9202 2,9722 3,0476 3,1239 3,1817 3,2217 3,2638 3,3257 3,4023 3,4702 3,5075 3,5073 3,4772 3,4289 3,3721 3,3183 3,2846 3,2871 3,3269 3,3870 3,4459 3,4922 3,5258 3,5514 3,5729 3,5850 3,5692 3,5008 3,3643 3,1640 2,9231 2,6724 2,4400 2,2443 2,0937 1,9887 1,9162 1,8506 1,7696 1,6786 1,6118 1,6062 1,6732 1,7919 1,9184 2,0008 1,9978 1,8947 1,7052 1,4569 1,1772 0,8894 0,6168 0,3849 0,2193 0,1374 0,1430 0,2274 0,3718 0,5501 0,7345 0,9062 1,0688 1,2505 1,4895 1,8038 2,1726 2,5426 2,8516 3,0529 3,1335 3,1193 3,0656 3,0303 3,0442 3,0994 3,1590 3,1775 3,1186 2,9673 2,7387 2,4812 2,2630 2,1392 2,1229 2,1864 2,2807 2,3509 2,3520 2,2712 2,1341 1,9865 1,8687 1,8015 1,7871 1,8146 1,8677 1,9351 2,0126 2,0977 2,1886 2,2893 2,4055 2,5298 2,6412 2,7179 2,7466 2,7273 2,6774 2,6282 2,6161 2,6731 2,8098 3,0036 3,2074 3,3711 3,4596 3,4593 3,3714 3,2040 2,9724 2,7000 2,4186 2,1679 1,9893 1,9144 1,9570 2,1111 2,3458 2,6072 2,8424 3,0311 3,1873 3,3353 3,4918 3,6642 3,8469
