Fp1   -0,1898 0,0980 0,3916 0,6517 0,8418 0,9409 0,9482 0,8800 0,7625 0,6230 0,4803 0,3428 0,2129 0,0907 -0,0229 -0,1218 -0,1947 -0,2359 -0,2525 -0,2598 -0,2697 -0,2833 -0,2905 -0,2788 -0,2440 -0,1921 -0,1298 -0,0600 0,0139 0,0860 0,1484 0,1895 0,1974 0,1697 0,1161 0,0492 -0,0249 -0,1063 -0,1959 -0,2907 -0,3809 -0,4514 -0,4880 -0,4854 -0,4543 -0,4165 -0,3967 -0,4166 -0,4889 -0,6126 -0,7745 -0,9559 -1,1382 -1,3062 -1,4462 -1,5459 -1,6026 -1,6302 -1,6510 -1,6811 -1,7240 -1,7745 -1,8250 -1,8654 -1,8792 -1,8484 -1,7666 -1,6440 -1,5017 -1,3625 -1,2429 -1,1493 -1,0781 -1,0187 -0,9633 -0,9152 -0,8866 -0,8904 -0,9344 -1,0177 -1,1282 -1,2434 -1,3378 -1,3955 -1,4177 -1,4214 -1,4289 -1,4569 -1,5073 -1,5653 -1,6058 -1,6115 -1,5839 -1,5401 -1,5010 -1,4794 -1,4757 -1,4834 -1,5001 -1,5382 -1,6234 -1,7768 -1,9970 -2,2601 -2,5364 -2,8024 -3,0397 -3,2348 -3,3862 -3,5079 -3,6199 -3,7397 -3,8849 -4,0726 -4,3030 -4,5524 -4,7887 -4,9911 -5,1516 -5,2660 -5,3308 -5,3486 -5,3309 -5,2911 -5,2351 -5,1583 -5,0473 -4,8886 -4,6790 -4,4277 -4,1534 -3,8818 -3,6424 -3,4574 -3,3279 -3,2354 -3,1527 -3,0514 -2,9065 -2,7009 -2,4276 -2,0908 -1,7079 -1,3057 -0,9115 -0,5484 -0,2310 0,0423 0,2889 0,5299 0,7796 1,0468 1,3388 1,6548 1,9814 2,3008 2,6048 2,8962 3,1770 3,4392 3,6692 3,8585 4,0083 4,1279 4,2333 4,3422 4,4652 4,6004 4,7341 4,8440 4,9031 4,8907 4,8058 4,6689 4,5108 4,3540 4,2013 4,0389 3,8482 3,6139 3,3316 3,0135 2,6864 2,3824 2,1303 1,9490 1,8439 1,8041 1,8020 1,8057 1,7959 1,7692 1,7314 1,6884 1,6430 1,5955 1,5456 1,4901 1,4208 1,3285 1,2097 1,0677 0,9119 0,7540 0,6022 0,4535 0,2967 0,1251 -0,0549 -0,2304 -0,3948 -0,5557 -0,7262 -0,9063 -1,0770 -1,2179 -1,3238 -1,4057 -1,4787 -1,5467 -1,5956 -1,6009 -1,5443 -1,4233 -1,2502 -1,0428 -0,8194 -0,6032 -0,4240 -0,3108 -0,2797 -0,3263 -0,4252 -0,5420 -0,6498 -0,7395 -0,8146 -0,8798 -0,9332 -0,9668 -0,9741 -0,9569 -0,9222 -0,8747 -0,8130 -0,7322 -0,6317 -0,5183 -0,3965 -0,2611 -0,1044 0,0708 0,2487 0,4124 0,5578 0,6951 0,8383 0,9935 1,1559 1,3176 1,4762 1,6322 1,7807 1,9098 2,0090 2,0754 2,1148 2,1399 2,1629 2,1911 2,2272 2,2711 2,3163 2,3484 2,3521 2,3244 2,2817 2,2508 2,2495 2,2723 2,2918 2,2798 2,2301 2,1591 2,0868 2,0244 1,9721 1,9198 1,8558 1,7818 1,7165 1,6815 1,6845 1,7136 1,7440 1,7570 1,7558 1,7633 1,8065 1,8981 2,0278 2,1696 2,2977 2,3973 2,4620 2,4858 2,4650 2,4090 2,3395 2,2768 2,2258 2,1742 2,1040 2,0090 1,9038 1,8153 1,7623 1,7400 1,7231 1,6819 1,5926 1,4435 1,2432 1,0212 0,8120 0,6407 0,5212 0,4565 0,4379 0,4490 0,4740 0,5061 0,5484 0,6035 0,6634 0,7140 0,7466 0,7569 0,7386 0,6852 0,5980 0,4894 0,3808 0,2988 0,2672 0,2984 0,3906 0,5322 0,7053 0,8880 1,0570 1,1926 1,2827 1,3261 1,3318 1,3126 1,2765 1,2251 1,1573 1,0756 0,9882 0,9038 0,8257 0,7562 0,7039 0,6774 0,6688 0,6505 0,5956 0,4968 0,3661 0,2249 0,0963 0,0000 -0,0533 -0,0665 -0,0556 -0,0439 -0,0551 -0,1069 -0,2054 -0,3396 -0,4862 -0,6217 -0,7318 -0,8123 -0,8669 -0,9048 -0,9372 -0,9760 -1,0305 -1,1033 -1,1904 -1,2846 -1,3772 -1,4563 -1,5114 -1,5406 -1,5502 -1,5465 -1,5362 -1,5293 -1,5352 -1,5544 -1,5768 -1,5893 -1,5861 -1,5697 -1,5450 -1,5153 -1,4822 -1,4483 -1,4200 -1,4043 -1,4003 -1,3968 -1,3783 -1,3363 -1,2761 -1,2170 -1,1832 -1,1915 -1,2448 -1,3348 -1,4524 -1,5917 -1,7446 -1,8990 -2,0436 -2,1710 -2,2784 -2,3660 -2,4333 -2,4741 -2,4763 -2,4255 -2,3137 -2,1520 -1,9701 -1,7989 -1,6535 -1,5403 -1,4738 -1,4705 -1,5249 -1,6060 -1,6808 -1,7377 -1,7850 -1,8355 -1,8988 -1,9786 -2,0658 -2,1405 -2,1872 -2,2098 -2,2272 -2,2570 -2,3036 -2,3636 -2,4324 -2,5069 -2,5875 -2,6801 -2,7914 -2,9211 -3,0628 -3,2097 -3,3568 -3,4983 -3,6312 -3,7621 -3,9059 -4,0759 -4,2718 -4,4786 -4,6775 -4,8584 -5,0245 -5,1894 -5,3672 -5,5662 -5,7883 -6,0274 -6,2683 -6,4897 -6,6705 -6,7931 -6,8491 -6,8483 -6,8210 -6,8075 -6,8392 -6,9283 -7,0685 -7,2390 -7,4101 -7,5515 -7,6389 -7,6616 -7,6236 -7,5334 -7,3937 -7,2030 -6,9624 -6,6786 -6,3636 -6,0334 -5,7033 -5,3825 -5,0652 -4,7306 -4,3571 -3,9365 -3,4734 -2,9787 -2,4650 -1,9430 -1,4192 -0,8972 -0,3820 0,1148 0,5755 0,9877 1,3513 1,6760 1,9715 2,2377 2,4624 2,6288 2,7257 2,7523 2,7196 2,6469 2,5505 2,4361 2,3021 2,1460 1,9651 1,7582 1,5293 1,2887 1,0435 0,7883 0,5088 0,1956 -0,1493 -0,5172 -0,8979 -1,2844 -1,6741 -2,0654 -2,4519 -2,8244 -3,1801 -3,5237 -3,8592 -4,1811 -4,4787 -4,7441 -4,9752 -5,1697 -5,3239 -5,4390 -5,5212 -5,5778 -5,6195 -5,6605 -5,7095 -5,7675 -5,8345 -5,9150 -6,0168 -6,1439 -6,2928 -6,4544 -6,6175 -6,7685 -6,8939 -6,9889 -7,0593 -7,1169 -7,1737 -7,2407 -7,3217 -7,4101 -7,4946 -7,5675 -7,6249 -7,6624 -7,6741 -7,6560 -7,6109 -7,5464 -7,4681 -7,3761 -7,2710 -7,1574 -7,0421 -6,9326
Fz    0,5255 0,8921 1,2322 1,5018 1,6676 1,7137 1,6449 1,4849 1,2689 1,0331 0,8053 0,5993 0,4159 0,2510 0,1049 -0,0131 -0,0897 -0,1213 -0,1207 -0,1072 -0,0935 -0,0842 -0,0800 -0,0810 -0,0892 -0,1091 -0,1417 -0,1808 -0,2137 -0,2245 -0,2011 -0,1462 -0,0760 -0,0088 0,0407 0,0591 0,0335 -0,0447 -0,1763 -0,3527 -0,5553 -0,7606 -0,9485 -1,1098 -1,2458 -1,3634 -1,4706 -1,5757 -1,6856 -1,8034 -1,9294 -2,0650 -2,2118 -2,3704 -2,5370 -2,7003 -2,8478 -2,9758 -3,0882 -3,1898 -3,2811 -3,3608 -3,4306 -3,4940 -3,5466 -3,5712 -3,5467 -3,4594 -3,3099 -3,1111 -2,8824 -2,6435 -2,4131 -2,2041 -2,0244 -1,8848 -1,8016 -1,7923 -1,8672 -2,0229 -2,2413 -2,4916 -2,7397 -2,9606 -3,1474 -3,3085 -3,4561 -3,5953 -3,7192 -3,8084 -3,8387 -3,7962 -3,6834 -3,5154 -3,3105 -3,0831 -2,8413 -2,5920 -2,3484 -2,1376 -1,9986 -1,9689 -2,0662 -2,2786 -2,5749 -2,9186 -3,2707 -3,5944 -3,8666 -4,0867 -4,2702 -4,4404 -4,6259 -4,8522 -5,1232 -5,4157 -5,6980 -5,9524 -6,1764 -6,3706 -6,5338 -6,6704 -6,7920 -6,9082 -7,0177 -7,1069 -7,1537 -7,1342 -7,0362 -6,8706 -6,6715 -6,4864 -6,3622 -6,3299 -6,3881 -6,5028 -6,6202 -6,6835 -6,6456 -6,4787 -6,1756 -5,7489 -5,2295 -4,6594 -4,0771 -3,5089 -2,9684 -2,4578 -1,9685 -1,4853 -0,9947 -0,4854 0,0510 0,6115 1,1772 1,7258 2,2453 2,7353 3,1943 3,6111 3,9696 4,2604 4,4857 4,6570 4,7915 4,9068 5,0132 5,1096 5,1841 5,2155 5,1789 5,0625 4,8809 4,6682 4,4595 4,2747 4,1110 3,9473 3,7549 3,5060 3,1859 2,8036 2,3919 1,9957 1,6581 1,4115 1,2680 1,2127 1,2085 1,2132 1,1980 1,1530 1,0830 1,0007 0,9198 0,8498 0,7954 0,7545 0,7186 0,6756 0,6139 0,5244 0,4028 0,2511 0,0773 -0,1099 -0,3057 -0,5071 -0,7088 -0,9042 -1,0918 -1,2804 -1,4833 -1,6993 -1,9084 -2,0919 -2,2516 -2,4059 -2,5737 -2,7580 -2,9389 -3,0852 -3,1734 -3,2015 -3,1846 -3,1408 -3,0846 -3,0318 -3,0011 -3,0095 -3,0651 -3,1630 -3,2829 -3,3951 -3,4746 -3,5128 -3,5107 -3,4670 -3,3769 -3,2395 -3,0644 -2,8711 -2,6835 -2,5202 -2,3874 -2,2773 -2,1740 -2,0594 -1,9141 -1,7197 -1,4708 -1,1839 -0,8925 -0,6303 -0,4165 -0,2510 -0,1199 -0,0071 0,0996 0,2102 0,3351 0,4828 0,6541 0,8437 1,0466 1,2609 1,4843 1,7128 1,9420 2,1682 2,3892 2,6040 2,8133 3,0165 3,2098 3,3897 3,5595 3,7277 3,8957 4,0432 4,1293 4,1162 3,9981 3,8043 3,5793 3,3637 3,1824 3,0394 2,9241 2,8307 2,7667 2,7404 2,7458 2,7607 2,7578 2,7223 2,6650 2,6151 2,6000 2,6264 2,6751 2,7158 2,7255 2,6972 2,6370 2,5555 2,4613 2,3609 2,2608 2,1663 2,0743 1,9723 1,8462 1,6929 1,5234 1,3560 1,2064 1,0810 0,9752 0,8753 0,7633 0,6247 0,4588 0,2822 0,1197 -0,0052 -0,0769 -0,0902 -0,0507 0,0275 0,1271 0,2395 0,3701 0,5257 0,7001 0,8753 1,0327 1,1565 1,2316 1,2462 1,1997 1,1073 1,0005 0,9211 0,9063 0,9708 1,1008 1,2705 1,4584 1,6495 1,8308 1,9916 2,1250 2,2272 2,2963 2,3281 2,3131 2,2404 2,1086 1,9339 1,7462 1,5752 1,4364 1,3336 1,2684 1,2405 1,2382 1,2384 1,2186 1,1699 1,0990 1,0232 0,9633 0,9341 0,9363 0,9538 0,9574 0,9147 0,8021 0,6121 0,3547 0,0527 -0,2657 -0,5712 -0,8358 -1,0378 -1,1687 -1,2363 -1,2605 -1,2674 -1,2823 -1,3238 -1,3972 -1,4918 -1,5832 -1,6434 -1,6564 -1,6275 -1,5765 -1,5243 -1,4893 -1,4875 -1,5292 -1,6134 -1,7267 -1,8501 -1,9696 -2,0802 -2,1812 -2,2720 -2,3527 -2,4288 -2,5104 -2,6033 -2,7017 -2,7898 -2,8514 -2,8785 -2,8763 -2,8604 -2,8491 -2,8561 -2,8874 -2,9417 -3,0146 -3,1019 -3,1976 -3,2930 -3,3793 -3,4498 -3,5016 -3,5356 -3,5528 -3,5497 -3,5170 -3,4413 -3,3139 -3,1438 -2,9598 -2,7935 -2,6635 -2,5782 -2,5481 -2,5833 -2,6765 -2,8000 -2,9259 -3,0451 -3,1658 -3,2987 -3,4518 -3,6301 -3,8270 -4,0187 -4,1750 -4,2787 -4,3334 -4,3519 -4,3409 -4,3033 -4,2480 -4,1913 -4,1504 -4,1389 -4,1652 -4,2308 -4,3312 -4,4602 -4,6137 -4,7891 -4,9858 -5,2086 -5,4695 -5,7797 -6,1343 -6,5100 -6,8791 -7,2237 -7,5398 -7,8335 -8,1148 -8,3912 -8,6648 -8,9303 -9,1773 -9,3946 -9,5730 -9,7061 -9,7960 -9,8600 -9,9274 -10,0245 -10,1621 -10,3369 -10,5397 -10,7599 -10,9817 -11,1779 -11,3147 -11,3662 -11,3277 -11,2108 -11,0292 -10,7951 -10,5216 -10,2213 -9,9021 -9,5682 -9,2250 -8,8793 -8,5294 -8,1573 -7,7358 -7,2413 -6,6605 -5,9907 -5,2403 -4,4260 -3,5677 -2,6816 -1,7785 -0,8693 0,0280 0,8872 1,6766 2,3646 2,9261 3,3436 3,6066 3,7157 3,6844 3,5373 3,3083 3,0337 2,7381 2,4295 2,1095 1,7851 1,4673 1,1649 0,8825 0,6189 0,3615 0,0827 -0,2518 -0,6645 -1,1565 -1,7118 -2,3062 -2,9141 -3,5164 -4,1024 -4,6663 -5,2072 -5,7324 -6,2536 -6,7728 -7,2736 -7,7304 -8,1278 -8,4657 -8,7482 -8,9760 -9,1516 -9,2797 -9,3638 -9,4101 -9,4312 -9,4392 -9,4407 -9,4391 -9,4398 -9,4513 -9,4839 -9,5456 -9,6399 -9,7636 -9,9034 -10,0394 -10,1573 -10,2588 -10,3572 -10,4654 -10,5861 -10,7092 -10,8172 -10,8980 -10,9498 -10,9769 -10,9855 -10,9827 -10,9750 -10,9680 -10,9644 -10,9602 -10,9433 -10,9008 -10,8270 -10,7239 -10,6025
F3    -1,3694 -0,9925 -0,6031 -0,2384 0,0706 0,3017 0,4436 0,5008 0,4944 0,4515 0,3918 0,3244 0,2532 0,1819 0,1169 0,0684 0,0477 0,0609 0,1067 0,1763 0,2552 0,3275 0,3845 0,4273 0,4572 0,4690 0,4583 0,4309 0,3983 0,3716 0,3581 0,3572 0,3616 0,3635 0,3553 0,3277 0,2717 0,1813 0,0549 -0,1015 -0,2716 -0,4326 -0,5634 -0,6542 -0,7126 -0,7574 -0,8095 -0,8895 -1,0150 -1,1913 -1,4083 -1,6469 -1,8864 -2,1089 -2,3002 -2,4461 -2,5359 -2,5716 -2,5711 -2,5605 -2,5619 -2,5877 -2,6446 -2,7322 -2,8338 -2,9155 -2,9434 -2,9004 -2,7908 -2,6332 -2,4484 -2,2533 -2,0589 -1,8694 -1,6861 -1,5181 -1,3859 -1,3109 -1,3025 -1,3570 -1,4632 -1,6026 -1,7484 -1,8760 -1,9777 -2,0646 -2,1550 -2,2632 -2,3912 -2,5250 -2,6419 -2,7245 -2,7686 -2,7801 -2,7662 -2,7283 -2,6641 -2,5745 -2,4693 -2,3699 -2,3078 -2,3124 -2,3951 -2,5441 -2,7365 -2,9489 -3,1593 -3,3527 -3,5297 -3,7078 -3,9102 -4,1548 -4,4529 -4,8106 -5,2190 -5,6485 -6,0618 -6,4335 -6,7538 -7,0207 -7,2349 -7,3999 -7,5220 -7,6033 -7,6374 -7,6147 -7,5281 -7,3757 -7,1651 -6,9185 -6,6694 -6,4550 -6,3072 -6,2411 -6,2444 -6,2799 -6,3034 -6,2792 -6,1870 -6,0191 -5,7720 -5,4464 -5,0541 -4,6168 -4,1565 -3,6904 -3,2319 -2,7867 -2,3514 -1,9195 -1,4862 -1,0449 -0,5872 -0,1137 0,3588 0,8077 1,2201 1,5948 1,9322 2,2288 2,4828 2,7021 2,9019 3,0990 3,3099 3,5438 3,7912 4,0262 4,2176 4,3344 4,3479 4,2446 4,0414 3,7854 3,5322 3,3186 3,1465 2,9887 2,8042 2,5539 2,2186 1,8107 1,3712 0,9542 0,6109 0,3746 0,2537 0,2305 0,2656 0,3109 0,3308 0,3127 0,2647 0,2022 0,1359 0,0683 0,0009 -0,0652 -0,1354 -0,2216 -0,3369 -0,4900 -0,6793 -0,8891 -1,0978 -1,2950 -1,4904 -1,7016 -1,9359 -2,1866 -2,4447 -2,7096 -2,9841 -3,2567 -3,4985 -3,6837 -3,8100 -3,8983 -3,9763 -4,0554 -4,1210 -4,1423 -4,0938 -3,9692 -3,7790 -3,5390 -3,2653 -2,9835 -2,7360 -2,5716 -2,5254 -2,6010 -2,7662 -2,9670 -3,1534 -3,2967 -3,3854 -3,4159 -3,3905 -3,3184 -3,2143 -3,0962 -2,9794 -2,8703 -2,7656 -2,6579 -2,5436 -2,4219 -2,2863 -2,1203 -1,9084 -1,6493 -1,3594 -1,0621 -0,7726 -0,4947 -0,2289 0,0180 0,2312 0,3964 0,5085 0,5731 0,6024 0,6141 0,6313 0,6752 0,7561 0,8750 1,0315 1,2277 1,4642 1,7368 2,0354 2,3435 2,6398 2,9034 3,1236 3,3001 3,4363 3,5271 3,5525 3,4905 3,3395 3,1228 2,8766 2,6386 2,4409 2,3033 2,2319 2,2252 2,2775 2,3732 2,4859 2,5854 2,6487 2,6701 2,6660 2,6684 2,7079 2,7965 2,9235 3,0647 3,1948 3,2957 3,3601 3,3872 3,3775 3,3350 3,2699 3,1914 3,0965 2,9710 2,8026 2,5934 2,3625 2,1340 1,9200 1,7119 1,4881 1,2305 0,9343 0,6064 0,2662 -0,0547 -0,3206 -0,5024 -0,5829 -0,5621 -0,4610 -0,3167 -0,1686 -0,0419 0,0628 0,1612 0,2652 0,3734 0,4747 0,5510 0,5792 0,5418 0,4379 0,2879 0,1289 0,0034 -0,0559 -0,0364 0,0578 0,2154 0,4211 0,6511 0,8727 1,0540 1,1766 1,2409 1,2627 1,2596 1,2385 1,1962 1,1307 1,0475 0,9544 0,8518 0,7318 0,5901 0,4380 0,2967 0,1765 0,0672 -0,0495 -0,1812 -0,3187 -0,4396 -0,5175 -0,5364 -0,5011 -0,4378 -0,3842 -0,3777 -0,4459 -0,6018 -0,8405 -1,1403 -1,4695 -1,7954 -2,0907 -2,3362 -2,5231 -2,6540 -2,7427 -2,8078 -2,8658 -2,9247 -2,9820 -3,0264 -3,0416 -3,0169 -2,9558 -2,8780 -2,8086 -2,7658 -2,7572 -2,7854 -2,8493 -2,9394 -3,0376 -3,1256 -3,1982 -3,2629 -3,3287 -3,3965 -3,4582 -3,5076 -3,5487 -3,5860 -3,6102 -3,6021 -3,5476 -3,4467 -3,3140 -3,1755 -3,0633 -3,0061 -3,0184 -3,1002 -3,2454 -3,4460 -3,6847 -3,9355 -4,1753 -4,3922 -4,5850 -4,7577 -4,9108 -5,0354 -5,1164 -5,1361 -5,0773 -4,9365 -4,7334 -4,5032 -4,2805 -4,0972 -3,9864 -3,9683 -4,0306 -4,1329 -4,2405 -4,3456 -4,4578 -4,5873 -4,7448 -4,9405 -5,1716 -5,4180 -5,6526 -5,8528 -6,0040 -6,0990 -6,1375 -6,1261 -6,0770 -6,0047 -5,9237 -5,8498 -5,7997 -5,7874 -5,8231 -5,9117 -6,0484 -6,2174 -6,4024 -6,5940 -6,7936 -7,0101 -7,2509 -7,5122 -7,7770 -8,0239 -8,2411 -8,4369 -8,6310 -8,8401 -9,0695 -9,3098 -9,5418 -9,7474 -9,9149 -10,0386 -10,1225 -10,1859 -10,2595 -10,3713 -10,5356 -10,7529 -11,0142 -11,3028 -11,5948 -11,8612 -12,0738 -12,2142 -12,2801 -12,2775 -12,2115 -12,0852 -11,9028 -11,6688 -11,3904 -11,0802 -10,7536 -10,4210 -10,0786 -9,7042 -9,2688 -8,7545 -8,1613 -7,4997 -6,7805 -6,0109 -5,1946 -4,3356 -3,4426 -2,5362 -1,6509 -0,8252 -0,0905 0,5330 1,0361 1,4182 1,6821 1,8289 1,8596 1,7832 1,6254 1,4245 1,2112 0,9946 0,7672 0,5193 0,2450 -0,0595 -0,3941 -0,7537 -1,1331 -1,5314 -1,9503 -2,3882 -2,8405 -3,3029 -3,7741 -4,2558 -4,7508 -5,2577 -5,7678 -6,2681 -6,7490 -7,2088 -7,6438 -8,0374 -8,3674 -8,6264 -8,8274 -8,9900 -9,1276 -9,2483 -9,3567 -9,4530 -9,5376 -9,6167 -9,6989 -9,7879 -9,8817 -9,9786 -10,0810 -10,1927 -10,3122 -10,4355 -10,5599 -10,6827 -10,7992 -10,9057 -11,0051 -11,1068 -11,2236 -11,3647 -11,5258 -11,6884 -11,8342 -11,9559 -12,0561 -12,1411 -12,2153 -12,2763 -12,3142 -12,3156 -12,2679 -12,1633 -12,0016 -11,7926 -11,5528 -11,3044
F7    -1,8324 -1,5954 -1,3514 -1,1092 -0,8709 -0,6358 -0,4094 -0,2047 -0,0343 0,0962 0,1853 0,2323 0,2370 0,2031 0,1430 0,0803 0,0403 0,0342 0,0537 0,0843 0,1203 0,1633 0,2167 0,2828 0,3602 0,4430 0,5257 0,6041 0,6738 0,7317 0,7734 0,7889 0,7666 0,7050 0,6127 0,4999 0,3752 0,2479 0,1262 0,0172 -0,0720 -0,1365 -0,1750 -0,1919 -0,1991 -0,2107 -0,2359 -0,2838 -0,3695 -0,5067 -0,6975 -0,9301 -1,1816 -1,4241 -1,6334 -1,7931 -1,8973 -1,9522 -1,9743 -1,9817 -1,9855 -1,9883 -1,9914 -1,9973 -1,9999 -1,9793 -1,9131 -1,7943 -1,6396 -1,4815 -1,3489 -1,2519 -1,1846 -1,1351 -1,0942 -1,0605 -1,0411 -1,0454 -1,0750 -1,1198 -1,1641 -1,1930 -1,1955 -1,1684 -1,1174 -1,0541 -0,9910 -0,9397 -0,9089 -0,8988 -0,9034 -0,9206 -0,9554 -1,0087 -1,0693 -1,1192 -1,1473 -1,1571 -1,1621 -1,1808 -1,2329 -1,3313 -1,4728 -1,6417 -1,8259 -2,0201 -2,2147 -2,3919 -2,5434 -2,6840 -2,8452 -3,0539 -3,3169 -3,6229 -3,9518 -4,2821 -4,5975 -4,8872 -5,1399 -5,3393 -5,4724 -5,5429 -5,5705 -5,5746 -5,5610 -5,5241 -5,4528 -5,3308 -5,1365 -4,8564 -4,5038 -4,1204 -3,7543 -3,4381 -3,1803 -2,9720 -2,7963 -2,6332 -2,4642 -2,2765 -2,0646 -1,8318 -1,5893 -1,3503 -1,1220 -0,9036 -0,6895 -0,4721 -0,2434 0,0044 0,2792 0,5907 0,9462 1,3395 1,7462 2,1342 2,4797 2,7727 3,0090 3,1864 3,3121 3,4069 3,4942 3,5870 3,6891 3,8029 3,9259 4,0430 4,1258 4,1404 4,0591 3,8785 3,6283 3,3606 3,1251 2,9474 2,8218 2,7210 2,6099 2,4566 2,2458 1,9884 1,7169 1,4683 1,2676 1,1234 1,0324 0,9840 0,9580 0,9280 0,8742 0,7950 0,7082 0,6387 0,5994 0,5818 0,5658 0,5334 0,4733 0,3794 0,2501 0,0878 -0,1031 -0,3125 -0,5216 -0,7133 -0,8858 -1,0479 -1,2036 -1,3492 -1,4870 -1,6332 -1,8065 -2,0090 -2,2221 -2,4227 -2,6003 -2,7566 -2,8939 -3,0064 -3,0793 -3,0942 -3,0355 -2,8989 -2,6933 -2,4350 -2,1427 -1,8399 -1,5550 -1,3169 -1,1513 -1,0738 -1,0807 -1,1490 -1,2502 -1,3633 -1,4723 -1,5578 -1,6004 -1,5917 -1,5366 -1,4494 -1,3493 -1,2544 -1,1750 -1,1153 -1,0792 -1,0647 -1,0546 -1,0227 -0,9532 -0,8479 -0,7169 -0,5672 -0,3998 -0,2151 -0,0184 0,1815 0,3721 0,5402 0,6770 0,7815 0,8587 0,9173 0,9668 1,0127 1,0532 1,0840 1,1076 1,1334 1,1689 1,2160 1,2759 1,3476 1,4214 1,4814 1,5163 1,5256 1,5126 1,4731 1,3931 1,2654 1,1059 0,9456 0,8114 0,7170 0,6652 0,6502 0,6651 0,7151 0,8162 0,9753 1,1732 1,3684 1,5163 1,5940 1,6125 1,6097 1,6271 1,6861 1,7806 1,8906 1,9987 2,0937 2,1686 2,2175 2,2364 2,2243 2,1847 2,1250 2,0537 1,9791 1,9057 1,8303 1,7461 1,6500 1,5415 1,4153 1,2605 1,0674 0,8396 0,5976 0,3686 0,1720 0,0124 -0,1153 -0,2183 -0,3010 -0,3636 -0,4060 -0,4310 -0,4389 -0,4213 -0,3683 -0,2812 -0,1762 -0,0787 -0,0181 -0,0203 -0,0970 -0,2402 -0,4230 -0,6066 -0,7513 -0,8328 -0,8541 -0,8370 -0,7997 -0,7467 -0,6768 -0,5902 -0,4879 -0,3721 -0,2516 -0,1411 -0,0556 -0,0093 -0,0125 -0,0619 -0,1377 -0,2145 -0,2780 -0,3321 -0,3875 -0,4496 -0,5201 -0,6042 -0,7080 -0,8308 -0,9619 -1,0825 -1,1715 -1,2139 -1,2090 -1,1695 -1,1134 -1,0554 -1,0064 -0,9791 -0,9883 -1,0466 -1,1604 -1,3275 -1,5320 -1,7434 -1,9268 -2,0592 -2,1395 -2,1837 -2,2127 -2,2389 -2,2618 -2,2754 -2,2739 -2,2505 -2,1987 -2,1243 -2,0509 -2,0067 -2,0058 -2,0428 -2,1023 -2,1697 -2,2357 -2,2921 -2,3299 -2,3439 -2,3365 -2,3128 -2,2751 -2,2201 -2,1415 -2,0368 -1,9071 -1,7534 -1,5792 -1,3963 -1,2209 -1,0642 -0,9340 -0,8441 -0,8131 -0,8528 -0,9613 -1,1272 -1,3377 -1,5785 -1,8334 -2,0871 -2,3276 -2,5468 -2,7400 -2,9025 -3,0281 -3,1089 -3,1365 -3,1056 -3,0224 -2,9058 -2,7757 -2,6420 -2,5097 -2,3900 -2,2969 -2,2329 -2,1849 -2,1413 -2,1087 -2,1021 -2,1279 -2,1823 -2,2585 -2,3483 -2,4444 -2,5424 -2,6407 -2,7411 -2,8485 -2,9649 -3,0852 -3,1988 -3,2924 -3,3540 -3,3814 -3,3835 -3,3776 -3,3874 -3,4393 -3,5503 -3,7190 -3,9259 -4,1411 -4,3357 -4,4909 -4,6029 -4,6814 -4,7421 -4,7944 -4,8400 -4,8800 -4,9177 -4,9586 -5,0073 -5,0624 -5,1164 -5,1657 -5,2149 -5,2734 -5,3541 -5,4738 -5,6444 -5,8610 -6,1027 -6,3483 -6,5896 -6,8296 -7,0688 -7,2963 -7,4902 -7,6291 -7,7023 -7,7115 -7,6630 -7,5619 -7,4115 -7,2161 -6,9862 -6,7381 -6,4891 -6,2491 -6,0121 -5,7543 -5,4463 -5,0710 -4,6310 -4,1447 -3,6384 -3,1376 -2,6561 -2,1914 -1,7316 -1,2687 -0,8053 -0,3542 0,0674 0,4453 0,7727 1,0459 1,2579 1,3986 1,4582 1,4356 1,3464 1,2215 1,0918 0,9738 0,8707 0,7810 0,7031 0,6338 0,5666 0,4921 0,4009 0,2832 0,1301 -0,0586 -0,2731 -0,5034 -0,7474 -1,0078 -1,2870 -1,5814 -1,8784 -2,1594 -2,4126 -2,6418 -2,8561 -3,0555 -3,2311 -3,3796 -3,5086 -3,6275 -3,7429 -3,8612 -3,9872 -4,1195 -4,2548 -4,3946 -4,5438 -4,7014 -4,8578 -5,0012 -5,1265 -5,2346 -5,3248 -5,3965 -5,4518 -5,4949 -5,5334 -5,5812 -5,6530 -5,7562 -5,8870 -6,0318 -6,1713 -6,2902 -6,3895 -6,4856 -6,5936 -6,7140 -6,8328 -6,9312 -6,9941 -7,0130 -6,9854 -6,9148 -6,8117 -6,6895 -6,5594 -6,4297
