Fp1   -3,6981 -3,8610 -3,9929 -4,0070 -3,8371 -3,4758 -2,9677 -2,3622 -1,6768 -0,9088 -0,0817 0,7210 1,3742 1,7732 1,8710 1,6608 1,1537 0,3942 -0,5120 -1,4165 -2,1905 -2,7588 -3,0808 -3,1267 -2,8783 -2,3370 -1,5365 -0,5626 0,4364 1,2796 1,8217 2,0149 1,9149 1,6407 1,3216 1,0629 0,9312 0,9436 1,0710 1,2773 1,5545 1,9100 2,3277 2,7465 3,0756 3,2424 3,2346 3,0904 2,8557 2,5677 2,2667 2,0012 1,8085 1,6864 1,5883 1,4452 1,1982 0,8261 0,3552 -0,1586 -0,6577 -1,1017 -1,4697 -1,7500 -1,9254 -1,9723 -1,8881 -1,7206 -1,5562 -1,4679 -1,4777 -1,5709 -1,7275 -1,9362 -2,1983 -2,5260 -2,9308 -3,3979 -3,8610 -4,2125 -4,3478 -4,2114 -3,8202 -3,2587 -2,6437 -2,0787 -1,6256 -1,3056 -1,1119 -1,0252 -1,0302 -1,1280 -1,3298 -1,6368 -2,0260 -2,4564 -2,8793 -3,2447 -3,5133 -3,6636 -3,6911 -3,6066 -3,4404 -3,2437 -3,0721 -2,9676 -2,9712 -3,1439 -3,5412 -4,1472 -4,8460 -5,4877 -5,9897 -6,3726 -6,7193 -7,1157 -7,6040 -8,1584 -8,6892 -9,0768 -9,2249 -9,1034 -8,7520 -8,2440 -7,6384 -6,9556 -6,1972 -5,3876 -4,5948 -3,9011 -3,3394 -2,8556 -2,3392 -1,6970 -0,9189 -0,0866 0,6861 1,3301 1,8497 2,2903 2,6756 2,9797 3,1672 3,2439 3,2573 3,2621 3,2868 3,3215 3,3302 3,2728 3,1250 2,8922 2,6036 2,2851 1,9478 1,6201 1,3675 1,2518 1,2754 1,3751 1,4676 1,5035 1,4864 1,4456 1,3908 1,2903 1,0914 0,7634 0,3290 -0,1373 -0,5399 -0,8046 -0,9076 -0,8777 -0,7749 -0,6585 -0,5671 -0,5145 -0,4924 -0,4860 -0,4899 -0,4976 -0,4802 -0,3962 -0,2438 -0,0890 -0,0256 -0,1121 -0,3493 -0,7080 -1,1589 -1,6757 -2,2404 -2,8540 -3,5267 -4,2547 -5,0110 -5,7487 -6,4080 -6,9159 -7,1913 -7,1829 -6,9200 -6,5138 -6,0970 -5,7594 -5,5371 -5,4365 -5,4548 -5,5937 -5,8622 -6,2571 -6,7534 -7,3247 -7,9555 -8,6286 -9,3101 -9,9353 -10,3918 -10,5415 -10,2934 -9,6579 -8,7338 -7,6654 -6,6116 -5,7292 -5,1433 -4,9011 -4,9534 -5,1988 -5,5511 -5,9605 -6,3872 -6,7767 -7,0671 -7,2190 -7,2480 -7,2228 -7,2205 -7,2834 -7,4080 -7,5527 -7,6544 -7,6543 -7,5252 -7,2761 -6,9392 -6,5714 -6,2685 -6,1543 -6,3355 -6,8458 -7,6114 -8,4726 -9,2557 -9,8494 -10,2335 -10,4495 -10,5565 -10,6041 -10,6153 -10,5832 -10,4957 -10,3626 -10,2156 -10,0883 -10,0052 -9,9855 -10,0410 -10,1616 -10,3083 -10,4278 -10,4685 -10,3865 -10,1650 -9,8463 -9,5298 -9,3205 -9,2746 -9,3698 -9,5153 -9,6149 -9,6345 -9,6066 -9,5780 -9,5634 -9,5405 -9,4868 -9,4107 -9,3493 -9,3364 -9,3659 -9,3940 -9,3813 -9,3229 -9,2322 -9,1150 -8,9737 -8,8253 -8,7030 -8,6436 -8,6718 -8,7890 -8,9734 -9,1777 -9,3177 -9,2920 -9,0439 -8,5988 -8,0356 -7,4400 -6,8825 -6,4127 -6,0500 -5,7854 -5,6091 -5,5282 -5,5412 -5,6117 -5,6910 -5,7495 -5,7776 -5,7727 -5,7372 -5,6836 -5,6345 -5,6064 -5,5937 -5,5848 -5,5830 -5,5853 -5,5567 -5,4544 -5,2766 -5,0805 -4,9517 -4,9474 -5,0598 -5,2312 -5,4019 -5,5387 -5,6339 -5,6915 -5,7116 -5,6858 -5,6140 -5,5353 -5,5381 -5,7256 -6,1523 -6,7803 -7,4854 -8,1044 -8,4895 -8,5496 -8,2701 -7,7135 -7,0000 -6,2753 -5,6767 -5,2924 -5,1283 -5,1229 -5,1995 -5,3072 -5,4341 -5,6050 -5,8585 -6,2015 -6,5800 -6,9025 -7,0897 -7,1029 -6,9532 -6,7031 -6,4532 -6,3117 -6,3457 -6,5393 -6,8112 -7,0722 -7,2585 -7,3364 -7,3018 -7,1713 -6,9667 -6,6991 -6,3673 -5,9769 -5,5652 -5,2068 -4,9880 -4,9679 -5,1629 -5,5565 -6,0935 -6,6621 -7,1128 -7,3155 -7,2095 -6,8109 -6,1948 -5,4787 -4,7942 -4,2472 -3,8957 -3,7448 -3,7472 -3,8310 -3,9419 -4,0534 -4,1500 -4,2204 -4,2584 -4,2479 -4,1569 -3,9675 -3,7102 -3,4614 -3,3070 -3,2979 -3,4322 -3,6707 -3,9586 -4,2365 -4,4411 -4,5064 -4,3770 -4,0292 -3,4843 -2,8124 -2,1342 -1,5968 -1,3090 -1,2768 -1,4022 -1,5535 -1,6521 -1,7079 -1,7817 -1,9271 -2,1687 -2,5188 -2,9809 -3,5162 -4,0242 -4,3844 -4,5247 -4,4432 -4,1781 -3,7822 -3,3259 -2,8833 -2,4954 -2,1522 -1,8094 -1,4247 -1,0002 -0,6080 -0,3657 -0,3606 -0,5935 -0,9967 -1,4799 -1,9437 -2,2855 -2,4251 -2,3237 -1,9818 -1,4441 -0,8046 -0,1914 0,2718 0,5095 0,5112 0,2998 -0,1055 -0,6784 -1,3483 -1,9883 -2,4572 -2,6846 -2,7292 -2,7391 -2,8480 -3,1109 -3,5187 -4,0449 -4,6636 -5,3252 -5,9366 -6,3918 -6,6292 -6,6538 -6,5154 -6,2774 -5,9982 -5,7217 -5,4673 -5,2167 -4,9097 -4,4756 -3,8887 -3,1906 -2,4519 -1,7290 -1,0554 -0,4446 0,1187 0,6757 1,2593 1,8653 2,4632 3,0222 3,5112 3,8827 4,0764 4,0503 3,8178 3,4657 3,1347 2,9663 3,0439 3,3625 3,8456 4,3878 4,8872 5,2594 5,4439 5,4149 5,1946 4,8458 4,4399 4,0204 3,5885 3,1163 2,5700 1,9307 1,2103 0,4569 -0,2498 -0,8093 -1,1292 -1,1651 -0,9309 -0,4822 0,0868 0,6390 1,0279 1,1596 1,0337 0,7227 0,3108 -0,1364 -0,5536 -0,8695 -1,0341 -1,0423 -0,9253 -0,7333 -0,5331 -0,3990 -0,3856 -0,5149 -0,7886 -1,1828 -1,6197 -1,9754 -2,1503 -2,1415 -2,0535 -2,0383 -2,2081 -2,5812 -3,0949 -3,6601 -4,2008 -4,6638 -5,0258 -5,2925 -5,4800 -5,6050 -5,6938 -5,7790 -5,8833 -6,0153 -6,1694 -6,3221 -6,4294 -6,4378 -6,3123 -6,0632 -5,7326 -5,3570 -4,9509 -4,5087 -4,0128 -3,4672 -2,9360 -2,5279
Fz    -0,8886 -0,7953 -0,6874 -0,5531 -0,3781 -0,1621 0,0781 0,3223 0,5616 0,8021 1,0550 1,3194 1,5782 1,8069 1,9790 2,0637 2,0269 1,8472 1,5384 1,1540 0,7625 0,4128 0,1224 -0,1108 -0,2981 -0,4560 -0,5987 -0,7260 -0,8255 -0,8898 -0,9231 -0,9274 -0,8931 -0,8126 -0,6997 -0,5841 -0,4918 -0,4322 -0,3986 -0,3758 -0,3534 -0,3329 -0,3199 -0,3200 -0,3487 -0,4306 -0,5739 -0,7582 -0,9520 -1,1330 -1,2836 -1,3784 -1,3931 -1,3255 -1,1964 -1,0328 -0,8608 -0,7028 -0,5729 -0,4755 -0,4087 -0,3701 -0,3622 -0,3904 -0,4534 -0,5371 -0,6244 -0,7099 -0,7942 -0,8686 -0,9151 -0,9211 -0,8927 -0,8538 -0,8344 -0,8573 -0,9278 -1,0296 -1,1296 -1,1931 -1,1981 -1,1434 -1,0516 -0,9655 -0,9295 -0,9690 -1,0842 -1,2558 -1,4497 -1,6314 -1,7821 -1,9031 -2,0035 -2,0875 -2,1577 -2,2221 -2,2896 -2,3632 -2,4458 -2,5502 -2,6965 -2,8967 -3,1502 -3,4551 -3,8090 -4,2001 -4,6129 -5,0442 -5,5001 -5,9726 -6,4258 -6,8136 -7,1127 -7,3355 -7,5151 -7,6827 -7,8532 -8,0269 -8,1974 -8,3531 -8,4767 -8,5461 -8,5353 -8,4169 -8,1721 -7,7969 -7,3049 -6,7299 -6,1198 -5,5289 -5,0147 -4,6268 -4,3838 -4,2591 -4,1990 -4,1540 -4,0931 -4,0015 -3,8748 -3,7147 -3,5246 -3,3065 -3,0569 -2,7722 -2,4564 -2,1171 -1,7541 -1,3564 -0,9101 -0,4109 0,1273 0,6722 1,1829 1,6258 1,9939 2,3113 2,6149 2,9267 3,2366 3,5024 3,6714 3,7144 3,6385 3,4744 3,2581 3,0183 2,7784 2,5681 2,4191 2,3427 2,3186 2,3101 2,2878 2,2390 2,1568 2,0264 1,8253 1,5409 1,1827 0,7720 0,3242 -0,1533 -0,6508 -1,1485 -1,6240 -2,0662 -2,4787 -2,8683 -3,2358 -3,5813 -3,9096 -4,2225 -4,5152 -4,7854 -5,0417 -5,3000 -5,5724 -5,8631 -6,1732 -6,5014 -6,8378 -7,1637 -7,4561 -7,6883 -7,8333 -7,8820 -7,8611 -7,8274 -7,8359 -7,9111 -8,0395 -8,1846 -8,3122 -8,4110 -8,4945 -8,5849 -8,6957 -8,8224 -8,9415 -9,0183 -9,0297 -8,9812 -8,8972 -8,8041 -8,7243 -8,6807 -8,6923 -8,7631 -8,8728 -8,9832 -9,0585 -9,0834 -9,0655 -9,0221 -8,9633 -8,8924 -8,8263 -8,7979 -8,8298 -8,9174 -9,0413 -9,1845 -9,3351 -9,4827 -9,6149 -9,7159 -9,7726 -9,7956 -9,8322 -9,9501 -10,1996 -10,5841 -11,0592 -11,5565 -12,0148 -12,3990 -12,6962 -12,9021 -13,0207 -13,0737 -13,0973 -13,1281 -13,1887 -13,2794 -13,3766 -13,4418 -13,4452 -13,3838 -13,2770 -13,1428 -12,9811 -12,7840 -12,5535 -12,2977 -12,0192 -11,7172 -11,4011 -11,0943 -10,8273 -10,6236 -10,4854 -10,3978 -10,3473 -10,3288 -10,3339 -10,3411 -10,3200 -10,2452 -10,1092 -9,9260 -9,7200 -9,5082 -9,2966 -9,0967 -8,9312 -8,8152 -8,7429 -8,6943 -8,6500 -8,5987 -8,5310 -8,4271 -8,2612 -8,0243 -7,7348 -7,4146 -7,0631 -6,6663 -6,2312 -5,8001 -5,4333 -5,1786 -5,0482 -5,0167 -5,0376 -5,0702 -5,0979 -5,1273 -5,1770 -5,2679 -5,4118 -5,6002 -5,8095 -6,0194 -6,2253 -6,4299 -6,6220 -6,7738 -6,8690 -6,9207 -6,9490 -6,9531 -6,9220 -6,8630 -6,8053 -6,7703 -6,7467 -6,7023 -6,6165 -6,4910 -6,3364 -6,1580 -5,9539 -5,7246 -5,4848 -5,2647 -5,1021 -5,0313 -5,0638 -5,1716 -5,2970 -5,3834 -5,3996 -5,3447 -5,2407 -5,1179 -4,9958 -4,8675 -4,7083 -4,5037 -4,2665 -4,0256 -3,8054 -3,6178 -3,4725 -3,3891 -3,3954 -3,5063 -3,7005 -3,9224 -4,1132 -4,2452 -4,3296 -4,3989 -4,4869 -4,6156 -4,7945 -5,0189 -5,2675 -5,5157 -5,7539 -5,9860 -6,2194 -6,4585 -6,6930 -6,8935 -7,0297 -7,0906 -7,0911 -7,0661 -7,0584 -7,1009 -7,1996 -7,3345 -7,4759 -7,5963 -7,6733 -7,6953 -7,6692 -7,6167 -7,5560 -7,4881 -7,3983 -7,2678 -7,0906 -6,8837 -6,6768 -6,4879 -6,3112 -6,1283 -5,9307 -5,7295 -5,5447 -5,3842 -5,2370 -5,0860 -4,9203 -4,7359 -4,5377 -4,3478 -4,1933 -4,0797 -3,9846 -3,8774 -3,7386 -3,5606 -3,3404 -3,0785 -2,7820 -2,4659 -2,1502 -1,8620 -1,6376 -1,5146 -1,5066 -1,5848 -1,6928 -1,7809 -1,8268 -1,8274 -1,7828 -1,7011 -1,6079 -1,5317 -1,4794 -1,4397 -1,4025 -1,3658 -1,3309 -1,2984 -1,2699 -1,2464 -1,2236 -1,1931 -1,1511 -1,0976 -1,0267 -0,9288 -0,8112 -0,7009 -0,6157 -0,5456 -0,4713 -0,3924 -0,3362 -0,3462 -0,4568 -0,6669 -0,9372 -1,2140 -1,4534 -1,6335 -1,7622 -1,8746 -2,0163 -2,2268 -2,5285 -2,9145 -3,3417 -3,7414 -4,0499 -4,2441 -4,3550 -4,4458 -4,5741 -4,7722 -5,0460 -5,3839 -5,7699 -6,1876 -6,6125 -7,0154 -7,3747 -7,6802 -7,9251 -8,1036 -8,2139 -8,2617 -8,2527 -8,1833 -8,0438 -7,8377 -7,5890 -7,3242 -7,0505 -6,7534 -6,4092 -6,0022 -5,5349 -5,0248 -4,4982 -3,9836 -3,5029 -3,0700 -2,7034 -2,4324 -2,2794 -2,2374 -2,2683 -2,3201 -2,3467 -2,3148 -2,2084 -2,0403 -1,8504 -1,6803 -1,5459 -1,4393 -1,3529 -1,2928 -1,2692 -1,2822 -1,3234 -1,3888 -1,4837 -1,6126 -1,7741 -1,9690 -2,1992 -2,4527 -2,6947 -2,8806 -2,9886 -3,0360 -3,0550 -3,0625 -3,0629 -3,0648 -3,0744 -3,0800 -3,0555 -2,9887 -2,9044 -2,8535 -2,8754 -2,9810 -3,1642 -3,4068 -3,6743 -3,9264 -4,1400 -4,3154 -4,4644 -4,6036 -4,7589 -4,9591 -5,2090 -5,4794 -5,7319 -5,9485 -6,1408 -6,3428 -6,5945 -6,9130 -7,2797 -7,6607 -8,0353 -8,4067 -8,7972 -9,2311 -9,7055 -10,1799 -10,6010 -10,9364 -11,1882 -11,3827 -11,5493 -11,7041 -11,8460 -11,9590 -12,0208 -12,0206 -11,9680 -11,8887 -11,8134 -11,7638 -11,7469 -11,7600 -11,7947 -11,8334
F3    -0,7302 -0,5462 -0,3291 -0,1000 0,1238 0,3237 0,4810 0,5849 0,6337 0,6337 0,6016 0,5628 0,5409 0,5503 0,5922 0,6514 0,7018 0,7229 0,7151 0,7003 0,7034 0,7278 0,7474 0,7210 0,6106 0,3927 0,0749 -0,2914 -0,6305 -0,8828 -1,0185 -1,0252 -0,9065 -0,6992 -0,4726 -0,2920 -0,1838 -0,1353 -0,1189 -0,1187 -0,1389 -0,1878 -0,2572 -0,3236 -0,3737 -0,4220 -0,4968 -0,6187 -0,7925 -1,0062 -1,2301 -1,4243 -1,5544 -1,5984 -1,5396 -1,3722 -1,1200 -0,8346 -0,5706 -0,3624 -0,2179 -0,1272 -0,0805 -0,0767 -0,1211 -0,2186 -0,3717 -0,5807 -0,8365 -1,1116 -1,3621 -1,5458 -1,6479 -1,6898 -1,7120 -1,7474 -1,8061 -1,8770 -1,9412 -1,9843 -2,0008 -1,9977 -1,9993 -2,0427 -2,1527 -2,3168 -2,4897 -2,6217 -2,6817 -2,6635 -2,5829 -2,4707 -2,3623 -2,2836 -2,2441 -2,2444 -2,2825 -2,3542 -2,4570 -2,5975 -2,7908 -3,0536 -3,4007 -3,8447 -4,3799 -4,9705 -5,5659 -6,1245 -6,6230 -7,0518 -7,4055 -7,6829 -7,8877 -8,0233 -8,0870 -8,0727 -7,9773 -7,8104 -7,6064 -7,4225 -7,3143 -7,3025 -7,3534 -7,3912 -7,3345 -7,1312 -6,7757 -6,3004 -5,7496 -5,1666 -4,6002 -4,1061 -3,7313 -3,4927 -3,3719 -3,3294 -3,3199 -3,3024 -3,2481 -3,1388 -2,9638 -2,7168 -2,3963 -2,0148 -1,6067 -1,2132 -0,8542 -0,5160 -0,1633 0,2368 0,6948 1,1927 1,6914 2,1484 2,5374 2,8518 3,0959 3,2797 3,4133 3,4980 3,5281 3,5015 3,4233 3,3020 3,1454 2,9588 2,7520 2,5489 2,3755 2,2345 2,0995 1,9381 1,7380 1,5149 1,2916 1,0704 0,8278 0,5339 0,1724 -0,2558 -0,7376 -1,2574 -1,8051 -2,3739 -2,9476 -3,4973 -3,9906 -4,4009 -4,7127 -4,9274 -5,0630 -5,1463 -5,2023 -5,2480 -5,2901 -5,3329 -5,3925 -5,4997 -5,6846 -5,9577 -6,3068 -6,7077 -7,1281 -7,5219 -7,8330 -8,0229 -8,0980 -8,1062 -8,1038 -8,1243 -8,1686 -8,2178 -8,2534 -8,2660 -8,2504 -8,1995 -8,1060 -7,9706 -7,8117 -7,6702 -7,6009 -7,6517 -7,8401 -8,1425 -8,5023 -8,8510 -9,1341 -9,3265 -9,4278 -9,4453 -9,3868 -9,2720 -9,1386 -9,0267 -8,9527 -8,9026 -8,8521 -8,7860 -8,6989 -8,5965 -8,5007 -8,4418 -8,4407 -8,5022 -8,6178 -8,7699 -8,9406 -9,1214 -9,3149 -9,5257 -9,7492 -9,9694 -10,1668 -10,3286 -10,4532 -10,5471 -10,6189 -10,6755 -10,7234 -10,7714 -10,8278 -10,8916 -10,9482 -10,9726 -10,9364 -10,8179 -10,6185 -10,3705 -10,1211 -9,8998 -9,7052 -9,5221 -9,3418 -9,1588 -8,9624 -8,7428 -8,5037 -8,2657 -8,0543 -7,8870 -7,7712 -7,7097 -7,7049 -7,7553 -7,8515 -7,9776 -8,1125 -8,2267 -8,2844 -8,2593 -8,1475 -7,9674 -7,7527 -7,5449 -7,3776 -7,2636 -7,1962 -7,1556 -7,1200 -7,0769 -7,0195 -6,9298 -6,7783 -6,5498 -6,2616 -5,9474 -5,6243 -5,2847 -4,9198 -4,5457 -4,2013 -3,9268 -3,7410 -3,6342 -3,5721 -3,5102 -3,4151 -3,2825 -3,1414 -3,0436 -3,0377 -3,1450 -3,3563 -3,6448 -3,9776 -4,3201 -4,6335 -4,8784 -5,0309 -5,0952 -5,0932 -5,0499 -4,9981 -4,9859 -5,0544 -5,1961 -5,3463 -5,4300 -5,4124 -5,3013 -5,1210 -4,8970 -4,6544 -4,4225 -4,2378 -4,1348 -4,1334 -4,2322 -4,3994 -4,5677 -4,6596 -4,6256 -4,4608 -4,1994 -3,9034 -3,6470 -3,4883 -3,4419 -3,4781 -3,5509 -3,6291 -3,7057 -3,7850 -3,8653 -3,9388 -4,0068 -4,0777 -4,1504 -4,2075 -4,2288 -4,2116 -4,1804 -4,1721 -4,2130 -4,3036 -4,4217 -4,5415 -4,6480 -4,7390 -4,8232 -4,9138 -5,0180 -5,1414 -5,2960 -5,4880 -5,7062 -5,9318 -6,1493 -6,3458 -6,5039 -6,6044 -6,6342 -6,5882 -6,4662 -6,2777 -6,0517 -5,8353 -5,6760 -5,6025 -5,6171 -5,6993 -5,8113 -5,9060 -5,9364 -5,8693 -5,6988 -5,4488 -5,1603 -4,8673 -4,5857 -4,3282 -4,1215 -3,9971 -3,9646 -4,0020 -4,0727 -4,1420 -4,1811 -4,1738 -4,1226 -4,0367 -3,9150 -3,7498 -3,5386 -3,2859 -3,0000 -2,6987 -2,4160 -2,1957 -2,0716 -2,0522 -2,1250 -2,2732 -2,4831 -2,7334 -2,9812 -3,1711 -3,2630 -3,2504 -3,1476 -2,9681 -2,7255 -2,4475 -2,1677 -1,9099 -1,6966 -1,5610 -1,5328 -1,6145 -1,7829 -2,0055 -2,2448 -2,4549 -2,5937 -2,6450 -2,6198 -2,5326 -2,3906 -2,2091 -2,0190 -1,8399 -1,6598 -1,4566 -1,2366 -1,0480 -0,9582 -1,0202 -1,2472 -1,6053 -2,0297 -2,4490 -2,8049 -3,0699 -3,2575 -3,4061 -3,5523 -3,7185 -3,9124 -4,1302 -4,3590 -4,5810 -4,7828 -4,9617 -5,1269 -5,2976 -5,4931 -5,7205 -5,9715 -6,2369 -6,5192 -6,8216 -7,1298 -7,4124 -7,6324 -7,7565 -7,7643 -7,6583 -7,4660 -7,2254 -6,9660 -6,7060 -6,4662 -6,2673 -6,1107 -5,9699 -5,8049 -5,5851 -5,3033 -4,9726 -4,6111 -4,2309 -3,8383 -3,4392 -3,0483 -2,6936 -2,4046 -2,1893 -2,0236 -1,8646 -1,6787 -1,4620 -1,2387 -1,0460 -0,9222 -0,8979 -0,9853 -1,1695 -1,4119 -1,6690 -1,9118 -2,1286 -2,3167 -2,4797 -2,6251 -2,7569 -2,8690 -2,9525 -3,0088 -3,0499 -3,0853 -3,1125 -3,1254 -3,1411 -3,2051 -3,3532 -3,5797 -3,8482 -4,1118 -4,3195 -4,4215 -4,3862 -4,2193 -3,9705 -3,7157 -3,5208 -3,4176 -3,4085 -3,4817 -3,6164 -3,7858 -3,9683 -4,1555 -4,3470 -4,5457 -4,7607 -5,0054 -5,2830 -5,5773 -5,8631 -6,1220 -6,3500 -6,5593 -6,7702 -6,9951 -7,2354 -7,4901 -7,7599 -8,0483 -8,3630 -8,7101 -9,0782 -9,4306 -9,7242 -9,9333 -10,0565 -10,1145 -10,1436 -10,1828 -10,2569 -10,3671 -10,4909 -10,5955 -10,6609 -10,6937 -10,7161 -10,7453 -10,7884 -10,8451 -10,9048 -10,9409
