Fp1   -2,0944 -1,1319 -0,3224 0,2811 0,7652 1,2471 1,7830 2,3285 2,7534 2,9133 2,7282 2,1999 1,3901 0,4227 -0,5134 -1,2189 -1,5678 -1,5401 -1,1936 -0,6351 -0,0081 0,5295 0,8522 0,9086 0,7263 0,3864 -0,0096 -0,3760 -0,6613 -0,8342 -0,8652 -0,7324 -0,4523 -0,1047 0,1962 0,3833 0,4837 0,5708 0,6732 0,7400 0,6868 0,4643 0,0900 -0,3691 -0,8411 -1,2986 -1,7619 -2,2412 -2,6896 -3,0408 -3,2701 -3,3940 -3,4368 -3,4201 -3,3595 -3,2507 -3,0710 -2,8126 -2,5138 -2,2400 -2,0309 -1,8654 -1,6687 -1,3689 -0,9755 -0,6041 -0,4073 -0,4704 -0,7516 -1,0983 -1,3272 -1,3282 -1,1363 -0,9154 -0,8559 -1,0614 -1,4986 -2,0243 -2,4713 -2,7415 -2,8289 -2,7775 -2,6497 -2,5242 -2,4743 -2,5146 -2,5765 -2,5464 -2,3318 -1,9182 -1,3861 -0,8679 -0,4839 -0,3217 -0,4423 -0,8604 -1,5014 -2,1913 -2,7196 -2,9426 -2,8471 -2,5194 -2,0679 -1,5764 -1,1098 -0,7360 -0,5161 -0,4691 -0,5628 -0,7410 -0,9590 -1,2018 -1,4690 -1,7500 -2,0232 -2,2665 -2,4542 -2,5468 -2,4912 -2,2581 -1,9118 -1,6163 -1,5287 -1,6762 -1,9295 -2,0765 -1,9362 -1,4340 -0,6003 0,4705 1,6532 2,8242 3,8901 4,7887 5,4674 5,8697 5,9488 5,7101 5,2409 4,6847 4,1642 3,7223 3,3312 2,9567 2,6087 2,3444 2,2439 2,3821 2,7973 3,4597 4,2565 5,0268 5,6209 5,9248 5,8606 5,4084 4,6315 3,6629 2,6627 1,7815 1,1334 0,7843 0,7641 1,0759 1,6757 2,4534 3,2565 3,9484 4,4635 4,8183 5,0676 5,2445 5,3415 5,3237 5,1385 4,7252 4,0375 3,0763 1,9180 0,7133 -0,3517 -1,0998 -1,3935 -1,1736 -0,5046 0,4224 1,3543 2,0685 2,4342 2,4235 2,0878 1,5242 0,8497 0,1841 -0,3749 -0,7808 -1,0435 -1,1905 -1,2199 -1,1053 -0,8411 -0,4675 -0,0534 0,3355 0,6627 0,9225 1,1078 1,1804 1,0904 0,8277 0,4445 0,0232 -0,3784 -0,7457 -1,0805 -1,3764 -1,6218 -1,7948 -1,8302 -1,6207 -1,0911 -0,2771 0,6711 1,5540 2,1942 2,4838 2,4118 2,0621 1,5740 1,0844 0,6719 0,3368 0,0368 -0,2556 -0,5193 -0,6829 -0,6585 -0,4042 0,0291 0,5114 0,8891 1,0364 0,8833 0,4361 -0,2202 -0,9548 -1,6357 -2,1477 -2,3969 -2,3300 -1,9556 -1,3485 -0,6362 0,0298 0,5188 0,7725 0,8214 0,7329 0,5437 0,2554 -0,1110 -0,4828 -0,7565 -0,8454 -0,7149 -0,3872 0,0634 0,5080 0,7803 0,7370 0,3208 -0,4223 -1,3635 -2,3109 -3,0395 -3,3562 -3,1638 -2,4827 -1,4409 -0,2545 0,8196 1,5694 1,8997 1,8254 1,4043 0,6958 -0,2318 -1,2844 -2,3427 -3,2780 -3,9751 -4,3566 -4,4022 -4,1597 -3,7391 -3,2803 -2,8984 -2,6413 -2,4926 -2,4099 -2,3462 -2,2477 -2,0729 -1,8229 -1,5412 -1,2805 -1,0778 -0,9609 -0,9638 -1,1100 -1,3798 -1,7184 -2,0765 -2,4133 -2,6639 -2,7348 -2,5434 -2,0743 -1,4231 -0,7798 -0,3303 -0,1509 -0,1836 -0,2973 -0,3752 -0,3747 -0,3339 -0,3378 -0,4681 -0,7526 -1,1567 -1,6352 -2,1738 -2,7560 -3,3064 -3,7016 -3,8423 -3,7127 -3,3785 -2,9329 -2,4462 -1,9551 -1,4698 -0,9764 -0,4458 0,1250 0,6633 1,0240 1,0502 0,6358 -0,2365 -1,4717 -2,8574 -4,0976 -4,8964 -5,0643 -4,5817 -3,5865 -2,3084 -0,9963 0,1299 0,9004 1,2207 1,1007 0,6509 0,0372 -0,5840 -1,1247 -1,5831 -1,9989 -2,3894 -2,7247 -2,9457 -2,9912 -2,8194 -2,4316 -1,9037 -1,4065 -1,1596 -1,3139 -1,8587 -2,6308 -3,3977 -3,9415 -4,1106 -3,8691 -3,3257 -2,6957 -2,2099 -2,0233 -2,1567 -2,4929 -2,8367 -3,0121 -2,9314 -2,6082 -2,1405 -1,6816 -1,3745 -1,2716 -1,3162 -1,4161 -1,5381 -1,7299 -2,0696 -2,6108 -3,3497 -4,2062 -5,0290 -5,6294 -5,8376 -5,5740 -4,8916 -3,9439 -2,9168 -1,9895 -1,3231 -1,0298 -1,1239 -1,5117 -2,0499 -2,6236 -3,1769 -3,6824 -4,0975 -4,3587 -4,3996 -4,1794 -3,7240 -3,1393 -2,5535 -2,0436 -1,6233 -1,2976 -1,1243 -1,2142 -1,6367 -2,3218 -3,0640 -3,6049 -3,7304 -3,3576 -2,5791 -1,6317 -0,8039 -0,3362 -0,3599 -0,8697 -1,7306 -2,7395 -3,7103 -4,5246 -5,1219 -5,4542 -5,4614 -5,0979 -4,3779 -3,3940 -2,3064 -1,3110 -0,5836 -0,2290 -0,2647 -0,6295 -1,1981 -1,8210 -2,3884 -2,8640 -3,2628 -3,5953 -3,8280 -3,8868 -3,6967 -3,2255 -2,5111 -1,6723 -0,9029 -0,4218 -0,3734 -0,7475 -1,3896 -2,0956 -2,7212 -3,2276 -3,6421 -3,9958 -4,2969 -4,5324 -4,6728 -4,6787 -4,5244 -4,2363 -3,9124 -3,6963 -3,7102 -3,9772 -4,3881 -4,7524 -4,9066 -4,7924 -4,4577 -4,0105 -3,5517 -3,1106 -2,6375 -2,0713 -1,4057 -0,6855 0,0365 0,7199 1,3256 1,8083 2,1292 2,2579 2,1514 1,7557 1,0549 0,1189 -0,8962 -1,7888 -2,3708 -2,5279 -2,2625 -1,6851 -0,9529 -0,2091 0,4308 0,8659 1,0234 0,9000 0,5817 0,1966 -0,1741 -0,5341 -0,9172 -1,3154 -1,6705 -1,9201 -2,0522 -2,1245 -2,2280 -2,4199 -2,6765 -2,8997 -2,9772 -2,8546 -2,5582 -2,1758 -1,8324 -1,6632 -1,7820 -2,2600 -3,1065 -4,2291 -5,4088 -6,3570 -6,8334 -6,7328 -6,1017 -5,1069 -3,9893 -3,0025 -2,3410 -2,0966 -2,2589 -2,7296 -3,3432 -3,9220 -4,3569 -4,6423 -4,8354 -4,9901 -5,1108 -5,1516 -5,0552 -4,8058 -4,4562 -4,1086 -3,8603 -3,7615 -3,8177 -4,0148 -4,3294 -4,7277 -5,1657 -5,5778 -5,8727 -5,9601 -5,7789 -5,3139 -4,6198 -3,8312 -3,1066 -2,5484 -2,1938 -2,0611 -2,1614 -2,4665 -2,8831 -3,2697
Fz    -1,3657 -1,4136 -1,3902 -1,3088 -1,1796 -1,0030 -0,7777 -0,5085 -0,2067 0,1162 0,4472 0,7660 1,0473 1,2695 1,4202 1,5002 1,5212 1,4930 1,4130 1,2747 1,0861 0,8743 0,6781 0,5383 0,4859 0,5213 0,6044 0,6814 0,7238 0,7347 0,7254 0,6972 0,6422 0,5538 0,4335 0,2875 0,1215 -0,0564 -0,2348 -0,4075 -0,5776 -0,7542 -0,9440 -1,1430 -1,3361 -1,5038 -1,6238 -1,6749 -1,6540 -1,5940 -1,5543 -1,5873 -1,7117 -1,9124 -2,1522 -2,3858 -2,5763 -2,7083 -2,7830 -2,8048 -2,7864 -2,7614 -2,7774 -2,8673 -3,0321 -3,2429 -3,4544 -3,6277 -3,7537 -3,8533 -3,9527 -4,0599 -4,1606 -4,2281 -4,2327 -4,1531 -3,9903 -3,7714 -3,5425 -3,3642 -3,3014 -3,3962 -3,6436 -3,9974 -4,3990 -4,7978 -5,1502 -5,4191 -5,5817 -5,6298 -5,5599 -5,3735 -5,0952 -4,7810 -4,4968 -4,2932 -4,2029 -4,2412 -4,3922 -4,6004 -4,7929 -4,9117 -4,9339 -4,8736 -4,7679 -4,6561 -4,5623 -4,4904 -4,4257 -4,3393 -4,1949 -3,9586 -3,6109 -3,1592 -2,6418 -2,1198 -1,6619 -1,3283 -1,1536 -1,1351 -1,2395 -1,4165 -1,6086 -1,7609 -1,8346 -1,8111 -1,6792 -1,4291 -1,0626 -0,5987 -0,0642 0,5194 1,1344 1,7553 2,3458 2,8724 3,3234 3,7095 4,0429 4,3209 4,5261 4,6359 4,6305 4,5003 4,2549 3,9260 3,5586 3,2004 2,8933 2,6612 2,5003 2,3821 2,2711 2,1484 2,0268 1,9413 1,9193 1,9605 2,0425 2,1404 2,2365 2,3172 2,3708 2,3921 2,3907 2,3932 2,4382 2,5622 2,7795 3,0706 3,3942 3,7031 3,9507 4,0988 4,1337 4,0681 3,9212 3,7012 3,4059 3,0271 2,5533 1,9874 1,3643 0,7399 0,1638 -0,3303 -0,7169 -0,9736 -1,0922 -1,0880 -0,9888 -0,8189 -0,5990 -0,3534 -0,1140 0,0830 0,2132 0,2741 0,2826 0,2655 0,2485 0,2474 0,2697 0,3284 0,4468 0,6418 0,9019 1,1839 1,4306 1,5954 1,6665 1,6721 1,6598 1,6661 1,7036 1,7667 1,8406 1,9051 1,9342 1,8992 1,7838 1,6012 1,3986 1,2421 1,1955 1,2968 1,5382 1,8621 2,1832 2,4218 2,5293 2,4982 2,3561 2,1471 1,9133 1,6868 1,4844 1,2982 1,1003 0,8699 0,6188 0,3880 0,2180 0,1274 0,1120 0,1557 0,2404 0,3536 0,4895 0,6449 0,8111 0,9636 1,0653 1,0887 1,0352 0,9312 0,8053 0,6675 0,5091 0,3189 0,0958 -0,1572 -0,4383 -0,7369 -1,0293 -1,2943 -1,5234 -1,7073 -1,8233 -1,8504 -1,7922 -1,6783 -1,5466 -1,4287 -1,3440 -1,3026 -1,3106 -1,3750 -1,5067 -1,7134 -1,9869 -2,2986 -2,6093 -2,8828 -3,0914 -3,2141 -3,2395 -3,1770 -3,0593 -2,9251 -2,8022 -2,7086 -2,6591 -2,6640 -2,7198 -2,8048 -2,8900 -2,9591 -3,0204 -3,0986 -3,2141 -3,3679 -3,5444 -3,7196 -3,8642 -3,9503 -3,9615 -3,8971 -3,7715 -3,6065 -3,4205 -3,2269 -3,0454 -2,9130 -2,8742 -2,9550 -3,1446 -3,4033 -3,6870 -3,9675 -4,2308 -4,4692 -4,6815 -4,8722 -5,0463 -5,2051 -5,3448 -5,4551 -5,5242 -5,5484 -5,5324 -5,4795 -5,3877 -5,2554 -5,0874 -4,8914 -4,6766 -4,4621 -4,2813 -4,1705 -4,1512 -4,2232 -4,3714 -4,5772 -4,8242 -5,0975 -5,3776 -5,6368 -5,8440 -5,9760 -6,0180 -5,9576 -5,7866 -5,5134 -5,1788 -4,8526 -4,6024 -4,4590 -4,4057 -4,3981 -4,3907 -4,3532 -4,2720 -4,1475 -3,9936 -3,8371 -3,7034 -3,5973 -3,5059 -3,4229 -3,3693 -3,3885 -3,5238 -3,7923 -4,1779 -4,6448 -5,1486 -5,6354 -6,0416 -6,3129 -6,4271 -6,3983 -6,2615 -6,0585 -5,8341 -5,6251 -5,4401 -5,2611 -5,0757 -4,9062 -4,8050 -4,8220 -4,9775 -5,2529 -5,5987 -5,9497 -6,2418 -6,4253 -6,4799 -6,4213 -6,2878 -6,1157 -5,9236 -5,7174 -5,5038 -5,3001 -5,1321 -5,0226 -4,9887 -5,0499 -5,2293 -5,5384 -5,9602 -6,4448 -6,9189 -7,3031 -7,5297 -7,5616 -7,4047 -7,1049 -6,7275 -6,3341 -5,9774 -5,7013 -5,5277 -5,4453 -5,4219 -5,4286 -5,4508 -5,4766 -5,4894 -5,4793 -5,4471 -5,3864 -5,2714 -5,0718 -4,7786 -4,4192 -4,0539 -3,7568 -3,5899 -3,5797 -3,7083 -3,9262 -4,1805 -4,4328 -4,6574 -4,8263 -4,9085 -4,8912 -4,7923 -4,6511 -4,5094 -4,3989 -4,3372 -4,3338 -4,3944 -4,5138 -4,6663 -4,8094 -4,9001 -4,9104 -4,8357 -4,6953 -4,5258 -4,3702 -4,2598 -4,1987 -4,1668 -4,1347 -4,0751 -3,9706 -3,8177 -3,6246 -3,4047 -3,1732 -2,9444 -2,7281 -2,5307 -2,3597 -2,2287 -2,1601 -2,1853 -2,3359 -2,6270 -3,0466 -3,5525 -4,0796 -4,5622 -4,9533 -5,2329 -5,4050 -5,4923 -5,5291 -5,5527 -5,5933 -5,6606 -5,7403 -5,8060 -5,8334 -5,8041 -5,7081 -5,5456 -5,3217 -5,0465 -4,7415 -4,4302 -4,1223 -3,8154 -3,5070 -3,2016 -2,9104 -2,6458 -2,4148 -2,2152 -2,0405 -1,8939 -1,7966 -1,7832 -1,8894 -2,1333 -2,4947 -2,9184 -3,3448 -3,7346 -4,0668 -4,3230 -4,4822 -4,5266 -4,4535 -4,2805 -4,0455 -3,7980 -3,5836 -3,4352 -3,3721 -3,3997 -3,5051 -3,6590 -3,8224 -3,9589 -4,0557 -4,1331 -4,2299 -4,3793 -4,5971 -4,8800 -5,2038 -5,5302 -5,8235 -6,0615 -6,2367 -6,3487 -6,3945 -6,3701 -6,2896 -6,1912 -6,1157 -6,0840 -6,0994 -6,1623 -6,2787 -6,4548 -6,6760 -6,8927 -7,0361 -7,0608 -6,9750 -6,8283 -6,6716 -6,5303 -6,4122 -6,3282 -6,2999 -6,3448 -6,4572 -6,6035 -6,7390 -6,8339 -6,8907 -6,9378 -7,0044 -7,0976 -7,1968 -7,2710 -7,3028 -7,2952 -7,2544 -7,1745 -7,0439 -6,8640 -6,6615 -6,4837 -6,3778 -6,3650 -6,4256 -6,5094 -6,5587 -6,5331 -6,4210
F3    -0,1848 -0,5728 -0,8655 -1,0215 -1,0306 -0,8984 -0,6471 -0,3116 0,0752 0,4913 0,9184 1,3348 1,7169 2,0406 2,2804 2,4145 2,4359 2,3493 2,1576 1,8646 1,4989 1,1214 0,8000 0,5840 0,4959 0,5280 0,6404 0,7750 0,8780 0,9142 0,8738 0,7693 0,6242 0,4641 0,3129 0,1780 0,0367 -0,1531 -0,4277 -0,8015 -1,2676 -1,8021 -2,3568 -2,8525 -3,1945 -3,3042 -3,1487 -2,7609 -2,2421 -1,7304 -1,3502 -1,1788 -1,2348 -1,4829 -1,8594 -2,3036 -2,7763 -3,2577 -3,7180 -4,0918 -4,3050 -4,3379 -4,2513 -4,1456 -4,0959 -4,1087 -4,1242 -4,0694 -3,9272 -3,7605 -3,6693 -3,7173 -3,8830 -4,0662 -4,1440 -4,0383 -3,7558 -3,3827 -3,0490 -2,8799 -2,9448 -3,2181 -3,5934 -3,9504 -4,2218 -4,4103 -4,5558 -4,6899 -4,8187 -4,9324 -5,0116 -5,0308 -4,9681 -4,8099 -4,5492 -4,1972 -3,8026 -3,4503 -3,2289 -3,1886 -3,3200 -3,5695 -3,8747 -4,1912 -4,4975 -4,7814 -5,0260 -5,2030 -5,2699 -5,1760 -4,8859 -4,4043 -3,7813 -3,0950 -2,4215 -1,8087 -1,2815 -0,8744 -0,6427 -0,6292 -0,8265 -1,1731 -1,5797 -1,9605 -2,2528 -2,4116 -2,4016 -2,2079 -1,8578 -1,4181 -0,9553 -0,4970 -0,0340 0,4512 0,9685 1,5224 2,1142 2,7313 3,3313 3,8443 4,2060 4,4005 4,4593 4,4107 4,2451 3,9344 3,4698 2,8726 2,1830 1,4470 0,7117 0,0297 -0,5348 -0,9137 -1,0588 -0,9578 -0,6319 -0,1247 0,4969 1,1423 1,7166 2,1486 2,3979 2,4527 2,3425 2,1445 1,9530 1,8308 1,7846 1,7864 1,8096 1,8396 1,8624 1,8647 1,8503 1,8443 1,8786 1,9700 2,0961 2,1847 2,1344 1,8600 1,3224 0,5237 -0,5000 -1,6583 -2,7917 -3,7049 -4,2405 -4,3407 -4,0514 -3,4810 -2,7589 -2,0117 -1,3509 -0,8548 -0,5477 -0,3999 -0,3599 -0,3922 -0,4916 -0,6693 -0,9291 -1,2496 -1,5736 -1,8151 -1,8920 -1,7635 -1,4571 -1,0677 -0,7081 -0,4322 -0,2069 0,0469 0,3919 0,8271 1,2690 1,5776 1,6157 1,3131 0,7040 -0,0804 -0,8611 -1,4711 -1,7894 -1,7582 -1,4068 -0,8588 -0,2836 0,1816 0,4765 0,6154 0,6535 0,6468 0,6157 0,5264 0,3075 -0,0939 -0,6540 -1,2644 -1,7802 -2,0834 -2,1219 -1,9116 -1,5120 -0,9952 -0,4322 0,0997 0,5125 0,7255 0,6968 0,4456 0,0524 -0,3675 -0,7176 -0,9729 -1,1839 -1,4208 -1,7129 -2,0398 -2,3681 -2,6829 -2,9849 -3,2689 -3,5213 -3,7332 -3,9016 -4,0068 -3,9992 -3,8305 -3,5018 -3,0724 -2,6356 -2,3010 -2,1803 -2,3467 -2,7980 -3,4617 -4,2320 -4,9954 -5,6371 -6,0593 -6,2171 -6,1316 -5,8623 -5,4736 -5,0294 -4,6072 -4,2948 -4,1562 -4,2032 -4,4015 -4,6903 -4,9941 -5,2332 -5,3436 -5,3097 -5,1861 -5,0709 -5,0467 -5,1449 -5,3545 -5,6471 -5,9840 -6,3127 -6,5758 -6,7271 -6,7354 -6,5810 -6,2635 -5,8089 -5,2619 -4,6819 -4,1531 -3,7771 -3,6415 -3,7891 -4,1992 -4,7901 -5,4468 -6,0578 -6,5399 -6,8586 -7,0452 -7,1845 -7,3572 -7,5786 -7,7908 -7,9100 -7,8736 -7,6549 -7,2572 -6,7098 -6,0684 -5,4098 -4,8185 -4,3717 -4,1160 -4,0508 -4,1430 -4,3568 -4,6684 -5,0631 -5,5313 -6,0653 -6,6401 -7,1898 -7,6153 -7,8203 -7,7450 -7,3816 -6,7773 -6,0251 -5,2422 -4,5437 -4,0292 -3,7693 -3,7843 -4,0397 -4,4657 -4,9734 -5,4579 -5,8102 -5,9443 -5,8281 -5,4949 -5,0264 -4,5193 -4,0591 -3,7149 -3,5449 -3,5883 -3,8497 -4,2928 -4,8527 -5,4561 -6,0266 -6,4722 -6,6990 -6,6669 -6,4282 -6,1027 -5,8215 -5,6892 -5,7627 -6,0284 -6,3947 -6,7261 -6,9001 -6,8536 -6,6085 -6,2578 -5,9208 -5,6969 -5,6397 -5,7518 -5,9904 -6,2830 -6,5616 -6,7942 -6,9749 -7,0817 -7,0606 -6,8618 -6,4830 -5,9778 -5,4304 -4,9245 -4,5414 -4,3765 -4,5182 -4,9818 -5,6780 -6,4583 -7,1781 -7,7232 -8,0139 -8,0162 -7,7606 -7,3378 -6,8617 -6,4243 -6,0752 -5,8297 -5,6847 -5,6287 -5,6504 -5,7424 -5,8838 -6,0237 -6,1013 -6,0923 -6,0186 -5,9033 -5,7193 -5,4056 -4,9484 -4,4324 -3,9992 -3,7674 -3,7925 -4,0675 -4,5378 -5,1181 -5,7098 -6,2147 -6,5478 -6,6560 -6,5372 -6,2379 -5,8367 -5,4281 -5,1060 -4,9368 -4,9371 -5,0740 -5,2889 -5,5200 -5,7159 -5,8497 -5,9225 -5,9441 -5,9068 -5,7885 -5,5860 -5,3266 -5,0371 -4,7206 -4,3737 -4,0121 -3,6828 -3,4621 -3,4278 -3,6105 -3,9635 -4,3780 -4,7201 -4,8700 -4,7627 -4,4132 -3,9096 -3,3802 -2,9436 -2,6722 -2,5941 -2,7135 -3,0183 -3,4859 -4,0925 -4,8063 -5,5709 -6,3036 -6,9106 -7,3115 -7,4721 -7,4218 -7,2319 -6,9748 -6,6927 -6,3887 -6,0516 -5,6910 -5,3481 -5,0822 -4,9510 -4,9920 -5,2085 -5,5566 -5,9466 -6,2594 -6,3777 -6,2245 -5,7903 -5,1293 -4,3263 -3,4654 -2,6263 -1,8972 -1,3773 -1,1533 -1,2665 -1,6997 -2,3885 -3,2381 -4,1357 -4,9709 -5,6571 -6,1332 -6,3624 -6,3504 -6,1625 -5,8992 -5,6300 -5,3522 -5,0220 -4,6246 -4,2060 -3,8418 -3,5898 -3,4675 -3,4593 -3,5372 -3,6870 -3,9214 -4,2756 -4,7880 -5,4747 -6,2961 -7,1380 -7,8431 -8,2765 -8,3799 -8,1810 -7,7671 -7,2573 -6,7879 -6,4897 -6,4515 -6,6929 -7,1683 -7,7940 -8,4788 -9,1386 -9,6870 -10,0287 -10,0843 -9,8315 -9,3220 -8,6584 -7,9571 -7,3277 -6,8704 -6,6697 -6,7774 -7,1886 -7,8220 -8,5312 -9,1556 -9,5791 -9,7563 -9,6985 -9,4455 -9,0471 -8,5598 -8,0491 -7,5886 -7,2522 -7,1009 -7,1605 -7,3960 -7,7095 -7,9930 -8,2032 -8,3793 -8,5711 -8,7570 -8,8497 -8,7702 -8,5021 -8,0897
F7    -0,4850 -0,1233 0,2263 0,5164 0,7057 0,7832 0,7765 0,7381 0,7214 0,7617 0,8641 1,0050 1,1447 1,2438 1,2778 1,2416 1,1410 0,9845 0,7872 0,5802 0,4010 0,2660 0,1577 0,0536 -0,0371 -0,0793 -0,0554 0,0156 0,1022 0,1840 0,2511 0,2892 0,2694 0,1551 -0,0745 -0,4039 -0,7827 -1,1419 -1,4168 -1,5684 -1,5910 -1,5049 -1,3478 -1,1681 -1,0115 -0,9081 -0,8708 -0,9010 -0,9993 -1,1730 -1,4331 -1,7856 -2,2245 -2,7218 -3,2138 -3,5950 -3,7511 -3,6227 -3,2399 -2,6941 -2,0912 -1,5218 -1,0513 -0,7228 -0,5614 -0,5669 -0,7133 -0,9653 -1,2883 -1,6437 -1,9965 -2,3306 -2,6394 -2,9009 -3,0763 -3,1347 -3,0686 -2,8878 -2,6134 -2,2844 -1,9652 -1,7244 -1,5957 -1,5726 -1,6363 -1,7680 -1,9359 -2,0940 -2,2061 -2,2668 -2,2916 -2,2936 -2,2799 -2,2656 -2,2738 -2,3268 -2,4390 -2,6089 -2,8028 -2,9620 -3,0391 -3,0217 -2,9151 -2,7277 -2,4836 -2,2305 -2,0221 -1,8952 -1,8621 -1,9135 -2,0246 -2,1600 -2,2842 -2,3709 -2,4040 -2,3764 -2,2974 -2,1967 -2,1100 -2,0590 -2,0436 -2,0427 -2,0216 -1,9500 -1,8202 -1,6486 -1,4561 -1,2414 -0,9825 -0,6689 -0,3283 -0,0088 0,2676 0,5315 0,8441 1,2546 1,7707 2,3490 2,9007 3,3218 3,5379 3,5304 3,3266 2,9723 2,5086 1,9651 1,3794 0,8196 0,3773 0,1325 0,1161 0,2841 0,5300 0,7418 0,8561 0,8688 0,8168 0,7634 0,7791 0,9052 1,1176 1,3413 1,5096 1,6055 1,6480 1,6596 1,6537 1,6382 1,6159 1,5881 1,5613 1,5401 1,5067 1,4201 1,2438 0,9730 0,6400 0,2953 -0,0226 -0,3099 -0,5957 -0,9115 -1,2531 -1,5660 -1,7684 -1,7958 -1,6419 -1,3701 -1,0855 -0,8875 -0,8336 -0,9268 -1,1231 -1,3529 -1,5480 -1,6631 -1,6886 -1,6485 -1,5803 -1,5147 -1,4718 -1,4668 -1,5121 -1,6078 -1,7332 -1,8556 -1,9474 -1,9967 -2,0083 -1,9911 -1,9387 -1,8401 -1,7148 -1,6168 -1,5887 -1,6224 -1,6726 -1,6946 -1,6711 -1,6170 -1,5632 -1,5364 -1,5503 -1,6074 -1,6992 -1,8086 -1,9200 -2,0284 -2,1368 -2,2450 -2,3433 -2,4152 -2,4477 -2,4393 -2,3992 -2,3397 -2,2738 -2,2152 -2,1705 -2,1318 -2,0886 -2,0507 -2,0517 -2,1259 -2,2848 -2,5109 -2,7618 -2,9793 -3,1077 -3,1159 -3,0113 -2,8393 -2,6614 -2,5240 -2,4438 -2,4151 -2,4271 -2,4776 -2,5756 -2,7296 -2,9280 -3,1422 -3,3550 -3,5779 -3,8319 -4,1215 -4,4292 -4,7235 -4,9693 -5,1378 -5,2111 -5,1789 -5,0361 -4,7906 -4,4706 -4,1226 -3,8009 -3,5593 -3,4486 -3,5138 -3,7776 -4,2188 -4,7721 -5,3569 -5,9030 -6,3482 -6,6319 -6,7137 -6,6006 -6,3376 -5,9713 -5,5357 -5,0694 -4,6311 -4,2960 -4,1309 -4,1618 -4,3628 -4,6706 -5,0128 -5,3317 -5,5894 -5,7599 -5,8241 -5,7765 -5,6315 -5,4190 -5,1751 -4,9344 -4,7224 -4,5467 -4,3982 -4,2663 -4,1584 -4,1022 -4,1261 -4,2403 -4,4287 -4,6538 -4,8678 -5,0275 -5,1090 -5,1136 -5,0578 -4,9609 -4,8401 -4,7074 -4,5693 -4,4354 -4,3269 -4,2720 -4,2844 -4,3461 -4,4178 -4,4685 -4,4943 -4,5088 -4,5252 -4,5481 -4,5720 -4,5789 -4,5395 -4,4275 -4,2390 -3,9992 -3,7558 -3,5692 -3,4984 -3,5850 -3,8377 -4,2248 -4,6753 -5,0925 -5,3805 -5,4848 -5,4242 -5,2729 -5,1020 -4,9362 -4,7591 -4,5463 -4,2937 -4,0250 -3,7800 -3,6004 -3,5219 -3,5628 -3,7129 -3,9333 -4,1637 -4,3307 -4,3690 -4,2530 -4,0156 -3,7413 -3,5316 -3,4527 -3,5019 -3,6261 -3,7747 -3,9304 -4,0996 -4,2827 -4,4573 -4,5923 -4,6706 -4,6890 -4,6410 -4,5189 -4,3374 -4,1436 -3,9974 -3,9412 -3,9832 -4,0983 -4,2404 -4,3574 -4,4055 -4,3604 -4,2247 -4,0321 -3,8433 -3,7258 -3,7262 -3,8577 -4,1047 -4,4306 -4,7819 -5,0988 -5,3307 -5,4475 -5,4446 -5,3441 -5,1862 -5,0112 -4,8420 -4,6776 -4,5052 -4,3197 -4,1293 -3,9481 -3,7928 -3,6864 -3,6465 -3,6586 -3,6696 -3,6232 -3,5032 -3,3410 -3,1850 -3,0719 -3,0188 -3,0298 -3,1010 -3,2183 -3,3516 -3,4560 -3,4879 -3,4296 -3,3074 -3,1829 -3,1157 -3,1269 -3,2045 -3,3315 -3,4955 -3,6797 -3,8574 -4,0019 -4,1105 -4,2062 -4,3047 -4,3870 -4,4104 -4,3363 -4,1424 -3,8297 -3,4344 -3,0228 -2,6587 -2,3764 -2,1844 -2,0850 -2,0858 -2,1970 -2,4180 -2,7259 -3,0755 -3,4125 -3,6861 -3,8526 -3,8733 -3,7207 -3,3945 -2,9442 -2,4706 -2,0898 -1,8817 -1,8607 -1,9831 -2,1827 -2,4076 -2,6334 -2,8584 -3,0940 -3,3507 -3,6222 -3,8816 -4,0893 -4,2079 -4,2227 -4,1585 -4,0742 -4,0378 -4,0918 -4,2307 -4,4083 -4,5670 -4,6700 -4,7123 -4,7136 -4,7014 -4,6776 -4,5915 -4,3611 -3,9335 -3,3197 -2,5881 -1,8386 -1,1659 -0,6287 -0,2496 -0,0357 0,0104 -0,1039 -0,3527 -0,6912 -1,0683 -1,4476 -1,8134 -2,1560 -2,4573 -2,6994 -2,8779 -2,9965 -3,0490 -3,0126 -2,8640 -2,6053 -2,2736 -1,9305 -1,6448 -1,4786 -1,4749 -1,6446 -1,9589 -2,3516 -2,7393 -3,0526 -3,2542 -3,3388 -3,3364 -3,3093 -3,3201 -3,3901 -3,4931 -3,5891 -3,6591 -3,7157 -3,7933 -3,9255 -4,1217 -4,3586 -4,5930 -4,7813 -4,8932 -4,9177 -4,8586 -4,7242 -4,5220 -4,2630 -3,9730 -3,6991 -3,4976 -3,4032 -3,4124 -3,5026 -3,6653 -3,9060 -4,2047 -4,4870 -4,6527 -4,6352 -4,4352 -4,1073 -3,7278 -3,3811 -3,1528 -3,1042 -3,2420 -3,5157 -3,8390 -4,1197 -4,2830 -4,2885 -4,1434 -3,9005 -3,6348 -3,4141 -3,2794 -3,2337 -3,2421 -3,2559 -3,2500 -3,2300 -3,1979 -3,1254 -2,9734 -2,7331 -2,4429
