Fp1   1,4257 2,0188 2,1774 1,7261 0,7020 -0,6004 -1,7890 -2,5643 -2,8010 -2,5748 -2,1229 -1,6682 -1,2495 -0,7579 -0,0863 0,7832 1,7347 2,5314 2,9591 2,9539 2,5511 1,7982 0,7930 -0,2739 -1,1914 -1,8097 -2,0668 -2,0089 -1,7933 -1,6284 -1,6629 -1,8971 -2,1723 -2,2489 -1,9428 -1,2616 -0,4194 0,3307 0,8928 1,3446 1,7716 2,1392 2,3370 2,2749 1,9276 1,3632 0,7289 0,1594 -0,2801 -0,5526 -0,6357 -0,5808 -0,4747 -0,3071 0,0120 0,4530 0,7742 0,6834 0,0551 -1,0109 -2,2555 -3,3420 -3,9835 -4,1144 -3,9026 -3,5265 -2,9924 -2,2214 -1,2398 -0,2124 0,6751 1,3138 1,6566 1,6548 1,2562 0,4833 -0,5014 -1,4379 -2,0888 -2,3191 -2,1102 -1,5446 -0,7583 0,1086 0,9052 1,4339 1,5286 1,2354 0,8223 0,5578 0,5473 0,7587 1,1171 1,5606 2,0355 2,4603 2,6920 2,5514 1,9673 1,1262 0,4011 0,0810 0,1723 0,4335 0,5550 0,3295 -0,2707 -1,1080 -1,9549 -2,6273 -3,1058 -3,4888 -3,8373 -4,1400 -4,3654 -4,4490 -4,3098 -3,9715 -3,6172 -3,4766 -3,6731 -4,1623 -4,7820 -5,3495 -5,7263 -5,8420 -5,7355 -5,5897 -5,6382 -5,9540 -6,3659 -6,6276 -6,5992 -6,2608 -5,6862 -5,0323 -4,4640 -4,0749 -3,8921 -3,9218 -4,1318 -4,3963 -4,5295 -4,4238 -4,1537 -3,9184 -3,8766 -4,0342 -4,2524 -4,3326 -4,1390 -3,6841 -3,0897 -2,4894 -1,9828 -1,6388 -1,4760 -1,3971 -1,1960 -0,7404 -0,1452 0,3022 0,3784 0,0788 -0,4087 -0,8543 -1,1306 -1,2399 -1,2436 -1,2044 -1,1798 -1,2158 -1,3254 -1,4831 -1,6574 -1,8537 -2,0871 -2,3071 -2,4171 -2,3914 -2,2855 -2,1026 -1,7572 -1,2123 -0,5676 0,0123 0,4214 0,6713 0,8525 1,0589 1,3627 1,8088 2,3588 2,8534 3,0904 2,9508 2,4335 1,5917 0,4886 -0,7641 -1,9651 -2,8798 -3,3603 -3,4366 -3,3001 -3,1546 -3,0755 -3,0293 -2,9889 -2,9943 -3,1233 -3,4289 -3,9054 -4,4958 -5,1025 -5,5993 -5,8760 -5,8892 -5,6740 -5,3385 -5,0456 -4,9256 -4,9821 -5,1187 -5,2361 -5,2711 -5,1895 -4,9914 -4,7040 -4,3473 -3,9420 -3,5623 -3,3413 -3,4158 -3,8624 -4,6239 -5,4815 -6,1519 -6,4280 -6,2481 -5,7090 -5,0302 -4,4326 -4,0123 -3,7467 -3,5985 -3,5653 -3,6501 -3,8322 -4,0655 -4,2842 -4,3936 -4,2816 -3,8934 -3,2810 -2,5509 -1,7867 -1,0334 -0,3375 0,2173 0,5473 0,6530 0,6364 0,6074 0,5853 0,5436 0,5260 0,6148 0,7847 0,9014 0,8893 0,8306 0,8553 0,9837 1,1363 1,2505 1,3221 1,3740 1,4255 1,4812 1,5548 1,6958 1,9658 2,3604 2,7441 2,9219 2,8291 2,6216 2,5398 2,6859 2,9368 3,0649 2,9224 2,5290 2,0345 1,6095 1,3434 1,2292 1,2427 1,4258 1,8697 2,6283 3,6523 4,7685 5,7412 6,4058 6,7344 6,7621 6,4921 5,8936 4,9653 3,7848 2,5164 1,3912 0,6552 0,4686 0,8278 1,5845 2,5306 3,4997 4,4277 5,3039 6,0814 6,6874 7,0962 7,3281 7,3798 7,1955 6,7254 6,0048 5,1462 4,2483 3,3519 2,5080 1,8336 1,4514 1,4244 1,7781 2,5302 3,6565 5,0305 6,4122 7,5014 8,0340 7,8900 7,1574 6,0980 5,0366 4,2385 3,8343 3,8174 4,0743 4,4357 4,7695 5,0442 5,3015 5,5639 5,7624 5,7992 5,6889 5,5652 5,5357 5,5852 5,6083 5,4787 5,0926 4,4215 3,5689 2,7432 2,1474 1,8769 1,8930 2,0933 2,4052 2,7746 3,0997 3,2723 3,2909 3,2740 3,3509 3,5550 3,8042 3,9527 3,8862 3,6098 3,2286 2,8275 2,4187 1,9970 1,5855 1,2476 1,0919 1,2095 1,5832 2,1090 2,6703 3,1337 3,3507 3,2604 2,9821 2,7697 2,8671 3,3676 4,1516 4,9541 5,5270 5,7515 5,6410 5,2874 4,7945 4,2334 3,6351 2,9957 2,3145 1,6859 1,3144 1,3563 1,7668 2,3487 2,9318 3,4688 3,9588 4,3305 4,4567 4,2738 3,8595 3,3978 3,0552 2,8519 2,6458 2,2686 1,6821 0,9909 0,3420 -0,1442 -0,3860 -0,3442 -0,0327 0,4460 0,8896 1,0794 0,9240 0,5354 0,1427 -0,0886 -0,1560 -0,1527 -0,1422 -0,1283 -0,1028 -0,0470 0,0956 0,3806 0,7946 1,2556 1,6733 1,9806 2,1315 2,1243 2,0023 1,8167 1,6440 1,5992 1,7375 1,9718 2,1181 1,9991 1,5438 0,8493 0,1455 -0,3526 -0,5661 -0,5192 -0,2517 0,1891 0,7482 1,4202 2,2342 3,1389 3,9589 4,4952 4,6359 4,3699 3,7622 2,9671 2,1814 1,4848 0,7831 -0,0337 -0,9525 -1,8756 -2,6927 -3,2805 -3,5251 -3,3827 -2,8698 -2,0264 -0,9437 0,2144 1,2440 1,9589 2,2528 2,1175 1,6174 0,8654 -0,0096 -0,8812 -1,6132 -2,0836 -2,2480 -2,1492 -1,8581 -1,4332 -0,9494 -0,5350 -0,3269 -0,3955 -0,7371 -1,2834 -1,8739 -2,3031 -2,4787 -2,5066 -2,5607 -2,6685 -2,6825 -2,4682 -2,0528 -1,5765 -1,1557 -0,8101 -0,4845 -0,1059 0,3823 0,9988 1,6973 2,3864 3,0096 3,5870 4,1405 4,5990 4,8292 4,7667 4,4839 4,1150 3,7345 3,3357 2,9047 2,4597 2,0141 1,5607 1,1269 0,8047 0,6703 0,6770 0,6672 0,4954 0,1032 -0,4984 -1,2275 -1,9135 -2,3623 -2,4704 -2,2872 -1,9914 -1,7707 -1,6921 -1,6971 -1,6804 -1,5414 -1,2099 -0,6729 0,0026 0,6613 1,1161 1,2686 1,1679 0,9471 0,7293 0,5720 0,4609 0,3572 0,2479 0,1419 0,0474 -0,0333 -0,1066 -0,1949 -0,3189 -0,4753 -0,6612 -0,9016 -1,2108 -1,5495 -1,8407 -2,0038 -1,9951 -1,8416 -1,6377 -1,5163
Fz    4,9422 5,4254 5,2399 4,3011 2,8099 1,2098 -0,0515 -0,7114 -0,7123 -0,1819 0,5999 1,3404 1,8893 2,2425 2,4577 2,5979 2,6706 2,5906 2,2698 1,7241 1,0421 0,2942 -0,4838 -1,2508 -1,9190 -2,3517 -2,4370 -2,1978 -1,8195 -1,5538 -1,5699 -1,8729 -2,3303 -2,7372 -2,8969 -2,7431 -2,3920 -2,0108 -1,6341 -1,1623 -0,5514 0,0674 0,4966 0,6154 0,3923 -0,1402 -0,9047 -1,8334 -2,8714 -3,8981 -4,7251 -5,2044 -5,2533 -4,7807 -3,7295 -2,2504 -0,7557 0,2820 0,6032 0,2508 -0,5267 -1,3991 -2,0809 -2,4704 -2,6589 -2,7472 -2,7027 -2,4432 -1,9939 -1,4944 -1,0804 -0,8044 -0,6721 -0,7163 -1,0088 -1,5891 -2,3772 -3,1848 -3,8254 -4,1857 -4,2099 -3,8754 -3,2055 -2,3026 -1,3743 -0,7018 -0,4907 -0,7052 -1,1070 -1,4709 -1,7068 -1,8209 -1,8431 -1,7892 -1,6614 -1,4785 -1,3120 -1,2744 -1,4097 -1,5696 -1,4575 -0,8524 0,1918 1,3462 2,1856 2,3961 1,8972 0,8545 -0,4192 -1,6431 -2,6939 -3,5540 -4,1916 -4,5544 -4,6146 -4,3557 -3,7880 -3,0304 -2,3139 -1,8596 -1,7640 -1,9834 -2,3768 -2,7686 -3,0132 -3,0364 -2,8758 -2,7077 -2,7544 -3,0861 -3,5575 -3,9728 -4,2265 -4,2826 -4,1519 -3,9007 -3,5844 -3,1893 -2,7062 -2,2264 -1,8833 -1,7134 -1,6409 -1,5876 -1,5515 -1,5810 -1,6916 -1,8081 -1,7777 -1,4524 -0,8074 0,0062 0,7446 1,2012 1,2757 0,9749 0,4026 -0,2379 -0,6978 -0,8302 -0,6881 -0,4506 -0,2764 -0,2324 -0,3057 -0,4422 -0,5854 -0,6866 -0,6921 -0,5572 -0,2852 0,0621 0,3854 0,5754 0,5417 0,2448 -0,2802 -0,9243 -1,5584 -2,1100 -2,5412 -2,7461 -2,5823 -2,0285 -1,2363 -0,4169 0,3018 0,9281 1,5493 2,2487 3,0830 4,0855 5,2130 6,2849 7,0370 7,2720 6,9317 6,0355 4,6489 2,9598 1,3127 0,0896 -0,4902 -0,4995 -0,2398 -0,0100 0,0740 0,0517 -0,0245 -0,1694 -0,4344 -0,8400 -1,3480 -1,8843 -2,3730 -2,7479 -2,9656 -3,0384 -3,0460 -3,1162 -3,3781 -3,8749 -4,5222 -5,1758 -5,7115 -6,0353 -6,0807 -5,8158 -5,2302 -4,3509 -3,3155 -2,3989 -1,9003 -2,0009 -2,7083 -3,8520 -5,1205 -6,1785 -6,7955 -6,9156 -6,6741 -6,3247 -6,0797 -5,9927 -5,9916 -5,9931 -5,9458 -5,8237 -5,6453 -5,4670 -5,3213 -5,1712 -4,9285 -4,5162 -3,9102 -3,1364 -2,2698 -1,4447 -0,8259 -0,5454 -0,6400 -1,0141 -1,4566 -1,7490 -1,7961 -1,6142 -1,2092 -0,5708 0,2159 0,9705 1,5619 1,9956 2,3325 2,5716 2,6723 2,6539 2,5990 2,5701 2,5509 2,4700 2,2931 2,0865 1,9753 2,0259 2,1603 2,2296 2,1916 2,1670 2,3056 2,6168 2,9354 3,0471 2,8419 2,3754 1,8212 1,3464 1,0166 0,8219 0,7830 1,0048 1,5905 2,5190 3,6222 4,6409 5,3350 5,6226 5,6182 5,4993 5,3344 5,0480 4,5257 3,7323 2,7537 1,7786 1,0610 0,8361 1,1942 2,0182 3,0523 4,0549 4,9011 5,5560 6,0018 6,2401 6,3360 6,3918 6,4542 6,4399 6,1759 5,5486 4,5937 3,4369 2,2234 1,1299 0,3555 0,0524 0,2959 1,1045 2,4154 4,0261 5,6126 6,8465 7,5011 7,4656 6,7403 5,4879 4,0539 2,8552 2,1971 2,1653 2,6451 3,3950 4,1545 4,7794 5,2902 5,7886 6,3372 6,8873 7,3213 7,5792 7,7050 7,7660 7,7723 7,6617 7,3315 6,7026 5,7989 4,7740 3,8390 3,1413 2,6920 2,3879 2,1169 1,8570 1,6629 1,5886 1,6769 1,9943 2,5934 3,4176 4,2847 4,9796 5,3444 5,3132 4,9331 4,3364 3,6380 2,8700 2,0223 1,1194 0,2754 -0,3044 -0,4272 -0,0531 0,6964 1,6298 2,5325 3,1935 3,4864 3,4510 3,2843 3,2325 3,4516 3,9316 4,5366 5,0977 5,4766 5,6063 5,5159 5,2899 4,9932 4,6416 4,2070 3,6474 2,9898 2,3676 1,9057 1,5991 1,3669 1,1954 1,1751 1,3839 1,7613 2,1277 2,3242 2,3285 2,2513 2,2324 2,3166 2,4197 2,4287 2,3223 2,1704 2,0497 1,9889 1,9614 1,9246 1,8770 1,8346 1,7711 1,6320 1,4005 1,1393 0,9616 0,9387 1,0288 1,1131 1,1135 1,0476 0,9766 0,9570 1,0368 1,2387 1,5395 1,8840 2,2064 2,4288 2,4828 2,3610 2,1055 1,7563 1,3888 1,1414 1,1012 1,2008 1,2663 1,1306 0,7190 0,0933 -0,5702 -1,0912 -1,3829 -1,4200 -1,1684 -0,6018 0,2625 1,3766 2,6557 3,9367 4,9937 5,6368 5,7976 5,5157 4,8716 3,9848 3,0128 2,0387 1,0025 -0,1569 -1,3418 -2,3419 -2,9599 -3,0603 -2,6094 -1,7204 -0,5925 0,5953 1,7003 2,6013 3,2027 3,4316 3,2472 2,6597 1,7492 0,6651 -0,4320 -1,4316 -2,2701 -2,9028 -3,3042 -3,4784 -3,4600 -3,2965 -3,0404 -2,7770 -2,6175 -2,6373 -2,8465 -3,1698 -3,4172 -3,3606 -2,9136 -2,2134 -1,4926 -0,8821 -0,3773 0,0333 0,2851 0,2887 0,0260 -0,4027 -0,8232 -1,0841 -1,1141 -0,9178 -0,5451 -0,0482 0,5518 1,2444 1,9779 2,6481 3,1527 3,4619 3,6419 3,7896 3,9249 3,9765 3,8778 3,6230 3,2246 2,6800 2,0190 1,3516 0,8151 0,4637 0,2335 0,0225 -0,2237 -0,5075 -0,8069 -1,0723 -1,2325 -1,2518 -1,1880 -1,1701 -1,2881 -1,5090 -1,7166 -1,8177 -1,7926 -1,6703 -1,4894 -1,2943 -1,1579 -1,1720 -1,3844 -1,7509 -2,1634 -2,5183 -2,7617 -2,8732 -2,8020 -2,4501 -1,7600 -0,8060 0,2286 1,1452 1,7886 2,0651 1,9626 1,5416 0,8850 0,0908 -0,6976 -1,3029 -1,5780 -1,4830 -1,1113 -0,6465 -0,3044
F3    4,2709 4,9414 4,8294 3,8726 2,2732 0,4997 -0,9304 -1,6807 -1,6683 -1,0465 -0,1414 0,7174 1,3762 1,8575 2,2226 2,4794 2,5667 2,3992 1,9798 1,4417 0,9250 0,4589 0,0052 -0,4322 -0,7764 -0,9302 -0,8701 -0,7171 -0,6953 -0,9930 -1,6359 -2,4771 -3,2841 -3,8087 -3,8496 -3,3754 -2,5789 -1,7238 -0,9376 -0,2035 0,4664 0,9538 1,1437 1,0093 0,5856 -0,0530 -0,8159 -1,6576 -2,5605 -3,4326 -4,1146 -4,5007 -4,5496 -4,1905 -3,3594 -2,1789 -1,0191 -0,3034 -0,2471 -0,7811 -1,6446 -2,4924 -3,0283 -3,1736 -3,0785 -2,9020 -2,6323 -2,1644 -1,4820 -0,7048 0,0040 0,5254 0,7819 0,6843 0,1295 -0,9054 -2,2563 -3,5932 -4,5806 -5,0272 -4,9135 -4,3218 -3,3635 -2,1772 -0,9896 -0,1208 0,1880 0,0010 -0,3437 -0,5331 -0,5027 -0,4021 -0,4196 -0,6198 -0,9136 -1,1844 -1,4388 -1,8055 -2,3369 -2,8188 -2,8565 -2,1809 -0,8538 0,7819 2,2791 3,2312 3,3779 2,7007 1,4318 -0,0963 -1,6279 -3,0016 -4,0859 -4,7998 -5,1246 -5,0352 -4,5154 -3,6858 -2,8267 -2,2206 -1,9924 -2,0811 -2,3071 -2,4716 -2,4432 -2,1980 -1,8450 -1,6414 -1,8720 -2,5910 -3,5281 -4,3173 -4,7449 -4,7771 -4,4999 -4,0639 -3,5939 -3,1342 -2,6983 -2,3325 -2,0784 -1,8972 -1,6980 -1,4512 -1,2394 -1,1770 -1,2865 -1,4594 -1,5240 -1,3522 -0,9440 -0,4314 0,0116 0,2653 0,2864 0,0799 -0,3100 -0,7568 -1,0499 -1,0321 -0,7534 -0,4391 -0,3104 -0,4453 -0,7556 -1,0630 -1,2211 -1,1878 -1,0040 -0,7442 -0,4809 -0,2668 -0,1471 -0,1873 -0,4567 -0,9797 -1,7057 -2,5122 -3,2567 -3,8515 -4,2408 -4,2941 -3,8417 -2,8641 -1,5712 -0,2834 0,7504 1,4597 1,9230 2,2659 2,6039 3,0239 3,5409 4,0631 4,4292 4,4977 4,1999 3,5176 2,4799 1,2259 0,0330 -0,7893 -1,0855 -0,9716 -0,7477 -0,6593 -0,7422 -0,8800 -0,9500 -0,9110 -0,8094 -0,7406 -0,7932 -1,0067 -1,3683 -1,8357 -2,3652 -2,9370 -3,5611 -4,2595 -5,0267 -5,7756 -6,3457 -6,6127 -6,5603 -6,2276 -5,6450 -4,8388 -3,8535 -2,7733 -1,7614 -1,0564 -0,8752 -1,3144 -2,3231 -3,6926 -5,0810 -6,1368 -6,6421 -6,5835 -6,1506 -5,6377 -5,2681 -5,0870 -5,0200 -5,0005 -5,0163 -5,0786 -5,1907 -5,3300 -5,4419 -5,4433 -5,2379 -4,7580 -3,9898 -2,9601 -1,7401 -0,4788 0,5935 1,2322 1,2913 0,8136 0,0303 -0,7635 -1,3685 -1,6993 -1,6939 -1,3295 -0,7280 -0,1215 0,3328 0,6559 0,9463 1,2278 1,4470 1,5756 1,6431 1,6846 1,7089 1,7277 1,7909 1,9742 2,3180 2,7639 3,1374 3,2456 3,0489 2,7120 2,4560 2,3619 2,3129 2,1188 1,6847 1,0794 0,4849 0,0790 -0,0607 0,0457 0,3647 0,9113 1,7101 2,7209 3,8219 4,8290 5,5552 5,9160 5,9725 5,8271 5,4985 4,9258 4,0708 3,0036 1,8994 0,9641 0,3746 0,2513 0,6219 1,3916 2,3676 3,3622 4,2892 5,1335 5,8643 6,4531 6,9374 7,3812 7,7614 7,9101 7,5970 6,7175 5,3992 3,9102 2,5033 1,3597 0,5977 0,2713 0,3805 0,9144 1,8617 3,1431 4,5502 5,7912 6,6020 6,8171 6,4052 5,5108 4,4402 3,5432 3,0633 3,0717 3,5043 4,2078 4,9810 5,6650 6,2130 6,6621 7,0397 7,2879 7,3008 7,0450 6,6109 6,1443 5,7535 5,4537 5,1766 4,8367 4,4048 3,9367 3,5385 3,2839 3,1448 3,0111 2,8158 2,6328 2,6015 2,7720 3,0898 3,5078 4,0249 4,6062 5,1357 5,4691 5,5030 5,2141 4,6931 4,1176 3,6375 3,2909 3,0241 2,7637 2,4949 2,3048 2,3183 2,5802 3,0359 3,5838 4,0805 4,3554 4,3102 4,0152 3,6886 3,5687 3,7729 4,2350 4,7676 5,1835 5,3679 5,2925 5,0093 4,6101 4,1737 3,7429 3,3219 2,9046 2,5465 2,3778 2,4767 2,7591 3,0447 3,2248 3,3410 3,4898 3,6768 3,8072 3,8061 3,6963 3,5681 3,5035 3,5019 3,4552 3,2337 2,8073 2,2642 1,7374 1,3443 1,1562 1,1993 1,4720 1,9117 2,3702 2,6840 2,7767 2,6979 2,5778 2,5273 2,5510 2,5584 2,4725 2,3006 2,1090 1,9830 2,0028 2,1969 2,5125 2,8407 3,0561 3,0451 2,7632 2,2971 1,8147 1,4464 1,2671 1,3250 1,5870 1,8921 2,0164 1,7905 1,1865 0,3397 -0,5119 -1,1579 -1,5053 -1,5328 -1,2150 -0,5445 0,4210 1,5867 2,8543 4,0908 5,1110 5,7524 5,9625 5,7853 5,2919 4,5798 3,7749 2,9304 1,9766 0,8647 -0,2952 -1,3004 -1,9822 -2,2299 -2,0015 -1,3590 -0,4283 0,6641 1,7849 2,7939 3,5651 3,9894 3,9927 3,5634 2,7679 1,7449 0,6514 -0,3989 -1,3287 -2,0632 -2,5421 -2,7501 -2,7123 -2,4615 -2,0325 -1,5058 -1,0221 -0,7284 -0,7026 -0,8741 -1,0046 -0,8363 -0,3074 0,3984 1,0179 1,4039 1,5536 1,4997 1,2440 0,7871 0,1850 -0,4263 -0,8683 -1,0000 -0,7766 -0,2620 0,4034 1,0811 1,7059 2,2829 2,8210 3,2852 3,6241 3,8338 3,9852 4,1621 4,3584 4,4765 4,4372 4,2367 3,8902 3,3934 2,7756 2,1356 1,5825 1,1579 0,8294 0,5434 0,2637 -0,0235 -0,2974 -0,4916 -0,5369 -0,4296 -0,2494 -0,1081 -0,0682 -0,0968 -0,1030 -0,0214 0,1445 0,3377 0,4925 0,5627 0,5076 0,2881 -0,0820 -0,5000 -0,8285 -0,9860 -0,9843 -0,8816 -0,6986 -0,3939 0,0604 0,6102 1,1504 1,5939 1,8935 2,0355 2,0437 1,9540 1,7695 1,4845 1,1403 0,8238 0,6204 0,5615 0,6048 0,6585 0,6097
F7    4,3255 4,8814 4,6348 3,6029 1,8936 -0,2575 -2,4915 -4,4094 -5,6513 -5,9233 -5,1111 -3,5085 -1,8387 -0,8620 -0,8541 -1,4240 -1,8724 -1,7650 -1,1412 -0,2316 0,8385 1,9917 3,0555 3,8535 4,3082 4,3753 3,9883 3,1172 1,8846 0,5810 -0,5389 -1,4540 -2,2919 -3,0992 -3,7666 -4,1419 -4,1461 -3,7803 -3,0209 -1,7333 0,1407 2,2597 3,9639 4,7330 4,4587 3,3742 1,8752 0,3383 -1,0205 -2,1407 -2,9738 -3,3847 -3,2241 -2,4867 -1,3544 -0,0905 1,0678 1,9359 2,3650 2,2554 1,6297 0,6758 -0,3394 -1,2364 -1,9961 -2,6594 -3,1803 -3,4429 -3,4135 -3,1790 -2,7929 -2,1275 -0,9708 0,6420 2,2666 3,3387 3,5753 3,0531 2,0081 0,6376 -0,9377 -2,5591 -3,9512 -4,8398 -5,1122 -4,8130 -4,0324 -2,8285 -1,2704 0,4218 1,8541 2,6626 2,7540 2,3513 1,7908 1,2531 0,7135 0,0859 -0,6723 -1,4918 -2,1477 -2,3716 -2,0722 -1,4346 -0,8226 -0,5704 -0,7818 -1,2794 -1,7246 -1,8053 -1,4161 -0,7050 0,0732 0,7024 1,0286 0,9843 0,6357 0,1350 -0,3952 -0,9130 -1,4295 -1,9829 -2,6400 -3,4710 -4,4525 -5,3870 -5,9449 -5,8136 -4,8932 -3,3818 -1,6366 -0,0020 1,2573 2,0031 2,2305 2,0100 1,4783 0,8568 0,3711 0,1135 0,0329 0,0580 0,1674 0,3520 0,5724 0,7440 0,7552 0,5629 0,2870 0,1480 0,2936 0,7050 1,2311 1,6794 1,9291 1,9934 1,9467 1,8221 1,6005 1,2450 0,7460 0,1927 -0,2160 -0,3255 -0,1842 0,0364 0,2320 0,4200 0,6662 1,0013 1,4197 1,9209 2,4620 2,9051 3,0967 2,9660 2,5393 1,9196 1,2325 0,5570 -0,0674 -0,5793 -0,9094 -1,0372 -0,9682 -0,6715 -0,0835 0,8363 2,0254 3,2520 4,2131 4,7774 5,0517 5,1902 5,2482 5,1993 4,9742 4,4734 3,6361 2,5322 1,3619 0,3636 -0,3041 -0,6540 -0,8556 -1,0883 -1,3806 -1,5968 -1,5747 -1,2609 -0,7359 -0,1677 0,2448 0,3141 -0,0924 -0,9827 -2,2031 -3,5017 -4,6431 -5,4965 -6,0530 -6,3513 -6,3895 -6,1069 -5,4128 -4,2843 -2,8830 -1,4855 -0,2584 0,8130 1,7504 2,4309 2,6566 2,3072 1,4051 0,1313 -1,2078 -2,3144 -3,0198 -3,3035 -3,2473 -2,9628 -2,5274 -1,9611 -1,2565 -0,4225 0,5019 1,3949 1,9737 1,9296 1,2356 0,2237 -0,6595 -1,0929 -0,9312 -0,1634 1,0888 2,5516 3,8648 4,7239 4,9997 4,7629 4,2177 3,5772 2,9636 2,4323 2,0658 1,9501 2,0599 2,2744 2,5240 2,8289 3,1759 3,4485 3,5348 3,4549 3,3420 3,3428 3,5532 4,0078 4,6964 5,5762 6,5466 7,3856 7,7408 7,3126 6,1251 4,5643 3,1222 2,1061 1,5420 1,2880 1,1970 1,1930 1,2517 1,3335 1,3672 1,3550 1,4626 1,9167 2,7880 3,9177 5,0395 5,9114 6,3937 6,4978 6,3434 6,0281 5,5309 4,7653 3,7328 2,6113 1,6948 1,2543 1,4227 2,1404 3,1705 4,1988 4,9678 5,3913 5,5872 5,7569 5,9989 6,2578 6,4266 6,4419 6,2640 5,7962 4,9162 3,6539 2,2890 1,2250 0,7611 0,9697 1,7392 2,8859 4,2121 5,4885 6,4609 6,9488 6,9566 6,7071 6,5160 6,4929 6,3867 5,8660 4,9011 3,7972 2,9584 2,6682 2,9818 3,7392 4,7058 5,7215 6,6835 7,4485 7,8535 7,8059 7,3145 6,4895 5,5302 4,6437 3,9466 3,4494 3,1023 2,8399 2,6409 2,5712 2,7192 3,0667 3,4395 3,5879 3,3538 2,7963 2,1434 1,6505 1,5289 1,9056 2,7437 3,8259 4,8691 5,6433 6,0159 5,9614 5,5519 4,8870 3,9964 2,8519 1,5070 0,1903 -0,7646 -1,1053 -0,8247 -0,1648 0,5460 1,0900 1,4693 1,8462 2,3552 3,0006 3,7405 4,5565 5,3841 6,0590 6,3873 6,2519 5,6634 4,7480 3,7033 2,7314 1,9466 1,3172 0,7190 0,0695 -0,5577 -0,9359 -0,8538 -0,2986 0,5558 1,5009 2,3771 3,0341 3,3019 3,0707 2,3968 1,5198 0,7673 0,3882 0,4065 0,6209 0,7571 0,6348 0,2434 -0,2840 -0,7495 -0,9637 -0,7990 -0,2356 0,6039 1,4812 2,1333 2,3751 2,1925 1,7670 1,3540 1,1108 1,0736 1,2603 1,6843 2,2573 2,7698 3,0080 2,8622 2,3548 1,6288 0,8954 0,3407 0,0711 0,1362 0,5280 1,1412 1,8124 2,3929 2,7329 2,6712 2,1190 1,1432 -0,0394 -1,1329 -1,8504 -2,0360 -1,7504 -1,1811 -0,4709 0,3322 1,2216 2,1992 3,2513 4,2945 5,1679 5,7235 5,9103 5,7468 5,2583 4,5071 3,6404 2,8095 2,0429 1,2540 0,3550 -0,6778 -1,7768 -2,7402 -3,2892 -3,2377 -2,5667 -1,3734 0,1578 1,7675 3,1698 4,1218 4,4956 4,3006 3,6548 2,7298 1,6638 0,5376 -0,5507 -1,4523 -2,0325 -2,2384 -2,1062 -1,7053 -1,0880 -0,3261 0,4488 1,0970 1,5285 1,7202 1,7360 1,6917 1,6239 1,4274 0,9967 0,4051 -0,1228 -0,3976 -0,3772 -0,1296 0,2621 0,7822 1,4825 2,3824 3,3805 4,2815 4,9091 5,2098 5,2652 5,1978 5,0578 4,7995 4,3556 3,7221 2,9786 2,2263 1,5247 0,9177 0,4945 0,3598 0,5421 0,9581 1,4555 1,8613 2,0150 1,8273 1,3428 0,7357 0,2044 -0,1486 -0,3246 -0,3491 -0,2312 0,0172 0,3335 0,5725 0,5878 0,3626 0,0053 -0,3726 -0,7301 -1,0687 -1,3736 -1,6109 -1,7680 -1,8623 -1,9115 -1,9090 -1,8159 -1,5894 -1,2571 -0,9466 -0,7890 -0,8093 -0,9408 -1,1107 -1,2661 -1,3390 -1,2538 -1,0012 -0,6657 -0,3723 -0,2297 -0,2884 -0,4956 -0,7005 -0,7333 -0,5074 -0,0890 0,2869 0,3030
