Fp1   4,6262 4,3856 4,0555 3,5919 2,9970 2,3112 1,5936 0,9009 0,2629 -0,3177 -0,8445 -1,3248 -1,7843 -2,2454 -2,6789 -3,0025 -3,1420 -3,0720 -2,7848 -2,2689 -1,5612 -0,7902 -0,1237 0,3185 0,4933 0,4217 0,1721 -0,1651 -0,5113 -0,8120 -1,0214 -1,0850 -0,9501 -0,6031 -0,1052 0,4090 0,7935 0,9815 1,0074 0,9409 0,8301 0,7023 0,5795 0,4738 0,3738 0,2435 0,0352 -0,2896 -0,7384 -1,2789 -1,8477 -2,3675 -2,7729 -3,0438 -3,2075 -3,2926 -3,2787 -3,0935 -2,6634 -1,9801 -1,1304 -0,2664 0,4623 0,9612 1,1953 1,1679 0,9063 0,4619 -0,0881 -0,6607 -1,2141 -1,7670 -2,3489 -2,9384 -3,4556 -3,7986 -3,8878 -3,7037 -3,3016 -2,7854 -2,2618 -1,8105 -1,4910 -1,3603 -1,4566 -1,7606 -2,1946 -2,6675 -3,1281 -3,5885 -4,1053 -4,7427 -5,5413 -6,4834 -7,4822 -8,4344 -9,2863 -10,0312 -10,6681 -11,1895 -11,5909 -11,8655 -11,9989 -11,9834 -11,8325 -11,5633 -11,1675 -10,6289 -9,9745 -9,2805 -8,6150 -7,9797 -7,3016 -6,4795 -5,4575 -4,2609 -2,9688 -1,6789 -0,5024 0,4525 1,1339 1,5889 1,9434 2,3270 2,8031 3,3475 3,8730 4,2761 4,4880 4,5036 4,3598 4,0774 3,6434 3,0675 2,4293 1,8337 1,3351 0,9336 0,6239 0,4055 0,2536 0,1277 0,0230 -0,0309 -0,0390 -0,0769 -0,2445 -0,5974 -1,1098 -1,6893 -2,2245 -2,6229 -2,8350 -2,8729 -2,7952 -2,6538 -2,4522 -2,1490 -1,6895 -1,0392 -0,2054 0,7632 1,7958 2,8087 3,7237 4,5089 5,1835 5,7586 6,1798 6,3419 6,1696 5,6918 5,0394 4,3626 3,7407 3,1735 2,6522 2,2106 1,8938 1,6998 1,5661 1,3963 1,0954 0,5959 -0,1250 -1,0386 -2,0598 -3,0573 -3,8907 -4,4749 -4,8317 -5,0602 -5,2324 -5,3313 -5,3039 -5,1446 -4,9041 -4,6398 -4,3820 -4,1375 -3,9141 -3,7380 -3,6394 -3,6155 -3,6200 -3,5935 -3,4917 -3,2915 -3,0090 -2,7254 -2,5609 -2,5768 -2,6884 -2,6888 -2,3834 -1,7250 -0,8490 0,0012 0,5961 0,8258 0,7343 0,4624 0,1436 -0,1689 -0,4796 -0,7655 -0,9407 -0,9141 -0,6604 -0,2330 0,2664 0,7271 1,0636 1,2362 1,2467 1,1137 0,8462 0,4471 -0,0499 -0,5617 -0,9989 -1,3303 -1,5989 -1,8776 -2,1939 -2,4726 -2,5743 -2,4155 -2,0293 -1,4963 -0,8583 -0,1369 0,5931 1,2069 1,6252 1,8763 2,0456 2,1871 2,2864 2,2767 2,0795 1,6695 1,1365 0,6669 0,4232 0,4228 0,5445 0,6462 0,6612 0,6064 0,5492 0,5706 0,7256 1,0104 1,3704 1,7417 2,0746 2,3306 2,4777 2,4919 2,3671 2,1325 1,8466 1,5679 1,3455 1,2285 1,2593 1,4409 1,7160 1,9919 2,1942 2,3007 2,3396 2,3697 2,4529 2,6246 2,8807 3,1694 3,3724 3,3229 2,8959 2,1051 1,1147 0,1641 -0,5310 -0,8405 -0,7426 -0,3217 0,2675 0,8653 1,3621 1,7091 1,9020 1,9656 1,9344 1,8256 1,6267 1,3040 0,8235 0,1924 -0,4943 -1,0767 -1,4286 -1,5268 -1,4288 -1,2211 -0,9979 -0,8427 -0,7935 -0,8317 -0,9246 -1,0655 -1,2616 -1,4995 -1,7387 -1,9329 -2,0489 -2,0798 -2,0474 -1,9883 -1,9357 -1,8980 -1,8407 -1,7031 -1,4519 -1,1144 -0,7550 -0,4197 -0,0986 0,2637 0,7194 1,2697 1,8444 2,3172 2,5681 2,5609 2,3648 2,0993 1,8604 1,6810 1,5376 1,3915 1,2335 1,0987 1,0515 1,1538 1,4244 1,8219 2,2709 2,7025 3,0622 3,2920 3,3414 3,2194 3,0217 2,8750 2,8394 2,8589 2,8130 2,6369 2,3896 2,1980 2,1577 2,3027 2,6273 3,0862 3,5827 3,9981 4,2443 4,2930 4,1817 4,0052 3,8860 3,9304 4,1927 4,6507 5,2093 5,7481 6,1833 6,5004 6,7479 6,9964 7,2727 7,5317 7,7084 7,7883 7,8036 7,7778 7,7016 7,5566 7,3398 7,0600 6,7368 6,4207 6,1884 6,0905 6,1114 6,1874 6,2515 6,2672 6,2467 6,2387 6,2789 6,3669 6,4959 6,6753 6,8994 7,1109 7,2268 7,1947 7,0153 6,7288 6,4084 6,1564 6,0668 6,1655 6,3983 6,6783 6,9270 7,0803 7,0944 6,9646 6,7284 6,4545 6,2313 6,1395 6,2177 6,4510 6,7790 7,1131 7,3712 7,5195 7,5837 7,6164 7,6555 7,7017 7,7191 7,6523 7,4503 7,0930 6,6124 6,0932 5,6373 5,3136 5,1439 5,1283 5,2554 5,4768 5,6910 5,7819 5,6953 5,4736 5,1973 4,8883 4,4885 3,9415 3,2761 2,5967 2,0014 1,5218 1,1430 0,8664 0,7340 0,7988 1,0900 1,5835 2,1757 2,6997 2,9967 2,9907 2,7190 2,3177 1,9730 1,8499 2,0264 2,4774 3,1143 3,8393 4,5844 5,3275 6,0635 6,7452 7,2697 7,5506 7,5871 7,4496 7,2238 6,9781 6,7598 6,5880 6,4477 6,3153 6,1923 6,0921 5,9991 5,8767 5,7157 5,5496 5,4201 5,3359 5,2607 5,1432 4,9619 4,7391 4,5102 4,2869 4,0477 3,7558 3,3996 3,0290 2,7280 2,5465 2,4736 2,4619 2,4449 2,3529 2,1666 1,9717 1,9329 2,1946 2,7816 3,5746 4,3813 5,0444 5,4879 5,6835 5,6080 5,2457 4,6112 3,7624 2,8156 1,9422 1,3140 1,0306 1,0962 1,4356 1,9133 2,3594 2,6309 2,6777 2,5397 2,2641 1,8458 1,2688 0,5799 -0,1145 -0,7231 -1,2148 -1,5909 -1,8408 -1,9323 -1,8443 -1,6153 -1,3550 -1,2016 -1,2701 -1,6166 -2,1955 -2,8395 -3,3276 -3,5100 -3,3551 -2,8957 -2,1897 -1,3434 -0,5167 0,1383 0,5582 0,7981 0,9760 1,1782 1,4072 1,5992 1,6713 1,5631 1,2619 0,7978 0,2185 -0,4208 -1,0334
Fz    2,0525 1,6911 1,3382 0,9376 0,4697 -0,0510 -0,5949 -1,1179 -1,5577 -1,8540 -1,9763 -1,9426 -1,8158 -1,6697 -1,5364 -1,3900 -1,1859 -0,9105 -0,5874 -0,2605 0,0097 0,1553 0,1386 -0,0252 -0,2844 -0,5766 -0,8457 -1,0545 -1,1815 -1,2039 -1,0936 -0,8277 -0,4042 0,1437 0,7317 1,2294 1,5189 1,5716 1,4593 1,2899 1,1476 1,0816 1,1104 1,2192 1,3599 1,4621 1,4483 1,2531 0,8512 0,2775 -0,3769 -0,9918 -1,4670 -1,7687 -1,9320 -2,0155 -2,0508 -2,0242 -1,8887 -1,5951 -1,1295 -0,5338 0,1070 0,7031 1,1844 1,4945 1,5812 1,4174 1,0313 0,5048 -0,0720 -0,6471 -1,2099 -1,7620 -2,2895 -2,7516 -3,0894 -3,2516 -3,2214 -3,0323 -2,7613 -2,4992 -2,3157 -2,2483 -2,3138 -2,5118 -2,8134 -3,1641 -3,5143 -3,8560 -4,2256 -4,6695 -5,2083 -5,8153 -6,4218 -6,9586 -7,4036 -7,7846 -8,1406 -8,4864 -8,8077 -9,0771 -9,2754 -9,4024 -9,4630 -9,4439 -9,3096 -9,0337 -8,6374 -8,1917 -7,7745 -7,4148 -7,0672 -6,6323 -6,0194 -5,2075 -4,2585 -3,2825 -2,3925 -1,6712 -1,1521 -0,8155 -0,5984 -0,4172 -0,2070 0,0428 0,2900 0,4796 0,5909 0,6458 0,6716 0,6626 0,5922 0,4560 0,2834 0,1056 -0,0714 -0,2445 -0,3754 -0,4039 -0,3036 -0,0992 0,1706 0,4745 0,7717 1,0067 1,1341 1,1448 1,0722 0,9751 0,9121 0,9335 1,0710 1,3047 1,5560 1,7421 1,8421 1,9112 2,0390 2,2964 2,7104 3,2657 3,9087 4,5526 5,1057 5,5100 5,7479 5,8170 5,7069 5,4002 4,9001 4,2559 3,5550 2,8799 2,2669 1,6995 1,1387 0,5635 -0,0180 -0,5932 -1,1708 -1,7690 -2,3964 -3,0519 -3,7335 -4,4404 -5,1631 -5,8649 -6,4724 -6,8985 -7,0965 -7,0895 -6,9399 -6,7059 -6,4385 -6,1922 -6,0102 -5,9031 -5,8594 -5,8698 -5,9249 -5,9954 -6,0330 -5,9944 -5,8624 -5,6535 -5,4132 -5,2005 -5,0655 -5,0284 -5,0681 -5,1224 -5,0966 -4,8884 -4,4284 -3,7228 -2,8719 -2,0458 -1,4137 -1,0584 -0,9367 -0,9278 -0,9209 -0,8663 -0,7659 -0,6355 -0,4837 -0,3129 -0,1287 0,0493 0,1828 0,2263 0,1487 -0,0508 -0,3428 -0,6818 -1,0257 -1,3483 -1,6316 -1,8590 -2,0296 -2,1701 -2,3245 -2,5348 -2,8082 -3,0783 -3,2155 -3,1121 -2,7596 -2,2336 -1,6300 -1,0441 -0,5860 -0,3549 -0,3731 -0,5640 -0,7984 -0,9673 -1,0310 -1,0294 -1,0548 -1,1924 -1,4593 -1,7907 -2,0887 -2,2937 -2,4038 -2,4298 -2,3548 -2,1481 -1,8002 -1,3378 -0,8176 -0,3018 0,1692 0,5882 0,9667 1,3101 1,6046 1,8244 1,9487 1,9743 1,9217 1,8399 1,8015 1,8757 2,0976 2,4455 2,8424 3,1915 3,4228 3,5154 3,4900 3,3882 3,2543 3,1242 3,0226 2,9600 2,9218 2,8647 2,7369 2,5116 2,2102 1,8871 1,5911 1,3483 1,1707 1,0679 1,0543 1,1488 1,3550 1,6324 1,9016 2,0887 2,1616 2,1266 1,9961 1,7635 1,4109 0,9515 0,4603 0,0399 -0,2468 -0,3934 -0,4132 -0,3234 -0,1724 -0,0508 -0,0348 -0,1160 -0,2122 -0,2520 -0,2343 -0,2116 -0,2361 -0,3265 -0,4675 -0,6284 -0,7773 -0,8906 -0,9633 -1,0041 -1,0125 -0,9694 -0,8556 -0,6707 -0,4276 -0,1302 0,2346 0,6801 1,1957 1,7325 2,2088 2,5394 2,6711 2,5965 2,3517 2,0069 1,6435 1,3215 1,0615 0,8589 0,7150 0,6556 0,7204 0,9336 1,2733 1,6697 2,0414 2,3350 2,5276 2,6056 2,5628 2,4182 2,2138 1,9828 1,7266 1,4261 1,0684 0,6755 0,3174 0,0806 0,0145 0,1142 0,3498 0,6869 1,0779 1,4592 1,7795 2,0260 2,2164 2,3715 2,5012 2,6126 2,7262 2,8815 3,1209 3,4603 3,8662 4,2598 4,5562 4,7068 4,7096 4,5957 4,4194 4,2384 4,0859 3,9585 3,8319 3,6813 3,4947 3,2837 3,0864 2,9570 2,9457 3,0761 3,3311 3,6532 3,9590 4,1658 4,2294 4,1584 3,9863 3,7469 3,4778 3,2230 3,0157 2,8710 2,7958 2,7876 2,8268 2,8848 2,9480 3,0273 3,1390 3,2738 3,3904 3,4386 3,3846 3,2202 2,9659 2,6733 2,4112 2,2425 2,2109 2,3324 2,5857 2,9215 3,2900 3,6551 3,9810 4,2266 4,3651 4,3993 4,3533 4,2546 4,1218 3,9591 3,7529 3,4819 3,1475 2,7908 2,4707 2,2278 2,0757 2,0044 1,9704 1,8965 1,7079 1,3757 0,9385 0,4841 0,0968 -0,1976 -0,4364 -0,6705 -0,9161 -1,1518 -1,3494 -1,4956 -1,5874 -1,6136 -1,5511 -1,3768 -1,0723 -0,6369 -0,1160 0,3986 0,8129 1,0740 1,1840 1,1853 1,1299 1,0556 0,9811 0,9133 0,8556 0,8103 0,7766 0,7485 0,7229 0,7026 0,6937 0,7050 0,7547 0,8669 1,0587 1,3332 1,6771 2,0479 2,3741 2,6007 2,7359 2,8333 2,9337 3,0440 3,1662 3,3166 3,5098 3,7366 3,9665 4,1670 4,3105 4,3680 4,3133 4,1348 3,8351 3,4275 2,9509 2,4866 2,1325 1,9441 1,9003 1,9212 1,9171 1,8304 1,6541 1,4254 1,2046 1,0479 0,9827 0,9925 1,0220 1,0085 0,9187 0,7550 0,5337 0,2703 -0,0299 -0,3788 -0,7810 -1,1964 -1,5537 -1,8071 -1,9592 -2,0334 -2,0540 -2,0550 -2,0794 -2,1562 -2,2882 -2,4748 -2,7327 -3,0777 -3,4930 -3,9335 -4,3618 -4,7671 -5,1435 -5,4556 -5,6403 -5,6490 -5,4920 -5,2392 -4,9792 -4,7822 -4,6878 -4,6958 -4,7552 -4,7806 -4,6982 -4,4832 -4,1610 -3,7822 -3,3978 -3,0530 -2,7821 -2,5883 -2,4362 -2,2838 -2,1173 -1,9486 -1,7902 -1,6455 -1,5202 -1,4321 -1,4124 -1,4987 -1,7164 -2,0483
F3    2,1633 1,5716 0,8982 0,1520 -0,6163 -1,3260 -1,8811 -2,1859 -2,1855 -1,9166 -1,5082 -1,1180 -0,8628 -0,7895 -0,8683 -1,0168 -1,1549 -1,2264 -1,1750 -0,9608 -0,6299 -0,3217 -0,1731 -0,2334 -0,4659 -0,7856 -1,0821 -1,2478 -1,2195 -1,0055 -0,6671 -0,2628 0,1952 0,7310 1,3539 2,0102 2,5900 2,9928 3,1754 3,1292 2,8465 2,3402 1,6799 0,9851 0,3848 -0,0194 -0,1856 -0,1558 -0,0339 0,0817 0,1457 0,1535 0,0974 -0,0500 -0,3113 -0,6780 -1,1130 -1,5648 -1,9631 -2,2156 -2,2337 -1,9761 -1,4690 -0,7860 -0,0243 0,6926 1,2200 1,4350 1,2884 0,8170 0,1086 -0,7379 -1,6224 -2,4276 -3,0170 -3,2726 -3,1669 -2,8042 -2,3722 -2,0349 -1,8642 -1,8502 -1,9517 -2,1330 -2,3759 -2,6742 -3,0150 -3,3604 -3,6585 -3,8817 -4,0492 -4,2175 -4,4525 -4,7838 -5,1746 -5,5580 -5,9036 -6,2340 -6,5883 -6,9938 -7,4521 -7,9239 -8,3413 -8,6586 -8,8785 -9,0193 -9,0735 -9,0171 -8,8347 -8,5157 -8,0449 -7,4185 -6,6548 -5,7898 -4,8827 -4,0092 -3,2195 -2,5219 -1,9226 -1,4535 -1,1427 -0,9765 -0,8970 -0,8280 -0,7095 -0,5186 -0,2588 0,0553 0,3864 0,6611 0,7923 0,7108 0,3855 -0,1481 -0,7633 -1,2737 -1,5185 -1,4365 -1,0723 -0,5321 0,0626 0,6119 1,0721 1,4529 1,7737 2,0332 2,2118 2,2919 2,2791 2,2039 2,1073 2,0365 2,0334 2,0971 2,1708 2,1955 2,1796 2,2047 2,3641 2,7050 3,2161 3,8437 4,5000 5,0750 5,4846 5,7218 5,8372 5,8726 5,8235 5,6451 5,2838 4,7181 3,9788 3,1331 2,2597 1,4313 0,6956 0,0634 -0,4830 -0,9719 -1,4329 -1,8956 -2,3917 -2,9509 -3,5858 -4,2772 -4,9775 -5,6330 -6,2103 -6,7128 -7,1713 -7,6082 -8,0055 -8,3096 -8,4759 -8,5035 -8,4268 -8,2772 -8,0619 -7,7859 -7,4986 -7,2949 -7,2415 -7,3077 -7,3886 -7,3862 -7,2544 -6,9900 -6,6172 -6,1866 -5,7682 -5,4178 -5,1391 -4,8736 -4,5379 -4,0894 -3,5654 -3,0664 -2,7015 -2,5277 -2,5298 -2,6538 -2,8484 -3,0758 -3,2870 -3,3998 -3,3293 -3,0575 -2,6482 -2,1879 -1,7325 -1,3100 -0,9509 -0,7028 -0,6128 -0,7082 -1,0030 -1,5048 -2,1934 -2,9972 -3,8079 -4,5216 -5,0764 -5,4728 -5,7582 -5,9661 -6,0744 -6,0345 -5,8253 -5,4627 -4,9808 -4,4348 -3,9193 -3,5452 -3,3634 -3,3088 -3,2454 -3,0797 -2,8268 -2,5763 -2,4209 -2,4155 -2,5676 -2,8457 -3,2060 -3,6153 -4,0382 -4,4127 -4,6530 -4,6832 -4,4747 -4,0574 -3,5052 -2,9155 -2,3888 -1,9974 -1,7518 -1,5951 -1,4409 -1,2238 -0,9272 -0,5785 -0,2271 0,0869 0,3441 0,5293 0,6378 0,7109 0,8299 1,0554 1,3826 1,7477 2,0635 2,2630 2,3304 2,2964 2,2043 2,0733 1,8747 1,5390 0,9959 0,2234 -0,7192 -1,6940 -2,5357 -3,1145 -3,3693 -3,3024 -2,9551 -2,3942 -1,7147 -1,0336 -0,4648 -0,0873 0,0846 0,1045 0,0556 -0,0087 -0,0993 -0,2644 -0,5227 -0,8309 -1,1269 -1,3854 -1,6209 -1,8620 -2,1506 -2,5388 -3,0425 -3,5960 -4,0753 -4,3613 -4,3914 -4,1802 -3,8039 -3,3518 -2,8880 -2,4544 -2,0942 -1,8572 -1,7851 -1,8859 -2,1136 -2,3808 -2,6068 -2,7546 -2,8190 -2,7797 -2,5848 -2,1916 -1,6245 -0,9807 -0,3795 0,0872 0,3722 0,4753 0,4378 0,3179 0,1563 -0,0341 -0,2520 -0,4943 -0,7580 -1,0326 -1,2799 -1,4334 -1,4368 -1,2862 -1,0364 -0,7705 -0,5545 -0,4130 -0,3418 -0,3226 -0,3269 -0,3311 -0,3443 -0,4039 -0,5299 -0,6856 -0,7968 -0,8096 -0,7195 -0,5496 -0,3290 -0,0914 0,1261 0,2830 0,3393 0,2735 0,1025 -0,1241 -0,3361 -0,4529 -0,4146 -0,2140 0,1229 0,5890 1,2085 1,9970 2,9154 3,8591 4,6807 5,2251 5,3807 5,1216 4,5053 3,6379 2,6405 1,6263 0,6913 -0,0889 -0,6585 -0,9795 -1,0368 -0,8540 -0,5054 -0,0997 0,2688 0,5665 0,8282 1,1194 1,4792 1,8943 2,3129 2,6688 2,8996 2,9711 2,8980 2,7270 2,4985 2,2416 1,9916 1,7871 1,6505 1,5790 1,5386 1,4649 1,2963 1,0307 0,7472 0,5633 0,5636 0,7623 1,1168 1,5513 1,9685 2,2778 2,4457 2,5180 2,5768 2,6759 2,8142 2,9609 3,0974 3,2215 3,3183 3,3530 3,2904 3,1161 2,8505 2,5359 2,1973 1,8201 1,3735 0,8428 0,2357 -0,4261 -1,1090 -1,7574 -2,2798 -2,5743 -2,5936 -2,3865 -2,0700 -1,7597 -1,5162 -1,3477 -1,2529 -1,2462 -1,3362 -1,4860 -1,6075 -1,6082 -1,4531 -1,1803 -0,8640 -0,5793 -0,3924 -0,3519 -0,4685 -0,7077 -1,0113 -1,3144 -1,5402 -1,6028 -1,4430 -1,0668 -0,5484 -0,0058 0,4290 0,6533 0,6468 0,4887 0,3066 0,2013 0,2094 0,3081 0,4420 0,5562 0,6318 0,7053 0,8412 1,0701 1,3605 1,6542 1,9247 2,1969 2,5137 2,8883 3,2889 3,6628 3,9650 4,1658 4,2416 4,1682 3,9232 3,5021 2,9361 2,2944 1,6539 1,0544 0,4912 -0,0523 -0,5811 -1,0895 -1,5527 -1,9136 -2,1006 -2,0665 -1,8234 -1,4562 -1,0928 -0,8385 -0,7412 -0,8103 -1,0496 -1,4665 -2,0494 -2,7365 -3,4052 -3,9039 -4,1212 -4,0493 -3,7931 -3,5194 -3,3762 -3,4343 -3,6870 -4,0801 -4,5406 -5,0046 -5,4382 -5,8267 -6,1430 -6,3414 -6,3906 -6,3009 -6,1183 -5,9014 -5,6923 -5,5023 -5,3264 -5,1730 -5,0739 -5,0648 -5,1547 -5,3093 -5,4677 -5,5822 -5,6351 -5,6203 -5,5264 -5,3423 -5,0608 -4,6746 -4,1929 -3,6698 -3,1876 -2,8099 -2,5593 -2,4227 -2,3650 -2,3467 -2,3348 -2,3081 -2,2743 -2,2786 -2,3746 -2,5725
F7    0,5958 0,5157 0,4031 0,2578 0,0898 -0,1073 -0,3510 -0,6279 -0,8742 -1,0214 -1,0568 -1,0351 -1,0392 -1,1191 -1,2504 -1,3513 -1,3446 -1,2061 -0,9612 -0,6584 -0,3557 -0,1134 0,0331 0,0902 0,0887 0,0534 -0,0069 -0,0902 -0,1850 -0,2648 -0,2959 -0,2477 -0,1044 0,1216 0,3907 0,6468 0,8371 0,9406 0,9775 0,9861 0,9993 1,0359 1,0944 1,1514 1,1728 1,1266 0,9862 0,7336 0,3764 -0,0366 -0,4297 -0,7348 -0,9158 -0,9785 -0,9616 -0,9077 -0,8322 -0,7205 -0,5530 -0,3281 -0,0654 0,2039 0,4493 0,6579 0,8398 1,0063 1,1457 1,2289 1,2360 1,1730 1,0621 0,9151 0,7168 0,4411 0,0818 -0,3326 -0,7511 -1,1174 -1,3793 -1,5012 -1,4807 -1,3539 -1,1828 -1,0354 -0,9623 -0,9748 -1,0415 -1,1191 -1,1929 -1,2842 -1,4227 -1,6229 -1,8820 -2,1835 -2,4986 -2,7991 -3,0708 -3,3125 -3,5294 -3,7325 -3,9351 -4,1459 -4,3639 -4,5771 -4,7568 -4,8535 -4,8122 -4,6111 -4,2895 -3,9283 -3,5988 -3,3181 -3,0355 -2,6631 -2,1313 -1,4296 -0,6136 0,2133 0,9342 1,4613 1,7680 1,8849 1,8701 1,7806 1,6573 1,5170 1,3540 1,1602 0,9537 0,7829 0,6965 0,7100 0,8021 0,9356 1,0783 1,2149 1,3540 1,5278 1,7776 2,1308 2,5829 3,1020 3,6513 4,1951 4,6788 5,0291 5,1932 5,1787 5,0536 4,9056 4,8025 4,7834 4,8596 5,0043 5,1536 5,2393 5,2326 5,1580 5,0697 5,0159 5,0216 5,0940 5,2294 5,4101 5,5977 5,7369 5,7729 5,6836 5,4990 5,2755 5,0509 4,8312 4,6034 4,3469 4,0374 3,6531 3,1831 2,6364 2,0473 1,4550 0,8695 0,2611 -0,4143 -1,1836 -2,0378 -2,9343 -3,8108 -4,5929 -5,1946 -5,5342 -5,5788 -5,3815 -5,0624 -4,7564 -4,5771 -4,5933 -4,8057 -5,1453 -5,5137 -5,8360 -6,0768 -6,2219 -6,2602 -6,1824 -5,9910 -5,7127 -5,4010 -5,1192 -4,9127 -4,7957 -4,7527 -4,7421 -4,7041 -4,5811 -4,3400 -3,9853 -3,5598 -3,1315 -2,7694 -2,5149 -2,3677 -2,3004 -2,2847 -2,3077 -2,3710 -2,4758 -2,6158 -2,7797 -2,9578 -3,1438 -3,3364 -3,5347 -3,7342 -3,9318 -4,1332 -4,3442 -4,5568 -4,7474 -4,8902 -4,9797 -5,0420 -5,1207 -5,2495 -5,4303 -5,6255 -5,7648 -5,7784 -5,6491 -5,4398 -5,2584 -5,1891 -5,2577 -5,4493 -5,7319 -6,0550 -6,3482 -6,5467 -6,6295 -6,6314 -6,6206 -6,6577 -6,7606 -6,8946 -6,9899 -6,9760 -6,8240 -6,5656 -6,2629 -5,9592 -5,6620 -5,3685 -5,0973 -4,8799 -4,7193 -4,5758 -4,3983 -4,1635 -3,8856 -3,6014 -3,3503 -3,1550 -3,0127 -2,9011 -2,7867 -2,6320 -2,4137 -2,1450 -1,8811 -1,6918 -1,6209 -1,6688 -1,8105 -2,0244 -2,3035 -2,6399 -3,0047 -3,3480 -3,6198 -3,8005 -3,9139 -4,0092 -4,1295 -4,2832 -4,4368 -4,5469 -4,5995 -4,6096 -4,5990 -4,5855 -4,5814 -4,5917 -4,6154 -4,6519 -4,7029 -4,7658 -4,8292 -4,8819 -4,9330 -5,0213 -5,1920 -5,4542 -5,7693 -6,0786 -6,3366 -6,5194 -6,6193 -6,6431 -6,6117 -6,5486 -6,4577 -6,3181 -6,1027 -5,8047 -5,4474 -5,0725 -4,7150 -4,3857 -4,0770 -3,7849 -3,5258 -3,3417 -3,2818 -3,3650 -3,5541 -3,7707 -3,9396 -4,0201 -4,0069 -3,9205 -3,7964 -3,6765 -3,5961 -3,5668 -3,5658 -3,5501 -3,4937 -3,4054 -3,3069 -3,2000 -3,0665 -2,8970 -2,7114 -2,5437 -2,4113 -2,3010 -2,1825 -2,0431 -1,9091 -1,8277 -1,8352 -1,9495 -2,1829 -2,5390 -2,9881 -3,4492 -3,8096 -3,9675 -3,8740 -3,5563 -3,1082 -2,6486 -2,2763 -2,0428 -1,9386 -1,8947 -1,8164 -1,6379 -1,3593 -1,0358 -0,7379 -0,5164 -0,3945 -0,3704 -0,4142 -0,4692 -0,4697 -0,3687 -0,1585 0,1266 0,4223 0,6559 0,7737 0,7633 0,6556 0,5095 0,3834 0,3080 0,2808 0,2832 0,2928 0,2847 0,2390 0,1545 0,0534 -0,0222 -0,0233 0,0741 0,2445 0,4230 0,5436 0,5720 0,5130 0,3914 0,2342 0,0767 -0,0330 -0,0539 0,0284 0,2013 0,4289 0,6556 0,8276 0,9250 0,9693 0,9900 0,9869 0,9339 0,8109 0,6164 0,3561 0,0382 -0,3166 -0,6657 -0,9484 -1,1003 -1,0769 -0,8765 -0,5393 -0,1211 0,3278 0,7622 1,1445 1,4588 1,7115 1,9138 2,0651 2,1514 2,1544 2,0556 1,8388 1,5037 1,0758 0,5993 0,1222 -0,3092 -0,6566 -0,9143 -1,1275 -1,3704 -1,6982 -2,1129 -2,5620 -2,9655 -3,2538 -3,3955 -3,3931 -3,2651 -3,0438 -2,7804 -2,5352 -2,3566 -2,2602 -2,2246 -2,2048 -2,1503 -2,0281 -1,8406 -1,6175 -1,3926 -1,1894 -1,0199 -0,8882 -0,7914 -0,7246 -0,6933 -0,7104 -0,7731 -0,8480 -0,8905 -0,8776 -0,8183 -0,7362 -0,6562 -0,6037 -0,5985 -0,6391 -0,6956 -0,7183 -0,6549 -0,4762 -0,1926 0,1582 0,5364 0,9056 1,2281 1,4773 1,6591 1,8108 1,9701 2,1413 2,2895 2,3682 2,3516 2,2481 2,0880 1,8961 1,6715 1,3953 1,0608 0,6955 0,3517 0,0709 -0,1451 -0,3304 -0,5231 -0,7402 -0,9791 -1,2246 -1,4557 -1,6568 -1,8341 -2,0154 -2,2313 -2,4936 -2,7886 -3,0902 -3,3824 -3,6658 -3,9557 -4,2773 -4,6402 -5,0097 -5,3223 -5,5316 -5,6245 -5,6104 -5,5145 -5,3739 -5,2224 -5,0778 -4,9470 -4,8399 -4,7718 -4,7524 -4,7777 -4,8347 -4,9146 -5,0158 -5,1271 -5,2134 -5,2284 -5,1457 -4,9737 -4,7426 -4,4812 -4,2050 -3,9195 -3,6293 -3,3405 -3,0635 -2,8158 -2,6191 -2,4917 -2,4383 -2,4422 -2,4756 -2,5164 -2,5460 -2,5424 -2,4897 -2,3911 -2,2600 -2,1076 -1,9463 -1,7980 -1,6836 -1,6053 -1,5477 -1,5008 -1,4733
