Fp1   0,3272 0,2332 0,1030 -0,0261 -0,1201 -0,1529 -0,1182 -0,0336 0,0744 0,1870 0,2915 0,3694 0,4009 0,3804 0,3199 0,2466 0,1970 0,1931 0,2246 0,2621 0,2803 0,2683 0,2315 0,1833 0,1335 0,0850 0,0390 0,0025 -0,0122 0,0019 0,0347 0,0571 0,0330 -0,0506 -0,1619 -0,2442 -0,2639 -0,2290 -0,1663 -0,0987 -0,0505 -0,0555 -0,1334 -0,2622 -0,3935 -0,4918 -0,5459 -0,5553 -0,5257 -0,4689 -0,3929 -0,2921 -0,1458 0,0646 0,3293 0,6090 0,8609 1,0621 1,2185 1,3518 1,4757 1,5871 1,6804 1,7626 1,8479 1,9400 2,0254 2,0868 2,1223 2,1493 2,1945 2,2813 2,4121 2,5603 2,6906 2,7899 2,8673 2,9321 2,9867 3,0382 3,0991 3,1741 3,2593 3,3536 3,4639 3,5968 3,7467 3,8984 4,0446 4,1906 4,3334 4,4497 4,5052 4,4621 4,2849 3,9610 3,5187 3,0221 2,5417 2,1277 1,8046 1,5793 1,4437 1,3818 1,3795 1,4252 1,5011 1,5792 1,6353 1,6790 1,7536 1,8944 2,1078 2,3919 2,7554 3,2123 3,7578 4,3470 4,9092 5,3927 5,7839 6,0864 6,2990 6,4167 6,4378 6,3700 6,2341 6,0613 5,8843 5,7310 5,6226 5,5804 5,6257 5,7686 6,0029 6,3120 6,6628 7,0010 7,2746 7,4596 7,5485 7,5328 7,4116 7,1973 6,9086 6,5722 6,2246 5,9036 5,6385 5,4478 5,3408 5,3192 5,3816 5,5254 5,7371 5,9847 6,2330 6,4609 6,6652 6,8523 7,0187 7,1374 7,1851 7,1717 7,1271 7,0764 7,0327 6,9961 6,9566 6,9095 6,8660 6,8412 6,8351 6,8390 6,8461 6,8401 6,7793 6,6173 6,3420 5,9876 5,6194 5,3097 5,1145 5,0517 5,0990 5,2031 5,2886 5,2774 5,1194 4,8070 4,3736 3,8824 3,4064 3,0104 2,7415 2,6098 2,5739 2,5625 2,5167 2,4196 2,2958 2,1954 2,1762 2,2802 2,5112 2,8387 3,2223 3,6270 4,0144 4,3332 4,5306 4,5792 4,4997 4,3586 4,2295 4,1492 4,1132 4,0965 4,0680 3,9971 3,8547 3,6203 3,2900 2,8786 2,4228 1,9755 1,5786 1,2388 0,9337 0,6390 0,3454 0,0528 -0,2356 -0,5121 -0,7745 -1,0425 -1,3468 -1,6985 -2,0711 -2,4116 -2,6669 -2,7971 -2,7861 -2,6562 -2,4584 -2,2449 -2,0556 -1,9131 -1,8191 -1,7594 -1,7099 -1,6419 -1,5376 -1,3997 -1,2370 -1,0518 -0,8442 -0,6191 -0,3869 -0,1653 0,0210 0,1580 0,2608 0,3652 0,4914 0,6159 0,6915 0,7007 0,6791 0,6862 0,7608 0,9055 1,1005 1,3187 1,5355 1,7305 1,8816 1,9703 1,9980 1,9833 1,9413 1,8675 1,7395 1,5411 1,2898 1,0336 0,8097 0,6032 0,3508 -0,0076 -0,4899 -1,0709 -1,6896 -2,2641 -2,7336 -3,0910 -3,3645 -3,5777 -3,7312 -3,8058 -3,7812 -3,6576 -3,4664 -3,2595 -3,0818 -2,9465 -2,8283 -2,6768 -2,4444 -2,1134 -1,7002 -1,2394 -0,7674 -0,3186 0,0637 0,3239 0,4174 0,3371 0,1153 -0,1892 -0,5020 -0,7551 -0,9157 -0,9847 -0,9636 -0,8413 -0,6205 -0,3334 -0,0264 0,2581 0,4854 0,6293 0,6826 0,6633 0,5961 0,4958 0,3740 0,2523 0,1560 0,0981 0,0799 0,1025 0,1665 0,2629 0,3746 0,4931 0,6288 0,7899 0,9594 1,1103 1,2385 1,3669 1,5211 1,7030 1,8816 2,0151 2,0880 2,1154 2,1109 2,0569 1,9151 1,6658 1,3258 0,9332 0,5331 0,1719 -0,1218 -0,3507 -0,5294 -0,6583 -0,7279 -0,7354 -0,6879 -0,5909 -0,4407 -0,2342 0,0145 0,2747 0,5177 0,7335 0,9271 1,1152 1,3218 1,5529 1,7828 1,9854 2,1660 2,3531 2,5723 2,8309 3,1181 3,4119 3,6883 3,9263 4,1157 4,2623 4,3808 4,4840 4,5865 4,7036 4,8372 4,9718 5,0862 5,1652 5,2070 5,2227 5,2220 5,1974 5,1282 5,0035 4,8318 4,6207 4,3592 4,0350 3,6634 3,2788 2,9042 2,5435 2,1962 1,8592 1,5228 1,1850 0,8694 0,6141 0,4447 0,3594 0,3309 0,3232 0,3055 0,2619 0,1983 0,1388 0,1076 0,1138 0,1512 0,2053 0,2630 0,3228 0,3965 0,5055 0,6820 0,9627 1,3641 1,8621 2,4093 2,9605 3,4821 3,9660 4,4336 4,9109 5,4026 5,8910 6,3430 6,7210 6,9988 7,1650 7,2115 7,1377 6,9640 6,7267 6,4631 6,2101 5,9957 5,8240 5,6843 5,5655 5,4486 5,3021 5,1011 4,8380 4,5116 4,1243 3,6927 3,2532 2,8493 2,5112 2,2429 2,0209 1,8078 1,5747 1,3147 1,0378 0,7685 0,5449 0,4002 0,3435 0,3577 0,4042 0,4316 0,4020 0,3194 0,2212 0,1407 0,0889 0,0684 0,0812 0,1262 0,2041 0,3154 0,4493 0,5955 0,7646 0,9744 1,2259 1,5042 1,7926 2,0704 2,3095 2,4859 2,5923 2,6386 2,6435 2,6258 2,5921 2,5302 2,4259 2,2877 2,1509 2,0565 2,0298 2,0745 2,1850 2,3564 2,5796 2,8317 3,0772 3,2805 3,4147 3,4658 3,4388 3,3658 3,2978 3,2848 3,3610 3,5424 3,8254 4,1868 4,5860 4,9767 5,3316 5,6515 5,9431 6,1894 6,3510 6,4091 6,3992 6,3832 6,4009 6,4550 6,5239 6,5739 6,5745 6,5147 6,4065 6,2717 6,1223 5,9494 5,7307 5,4530 5,1233 4,7629 4,4008 4,0732 3,8218 3,6797 3,6440 3,6641 3,6705 3,6156 3,4837 3,2691 2,9545 2,5260 2,0044 1,4429 0,8866 0,3472 -0,1780 -0,6853 -1,1633 -1,5904 -1,9408 -2,2099 -2,4205 -2,5966 -2,7491 -2,8847 -3,0096 -3,1274 -3,2395 -3,3404 -3,4079 -3,4103 -3,3312 -3,1788 -2,9693 -2,7123 -2,4160 -2,0958 -1,7763
Fz    0,0637 0,0376 -0,0192 -0,0803 -0,1265 -0,1538 -0,1752 -0,2080 -0,2509 -0,2800 -0,2757 -0,2510 -0,2396 -0,2607 -0,3024 -0,3225 -0,2623 -0,0884 0,1736 0,4587 0,7034 0,8725 0,9667 1,0092 1,0222 1,0164 0,9965 0,9654 0,9179 0,8392 0,7115 0,5175 0,2491 -0,0749 -0,3981 -0,6495 -0,7843 -0,8002 -0,7188 -0,5712 -0,4084 -0,2980 -0,2809 -0,3350 -0,4065 -0,4670 -0,5141 -0,5377 -0,5207 -0,4594 -0,3579 -0,2161 -0,0314 0,1943 0,4494 0,7115 0,9583 1,1833 1,3991 1,6163 1,8217 1,9862 2,0962 2,1730 2,2588 2,3841 2,5446 2,7093 2,8491 2,9577 3,0510 3,1500 3,2634 3,3820 3,4963 3,6152 3,7544 3,9044 4,0237 4,0754 4,0604 4,0099 3,9612 3,9500 4,0128 4,1784 4,4532 4,8143 5,2219 5,6341 6,0046 6,2790 6,4098 6,3658 6,1333 5,7287 5,2090 4,6533 4,1246 3,6523 3,2504 2,9357 2,7256 2,6319 2,6521 2,7606 2,9064 3,0231 3,0597 3,0232 2,9766 2,9849 3,0853 3,3024 3,6581 4,1615 4,7949 5,5008 6,1900 6,7827 7,2427 7,5731 7,7950 7,9341 8,0052 8,0119 7,9704 7,9178 7,8869 7,8853 7,9057 7,9444 8,0035 8,0845 8,1897 8,3259 8,4856 8,6334 8,7271 8,7397 8,6557 8,4709 8,2068 7,9044 7,6004 7,3185 7,0709 6,8587 6,6739 6,5051 6,3472 6,2148 6,1434 6,1691 6,2982 6,4958 6,7087 6,9003 7,0667 7,2234 7,3722 7,4907 7,5645 7,6146 7,6779 7,7731 7,8921 8,0098 8,1012 8,1573 8,1895 8,2134 8,2323 8,2420 8,2412 8,2164 8,1290 7,9432 7,6609 7,3169 6,9589 6,6428 6,4251 6,3381 6,3687 6,4521 6,4868 6,3791 6,0900 5,6414 5,0905 4,5072 3,9603 3,5103 3,2002 3,0324 2,9514 2,8660 2,7066 2,4650 2,1848 1,9324 1,7822 1,7955 1,9937 2,3569 2,8427 3,3962 3,9490 4,4292 4,7814 4,9803 5,0381 5,0055 4,9469 4,9076 4,9034 4,9243 4,9411 4,9174 4,8208 4,6274 4,3235 3,9132 3,4355 2,9593 2,5416 2,1906 1,8713 1,5409 1,1783 0,7833 0,3659 -0,0606 -0,4873 -0,9175 -1,3623 -1,8277 -2,2981 -2,7342 -3,0926 -3,3386 -3,4492 -3,4236 -3,2856 -3,0762 -2,8478 -2,6462 -2,4910 -2,3792 -2,2955 -2,2166 -2,1194 -1,9878 -1,8150 -1,6073 -1,3869 -1,1832 -1,0187 -0,9042 -0,8451 -0,8346 -0,8357 -0,7875 -0,6499 -0,4444 -0,2363 -0,0708 0,0662 0,2247 0,4394 0,7080 1,0042 1,2977 1,5641 1,7829 1,9351 2,0085 2,0091 1,9628 1,9027 1,8484 1,7960 1,7319 1,6566 1,5863 1,5244 1,4381 1,2712 0,9857 0,5824 0,0895 -0,4419 -0,9418 -1,3636 -1,7186 -2,0488 -2,3756 -2,6825 -2,9290 -3,0752 -3,1040 -3,0317 -2,9011 -2,7556 -2,6083 -2,4375 -2,2086 -1,9041 -1,5364 -1,1362 -0,7349 -0,3541 -0,0075 0,2828 0,4818 0,5657 0,5409 0,4299 0,2586 0,0663 -0,0931 -0,1737 -0,1496 0,0008 0,2929 0,7034 1,1608 1,5879 1,9414 2,2062 2,3709 2,4303 2,4000 2,3064 2,1635 1,9747 1,7527 1,5236 1,3133 1,1375 1,0035 0,9103 0,8476 0,8071 0,8005 0,8549 0,9769 1,1360 1,2961 1,4578 1,6576 1,9335 2,2859 2,6640 3,0013 3,2626 3,4515 3,5800 3,6387 3,6043 3,4694 3,2430 2,9344 2,5629 2,1728 1,8079 1,4813 1,1888 0,9399 0,7563 0,6428 0,5814 0,5576 0,5826 0,6825 0,8643 1,0946 1,3194 1,5002 1,6272 1,7170 1,8087 1,9347 2,0910 2,2571 2,4285 2,6180 2,8391 3,0973 3,3911 3,7154 4,0570 4,3893 4,6854 4,9344 5,1367 5,2968 5,4354 5,5849 5,7603 5,9462 6,1132 6,2351 6,2967 6,2962 6,2405 6,1350 5,9817 5,7915 5,5870 5,3803 5,1547 4,8838 4,5658 4,2215 3,8654 3,4969 3,1148 2,7249 2,3313 1,9387 1,5663 1,2470 1,0103 0,8666 0,8033 0,7952 0,8174 0,8484 0,8784 0,9174 0,9876 1,1083 1,2913 1,5342 1,8147 2,1000 2,3634 2,5988 2,8301 3,1051 3,4646 3,9102 4,4104 4,9295 5,4437 5,9446 6,4380 6,9268 7,3996 7,8339 8,2008 8,4680 8,6088 8,6074 8,4608 8,1868 7,8245 7,4148 6,9921 6,5950 6,2596 5,9967 5,7940 5,6356 5,5060 5,3844 5,2483 5,0779 4,8543 4,5630 4,2073 3,8173 3,4462 3,1491 2,9540 2,8451 2,7692 2,6654 2,4991 2,2737 2,0250 1,8078 1,6723 1,6363 1,6706 1,7104 1,6924 1,5950 1,4504 1,3091 1,1941 1,0919 0,9852 0,8760 0,7786 0,7073 0,6700 0,6635 0,6865 0,7571 0,9011 1,1267 1,4244 1,7771 2,1554 2,5161 2,8137 3,0179 3,1196 3,1250 3,0449 2,8832 2,6334 2,2986 1,9166 1,5583 1,2950 1,1651 1,1669 1,2833 1,5058 1,8278 2,2214 2,6309 2,9946 3,2733 3,4627 3,5868 3,6815 3,7832 3,9225 4,1243 4,4047 4,7647 5,1873 5,6409 6,0915 6,5222 6,9403 7,3534 7,7381 8,0416 8,2327 8,3397 8,4200 8,5014 8,5721 8,6036 8,5670 8,4476 8,2545 8,0094 7,7263 7,4068 7,0459 6,6437 6,2159 5,7899 5,3900 5,0318 4,7288 4,4996 4,3592 4,2936 4,2559 4,1975 4,0926 3,9328 3,7066 3,3878 2,9544 2,4195 1,8337 1,2521 0,7077 0,2182 -0,2047 -0,5588 -0,8452 -1,0610 -1,2129 -1,3277 -1,4343 -1,5446 -1,6581 -1,7739 -1,8926 -2,0101 -2,1104 -2,1658 -2,1505 -2,0620 -1,9192 -1,7357 -1,5081 -1,2326 -0,9220 -0,6069
F3    0,0763 -0,0129 -0,1276 -0,2407 -0,3290 -0,3746 -0,3762 -0,3481 -0,3006 -0,2306 -0,1382 -0,0491 -0,0033 -0,0179 -0,0722 -0,1137 -0,0761 0,0757 0,3119 0,5582 0,7392 0,8068 0,7570 0,6277 0,4775 0,3554 0,2806 0,2466 0,2391 0,2443 0,2384 0,1774 0,0210 -0,2217 -0,4759 -0,6429 -0,6682 -0,5659 -0,3840 -0,1704 0,0235 0,1405 0,1555 0,1029 0,0360 -0,0283 -0,0998 -0,1716 -0,2201 -0,2318 -0,2019 -0,1206 0,0261 0,2443 0,5184 0,8078 1,0655 1,2711 1,4449 1,6194 1,8004 1,9614 2,0721 2,1291 2,1607 2,2018 2,2651 2,3380 2,4033 2,4592 2,5220 2,6135 2,7367 2,8706 2,9978 3,1281 3,2833 3,4635 3,6397 3,7807 3,8750 3,9244 3,9401 3,9529 4,0130 4,1658 4,4239 4,7615 5,1343 5,4965 5,8009 5,9994 6,0510 5,9263 5,6176 5,1541 4,6028 4,0467 3,5539 3,1593 2,8668 2,6609 2,5165 2,4123 2,3422 2,3123 2,3267 2,3744 2,4367 2,5199 2,6566 2,8631 3,1269 3,4418 3,8259 4,3044 4,8822 5,5204 6,1431 6,6778 7,0868 7,3611 7,5127 7,5727 7,5735 7,5329 7,4616 7,3758 7,2949 7,2360 7,2109 7,2263 7,2847 7,3818 7,5148 7,6905 7,9080 8,1395 8,3426 8,4833 8,5358 8,4815 8,3244 8,0910 7,8115 7,5104 7,2081 6,9240 6,6794 6,4933 6,3765 6,3356 6,3802 6,5171 6,7290 6,9618 7,1465 7,2442 7,2675 7,2543 7,2211 7,1508 7,0312 6,8911 6,7833 6,7458 6,7870 6,8925 7,0354 7,1887 7,3351 7,4664 7,5733 7,6486 7,6933 7,6995 7,6337 7,4620 7,1860 6,8445 6,4971 6,2137 6,0544 6,0409 6,1466 6,2994 6,3908 6,3138 6,0153 5,5129 4,8744 4,1916 3,5553 3,0383 2,6850 2,4904 2,3894 2,2909 2,1367 1,9312 1,7254 1,5938 1,6141 1,8359 2,2523 2,8077 3,4319 4,0620 4,6448 5,1330 5,4800 5,6425 5,6083 5,4264 5,1873 4,9740 4,8337 4,7719 4,7552 4,7260 4,6263 4,4180 4,0862 3,6364 3,1073 2,5721 2,0973 1,7018 1,3597 1,0317 0,6873 0,3117 -0,0910 -0,4993 -0,8949 -1,2832 -1,6875 -2,1210 -2,5587 -2,9392 -3,2006 -3,3084 -3,2596 -3,0822 -2,8249 -2,5437 -2,2935 -2,1096 -1,9933 -1,9219 -1,8628 -1,7844 -1,6717 -1,5327 -1,3835 -1,2351 -1,0956 -0,9733 -0,8685 -0,7775 -0,7077 -0,6649 -0,6205 -0,5161 -0,3188 -0,0641 0,1687 0,3329 0,4601 0,6247 0,8772 1,2195 1,6204 2,0347 2,4191 2,7403 2,9720 3,0978 3,1269 3,0954 3,0400 2,9679 2,8546 2,6824 2,4805 2,3129 2,2187 2,1677 2,0752 1,8596 1,4800 0,9408 0,2991 -0,3480 -0,9215 -1,4003 -1,7926 -2,0968 -2,2966 -2,3732 -2,3171 -2,1459 -1,9172 -1,7095 -1,5757 -1,5072 -1,4459 -1,3279 -1,1193 -0,8246 -0,4743 -0,1051 0,2574 0,6013 0,9054 1,1266 1,2249 1,1875 1,0234 0,7587 0,4478 0,1655 -0,0303 -0,1145 -0,0650 0,1440 0,5031 0,9526 1,4163 1,8331 2,1568 2,3515 2,4065 2,3474 2,2142 2,0333 1,8172 1,5821 1,3530 1,1523 0,9912 0,8712 0,7861 0,7245 0,6797 0,6676 0,7288 0,8935 1,1449 1,4338 1,7280 2,0355 2,3830 2,7776 3,1828 3,5415 3,8203 4,0192 4,1399 4,1507 3,9993 3,6689 3,2027 2,6713 2,1445 1,6804 1,3047 0,9994 0,7320 0,4948 0,3041 0,1736 0,1038 0,0965 0,1704 0,3479 0,6193 0,9274 1,1961 1,3735 1,4530 1,4707 1,4836 1,5253 1,5941 1,6914 1,8445 2,0858 2,4226 2,8278 3,2510 3,6455 3,9904 4,2875 4,5467 4,7753 4,9723 5,1356 5,2805 5,4338 5,6069 5,7873 5,9520 6,0763 6,1388 6,1316 6,0604 5,9278 5,7286 5,4713 5,1877 4,9036 4,6132 4,2964 3,9553 3,6147 3,2969 3,0075 2,7417 2,4907 2,2439 1,9996 1,7722 1,5839 1,4543 1,3865 1,3587 1,3422 1,3200 1,2863 1,2459 1,2124 1,1994 1,2118 1,2469 1,2921 1,3310 1,3653 1,4247 1,5542 1,8001 2,1959 2,7392 3,3790 4,0448 4,6828 5,2619 5,7737 6,2314 6,6487 7,0286 7,3773 7,7018 7,9925 8,2269 8,3840 8,4445 8,3928 8,2245 7,9457 7,5759 7,1602 6,7597 6,4157 6,1352 5,9100 5,7276 5,5667 5,3998 5,1994 4,9408 4,6074 4,2048 3,7663 3,3473 3,0010 2,7508 2,5784 2,4398 2,2946 2,1283 1,9513 1,7910 1,6835 1,6536 1,6957 1,7697 1,8095 1,7496 1,5678 1,3044 1,0244 0,7662 0,5377 0,3485 0,2185 0,1555 0,1466 0,1702 0,2058 0,2486 0,3235 0,4661 0,6842 0,9511 1,2345 1,5150 1,7823 2,0237 2,2213 2,3531 2,3994 2,3530 2,2165 1,9885 1,6728 1,3035 0,9458 0,6679 0,5116 0,4856 0,5856 0,8138 1,1681 1,6170 2,0965 2,5377 2,8958 3,1626 3,3624 3,5350 3,7224 3,9635 4,2861 4,6943 5,1673 5,6742 6,1845 6,6670 7,1016 7,4908 7,8435 8,1408 8,3377 8,4159 8,4217 8,4251 8,4544 8,4877 8,4804 8,3852 8,1719 7,8473 7,4528 7,0373 6,6312 6,2384 5,8497 5,4628 5,0855 4,7241 4,3836 4,0787 3,8364 3,6777 3,5900 3,5265 3,4407 3,3165 3,1614 2,9746 2,7284 2,3921 1,9705 1,5078 1,0475 0,6043 0,1769 -0,2341 -0,6240 -0,9757 -1,2636 -1,4831 -1,6604 -1,8211 -1,9688 -2,0942 -2,1918 -2,2673 -2,3353 -2,4080 -2,4832 -2,5425 -2,5698 -2,5638 -2,5183 -2,4053 -2,1935 -1,8769 -1,4858
F7    0,6608 0,4959 0,2529 -0,0268 -0,2896 -0,4803 -0,5696 -0,5675 -0,5092 -0,4314 -0,3534 -0,2717 -0,1701 -0,0443 0,0802 0,1682 0,2071 0,1995 0,1437 0,0464 -0,0641 -0,1510 -0,1895 -0,1796 -0,1446 -0,1113 -0,0891 -0,0655 -0,0176 0,0707 0,2044 0,3790 0,5670 0,7251 0,8321 0,8988 0,9322 0,9156 0,8291 0,6706 0,4500 0,1704 -0,1600 -0,4940 -0,7524 -0,8777 -0,8717 -0,7840 -0,6712 -0,5625 -0,4571 -0,3328 -0,1485 0,1260 0,4629 0,7888 1,0410 1,1941 1,2612 1,2867 1,3256 1,4164 1,5648 1,7456 1,9171 2,0338 2,0599 1,9929 1,8727 1,7609 1,7124 1,7607 1,9068 2,1098 2,3076 2,4606 2,5605 2,6107 2,6281 2,6522 2,7259 2,8695 3,0812 3,3428 3,6180 3,8540 3,9980 4,0269 3,9733 3,9090 3,8972 3,9711 4,1328 4,3322 4,4625 4,4135 4,1352 3,6574 3,0673 2,4718 1,9667 1,6177 1,4442 1,4202 1,4968 1,6231 1,7545 1,8623 1,9411 2,0098 2,0981 2,2213 2,3698 2,5298 2,7138 2,9631 3,3086 3,7319 4,1856 4,6447 5,1093 5,5610 5,9475 6,2113 6,3220 6,2845 6,1261 5,8835 5,5964 5,3024 5,0407 4,8717 4,8727 5,0911 5,5086 6,0552 6,6381 7,1597 7,5546 7,8174 7,9631 7,9806 7,8515 7,5770 7,1718 6,6664 6,1189 5,5982 5,1555 4,8219 4,6220 4,5696 4,6588 4,8740 5,1920 5,5754 5,9838 6,3793 6,7256 7,0070 7,2202 7,3398 7,3457 7,2759 7,2031 7,1739 7,1890 7,2146 7,2126 7,1805 7,1570 7,1774 7,2394 7,3214 7,4082 7,4752 7,4625 7,2964 6,9492 6,4704 5,9670 5,5594 5,3321 5,2991 5,4196 5,6365 5,8773 6,0385 6,0045 5,6913 5,0921 4,2955 3,4450 2,6841 2,1304 1,8443 1,8023 1,9235 2,1186 2,3199 2,4975 2,6586 2,8294 3,0359 3,2895 3,5847 3,9145 4,2768 4,6452 4,9408 5,0653 4,9809 4,7454 4,4719 4,2518 4,1085 4,0154 3,9357 3,8427 3,7204 3,5535 3,3338 3,0754 2,8032 2,5322 2,2697 2,0160 1,7529 1,4527 1,1135 0,7745 0,4789 0,2402 0,0566 -0,0833 -0,2329 -0,4740 -0,8391 -1,2743 -1,6828 -1,9747 -2,0802 -1,9746 -1,7080 -1,3726 -1,0463 -0,7818 -0,6181 -0,5755 -0,6425 -0,7721 -0,8973 -0,9661 -0,9598 -0,8794 -0,7241 -0,4831 -0,1454 0,2741 0,7150 1,0915 1,3463 1,4859 1,5627 1,6196 1,6502 1,6240 1,5432 1,4533 1,4063 1,4215 1,4826 1,5650 1,6523 1,7376 1,8228 1,9087 1,9979 2,1022 2,2269 2,3548 2,4508 2,4703 2,3714 2,1447 1,8356 1,5179 1,2294 0,9411 0,5992 0,1758 -0,3212 -0,8558 -1,3681 -1,7963 -2,1129 -2,3332 -2,4882 -2,5954 -2,6508 -2,6414 -2,5665 -2,4524 -2,3374 -2,2540 -2,2291 -2,2650 -2,3052 -2,2533 -2,0429 -1,6694 -1,1671 -0,5882 -0,0038 0,4918 0,7936 0,8221 0,5674 0,1067 -0,4197 -0,8662 -1,1464 -1,2582 -1,2514 -1,1674 -1,0123 -0,7798 -0,4809 -0,1508 0,1622 0,4124 0,5710 0,6448 0,6679 0,6602 0,6133 0,5264 0,4366 0,3933 0,4103 0,4637 0,5337 0,6235 0,7384 0,8637 0,9781 1,0839 1,2030 1,3454 1,4999 1,6556 1,8079 1,9447 2,0458 2,0952 2,0927 2,0651 2,0521 2,0684 2,0862 2,0491 1,9054 1,6435 1,3049 0,9588 0,6577 0,4064 0,1700 -0,0810 -0,3406 -0,5712 -0,7241 -0,7630 -0,6815 -0,5030 -0,2743 -0,0551 0,1162 0,2556 0,4119 0,6148 0,8653 1,1560 1,4641 1,7410 1,9411 2,0636 2,1589 2,2942 2,5137 2,8184 3,1660 3,4937 3,7543 3,9385 4,0715 4,1830 4,2826 4,3671 4,4392 4,5083 4,5761 4,6350 4,6914 4,7811 4,9474 5,1966 5,4723 5,6734 5,7082 5,5438 5,2027 4,7223 4,1474 3,5497 3,0028 2,5341 2,1331 1,7903 1,4937 1,2144 0,9363 0,6943 0,5467 0,5109 0,5522 0,6226 0,6881 0,7277 0,7315 0,7077 0,6775 0,6509 0,6118 0,5306 0,3866 0,1918 0,0018 -0,1090 -0,0832 0,1080 0,4686 0,9781 1,5930 2,2549 2,8912 3,4268 3,8409 4,2023 4,6173 5,1444 5,7554 6,3642 6,8870 7,2800 7,5288 7,6147 7,5210 7,2751 6,9539 6,6421 6,3946 6,2248 6,1107 6,0270 5,9607 5,8790 5,7218 5,4545 5,0926 4,6766 4,2569 3,8916 3,6266 3,4694 3,3861 3,3251 3,2459 3,1240 2,9405 2,6801 2,3422 1,9592 1,5951 1,3056 1,1086 1,0028 0,9811 1,0097 1,0263 0,9857 0,8900 0,7652 0,6374 0,5405 0,5038 0,5276 0,6010 0,7195 0,8706 1,0314 1,1841 1,3172 1,4242 1,5083 1,5780 1,6229 1,6074 1,5052 1,3333 1,1496 1,0305 1,0357 1,1677 1,3612 1,5242 1,6032 1,6173 1,6343 1,7112 1,8564 2,0456 2,2538 2,4661 2,6737 2,8731 3,0678 3,2523 3,3956 3,4630 3,4601 3,4406 3,4690 3,5966 3,8603 4,2724 4,7977 5,3529 5,8461 6,2316 6,5218 6,7470 6,9210 7,0331 7,0647 7,0205 6,9383 6,8713 6,8637 6,9304 7,0500 7,1761 7,2571 7,2628 7,1978 7,0810 6,9062 6,6274 6,1920 5,5885 4,8629 4,1092 3,4461 2,9836 2,7890 2,8510 3,0694 3,2973 3,4163 3,3791 3,1878 2,8572 2,4153 1,9131 1,4020 0,8967 0,3786 -0,1607 -0,6915 -1,1536 -1,4761 -1,6173 -1,6064 -1,5277 -1,4667 -1,4893 -1,6380 -1,9055 -2,2322 -2,5523 -2,8242 -3,0126 -3,0803 -3,0095 -2,8119 -2,5179 -2,1659 -1,7966 -1,4437 -1,1288
