Fp1   0,1054 0,2753 0,4063 0,4843 0,5013 0,4601 0,3747 0,2601 0,1252 -0,0217 -0,1648 -0,2840 -0,3666 -0,4163 -0,4526 -0,4993 -0,5687 -0,6566 -0,7532 -0,8479 -0,9230 -0,9547 -0,9261 -0,8337 -0,6829 -0,4815 -0,2380 0,0320 0,3043 0,5543 0,7663 0,9322 1,0449 1,0979 1,0913 1,0374 0,9556 0,8617 0,7639 0,6638 0,5576 0,4367 0,2881 0,0993 -0,1303 -0,3856 -0,6439 -0,8853 -1,0962 -1,2673 -1,3913 -1,4636 -1,4846 -1,4645 -1,4211 -1,3699 -1,3179 -1,2710 -1,2422 -1,2487 -1,2991 -1,3892 -1,5035 -1,6214 -1,7249 -1,8024 -1,8453 -1,8469 -1,8059 -1,7271 -1,6146 -1,4680 -1,2889 -1,0884 -0,8860 -0,7015 -0,5444 -0,4133 -0,3085 -0,2357 -0,1985 -0,1974 -0,2343 -0,3069 -0,4035 -0,5097 -0,6149 -0,7081 -0,7750 -0,8060 -0,8063 -0,7995 -0,8198 -0,8955 -1,0348 -1,2251 -1,4427 -1,6625 -1,8613 -2,0175 -2,1119 -2,1336 -2,0873 -1,9948 -1,8859 -1,7846 -1,7013 -1,6392 -1,6053 -1,6147 -1,6828 -1,8145 -2,0012 -2,2234 -2,4554 -2,6708 -2,8480 -2,9794 -3,0800 -3,1818 -3,3144 -3,4883 -3,6904 -3,8887 -4,0485 -4,1503 -4,1914 -4,1758 -4,1076 -3,9912 -3,8296 -3,6246 -3,3820 -3,1101 -2,8092 -2,4680 -2,0740 -1,6246 -1,1323 -0,6190 -0,1021 0,4114 0,9194 1,4244 1,9346 2,4583 2,9920 3,5181 4,0167 4,4775 4,8994 5,2811 5,6146 5,8869 6,0861 6,2098 6,2700 6,2921 6,3025 6,3188 6,3516 6,4102 6,5024 6,6335 6,8032 6,9998 7,2004 7,3807 7,5255 7,6324 7,7032 7,7340 7,7142 7,6364 7,5098 7,3616 7,2212 7,1029 7,0062 6,9224 6,8370 6,7310 6,5916 6,4231 6,2444 6,0727 5,9125 5,7564 5,5925 5,4127 5,2165 5,0043 4,7696 4,5070 4,2273 3,9566 3,7217 3,5400 3,4176 3,3485 3,3151 3,2942 3,2669 3,2233 3,1626 3,0892 3,0085 2,9236 2,8343 2,7399 2,6437 2,5519 2,4716 2,4122 2,3873 2,4101 2,4826 2,5878 2,6951 2,7802 2,8391 2,8863 2,9423 3,0174 3,1012 3,1726 3,2196 3,2466 3,2680 3,3020 3,3644 3,4596 3,5779 3,6989 3,7983 3,8592 3,8807 3,8759 3,8631 3,8601 3,8781 3,9175 3,9700 4,0282 4,0941 4,1826 4,3162 4,5088 4,7496 5,0040 5,2363 5,4247 5,5539 5,6080 5,5793 5,4783 5,3311 5,1668 5,0055 4,8600 4,7477 4,6904 4,6962 4,7492 4,8225 4,8944 4,9549 5,0061 5,0574 5,1162 5,1821 5,2423 5,2732 5,2527 5,1737 5,0458 4,8877 4,7191 4,5544 4,4021 4,2675 4,1517 4,0500 3,9564 3,8671 3,7763 3,6767 3,5674 3,4579 3,3580 3,2695 3,1888 3,1152 3,0551 3,0180 3,0072 3,0104 3,0016 2,9577 2,8733 2,7652 2,6652 2,6027 2,5897 2,6207 2,6830 2,7660 2,8635 2,9666 3,0632 3,1467 3,2213 3,2975 3,3852 3,4892 3,6098 3,7440 3,8844 4,0197 4,1393 4,2376 4,3165 4,3861 4,4622 4,5578 4,6765 4,8140 4,9665 5,1351 5,3185 5,5037 5,6719 5,8049 5,8846 5,8968 5,8425 5,7377 5,5991 5,4345 5,2460 5,0462 4,8666 4,7458 4,7108 4,7675 4,8970 5,0612 5,2156 5,3272 5,3843 5,3953 5,3773 5,3424 5,2912 5,2194 5,1317 5,0460 4,9840 4,9557 4,9526 4,9503 4,9170 4,8305 4,6946 4,5331 4,3656 4,1988 4,0381 3,8969 3,7872 3,7117 3,6691 3,6593 3,6843 3,7430 3,8257 3,9147 3,9886 4,0228 3,9887 3,8664 3,6619 3,4095 3,1525 2,9224 2,7356 2,6037 2,5360 2,5302 2,5668 2,6198 2,6683 2,6968 2,6943 2,6579 2,5959 2,5259 2,4671 2,4309 2,4181 2,4164 2,4008 2,3437 2,2286 2,0530 1,8222 1,5439 1,2286 0,8938 0,5649 0,2732 0,0468 -0,1000 -0,1697 -0,1763 -0,1413 -0,0867 -0,0258 0,0390 0,1033 0,1504 0,1591 0,1196 0,0370 -0,0737 -0,1867 -0,2706 -0,3037 -0,2823 -0,2102 -0,0920 0,0592 0,2177 0,3558 0,4554 0,5095 0,5203 0,4985 0,4600 0,4196 0,3853 0,3582 0,3373 0,3264 0,3346 0,3693 0,4365 0,5413 0,6819 0,8433 1,0014 1,1313 1,2118 1,2306 1,1894 1,1058 1,0066 0,9192 0,8627 0,8416 0,8395 0,8232 0,7621 0,6501 0,5059 0,3543 0,2080 0,0691 -0,0604 -0,1745 -0,2664 -0,3297 -0,3639 -0,3816 -0,4018 -0,4371 -0,4921 -0,5745 -0,7010 -0,8878 -1,1386 -1,4401 -1,7631 -2,0745 -2,3539 -2,5968 -2,8037 -2,9747 -3,1125 -3,2191 -3,2907 -3,3233 -3,3228 -3,3059 -3,2882 -3,2735 -3,2577 -3,2377 -3,2155 -3,1950 -3,1777 -3,1566 -3,1158 -3,0353 -2,8987 -2,7016 -2,4576 -2,1926 -1,9366 -1,7212 -1,5710 -1,4858 -1,4369 -1,3858 -1,3058 -1,1842 -1,0145 -0,7969 -0,5407 -0,2597 0,0342 0,3291 0,6092 0,8581 1,0658 1,2290 1,3461 1,4120 1,4216 1,3782 1,2965 1,1994 1,1109 1,0482 1,0154 1,0064 1,0162 1,0474 1,1056 1,1887 1,2815 1,3614 1,4088 1,4124 1,3664 1,2692 1,1212 0,9226 0,6766 0,3983 0,1112 -0,1673 -0,4295 -0,6689 -0,8768 -1,0457 -1,1711 -1,2534 -1,2932 -1,2871 -1,2359 -1,1563 -1,0769 -1,0200 -0,9910 -0,9816 -0,9803 -0,9819 -0,9906 -1,0155 -1,0650 -1,1455 -1,2614 -1,4100 -1,5778 -1,7483 -1,9101 -2,0592 -2,1969 -2,3285 -2,4615 -2,5995 -2,7379 -2,8651 -2,9707 -3,0512 -3,1119 -3,1646 -3,2222 -3,2896 -3,3604 -3,4235 -3,4702 -3,4947 -3,4903 -3,4505 -3,3759 -3,2814 -3,1951 -3,1467
Fz    0,6153 0,8466 1,0652 1,2315 1,3159 1,3105 1,2290 1,0934 0,9250 0,7449 0,5750 0,4313 0,3174 0,2240 0,1318 0,0189 -0,1269 -0,3022 -0,4968 -0,6983 -0,8865 -1,0344 -1,1222 -1,1451 -1,1074 -1,0119 -0,8587 -0,6513 -0,4046 -0,1425 0,1114 0,3392 0,5264 0,6618 0,7433 0,7811 0,7877 0,7682 0,7229 0,6508 0,5467 0,3975 0,1842 -0,1085 -0,4796 -0,9062 -1,3525 -1,7842 -2,1745 -2,5024 -2,7480 -2,8939 -2,9320 -2,8726 -2,7429 -2,5729 -2,3840 -2,1928 -2,0225 -1,9032 -1,8599 -1,9023 -2,0209 -2,1894 -2,3761 -2,5529 -2,6959 -2,7872 -2,8221 -2,8060 -2,7432 -2,6338 -2,4851 -2,3156 -2,1466 -1,9937 -1,8601 -1,7391 -1,6260 -1,5220 -1,4243 -1,3264 -1,2284 -1,1379 -1,0629 -1,0089 -0,9794 -0,9730 -0,9838 -1,0069 -1,0424 -1,0978 -1,1845 -1,3071 -1,4560 -1,6118 -1,7561 -1,8758 -1,9598 -1,9929 -1,9577 -1,8452 -1,6675 -1,4553 -1,2432 -1,0547 -0,8981 -0,7759 -0,6998 -0,6966 -0,7972 -1,0195 -1,3597 -1,7925 -2,2767 -2,7663 -3,2244 -3,6362 -4,0156 -4,3971 -4,8129 -5,2759 -5,7730 -6,2657 -6,7025 -7,0422 -7,2653 -7,3669 -7,3485 -7,2154 -6,9752 -6,6368 -6,2128 -5,7169 -5,1551 -4,5254 -3,8302 -3,0874 -2,3300 -1,5923 -0,8932 -0,2319 0,4022 1,0221 1,6432 2,2802 2,9404 3,6183 4,3013 4,9775 5,6361 6,2603 6,8228 7,2934 7,6521 7,9005 8,0621 8,1698 8,2476 8,3070 8,3581 8,4164 8,4967 8,6116 8,7721 8,9808 9,2244 9,4764 9,7093 9,9047 10,0493 10,1247 10,1081 9,9865 9,7707 9,4930 9,1879 8,8773 8,5725 8,2787 7,9945 7,7139 7,4345 7,1611 6,9026 6,6652 6,4484 6,2444 6,0433 5,8413 5,6425 5,4478 5,2473 5,0332 4,8164 4,6249 4,4853 4,4116 4,4020 4,4388 4,4938 4,5353 4,5349 4,4762 4,3629 4,2174 4,0693 3,9418 3,8419 3,7595 3,6808 3,6006 3,5238 3,4630 3,4344 3,4526 3,5200 3,6180 3,7129 3,7778 3,8087 3,8191 3,8239 3,8279 3,8259 3,8134 3,7977 3,7977 3,8362 3,9328 4,0928 4,2967 4,5072 4,6876 4,8142 4,8801 4,8930 4,8743 4,8540 4,8590 4,8985 4,9595 5,0203 5,0682 5,1088 5,1652 5,2672 5,4351 5,6630 5,9165 6,1502 6,3251 6,4081 6,3734 6,2164 5,9609 5,6486 5,3228 5,0153 4,7466 4,5380 4,4092 4,3593 4,3610 4,3818 4,4054 4,4346 4,4854 4,5775 4,7195 4,9002 5,0861 5,2323 5,3054 5,3011 5,2401 5,1508 5,0523 4,9469 4,8280 4,6941 4,5512 4,4059 4,2637 4,1310 4,0090 3,8904 3,7697 3,6545 3,5606 3,4983 3,4650 3,4518 3,4510 3,4607 3,4826 3,5133 3,5420 3,5570 3,5555 3,5474 3,5537 3,5960 3,6834 3,8122 3,9756 4,1697 4,3904 4,6243 4,8513 5,0587 5,2496 5,4363 5,6320 5,8461 6,0863 6,3584 6,6614 6,9843 7,3106 7,6229 7,9038 8,1378 8,3176 8,4466 8,5354 8,5983 8,6526 8,7159 8,7950 8,8779 8,9440 8,9762 8,9607 8,8887 8,7656 8,6121 8,4482 8,2799 8,1033 7,9231 7,7624 7,6523 7,6183 7,6736 7,8101 7,9942 8,1766 8,3131 8,3812 8,3833 8,3333 8,2434 8,1209 7,9775 7,8313 7,6983 7,5855 7,4933 7,4141 7,3238 7,1829 6,9577 6,6439 6,2656 5,8577 5,4579 5,1113 4,8663 4,7520 4,7631 4,8698 5,0385 5,2418 5,4555 5,6515 5,8025 5,8884 5,8940 5,8019 5,5990 5,2930 4,9179 4,5207 4,1466 3,8343 3,6164 3,5129 3,5167 3,5912 3,6892 3,7738 3,8239 3,8334 3,8088 3,7639 3,7129 3,6632 3,6101 3,5373 3,4228 3,2482 3,0093 2,7152 2,3770 2,0001 1,5879 1,1501 0,7078 0,2936 -0,0546 -0,3075 -0,4570 -0,5144 -0,5038 -0,4594 -0,4189 -0,4083 -0,4373 -0,5121 -0,6458 -0,8497 -1,1152 -1,4085 -1,6815 -1,8829 -1,9716 -1,9328 -1,7811 -1,5458 -1,2599 -0,9653 -0,7080 -0,5201 -0,4077 -0,3591 -0,3566 -0,3811 -0,4138 -0,4400 -0,4552 -0,4665 -0,4850 -0,5131 -0,5379 -0,5359 -0,4820 -0,3594 -0,1687 0,0703 0,3248 0,5552 0,7208 0,7908 0,7576 0,6439 0,4944 0,3576 0,2685 0,2353 0,2353 0,2266 0,1698 0,0513 -0,1122 -0,2915 -0,4653 -0,6244 -0,7613 -0,8693 -0,9472 -0,9979 -1,0300 -1,0606 -1,1085 -1,1825 -1,2804 -1,4036 -1,5668 -1,7917 -2,0930 -2,4712 -2,9099 -3,3808 -3,8557 -4,3116 -4,7288 -5,0933 -5,4041 -5,6698 -5,8962 -6,0801 -6,2166 -6,3067 -6,3562 -6,3724 -6,3643 -6,3435 -6,3213 -6,3043 -6,2928 -6,2796 -6,2508 -6,1879 -6,0726 -5,8949 -5,6616 -5,3951 -5,1282 -4,8995 -4,7417 -4,6606 -4,6295 -4,6064 -4,5537 -4,4436 -4,2556 -3,9805 -3,6248 -3,2079 -2,7563 -2,3007 -1,8719 -1,4950 -1,1831 -0,9408 -0,7744 -0,6951 -0,7095 -0,8088 -0,9669 -1,1451 -1,3047 -1,4218 -1,4903 -1,5113 -1,4851 -1,4126 -1,3016 -1,1705 -1,0430 -0,9413 -0,8823 -0,8779 -0,9352 -1,0556 -1,2329 -1,4565 -1,7144 -1,9907 -2,2683 -2,5390 -2,8054 -3,0698 -3,3284 -3,5754 -3,8095 -4,0308 -4,2306 -4,3878 -4,4828 -4,5165 -4,5093 -4,4837 -4,4510 -4,4133 -4,3722 -4,3350 -4,3137 -4,3220 -4,3731 -4,4798 -4,6525 -4,8912 -5,1794 -5,4906 -5,7979 -6,0801 -6,3236 -6,5264 -6,6998 -6,8615 -7,0201 -7,1689 -7,2920 -7,3767 -7,4228 -7,4452 -7,4655 -7,4995 -7,5492 -7,6058 -7,6547 -7,6755 -7,6414 -7,5279 -7,3289 -7,0668 -6,7901 -6,5559
F3    0,7622 0,8923 0,9951 1,0575 1,0641 1,0099 0,9054 0,7662 0,6030 0,4239 0,2426 0,0764 -0,0633 -0,1754 -0,2694 -0,3615 -0,4654 -0,5842 -0,7152 -0,8527 -0,9798 -1,0682 -1,0932 -1,0449 -0,9245 -0,7356 -0,4839 -0,1850 0,1311 0,4310 0,6971 0,9320 1,1405 1,3114 1,4218 1,4557 1,4125 1,2997 1,1251 0,8951 0,6153 0,2902 -0,0769 -0,4826 -0,9179 -1,3622 -1,7857 -2,1601 -2,4679 -2,7020 -2,8570 -2,9241 -2,8961 -2,7790 -2,5950 -2,3685 -2,1174 -1,8614 -1,6354 -1,4863 -1,4515 -1,5391 -1,7239 -1,9583 -2,1905 -2,3779 -2,4925 -2,5233 -2,4773 -2,3716 -2,2204 -2,0301 -1,8077 -1,5659 -1,3228 -1,0967 -0,8948 -0,7102 -0,5369 -0,3791 -0,2440 -0,1386 -0,0737 -0,0580 -0,0876 -0,1479 -0,2247 -0,3042 -0,3711 -0,4142 -0,4376 -0,4662 -0,5361 -0,6751 -0,8872 -1,1543 -1,4472 -1,7354 -1,9887 -2,1777 -2,2762 -2,2691 -2,1628 -1,9868 -1,7807 -1,5751 -1,3850 -1,2241 -1,1162 -1,0880 -1,1542 -1,3141 -1,5582 -1,8725 -2,2396 -2,6376 -3,0388 -3,4198 -3,7797 -4,1418 -4,5305 -4,9514 -5,3884 -5,8079 -6,1696 -6,4441 -6,6208 -6,6991 -6,6833 -6,5813 -6,3995 -6,1391 -5,8040 -5,4047 -4,9504 -4,4435 -3,8852 -3,2826 -2,6524 -2,0163 -1,3885 -0,7697 -0,1515 0,4814 1,1483 1,8607 2,6085 3,3628 4,0895 4,7652 5,3805 5,9312 6,4089 6,7991 7,0899 7,2829 7,3989 7,4717 7,5327 7,5996 7,6761 7,7605 7,8521 7,9575 8,0849 8,2354 8,4003 8,5671 8,7255 8,8680 8,9849 9,0599 9,0727 9,0091 8,8746 8,6976 8,5129 8,3428 8,1936 8,0633 7,9467 7,8367 7,7273 7,6177 7,5095 7,3992 7,2737 7,1156 6,9141 6,6721 6,4058 6,1308 5,8507 5,5665 5,2932 5,0607 4,9011 4,8379 4,8777 5,0026 5,1706 5,3291 5,4321 5,4508 5,3773 5,2252 5,0246 4,8110 4,6104 4,4346 4,2839 4,1536 4,0419 3,9559 3,9088 3,9086 3,9473 3,9951 4,0087 3,9558 3,8333 3,6687 3,5067 3,3868 3,3266 3,3242 3,3747 3,4766 3,6271 3,8183 4,0356 4,2578 4,4587 4,6099 4,6858 4,6766 4,5968 4,4797 4,3652 4,2890 4,2719 4,3112 4,3869 4,4773 4,5748 4,6941 4,8681 5,1258 5,4649 5,8439 6,2039 6,4924 6,6684 6,7048 6,5997 6,3809 6,0957 5,7933 5,5084 5,2596 5,0626 4,9324 4,8698 4,8586 4,8810 4,9332 5,0253 5,1731 5,3861 5,6576 5,9608 6,2507 6,4730 6,5872 6,5856 6,4880 6,3228 6,1138 5,8746 5,6140 5,3470 5,0952 4,8772 4,7058 4,5895 4,5273 4,5042 4,4981 4,4921 4,4762 4,4453 4,3984 4,3407 4,2819 4,2328 4,1986 4,1708 4,1290 4,0531 3,9373 3,7977 3,6694 3,5906 3,5831 3,6462 3,7650 3,9226 4,1063 4,3048 4,5058 4,7031 4,9003 5,1063 5,3310 5,5818 5,8604 6,1639 6,4844 6,8059 7,1051 7,3600 7,5597 7,7092 7,8267 7,9346 8,0492 8,1771 8,3216 8,4891 8,6797 8,8753 9,0482 9,1743 9,2346 9,2191 9,1388 9,0220 8,8912 8,7481 8,5804 8,3854 8,1858 8,0229 7,9360 7,9436 8,0339 8,1691 8,2981 8,3754 8,3775 8,3079 8,1882 8,0425 7,8897 7,7468 7,6351 7,5731 7,5606 7,5769 7,5903 7,5657 7,4701 7,2856 7,0241 6,7189 6,4004 6,0862 5,7956 5,5574 5,3954 5,3140 5,3023 5,3453 5,4305 5,5455 5,6680 5,7646 5,8012 5,7521 5,6012 5,3437 4,9943 4,5880 4,1669 3,7687 3,4236 3,1567 2,9852 2,9097 2,9109 2,9581 3,0222 3,0796 3,1107 3,1038 3,0624 3,0056 2,9531 2,9074 2,8514 2,7566 2,5963 2,3578 2,0457 1,6767 1,2724 0,8552 0,4441 0,0537 -0,3021 -0,6056 -0,8361 -0,9787 -1,0330 -1,0138 -0,9451 -0,8523 -0,7531 -0,6568 -0,5758 -0,5350 -0,5615 -0,6623 -0,8173 -0,9873 -1,1242 -1,1845 -1,1470 -1,0206 -0,8305 -0,6011 -0,3563 -0,1240 0,0711 0,2177 0,3154 0,3655 0,3724 0,3463 0,2995 0,2403 0,1744 0,1098 0,0591 0,0351 0,0474 0,1061 0,2200 0,3865 0,5884 0,8023 1,0032 1,1645 1,2635 1,2870 1,2369 1,1300 0,9926 0,8491 0,7109 0,5692 0,4001 0,1852 -0,0661 -0,3166 -0,5243 -0,6669 -0,7438 -0,7614 -0,7265 -0,6497 -0,5459 -0,4340 -0,3391 -0,2883 -0,3010 -0,3838 -0,5344 -0,7446 -1,0008 -1,2879 -1,5911 -1,8931 -2,1767 -2,4378 -2,6856 -2,9316 -3,1852 -3,4562 -3,7474 -4,0452 -4,3237 -4,5592 -4,7380 -4,8531 -4,9013 -4,8899 -4,8408 -4,7815 -4,7295 -4,6863 -4,6425 -4,5821 -4,4868 -4,3418 -4,1471 -3,9225 -3,6973 -3,5003 -3,3592 -3,2960 -3,3102 -3,3709 -3,4312 -3,4472 -3,3839 -3,2156 -2,9350 -2,5600 -2,1257 -1,6726 -1,2404 -0,8643 -0,5695 -0,3652 -0,2454 -0,1969 -0,2104 -0,2833 -0,4121 -0,5838 -0,7751 -0,9567 -1,1000 -1,1851 -1,2032 -1,1532 -1,0395 -0,8747 -0,6802 -0,4857 -0,3241 -0,2236 -0,2035 -0,2763 -0,4439 -0,6926 -0,9984 -1,3389 -1,6949 -2,0499 -2,3947 -2,7228 -3,0222 -3,2783 -3,4848 -3,6469 -3,7719 -3,8556 -3,8839 -3,8515 -3,7772 -3,6942 -3,6297 -3,5936 -3,5799 -3,5756 -3,5702 -3,5610 -3,5545 -3,5657 -3,6165 -3,7257 -3,8942 -4,0984 -4,3032 -4,4806 -4,6189 -4,7216 -4,8021 -4,8776 -4,9626 -5,0610 -5,1650 -5,2591 -5,3285 -5,3694 -5,3922 -5,4148 -5,4534 -5,5154 -5,5970 -5,6833 -5,7508 -5,7707 -5,7202 -5,5935 -5,4066 -5,1925 -4,9929
F7    -0,5803 -0,3018 -0,0463 0,1654 0,3101 0,3773 0,3731 0,3076 0,1878 0,0243 -0,1642 -0,3553 -0,5268 -0,6591 -0,7430 -0,7843 -0,7940 -0,7786 -0,7449 -0,7029 -0,6545 -0,5890 -0,4958 -0,3774 -0,2447 -0,1045 0,0463 0,2144 0,3999 0,5917 0,7759 0,9433 1,0849 1,1824 1,2163 1,1847 1,1046 0,9973 0,8771 0,7508 0,6194 0,4764 0,3082 0,1002 -0,1506 -0,4303 -0,7151 -0,9862 -1,2351 -1,4552 -1,6329 -1,7511 -1,7989 -1,7822 -1,7224 -1,6424 -1,5534 -1,4578 -1,3638 -1,2923 -1,2645 -1,2870 -1,3472 -1,4222 -1,4911 -1,5374 -1,5446 -1,4976 -1,3936 -1,2433 -1,0598 -0,8509 -0,6268 -0,4073 -0,2164 -0,0714 0,0304 0,1103 0,1896 0,2746 0,3603 0,4340 0,4757 0,4675 0,4046 0,2955 0,1547 0,0018 -0,1393 -0,2451 -0,3032 -0,3244 -0,3446 -0,4096 -0,5504 -0,7694 -1,0451 -1,3453 -1,6347 -1,8797 -2,0531 -2,1418 -2,1511 -2,1009 -2,0128 -1,9012 -1,7758 -1,6483 -1,5362 -1,4582 -1,4270 -1,4486 -1,5260 -1,6567 -1,8287 -2,0223 -2,2122 -2,3736 -2,4989 -2,6081 -2,7342 -2,9030 -3,1216 -3,3745 -3,6281 -3,8482 -4,0155 -4,1247 -4,1781 -4,1825 -4,1461 -4,0760 -3,9801 -3,8687 -3,7451 -3,5962 -3,3972 -3,1270 -2,7824 -2,3781 -1,9344 -1,4693 -0,9957 -0,5161 -0,0226 0,4942 1,0341 1,5827 2,1166 2,6135 3,0591 3,4483 3,7804 4,0528 4,2621 4,4111 4,5160 4,6013 4,6854 4,7743 4,8680 4,9676 5,0755 5,1931 5,3171 5,4360 5,5318 5,5882 5,6019 5,5858 5,5582 5,5302 5,5038 5,4801 5,4660 5,4719 5,5044 5,5623 5,6385 5,7213 5,7934 5,8396 5,8568 5,8512 5,8279 5,7837 5,7062 5,5768 5,3787 5,1114 4,7936 4,4505 4,0979 3,7457 3,4106 3,1177 2,8920 2,7531 2,7086 2,7450 2,8270 2,9096 2,9521 2,9255 2,8166 2,6340 2,4036 2,1558 1,9118 1,6801 1,4675 1,2869 1,1547 1,0808 1,0627 1,0867 1,1304 1,1622 1,1515 1,0861 0,9786 0,8563 0,7495 0,6780 0,6420 0,6294 0,6324 0,6551 0,7094 0,8069 0,9501 1,1288 1,3260 1,5236 1,7004 1,8368 1,9227 1,9594 1,9578 1,9391 1,9318 1,9594 2,0328 2,1526 2,3155 2,5204 2,7716 3,0730 3,4140 3,7619 4,0798 4,3444 4,5425 4,6628 4,6991 4,6558 4,5465 4,3912 4,2118 4,0333 3,8863 3,7969 3,7660 3,7675 3,7705 3,7601 3,7400 3,7274 3,7433 3,8013 3,8968 4,0004 4,0678 4,0667 3,9962 3,8807 3,7494 3,6178 3,4839 3,3389 3,1810 3,0183 2,8620 2,7260 2,6245 2,5626 2,5270 2,4941 2,4467 2,3834 2,3157 2,2595 2,2272 2,2198 2,2242 2,2173 2,1715 2,0633 1,8848 1,6506 1,3960 1,1696 1,0167 0,9588 0,9871 1,0761 1,2020 1,3488 1,5005 1,6368 1,7421 1,8146 1,8662 1,9129 1,9658 2,0309 2,1142 2,2211 2,3499 2,4931 2,6444 2,8039 2,9787 3,1803 3,4175 3,6872 3,9743 4,2618 4,5424 4,8158 5,0761 5,3077 5,4910 5,6060 5,6391 5,5933 5,4899 5,3559 5,2089 5,0535 4,8920 4,7351 4,6009 4,5063 4,4617 4,4663 4,5070 4,5596 4,5971 4,6034 4,5798 4,5357 4,4762 4,4013 4,3152 4,2319 4,1654 4,1199 4,0907 4,0687 4,0381 3,9792 3,8826 3,7614 3,6415 3,5377 3,4449 3,3543 3,2655 3,1791 3,0893 2,9929 2,8972 2,8178 2,7672 2,7415 2,7201 2,6784 2,5979 2,4657 2,2776 2,0474 1,8090 1,5971 1,4300 1,3110 1,2398 1,2169 1,2374 1,2852 1,3438 1,4088 1,4828 1,5633 1,6406 1,7066 1,7587 1,7959 1,8149 1,8089 1,7660 1,6719 1,5228 1,3317 1,1215 0,9134 0,7202 0,5464 0,3914 0,2572 0,1523 0,0866 0,0628 0,0745 0,1125 0,1645 0,2159 0,2596 0,3036 0,3612 0,4336 0,5067 0,5652 0,6049 0,6325 0,6613 0,7060 0,7728 0,8516 0,9253 0,9806 1,0074 1,0007 0,9698 0,9351 0,9117 0,8999 0,8915 0,8818 0,8731 0,8703 0,8773 0,8993 0,9403 0,9961 1,0544 1,1045 1,1443 1,1776 1,2097 1,2458 1,2902 1,3435 1,3989 1,4394 1,4424 1,3913 1,2844 1,1360 0,9676 0,7962 0,6283 0,4678 0,3258 0,2181 0,1516 0,1140 0,0838 0,0502 0,0163 -0,0125 -0,0336 -0,0450 -0,0447 -0,0332 -0,0153 -0,0009 -0,0021 -0,0280 -0,0822 -0,1637 -0,2693 -0,3921 -0,5233 -0,6588 -0,7996 -0,9469 -1,1041 -1,2790 -1,4745 -1,6764 -1,8560 -1,9862 -2,0530 -2,0585 -2,0160 -1,9426 -1,8541 -1,7632 -1,6781 -1,6035 -1,5393 -1,4783 -1,4072 -1,3134 -1,1967 -1,0762 -0,9800 -0,9284 -0,9264 -0,9643 -1,0162 -1,0484 -1,0350 -0,9659 -0,8367 -0,6394 -0,3688 -0,0337 0,3420 0,7273 1,0921 1,4089 1,6546 1,8159 1,8954 1,9082 1,8698 1,7899 1,6747 1,5338 1,3834 1,2435 1,1316 1,0583 1,0322 1,0591 1,1363 1,2478 1,3686 1,4719 1,5356 1,5492 1,5140 1,4320 1,2982 1,1097 0,8730 0,6021 0,3137 0,0219 -0,2680 -0,5543 -0,8290 -1,0789 -1,2968 -1,4862 -1,6497 -1,7768 -1,8468 -1,8477 -1,7876 -1,6889 -1,5741 -1,4584 -1,3503 -1,2563 -1,1802 -1,1206 -1,0738 -1,0421 -1,0378 -1,0788 -1,1742 -1,3134 -1,4689 -1,6092 -1,7130 -1,7767 -1,8137 -1,8472 -1,8962 -1,9637 -2,0397 -2,1123 -2,1770 -2,2403 -2,3134 -2,4003 -2,4938 -2,5841 -2,6663 -2,7374 -2,7894 -2,8084 -2,7824 -2,7138 -2,6200 -2,5270 -2,4611
