Fp1   0,1476 0,2272 0,2815 0,2456 0,0926 -0,1508 -0,4243 -0,6595 -0,7943 -0,7952 -0,6765 -0,4912 -0,3080 -0,1988 -0,2185 -0,3731 -0,6099 -0,8385 -0,9733 -0,9725 -0,8354 -0,5842 -0,2729 0,0003 0,1208 0,0128 -0,3258 -0,8398 -1,4519 -2,0590 -2,5123 -2,6620 -2,4350 -1,8487 -0,9763 0,0757 1,1769 2,1989 3,0489 3,6596 3,9573 3,8684 3,3689 2,5305 1,5278 0,5824 -0,1330 -0,5443 -0,6553 -0,5033 -0,1392 0,3573 0,8598 1,2260 1,3584 1,2310 0,8791 0,3742 -0,2168 -0,8448 -1,4442 -1,9197 -2,1862 -2,2015 -1,9616 -1,4812 -0,7772 0,1253 1,1615 2,2246 3,2148 4,0723 4,7686 5,2992 5,6878 5,9638 6,1224 6,1159 5,8941 5,4676 4,9321 4,4287 4,0689 3,8624 3,7008 3,4445 3,0388 2,5482 2,1090 1,8585 1,8904 2,2492 2,9149 3,7762 4,6591 5,4055 5,9305 6,2334 6,3609 6,3383 6,1359 5,7184 5,1247 4,4754 3,8972 3,4543 3,1508 2,9847 2,9726 3,1025 3,2835 3,3847 3,3387 3,1984 3,1005 3,1846 3,5453 4,2306 5,2462 6,5379 7,9868 9,4404 10,7536 11,8248 12,6138 13,1151 13,3181 13,2231 12,8839 12,4062 11,8898 11,3665 10,8061 10,1978 9,6152 9,1951 9,0587 9,2454 9,7023 10,3315 11,0605 11,8638 12,7236 13,6043 14,4771 15,3385 16,1863 16,9879 17,6768 18,1797 18,4544 18,5137 18,4132 18,2035 17,8831 17,3925 16,6606 15,6677 14,4737 13,1832 11,8935 10,6863 9,6382 8,8000 8,1667 7,6823 7,2816 6,9277 6,6161 6,3690 6,2229 6,1969 6,2739 6,4275 6,6463 6,9137 7,1729 7,3290 7,3046 7,0925 6,7548 6,3938 6,1281 6,0565 6,2166 6,5664 6,9987 7,3887 7,6582 7,8001 7,8488 7,8438 7,8085 7,7435 7,6445 7,5218 7,3859 7,2285 7,0356 6,8053 6,5336 6,1976 5,7737 5,2707 4,7393 4,2463 3,8320 3,4874 3,1727 2,8526 2,5199 2,2097 1,9795 1,8628 1,8488 1,8990 1,9693 2,0232 2,0407 2,0292 2,0280 2,0919 2,2568 2,5182 2,8247 3,0782 3,1770 3,0910 2,8759 2,6070 2,3213 2,0268 1,7433 1,5154 1,3791 1,3232 1,2818 1,1598 0,8771 0,4123 -0,1909 -0,8628 -1,5364 -2,1394 -2,6009 -2,8880 -3,0210 -3,0509 -3,0232 -2,9494 -2,8101 -2,5821 -2,2555 -1,8313 -1,3191 -0,7477 -0,1795 0,2930 0,5878 0,6863 0,6385 0,5196 0,3836 0,2312 0,0060 -0,3624 -0,8933 -1,5268 -2,1510 -2,6721 -3,0737 -3,3965 -3,6642 -3,8531 -3,9240 -3,8613 -3,6901 -3,4753 -3,2963 -3,2053 -3,2103 -3,2961 -3,4364 -3,5815 -3,6633 -3,6315 -3,4829 -3,2547 -3,0095 -2,8232 -2,7504 -2,7753 -2,7943 -2,6668 -2,3036 -1,7197 -1,0048 -0,2566 0,4456 1,0384 1,4887 1,8001 1,9931 2,0900 2,1093 2,0656 1,9800 1,8866 1,8172 1,7850 1,7868 1,8161 1,8650 1,9130 1,9249 1,8765 1,7857 1,7173 1,7428 1,8787 2,0585 2,1759 2,1603 2,0077 1,7588 1,4648 1,1575 0,8407 0,5182 0,2260 0,0116 -0,1249 -0,2377 -0,3759 -0,5360 -0,6547 -0,6404 -0,4389 -0,0820 0,3360 0,7420 1,1335 1,5454 1,9906 2,4468 2,8781 3,2604 3,5937 3,8939 4,1793 4,4700 4,7730 5,0431 5,1850 5,1164 4,8236 4,3706 3,8758 3,4724 3,2624 3,2900 3,5486 3,9952 4,5602 5,1595 5,7080 6,1349 6,4039 6,5187 6,5001 6,3610 6,1015 5,7053 5,1337 4,3496 3,3584 2,2215 1,0440 -0,0458 -0,9350 -1,5659 -1,9357 -2,0795 -2,0670 -1,9714 -1,8174 -1,5716 -1,1902 -0,6747 -0,0880 0,4842 0,9868 1,4127 1,7829 2,1124 2,3885 2,5913 2,7286 2,8289 2,9093 2,9706 3,0130 3,0436 3,0691 3,0905 3,1002 3,0623 2,9037 2,5580 2,0288 1,4006 0,7875 0,2768 -0,0928 -0,3262 -0,4578 -0,5387 -0,6280 -0,7768 -1,0045 -1,2886 -1,5886 -1,8875 -2,1931 -2,4944 -2,7384 -2,8683 -2,8760 -2,8066 -2,7104 -2,5901 -2,3924 -2,0457 -1,5088 -0,7907 0,0683 1,0193 2,0113 3,0007 3,9544 4,8358 5,6087 6,2677 6,8483 7,3929 7,9105 8,3785 8,7713 9,0803 9,3050 9,4148 9,3394 9,0220 8,4661 7,7185 6,8371 5,8987 5,0152 4,3154 3,9062 3,8491 4,1477 4,7422 5,5312 6,4026 7,2416 7,9428 8,4323 8,6666 8,6260 8,3284 7,8403 7,2692 6,7372 6,3265 6,0260 5,7421 5,3784 4,9191 4,4516 4,1122 3,9997 4,1255 4,4310 4,8380 5,2786 5,6897 6,0092 6,1993 6,2719 6,2886 6,3397 6,5145 6,8581 7,3473 7,9168 8,4961 9,0161 9,4116 9,6400 9,6980 9,6168 9,4310 9,1473 8,7455 8,2131 7,5881 6,9574 6,4103 6,0074 5,7833 5,7370 5,8142 5,9220 5,9744 5,9314 5,8180 5,7197 5,7526 6,0176 6,5643 7,3776 8,3818 9,4638 10,5165 11,4773 12,3179 13,0073 13,5176 13,8554 14,0609 14,1707 14,1953 14,1408 14,0439 13,9735 13,9835 14,0713 14,1924 14,2950 14,3406 14,3147 14,2264 14,0913 13,9249 13,7452 13,5607 13,3446 13,0243 12,4921 11,6445 10,4533 9,0136 7,5094 6,1287 5,0220 4,3121 4,0731 4,2652 4,7207 5,2293 5,6480 5,9335 6,0735 6,0125 5,6674 5,0051 4,0870 3,0379 1,9858 1,0332 0,2565 -0,2968 -0,6130 -0,6996 -0,5736 -0,2637 0,1885 0,7272 1,2629 1,6590 1,7733 1,5329 0,9750 0,2266 -0,5502 -1,2091 -1,6517 -1,8457 -1,8190 -1,6225 -1,2894 -0,8344 -0,2943 0,2324 0,6043 0,7155 0,5600 0,2185 -0,2003
Fz    0,4674 0,5791 0,7149 0,8341 0,9168 0,9694 1,0037 1,0156 0,9884 0,9079 0,7747 0,6073 0,4304 0,2560 0,0801 -0,1025 -0,2860 -0,4530 -0,5835 -0,6607 -0,6640 -0,5735 -0,4040 -0,2253 -0,1360 -0,2155 -0,4903 -0,9374 -1,5025 -2,0999 -2,6048 -2,8880 -2,8714 -2,5470 -1,9575 -1,1786 -0,3132 0,5252 1,2374 1,7499 2,0128 2,0032 1,7393 1,2930 0,7899 0,3761 0,1584 0,1675 0,3732 0,7229 1,1589 1,6055 1,9585 2,1199 2,0525 1,7941 1,4244 1,0182 0,6142 0,2212 -0,1456 -0,4481 -0,6488 -0,7338 -0,7086 -0,5762 -0,3248 0,0606 0,5739 1,1802 1,8289 2,4626 3,0238 3,4752 3,8116 4,0429 4,1660 4,1563 3,9897 3,6828 3,3151 3,0037 2,8419 2,8397 2,9167 2,9663 2,9414 2,8803 2,8649 2,9605 3,1885 3,5465 4,0235 4,5852 5,1698 5,7128 6,1685 6,5128 6,7265 6,7749 6,6146 6,2378 5,7088 5,1401 4,6249 4,1963 3,8457 3,5695 3,3881 3,3179 3,3364 3,3957 3,4686 3,5757 3,7732 4,1192 4,6528 5,3965 6,3546 7,4890 8,7025 9,8563 10,8087 11,4551 11,7534 11,7102 11,3498 10,7174 9,9018 9,0248 8,1947 7,4644 6,8371 6,3126 5,9186 5,7000 5,6826 5,8506 6,1523 6,5298 6,9499 7,4023 7,8733 8,3407 8,7955 9,2537 9,7483 10,3135 10,9668 11,6945 12,4573 13,2108 13,9181 14,5439 15,0383 15,3343 15,3685 15,1152 14,6052 13,9110 13,1189 12,3243 11,6269 11,0999 10,7573 10,5581 10,4415 10,3571 10,2769 10,2006 10,1490 10,1377 10,1608 10,2005 10,2408 10,2687 10,2687 10,2225 10,1236 9,9960 9,8941 9,8908 10,0609 10,4497 11,0401 11,7455 12,4403 13,0147 13,4164 13,6442 13,7137 13,6370 13,4237 13,0865 12,6531 12,1712 11,6903 11,2404 10,8334 10,4695 10,1384 9,8242 9,5168 9,2176 8,9345 8,6736 8,4290 8,1785 7,8928 7,5569 7,1867 6,8293 6,5391 6,3479 6,2572 6,2450 6,2741 6,3038 6,3028 6,2618 6,2051 6,1848 6,2527 6,4346 6,7193 7,0514 7,3474 7,5355 7,5795 7,4728 7,2262 6,8601 6,4000 5,8744 5,3104 4,7233 4,1115 3,4621 2,7638 2,0243 1,2742 0,5539 -0,0954 -0,6235 -0,9762 -1,1241 -1,0847 -0,9133 -0,6707 -0,3930 -0,0822 0,2825 0,7252 1,2568 1,8644 2,5060 3,1133 3,6055 3,9179 4,0273 3,9517 3,7312 3,4104 3,0240 2,5852 2,0951 1,5689 1,0532 0,6196 0,3302 0,2003 0,1984 0,2748 0,3830 0,4835 0,5438 0,5366 0,4372 0,2337 -0,0558 -0,3876 -0,7147 -0,9970 -1,1965 -1,2814 -1,2452 -1,1211 -0,9718 -0,8623 -0,8331 -0,8754 -0,9188 -0,8492 -0,5627 -0,0227 0,7242 1,5842 2,4625 3,2774 3,9623 4,4776 4,8175 4,9999 5,0579 5,0324 4,9620 4,8724 4,7676 4,6322 4,4488 4,2197 3,9754 3,7632 3,6197 3,5466 3,5167 3,5059 3,5145 3,5514 3,5987 3,6013 3,4967 3,2531 2,8810 2,4225 1,9346 1,4721 1,0753 0,7748 0,6017 0,5771 0,6869 0,8826 1,1136 1,3525 1,6070 1,9137 2,3096 2,8055 3,3898 4,0482 4,7709 5,5350 6,2907 6,9698 7,5088 7,8692 8,0515 8,0931 8,0512 7,9876 7,9490 7,9377 7,9084 7,8089 7,6196 7,3591 7,0718 6,8174 6,6524 6,6067 6,6827 6,8663 7,1269 7,4097 7,6364 7,7237 7,6148 7,3063 6,8472 6,3095 5,7541 5,2033 4,6371 4,0263 3,3747 2,7237 2,1371 1,6902 1,4538 1,4668 1,7222 2,1696 2,7326 3,3417 3,9619 4,5868 5,2145 5,8243 6,3699 6,7930 7,0480 7,1201 7,0367 6,8593 6,6513 6,4569 6,3088 6,2275 6,2058 6,2089 6,1976 6,1516 6,0756 5,9888 5,9054 5,8110 5,6584 5,3974 5,0123 4,5276 3,9835 3,4139 2,8477 2,3144 1,8423 1,4516 1,1506 0,9316 0,7734 0,6539 0,5616 0,4918 0,4480 0,4539 0,5497 0,7608 1,0650 1,3911 1,6566 1,8168 1,8844 1,9106 1,9539 2,0607 2,2625 2,5704 2,9728 3,4449 3,9538 4,4523 4,8896 5,2367 5,4932 5,6701 5,7777 5,8349 5,8792 5,9565 6,0956 6,2858 6,4815 6,6304 6,6960 6,6542 6,4914 6,2214 5,8995 5,6119 5,4463 5,4636 5,6722 6,0143 6,3913 6,7154 6,9370 7,0434 7,0440 6,9481 6,7590 6,4899 6,1725 5,8474 5,5476 5,2826 5,0266 4,7357 4,3873 4,0049 3,6497 3,3923 3,2857 3,3481 3,5600 3,8743 4,2261 4,5395 4,7489 4,8293 4,8082 4,7510 4,7371 4,8370 5,0836 5,4553 5,8898 6,3106 6,6475 6,8576 6,9415 6,9379 6,9004 6,8670 6,8395 6,7831 6,6481 6,4084 6,0806 5,7058 5,3251 4,9784 4,7046 4,5304 4,4624 4,4904 4,6001 4,7857 5,0536 5,4143 5,8738 6,4236 7,0326 7,6501 8,2239 8,7221 9,1389 9,4776 9,7373 9,9240 10,0645 10,1948 10,3330 10,4705 10,5963 10,7263 10,8994 11,1461 11,4686 11,8502 12,2610 12,6571 12,9896 13,2215 13,3320 13,3162 13,1847 12,9527 12,6220 12,1748 11,5807 10,8124 9,8742 8,8234 7,7583 6,7809 5,9777 5,4191 5,1442 5,1309 5,2921 5,5158 5,7135 5,8338 5,8308 5,6376 5,1882 4,4720 3,5656 2,6042 1,7228 1,0192 0,5506 0,3463 0,4143 0,7329 1,2432 1,8557 2,4700 2,9991 3,3790 3,5652 3,5350 3,2977 2,8958 2,3897 1,8386 1,2953 0,8147 0,4486 0,2246 0,1412 0,1901 0,3695 0,6680 1,0378 1,3960 1,6613 1,7896 1,7722 1,6112
F3    0,3346 0,5775 0,7815 0,9196 0,9801 0,9647 0,8865 0,7670 0,6302 0,4957 0,3741 0,2668 0,1675 0,0668 -0,0417 -0,1609 -0,2957 -0,4477 -0,6056 -0,7435 -0,8199 -0,7852 -0,6171 -0,3569 -0,1035 0,0354 -0,0066 -0,2431 -0,6452 -1,1403 -1,6221 -1,9946 -2,2059 -2,2313 -2,0429 -1,6205 -0,9977 -0,2844 0,3711 0,8471 1,0894 1,1099 0,9674 0,7554 0,5944 0,5955 0,8014 1,1605 1,5636 1,9087 2,1451 2,2666 2,2737 2,1630 1,9509 1,6861 1,4301 1,2296 1,0974 1,0179 0,9689 0,9298 0,8743 0,7693 0,5933 0,3642 0,1485 0,0288 0,0581 0,2434 0,5611 0,9774 1,4602 1,9824 2,5090 2,9784 3,3108 3,4456 3,3740 3,1459 2,8563 2,6172 2,5212 2,6053 2,8344 3,1345 3,4451 3,7385 4,0062 4,2450 4,4579 4,6622 4,8806 5,1221 5,3792 5,6353 5,8679 6,0558 6,1808 6,2186 6,1423 5,9495 5,6854 5,4234 5,2095 5,0291 4,8303 4,5716 4,2471 3,8755 3,4838 3,1110 2,8173 2,6708 2,7271 3,0221 3,5717 4,3722 5,3921 6,5606 7,7715 8,9069 9,8539 10,5163 10,8391 10,8233 10,5151 9,9967 9,3782 8,7707 8,2497 7,8414 7,5468 7,3813 7,3825 7,5759 7,9358 8,3840 8,8167 9,1371 9,2881 9,2729 9,1459 8,9829 8,8573 8,8309 8,9535 9,2567 9,7392 10,3608 11,0594 11,7778 12,4732 13,1050 13,6160 13,9334 13,9999 13,8071 13,4034 12,8652 12,2661 11,6743 11,1549 10,7478 10,4433 10,1843 9,9054 9,5748 9,2128 8,8878 8,6896 8,6801 8,8602 9,1782 9,5597 9,9274 10,2070 10,3362 10,2924 10,1141 9,8840 9,6973 9,6355 9,7443 10,0234 10,4350 10,9167 11,3991 11,8305 12,1902 12,4749 12,6743 12,7597 12,6911 12,4448 12,0352 11,5114 10,9404 10,3880 9,8972 9,4754 9,1070 8,7782 8,4879 8,2429 8,0527 7,9206 7,8286 7,7351 7,5958 7,3916 7,1427 6,8927 6,6790 6,5171 6,4012 6,3106 6,2176 6,1025 5,9721 5,8707 5,8605 5,9797 6,2172 6,5144 6,7776 6,9055 6,8254 6,5158 6,0074 5,3674 4,6712 3,9856 3,3657 2,8498 2,4457 2,1235 1,8260 1,5007 1,1348 0,7618 0,4268 0,1542 -0,0478 -0,1677 -0,1889 -0,1051 0,0688 0,3085 0,5962 0,9170 1,2471 1,5602 1,8458 2,1179 2,4048 2,7206 3,0414 3,3144 3,4951 3,5654 3,5186 3,3384 3,0022 2,5039 1,8772 1,1987 0,5675 0,0759 -0,2258 -0,3464 -0,3312 -0,2305 -0,1038 -0,0265 -0,0655 -0,2451 -0,5419 -0,9061 -1,2835 -1,6284 -1,9098 -2,1106 -2,2211 -2,2347 -2,1527 -1,9940 -1,7978 -1,6108 -1,4636 -1,3505 -1,2257 -1,0215 -0,6855 -0,2135 0,3509 0,9515 1,5441 2,0927 2,5711 2,9758 3,3167 3,5971 3,8194 4,0000 4,1631 4,3195 4,4523 4,5267 4,5100 4,3828 4,1466 3,8275 3,4676 3,1127 2,8030 2,5711 2,4411 2,4153 2,4527 2,4704 2,3772 2,1148 1,6787 1,1213 0,5359 0,0180 -0,3672 -0,5841 -0,6108 -0,4434 -0,1134 0,3182 0,7863 1,2326 1,6071 1,8796 2,0538 2,1612 2,2457 2,3594 2,5590 2,8858 3,3451 3,9119 4,5466 5,2033 5,8350 6,4027 6,8846 7,2809 7,6025 7,8469 7,9909 8,0113 7,9093 7,7203 7,5026 7,3177 7,2127 7,2052 7,2735 7,3586 7,3806 7,2664 6,9786 6,5303 5,9815 5,4212 4,9322 4,5568 4,2871 4,0801 3,8816 3,6504 3,3716 3,0461 2,6794 2,2971 1,9614 1,7563 1,7600 2,0239 2,5552 3,3077 4,1930 5,1048 5,9424 6,6248 7,0986 7,3457 7,3802 7,2317 6,9299 6,5020 5,9839 5,4409 4,9767 4,6978 4,6522 4,7977 5,0280 5,2292 5,3196 5,2661 5,0835 4,8156 4,5051 4,1816 3,8696 3,5882 3,3365 3,0830 2,7790 2,3884 1,9116 1,3880 0,8753 0,4285 0,0880 -0,1255 -0,2178 -0,2170 -0,1496 -0,0127 0,2169 0,5397 0,9071 1,2390 1,4626 1,5441 1,5022 1,4009 1,3226 1,3359 1,4721 1,7148 2,0145 2,3253 2,6262 2,9105 3,1774 3,4368 3,7048 3,9816 4,2396 4,4433 4,5808 4,6734 4,7603 4,8785 5,0506 5,2796 5,5431 5,7927 5,9677 6,0215 5,9457 5,7713 5,5498 5,3298 5,1387 4,9784 4,8516 4,7843 4,8020 4,8916 5,0035 5,0813 5,0884 5,0147 4,8664 4,6614 4,4320 4,2148 4,0257 3,8560 3,6951 3,5476 3,4296 3,3640 3,3747 3,4706 3,6349 3,8412 4,0693 4,2979 4,4939 4,6280 4,6979 4,7311 4,7700 4,8597 5,0353 5,3121 5,6826 6,1086 6,5204 6,8443 7,0351 7,0870 7,0314 6,9259 6,8248 6,7447 6,6604 6,5347 6,3466 6,0921 5,7801 5,4401 5,1285 4,9153 4,8445 4,9074 5,0607 5,2686 5,5159 5,7901 6,0737 6,3612 6,6660 7,0000 7,3557 7,7202 8,0943 8,4849 8,8852 9,2702 9,6089 9,8819 10,0855 10,2260 10,3214 10,4100 10,5485 10,7895 11,1513 11,6042 12,0854 12,5225 12,8540 13,0450 13,0871 12,9875 12,7604 12,4199 11,9768 11,4409 10,8241 10,1373 9,3968 8,6372 7,9030 7,2269 6,6302 6,1415 5,7954 5,6008 5,5230 5,5028 5,4849 5,4229 5,2585 4,9176 4,3477 3,5647 2,6650 1,7874 1,0525 0,5294 0,2516 0,2438 0,5129 1,0153 1,6536 2,3056 2,8571 3,2270 3,3796 3,3213 3,0864 2,7182 2,2570 1,7397 1,2053 0,7010 0,2864 0,0204 -0,0641 0,0256 0,2534 0,5687 0,9087 1,1969 1,3625 1,3703 1,2273 0,9563 0,5731
F7    0,2222 0,2654 0,2360 0,1051 -0,1182 -0,3825 -0,6145 -0,7515 -0,7604 -0,6399 -0,4168 -0,1391 0,1341 0,3456 0,4536 0,4387 0,3096 0,1012 -0,1419 -0,3825 -0,5825 -0,6959 -0,6944 -0,5986 -0,4726 -0,3913 -0,4068 -0,5370 -0,7702 -1,0600 -1,3236 -1,4749 -1,4696 -1,3098 -1,0181 -0,6202 -0,1497 0,3461 0,8130 1,2029 1,4777 1,6108 1,5938 1,4540 1,2633 1,1093 1,0435 1,0616 1,1268 1,2080 1,3014 1,4123 1,5198 1,5754 1,5396 1,4123 1,2338 1,0604 0,9279 0,8333 0,7510 0,6613 0,5671 0,4950 0,4846 0,5717 0,7760 1,0921 1,4884 1,9186 2,3416 2,7273 3,0491 3,2852 3,4265 3,4706 3,4102 3,2399 2,9760 2,6691 2,3962 2,2319 2,2102 2,2991 2,4167 2,4890 2,5028 2,5104 2,5904 2,7978 3,1388 3,5829 4,0820 4,5720 4,9810 5,2504 5,3532 5,3041 5,1493 4,9318 4,6655 4,3503 4,0042 3,6678 3,3766 3,1402 2,9555 2,8250 2,7517 2,7193 2,6864 2,6087 2,4746 2,3225 2,2282 2,2687 2,4887 2,8900 3,4401 4,0841 4,7601 5,4160 6,0152 6,5295 6,9357 7,2120 7,3348 7,2966 7,1278 6,8849 6,6162 6,3449 6,0785 5,8306 5,6339 5,5314 5,5532 5,7020 5,9600 6,3008 6,6936 7,1011 7,4856 7,8250 8,1252 8,4137 8,7194 9,0529 9,3950 9,7037 9,9390 10,0815 10,1318 10,0985 9,9866 9,7931 9,5148 9,1632 8,7702 8,3677 7,9691 7,5794 7,2146 6,8966 6,6337 6,4141 6,2203 6,0415 5,8723 5,7177 5,6008 5,5553 5,6083 5,7713 6,0342 6,3595 6,6864 6,9492 7,1016 7,1311 7,0536 6,9068 6,7445 6,6185 6,5579 6,5663 6,6335 6,7514 6,9215 7,1476 7,4247 7,7343 8,0402 8,2870 8,4137 8,3778 8,1728 7,8343 7,4289 7,0229 6,6487 6,3015 5,9611 5,6120 5,2529 4,9032 4,5992 4,3732 4,2308 4,1492 4,0965 4,0529 4,0108 3,9620 3,8953 3,8059 3,6996 3,5845 3,4583 3,3100 3,1406 2,9758 2,8520 2,7920 2,7856 2,7809 2,7084 2,5239 2,2236 1,8248 1,3540 0,8521 0,3791 -0,0008 -0,2481 -0,3660 -0,4017 -0,4281 -0,5075 -0,6538 -0,8321 -1,0018 -1,1480 -1,2699 -1,3557 -1,3852 -1,3500 -1,2662 -1,1653 -1,0753 -1,0094 -0,9614 -0,9082 -0,8238 -0,6947 -0,5275 -0,3496 -0,2000 -0,1035 -0,0501 -0,0079 0,0438 0,0992 0,1334 0,1105 -0,0046 -0,2256 -0,5311 -0,8764 -1,2254 -1,5690 -1,9105 -2,2431 -2,5499 -2,8160 -3,0323 -3,2027 -3,3497 -3,5022 -3,6735 -3,8519 -4,0078 -4,1031 -4,1055 -4,0045 -3,8194 -3,5918 -3,3708 -3,2020 -3,1148 -3,1071 -3,1351 -3,1245 -3,0044 -2,7432 -2,3575 -1,8915 -1,3893 -0,8872 -0,4177 -0,0081 0,3193 0,5491 0,6876 0,7698 0,8404 0,9282 1,0337 1,1384 1,2252 1,2903 1,3399 1,3773 1,3939 1,3716 1,2959 1,1752 1,0496 0,9717 0,9681 1,0184 1,0723 1,0812 1,0159 0,8665 0,6384 0,3473 0,0187 -0,3089 -0,5862 -0,7728 -0,8601 -0,8676 -0,8194 -0,7353 -0,6342 -0,5302 -0,4328 -0,3567 -0,3197 -0,3191 -0,3137 -0,2441 -0,0721 0,2022 0,5523 0,9437 1,3475 1,7401 2,0969 2,3948 2,6178 2,7551 2,7998 2,7620 2,6757 2,5917 2,5625 2,6298 2,8168 3,1246 3,5335 4,0023 4,4697 4,8659 5,1281 5,2153 5,1227 4,8836 4,5530 4,1853 3,8199 3,4676 3,1043 2,6931 2,2211 1,7146 1,2256 0,8145 0,5356 0,4195 0,4628 0,6317 0,8727 1,1252 1,3346 1,4660 1,5145 1,5008 1,4543 1,4018 1,3694 1,3798 1,4407 1,5332 1,6179 1,6635 1,6773 1,6985 1,7558 1,8394 1,9159 1,9559 1,9483 1,9011 1,8329 1,7504 1,6338 1,4511 1,1853 0,8441 0,4522 0,0373 -0,3815 -0,7952 -1,1905 -1,5386 -1,8083 -1,9876 -2,0914 -2,1487 -2,1891 -2,2351 -2,2922 -2,3353 -2,3171 -2,2060 -2,0181 -1,8100 -1,6410 -1,5345 -1,4642 -1,3725 -1,2036 -0,9217 -0,5180 -0,0191 0,5156 1,0224 1,4577 1,7989 2,0430 2,2140 2,3569 2,5169 2,7236 2,9917 3,3275 3,7242 4,1491 4,5380 4,8153 4,9255 4,8467 4,5873 4,1841 3,7006 3,2154 2,8074 2,5404 2,4474 2,5113 2,6680 2,8473 3,0173 3,1833 3,3576 3,5375 3,6956 3,7884 3,7806 3,6581 3,4252 3,0981 2,6990 2,2492 1,7763 1,3299 0,9822 0,8091 0,8674 1,1759 1,7029 2,3687 3,0696 3,7070 4,2092 4,5418 4,7083 4,7397 4,6822 4,5940 4,5404 4,5727 4,7096 4,9361 5,2087 5,4667 5,6581 5,7635 5,7982 5,7935 5,7754 5,7498 5,6951 5,5755 5,3746 5,1121 4,8234 4,5405 4,2960 4,1269 4,0607 4,0967 4,2022 4,3326 4,4635 4,6029 4,7765 5,0067 5,3066 5,6797 6,1171 6,5973 7,0957 7,5912 8,0609 8,4756 8,8057 9,0330 9,1622 9,2215 9,2471 9,2720 9,3234 9,4179 9,5539 9,7103 9,8590 9,9825 10,0806 10,1659 10,2505 10,3315 10,3894 10,4015 10,3499 10,2147 9,9680 9,5851 9,0613 8,4244 7,7351 7,0645 6,4653 5,9711 5,6135 5,4135 5,3494 5,3508 5,3342 5,2452 5,0645 4,7814 4,3778 3,8482 3,2280 2,5961 2,0468 1,6515 1,4352 1,3785 1,4390 1,5696 1,7259 1,8694 1,9694 2,0057 1,9694 1,8596 1,6782 1,4309 1,1248 0,7680 0,3719 -0,0489 -0,4745 -0,8679 -1,1746 -1,3477 -1,3754 -1,2793 -1,0948 -0,8620 -0,6292 -0,4445 -0,3280 -0,2581 -0,1959 -0,1174
