Fp1   -1,8062 -1,7302 -1,5963 -1,4009 -1,1373 -0,8042 -0,4178 -0,0308 0,2630 0,3678 0,2457 -0,0632 -0,4705 -0,8756 -1,1894 -1,3604 -1,3979 -1,3681 -1,3633 -1,4525 -1,6341 -1,8212 -1,8805 -1,6983 -1,2312 -0,5218 0,3210 1,1650 1,8983 2,4454 2,7624 2,8313 2,6634 2,3014 1,8134 1,2812 0,7781 0,3451 -0,0135 -0,3054 -0,5183 -0,6132 -0,5486 -0,3081 0,0879 0,5871 1,1216 1,6345 2,1038 2,5415 2,9613 3,3479 3,6513 3,8070 3,7662 3,5171 3,0825 2,5007 1,8109 1,0553 0,2854 -0,4410 -1,0637 -1,5172 -1,7282 -1,6346 -1,2261 -0,5763 0,1668 0,8322 1,2937 1,5139 1,5366 1,4452 1,3216 1,2259 1,1917 1,2233 1,2870 1,3205 1,2720 1,1318 0,9280 0,6986 0,4724 0,2686 0,1078 0,0182 0,0231 0,1230 0,2967 0,5100 0,7151 0,8486 0,8448 0,6544 0,2616 -0,3085 -0,9965 -1,7271 -2,4308 -3,0622 -3,6005 -4,0353 -4,3584 -4,5661 -4,6658 -4,6834 -4,6715 -4,7057 -4,8600 -5,1720 -5,6256 -6,1556 -6,6527 -6,9792 -7,0088 -6,6732 -5,9830 -5,0202 -3,9102 -2,7832 -1,7434 -0,8506 -0,1153 0,4880 1,0011 1,4685 1,9319 2,4267 2,9840 3,6298 4,3682 5,1609 5,9311 6,5947 7,0985 7,4363 7,6372 7,7421 7,7877 7,8049 7,8239 7,8691 7,9464 8,0428 8,1428 8,2360 8,3099 8,3431 8,3108 8,2013 8,0350 7,8698 7,7815 7,8297 8,0313 8,3579 8,7562 9,1706 9,5521 9,8569 10,0489 10,1053 10,0224 9,8196 9,5370 9,2133 8,8562 8,4351 7,9087 7,2614 6,5199 5,7537 5,0640 4,5497 4,2586 4,1547 4,1309 4,0754 3,9477 3,7927 3,6773 3,6262 3,6139 3,5863 3,4817 3,2588 2,9295 2,5661 2,2704 2,1204 2,1311 2,2566 2,4238 2,5607 2,6094 2,5352 2,3333 2,0231 1,6379 1,2231 0,8429 0,5680 0,4388 0,4382 0,5035 0,5707 0,6178 0,6695 0,7641 0,9198 1,1375 1,4151 1,7420 2,0854 2,3901 2,5993 2,6823 2,6480 2,5407 2,4271 2,3755 2,4321 2,6085 2,8827 3,2060 3,5136 3,7334 3,7984 3,6650 3,3362 2,8719 2,3720 1,9365 1,6330 1,4803 1,4492 1,4883 1,5584 1,6483 1,7634 1,8960 2,0094 2,0597 2,0374 1,9831 1,9669 2,0536 2,2779 2,6325 3,0687 3,5182 3,9257 4,2608 4,5036 4,6360 4,6524 4,5691 4,4157 4,2206 4,0045 3,7844 3,5773 3,4027 3,2732 3,1756 3,0678 2,9153 2,7370 2,6083 2,6183 2,8294 3,2622 3,8824 4,5869 5,2241 5,6508 5,7862 5,6298 5,2503 4,7638 4,2960 3,9399 3,7394 3,7025 3,8116 4,0199 4,2561 4,4511 4,5715 4,6305 4,6632 4,6912 4,7148 4,7286 4,7333 4,7341 4,7340 4,7309 4,7287 4,7469 4,8093 4,9220 5,0722 5,2472 5,4413 5,6435 5,8304 5,9718 6,0381 6,0050 5,8657 5,6326 5,3273 4,9756 4,6142 4,2924 4,0616 3,9581 3,9791 4,0708 4,1519 4,1628 4,0972 3,9928 3,8931 3,8137 3,7372 3,6360 3,4968 3,3322 3,1774 3,0796 3,0796 3,1880 3,3664 3,5344 3,6023 3,5134 3,2703 2,9344 2,6025 2,3674 2,2775 2,3264 2,4763 2,6791 2,8735 2,9842 2,9426 2,7137 2,3120 1,8057 1,3053 0,9217 0,7195 0,6954 0,7940 0,9467 1,1091 1,2679 1,4107 1,5008 1,4884 1,3424 1,0771 0,7608 0,4891 0,3306 0,2851 0,2910 0,2772 0,2194 0,1517 0,1260 0,1674 0,2670 0,4030 0,5584 0,7251 0,8996 1,0733 1,2291 1,3565 1,4646 1,5728 1,6914 1,8114 1,9083 1,9473 1,8965 1,7575 1,5867 1,4649 1,4375 1,4784 1,4977 1,3779 1,0253 0,4251 -0,3341 -1,0885 -1,6623 -1,9294 -1,8458 -1,4467 -0,8228 -0,0975 0,5965 1,1550 1,5318 1,7311 1,7784 1,7007 1,5203 1,2548 0,9216 0,5449 0,1624 -0,1700 -0,3798 -0,3879 -0,1341 0,3758 1,0343 1,6598 2,0781 2,1909 1,9931 1,5593 1,0179 0,5116 0,1418 -0,0746 -0,1989 -0,3095 -0,4346 -0,5355 -0,5535 -0,4625 -0,2695 0,0145 0,3735 0,7617 1,1014 1,3175 1,3772 1,2994 1,1342 0,9397 0,7745 0,6922 0,7262 0,8729 1,0859 1,2864 1,3908 1,3513 1,1815 0,9451 0,7206 0,5720 0,5407 0,6488 0,8935 1,2393 1,6222 1,9610 2,1719 2,1925 2,0070 1,6484 1,1736 0,6314 0,0478 -0,5695 -1,2192 -1,8890 -2,5402 -3,1094 -3,5375 -3,8052 -3,9445 -4,0171 -4,0830 -4,1786 -4,3036 -4,4221 -4,4837 -4,4449 -4,2707 -3,9337 -3,4222 -2,7505 -1,9583 -1,0908 -0,1676 0,8328 1,9461 3,1613 4,3829 5,4662 6,2952 6,8365 7,1370 7,2876 7,3857 7,5045 7,6776 7,8992 8,1435 8,3960 8,6674 8,9715 9,2977 9,6094 9,8598 10,0078 10,0306 9,9397 9,7938 9,6863 9,6997 9,8599 10,1271 10,4264 10,6882 10,8582 10,8828 10,7083 10,3052 9,6977 8,9661 8,2111 7,4984 6,8279 6,1583 5,4617 4,7537 4,0837 3,5176 3,1235 2,9369 2,9126 2,9179 2,7911 2,4307 1,8557 1,1954 0,6179 0,2484 0,1268 0,2156 0,4280 0,6553 0,7864 0,7264 0,4193 -0,1301 -0,8529 -1,6347 -2,3454 -2,8598 -3,0733 -2,9258 -2,4342 -1,7139 -0,9611 -0,3866 -0,1383 -0,2509 -0,6421 -1,1580 -1,6481 -2,0177 -2,2263 -2,2557 -2,0926 -1,7425 -1,2512 -0,6993 -0,1696 0,2768 0,6048 0,8063 0,8953 0,8902 0,8038 0,6637 0,5416 0,5430 0,7515 1,1762 1,7399 2,3123 2,7715 3,0575 3,1726 3,1387
Fz    -0,1574 -0,3006 -0,3792 -0,3953 -0,3670 -0,3200 -0,2815 -0,2767 -0,3226 -0,4237 -0,5706 -0,7412 -0,9074 -1,0490 -1,1633 -1,2637 -1,3682 -1,4871 -1,6187 -1,7506 -1,8615 -1,9270 -1,9253 -1,8406 -1,6637 -1,3937 -1,0429 -0,6388 -0,2175 0,1901 0,5679 0,9119 1,2179 1,4734 1,6615 1,7727 1,8079 1,7717 1,6673 1,5012 1,2941 1,0843 0,9191 0,8397 0,8687 1,0083 1,2471 1,5661 1,9414 2,3427 2,7346 3,0844 3,3702 3,5823 3,7162 3,7659 3,7215 3,5757 3,3316 3,0041 2,6154 2,1910 1,7589 1,3464 0,9743 0,6524 0,3821 0,1610 -0,0122 -0,1356 -0,2003 -0,1897 -0,0878 0,1075 0,3830 0,7195 1,1005 1,5097 1,9203 2,2896 2,5697 2,7257 2,7473 2,6474 2,4545 2,2017 1,9196 1,6341 1,3661 1,1287 0,9230 0,7406 0,5732 0,4167 0,2656 0,1076 -0,0703 -0,2721 -0,4917 -0,7176 -0,9385 -1,1488 -1,3517 -1,5553 -1,7678 -1,9996 -2,2629 -2,5656 -2,9076 -3,2801 -3,6648 -4,0348 -4,3616 -4,6249 -4,8148 -4,9239 -4,9437 -4,8662 -4,6884 -4,4162 -4,0645 -3,6504 -3,1869 -2,6835 -2,1490 -1,5938 -1,0297 -0,4665 0,0920 0,6476 1,2034 1,7604 2,3155 2,8596 3,3812 3,8754 4,3488 4,8187 5,3050 5,8175 6,3469 6,8712 7,3701 7,8324 8,2547 8,6364 8,9747 9,2615 9,4822 9,6218 9,6754 9,6517 9,5683 9,4464 9,3075 9,1723 9,0612 8,9921 8,9760 9,0147 9,1040 9,2379 9,4060 9,5885 9,7568 9,8805 9,9365 9,9129 9,8061 9,6147 9,3375 8,9774 8,5483 8,0791 7,6118 7,1881 6,8313 6,5377 6,2867 6,0590 5,8466 5,6503 5,4688 5,2938 5,1144 4,9219 4,7081 4,4664 4,1972 3,9127 3,6333 3,3782 3,1588 2,9769 2,8257 2,6900 2,5492 2,3865 2,1985 1,9966 1,8016 1,6353 1,5106 1,4256 1,3644 1,3061 1,2350 1,1473 1,0545 0,9794 0,9486 0,9863 1,1109 1,3306 1,6385 2,0119 2,4169 2,8153 3,1739 3,4711 3,6998 3,8646 3,9755 4,0441 4,0819 4,1015 4,1185 4,1510 4,2125 4,3044 4,4163 4,5308 4,6291 4,6947 4,7166 4,6894 4,6113 4,4834 4,3124 4,1106 3,8932 3,6786 3,4898 3,3493 3,2717 3,2604 3,3082 3,4026 3,5314 3,6836 3,8426 3,9829 4,0719 4,0814 4,0010 3,8447 3,6482 3,4576 3,3144 3,2414 3,2368 3,2815 3,3570 3,4563 3,5797 3,7229 3,8711 4,0022 4,0929 4,1258 4,0958 4,0113 3,8892 3,7488 3,6112 3,5003 3,4382 3,4358 3,4904 3,5883 3,7110 3,8376 3,9506 4,0440 4,1285 4,2255 4,3528 4,5130 4,6927 4,8704 5,0260 5,1452 5,2193 5,2428 5,2145 5,1373 5,0202 4,8793 4,7365 4,6142 4,5317 4,5013 4,5261 4,6022 4,7274 4,9060 5,1430 5,4344 5,7609 6,0881 6,3737 6,5787 6,6775 6,6596 6,5299 6,3117 6,0466 5,7868 5,5802 5,4574 5,4240 5,4618 5,5355 5,6043 5,6350 5,6085 5,5181 5,3657 5,1611 4,9216 4,6683 4,4227 4,2026 4,0205 3,8810 3,7785 3,6956 3,6055 3,4815 3,3100 3,0962 2,8610 2,6316 2,4313 2,2705 2,1435 2,0309 1,9100 1,7674 1,6105 1,4697 1,3839 1,3790 1,4507 1,5652 1,6742 1,7358 1,7258 1,6403 1,4943 1,3208 1,1597 1,0441 0,9922 1,0072 1,0792 1,1897 1,3189 1,4495 1,5642 1,6444 1,6756 1,6526 1,5801 1,4691 1,3339 1,1928 1,0674 0,9769 0,9330 0,9398 0,9971 1,0997 1,2363 1,3933 1,5592 1,7248 1,8799 2,0135 2,1165 2,1883 2,2402 2,2939 2,3720 2,4848 2,6230 2,7610 2,8675 2,9188 2,9065 2,8398 2,7420 2,6384 2,5444 2,4619 2,3834 2,2996 2,2046 2,0997 1,9949 1,9076 1,8583 1,8611 1,9168 2,0149 2,1421 2,2867 2,4366 2,5760 2,6886 2,7614 2,7880 2,7695 2,7149 2,6384 2,5534 2,4698 2,3952 2,3322 2,2770 2,2246 2,1732 2,1203 2,0547 1,9590 1,8211 1,6427 1,4388 1,2335 1,0539 0,9241 0,8604 0,8699 0,9527 1,1080 1,3349 1,6257 1,9619 2,3169 2,6639 2,9798 3,2446 3,4394 3,5509 3,5773 3,5315 3,4387 3,3336 3,2571 3,2442 3,3098 3,4422 3,6114 3,7855 3,9417 4,0693 4,1699 4,2501 4,3108 4,3417 4,3318 4,2818 4,2026 4,1005 3,9687 3,7886 3,5371 3,1930 2,7464 2,2075 1,6068 0,9832 0,3713 -0,2053 -0,7325 -1,2036 -1,6152 -1,9622 -2,2342 -2,4170 -2,4963 -2,4583 -2,2949 -2,0118 -1,6291 -1,1748 -0,6768 -0,1575 0,3695 0,9009 1,4399 1,9862 2,5280 3,0476 3,5339 3,9929 4,4458 4,9160 5,4176 5,9491 6,4944 7,0293 7,5302 7,9816 8,3786 8,7255 9,0339 9,3192 9,5964 9,8719 10,1360 10,3640 10,5255 10,5971 10,5750 10,4821 10,3597 10,2464 10,1569 10,0763 9,9760 9,8357 9,6557 9,4578 9,2735 9,1277 9,0261 8,9545 8,8858 8,7911 8,6495 8,4535 8,2049 7,9061 7,5544 7,1417 6,6610 6,1159 5,5256 4,9187 4,3201 3,7433 3,1908 2,6595 2,1475 1,6589 1,2041 0,7963 0,4455 0,1571 -0,0652 -0,2146 -0,2802 -0,2543 -0,1412 0,0393 0,2542 0,4621 0,6217 0,7018 0,6926 0,6120 0,4980 0,3926 0,3264 0,3150 0,3623 0,4657 0,6192 0,8126 1,0296 1,2503 1,4552 1,6282 1,7598 1,8481 1,8956 1,9003 1,8537 1,7485 1,5912 1,4046 1,2181 1,0586 0,9456 0,8884 0,8829 0,9141 0,9642 1,0207
F3    0,1506 0,1435 0,1612 0,1776 0,1531 0,0591 -0,1103 -0,3440 -0,6205 -0,9103 -1,1783 -1,3942 -1,5396 -1,6103 -1,6152 -1,5754 -1,5121 -1,4333 -1,3336 -1,2067 -1,0557 -0,8942 -0,7452 -0,6320 -0,5667 -0,5427 -0,5350 -0,5078 -0,4327 -0,2996 -0,1124 0,1210 0,3914 0,6849 0,9804 1,2487 1,4568 1,5736 1,5803 1,4820 1,3151 1,1358 0,9962 0,9278 0,9403 1,0281 1,1785 1,3767 1,6046 1,8406 2,0705 2,2985 2,5421 2,8117 3,0959 3,3626 3,5696 3,6747 3,6455 3,4685 3,1508 2,7152 2,1991 1,6534 1,1316 0,6672 0,2593 -0,1172 -0,4843 -0,8369 -1,1342 -1,3073 -1,2859 -1,0346 -0,5696 0,0506 0,7466 1,4418 2,0738 2,5945 2,9672 3,1725 3,2156 3,1289 2,9613 2,7521 2,5138 2,2388 1,9171 1,5446 1,1234 0,6646 0,1950 -0,2464 -0,6191 -0,8895 -1,0328 -1,0411 -0,9357 -0,7669 -0,5974 -0,4865 -0,4806 -0,6006 -0,8347 -1,1525 -1,5298 -1,9586 -2,4368 -2,9551 -3,4929 -4,0186 -4,4970 -4,9005 -5,2112 -5,4102 -5,4738 -5,3855 -5,1449 -4,7666 -4,2769 -3,7111 -3,1043 -2,4787 -1,8414 -1,1935 -0,5439 0,0855 0,6696 1,1967 1,6736 2,1144 2,5239 2,8967 3,2373 3,5703 3,9268 4,3268 4,7767 5,2754 5,8202 6,4113 7,0472 7,7108 8,3629 8,9507 9,4254 9,7594 9,9529 10,0256 10,0055 9,9263 9,8262 9,7365 9,6672 9,6071 9,5405 9,4632 9,3882 9,3389 9,3381 9,3967 9,5070 9,6431 9,7725 9,8710 9,9296 9,9478 9,9207 9,8320 9,6617 9,4004 9,0588 8,6685 8,2751 7,9170 7,6006 7,3007 6,9851 6,6376 6,2654 5,8944 5,5571 5,2813 5,0849 4,9700 4,9134 4,8686 4,7864 4,6344 4,4025 4,0977 3,7400 3,3649 3,0188 2,7410 2,5494 2,4412 2,3988 2,3914 2,3795 2,3269 2,2091 2,0163 1,7536 1,4428 1,1187 0,8229 0,6025 0,5050 0,5593 0,7586 1,0636 1,4233 1,7987 2,1704 2,5359 2,9047 3,2919 3,7016 4,1131 4,4852 4,7738 4,9509 5,0150 4,9894 4,9115 4,8149 4,7159 4,6154 4,5136 4,4213 4,3599 4,3519 4,4049 4,4999 4,5931 4,6315 4,5714 4,3945 4,1203 3,8046 3,5177 3,3098 3,1916 3,1398 3,1177 3,1018 3,0975 3,1291 3,2140 3,3434 3,4790 3,5660 3,5577 3,4370 3,2292 2,9954 2,8050 2,7018 2,6888 2,7440 2,8453 2,9802 3,1450 3,3449 3,5883 3,8680 4,1479 4,3701 4,4781 4,4409 4,2644 3,9905 3,6838 3,4115 3,2237 3,1383 3,1403 3,1971 3,2772 3,3611 3,4439 3,5351 3,6506 3,8027 3,9940 4,2149 4,4413 4,6363 4,7616 4,7910 4,7214 4,5796 4,4114 4,2588 4,1452 4,0752 4,0425 4,0393 4,0670 4,1369 4,2568 4,4197 4,6095 4,8176 5,0500 5,3174 5,6183 5,9261 6,1897 6,3509 6,3684 6,2325 5,9673 5,6218 5,2553 4,9217 4,6559 4,4697 4,3587 4,3119 4,3216 4,3911 4,5312 4,7441 5,0111 5,2925 5,5346 5,6826 5,6974 5,5669 5,3045 4,9406 4,5156 4,0794 3,6847 3,3697 3,1425 2,9779 2,8345 2,6840 2,5317 2,4080 2,3421 2,3409 2,3803 2,4131 2,3905 2,2893 2,1277 1,9585 1,8386 1,7989 1,8303 1,8935 1,9394 1,9274 1,8365 1,6708 1,4582 1,2424 1,0750 1,0085 1,0852 1,3152 1,6609 2,0474 2,3916 2,6270 2,7166 2,6572 2,4734 2,2032 1,8801 1,5245 1,1493 0,7703 0,4128 0,1163 -0,0673 -0,0867 0,0859 0,4379 0,9171 1,4487 1,9539 2,3658 2,6451 2,7927 2,8443 2,8494 2,8466 2,8487 2,8433 2,8047 2,7091 2,5457 2,3176 2,0426 1,7600 1,5301 1,4096 1,4216 1,5421 1,7127 1,8701 1,9765 2,0281 2,0409 2,0321 2,0127 1,9875 1,9610 1,9411 1,9409 1,9755 2,0552 2,1815 2,3479 2,5408 2,7327 2,8805 2,9422 2,9010 2,7707 2,5833 2,3750 2,1753 1,9971 1,8389 1,6983 1,5827 1,5030 1,4614 1,4497 1,4541 1,4605 1,4561 1,4343 1,4021 1,3770 1,3752 1,4066 1,4807 1,6061 1,7805 1,9881 2,2102 2,4365 2,6597 2,8628 3,0199 3,1125 3,1420 3,1276 3,0962 3,0787 3,1120 3,2272 3,4252 3,6715 3,9157 4,1123 4,2279 4,2439 4,1649 4,0183 3,8392 3,6572 3,4983 3,3959 3,3906 3,5092 3,7393 4,0188 4,2506 4,3354 4,2033 3,8284 3,2291 2,4581 1,5876 0,6943 -0,1515 -0,8912 -1,4831 -1,9050 -2,1530 -2,2356 -2,1678 -1,9611 -1,6229 -1,1681 -0,6291 -0,0498 0,5263 1,0631 1,5373 1,9445 2,2985 2,6205 2,9327 3,2614 3,6332 4,0605 4,5373 5,0518 5,5998 6,1847 6,8088 7,4635 8,1267 8,7701 9,3665 9,8897 10,3099 10,5983 10,7437 10,7650 10,7066 10,6211 10,5531 10,5319 10,5724 10,6746 10,8200 10,9715 11,0783 11,0878 10,9671 10,7223 10,4011 10,0773 9,8184 9,6526 9,5573 9,4806 9,3733 9,2099 8,9895 8,7224 8,4194 8,0889 7,7335 7,3484 6,9254 6,4658 5,9860 5,5069 5,0315 4,5326 3,9637 3,2909 2,5253 1,7309 0,9979 0,4016 -0,0229 -0,2854 -0,4281 -0,4970 -0,5135 -0,4698 -0,3471 -0,1400 0,1314 0,4249 0,6937 0,9066 1,0606 1,1708 1,2472 1,2847 1,2742 1,2149 1,1164 0,9965 0,8790 0,7868 0,7322 0,7160 0,7335 0,7797 0,8502 0,9418 1,0548 1,1858 1,3191 1,4305 1,4993 1,5170 1,4937 1,4594 1,4517 1,4924 1,5756 1,6719 1,7441 1,7674
F7    -1,0359 -0,9408 -0,8358 -0,7283 -0,6218 -0,5223 -0,4374 -0,3699 -0,3167 -0,2754 -0,2499 -0,2506 -0,2899 -0,3762 -0,5091 -0,6770 -0,8579 -1,0215 -1,1314 -1,1528 -1,0657 -0,8753 -0,6132 -0,3276 -0,0648 0,1498 0,3185 0,4646 0,6168 0,7951 1,0009 1,2098 1,3759 1,4499 1,4015 1,2331 0,9730 0,6544 0,3038 -0,0502 -0,3649 -0,5824 -0,6475 -0,5310 -0,2411 0,1843 0,6938 1,2329 1,7435 2,1630 2,4335 2,5164 2,4024 2,1122 1,6941 1,2156 0,7501 0,3623 0,0969 -0,0280 -0,0239 0,0734 0,2174 0,3667 0,4949 0,5933 0,6688 0,7349 0,7977 0,8469 0,8620 0,8265 0,7366 0,6029 0,4492 0,3083 0,2157 0,2006 0,2740 0,4259 0,6320 0,8656 1,1034 1,3285 1,5240 1,6651 1,7214 1,6717 1,5162 1,2734 0,9643 0,6048 0,2096 -0,2017 -0,6012 -0,9512 -1,2097 -1,3461 -1,3569 -1,2700 -1,1332 -0,9969 -0,9048 -0,8912 -0,9819 -1,1930 -1,5259 -1,9653 -2,4875 -3,0655 -3,6628 -4,2258 -4,6915 -5,0088 -5,1523 -5,1213 -4,9282 -4,5878 -4,1131 -3,5218 -2,8469 -2,1367 -1,4432 -0,8051 -0,2372 0,2706 0,7411 1,1942 1,6359 2,0622 2,4713 2,8682 3,2578 3,6402 4,0209 4,4200 4,8624 5,3566 5,8804 6,3856 6,8167 7,1328 7,3203 7,3912 7,3724 7,2978 7,2051 7,1291 7,0946 7,1149 7,1942 7,3282 7,5047 7,7066 7,9179 8,1266 8,3231 8,4977 8,6384 8,7329 8,7752 8,7703 8,7300 8,6614 8,5595 8,4088 8,1961 7,9256 7,6228 7,3203 7,0405 6,7916 6,5732 6,3842 6,2256 6,1011 6,0160 5,9728 5,9654 5,9767 5,9812 5,9514 5,8640 5,7052 5,4724 5,1716 4,8124 4,4045 3,9631 3,5135 3,0876 2,7138 2,4112 2,1917 2,0625 2,0280 2,0884 2,2365 2,4539 2,7088 2,9603 3,1721 3,3213 3,3925 3,3710 3,2470 3,0244 2,7244 2,3856 2,0591 1,7958 1,6337 1,5923 1,6721 1,8556 2,1124 2,4097 2,7248 3,0504 3,3894 3,7433 4,0994 4,4261 4,6774 4,8063 4,7846 4,6158 4,3348 3,9941 3,6459 3,3325 3,0883 2,9415 2,9049 2,9665 3,0937 3,2455 3,3840 3,4828 3,5282 3,5166 3,4567 3,3710 3,2909 3,2460 3,2551 3,3199 3,4242 3,5385 3,6310 3,6796 3,6796 3,6424 3,5884 3,5343 3,4836 3,4266 3,3539 3,2684 3,1858 3,1241 3,0966 3,1120 3,1741 3,2807 3,4210 3,5779 3,7345 3,8798 4,0111 4,1336 4,2578 4,3889 4,5192 4,6356 4,7272 4,7857 4,8047 4,7878 4,7499 4,7088 4,6740 4,6436 4,6072 4,5530 4,4754 4,3796 4,2796 4,1912 4,1260 4,0897 4,0798 4,0884 4,1092 4,1428 4,1987 4,2921 4,4347 4,6227 4,8324 5,0298 5,1855 5,2837 5,3206 5,2995 5,2265 5,1123 4,9752 4,8385 4,7182 4,6141 4,5161 4,4177 4,3228 4,2414 4,1832 4,1586 4,1828 4,2703 4,4246 4,6337 4,8706 5,0923 5,2484 5,2976 5,2209 5,0224 4,7248 4,3665 3,9970 3,6645 3,4022 3,2230 3,1260 3,1064 3,1581 3,2684 3,4151 3,5713 3,7143 3,8333 3,9284 4,0000 4,0365 4,0167 3,9248 3,7635 3,5541 3,3254 3,1013 2,8948 2,7107 2,5527 2,4259 2,3328 2,2687 2,2229 2,1843 2,1473 2,1134 2,0883 2,0756 2,0708 2,0614 2,0308 1,9618 1,8430 1,6769 1,4828 1,2923 1,1404 1,0561 1,0554 1,1377 1,2876 1,4779 1,6724 1,8327 1,9289 1,9488 1,9015 1,8143 1,7271 1,6881 1,7405 1,8977 2,1259 2,3590 2,5350 2,6212 2,6141 2,5287 2,3891 2,2164 2,0204 1,7994 1,5482 1,2664 0,9649 0,6670 0,4064 0,2217 0,1403 0,1648 0,2722 0,4242 0,5804 0,7122 0,8132 0,8983 0,9925 1,1168 1,2791 1,4714 1,6712 1,8482 1,9726 2,0254 2,0059 1,9343 1,8443 1,7712 1,7404 1,7626 1,8369 1,9477 2,0601 2,1315 2,1304 2,0515 1,9166 1,7657 1,6396 1,5621 1,5348 1,5395 1,5452 1,5189 1,4428 1,3272 1,2065 1,1189 1,0834 1,0900 1,1081 1,1067 1,0723 1,0164 0,9714 0,9764 1,0597 1,2267 1,4576 1,7121 1,9419 2,1062 2,1877 2,2052 2,2092 2,2569 2,3803 2,5747 2,8099 3,0498 3,2643 3,4320 3,5384 3,5717 3,5200 3,3748 3,1400 2,8397 2,5176 2,2261 2,0049 1,8636 1,7743 1,6816 1,5305 1,2973 0,9971 0,6698 0,3613 0,1074 -0,0787 -0,2088 -0,3089 -0,4013 -0,4923 -0,5730 -0,6285 -0,6483 -0,6285 -0,5648 -0,4456 -0,2498 0,0465 0,4583 0,9828 1,6027 2,2940 3,0260 3,7580 4,4442 5,0443 5,5345 5,9113 6,1899 6,3990 6,5764 6,7595 6,9704 7,2108 7,4677 7,7269 7,9842 8,2440 8,5075 8,7634 8,9910 9,1700 9,2901 9,3547 9,3774 9,3767 9,3690 9,3613 9,3471 9,3068 9,2113 9,0300 8,7422 8,3447 7,8563 7,3199 6,7963 6,3492 6,0250 5,8366 5,7616 5,7556 5,7721 5,7723 5,7242 5,5980 5,3667 5,0139 4,5415 3,9796 3,3877 2,8397 2,3943 2,0718 1,8482 1,6668 1,4622 1,1830 0,8033 0,3271 -0,2102 -0,7468 -1,2088 -1,5308 -1,6762 -1,6495 -1,4917 -1,2619 -1,0147 -0,7847 -0,5860 -0,4218 -0,2944 -0,2064 -0,1569 -0,1362 -0,1239 -0,0909 -0,0027 0,1699 0,4355 0,7736 1,1416 1,4915 1,7839 1,9962 2,1268 2,1885 2,1892 2,1227 1,9783 1,7586 1,4846 1,1908 0,9234 0,7368 0,6754 0,7489 0,9256 1,1475 1,3548
