Fp1   3,0558 2,1785 1,0841 -0,0744 -1,1307 -1,9633 -2,5130 -2,7719 -2,7691 -2,5535 -2,1699 -1,6535 -1,0576 -0,4772 -0,0156 0,2829 0,4582 0,6028 0,8146 1,1452 1,5569 1,9327 2,1436 2,1255 1,8988 1,5169 1,0327 0,5318 0,1433 -0,0350 -0,0085 0,1305 0,2696 0,3375 0,3385 0,3214 0,2935 0,1936 -0,0315 -0,3584 -0,7072 -0,9882 -1,1254 -1,0793 -0,8721 -0,5770 -0,2683 0,0147 0,2698 0,5272 0,8314 1,2130 1,6888 2,2852 3,0134 3,8083 4,5416 5,0992 5,3932 5,3329 4,8804 4,1478 3,3956 2,9103 2,8661 3,2672 3,9771 4,7942 5,5242 6,0179 6,1908 6,0504 5,7065 5,3142 4,9651 4,6315 4,2255 3,7024 3,1071 2,5464 2,1406 1,9902 2,1358 2,5202 3,0046 3,4494 3,7906 4,0429 4,2427 4,3975 4,4693 4,3958 4,1284 3,6495 2,9828 2,2021 1,4172 0,7397 0,2298 -0,1531 -0,5315 -1,0130 -1,5999 -2,1870 -2,6349 -2,8413 -2,7744 -2,4720 -1,9927 -1,3529 -0,5255 0,4849 1,5572 2,4788 3,0951 3,4251 3,6355 3,9275 4,4323 5,1847 6,1712 7,3698 8,7225 10,0972 11,3306 12,3077 12,9807 13,3330 13,3765 13,1863 12,9018 12,6777 12,6246 12,7655 13,0356 13,3337 13,5670 13,6553 13,5446 13,2452 12,8510 12,5110 12,3771 12,5496 13,0434 13,8008 14,7124 15,6197 16,3629 16,8610 17,1270 17,2321 17,2727 17,3320 17,4406 17,5811 17,7318 17,8963 18,0934 18,3416 18,6561 19,0339 19,4355 19,7986 20,0622 20,1774 20,1164 19,8967 19,6062 19,3755 19,2912 19,3486 19,4968 19,6835 19,8480 19,9172 19,8338 19,5788 19,1643 18,6031 17,8910 17,0250 16,0270 14,9501 13,8832 12,9364 12,1814 11,6132 11,2060 10,9876 11,0208 11,3216 11,8099 12,3422 12,7865 13,0632 13,1329 12,9722 12,5788 11,9957 11,3116 10,6329 10,0641 9,6942 9,5598 9,6249 9,8216 10,0990 10,4268 10,7777 11,1306 11,4983 11,9332 12,4748 13,0823 13,6350 14,0007 14,1223 14,0618 13,9441 13,8518 13,7927 13,7434 13,6861 13,6130 13,5138 13,3757 13,1958 12,9762 12,7179 12,4517 12,2658 12,2664 12,5013 12,9154 13,3653 13,6894 13,7793 13,5960 13,1469 12,4783 11,6870 10,9142 10,2949 9,8893 9,6674 9,5633 9,5263 9,5317 9,5664 9,6026 9,5943 9,5021 9,3108 9,0385 8,7274 8,4082 8,0840 7,7522 7,4282 7,1370 6,8766 6,6151 6,3507 6,1659 6,2025 6,5626 7,2152 7,9916 8,6648 9,0411 9,0278 8,6796 8,1710 7,6864 7,3169 7,0429 6,7885 6,4770 6,0549 5,5070 4,8733 4,2436 3,7369 3,4644 3,4801 3,7507 4,1657 4,5801 4,8592 4,8925 4,6063 4,0143 3,2570 2,5745 2,2123 2,3129 2,8678 3,7404 4,7093 5,5263 6,0159 6,1619 6,0871 5,9384 5,7856 5,6218 5,4403 5,3008 5,3165 5,5735 6,0580 6,6611 7,2672 7,8568 8,5256 9,3971 10,4999 11,6988 12,7440 13,4273 13,7104 13,7096 13,5817 13,4270 13,2669 13,0828 12,8732 12,6951 12,6551 12,8401 13,2478 13,7913 14,3668 14,9014 15,3551 15,6925 15,8538 15,7765 15,4680 15,0490 14,7121 14,6086 14,7513 15,0299 15,3111 15,5080 15,5797 15,5181 15,3426 15,0674 14,6868 14,2209 13,7314 13,2673 12,8434 12,4893 12,2699 12,2234 12,3039 12,4114 12,4452 12,3166 11,9545 11,3333 10,4927 9,5292 8,5805 7,8003 7,3038 7,1308 7,2859 7,7773 8,5585 9,4627 10,2766 10,8921 11,3465 11,7241 12,0663 12,3700 12,6221 12,8141 12,9369 12,9825 12,9339 12,7319 12,2869 11,5664 10,6522 9,7009 8,8647 8,2354 7,8491 7,7478 8,0013 8,6323 9,5572 10,6292 11,7015 12,6345 13,2848 13,5233 13,2960 12,6879 11,9176 11,2265 10,7477 10,4875 10,4059 10,4682 10,6347 10,8583 11,1250 11,4782 11,9676 12,5849 13,2804 14,0250 14,8147 15,6191 16,3501 16,8713 17,0288 16,7156 15,9315 14,7755 13,3970 11,9757 10,7141 9,7865 9,2796 9,1951 9,4931 10,1258 11,0293 12,0877 13,1386 14,0405 14,7207 15,1700 15,4182 15,5134 15,5046 15,4297 15,3034 15,1122 14,8251 14,4104 13,8661 13,2731 12,8088 12,6729 12,9790 13,6857 14,6171 15,5739 16,4293 17,1206 17,6040 17,8653 17,9617 18,0236 18,1968 18,5442 18,9781 19,2995 19,3275 18,9938 18,3320 17,4194 16,3455 15,2081 14,1037 13,1068 12,2562 11,5568 10,9826 10,4908 10,0633 9,7545 9,6843 9,9618 10,5881 11,4136 12,2117 12,8332 13,2870 13,6718 14,0609 14,4606 14,8325 15,1048 15,1760 14,9617 14,4542 13,7339 12,9406 12,2190 11,6644 11,3137 11,1746 11,2623 11,6065 12,2097 13,0095 13,9063 14,8324 15,7844 16,7842 17,8121 18,7837 19,5875 20,1378 20,3964 20,3718 20,1390 19,8380 19,5919 19,4180 19,2360 18,9492 18,5091 17,9420 17,3413 16,8261 16,4883 16,3667 16,4578 16,7364 17,1618 17,6797 18,2228 18,7357 19,2132 19,6735 20,0826 20,3555 20,4256 20,2850 19,9782 19,5711 19,1051 18,5768 17,9650 17,2730 16,5457 15,8521 15,2573 14,8107 14,5495 14,4958 14,6417 14,9460 15,3493 15,7796 16,1492 16,3959 16,5380 16,6473 16,7732 16,9274 17,1118 17,3198 17,5241 17,6747 17,7111 17,5812 17,2570 16,7432 16,0918 15,4020 14,7866 14,3364 14,1119 14,1338 14,3503 14,6158 14,7343 14,5596 14,0674 13,3477 12,5678 11,9396 11,6468 11,7421 12,1305 12,6646 13,2290 13,7347 14,0880 14,2284 14,2142 14,2189 14,4018 14,7922 15,3019 15,8243 16,2907 16,6611
Fz    3,0576 2,8001 2,4097 1,9487 1,5009 1,1382 0,9055 0,8219 0,8831 1,0713 1,3695 1,7588 2,1994 2,6243 2,9657 3,1935 3,3270 3,4111 3,4854 3,5670 3,6425 3,6748 3,6237 3,4635 3,1841 2,7867 2,2889 1,7308 1,1659 0,6304 0,1193 -0,4008 -0,9561 -1,5384 -2,0994 -2,5769 -2,9425 -3,2202 -3,4622 -3,7148 -4,0003 -4,3088 -4,6087 -4,8720 -5,0891 -5,2611 -5,3858 -5,4559 -5,4624 -5,3943 -5,2409 -5,0005 -4,6818 -4,2975 -3,8710 -3,4501 -3,0943 -2,8458 -2,7268 -2,7521 -2,9108 -3,1323 -3,2917 -3,2642 -2,9798 -2,4411 -1,7111 -0,8852 -0,0626 0,6688 1,2422 1,6265 1,8380 1,9300 1,9578 1,9496 1,9127 1,8645 1,8459 1,9084 2,0924 2,4133 2,8548 3,3629 3,8539 4,2485 4,5107 4,6587 4,7403 4,7943 4,8217 4,7857 4,6364 4,3422 3,9110 3,3889 2,8433 2,3444 1,9383 1,6175 1,3226 0,9831 0,5632 0,0806 -0,4072 -0,8332 -1,1530 -1,3607 -1,4747 -1,5107 -1,4717 -1,3627 -1,2167 -1,0971 -1,0599 -1,1144 -1,2173 -1,2992 -1,2992 -1,1835 -0,9366 -0,5499 -0,0364 0,5496 1,1254 1,6177 1,9847 2,2157 2,3307 2,3882 2,4730 2,6621 2,9895 3,4258 3,8823 4,2467 4,4248 4,3637 4,0614 3,5714 2,9905 2,4324 2,0007 1,7663 1,7554 1,9566 2,3307 2,8159 3,3459 3,8757 4,3931 4,9188 5,4927 6,1396 6,8443 7,5627 8,2531 8,8961 9,4940 10,0631 10,6191 11,1588 11,6508 12,0528 12,3430 12,5327 12,6494 12,7151 12,7509 12,7889 12,8580 12,9598 13,0706 13,1576 13,1846 13,1205 12,9590 12,7297 12,4794 12,2386 12,0105 11,7905 11,5874 11,4207 11,3041 11,2287 11,1517 11,0129 10,7843 10,4979 10,2193 9,9948 9,8208 9,6508 9,4205 9,0667 8,5367 7,8043 6,8900 5,8676 4,8375 3,8872 3,0754 2,4380 1,9875 1,7025 1,5318 1,4130 1,2930 1,1329 0,9070 0,6174 0,3119 0,0627 -0,0845 -0,1319 -0,1142 -0,0719 -0,0264 0,0260 0,0929 0,1684 0,2392 0,3007 0,3622 0,4355 0,5231 0,6145 0,6877 0,7198 0,7123 0,7099 0,7819 0,9823 1,3218 1,7598 2,2192 2,6203 2,9130 3,0876 3,1646 3,1836 3,1950 3,2445 3,3457 3,4685 3,5558 3,5505 3,4158 3,1473 2,7683 2,3154 1,8304 1,3616 0,9612 0,6634 0,4612 0,3141 0,1788 0,0369 -0,1034 -0,2291 -0,3386 -0,4318 -0,4906 -0,4756 -0,3512 -0,1215 0,1583 0,4037 0,5332 0,4966 0,2932 -0,0376 -0,4471 -0,8998 -1,3795 -1,8834 -2,4074 -2,9406 -3,4693 -3,9770 -4,4371 -4,8137 -5,0758 -5,2182 -5,2734 -5,3024 -5,3721 -5,5305 -5,7916 -6,1336 -6,5005 -6,8092 -6,9727 -6,9347 -6,6891 -6,2725 -5,7442 -5,1791 -4,6601 -4,2487 -3,9486 -3,7073 -3,4644 -3,2000 -2,9345 -2,6872 -2,4416 -2,1510 -1,7780 -1,3206 -0,8030 -0,2458 0,3598 1,0509 1,8594 2,7701 3,7028 4,5397 5,1889 5,6393 5,9552 6,2202 6,4803 6,7235 6,9040 6,9908 7,0046 7,0126 7,0824 7,2393 7,4617 7,7071 7,9336 8,1044 8,1868 8,1519 7,9859 7,7111 7,4018 7,1662 7,0917 7,1942 7,4162 7,6703 7,8824 8,0048 8,0136 7,9106 7,7175 7,4638 7,1876 6,9304 6,7138 6,5305 6,3666 6,2186 6,0778 5,9103 5,6696 5,3192 4,8384 4,2196 3,4743 2,6384 1,7662 0,9213 0,1695 -0,4295 -0,8391 -1,0576 -1,1179 -1,0887 -1,0634 -1,1134 -1,2356 -1,3653 -1,4399 -1,4389 -1,3778 -1,2880 -1,2027 -1,1485 -1,1380 -1,1693 -1,2406 -1,3581 -1,5143 -1,6641 -1,7388 -1,6929 -1,5387 -1,3341 -1,1304 -0,9314 -0,7076 -0,4380 -0,1229 0,2255 0,5769 0,8738 1,0485 1,0590 0,9176 0,6897 0,4543 0,2548 0,0916 -0,0450 -0,1499 -0,2102 -0,2144 -0,1464 0,0154 0,2747 0,5998 0,9423 1,2781 1,6216 1,9948 2,3864 2,7377 2,9665 3,0105 2,8581 2,5422 2,1120 1,6227 1,1446 0,7509 0,4882 0,3666 0,3747 0,4974 0,7188 1,0119 1,3382 1,6658 1,9807 2,2814 2,5645 2,8187 3,0340 3,2150 3,3744 3,5094 3,5865 3,5547 3,3859 3,1126 2,8213 2,6086 2,5442 2,6540 2,9190 3,2952 3,7347 4,1852 4,5877 4,8979 5,1142 5,2769 5,4379 5,6263 5,8266 5,9907 6,0755 6,0727 6,0042 5,9035 5,7988 5,7050 5,6265 5,5628 5,5087 5,4489 5,3599 5,2220 5,0352 4,8278 4,6466 4,5250 4,4497 4,3493 4,1329 3,7609 3,2749 2,7561 2,2690 1,8452 1,4913 1,1887 0,8943 0,5601 0,1633 -0,2814 -0,7328 -1,1508 -1,5162 -1,8210 -2,0415 -2,1298 -2,0377 -1,7528 -1,3111 -0,7700 -0,1752 0,4452 1,0659 1,6546 2,1760 2,6026 2,9278 3,1634 3,3228 3,4183 3,4695 3,4947 3,4898 3,4256 3,2689 3,0120 2,6858 2,3489 2,0625 1,8646 1,7609 1,7412 1,7980 1,9273 2,1176 2,3426 2,5730 2,7949 3,0026 3,1819 3,3141 3,3880 3,4015 3,3663 3,3084 3,2508 3,1950 3,1256 3,0313 2,9185 2,8134 2,7467 2,7310 2,7504 2,7724 2,7731 2,7593 2,7668 2,8293 2,9484 3,1061 3,3028 3,5604 3,8866 4,2608 4,6519 5,0301 5,3677 5,6480 5,8766 6,0709 6,2345 6,3477 6,3894 6,3594 6,2778 6,1755 6,0842 6,0184 5,9522 5,8166 5,5296 5,0441 4,3693 3,5565 2,6864 1,8644 1,1897 0,7059 0,3933 0,2098 0,1207 0,0876 0,0575 -0,0074 -0,0869 -0,1134 -0,0351 0,1421 0,3776 0,6388 0,9094 1,1715
F3    2,1616 1,8498 1,3932 0,8433 0,2836 -0,2030 -0,5507 -0,7121 -0,6686 -0,4352 -0,0433 0,4721 1,0591 1,6378 2,1258 2,4829 2,7272 2,9086 3,0699 3,2212 3,3313 3,3469 3,2334 2,9982 2,6734 2,2884 1,8654 1,4296 1,0090 0,6176 0,2399 -0,1519 -0,5671 -0,9826 -1,3508 -1,6301 -1,8211 -1,9676 -2,1250 -2,3330 -2,6030 -2,9117 -3,2106 -3,4564 -3,6312 -3,7346 -3,7619 -3,6960 -3,5152 -3,2061 -2,7752 -2,2516 -1,6742 -1,0753 -0,4851 0,0496 0,4712 0,7395 0,8352 0,7462 0,4823 0,1163 -0,2124 -0,3575 -0,2339 0,1585 0,7488 1,4284 2,0859 2,6253 2,9749 3,1019 3,0286 2,8236 2,5613 2,2855 2,0118 1,7564 1,5572 1,4669 1,5293 1,7623 2,1518 2,6441 3,1474 3,5648 3,8426 3,9889 4,0513 4,0763 4,0755 4,0195 3,8615 3,5699 3,1505 2,6447 2,1137 1,6212 1,2080 0,8661 0,5425 0,1795 -0,2435 -0,6976 -1,1241 -1,4654 -1,6931 -1,8190 -1,8717 -1,8579 -1,7532 -1,5329 -1,2160 -0,8710 -0,5712 -0,3518 -0,2041 -0,0931 0,0195 0,1647 0,3733 0,6766 1,0852 1,5650 2,0476 2,4702 2,7981 3,0188 3,1411 3,2127 3,3186 3,5442 3,9322 4,4556 5,0198 5,5005 5,7884 5,8178 5,5846 5,1541 4,6441 4,1886 3,9045 3,8665 4,0908 4,5399 5,1398 5,7946 6,4147 6,9521 7,4139 7,8507 8,3252 8,8682 9,4592 10,0516 10,6103 11,1247 11,6024 12,0615 12,5193 12,9762 13,4035 13,7565 14,0031 14,1416 14,1901 14,1711 14,1146 14,0652 14,0642 14,1230 14,2242 14,3405 14,4415 14,4951 14,4810 14,4040 14,2860 14,1444 13,9785 13,7802 13,5578 13,3454 13,1865 13,1023 13,0641 13,0051 12,8773 12,6893 12,4867 12,3068 12,1468 11,9662 11,7087 11,3175 10,7433 9,9617 9,0034 7,9615 6,9530 6,0716 5,3748 4,8927 4,6276 4,5450 4,5833 4,6767 4,7739 4,8357 4,8263 4,7263 4,5588 4,3787 4,2347 4,1482 4,1105 4,0923 4,0734 4,0635 4,0830 4,1348 4,2020 4,2685 4,3320 4,3956 4,4621 4,5362 4,6186 4,7009 4,7841 4,8972 5,0824 5,3606 5,7162 6,1003 6,4439 6,6818 6,7740 6,7118 6,5120 6,2190 5,9105 5,6751 5,5657 5,5752 5,6577 5,7622 5,8490 5,8925 5,8739 5,7745 5,5855 5,3286 5,0563 4,8165 4,6151 4,4229 4,2109 3,9735 3,7288 3,5013 3,3024 3,1336 3,0122 2,9853 3,0986 3,3442 3,6497 3,9132 4,0469 4,0065 3,8047 3,4919 3,1209 2,7289 2,3351 1,9427 1,5463 1,1399 0,7195 0,2913 -0,1185 -0,4661 -0,7102 -0,8430 -0,9025 -0,9535 -1,0553 -1,2399 -1,5079 -1,8301 -2,1467 -2,3741 -2,4305 -2,2713 -1,9040 -1,3736 -0,7439 -0,0955 0,4812 0,9201 1,2195 1,4383 1,6385 1,8347 2,0084 2,1597 2,3303 2,5760 2,9241 3,3588 3,8385 4,3287 4,8303 5,3820 6,0229 6,7429 7,4675 8,0921 8,5469 8,8437 9,0588 9,2699 9,5024 9,7206 9,8648 9,9065 9,8805 9,8681 9,9419 10,1202 10,3684 10,6323 10,8618 11,0173 11,0682 10,9877 10,7593 10,4028 9,9967 9,6598 9,4889 9,5027 9,6432 9,8257 9,9848 10,0844 10,1065 10,0457 9,9060 9,6990 9,4497 9,1962 8,9736 8,8057 8,7108 8,6994 8,7550 8,8230 8,8303 8,7136 8,4291 7,9538 7,2916 6,4770 5,5650 4,6212 3,7252 2,9636 2,4045 2,0765 1,9646 2,0084 2,1135 2,2014 2,2651 2,3574 2,5255 2,7747 3,0749 3,3778 3,6309 3,7907 3,8375 3,7806 3,6398 3,4310 3,1848 2,9624 2,8298 2,8145 2,8879 2,9916 3,0887 3,1943 3,3522 3,5837 3,8708 4,1712 4,4260 4,5680 4,5463 4,3529 4,0326 3,6712 3,3571 3,1364 3,0091 2,9630 2,9934 3,0956 3,2614 3,4951 3,8180 4,2386 4,7253 5,2246 5,7043 6,1691 6,6294 7,0590 7,3824 7,5056 7,3708 6,9912 6,4359 5,7904 5,1400 4,5738 4,1676 3,9549 3,9226 4,0339 4,2536 4,5549 4,9074 5,2739 5,6286 5,9697 6,3068 6,6407 6,9589 7,2484 7,5056 7,7303 7,9107 8,0150 8,0015 7,8522 7,6049 7,3442 7,1594 7,1111 7,2188 7,4669 7,8274 8,2736 8,7665 9,2454 9,6496 9,9535 10,1752 10,3539 10,5152 10,6491 10,7194 10,6954 10,5699 10,3570 10,0868 9,8051 9,5628 9,3917 9,2887 9,2171 9,1255 8,9729 8,7487 8,4771 8,2124 8,0203 7,9401 7,9437 7,9331 7,7993 7,5031 7,0961 6,6634 6,2617 5,9065 5,5835 5,2590 4,8933 4,4661 3,9946 3,5299 3,1342 2,8472 2,6676 2,5730 2,5572 2,6431 2,8576 3,1956 3,6108 4,0488 4,4860 4,9352 5,4137 5,9111 6,3839 6,7762 7,0509 7,2004 7,2330 7,1692 7,0490 6,9172 6,7907 6,6480 6,4562 6,2148 5,9717 5,7963 5,7346 5,7839 5,9023 6,0452 6,1982 6,3750 6,5906 6,8394 7,1005 7,3559 7,5849 7,7485 7,8018 7,7223 7,5197 7,2284 6,8937 6,5568 6,2410 5,9470 5,6664 5,4051 5,1979 5,0938 5,1203 5,2630 5,4742 5,7018 5,9198 6,1336 6,3513 6,5551 6,7153 6,8341 6,9484 7,0872 7,2466 7,4015 7,5208 7,5741 7,5456 7,4480 7,3121 7,1540 6,9629 6,7280 6,4684 6,2310 6,0680 6,0158 6,0749 6,1921 6,2663 6,1884 5,8942 5,3880 4,7263 4,0031 3,3431 2,8604 2,5968 2,5122 2,5388 2,6247 2,7276 2,7994 2,8117 2,7975 2,8352 2,9796 3,2202 3,5100 3,8170 4,1329 4,4489
F7    2,9279 2,5179 1,8513 1,0352 0,2109 -0,4930 -0,9891 -1,2420 -1,2730 -1,1392 -0,8918 -0,5518 -0,1354 0,3085 0,7052 1,0068 1,2227 1,3957 1,5647 1,7419 1,9049 2,0089 2,0170 1,9242 1,7487 1,5060 1,2025 0,8567 0,5117 0,2123 -0,0283 -0,2295 -0,4140 -0,5777 -0,6817 -0,6876 -0,6132 -0,5405 -0,5604 -0,7177 -0,9969 -1,3375 -1,6638 -1,9229 -2,1032 -2,2150 -2,2597 -2,2211 -2,0778 -1,8178 -1,4464 -0,9917 -0,4989 -0,0106 0,4427 0,8306 1,1212 1,2954 1,3463 1,2686 1,0746 0,8292 0,6469 0,6435 0,8805 1,3354 1,9122 2,4904 2,9733 3,3030 3,4538 3,4227 3,2266 2,9043 2,5029 2,0584 1,6027 1,1878 0,8840 0,7537 0,8308 1,1165 1,5783 2,1367 2,6678 3,0483 3,2157 3,1862 3,0286 2,8227 2,6198 2,4194 2,1774 1,8423 1,3976 0,8757 0,3407 -0,1385 -0,5209 -0,8190 -1,0844 -1,3607 -1,6470 -1,8965 -2,0423 -2,0273 -1,8362 -1,5180 -1,1633 -0,8452 -0,5856 -0,3752 -0,2212 -0,1584 -0,2074 -0,3441 -0,5023 -0,5941 -0,5516 -0,3633 -0,0574 0,3444 0,8323 1,3790 1,9272 2,4100 2,7735 2,9855 3,0433 2,9938 2,9384 2,9937 3,2309 3,6351 4,1162 4,5618 4,8839 5,0312 4,9905 4,7959 4,5257 4,2810 4,1584 4,2291 4,5253 5,0342 5,6914 6,3884 7,0222 7,5505 7,9979 8,4281 8,9083 9,4602 10,0354 10,5548 10,9685 11,2796 11,5295 11,7746 12,0646 12,4158 12,7995 13,1636 13,4658 13,6898 13,8367 13,9194 13,9791 14,0850 14,2861 14,5727 14,9010 15,2302 15,5174 15,7015 15,7217 15,5594 15,2521 14,8611 14,4304 13,9722 13,4853 12,9860 12,5262 12,1719 11,9519 11,8391 11,7875 11,7686 11,7646 11,7517 11,6983 11,5785 11,3764 11,0746 10,6430 10,0500 9,2975 8,4484 7,6098 6,8877 6,3645 6,0994 6,1060 6,3257 6,6473 6,9624 7,2036 7,3371 7,3389 7,2087 7,0063 6,8306 6,7443 6,7404 6,7736 6,8038 6,8276 6,8801 6,9923 7,1542 7,3258 7,4702 7,5747 7,6461 7,6951 7,7210 7,7036 7,6112 7,4334 7,2099 7,0101 6,8836 6,8342 6,8298 6,8273 6,7934 6,7130 6,5819 6,3993 6,1830 5,9927 5,9112 5,9899 6,2182 6,5415 6,8969 7,2373 7,5332 7,7552 7,8674 7,8459 7,7082 7,5180 7,3390 7,1777 6,9815 6,6896 6,2841 5,8076 5,3361 4,9410 4,6709 4,5490 4,5750 4,7270 4,9570 5,1856 5,3134 5,2544 4,9777 4,5270 3,9932 3,4621 2,9807 2,5511 2,1499 1,7565 1,3668 0,9871 0,6260 0,2917 -0,0013 -0,2325 -0,3980 -0,5269 -0,6704 -0,8804 -1,1928 -1,6140 -2,1120 -2,6097 -2,9918 -3,1392 -2,9800 -2,5270 -1,8722 -1,1510 -0,5035 -0,0418 0,1850 0,2165 0,1603 0,1273 0,1734 0,2933 0,4615 0,6753 0,9538 1,3001 1,6796 2,0398 2,3511 2,6368 2,9703 3,4297 4,0291 4,6874 5,2711 5,6866 5,9385 6,1016 6,2492 6,4087 6,5607 6,6670 6,7115 6,7294 6,7937 6,9577 7,2031 7,4481 7,6103 7,6584 7,6117 7,5009 7,3329 7,0935 6,7914 6,4947 6,3192 6,3632 6,6396 7,0698 7,5422 7,9625 8,2589 8,3815 8,3139 8,0678 7,6728 7,1855 6,6790 6,2016 5,7682 5,4007 5,1459 5,0298 5,0119 5,0063 4,9369 4,7659 4,4886 4,1241 3,7102 3,2933 2,9188 2,6320 2,4764 2,4814 2,6494 2,9520 3,3189 3,6417 3,8325 3,8933 3,9031 3,9352 4,0155 4,1398 4,2965 4,4635 4,5990 4,6523 4,5841 4,3737 4,0224 3,5768 3,1409 2,8340 2,7154 2,7414 2,8078 2,8500 2,8976 3,0290 3,2891 3,6587 4,0754 4,4543 4,7064 4,7702 4,6446 4,4005 4,1546 4,0074 3,9802 4,0165 4,0437 4,0286 3,9824 3,9407 3,9554 4,0844 4,3585 4,7544 5,2144 5,6920 6,1704 6,6438 7,0870 7,4389 7,6155 7,5511 7,2362 6,7216 6,1000 5,4904 5,0150 4,7499 4,6884 4,7614 4,8918 5,0403 5,2165 5,4528 5,7680 6,1492 6,5567 6,9474 7,2919 7,5777 7,8076 7,9950 8,1527 8,2704 8,3015 8,1862 7,9047 7,5203 7,1580 6,9341 6,9062 7,0673 7,3707 7,7710 8,2440 8,7636 9,2737 9,7040 10,0113 10,2041 10,3321 10,4485 10,5704 10,6717 10,7133 10,6698 10,5287 10,2908 9,9742 9,6094 9,2242 8,8363 8,4546 8,0838 7,7249 7,3778 7,0509 6,7740 6,5932 6,5416 6,6042 6,7085 6,7618 6,7216 6,6245 6,5358 6,4923 6,4977 6,5373 6,5747 6,5506 6,4134 6,1610 5,8449 5,5339 5,2745 5,0818 4,9651 4,9508 5,0734 5,3413 5,7117 6,1073 6,4687 6,7949 7,1317 7,5202 7,9547 8,3798 8,7240 8,9431 9,0364 9,0286 8,9579 8,8716 8,8027 8,7361 8,6108 8,3698 8,0161 7,6248 7,3080 7,1622 7,2225 7,4521 7,7779 8,1327 8,4735 8,7815 9,0479 9,2628 9,4236 9,5297 9,5720 9,5450 9,4580 9,3268 9,1679 8,9958 8,8099 8,5903 8,3211 8,0150 7,7187 7,5007 7,4226 7,5038 7,7111 7,9776 8,2273 8,4053 8,4999 8,5247 8,4764 8,3408 8,1449 7,9632 7,8602 7,8502 7,9093 7,9950 8,0545 8,0431 7,9488 7,7896 7,5853 7,3458 7,0866 6,8386 6,6367 6,5104 6,4836 6,5592 6,6885 6,7679 6,6835 6,3778 5,8749 5,2524 4,6137 4,0782 3,7515 3,6727 3,8000 4,0520 4,3474 4,6031 4,7309 4,6781 4,4808 4,2474 4,0736 3,9842 3,9562 3,9738 4,0449 4,1770
