Fp1   2,2378 2,6872 3,1401 3,5600 3,8985 4,1187 4,2125 4,1921 4,0724 3,8645 3,5833 3,2492 2,8850 2,5165 2,1630 1,8244 1,4908 1,1651 0,8616 0,5876 0,3397 0,1189 -0,0662 -0,2114 -0,3234 -0,4197 -0,5269 -0,6753 -0,8886 -1,1689 -1,4942 -1,8366 -2,1769 -2,5004 -2,7923 -3,0422 -3,2444 -3,3900 -3,4635 -3,4555 -3,3771 -3,2554 -3,1145 -2,9634 -2,7963 -2,5947 -2,3321 -1,9875 -1,5663 -1,1052 -0,6532 -0,2496 0,0840 0,3413 0,5242 0,6388 0,6990 0,7282 0,7434 0,7364 0,6831 0,5762 0,4365 0,2945 0,1768 0,1092 0,1121 0,1880 0,3141 0,4503 0,5602 0,6288 0,6638 0,6864 0,7177 0,7637 0,8104 0,8349 0,8176 0,7464 0,6203 0,4533 0,2646 0,0617 -0,1621 -0,4121 -0,6734 -0,9032 -1,0469 -1,0770 -1,0134 -0,8983 -0,7646 -0,6294 -0,5071 -0,4154 -0,3679 -0,3631 -0,3768 -0,3650 -0,2839 -0,1131 0,1421 0,4681 0,8500 1,2617 1,6665 2,0402 2,3810 2,6937 2,9804 3,2451 3,4902 3,7079 3,8775 3,9751 3,9822 3,8872 3,6860 3,3844 3,0015 2,5699 2,1375 1,7711 1,5449 1,5035 1,6390 1,9076 2,2582 2,6503 3,0556 3,4529 3,8242 4,1537 4,4307 4,6563 4,8452 5,0209 5,2057 5,4100 5,6280 5,8490 6,0730 6,3108 6,5757 6,8745 7,1898 7,4715 7,6598 7,7270 7,6980 7,6315 7,5781 7,5554 7,5589 7,5856 7,6380 7,7092 7,7697 7,7765 7,6991 7,5396 7,3312 7,1149 6,9113 6,7106 6,4921 6,2559 6,0371 5,8908 5,8632 5,9726 6,1988 6,4828 6,7459 6,9209 6,9724 6,8962 6,7114 6,4602 6,2018 5,9881 5,8383 5,7386 5,6625 5,5924 5,5277 5,4833 5,4824 5,5420 5,6588 5,8107 5,9629 6,0782 6,1326 6,1234 6,0629 5,9682 5,8599 5,7599 5,6791 5,6150 5,5655 5,5280 5,4934 5,4562 5,4229 5,4079 5,4275 5,4859 5,5617 5,6197 5,6393 5,6200 5,5594 5,4445 5,2664 5,0278 4,7370 4,4027 4,0276 3,6048 3,1298 2,6186 2,1089 1,6408 1,2316 0,8643 0,5030 0,1263 -0,2485 -0,5745 -0,8158 -0,9819 -1,1176 -1,2612 -1,4160 -1,5510 -1,6236 -1,6093 -1,5106 -1,3454 -1,1413 -0,9343 -0,7514 -0,5987 -0,4640 -0,3124 -0,0985 0,1959 0,5451 0,9072 1,2568 1,5815 1,8630 2,0766 2,2083 2,2669 2,2840 2,3077 2,3758 2,4839 2,5880 2,6410 2,6131 2,4838 2,2421 1,9007 1,4970 1,0729 0,6585 0,2726 -0,0727 -0,3736 -0,6317 -0,8429 -0,9926 -1,0716 -1,0964 -1,1095 -1,1557 -1,2609 -1,4331 -1,6718 -1,9653 -2,2840 -2,5918 -2,8588 -3,0588 -3,1770 -3,2277 -3,2458 -3,2541 -3,2423 -3,1801 -3,0449 -2,8337 -2,5562 -2,2262 -1,8579 -1,4682 -1,0786 -0,7057 -0,3498 0,0005 0,3540 0,7063 1,0382 1,3243 1,5444 1,6909 1,7644 1,7679 1,7181 1,6569 1,6282 1,6533 1,7299 1,8373 1,9430 2,0126 2,0198 1,9593 1,8492 1,7112 1,5474 1,3354 1,0429 0,6545 0,1953 -0,2734 -0,6856 -1,0045 -1,2313 -1,3901 -1,5095 -1,6054 -1,6676 -1,6661 -1,5725 -1,3831 -1,1311 -0,8760 -0,6712 -0,5316 -0,4366 -0,3703 -0,3400 -0,3464 -0,3560 -0,3224 -0,2272 -0,1000 -0,0016 0,0162 -0,0600 -0,2100 -0,4005 -0,5994 -0,7829 -0,9400 -1,0778 -1,2201 -1,3908 -1,5912 -1,7971 -1,9798 -2,1224 -2,2114 -2,2362 -2,2047 -2,1483 -2,0981 -2,0420 -1,9123 -1,6419 -1,2255 -0,7115 -0,1549 0,4056 0,9429 1,4331 1,8502 2,1714 2,3906 2,5250 2,6007 2,6310 2,6110 2,5324 2,3954 2,2077 1,9833 1,7509 1,5471 1,3922 1,2846 1,2125 1,1602 1,1091 1,0443 0,9570 0,8421 0,7081 0,5859 0,5097 0,4909 0,5200 0,5798 0,6549 0,7400 0,8332 0,9213 0,9794 0,9777 0,8877 0,7038 0,4740 0,2870 0,2062 0,2208 0,2757 0,3453 0,4559 0,6374 0,8886 1,1924 1,5327 1,8880 2,2214 2,4847 2,6366 2,6650 2,5989 2,5006 2,4378 2,4446 2,5049 2,5736 2,6122 2,6007 2,5300 2,4050 2,2604 2,1494 2,1171 2,1873 2,3564 2,5916 2,8513 3,1158 3,3982 3,7247 4,1037 4,5129 4,9212 5,3183 5,7055 6,0687 6,3765 6,5884 6,6597 6,5701 6,3530 6,0772 5,8126 5,6166 5,5194 5,5117 5,5579 5,6193 5,6654 5,6759 5,6355 5,5280 5,3423 5,0819 4,7728 4,4590 4,1773 3,9416 3,7558 3,6226 3,5328 3,4628 3,3935 3,3256 3,2757 3,2599 3,2796 3,3239 3,3839 3,4638 3,5761 3,7265 3,9081 4,1122 4,3342 4,5605 4,7575 4,8839 4,9145 4,8573 4,7470 4,6134 4,4702 4,3382 4,2491 4,2099 4,1960 4,1870 4,1835 4,1965 4,2404 4,3209 4,4203 4,5042 4,5462 4,5423 4,5038 4,4353 4,3396 4,2454 4,2033 4,2466 4,3682 4,5332 4,7046 4,8596 4,9894 5,0940 5,1782 5,2493 5,3211 5,4120 5,5264 5,6430 5,7325 5,7796 5,7850 5,7555 5,6951 5,6027 5,4811 5,3388 5,1728 4,9603 4,6758 4,3190 3,9288 3,5698 3,3049 3,1740 3,1817 3,2976 3,4699 3,6470 3,7950 3,8968 3,9413 3,9245 3,8630 3,7839 3,6930 3,5608 3,3463 3,0330 2,6447 2,2322 1,8430 1,5042 1,2295 1,0389 0,9625 1,0112 1,1457 1,2916 1,3860 1,4057 1,3591 1,2754 1,2078 1,2255 1,3762 1,6519 1,9916 2,3174 2,5719 2,7352 2,8201 2,8525 2,8528 2,8326 2,7939 2,7290 2,6178 2,4239 2,1058 1,6498 1,0882
Fz    2,4630 2,9215 3,3584 3,7525 4,0695 4,2860 4,3989 4,4131 4,3285 4,1408 3,8556 3,5001 3,1193 2,7617 2,4588 2,2072 1,9788 1,7558 1,5438 1,3536 1,1866 1,0402 0,9117 0,7950 0,6788 0,5468 0,3791 0,1493 -0,1707 -0,5951 -1,1111 -1,6858 -2,2782 -2,8441 -3,3428 -3,7494 -4,0581 -4,2718 -4,3963 -4,4445 -4,4377 -4,3920 -4,3069 -4,1679 -3,9585 -3,6684 -3,2968 -2,8569 -2,3850 -1,9361 -1,5565 -1,2600 -1,0336 -0,8628 -0,7380 -0,6433 -0,5542 -0,4551 -0,3606 -0,3150 -0,3580 -0,4852 -0,6496 -0,7944 -0,8735 -0,8531 -0,7186 -0,4859 -0,2029 0,0617 0,2490 0,3406 0,3612 0,3569 0,3699 0,4217 0,5085 0,6070 0,6850 0,7112 0,6688 0,5670 0,4341 0,2927 0,1445 -0,0204 -0,2031 -0,3797 -0,5090 -0,5675 -0,5688 -0,5369 -0,4759 -0,3723 -0,2233 -0,0544 0,0925 0,1857 0,2236 0,2405 0,2916 0,4251 0,6669 1,0254 1,4954 2,0432 2,6045 3,1181 3,5521 3,8970 4,1515 4,3186 4,4082 4,4358 4,4136 4,3453 4,2251 4,0415 3,7869 3,4621 3,0741 2,6446 2,2211 1,8781 1,6926 1,7061 1,9079 2,2571 2,7095 3,2235 3,7557 4,2678 4,7408 5,1770 5,5860 5,9733 6,3359 6,6660 6,9566 7,2002 7,3871 7,5200 7,6270 7,7468 7,9058 8,1074 8,3290 8,5220 8,6258 8,5955 8,4272 8,1588 7,8472 7,5476 7,3042 7,1451 7,0768 7,0794 7,1021 7,0766 6,9559 6,7439 6,4866 6,2379 6,0270 5,8428 5,6489 5,4251 5,1948 5,0109 4,9222 4,9556 5,1102 5,3591 5,6581 5,9545 6,1944 6,3353 6,3639 6,3036 6,1987 6,0894 5,9978 5,9287 5,8826 5,8694 5,9128 6,0390 6,2555 6,5371 6,8347 7,0996 7,2972 7,4081 7,4288 7,3747 7,2746 7,1568 7,0444 6,9539 6,8885 6,8439 6,8208 6,8190 6,8290 6,8416 6,8524 6,8586 6,8619 6,8666 6,8680 6,8539 6,8171 6,7477 6,6205 6,4082 6,1026 5,7134 5,2537 4,7345 4,1672 3,5648 2,9442 2,3310 1,7586 1,2504 0,7972 0,3546 -0,1263 -0,6607 -1,2169 -1,7376 -2,1772 -2,5260 -2,8006 -3,0172 -3,1771 -3,2691 -3,2812 -3,2154 -3,0897 -2,9281 -2,7570 -2,5954 -2,4368 -2,2515 -2,0067 -1,6739 -1,2415 -0,7340 -0,2050 0,2993 0,7662 1,2051 1,6187 1,9870 2,2743 2,4519 2,5240 2,5343 2,5311 2,5239 2,4861 2,3893 2,2162 1,9514 1,5832 1,1216 0,5971 0,0400 -0,5289 -1,0866 -1,6010 -2,0402 -2,3825 -2,6148 -2,7329 -2,7545 -2,7283 -2,7176 -2,7682 -2,8931 -3,0793 -3,3043 -3,5402 -3,7519 -3,9143 -4,0317 -4,1246 -4,2124 -4,3139 -4,4421 -4,5847 -4,6933 -4,7029 -4,5728 -4,3106 -3,9592 -3,5638 -3,1449 -2,7024 -2,2417 -1,7800 -1,3302 -0,8903 -0,4519 -0,0137 0,4077 0,7825 1,0816 1,2921 1,4154 1,4591 1,4495 1,4347 1,4496 1,4932 1,5451 1,5825 1,5885 1,5542 1,4770 1,3666 1,2476 1,1399 1,0290 0,8608 0,5687 0,1161 -0,4736 -1,1177 -1,7114 -2,1743 -2,4718 -2,6118 -2,6326 -2,5789 -2,4771 -2,3309 -2,1383 -1,9102 -1,6748 -1,4647 -1,2931 -1,1367 -0,9562 -0,7481 -0,5574 -0,4251 -0,3467 -0,2885 -0,2228 -0,1492 -0,0938 -0,0857 -0,1337 -0,2252 -0,3411 -0,4674 -0,5980 -0,7372 -0,9003 -1,1081 -1,3743 -1,6918 -2,0303 -2,3522 -2,6247 -2,8197 -2,9212 -2,9405 -2,9120 -2,8581 -2,7549 -2,5455 -2,1983 -1,7387 -1,2169 -0,6631 -0,0885 0,4861 1,0169 1,4537 1,7707 1,9806 2,1172 2,2033 2,2369 2,2006 2,0756 1,8509 1,5343 1,1568 0,7677 0,4184 0,1410 -0,0554 -0,1720 -0,2140 -0,1939 -0,1315 -0,0470 0,0449 0,1361 0,2259 0,3091 0,3675 0,3868 0,3709 0,3392 0,3171 0,3220 0,3468 0,3606 0,3269 0,2204 0,0395 -0,1758 -0,3530 -0,4337 -0,4121 -0,3235 -0,1953 -0,0246 0,1925 0,4382 0,6871 0,9209 1,1192 1,2475 1,2657 1,1546 0,9352 0,6685 0,4402 0,3266 0,3533 0,4788 0,6222 0,7115 0,7154 0,6436 0,5335 0,4390 0,4142 0,5011 0,7155 1,0356 1,4102 1,7878 2,1472 2,5108 2,9281 3,4337 4,0148 4,6276 5,2396 5,8355 6,3924 6,8716 7,2250 7,4089 7,4187 7,3114 7,1675 7,0465 6,9805 6,9750 7,0025 7,0129 6,9629 6,8429 6,6800 6,5114 6,3568 6,2160 6,0761 5,9169 5,7164 5,4537 5,1150 4,7151 4,3020 3,9230 3,5933 3,3043 3,0479 2,8288 2,6588 2,5413 2,4656 2,4217 2,4188 2,4829 2,6309 2,8493 3,1038 3,3612 3,5941 3,7749 3,8822 3,9135 3,8904 3,8507 3,8223 3,8046 3,7939 3,8030 3,8391 3,8952 3,9742 4,0907 4,2483 4,4368 4,6459 4,8606 5,0531 5,1903 5,2497 5,2267 5,1298 4,9864 4,8558 4,8073 4,8735 5,0303 5,2224 5,4012 5,5415 5,6375 5,6956 5,7300 5,7602 5,8101 5,9045 6,0545 6,2414 6,4188 6,5374 6,5709 6,5217 6,4053 6,2399 6,0507 5,8659 5,6969 5,5223 5,3018 5,0096 4,6554 4,2815 3,9466 3,7073 3,6002 3,6260 3,7459 3,8952 4,0110 4,0552 4,0127 3,8860 3,7048 3,5194 3,3592 3,2029 2,9987 2,7076 2,3324 1,9123 1,4877 1,0779 0,6984 0,3901 0,2144 0,2062 0,3280 0,4846 0,5872 0,5961 0,5178 0,3959 0,3057 0,3298 0,5131 0,8365 1,2266 1,5892 1,8453 1,9606 1,9538 1,8699 1,7493 1,6247 1,5237 1,4570 1,4074 1,3246 1,1396 0,8080 0,3419
F3    3,2072 3,6773 4,1087 4,4749 4,7493 4,9215 5,0009 5,0011 4,9213 4,7425 4,4454 4,0343 3,5464 3,0430 2,5824 2,1897 1,8565 1,5695 1,3222 1,0994 0,8768 0,6416 0,4012 0,1734 -0,0255 -0,1920 -0,3443 -0,5194 -0,7585 -1,0875 -1,5083 -2,0051 -2,5514 -3,1063 -3,6168 -4,0329 -4,3226 -4,4719 -4,4834 -4,3854 -4,2334 -4,0876 -3,9833 -3,9179 -3,8558 -3,7400 -3,5112 -3,1368 -2,6361 -2,0730 -1,5208 -1,0335 -0,6407 -0,3535 -0,1652 -0,0489 0,0379 0,1351 0,2497 0,3417 0,3552 0,2691 0,1116 -0,0652 -0,2044 -0,2486 -0,1572 0,0690 0,3799 0,6923 0,9273 1,0451 1,0578 1,0135 0,9691 0,9655 1,0172 1,1138 1,2254 1,3090 1,3252 1,2589 1,1237 0,9481 0,7596 0,5783 0,4216 0,3142 0,2781 0,3023 0,3429 0,3630 0,3608 0,3557 0,3585 0,3632 0,3595 0,3435 0,3249 0,3306 0,3918 0,5212 0,7134 0,9660 1,2846 1,6618 2,0657 2,4626 2,8370 3,1823 3,4896 3,7493 3,9572 4,1127 4,2112 4,2459 4,2104 4,0983 3,9004 3,6061 3,2121 2,7357 2,2237 1,7539 1,4184 1,2880 1,3856 1,6924 2,1651 2,7464 3,3687 3,9643 4,4867 4,9213 5,2790 5,5855 5,8723 6,1654 6,4746 6,7864 7,0678 7,2921 7,4614 7,6051 7,7642 7,9743 8,2413 8,5204 8,7296 8,7936 8,6870 8,4432 8,1251 7,7924 7,4924 7,2607 7,1184 7,0629 7,0527 7,0122 6,8724 6,6131 6,2682 5,8967 5,5488 5,2457 4,9833 4,7593 4,5893 4,4977 4,5028 4,6137 4,8234 5,1016 5,4008 5,6691 5,8622 5,9517 5,9317 5,8223 5,6619 5,4894 5,3292 5,1944 5,1006 5,0721 5,1386 5,3218 5,6185 5,9922 6,3827 6,7235 6,9596 7,0676 7,0692 7,0194 6,9754 6,9684 7,0011 7,0593 7,1167 7,1461 7,1341 7,0819 6,9985 6,9014 6,8120 6,7418 6,6888 6,6394 6,5673 6,4483 6,2849 6,1015 5,9163 5,7282 5,5286 5,3053 5,0345 4,6866 4,2415 3,6963 3,0706 2,4123 1,7878 1,2519 0,8180 0,4500 0,0888 -0,3064 -0,7355 -1,1640 -1,5534 -1,8868 -2,1632 -2,3741 -2,4974 -2,5105 -2,4074 -2,2091 -1,9552 -1,6860 -1,4352 -1,2232 -1,0443 -0,8698 -0,6627 -0,3801 0,0120 0,5026 1,0290 1,5191 1,9362 2,2840 2,5767 2,8116 2,9672 3,0242 2,9918 2,9111 2,8213 2,7241 2,5923 2,4043 2,1545 1,8405 1,4634 1,0422 0,6095 0,1913 -0,2017 -0,5642 -0,8859 -1,1549 -1,3606 -1,4853 -1,5060 -1,4198 -1,2667 -1,1208 -1,0553 -1,1137 -1,3065 -1,6206 -2,0170 -2,4273 -2,7785 -3,0262 -3,1616 -3,2056 -3,2011 -3,1923 -3,1971 -3,1916 -3,1250 -2,9564 -2,6787 -2,3171 -1,9160 -1,5208 -1,1637 -0,8625 -0,6149 -0,3903 -0,1427 0,1633 0,5353 0,9500 1,3614 1,7197 1,9854 2,1266 2,1256 2,0121 1,8670 1,7660 1,7372 1,7669 1,8171 1,8438 1,8136 1,7103 1,5394 1,3238 1,0885 0,8442 0,5785 0,2595 -0,1421 -0,6208 -1,1282 -1,5982 -1,9817 -2,2561 -2,4193 -2,4876 -2,4852 -2,4181 -2,2638 -2,0009 -1,6501 -1,2768 -0,9531 -0,7078 -0,5027 -0,2626 0,0489 0,3938 0,7129 0,9890 1,2395 1,4724 1,6600 1,7461 1,6777 1,4440 1,0901 0,6905 0,3166 0,0138 -0,2217 -0,4466 -0,7371 -1,1331 -1,5999 -2,0461 -2,3844 -2,5703 -2,6008 -2,5096 -2,3742 -2,3004 -2,3597 -2,5152 -2,6251 -2,5473 -2,2287 -1,6960 -1,0119 -0,2628 0,4471 1,0250 1,4258 1,6629 1,7901 1,8688 1,9415 2,0162 2,0669 2,0499 1,9336 1,7158 1,4243 1,1167 0,8693 0,7373 0,7257 0,7973 0,8993 0,9821 1,0102 0,9728 0,8854 0,7792 0,6938 0,6623 0,6894 0,7522 0,8158 0,8502 0,8396 0,7803 0,6745 0,5347 0,3776 0,2037 0,0063 -0,1828 -0,2895 -0,2658 -0,1427 0,0009 0,1221 0,2469 0,4222 0,6736 1,0061 1,4035 1,8173 2,1738 2,3992 2,4464 2,3154 2,0623 1,7899 1,6086 1,5783 1,6733 1,8043 1,8793 1,8522 1,7265 1,5436 1,3765 1,3100 1,4112 1,7050 2,1565 2,6814 3,1879 3,6252 4,0059 4,3844 4,8081 5,2848 5,7976 6,3413 6,9218 7,5214 8,0797 8,4984 8,6712 8,5572 8,2260 7,8018 7,3946 7,0918 6,9458 6,9450 7,0194 7,0833 7,0798 6,9999 6,8614 6,6777 6,4563 6,2102 5,9505 5,6690 5,3411 4,9532 4,5255 4,0976 3,6912 3,3026 2,9319 2,6022 2,3508 2,2060 2,1661 2,1969 2,2556 2,3167 2,3805 2,4646 2,5920 2,7843 3,0527 3,3818 3,7196 3,9943 4,1465 4,1613 4,0786 3,9594 3,8495 3,7952 3,8516 4,0358 4,3044 4,5945 4,8569 5,0620 5,2132 5,3432 5,4767 5,6052 5,7014 5,7445 5,7239 5,6232 5,4350 5,2020 5,0084 4,9191 4,9408 5,0351 5,1534 5,2647 5,3559 5,4182 5,4446 5,4389 5,4234 5,4363 5,5096 5,6421 5,8003 5,9404 6,0294 6,0504 5,9942 5,8587 5,6653 5,4551 5,2533 5,0449 4,7930 4,4807 4,1304 3,7858 3,4918 3,2873 3,1982 3,2239 3,3361 3,4941 3,6649 3,8302 3,9757 4,0834 4,1405 4,1451 4,0914 3,9661 3,7620 3,4906 3,1873 2,8938 2,6182 2,3229 1,9679 1,5720 1,2246 1,0203 0,9767 1,0278 1,0900 1,1140 1,0886 1,0348 1,0029 1,0537 1,2234 1,4998 1,8309 2,1557 2,4281 2,6253 2,7447 2,7919 2,7734 2,7047 2,6083 2,5028 2,3929 2,2566 2,0469 1,7243 1,2844
F7    1,9182 2,2881 2,6567 3,0125 3,3298 3,5706 3,7010 3,7121 3,6248 3,4721 3,2810 3,0607 2,8067 2,5174 2,1945 1,8357 1,4538 1,0892 0,7848 0,5554 0,3815 0,2310 0,0820 -0,0723 -0,2279 -0,3785 -0,5275 -0,6920 -0,8961 -1,1465 -1,4208 -1,6896 -1,9381 -2,1664 -2,3822 -2,5968 -2,8191 -3,0388 -3,2143 -3,2916 -3,2480 -3,1114 -2,9345 -2,7581 -2,5926 -2,4158 -2,1760 -1,8135 -1,3069 -0,7039 -0,1005 0,4065 0,7640 0,9831 1,1139 1,1974 1,2502 1,2822 1,3029 1,3020 1,2484 1,1272 0,9613 0,7904 0,6448 0,5449 0,5067 0,5313 0,5961 0,6720 0,7508 0,8416 0,9487 1,0668 1,1859 1,2830 1,3200 1,2659 1,1187 0,9074 0,6824 0,4929 0,3501 0,2194 0,0548 -0,1606 -0,4025 -0,6089 -0,7016 -0,6349 -0,4337 -0,1672 0,1052 0,3529 0,5590 0,7105 0,8050 0,8615 0,9217 1,0352 1,2265 1,4733 1,7306 1,9728 2,1983 2,4054 2,5908 2,7687 2,9615 3,1654 3,3488 3,4838 3,5623 3,5860 3,5553 3,4709 3,3316 3,1219 2,8106 2,3804 1,8609 1,3245 0,8592 0,5534 0,4755 0,6368 0,9840 1,4298 1,8923 2,3249 2,7255 3,1159 3,5071 3,8815 4,2065 4,4652 4,6725 4,8647 5,0749 5,3126 5,5637 5,8078 6,0272 6,2112 6,3721 6,5419 6,7255 6,8740 6,9292 6,8854 6,8005 6,7507 6,7674 6,8138 6,8295 6,7920 6,7220 6,6433 6,5526 6,4288 6,2602 6,0576 5,8489 5,6593 5,4836 5,2830 5,0255 4,7332 4,4898 4,3928 4,4977 4,8074 5,2780 5,8080 6,2582 6,5186 6,5591 6,4150 6,1496 5,8453 5,5992 5,4858 5,5105 5,6107 5,7058 5,7425 5,6998 5,5878 5,4584 5,3873 5,4287 5,5916 5,8345 6,0813 6,2640 6,3609 6,3939 6,3987 6,3977 6,3885 6,3491 6,2601 6,1178 5,9181 5,6544 5,3452 5,0364 4,7794 4,6136 4,5412 4,5126 4,4599 4,3567 4,2351 4,1408 4,0842 4,0408 3,9784 3,8769 3,7307 3,5291 3,2429 2,8477 2,3547 1,8141 1,2913 0,8305 0,4260 0,0270 -0,4137 -0,8804 -1,2865 -1,5365 -1,6083 -1,5654 -1,4898 -1,4188 -1,3370 -1,2072 -1,0123 -0,7658 -0,4802 -0,1577 0,1803 0,4872 0,7148 0,8390 0,8926 0,9631 1,1190 1,3494 1,5927 1,7976 1,9393 2,0080 2,0088 1,9716 1,9417 1,9598 2,0550 2,2327 2,4566 2,6645 2,8061 2,8476 2,7540 2,5010 2,1091 1,6453 1,1880 0,7956 0,4985 0,2955 0,1561 0,0407 -0,0742 -0,1819 -0,2541 -0,2732 -0,2575 -0,2467 -0,2740 -0,3656 -0,5486 -0,8389 -1,2235 -1,6616 -2,0863 -2,4056 -2,5515 -2,5363 -2,4347 -2,3152 -2,1985 -2,0663 -1,8941 -1,6662 -1,3719 -1,0119 -0,6053 -0,1830 0,2265 0,6078 0,9614 1,2971 1,6258 1,9437 2,2210 2,4190 2,5141 2,5085 2,4300 2,3093 2,1596 1,9911 1,8238 1,6810 1,5756 1,5015 1,4358 1,3453 1,2031 1,0198 0,8447 0,7150 0,6211 0,5240 0,3844 0,1793 -0,0829 -0,3608 -0,6003 -0,7682 -0,8682 -0,9257 -0,9622 -0,9850 -0,9858 -0,9464 -0,8466 -0,6708 -0,4253 -0,1550 0,0680 0,1828 0,1704 0,0532 -0,1244 -0,3070 -0,4304 -0,4425 -0,3386 -0,1772 -0,0429 0,0125 -0,0185 -0,1249 -0,2843 -0,4690 -0,6602 -0,8393 -0,9829 -1,0833 -1,1549 -1,2133 -1,2667 -1,3350 -1,4502 -1,6250 -1,8421 -2,0759 -2,3099 -2,5343 -2,7122 -2,7535 -2,5703 -2,1709 -1,6654 -1,1758 -0,7486 -0,3422 0,1112 0,6278 1,1513 1,5960 1,9103 2,1054 2,2228 2,2875 2,3043 2,2798 2,2317 2,1848 2,1609 2,1596 2,1562 2,1359 2,1091 2,0766 2,0144 1,8994 1,7204 1,4680 1,1539 0,8357 0,5963 0,4979 0,5559 0,7421 1,0135 1,3362 1,6797 2,0053 2,2754 2,4520 2,4883 2,3597 2,1070 1,8249 1,5879 1,3885 1,1711 0,9229 0,6919 0,5300 0,4645 0,5157 0,7034 1,0245 1,4315 1,8408 2,1679 2,3637 2,4253 2,3852 2,2955 2,2053 2,1440 2,1315 2,1847 2,2818 2,3368 2,2631 2,0717 1,8673 1,7550 1,7869 1,9654 2,2493 2,5780 2,9163 3,2723 3,6725 4,1254 4,6131 5,1170 5,6246 6,0987 6,4775 6,7199 6,8209 6,7798 6,5827 6,2382 5,8205 5,4559 5,2582 5,2740 5,4760 5,7999 6,1756 6,5267 6,7681 6,8260 6,6622 6,2769 5,7030 5,0277 4,3905 3,9027 3,5854 3,4045 3,3212 3,3032 3,3218 3,3494 3,3617 3,3391 3,2622 3,1223 2,9442 2,7856 2,7092 2,7558 2,9271 3,1911 3,5177 3,8946 4,2943 4,6557 4,9132 5,0378 5,0502 4,9923 4,8988 4,8058 4,7616 4,7908 4,8608 4,9073 4,8879 4,8028 4,6856 4,5851 4,5379 4,5526 4,6219 4,7335 4,8755 5,0339 5,1754 5,2540 5,2565 5,2179 5,1934 5,2223 5,3063 5,4112 5,4910 5,5177 5,4961 5,4529 5,4167 5,4107 5,4438 5,4967 5,5291 5,5161 5,4664 5,4011 5,3345 5,2702 5,2018 5,1204 5,0210 4,8905 4,6962 4,3955 3,9744 3,4871 3,0434 2,7477 2,6468 2,7238 2,9291 3,2153 3,5504 3,9106 4,2593 4,5422 4,7207 4,8022 4,8169 4,7703 4,6314 4,3660 3,9736 3,4945 2,9917 2,5396 2,2161 2,0832 2,1681 2,4546 2,8743 3,3113 3,6493 3,8301 3,8640 3,7827 3,5986 3,3327 3,0567 2,8611 2,7843 2,7905 2,8121 2,8095 2,7934 2,7990 2,8553 2,9758 3,1576 3,3703 3,5547 3,6405 3,5653 3,2918 2,8276 2,2314
