Fp1   -0,8524 -0,9210 -1,0028 -1,0950 -1,1781 -1,2277 -1,2319 -1,1909 -1,1106 -1,0034 -0,8880 -0,7807 -0,6874 -0,6030 -0,5148 -0,4072 -0,2716 -0,1172 0,0322 0,1510 0,2227 0,2411 0,2115 0,1498 0,0757 0,0045 -0,0531 -0,0844 -0,0738 -0,0097 0,1074 0,2680 0,4633 0,6888 0,9349 1,1783 1,3854 1,5220 1,5666 1,5144 1,3748 1,1676 0,9191 0,6603 0,4246 0,2366 0,1001 -0,0014 -0,0944 -0,2002 -0,3257 -0,4676 -0,6202 -0,7799 -0,9470 -1,1263 -1,3215 -1,5293 -1,7370 -1,9272 -2,0842 -2,1974 -2,2615 -2,2815 -2,2776 -2,2806 -2,3182 -2,4045 -2,5407 -2,7182 -2,9206 -3,1261 -3,3095 -3,4469 -3,5252 -3,5464 -3,5222 -3,4666 -3,3901 -3,2996 -3,2004 -3,0960 -2,9883 -2,8795 -2,7728 -2,6672 -2,5577 -2,4406 -2,3181 -2,1981 -2,0877 -1,9884 -1,8940 -1,7955 -1,6901 -1,5859 -1,4965 -1,4243 -1,3518 -1,2581 -1,1400 -1,0109 -0,8834 -0,7554 -0,6127 -0,4469 -0,2666 -0,0860 0,0922 0,2785 0,4839 0,7122 0,9585 1,2104 1,4502 1,6621 1,8343 1,9577 2,0262 2,0357 1,9856 1,8865 1,7616 1,6316 1,5006 1,3602 1,2041 1,0375 0,8732 0,7186 0,5657 0,3946 0,1887 -0,0489 -0,2930 -0,5121 -0,6924 -0,8429 -0,9860 -1,1500 -1,3643 -1,6472 -1,9890 -2,3520 -2,6932 -2,9889 -3,2383 -3,4517 -3,6357 -3,7841 -3,8879 -3,9539 -4,0093 -4,0776 -4,1564 -4,2210 -4,2468 -4,2192 -4,1314 -3,9827 -3,7818 -3,5469 -3,3035 -3,0772 -2,8785 -2,6941 -2,4939 -2,2500 -1,9533 -1,6201 -1,2840 -0,9763 -0,7072 -0,4687 -0,2526 -0,0598 0,1053 0,2406 0,3471 0,4311 0,5061 0,5823 0,6566 0,7217 0,7862 0,8752 1,0105 1,1966 1,4217 1,6652 1,9040 2,1202 2,3015 2,4356 2,5094 2,5227 2,4919 2,4327 2,3429 2,2086 2,0251 1,8086 1,5936 1,4148 1,2863 1,1953 1,1140 1,0153 0,8832 0,7188 0,5383 0,3564 0,1723 -0,0239 -0,2386 -0,4698 -0,7102 -0,9550 -1,2107 -1,4870 -1,7756 -2,0409 -2,2384 -2,3408 -2,3489 -2,2819 -2,1637 -2,0177 -1,8656 -1,7226 -1,5919 -1,4695 -1,3565 -1,2590 -1,1766 -1,1003 -1,0175 -0,9134 -0,7742 -0,5965 -0,3936 -0,1914 -0,0171 0,1136 0,2042 0,2749 0,3510 0,4467 0,5567 0,6648 0,7589 0,8373 0,9013 0,9487 0,9736 0,9727 0,9524 0,9295 0,9167 0,9147 0,9230 0,9524 1,0159 1,1129 1,2260 1,3306 1,4058 1,4420 1,4421 1,4198 1,3955 1,3923 1,4301 1,5220 1,6677 1,8508 2,0428 2,2090 2,3141 2,3323 2,2558 2,0935 1,8664 1,6007 1,3215 1,0448 0,7729 0,4990 0,2166 -0,0719 -0,3522 -0,6033 -0,8041 -0,9400 -1,0079 -1,0199 -1,0000 -0,9758 -0,9682 -0,9831 -1,0145 -1,0557 -1,1041 -1,1575 -1,2078 -1,2410 -1,2437 -1,2127 -1,1540 -1,0760 -0,9873 -0,9019 -0,8351 -0,7897 -0,7534 -0,7105 -0,6567 -0,6041 -0,5719 -0,5690 -0,5848 -0,5966 -0,5867 -0,5491 -0,4797 -0,3676 -0,2046 0,0018 0,2291 0,4489 0,6360 0,7795 0,8896 0,9924 1,1137 1,2614 1,4215 1,5682 1,6778 1,7368 1,7485 1,7321 1,7154 1,7228 1,7660 1,8396 1,9295 2,0248 2,1205 2,2142 2,3059 2,3972 2,4887 2,5789 2,6613 2,7228 2,7478 2,7237 2,6437 2,5155 2,3662 2,2335 2,1479 2,1201 2,1393 2,1798 2,2112 2,2091 2,1611 2,0703 1,9513 1,8206 1,6912 1,5715 1,4629 1,3577 1,2407 1,0928 0,9023 0,6790 0,4560 0,2724 0,1505 0,0835 0,0411 -0,0152 -0,1125 -0,2521 -0,4152 -0,5787 -0,7223 -0,8298 -0,8939 -0,9230 -0,9386 -0,9669 -1,0297 -1,1351 -1,2761 -1,4391 -1,6090 -1,7615 -1,8619 -1,8810 -1,8182 -1,7060 -1,5893 -1,5012 -1,4537 -1,4425 -1,4560 -1,4826 -1,5173 -1,5623 -1,6163 -1,6662 -1,6953 -1,6951 -1,6676 -1,6217 -1,5737 -1,5445 -1,5490 -1,5823 -1,6219 -1,6446 -1,6431 -1,6297 -1,6243 -1,6377 -1,6641 -1,6860 -1,6860 -1,6557 -1,5946 -1,5036 -1,3874 -1,2632 -1,1581 -1,0957 -1,0843 -1,1159 -1,1709 -1,2273 -1,2656 -1,2693 -1,2284 -1,1484 -1,0553 -0,9836 -0,9590 -0,9922 -1,0852 -1,2343 -1,4272 -1,6409 -1,8477 -2,0249 -2,1618 -2,2614 -2,3360 -2,3979 -2,4536 -2,5063 -2,5604 -2,6212 -2,6895 -2,7614 -2,8348 -2,9117 -2,9926 -3,0760 -3,1664 -3,2748 -3,4036 -3,5349 -3,6343 -3,6701 -3,6333 -3,5430 -3,4326 -3,3290 -3,2434 -3,1772 -3,1261 -3,0841 -3,0534 -3,0520 -3,0989 -3,1905 -3,3004 -3,4003 -3,4769 -3,5268 -3,5464 -3,5306 -3,4788 -3,4010 -3,3190 -3,2594 -3,2439 -3,2851 -3,3822 -3,5151 -3,6540 -3,7786 -3,8874 -3,9889 -4,0886 -4,1825 -4,2599 -4,3113 -4,3335 -4,3348 -4,3324 -4,3408 -4,3616 -4,3853 -4,4017 -4,4069 -4,4033 -4,3955 -4,3866 -4,3759 -4,3593 -4,3309 -4,2887 -4,2385 -4,1921 -4,1584 -4,1387 -4,1296 -4,1216 -4,0955 -4,0293 -3,9126 -3,7505 -3,5568 -3,3487 -3,1455 -2,9645 -2,8122 -2,6780 -2,5400 -2,3813 -2,2008 -2,0076 -1,8134 -1,6288 -1,4603 -1,3080 -1,1713 -1,0548 -0,9679 -0,9157 -0,8954 -0,9042 -0,9467 -1,0304 -1,1584 -1,3286 -1,5346 -1,7654 -2,0072 -2,2474 -2,4744 -2,6773 -2,8495 -2,9918 -3,1040 -3,1765 -3,1978 -3,1672 -3,0956 -2,9976 -2,8900 -2,7906 -2,7122 -2,6595 -2,6320 -2,6263 -2,6388 -2,6686 -2,7179 -2,7900 -2,8819 -2,9776 -3,0534 -3,0870 -3,0638 -2,9823 -2,8595 -2,7286 -2,6258 -2,5795 -2,6039 -2,6935 -2,8214 -2,9476 -3,0331
Fz    -0,4167 -0,4119 -0,4193 -0,4267 -0,4169 -0,3791 -0,3157 -0,2338 -0,1371 -0,0302 0,0759 0,1688 0,2416 0,2946 0,3338 0,3662 0,3912 0,3931 0,3488 0,2462 0,0924 -0,0929 -0,2880 -0,4734 -0,6364 -0,7725 -0,8802 -0,9539 -0,9820 -0,9513 -0,8534 -0,6874 -0,4548 -0,1617 0,1723 0,5099 0,8025 1,0040 1,0880 1,0566 0,9345 0,7594 0,5699 0,3997 0,2744 0,2042 0,1804 0,1781 0,1663 0,1225 0,0410 -0,0719 -0,2065 -0,3544 -0,5149 -0,6938 -0,8943 -1,1072 -1,3079 -1,4621 -1,5402 -1,5320 -1,4513 -1,3327 -1,2253 -1,1786 -1,2259 -1,3759 -1,6182 -1,9300 -2,2757 -2,6090 -2,8822 -3,0593 -3,1269 -3,0976 -3,0030 -2,8823 -2,7679 -2,6747 -2,5976 -2,5191 -2,4208 -2,2948 -2,1442 -1,9756 -1,7951 -1,6078 -1,4187 -1,2343 -1,0661 -0,9234 -0,8039 -0,6958 -0,5935 -0,5079 -0,4567 -0,4430 -0,4453 -0,4343 -0,3932 -0,3211 -0,2214 -0,0915 0,0767 0,2863 0,5249 0,7693 0,9991 1,2060 1,3945 1,5793 1,7782 1,9999 2,2363 2,4655 2,6592 2,7906 2,8423 2,8092 2,7007 2,5428 2,3696 2,2044 2,0496 1,8944 1,7302 1,5575 1,3825 1,2096 1,0330 0,8350 0,5972 0,3170 0,0117 -0,2964 -0,5992 -0,9053 -1,2307 -1,5909 -1,9983 -2,4569 -2,9526 -3,4519 -3,9198 -4,3394 -4,7117 -5,0425 -5,3280 -5,5517 -5,6972 -5,7684 -5,7951 -5,8104 -5,8235 -5,8152 -5,7569 -5,6257 -5,4072 -5,0961 -4,7003 -4,2395 -3,7443 -3,2532 -2,7987 -2,3920 -2,0197 -1,6579 -1,2893 -0,9129 -0,5410 -0,1865 0,1471 0,4619 0,7542 1,0154 1,2419 1,4343 1,5913 1,7164 1,8276 1,9454 2,0771 2,2216 2,3881 2,5999 2,8755 3,2158 3,6085 4,0345 4,4721 4,8991 5,2913 5,6180 5,8500 5,9777 6,0143 5,9745 5,8539 5,6386 5,3296 4,9561 4,5651 4,1992 3,8768 3,5893 3,3154 3,0359 2,7420 2,4361 2,1284 1,8240 1,5117 1,1705 0,7845 0,3508 -0,1202 -0,6116 -1,1093 -1,5982 -2,0485 -2,4114 -2,6407 -2,7215 -2,6777 -2,5519 -2,3793 -2,1761 -1,9441 -1,6826 -1,3959 -1,0972 -0,8075 -0,5460 -0,3185 -0,1179 0,0704 0,2641 0,4789 0,7209 0,9817 1,2395 1,4651 1,6350 1,7455 1,8172 1,8850 1,9783 2,1071 2,2663 2,4487 2,6457 2,8386 2,9983 3,0998 3,1388 3,1348 3,1212 3,1245 3,1545 3,2155 3,3157 3,4572 3,6226 3,7781 3,8888 3,9317 3,9006 3,8042 3,6662 3,5248 3,4257 3,4092 3,4956 3,6738 3,9045 4,1341 4,3090 4,3850 4,3381 4,1694 3,9000 3,5587 3,1731 2,7624 2,3370 1,9031 1,4685 1,0437 0,6425 0,2828 -0,0163 -0,2378 -0,3697 -0,4145 -0,3957 -0,3508 -0,3161 -0,3148 -0,3502 -0,4087 -0,4749 -0,5461 -0,6303 -0,7310 -0,8390 -0,9392 -1,0202 -1,0751 -1,0977 -1,0863 -1,0511 -1,0088 -0,9699 -0,9364 -0,9095 -0,8961 -0,9101 -0,9650 -1,0598 -1,1702 -1,2562 -1,2827 -1,2322 -1,0984 -0,8774 -0,5735 -0,2087 0,1825 0,5677 0,9276 1,2607 1,5831 1,9185 2,2813 2,6622 3,0308 3,3556 3,6199 3,8242 3,9826 4,1173 4,2500 4,3936 4,5485 4,7061 4,8602 5,0152 5,1805 5,3602 5,5501 5,7401 5,9192 6,0813 6,2234 6,3374 6,4082 6,4185 6,3565 6,2285 6,0634 5,9026 5,7842 5,7301 5,7405 5,7947 5,8579 5,8909 5,8620 5,7569 5,5796 5,3469 5,0818 4,8091 4,5461 4,2936 4,0338 3,7389 3,3905 3,0003 2,6095 2,2679 2,0073 1,8276 1,6994 1,5801 1,4358 1,2579 1,0588 0,8580 0,6722 0,5103 0,3688 0,2336 0,0907 -0,0656 -0,2335 -0,4061 -0,5714 -0,7163 -0,8272 -0,8865 -0,8707 -0,7634 -0,5740 -0,3393 -0,1004 0,1167 0,2986 0,4349 0,5199 0,5581 0,5606 0,5372 0,4986 0,4634 0,4539 0,4868 0,5676 0,6894 0,8293 0,9537 1,0366 1,0769 1,0966 1,1203 1,1554 1,1875 1,1951 1,1699 1,1256 1,0885 1,0835 1,1269 1,2278 1,3891 1,6009 1,8333 2,0446 2,2028 2,2987 2,3435 2,3575 2,3611 2,3718 2,4086 2,4876 2,6047 2,7256 2,8020 2,7961 2,6876 2,4691 2,1487 1,7541 1,3247 0,8986 0,5032 0,1516 -0,1549 -0,4219 -0,6563 -0,8650 -1,0600 -1,2592 -1,4767 -1,7113 -1,9480 -2,1709 -2,3699 -2,5388 -2,6776 -2,7989 -2,9202 -3,0469 -3,1621 -3,2339 -3,2353 -3,1649 -3,0523 -2,9410 -2,8624 -2,8251 -2,8237 -2,8465 -2,8806 -2,9215 -2,9799 -3,0716 -3,1974 -3,3388 -3,4722 -3,5816 -3,6583 -3,6950 -3,6864 -3,6331 -3,5487 -3,4618 -3,4070 -3,4102 -3,4818 -3,6151 -3,7872 -3,9712 -4,1525 -4,3345 -4,5287 -4,7412 -4,9634 -5,1728 -5,3422 -5,4517 -5,4972 -5,4878 -5,4356 -5,3509 -5,2446 -5,1307 -5,0226 -4,9279 -4,8474 -4,7807 -4,7251 -4,6712 -4,6007 -4,4951 -4,3488 -4,1707 -3,9741 -3,7686 -3,5625 -3,3602 -3,1549 -2,9307 -2,6723 -2,3738 -2,0396 -1,6865 -1,3426 -1,0375 -0,7840 -0,5657 -0,3500 -0,1126 0,1515 0,4373 0,7353 1,0294 1,3013 1,5394 1,7393 1,8936 1,9879 2,0082 1,9486 1,8101 1,5974 1,3188 0,9849 0,6067 0,1973 -0,2252 -0,6381 -1,0222 -1,3674 -1,6700 -1,9284 -2,1398 -2,2960 -2,3831 -2,3904 -2,3213 -2,1918 -2,0241 -1,8453 -1,6852 -1,5694 -1,5133 -1,5187 -1,5733 -1,6556 -1,7455 -1,8316 -1,9102 -1,9778 -2,0271 -2,0509 -2,0447 -2,0087 -1,9514 -1,8923 -1,8569 -1,8657 -1,9318 -2,0608 -2,2435 -2,4503 -2,6397 -2,7753
F3    -1,0765 -1,2392 -1,3575 -1,4303 -1,4551 -1,4323 -1,3693 -1,2684 -1,1182 -0,9068 -0,6396 -0,3410 -0,0458 0,2100 0,3988 0,5110 0,5523 0,5319 0,4568 0,3386 0,1950 0,0405 -0,1201 -0,2834 -0,4407 -0,5781 -0,6818 -0,7390 -0,7349 -0,6543 -0,4869 -0,2297 0,1170 0,5448 1,0243 1,5004 1,9034 2,1684 2,2553 2,1600 1,9110 1,5563 1,1479 0,7324 0,3466 0,0125 -0,2596 -0,4633 -0,5968 -0,6665 -0,6861 -0,6767 -0,6597 -0,6484 -0,6497 -0,6746 -0,7415 -0,8670 -1,0501 -1,2674 -1,4858 -1,6793 -1,8363 -1,9593 -2,0631 -2,1692 -2,2926 -2,4369 -2,6039 -2,7985 -3,0206 -3,2529 -3,4599 -3,6010 -3,6528 -3,6176 -3,5147 -3,3668 -3,1940 -3,0126 -2,8349 -2,6638 -2,4928 -2,3154 -2,1347 -1,9623 -1,8109 -1,6896 -1,6025 -1,5488 -1,5182 -1,4881 -1,4304 -1,3266 -1,1820 -1,0266 -0,8957 -0,7985 -0,7040 -0,5642 -0,3515 -0,0757 0,2290 0,5286 0,7995 1,0221 1,1771 1,2571 1,2804 1,2895 1,3353 1,4571 1,6685 1,9519 2,2682 2,5736 2,8294 3,0101 3,1109 3,1458 3,1371 3,1083 3,0781 3,0477 2,9946 2,8863 2,7024 2,4453 2,1387 1,8146 1,4937 1,1739 0,8394 0,4821 0,1120 -0,2540 -0,6109 -0,9667 -1,3281 -1,6957 -2,0693 -2,4482 -2,8215 -3,1684 -3,4726 -3,7341 -3,9631 -4,1684 -4,3494 -4,4965 -4,6009 -4,6710 -4,7359 -4,8228 -4,9312 -5,0336 -5,0991 -5,1080 -5,0461 -4,8977 -4,6539 -4,3269 -3,9522 -3,5739 -3,2190 -2,8842 -2,5411 -2,1556 -1,7091 -1,2099 -0,6912 -0,1942 0,2527 0,6380 0,9549 1,1944 1,3516 1,4308 1,4468 1,4283 1,4149 1,4359 1,4958 1,5902 1,7290 1,9315 2,2020 2,5234 2,8710 3,2238 3,5690 3,9015 4,2172 4,4994 4,7183 4,8474 4,8773 4,8096 4,6473 4,3980 4,0812 3,7293 3,3861 3,0945 2,8741 2,7108 2,5705 2,4209 2,2411 2,0248 1,7802 1,5213 1,2524 0,9674 0,6576 0,3160 -0,0586 -0,4607 -0,8840 -1,3218 -1,7540 -2,1395 -2,4348 -2,6202 -2,7023 -2,6972 -2,6132 -2,4494 -2,2073 -1,9001 -1,5491 -1,1830 -0,8403 -0,5581 -0,3537 -0,2205 -0,1365 -0,0710 0,0052 0,1093 0,2416 0,3860 0,5182 0,6188 0,6855 0,7365 0,8014 0,9003 1,0297 1,1727 1,3191 1,4673 1,6097 1,7241 1,7853 1,7821 1,7263 1,6486 1,5847 1,5634 1,6059 1,7247 1,9143 2,1457 2,3737 2,5544 2,6614 2,6915 2,6585 2,5863 2,5063 2,4558 2,4697 2,5702 2,7563 3,0015 3,2633 3,4957 3,6583 3,7235 3,6803 3,5348 3,3052 3,0130 2,6784 2,3217 1,9621 1,6165 1,2979 1,0137 0,7633 0,5384 0,3287 0,1303 -0,0549 -0,2264 -0,3896 -0,5508 -0,7069 -0,8410 -0,9292 -0,9581 -0,9330 -0,8683 -0,7716 -0,6406 -0,4763 -0,2935 -0,1122 0,0577 0,2152 0,3535 0,4565 0,5095 0,5101 0,4662 0,3875 0,2806 0,1533 0,0212 -0,0887 -0,1420 -0,1116 0,0077 0,2040 0,4607 0,7568 1,0647 1,3555 1,6073 1,8067 1,9526 2,0620 2,1663 2,2906 2,4320 2,5618 2,6480 2,6730 2,6410 2,5827 2,5459 2,5744 2,6887 2,8822 3,1288 3,3976 3,6668 3,9270 4,1749 4,4027 4,5903 4,7110 4,7475 4,6988 4,5723 4,3776 4,1257 3,8317 3,5244 3,2541 3,0801 3,0458 3,1576 3,3814 3,6578 3,9238 4,1302 4,2509 4,2863 4,2557 4,1817 4,0795 3,9580 3,8204 3,6605 3,4607 3,2011 2,8757 2,5084 2,1512 1,8599 1,6662 1,5651 1,5193 1,4776 1,4005 1,2794 1,1307 0,9753 0,8267 0,6893 0,5588 0,4265 0,2858 0,1339 -0,0306 -0,2082 -0,3938 -0,5761 -0,7373 -0,8547 -0,9055 -0,8782 -0,7831 -0,6499 -0,5102 -0,3845 -0,2840 -0,2192 -0,1997 -0,2278 -0,2958 -0,3869 -0,4771 -0,5416 -0,5659 -0,5497 -0,5048 -0,4525 -0,4240 -0,4543 -0,5623 -0,7315 -0,9180 -1,0783 -1,1895 -1,2498 -1,2671 -1,2469 -1,1865 -1,0800 -0,9283 -0,7436 -0,5413 -0,3306 -0,1179 0,0816 0,2434 0,3482 0,3945 0,3999 0,3923 0,3963 0,4259 0,4866 0,5760 0,6762 0,7519 0,7667 0,7048 0,5738 0,3909 0,1714 -0,0709 -0,3202 -0,5591 -0,7748 -0,9636 -1,1329 -1,2944 -1,4553 -1,6162 -1,7806 -1,9631 -2,1814 -2,4382 -2,7150 -2,9835 -3,2183 -3,4004 -3,5225 -3,5959 -3,6455 -3,6911 -3,7304 -3,7384 -3,6881 -3,5771 -3,4361 -3,3100 -3,2308 -3,2086 -3,2406 -3,3145 -3,4099 -3,5098 -3,6134 -3,7296 -3,8597 -3,9891 -4,0979 -4,1721 -4,2038 -4,1880 -4,1266 -4,0330 -3,9337 -3,8646 -3,8573 -3,9244 -4,0593 -4,2416 -4,4414 -4,6269 -4,7760 -4,8835 -4,9567 -5,0022 -5,0164 -4,9900 -4,9191 -4,8115 -4,6864 -4,5658 -4,4645 -4,3867 -4,3304 -4,2951 -4,2857 -4,3111 -4,3782 -4,4855 -4,6180 -4,7476 -4,8399 -4,8656 -4,8100 -4,6758 -4,4792 -4,2482 -4,0199 -3,8228 -3,6596 -3,5088 -3,3448 -3,1542 -2,9398 -2,7165 -2,5061 -2,3252 -2,1701 -2,0119 -1,8142 -1,5566 -1,2412 -0,8829 -0,5040 -0,1324 0,2082 0,5054 0,7502 0,9259 1,0122 1,0019 0,9103 0,7659 0,5930 0,4026 0,1968 -0,0209 -0,2368 -0,4295 -0,5786 -0,6725 -0,7080 -0,6884 -0,6258 -0,5411 -0,4528 -0,3673 -0,2844 -0,2093 -0,1511 -0,1154 -0,1029 -0,1120 -0,1424 -0,1977 -0,2826 -0,4013 -0,5559 -0,7437 -0,9544 -1,1704 -1,3699 -1,5282 -1,6224 -1,6390 -1,5790 -1,4608 -1,3212 -1,2055 -1,1501 -1,1750 -1,2876 -1,4800 -1,7190 -1,9514 -2,1244
F7    -0,8862 -0,9831 -1,1020 -1,2367 -1,3621 -1,4483 -1,4810 -1,4606 -1,3897 -1,2759 -1,1395 -1,0084 -0,9021 -0,8215 -0,7503 -0,6648 -0,5455 -0,3857 -0,1955 0,0024 0,1818 0,3194 0,4005 0,4236 0,3997 0,3490 0,2990 0,2800 0,3145 0,4094 0,5564 0,7379 0,9369 1,1398 1,3291 1,4777 1,5601 1,5648 1,4981 1,3741 1,2060 1,0057 0,7877 0,5718 0,3793 0,2183 0,0768 -0,0692 -0,2415 -0,4505 -0,6959 -0,9719 -1,2695 -1,5749 -1,8752 -2,1653 -2,4470 -2,7168 -2,9572 -3,1459 -3,2745 -3,3534 -3,3997 -3,4287 -3,4555 -3,4965 -3,5613 -3,6449 -3,7343 -3,8200 -3,9008 -3,9815 -4,0647 -4,1446 -4,2148 -4,2771 -4,3328 -4,3699 -4,3681 -4,3166 -4,2215 -4,0985 -3,9631 -3,8230 -3,6775 -3,5219 -3,3575 -3,1937 -3,0425 -2,9122 -2,8028 -2,7028 -2,5943 -2,4664 -2,3255 -2,1906 -2,0763 -1,9755 -1,8601 -1,7045 -1,5084 -1,2973 -1,1033 -0,9446 -0,8200 -0,7210 -0,6439 -0,5820 -0,5139 -0,4067 -0,2341 0,0067 0,2895 0,5699 0,8059 0,9762 1,0810 1,1305 1,1361 1,1038 1,0345 0,9330 0,8124 0,6850 0,5538 0,4179 0,2814 0,1575 0,0605 -0,0097 -0,0764 -0,1747 -0,3279 -0,5308 -0,7524 -0,9634 -1,1596 -1,3576 -1,5762 -1,8312 -2,1368 -2,4932 -2,8722 -3,2242 -3,5070 -3,7091 -3,8460 -3,9432 -4,0216 -4,0900 -4,1496 -4,2107 -4,2976 -4,4258 -4,5784 -4,7130 -4,7935 -4,8111 -4,7774 -4,7089 -4,6198 -4,5232 -4,4340 -4,3641 -4,3073 -4,2317 -4,0947 -3,8669 -3,5499 -3,1779 -2,8029 -2,4679 -2,1895 -1,9614 -1,7682 -1,5964 -1,4394 -1,3021 -1,1973 -1,1286 -1,0767 -1,0133 -0,9287 -0,8308 -0,7219 -0,5907 -0,4271 -0,2350 -0,0319 0,1596 0,3196 0,4360 0,5067 0,5366 0,5318 0,5017 0,4616 0,4209 0,3721 0,2978 0,1901 0,0640 -0,0467 -0,1127 -0,1342 -0,1427 -0,1790 -0,2719 -0,4302 -0,6417 -0,8772 -1,1062 -1,3145 -1,5043 -1,6811 -1,8448 -1,9932 -2,1350 -2,2958 -2,4997 -2,7439 -2,9940 -3,2042 -3,3457 -3,4155 -3,4264 -3,3951 -3,3392 -3,2774 -3,2217 -3,1669 -3,0987 -3,0142 -2,9239 -2,8358 -2,7491 -2,6589 -2,5577 -2,4378 -2,2974 -2,1439 -1,9947 -1,8720 -1,7902 -1,7441 -1,7115 -1,6693 -1,6127 -1,5604 -1,5337 -1,5303 -1,5245 -1,4931 -1,4348 -1,3680 -1,3132 -1,2761 -1,2453 -1,2078 -1,1601 -1,1029 -1,0331 -0,9487 -0,8553 -0,7654 -0,6935 -0,6478 -0,6261 -0,6198 -0,6145 -0,5909 -0,5308 -0,4230 -0,2608 -0,0413 0,2267 0,5183 0,7952 1,0139 1,1407 1,1610 1,0798 0,9162 0,6956 0,4427 0,1758 -0,0950 -0,3641 -0,6242 -0,8621 -1,0613 -1,2114 -1,3153 -1,3859 -1,4391 -1,4873 -1,5380 -1,5955 -1,6616 -1,7292 -1,7834 -1,8124 -1,8158 -1,7992 -1,7641 -1,7089 -1,6381 -1,5663 -1,5055 -1,4545 -1,4038 -1,3482 -1,2875 -1,2169 -1,1255 -1,0042 -0,8556 -0,6998 -0,5659 -0,4736 -0,4228 -0,4016 -0,4038 -0,4340 -0,4912 -0,5536 -0,5895 -0,5776 -0,5150 -0,4152 -0,3034 -0,2022 -0,1187 -0,0452 0,0284 0,1044 0,1753 0,2272 0,2441 0,2163 0,1487 0,0599 -0,0278 -0,0945 -0,1266 -0,1225 -0,0916 -0,0473 -0,0022 0,0375 0,0786 0,1342 0,2150 0,3249 0,4572 0,5909 0,6960 0,7419 0,7061 0,5878 0,4173 0,2458 0,1223 0,0719 0,0887 0,1423 0,1929 0,2063 0,1664 0,0795 -0,0283 -0,1274 -0,1999 -0,2429 -0,2632 -0,2740 -0,2954 -0,3505 -0,4519 -0,5883 -0,7259 -0,8294 -0,8823 -0,8947 -0,8974 -0,9290 -1,0155 -1,1533 -1,3137 -1,4658 -1,5907 -1,6811 -1,7379 -1,7713 -1,8002 -1,8461 -1,9258 -2,0459 -2,2033 -2,3914 -2,6004 -2,8109 -2,9959 -3,1336 -3,2245 -3,2894 -3,3493 -3,4102 -3,4664 -3,5135 -3,5520 -3,5806 -3,5942 -3,5900 -3,5707 -3,5441 -3,5213 -3,5135 -3,5280 -3,5676 -3,6346 -3,7315 -3,8521 -3,9721 -4,0599 -4,0983 -4,0949 -4,0753 -4,0683 -4,0878 -4,1264 -4,1632 -4,1797 -4,1672 -4,1226 -4,0407 -3,9225 -3,7902 -3,6830 -3,6352 -3,6597 -3,7430 -3,8524 -3,9515 -4,0138 -4,0246 -3,9811 -3,8939 -3,7877 -3,6904 -3,6214 -3,5890 -3,5984 -3,6554 -3,7621 -3,9112 -4,0860 -4,2634 -4,4203 -4,5397 -4,6169 -4,6582 -4,6767 -4,6871 -4,7026 -4,7305 -4,7668 -4,7982 -4,8128 -4,8090 -4,7948 -4,7833 -4,7926 -4,8391 -4,9223 -5,0158 -5,0777 -5,0758 -5,0093 -4,9079 -4,8074 -4,7273 -4,6685 -4,6233 -4,5814 -4,5317 -4,4724 -4,4194 -4,3970 -4,4201 -4,4867 -4,5843 -4,6933 -4,7842 -4,8246 -4,7966 -4,7095 -4,5953 -4,4939 -4,4336 -4,4250 -4,4693 -4,5602 -4,6775 -4,7927 -4,8884 -4,9686 -5,0496 -5,1428 -5,2449 -5,3434 -5,4308 -5,5089 -5,5855 -5,6671 -5,7553 -5,8476 -5,9395 -6,0282 -6,1153 -6,2052 -6,3033 -6,4155 -6,5449 -6,6877 -6,8348 -6,9781 -7,1167 -7,2562 -7,3979 -7,5326 -7,6443 -7,7150 -7,7255 -7,6619 -7,5276 -7,3455 -7,1439 -6,9441 -6,7600 -6,6016 -6,4710 -6,3550 -6,2298 -6,0786 -5,9024 -5,7136 -5,5251 -5,3438 -5,1668 -4,9844 -4,7925 -4,6001 -4,4240 -4,2740 -4,1485 -4,0464 -3,9714 -3,9226 -3,8902 -3,8630 -3,8345 -3,8037 -3,7736 -3,7511 -3,7417 -3,7434 -3,7512 -3,7635 -3,7790 -3,7880 -3,7784 -3,7488 -3,7071 -3,6589 -3,6043 -3,5442 -3,4825 -3,4253 -3,3817 -3,3667 -3,3997 -3,4939 -3,6477 -3,8464 -4,0680 -4,2855 -4,4682 -4,5891 -4,6348 -4,6115 -4,5419 -4,4527 -4,3651 -4,2980 -4,2742 -4,3097 -4,3950 -4,4966 -4,5773
