Fp1   -0,0037 0,2575 0,4872 0,6609 0,7700 0,8294 0,8678 0,9083 0,9560 1,0024 1,0376 1,0582 1,0640 1,0476 0,9959 0,9009 0,7634 0,5883 0,3869 0,1798 -0,0037 -0,1301 -0,1725 -0,1226 0,0073 0,1964 0,4255 0,6746 0,9204 1,1417 1,3243 1,4588 1,5275 1,5040 1,3751 1,1565 0,8810 0,5739 0,2355 -0,1494 -0,5870 -1,0679 -1,5812 -2,1216 -2,6787 -3,2214 -3,6954 -4,0477 -4,2553 -4,3266 -4,2786 -4,1208 -3,8563 -3,4926 -3,0542 -2,5813 -2,1203 -1,7164 -1,4055 -1,2024 -1,0954 -1,0521 -1,0268 -0,9744 -0,8740 -0,7334 -0,5657 -0,3710 -0,1402 0,1321 0,4347 0,7316 0,9712 1,1073 1,1204 1,0198 0,8264 0,5624 0,2567 -0,0482 -0,3048 -0,4881 -0,6222 -0,7686 -0,9788 -1,2576 -1,5666 -1,8566 -2,1040 -2,3264 -2,5638 -2,8403 -3,1380 -3,4019 -3,5681 -3,5973 -3,4989 -3,3248 -3,1294 -2,9287 -2,7045 -2,4459 -2,1748 -1,9324 -1,7431 -1,5983 -1,4765 -1,3740 -1,3098 -1,3078 -1,3826 -1,5414 -1,7917 -2,1374 -2,5594 -3,0047 -3,4033 -3,7004 -3,8773 -3,9467 -3,9346 -3,8679 -3,7676 -3,6381 -3,4583 -3,1878 -2,7933 -2,2781 -1,6846 -1,0761 -0,5199 -0,0663 0,2814 0,5747 0,8888 1,2825 1,7786 2,3698 3,0365 3,7601 4,5183 5,2718 5,9684 6,5619 7,0306 7,3712 7,5783 7,6421 7,5653 7,3696 7,0850 6,7380 6,3463 5,9168 5,4497 4,9604 4,4958 4,1153 3,8549 3,7178 3,6880 3,7366 3,8224 3,9040 3,9534 3,9556 3,9084 3,8338 3,7818 3,8083 3,9381 4,1383 4,3257 4,4054 4,3189 4,0692 3,7029 3,2650 2,7770 2,2517 1,7111 1,1872 0,7153 0,3186 -0,0125 -0,3201 -0,6531 -1,0514 -1,5432 -2,1349 -2,8019 -3,4941 -4,1510 -4,7220 -5,1834 -5,5428 -5,8281 -6,0721 -6,3014 -6,5322 -6,7772 -7,0485 -7,3493 -7,6740 -8,0126 -8,3386 -8,6022 -8,7484 -8,7433 -8,5825 -8,2842 -7,8741 -7,3789 -6,8356 -6,3041 -5,8601 -5,5625 -5,4197 -5,3817 -5,3645 -5,2864 -5,1047 -4,8408 -4,5676 -4,3694 -4,3058 -4,3933 -4,6069 -4,9050 -5,2474 -5,5961 -5,9177 -6,1901 -6,3959 -6,5119 -6,5158 -6,4077 -6,2172 -5,9864 -5,7526 -5,5516 -5,4191 -5,3715 -5,3873 -5,4143 -5,3937 -5,2782 -5,0381 -4,6684 -4,1996 -3,6949 -3,2173 -2,7998 -2,4552 -2,2061 -2,0898 -2,1387 -2,3525 -2,6820 -3,0464 -3,3697 -3,6086 -3,7635 -3,8706 -3,9698 -4,0688 -4,1377 -4,1334 -4,0208 -3,7861 -3,4487 -3,0602 -2,6821 -2,3572 -2,1010 -1,9207 -1,8234 -1,8069 -1,8531 -1,9285 -1,9903 -2,0025 -1,9550 -1,8696 -1,7834 -1,7142 -1,6435 -1,5282 -1,3314 -1,0485 -0,7098 -0,3498 0,0205 0,4043 0,7969 1,1836 1,5452 1,8705 2,1639 2,4307 2,6525 2,7915 2,8184 2,7321 2,5604 2,3488 2,1432 1,9832 1,9119 1,9779 2,2100 2,5875 3,0355 3,4518 3,7491 3,8861 3,8727 3,7470 3,5384 3,2500 2,8770 2,4401 1,9899 1,5851 1,2716 1,0703 0,9787 0,9766 1,0380 1,1477 1,3116 1,5392 1,8150 2,0968 2,3433 2,5398 2,6978 2,8356 2,9662 3,1046 3,2718 3,4713 3,6670 3,8097 3,8851 3,9138 3,9125 3,8766 3,7867 3,6136 3,3301 2,9276 2,4234 1,8625 1,3206 0,8899 0,6349 0,5572 0,6026 0,6938 0,7639 0,7771 0,7241 0,6046 0,4275 0,2268 0,0559 -0,0417 -0,0590 -0,0256 0,0118 0,0192 0,0029 0,0096 0,0980 0,3020 0,6121 0,9804 1,3352 1,6018 1,7245 1,6791 1,4734 1,1561 0,8203 0,5734 0,4905 0,5947 0,8712 1,2841 1,7791 2,2873 2,7374 3,0666 3,2354 3,2480 3,1537 3,0202 2,8994 2,8117 2,7527 2,7124 2,6912 2,6966 2,7248 2,7606 2,7990 2,8466 2,9021 2,9549 2,9993 3,0359 3,0660 3,0922 3,1164 3,1331 3,1221 3,0566 2,9267 2,7467 2,5372 2,3134 2,0945 1,9170 1,8324 1,8851 2,0867 2,4147 2,8323 3,3072 3,8073 4,2836 4,6703 4,9073 4,9626 4,8517 4,6322 4,3723 4,1324 3,9728 3,9507 4,0925 4,3738 4,7314 5,0936 5,4111 5,6738 5,9028 6,1219 6,3387 6,5533 6,7684 6,9818 7,1819 7,3609 7,5217 7,6677 7,7971 7,9108 8,0145 8,1118 8,1951 8,2414 8,2218 8,1256 7,9738 7,8104 7,6841 7,6312 7,6625 7,7600 7,8769 7,9545 7,9550 7,8809 7,7534 7,5712 7,3020 6,9152 6,4076 5,8012 5,1339 4,4479 3,7759 3,1367 2,5404 2,0007 1,5392 1,1739 0,9089 0,7370 0,6422 0,6049 0,6139 0,6699 0,7763 0,9333 1,1469 1,4384 1,8393 2,3750 3,0538 3,8676 4,8019 5,8405 6,9583 8,1215 9,3030 10,4928 11,6975 12,9281 14,1699 15,3615 16,4183 17,2791 17,9369 18,4296 18,8024 19,0765 19,2399 19,2533 19,0695 18,6629 18,0389 17,2296 16,2958 15,3170 14,3545 13,4247 12,5107 11,5923 10,6685 9,7582 8,8871 8,0730 7,3165 6,5968 5,8784 5,1320 4,3471 3,5329 2,7226 1,9807 1,3850 0,9845 0,7678 0,6693 0,6078 0,5306 0,4338 0,3589 0,3741 0,5443 0,9015 1,4332 2,0885 2,7943 3,4778 4,0829 4,5671 4,8976 5,0681 5,1073 5,0543 4,9320 4,7545 4,5407 4,2998 4,0113 3,6324 3,1375 2,5505 1,9348 1,3537 0,8371 0,3749 -0,0686 -0,5420 -1,0959 -1,7649 -2,5467 -3,4036 -4,2801 -5,1164 -5,8530 -6,4369 -6,8302 -7,0212 -7,0391 -6,9571 -6,8618 -6,8073 -6,7971 -6,7989 -6,7578 -6,6055 -6,2902 -5,8109 -5,2146 -4,5614
Fz    2,4170 2,4555 2,4052 2,2587 2,0273 1,7376 1,4232 1,1123 0,8148 0,5219 0,2195 -0,0983 -0,4264 -0,7551 -1,0730 -1,3633 -1,6021 -1,7668 -1,8458 -1,8427 -1,7681 -1,6251 -1,4047 -1,0961 -0,6981 -0,2190 0,3251 0,9058 1,4804 1,9996 2,4175 2,6977 2,8182 2,7704 2,5583 2,2016 1,7362 1,2060 0,6515 0,1007 -0,4335 -0,9503 -1,4553 -1,9494 -2,4222 -2,8485 -3,1914 -3,4177 -3,5151 -3,4941 -3,3759 -3,1810 -2,9265 -2,6293 -2,3104 -1,9939 -1,6984 -1,4364 -1,2123 -1,0154 -0,8182 -0,5911 -0,3187 -0,0104 0,2992 0,5688 0,7758 0,9258 1,0429 1,1560 1,2898 1,4558 1,6431 1,8187 1,9428 1,9863 1,9383 1,8041 1,6040 1,3736 1,1550 0,9769 0,8348 0,6978 0,5392 0,3584 0,1726 -0,0099 -0,2057 -0,4446 -0,7449 -1,0990 -1,4745 -1,8293 -2,1300 -2,3621 -2,5264 -2,6282 -2,6633 -2,6103 -2,4437 -2,1603 -1,7931 -1,3945 -1,0079 -0,6497 -0,3122 0,0174 0,3424 0,6537 0,9317 1,1501 1,2828 1,3147 1,2540 1,1320 0,9889 0,8583 0,7588 0,6960 0,6709 0,6840 0,7338 0,8182 0,9456 1,1393 1,4267 1,8242 2,3294 2,9199 3,5511 4,1657 4,7175 5,1955 5,6223 6,0357 6,4696 6,9438 7,4654 8,0353 8,6477 9,2828 9,9069 10,4854 10,9964 11,4304 11,7790 12,0301 12,1746 12,2121 12,1467 11,9865 11,7475 11,4532 11,1300 10,8093 10,5281 10,3196 10,2032 10,1833 10,2579 10,4201 10,6537 10,9327 11,2239 11,4940 11,7224 11,9109 12,0823 12,2671 12,4799 12,7045 12,8996 13,0192 13,0321 12,9327 12,7368 12,4645 12,1319 11,7552 11,3520 10,9321 10,4960 10,0442 9,5811 9,1153 8,6608 8,2317 7,8361 7,4766 7,1497 6,8425 6,5343 6,2021 5,8245 5,3830 4,8654 4,2695 3,6009 2,8673 2,0739 1,2254 0,3323 -0,5865 -1,5043 -2,3834 -3,1728 -3,8142 -4,2584 -4,4796 -4,4823 -4,2960 -3,9677 -3,5531 -3,1020 -2,6453 -2,1937 -1,7473 -1,3057 -0,8672 -0,4283 0,0062 0,4105 0,7432 0,9681 1,0734 1,0791 1,0326 0,9928 1,0069 1,0936 1,2424 1,4274 1,6256 1,8218 2,0032 2,1561 2,2710 2,3494 2,4036 2,4488 2,4917 2,5276 2,5449 2,5338 2,4964 2,4486 2,4141 2,4168 2,4719 2,5777 2,7191 2,8782 3,0366 3,1721 3,2603 3,2836 3,2373 3,1323 2,9923 2,8440 2,7046 2,5773 2,4571 2,3458 2,2650 2,2528 2,3490 2,5777 2,9320 3,3722 3,8391 4,2692 4,6092 4,8276 4,9226 4,9216 4,8719 4,8225 4,8084 4,8453 4,9291 5,0399 5,1511 5,2426 5,3125 5,3815 5,4861 5,6605 5,9181 6,2437 6,6012 6,9506 7,2620 7,5204 7,7234 7,8774 7,9983 8,1110 8,2373 8,3757 8,4977 8,5685 8,5704 8,5080 8,3975 8,2593 8,1194 8,0141 7,9838 8,0540 8,2205 8,4497 8,6893 8,8805 8,9738 8,9457 8,8031 8,5752 8,2979 8,0066 7,7339 7,5052 7,3328 7,2146 7,1366 7,0781 7,0213 6,9638 6,9231 6,9257 6,9870 7,0948 7,2108 7,2871 7,2909 7,2216 7,1131 7,0209 7,0029 7,1011 7,3238 7,6374 7,9846 8,3115 8,5758 8,7414 8,7823 8,6941 8,4937 8,2081 7,8638 7,4870 7,1094 6,7702 6,5081 6,3457 6,2788 6,2813 6,3181 6,3567 6,3727 6,3482 6,2682 6,1255 5,9300 5,7095 5,4973 5,3138 5,1571 5,0095 4,8574 4,7090 4,5912 4,5316 4,5413 4,6075 4,6975 4,7721 4,7973 4,7513 4,6272 4,4350 4,2045 3,9831 3,8218 3,7563 3,7997 3,9480 4,1827 4,4655 4,7430 4,9658 5,1067 5,1681 5,1792 5,1847 5,2258 5,3229 5,4718 5,6532 5,8447 6,0315 6,2082 6,3723 6,5202 6,6511 6,7668 6,8669 6,9494 7,0141 7,0574 7,0685 7,0341 6,9451 6,7988 6,5977 6,3511 6,0812 5,8200 5,5932 5,4117 5,2740 5,1750 5,1145 5,1028 5,1593 5,3033 5,5432 5,8711 6,2567 6,6464 6,9781 7,2037 7,3036 7,2912 7,2024 7,0742 6,9332 6,8020 6,7076 6,6763 6,7227 6,8451 7,0313 7,2666 7,5367 7,8277 8,1255 8,4143 8,6801 8,9172 9,1269 9,3148 9,4885 9,6535 9,8089 9,9515 10,0829 10,2111 10,3452 10,4870 10,6269 10,7477 10,8369 10,8951 10,9348 10,9715 11,0098 11,0339 11,0088 10,8935 10,6610 10,3162 9,8978 9,4615 9,0526 8,6876 8,3568 8,0379 7,7088 7,3541 6,9625 6,5240 6,0385 5,5269 5,0306 4,5983 4,2779 4,1113 4,1195 4,2873 4,5681 4,9109 5,2821 5,6677 6,0652 6,4816 6,9403 7,4811 8,1424 8,9425 9,8793 10,9380 12,0950 13,3182 14,5704 15,8170 17,0346 18,2104 19,3327 20,3780 21,3065 22,0724 22,6422 23,0058 23,1755 23,1781 23,0481 22,8205 22,5179 22,1435 21,6902 21,1550 20,5450 19,8813 19,1989 18,5348 17,9166 17,3593 16,8657 16,4264 16,0220 15,6322 15,2460 14,8601 14,4668 14,0490 13,5934 13,0995 12,5724 12,0188 11,4568 10,9189 10,4392 10,0414 9,7345 9,5145 9,3703 9,2956 9,2959 9,3808 9,5443 9,7503 9,9416 10,0612 10,0698 9,9569 9,7440 9,4714 9,1766 8,8809 8,5870 8,2825 7,9497 7,5804 7,1815 6,7643 6,3244 5,8358 5,2680 4,6125 3,8936 3,1595 2,4601 1,8270 1,2682 0,7688 0,2932 -0,2033 -0,7547 -1,3732 -2,0489 -2,7516 -3,4356 -4,0503 -4,5541 -4,9260 -5,1693 -5,3084 -5,3768 -5,3960 -5,3648 -5,2621 -5,0523 -4,6978 -4,1831 -3,5315 -2,7899 -2,0012
F3    2,3494 2,4602 2,5134 2,4927 2,3972 2,2411 2,0470 1,8334 1,6030 1,3431 1,0388 0,6880 0,3060 -0,0824 -0,4514 -0,7754 -1,0295 -1,1945 -1,2643 -1,2471 -1,1604 -1,0176 -0,8209 -0,5661 -0,2529 0,1132 0,5207 0,9491 1,3653 1,7304 2,0081 2,1712 2,2050 2,1050 1,8746 1,5285 1,0976 0,6236 0,1419 -0,3332 -0,8079 -1,2992 -1,8237 -2,3892 -2,9865 -3,5843 -4,1322 -4,5778 -4,8892 -5,0614 -5,1068 -5,0413 -4,8785 -4,6334 -4,3306 -4,0026 -3,6830 -3,4007 -3,1735 -2,9980 -2,8492 -2,6915 -2,4934 -2,2385 -1,9335 -1,6005 -1,2592 -0,9181 -0,5776 -0,2357 0,1084 0,4473 0,7564 0,9954 1,1229 1,1148 0,9683 0,6955 0,3208 -0,1143 -0,5558 -0,9558 -1,2932 -1,5743 -1,8119 -2,0086 -2,1624 -2,2861 -2,4153 -2,5928 -2,8429 -3,1554 -3,4884 -3,7874 -4,0090 -4,1350 -4,1739 -4,1470 -4,0669 -3,9235 -3,6957 -3,3821 -3,0142 -2,6399 -2,2963 -1,9944 -1,7270 -1,4891 -1,2879 -1,1384 -1,0558 -1,0524 -1,1389 -1,3190 -1,5788 -1,8812 -2,1783 -2,4307 -2,6197 -2,7458 -2,8142 -2,8266 -2,7854 -2,6959 -2,5565 -2,3529 -2,0665 -1,6872 -1,2188 -0,6785 -0,0987 0,4811 1,0336 1,5598 2,0847 2,6389 3,2419 3,8927 4,5756 5,2741 5,9769 6,6677 7,3190 7,9003 8,3918 8,7850 9,0726 9,2442 9,2953 9,2335 9,0722 8,8252 8,5071 8,1352 7,7280 7,3119 6,9246 6,6050 6,3772 6,2468 6,2102 6,2567 6,3648 6,5045 6,6423 6,7462 6,7982 6,8040 6,7932 6,8042 6,8617 6,9592 7,0602 7,1160 7,0912 6,9821 6,8093 6,5930 6,3383 6,0414 5,6986 5,3065 4,8628 4,3726 3,8485 3,3093 2,7778 2,2722 1,7966 1,3448 0,9108 0,4918 0,0863 -0,3077 -0,6921 -1,0716 -1,4551 -1,8549 -2,2851 -2,7586 -3,2859 -3,8710 -4,5073 -5,1750 -5,8443 -6,4764 -7,0200 -7,4152 -7,6108 -7,5844 -7,3470 -6,9357 -6,4051 -5,8189 -5,2357 -4,6942 -4,2059 -3,7634 -3,3498 -2,9448 -2,5297 -2,1028 -1,6927 -1,3510 -1,1270 -1,0446 -1,0943 -1,2379 -1,4223 -1,5993 -1,7389 -1,8310 -1,8743 -1,8638 -1,7937 -1,6709 -1,5210 -1,3778 -1,2664 -1,1935 -1,1509 -1,1244 -1,1003 -1,0688 -1,0230 -0,9555 -0,8596 -0,7315 -0,5727 -0,3926 -0,2061 -0,0239 0,1535 0,3288 0,4931 0,6220 0,6874 0,6728 0,5828 0,4410 0,2782 0,1158 -0,0421 -0,2007 -0,3519 -0,4630 -0,4859 -0,3771 -0,1152 0,2885 0,7908 1,3293 1,8391 2,2670 2,5807 2,7721 2,8560 2,8644 2,8306 2,7786 2,7222 2,6691 2,6224 2,5786 2,5299 2,4732 2,4222 2,4058 2,4526 2,5748 2,7631 2,9942 3,2442 3,4983 3,7532 4,0128 4,2784 4,5460 4,8122 5,0732 5,3146 5,5066 5,6180 5,6336 5,5597 5,4156 5,2256 5,0191 4,8336 4,7125 4,6876 4,7608 4,9007 5,0575 5,1804 5,2340 5,2080 5,1139 4,9718 4,7982 4,6038 4,3978 4,1933 4,0092 3,8661 3,7732 3,7195 3,6804 3,6362 3,5856 3,5453 3,5374 3,5705 3,6282 3,6767 3,6858 3,6450 3,5679 3,4863 3,4398 3,4617 3,5620 3,7209 3,9024 4,0741 4,2096 4,2818 4,2635 4,1364 3,8982 3,5651 3,1677 2,7433 2,3318 1,9755 1,7138 1,5658 1,5212 1,5454 1,5955 1,6360 1,6459 1,6138 1,5321 1,4001 1,2313 1,0538 0,8961 0,7701 0,6664 0,5629 0,4435 0,3145 0,2038 0,1443 0,1549 0,2299 0,3379 0,4328 0,4704 0,4222 0,2800 0,0554 -0,2192 -0,4898 -0,6944 -0,7860 -0,7451 -0,5784 -0,3152 -0,0063 0,2874 0,5146 0,6485 0,6917 0,6730 0,6336 0,6079 0,6105 0,6375 0,6740 0,7039 0,7198 0,7253 0,7270 0,7292 0,7394 0,7687 0,8224 0,8982 0,9874 1,0758 1,1479 1,1917 1,1980 1,1595 1,0715 0,9376 0,7776 0,6248 0,5085 0,4423 0,4244 0,4468 0,5059 0,6077 0,7650 0,9880 1,2735 1,6019 1,9375 2,2338 2,4466 2,5459 2,5239 2,4005 2,2172 2,0176 1,8340 1,6915 1,6171 1,6347 1,7525 1,9586 2,2290 2,5377 2,8617 3,1824 3,4848 3,7562 3,9902 4,1948 4,3914 4,6057 4,8564 5,1463 5,4579 5,7639 6,0438 6,2928 6,5179 6,7245 6,9066 7,0507 7,1495 7,2093 7,2462 7,2772 7,3088 7,3296 7,3137 7,2305 7,0570 6,7929 6,4685 6,1322 5,8200 5,5364 5,2607 4,9621 4,6139 4,2051 3,7392 3,2253 2,6761 2,1149 1,5765 1,1014 0,7303 0,4982 0,4219 0,4878 0,6577 0,8908 1,1584 1,4433 1,7341 2,0316 2,3601 2,7662 3,2960 3,9737 4,8008 5,7651 6,8444 8,0077 9,2173 10,4360 11,6355 12,7994 13,9197 14,9835 15,9624 16,8163 17,5082 18,0146 18,3264 18,4472 18,3966 18,2075 17,9108 17,5232 17,0523 16,5065 15,8966 15,2398 14,5596 13,8773 13,2062 12,5552 11,9331 11,3465 10,7929 10,2615 9,7417 9,2264 8,7054 8,1642 7,5938 6,9989 6,3924 5,7927 5,2286 4,7341 4,3308 4,0179 3,7800 3,5991 3,4618 3,3619 3,3043 3,3015 3,3585 3,4595 3,5726 3,6643 3,7084 3,6935 3,6284 3,5342 3,4269 3,3100 3,1768 3,0127 2,7986 2,5220 2,1871 1,8077 1,3886 0,9198 0,3921 -0,1843 -0,7795 -1,3592 -1,8991 -2,3885 -2,8262 -3,2238 -3,6102 -4,0216 -4,4794 -4,9796 -5,4974 -5,9964 -6,4378 -6,7904 -7,0362 -7,1728 -7,2152 -7,1966 -7,1592 -7,1300 -7,1035 -7,0469 -6,9182 -6,6827 -6,3284 -5,8739 -5,3543 -4,7979
F7    2,4197 2,5509 2,5971 2,5617 2,4572 2,3013 2,1156 1,9194 1,7215 1,5202 1,3112 1,0958 0,8814 0,6775 0,4917 0,3319 0,2069 0,1257 0,0906 0,0905 0,1073 0,1336 0,1794 0,2591 0,3767 0,5250 0,6940 0,8702 1,0356 1,1725 1,2654 1,2988 1,2593 1,1356 0,9169 0,5960 0,1808 -0,3013 -0,8139 -1,3276 -1,8284 -2,3146 -2,7908 -3,2592 -3,7115 -4,1261 -4,4726 -4,7246 -4,8730 -4,9304 -4,9220 -4,8703 -4,7834 -4,6567 -4,4850 -4,2741 -4,0435 -3,8211 -3,6316 -3,4804 -3,3472 -3,1971 -2,9996 -2,7445 -2,4465 -2,1329 -1,8226 -1,5222 -1,2331 -0,9557 -0,6903 -0,4403 -0,2195 -0,0536 0,0282 0,0042 -0,1352 -0,3893 -0,7468 -1,1827 -1,6573 -2,1266 -2,5626 -2,9620 -3,3315 -3,6707 -3,9712 -4,2303 -4,4573 -4,6657 -4,8601 -5,0317 -5,1591 -5,2162 -5,1862 -5,0771 -4,9221 -4,7596 -4,6041 -4,4323 -4,2042 -3,9029 -3,5529 -3,2043 -2,9053 -2,6828 -2,5409 -2,4717 -2,4662 -2,5159 -2,6150 -2,7626 -2,9632 -3,2182 -3,5129 -3,8138 -4,0831 -4,2962 -4,4479 -4,5476 -4,6066 -4,6291 -4,6153 -4,5657 -4,4760 -4,3327 -4,1176 -3,8149 -3,4153 -2,9209 -2,3509 -1,7401 -1,1234 -0,5185 0,0784 0,6820 1,3007 1,9238 2,5271 3,0930 3,6192 4,1084 4,5548 4,9442 5,2646 5,5100 5,6753 5,7532 5,7412 5,6463 5,4802 5,2571 4,9942 4,7094 4,4176 4,1368 3,8948 3,7195 3,6203 3,5847 3,5918 3,6228 3,6613 3,6935 3,7052 3,6766 3,5876 3,4342 3,2391 3,0437 2,8840 2,7705 2,6869 2,6034 2,4930 2,3429 2,1508 1,9112 1,6124 1,2465 0,8150 0,3229 -0,2251 -0,8192 -1,4407 -2,0638 -2,6597 -3,2104 -3,7190 -4,2060 -4,6927 -5,1879 -5,6823 -6,1531 -6,5743 -6,9295 -7,2158 -7,4429 -7,6325 -7,8139 -8,0157 -8,2589 -8,5538 -8,8965 -9,2689 -9,6390 -9,9606 -10,1760 -10,2317 -10,0991 -9,7847 -9,3235 -8,7668 -8,1734 -7,6002 -7,0891 -6,6562 -6,2909 -5,9668 -5,6549 -5,3341 -5,0019 -4,6827 -4,4193 -4,2472 -4,1739 -4,1770 -4,2162 -4,2547 -4,2738 -4,2752 -4,2697 -4,2613 -4,2370 -4,1751 -4,0627 -3,9039 -3,7142 -3,5106 -3,3044 -3,0999 -2,8965 -2,6909 -2,4802 -2,2671 -2,0594 -1,8644 -1,6835 -1,5119 -1,3433 -1,1725 -0,9944 -0,8071 -0,6191 -0,4516 -0,3310 -0,2782 -0,3018 -0,3954 -0,5384 -0,7039 -0,8698 -1,0271 -1,1732 -1,2966 -1,3722 -1,3734 -1,2814 -1,0918 -0,8172 -0,4835 -0,1208 0,2407 0,5696 0,8382 1,0310 1,1501 1,2102 1,2280 1,2142 1,1763 1,1209 1,0529 0,9736 0,8803 0,7748 0,6761 0,6212 0,6454 0,7612 0,9511 1,1779 1,4056 1,6158 1,8069 1,9787 2,1226 2,2284 2,2972 2,3371 2,3522 2,3381 2,2907 2,2136 2,1170 2,0094 1,8961 1,7845 1,6876 1,6239 1,6102 1,6513 1,7338 1,8283 1,8976 1,9085 1,8459 1,7164 1,5416 1,3482 1,1614 1,0018 0,8831 0,8127 0,7923 0,8144 0,8580 0,8936 0,9012 0,8844 0,8679 0,8796 0,9285 0,9946 1,0406 1,0360 0,9743 0,8733 0,7641 0,6808 0,6522 0,6908 0,7843 0,9044 1,0238 1,1169 1,1528 1,0986 0,9306 0,6417 0,2438 -0,2333 -0,7440 -1,2348 -1,6558 -1,9742 -2,1822 -2,2958 -2,3434 -2,3552 -2,3566 -2,3640 -2,3863 -2,4285 -2,4886 -2,5519 -2,5918 -2,5829 -2,5191 -2,4192 -2,3183 -2,2497 -2,2249 -2,2279 -2,2272 -2,1935 -2,1139 -2,0004 -1,8836 -1,7941 -1,7479 -1,7501 -1,8016 -1,8937 -1,9988 -2,0746 -2,0845 -2,0153 -1,8782 -1,6998 -1,5146 -1,3567 -1,2536 -1,2221 -1,2617 -1,3520 -1,4602 -1,5580 -1,6347 -1,6938 -1,7407 -1,7736 -1,7873 -1,7805 -1,7629 -1,7520 -1,7614 -1,7932 -1,8380 -1,8758 -1,8846 -1,8552 -1,7952 -1,7191 -1,6382 -1,5586 -1,4843 -1,4167 -1,3491 -1,2677 -1,1619 -1,0319 -0,8870 -0,7371 -0,5855 -0,4280 -0,2557 -0,0614 0,1541 0,3790 0,5896 0,7548 0,8469 0,8539 0,7862 0,6757 0,5615 0,4724 0,4212 0,4149 0,4641 0,5803 0,7679 1,0191 1,3161 1,6374 1,9612 2,2659 2,5288 2,7281 2,8521 2,9102 2,9322 2,9586 3,0276 3,1616 3,3574 3,5922 3,8397 4,0810 4,3032 4,4932 4,6351 4,7155 4,7328 4,6979 4,6325 4,5674 4,5349 4,5535 4,6171 4,6944 4,7437 4,7342 4,6600 4,5357 4,3790 4,1956 3,9794 3,7205 3,4148 3,0663 2,6803 2,2557 1,7922 1,2997 0,7977 0,3096 -0,1327 -0,4890 -0,7260 -0,8348 -0,8307 -0,7370 -0,5723 -0,3497 -0,0778 0,2458 0,6392 1,1276 1,7235 2,4169 3,1827 3,9966 4,8453 5,7275 6,6470 7,6048 8,5934 9,5968 10,5951 11,5658 12,4802 13,3050 14,0088 14,5695 14,9752 15,2233 15,3209 15,2825 15,1182 14,8251 14,3980 13,8463 13,1981 12,4912 11,7634 11,0430 10,3448 9,6732 9,0287 8,4119 7,8216 7,2506 6,6882 6,1227 5,5436 4,9429 4,3227 3,6998 3,0995 2,5479 2,0702 1,6848 1,3944 1,1873 1,0480 0,9635 0,9242 0,9240 0,9634 1,0493 1,1879 1,3758 1,6011 1,8505 2,1083 2,3541 2,5687 2,7413 2,8696 2,9545 2,9966 2,9917 2,9249 2,7755 2,5305 2,1942 1,7832 1,3147 0,8045 0,2730 -0,2520 -0,7415 -1,1754 -1,5487 -1,8713 -2,1651 -2,4624 -2,7982 -3,1936 -3,6451 -4,1261 -4,5947 -5,0066 -5,3314 -5,5601 -5,7012 -5,7745 -5,8080 -5,8322 -5,8665 -5,9074 -5,9326 -5,9099 -5,8040 -5,5896 -5,2655 -4,8517 -4,3757
