Fp1   1,9618 1,0356 0,4232 0,0981 0,0076 0,0733 0,1963 0,2770 0,2329 0,0057 -0,4337 -1,0647 -1,8019 -2,5194 -3,1017 -3,4728 -3,6031 -3,5191 -3,3124 -3,0974 -2,9207 -2,7170 -2,3660 -1,7840 -0,9670 0,0164 1,0475 1,9897 2,7419 3,2741 3,6057 3,7685 3,7949 3,7183 3,5694 3,3671 3,1067 2,7646 2,3327 1,8590 1,4277 1,0770 0,7471 0,3221 -0,2765 -1,0221 -1,8034 -2,5062 -3,0699 -3,4828 -3,7454 -3,8435 -3,7696 -3,5812 -3,4160 -3,4250 -3,6842 -4,1527 -4,6890 -5,1055 -5,2574 -5,1207 -4,7959 -4,4345 -4,1577 -4,0170 -3,9872 -3,9736 -3,8580 -3,5807 -3,1757 -2,7211 -2,2762 -1,8612 -1,4768 -1,1286 -0,8345 -0,6115 -0,4609 -0,3671 -0,3188 -0,3268 -0,4128 -0,5734 -0,7561 -0,8774 -0,8788 -0,7778 -0,6752 -0,6989 -0,9140 -1,2701 -1,6362 -1,8870 -1,9586 -1,8472 -1,5875 -1,2494 -0,9303 -0,7130 -0,6281 -0,6555 -0,7498 -0,8694 -0,9852 -1,0650 -1,0631 -0,9228 -0,5899 -0,0556 0,5943 1,2058 1,6512 1,9005 2,0174 2,1013 2,2344 2,4559 2,7456 3,0290 3,2143 3,2341 3,0708 2,7608 2,3805 2,0311 1,8194 1,8169 2,0253 2,3782 2,7830 3,1827 3,5898 4,0572 4,6261 5,2922 5,9889 6,6013 7,0238 7,2192 7,2303 7,1458 7,0617 7,0586 7,1731 7,3834 7,6444 7,9164 8,1454 8,2535 8,1706 7,8754 7,4185 6,8888 6,3397 5,7607 5,1137 4,3786 3,5752 2,7707 2,0888 1,6871 1,6846 2,0900 2,7880 3,5813 4,2485 4,5920 4,4746 3,8569 2,8168 1,5217 0,1651 -1,0840 -2,0969 -2,7887 -3,1387 -3,2087 -3,1232 -3,0269 -3,0444 -3,2518 -3,6605 -4,2111 -4,7878 -5,2727 -5,6021 -5,7850 -5,8796 -5,9367 -5,9505 -5,8635 -5,6153 -5,1750 -4,5460 -3,7786 -2,9696 -2,2200 -1,5877 -1,0784 -0,6710 -0,3623 -0,1951 -0,2386 -0,5189 -0,9639 -1,4384 -1,8308 -2,0968 -2,2474 -2,3258 -2,3919 -2,5002 -2,6621 -2,8369 -2,9783 -3,0661 -3,0712 -2,9263 -2,5705 -2,0220 -1,4034 -0,9036 -0,6941 -0,8356 -1,2449 -1,7522 -2,1963 -2,5011 -2,7038 -2,9161 -3,2359 -3,6643 -4,0984 -4,4170 -4,5731 -4,5980 -4,5440 -4,4508 -4,3566 -4,3034 -4,3192 -4,4046 -4,5355 -4,6690 -4,7585 -4,7736 -4,7183 -4,6444 -4,6454 -4,8076 -5,1431 -5,5759 -5,9999 -6,3296 -6,5031 -6,4796 -6,2500 -5,8512 -5,3713 -4,9114 -4,5399 -4,2993 -4,2236 -4,3172 -4,5328 -4,7926 -5,0365 -5,2509 -5,4532 -5,6549 -5,8408 -5,9769 -6,0380 -6,0275 -5,9673 -5,8682 -5,7102 -5,4561 -5,0908 -4,6520 -4,2250 -3,8995 -3,7103 -3,6117 -3,5140 -3,3416 -3,0644 -2,7036 -2,3189 -1,9774 -1,7238 -1,5799 -1,5640 -1,6975 -1,9927 -2,4427 -3,0222 -3,6895 -4,3702 -4,9503 -5,3196 -5,4450 -5,3993 -5,3169 -5,3156 -5,4338 -5,6214 -5,7998 -5,9263 -5,9957 -6,0109 -5,9753 -5,9006 -5,7999 -5,6662 -5,4634 -5,1576 -4,7639 -4,3565 -4,0382 -3,8956 -3,9605 -4,2004 -4,5423 -4,9108 -5,2569 -5,5581 -5,7930 -5,9300 -5,9467 -5,8540 -5,6954 -5,5117 -5,3036 -5,0471 -4,7521 -4,4782 -4,2853 -4,1841 -4,1338 -4,0755 -3,9857 -3,9256 -4,0331 -4,4306 -5,1309 -6,0454 -7,0649 -8,1095 -9,1158 -10,0051 -10,6815 -11,0768 -11,2016 -11,1397 -10,9733 -10,7143 -10,3032 -9,6722 -8,8176 -7,8136 -6,7615 -5,7315 -4,7498 -3,8305 -3,0143 -2,3801 -2,0283 -2,0355 -2,4005 -3,0255 -3,7442 -4,3660 -4,7260 -4,7374 -4,4292 -3,9526 -3,5316 -3,3605 -3,5113 -3,9239 -4,4697 -5,0371 -5,5793 -6,1102 -6,6728 -7,3047 -8,0104 -8,7490 -9,4409 -9,9959 -10,3595 -10,5502 -10,6475 -10,7240 -10,7750 -10,7114 -10,4145 -9,8112 -8,9357 -7,9329 -6,9834 -6,2188 -5,6944 -5,3925 -5,2259 -5,0743 -4,8561 -4,5855 -4,3615 -4,2886 -4,4083 -4,6911 -5,0640 -5,4436 -5,7562 -5,9457 -5,9865 -5,9063 -5,7863 -5,7283 -5,8173 -6,0848 -6,4728 -6,8321 -6,9814 -6,7867 -6,2277 -5,4203 -4,5557 -3,7904 -3,1936 -2,7800 -2,5489 -2,4781 -2,5116 -2,5798 -2,6311 -2,6389 -2,5831 -2,4519 -2,2698 -2,0948 -1,9819 -1,9519 -1,9868 -2,0545 -2,1418 -2,2678 -2,4701 -2,7726 -3,1553 -3,5428 -3,8315 -3,9573 -3,9481 -3,9091 -3,9535 -4,1299 -4,3980 -4,6646 -4,8508 -4,9277 -4,8890 -4,7164 -4,3838 -3,8867 -3,2749 -2,6628 -2,1932 -1,9745 -2,0348 -2,3201 -2,7267 -3,1369 -3,4344 -3,5126 -3,3031 -2,8213 -2,1881 -1,6139 -1,3363 -1,5149 -2,1412 -3,0501 -4,0267 -4,8995 -5,5576 -5,9455 -6,0756 -6,0318 -5,9352 -5,8788 -5,8797 -5,8880 -5,8273 -5,6322 -5,2629 -4,7052 -3,9743 -3,1324 -2,3039 -1,6462 -1,2834 -1,2606 -1,5363 -2,0070 -2,5577 -3,0860 -3,4848 -3,6465 -3,5081 -3,0803 -2,4332 -1,6660 -0,8947 -0,2379 0,2234 0,4833 0,5976 0,6439 0,7041 0,8498 1,1043 1,4234 1,7261 1,9263 1,9464 1,7518 1,3827 0,9186 0,4015 -0,1963 -0,9408 -1,8723 -2,9317 -3,9334 -4,6329 -4,8460 -4,5193 -3,7293 -2,6438 -1,4739 -0,4205 0,3762 0,8700 1,1101 1,2104 1,2916 1,4213 1,5927 1,7489 1,8389 1,8753 1,9334 2,0820 2,3205 2,5740 2,7372 2,7411 2,5887 2,3240 1,9780 1,5560 1,0689 0,5605 0,0896 -0,3226 -0,7168 -1,1571 -1,6678 -2,2032 -2,6698 -2,9850 -3,1160 -3,0664 -2,8675 -2,6008 -2,3772 -2,2639 -2,2472 -2,2806 -2,3541 -2,4995 -2,7441 -3,0836 -3,4756 -3,8451 -4,1079 -4,2025 -4,1176 -3,8861 -3,5363 -3,0698 -2,4939 -1,8447 -1,1795 -0,5643 -0,0640
Fz    0,7257 0,3659 0,2303 0,3128 0,5733 0,9394 1,3209 1,6263 1,7727 1,6995 1,3908 0,8925 0,2988 -0,2920 -0,8177 -1,2575 -1,6170 -1,9198 -2,2032 -2,4920 -2,7588 -2,9185 -2,8723 -2,5626 -1,9984 -1,2480 -0,4152 0,3897 1,0788 1,6011 1,9345 2,0768 2,0476 1,8855 1,6404 1,3633 1,0891 0,8275 0,5778 0,3518 0,1770 0,0693 0,0100 -0,0498 -0,1582 -0,3297 -0,5396 -0,7508 -0,9441 -1,1237 -1,3015 -1,4751 -1,6308 -1,7666 -1,9026 -2,0654 -2,2666 -2,4889 -2,6761 -2,7422 -2,6171 -2,2967 -1,8498 -1,3769 -0,9674 -0,6799 -0,5336 -0,5037 -0,5419 -0,6139 -0,7056 -0,7985 -0,8556 -0,8385 -0,7288 -0,5357 -0,2893 -0,0308 0,1961 0,3550 0,4236 0,3985 0,3011 0,1781 0,0923 0,1034 0,2393 0,4732 0,7280 0,9123 0,9734 0,9326 0,8667 0,8521 0,9240 1,0685 1,2299 1,3242 1,2678 1,0186 0,5980 0,0803 -0,4381 -0,8711 -1,1586 -1,2629 -1,1627 -0,8505 -0,3364 0,3387 1,0898 1,8072 2,4041 2,8508 3,1677 3,3915 3,5531 3,6692 3,7316 3,7101 3,5753 3,3149 2,9356 2,4614 1,9391 1,4435 1,0637 0,8640 0,8530 0,9865 1,1985 1,4472 1,7402 2,1102 2,5701 3,0924 3,6181 4,0792 4,4252 4,6427 4,7538 4,8007 4,8335 4,9074 5,0709 5,3450 5,7226 6,1750 6,6477 7,0660 7,3577 7,4749 7,4075 7,1747 6,8071 6,3467 5,8564 5,4100 5,0651 4,8494 4,7762 4,8627 5,1261 5,5550 6,0822 6,5861 6,9223 6,9653 6,6503 6,0071 5,1572 4,2634 3,4696 2,8691 2,5028 2,3704 2,4378 2,6473 2,9378 3,2591 3,5701 3,8318 4,0071 4,0718 4,0229 3,8713 3,6318 3,3196 2,9560 2,5869 2,2952 2,1803 2,3126 2,7031 3,3040 4,0225 4,7473 5,3835 5,8733 6,1946 6,3530 6,3626 6,2271 5,9437 5,5351 5,0733 4,6549 4,3477 4,1632 4,0694 4,0190 3,9687 3,8919 3,7913 3,6969 3,6337 3,5918 3,5394 3,4541 3,3341 3,1845 2,9968 2,7369 2,3656 1,8877 1,3745 0,9284 0,6267 0,4862 0,4555 0,4409 0,3574 0,1799 -0,0492 -0,2660 -0,4345 -0,5481 -0,6007 -0,5843 -0,5080 -0,4003 -0,2920 -0,2037 -0,1402 -0,0919 -0,0474 -0,0058 0,0173 -0,0119 -0,1374 -0,3905 -0,7646 -1,2147 -1,6856 -2,1327 -2,5192 -2,8099 -2,9756 -3,0069 -2,9281 -2,7857 -2,6258 -2,4895 -2,4141 -2,4193 -2,4934 -2,5962 -2,6811 -2,7175 -2,6914 -2,5886 -2,3849 -2,0605 -1,6216 -1,1068 -0,5723 -0,0711 0,3601 0,7035 0,9487 1,0816 1,0833 0,9439 0,6856 0,3738 0,0996 -0,0528 -0,0382 0,1280 0,3709 0,5884 0,6971 0,6569 0,4633 0,1280 -0,3296 -0,8771 -1,4687 -2,0490 -2,5523 -2,9055 -3,0545 -3,0021 -2,8153 -2,5881 -2,3887 -2,2307 -2,0874 -1,9320 -1,7618 -1,5827 -1,3839 -1,1410 -0,8425 -0,5022 -0,1396 0,2367 0,6134 0,9487 1,1776 1,2399 1,1098 0,8150 0,4334 0,0684 -0,1864 -0,2803 -0,2186 -0,0453 0,1814 0,4029 0,5694 0,6489 0,6393 0,5789 0,5272 0,5213 0,5532 0,5936 0,6289 0,6720 0,7446 0,8481 0,9441 0,9640 0,8599 0,6457 0,3790 0,1105 -0,1479 -0,4098 -0,6765 -0,9193 -1,1051 -1,2336 -1,3388 -1,4441 -1,5180 -1,4849 -1,2848 -0,9226 -0,4613 0,0253 0,4879 0,9030 1,2543 1,5188 1,6653 1,6652 1,5100 1,2255 0,8676 0,5082 0,2221 0,0659 0,0538 0,1479 0,2654 0,3051 0,1937 -0,0737 -0,4352 -0,8037 -1,1179 -1,3686 -1,5890 -1,8256 -2,1110 -2,4519 -2,8323 -3,2226 -3,5889 -3,9044 -4,1604 -4,3695 -4,5496 -4,6959 -4,7696 -4,7143 -4,4831 -4,0659 -3,5006 -2,8508 -2,1750 -1,5188 -0,9203 -0,4059 0,0167 0,3498 0,5857 0,7006 0,6747 0,5114 0,2396 -0,0977 -0,4631 -0,8336 -1,1905 -1,5140 -1,7949 -2,0437 -2,2829 -2,5282 -2,7702 -2,9625 -3,0277 -2,8851 -2,4846 -1,8387 -1,0400 -0,2274 0,4880 1,0672 1,5229 1,8799 2,1618 2,3946 2,6027 2,8024 3,0009 3,2003 3,3906 3,5376 3,5914 3,5145 3,3026 2,9879 2,6232 2,2555 1,9045 1,5590 1,1986 0,8265 0,4865 0,2453 0,1477 0,1790 0,2713 0,3475 0,3685 0,3502 0,3447 0,4018 0,5422 0,7619 1,0459 1,3692 1,6941 1,9734 2,1629 2,2429 2,2294 2,1673 2,1196 2,1544 2,3261 2,6610 3,1539 3,7608 4,3853 4,8812 5,0830 4,8569 4,1582 3,0650 1,7563 0,4368 -0,7381 -1,6870 -2,3910 -2,8758 -3,1925 -3,3909 -3,4916 -3,4790 -3,3171 -2,9766 -2,4552 -1,7789 -0,9936 -0,1615 0,6382 1,3141 1,7824 1,9971 1,9673 1,7568 1,4612 1,1672 0,9312 0,7957 0,8020 0,9756 1,3099 1,7721 2,3157 2,8828 3,4072 3,8341 4,1379 4,3176 4,3829 4,3541 4,2649 4,1482 4,0201 3,8795 3,7151 3,5102 3,2609 2,9975 2,7724 2,6150 2,4994 2,3497 2,0838 1,6702 1,1594 0,6615 0,2891 0,1152 0,1668 0,4363 0,8866 1,4516 2,0475 2,5986 3,0649 3,4482 3,7669 4,0257 4,2076 4,2906 4,2796 4,2338 4,2514 4,4033 4,6752 4,9704 5,1687 5,1932 5,0354 4,7300 4,3202 3,8415 3,3233 2,7942 2,2798 1,7861 1,2917 0,7683 0,2150 -0,3213 -0,7563 -1,0067 -1,0305 -0,8334 -0,4576 0,0237 0,5224 0,9626 1,2945 1,4839 1,4987 1,3198 0,9607 0,4688 -0,0835 -0,6125 -1,0376 -1,2910 -1,3346 -1,1743 -0,8479 -0,4131 0,0519 0,4640 0,7667 0,9471 1,0283
F3    0,6849 0,6662 0,8140 1,0577 1,3310 1,5858 1,7929 1,9304 1,9687 1,8690 1,5999 1,1596 0,5878 -0,0470 -0,6715 -1,2189 -1,6344 -1,8929 -2,0211 -2,0843 -2,1333 -2,1601 -2,1059 -1,9114 -1,5586 -1,0804 -0,5426 -0,0108 0,4788 0,9160 1,2909 1,5843 1,7793 1,8651 1,8323 1,6719 1,3839 0,9881 0,5247 0,0464 -0,3901 -0,7375 -0,9739 -1,1112 -1,1836 -1,2223 -1,2404 -1,2328 -1,1803 -1,0644 -0,8858 -0,6668 -0,4473 -0,2883 -0,2619 -0,4204 -0,7696 -1,2596 -1,7822 -2,1905 -2,3566 -2,2346 -1,8753 -1,3862 -0,8727 -0,4060 -0,0201 0,2735 0,4628 0,5241 0,4472 0,2643 0,0395 -0,1684 -0,3292 -0,4387 -0,4992 -0,5090 -0,4725 -0,4090 -0,3517 -0,3436 -0,4162 -0,5539 -0,6757 -0,6694 -0,4570 -0,0412 0,4928 1,0175 1,4299 1,7093 1,9174 2,1351 2,3986 2,6851 2,9335 3,0642 2,9934 2,6655 2,0893 1,3434 0,5496 -0,1642 -0,6905 -0,9575 -0,9400 -0,6538 -0,1382 0,5494 1,3188 2,0563 2,6734 3,1466 3,5057 3,7946 4,0429 4,2504 4,3826 4,3926 4,2544 3,9754 3,5915 3,1616 2,7587 2,4543 2,3027 2,3281 2,5203 2,8338 3,1973 3,5462 3,8523 4,1121 4,3128 4,4270 4,4316 4,3222 4,1212 3,8849 3,6964 3,6326 3,7305 3,9875 4,3783 4,8703 5,4384 6,0622 6,7019 7,2905 7,7590 8,0595 8,1727 8,0970 7,8375 7,4163 6,8935 6,3665 5,9406 5,6905 5,6415 5,7802 6,0718 6,4579 6,8491 7,1451 7,2721 7,2003 6,9329 6,4900 5,9038 5,2207 4,5077 3,8459 3,3081 2,9359 2,7278 2,6518 2,6732 2,7724 2,9374 3,1496 3,3743 3,5603 3,6537 3,6275 3,5041 3,3389 3,1792 3,0465 2,9602 2,9604 3,0912 3,3691 3,7710 4,2387 4,6976 5,0848 5,3624 5,5124 5,5279 5,4092 5,1666 4,8273 4,4415 4,0778 3,7958 3,6208 3,5467 3,5483 3,5882 3,6293 3,6539 3,6743 3,7203 3,8038 3,8952 3,9376 3,8729 3,6530 3,2513 2,6786 1,9883 1,2612 0,5906 0,0677 -0,2419 -0,3276 -0,2454 -0,0972 0,0147 0,0322 -0,0369 -0,1316 -0,1819 -0,1487 -0,0260 0,1782 0,4447 0,7342 0,9943 1,1746 1,2400 1,1834 1,0308 0,8271 0,6130 0,4082 0,2064 -0,0201 -0,3127 -0,7106 -1,2237 -1,8098 -2,3750 -2,8071 -3,0218 -2,9870 -2,7240 -2,2969 -1,7928 -1,3050 -0,9309 -0,7591 -0,8322 -1,1139 -1,4932 -1,8313 -2,0250 -2,0397 -1,8973 -1,6375 -1,2855 -0,8567 -0,3836 0,0773 0,4694 0,7581 0,9372 1,0165 1,0012 0,8871 0,6826 0,4289 0,1884 0,0189 -0,0325 0,0670 0,3129 0,6484 0,9871 1,2523 1,3934 1,3759 1,1801 0,8099 0,2907 -0,3398 -1,0264 -1,6804 -2,1883 -2,4580 -2,4649 -2,2543 -1,9064 -1,4993 -1,0910 -0,7207 -0,4207 -0,2164 -0,1076 -0,0650 -0,0496 -0,0319 -0,0028 0,0285 0,0421 0,0172 -0,0605 -0,1930 -0,3715 -0,5718 -0,7451 -0,8266 -0,7662 -0,5542 -0,2237 0,1678 0,5587 0,8919 1,1177 1,2037 1,1455 0,9792 0,7834 0,6430 0,5907 0,5914 0,5845 0,5317 0,4312 0,3049 0,1784 0,0654 -0,0323 -0,1035 -0,1135 -0,0295 0,1408 0,3435 0,5068 0,5768 0,5400 0,4225 0,2578 0,0570 -0,1822 -0,4411 -0,6628 -0,7755 -0,7296 -0,5152 -0,1554 0,3030 0,7960 1,2539 1,6203 1,8616 1,9648 1,9343 1,7941 1,5849 1,3562 1,1608 1,0427 1,0129 1,0371 1,0520 0,9934 0,8174 0,5143 0,1188 -0,2977 -0,6641 -0,9479 -1,1562 -1,3100 -1,4274 -1,5220 -1,6047 -1,6804 -1,7457 -1,7959 -1,8373 -1,8922 -1,9839 -2,1102 -2,2322 -2,2903 -2,2333 -2,0392 -1,7181 -1,2993 -0,8193 -0,3134 0,1942 0,6946 1,1795 1,6123 1,9159 1,9997 1,8109 1,3672 0,7512 0,0801 -0,5310 -0,9953 -1,2647 -1,3297 -1,2183 -0,9896 -0,7164 -0,4669 -0,2913 -0,2003 -0,1461 -0,0341 0,2330 0,6954 1,2953 1,9024 2,4010 2,7536 2,9946 3,1850 3,3732 3,5804 3,8059 4,0391 4,2711 4,4982 4,7125 4,8866 4,9722 4,9179 4,6974 4,3315 3,8818 3,4183 2,9890 2,6151 2,3060 2,0755 1,9472 1,9409 2,0392 2,1762 2,2771 2,3112 2,3074 2,3236 2,4072 2,5742 2,8075 3,0720 3,3310 3,5520 3,7119 3,7992 3,8152 3,7682 3,6626 3,5049 3,3300 3,2096 3,2261 3,4359 3,8414 4,3750 4,9066 5,2785 5,3468 5,0214 4,3046 3,3012 2,1822 1,1230 0,2544 -0,3580 -0,7095 -0,8334 -0,7768 -0,5973 -0,3622 -0,1291 0,0755 0,2526 0,4147 0,5843 0,7954 1,0789 1,4397 1,8425 2,2198 2,4988 2,6331 2,6222 2,5031 2,3188 2,1073 1,9210 1,8331 1,9141 2,2020 2,6863 3,3040 3,9520 4,5218 4,9427 5,2001 5,3158 5,3170 5,2303 5,0924 4,9454 4,8183 4,7240 4,6624 4,6177 4,5695 4,5083 4,4300 4,3146 4,1207 3,8077 3,3664 2,8378 2,3016 1,8395 1,5093 1,3432 1,3546 1,5390 1,8755 2,3293 2,8560 3,4158 3,9898 4,5753 5,1569 5,6879 6,1037 6,3552 6,4428 6,4349 6,4449 6,5645 6,8061 7,0963 7,3177 7,3709 7,2211 6,8993 6,4713 6,0002 5,5254 5,0645 4,6157 4,1443 3,5900 2,9122 2,1344 1,3454 0,6710 0,2304 0,0967 0,2850 0,7556 1,4122 2,1217 2,7591 3,2416 3,5266 3,5888 3,4129 3,0099 2,4274 1,7446 1,0596 0,4718 0,0608 -0,1384 -0,1396 0,0237 0,3149 0,6784 1,0422 1,3485 1,5722 1,7140
F7    1,5184 1,1052 0,8405 0,7300 0,7582 0,8853 1,0516 1,1876 1,2303 1,1393 0,9050 0,5502 0,1211 -0,3289 -0,7502 -1,1036 -1,3695 -1,5529 -1,6828 -1,7936 -1,8929 -1,9478 -1,9075 -1,7388 -1,4420 -1,0476 -0,6045 -0,1623 0,2422 0,5859 0,8534 1,0393 1,1542 1,2161 1,2379 1,2199 1,1559 1,0428 0,8874 0,7072 0,5214 0,3360 0,1431 -0,0683 -0,3020 -0,5492 -0,7878 -0,9892 -1,1315 -1,2125 -1,2492 -1,2613 -1,2635 -1,2781 -1,3408 -1,4827 -1,7060 -1,9746 -2,2252 -2,3956 -2,4576 -2,4310 -2,3659 -2,3094 -2,2830 -2,2824 -2,2862 -2,2647 -2,1995 -2,1021 -2,0026 -1,9201 -1,8492 -1,7660 -1,6441 -1,4729 -1,2584 -1,0165 -0,7722 -0,5557 -0,3943 -0,3026 -0,2729 -0,2721 -0,2499 -0,1563 0,0340 0,2992 0,5682 0,7494 0,7854 0,6872 0,5152 0,3375 0,2109 0,1812 0,2770 0,4877 0,7546 0,9958 1,1509 1,2125 1,2205 1,2266 1,2616 1,3276 1,4096 1,4980 1,6100 1,7835 2,0409 2,3657 2,7155 3,0497 3,3414 3,5746 3,7397 3,8277 3,8250 3,7174 3,5035 3,2003 2,8405 2,4703 2,1449 1,9138 1,7987 1,7830 1,8256 1,8868 1,9471 2,0165 2,1264 2,3019 2,5409 2,8173 3,0915 3,3159 3,4497 3,4804 3,4372 3,3789 3,3622 3,4187 3,5556 3,7660 4,0376 4,3523 4,6773 4,9721 5,2055 5,3650 5,4596 5,5134 5,5486 5,5767 5,6020 5,6262 5,6506 5,6820 5,7412 5,8594 6,0555 6,3101 6,5640 6,7432 6,7855 6,6546 6,3530 5,9279 5,4548 5,0035 4,6201 4,3283 4,1297 4,0041 3,9162 3,8313 3,7275 3,5947 3,4248 3,2059 2,9245 2,5757 2,1733 1,7509 1,3545 1,0299 0,8093 0,7054 0,7150 0,8272 1,0268 1,2984 1,6269 1,9911 2,3613 2,7134 3,0338 3,3096 3,5226 3,6529 3,6858 3,6175 3,4570 3,2253 2,9526 2,6704 2,4016 2,1546 1,9264 1,7083 1,4922 1,2809 1,0997 0,9877 0,9793 1,0952 1,3363 1,6736 2,0518 2,4047 2,6640 2,7729 2,7154 2,5332 2,3012 2,0848 1,9117 1,7700 1,6238 1,4381 1,2003 0,9281 0,6561 0,4121 0,2145 0,0833 0,0301 0,0377 0,0707 0,1005 0,1134 0,1018 0,0564 -0,0323 -0,1622 -0,3197 -0,4928 -0,6739 -0,8454 -0,9750 -1,0359 -1,0307 -0,9889 -0,9433 -0,9149 -0,9088 -0,9205 -0,9423 -0,9653 -0,9873 -1,0275 -1,1211 -1,2914 -1,5299 -1,7968 -2,0405 -2,2238 -2,3331 -2,3667 -2,3210 -2,1919 -1,9908 -1,7533 -1,5234 -1,3292 -1,1682 -1,0140 -0,8460 -0,6722 -0,5196 -0,4074 -0,3351 -0,2908 -0,2579 -0,2158 -0,1468 -0,0473 0,0702 0,1896 0,3010 0,3973 0,4657 0,4861 0,4367 0,3046 0,1004 -0,1384 -0,3574 -0,5056 -0,5597 -0,5385 -0,4975 -0,5022 -0,5955 -0,7798 -1,0228 -1,2824 -1,5276 -1,7381 -1,8968 -1,9905 -2,0148 -1,9746 -1,8764 -1,7243 -1,5302 -1,3211 -1,1315 -0,9912 -0,9170 -0,9062 -0,9386 -0,9922 -1,0593 -1,1449 -1,2475 -1,3459 -1,4162 -1,4570 -1,4928 -1,5552 -1,6534 -1,7545 -1,8017 -1,7583 -1,6333 -1,4679 -1,3073 -1,1844 -1,1167 -1,1103 -1,1725 -1,3194 -1,5556 -1,8464 -2,1311 -2,3690 -2,5611 -2,7273 -2,8766 -3,0094 -3,1337 -3,2660 -3,4135 -3,5494 -3,6089 -3,5166 -3,2267 -2,7483 -2,1390 -1,4756 -0,8251 -0,2370 0,2551 0,6338 0,8958 1,0325 1,0229 0,8523 0,5399 0,1446 -0,2495 -0,5604 -0,7348 -0,7624 -0,6709 -0,5094 -0,3311 -0,1791 -0,0783 -0,0382 -0,0656 -0,1731 -0,3752 -0,6733 -1,0444 -1,4466 -1,8353 -2,1742 -2,4441 -2,6490 -2,8126 -2,9620 -3,1063 -3,2268 -3,2882 -3,2571 -3,1135 -2,8625 -2,5425 -2,2062 -1,8832 -1,5658 -1,2334 -0,8810 -0,5259 -0,1959 0,0801 0,2765 0,3799 0,3956 0,3423 0,2428 0,1157 -0,0235 -0,1579 -0,2742 -0,3705 -0,4524 -0,5225 -0,5768 -0,6093 -0,6095 -0,5543 -0,4106 -0,1485 0,2395 0,7167 1,2082 1,6443 1,9967 2,2768 2,5098 2,7125 2,8849 3,0168 3,1003 3,1371 3,1365 3,1057 3,0434 2,9416 2,7903 2,5885 2,3560 2,1314 1,9554 1,8473 1,7903 1,7439 1,6750 1,5769 1,4652 1,3577 1,2552 1,1417 1,0039 0,8487 0,7041 0,6038 0,5651 0,5802 0,6291 0,6914 0,7509 0,8024 0,8533 0,9160 1,0029 1,1224 1,2749 1,4531 1,6467 1,8441 2,0327 2,1994 2,3275 2,3977 2,3931 2,2957 2,0827 1,7422 1,2966 0,8032 0,3283 -0,0772 -0,3819 -0,5708 -0,6455 -0,6225 -0,5320 -0,4130 -0,2952 -0,1836 -0,0670 0,0611 0,1981 0,3389 0,4763 0,5928 0,6589 0,6448 0,5361 0,3374 0,0685 -0,2395 -0,5465 -0,8021 -0,9472 -0,9322 -0,7429 -0,4123 -0,0048 0,4175 0,8175 1,1802 1,5056 1,8026 2,0780 2,3285 2,5462 2,7271 2,8724 2,9841 3,0656 3,1216 3,1531 3,1586 3,1412 3,1059 3,0459 2,9311 2,7093 2,3310 1,7928 1,1656 0,5743 0,1442 -0,0466 0,0146 0,2889 0,7129 1,2177 1,7353 2,2071 2,5979 2,9006 3,1256 3,2841 3,3852 3,4387 3,4606 3,4814 3,5420 3,6706 3,8624 4,0771 4,2555 4,3477 4,3353 4,2337 4,0741 3,8855 3,6941 3,5357 3,4450 3,4192 3,4013 3,3101 3,0885 2,7345 2,3020 1,8748 1,5323 1,3295 1,2833 1,3619 1,5010 1,6434 1,7619 1,8433 1,8589 1,7692 1,5550 1,2302 0,8339 0,4160 0,0251 -0,2954 -0,5141 -0,6215 -0,6238 -0,5363 -0,3894 -0,2259 -0,0805 0,0386 0,1439
