Fp1   -2,2069 -2,5441 -2,8920 -3,1931 -3,4005 -3,4869 -3,4487 -3,3072 -3,1027 -2,8809 -2,6820 -2,5293 -2,4174 -2,3144 -2,1799 -1,9891 -1,7437 -1,4674 -1,1895 -0,9312 -0,6990 -0,4873 -0,2879 -0,0975 0,0851 0,2724 0,4917 0,7697 1,1133 1,5110 1,9414 2,3755 2,7834 3,1439 3,4405 3,6506 3,7422 3,6879 3,4852 3,1653 2,7782 2,3744 2,0000 1,6905 1,4547 1,2772 1,1425 1,0518 1,0160 1,0341 1,0818 1,1270 1,1509 1,1493 1,1271 1,1045 1,1188 1,2115 1,4079 1,7052 2,0766 2,4847 2,8919 3,2601 3,5484 3,7214 3,7609 3,6679 3,4595 3,1661 2,8310 2,5056 2,2377 2,0625 2,0042 2,0831 2,3120 2,6851 3,1686 3,7053 4,2269 4,6665 4,9690 5,0995 5,0516 4,8484 4,5327 4,1492 3,7321 3,3015 2,8674 2,4408 2,0418 1,6990 1,4417 1,2909 1,2499 1,3020 1,4143 1,5451 1,6509 1,6987 1,6751 1,5861 1,4484 1,2793 1,0924 0,8974 0,6977 0,4858 0,2483 -0,0269 -0,3482 -0,7218 -1,1430 -1,5819 -1,9821 -2,2840 -2,4506 -2,4776 -2,3873 -2,2149 -1,9909 -1,7370 -1,4739 -1,2245 -1,0092 -0,8411 -0,7270 -0,6692 -0,6634 -0,6982 -0,7611 -0,8446 -0,9396 -1,0265 -1,0706 -1,0231 -0,8313 -0,4561 0,1105 0,8362 1,6554 2,4922 3,2833 3,9909 4,6079 5,1535 5,6554 6,1311 6,5849 7,0172 7,4298 7,8225 8,1881 8,5107 8,7681 8,9430 9,0355 9,0611 9,0357 8,9653 8,8534 8,7108 8,5568 8,4117 8,2851 8,1658 8,0238 7,8192 7,5155 7,0952 6,5737 6,0021 5,4520 4,9877 4,6505 4,4558 4,3900 4,4135 4,4812 4,5642 4,6509 4,7313 4,7867 4,7953 4,7442 4,6312 4,4616 4,2504 4,0252 3,8242 3,6836 3,6196 3,6206 3,6543 3,6871 3,7018 3,6980 3,6786 3,6458 3,6095 3,5889 3,6054 3,6702 3,7797 3,9182 4,0576 4,1615 4,2032 4,1778 4,0940 3,9600 3,7745 3,5296 3,2233 2,8701 2,4934 2,1097 1,7239 1,3407 0,9731 0,6408 0,3670 0,1803 0,1080 0,1545 0,2906 0,4692 0,6481 0,8013 0,9216 1,0140 1,0812 1,1169 1,1100 1,0464 0,9142 0,7122 0,4537 0,1584 -0,1579 -0,4839 -0,8053 -1,1028 -1,3552 -1,5409 -1,6393 -1,6396 -1,5501 -1,3970 -1,2190 -1,0592 -0,9493 -0,8923 -0,8651 -0,8364 -0,7780 -0,6659 -0,4846 -0,2367 0,0537 0,3469 0,6029 0,7982 0,9313 1,0167 1,0766 1,1344 1,2075 1,2948 1,3714 1,3944 1,3198 1,1236 0,8198 0,4569 0,0930 -0,2300 -0,4980 -0,7201 -0,9108 -1,0680 -1,1661 -1,1740 -1,0860 -0,9325 -0,7632 -0,6217 -0,5294 -0,4846 -0,4713 -0,4695 -0,4637 -0,4473 -0,4189 -0,3784 -0,3243 -0,2540 -0,1691 -0,0753 0,0304 0,1686 0,3669 0,6477 1,0209 1,4730 1,9593 2,4161 2,7855 3,0374 3,1726 3,2099 3,1708 3,0767 2,9490 2,8068 2,6683 2,5524 2,4696 2,4127 2,3651 2,3224 2,3036 2,3377 2,4442 2,6241 2,8607 3,1280 3,4020 3,6655 3,9008 4,0874 4,2075 4,2561 4,2474 4,2191 4,2246 4,3080 4,4854 4,7435 5,0484 5,3615 5,6575 5,9252 6,1572 6,3460 6,4928 6,6150 6,7428 6,9055 7,1153 7,3598 7,6021 7,7898 7,8755 7,8344 7,6612 7,3623 6,9589 6,4957 6,0356 5,6330 5,3144 5,0816 4,9222 4,8130 4,7260 4,6406 4,5565 4,4926 4,4744 4,5203 4,6294 4,7767 4,9193 5,0148 5,0401 4,9968 4,9100 4,8194 4,7624 4,7603 4,8179 4,9276 5,0696 5,2125 5,3211 5,3671 5,3373 5,2331 5,0680 4,8659 4,6619 4,4961 4,4019 4,3966 4,4777 4,6249 4,8062 4,9865 5,1395 5,2555 5,3425 5,4158 5,4809 5,5212 5,5107 5,4351 5,3002 5,1230 4,9187 4,6946 4,4555 4,2109 3,9738 3,7602 3,5930 3,5002 3,5044 3,6130 3,8111 4,0646 4,3399 4,6233 4,9194 5,2320 5,5436 5,8193 6,0271 6,1522 6,1978 6,1821 6,1316 6,0705 6,0127 5,9598 5,9059 5,8413 5,7516 5,6193 5,4318 5,1840 4,8740 4,5063 4,1040 3,7089 3,3687 3,1266 3,0163 3,0543 3,2306 3,5083 3,8341 4,1560 4,4379 4,6678 4,8510 4,9955 5,1045 5,1801 5,2293 5,2702 5,3272 5,4093 5,4888 5,5058 5,4002 5,1482 4,7718 4,3247 3,8755 3,4940 3,2366 3,1356 3,1889 3,3572 3,5787 3,7955 3,9698 4,0811 4,1210 4,0924 4,0065 3,8758 3,7061 3,4936 3,2279 2,9022 2,5186 2,0861 1,6232 1,1650 0,7655 0,4803 0,3389 0,3311 0,4206 0,5694 0,7506 0,9421 1,1179 1,2455 1,2942 1,2523 1,1374 0,9906 0,8621 0,7964 0,8181 0,9172 1,0561 1,1986 1,3303 1,4468 1,5333 1,5651 1,5306 1,4494 1,3678 1,3358 1,3857 1,5268 1,7502 2,0330 2,3428 2,6460 2,9162 3,1341 3,2868 3,3730 3,4068 3,4078 3,3937 3,3835 3,3951 3,4302 3,4679 3,4788 3,4501 3,3974 3,3534 3,3452 3,3831 3,4659 3,5865 3,7303 3,8751 4,0006 4,0936 4,1417 4,1247 4,0208 3,8213 3,5363 3,1874 2,8001 2,3982 2,0002 1,6142 1,2364 0,8564 0,4719 0,0927 -0,2724 -0,6249 -0,9698 -1,3023 -1,6036 -1,8537 -2,0470 -2,1912 -2,2975 -2,3745 -2,4235 -2,4343 -2,3910 -2,2819 -2,1007 -1,8399 -1,4866 -1,0310 -0,4873 0,0914 0,6286 1,0582 1,3436 1,4747 1,4585 1,3151 1,0817 0,8091 0,5466 0,3292 0,1729 0,0724 0,0028 -0,0711 -0,1826 -0,3509
Fz    -4,7705 -5,0459 -5,3122 -5,5428 -5,7071 -5,7757 -5,7289 -5,5631 -5,2897 -4,9284 -4,5058 -4,0521 -3,5908 -3,1336 -2,6847 -2,2490 -1,8368 -1,4603 -1,1184 -0,7865 -0,4237 0,0052 0,5089 1,0598 1,6047 2,0914 2,4940 2,8178 3,0877 3,3313 3,5661 3,7937 4,0011 4,1665 4,2640 4,2702 4,1720 3,9736 3,7020 3,4002 3,1046 2,8297 2,5786 2,3567 2,1713 2,0308 1,9503 1,9477 2,0324 2,1933 2,3924 2,5718 2,6752 2,6697 2,5590 2,3866 2,2242 2,1456 2,1969 2,3844 2,6805 3,0424 3,4253 3,7860 4,0845 4,2898 4,3798 4,3365 4,1543 3,8560 3,4926 3,1250 2,8042 2,5623 2,4182 2,3855 2,4708 2,6658 2,9439 3,2615 3,5637 3,7960 3,9189 3,9136 3,7785 3,5275 3,1886 2,7984 2,3944 2,0081 1,6616 1,3696 1,1425 0,9881 0,9117 0,9099 0,9649 1,0490 1,1355 1,2060 1,2480 1,2476 1,1837 1,0304 0,7654 0,3830 -0,1001 -0,6479 -1,2166 -1,7673 -2,2730 -2,7216 -3,1169 -3,4730 -3,8030 -4,1067 -4,3680 -4,5629 -4,6708 -4,6847 -4,6182 -4,5010 -4,3638 -4,2305 -4,1246 -4,0687 -4,0738 -4,1326 -4,2264 -4,3327 -4,4281 -4,4925 -4,5151 -4,4945 -4,4326 -4,3285 -4,1706 -3,9324 -3,5757 -3,0598 -2,3575 -1,4686 -0,4226 0,7338 1,9535 3,1961 4,4276 5,6146 6,7179 7,6937 8,5058 9,1360 9,5851 9,8670 10,0036 10,0229 9,9594 9,8510 9,7375 9,6544 9,6224 9,6397 9,6862 9,7354 9,7625 9,7479 9,6763 9,5347 9,3152 9,0197 8,6591 8,2485 7,8033 7,3384 6,8672 6,4026 5,9600 5,5621 5,2342 4,9959 4,8567 4,8169 4,8675 4,9876 5,1423 5,2892 5,3843 5,3849 5,2580 4,9936 4,6091 4,1382 3,6185 3,0805 2,5424 2,0118 1,4944 1,0029 0,5588 0,1857 -0,0979 -0,2821 -0,3646 -0,3463 -0,2305 -0,0268 0,2470 0,5656 0,8999 1,2254 1,5269 1,7931 2,0063 2,1378 2,1536 2,0307 1,7719 1,4065 0,9765 0,5208 0,0673 -0,3659 -0,7652 -1,1153 -1,3922 -1,5641 -1,6082 -1,5269 -1,3436 -1,0878 -0,7884 -0,4747 -0,1789 0,0660 0,2339 0,3081 0,2759 0,1248 -0,1508 -0,5359 -0,9907 -1,4633 -1,9099 -2,3079 -2,6563 -2,9643 -3,2372 -3,4700 -3,6539 -3,7838 -3,8580 -3,8743 -3,8298 -3,7243 -3,5664 -3,3783 -3,1909 -3,0272 -2,8858 -2,7437 -2,5720 -2,3517 -2,0787 -1,7555 -1,3822 -0,9605 -0,5024 -0,0272 0,4501 0,9207 1,3741 1,7884 2,1266 2,3433 2,4015 2,2872 2,0164 1,6337 1,2019 0,7830 0,4206 0,1376 -0,0544 -0,1480 -0,1441 -0,0618 0,0636 0,1907 0,2846 0,3242 0,3022 0,2189 0,0823 -0,0880 -0,2631 -0,4160 -0,5279 -0,5855 -0,5789 -0,5026 -0,3571 -0,1478 0,1156 0,4180 0,7433 1,0827 1,4327 1,7859 2,1244 2,4222 2,6557 2,8132 2,8987 2,9288 2,9288 2,9253 2,9364 2,9687 3,0216 3,0909 3,1690 3,2510 3,3447 3,4727 3,6628 3,9352 4,2955 4,7295 5,2095 5,7081 6,2058 6,6810 7,1018 7,4301 7,6334 7,6980 7,6392 7,4995 7,3335 7,1897 7,0966 7,0575 7,0608 7,0978 7,1662 7,2596 7,3654 7,4730 7,5835 7,7098 7,8672 8,0596 8,2769 8,4994 8,7019 8,8600 8,9553 8,9727 8,8964 8,7131 8,4187 8,0231 7,5474 7,0202 6,4754 5,9511 5,4847 5,1074 4,8387 4,6870 4,6546 4,7393 4,9296 5,1944 5,4785 5,7126 5,8340 5,8047 5,6178 5,2941 4,8783 4,4325 4,0266 3,7243 3,5655 3,5543 3,6598 3,8303 4,0098 4,1514 4,2278 4,2354 4,1935 4,1369 4,1049 4,1302 4,2357 4,4303 4,7053 5,0343 5,3800 5,7033 5,9697 6,1577 6,2677 6,3189 6,3329 6,3212 6,2877 6,2360 6,1745 6,1168 6,0780 6,0752 6,1231 6,2267 6,3787 6,5620 6,7537 6,9317 7,0831 7,2065 7,3086 7,4030 7,5108 7,6546 7,8465 8,0802 8,3359 8,5902 8,8209 9,0074 9,1353 9,1996 9,2010 9,1395 9,0149 8,8326 8,6059 8,3520 8,0839 7,8095 7,5339 7,2562 6,9734 6,6936 6,4396 6,2384 6,1088 6,0616 6,1017 6,2251 6,4134 6,6355 6,8552 7,0421 7,1834 7,2890 7,3878 7,5133 7,6856 7,8954 8,1086 8,2859 8,3950 8,4055 8,2830 7,9993 7,5522 6,9723 6,3109 5,6240 4,9609 4,3592 3,8439 3,4288 3,1172 2,9046 2,7833 2,7452 2,7814 2,8829 3,0416 3,2465 3,4739 3,6829 3,8250 3,8611 3,7740 3,5663 3,2519 2,8479 2,3737 1,8588 1,3476 0,8891 0,5181 0,2483 0,0818 0,0233 0,0782 0,2365 0,4607 0,6915 0,8683 0,9495 0,9225 0,8008 0,6165 0,4059 0,1925 -0,0191 -0,2273 -0,4122 -0,5316 -0,5395 -0,4052 -0,1167 0,3266 0,9177 1,6371 2,4492 3,3049 4,1472 4,9143 5,5464 6,0014 6,2705 6,3800 6,3811 6,3323 6,2786 6,2386 6,2068 6,1689 6,1131 6,0322 5,9209 5,7804 5,6280 5,4980 5,4275 5,4381 5,5262 5,6676 5,8296 5,9818 6,1026 6,1809 6,2145 6,2052 6,1545 6,0645 5,9411 5,7933 5,6278 5,4465 5,2473 5,0223 4,7550 4,4222 4,0054 3,5019 2,9242 2,2882 1,6057 0,8893 0,1621 -0,5389 -1,1756 -1,7247 -2,1827 -2,5597 -2,8731 -3,1414 -3,3813 -3,6055 -3,8163 -3,9997 -4,1244 -4,1521 -4,0552 -3,8337 -3,5182 -3,1559 -2,7931 -2,4659 -2,1959 -1,9880 -1,8340 -1,7179 -1,6195 -1,5191 -1,4011 -1,2569 -1,0895 -0,9166 -0,7624 -0,6427 -0,5535
F3    -4,2046 -4,1512 -4,1098 -4,0673 -4,0019 -3,9012 -3,7711 -3,6301 -3,4946 -3,3696 -3,2529 -3,1412 -3,0327 -2,9320 -2,8484 -2,7852 -2,7302 -2,6512 -2,5000 -2,2263 -1,7966 -1,2091 -0,5039 0,2398 0,9271 1,4860 1,8961 2,1852 2,4038 2,6034 2,8249 3,0952 3,4162 3,7473 4,0100 4,1269 4,0630 3,8363 3,5069 3,1533 2,8296 2,5413 2,2715 2,0257 1,8403 1,7651 1,8467 2,1076 2,5261 3,0355 3,5356 3,9108 4,0656 3,9653 3,6454 3,1920 2,7213 2,3511 2,1611 2,1700 2,3501 2,6570 3,0412 3,4464 3,8164 4,1110 4,3085 4,3992 4,3868 4,2890 4,1261 3,9166 3,6875 3,4770 3,3291 3,2792 3,3386 3,4909 3,6996 3,9120 4,0591 4,0783 3,9507 3,7061 3,3936 3,0564 2,7215 2,3945 2,0661 1,7287 1,3896 1,0746 0,8264 0,6928 0,7050 0,8555 1,0949 1,3511 1,5559 1,6659 1,6668 1,5632 1,3634 1,0669 0,6626 0,1457 -0,4637 -1,1239 -1,7899 -2,4255 -3,0044 -3,5125 -3,9514 -4,3276 -4,6381 -4,8713 -5,0185 -5,0727 -5,0276 -4,8905 -4,6972 -4,5009 -4,3447 -4,2474 -4,2106 -4,2276 -4,2826 -4,3542 -4,4263 -4,4891 -4,5316 -4,5440 -4,5213 -4,4621 -4,3732 -4,2723 -4,1738 -4,0698 -3,9268 -3,6957 -3,3284 -2,7920 -2,0722 -1,1624 -0,0582 1,2330 2,6745 4,1856 5,6511 6,9579 8,0316 8,8438 9,4027 9,7427 9,9166 9,9905 10,0318 10,0885 10,1770 10,2875 10,3966 10,4783 10,5111 10,4788 10,3698 10,1722 9,8650 9,4231 8,8382 8,1375 7,3840 6,6601 6,0362 5,5408 5,1587 4,8612 4,6339 4,4764 4,3883 4,3632 4,3953 4,4871 4,6504 4,8937 5,1983 5,5127 5,7676 5,8955 5,8514 5,6281 5,2462 4,7300 4,1028 3,4006 2,6764 1,9864 1,3760 0,8804 0,5271 0,3237 0,2462 0,2503 0,3013 0,3923 0,5279 0,7000 0,8904 1,0934 1,3222 1,5909 1,8917 2,1870 2,4245 2,5594 2,5710 2,4689 2,2823 2,0409 1,7704 1,4942 1,2234 0,9478 0,6497 0,3282 0,0097 -0,2605 -0,4419 -0,5154 -0,4758 -0,3223 -0,0674 0,2530 0,5868 0,8769 1,0628 1,0888 0,9256 0,5863 0,1223 -0,3898 -0,8661 -1,2414 -1,4936 -1,6477 -1,7557 -1,8655 -1,9990 -2,1467 -2,2772 -2,3560 -2,3603 -2,2795 -2,1090 -1,8531 -1,5404 -1,2340 -1,0123 -0,9267 -0,9685 -1,0714 -1,1388 -1,0808 -0,8436 -0,4223 0,1455 0,7934 1,4450 2,0411 2,5520 2,9657 3,2724 3,4576 3,5073 3,4208 3,2137 2,9030 2,5004 2,0361 1,5752 1,1941 0,9364 0,7936 0,7242 0,6886 0,6691 0,6678 0,6998 0,7839 0,9242 1,0935 1,2383 1,3010 1,2405 1,0460 0,7467 0,4075 0,1074 -0,0785 -0,0909 0,0930 0,4383 0,8570 1,2415 1,5066 1,6169 1,5940 1,5050 1,4375 1,4660 1,6196 1,8678 2,1413 2,3801 2,5672 2,7213 2,8666 3,0120 3,1465 3,2505 3,3140 3,3412 3,3421 3,3277 3,3112 3,3088 3,3437 3,4508 3,6669 4,0169 4,5093 5,1309 5,8330 6,5326 7,1383 7,5799 7,8198 7,8558 7,7219 7,4820 7,2115 6,9777 6,8243 6,7670 6,8010 6,9164 7,1056 7,3579 7,6527 7,9644 8,2759 8,5837 8,8885 9,1843 9,4529 9,6644 9,7788 9,7517 9,5548 9,1997 8,7343 8,2119 7,6707 7,1370 6,6307 6,1640 5,7398 5,3609 5,0373 4,7832 4,6056 4,5055 4,4884 4,5667 4,7393 4,9701 5,1905 5,3274 5,3355 5,2043 4,9491 4,6094 4,2520 3,9537 3,7733 3,7402 3,8584 4,1035 4,4123 4,6898 4,8436 4,8254 4,6481 4,3711 4,0705 3,8156 3,6576 3,6277 3,7364 3,9724 4,3023 4,6792 5,0521 5,3778 5,6307 5,8059 5,9145 5,9756 6,0067 6,0180 6,0157 6,0087 6,0073 6,0233 6,0756 6,1853 6,3568 6,5676 6,7767 6,9414 7,0316 7,0390 6,9746 6,8603 6,7208 6,5832 6,4748 6,4124 6,3952 6,4176 6,4871 6,6228 6,8354 7,1152 7,4380 7,7795 8,1213 8,4459 8,7216 8,9007 8,9368 8,8053 8,5177 8,1248 7,6920 7,2643 6,8551 6,4682 6,1208 5,8442 5,6680 5,6111 5,6837 5,8814 6,1701 6,4844 6,7535 6,9334 7,0220 7,0608 7,1255 7,2902 7,5757 7,9272 8,2451 8,4380 8,4563 8,2951 7,9744 7,5221 6,9728 6,3696 5,7527 5,1433 4,5505 3,9926 3,5026 3,1165 2,8618 2,7524 2,7835 2,9256 3,1293 3,3465 3,5464 3,7084 3,8113 3,8384 3,7865 3,6669 3,4968 3,2884 3,0438 2,7574 2,4244 2,0524 1,6651 1,2907 0,9473 0,6447 0,3956 0,2236 0,1584 0,2194 0,3911 0,6136 0,8027 0,8925 0,8642 0,7399 0,5548 0,3360 0,0960 -0,1651 -0,4441 -0,7092 -0,8889 -0,8971 -0,6727 -0,2055 0,4696 1,2951 2,2042 3,1274 4,0002 4,7701 5,4004 5,8756 6,2037 6,4121 6,5409 6,6321 6,7150 6,7964 6,8575 6,8630 6,7770 6,5814 6,2914 5,9547 5,6296 5,3652 5,2001 5,1611 5,2513 5,4413 5,6791 5,9120 6,1022 6,2256 6,2592 6,1785 5,9763 5,6814 5,3522 5,0492 4,8018 4,5981 4,4085 4,2110 3,9922 3,7436 3,4627 3,1514 2,8101 2,4421 2,0538 1,6412 1,1838 0,6587 0,0639 -0,5712 -1,1959 -1,7630 -2,2428 -2,6242 -2,9137 -3,1337 -3,3083 -3,4434 -3,5164 -3,4915 -3,3488 -3,0973 -2,7637 -2,3781 -1,9740 -1,5962 -1,2897 -1,0805 -0,9690 -0,9384 -0,9650 -1,0290 -1,1170 -1,2168 -1,3121 -1,3818 -1,4004 -1,3390 -1,1738
F7    -1,8659 -2,2023 -2,5281 -2,7785 -2,9116 -2,9158 -2,8078 -2,6236 -2,4023 -2,1753 -1,9629 -1,7692 -1,5843 -1,4011 -1,2295 -1,0863 -0,9771 -0,8899 -0,7935 -0,6392 -0,3757 0,0255 0,5572 1,1784 1,8209 2,4033 2,8561 3,1447 3,2737 3,2773 3,2065 3,1163 3,0481 3,0074 2,9565 2,8338 2,5871 2,1970 1,6840 1,1017 0,5154 -0,0219 -0,4785 -0,8348 -1,0767 -1,1946 -1,1803 -1,0265 -0,7338 -0,3241 0,1492 0,6082 0,9773 1,2146 1,3286 1,3653 1,3788 1,4080 1,4687 1,5591 1,6755 1,8236 2,0164 2,2658 2,5784 2,9517 3,3575 3,7325 4,0025 4,1231 4,0976 3,9632 3,7663 3,5510 3,3603 3,2329 3,1876 3,2147 3,2881 3,3819 3,4768 3,5594 3,6231 3,6659 3,6807 3,6485 3,5442 3,3514 3,0720 2,7283 2,3604 2,0133 1,7214 1,5063 1,3846 1,3630 1,4256 1,5390 1,6746 1,8241 1,9945 2,1918 2,4049 2,5935 2,6931 2,6421 2,4129 2,0255 1,5352 1,0068 0,4940 0,0321 -0,3635 -0,6913 -0,9557 -1,1636 -1,3263 -1,4594 -1,5737 -1,6684 -1,7379 -1,7852 -1,8259 -1,8812 -1,9700 -2,1048 -2,2886 -2,5186 -2,7889 -3,0855 -3,3758 -3,6125 -3,7504 -3,7627 -3,6483 -3,4305 -3,1511 -2,8579 -2,5853 -2,3386 -2,0915 -1,8023 -1,4363 -0,9738 -0,4057 0,2708 1,0480 1,9014 2,7896 3,6704 4,5193 5,3305 6,1011 6,8179 7,4573 7,9938 8,4079 8,6932 8,8593 8,9277 8,9226 8,8634 8,7609 8,6197 8,4408 8,2208 7,9478 7,6044 7,1867 6,7179 6,2359 5,7654 5,3080 4,8589 4,4272 4,0390 3,7234 3,4942 3,3409 3,2365 3,1552 3,0878 3,0437 3,0396 3,0840 3,1727 3,2881 3,3983 3,4677 3,4758 3,4243 3,3291 3,2171 3,1242 3,0887 3,1380 3,2772 3,4865 3,7289 3,9633 4,1574 4,2950 4,3759 4,4116 4,4176 4,4045 4,3737 4,3225 4,2500 4,1561 4,0396 3,9015 3,7499 3,5948 3,4364 3,2645 3,0729 2,8758 2,7056 2,5906 2,5317 2,4986 2,4480 2,3493 2,2024 2,0300 1,8524 1,6727 1,4869 1,3003 1,1315 0,9999 0,9085 0,8415 0,7831 0,7333 0,7011 0,6778 0,6229 0,4842 0,2370 -0,1003 -0,4815 -0,8551 -1,1772 -1,4169 -1,5588 -1,6033 -1,5635 -1,4616 -1,3235 -1,1693 -1,0020 -0,8107 -0,5925 -0,3692 -0,1791 -0,0510 0,0134 0,0356 0,0437 0,0573 0,0820 0,1179 0,1699 0,2489 0,3667 0,5309 0,7406 0,9809 1,2206 1,4142 1,5137 1,4870 1,3268 1,0432 0,6569 0,2041 -0,2626 -0,6907 -1,0518 -1,3459 -1,5826 -1,7603 -1,8595 -1,8498 -1,7085 -1,4417 -1,0882 -0,7010 -0,3295 -0,0130 0,2235 0,3829 0,4983 0,6107 0,7408 0,8869 1,0440 1,2200 1,4306 1,6828 1,9619 2,2325 2,4531 2,5939 2,6525 2,6609 2,6740 2,7368 2,8533 2,9828 3,0664 3,0623 2,9648 2,7955 2,5778 2,3201 2,0207 1,6826 1,3260 0,9919 0,7321 0,5847 0,5556 0,6184 0,7337 0,8734 1,0374 1,2478 1,5237 1,8607 2,2337 2,6128 2,9764 3,3153 3,6361 3,9614 4,3173 4,7108 5,1190 5,4982 5,8095 6,0405 6,2041 6,3243 6,4260 6,5300 6,6506 6,7949 6,9564 7,1090 7,2166 7,2494 7,1951 7,0598 6,8623 6,6207 6,3386 6,0049 5,6098 5,1582 4,6681 4,1620 3,6672 3,2223 2,8786 2,6854 2,6671 2,8098 3,0690 3,3914 3,7353 4,0734 4,3795 4,6248 4,7887 4,8678 4,8678 4,7940 4,6516 4,4521 4,2190 3,9911 3,8198 3,7547 3,8191 3,9919 4,2099 4,3950 4,4921 4,4942 4,4384 4,3789 4,3623 4,4207 4,5758 4,8373 5,1948 5,6145 6,0439 6,4203 6,6835 6,7969 6,7610 6,6083 6,3905 6,1680 5,9945 5,8935 5,8479 5,8138 5,7475 5,6314 5,4844 5,3471 5,2507 5,1929 5,1358 5,0274 4,8323 4,5488 4,2082 3,8660 3,5875 3,4289 3,4226 3,5749 3,8708 4,2801 4,7634 5,2787 5,7822 6,2262 6,5637 6,7613 6,8101 6,7276 6,5524 6,3281 6,0819 5,8216 5,5472 5,2589 4,9582 4,6495 4,3445 4,0625 3,8235 3,6415 3,5298 3,5105 3,6071 3,8225 4,1273 4,4698 4,8029 5,1073 5,3958 5,6920 5,9985 6,2833 6,4979 6,6105 6,6264 6,5781 6,4909 6,3568 6,1420 5,8185 5,3874 4,8766 4,3275 3,7844 3,2915 2,8928 2,6249 2,5014 2,5044 2,5949 2,7387 2,9248 3,1602 3,4476 3,7723 4,1053 4,4138 4,6701 4,8548 4,9574 4,9741 4,9070 4,7593 4,5311 4,2217 3,8375 3,3931 2,9026 2,3787 1,8475 1,3597 0,9747 0,7252 0,5984 0,5497 0,5295 0,4975 0,4276 0,3106 0,1518 -0,0380 -0,2486 -0,4644 -0,6508 -0,7536 -0,7223 -0,5396 -0,2287 0,1615 0,5818 1,0020 1,4108 1,7998 2,1521 2,4428 2,6455 2,7453 2,7525 2,7034 2,6470 2,6301 2,6833 2,8065 2,9679 3,1202 3,2222 3,2498 3,1944 3,0614 2,8791 2,7007 2,5845 2,5626 2,6246 2,7243 2,8031 2,8180 2,7619 2,6626 2,5614 2,4855 2,4352 2,3915 2,3363 2,2628 2,1698 2,0558 1,9207 1,7645 1,5826 1,3636 1,0980 0,7844 0,4242 0,0139 -0,4514 -0,9638 -1,4885 -1,9653 -2,3299 -2,5362 -2,5660 -2,4316 -2,1755 -1,8624 -1,5595 -1,3140 -1,1406 -1,0234 -0,9278 -0,8170 -0,6646 -0,4605 -0,2162 0,0364 0,2530 0,3904 0,4215 0,3494 0,2085 0,0474 -0,0998 -0,2294 -0,3592 -0,5090 -0,6952 -0,9309 -1,2160 -1,5277 -1,8237
