Fp1   -1,5896 -1,4482 -1,3168 -1,2071 -1,1254 -1,0707 -1,0332 -0,9993 -0,9674 -0,9546 -0,9803 -1,0428 -1,1199 -1,1887 -1,2388 -1,2726 -1,2945 -1,2963 -1,2559 -1,1514 -0,9760 -0,7415 -0,4702 -0,1886 0,0656 0,2397 0,2888 0,2070 0,0361 -0,1546 -0,3017 -0,3767 -0,3902 -0,3690 -0,3263 -0,2430 -0,0704 0,2451 0,7251 1,3320 1,9687 2,5104 2,8490 2,9392 2,8231 2,6055 2,3965 2,2710 2,2656 2,3933 2,6512 3,0106 3,4100 3,7716 4,0277 4,1363 4,0868 3,9071 3,6623 3,4260 3,2408 3,1088 3,0209 2,9812 2,9959 3,0478 3,0935 3,0886 3,0135 2,8826 2,7390 2,6290 2,5683 2,5261 2,4401 2,2469 1,9162 1,4793 1,0266 0,6611 0,4462 0,3855 0,4281 0,4924 0,5101 0,4661 0,4010 0,3753 0,4233 0,5283 0,6332 0,6794 0,6437 0,5456 0,4292 0,3434 0,3333 0,4274 0,6170 0,8453 1,0273 1,0902 0,9950 0,7337 0,3316 -0,1335 -0,5341 -0,7471 -0,7204 -0,5001 -0,2012 0,0493 0,1650 0,1269 -0,0200 -0,2012 -0,3653 -0,5089 -0,6506 -0,7885 -0,8890 -0,9221 -0,8949 -0,8457 -0,8077 -0,7811 -0,7357 -0,6435 -0,5097 -0,3702 -0,2664 -0,2254 -0,2535 -0,3359 -0,4369 -0,5025 -0,4701 -0,2868 0,0670 0,5602 1,1159 1,6458 2,0969 2,4796 2,8488 3,2545 3,7039 4,1669 4,6107 5,0235 5,4077 5,7625 6,0744 6,3160 6,4573 6,4888 6,4392 6,3687 6,3403 6,3884 6,5046 6,6447 6,7473 6,7578 6,6542 6,4677 6,2772 6,1652 6,1581 6,2108 6,2506 6,2296 6,1421 6,0113 5,8740 5,7694 5,7245 5,7410 5,7940 5,8471 5,8664 5,8214 5,6847 5,4434 5,1204 4,7788 4,4888 4,2824 4,1382 4,0057 3,8385 3,6143 3,3362 3,0286 2,7331 2,4947 2,3379 2,2538 2,2169 2,2161 2,2605 2,3548 2,4809 2,6059 2,7021 2,7558 2,7620 2,7164 2,6117 2,4426 2,2138 1,9465 1,6743 1,4236 1,1880 0,9274 0,6010 0,2091 -0,1961 -0,5377 -0,7502 -0,8102 -0,7465 -0,6127 -0,4441 -0,2447 -0,0106 0,2518 0,5267 0,7839 0,9728 1,0425 0,9715 0,7731 0,4822 0,1398 -0,2163 -0,5462 -0,7973 -0,9059 -0,8179 -0,5194 -0,0576 0,4737 0,9778 1,3982 1,7293 1,9943 2,2149 2,3938 2,5210 2,5944 2,6282 2,6435 2,6515 2,6410 2,5845 2,4703 2,3324 2,2398 2,2542 2,3856 2,5769 2,7309 2,7635 2,6440 2,4040 2,1211 1,8913 1,8028 1,9095 2,2022 2,5950 2,9563 3,1778 3,2322 3,1766 3,1081 3,1058 3,1920 3,3372 3,5013 3,6613 3,8047 3,9118 3,9596 3,9470 3,9114 3,9118 3,9898 4,1533 4,3828 4,6376 4,8696 5,0481 5,1657 5,2168 5,1881 5,0824 4,9268 4,7433 4,5277 4,2674 3,9652 3,6425 3,3291 3,0551 2,8470 2,7200 2,6748 2,7068 2,8216 3,0389 3,3646 3,7584 4,1371 4,4120 4,5264 4,4790 4,3176 4,1065 3,8935 3,6997 3,5309 3,3890 3,2682 3,1568 3,0637 3,0373 3,1475 3,4413 3,9140 4,5124 5,1595 5,7744 6,2841 6,6368 6,8204 6,8740 6,8696 6,8679 6,8928 6,9425 7,0102 7,0947 7,1952 7,2976 7,3661 7,3534 7,2196 6,9499 6,5658 6,1258 5,7099 5,3867 5,1818 5,0646 4,9627 4,8013 4,5440 4,2008 3,8040 3,3857 2,9813 2,6396 2,4154 2,3518 2,4686 2,7591 3,1892 3,6964 4,1941 4,5944 4,8476 4,9671 5,0067 5,0101 4,9838 4,9137 4,8002 4,6683 4,5418 4,4129 4,2529 4,0570 3,8663 3,7430 3,7362 3,8647 4,1095 4,4166 4,7165 4,9547 5,1129 5,2060 5,2603 5,2916 5,2985 5,2745 5,2220 5,1544 5,0866 5,0260 4,9709 4,9176 4,8625 4,8025 4,7376 4,6737 4,6205 4,5825 4,5522 4,5122 4,4517 4,3886 4,3773 4,4858 4,7530 5,1572 5,6135 6,0061 6,2410 6,2898 6,1933 6,0297 5,8800 5,8049 5,8349 5,9758 6,2157 6,5205 6,8231 7,0322 7,0645 6,8804 6,5059 6,0315 5,5846 5,2799 5,1756 5,2654 5,5042 5,8334 6,1865 6,4929 6,6927 6,7526 6,6726 6,4859 6,2480 6,0118 5,8003 5,5967 5,3567 5,0435 4,6678 4,2950 4,0008 3,8201 3,7411 3,7349 3,7830 3,8799 4,0215 4,1954 4,3815 4,5509 4,6583 4,6506 4,5019 4,2386 3,9294 3,6568 3,4922 3,4763 3,6110 3,8649 4,1754 4,4489 4,5775 4,4760 4,1147 3,5314 2,8121 2,0574 1,3589 0,7876 0,3823 0,1475 0,0647 0,1004 0,2043 0,3179 0,3988 0,4379 0,4532 0,4739 0,5248 0,6105 0,7060 0,7607 0,7217 0,5663 0,3195 0,0469 -0,1711 -0,2674 -0,2072 0,0130 0,3872 0,9086 1,5495 2,2465 2,9161 3,4840 3,9087 4,1859 4,3290 4,3522 4,2757 4,1332 3,9674 3,8230 3,7358 3,7158 3,7440 3,7896 3,8270 3,8430 3,8407 3,8393 3,8665 3,9376 4,0325 4,0990 4,0849 3,9650 3,7397 3,4197 3,0191 2,5569 2,0571 1,5442 1,0442 0,5995 0,2694 0,0967 0,0713 0,1352 0,2182 0,2699 0,2665 0,1965 0,0453 -0,1963 -0,5114 -0,8557 -1,1766 -1,4300 -1,5848 -1,6219 -1,5345 -1,3284 -1,0230 -0,6508 -0,2514 0,1387 0,4918 0,7887 1,0168 1,1635 1,2110 1,1372 0,9234 0,5701 0,1101 -0,3926 -0,8581 -1,2153 -1,4277 -1,5079 -1,5159 -1,5459 -1,6954 -2,0168 -2,4831 -3,0002 -3,4537 -3,7549 -3,8605 -3,7769 -3,5610 -3,2994 -3,0597 -2,8564 -2,6617 -2,4403 -2,1773 -1,8848 -1,5935
Fz    -1,5165 -1,5377 -1,5816 -1,6343 -1,6816 -1,7101 -1,7030 -1,6440 -1,5282 -1,3685 -1,1887 -1,0136 -0,8673 -0,7749 -0,7570 -0,8172 -0,9352 -1,0716 -1,1874 -1,2608 -1,2882 -1,2767 -1,2375 -1,1794 -1,1050 -1,0100 -0,8845 -0,7132 -0,4805 -0,1810 0,1720 0,5451 0,8909 1,1617 1,3297 1,4043 1,4307 1,4694 1,5640 1,7180 1,9011 2,0739 2,2048 2,2779 2,3003 2,3022 2,3289 2,4309 2,6457 2,9838 3,4291 3,9388 4,4433 4,8671 5,1569 5,2922 5,2773 5,1336 4,8950 4,6050 4,3104 4,0520 3,8550 3,7247 3,6483 3,6000 3,5509 3,4768 3,3598 3,1919 2,9782 2,7306 2,4601 2,1755 1,8836 1,5818 1,2560 0,8991 0,5297 0,1824 -0,1135 -0,3440 -0,5095 -0,6187 -0,6792 -0,6927 -0,6562 -0,5687 -0,4394 -0,2899 -0,1449 -0,0180 0,0947 0,2077 0,3308 0,4590 0,5754 0,6609 0,7030 0,7022 0,6714 0,6277 0,5815 0,5326 0,4760 0,4121 0,3500 0,3009 0,2729 0,2715 0,2986 0,3471 0,3956 0,4102 0,3603 0,2365 0,0567 -0,1369 -0,2898 -0,3599 -0,3425 -0,2684 -0,1795 -0,1066 -0,0624 -0,0397 -0,0170 0,0276 0,1060 0,2201 0,3666 0,5410 0,7375 0,9447 1,1499 1,3515 1,5653 1,8178 2,1342 2,5279 2,9917 3,4948 3,9959 4,4657 4,8955 5,2853 5,6346 5,9466 6,2318 6,5056 6,7778 7,0464 7,3003 7,5316 7,7442 7,9526 8,1712 8,4069 8,6587 8,9169 9,1620 9,3660 9,5011 9,5565 9,5476 9,5120 9,4961 9,5356 9,6379 9,7766 9,9008 9,9597 9,9265 9,8093 9,6409 9,4584 9,2827 9,1080 8,9071 8,6501 8,3258 7,9508 7,5616 7,2004 6,9037 6,6902 6,5529 6,4678 6,4090 6,3571 6,2970 6,2149 6,0975 5,9385 5,7484 5,5542 5,3876 5,2630 5,1677 5,0754 4,9650 4,8246 4,6530 4,4601 4,2617 4,0729 3,9017 3,7445 3,5824 3,3833 3,1169 2,7774 2,3937 2,0161 1,6882 1,4273 1,2267 1,0753 0,9738 0,9320 0,9587 1,0543 1,2049 1,3838 1,5604 1,7060 1,7934 1,8036 1,7352 1,5974 1,3992 1,1545 0,8913 0,6479 0,4604 0,3526 0,3316 0,3906 0,5176 0,7014 0,9329 1,2022 1,4959 1,7996 2,1053 2,4151 2,7331 3,0547 3,3688 3,6664 3,9444 4,2028 4,4359 4,6270 4,7541 4,8014 4,7689 4,6796 4,5764 4,5080 4,5068 4,5718 4,6674 4,7420 4,7512 4,6752 4,5280 4,3550 4,2168 4,1666 4,2300 4,3946 4,6132 4,8258 4,9943 5,1210 5,2338 5,3561 5,4843 5,5916 5,6598 5,7083 5,7832 5,9206 6,1238 6,3728 6,6463 6,9315 7,2115 7,4494 7,5925 7,5999 7,4669 7,2318 6,9603 6,7132 6,5225 6,3925 6,3167 6,2810 6,2579 6,2117 6,1184 5,9761 5,8009 5,6163 5,4458 5,3055 5,1991 5,1201 5,0613 5,0239 5,0163 5,0402 5,0783 5,1005 5,0810 5,0096 4,8947 4,7592 4,6307 4,5306 4,4750 4,4790 4,5524 4,6908 4,8787 5,1003 5,3457 5,6101 5,8903 6,1843 6,4899 6,8038 7,1198 7,4258 7,7000 7,9200 8,0805 8,1979 8,2933 8,3778 8,4559 8,5348 8,6276 8,7443 8,8828 9,0228 9,1263 9,1477 9,0525 8,8283 8,4844 8,0491 7,5674 7,0961 6,6907 6,3861 6,1835 6,0531 5,9511 5,8346 5,6741 5,4640 5,2267 5,0021 4,8305 4,7407 4,7463 4,8449 5,0124 5,2011 5,3550 5,4364 5,4420 5,3976 5,3394 5,2973 5,2876 5,3143 5,3745 5,4583 5,5439 5,6061 5,6380 5,6569 5,6852 5,7308 5,7829 5,8203 5,8215 5,7737 5,6792 5,5564 5,4322 5,3315 5,2695 5,2474 5,2534 5,2712 5,2881 5,2998 5,3121 5,3377 5,3872 5,4622 5,5527 5,6440 5,7262 5,7992 5,8670 5,9320 5,9918 6,0376 6,0582 6,0491 6,0182 5,9823 5,9553 5,9388 5,9229 5,8993 5,8756 5,8758 5,9270 6,0459 6,2356 6,4907 6,8050 7,1706 7,5638 7,9392 8,2449 8,4439 8,5243 8,4980 8,3925 8,2451 8,0996 7,9957 7,9547 7,9750 8,0346 8,0930 8,1025 8,0284 7,8645 7,6290 7,3491 7,0495 6,7505 6,4705 6,2247 6,0218 5,8601 5,7311 5,6265 5,5390 5,4592 5,3757 5,2795 5,1671 5,0397 4,8992 4,7475 4,5903 4,4402 4,3109 4,2096 4,1354 4,0818 4,0389 3,9991 3,9642 3,9455 3,9552 3,9958 4,0516 4,0876 4,0580 3,9204 3,6513 3,2558 2,7676 2,2375 1,7207 1,2664 0,9067 0,6522 0,4948 0,4060 0,3373 0,2386 0,0881 -0,0906 -0,2383 -0,2912 -0,2141 -0,0151 0,2636 0,5638 0,8251 0,9956 1,0439 0,9704 0,8133 0,6438 0,5434 0,5756 0,7745 1,1457 1,6605 2,2516 2,8349 3,3455 3,7608 4,0917 4,3556 4,5578 4,6922 4,7522 4,7444 4,6943 4,6353 4,5928 4,5811 4,6083 4,6811 4,8014 4,9567 5,1146 5,2350 5,2870 5,2545 5,1342 4,9382 4,6949 4,4384 4,1907 3,9509 3,7008 3,4220 3,1060 2,7524 2,3699 1,9797 1,6073 1,2628 0,9330 0,5953 0,2363 -0,1446 -0,5424 -0,9484 -1,3423 -1,6855 -1,9286 -2,0314 -1,9776 -1,7760 -1,4528 -1,0424 -0,5807 -0,1004 0,3692 0,8007 1,1710 1,4677 1,6895 1,8318 1,8736 1,7839 1,5413 1,1489 0,6381 0,0609 -0,5251 -1,0675 -1,5278 -1,8901 -2,1597 -2,3573 -2,5157 -2,6745 -2,8594 -3,0628 -3,2507 -3,3870 -3,4514 -3,4390 -3,3579 -3,2331 -3,1037 -3,0017 -2,9310 -2,8685 -2,7804 -2,6353 -2,4156 -2,1312
F3    -2,1700 -2,1723 -2,1308 -2,0545 -1,9502 -1,8151 -1,6430 -1,4334 -1,1957 -0,9503 -0,7248 -0,5451 -0,4306 -0,3915 -0,4216 -0,4987 -0,5961 -0,6944 -0,7849 -0,8672 -0,9444 -1,0220 -1,1006 -1,1653 -1,1901 -1,1550 -1,0529 -0,8793 -0,6295 -0,3101 0,0550 0,4342 0,7966 1,1156 1,3763 1,5846 1,7648 1,9395 2,1077 2,2427 2,3083 2,2778 2,1466 1,9407 1,7172 1,5502 1,5101 1,6454 1,9660 2,4401 3,0137 3,6252 4,2036 4,6759 4,9880 5,1189 5,0780 4,8999 4,6382 4,3536 4,0960 3,8923 3,7481 3,6576 3,6093 3,5872 3,5731 3,5479 3,4918 3,3891 3,2354 3,0357 2,7976 2,5286 2,2401 1,9413 1,6309 1,3069 0,9856 0,7011 0,4902 0,3794 0,3728 0,4477 0,5681 0,7005 0,8217 0,9210 0,9978 1,0567 1,1007 1,1305 1,1505 1,1678 1,1786 1,1605 1,0877 0,9543 0,7805 0,6016 0,4498 0,3435 0,2815 0,2428 0,2009 0,1453 0,0916 0,0678 0,0969 0,1879 0,3377 0,5336 0,7513 0,9465 1,0608 1,0438 0,8761 0,5818 0,2274 -0,1051 -0,3541 -0,4924 -0,5184 -0,4508 -0,3268 -0,1903 -0,0724 0,0188 0,0947 0,1735 0,2730 0,4071 0,5825 0,7931 1,0248 1,2722 1,5471 1,8701 2,2514 2,6742 3,1002 3,4946 3,8502 4,1895 4,5425 4,9191 5,3049 5,6811 6,0430 6,3978 6,7499 7,0916 7,4046 7,6674 7,8677 8,0156 8,1424 8,2857 8,4737 8,7116 8,9745 9,2123 9,3658 9,3888 9,2712 9,0503 8,7969 8,5837 8,4585 8,4279 8,4550 8,4790 8,4514 8,3668 8,2643 8,1927 8,1681 8,1582 8,1032 7,9547 7,7064 7,3949 7,0686 6,7590 6,4769 6,2222 5,9868 5,7611 5,5405 5,3245 5,1132 4,9073 4,7117 4,5396 4,4166 4,3756 4,4367 4,5832 4,7597 4,8956 4,9374 4,8657 4,6956 4,4630 4,2073 3,9572 3,7238 3,4989 3,2633 2,9997 2,7016 2,3760 2,0449 1,7457 1,5191 1,3844 1,3289 1,3292 1,3731 1,4528 1,5508 1,6438 1,7185 1,7764 1,8236 1,8509 1,8293 1,7282 1,5409 1,2863 0,9976 0,7162 0,4902 0,3617 0,3538 0,4647 0,6684 0,9240 1,1939 1,4586 1,7176 1,9754 2,2276 2,4591 2,6579 2,8307 3,0001 3,1791 3,3572 3,5138 3,6386 3,7391 3,8315 3,9263 4,0149 4,0687 4,0557 3,9674 3,8330 3,7087 3,6569 3,7177 3,8827 4,0944 4,2758 4,3680 4,3536 4,2536 4,1107 3,9795 3,9134 3,9384 4,0338 4,1483 4,2408 4,3078 4,3761 4,4742 4,6052 4,7460 4,8743 5,0008 5,1744 5,4491 5,8364 6,2964 6,7734 7,2297 7,6415 7,9708 8,1561 8,1455 7,9387 7,5932 7,1947 6,8175 6,4978 6,2393 6,0360 5,8806 5,7605 5,6614 5,5753 5,5051 5,4621 5,4524 5,4653 5,4809 5,4850 5,4767 5,4663 5,4712 5,5048 5,5597 5,5994 5,5716 5,4341 5,1784 4,8371 4,4704 4,1465 3,9259 3,8516 3,9408 4,1781 4,5136 4,8781 5,2108 5,4808 5,6868 5,8441 5,9751 6,1030 6,2484 6,4226 6,6207 6,8151 6,9633 7,0353 7,0349 6,9911 6,9352 6,8952 6,9034 6,9991 7,2111 7,5317 7,9046 8,2374 8,4326 8,4213 8,1879 7,7747 7,2667 6,7602 6,3315 6,0176 5,8151 5,6912 5,6000 5,4999 5,3660 5,1934 4,9969 4,8098 4,6767 4,6398 4,7213 4,9133 5,1764 5,4454 5,6426 5,7049 5,6199 5,4374 5,2436 5,1186 5,1080 5,2185 5,4263 5,6848 5,9326 6,1131 6,2007 6,2171 6,2134 6,2359 6,3064 6,4205 6,5489 6,6449 6,6633 6,5836 6,4251 6,2394 6,0868 6,0118 6,0216 6,0789 6,1219 6,1008 6,0088 5,8837 5,7792 5,7309 5,7440 5,8049 5,8973 6,0115 6,1419 6,2796 6,4107 6,5173 6,5808 6,5875 6,5315 6,4182 6,2677 6,1097 5,9711 5,8659 5,7958 5,7595 5,7625 5,8173 5,9352 6,1213 6,3754 6,6923 7,0577 7,4402 7,7924 8,0687 8,2454 8,3260 8,3339 8,3010 8,2627 8,2524 8,2825 8,3294 8,3469 8,2984 8,1697 7,9626 7,6903 7,3751 7,0410 6,7078 6,3972 6,1377 5,9554 5,8578 5,8276 5,8351 5,8614 5,9093 5,9870 6,0823 6,1581 6,1756 6,1151 5,9761 5,7694 5,5215 5,2752 5,0715 4,9299 4,8478 4,8131 4,8122 4,8304 4,8543 4,8810 4,9196 4,9847 5,0815 5,1924 5,2738 5,2672 5,1229 4,8159 4,3495 3,7522 3,0770 2,3958 1,7829 1,2938 0,9561 0,7681 0,6979 0,6883 0,6796 0,6394 0,5771 0,5381 0,5786 0,7310 0,9823 1,2845 1,5817 1,8217 1,9530 1,9348 1,7634 1,4925 1,2176 1,0306 0,9872 1,1093 1,3973 1,8273 2,3446 2,8737 3,3408 3,6988 3,9395 4,0834 4,1605 4,1951 4,2036 4,2039 4,2241 4,2902 4,4034 4,5372 4,6626 4,7722 4,8750 4,9735 5,0508 5,0797 5,0367 4,9071 4,6895 4,4066 4,1019 3,8139 3,5547 3,3143 3,0770 2,8372 2,6032 2,3865 2,1914 2,0135 1,8418 1,6593 1,4478 1,2001 0,9302 0,6653 0,4226 0,1930 -0,0445 -0,2950 -0,5376 -0,7340 -0,8436 -0,8359 -0,6978 -0,4321 -0,0552 0,3989 0,8808 1,3355 1,7111 1,9709 2,1041 2,1170 2,0072 1,7603 1,3760 0,8876 0,3557 -0,1559 -0,5965 -0,9337 -1,1557 -1,2783 -1,3436 -1,4035 -1,5027 -1,6717 -1,9161 -2,2068 -2,4901 -2,7119 -2,8355 -2,8434 -2,7366 -2,5477 -2,3456 -2,2053 -2,1595 -2,1818 -2,2110 -2,1863 -2,0662 -1,8417
F7    -1,2710 -1,3445 -1,4237 -1,4836 -1,5036 -1,4831 -1,4346 -1,3623 -1,2590 -1,1239 -0,9648 -0,7812 -0,5600 -0,2988 -0,0261 0,2063 0,3526 0,3963 0,3488 0,2337 0,0749 -0,1057 -0,2880 -0,4509 -0,5700 -0,6217 -0,5904 -0,4720 -0,2772 -0,0294 0,2433 0,5087 0,7287 0,8697 0,9178 0,8888 0,8234 0,7641 0,7275 0,6994 0,6565 0,5958 0,5488 0,5689 0,6981 0,9381 1,2522 1,5884 1,9052 2,1897 2,4581 2,7324 3,0148 3,2848 3,5152 3,6819 3,7649 3,7482 3,6291 3,4269 3,1781 2,9205 2,6810 2,4722 2,2938 2,1384 2,0015 1,8805 1,7682 1,6509 1,5179 1,3700 1,2206 1,0886 0,9890 0,9230 0,8736 0,8189 0,7435 0,6358 0,4862 0,2991 0,0991 -0,0793 -0,2029 -0,2498 -0,2144 -0,1056 0,0614 0,2761 0,5362 0,8331 1,1363 1,4034 1,5999 1,7008 1,6836 1,5388 1,2847 0,9626 0,6228 0,3161 0,0839 -0,0560 -0,1128 -0,1126 -0,0877 -0,0740 -0,1054 -0,1984 -0,3396 -0,4906 -0,6130 -0,6927 -0,7421 -0,7813 -0,8205 -0,8550 -0,8715 -0,8601 -0,8261 -0,7932 -0,7906 -0,8331 -0,9115 -0,9995 -1,0695 -1,1032 -1,0930 -1,0411 -0,9546 -0,8411 -0,7092 -0,5666 -0,4195 -0,2697 -0,1084 0,0855 0,3390 0,6759 1,1008 1,5801 2,0495 2,4507 2,7606 2,9854 3,1369 3,2271 3,2813 3,3406 3,4458 3,6188 3,8549 4,1248 4,3856 4,5984 4,7381 4,7931 4,7662 4,6754 4,5496 4,4211 4,3168 4,2560 4,2580 4,3455 4,5335 4,8117 5,1360 5,4420 5,6643 5,7537 5,6911 5,4907 5,1898 4,8357 4,4741 4,1362 3,8294 3,5401 3,2528 2,9644 2,6848 2,4318 2,2263 2,0817 1,9927 1,9428 1,9235 1,9386 1,9883 2,0567 2,1145 2,1271 2,0694 1,9365 1,7406 1,5026 1,2464 0,9976 0,7839 0,6299 0,5481 0,5361 0,5843 0,6866 0,8356 1,0060 1,1505 1,2187 1,1771 1,0194 0,7700 0,4758 0,1822 -0,0919 -0,3579 -0,6393 -0,9436 -1,2466 -1,5007 -1,6630 -1,7153 -1,6600 -1,5051 -1,2609 -0,9535 -0,6291 -0,3411 -0,1351 -0,0391 -0,0529 -0,1495 -0,2939 -0,4614 -0,6357 -0,8020 -0,9501 -1,0757 -1,1732 -1,2231 -1,1902 -1,0380 -0,7486 -0,3319 0,1804 0,7461 1,3169 1,8398 2,2638 2,5512 2,6890 2,6888 2,5793 2,3962 2,1734 1,9375 1,7126 1,5229 1,3853 1,3035 1,2681 1,2606 1,2569 1,2357 1,1879 1,1251 1,0799 1,0893 1,1725 1,3234 1,5194 1,7296 1,9198 2,0662 2,1722 2,2608 2,3441 2,4039 2,4068 2,3398 2,2309 2,1369 2,1099 2,1720 2,3159 2,5241 2,7794 3,0612 3,3432 3,5966 3,7915 3,8975 3,8966 3,8022 3,6670 3,5613 3,5321 3,5790 3,6684 3,7618 3,8316 3,8662 3,8693 3,8546 3,8390 3,8333 3,8335 3,8198 3,7660 3,6528 3,4767 3,2565 3,0261 2,8192 2,6573 2,5513 2,5070 2,5258 2,6006 2,7154 2,8496 2,9833 3,1042 3,2112 3,3052 3,3798 3,4219 3,4208 3,3754 3,2997 3,2206 3,1739 3,1944 3,2984 3,4690 3,6657 3,8549 4,0368 4,2406 4,4911 4,7828 5,0844 5,3589 5,5773 5,7238 5,7924 5,7819 5,6934 5,5306 5,2982 4,9976 4,6256 4,1825 3,6866 3,1799 2,7217 2,3706 2,1597 2,0772 2,0720 2,0850 2,0816 2,0607 2,0409 2,0418 2,0724 2,1282 2,1988 2,2783 2,3690 2,4764 2,6033 2,7506 2,9205 3,1160 3,3364 3,5697 3,7920 3,9794 4,1213 4,2281 4,3245 4,4329 4,5598 4,6986 4,8358 4,9485 5,0038 4,9725 4,8498 4,6671 4,4806 4,3373 4,2500 4,2004 4,1596 4,1038 4,0222 3,9214 3,8228 3,7537 3,7349 3,7741 3,8649 3,9870 4,1111 4,2108 4,2749 4,3092 4,3294 4,3545 4,4014 4,4740 4,5562 4,6196 4,6417 4,6171 4,5511 4,4524 4,3346 4,2203 4,1387 4,1182 4,1750 4,3013 4,4672 4,6395 4,8019 4,9557 5,1102 5,2754 5,4564 5,6471 5,8268 5,9616 6,0158 5,9747 5,8561 5,7011 5,5553 5,4520 5,4024 5,3952 5,4036 5,3915 5,3224 5,1729 4,9455 4,6722 4,4001 4,1719 4,0204 3,9756 4,0588 4,2593 4,5203 4,7573 4,8931 4,8862 4,7407 4,5030 4,2456 4,0392 3,9260 3,9146 3,9893 4,1179 4,2571 4,3654 4,4152 4,3956 4,3100 4,1752 4,0174 3,8614 3,7239 3,6180 3,5543 3,5314 3,5300 3,5185 3,4625 3,3422 3,1650 2,9620 2,7653 2,5851 2,4117 2,2366 2,0582 1,8679 1,6449 1,3768 1,0831 0,8110 0,6056 0,4906 0,4716 0,5386 0,6682 0,8397 1,0414 1,2562 1,4567 1,6247 1,7683 1,9174 2,1025 2,3358 2,6044 2,8776 3,1209 3,3064 3,4224 3,4829 3,5250 3,5882 3,6927 3,8291 3,9659 4,0700 4,1289 4,1545 4,1684 4,1883 4,2283 4,3060 4,4404 4,6289 4,8267 4,9616 4,9751 4,8468 4,5923 4,2523 3,8749 3,4977 3,1381 2,7905 2,4403 2,0958 1,7979 1,5893 1,4806 1,4489 1,4542 1,4519 1,4047 1,2894 1,0976 0,8375 0,5372 0,2432 0,0130 -0,0983 -0,0579 0,1299 0,4242 0,7613 1,0757 1,3178 1,4658 1,5274 1,5319 1,5136 1,4958 1,4862 1,4850 1,4876 1,4820 1,4471 1,3598 1,2122 1,0213 0,8139 0,6054 0,4019 0,2106 0,0417 -0,0913 -0,1722 -0,1942 -0,1743 -0,1445 -0,1279 -0,1332 -0,1641 -0,2227 -0,3081 -0,4197 -0,5592 -0,7237 -0,8980 -1,0530 -1,1461 -1,1258 -0,9545 -0,6374 -0,2302
