Fp1   2,6648 3,0169 3,2755 3,4666 3,6166 3,7335 3,8029 3,8037 3,7293 3,5954 3,4259 3,2367 3,0320 2,8141 2,5906 2,3704 2,1572 1,9488 1,7411 1,5270 1,2945 1,0310 0,7248 0,3615 -0,0648 -0,5312 -0,9900 -1,3981 -1,7415 -2,0341 -2,3035 -2,5811 -2,8956 -3,2609 -3,6647 -4,0683 -4,4133 -4,6354 -4,6853 -4,5453 -4,2296 -3,7728 -3,2186 -2,6142 -2,0083 -1,4492 -0,9736 -0,5897 -0,2788 -0,0132 0,2339 0,4895 0,7762 1,0992 1,4397 1,7661 2,0527 2,2887 2,4802 2,6508 2,8332 3,0489 3,3002 3,5767 3,8655 4,1612 4,4638 4,7614 5,0203 5,1972 5,2568 5,1863 4,9971 4,7163 4,3790 4,0269 3,7027 3,4307 3,2027 2,9909 2,7756 2,5529 2,3211 2,0796 1,8440 1,6400 1,4768 1,3392 1,2043 1,0595 0,9105 0,7817 0,7034 0,6909 0,7299 0,7826 0,8121 0,7984 0,7350 0,6235 0,4717 0,2876 0,0787 -0,1453 -0,3801 -0,6377 -0,9374 -1,2840 -1,6618 -2,0514 -2,4437 -2,8363 -3,2167 -3,5506 -3,7921 -3,9036 -3,8648 -3,6723 -3,3395 -2,8969 -2,3879 -1,8562 -1,3314 -0,8236 -0,3308 0,1489 0,6092 1,0390 1,4298 1,7816 2,1044 2,4144 2,7263 3,0473 3,3796 3,7242 4,0744 4,4062 4,6882 4,8990 5,0282 5,0718 5,0378 4,9465 4,8134 4,6439 4,4490 4,2555 4,0962 3,9954 3,9649 4,0035 4,0973 4,2222 4,3495 4,4580 4,5390 4,5966 4,6490 4,7282 4,8657 5,0798 5,3770 5,7545 6,1929 6,6564 7,1077 7,5205 7,8792 8,1723 8,3869 8,5092 8,5331 8,4673 8,3324 8,1518 7,9475 7,7408 7,5542 7,4069 7,3054 7,2410 7,1950 7,1423 7,0592 6,9349 6,7653 6,5420 6,2544 5,8998 5,4839 5,0203 4,5311 4,0483 3,6015 3,2029 2,8514 2,5491 2,3006 2,0986 1,9237 1,7559 1,5814 1,3885 1,1612 0,8761 0,5157 0,0851 -0,3872 -0,8642 -1,3073 -1,6757 -1,9373 -2,0847 -2,1328 -2,1022 -2,0123 -1,8824 -1,7295 -1,5661 -1,4084 -1,2843 -1,2149 -1,1913 -1,1813 -1,1543 -1,0932 -0,9922 -0,8499 -0,6628 -0,4310 -0,1675 0,1101 0,3937 0,6842 0,9823 1,2809 1,5627 1,8130 2,0394 2,2725 2,5413 2,8468 3,1559 3,4219 3,6196 3,7627 3,8825 3,9968 4,1056 4,2043 4,2907 4,3675 4,4382 4,4999 4,5434 4,5674 4,5818 4,5998 4,6271 4,6551 4,6615 4,6193 4,5094 4,3285 4,0803 3,7634 3,3775 2,9414 2,4952 2,0816 1,7303 1,4547 1,2534 1,1151 1,0233 0,9578 0,8926 0,8002 0,6663 0,5014 0,3408 0,2362 0,2337 0,3458 0,5463 0,7922 1,0367 1,2332 1,3558 1,4201 1,4684 1,5345 1,6298 1,7507 1,8942 2,0668 2,2733 2,5002 2,7238 2,9290 3,1103 3,2579 3,3509 3,3692 3,3140 3,2153 3,1175 3,0586 3,0609 3,1321 3,2702 3,4703 3,7216 3,9995 4,2673 4,4873 4,6276 4,6687 4,6160 4,5012 4,3564 4,1854 3,9629 3,6605 3,2767 2,8428 2,4032 1,9985 1,6699 1,4641 1,4219 1,5535 1,8257 2,1812 2,5728 2,9759 3,3755 3,7568 4,1084 4,4257 4,7131 4,9819 5,2358 5,4599 5,6274 5,7141 5,7056 5,6039 5,4374 5,2648 5,1592 5,1753 5,3213 5,5639 5,8523 6,1349 6,3664 6,5191 6,5948 6,6184 6,6190 6,6121 6,5908 6,5350 6,4384 6,3211 6,2149 6,1398 6,0856 6,0135 5,8843 5,6884 5,4503 5,2172 5,0356 4,9264 4,8781 4,8623 4,8471 4,8053 4,7263 4,6236 4,5302 4,4836 4,5008 4,5556 4,5884 4,5427 4,3968 4,1701 3,9047 3,6396 3,3981 3,1935 3,0335 2,9160 2,8334 2,7844 2,7714 2,7955 2,8596 2,9673 3,1116 3,2700 3,4156 3,5326 3,6220 3,6940 3,7578 3,8192 3,8877 3,9824 4,1317 4,3626 4,6832 5,0745 5,5027 5,9323 6,3283 6,6551 6,8852 7,0114 7,0511 7,0293 6,9580 6,8447 6,7080 6,5704 6,4412 6,3242 6,2406 6,2298 6,3175 6,4873 6,6896 6,8739 7,0094 7,0840 7,0978 7,0537 6,9460 6,7551 6,4568 6,0451 5,5558 5,0645 4,6543 4,3811 4,2619 4,2829 4,4102 4,5977 4,7936 4,9520 5,0507 5,1090 5,1773 5,2995 5,4823 5,6992 5,9162 6,1077 6,2525 6,3288 6,3157 6,1984 5,9786 5,6852 5,3686 5,0780 4,8393 4,6484 4,4810 4,3089 4,1121 3,8801 3,6113 3,3080 2,9703 2,6034 2,2234 1,8499 1,5043 1,2213 1,0406 0,9765 1,0019 1,0696 1,1488 1,2413 1,3744 1,5779 1,8598 2,1993 2,5633 2,9212 3,2544 3,5646 3,8695 4,1819 4,5006 4,8192 5,1281 5,4104 5,6533 5,8660 6,0813 6,3317 6,6226 6,9296 7,2207 7,4740 7,6816 7,8476 7,9829 8,0961 8,1900 8,2627 8,3104 8,3297 8,3254 8,3087 8,2863 8,2559 8,2066 8,1134 7,9450 7,6883 7,3664 7,0275 6,7178 6,4720 6,3215 6,2865 6,3524 6,4697 6,5826 6,6511 6,6529 6,5773 6,4228 6,1982 5,9230 5,6229 5,3164 5,0071 4,6924 4,3692 4,0293 3,6643 3,2788 2,8891 2,5155 2,1833 1,9217 1,7501 1,6661 1,6470 1,6583 1,6655 1,6495 1,6150 1,5861 1,5907 1,6482 1,7666 1,9434 2,1688 2,4303 2,7131 3,0033 3,2849 3,5325 3,7118 3,7928 3,7615 3,6204 3,3908 3,1133 2,8330 2,5821 2,3753 2,2099 2,0664 1,9145 1,7296 1,5086 1,2746 1,0671 0,9263 0,8751 0,9075 0,9920 1,0844 1,1407 1,1303 1,0476 0,9134 0,7532
Fz    5,7364 6,0969 6,3609 6,5610 6,7350 6,9012 7,0448 7,1287 7,1171 6,9929 6,7601 6,4315 6,0216 5,5500 5,0449 4,5307 4,0174 3,5020 2,9771 2,4335 1,8598 1,2452 0,5837 -0,1273 -0,8840 -1,6679 -2,4421 -3,1637 -3,8019 -4,3472 -4,8088 -5,2066 -5,5670 -5,9135 -6,2563 -6,5853 -6,8665 -7,0429 -7,0513 -6,8501 -6,4402 -5,8688 -5,2127 -4,5507 -3,9430 -3,4222 -2,9872 -2,6025 -2,2191 -1,8038 -1,3484 -0,8593 -0,3406 0,2074 0,7785 1,3581 1,9348 2,5064 3,0725 3,6289 4,1675 4,6774 5,1500 5,5814 5,9719 6,3249 6,6417 6,9088 7,0995 7,1905 7,1755 7,0635 6,8690 6,6045 6,2802 5,9157 5,5488 5,2233 4,9607 4,7469 4,5552 4,3742 4,2059 4,0454 3,8766 3,6772 3,4210 3,0833 2,6551 2,1552 1,6312 1,1473 0,7670 0,5336 0,4562 0,5126 0,6654 0,8752 1,1055 1,3275 1,5226 1,6793 1,7883 1,8396 1,8160 1,6896 1,4362 1,0586 0,5915 0,0817 -0,4317 -0,9213 -1,3607 -1,7185 -1,9654 -2,0818 -2,0614 -1,9136 -1,6665 -1,3608 -1,0343 -0,7074 -0,3774 -0,0248 0,3722 0,8243 1,3275 1,8697 2,4383 3,0230 3,6133 4,1917 4,7327 5,2114 5,6147 5,9423 6,1992 6,3909 6,5277 6,6265 6,7057 6,7784 6,8515 6,9245 6,9878 7,0291 7,0448 7,0422 7,0297 7,0136 7,0002 6,9953 6,9990 7,0041 7,0032 6,9988 7,0060 7,0443 7,1282 7,2616 7,4391 7,6545 7,9131 8,2323 8,6273 9,0970 9,6195 10,1528 10,6418 11,0317 11,2843 11,3871 11,3556 11,2286 11,0559 10,8797 10,7197 10,5720 10,4167 10,2294 9,9928 9,7038 9,3706 9,0055 8,6230 8,2428 7,8813 7,5374 7,1910 6,8120 6,3697 5,8417 5,2241 4,5366 3,8149 3,0986 2,4261 1,8356 1,3581 1,0084 0,7839 0,6680 0,6310 0,6304 0,6167 0,5463 0,3948 0,1634 -0,1252 -0,4355 -0,7250 -0,9514 -1,0853 -1,1241 -1,0892 -1,0078 -0,8956 -0,7551 -0,5851 -0,3894 -0,1842 0,0017 0,1416 0,2306 0,2883 0,3500 0,4539 0,6288 0,8847 1,2142 1,5980 2,0092 2,4216 2,8158 3,1777 3,4961 3,7640 3,9798 4,1477 4,2841 4,4186 4,5804 4,7795 4,9966 5,1913 5,3281 5,4021 5,4440 5,5004 5,6098 5,7891 6,0308 6,3132 6,6122 6,9026 7,1597 7,3651 7,5059 7,5669 7,5323 7,3965 7,1727 6,8877 6,5710 6,2452 5,9223 5,6015 5,2718 4,9218 4,5489 4,1607 3,7743 3,4149 3,1090 2,8736 2,7082 2,5947 2,5067 2,4178 2,3093 2,1782 2,0453 1,9511 1,9330 2,0025 2,1495 2,3605 2,6238 2,9212 3,2297 3,5317 3,8180 4,0816 4,3137 4,5050 4,6492 4,7518 4,8289 4,8995 4,9824 5,0933 5,2362 5,3953 5,5405 5,6418 5,6851 5,6767 5,6349 5,5775 5,5208 5,4857 5,4921 5,5457 5,6354 5,7380 5,8231 5,8598 5,8232 5,7018 5,5043 5,2591 4,9947 4,7197 4,4232 4,0914 3,7276 3,3574 3,0197 2,7551 2,6026 2,5951 2,7492 3,0519 3,4593 3,9110 4,3535 4,7554 5,1082 5,4181 5,6971 5,9560 6,1979 6,4152 6,5928 6,7187 6,7945 6,8328 6,8449 6,8373 6,8232 6,8331 6,9057 7,0663 7,3140 7,6265 7,9714 8,3122 8,6139 8,8504 9,0094 9,0950 9,1275 9,1372 9,1485 9,1714 9,2084 9,2624 9,3329 9,4075 9,4582 9,4511 9,3637 9,1978 8,9797 8,7518 8,5540 8,4049 8,2981 8,2129 8,1260 8,0216 7,8972 7,7598 7,6185 7,4792 7,3390 7,1833 6,9922 6,7538 6,4756 6,1884 5,9336 5,7378 5,5972 5,4836 5,3612 5,2028 5,0020 4,7747 4,5491 4,3577 4,2324 4,1937 4,2390 4,3486 4,5030 4,6923 4,9079 5,1291 5,3228 5,4630 5,5508 5,6191 5,7170 5,8874 6,1484 6,4928 6,9000 7,3476 7,8148 8,2786 8,7107 9,0828 9,3781 9,5915 9,7234 9,7813 9,7844 9,7586 9,7291 9,7222 9,7648 9,8734 10,0390 10,2260 10,3902 10,4990 10,5376 10,5041 10,4039 10,2403 10,0061 9,6841 9,2599 8,7400 8,1646 7,6067 7,1495 6,8555 6,7508 6,8259 7,0413 7,3339 7,6297 7,8661 8,0139 8,0905 8,1482 8,2389 8,3859 8,5832 8,8105 9,0374 9,2191 9,3027 9,2470 9,0403 8,7062 8,2969 7,8774 7,5054 7,2145 7,0044 6,8433 6,6862 6,4954 6,2524 5,9566 5,6127 5,2229 4,7979 4,3635 3,9505 3,5851 3,2896 3,0789 2,9501 2,8842 2,8634 2,8846 2,9593 3,1050 3,3347 3,6490 4,0327 4,4598 4,9026 5,3448 5,7902 6,2533 6,7348 7,2084 7,6284 7,9441 8,1145 8,1208 7,9775 7,7356 7,4672 7,2392 7,0951 7,0542 7,1201 7,2859 7,5353 7,8438 8,1810 8,5119 8,8001 9,0184 9,1587 9,2329 9,2610 9,2644 9,2619 9,2629 9,2602 9,2353 9,1753 9,0863 8,9903 8,9089 8,8546 8,8383 8,8691 8,9423 9,0351 9,1192 9,1732 9,1856 9,1544 9,0837 8,9792 8,8409 8,6555 8,3971 8,0441 7,6002 7,0919 6,5489 5,9973 5,4669 4,9882 4,5808 4,2477 3,9770 3,7476 3,5369 3,3285 3,1143 2,8958 2,6830 2,4942 2,3564 2,3004 2,3495 2,5110 2,7756 3,1211 3,5182 3,9366 4,3478 4,7208 5,0196 5,2079 5,2620 5,1782 4,9685 4,6545 4,2636 3,8257 3,3693 2,9188 2,4873 2,0709 1,6552 1,2331 0,8172 0,4398 0,1385 -0,0596 -0,1479 -0,1396 -0,0588 0,0673 0,2095 0,3357 0,4198 0,4511 0,4324
F3    5,0707 5,4860 5,7838 5,9890 6,1446 6,2812 6,4001 6,4735 6,4600 6,3249 6,0553 5,6622 5,1769 4,6477 4,1256 3,6387 3,1787 2,7171 2,2307 1,7065 1,1339 0,5045 -0,1803 -0,9044 -1,6404 -2,3559 -3,0193 -3,6084 -4,1158 -4,5439 -4,8960 -5,1791 -5,4099 -5,6057 -5,7701 -5,8932 -5,9550 -5,9204 -5,7437 -5,3944 -4,8808 -4,2545 -3,5915 -2,9643 -2,4228 -1,9891 -1,6540 -1,3782 -1,1102 -0,8104 -0,4621 -0,0637 0,3838 0,8769 1,4017 1,9394 2,4803 3,0221 3,5586 4,0782 4,5669 5,0091 5,3928 5,7162 5,9856 6,2104 6,3946 6,5247 6,5690 6,4938 6,2851 5,9618 5,5756 5,1931 4,8741 4,6593 4,5640 4,5718 4,6333 4,6821 4,6665 4,5733 4,4178 4,2201 3,9953 3,7538 3,4937 3,1966 2,8410 2,4192 1,9452 1,4551 1,0076 0,6701 0,4895 0,4782 0,6244 0,8985 1,2515 1,6298 1,9919 2,3069 2,5449 2,6725 2,6534 2,4526 2,0531 1,4736 0,7712 0,0243 -0,6946 -1,3361 -1,8675 -2,2599 -2,4924 -2,5609 -2,4754 -2,2552 -1,9336 -1,5627 -1,1991 -0,8760 -0,5864 -0,2984 0,0186 0,3834 0,8080 1,2997 1,8583 2,4708 3,1091 3,7284 4,2725 4,6926 4,9735 5,1471 5,2704 5,3863 5,5070 5,6275 5,7390 5,8356 5,9187 5,9945 6,0636 6,1225 6,1739 6,2293 6,3014 6,3961 6,5081 6,6202 6,7101 6,7612 6,7703 6,7563 6,7636 6,8470 7,0402 7,3306 7,6635 7,9754 8,2328 8,4459 8,6550 8,9044 9,2173 9,5810 9,9526 10,2785 10,5129 10,6278 10,6223 10,5281 10,3999 10,2914 10,2329 10,2256 10,2432 10,2339 10,1366 9,9106 9,5541 9,0979 8,5889 8,0768 7,6028 7,1951 6,8660 6,5982 6,3348 5,9997 5,5409 4,9548 4,2765 3,5585 2,8639 2,2594 1,7943 1,4847 1,3176 1,2641 1,2881 1,3481 1,4026 1,4211 1,3954 1,3365 1,2622 1,1851 1,1101 1,0384 0,9710 0,9064 0,8397 0,7704 0,7084 0,6704 0,6694 0,7051 0,7594 0,8066 0,8347 0,8569 0,9024 1,0016 1,1758 1,4301 1,7536 2,1254 2,5194 2,9090 3,2711 3,5891 3,8529 4,0618 4,2296 4,3802 4,5348 4,7062 4,8983 5,1066 5,3192 5,5137 5,6563 5,7166 5,6971 5,6514 5,6650 5,8119 6,1162 6,5475 7,0443 7,5384 7,9671 8,2813 8,4578 8,4992 8,4209 8,2416 7,9840 7,6782 7,3603 7,0605 6,7916 6,5502 6,3278 6,1143 5,8969 5,6652 5,4210 5,1818 4,9746 4,8272 4,7585 4,7628 4,7962 4,7895 4,6862 4,4723 4,1761 3,8525 3,5603 3,3387 3,2020 3,1618 3,2459 3,4825 3,8707 4,3722 4,9252 5,4616 5,9171 6,2434 6,4199 6,4541 6,3742 6,2219 6,0487 5,9111 5,8513 5,8704 5,9242 5,9507 5,9050 5,7804 5,6067 5,4273 5,2729 5,1574 5,0944 5,1036 5,2009 5,3894 5,6546 5,9594 6,2508 6,4769 6,6032 6,6203 6,5424 6,3918 6,1826 5,9173 5,5981 5,2414 4,8791 4,5423 4,2533 4,0383 3,9317 3,9578 4,1143 4,3763 4,7107 5,0873 5,4868 5,8996 6,3124 6,7036 7,0536 7,3542 7,6036 7,7954 7,9214 7,9880 8,0241 8,0642 8,1303 8,2337 8,3844 8,5874 8,8322 9,0947 9,3502 9,5818 9,7788 9,9342 10,0458 10,1183 10,1607 10,1811 10,1872 10,1901 10,2044 10,2465 10,3287 10,4496 10,5876 10,7039 10,7529 10,7011 10,5431 10,3041 10,0260 9,7462 9,4851 9,2500 9,0472 8,8869 8,7772 8,7165 8,6868 8,6543 8,5796 8,4308 8,1898 7,8579 7,4619 7,0601 6,7340 6,5522 6,5271 6,6108 6,7306 6,8219 6,8382 6,7552 6,5739 6,3196 6,0379 5,7838 5,6022 5,5146 5,5238 5,6271 5,8210 6,0926 6,4069 6,7076 6,9437 7,1029 7,2218 7,3612 7,5719 7,8727 8,2490 8,6663 9,0862 9,4780 9,8211 10,1038 10,3240 10,4853 10,5830 10,6025 10,5390 10,4153 10,2777 10,1801 10,1675 10,2634 10,4600 10,7124 10,9476 11,0925 11,1033 10,9772 10,7437 10,4453 10,1140 9,7587 9,3721 8,9449 8,4781 7,9928 7,5359 7,1677 6,9443 6,9065 7,0634 7,3733 7,7529 8,1112 8,3807 8,5361 8,6018 8,6359 8,6958 8,8183 9,0212 9,3077 9,6554 10,0054 10,2725 10,3773 10,2784 9,9888 9,5742 9,1308 8,7462 8,4631 8,2669 8,1031 7,9148 7,6729 7,3798 7,0533 6,7049 6,3330 5,9338 5,5157 5,0950 4,6874 4,3071 3,9665 3,6708 3,4223 3,2322 3,1232 3,1226 3,2540 3,5313 3,9512 4,4870 5,0939 5,7241 6,3482 6,9655 7,5845 8,1933 8,7495 9,1937 9,4714 9,5487 9,4209 9,1155 8,6884 8,2115 7,7580 7,3886 7,1432 7,0448 7,1082 7,3448 7,7527 8,3026 8,9344 9,5715 10,1451 10,6116 10,9489 11,1464 11,2071 11,1505 11,0071 10,8124 10,6022 10,4050 10,2386 10,1123 10,0277 9,9753 9,9386 9,8987 9,8361 9,7394 9,6235 9,5296 9,4961 9,5280 9,5912 9,6358 9,6215 9,5187 9,2968 8,9387 8,4678 7,9467 7,4424 6,9997 6,6364 6,3510 6,1316 5,9610 5,8131 5,6534 5,4546 5,2092 4,9262 4,6240 4,3227 4,0368 3,7745 3,5488 3,3835 3,3026 3,3191 3,4355 3,6463 3,9348 4,2732 4,6292 4,9694 5,2605 5,4730 5,5899 5,6056 5,5189 5,3321 5,0510 4,6848 4,2454 3,7430 3,1829 2,5700 1,9201 1,2673 0,6593 0,1445 -0,2374 -0,4620 -0,5235 -0,4323 -0,2116 0,1007 0,4501 0,7808 1,0558 1,2583
F7    2,6577 2,9135 3,1038 3,2627 3,4136 3,5481 3,6263 3,6085 3,4922 3,3145 3,1199 2,9287 2,7367 2,5335 2,3114 2,0641 1,7887 1,4904 1,1837 0,8843 0,5954 0,3046 -0,0094 -0,3695 -0,7870 -1,2444 -1,6967 -2,0915 -2,3921 -2,5884 -2,6983 -2,7642 -2,8404 -2,9691 -3,1584 -3,3783 -3,5730 -3,6770 -3,6359 -3,4259 -3,0611 -2,5878 -2,0681 -1,5596 -1,1054 -0,7346 -0,4537 -0,2319 -0,0148 0,2340 0,5100 0,7804 1,0143 1,2006 1,3426 1,4513 1,5422 1,6297 1,7294 1,8638 2,0510 2,2900 2,5720 2,9006 3,2892 3,7358 4,2007 4,6096 4,8845 4,9736 4,8656 4,5932 4,2232 3,8261 3,4516 3,1317 2,8926 2,7467 2,6753 2,6328 2,5751 2,4809 2,3507 2,1960 2,0361 1,8889 1,7535 1,6124 1,4565 1,2933 1,1294 0,9661 0,8179 0,7169 0,6869 0,7188 0,7801 0,8362 0,8621 0,8473 0,7946 0,7136 0,6194 0,5268 0,4282 0,2818 0,0355 -0,3304 -0,7920 -1,3065 -1,8412 -2,3719 -2,8592 -3,2408 -3,4595 -3,4918 -3,3455 -3,0429 -2,6185 -2,1243 -1,6240 -1,1713 -0,7910 -0,4790 -0,2115 0,0452 0,3218 0,6315 0,9661 1,3071 1,6404 1,9656 2,2925 2,6257 2,9527 3,2499 3,4965 3,6783 3,7889 3,8312 3,8143 3,7500 3,6587 3,5712 3,5151 3,5009 3,5259 3,5840 3,6682 3,7702 3,8807 3,9914 4,0989 4,1996 4,2828 4,3368 4,3614 4,3749 4,4087 4,4907 4,6287 4,8110 5,0264 5,2758 5,5657 5,8962 6,2569 6,6281 6,9845 7,2993 7,5476 7,7056 7,7536 7,6896 7,5365 7,3310 7,1021 6,8680 6,6517 6,4787 6,3544 6,2603 6,1739 6,0797 5,9689 5,8387 5,6863 5,5050 5,2944 5,0656 4,8315 4,6000 4,3741 4,1511 3,9198 3,6636 3,3755 3,0677 2,7634 2,4789 2,2164 1,9728 1,7486 1,5444 1,3528 1,1543 0,9234 0,6421 0,3108 -0,0478 -0,3901 -0,6575 -0,8045 -0,8315 -0,7801 -0,6972 -0,6141 -0,5483 -0,5068 -0,4898 -0,5020 -0,5547 -0,6458 -0,7426 -0,7945 -0,7628 -0,6349 -0,4173 -0,1245 0,2244 0,6020 0,9768 1,3274 1,6465 1,9313 2,1762 2,3770 2,5324 2,6459 2,7334 2,8271 2,9606 3,1495 3,3854 3,6449 3,9046 4,1489 4,3660 4,5477 4,6976 4,8272 4,9424 5,0398 5,1145 5,1613 5,1759 5,1633 5,1351 5,0994 5,0575 5,0047 4,9305 4,8293 4,7115 4,5968 4,4873 4,3520 4,1470 3,8512 3,4816 3,0822 2,7026 2,3832 2,1460 1,9942 1,9144 1,8760 1,8352 1,7543 1,6208 1,4540 1,3023 1,2280 1,2723 1,4279 1,6547 1,9132 2,1694 2,3878 2,5439 2,6409 2,7010 2,7459 2,7902 2,8363 2,8761 2,9075 2,9374 2,9700 3,0049 3,0442 3,0886 3,1315 3,1603 3,1634 3,1389 3,1028 3,0806 3,0867 3,1167 3,1607 3,2164 3,2948 3,4179 3,6047 3,8480 4,1001 4,2911 4,3701 4,3368 4,2352 4,1184 4,0120 3,9028 3,7591 3,5615 3,3170 3,0527 2,8069 2,6227 2,5358 2,5586 2,6769 2,8638 3,0987 3,3757 3,6955 4,0538 4,4340 4,8095 5,1569 5,4704 5,7562 6,0119 6,2203 6,3610 6,4160 6,3695 6,2157 5,9753 5,7068 5,4925 5,3980 5,4408 5,5959 5,8210 6,0770 6,3377 6,5914 6,8353 7,0623 7,2533 7,3831 7,4300 7,3861 7,2680 7,1131 6,9596 6,8274 6,7039 6,5492 6,3292 6,0425 5,7192 5,4033 5,1355 4,9395 4,8202 4,7748 4,7947 4,8590 4,9420 5,0299 5,1245 5,2290 5,3253 5,3658 5,2920 5,0676 4,7021 4,2512 3,7965 3,4140 3,1516 3,0224 3,0074 3,0642 3,1471 3,2246 3,2809 3,3146 3,3413 3,3882 3,4771 3,6127 3,7812 3,9587 4,1220 4,2531 4,3378 4,3721 4,3776 4,4041 4,5107 4,7358 5,0738 5,4779 5,8870 6,2524 6,5464 6,7561 6,8773 6,9221 6,9241 6,9150 6,8990 6,8603 6,7854 6,6718 6,5295 6,3796 6,2511 6,1730 6,1598 6,1996 6,2610 6,3096 6,3203 6,2794 6,1854 6,0452 5,8647 5,6426 5,3691 5,0327 4,6364 4,2117 3,8167 3,5181 3,3678 3,3837 3,5452 3,8031 4,0883 4,3268 4,4739 4,5432 4,5954 4,6959 4,8828 5,1646 5,5299 5,9443 6,3398 6,6287 6,7409 6,6510 6,3848 6,0086 5,6071 5,2538 4,9847 4,7906 4,6355 4,4860 4,3269 4,1536 3,9619 3,7462 3,5020 3,2297 2,9339 2,6172 2,2863 1,9640 1,6783 1,4321 1,2023 0,9789 0,7942 0,7020 0,7379 0,9063 1,1901 1,5634 1,9971 2,4560 2,9018 3,3110 3,6822 4,0214 4,3312 4,6163 4,8845 5,1341 5,3531 5,5353 5,6927 5,8515 6,0323 6,2333 6,4347 6,6163 6,7684 6,8958 7,0190 7,1656 7,3573 7,6004 7,8825 8,1743 8,4393 8,6434 8,7618 8,7810 8,6943 8,4980 8,1990 7,8235 7,4182 7,0366 6,7221 6,5006 6,3807 6,3501 6,3680 6,3765 6,3311 6,2250 6,0868 5,9547 5,8463 5,7517 5,6531 5,5381 5,3899 5,1839 4,9077 4,5751 4,2135 3,8414 3,4598 3,0648 2,6710 2,3176 2,0466 1,8788 1,8094 1,8181 1,8803 1,9707 2,0619 2,1252 2,1405 2,1095 2,0553 2,0075 1,9891 2,0183 2,1101 2,2672 2,4731 2,6945 2,8923 3,0362 3,1110 3,1089 3,0205 2,8452 2,6121 2,3730 2,1731 2,0294 1,9258 1,8227 1,6797 1,4811 1,2462 1,0150 0,8238 0,6911 0,6173 0,5895 0,5867 0,5861 0,5694 0,5278 0,4674 0,4033 0,3405
