Fp1   -0,2545 -0,6225 -0,9993 -1,3179 -1,5154 -1,5473 -1,4137 -1,1611 -0,8492 -0,5186 -0,1964 0,0813 0,2631 0,2857 0,0892 -0,3421 -0,9432 -1,5790 -2,0989 -2,3897 -2,4026 -2,1612 -1,7400 -1,2197 -0,6601 -0,1152 0,3459 0,6519 0,7718 0,7441 0,6572 0,5981 0,6173 0,7228 0,8930 1,0928 1,2803 1,4058 1,4254 1,3309 1,1618 0,9907 0,8956 0,9279 1,0898 1,3307 1,5613 1,6889 1,6603 1,4841 1,2211 0,9442 0,7035 0,5272 0,4360 0,4411 0,5404 0,7191 0,9492 1,1922 1,4073 1,5653 1,6569 1,6876 1,6855 1,7186 1,8673 2,1534 2,5109 2,8343 3,0457 3,1225 3,1035 3,0840 3,1646 3,3746 3,6439 3,8486 3,8894 3,7561 3,5286 3,3076 3,1360 2,9863 2,8166 2,6307 2,4784 2,4082 2,4345 2,5476 2,7322 2,9700 3,2349 3,4950 3,7282 3,9402 4,1558 4,3958 4,6608 4,9184 5,1055 5,1653 5,0875 4,9139 4,7140 4,5512 4,4608 4,4459 4,4876 4,5602 4,6527 4,7766 4,9346 5,0960 5,2206 5,2944 5,3335 5,3588 5,3703 5,3462 5,2623 5,1040 4,8602 4,5075 4,0123 3,3641 2,6115 1,8499 1,1660 0,6147 0,2454 0,1098 0,2252 0,5418 0,9603 1,3800 1,7297 1,9734 2,1117 2,1863 2,2707 2,4315 2,6861 2,9982 3,3179 3,6223 3,9115 4,1831 4,4239 4,6145 4,7374 4,7861 4,7667 4,6941 4,5893 4,4831 4,4172 4,4377 4,5777 4,8469 5,2420 5,7564 6,3681 7,0257 7,6429 8,1092 8,3247 8,2435 7,8912 7,3569 6,7761 6,2904 5,9889 5,8791 5,9149 6,0412 6,2178 6,4284 6,6806 6,9997 7,4217 7,9714 8,6347 9,3491 10,0192 10,5384 10,8137 10,8002 10,5192 10,0400 9,4501 8,8497 8,3444 8,0098 7,8562 7,8372 7,8995 8,0221 8,2099 8,4625 8,7664 9,1079 9,4743 9,8389 10,1449 10,3115 10,2790 10,0606 9,7543 9,5008 9,4070 9,4806 9,6352 9,7667 9,8201 9,7979 9,7363 9,6791 9,6540 9,6525 9,6358 9,5759 9,4982 9,4823 9,6081 9,8932 10,2804 10,6779 11,0002 11,1884 11,2256 11,1376 10,9776 10,8161 10,7327 10,7974 11,0523 11,4837 11,9976 12,4526 12,7348 12,7945 12,6294 12,2632 11,7418 11,1311 10,5148 9,9867 9,6200 9,4258 9,3514 9,3312 9,3288 9,3152 9,2361 9,0346 8,7091 8,3288 7,9903 7,7724 7,7229 7,8489 8,1068 8,4198 8,7042 8,8868 8,9193 8,7782 8,4490 7,9350 7,2909 6,6253 6,0631 5,7043 5,5955 5,7208 6,0174 6,4065 6,8105 7,1622 7,4233 7,5884 7,6658 7,6599 7,5742 7,4175 7,2002 6,9269 6,6035 6,2480 5,8810 5,5137 5,1599 4,8560 4,6582 4,6165 4,7443 5,0068 5,3383 5,6736 5,9725 6,2232 6,4249 6,5823 6,7164 6,8608 7,0332 7,2201 7,3943 7,5386 7,6471 7,7138 7,7289 7,6757 7,5427 7,3491 7,1354 6,9213 6,6898 6,4106 6,0668 5,6711 5,2677 4,9143 4,6563 4,5072 4,4513 4,4690 4,5530 4,7039 4,9123 5,1407 5,3325 5,4531 5,5100 5,5280 5,5251 5,5232 5,5549 5,6390 5,7660 5,9169 6,0773 6,2207 6,2842 6,1855 5,8847 5,4299 4,9335 4,5136 4,2484 4,1593 4,2138 4,3397 4,4639 4,5662 4,6955 4,9279 5,3037 5,7888 6,2819 6,6617 6,8507 6,8511 6,7239 6,5314 6,3036 6,0504 5,7820 5,5070 5,2301 4,9632 4,7363 4,5986 4,6061 4,7917 5,1457 5,6183 6,1205 6,5297 6,7349 6,6896 6,4116 5,9400 5,3082 4,5617 3,7859 3,0987 2,6068 2,3626 2,3580 2,5504 2,8889 3,3294 3,8504 4,4549 5,1431 5,8791 6,5731 7,0990 7,3533 7,3078 7,0159 6,5790 6,0977 5,6479 5,2868 5,0592 4,9862 5,0516 5,2087 5,4038 5,5904 5,7275 5,7748 5,6918 5,4441 5,0224 4,4669 3,8809 3,4041 3,1402 3,0952 3,1954 3,3579 3,5443 3,7685 4,0651 4,4321 4,8028 5,0805 5,1989 5,1472 4,9592 4,7029 4,4693 4,3284 4,2847 4,2814 4,2447 4,1232 3,9113 3,6605 3,4546 3,3566 3,3778 3,4825 3,6068 3,6894 3,7012 3,6500 3,5562 3,4296 3,2677 3,0674 2,8308 2,5690 2,3120 2,1071 1,9976 2,0032 2,1147 2,3000 2,5278 2,7862 3,0829 3,4339 3,8357 4,2274 4,4919 4,5286 4,3341 3,9959 3,6066 3,2157 2,8627 2,6187 2,5809 2,8212 3,3342 4,0361 4,8089 5,5488 6,1920 6,7094 7,0785 7,2626 7,2244 6,9545 6,4794 5,8567 5,1795 4,5669 4,1112 3,8223 3,6263 3,4141 3,0959 2,6328 2,0557 1,4626 0,9785 0,6971 0,6463 0,7882 1,0455 1,3523 1,6831 2,0270 2,3570 2,6435 2,8894 3,1289 3,3830 3,6211 3,7842 3,8396 3,7954 3,6783 3,5260 3,3793 3,2519 3,1057 2,8748 2,5278 2,1087 1,7064 1,3869 1,1641 1,0233 0,9590 0,9913 1,1520 1,4601 1,9144 2,4925 3,1412 3,7776 4,3101 4,6675 4,8272 4,8268 4,7400 4,6318 4,5336 4,4567 4,4159 4,4295 4,5070 4,6345 4,7681 4,8485 4,8293 4,7020 4,5076 4,3137 4,1705 4,0948 4,0862 4,1402 4,2442 4,3797 4,5374 4,7253 4,9563 5,2227 5,4803 5,6555 5,6731 5,4920 5,1238 4,6199 4,0473 3,4688 2,9215 2,4177 1,9719 1,6052 1,3320 1,1645 1,1183 1,2003 1,3995 1,6841 1,9942 2,2430 2,3528 2,3019 2,1250 1,8762 1,6154 1,4161 1,3540 1,4716 1,7456 2,0843 2,3635 2,4789 2,3885 2,1228
Fz    -0,2951 -0,5031 -0,6933 -0,8518 -0,9599 -1,0103 -1,0175 -1,0048 -0,9832 -0,9467 -0,8872 -0,8070 -0,7175 -0,6391 -0,6066 -0,6558 -0,7961 -0,9928 -1,1751 -1,2641 -1,2090 -1,0124 -0,7219 -0,3945 -0,0672 0,2430 0,5300 0,7993 1,0655 1,3333 1,5811 1,7734 1,8888 1,9304 1,9181 1,8792 1,8353 1,7827 1,6784 1,4665 1,1284 0,7039 0,2674 -0,1107 -0,3861 -0,5498 -0,6248 -0,6485 -0,6478 -0,6254 -0,5636 -0,4506 -0,3036 -0,1576 -0,0440 0,0176 0,0199 -0,0363 -0,1492 -0,3105 -0,4926 -0,6468 -0,7201 -0,6878 -0,5653 -0,3821 -0,1590 0,0851 0,3226 0,5279 0,6909 0,8098 0,8853 0,9294 0,9646 1,0080 1,0698 1,1590 1,2760 1,4084 1,5463 1,6889 1,8312 1,9559 2,0444 2,0928 2,1139 2,1184 2,1046 2,0766 2,0572 2,0746 2,1420 2,2488 2,3685 2,4775 2,5661 2,6341 2,6886 2,7460 2,8264 2,9410 3,0889 3,2689 3,4825 3,7223 3,9639 4,1755 4,3330 4,4276 4,4696 4,4856 4,4992 4,5137 4,5187 4,5009 4,4491 4,3572 4,2251 4,0636 3,8927 3,7235 3,5418 3,3184 3,0347 2,6955 2,3220 1,9345 1,5420 1,1550 0,8058 0,5382 0,3736 0,2953 0,2665 0,2564 0,2532 0,2646 0,3158 0,4442 0,6818 1,0331 1,4688 1,9406 2,4064 2,8484 3,2640 3,6465 3,9810 4,2552 4,4667 4,6194 4,7157 4,7556 4,7389 4,6682 4,5519 4,4126 4,2910 4,2293 4,2512 4,3551 4,5196 4,7204 4,9439 5,1830 5,4307 5,6823 5,9321 6,1674 6,3756 6,5550 6,7094 6,8280 6,8879 6,8836 6,8415 6,8036 6,8017 6,8421 6,9081 6,9802 7,0582 7,1631 7,3165 7,5212 7,7617 8,0239 8,3072 8,6131 8,9238 9,2016 9,4087 9,5241 9,5450 9,4852 9,3732 9,2463 9,1351 9,0499 8,9832 8,9254 8,8778 8,8487 8,8379 8,8261 8,7819 8,6832 8,5407 8,3996 8,3142 8,3191 8,4190 8,5916 8,7937 8,9730 9,0935 9,1593 9,2140 9,3050 9,4419 9,5906 9,7132 9,8080 9,9005 10,0084 10,1267 10,2389 10,3313 10,4023 10,4672 10,5452 10,6414 10,7540 10,8864 11,0356 11,1756 11,2572 11,2234 11,0389 10,7179 10,3237 9,9375 9,6234 9,4093 9,2856 9,2233 9,1971 9,1903 9,1844 9,1588 9,1089 9,0545 9,0111 8,9630 8,8821 8,7658 8,6410 8,5366 8,4602 8,3993 8,3348 8,2508 8,1306 7,9529 7,7052 7,4099 7,1228 6,8943 6,7443 6,6661 6,6342 6,6100 6,5679 6,5129 6,4628 6,4277 6,4133 6,4244 6,4610 6,5183 6,5870 6,6532 6,7027 6,7228 6,6996 6,6156 6,4564 6,2249 5,9536 5,7001 5,5259 5,4789 5,5805 5,8124 6,1217 6,4471 6,7419 6,9784 7,1409 7,2302 7,2694 7,2902 7,3100 7,3235 7,3116 7,2601 7,1697 7,0468 6,8880 6,6839 6,4436 6,2080 6,0259 5,9250 5,9108 5,9721 6,0749 6,1720 6,2358 6,2760 6,3209 6,3833 6,4476 6,4855 6,4711 6,3873 6,2384 6,0565 5,8880 5,7698 5,7152 5,7215 5,7834 5,8848 5,9819 6,0204 5,9804 5,8893 5,7865 5,6934 5,6161 5,5562 5,5068 5,4460 5,3443 5,1879 4,9904 4,7832 4,6043 4,4892 4,4606 4,5159 4,6201 4,7232 4,7918 4,8190 4,8123 4,7831 4,7471 4,7254 4,7380 4,7905 4,8654 4,9280 4,9438 4,8976 4,7930 4,6388 4,4423 4,2228 4,0183 3,8664 3,7843 3,7701 3,8149 3,9063 4,0262 4,1455 4,2244 4,2312 4,1654 4,0576 3,9446 3,8492 3,7779 3,7353 3,7372 3,8018 3,9301 4,0989 4,2710 4,4068 4,4766 4,4738 4,4178 4,3402 4,2754 4,2532 4,2861 4,3663 4,4720 4,5770 4,6576 4,6867 4,6350 4,4889 4,2651 4,0061 3,7609 3,5665 3,4448 3,4040 3,4349 3,5079 3,5768 3,5913 3,5158 3,3418 3,0946 2,8347 2,6320 2,5239 2,5028 2,5355 2,5814 2,6017 2,5745 2,5006 2,3922 2,2665 2,1533 2,0862 2,0764 2,1050 2,1384 2,1394 2,0757 1,9389 1,7578 1,5805 1,4387 1,3417 1,2940 1,3045 1,3788 1,5128 1,6901 1,8823 2,0529 2,1683 2,2091 2,1742 2,0801 1,9507 1,8015 1,6414 1,4874 1,3628 1,2830 1,2594 1,3071 1,4359 1,6370 1,8817 2,1301 2,3434 2,4891 2,5367 2,4656 2,2922 2,0863 1,9450 1,9342 2,0582 2,2766 2,5376 2,8014 3,0466 3,2601 3,4298 3,5478 3,6140 3,6378 3,6386 3,6359 3,6391 3,6472 3,6519 3,6372 3,5826 3,4787 3,3404 3,1988 3,0782 2,9797 2,8824 2,7533 2,5591 2,2774 1,9089 1,4773 1,0218 0,5815 0,1766 -0,1950 -0,5319 -0,8078 -0,9831 -1,0328 -0,9587 -0,7805 -0,5195 -0,1928 0,1802 0,5702 0,9401 1,2549 1,4956 1,6679 1,7894 1,8708 1,9096 1,8950 1,8197 1,6943 1,5494 1,4177 1,3167 1,2443 1,1852 1,1206 1,0312 0,8988 0,7174 0,5044 0,2985 0,1505 0,1010 0,1541 0,2741 0,4173 0,5672 0,7370 0,9461 1,2045 1,5092 1,8404 2,1664 2,4594 2,7037 2,8986 3,0582 3,2066 3,3625 3,5177 3,6349 3,6726 3,6163 3,4821 3,2941 3,0709 2,8330 2,6051 2,4026 2,2278 2,0836 1,9804 1,9268 1,9267 1,9827 2,0870 2,2137 2,3271 2,3889 2,3680 2,2563 2,0698 1,8404 1,6105 1,4219 1,2981 1,2364 1,2188 1,2262 1,2393 1,2385 1,2143 1,1664 1,0850 0,9512 0,7652 0,5567 0,3548 0,1553 -0,0677 -0,3207 -0,5786 -0,8053 -0,9698
F3    -0,4131 -0,5710 -0,6830 -0,7473 -0,7726 -0,7863 -0,8179 -0,8764 -0,9509 -1,0279 -1,0960 -1,1370 -1,1214 -1,0252 -0,8558 -0,6553 -0,4739 -0,3394 -0,2530 -0,2058 -0,1914 -0,2012 -0,2158 -0,2086 -0,1569 -0,0475 0,1252 0,3659 0,6737 1,0207 1,3476 1,5972 1,7497 1,8251 1,8626 1,8987 1,9475 1,9862 1,9515 1,7676 1,4005 0,8867 0,3072 -0,2548 -0,7334 -1,0817 -1,2740 -1,3086 -1,2099 -1,0206 -0,7815 -0,5218 -0,2632 -0,0238 0,1811 0,3394 0,4475 0,5075 0,5157 0,4624 0,3459 0,1863 0,0236 -0,1044 -0,1841 -0,2183 -0,2047 -0,1340 -0,0039 0,1756 0,3827 0,5851 0,7473 0,8429 0,8607 0,8087 0,7257 0,6783 0,7228 0,8717 1,1000 1,3697 1,6400 1,8751 2,0545 2,1752 2,2427 2,2577 2,2100 2,0966 1,9405 1,7855 1,6754 1,6374 1,6729 1,7593 1,8598 1,9382 1,9814 2,0111 2,0664 2,1732 2,3332 2,5349 2,7640 2,9985 3,2069 3,3677 3,4862 3,5844 3,6761 3,7610 3,8330 3,8852 3,9103 3,8977 3,8383 3,7310 3,5840 3,4149 3,2431 3,0680 2,8648 2,6149 2,3297 2,0371 1,7555 1,4818 1,1995 0,9024 0,6107 0,3503 0,1249 -0,0816 -0,2802 -0,4608 -0,5938 -0,6391 -0,5574 -0,3237 0,0566 0,5411 1,0638 1,5626 2,0078 2,4136 2,8127 3,2196 3,6179 3,9707 4,2395 4,3971 4,4348 4,3658 4,2233 4,0495 3,8750 3,7117 3,5706 3,4704 3,4221 3,4134 3,4207 3,4364 3,4808 3,5853 3,7699 4,0310 4,3399 4,6515 4,9259 5,1439 5,3038 5,4061 5,4512 5,4573 5,4653 5,5148 5,6154 5,7402 5,8424 5,8808 5,8412 5,7412 5,6185 5,5193 5,4941 5,5924 5,8531 6,2853 6,8449 7,4344 7,9413 8,2854 8,4436 8,4454 8,3462 8,1965 8,0273 7,8510 7,6701 7,4896 7,3235 7,1913 7,1050 7,0604 7,0405 7,0239 6,9942 6,9475 6,8973 6,8746 6,9153 7,0366 7,2216 7,4299 7,6259 7,7998 7,9662 8,1401 8,3106 8,4392 8,4888 8,4510 8,3400 8,1812 8,0117 7,8761 7,8138 7,8561 8,0236 8,3120 8,6761 9,0432 9,3387 9,4991 9,4748 9,2450 8,8295 8,2823 7,6788 7,1079 6,6554 6,3796 6,2941 6,3669 6,5365 6,7321 6,8898 6,9638 6,9398 6,8434 6,7270 6,6304 6,5576 6,4945 6,4373 6,3927 6,3627 6,3316 6,2661 6,1348 5,9335 5,6849 5,4145 5,1405 4,8852 4,6816 4,5568 4,5116 4,5200 4,5401 4,5312 4,4793 4,4079 4,3547 4,3396 4,3565 4,3818 4,3919 4,3828 4,3742 4,3909 4,4404 4,5065 4,5590 4,5656 4,5051 4,3780 4,2102 4,0499 3,9538 3,9656 4,0948 4,3081 4,5481 4,7673 4,9457 5,0793 5,1652 5,2016 5,1995 5,1809 5,1589 5,1250 5,0585 4,9443 4,7839 4,5898 4,3701 4,1258 3,8706 3,6469 3,5057 3,4697 3,5215 3,6208 3,7238 3,7990 3,8467 3,9040 4,0142 4,1845 4,3748 4,5237 4,5819 4,5290 4,3770 4,1661 3,9497 3,7754 3,6793 3,6894 3,8169 4,0351 4,2758 4,4585 4,5339 4,4977 4,3709 4,1811 3,9573 3,7237 3,4988 3,3051 3,1686 3,1050 3,1041 3,1351 3,1678 3,1873 3,1948 3,2021 3,2202 3,2504 3,2867 3,3176 3,3242 3,2913 3,2286 3,1737 3,1696 3,2347 3,3501 3,4710 3,5553 3,5832 3,5524 3,4627 3,3146 3,1241 2,9309 2,7776 2,6846 2,6491 2,6595 2,6961 2,7334 2,7511 2,7403 2,7044 2,6624 2,6465 2,6889 2,8077 3,0002 3,2459 3,5147 3,7730 3,9855 4,1206 4,1558 4,0784 3,8872 3,6020 3,2665 2,9338 2,6502 2,4510 2,3628 2,4032 2,5760 2,8678 3,2417 3,6267 3,9287 4,0706 4,0264 3,8241 3,5222 3,1819 2,8575 2,5972 2,4342 2,3705 2,3770 2,4149 2,4560 2,4843 2,4906 2,4751 2,4473 2,4182 2,3982 2,3952 2,4022 2,3913 2,3329 2,2225 2,0831 1,9505 1,8655 1,8622 1,9464 2,0838 2,2140 2,2761 2,2354 2,1046 1,9452 1,8307 1,7941 1,8135 1,8490 1,8772 1,8898 1,8867 1,8787 1,8804 1,8945 1,9104 1,9127 1,8881 1,8362 1,7719 1,7138 1,6765 1,6715 1,6957 1,7238 1,7324 1,7302 1,7544 1,8344 1,9623 2,0978 2,1967 2,2349 2,2141 2,1567 2,1002 2,0904 2,1690 2,3532 2,6245 2,9382 3,2379 3,4714 3,6047 3,6269 3,5444 3,3776 3,1586 2,9251 2,7147 2,5609 2,4919 2,5238 2,6495 2,8313 3,0144 3,1552 3,2393 3,2785 3,2973 3,3165 3,3374 3,3369 3,2773 3,1253 2,8701 2,5271 2,1277 1,7016 1,2621 0,8106 0,3587 -0,0585 -0,3940 -0,6106 -0,6976 -0,6739 -0,5771 -0,4412 -0,2794 -0,0826 0,1665 0,4747 0,8297 1,2075 1,5783 1,9135 2,1992 2,4354 2,6225 2,7619 2,8663 2,9538 3,0343 3,0991 3,1196 3,0584 2,8807 2,5634 2,1055 1,5414 0,9435 0,4072 0,0163 -0,1918 -0,2314 -0,1433 0,0352 0,2823 0,5913 0,9680 1,4139 1,8992 2,3678 2,7720 3,0967 3,3579 3,5923 3,8409 4,1180 4,3917 4,5997 4,6885 4,6388 4,4572 4,1580 3,7642 3,3133 2,8463 2,3957 1,9936 1,6852 1,5132 1,4872 1,5829 1,7649 1,9963 2,2361 2,4452 2,5926 2,6585 2,6367 2,5383 2,3895 2,2204 2,0558 1,9124 1,7981 1,7184 1,6785 1,6708 1,6726 1,6703 1,6674 1,6625 1,6340 1,5543 1,4093 1,1921 0,8913 0,5075 0,0863 -0,2895 -0,5461 -0,6552
F7    -0,8422 -1,0384 -1,1259 -1,0865 -0,9571 -0,7954 -0,6450 -0,5182 -0,4007 -0,2750 -0,1498 -0,0695 -0,0955 -0,2714 -0,5855 -0,9582 -1,2865 -1,5087 -1,6087 -1,5786 -1,4111 -1,1208 -0,7496 -0,3595 -0,0221 0,2121 0,3492 0,4421 0,5441 0,6862 0,8920 1,1804 1,5363 1,9017 2,2024 2,3774 2,3981 2,2755 2,0363 1,6942 1,2533 0,7293 0,1658 -0,3567 -0,7312 -0,8713 -0,7654 -0,4948 -0,1983 0,0014 0,0558 -0,0072 -0,1196 -0,2092 -0,2062 -0,0401 0,3340 0,8876 1,5052 2,0262 2,3081 2,2738 1,9395 1,4155 0,8661 0,4345 0,1835 0,1056 0,1738 0,3638 0,6373 0,9401 1,2223 1,4631 1,6831 1,9291 2,2306 2,5682 2,8798 3,0945 3,1612 3,0598 2,8128 2,4928 2,2029 2,0346 2,0276 2,1544 2,3423 2,5091 2,5849 2,5344 2,3697 2,1345 1,8758 1,6276 1,4120 1,2582 1,2132 1,3233 1,6058 2,0328 2,5309 3,0040 3,3731 3,6108 3,7441 3,8176 3,8592 3,8810 3,8931 3,8988 3,8791 3,7946 3,6025 3,2839 2,8764 2,4683 2,1404 1,9239 1,8149 1,7935 1,8203 1,8350 1,7808 1,6330 1,3954 1,0815 0,7230 0,3894 0,1718 0,1396 0,3045 0,6091 0,9416 1,1866 1,2925 1,2951 1,2689 1,2710 1,3304 1,4627 1,6699 1,9312 2,2107 2,4825 2,7487 3,0315 3,3549 3,7338 4,1641 4,6076 4,9938 5,2554 5,3602 5,3142 5,1550 4,9402 4,7277 4,5608 4,4631 4,4273 4,4166 4,4011 4,4009 4,4856 4,7218 5,1090 5,5620 5,9579 6,2108 6,3161 6,3329 6,3271 6,3323 6,3579 6,4139 6,5212 6,7108 7,0137 7,4378 7,9525 8,4978 9,0016 9,3863 9,5881 9,5881 9,4160 9,1240 8,7651 8,3943 8,0756 7,8652 7,7809 7,8010 7,8977 8,0547 8,2576 8,4800 8,6762 8,7870 8,7633 8,5959 8,3298 8,0429 7,8048 7,6631 7,6624 7,8390 8,1813 8,6099 9,0047 9,2634 9,3542 9,3200 9,2340 9,1529 9,0986 9,0650 9,0324 8,9789 8,8852 8,7472 8,5911 8,4641 8,4067 8,4310 8,5144 8,6169 8,7120 8,7933 8,8516 8,8597 8,7878 8,6376 8,4551 8,3088 8,2619 8,3505 8,5612 8,8299 9,0768 9,2444 9,3079 9,2674 9,1388 8,9485 8,7347 8,5392 8,3814 8,2475 8,1117 7,9504 7,7390 7,4593 7,1121 6,7226 6,3436 6,0510 5,9146 5,9579 6,1449 6,4049 6,6598 6,8391 6,8930 6,8080 6,6116 6,3566 6,0974 5,8794 5,7334 5,6657 5,6596 5,6931 5,7494 5,8157 5,8798 5,9309 5,9616 5,9767 5,9912 6,0115 6,0235 6,0085 5,9678 5,9220 5,8905 5,8756 5,8606 5,8194 5,7383 5,6314 5,5286 5,4479 5,3809 5,3070 5,2211 5,1459 5,1095 5,1123 5,1249 5,1200 5,1004 5,0968 5,1483 5,2816 5,5023 5,7935 6,1164 6,4268 6,6921 6,8895 6,9998 7,0169 6,9515 6,8206 6,6350 6,3945 6,0950 5,7419 5,3529 4,9563 4,5990 4,3343 4,1782 4,0891 4,0035 3,8921 3,7824 3,7311 3,7782 3,9241 4,1309 4,3327 4,4706 4,5390 4,5817 4,6420 4,7363 4,8688 5,0450 5,2614 5,4929 5,6953 5,8196 5,8305 5,7223 5,5157 5,2417 4,9353 4,6371 4,3887 4,2195 4,1357 4,1251 4,1854 4,3410 4,6154 4,9912 5,4128 5,8221 6,1777 6,4597 6,6738 6,8468 7,0001 7,1139 7,1186 6,9350 6,5269 5,9289 5,2445 4,6091 4,1335 3,8702 3,8252 3,9807 4,2968 4,7113 5,1541 5,5521 5,8304 5,9322 5,8375 5,5648 5,1659 4,7199 4,3184 4,0469 3,9570 4,0423 4,2465 4,5001 4,7515 4,9777 5,1840 5,3898 5,6092 5,8414 6,0633 6,2280 6,2850 6,2054 5,9919 5,6774 5,3201 4,9936 4,7703 4,7030 4,8059 5,0398 5,3269 5,5903 5,7741 5,8336 5,7406 5,5020 5,1545 4,7478 4,3381 3,9780 3,7016 3,5245 3,4482 3,4644 3,5678 3,7633 4,0433 4,3576 4,6181 4,7418 4,6954 4,5175 4,3100 4,1890 4,2106 4,3431 4,5084 4,6391 4,7016 4,6931 4,6306 4,5373 4,4365 4,3599 4,3554 4,4602 4,6565 4,8619 4,9699 4,9009 4,6334 4,2161 3,7583 3,3874 3,1926 3,2013 3,3903 3,6979 4,0424 4,3573 4,6112 4,7988 4,9256 5,0038 5,0480 5,0596 5,0165 4,8858 4,6455 4,2967 3,8644 3,3971 2,9762 2,7125 2,7046 2,9742 3,4490 4,0289 4,6576 5,3093 5,9330 6,4508 6,7996 6,9521 6,9101 6,6989 6,3663 5,9824 5,6298 5,3721 5,2269 5,1835 5,2346 5,3665 5,5290 5,6393 5,6209 5,4400 5,1137 4,6926 4,2319 3,7642 3,2953 2,8308 2,4118 2,1102 1,9837 2,0483 2,2925 2,6999 3,2491 3,8982 4,5811 5,2210 5,7468 6,1065 6,2782 6,2739 6,1307 5,9015 5,6426 5,3944 5,1636 4,9230 4,6442 4,3469 4,1144 4,0483 4,1964 4,5139 4,8932 5,2248 5,4387 5,5185 5,4990 5,4386 5,3731 5,2995 5,2056 5,1005 5,0081 4,9479 4,9394 5,0133 5,1965 5,4801 5,8118 6,1295 6,4023 6,6330 6,8282 6,9788 7,0684 7,0862 7,0319 6,9201 6,7846 6,6630 6,5694 6,4877 6,3959 6,2877 6,1726 6,0638 5,9678 5,8798 5,7867 5,6778 5,5577 5,4453 5,3547 5,2793 5,1935 5,0665 4,8837 4,6615 4,4326 4,2121 3,9932 3,7867 3,6563 3,6933 3,9438 4,3608 4,8203 5,1796 5,3330 5,2436 4,9494 4,5449 4,1436 3,8317 3,6378 3,5395 3,5033 3,5171 3,5868 3,7127
