Fp1   0,5549 0,3886 0,2017 0,0248 -0,1254 -0,2503 -0,3545 -0,4396 -0,5113 -0,5844 -0,6741 -0,7803 -0,8820 -0,9396 -0,9036 -0,7338 -0,4250 -0,0154 0,4313 0,8508 1,1896 1,4011 1,4460 1,3066 1,0066 0,6168 0,2338 -0,0553 -0,1988 -0,1833 -0,0240 0,2437 0,5665 0,8781 1,1156 1,2434 1,2569 1,1632 0,9632 0,6581 0,2639 -0,1857 -0,6421 -1,0443 -1,3333 -1,4779 -1,4874 -1,3993 -1,2577 -1,0969 -0,9303 -0,7477 -0,5222 -0,2228 0,1699 0,6492 1,1743 1,6690 2,0362 2,1837 2,0510 1,6379 1,0187 0,3247 -0,2996 -0,7435 -0,9620 -0,9826 -0,8850 -0,7585 -0,6628 -0,6135 -0,5912 -0,5620 -0,4992 -0,3927 -0,2435 -0,0563 0,1557 0,3651 0,5367 0,6421 0,6701 0,6261 0,5224 0,3639 0,1449 -0,1420 -0,4902 -0,8692 -1,2268 -1,5053 -1,6569 -1,6520 -1,4885 -1,2010 -0,8504 -0,5010 -0,2088 -0,0179 0,0480 -0,0093 -0,1662 -0,3872 -0,6386 -0,9024 -1,1732 -1,4404 -1,6763 -1,8395 -1,8915 -1,8192 -1,6499 -1,4484 -1,2911 -1,2304 -1,2755 -1,4024 -1,5782 -1,7746 -1,9687 -2,1424 -2,2838 -2,3893 -2,4637 -2,5166 -2,5492 -2,5428 -2,4736 -2,3430 -2,1870 -2,0459 -1,9321 -1,8341 -1,7380 -1,6343 -1,5120 -1,3608 -1,1841 -1,0040 -0,8449 -0,7100 -0,5741 -0,4068 -0,2060 -0,0075 0,1360 0,1789 0,0906 -0,1357 -0,4670 -0,8283 -1,1259 -1,2847 -1,2788 -1,1416 -0,9439 -0,7572 -0,6212 -0,5287 -0,4391 -0,3179 -0,1650 -0,0096 0,1209 0,2245 0,3153 0,3975 0,4553 0,4622 0,3957 0,2480 0,0301 -0,2340 -0,5133 -0,7739 -0,9830 -1,1134 -1,1452 -1,0647 -0,8685 -0,5764 -0,2462 0,0356 0,1928 0,2006 0,0951 -0,0560 -0,1950 -0,2974 -0,3642 -0,3956 -0,3774 -0,2999 -0,1875 -0,0946 -0,0690 -0,1218 -0,2305 -0,3623 -0,4968 -0,6360 -0,7985 -1,0005 -1,2367 -1,4733 -1,6594 -1,7493 -1,7235 -1,5940 -1,3963 -1,1819 -1,0106 -0,9362 -0,9846 -1,1409 -1,3555 -1,5672 -1,7281 -1,8208 -1,8619 -1,8890 -1,9301 -1,9791 -2,0048 -1,9819 -1,9121 -1,8220 -1,7508 -1,7315 -1,7693 -1,8337 -1,8774 -1,8674 -1,7982 -1,6803 -1,5302 -1,3722 -1,2409 -1,1773 -1,2171 -1,3694 -1,6017 -1,8551 -2,0705 -2,2026 -2,2269 -2,1437 -1,9790 -1,7820 -1,6159 -1,5400 -1,5854 -1,7375 -1,9408 -2,1282 -2,2502 -2,2851 -2,2360 -2,1296 -2,0155 -1,9496 -1,9661 -2,0608 -2,1955 -2,3141 -2,3727 -2,3723 -2,3615 -2,4037 -2,5364 -2,7437 -2,9577 -3,0946 -3,1051 -3,0033 -2,8489 -2,6994 -2,5749 -2,4637 -2,3540 -2,2495 -2,1549 -2,0619 -1,9579 -1,8436 -1,7371 -1,6659 -1,6520 -1,6961 -1,7659 -1,8094 -1,7900 -1,7175 -1,6390 -1,5963 -1,5928 -1,6028 -1,6026 -1,5906 -1,5791 -1,5733 -1,5557 -1,4908 -1,3498 -1,1363 -0,8926 -0,6833 -0,5712 -0,5979 -0,7765 -1,0852 -1,4674 -1,8562 -2,2050 -2,4841 -2,6548 -2,6650 -2,4779 -2,1054 -1,6228 -1,1456 -0,7748 -0,5522 -0,4585 -0,4427 -0,4533 -0,4616 -0,4731 -0,5145 -0,5998 -0,7112 -0,8115 -0,8700 -0,8802 -0,8621 -0,8453 -0,8458 -0,8521 -0,8287 -0,7378 -0,5647 -0,3287 -0,0764 0,1365 0,2673 0,3011 0,2524 0,1495 0,0142 -0,1473 -0,3383 -0,5582 -0,7888 -0,9963 -1,1469 -1,2283 -1,2533 -1,2404 -1,1941 -1,1055 -0,9684 -0,7886 -0,5844 -0,3852 -0,2292 -0,1574 -0,2051 -0,3903 -0,6973 -1,0720 -1,4419 -1,7389 -1,9031 -1,8895 -1,6879 -1,3334 -0,8967 -0,4616 -0,1006 0,1414 0,2502 0,2371 0,1290 -0,0383 -0,2290 -0,4182 -0,5936 -0,7413 -0,8399 -0,8809 -0,8855 -0,8873 -0,8997 -0,9049 -0,8685 -0,7615 -0,5751 -0,3316 -0,0911 0,0660 0,0774 -0,0741 -0,3632 -0,7356 -1,1139 -1,4029 -1,5148 -1,4026 -1,0808 -0,6224 -0,1411 0,2406 0,4363 0,4280 0,2645 0,0266 -0,2175 -0,4347 -0,6206 -0,7767 -0,8937 -0,9555 -0,9571 -0,9122 -0,8482 -0,7944 -0,7564 -0,6992 -0,5672 -0,3293 -0,0078 0,3394 0,6524 0,8854 1,0095 1,0153 0,9094 0,7106 0,4555 0,1983 -0,0051 -0,1134 -0,1147 -0,0370 0,0606 0,1111 0,0636 -0,0917 -0,3075 -0,4983 -0,5946 -0,5911 -0,5409 -0,5105 -0,5422 -0,6436 -0,7871 -0,9223 -1,0034 -1,0086 -0,9354 -0,7895 -0,5850 -0,3473 -0,1033 0,1311 0,3442 0,5077 0,5794 0,5338 0,3831 0,1690 -0,0574 -0,2546 -0,4082 -0,5377 -0,6850 -0,8870 -1,1480 -1,4321 -1,6824 -1,8549 -1,9392 -1,9522 -1,9204 -1,8662 -1,8020 -1,7353 -1,6779 -1,6462 -1,6547 -1,7142 -1,8304 -1,9944 -2,1715 -2,3094 -2,3667 -2,3433 -2,2885 -2,2771 -2,3716 -2,5992 -2,9498 -3,3808 -3,8218 -4,1857 -4,3921 -4,3956 -4,2045 -3,8762 -3,4828 -3,0728 -2,6639 -2,2663 -1,9010 -1,5965 -1,3720 -1,2322 -1,1819 -1,2341 -1,3932 -1,6326 -1,8936 -2,1109 -2,2414 -2,2689 -2,1960 -2,0489 -1,8807 -1,7542 -1,7180 -1,7924 -1,9675 -2,2103 -2,4763 -2,7206 -2,9071 -3,0125 -3,0283 -2,9570 -2,8048 -2,5811 -2,3111 -2,0435 -1,8385 -1,7406 -1,7606 -1,8718 -2,0168 -2,1257 -2,1412 -2,0441 -1,8631 -1,6646 -1,5269 -1,5082 -1,6245 -1,8555 -2,1662 -2,5201 -2,8779 -3,2000 -3,4506 -3,5988 -3,6211 -3,5079 -3,2654 -2,9123 -2,4840 -2,0439 -1,6791 -1,4780 -1,4973 -1,7299 -2,0987 -2,4877 -2,7954 -2,9709 -3,0190 -2,9821 -2,9160 -2,8676 -2,8620 -2,9024 -2,9760 -3,0612 -3,1387 -3,1939 -3,2079 -3,1558 -3,0216 -2,8180 -2,5925 -2,4085 -2,3133 -2,3204 -2,4166 -2,5758 -2,7636
Fz    0,7704 0,6548 0,4689 0,2403 -0,0140 -0,2808 -0,5388 -0,7600 -0,9167 -0,9884 -0,9677 -0,8620 -0,6900 -0,4751 -0,2403 -0,0106 0,1872 0,3346 0,4342 0,5114 0,5989 0,7155 0,8554 0,9947 1,1053 1,1651 1,1589 1,0780 0,9282 0,7351 0,5359 0,3629 0,2310 0,1341 0,0517 -0,0351 -0,1290 -0,2161 -0,2791 -0,3096 -0,3101 -0,2950 -0,2897 -0,3220 -0,4100 -0,5569 -0,7535 -0,9800 -1,2089 -1,4132 -1,5761 -1,6986 -1,7951 -1,8818 -1,9723 -2,0774 -2,2021 -2,3377 -2,4611 -2,5484 -2,5909 -2,5955 -2,5715 -2,5259 -2,4717 -2,4320 -2,4289 -2,4670 -2,5305 -2,5951 -2,6395 -2,6485 -2,6146 -2,5401 -2,4351 -2,3104 -2,1755 -2,0436 -1,9322 -1,8569 -1,8245 -1,8335 -1,8729 -1,9207 -1,9503 -1,9458 -1,9096 -1,8544 -1,7952 -1,7484 -1,7305 -1,7501 -1,8016 -1,8682 -1,9315 -1,9821 -2,0238 -2,0735 -2,1544 -2,2830 -2,4560 -2,6538 -2,8538 -3,0382 -3,1944 -3,3138 -3,3950 -3,4478 -3,4963 -3,5752 -3,7177 -3,9370 -4,2214 -4,5450 -4,8799 -5,1954 -5,4544 -5,6176 -5,6538 -5,5479 -5,3047 -4,9476 -4,5143 -4,0523 -3,6146 -3,2516 -2,9972 -2,8597 -2,8270 -2,8751 -2,9702 -3,0648 -3,0987 -3,0146 -2,7816 -2,4102 -1,9515 -1,4784 -1,0625 -0,7560 -0,5809 -0,5252 -0,5501 -0,6087 -0,6670 -0,7116 -0,7391 -0,7461 -0,7303 -0,6904 -0,6196 -0,5043 -0,3338 -0,1130 0,1335 0,3653 0,5365 0,6123 0,5835 0,4731 0,3275 0,1962 0,1127 0,0921 0,1372 0,2414 0,3883 0,5586 0,7351 0,9015 1,0405 1,1405 1,2011 1,2388 1,2868 1,3829 1,5507 1,7889 2,0766 2,3862 2,6921 2,9719 3,2064 3,3819 3,4903 3,5235 3,4696 3,3199 3,0799 2,7746 2,4439 2,1305 1,8676 1,6697 1,5305 1,4325 1,3598 1,3027 1,2546 1,2114 1,1691 1,1194 1,0495 0,9487 0,8091 0,6194 0,3633 0,0262 -0,3867 -0,8390 -1,2711 -1,6215 -1,8446 -1,9221 -1,8727 -1,7506 -1,6305 -1,5869 -1,6753 -1,9146 -2,2800 -2,7108 -3,1263 -3,4496 -3,6361 -3,6886 -3,6441 -3,5461 -3,4265 -3,3015 -3,1735 -3,0391 -2,9025 -2,7813 -2,6945 -2,6471 -2,6311 -2,6374 -2,6578 -2,6812 -2,6905 -2,6647 -2,5885 -2,4669 -2,3304 -2,2247 -2,1912 -2,2468 -2,3784 -2,5562 -2,7483 -2,9275 -3,0773 -3,2001 -3,3156 -3,4476 -3,6106 -3,8057 -4,0236 -4,2470 -4,4533 -4,6203 -4,7305 -4,7734 -4,7463 -4,6575 -4,5244 -4,3652 -4,1913 -4,0076 -3,8214 -3,6503 -3,5201 -3,4591 -3,4923 -3,6361 -3,8870 -4,2146 -4,5691 -4,8964 -5,1499 -5,2969 -5,3235 -5,2363 -5,0595 -4,8239 -4,5557 -4,2750 -4,0064 -3,7825 -3,6339 -3,5774 -3,6121 -3,7172 -3,8566 -3,9906 -4,0873 -4,1299 -4,1210 -4,0815 -4,0421 -4,0306 -4,0587 -4,1163 -4,1775 -4,2163 -4,2181 -4,1794 -4,1023 -3,9917 -3,8555 -3,7038 -3,5461 -3,3910 -3,2480 -3,1248 -3,0271 -2,9626 -2,9421 -2,9747 -3,0659 -3,2145 -3,4047 -3,5991 -3,7459 -3,7953 -3,7141 -3,4929 -3,1501 -2,7280 -2,2762 -1,8391 -1,4533 -1,1504 -0,9566 -0,8902 -0,9538 -1,1312 -1,3893 -1,6881 -1,9887 -2,2547 -2,4493 -2,5410 -2,5178 -2,3990 -2,2303 -2,0678 -1,9611 -1,9406 -2,0083 -2,1433 -2,3172 -2,5017 -2,6715 -2,8116 -2,9245 -3,0260 -3,1335 -3,2570 -3,3887 -3,4992 -3,5482 -3,5065 -3,3743 -3,1849 -2,9911 -2,8405 -2,7528 -2,7188 -2,7192 -2,7444 -2,7993 -2,8920 -3,0202 -3,1681 -3,3134 -3,4407 -3,5465 -3,6305 -3,6884 -3,7146 -3,7053 -3,6580 -3,5735 -3,4625 -3,3504 -3,2737 -3,2658 -3,3402 -3,4889 -3,6876 -3,9004 -4,0915 -4,2437 -4,3672 -4,4861 -4,6138 -4,7400 -4,8379 -4,8772 -4,8319 -4,6856 -4,4376 -4,1075 -3,7357 -3,3804 -3,1013 -2,9358 -2,8869 -2,9306 -3,0320 -3,1578 -3,2795 -3,3748 -3,4331 -3,4638 -3,4939 -3,5515 -3,6475 -3,7683 -3,8818 -3,9547 -3,9685 -3,9200 -3,8110 -3,6420 -3,4158 -3,1426 -2,8406 -2,5295 -2,2244 -1,9359 -1,6779 -1,4738 -1,3470 -1,2999 -1,3072 -1,3295 -1,3292 -1,2788 -1,1670 -1,0037 -0,8201 -0,6580 -0,5500 -0,5068 -0,5197 -0,5695 -0,6349 -0,6985 -0,7491 -0,7826 -0,8016 -0,8140 -0,8352 -0,8876 -0,9922 -1,1592 -1,3859 -1,6569 -1,9423 -2,2034 -2,4102 -2,5575 -2,6689 -2,7841 -2,9352 -3,1287 -3,3423 -3,5358 -3,6712 -3,7343 -3,7452 -3,7502 -3,8001 -3,9270 -4,1328 -4,3955 -4,6848 -4,9675 -5,2052 -5,3655 -5,4440 -5,4720 -5,5020 -5,5892 -5,7738 -6,0646 -6,4290 -6,8060 -7,1377 -7,3976 -7,5983 -7,7786 -7,9789 -8,2140 -8,4654 -8,6981 -8,8824 -8,9995 -9,0347 -8,9775 -8,8282 -8,6011 -8,3227 -8,0287 -7,7595 -7,5455 -7,3942 -7,2914 -7,2122 -7,1233 -6,9827 -6,7519 -6,4154 -5,9908 -5,5189 -5,0462 -4,6112 -4,2398 -3,9515 -3,7679 -3,7111 -3,7952 -4,0182 -4,3578 -4,7732 -5,2165 -5,6452 -6,0244 -6,3240 -6,5244 -6,6270 -6,6558 -6,6454 -6,6294 -6,6373 -6,6922 -6,8077 -6,9819 -7,1946 -7,4151 -7,6167 -7,7855 -7,9169 -8,0028 -8,0289 -7,9840 -7,8686 -7,6938 -7,4816 -7,2622 -7,0642 -6,9064 -6,7967 -6,7317 -6,7013 -6,6927 -6,6892 -6,6692 -6,6085 -6,4853 -6,2882 -6,0203 -5,6985 -5,3547 -5,0304 -4,7538 -4,5197 -4,2938 -4,0352 -3,7198 -3,3536 -2,9686 -2,6070 -2,3049 -2,0792 -1,9281 -1,8459 -1,8365 -1,9099 -2,0648 -2,2786 -2,5159 -2,7453 -2,9520 -3,1412 -3,3321 -3,5450 -3,7898 -4,0635 -4,3556 -4,6573 -4,9622 -5,2596 -5,5328 -5,7667 -5,9576 -6,1112
F3    -0,3012 -0,3306 -0,3266 -0,2668 -0,1647 -0,0583 0,0123 0,0242 -0,0168 -0,0793 -0,1290 -0,1542 -0,1578 -0,1294 -0,0531 0,0550 0,1412 0,1519 0,0718 -0,0686 -0,2071 -0,2714 -0,2062 -0,0012 0,2996 0,6198 0,8845 1,0438 1,0808 1,0094 0,8624 0,6757 0,4732 0,2546 -0,0041 -0,3199 -0,6615 -0,9467 -1,0821 -1,0042 -0,7082 -0,2607 0,2132 0,5711 0,7032 0,5724 0,2209 -0,2509 -0,7168 -1,0634 -1,2379 -1,2758 -1,2767 -1,3442 -1,5397 -1,8740 -2,3095 -2,7630 -3,1316 -3,3312 -3,3187 -3,1014 -2,7412 -2,3448 -2,0276 -1,8631 -1,8504 -1,9273 -2,0150 -2,0533 -2,0116 -1,8865 -1,7064 -1,5352 -1,4544 -1,5224 -1,7476 -2,0964 -2,5081 -2,9001 -3,1914 -3,3391 -3,3561 -3,2934 -3,1943 -3,0592 -2,8539 -2,5453 -2,1327 -1,6617 -1,2078 -0,8425 -0,6127 -0,5426 -0,6330 -0,8631 -1,2054 -1,6321 -2,1021 -2,5525 -2,9139 -3,1410 -3,2357 -3,2377 -3,1825 -3,0656 -2,8516 -2,5270 -2,1570 -1,8858 -1,8623 -2,1532 -2,7121 -3,4118 -4,1047 -4,6810 -5,0921 -5,3308 -5,3977 -5,2881 -4,9991 -4,5421 -3,9524 -3,3005 -2,6942 -2,2452 -2,0183 -2,0189 -2,2109 -2,5224 -2,8569 -3,1291 -3,2868 -3,2982 -3,1369 -2,7995 -2,3369 -1,8530 -1,4559 -1,1997 -1,0704 -1,0213 -1,0213 -1,0685 -1,1704 -1,3207 -1,4873 -1,6196 -1,6720 -1,6203 -1,4589 -1,1927 -0,8373 -0,4233 0,0100 0,4288 0,8085 1,1236 1,3452 1,4535 1,4522 1,3640 1,2132 1,0108 0,7469 0,4027 -0,0209 -0,4860 -0,9319 -1,3002 -1,5515 -1,6711 -1,6621 -1,5269 -1,2569 -0,8384 -0,2678 0,4285 1,1750 1,8529 2,3428 2,5836 2,5947 2,4471 2,2215 1,9801 1,7532 1,5457 1,3603 1,2122 1,1182 1,0742 1,0504 1,0134 0,9525 0,8764 0,7864 0,6627 0,4851 0,2648 0,0472 -0,1166 -0,1947 -0,1825 -0,1083 -0,0437 -0,0993 -0,3810 -0,9247 -1,6691 -2,4799 -3,1907 -3,6465 -3,7556 -3,5313 -3,0852 -2,5727 -2,1390 -1,8924 -1,8906 -2,1300 -2,5472 -3,0418 -3,5149 -3,9049 -4,1903 -4,3640 -4,4176 -4,3466 -4,1592 -3,8846 -3,5717 -3,2743 -3,0362 -2,8897 -2,8571 -2,9458 -3,1417 -3,4088 -3,6877 -3,8966 -3,9492 -3,7914 -3,4342 -2,9570 -2,4797 -2,1284 -1,9974 -2,1098 -2,4021 -2,7556 -3,0649 -3,2968 -3,4938 -3,7226 -4,0188 -4,3739 -4,7543 -5,1195 -5,4292 -5,6433 -5,7212 -5,6261 -5,3432 -4,9000 -4,3615 -3,7987 -3,2608 -2,7789 -2,3795 -2,0875 -1,9288 -1,9384 -2,1486 -2,5600 -3,1337 -3,8114 -4,5304 -5,2223 -5,8147 -6,2425 -6,4598 -6,4499 -6,2340 -5,8662 -5,4139 -4,9363 -4,4719 -4,0389 -3,6541 -3,3475 -3,1511 -3,0787 -3,1206 -3,2565 -3,4677 -3,7324 -4,0115 -4,2508 -4,4031 -4,4463 -4,3833 -4,2346 -4,0389 -3,8512 -3,7273 -3,6985 -3,7598 -3,8724 -3,9760 -4,0054 -3,9127 -3,6922 -3,3857 -3,0632 -2,7984 -2,6521 -2,6611 -2,8329 -3,1389 -3,5151 -3,8854 -4,1915 -4,4072 -4,5352 -4,5950 -4,5976 -4,5211 -4,3208 -3,9640 -3,4547 -2,8423 -2,2159 -1,6721 -1,2769 -1,0555 -1,0046 -1,0982 -1,2945 -1,5522 -1,8376 -2,1141 -2,3419 -2,4971 -2,5856 -2,6347 -2,6737 -2,7152 -2,7518 -2,7643 -2,7337 -2,6571 -2,5570 -2,4731 -2,4487 -2,5202 -2,6996 -2,9586 -3,2452 -3,5198 -3,7610 -3,9408 -4,0206 -3,9797 -3,8324 -3,6150 -3,3602 -3,0762 -2,7484 -2,3671 -1,9592 -1,5923 -1,3485 -1,2935 -1,4620 -1,8468 -2,3920 -3,0124 -3,6225 -4,1494 -4,5387 -4,7692 -4,8623 -4,8647 -4,8185 -4,7438 -4,6426 -4,5187 -4,3921 -4,2852 -4,1922 -4,0848 -3,9539 -3,8289 -3,7610 -3,8010 -3,9818 -4,3012 -4,7161 -5,1508 -5,5184 -5,7523 -5,8241 -5,7347 -5,5064 -5,1957 -4,8955 -4,6993 -4,6492 -4,7089 -4,7851 -4,7824 -4,6502 -4,3891 -4,0305 -3,6271 -3,2603 -3,0290 -3,0079 -3,2048 -3,5570 -3,9643 -4,3322 -4,6003 -4,7455 -4,7645 -4,6622 -4,4593 -4,1935 -3,9004 -3,5936 -3,2697 -2,9333 -2,6210 -2,4007 -2,3411 -2,4602 -2,6873 -2,8888 -2,9477 -2,8249 -2,5597 -2,2352 -1,9425 -1,7490 -1,6779 -1,7033 -1,7654 -1,8044 -1,7959 -1,7512 -1,6836 -1,5895 -1,4651 -1,3272 -1,2159 -1,1807 -1,2654 -1,4948 -1,8633 -2,3321 -2,8351 -3,2935 -3,6420 -3,8592 -3,9789 -4,0729 -4,2112 -4,4223 -4,6813 -4,9326 -5,1230 -5,2259 -5,2525 -5,2424 -5,2357 -5,2475 -5,2679 -5,2869 -5,3120 -5,3549 -5,4111 -5,4564 -5,4645 -5,4323 -5,3979 -5,4372 -5,6296 -6,0057 -6,5218 -7,0793 -7,5702 -7,9233 -8,1296 -8,2373 -8,3228 -8,4517 -8,6452 -8,8711 -9,0622 -9,1470 -9,0798 -8,8609 -8,5335 -8,1632 -7,8186 -7,5679 -7,4744 -7,5661 -7,8059 -8,1053 -8,3707 -8,5332 -8,5468 -8,3854 -8,0529 -7,5867 -7,0540 -6,5340 -6,0736 -5,6604 -5,2615 -4,8893 -4,6189 -4,5426 -4,7208 -5,1634 -5,8246 -6,6018 -7,3605 -7,9734 -8,3489 -8,4537 -8,3278 -8,0695 -7,7899 -7,5783 -7,4950 -7,5699 -7,7900 -8,0966 -8,4058 -8,6437 -8,7748 -8,8100 -8,7830 -8,7163 -8,6075 -8,4467 -8,2445 -8,0387 -7,8801 -7,8185 -7,8874 -8,0793 -8,3335 -8,5554 -8,6582 -8,5974 -8,3795 -8,0511 -7,6754 -7,3062 -6,9756 -6,6960 -6,4690 -6,2966 -6,1875 -6,1511 -6,1821 -6,2416 -6,2601 -6,1656 -5,9197 -5,5334 -5,0558 -4,5459 -4,0472 -3,5879 -3,2040 -2,9526 -2,8966 -3,0755 -3,4767 -4,0239 -4,5990 -5,0886 -5,4235 -5,5933 -5,6354 -5,6097 -5,5768 -5,5844 -5,6638 -5,8308 -6,0782 -6,3653 -6,6307 -6,8241 -6,9346
