Fp1   2,3736 2,0878 1,7534 1,4617 1,2932 1,2460 1,2284 1,1143 0,8142 0,3201 -0,2978 -0,9311 -1,4729 -1,8348 -1,9578 -1,8280 -1,4823 -1,0009 -0,4938 -0,0785 0,1430 0,1041 -0,2027 -0,7153 -1,3283 -1,9225 -2,3662 -2,5185 -2,2636 -1,5548 -0,4292 0,9922 2,5054 3,8567 4,8090 5,2090 5,0210 4,3096 3,1995 1,8511 0,4426 -0,8490 -1,8704 -2,5291 -2,8280 -2,8613 -2,7700 -2,6698 -2,5920 -2,4874 -2,2786 -1,9025 -1,3319 -0,5989 0,1996 0,9318 1,4689 1,7162 1,6508 1,3489 0,9637 0,6476 0,4848 0,5003 0,7072 1,1044 1,6296 2,1509 2,5181 2,6308 2,4936 2,2362 2,0679 2,1693 2,5812 3,1765 3,7536 4,1795 4,4572 4,6742 4,9058 5,1652 5,4092 5,5567 5,5178 5,2364 4,7058 3,9547 3,0389 2,0418 1,0641 0,2073 -0,4429 -0,8382 -0,9865 -0,9426 -0,7872 -0,6103 -0,4887 -0,4611 -0,5151 -0,5920 -0,6259 -0,5889 -0,4929 -0,3635 -0,2251 -0,1022 -0,0267 -0,0385 -0,1653 -0,3987 -0,6993 -1,0225 -1,3434 -1,6628 -1,9814 -2,2794 -2,5302 -2,7365 -2,9417 -3,1934 -3,4887 -3,7548 -3,8877 -3,8086 -3,4840 -2,9204 -2,1569 -1,2579 -0,3100 0,5773 1,2917 1,7527 1,9387 1,8937 1,7013 1,4501 1,2146 1,0461 0,9743 1,0321 1,2732 1,7425 2,4332 3,2874 4,2216 5,1444 5,9756 6,6636 7,1844 7,5408 7,7660 7,9060 7,9994 8,0875 8,2245 8,4524 8,7769 9,1746 9,6048 10,0211 10,3834 10,6586 10,8318 10,9285 11,0111 11,1429 11,3448 11,5835 11,8084 11,9802 12,0484 11,9343 11,5741 10,9730 10,2021 9,3581 8,5337 7,8044 7,2197 6,8081 6,5928 6,5914 6,7930 7,1424 7,5517 7,9224 8,1608 8,2003 8,0248 7,6672 7,1880 6,6572 6,1420 5,6830 5,2698 4,8524 4,3837 3,8589 3,3330 2,9014 2,6476 2,6065 2,7586 3,0429 3,3962 3,7983 4,2650 4,7905 5,3023 5,6780 5,8102 5,6647 5,2998 4,8310 4,3631 3,9404 3,5520 3,1846 2,8700 2,6727 2,6370 2,7600 2,9925 3,2304 3,3165 3,0900 2,4659 1,5037 0,4102 -0,5504 -1,1728 -1,3742 -1,1957 -0,7672 -0,2559 0,1683 0,3509 0,2023 -0,2328 -0,7715 -1,1884 -1,3278 -1,1424 -0,6659 0,0186 0,7845 1,4794 1,9804 2,2484 2,3206 2,2489 2,0605 1,7796 1,4641 1,2060 1,0888 1,1305 1,2701 1,4124 1,4866 1,4714 1,3977 1,3286 1,3013 1,2859 1,2253 1,1120 1,0071 0,9796 1,0271 1,0636 0,9970 0,8024 0,5103 0,1579 -0,2207 -0,5770 -0,8528 -1,0087 -1,0360 -0,9446 -0,7548 -0,4942 -0,1849 0,1653 0,5455 0,9135 1,1856 1,2683 1,1244 0,8181 0,4987 0,3394 0,4602 0,8666 1,4522 2,0665 2,5892 2,9668 3,2021 3,3275 3,3977 3,4903 3,6798 3,9950 4,3905 4,7528 4,9412 4,8523 4,4737 3,8845 3,2094 2,5766 2,0993 1,8537 1,8492 2,0221 2,2543 2,4046 2,3692 2,1445 1,8091 1,4287 0,9944 0,4728 -0,0891 -0,5361 -0,6870 -0,4299 0,2331 1,1828 2,2098 3,0747 3,5989 3,7423 3,6072 3,3837 3,2704 3,3760 3,6606 3,9792 4,1711 4,1198 3,7869 3,2192 2,5189 1,8013 1,1749 0,7411 0,5791 0,7226 1,1459 1,7440 2,3353 2,7411 2,8812 2,7863 2,5497 2,2733 2,0060 1,7202 1,3729 0,9788 0,6063 0,3145 0,1209 0,0138 -0,0524 -0,1695 -0,4390 -0,9007 -1,4913 -2,0596 -2,4261 -2,4485 -2,0776 -1,3907 -0,5611 0,2304 0,8639 1,2838 1,4698 1,4176 1,1399 0,6802 0,1242 -0,4070 -0,7852 -0,9108 -0,7522 -0,3664 0,1268 0,6040 0,9914 1,2800 1,4978 1,6626 1,7655 1,7986 1,7897 1,8060 1,9243 2,1887 2,5934 3,0874 3,5911 4,0382 4,4062 4,6897 4,8582 4,8659 4,6877 4,3368 3,8613 3,3347 2,8459 2,4752 2,2500 2,1034 1,8972 1,5146 0,9401 0,2544 -0,4227 -0,9655 -1,2507 -1,1936 -0,7925 -0,1311 0,6573 1,4372 2,1006 2,5597 2,7302 2,5521 2,0261 1,2067 0,1720 -0,9761 -2,0982 -3,0198 -3,5627 -3,6070 -3,1499 -2,3065 -1,2529 -0,1684 0,7957 1,5344 2,0059 2,2418 2,3163 2,2881 2,1740 1,9628 1,6299 1,1571 0,5710 -0,0325 -0,5163 -0,7679 -0,7335 -0,4081 0,1659 0,8778 1,5476 1,9834 2,0731 1,8439 1,4481 1,0873 0,9194 1,0106 1,3558 1,9171 2,6414 3,4456 4,1997 4,7622 5,0402 4,9984 4,6282 3,9456 3,0190 1,9854 1,0324 0,3392 0,0111 0,0482 0,3568 0,7975 1,2396 1,5958 1,8416 2,0146 2,1615 2,2692 2,2502 1,9986 1,4639 0,6903 -0,1936 -1,0177 -1,6172 -1,8675 -1,6979 -1,1026 -0,1597 0,9783 2,1374 3,1765 3,9980 4,5368 4,7660 4,7084 4,4315 4,0455 3,7030 3,5600 3,7199 4,2069 4,9738 5,9250 6,9394 7,8949 8,7005 9,2999 9,6511 9,7300 9,5444 9,1263 8,5208 7,7932 7,0397 6,3770 5,9066 5,6719 5,6391 5,7227 5,8406 5,9450 6,0004 5,9489 5,7088 5,2100 4,4556 3,5570 2,6942 2,0242 1,6231 1,5065 1,6967 2,2539 3,2289 4,5871 6,1797 7,7860 9,1970 10,2969 11,0948 11,6813 12,1538 12,5591 12,8675 12,9932 12,8426 12,3448 11,4685 10,2545 8,8410 7,4487 6,3155 5,6108 5,3759 5,5067 5,7869 5,9788 5,9354 5,6563 5,2557 4,8689 4,5665 4,3405 4,1556 3,9954 3,8678 3,7894 3,7588 3,7309 3,6248 3,3534 2,8598 2,1712 1,4380 0,8845 0,6949 0,9371 1,5696
Fz    1,0592 1,1363 1,1462 1,1007 1,0143 0,8955 0,7495 0,5804 0,3951 0,2099 0,0446 -0,0956 -0,2275 -0,3746 -0,5431 -0,7118 -0,8413 -0,8942 -0,8564 -0,7482 -0,6216 -0,5426 -0,5611 -0,6894 -0,9113 -1,1997 -1,5164 -1,8064 -2,0076 -2,0670 -1,9485 -1,6425 -1,1787 -0,6259 -0,0695 0,4210 0,8104 1,0926 1,2729 1,3579 1,3531 1,2662 1,1157 0,9377 0,7822 0,6949 0,6931 0,7574 0,8504 0,9439 1,0302 1,1182 1,2220 1,3519 1,5130 1,7060 1,9220 2,1379 2,3287 2,4891 2,6371 2,7916 2,9523 3,1096 3,2660 3,4348 3,6228 3,8229 4,0155 4,1756 4,2872 4,3544 4,4005 4,4529 4,5224 4,5945 4,6443 4,6581 4,6423 4,6174 4,6038 4,6134 4,6501 4,7083 4,7690 4,8054 4,7939 4,7208 4,5881 4,4192 4,2552 4,1371 4,0841 4,0861 4,1105 4,1179 4,0724 3,9469 3,7322 3,4453 3,1257 2,8246 2,5900 2,4504 2,4075 2,4448 2,5424 2,6787 2,8246 2,9440 3,0016 2,9706 2,8399 2,6216 2,3416 2,0204 1,6713 1,3138 0,9731 0,6630 0,3763 0,0990 -0,1704 -0,4208 -0,6462 -0,8523 -1,0408 -1,1921 -1,2694 -1,2359 -1,0700 -0,7731 -0,3704 0,0916 0,5579 0,9902 1,3875 1,7857 2,2393 2,7926 3,4556 4,2033 4,9923 5,7749 6,5092 7,1689 7,7443 8,2401 8,6791 9,0965 9,5200 9,9545 10,3823 10,7730 11,0977 11,3424 11,5105 11,6200 11,7023 11,8035 11,9729 12,2400 12,5944 12,9849 13,3432 13,6152 13,7761 13,8269 13,7790 13,6434 13,4380 13,1907 12,9199 12,6206 12,2807 11,9009 11,4919 11,0657 10,6361 10,2147 9,7971 9,3643 8,9029 8,4177 7,9204 7,4152 6,9024 6,3901 5,8970 5,4436 5,0399 4,6849 4,3787 4,1287 3,9425 3,8131 3,7103 3,5902 3,4154 3,1729 2,8859 2,6078 2,3904 2,2503 2,1626 2,0846 1,9928 1,9024 1,8465 1,8433 1,8838 1,9373 1,9639 1,9320 1,8380 1,7069 1,5703 1,4431 1,3208 1,1955 1,0747 0,9833 0,9433 0,9520 0,9786 0,9710 0,8709 0,6384 0,2792 -0,1430 -0,5263 -0,7790 -0,8634 -0,8019 -0,6528 -0,4796 -0,3296 -0,2280 -0,1825 -0,1854 -0,2091 -0,2109 -0,1600 -0,0603 0,0567 0,1509 0,1814 0,1118 -0,0761 -0,3727 -0,7477 -1,1659 -1,5909 -1,9740 -2,2534 -2,3756 -2,3178 -2,0960 -1,7646 -1,4074 -1,1100 -0,9309 -0,8956 -1,0049 -1,2454 -1,6030 -2,0718 -2,6428 -3,2852 -3,9406 -4,5362 -5,0112 -5,3358 -5,5073 -5,5410 -5,4703 -5,3430 -5,2057 -5,0865 -4,9917 -4,9146 -4,8451 -4,7771 -4,7152 -4,6690 -4,6327 -4,5767 -4,4648 -4,2759 -4,0145 -3,7090 -3,3976 -3,1080 -2,8454 -2,5957 -2,3420 -2,0880 -1,8662 -1,7196 -1,6659 -1,6779 -1,7043 -1,7064 -1,6631 -1,5520 -1,3451 -1,0264 -0,6059 -0,1183 0,3914 0,8817 1,3220 1,6899 1,9690 2,1542 2,2582 2,3047 2,3104 2,2738 2,1837 2,0354 1,8449 1,6545 1,5166 1,4652 1,5022 1,6130 1,7890 2,0292 2,3242 2,6490 2,9657 3,2325 3,4192 3,5235 3,5765 3,6331 3,7499 3,9645 4,2821 4,6702 5,0709 5,4312 5,7195 5,9209 6,0353 6,0869 6,1228 6,1891 6,3011 6,4380 6,5568 6,6141 6,5847 6,4667 6,2719 6,0231 5,7538 5,4954 5,2646 5,0644 4,8855 4,7068 4,5093 4,2916 4,0620 3,8243 3,5828 3,3550 3,1602 2,9969 2,8404 2,6616 2,4524 2,2422 2,0907 2,0592 2,1793 2,4359 2,7773 3,1429 3,4818 3,7542 3,9306 3,9964 3,9573 3,8399 3,6834 3,5260 3,3958 3,3096 3,2715 3,2713 3,2887 3,3046 3,3084 3,3046 3,3107 3,3448 3,4113 3,4987 3,5845 3,6408 3,6413 3,5657 3,4051 3,1666 2,8762 2,5735 2,3023 2,0955 1,9675 1,9166 1,9318 1,9991 2,1028 2,2266 2,3596 2,5016 2,6513 2,7919 2,9004 2,9685 3,0061 3,0206 3,0033 2,9409 2,8296 2,6733 2,4794 2,2607 2,0319 1,8002 1,5656 1,3250 1,0680 0,7814 0,4641 0,1352 -0,1650 -0,3795 -0,4557 -0,3720 -0,1505 0,1446 0,4252 0,6206 0,7178 0,7603 0,8015 0,8596 0,9155 0,9474 0,9572 0,9682 1,0122 1,1164 1,2889 1,5138 1,7660 2,0255 2,2740 2,4843 2,6265 2,6857 2,6671 2,5827 2,4362 2,2243 1,9563 1,6719 1,4382 1,3218 1,3497 1,4904 1,6717 1,8151 1,8653 1,7974 1,6064 1,3077 0,9479 0,5904 0,2770 0,0053 -0,2598 -0,5567 -0,9050 -1,3032 -1,7384 -2,1930 -2,6463 -3,0783 -3,4772 -3,8429 -4,1768 -4,4662 -4,6840 -4,8023 -4,8064 -4,7025 -4,5200 -4,3034 -4,0911 -3,8938 -3,6914 -3,4512 -3,1488 -2,7839 -2,3889 -2,0157 -1,7035 -1,4575 -1,2582 -1,0844 -0,9245 -0,7760 -0,6396 -0,5054 -0,3400 -0,1032 0,2224 0,6237 1,0694 1,5261 1,9620 2,3444 2,6496 2,8692 3,0044 3,0578 3,0286 2,9126 2,7090 2,4218 2,0560 1,6161 1,1112 0,5577 -0,0216 -0,5980 -1,1385 -1,6120 -1,9978 -2,2914 -2,5112 -2,6953 -2,8779 -3,0620 -3,2146 -3,2853 -3,2348 -3,0508 -2,7452 -2,3416 -1,8701 -1,3659 -0,8640 -0,3926 0,0296 0,3973 0,7242 1,0376 1,3652 1,7240 2,1130 2,5153 2,9054 3,2536 3,5320 3,7218 3,8119 3,7961 3,6706 3,4317 3,0809 2,6345 2,1222 1,5791 1,0451 0,5615 0,1549 -0,1765 -0,4592 -0,7257 -0,9972 -1,2806 -1,5692 -1,8453 -2,0926 -2,3073 -2,4971 -2,6730 -2,8467 -3,0215 -3,1832 -3,3052 -3,3662 -3,3603 -3,2955
F3    1,3631 1,3989 1,4084 1,3953 1,3534 1,2728 1,1503 0,9879 0,7912 0,5720 0,3432 0,1053 -0,1534 -0,4393 -0,7366 -1,0082 -1,2099 -1,3127 -1,3196 -1,2668 -1,2025 -1,1613 -1,1546 -1,1801 -1,2371 -1,3329 -1,4693 -1,6258 -1,7564 -1,8064 -1,7369 -1,5371 -1,2235 -0,8312 -0,4031 0,0275 0,4482 0,8597 1,2516 1,5879 1,8162 1,8890 1,7885 1,5392 1,2033 0,8620 0,5873 0,4161 0,3440 0,3424 0,3794 0,4322 0,4933 0,5738 0,6980 0,8903 1,1587 1,4893 1,8539 2,2232 2,5716 2,8738 3,1026 3,2369 3,2770 3,2518 3,2082 3,1893 3,2178 3,3007 3,4430 3,6487 3,9082 4,1915 4,4548 4,6618 4,8002 4,8772 4,9063 4,9036 4,8913 4,8945 4,9336 5,0157 5,1272 5,2347 5,2933 5,2626 5,1224 4,8854 4,5959 4,3076 4,0606 3,8723 3,7371 3,6274 3,5019 3,3245 3,0842 2,8030 2,5266 2,3031 2,1674 2,1323 2,1876 2,3077 2,4636 2,6286 2,7773 2,8826 2,9138 2,8428 2,6585 2,3768 2,0339 1,6706 1,3220 1,0137 0,7603 0,5631 0,4084 0,2709 0,1240 -0,0514 -0,2581 -0,4777 -0,6756 -0,8140 -0,8653 -0,8203 -0,6888 -0,4883 -0,2289 0,0856 0,4488 0,8525 1,2975 1,7940 2,3509 2,9657 3,6242 4,3066 4,9956 5,6806 6,3534 7,0005 7,6031 8,1488 8,6440 9,1099 9,5625 9,9945 10,3745 10,6655 10,8533 10,9572 11,0136 11,0601 11,1372 11,2904 11,5531 11,9264 12,3753 12,8414 13,2630 13,5905 13,7940 13,8682 13,8283 13,6973 13,4975 13,2482 12,9623 12,6426 12,2861 11,8919 11,4637 11,0063 10,5236 10,0207 9,4989 8,9530 8,3822 7,8031 7,2460 6,7411 6,3103 5,9634 5,6987 5,5015 5,3446 5,1979 5,0472 4,8971 4,7545 4,6174 4,4753 4,3150 4,1303 3,9310 3,7472 3,6153 3,5502 3,5293 3,5066 3,4433 3,3281 3,1770 3,0171 2,8682 2,7382 2,6228 2,5057 2,3668 2,1999 2,0191 1,8461 1,6933 1,5621 1,4520 1,3682 1,3212 1,3184 1,3528 1,4009 1,4294 1,4033 1,2950 1,1010 0,8533 0,6077 0,4136 0,2894 0,2201 0,1758 0,1324 0,0818 0,0305 -0,0065 -0,0108 0,0350 0,1390 0,2914 0,4662 0,6282 0,7399 0,7703 0,7024 0,5313 0,2609 -0,0944 -0,5053 -0,9260 -1,2959 -1,5542 -1,6608 -1,6067 -1,4063 -1,0919 -0,7180 -0,3582 -0,0841 0,0549 0,0366 -0,1401 -0,4610 -0,9011 -1,4285 -2,0062 -2,5895 -3,1269 -3,5710 -3,8932 -4,0893 -4,1771 -4,1857 -4,1429 -4,0680 -3,9738 -3,8692 -3,7577 -3,6412 -3,5292 -3,4396 -3,3841 -3,3509 -3,3045 -3,2041 -3,0229 -2,7580 -2,4301 -2,0750 -1,7304 -1,4227 -1,1608 -0,9413 -0,7621 -0,6307 -0,5597 -0,5513 -0,5840 -0,6168 -0,6104 -0,5404 -0,3903 -0,1418 0,2162 0,6709 1,1835 1,7028 2,1855 2,6071 2,9566 3,2238 3,3970 3,4739 3,4699 3,4026 3,2750 3,0803 2,8199 2,5141 2,2013 1,9286 1,7405 1,6692 1,7316 1,9200 2,1957 2,5001 2,7775 2,9906 3,1254 3,1917 3,2207 3,2578 3,3517 3,5430 3,8508 4,2583 4,7112 5,1350 5,4667 5,6766 5,7687 5,7700 5,7230 5,6787 5,6788 5,7338 5,8165 5,8778 5,8689 5,7594 5,5494 5,2704 4,9720 4,6978 4,4679 4,2772 4,1071 3,9336 3,7299 3,4761 3,1714 2,8342 2,4921 2,1772 1,9240 1,7610 1,6958 1,7072 1,7541 1,7982 1,8222 1,8345 1,8621 1,9383 2,0855 2,3022 2,5641 2,8326 3,0636 3,2194 3,2832 3,2647 3,1932 3,1039 3,0258 2,9765 2,9634 2,9836 3,0218 3,0561 3,0738 3,0813 3,0947 3,1266 3,1823 3,2630 3,3668 3,4819 3,5784 3,6094 3,5302 3,3237 3,0137 2,6586 2,3272 2,0743 1,9329 1,9202 2,0420 2,2874 2,6251 3,0077 3,3811 3,6961 3,9189 4,0328 4,0353 3,9399 3,7769 3,5826 3,3831 3,1869 2,9893 2,7767 2,5277 2,2246 1,8698 1,4887 1,1161 0,7822 0,5067 0,2960 0,1433 0,0360 -0,0322 -0,0509 0,0040 0,1473 0,3583 0,5789 0,7360 0,7738 0,6869 0,5323 0,3999 0,3570 0,4133 0,5302 0,6635 0,7987 0,9567 1,1726 1,4672 1,8304 2,2276 2,6227 2,9910 3,3090 3,5426 3,6571 3,6396 3,5073 3,2980 3,0552 2,8178 2,6199 2,4948 2,4729 2,5642 2,7404 2,9376 3,0799 3,1039 2,9781 2,7098 2,3415 1,9413 1,5887 1,3468 1,2345 1,2214 1,2484 1,2560 1,2045 1,0778 0,8739 0,5978 0,2618 -0,1162 -0,5208 -0,9477 -1,4000 -1,8709 -2,3256 -2,7027 -2,9370 -2,9885 -2,8608 -2,5986 -2,2632 -1,9020 -1,5358 -1,1671 -0,7969 -0,4371 -0,1146 0,1361 0,2925 0,3648 0,3957 0,4386 0,5283 0,6679 0,8389 1,0281 1,2440 1,5076 1,8294 2,2004 2,6006 3,0113 3,4167 3,7974 4,1299 4,3945 4,5827 4,6969 4,7435 4,7288 4,6582 4,5309 4,3368 4,0638 3,7074 3,2706 2,7627 2,2050 1,6365 1,1081 0,6710 0,3586 0,1741 0,0969 0,1038 0,1832 0,3331 0,5533 0,8396 1,1793 1,5501 1,9245 2,2764 2,5875 2,8531 3,0845 3,3011 3,5156 3,7276 3,9321 4,1319 4,3407 4,5747 4,8428 5,1410 5,4513 5,7485 6,0049 6,1888 6,2628 6,1901 5,9438 5,5200 4,9514 4,3049 3,6570 3,0679 2,5696 2,1657 1,8391 1,5675 1,3358 1,1350 0,9570 0,7929 0,6324 0,4663 0,2958 0,1365 0,0083 -0,0749 -0,1078 -0,0965 -0,0598 -0,0208 0,0049 0,0144
F7    1,8561 1,6555 1,3787 1,0602 0,7303 0,4024 0,0796 -0,2324 -0,5138 -0,7304 -0,8534 -0,8856 -0,8620 -0,8223 -0,7842 -0,7427 -0,6860 -0,6069 -0,5115 -0,4236 -0,3760 -0,3936 -0,4857 -0,6510 -0,8816 -1,1555 -1,4231 -1,6093 -1,6385 -1,4615 -1,0685 -0,4929 0,1879 0,8673 1,4388 1,8306 2,0257 2,0501 1,9438 1,7407 1,4639 1,1328 0,7743 0,4240 0,1141 -0,1423 -0,3605 -0,5707 -0,7895 -1,0019 -1,1640 -1,2195 -1,1234 -0,8617 -0,4577 0,0379 0,5586 1,0369 1,4264 1,7169 1,9251 2,0694 2,1555 2,1872 2,1839 2,1767 2,1871 2,2119 2,2284 2,2157 2,1836 2,1801 2,2663 2,4787 2,8038 3,1861 3,5616 3,8915 4,1705 4,4097 4,6135 4,7710 4,8634 4,8676 4,7581 4,5191 4,1526 3,6726 3,1034 2,4911 1,9066 1,4254 1,0997 0,9445 0,9360 1,0161 1,1024 1,1092 0,9809 0,7192 0,3812 0,0510 -0,1995 -0,3405 -0,3815 -0,3480 -0,2645 -0,1554 -0,0534 0,0009 -0,0297 -0,1662 -0,4038 -0,7110 -1,0441 -1,3675 -1,6577 -1,8952 -2,0668 -2,1802 -2,2679 -2,3660 -2,4865 -2,6133 -2,7228 -2,7989 -2,8283 -2,7936 -2,6804 -2,4867 -2,2327 -1,9613 -1,7219 -1,5505 -1,4552 -1,4075 -1,3473 -1,2020 -0,9103 -0,4451 0,1747 0,8989 1,6727 2,4487 3,1837 3,8424 4,4019 4,8519 5,1988 5,4675 5,6894 5,8877 6,0681 6,2209 6,3352 6,4160 6,4871 6,5789 6,7198 6,9390 7,2597 7,6860 8,1972 8,7507 9,2958 9,7840 10,1751 10,4423 10,5740 10,5693 10,4456 10,2401 9,9869 9,6923 9,3437 8,9336 8,4677 7,9616 7,4424 6,9430 6,4835 6,0693 5,7103 5,4270 5,2324 5,1137 5,0419 4,9951 4,9693 4,9686 4,9861 5,0014 4,9958 4,9594 4,8846 4,7577 4,5621 4,2872 3,9360 3,5273 3,1020 2,7211 2,4403 2,2840 2,2387 2,2680 2,3411 2,4529 2,6106 2,8073 3,0106 3,1731 3,2509 3,2249 3,1148 2,9686 2,8269 2,6968 2,5581 2,3914 2,2032 2,0292 1,9100 1,8600 1,8512 1,8175 1,6728 1,3435 0,8121 0,1480 -0,5104 -1,0220 -1,3074 -1,3665 -1,2566 -1,0551 -0,8288 -0,6213 -0,4571 -0,3450 -0,2731 -0,2109 -0,1323 -0,0336 0,0729 0,1751 0,2665 0,3429 0,3972 0,4208 0,4056 0,3488 0,2593 0,1672 0,1195 0,1643 0,3347 0,6342 1,0204 1,4070 1,6980 1,8317 1,7957 1,6147 1,3284 0,9680 0,5483 0,0858 -0,3777 -0,7786 -1,0632 -1,2213 -1,2868 -1,3008 -1,2834 -1,2414 -1,1882 -1,1453 -1,1284 -1,1396 -1,1693 -1,2046 -1,2349 -1,2580 -1,2765 -1,2793 -1,2360 -1,1168 -0,9204 -0,6853 -0,4765 -0,3495 -0,3136 -0,3241 -0,3067 -0,2034 -0,0108 0,2183 0,4105 0,5167 0,5410 0,5303 0,5370 0,5981 0,7454 1,0118 1,4146 1,9311 2,4978 3,0315 3,4561 3,7226 3,8145 3,7388 3,5195 3,2011 2,8422 2,4863 2,1397 1,7813 1,3939 0,9932 0,6364 0,3950 0,3123 0,3810 0,5612 0,8146 1,1165 1,4452 1,7738 2,0685 2,2889 2,4023 2,4052 2,3350 2,2611 2,2608 2,3953 2,6914 3,1211 3,5980 4,0082 4,2532 4,2761 4,0722 3,6896 3,2149 2,7429 2,3470 2,0644 1,8994 1,8374 1,8581 1,9318 2,0137 2,0621 2,0595 2,0082 1,9176 1,7996 1,6580 1,4801 1,2539 0,9916 0,7261 0,4866 0,2858 0,1225 -0,0242 -0,1965 -0,4371 -0,7587 -1,1279 -1,4732 -1,7098 -1,7657 -1,6056 -1,2496 -0,7697 -0,2544 0,2265 0,6279 0,9197 1,0825 1,1139 1,0309 0,8652 0,6589 0,4618 0,3285 0,3037 0,4023 0,6054 0,8732 1,1624 1,4347 1,6577 1,8053 1,8630 1,8356 1,7453 1,6216 1,4934 1,3883 1,3384 1,3806 1,5467 1,8520 2,2867 2,8051 3,3292 3,7743 4,0750 4,1968 4,1353 3,9106 3,5619 3,1388 2,6827 2,2136 1,7425 1,2961 0,9205 0,6530 0,4986 0,4448 0,4826 0,6017 0,7736 0,9544 1,1017 1,1907 1,2200 1,1973 1,1132 0,9407 0,6609 0,2817 -0,1605 -0,6028 -0,9711 -1,2037 -1,2676 -1,1680 -0,9518 -0,6819 -0,4012 -0,1258 0,1348 0,3626 0,5399 0,6703 0,7801 0,8987 1,0439 1,2141 1,3835 1,5134 1,5832 1,6131 1,6481 1,7220 1,8445 2,0126 2,2132 2,4092 2,5349 2,5206 2,3351 2,0196 1,6828 1,4517 1,4069 1,5523 1,8341 2,1743 2,4973 2,7434 2,8723 2,8756 2,7860 2,6519 2,4957 2,3030 2,0499 1,7388 1,4114 1,1298 0,9412 0,8513 0,8211 0,7879 0,6956 0,5147 0,2513 -0,0549 -0,3505 -0,5952 -0,7774 -0,9117 -1,0278 -1,1568 -1,3140 -1,4838 -1,6169 -1,6454 -1,5038 -1,1554 -0,6213 0,0157 0,6506 1,2044 1,6407 1,9522 2,1444 2,2254 2,2034 2,1072 2,0087 2,0078 2,1858 2,5726 3,1455 3,8459 4,5924 5,2974 5,8935 6,3479 6,6529 6,8147 6,8450 6,7543 6,5551 6,2715 5,9440 5,6233 5,3488 5,1252 4,9191 4,6898 4,4272 4,1615 3,9359 3,7648 3,6108 3,4018 3,0803 2,6474 2,1676 1,7388 1,4533 1,3693 1,5077 1,8670 2,4283 3,1491 3,9601 4,7755 5,5102 6,1007 6,5200 6,7803 6,9255 7,0143 7,0937 7,1796 7,2517 7,2605 7,1461 6,8704 6,4428 5,9209 5,3847 4,9030 4,5144 4,2234 4,0017 3,8001 3,5739 3,3071 3,0167 2,7357 2,4906 2,2972 2,1668 2,1061 2,1104 2,1617 2,2274 2,2651 2,2356 2,1130 1,8902 1,5901 1,2729 1,0206 0,9036 0,9591 1,1890
