Fp1   -1,8965 -1,6337 -1,2594 -0,9629 -0,9117 -1,1600 -1,6091 -2,0736 -2,3840 -2,4401 -2,2184 -1,7775 -1,2561 -0,8253 -0,6169 -0,6659 -0,8816 -1,0632 -0,9740 -0,4560 0,4819 1,6739 2,8928 3,9339 4,6436 4,9233 4,7419 4,1549 3,3035 2,3706 1,5227 0,8642 0,4009 0,0402 -0,3428 -0,8128 -1,3333 -1,8059 -2,1426 -2,2979 -2,2508 -1,9940 -1,5473 -0,9549 -0,2641 0,4667 1,1418 1,6392 1,8569 1,7595 1,3981 0,8824 0,3172 -0,2376 -0,7553 -1,2116 -1,5703 -1,7895 -1,8328 -1,6716 -1,2895 -0,6937 0,0707 0,9033 1,6435 2,1245 2,2730 2,1586 1,9421 1,7901 1,8342 2,1685 2,8354 3,7959 4,9174 5,9817 6,7219 6,9165 6,5003 5,6088 4,5182 3,5204 2,8164 2,4841 2,4927 2,7295 3,0468 3,3125 3,4362 3,3883 3,2140 3,0226 2,9553 3,1393 3,6222 4,3326 5,1134 5,8052 6,3096 6,6022 6,7098 6,6890 6,6089 6,5294 6,4760 6,4321 6,3692 6,2880 6,2164 6,1788 6,1809 6,2030 6,1915 6,0673 5,7620 5,2533 4,5798 3,8181 3,0354 2,2664 1,5234 0,8040 0,1088 -0,5210 -0,9881 -1,1892 -1,0947 -0,7646 -0,2804 0,3255 1,0614 1,9231 2,8861 3,9352 5,0670 6,2517 7,4001 8,3713 9,0221 9,2659 9,1044 8,6360 8,0515 7,5841 7,4012 7,5261 7,8686 8,3267 8,8614 9,5076 10,3401 11,4182 12,7285 14,1572 15,5175 16,6145 17,3020 17,5194 17,3054 16,7894 16,1577 15,5935 15,2097 15,0277 15,0182 15,1516 15,3945 15,6882 15,9711 16,2186 16,4469 16,6735 16,8798 17,0159 17,0300 16,8909 16,5938 16,1357 15,4872 14,6165 13,5465 12,3839 11,2922 10,4226 9,8544 9,5804 9,5178 9,5400 9,5303 9,4198 9,1787 8,7956 8,2973 7,7783 7,3535 7,0555 6,7995 6,4618 5,9905 5,4479 4,9660 4,6708 4,6312 4,8472 5,2592 5,7651 6,2502 6,6102 6,7577 6,6423 6,2819 5,7481 5,1232 4,4804 3,8720 3,3164 2,8103 2,3578 1,9887 1,7538 1,7000 1,8458 2,1845 2,7022 3,3756 4,1624 5,0140 5,8827 6,7152 7,4593 8,0682 8,4885 8,6732 8,6233 8,3995 8,0755 7,6857 7,2326 6,7314 6,2176 5,7156 5,2226 4,7279 4,2357 3,7716 3,3824 3,1446 3,1503 3,4507 4,0078 4,7063 5,4130 6,0405 6,5621 6,9712 7,2367 7,3013 7,1021 6,5957 5,8022 4,8358 3,8670 3,0458 2,4584 2,1112 1,9368 1,8573 1,8614 1,9977 2,2925 2,7000 3,1382 3,5366 3,8300 3,9410 3,7940 3,3489 2,6328 1,7403 0,8049 -0,0171 -0,5546 -0,6681 -0,3132 0,4346 1,4033 2,3826 3,1950 3,7471 4,0364 4,1242 4,0940 4,0131 3,9149 3,8019 3,6540 3,4423 3,1524 2,7970 2,4054 2,0159 1,6950 1,5533 1,7063 2,2027 2,9843 3,9024 4,7734 5,4533 5,8880 6,1032 6,1556 6,1061 6,0292 5,9995 6,0379 6,0899 6,0656 5,9018 5,6103 5,2908 5,0991 5,1794 5,5791 6,1980 6,8370 7,3218 7,5934 7,7041 7,7515 7,7981 7,8214 7,7267 7,4017 6,7771 5,8694 4,7807 3,6677 2,7054 2,0447 1,7698 1,8780 2,3058 2,9727 3,7914 4,6492 5,4007 5,9041 6,1062 6,1146 6,1615 6,4615 7,0693 7,8378 8,5009 8,8285 8,7386 8,2893 7,6178 6,9032 6,3258 5,9931 5,8913 5,9161 5,9434 5,8805 5,6985 5,4462 5,2041 4,9962 4,7456 4,3314 3,7100 2,9945 2,4217 2,2314 2,5540 3,3715 4,5350 5,8131 6,9812 7,9039 8,5370 8,8836 8,9738 8,8597 8,5949 8,2154 7,7350 7,1673 6,5656 6,0299 5,6622 5,5185 5,6022 5,8811 6,2749 6,6498 6,8782 6,9139 6,7994 6,6001 6,3508 6,0851 5,8852 5,8523 6,0248 6,3458 6,6928 6,9264 6,9538 6,7825 6,5188 6,3219 6,3311 6,5695 6,8930 7,0782 6,9862 6,6381 6,1555 5,6716 5,2963 5,1016 5,0874 5,1695 5,2345 5,2228 5,1488 5,0436 4,9104 4,7277 4,4576 4,0643 3,5486 2,9464 2,3045 1,6824 1,1712 0,8909 0,9535 1,4149 2,2600 3,4150 4,7616 6,1372 7,3408 8,1852 8,5782 8,5563 8,2425 7,7735 7,2472 6,7160 6,2116 5,7566 5,3562 5,0202 4,7980 4,7646 4,9692 5,3999 5,9829 6,5983 7,0969 7,3348 7,2347 6,8264 6,2221 5,5550 4,9453 4,5009 4,3134 4,4261 4,8014 5,3280 5,8735 6,3474 6,7229 7,0119 7,2243 7,3485 7,3568 7,2172 6,9024 6,4033 5,7486 5,0176 4,3218 3,7542 3,3539 3,1143 3,0078 3,0012 3,0697 3,2024 3,3928 3,6264 3,8753 4,0989 4,2594 4,3492 4,4158 4,5603 4,8977 5,4905 6,3046 7,2380 8,1809 9,0303 9,6725 9,9970 9,9510 9,5816 9,0167 8,3971 7,8223 7,3459 7,0093 6,8595 6,9283 7,2092 7,6678 8,2649 8,9669 9,7358 10,5046 11,1756 11,6641 11,9411 12,0283 11,9685 11,7999 11,5280 11,1102 10,4963 9,6879 8,7545 7,8231 7,0696 6,6698 6,6970 7,0670 7,6018 8,1443 8,6195 9,0236 9,3733 9,6669 9,8850 10,0057 10,0037 9,8372 9,4542 8,8273 7,9909 7,0654 6,2414 5,7137 5,5873 5,8157 6,2365 6,6800 7,0340 7,2286 7,2131 6,9629 6,4811 5,7762 4,8529 3,7322 2,4621 1,1090 -0,2322 -1,4232 -2,3126 -2,7960 -2,8362 -2,4401 -1,6454 -0,5403 0,7147 1,8981 2,7976 3,3040 3,4354 3,2661 2,8659 2,3012 1,6423 0,9576 0,3362 -0,1098 -0,3070 -0,2722 -0,0931 0,1338 0,3610 0,5973 0,8598
Fz    -2,5171 -2,1425 -1,7764 -1,4628 -1,2386 -1,1135 -1,0631 -1,0437 -1,0096 -0,9143 -0,7157 -0,4023 -0,0109 0,3922 0,7449 1,0101 1,1865 1,3111 1,4411 1,6218 1,8560 2,1046 2,3158 2,4536 2,5093 2,4977 2,4421 2,3571 2,2456 2,1046 1,9339 1,7414 1,5327 1,2938 0,9882 0,5820 0,0762 -0,4888 -1,0564 -1,5735 -1,9936 -2,2796 -2,4128 -2,3990 -2,2687 -2,0715 -1,8659 -1,7032 -1,6142 -1,6047 -1,6555 -1,7311 -1,7983 -1,8387 -1,8432 -1,8066 -1,7289 -1,6146 -1,4665 -1,2771 -1,0280 -0,6965 -0,2686 0,2497 0,8316 1,4390 2,0360 2,5926 3,0798 3,4737 3,7683 3,9835 4,1534 4,3007 4,4176 4,4666 4,3989 4,1796 3,8055 3,3087 2,7494 2,2029 1,7496 1,4624 1,3843 1,5016 1,7419 2,0020 2,1874 2,2416 2,1525 1,9353 1,6130 1,2113 0,7603 0,2914 -0,1641 -0,5738 -0,8996 -1,1015 -1,1545 -1,0648 -0,8704 -0,6245 -0,3734 -0,1485 0,0356 0,1842 0,3122 0,4250 0,5048 0,5108 0,4000 0,1566 -0,1929 -0,5898 -0,9647 -1,2636 -1,4691 -1,5975 -1,6788 -1,7483 -1,8394 -1,9606 -2,0793 -2,1417 -2,1138 -2,0008 -1,8260 -1,6081 -1,3675 -1,1360 -0,9401 -0,7796 -0,6308 -0,4644 -0,2542 0,0260 0,4049 0,9008 1,5014 2,1678 2,8637 3,5752 4,2967 5,0060 5,6575 6,2014 6,6085 6,8848 7,0714 7,2298 7,4162 7,6589 7,9580 8,2973 8,6528 8,9955 9,3003 9,5585 9,7805 9,9786 10,1468 10,2668 10,3357 10,3759 10,4117 10,4451 10,4587 10,4294 10,3378 10,1682 9,9061 9,5452 9,0994 8,5996 8,0761 7,5395 6,9780 6,3772 5,7411 5,0951 4,4768 3,9236 3,4599 3,0884 2,7949 2,5670 2,4098 2,3348 2,3306 2,3518 2,3426 2,2654 2,0980 1,8064 1,3418 0,6793 -0,1383 -0,9987 -1,7602 -2,3055 -2,5798 -2,5956 -2,4104 -2,1005 -1,7451 -1,4147 -1,1631 -1,0150 -0,9554 -0,9425 -0,9373 -0,9216 -0,9007 -0,8956 -0,9307 -1,0285 -1,2003 -1,4339 -1,6921 -1,9311 -2,1190 -2,2439 -2,3246 -2,4067 -2,5301 -2,6971 -2,8717 -2,9970 -3,0248 -2,9490 -2,8080 -2,6483 -2,4854 -2,2995 -2,0581 -1,7338 -1,3051 -0,7588 -0,1067 0,6017 1,2896 1,8805 2,3181 2,5747 2,6660 2,6591 2,6410 2,6676 2,7357 2,8034 2,8395 2,8540 2,8750 2,9073 2,9171 2,8459 2,6366 2,2661 1,7621 1,1829 0,5803 -0,0180 -0,6052 -1,1897 -1,7791 -2,3602 -2,9013 -3,3758 -3,7730 -4,0830 -4,2878 -4,3831 -4,3960 -4,3731 -4,3555 -4,3623 -4,3917 -4,4293 -4,4491 -4,4175 -4,3122 -4,1368 -3,9119 -3,6605 -3,4020 -3,1490 -2,9028 -2,6511 -2,3754 -2,0688 -1,7460 -1,4342 -1,1600 -0,9427 -0,7844 -0,6568 -0,5088 -0,2981 -0,0217 0,2829 0,5668 0,7996 0,9774 1,1102 1,2073 1,2759 1,3279 1,3756 1,4185 1,4436 1,4460 1,4490 1,4924 1,5959 1,7391 1,8774 1,9698 2,0010 1,9865 1,9603 1,9509 1,9583 1,9537 1,9127 1,8527 1,8286 1,8912 2,0553 2,2960 2,5620 2,7975 2,9559 3,0086 2,9559 2,8304 2,6788 2,5377 2,4245 2,3429 2,2917 2,2734 2,2979 2,3707 2,4793 2,6006 2,7231 2,8629 3,0621 3,3678 3,8067 4,3659 4,9812 5,5509 5,9811 6,2271 6,2953 6,2223 6,0630 5,8817 5,7324 5,6413 5,6080 5,6202 5,6632 5,7297 5,8296 5,9858 6,2092 6,4761 6,7247 6,8794 6,8847 6,7283 6,4396 6,0690 5,6597 5,2269 4,7629 4,2664 3,7630 3,2896 2,8732 2,5309 2,2772 2,1132 2,0148 1,9403 1,8520 1,7332 1,5870 1,4211 1,2371 1,0389 0,8481 0,6973 0,6092 0,5877 0,6253 0,7130 0,8371 0,9732 1,0992 1,2148 1,3327 1,4558 1,5755 1,6862 1,7893 1,8903 1,9953 2,1086 2,2368 2,3931 2,5797 2,7670 2,9062 2,9641 2,9452 2,8826 2,8147 2,7676 2,7490 2,7509 2,7577 2,7583 2,7573 2,7718 2,8148 2,8836 2,9619 3,0188 3,0182 2,9469 2,8257 2,6940 2,5941 2,5608 2,6115 2,7385 2,9128 3,0955 3,2528 3,3662 3,4326 3,4565 3,4508 3,4450 3,4816 3,5924 3,7739 3,9810 4,1451 4,2056 4,1308 3,9208 3,6070 3,2456 2,8942 2,5835 2,3075 2,0358 1,7366 1,3974 1,0362 0,7028 0,4664 0,3874 0,4882 0,7456 1,1116 1,5381 1,9838 2,4060 2,7579 2,9936 3,0790 3,0055 2,7991 2,5145 2,2168 1,9588 1,7667 1,6427 1,5774 1,5608 1,5825 1,6218 1,6416 1,6059 1,5027 1,3444 1,1500 0,9375 0,7218 0,5109 0,3072 0,1127 -0,0683 -0,2342 -0,3881 -0,5279 -0,6363 -0,6838 -0,6455 -0,5118 -0,2817 0,0467 0,4690 0,9642 1,4975 2,0316 2,5345 2,9785 3,3371 3,5882 3,7269 3,7775 3,7897 3,8144 3,8804 3,9860 4,1061 4,2094 4,2805 4,3285 4,3803 4,4678 4,6093 4,7906 4,9734 5,1263 5,2392 5,3089 5,3276 5,2888 5,1982 5,0821 4,9881 4,9630 5,0154 5,1001 5,1524 5,1325 5,0380 4,8867 4,6990 4,4977 4,3177 4,2043 4,1933 4,2869 4,4475 4,6154 4,7311 4,7524 4,6598 4,4551 4,1516 3,7620 3,2970 2,7802 2,2545 1,7619 1,3239 0,9435 0,6095 0,2928 -0,0423 -0,4065 -0,7750 -1,1145 -1,4049 -1,6329 -1,7857 -1,8563 -1,8508 -1,7835 -1,6659 -1,5011 -1,2952 -1,0769 -0,8986 -0,8139 -0,8591 -1,0518 -1,3826 -1,8010 -2,2310 -2,6109 -2,9092 -3,1165 -3,2368 -3,2848 -3,2812 -3,2448 -3,1780 -3,0634 -2,8837
F3    -2,2648 -2,0310 -1,7795 -1,5306 -1,2961 -1,0791 -0,8818 -0,7095 -0,5638 -0,4318 -0,2840 -0,0865 0,1818 0,5177 0,8893 1,2434 1,5260 1,7051 1,7784 1,7630 1,6831 1,5660 1,4408 1,3344 1,2700 1,2706 1,3554 1,5242 1,7468 1,9719 2,1463 2,2310 2,2049 2,0580 1,7824 1,3740 0,8398 0,2015 -0,5030 -1,2155 -1,8622 -2,3707 -2,6897 -2,8049 -2,7468 -2,5741 -2,3452 -2,0985 -1,8502 -1,6065 -1,3748 -1,1643 -0,9813 -0,8289 -0,7089 -0,6215 -0,5656 -0,5395 -0,5369 -0,5377 -0,5017 -0,3744 -0,1038 0,3392 0,9491 1,6849 2,4799 3,2559 3,9368 4,4628 4,8043 4,9685 4,9935 4,9268 4,7979 4,6151 4,3852 4,1254 3,8589 3,6092 3,4012 3,2616 3,2188 3,2970 3,4979 3,7825 4,0766 4,2985 4,3891 4,3245 4,1113 3,7709 3,3251 2,7960 2,2151 1,6272 1,0790 0,6078 0,2452 0,0251 -0,0255 0,0921 0,3418 0,6708 1,0350 1,4075 1,7704 2,1059 2,3941 2,6128 2,7379 2,7470 2,6258 2,3750 2,0148 1,5894 1,1633 0,8012 0,5455 0,4075 0,3717 0,4049 0,4702 0,5420 0,6132 0,6898 0,7755 0,8638 0,9424 1,0003 1,0246 0,9988 0,9125 0,7771 0,6295 0,5252 0,5292 0,7089 1,1223 1,7964 2,7107 3,8005 4,9782 6,1587 7,2757 8,2843 9,1499 9,8406 10,3348 10,6340 10,7666 10,7821 10,7420 10,7039 10,7072 10,7707 10,8993 11,0903 11,3360 11,6273 11,9563 12,3107 12,6672 12,9992 13,2927 13,5461 13,7538 13,8956 13,9463 13,8903 13,7245 13,4492 13,0643 12,5749 11,9994 11,3660 10,7044 10,0376 9,3831 8,7585 8,1839 7,6719 7,2181 6,8043 6,4115 6,0292 5,6610 5,3280 5,0617 4,8849 4,7922 4,7476 4,7023 4,6152 4,4573 4,2019 3,8226 3,3091 2,6897 2,0343 1,4312 0,9566 0,6553 0,5363 0,5763 0,7263 0,9272 1,1300 1,3111 1,4740 1,6381 1,8230 2,0384 2,2781 2,5175 2,7195 2,8446 2,8552 2,7239 2,4555 2,0974 1,7175 1,3680 1,0659 0,7929 0,5155 0,2183 -0,0787 -0,3325 -0,4993 -0,5533 -0,4972 -0,3554 -0,1558 0,0849 0,3623 0,6779 1,0361 1,4472 1,9241 2,4665 3,0457 3,6082 4,0936 4,4532 4,6645 4,7412 4,7308 4,6933 4,6703 4,6677 4,6607 4,6223 4,5489 4,4582 4,3676 4,2800 4,1831 4,0533 3,8644 3,6005 3,2581 2,8392 2,3514 1,8166 1,2677 0,7314 0,2148 -0,2857 -0,7671 -1,2117 -1,5903 -1,8755 -2,0547 -2,1323 -2,1242 -2,0544 -1,9566 -1,8671 -1,8099 -1,7826 -1,7577 -1,7038 -1,6061 -1,4680 -1,3022 -1,1216 -0,9291 -0,7146 -0,4652 -0,1785 0,1318 0,4391 0,7166 0,9498 1,1375 1,2909 1,4394 1,6286 1,8963 2,2425 2,6212 2,9606 3,1932 3,2822 3,2348 3,0961 2,9277 2,7821 2,6818 2,6192 2,5774 2,5570 2,5818 2,6791 2,8510 3,0667 3,2784 3,4513 3,5819 3,6832 3,7547 3,7716 3,7007 3,5290 3,2844 3,0314 2,8421 2,7622 2,7981 2,9234 3,0902 3,2470 3,3596 3,4213 3,4482 3,4665 3,4940 3,5280 3,5514 3,5515 3,5338 3,5165 3,5148 3,5270 3,5404 3,5519 3,5803 3,6555 3,8006 4,0262 4,3335 4,7136 5,1372 5,5555 5,9165 6,1863 6,3569 6,4436 6,4748 6,4788 6,4774 6,4894 6,5314 6,6125 6,7277 6,8623 7,0068 7,1640 7,3386 7,5255 7,7033 7,8330 7,8669 7,7643 7,5079 7,1089 6,5979 6,0111 5,3890 4,7817 4,2443 3,8234 3,5482 3,4287 3,4570 3,6031 3,8149 4,0327 4,2086 4,3113 4,3206 4,2279 4,0408 3,7847 3,4984 3,2275 3,0141 2,8877 2,8629 2,9428 3,1164 3,3527 3,6048 3,8292 4,0031 4,1262 4,2152 4,2957 4,3940 4,5247 4,6777 4,8244 4,9435 5,0351 5,1080 5,1633 5,1968 5,2075 5,2015 5,1872 5,1638 5,1120 5,0031 4,8230 4,5850 4,3243 4,0863 3,9150 3,8392 3,8612 3,9560 4,0750 4,1613 4,1807 4,1424 4,0827 4,0336 4,0090 4,0076 4,0190 4,0303 4,0303 4,0116 3,9772 3,9427 3,9334 3,9789 4,1064 4,3299 4,6411 5,0053 5,3653 5,6567 5,8307 5,8678 5,7738 5,5700 5,2848 4,9418 4,5494 4,1052 3,6129 3,0991 2,6166 2,2326 2,0100 1,9952 2,2132 2,6563 3,2746 3,9849 4,6937 5,3152 5,7794 6,0399 6,0791 5,9090 5,5706 5,1284 4,6570 4,2245 3,8806 3,6536 3,5503 3,5541 3,6330 3,7520 3,8742 3,9605 3,9848 3,9464 3,8586 3,7292 3,5565 3,3367 3,0709 2,7712 2,4650 2,1916 1,9872 1,8665 1,8153 1,8062 1,8229 1,8725 1,9811 2,1800 2,4911 2,9138 3,4215 3,9719 4,5247 5,0518 5,5283 5,9203 6,1917 6,3298 6,3618 6,3455 6,3401 6,3774 6,4470 6,5057 6,5102 6,4493 6,3516 6,2646 6,2267 6,2499 6,3191 6,4086 6,5083 6,6333 6,8078 7,0380 7,2957 7,5303 7,6993 7,7892 7,8092 7,7690 7,6643 7,4840 7,2297 6,9268 6,6142 6,3278 6,0939 5,9346 5,8741 5,9348 6,1186 6,3927 6,6969 6,9600 7,1125 7,0955 6,8713 6,4331 5,8109 5,0652 4,2763 3,5284 2,8888 2,3941 2,0483 1,8234 1,6631 1,5091 1,3349 1,1544 1,0013 0,9048 0,8728 0,8868 0,9120 0,9134 0,8647 0,7532 0,5878 0,3977 0,2157 0,0579 -0,0847 -0,2423 -0,4464 -0,7015 -0,9715 -1,2010 -1,3493 -1,4081 -1,3935 -1,3260 -1,2176 -1,0727 -0,8980 -0,7042 -0,5003 -0,2954
F7    -2,3749 -1,9736 -1,4652 -0,9716 -0,6071 -0,4352 -0,4523 -0,6081 -0,8360 -1,0655 -1,2285 -1,2821 -1,2282 -1,1038 -0,9555 -0,8153 -0,6810 -0,5082 -0,2293 0,2028 0,7738 1,4037 1,9806 2,4035 2,6150 2,6165 2,4601 2,2192 1,9621 1,7371 1,5712 1,4685 1,4004 1,3049 1,1132 0,7874 0,3388 -0,1856 -0,7250 -1,2130 -1,5803 -1,7681 -1,7445 -1,5146 -1,1231 -0,6467 -0,1762 0,2054 0,4388 0,4954 0,3829 0,1415 -0,1757 -0,5218 -0,8610 -1,1641 -1,4057 -1,5621 -1,6096 -1,5216 -1,2711 -0,8437 -0,2561 0,4311 1,1168 1,6906 2,0830 2,2979 2,3961 2,4541 2,5363 2,6907 2,9449 3,2906 3,6723 3,9997 4,1788 4,1519 3,9215 3,5492 3,1310 2,7660 2,5297 2,4601 2,5491 2,7430 2,9627 3,1344 3,2085 3,1673 3,0257 2,8204 2,5922 2,3741 2,1862 2,0340 1,9141 1,8280 1,7941 1,8430 1,9954 2,2421 2,5438 2,8529 3,1420 3,4111 3,6739 3,9424 4,2130 4,4598 4,6363 4,6813 4,5312 4,1436 3,5200 2,7185 1,8485 1,0387 0,3891 -0,0549 -0,3023 -0,4085 -0,4529 -0,4972 -0,5540 -0,5930 -0,5752 -0,4796 -0,2996 -0,0303 0,3274 0,7555 1,2280 1,7299 2,2580 2,8055 3,3522 3,8730 4,3508 4,7759 5,1359 5,4258 5,6798 5,9737 6,3777 6,9039 7,4986 8,0785 8,5759 8,9685 9,2841 9,5837 9,9278 10,3429 10,8108 11,2819 11,6979 12,0123 12,2072 12,2974 12,3208 12,3179 12,3109 12,3046 12,3110 12,3609 12,4828 12,6741 12,9021 13,1256 13,3091 13,4217 13,4354 13,3295 13,0981 12,7519 12,3139 11,8057 11,2375 10,6192 9,9744 9,3380 8,7405 8,1983 7,7116 7,2683 6,8508 6,4490 6,0726 5,7472 5,4908 5,2996 5,1621 5,0776 5,0414 5,0101 4,9006 4,6435 4,2428 3,7851 3,3953 3,1766 3,1758 3,3792 3,7255 4,1215 4,4664 4,6827 4,7328 4,6237 4,3993 4,1164 3,8233 3,5583 3,3507 3,2140 3,1384 3,0843 2,9964 2,8421 2,6363 2,4298 2,2822 2,2393 2,3096 2,4617 2,6542 2,8614 3,0756 3,3023 3,5443 3,7798 3,9635 4,0577 4,0582 3,9882 3,8746 3,7417 3,6224 3,5533 3,5512 3,5956 3,6386 3,6321 3,5507 3,4047 3,2442 3,1439 3,1671 3,3309 3,5950 3,8816 4,1222 4,2945 4,4145 4,5013 4,5540 4,5485 4,4433 4,2005 3,8112 3,3015 2,7190 2,1246 1,5878 1,1736 0,9261 0,8597 0,9547 1,1578 1,3980 1,6175 1,7842 1,8772 1,8746 1,7624 1,5450 1,2478 0,9100 0,5712 0,2720 0,0603 -0,0248 0,0214 0,1644 0,3445 0,4982 0,5849 0,6061 0,6002 0,6227 0,7212 0,9215 1,2269 1,6210 2,0657 2,5073 2,8966 3,2034 3,4067 3,4795 3,3948 3,1513 2,7912 2,3916 2,0370 1,7924 1,6934 1,7504 1,9468 2,2356 2,5540 2,8597 3,1583 3,4901 3,8800 4,3027 4,6947 4,9939 5,1775 5,2698 5,3190 5,3589 5,3759 5,3114 5,1113 4,7834 4,4052 4,0804 3,8918 3,8741 4,0035 4,2065 4,3874 4,4653 4,4066 4,2309 3,9909 3,7449 3,5409 3,4118 3,3757 3,4356 3,5759 3,7518 3,8928 3,9359 3,8653 3,7320 3,6469 3,7437 4,1190 4,7762 5,6048 6,4170 7,0284 7,3261 7,2882 6,9716 6,4916 5,9860 5,5668 5,2904 5,1591 5,1427 5,1998 5,2959 5,4158 5,5551 5,6962 5,7945 5,7938 5,6582 5,4004 5,0891 4,8271 4,7046 4,7533 4,9312 5,1510 5,3343 5,4487 5,5002 5,5093 5,5045 5,5175 5,5645 5,6355 5,7029 5,7415 5,7405 5,6991 5,6189 5,5038 5,3675 5,2355 5,1280 5,0439 4,9673 4,8908 4,8290 4,8048 4,8265 4,8912 4,9990 5,1459 5,3042 5,4274 5,4782 5,4496 5,3674 5,2761 5,2218 5,2478 5,3879 5,6398 5,9434 6,2078 6,3649 6,3977 6,3259 6,1743 5,9574 5,6819 5,3539 4,9819 4,5846 4,1995 3,8762 3,6494 3,5187 3,4492 3,3775 3,2315 2,9743 2,6309 2,2735 1,9930 1,8727 1,9621 2,2551 2,6933 3,1935 3,6806 4,1066 4,4498 4,6993 4,8542 4,9357 4,9856 5,0432 5,1221 5,2043 5,2571 5,2584 5,2081 5,1203 5,0214 4,9490 4,9300 4,9578 4,9976 5,0101 4,9666 4,8549 4,6822 4,4788 4,2926 4,1738 4,1532 4,2319 4,3927 4,6141 4,8714 5,1300 5,3460 5,4849 5,5413 5,5435 5,5320 5,5314 5,5385 5,5307 5,4815 5,3724 5,1976 4,9670 4,7020 4,4185 4,1148 3,7857 3,4442 3,1190 2,8361 2,6101 2,4443 2,3333 2,2679 2,2408 2,2475 2,2822 2,3335 2,3928 2,4745 2,6207 2,8762 3,2590 3,7599 4,3530 4,9886 5,5877 6,0682 6,3911 6,5764 6,6676 6,6851 6,6211 6,4759 6,2903 6,1388 6,0931 6,1900 6,4201 6,7374 7,0839 7,4154 7,7114 7,9700 8,2034 8,4300 8,6590 8,8826 9,0826 9,2349 9,3075 9,2648 9,0797 8,7459 8,2964 7,8135 7,4019 7,1279 6,9841 6,9190 6,8940 6,9104 6,9928 7,1499 7,3519 7,5431 7,6736 7,7181 7,6714 7,5359 7,3199 7,0410 6,7248 6,3962 6,0676 5,7352 5,3833 4,9973 4,5871 4,1928 3,8555 3,5883 3,3719 3,1629 2,9043 2,5510 2,0986 1,5754 1,0065 0,4071 -0,1925 -0,7370 -1,1638 -1,4205 -1,4713 -1,3019 -0,9283 -0,4023 0,1937 0,7644 1,2269 1,5199 1,6030 1,4728 1,1864 0,8406 0,5173 0,2542 0,0589 -0,0708 -0,1356 -0,1361 -0,0747 0,0536 0,2630 0,5546
