Fp1   -1,8970 -1,7168 -1,4011 -0,9837 -0,5277 -0,0983 0,2609 0,5283 0,6982 0,7745 0,7587 0,6412 0,4135 0,0865 -0,3093 -0,7334 -1,1413 -1,4922 -1,7528 -1,8955 -1,8973 -1,7377 -1,4026 -0,9036 -0,2958 0,3220 0,8352 1,1634 1,2967 1,2853 1,1984 1,0901 0,9879 0,8940 0,7849 0,6155 0,3439 -0,0335 -0,4619 -0,8438 -1,0781 -1,0902 -0,8424 -0,3459 0,3285 1,0587 1,7079 2,1670 2,3673 2,2732 1,8851 1,2428 0,4163 -0,5044 -1,4209 -2,2436 -2,9071 -3,3743 -3,6270 -3,6477 -3,4156 -2,9373 -2,2746 -1,5211 -0,7470 0,0197 0,7612 1,4375 1,9888 2,3648 2,5511 2,5714 2,4705 2,2976 2,0937 1,8863 1,6810 1,4492 1,1359 0,6968 0,1424 -0,4403 -0,9099 -1,1202 -0,9770 -0,4797 0,2676 1,0866 1,7816 2,1959 2,2486 1,9430 1,3488 0,5727 -0,2688 -1,0780 -1,8037 -2,4441 -3,0168 -3,5231 -3,9385 -4,2364 -4,4148 -4,4936 -4,4981 -4,4564 -4,3978 -4,3387 -4,2698 -4,1663 -4,0217 -3,8688 -3,7666 -3,7734 -3,9262 -4,2263 -4,6426 -5,1332 -5,6582 -6,1625 -6,5665 -6,7909 -6,7881 -6,5571 -6,1439 -5,6305 -5,1120 -4,6741 -4,3806 -4,2677 -4,3360 -4,5410 -4,7974 -4,9961 -5,0321 -4,8362 -4,3969 -3,7596 -3,0066 -2,2227 -1,4629 -0,7397 -0,0354 0,6726 1,3881 2,0835 2,7124 3,2279 3,5847 3,7421 3,6885 3,4645 3,1602 2,8892 2,7605 2,8562 3,2177 3,8409 4,6795 5,6565 6,6790 7,6485 8,4732 9,0779 9,4089 9,4469 9,2172 8,7775 8,1918 7,5163 6,8018 6,1000 5,4622 4,9356 4,5629 4,3682 4,3316 4,3854 4,4469 4,4581 4,4029 4,2931 4,1502 3,9984 3,8592 3,7422 3,6396 3,5302 3,3938 3,2298 3,0649 2,9326 2,8388 2,7450 2,5879 2,3173 1,9294 1,4708 1,0163 0,6379 0,3765 0,2343 0,1956 0,2536 0,4122 0,6731 1,0315 1,4718 1,9625 2,4601 2,9293 3,3574 3,7463 4,0915 4,3676 4,5333 4,5541 4,4194 4,1394 3,7384 3,2498 2,7143 2,1844 1,7287 1,4215 1,3146 1,4091 1,6510 1,9620 2,2785 2,5678 2,8236 3,0558 3,2816 3,5192 3,7783 4,0422 4,2647 4,3926 4,3850 4,2090 3,8418 3,2892 2,5995 1,8667 1,2257 0,8184 0,7438 1,0340 1,6596 2,5319 3,5044 4,3996 5,0620 5,4020 5,4089 5,1333 4,6565 4,0674 3,4434 2,8278 2,2336 1,6789 1,2178 0,9361 0,9080 1,1394 1,5510 2,0266 2,4792 2,8791 3,2385 3,5782 3,9047 4,2107 4,4787 4,6821 4,7871 4,7547 4,5461 4,1481 3,6010 2,9887 2,4010 1,8989 1,5034 1,2075 1,0026 0,9015 0,9331 1,1059 1,3800 1,6799 1,9233 2,0473 2,0322 1,9088 1,7336 1,5571 1,4073 1,2899 1,2004 1,1406 1,1215 1,1537 1,2341 1,3414 1,4534 1,5776 1,7545 2,0202 2,3720 2,7698 3,1588 3,4925 3,7476 3,9252 4,0409 4,1052 4,0985 3,9748 3,7135 3,3736 3,0838 2,9772 3,1264 3,5066 4,0041 4,4701 4,7783 4,8568 4,6975 4,3523 3,9194 3,5183 3,2454 3,1224 3,0772 2,9806 2,7137 2,2188 1,5166 0,6992 -0,0953 -0,7275 -1,1140 -1,2701 -1,3031 -1,3489 -1,4880 -1,7039 -1,9102 -2,0202 -1,9950 -1,8377 -1,5662 -1,2052 -0,7869 -0,3400 0,1237 0,6041 1,0906 1,5474 1,9205 2,1699 2,3014 2,3623 2,4045 2,4495 2,4837 2,4799 2,4189 2,2927 2,1068 1,8877 1,6758 1,5057 1,3900 1,3126 1,2290 1,0780 0,8093 0,4179 -0,0429 -0,4869 -0,8415 -1,0727 -1,1704 -1,1267 -0,9434 -0,6560 -0,3347 -0,0432 0,2021 0,4194 0,6174 0,7770 0,8668 0,8517 0,6919 0,3631 -0,1124 -0,6696 -1,2350 -1,7379 -2,1046 -2,2727 -2,2167 -1,9512 -1,5105 -0,9270 -0,2349 0,5076 1,2098 1,7804 2,1793 2,4383 2,6327 2,8242 3,0190 3,1792 3,2716 3,2989 3,2911 3,2654 3,1891 2,9837 2,5778 1,9670 1,2386 0,5477 0,0573 -0,1243 0,0264 0,4505 1,0358 1,6610 2,2211 2,6256 2,8068 2,7455 2,4833 2,1033 1,6910 1,2981 0,9290 0,5520 0,1293 -0,3479 -0,8474 -1,3118 -1,6724 -1,8584 -1,8206 -1,5613 -1,1408 -0,6617 -0,2429 0,0152 0,0643 -0,0818 -0,3557 -0,6648 -0,9288 -1,1045 -1,1849 -1,1837 -1,1250 -1,0402 -0,9609 -0,8996 -0,8310 -0,6959 -0,4333 -0,0212 0,5042 1,0707 1,6030 2,0380 2,3332 2,4737 2,4681 2,3406 2,1259 1,8574 1,5516 1,2095 0,8332 0,4453 0,0961 -0,1497 -0,2465 -0,2017 -0,0758 0,0411 0,0560 -0,0878 -0,3756 -0,7350 -1,0792 -1,3307 -1,4273 -1,3381 -1,0793 -0,7072 -0,2870 0,1466 0,6136 1,1637 1,8186 2,5400 3,2485 3,8686 4,3627 4,7356 5,0172 5,2408 5,4286 5,5976 5,7749 5,9942 6,2759 6,6057 6,9301 7,1782 7,3037 7,3125 7,2563 7,2024 7,2008 7,2610 7,3409 7,3625 7,2564 7,0044 6,6548 6,3065 6,0539 5,9283 5,8977 5,9180 5,9693 6,0445 6,1173 6,1331 6,0387 5,8138 5,4809 5,0910 4,6898 4,2903 3,8793 3,4418 2,9712 2,4580 1,8927 1,2927 0,7150 0,2373 -0,0692 -0,1595 -0,0277 0,2860 0,6967 1,0943 1,3770 1,4780 1,3713 1,0698 0,6193 0,0930 -0,4177 -0,8230 -1,0527 -1,0746 -0,9111 -0,6372 -0,3562 -0,1704 -0,1544 -0,3344 -0,6767 -1,0902 -1,4585 -1,6835 -1,7011 -1,4781 -1,0215 -0,3981 0,2805 0,9137 1,4646 1,9599 2,4355 2,8886 3,2874 3,6078 3,8512 4,0442 4,2189
Fz    -3,2834 -2,8001 -2,1889 -1,4874 -0,7546 -0,0720 0,4659 0,7787 0,8334 0,6602 0,3439 -0,0069 -0,3015 -0,4957 -0,5937 -0,6352 -0,6764 -0,7638 -0,9057 -1,0682 -1,2057 -1,2897 -1,3157 -1,3036 -1,2901 -1,3068 -1,3577 -1,4149 -1,4355 -1,3884 -1,2669 -1,0734 -0,7957 -0,4087 0,0968 0,6873 1,2921 1,8348 2,2637 2,5610 2,7317 2,7918 2,7657 2,6791 2,5433 2,3460 2,0557 1,6398 1,0877 0,4271 -0,2743 -0,9278 -1,4498 -1,7824 -1,9048 -1,8318 -1,6010 -1,2597 -0,8555 -0,4272 0,0076 0,4519 0,9130 1,3900 1,8709 2,3318 2,7367 3,0395 3,1956 3,1867 3,0392 2,8137 2,5777 2,3787 2,2274 2,1001 1,9562 1,7618 1,5187 1,2788 1,1183 1,0920 1,2067 1,4257 1,6914 1,9540 2,1858 2,3701 2,4857 2,5110 2,4439 2,3090 2,1410 1,9625 1,7790 1,5848 1,3655 1,0942 0,7388 0,2806 -0,2776 -0,9214 -1,6405 -2,4220 -3,2270 -3,9873 -4,6273 -5,0885 -5,3443 -5,3977 -5,2645 -4,9598 -4,5011 -3,9275 -3,3117 -2,7477 -2,3284 -2,1294 -2,1968 -2,5330 -3,0908 -3,7890 -4,5398 -5,2730 -5,9431 -6,5208 -6,9906 -7,3532 -7,6206 -7,8012 -7,8888 -7,8598 -7,6784 -7,3090 -6,7336 -5,9709 -5,0818 -4,1555 -3,2803 -2,5160 -1,8780 -1,3375 -0,8396 -0,3357 0,1934 0,7442 1,3202 1,9480 2,6587 3,4669 4,3739 5,3783 6,4664 7,5935 8,6824 9,6361 10,3527 10,7502 10,8021 10,5558 10,1217 9,6376 9,2248 8,9608 8,8791 8,9834 9,2504 9,6226 10,0132 10,3319 10,5153 10,5354 10,3814 10,0358 9,4795 8,7164 7,7874 6,7623 5,7291 4,7841 4,0122 3,4660 3,1621 3,0926 3,2333 3,5340 3,9058 4,2356 4,4251 4,4219 4,2287 3,8956 3,4947 3,0886 2,7174 2,3993 2,1323 1,9002 1,6940 1,5306 1,4417 1,4427 1,5197 1,6454 1,8007 1,9754 2,1563 2,3242 2,4632 2,5648 2,6246 2,6408 2,6175 2,5702 2,5259 2,5194 2,5872 2,7520 3,0083 3,3355 3,7235 4,1794 4,7101 5,3013 5,9095 6,4734 6,9328 7,2466 7,3995 7,3940 7,2370 6,9368 6,5096 5,9795 5,3755 4,7419 4,1497 3,6878 3,4365 3,4354 3,6683 4,0765 4,5828 5,1059 5,5701 5,9161 6,1035 6,1114 5,9520 5,6793 5,3687 5,0809 4,8510 4,7000 4,6421 4,6837 4,8159 5,0103 5,2299 5,4408 5,6146 5,7301 5,7828 5,7910 5,7855 5,7851 5,7886 5,7902 5,7974 5,8286 5,8981 6,0006 6,1050 6,1636 6,1400 6,0355 5,8912 5,7613 5,6826 5,6622 5,6840 5,7188 5,7293 5,6745 5,5166 5,2297 4,8108 4,2885 3,7265 3,2150 2,8351 2,6174 2,5355 2,5348 2,5673 2,6189 2,7141 2,8849 3,1337 3,4248 3,7060 3,9387 4,1197 4,2807 4,4640 4,6961 4,9727 5,2613 5,5228 5,7382 5,9075 6,0290 6,0928 6,0948 6,0458 5,9668 5,8816 5,8129 5,7758 5,7698 5,7831 5,8087 5,8518 5,9171 5,9970 6,0810 6,1688 6,2684 6,3933 6,5576 6,7603 6,9749 7,1583 7,2683 7,2728 7,1544 6,9166 6,5833 6,1821 5,7263 5,2133 4,6382 4,0093 3,3532 2,7082 2,1132 1,5985 1,1933 0,9403 0,8933 1,0942 1,5501 2,2212 3,0269 3,8647 4,6281 5,2191 5,5673 5,6468 5,4815 5,1374 4,7061 4,2829 3,9383 3,6961 3,5359 3,4194 3,3159 3,2090 3,0961 2,9914 2,9249 2,9328 3,0470 3,2846 3,6357 4,0516 4,4419 4,6976 4,7399 4,5609 4,2270 3,8469 3,5144 3,2589 3,0434 2,8033 2,4923 2,1005 1,6493 1,1791 0,7379 0,3772 0,1460 0,0693 0,1222 0,2354 0,3312 0,3590 0,3102 0,2102 0,0950 -0,0089 -0,0811 -0,0924 -0,0102 0,1733 0,4243 0,6792 0,8755 0,9862 1,0386 1,1018 1,2447 1,4983 1,8420 2,2175 2,5627 2,8504 3,1057 3,3949 3,7935 4,3472 5,0528 5,8629 6,6971 7,4526 8,0194 8,3070 8,2731 7,9346 7,3513 6,6033 5,7789 4,9600 4,2041 3,5401 2,9788 2,5221 2,1684 1,9194 1,7843 1,7782 1,9089 2,1616 2,4977 2,8712 3,2460 3,5978 3,8918 4,0663 4,0492 3,7933 3,3025 2,6382 1,8968 1,1681 0,5040 -0,0773 -0,5691 -0,9610 -1,2302 -1,3433 -1,2782 -1,0526 -0,7196 -0,3363 0,0623 0,4609 0,8445 1,1892 1,4783 1,7248 1,9707 2,2594 2,6127 3,0274 3,4790 3,9222 4,3037 4,5817 4,7309 4,7357 4,5918 4,3106 3,9206 3,4600 2,9634 2,4573 1,9684 1,5334 1,1989 1,0093 0,9896 1,1293 1,3757 1,6536 1,9039 2,0992 2,2309 2,2998 2,3185 2,3140 2,3238 2,3820 2,5097 2,7231 3,0419 3,4809 4,0343 4,6689 5,3318 5,9679 6,5402 7,0405 7,4871 7,9093 8,3243 8,7259 9,0941 9,4099 9,6647 9,8637 10,0241 10,1741 10,3469 10,5669 10,8318 11,1101 11,3605 11,5580 11,7054 11,8274 11,9490 12,0693 12,1525 12,1474 12,0150 11,7413 11,3433 10,8751 10,4224 10,0712 9,8653 9,7819 9,7484 9,6831 9,5339 9,2899 8,9644 8,5716 8,1269 7,6540 7,1771 6,7087 6,2541 5,8223 5,4214 5,0472 4,6818 4,3109 3,9437 3,6135 3,3523 3,1664 3,0374 2,9368 2,8364 2,7126 2,5524 2,3556 2,1277 1,8776 1,6253 1,4042 1,2468 1,1705 1,1762 1,2562 1,4037 1,6179 1,8998 2,2409 2,6076 2,9439 3,1974 3,3493 3,4228 3,4675 3,5323 3,6501 3,8441 4,1304 4,5026 4,9239 5,3460 5,7352 6,0840 6,4044 6,7099
F3    -3,3912 -3,0207 -2,5810 -2,0920 -1,5741 -1,0690 -0,6431 -0,3598 -0,2450 -0,2740 -0,3780 -0,4700 -0,4841 -0,4006 -0,2400 -0,0459 0,1240 0,2132 0,1911 0,0596 -0,1648 -0,4656 -0,8261 -1,2282 -1,6470 -2,0406 -2,3494 -2,5131 -2,4940 -2,2926 -1,9426 -1,4818 -0,9247 -0,2623 0,5108 1,3671 2,2431 3,0582 3,7342 4,2044 4,4194 4,3609 4,0542 3,5582 2,9315 2,2129 1,4261 0,5913 -0,2639 -1,0947 -1,8368 -2,4222 -2,7981 -2,9347 -2,8271 -2,4958 -1,9884 -1,3825 -0,7741 -0,2422 0,1899 0,5566 0,9157 1,3094 1,7411 2,1656 2,5049 2,6857 2,6749 2,4949 2,2098 1,8908 1,5865 1,3150 1,0712 0,8401 0,6065 0,3667 0,1452 -0,0040 -0,0294 0,0797 0,2765 0,4693 0,5676 0,5353 0,4064 0,2519 0,1381 0,1062 0,1704 0,3192 0,5131 0,6894 0,7834 0,7572 0,6090 0,3492 -0,0278 -0,5415 -1,2044 -2,0129 -2,9539 -3,9963 -5,0679 -6,0569 -6,8467 -7,3553 -7,5519 -7,4500 -7,0860 -6,4998 -5,7295 -4,8269 -3,8771 -2,9969 -2,3095 -1,9163 -1,8785 -2,2049 -2,8481 -3,7147 -4,6884 -5,6556 -6,5230 -7,2260 -7,7349 -8,0562 -8,2190 -8,2526 -8,1721 -7,9790 -7,6666 -7,2290 -6,6770 -6,0489 -5,4022 -4,7930 -4,2577 -3,8041 -3,4146 -3,0592 -2,7103 -2,3487 -1,9567 -1,5058 -0,9495 -0,2286 0,7078 1,8793 3,2635 4,7978 6,3836 7,8909 9,1760 10,1038 10,5662 10,5110 9,9757 9,0899 8,0422 7,0355 6,2404 5,7658 5,6557 5,9010 6,4473 7,1978 8,0263 8,8048 9,4332 9,8511 10,0231 9,9131 9,4789 8,7036 7,6312 6,3676 5,0554 3,8446 2,8632 2,1888 1,8412 1,7956 1,9990 2,3745 2,8191 3,2138 3,4451 3,4267 3,1246 2,5761 1,8796 1,1605 0,5336 0,0736 -0,2061 -0,3482 -0,4083 -0,4129 -0,3546 -0,2195 -0,0105 0,2480 0,5221 0,7797 0,9926 1,1374 1,2032 1,1922 1,1110 0,9645 0,7661 0,5527 0,3833 0,3284 0,4575 0,8152 1,3930 2,1305 2,9519 3,8018 4,6483 5,4538 6,1485 6,6428 6,8656 6,7997 6,4883 6,0028 5,4004 4,7151 3,9770 3,2191 2,4722 1,7729 1,1753 0,7470 0,5545 0,6446 1,0297 1,6835 2,5407 3,4980 4,4225 5,1733 5,6357 5,7489 5,5175 5,0086 4,3341 3,6288 3,0279 2,6378 2,5058 2,6129 2,8903 3,2531 3,6363 4,0166 4,4043 4,8102 5,2182 5,5845 5,8580 5,9957 5,9768 5,8175 5,5714 5,3062 5,0704 4,8759 4,7016 4,5128 4,2928 4,0678 3,8987 3,8455 3,9356 4,1536 4,4515 4,7617 5,0113 5,1373 5,0983 4,8754 4,4663 3,8879 3,1849 2,4335 1,7273 1,1492 0,7522 0,5598 0,5734 0,7793 1,1514 1,6450 2,1942 2,7213 3,1586 3,4766 3,6957 3,8675 4,0382 4,2268 4,4307 4,6341 4,8144 4,9517 5,0332 5,0474 4,9842 4,8463 4,6502 4,4139 4,1573 3,9100 3,7081 3,5800 3,5400 3,5866 3,6950 3,8140 3,8865 3,8906 3,8648 3,8880 4,0332 4,3274 4,7343 5,1663 5,5213 5,7158 5,7009 5,4638 5,0309 4,4699 3,8704 3,3086 2,8187 2,3883 1,9799 1,5570 1,0996 0,6178 0,1660 -0,1629 -0,2745 -0,1185 0,2905 0,8895 1,5988 2,3406 3,0392 3,6142 3,9919 4,1305 4,0323 3,7368 3,3096 2,8393 2,4256 2,1482 2,0324 2,0426 2,1093 2,1692 2,1878 2,1569 2,0860 1,9984 1,9352 1,9538 2,1054 2,3988 2,7844 3,1651 3,4290 3,5055 3,4055 3,2100 3,0241 2,9213 2,9045 2,9090 2,8429 2,6259 2,2095 1,5900 0,8222 0,0117 -0,7250 -1,3033 -1,6928 -1,9159 -2,0271 -2,0812 -2,1009 -2,0639 -1,9249 -1,6597 -1,2857 -0,8446 -0,3778 0,0711 0,4435 0,6764 0,7246 0,5784 0,2803 -0,0749 -0,3719 -0,5175 -0,4720 -0,2645 0,0175 0,2744 0,4558 0,5940 0,7851 1,1285 1,6711 2,3979 3,2596 4,1931 5,1212 5,9501 6,5808 6,9296 6,9430 6,6033 5,9308 4,9903 3,8850 2,7290 1,6158 0,6122 -0,2298 -0,8686 -1,2810 -1,4638 -1,4240 -1,1721 -0,7256 -0,1154 0,6168 1,4281 2,2642 3,0308 3,5887 3,7941 3,5550 2,8690 1,8302 0,6037 -0,6298 -1,7301 -2,6145 -3,2402 -3,5913 -3,6717 -3,4982 -3,1073 -2,5664 -1,9598 -1,3563 -0,7883 -0,2606 0,2239 0,6455 0,9749 1,1929 1,2996 1,3143 1,2758 1,2336 1,2261 1,2638 1,3360 1,4266 1,5168 1,5820 1,5940 1,5306 1,3888 1,1899 0,9633 0,7256 0,4770 0,2164 -0,0402 -0,2509 -0,3641 -0,3459 -0,1953 0,0622 0,3880 0,7352 1,0510 1,2879 1,4209 1,4617 1,4560 1,4609 1,5186 1,6497 1,8579 2,1348 2,4678 2,8476 3,2662 3,7115 4,1705 4,6365 5,1129 5,6118 6,1410 6,6869 7,2114 7,6662 8,0164 8,2577 8,4219 8,5645 8,7388 8,9676 9,2336 9,4936 9,7028 9,8390 9,9214 10,0057 10,1472 10,3552 10,5740 10,7108 10,6846 10,4584 10,0446 9,4996 8,9101 8,3658 7,9306 7,6250 7,4252 7,2771 7,1205 6,9170 6,6637 6,3859 6,1177 5,8828 5,6858 5,5200 5,3762 5,2363 5,0603 4,7892 4,3689 3,7829 3,0757 2,3402 1,6733 1,1366 0,7530 0,5203 0,4205 0,4226 0,4866 0,5633 0,5918 0,5123 0,2945 -0,0456 -0,4517 -0,8439 -1,1349 -1,2488 -1,1397 -0,8031 -0,2722 0,3935 1,1171 1,8089 2,3794 2,7623 2,9388 2,9439 2,8513 2,7445 2,6876 2,7070 2,7930 2,9192 3,0688 3,2527 3,5029 3,8413 4,2533
F7    -2,0189 -1,6769 -1,2646 -0,8256 -0,4118 -0,0778 0,1318 0,1955 0,1145 -0,0997 -0,4309 -0,8413 -1,2553 -1,5725 -1,7038 -1,6050 -1,2952 -0,8545 -0,3955 -0,0211 0,2130 0,3207 0,3649 0,4068 0,4793 0,5878 0,7159 0,8355 0,9226 0,9601 0,9331 0,8327 0,6656 0,4608 0,2635 0,1146 0,0312 0,0058 0,0162 0,0387 0,0672 0,1319 0,2925 0,5854 0,9652 1,3009 1,4346 1,2550 0,7401 -0,0331 -0,9060 -1,6973 -2,2820 -2,6345 -2,8062 -2,8698 -2,8816 -2,8685 -2,8244 -2,7183 -2,5224 -2,2436 -1,9257 -1,6091 -1,2955 -0,9633 -0,6058 -0,2418 0,1035 0,4170 0,6907 0,8961 0,9844 0,9214 0,7224 0,4517 0,1865 -0,0275 -0,1880 -0,3110 -0,4057 -0,4710 -0,5076 -0,5253 -0,5357 -0,5418 -0,5379 -0,5260 -0,5312 -0,5968 -0,7679 -1,0764 -1,5318 -2,1168 -2,7845 -3,4578 -4,0463 -4,4834 -4,7561 -4,8952 -4,9430 -4,9460 -4,9640 -5,0471 -5,1963 -5,3694 -5,5236 -5,6422 -5,7316 -5,8087 -5,8941 -6,0002 -6,1151 -6,2082 -6,2576 -6,2606 -6,2247 -6,1692 -6,1265 -6,1185 -6,1296 -6,1104 -6,0101 -5,8126 -5,5487 -5,2774 -5,0583 -4,9300 -4,8993 -4,9509 -5,0688 -5,2386 -5,4211 -5,5370 -5,4970 -5,2576 -4,8391 -4,2967 -3,6844 -3,0427 -2,3965 -1,7517 -1,1026 -0,4481 0,1953 0,7969 1,3301 1,7878 2,1688 2,4618 2,6534 2,7380 2,7133 2,5805 2,3675 2,1487 2,0282 2,0971 2,3978 2,9149 3,5916 4,3474 5,0903 5,7317 6,2048 6,4804 6,5689 6,4997 6,3014 5,9952 5,5949 5,1138 4,5775 4,0273 3,5113 3,0738 2,7421 2,5168 2,3788 2,3124 2,3133 2,3698 2,4479 2,5065 2,5172 2,4660 2,3481 2,1637 1,9135 1,6013 1,2462 0,8816 0,5307 0,1897 -0,1507 -0,4764 -0,7495 -0,9269 -0,9734 -0,8674 -0,6132 -0,2510 0,1531 0,5322 0,8416 1,0695 1,2377 1,3936 1,5907 1,8616 2,1982 2,5532 2,8680 3,0965 3,2065 3,1783 3,0155 2,7405 2,3811 1,9733 1,5712 1,2401 1,0354 0,9787 1,0393 1,1400 1,1894 1,1226 0,9298 0,6600 0,3880 0,1769 0,0671 0,0800 0,2239 0,4965 0,8808 1,3403 1,8212 2,2527 2,5534 2,6579 2,5427 2,2312 1,7885 1,3155 0,9258 0,7150 0,7452 1,0410 1,5823 2,3024 3,1017 3,8680 4,4966 4,9087 5,0639 4,9606 4,6339 4,1458 3,5585 2,9190 2,2710 1,6685 1,1677 0,7987 0,5499 0,3875 0,2986 0,3119 0,4721 0,7968 1,2504 1,7528 2,2159 2,5803 2,8262 2,9622 3,0046 2,9630 2,8444 2,6633 2,4397 2,1905 1,9159 1,5916 1,1830 0,6855 0,1599 -0,2876 -0,5740 -0,6931 -0,7063 -0,6941 -0,7069 -0,7442 -0,7686 -0,7426 -0,6577 -0,5372 -0,4221 -0,3586 -0,3799 -0,4846 -0,6296 -0,7487 -0,7853 -0,7142 -0,5327 -0,2393 0,1609 0,6370 1,1390 1,6208 2,0463 2,3784 2,5876 2,6814 2,7028 2,6921 2,6592 2,5964 2,4996 2,3748 2,2388 2,1235 2,0650 2,0803 2,1558 2,2495 2,2985 2,2430 2,0640 1,8038 1,5469 1,3644 1,2567 1,1437 0,9109 0,4688 -0,2151 -1,1103 -2,1227 -3,1102 -3,9320 -4,5068 -4,8383 -4,9946 -5,0613 -5,0976 -5,1095 -5,0516 -4,8625 -4,5113 -4,0138 -3,4192 -2,7873 -2,1703 -1,6027 -1,1026 -0,6754 -0,3171 -0,0173 0,2331 0,4352 0,5833 0,6737 0,7161 0,7360 0,7534 0,7596 0,7198 0,6001 0,4008 0,1727 -0,0068 -0,0788 -0,0400 0,0548 0,1252 0,1006 -0,0624 -0,3723 -0,8076 -1,3359 -1,9223 -2,5159 -3,0396 -3,4119 -3,5892 -3,5856 -3,4545 -3,2559 -3,0397 -2,8475 -2,7118 -2,6480 -2,6553 -2,7277 -2,8561 -3,0257 -3,2193 -3,4252 -3,6345 -3,8246 -3,9493 -3,9507 -3,7850 -3,4509 -2,9932 -2,4690 -1,9174 -1,3708 -0,8761 -0,4819 -0,2067 -0,0314 0,0830 0,1798 0,2959 0,4478 0,6221 0,7840 0,9005 0,9548 0,9382 0,8338 0,6171 0,2734 -0,1792 -0,6832 -1,1604 -1,5353 -1,7512 -1,7885 -1,6784 -1,4877 -1,2865 -1,1269 -1,0333 -0,9990 -0,9914 -0,9647 -0,8796 -0,7326 -0,5749 -0,4875 -0,5265 -0,6920 -0,9481 -1,2587 -1,5934 -1,9065 -2,1334 -2,2167 -2,1353 -1,9249 -1,6716 -1,4676 -1,3660 -1,3739 -1,4707 -1,6288 -1,8324 -2,0763 -2,3485 -2,6182 -2,8426 -2,9827 -3,0176 -2,9498 -2,7988 -2,5834 -2,3095 -1,9770 -1,5983 -1,2012 -0,8122 -0,4431 -0,0928 0,2335 0,5028 0,6581 0,6483 0,4578 0,1137 -0,3210 -0,7701 -1,1757 -1,5203 -1,8270 -2,1373 -2,4788 -2,8388 -3,1637 -3,3766 -3,3997 -3,1820 -2,7332 -2,1315 -1,4882 -0,9020 -0,4324 -0,0925 0,1401 0,2998 0,4246 0,5681 0,7907 1,1283 1,5735 2,0834 2,5999 3,0728 3,4791 3,8312 4,1585 4,4748 4,7629 4,9927 5,1422 5,2005 5,1632 5,0304 4,8113 4,5280 4,2190 3,9385 3,7459 3,6818 3,7444 3,8827 4,0136 4,0553 3,9573 3,7164 3,3767 3,0099 2,6865 2,4613 2,3768 2,4605 2,7128 3,0880 3,4886 3,7935 3,9061 3,7891 3,4738 3,0413 2,5814 2,1561 1,7873 1,4625 1,1477 0,8067 0,4256 0,0331 -0,3023 -0,5013 -0,5178 -0,3644 -0,1047 0,1714 0,3733 0,4391 0,3501 0,1204 -0,2234 -0,6566 -1,1619 -1,7183 -2,2848 -2,7869 -3,1280 -3,2354 -3,1065 -2,8136 -2,4640 -2,1497 -1,9211 -1,7881 -1,7318 -1,7115 -1,6723 -1,5617 -1,3549 -1,0665 -0,7342 -0,3929 -0,0619 0,2523 0,5506 0,8341 1,0999 1,3466 1,5829 1,8294 2,1075 2,4209
