Fp1   3,6282 2,8895 2,1826 1,6006 1,1931 0,9739 0,9334 1,0528 1,3109 1,6767 2,0891 2,4477 2,6460 2,6317 2,4264 2,0742 1,5853 0,9621 0,2665 -0,3905 -0,9225 -1,3011 -1,5486 -1,7268 -1,8983 -2,0634 -2,1441 -2,0487 -1,7547 -1,3223 -0,8697 -0,5541 -0,5141 -0,7875 -1,2890 -1,8495 -2,2913 -2,5080 -2,4848 -2,2442 -1,8027 -1,1972 -0,5245 0,0808 0,5012 0,6743 0,6034 0,3366 -0,0831 -0,6463 -1,3233 -1,9896 -2,4604 -2,6217 -2,4924 -2,1589 -1,7035 -1,2253 -0,8658 -0,7384 -0,8458 -1,0801 -1,2867 -1,3499 -1,2583 -1,0914 -0,9313 -0,7778 -0,5562 -0,2157 0,1841 0,4917 0,5679 0,3688 -0,0438 -0,5288 -0,9138 -1,0745 -0,9956 -0,7604 -0,4930 -0,3053 -0,2663 -0,3624 -0,4802 -0,4711 -0,2528 0,1414 0,5867 0,9252 1,0204 0,7998 0,2866 -0,3961 -1,0591 -1,5174 -1,6778 -1,5780 -1,3274 -1,0200 -0,7148 -0,4734 -0,3864 -0,5520 -1,0204 -1,7480 -2,6116 -3,4650 -4,1877 -4,7169 -5,0512 -5,2137 -5,2173 -5,0690 -4,7846 -4,3850 -3,8852 -3,3254 -2,8209 -2,5254 -2,5294 -2,8206 -3,3206 -3,9192 -4,4976 -4,9600 -5,2554 -5,3798 -5,3609 -5,2353 -5,0357 -4,7779 -4,4487 -4,0187 -3,4744 -2,8434 -2,1824 -1,5258 -0,8730 -0,2178 0,4537 1,1749 1,9583 2,7549 3,4797 4,0786 4,5668 4,9932 5,3708 5,6678 5,8625 5,9841 6,1127 6,3474 6,7356 7,2201 7,6757 7,9780 8,0339 7,8150 7,3899 6,9006 6,5072 6,3389 6,4431 6,7746 7,2384 7,7134 8,0592 8,1552 7,9521 7,5093 6,9819 6,5296 6,2349 6,1032 6,1015 6,1822 6,2936 6,3892 6,4395 6,4304 6,3375 6,1137 5,7297 5,2401 4,7856 4,5184 4,5382 4,8597 5,3759 5,8719 6,1269 6,0182 5,5613 4,9160 4,3403 4,0666 4,1924 4,6579 5,3030 5,9790 6,6309 7,2756 7,9361 8,6041 9,2378 9,7815 10,1900 10,4409 10,5273 10,4635 10,3192 10,2154 10,2488 10,4419 10,7674 11,1763 11,6005 11,9670 12,2203 12,3259 12,2749 12,1040 11,8759 11,6332 11,3965 11,1779 10,9757 10,7906 10,6397 10,5256 10,4188 10,2993 10,1871 10,1220 10,1335 10,2195 10,3353 10,4057 10,3657 10,2098 10,0124 9,8758 9,8337 9,8118 9,6931 9,4096 8,9735 8,4565 7,9716 7,6481 7,5923 7,8455 8,3554 8,9893 9,5973 10,0691 10,3452 10,4110 10,3018 10,0935 9,8620 9,6410 9,4292 9,2349 9,0819 8,9719 8,8871 8,8296 8,8235 8,8834 8,9878 9,0678 9,0158 8,7367 8,2347 7,6416 7,1439 6,8922 6,9510 7,2687 7,6871 8,0270 8,1962 8,2228 8,1997 8,2116 8,2918 8,4028 8,4658 8,4408 8,3654 8,2944 8,2356 8,1764 8,1243 8,0840 8,0382 7,9990 8,0571 8,3285 8,8279 9,4291 9,9707 10,3593 10,5478 10,4767 10,1070 9,4989 8,8160 8,2452 7,9268 7,9296 8,2401 8,7706 9,4260 10,1741 11,0157 11,8914 12,6579 13,1596 13,3043 13,0948 12,6299 12,0648 11,5282 11,0823 10,7623 10,6085 10,6275 10,7496 10,8696 10,9285 10,9264 10,8924 10,8716 10,8994 10,9631 11,0280 11,1015 11,2273 11,4277 11,6837 11,9469 12,1525 12,2408 12,1767 11,9463 11,5504 11,0125 10,3768 9,7033 9,0851 8,6442 8,4668 8,5510 8,8261 9,2104 9,6540 10,1257 10,5596 10,8359 10,8484 10,5982 10,2058 9,8327 9,6021 9,5734 9,7442 10,0662 10,4784 10,9252 11,3470 11,6809 11,8703 11,8553 11,5874 11,0920 10,5007 10,0057 9,7784 9,8936 10,2884 10,8091 11,3145 11,7379 12,0846 12,4033 12,7295 13,0221 13,1626 13,0370 12,6304 12,0450 11,4257 10,8691 10,3967 9,9834 9,6059 9,2780 9,0293 8,8414 8,6464 8,4274 8,2884 8,3679 8,6828 9,0846 9,3613 9,3626 9,0636 8,5661 8,0404 7,6233 7,3404 7,1309 6,9377 6,7517 6,5854 6,4290 6,2353 5,9718 5,6929 5,5317 5,6161 5,9856 6,5683 7,2285 7,8393 8,3177 8,5988 8,5991 8,2476 7,5600 6,6676 5,7822 5,1189 4,8108 4,8650 5,1902 5,6700 6,2057 6,7114 7,1089 7,3380 7,3725 7,2232 6,9226 6,5275 6,1332 5,8562 5,7868 5,9581 6,3489 6,8961 7,5015 8,0476 8,4372 8,6155 8,5492 8,2174 7,6254 6,8043 5,8202 4,7963 3,8954 3,2682 3,0043 3,1007 3,4623 3,9417 4,3980 4,7417 4,9474 5,0398 5,0710 5,0910 5,1123 5,1024 5,0121 4,7970 4,4322 3,9422 3,4010 2,8720 2,3506 1,7796 1,1373 0,5093 0,0478 -0,1365 -0,0325 0,2849 0,7122 1,1820 1,6763 2,1829 2,6698 3,1157 3,5260 3,9078 4,2485 4,5200 4,6920 4,7488 4,7012 4,5756 4,3910 4,1481 3,8460 3,5029 3,1590 2,8761 2,7473 2,8845 3,3569 4,1249 5,0329 5,8558 6,3791 6,5026 6,2993 5,9676 5,7346 5,7777 6,1665 6,8462 7,6717 8,4463 8,9752 9,1513 8,9920 8,5896 8,0629 7,5435 7,1459 6,9197 6,8577 6,9529 7,2008 7,5423 7,8444 7,9522 7,7689 7,3151 6,7223 6,1676 5,7798 5,5688 5,4501 5,3426 5,2287 5,1434 5,1607 5,3700 5,8068 6,3970 6,9910 7,4480 7,6849 7,6882 7,5118 7,2490 7,0039 6,8692 6,8757 6,9686 7,0589 7,0830 7,0122 6,8414 6,5859 6,2891 6,0301 5,9117 6,0053 6,2981 6,7136 7,1714 7,6052 7,9373 8,0785 7,9972 7,7863 7,6202 7,6372 7,8638 8,2291 8,6391 9,0257 9,3349 9,5209 9,5758 9,5432 9,5031 9,5356 9,6881 9,9744 10,3842
Fz    3,1086 2,6531 2,2281 1,8696 1,5930 1,3970 1,2670 1,1785 1,1065 1,0322 0,9354 0,7896 0,5758 0,3019 0,0043 -0,2701 -0,4937 -0,6671 -0,7965 -0,8811 -0,9272 -0,9543 -0,9836 -1,0287 -1,0886 -1,1344 -1,1144 -0,9962 -0,8039 -0,6025 -0,4604 -0,4292 -0,5286 -0,7402 -1,0199 -1,3063 -1,5276 -1,6285 -1,5894 -1,4109 -1,0942 -0,6551 -0,1424 0,3681 0,7937 1,0646 1,1390 1,0063 0,6782 0,1848 -0,4069 -0,9812 -1,4107 -1,6244 -1,6342 -1,4981 -1,2790 -1,0422 -0,8561 -0,7621 -0,7474 -0,7566 -0,7278 -0,6344 -0,5063 -0,4079 -0,3908 -0,4601 -0,5691 -0,6519 -0,6740 -0,6520 -0,6237 -0,6170 -0,6417 -0,6844 -0,7087 -0,6861 -0,6276 -0,5753 -0,5649 -0,6079 -0,6969 -0,8065 -0,8902 -0,9019 -0,8283 -0,7008 -0,5768 -0,5139 -0,5501 -0,6924 -0,9117 -1,1489 -1,3327 -1,4033 -1,3419 -1,1815 -0,9755 -0,7585 -0,5469 -0,3685 -0,2737 -0,3147 -0,5173 -0,8706 -1,3370 -1,8693 -2,4233 -2,9630 -3,4579 -3,8720 -4,1626 -4,3005 -4,2920 -4,1762 -3,9987 -3,8025 -3,6427 -3,5758 -3,6254 -3,7701 -3,9627 -4,1511 -4,2894 -4,3446 -4,2987 -4,1556 -3,9464 -3,7194 -3,5185 -3,3601 -3,2246 -3,0735 -2,8745 -2,6162 -2,3055 -1,9517 -1,5610 -1,1405 -0,6920 -0,2045 0,3309 0,9008 1,4726 2,0197 2,5381 3,0300 3,4742 3,8285 4,0650 4,1951 4,2666 4,3429 4,4715 4,6592 4,8750 5,0666 5,1772 5,1746 5,0766 4,9441 4,8525 4,8650 5,0148 5,2998 5,6869 6,1139 6,5014 6,7807 6,9129 6,8997 6,7871 6,6387 6,5013 6,3921 6,3072 6,2337 6,1582 6,0696 5,9597 5,8229 5,6505 5,4291 5,1559 4,8626 4,6127 4,4721 4,4852 4,6617 4,9598 5,2902 5,5538 5,6789 5,6420 5,4826 5,2922 5,1631 5,1447 5,2339 5,3921 5,5816 5,7959 6,0541 6,3722 6,7383 7,1092 7,4285 7,6523 7,7612 7,7589 7,6757 7,5709 7,5101 7,5271 7,6202 7,7748 7,9696 8,1688 8,3283 8,4160 8,4206 8,3475 8,2183 8,0657 7,9227 7,8177 7,7671 7,7661 7,7982 7,8479 7,8936 7,9058 7,8650 7,7702 7,6313 7,4591 7,2567 7,0129 6,7107 6,3446 5,9410 5,5635 5,2845 5,1342 5,0742 5,0281 4,9369 4,7851 4,5952 4,4182 4,3173 4,3436 4,5107 4,7818 5,0815 5,3302 5,4731 5,4893 5,3913 5,2207 5,0341 4,8778 4,7688 4,7025 4,6780 4,6993 4,7497 4,7917 4,7984 4,7727 4,7365 4,7091 4,6846 4,6226 4,4705 4,2097 3,8803 3,5614 3,3319 3,2389 3,2780 3,3969 3,5298 3,6428 3,7454 3,8645 4,0119 4,1703 4,2947 4,3342 4,2691 4,1278 3,9558 3,7804 3,6135 3,4639 3,3300 3,2022 3,0923 3,0531 3,1489 3,4010 3,7656 4,1664 4,5312 4,7955 4,8919 4,7695 4,4309 3,9431 3,4098 2,9375 2,6118 2,4756 2,5211 2,7147 3,0287 3,4384 3,8978 4,3392 4,7051 4,9692 5,1290 5,1949 5,1840 5,1079 4,9699 4,7838 4,5838 4,4055 4,2627 4,1563 4,0941 4,0870 4,1345 4,2227 4,3261 4,4126 4,4694 4,5235 4,6189 4,7778 4,9899 5,2232 5,4373 5,5970 5,6764 5,6550 5,5216 5,2857 4,9835 4,6749 4,4394 4,3531 4,4461 4,6841 4,9923 5,2917 5,5237 5,6595 5,6897 5,6136 5,4486 5,2474 5,0826 5,0065 5,0294 5,1303 5,2735 5,4236 5,5587 5,6701 5,7456 5,7645 5,7064 5,5531 5,2909 4,9281 4,5112 4,1168 3,8253 3,6862 3,6931 3,7963 3,9460 4,1199 4,3173 4,5368 4,7563 4,9310 5,0151 4,9920 4,8849 4,7411 4,6030 4,4889 4,3907 4,2854 4,1558 4,0089 3,8653 3,7281 3,5824 3,4333 3,3278 3,3180 3,4029 3,5170 3,5724 3,5076 3,3134 3,0327 2,7350 2,4758 2,2714 2,1145 2,0111 1,9855 2,0532 2,1954 2,3590 2,4911 2,5800 2,6594 2,7769 2,9570 3,1800 3,3906 3,5315 3,5707 3,4945 3,2874 2,9423 2,4919 2,0133 1,5974 1,3130 1,1906 1,2259 1,3949 1,6697 2,0171 2,3906 2,7410 3,0332 3,2502 3,3821 3,4179 3,3553 3,2182 3,0577 2,9350 2,9000 2,9769 3,1577 3,3996 3,6343 3,7991 3,8618 3,8130 3,6556 3,4095 3,1078 2,7838 2,4678 2,1878 1,9673 1,8193 1,7389 1,7015 1,6754 1,6426 1,6023 1,5569 1,5068 1,4574 1,4141 1,3641 1,2757 1,1194 0,8826 0,5730 0,2219 -0,1271 -0,4477 -0,7533 -1,0846 -1,4658 -1,8712 -2,2404 -2,5199 -2,6871 -2,7480 -2,7207 -2,6193 -2,4565 -2,2585 -2,0619 -1,8918 -1,7496 -1,6220 -1,4950 -1,3649 -1,2429 -1,1489 -1,1004 -1,1075 -1,1701 -1,2756 -1,3990 -1,5059 -1,5544 -1,4986 -1,2920 -0,9002 -0,3259 0,3719 1,0901 1,7140 2,1509 2,3643 2,3908 2,3207 2,2673 2,3380 2,5969 3,0381 3,5915 4,1447 4,5787 4,8167 4,8491 4,7158 4,4808 4,2200 4,0032 3,8703 3,8284 3,8709 3,9778 4,0958 4,1423 4,0405 3,7552 3,3121 2,7887 2,2780 1,8457 1,5050 1,2315 1,0086 0,8517 0,7928 0,8611 1,0713 1,4011 1,7754 2,0899 2,2552 2,2280 2,0254 1,7178 1,3958 1,1357 0,9824 0,9352 0,9476 0,9537 0,9012 0,7695 0,5743 0,3584 0,1734 0,0636 0,0584 0,1609 0,3432 0,5610 0,7708 0,9350 1,0238 1,0190 0,9276 0,7966 0,6950 0,6729 0,7386 0,8709 1,0474 1,2538 1,4734 1,6872 1,8847 2,0667 2,2404 2,4086 2,5647 2,7049 2,8391
F3    2,8896 2,3443 1,8278 1,3969 1,0807 0,8873 0,8080 0,8199 0,8948 1,0053 1,1125 1,1569 1,0781 0,8557 0,5305 0,1779 -0,1463 -0,4221 -0,6389 -0,7840 -0,8616 -0,8984 -0,9280 -0,9783 -1,0558 -1,1276 -1,1299 -1,0179 -0,8074 -0,5627 -0,3629 -0,2821 -0,3652 -0,6063 -0,9537 -1,3211 -1,6068 -1,7363 -1,6866 -1,4643 -1,0806 -0,5668 0,0038 0,5263 0,8980 1,0549 0,9920 0,7515 0,3822 -0,0831 -0,5994 -1,0703 -1,3804 -1,4781 -1,4047 -1,2369 -1,0292 -0,8197 -0,6578 -0,5862 -0,6032 -0,6553 -0,6684 -0,5985 -0,4638 -0,3280 -0,2459 -0,2169 -0,1824 -0,0805 0,0871 0,2465 0,3119 0,2453 0,0681 -0,1504 -0,3196 -0,3783 -0,3360 -0,2568 -0,2073 -0,2264 -0,3272 -0,4872 -0,6404 -0,7117 -0,6694 -0,5447 -0,4093 -0,3379 -0,3843 -0,5700 -0,8741 -1,2307 -1,5421 -1,7139 -1,7033 -1,5440 -1,3078 -1,0476 -0,7908 -0,5755 -0,4684 -0,5410 -0,8276 -1,3031 -1,8971 -2,5254 -3,1169 -3,6261 -4,0310 -4,3197 -4,4857 -4,5351 -4,4906 -4,3756 -4,1956 -3,9565 -3,7088 -3,5402 -3,5107 -3,6158 -3,8013 -3,9932 -4,1223 -4,1401 -4,0257 -3,7920 -3,4930 -3,2097 -3,0120 -2,9177 -2,8859 -2,8512 -2,7620 -2,5996 -2,3713 -2,0793 -1,7105 -1,2568 -0,7231 -0,1167 0,5469 1,2282 1,8732 2,4482 2,9595 3,4237 3,8247 4,1216 4,2963 4,3762 4,4246 4,5196 4,7166 5,0162 5,3732 5,7220 5,9869 6,1052 6,0660 5,9166 5,7396 5,6228 5,6278 5,7735 6,0413 6,3773 6,6988 6,9203 6,9850 6,8914 6,6970 6,4802 6,2985 6,1785 6,1248 6,1280 6,1676 6,2107 6,2182 6,1547 5,9912 5,7091 5,3212 4,8923 4,5220 4,3018 4,2912 4,5049 4,8885 5,3152 5,6379 5,7505 5,6265 5,3388 5,0358 4,8606 4,8806 5,0734 5,3617 5,6744 5,9877 6,3095 6,6423 6,9632 7,2326 7,4200 7,5210 7,5492 7,5177 7,4408 7,3525 7,3011 7,3157 7,3961 7,5372 7,7338 7,9612 8,1717 8,3158 8,3561 8,2720 8,0725 7,7969 7,4953 7,2137 6,9855 6,8221 6,7212 6,6768 6,6709 6,6686 6,6359 6,5542 6,4249 6,2668 6,0998 5,9258 5,7292 5,4986 5,2512 5,0382 4,9137 4,8831 4,8847 4,8346 4,6919 4,4735 4,2281 4,0209 3,9230 3,9880 4,2271 4,5959 5,0055 5,3619 5,6017 5,7035 5,6812 5,5754 5,4383 5,3099 5,2002 5,0988 5,0080 4,9467 4,9183 4,9045 4,8977 4,9132 4,9662 5,0478 5,1194 5,1200 4,9946 4,7408 4,4313 4,1759 4,0637 4,1278 4,3282 4,5625 4,7235 4,7662 4,7233 4,6649 4,6519 4,7074 4,8027 4,8754 4,8818 4,8298 4,7486 4,6487 4,5333 4,4222 4,3355 4,2765 4,2600 4,3414 4,5814 4,9719 5,4211 5,8219 6,1098 6,2476 6,1895 5,8964 5,3820 4,7302 4,0687 3,5312 3,2247 3,1927 3,4030 3,7906 4,3120 4,9378 5,6050 6,2073 6,6389 6,8410 6,8154 6,6174 6,3269 6,0049 5,6772 5,3611 5,0901 4,8935 4,7619 4,6574 4,5573 4,4662 4,3992 4,3718 4,3877 4,4290 4,4794 4,5584 4,7010 4,9129 5,1634 5,4085 5,6048 5,7206 5,7435 5,6712 5,5030 5,2463 4,9242 4,5787 4,2788 4,1072 4,1114 4,2724 4,5258 4,8010 5,0473 5,2371 5,3447 5,3347 5,1906 4,9538 4,7145 4,5578 4,5306 4,6412 4,8671 5,1658 5,4959 5,8222 6,1025 6,2928 6,3626 6,2898 6,0587 5,6851 5,2383 4,8250 4,5484 4,4587 4,5258 4,6692 4,8219 4,9631 5,1056 5,2666 5,4377 5,5724 5,6057 5,4963 5,2612 4,9755 4,7257 4,5599 4,4720 4,4197 4,3567 4,2657 4,1534 4,0141 3,8277 3,6099 3,4411 3,4105 3,5265 3,6927 3,7727 3,6728 3,3864 2,9914 2,6065 2,3208 2,1452 2,0402 1,9861 2,0009 2,1015 2,2672 2,4348 2,5390 2,5681 2,5711 2,6149 2,7373 2,9287 3,1461 3,3440 3,4909 3,5506 3,4610 3,1664 2,6759 2,0768 1,4960 1,0527 0,8241 0,8316 1,0512 1,4354 1,9216 2,4315 2,8875 3,2337 3,4439 3,5134 3,4481 3,2697 3,0327 2,8159 2,6886 2,6839 2,8000 3,0124 3,2766 3,5319 3,7232 3,8168 3,7902 3,6266 3,3291 2,9212 2,4390 1,9321 1,4614 1,0859 0,8436 0,7375 0,7342 0,7842 0,8523 0,9262 1,0015 1,0737 1,1490 1,2415 1,3430 1,4097 1,3860 1,2292 0,9244 0,5023 0,0309 -0,4303 -0,8719 -1,3245 -1,8045 -2,2694 -2,6374 -2,8490 -2,9040 -2,8473 -2,7275 -2,5682 -2,3782 -2,1789 -2,0031 -1,8654 -1,7533 -1,6471 -1,5378 -1,4311 -1,3445 -1,2924 -1,2735 -1,2739 -1,2823 -1,2999 -1,3365 -1,3961 -1,4649 -1,5065 -1,4623 -1,2632 -0,8675 -0,3032 0,3280 0,8845 1,2397 1,3413 1,2371 1,0461 0,9132 0,9726 1,3025 1,8906 2,6351 3,3719 3,9278 4,1958 4,1746 3,9386 3,5917 3,2399 2,9637 2,7929 2,7208 2,7455 2,8676 3,0436 3,1720 3,1386 2,8804 2,4254 1,8820 1,3837 1,0205 0,7993 0,6661 0,5716 0,5088 0,5011 0,5901 0,8207 1,1962 1,6463 2,0510 2,2959 2,3163 2,1225 1,7976 1,4568 1,2014 1,0940 1,1385 1,2783 1,4281 1,5152 1,5021 1,3893 1,2020 0,9762 0,7588 0,6113 0,5851 0,6892 0,8916 1,1386 1,3666 1,5079 1,5046 1,3424 1,0830 0,8413 0,7182 0,7529 0,9254 1,1887 1,4929 1,7880 2,0335 2,2128 2,3366 2,4333 2,5319 2,6465 2,7843 2,9554
F7    2,0793 1,5153 0,9838 0,5299 0,1956 0,0091 -0,0261 0,0763 0,2933 0,5794 0,8578 1,0471 1,1088 1,0625 0,9596 0,8478 0,7496 0,6661 0,5952 0,5351 0,4790 0,4252 0,3748 0,3111 0,2129 0,0994 0,0368 0,0830 0,2331 0,4218 0,5531 0,5275 0,2834 -0,1669 -0,7449 -1,3338 -1,8085 -2,0811 -2,1366 -2,0181 -1,7828 -1,4819 -1,1638 -0,8698 -0,6302 -0,4682 -0,3970 -0,4141 -0,5131 -0,6958 -0,9494 -1,2097 -1,3784 -1,3957 -1,2785 -1,0829 -0,8643 -0,6863 -0,6192 -0,6855 -0,8313 -0,9653 -1,0136 -0,9559 -0,8335 -0,7125 -0,6236 -0,5347 -0,3851 -0,1529 0,1020 0,2629 0,2370 0,0143 -0,3400 -0,7201 -1,0088 -1,1162 -1,0137 -0,7451 -0,4059 -0,1019 0,0912 0,1559 0,1338 0,0925 0,0814 0,1066 0,1331 0,1059 -0,0249 -0,2888 -0,6870 -1,1825 -1,6905 -2,0969 -2,3199 -2,3592 -2,2779 -2,1425 -1,9956 -1,8806 -1,8637 -2,0134 -2,3601 -2,8782 -3,5033 -4,1574 -4,7624 -5,2604 -5,6278 -5,8602 -5,9506 -5,8935 -5,7055 -5,4336 -5,1389 -4,8882 -4,7617 -4,8310 -5,1125 -5,5571 -6,0776 -6,5791 -6,9843 -7,2490 -7,3625 -7,3399 -7,2025 -6,9622 -6,6276 -6,2165 -5,7481 -5,2303 -4,6680 -4,0779 -3,4798 -2,8744 -2,2556 -1,6384 -1,0459 -0,4838 0,0445 0,5163 0,9106 1,2420 1,5495 1,8563 2,1522 2,4118 2,6208 2,7931 2,9727 3,2151 3,5450 3,9254 4,2754 4,5077 4,5553 4,4002 4,0906 3,7212 3,4007 3,2257 3,2506 3,4770 3,8633 4,3248 4,7417 5,0046 5,0670 4,9730 4,8273 4,7135 4,6468 4,5967 4,5262 4,4156 4,2683 4,1000 3,9267 3,7584 3,5894 3,3915 3,1346 2,8316 2,5545 2,3967 2,4264 2,6616 3,0487 3,4661 3,7749 3,8809 3,7721 3,5281 3,2847 3,1610 3,2089 3,4057 3,6809 3,9659 4,2297 4,4784 4,7348 5,0145 5,3034 5,5626 5,7489 5,8269 5,7742 5,5985 5,3629 5,1736 5,1198 5,2309 5,4842 5,8218 6,1589 6,4123 6,5272 6,4787 6,2696 5,9405 5,5527 5,1492 4,7450 4,3484 3,9836 3,6934 3,5188 3,4673 3,5134 3,6299 3,8005 4,0082 4,2282 4,4216 4,5325 4,5111 4,3475 4,0830 3,7916 3,5492 3,3956 3,3086 3,2252 3,0947 2,9113 2,7108 2,5554 2,5222 2,6853 3,0814 3,6792 4,3912 5,1129 5,7523 6,2408 6,5417 6,6546 6,6098 6,4532 6,2313 5,9948 5,8036 5,6961 5,6460 5,5738 5,4080 5,1412 4,8387 4,5889 4,4325 4,3357 4,2299 4,0811 3,9175 3,7971 3,7702 3,8620 4,0613 4,3243 4,6051 4,8892 5,1927 5,5316 5,8980 6,2520 6,5200 6,6155 6,5002 6,2250 5,8902 5,5783 5,3398 5,2042 5,1680 5,1925 5,2459 5,3418 5,5204 5,7906 6,1021 6,3801 6,5663 6,6179 6,4932 6,1755 5,7144 5,2255 4,8436 4,6779 4,7875 5,1683 5,7604 6,4825 7,2631 8,0313 8,6879 9,1212 9,2662 9,1362 8,7967 8,3323 7,8357 7,3883 7,0374 6,8021 6,6903 6,6888 6,7478 6,8052 6,8297 6,8321 6,8492 6,9177 7,0400 7,1729 7,2683 7,3149 7,3295 7,3390 7,3758 7,4593 7,5699 7,6525 7,6418 7,4896 7,1860 6,7708 6,3170 5,8943 5,5571 5,3482 5,2800 5,3120 5,3740 5,4204 5,4571 5,5104 5,5715 5,5775 5,4611 5,2234 4,9530 4,7731 4,7700 4,9585 5,2926 5,7008 6,1257 6,5352 6,9016 7,1857 7,3429 7,3272 7,1025 6,6761 6,1223 5,5647 5,1339 4,9198 4,9391 5,1431 5,4676 5,8733 6,3372 6,8195 7,2375 7,4736 7,4347 7,1157 6,6063 6,0448 5,5537 5,1844 4,9014 4,6239 4,2927 3,9091 3,5247 3,1962 2,9487 2,7934 2,7661 2,9142 3,2297 3,6089 3,8953 3,9626 3,7715 3,3755 2,8832 2,4018 1,9952 1,6878 1,4906 1,4045 1,4091 1,4632 1,5123 1,5168 1,4942 1,5204 1,6774 1,9911 2,4103 2,8370 3,1771 3,3684 3,3752 3,1772 2,7829 2,2517 1,6852 1,1936 0,8642 0,7483 0,8565 1,1587 1,5945 2,0833 2,5346 2,8708 3,0539 3,0988 3,0504 2,9390 2,7710 2,5622 2,3572 2,2158 2,1945 2,3295 2,6235 3,0396 3,5086 3,9542 4,3075 4,4911 4,4294 4,0945 3,5254 2,8143 2,0845 1,4553 1,0073 0,7687 0,7154 0,7790 0,8730 0,9320 0,9364 0,9063 0,8831 0,9106 1,0174 1,1955 1,3869 1,4998 1,4484 1,1927 0,7589 0,2236 -0,3333 -0,8703 -1,3862 -1,8852 -2,3377 -2,6922 -2,9256 -3,0618 -3,1416 -3,1840 -3,1716 -3,0713 -2,8754 -2,6215 -2,3598 -2,1112 -1,8654 -1,6134 -1,3711 -1,1715 -1,0352 -0,9529 -0,9014 -0,8720 -0,8713 -0,8992 -0,9343 -0,9483 -0,9197 -0,8197 -0,5948 -0,1950 0,3665 0,9905 1,5240 1,8254 1,8378 1,6229 1,3195 1,0790 1,0226 1,2115 1,6254 2,1697 2,7020 3,0878 3,2672 3,2639 3,1279 2,9002 2,6252 2,3529 2,1170 1,9299 1,8017 1,7447 1,7551 1,7991 1,8148 1,7423 1,5601 1,2926 0,9994 0,7472 0,5696 0,4598 0,4031 0,4026 0,4774 0,6568 0,9678 1,4024 1,8937 2,3395 2,6506 2,7784 2,7228 2,5307 2,2791 2,0622 1,9662 2,0149 2,1479 2,2692 2,3046 2,2264 2,0526 1,8367 1,6528 1,5775 1,6660 1,9258 2,3148 2,7655 3,2060 3,5717 3,8152 3,9102 3,8658 3,7418 3,6262 3,5864 3,6352 3,7401 3,8628 3,9811 4,0765 4,1334 4,1605 4,1926 4,2695 4,4161 4,6418 4,9558 5,3605
