Fp1   0,1883 -0,3302 -0,9238 -1,3962 -1,5620 -1,3457 -0,8021 -0,0505 0,7846 1,6059 2,3742 3,0950 3,7531 4,2664 4,5043 4,3372 3,6918 2,6135 1,2959 0,0273 -0,9325 -1,4523 -1,5516 -1,3625 -1,0800 -0,9121 -1,0029 -1,3537 -1,8154 -2,1773 -2,2842 -2,0965 -1,6851 -1,1691 -0,6117 0,0096 0,6895 1,3026 1,6726 1,6903 1,3418 0,6721 -0,2246 -1,1784 -1,9574 -2,3519 -2,2825 -1,8565 -1,3082 -0,8591 -0,6232 -0,6208 -0,8483 -1,3047 -1,9440 -2,6468 -3,2758 -3,7544 -4,0969 -4,3791 -4,6847 -5,0664 -5,5231 -6,0025 -6,4567 -6,9016 -7,3880 -7,9156 -8,3991 -8,7303 -8,8600 -8,8053 -8,5957 -8,2401 -7,7349 -7,0717 -6,2452 -5,2832 -4,2622 -3,2780 -2,4031 -1,6958 -1,2593 -1,2449 -1,7462 -2,6846 -3,8141 -4,8753 -5,7448 -6,4049 -6,8202 -6,9159 -6,6456 -6,0212 -5,0991 -3,9698 -2,7504 -1,5832 -0,6321 -0,0385 0,1405 -0,0642 -0,5712 -1,2738 -2,0582 -2,8234 -3,5102 -4,1158 -4,6631 -5,1671 -5,6444 -6,1237 -6,6389 -7,2116 -7,8210 -8,3855 -8,7792 -8,8764 -8,6028 -7,9698 -7,0730 -6,0606 -5,0983 -4,3510 -3,9677 -4,0386 -4,5325 -5,2978 -6,1355 -6,8403 -7,1887 -6,9628 -6,0327 -4,4221 -2,3041 0,0521 2,3603 4,3868 5,9525 6,9074 7,1510 6,6772 5,5873 4,0713 2,3787 0,7758 -0,5420 -1,5163 -2,1771 -2,5514 -2,6565 -2,5486 -2,3390 -2,1436 -2,0098 -1,8930 -1,6881 -1,2795 -0,5916 0,3877 1,5997 2,9104 4,1266 5,0434 5,5268 5,5993 5,4465 5,2897 5,2051 5,0672 4,6819 3,9556 2,9500 1,8363 0,8389 0,1841 0,0227 0,3623 1,0627 1,8914 2,6065 3,0354 3,1120 2,8685 2,4123 1,8835 1,4054 1,0711 0,9407 1,0031 1,1610 1,3054 1,4107 1,5216 1,6486 1,7268 1,6902 1,5295 1,2557 0,8724 0,4243 0,0229 -0,2200 -0,2872 -0,2911 -0,4116 -0,7757 -1,3757 -2,0858 -2,7562 -3,2972 -3,6869 -3,9407 -4,1013 -4,2185 -4,3052 -4,3397 -4,3017 -4,1632 -3,8721 -3,4030 -2,8136 -2,2279 -1,7773 -1,5419 -1,4997 -1,5449 -1,6018 -1,7091 -1,9684 -2,4323 -3,0669 -3,7758 -4,4147 -4,8076 -4,7756 -4,1757 -2,9638 -1,2539 0,7091 2,6508 4,3308 5,5471 6,1667 6,1877 5,7281 4,9285 3,8833 2,6544 1,2988 -0,1277 -1,5548 -2,8717 -3,9366 -4,6176 -4,8196 -4,5103 -3,7616 -2,7488 -1,6653 -0,6355 0,2808 1,0217 1,4900 1,5954 1,3322 0,8078 0,1763 -0,4501 -1,0169 -1,4968 -1,8822 -2,1973 -2,4899 -2,7942 -3,0993 -3,3482 -3,4822 -3,5135 -3,5401 -3,6573 -3,8530 -4,0018 -3,9586 -3,6717 -3,2339 -2,8278 -2,6199 -2,6891 -2,9954 -3,3826 -3,6462 -3,6508 -3,4031 -3,0236 -2,6606 -2,4285 -2,3803 -2,4973 -2,7029 -2,9077 -3,0533 -3,1208 -3,1086 -3,0078 -2,8098 -2,5425 -2,2780 -2,0827 -1,9734 -1,9233 -1,8958 -1,8681 -1,8440 -1,8622 -1,9828 -2,2335 -2,5509 -2,7856 -2,7746 -2,4132 -1,7019 -0,7560 0,2593 1,2169 2,0476 2,7104 3,1753 3,4247 3,4658 3,3537 3,2004 3,1273 3,1881 3,3330 3,4274 3,3037 2,8357 2,0244 1,0434 0,1673 -0,4044 -0,6554 -0,6938 -0,6282 -0,5048 -0,3233 -0,0723 0,2357 0,5153 0,5974 0,3229 -0,3261 -1,2070 -2,1167 -2,8913 -3,4429 -3,7635 -3,9117 -3,9869 -4,1035 -4,3700 -4,8578 -5,5541 -6,3383 -7,0270 -7,4696 -7,6104 -7,4713 -7,1271 -6,7041 -6,3461 -6,1324 -6,0228 -5,8923 -5,6193 -5,1455 -4,4849 -3,7023 -2,8874 -2,1426 -1,5867 -1,3618 -1,5976 -2,3178 -3,3814 -4,5331 -5,5111 -6,1373 -6,3396 -6,1069 -5,4457 -4,3898 -3,0222 -1,4836 0,0178 1,2230 1,9073 1,9872 1,5632 0,8823 0,2331 -0,1735 -0,2794 -0,1846 -0,0874 -0,1962 -0,6642 -1,5406 -2,7253 -3,9707 -4,9714 -5,4938 -5,4548 -4,9111 -3,9833 -2,7920 -1,4853 -0,2911 0,5315 0,8120 0,5508 -0,0705 -0,7484 -1,1782 -1,1861 -0,7934 -0,1721 0,4839 1,0683 1,5664 1,9855 2,3093 2,5087 2,5694 2,4962 2,2966 1,9751 1,5692 1,2109 1,1453 1,6293 2,7488 4,3137 5,9264 7,1573 7,7246 7,5934 6,9341 5,9784 4,9121 3,8688 2,9396 2,1427 1,4112 0,6380 -0,2638 -1,3152 -2,4409 -3,4644 -4,1537 -4,3344 -4,0113 -3,3859 -2,7343 -2,2434 -1,9222 -1,6223 -1,1317 -0,2818 0,9767 2,5387 4,1439 5,4394 6,1197 6,0682 5,3907 4,3213 3,1006 1,9136 0,8759 0,0491 -0,5315 -0,8522 -0,9412 -0,8642 -0,6883 -0,4660 -0,2585 -0,1446 -0,1756 -0,3229 -0,4932 -0,6035 -0,6502 -0,7275 -0,9712 -1,4638 -2,1848 -3,0173 -3,7661 -4,2077 -4,1839 -3,6624 -2,7230 -1,5115 -0,1828 1,1549 2,4611 3,7299 4,9524 6,0987 7,0978 7,8488 8,2857 8,4254 8,3523 8,1660 7,9336 7,6820 7,4304 7,2008 6,9794 6,6934 6,2494 5,6173 4,8852 4,2036 3,6608 3,2178 2,7617 2,2134 1,5830 0,9540 0,4202 0,0098 -0,3209 -0,6117 -0,8446 -0,9713 -0,9732 -0,8893 -0,7815 -0,6792 -0,5559 -0,3348 0,0748 0,7087 1,4878 2,2130 2,6297 2,5323 1,8516 0,6958 -0,6765 -1,9514 -2,8663 -3,2717 -3,1325 -2,4967 -1,5080 -0,4511 0,3097 0,5225 0,1728 -0,5674 -1,4455 -2,2071 -2,6599 -2,7075 -2,3718 -1,8095 -1,2616 -0,9263 -0,8549 -0,9768 -1,2208 -1,5823 -2,0943 -2,7743 -3,5814 -4,3974 -5,0443 -5,3334 -5,1470 -4,5165 -3,6200 -2,6902 -1,9282 -1,4743 -1,3851 -1,5894 -1,9163 -2,2316 -2,5360 -2,9330 -3,5359 -4,3985 -5,4765 -6,6078
Fz    2,0908 1,8792 1,6065 1,3117 1,0304 0,7908 0,6227 0,5612 0,6222 0,7791 0,9738 1,1449 1,2459 1,2545 1,1756 1,0323 0,8522 0,6617 0,4887 0,3620 0,2985 0,2895 0,3109 0,3509 0,4165 0,5098 0,6091 0,6855 0,7253 0,7271 0,6822 0,5679 0,3607 0,0557 -0,3186 -0,7083 -1,0754 -1,4210 -1,7528 -2,0463 -2,2560 -2,3552 -2,3573 -2,2982 -2,2018 -2,0679 -1,8883 -1,6692 -1,4369 -1,2226 -1,0487 -0,9322 -0,8957 -0,9629 -1,1401 -1,4064 -1,7112 -1,9831 -2,1586 -2,2126 -2,1563 -2,0150 -1,8121 -1,5700 -1,3205 -1,1041 -0,9496 -0,8638 -0,8413 -0,8709 -0,9360 -1,0199 -1,1073 -1,1853 -1,2401 -1,2503 -1,1976 -1,0862 -0,9448 -0,8141 -0,7338 -0,7291 -0,8054 -0,9463 -1,1157 -1,2614 -1,3275 -1,2823 -1,1459 -0,9769 -0,8271 -0,7171 -0,6478 -0,6138 -0,6130 -0,6508 -0,7328 -0,8602 -1,0396 -1,2868 -1,6063 -1,9697 -2,3213 -2,6016 -2,7707 -2,8272 -2,8226 -2,8421 -2,9458 -3,1291 -3,3433 -3,5407 -3,7004 -3,8294 -3,9469 -4,0713 -4,2092 -4,3413 -4,4239 -4,4147 -4,2974 -4,0830 -3,7978 -3,4764 -3,1574 -2,8675 -2,6015 -2,3292 -2,0313 -1,7198 -1,4119 -1,0951 -0,7305 -0,2893 0,2231 0,7769 1,3362 1,8627 2,3093 2,6280 2,7903 2,7915 2,6368 2,3353 1,9136 1,4263 0,9408 0,5106 0,1684 -0,0714 -0,2171 -0,3018 -0,3670 -0,4334 -0,4846 -0,4838 -0,3976 -0,2070 0,0836 0,4465 0,8514 1,2827 1,7409 2,2314 2,7564 3,3165 3,9148 4,5506 5,1947 5,7868 6,2725 6,6382 6,9008 7,0710 7,1434 7,1148 6,9956 6,8034 6,5551 6,2631 5,9390 5,6016 5,2760 4,9780 4,6940 4,3845 4,0165 3,5977 3,1750 2,8010 2,5025 2,2732 2,0939 1,9559 1,8579 1,7919 1,7426 1,6936 1,6256 1,5150 1,3400 1,0826 0,7300 0,2839 -0,2255 -0,7358 -1,1696 -1,4719 -1,6402 -1,7256 -1,8099 -1,9689 -2,2394 -2,6102 -3,0321 -3,4356 -3,7584 -3,9719 -4,0800 -4,1020 -4,0684 -4,0185 -3,9851 -3,9835 -4,0113 -4,0477 -4,0616 -4,0362 -3,9815 -3,9114 -3,8215 -3,6991 -3,5441 -3,3712 -3,1960 -3,0215 -2,8336 -2,6120 -2,3497 -2,0586 -1,7644 -1,5054 -1,3212 -1,2256 -1,1975 -1,2037 -1,2270 -1,2688 -1,3300 -1,4002 -1,4632 -1,5110 -1,5537 -1,6203 -1,7438 -1,9365 -2,1714 -2,3952 -2,5649 -2,6650 -2,6994 -2,6839 -2,6445 -2,6076 -2,5838 -2,5582 -2,4985 -2,3811 -2,2153 -2,0383 -1,8905 -1,8003 -1,7851 -1,8594 -2,0403 -2,3355 -2,7270 -3,1730 -3,6281 -4,0606 -4,4524 -4,7910 -5,0661 -5,2640 -5,3651 -5,3600 -5,2681 -5,1323 -4,9938 -4,8680 -4,7379 -4,5687 -4,3355 -4,0402 -3,7100 -3,3770 -3,0570 -2,7454 -2,4344 -2,1309 -1,8589 -1,6491 -1,5263 -1,4979 -1,5492 -1,6535 -1,7863 -1,9274 -2,0548 -2,1443 -2,1771 -2,1420 -2,0331 -1,8606 -1,6638 -1,5011 -1,4121 -1,3906 -1,3990 -1,4033 -1,3940 -1,3926 -1,4413 -1,5660 -1,7381 -1,8887 -1,9633 -1,9542 -1,8871 -1,7939 -1,6982 -1,6068 -1,5087 -1,3861 -1,2323 -1,0639 -0,9204 -0,8442 -0,8531 -0,9275 -1,0273 -1,1229 -1,2113 -1,3067 -1,4241 -1,5685 -1,7321 -1,8953 -2,0279 -2,1046 -2,1313 -2,1452 -2,1791 -2,2315 -2,2778 -2,2988 -2,2884 -2,2437 -2,1608 -2,0430 -1,9081 -1,7808 -1,6759 -1,5850 -1,4831 -1,3527 -1,2028 -1,0641 -0,9726 -0,9600 -1,0492 -1,2473 -1,5352 -1,8642 -2,1718 -2,4043 -2,5240 -2,5097 -2,3592 -2,0917 -1,7472 -1,3870 -1,0799 -0,8718 -0,7691 -0,7447 -0,7447 -0,7008 -0,5617 -0,3152 0,0196 0,4005 0,7656 1,0511 1,2187 1,2683 1,2276 1,1268 0,9772 0,7728 0,5078 0,1870 -0,1699 -0,5281 -0,8540 -1,1329 -1,3717 -1,5929 -1,8173 -2,0417 -2,2343 -2,3523 -2,3609 -2,2398 -1,9898 -1,6394 -1,2321 -0,8138 -0,4323 -0,1308 0,0726 0,1982 0,2936 0,4108 0,5912 0,8580 1,2066 1,6046 2,0137 2,4199 2,8350 3,2690 3,7094 4,1216 4,4631 4,6949 4,7867 4,7274 4,5404 4,2816 4,0209 3,8158 3,6876 3,6206 3,5809 3,5316 3,4430 3,3062 3,1349 2,9428 2,7273 2,4811 2,2137 1,9558 1,7468 1,6161 1,5659 1,5700 1,5915 1,6040 1,6065 1,6223 1,6753 1,7646 1,8637 1,9425 1,9885 2,0105 2,0264 2,0485 2,0779 2,1051 2,1135 2,0915 2,0493 2,0186 2,0311 2,0870 2,1567 2,2166 2,2704 2,3357 2,4290 2,5618 2,7362 2,9403 3,1540 3,3537 3,5079 3,5763 3,5286 3,3619 3,0961 2,7587 2,3759 1,9700 1,5632 1,1825 0,8493 0,5621 0,3049 0,0761 -0,0958 -0,1651 -0,0948 0,1233 0,4707 0,9199 1,4482 2,0355 2,6602 3,2999 3,9261 4,5108 5,0378 5,4963 5,8708 6,1478 6,3210 6,3842 6,3363 6,1925 5,9763 5,6945 5,3353 4,8969 4,4072 3,9122 3,4504 3,0366 2,6626 2,3141 1,9823 1,6659 1,3730 1,1167 0,9083 0,7543 0,6590 0,6252 0,6506 0,7222 0,8256 0,9575 1,1219 1,3185 1,5362 1,7541 1,9516 2,1185 2,2536 2,3563 2,4237 2,4571 2,4673 2,4698 2,4746 2,4760 2,4499 2,3701 2,2228 1,9946 1,6667 1,2431 0,7701 0,3084 -0,1000 -0,4358 -0,6860 -0,8380 -0,8988 -0,9147 -0,9551 -1,0683 -1,2514 -1,4708 -1,7023 -1,9399 -2,1860 -2,4491 -2,7376 -3,0512 -3,3808 -3,7101 -4,0174 -4,2845 -4,5100 -4,7055 -4,8779 -5,0225 -5,1338 -5,2118 -5,2656 -5,3227 -5,4254 -5,6085 -5,8797 -6,2131 -6,5610 -6,8744
F3    2,1495 1,7939 1,4357 1,1155 0,8392 0,5956 0,3919 0,2703 0,2773 0,4124 0,6213 0,8340 1,0003 1,0941 1,0983 0,9977 0,7912 0,5060 0,1957 -0,0753 -0,2590 -0,3412 -0,3254 -0,2062 0,0229 0,3364 0,6699 0,9609 1,1854 1,3426 1,4141 1,3524 1,1084 0,6703 0,0888 -0,5372 -1,1191 -1,6151 -2,0040 -2,2522 -2,3300 -2,2506 -2,0784 -1,8903 -1,7269 -1,5822 -1,4349 -1,2863 -1,1643 -1,0936 -1,0754 -1,1020 -1,1817 -1,3374 -1,5843 -1,9102 -2,2616 -2,5485 -2,6904 -2,6731 -2,5524 -2,4053 -2,2798 -2,1798 -2,0873 -1,9907 -1,8931 -1,8115 -1,7741 -1,8002 -1,8808 -1,9793 -2,0490 -2,0572 -2,0017 -1,9014 -1,7793 -1,6537 -1,5392 -1,4490 -1,3893 -1,3524 -1,3216 -1,2818 -1,2248 -1,1508 -1,0655 -0,9801 -0,9147 -0,8860 -0,8857 -0,8874 -0,8759 -0,8600 -0,8597 -0,8899 -0,9547 -1,0591 -1,2253 -1,4869 -1,8546 -2,2869 -2,7008 -3,0158 -3,1933 -3,2546 -3,2779 -3,3595 -3,5434 -3,7840 -3,9909 -4,1042 -4,1259 -4,0999 -4,0766 -4,0917 -4,1555 -4,2485 -4,3286 -4,3564 -4,3184 -4,2257 -4,0933 -3,9339 -3,7698 -3,6274 -3,5075 -3,3747 -3,1917 -2,9571 -2,6935 -2,4010 -2,0399 -1,5709 -0,9954 -0,3509 0,3185 0,9697 1,5460 1,9787 2,2160 2,2447 2,0821 1,7611 1,3288 0,8507 0,4004 0,0387 -0,1991 -0,3081 -0,3166 -0,2749 -0,2251 -0,1725 -0,0893 0,0436 0,2105 0,3827 0,5463 0,7113 0,9104 1,1832 1,5519 2,0097 2,5298 3,0862 3,6657 4,2580 4,8306 5,3237 5,6870 5,9225 6,0752 6,1833 6,2544 6,2801 6,2510 6,1627 6,0164 5,8123 5,5542 5,2672 4,9938 4,7546 4,5164 4,2144 3,8096 3,3230 2,8173 2,3560 1,9767 1,6924 1,5042 1,4046 1,3680 1,3552 1,3376 1,3061 1,2490 1,1356 0,9306 0,6137 0,1811 -0,3591 -0,9793 -1,6221 -2,2104 -2,6792 -2,9993 -3,1857 -3,2974 -3,4179 -3,6090 -3,8830 -4,2100 -4,5391 -4,8204 -5,0194 -5,1119 -5,0821 -4,9373 -4,7083 -4,4327 -4,1486 -3,8966 -3,7077 -3,5963 -3,5758 -3,6624 -3,8430 -4,0558 -4,2241 -4,3002 -4,2747 -4,1598 -3,9728 -3,7285 -3,4405 -3,1266 -2,8055 -2,4919 -2,2020 -1,9571 -1,7680 -1,6249 -1,5079 -1,4035 -1,3056 -1,2057 -1,0923 -0,9600 -0,8209 -0,7140 -0,7019 -0,8448 -1,1597 -1,5897 -2,0280 -2,3868 -2,6356 -2,7838 -2,8537 -2,8713 -2,8678 -2,8704 -2,8841 -2,8855 -2,8383 -2,7227 -2,5480 -2,3447 -2,1531 -2,0188 -1,9942 -2,1265 -2,4291 -2,8667 -3,3757 -3,8986 -4,4005 -4,8602 -5,2567 -5,5689 -5,7827 -5,8941 -5,9112 -5,8511 -5,7288 -5,5442 -5,2816 -4,9187 -4,4454 -3,8838 -3,2935 -2,7515 -2,3127 -1,9783 -1,7073 -1,4613 -1,2380 -1,0681 -0,9927 -1,0452 -1,2354 -1,5350 -1,8822 -2,2001 -2,4223 -2,5122 -2,4686 -2,3209 -2,1105 -1,8659 -1,5940 -1,2985 -0,9957 -0,7050 -0,4396 -0,2182 -0,0739 -0,0337 -0,1025 -0,2735 -0,5254 -0,7995 -1,0115 -1,1090 -1,1012 -1,0197 -0,8786 -0,6814 -0,4412 -0,1805 0,0774 0,3170 0,5239 0,6723 0,7315 0,6907 0,5732 0,4201 0,2637 0,1191 -0,0092 -0,1275 -0,2474 -0,3733 -0,4946 -0,5888 -0,6392 -0,6551 -0,6721 -0,7227 -0,8075 -0,9009 -0,9762 -1,0178 -1,0182 -0,9796 -0,9190 -0,8646 -0,8382 -0,8333 -0,8148 -0,7518 -0,6471 -0,5278 -0,4238 -0,3607 -0,3625 -0,4536 -0,6473 -0,9150 -1,1704 -1,3085 -1,2731 -1,0849 -0,8203 -0,5638 -0,3634 -0,2212 -0,1214 -0,0522 0,0004 0,0567 0,1288 0,2200 0,3364 0,4827 0,6568 0,8507 1,0464 1,2124 1,3169 1,3431 1,2997 1,2202 1,1376 1,0551 0,9512 0,8029 0,6022 0,3686 0,1495 -0,0076 -0,0864 -0,1130 -0,1469 -0,2523 -0,4596 -0,7476 -1,0576 -1,3235 -1,4933 -1,5344 -1,4290 -1,1632 -0,7351 -0,1826 0,4092 0,9429 1,3639 1,6841 1,9576 2,2417 2,5691 2,9312 3,2785 3,5550 3,7457 3,8787 3,9879 4,0833 4,1547 4,1888 4,1759 4,1072 3,9849 3,8397 3,7277 3,7055 3,7991 3,9832 4,1883 4,3344 4,3605 4,2398 3,9952 3,6977 3,4242 3,2070 3,0333 2,8832 2,7543 2,6555 2,5849 2,5218 2,4467 2,3563 2,2535 2,1434 2,0477 1,9960 1,9924 2,0102 2,0291 2,0687 2,1770 2,3871 2,6844 3,0105 3,2929 3,4741 3,5276 3,4639 3,3258 3,1650 3,0080 2,8519 2,6975 2,5662 2,4840 2,4666 2,5232 2,6572 2,8611 3,1179 3,3999 3,6571 3,8214 3,8415 3,7130 3,4713 3,1654 2,8372 2,5105 2,1946 1,8917 1,5922 1,2736 0,9246 0,5724 0,2775 0,1045 0,0938 0,2442 0,5218 0,8962 1,3644 1,9363 2,6124 3,3742 4,1798 4,9745 5,7108 6,3562 6,8950 7,3252 7,6415 7,8238 7,8572 7,7534 7,5356 7,2037 6,7311 6,0989 5,3302 4,4913 3,6664 2,9257 2,3114 1,8376 1,4951 1,2582 1,0988 0,9942 0,9246 0,8697 0,8102 0,7386 0,6703 0,6384 0,6783 0,8174 1,0679 1,4155 1,8165 2,2112 2,5532 2,8292 3,0505 3,2304 3,3745 3,4851 3,5674 3,6201 3,6208 3,5262 3,2946 2,9237 2,4616 1,9688 1,4833 1,0402 0,6890 0,4627 0,3498 0,3066 0,2894 0,2761 0,2540 0,1951 0,0589 -0,1728 -0,4719 -0,7856 -1,0747 -1,3278 -1,5642 -1,8358 -2,1984 -2,6676 -3,2011 -3,7123 -4,0988 -4,2805 -4,2366 -4,0198 -3,7326 -3,4845 -3,3547 -3,3704 -3,5183 -3,7748 -4,1145 -4,4990 -4,8867 -5,2544 -5,5996 -5,9269
F7    0,3214 -0,1420 -0,6199 -0,9884 -1,1524 -1,0863 -0,8260 -0,4296 0,0431 0,5319 0,9891 1,3878 1,7132 1,9526 2,0892 2,0944 1,9305 1,5760 1,0620 0,4846 -0,0289 -0,3759 -0,5158 -0,4723 -0,3223 -0,1782 -0,1409 -0,2383 -0,4064 -0,5401 -0,5630 -0,4617 -0,2795 -0,0845 0,0807 0,2201 0,3426 0,4167 0,3887 0,2292 -0,0495 -0,4069 -0,7881 -1,1244 -1,3367 -1,3604 -1,1862 -0,8806 -0,5565 -0,3122 -0,1918 -0,1982 -0,3319 -0,5981 -0,9770 -1,4099 -1,8230 -2,1546 -2,3696 -2,4653 -2,4682 -2,4259 -2,3928 -2,4106 -2,5026 -2,6783 -2,9248 -3,1997 -3,4453 -3,6163 -3,6972 -3,7010 -3,6519 -3,5681 -3,4568 -3,3140 -3,1284 -2,8892 -2,5976 -2,2751 -1,9562 -1,6796 -1,4966 -1,4625 -1,5932 -1,8360 -2,0922 -2,2796 -2,3792 -2,4192 -2,4302 -2,4275 -2,4102 -2,3551 -2,2257 -1,9962 -1,6663 -1,2700 -0,8863 -0,6209 -0,5567 -0,7145 -1,0457 -1,4526 -1,8298 -2,1085 -2,2804 -2,3860 -2,4678 -2,5396 -2,6013 -2,6643 -2,7576 -2,9147 -3,1458 -3,4170 -3,6536 -3,7681 -3,6968 -3,4261 -3,0007 -2,5070 -2,0420 -1,6910 -1,5233 -1,5760 -1,8228 -2,1764 -2,5302 -2,7865 -2,8545 -2,6589 -2,1733 -1,4426 -0,5695 0,3224 1,1276 1,7815 2,2484 2,5038 2,5391 2,3637 1,9929 1,4527 0,8028 0,1438 -0,4203 -0,8256 -1,0495 -1,0916 -0,9729 -0,7431 -0,4753 -0,2409 -0,0702 0,0566 0,1880 0,3810 0,6859 1,1363 1,7405 2,4649 3,2225 3,8887 4,3575 4,6060 4,7092 4,7824 4,8920 5,0175 5,0916 5,0670 4,9415 4,7457 4,5340 4,3761 4,3278 4,3993 4,5497 4,7037 4,7822 4,7350 4,5545 4,2615 3,8825 3,4382 2,9497 2,4574 2,0224 1,6936 1,4771 1,3516 1,3053 1,3377 1,4261 1,5153 1,5557 1,5339 1,4568 1,3296 1,1648 0,9878 0,8188 0,6494 0,4374 0,1318 -0,2857 -0,7808 -1,2844 -1,7342 -2,1046 -2,3978 -2,6198 -2,7774 -2,8782 -2,9197 -2,8935 -2,8017 -2,6498 -2,4370 -2,1735 -1,8999 -1,6753 -1,5563 -1,5746 -1,7152 -1,9195 -2,1297 -2,3316 -2,5473 -2,7927 -3,0526 -3,2840 -3,4287 -3,4354 -3,2711 -2,9093 -2,3387 -1,5990 -0,7877 -0,0185 0,6165 1,0608 1,3041 1,3826 1,3478 1,2219 0,9900 0,6358 0,1748 -0,3440 -0,8550 -1,2988 -1,6390 -1,8604 -1,9483 -1,8844 -1,6797 -1,4018 -1,1395 -0,9373 -0,7813 -0,6465 -0,5428 -0,5068 -0,5609 -0,6879 -0,8476 -1,0017 -1,1183 -1,1709 -1,1550 -1,1074 -1,1011 -1,2081 -1,4591 -1,8274 -2,2450 -2,6433 -2,9866 -3,2636 -3,4524 -3,5069 -3,3822 -3,0771 -2,6569 -2,2294 -1,8964 -1,7163 -1,6766 -1,6942 -1,6637 -1,5259 -1,2961 -1,0406 -0,8312 -0,7141 -0,7004 -0,7673 -0,8708 -0,9646 -1,0160 -1,0078 -0,9323 -0,7898 -0,6024 -0,4242 -0,3241 -0,3448 -0,4767 -0,6686 -0,8583 -0,9942 -1,0507 -1,0385 -0,9968 -0,9613 -0,9277 -0,8502 -0,6843 -0,4253 -0,1126 0,1900 0,4348 0,6282 0,8175 1,0370 1,2807 1,5200 1,7288 1,8968 2,0352 2,1655 2,2945 2,4037 2,4549 2,3986 2,1913 1,8224 1,3411 0,8472 0,4339 0,1386 -0,0519 -0,1650 -0,2147 -0,1985 -0,1093 0,0502 0,2509 0,4284 0,5087 0,4602 0,3127 0,1221 -0,0709 -0,2507 -0,4091 -0,5335 -0,6244 -0,7154 -0,8597 -1,0919 -1,4033 -1,7461 -2,0588 -2,2942 -2,4335 -2,4837 -2,4706 -2,4387 -2,4361 -2,4785 -2,5289 -2,5253 -2,4268 -2,2233 -1,9198 -1,5290 -1,0766 -0,6092 -0,1992 0,0595 0,0800 -0,1675 -0,6289 -1,1829 -1,6864 -2,0264 -2,1446 -2,0233 -1,6711 -1,1295 -0,4794 0,1702 0,7047 1,0326 1,1106 0,9559 0,6417 0,2782 -0,0231 -0,1914 -0,2211 -0,1727 -0,1491 -0,2556 -0,5590 -1,0567 -1,6654 -2,2462 -2,6626 -2,8303 -2,7319 -2,4042 -1,9101 -1,3125 -0,6773 -0,0896 0,3555 0,5875 0,6021 0,4844 0,3857 0,4545 0,7629 1,2767 1,8812 2,4458 2,8821 3,1551 3,2629 3,2258 3,0864 2,9001 2,7096 2,5229 2,3190 2,0814 1,8350 1,6587 1,6552 1,8883 2,3405 2,9179 3,4813 3,8906 4,0595 3,9833 3,7115 3,3048 2,8232 2,3273 1,8580 1,4204 0,9928 0,5534 0,1070 -0,3050 -0,6172 -0,7598 -0,6855 -0,4106 -0,0295 0,3312 0,5902 0,7517 0,8880 1,0879 1,4112 1,8709 2,4316 3,0102 3,4955 3,7950 3,8796 3,7837 3,5619 3,2524 2,8830 2,4934 2,1426 1,8990 1,8157 1,9027 2,1223 2,4133 2,7126 2,9595 3,1033 3,1288 3,0674 2,9723 2,8826 2,8023 2,6961 2,5105 2,2149 1,8224 1,3809 0,9638 0,6565 0,5204 0,5700 0,7927 1,1690 1,6726 2,2730 2,9406 3,6411 4,3342 4,9812 5,5432 5,9799 6,2662 6,4080 6,4424 6,4231 6,3898 6,3451 6,2713 6,1604 6,0103 5,8012 5,4993 5,0937 4,6232 4,1503 3,7071 3,2714 2,7953 2,2528 1,6600 1,0578 0,4847 -0,0426 -0,5195 -0,9215 -1,1964 -1,2886 -1,1716 -0,8669 -0,4376 0,0417 0,5184 0,9782 1,4317 1,8793 2,2903 2,6066 2,7621 2,7069 2,4321 1,9878 1,4783 1,0254 0,7268 0,6349 0,7567 1,0605 1,4735 1,8666 2,0839 2,0323 1,7380 1,3111 0,8791 0,5417 0,3552 0,3401 0,4776 0,6889 0,8524 0,8769 0,7607 0,5633 0,3301 0,0664 -0,2401 -0,6009 -1,0088 -1,4175 -1,7486 -1,9217 -1,8901 -1,6685 -1,3310 -0,9788 -0,7057 -0,5822 -0,6415 -0,8583 -1,1554 -1,4587 -1,7437 -2,0321 -2,3631 -2,7671 -3,2465 -3,7620
