Fp1   0,0867 0,1098 0,1234 0,0897 0,0152 -0,0493 -0,0253 0,1456 0,4550 0,8294 1,1707 1,3939 1,4506 1,3441 1,1159 0,8143 0,4852 0,1815 -0,0547 -0,2299 -0,3970 -0,5992 -0,8251 -1,0215 -1,1388 -1,1558 -1,0728 -0,8971 -0,6511 -0,3874 -0,1747 -0,0643 -0,0704 -0,1730 -0,3327 -0,5109 -0,6804 -0,8172 -0,8891 -0,8650 -0,7335 -0,5065 -0,2084 0,1302 0,4673 0,7470 0,9140 0,9416 0,8469 0,6734 0,4636 0,2554 0,0864 -0,0076 0,0020 0,1266 0,3471 0,6164 0,8834 1,1211 1,3297 1,5170 1,6814 1,8096 1,8773 1,8586 1,7458 1,5556 1,3120 1,0326 0,7371 0,4535 0,2071 0,0113 -0,1323 -0,2346 -0,3151 -0,3910 -0,4707 -0,5648 -0,6923 -0,8643 -1,0664 -1,2610 -1,4055 -1,4678 -1,4315 -1,2947 -1,0745 -0,8042 -0,5161 -0,2321 0,0256 0,2269 0,3440 0,3625 0,2893 0,1579 0,0173 -0,0979 -0,1829 -0,2565 -0,3512 -0,5005 -0,7240 -1,0246 -1,3912 -1,7867 -2,1427 -2,3963 -2,5417 -2,6331 -2,7337 -2,8756 -3,0536 -3,2305 -3,3498 -3,3647 -3,2624 -3,0595 -2,7891 -2,5033 -2,2674 -2,1364 -2,1347 -2,2501 -2,4361 -2,6279 -2,7618 -2,7870 -2,6765 -2,4383 -2,1069 -1,7202 -1,3030 -0,8646 -0,4040 0,0750 0,5393 0,9193 1,1434 1,1904 1,1104 0,9964 0,9283 0,9350 1,0070 1,1331 1,3117 1,5396 1,8024 2,0781 2,3512 2,6239 2,9098 3,1985 3,4309 3,5293 3,4547 3,2279 2,9093 2,5694 2,2700 2,0449 1,8822 1,7378 1,5856 1,4607 1,4447 1,6135 1,9944 2,5484 3,1743 3,7393 4,1360 4,3318 4,3724 4,3369 4,2846 4,2378 4,2031 4,1889 4,2022 4,2440 4,3116 4,3929 4,4604 4,4902 4,4865 4,4761 4,4815 4,5084 4,5529 4,6051 4,6429 4,6273 4,5109 4,2635 3,8998 3,4904 3,1392 2,9294 2,8777 2,9386 3,0456 3,1393 3,1799 3,1576 3,0914 3,0115 2,9374 2,8615 2,7566 2,6069 2,4344 2,2874 2,2037 2,1909 2,2393 2,3348 2,4489 2,5438 2,5985 2,6246 2,6517 2,7065 2,8037 2,9392 3,0817 3,1824 3,2136 3,1972 3,1762 3,1604 3,1198 3,0251 2,8788 2,7048 2,5180 2,3173 2,1116 1,9376 1,8390 1,8310 1,8843 1,9439 1,9711 1,9654 1,9458 1,9265 1,9136 1,9086 1,9088 1,9093 1,9019 1,8700 1,7943 1,6668 1,5119 1,3876 1,3462 1,3915 1,4820 1,5714 1,6443 1,7115 1,7743 1,8093 1,7929 1,7222 1,6074 1,4616 1,3108 1,1962 1,1510 1,1804 1,2671 1,3876 1,5192 1,6446 1,7550 1,8410 1,8855 1,8725 1,8065 1,7264 1,6947 1,7590 1,9264 2,1734 2,4639 2,7490 2,9665 3,0717 3,0766 3,0429 3,0251 3,0276 3,0245 2,9997 2,9520 2,8866 2,8198 2,7778 2,7729 2,7884 2,7992 2,7975 2,7846 2,7464 2,6539 2,4897 2,2619 1,9903 1,6918 1,3842 1,0945 0,8568 0,7006 0,6357 0,6409 0,6679 0,6688 0,6346 0,6054 0,6388 0,7703 0,9969 1,2845 1,5797 1,8228 1,9711 2,0163 1,9719 1,8476 1,6544 1,4266 1,2156 1,0565 0,9479 0,8683 0,8013 0,7452 0,7062 0,6817 0,6469 0,5670 0,4275 0,2464 0,0604 -0,0856 -0,1454 -0,0984 0,0319 0,1971 0,3671 0,5592 0,8207 1,1793 1,6157 2,0794 2,5158 2,8776 3,1249 3,2367 3,2339 3,1863 3,1851 3,2988 3,5470 3,9078 4,3342 4,7624 5,1190 5,3450 5,4176 5,3431 5,1332 4,7992 4,3689 3,8904 3,4205 3,0174 2,7357 2,6061 2,6119 2,6896 2,7659 2,8030 2,8062 2,7919 2,7574 2,6912 2,6034 2,5226 2,4609 2,4025 2,3222 2,2017 2,0375 1,8503 1,6856 1,5955 1,5998 1,6521 1,6560 1,5294 1,2619 0,9251 0,6277 0,4468 0,3914 0,4197 0,4799 0,5381 0,5872 0,6371 0,7007 0,7917 0,9225 1,0955 1,2999 1,5093 1,6761 1,7423 1,6700 1,4712 1,2115 0,9832 0,8605 0,8618 0,9489 1,0576 1,1349 1,1619 1,1565 1,1556 1,1892 1,2709 1,4023 1,5742 1,7619 1,9269 2,0353 2,0781 2,0737 2,0578 2,0658 2,1076 2,1568 2,1715 2,1200 1,9963 1,8339 1,6977 1,6408 1,6667 1,7324 1,7807 1,7636 1,6496 1,4357 1,1671 0,9321 0,8215 0,8809 1,0928 1,3878 1,6676 1,8368 1,8376 1,6671 1,3742 1,0358 0,7260 0,5011 0,3899 0,3810 0,4335 0,5100 0,5867 0,6380 0,6341 0,5627 0,4381 0,2807 0,0952 -0,1197 -0,3502 -0,5674 -0,7429 -0,8592 -0,9149 -0,9227 -0,8974 -0,8448 -0,7636 -0,6549 -0,5321 -0,4269 -0,3758 -0,3940 -0,4693 -0,5779 -0,6873 -0,7499 -0,7210 -0,5832 -0,3448 -0,0332 0,2927 0,5539 0,7018 0,7559 0,7891 0,8824 1,0837 1,3904 1,7616 2,1469 2,5075 2,8211 3,0792 3,2782 3,4086 3,4498 3,3788 3,1848 2,8744 2,4649 1,9779 1,4412 0,8995 0,4166 0,0660 -0,0903 -0,0362 0,1796 0,4644 0,7243 0,9011 0,9833 0,9907 0,9632 0,9539 1,0100 1,1537 1,3793 1,6578 1,9423 2,1874 2,3705 2,4894 2,5469 2,5496 2,5133 2,4660 2,4432 2,4720 2,5500 2,6365 2,6769 2,6460 2,5678 2,4923 2,4558 2,4541 2,4511 2,4209 2,3846 2,4025 2,5230 2,7304 2,9498 3,0983 3,1264 3,0216 2,7942 2,4637 2,0492 1,5702 1,0602 0,5735 0,1696 -0,1172 -0,2936 -0,3960 -0,4686 -0,5439 -0,6310 -0,7140 -0,7657 -0,7704 -0,7366 -0,6898 -0,6553 -0,6513 -0,6883 -0,7650 -0,8687
Fz    0,1372 0,1526 0,0841 -0,0415 -0,1675 -0,2364 -0,1888 0,0178 0,3802 0,8472 1,3244 1,6802 1,7928 1,6216 1,2182 0,6697 0,0568 -0,5394 -1,0476 -1,4506 -1,7896 -2,0972 -2,3356 -2,4145 -2,2657 -1,9027 -1,4159 -0,9156 -0,4847 -0,1648 0,0430 0,1630 0,2150 0,2002 0,1119 -0,0563 -0,3006 -0,5832 -0,8193 -0,9066 -0,7806 -0,4405 0,0673 0,6718 1,2871 1,8189 2,1812 2,3250 2,2553 2,0227 1,7024 1,3727 1,1000 0,9340 0,9084 1,0308 1,2682 1,5492 1,7971 1,9764 2,1018 2,1966 2,2559 2,2507 2,1469 1,9258 1,6135 1,2825 1,0039 0,8072 0,6840 0,6021 0,5213 0,4255 0,3382 0,2919 0,2882 0,2945 0,2603 0,1276 -0,1512 -0,5836 -1,1228 -1,6857 -2,1843 -2,5506 -2,7465 -2,7591 -2,5999 -2,3028 -1,9047 -1,4318 -0,9134 -0,3998 0,0369 0,3230 0,4169 0,3398 0,1674 -0,0235 -0,1990 -0,3749 -0,6003 -0,9272 -1,3776 -1,9292 -2,5195 -3,0543 -3,4398 -3,6400 -3,7062 -3,7380 -3,8087 -3,9267 -4,0507 -4,1275 -4,1164 -3,9960 -3,7599 -3,4283 -3,0709 -2,7976 -2,7011 -2,8060 -3,0698 -3,4111 -3,7348 -3,9551 -4,0131 -3,8859 -3,5878 -3,1572 -2,6287 -2,0182 -1,3338 -0,5866 0,2103 1,0338 1,8216 2,4672 2,8671 2,9913 2,9175 2,7812 2,6730 2,5858 2,4669 2,3048 2,1534 2,0905 2,1705 2,4133 2,8170 3,3670 4,0275 4,7246 5,3476 5,7910 6,0041 6,0054 5,8628 5,6592 5,4561 5,2682 5,0673 4,8164 4,5178 4,2528 4,1639 4,3723 4,9022 5,6711 6,5297 7,3181 7,9176 8,2816 8,4351 8,4440 8,3653 8,2232 8,0275 7,7989 7,5697 7,3706 7,2215 7,1328 7,1023 7,1132 7,1452 7,1837 7,2171 7,2387 7,2533 7,2763 7,3202 7,3702 7,3666 7,2332 6,9362 6,5155 6,0698 5,7107 5,5138 5,4973 5,6324 5,8502 6,0554 6,1675 6,1574 6,0445 5,8724 5,6782 5,4778 5,2852 5,1282 5,0337 4,9998 5,0050 5,0437 5,1240 5,2263 5,3009 5,3168 5,2940 5,2818 5,3126 5,3867 5,4975 5,6423 5,8088 5,9828 6,1720 6,3824 6,5665 6,6359 6,5377 6,3006 6,0066 5,7316 5,5186 5,3917 5,3725 5,4718 5,6655 5,8740 5,9806 5,9077 5,6732 5,3583 5,0470 4,8064 4,6830 4,6895 4,7971 4,9401 5,0386 5,0319 4,9121 4,7436 4,6373 4,6731 4,8353 5,0297 5,1589 5,1855 5,1330 5,0403 4,9302 4,8211 4,7324 4,6579 4,5635 4,4310 4,2753 4,1084 3,9170 3,6933 3,4699 3,3021 3,2289 3,2633 3,3976 3,6012 3,8273 4,0417 4,2534 4,5065 4,8319 5,2164 5,6226 6,0200 6,3841 6,6804 6,8706 6,9456 6,9343 6,8675 6,7623 6,6429 6,5436 6,4864 6,4783 6,5262 6,6326 6,7711 6,8803 6,9050 6,8419 6,7362 6,6355 6,5561 6,4861 6,4055 6,2910 6,1095 5,8296 5,4549 5,0436 4,6819 4,4340 4,3141 4,2874 4,2987 4,3136 4,3328 4,3750 4,4696 4,6557 4,9527 5,3163 5,6427 5,8357 5,8678 5,7740 5,5961 5,3525 5,0515 4,7154 4,3812 4,0785 3,8140 3,5810 3,3808 3,2276 3,1282 3,0609 2,9874 2,8850 2,7574 2,6230 2,5057 2,4279 2,3972 2,4052 2,4437 2,5293 2,7244 3,1100 3,7157 4,4829 5,2986 6,0544 6,6761 7,1143 7,3418 7,3877 7,3617 7,4200 7,6799 8,1546 8,7710 9,4315 10,0426 10,5183 10,7952 10,8554 10,7315 10,4871 10,1806 9,8476 9,5052 9,1703 8,8815 8,7022 8,6799 8,7944 8,9545 9,0508 9,0232 8,8883 8,6970 8,4802 8,2563 8,0647 7,9526 7,9368 7,9922 8,0633 8,0776 7,9743 7,7394 7,4127 7,0633 6,7524 6,4884 6,2102 5,8316 5,3221 4,7590 4,2905 4,0272 3,9654 4,0175 4,0871 4,1131 4,0795 4,0120 3,9620 3,9868 4,1220 4,3566 4,6349 4,8836 5,0391 5,0654 4,9598 4,7536 4,5088 4,3020 4,1966 4,2098 4,2932 4,3500 4,2858 4,0645 3,7250 3,3420 2,9754 2,6674 2,4694 2,4306 2,5605 2,8240 3,1713 3,5592 3,9524 4,3247 4,6665 4,9749 5,2322 5,4019 5,4552 5,4072 5,3205 5,2613 5,2531 5,2690 5,2517 5,1440 4,9172 4,5873 4,2112 3,8756 3,6804 3,7071 3,9842 4,4715 5,0615 5,5987 5,9278 5,9569 5,6939 5,2331 4,7082 4,2480 3,9453 3,8262 3,8380 3,9007 3,9773 4,0775 4,2029 4,3112 4,3343 4,2287 4,0045 3,7111 3,4034 3,1227 2,8877 2,6960 2,5372 2,4028 2,2926 2,2186 2,2015 2,2560 2,3743 2,5172 2,6211 2,6185 2,4648 2,1506 1,7032 1,1966 0,7478 0,4655 0,4002 0,5438 0,8347 1,1610 1,4062 1,5222 1,5533 1,5909 1,7171 1,9835 2,4084 2,9700 3,6096 4,2513 4,8207 5,2558 5,5186 5,6083 5,5605 5,4271 5,2505 5,0379 4,7500 4,3222 3,7165 2,9637 2,1695 1,4874 1,0652 0,9850 1,2319 1,7033 2,2511 2,7428 3,1075 3,3451 3,5154 3,7111 4,0159 4,4646 5,0185 5,5688 5,9795 6,1592 6,1150 5,9398 5,7503 5,6326 5,6172 5,6817 5,7802 5,8744 5,9460 5,9934 6,0290 6,0786 6,1721 6,3337 6,5753 6,8773 7,1752 7,3834 7,4498 7,3931 7,2791 7,1614 7,0482 6,9168 6,7424 6,5118 6,2158 5,8380 5,3592 4,7797 4,1438 3,5266 2,9795 2,4981 2,0453 1,5963 1,1598 0,7676 0,4538 0,2417 0,1336 0,1076 0,1257 0,1483 0,1372 0,0510 -0,1405 -0,4316 -0,7831
F3    0,3402 0,5245 0,6246 0,6584 0,6879 0,7719 0,9512 1,2400 1,6154 2,0212 2,3727 2,5659 2,5186 2,2224 1,7383 1,1397 0,4858 -0,1600 -0,7332 -1,2103 -1,6216 -1,9961 -2,3092 -2,4932 -2,4917 -2,3076 -2,0047 -1,6642 -1,3426 -1,0598 -0,8061 -0,5683 -0,3593 -0,2157 -0,1737 -0,2526 -0,4472 -0,7152 -0,9730 -1,1207 -1,0873 -0,8580 -0,4657 0,0301 0,5522 1,0099 1,3197 1,4390 1,3860 1,2212 1,0126 0,8131 0,6553 0,5633 0,5724 0,7247 1,0389 1,4823 1,9812 2,4655 2,8945 3,2369 3,4502 3,4871 3,3107 2,9130 2,3435 1,7070 1,1100 0,6146 0,2374 -0,0394 -0,2520 -0,4219 -0,5372 -0,5752 -0,5332 -0,4360 -0,3339 -0,2984 -0,3935 -0,6314 -0,9568 -1,2736 -1,4867 -1,5356 -1,4019 -1,1002 -0,6764 -0,1958 0,2890 0,7486 1,1561 1,4718 1,6518 1,6649 1,5136 1,2489 0,9522 0,6830 0,4453 0,2010 -0,0932 -0,4558 -0,8728 -1,3132 -1,7369 -2,0888 -2,3141 -2,4045 -2,4280 -2,4894 -2,6514 -2,8912 -3,1290 -3,2912 -3,3480 -3,3045 -3,1749 -2,9807 -2,7739 -2,6400 -2,6547 -2,8397 -3,1603 -3,5500 -3,9290 -4,2184 -4,3505 -4,2771 -3,9832 -3,4974 -2,8780 -2,1835 -1,4543 -0,7109 0,0438 0,8068 1,5388 2,1476 2,5300 2,6519 2,5971 2,5147 2,4970 2,5132 2,4710 2,3265 2,1220 1,9404 1,8516 1,8961 2,0958 2,4566 2,9527 3,5069 3,9979 4,3104 4,3927 4,2725 4,0288 3,7526 3,5114 3,3245 3,1638 2,9846 2,7779 2,6186 2,6534 3,0110 3,7105 4,6459 5,6373 6,5044 7,1250 7,4607 7,5469 7,4573 7,2572 6,9841 6,6684 6,3551 6,0968 5,9309 5,8658 5,8819 5,9434 6,0192 6,1024 6,2090 6,3525 6,5270 6,7114 6,8838 7,0285 7,1256 7,1339 7,0039 6,7208 6,3337 5,9444 5,6651 5,5662 5,6516 5,8691 6,1241 6,2995 6,3052 6,1195 5,7854 5,3768 4,9595 4,5746 4,2508 4,0140 3,8710 3,7919 3,7331 3,6842 3,6705 3,7068 3,7762 3,8558 3,9440 4,0529 4,1780 4,2967 4,3960 4,4839 4,5728 4,6770 4,8210 5,0059 5,1639 5,1850 5,0058 4,6576 4,2320 3,8146 3,4574 3,1954 3,0628 3,0816 3,2324 3,4350 3,5736 3,5737 3,4493 3,2694 3,1016 2,9916 2,9580 2,9926 3,0659 3,1362 3,1607 3,1134 3,0042 2,8904 2,8504 2,9206 3,0589 3,1761 3,2025 3,1354 3,0274 2,9353 2,8879 2,8942 2,9499 3,0226 3,0632 3,0492 2,9946 2,9152 2,8076 2,6735 2,5429 2,4520 2,4105 2,4064 2,4259 2,4541 2,4721 2,4686 2,4654 2,5220 2,6915 2,9790 3,3567 3,7994 4,2784 4,7324 5,0777 5,2644 5,2980 5,1984 4,9785 4,6721 4,3388 4,0332 3,7949 3,6591 3,6468 3,7397 3,8868 4,0418 4,1871 4,3152 4,3995 4,3968 4,2757 4,0333 3,6861 3,2575 2,7821 2,3151 1,9286 1,6848 1,6090 1,6807 1,8387 2,0026 2,1120 2,1519 2,1418 2,1168 2,1236 2,2008 2,3379 2,4652 2,5060 2,4391 2,2946 2,1040 1,8786 1,6313 1,3933 1,1998 1,0634 0,9697 0,9012 0,8603 0,8649 0,9217 1,0112 1,1042 1,1869 1,2624 1,3336 1,4001 1,4661 1,5394 1,6244 1,7180 1,8212 1,9667 2,2139 2,5949 3,0772 3,5862 4,0513 4,4283 4,6891 4,8188 4,8473 4,8698 5,0178 5,3901 5,9992 6,7768 7,6141 8,3906 8,9953 9,3565 9,4652 9,3691 9,1345 8,8035 8,3841 7,8731 7,2860 6,6765 6,1328 5,7340 5,4924 5,3418 5,1885 4,9791 4,7251 4,4656 4,2236 4,0162 3,8804 3,8560 3,9494 4,1205 4,2894 4,3566 4,2523 3,9822 3,6201 3,2619 2,9794 2,7793 2,5868 2,2919 1,8406 1,2964 0,8095 0,5090 0,4250 0,5054 0,6762 0,8758 1,0713 1,2660 1,4868 1,7611 2,0931 2,4475 2,7579 2,9545 2,9926 2,8677 2,6159 2,3059 2,0256 1,8584 1,8557 2,0151 2,2710 2,5157 2,6482 2,6254 2,4796 2,2790 2,0745 1,8961 1,7818 1,7703 1,8683 2,0483 2,2742 2,5166 2,7508 2,9596 3,1434 3,3118 3,4558 3,5387 3,5274 3,4316 3,3048 3,2056 3,1619 3,1626 3,1687 3,1307 3,0091 2,7928 2,5090 2,2250 2,0353 2,0226 2,2165 2,5802 3,0198 3,4056 3,6103 3,5557 3,2416 2,7415 2,1693 1,6420 1,2490 1,0221 0,9240 0,8915 0,8953 0,9474 1,0573 1,1930 1,2870 1,2811 1,1643 0,9686 0,7349 0,4926 0,2580 0,0407 -0,1494 -0,3028 -0,4101 -0,4570 -0,4268 -0,3139 -0,1376 0,0558 0,2022 0,2399 0,1341 -0,1132 -0,4682 -0,8565 -1,1636 -1,2851 -1,1843 -0,8943 -0,4961 -0,0998 0,2012 0,3832 0,4951 0,6137 0,8030 1,1057 1,5430 2,1045 2,7482 3,4124 4,0251 4,5114 4,8085 4,8848 4,7502 4,4520 4,0571 3,6198 3,1523 2,6282 2,0235 1,3598 0,7177 0,2133 -0,0501 -0,0262 0,2555 0,6945 1,1564 1,5332 1,7805 1,9082 1,9663 2,0363 2,2011 2,5005 2,9033 3,3101 3,5882 3,6400 3,4676 3,1677 2,8665 2,6548 2,5624 2,5692 2,6367 2,7311 2,8291 2,9132 2,9733 3,0128 3,0495 3,1149 3,2457 3,4512 3,6863 3,8716 3,9503 3,9268 3,8457 3,7451 3,6366 3,5166 3,3775 3,2093 2,9950 2,7069 2,3154 1,8174 1,2593 0,7177 0,2505 -0,1352 -0,4728 -0,8033 -1,1426 -1,4693 -1,7367 -1,9005 -1,9473 -1,9004 -1,7994 -1,6782 -1,5691 -1,5145 -1,5512 -1,6815 -1,8784
F7    0,3963 0,4021 0,4436 0,5245 0,6484 0,8119 1,0170 1,2724 1,5740 1,8924 2,1794 2,3725 2,4054 2,2412 1,8943 1,4138 0,8609 0,2967 -0,2312 -0,7060 -1,1390 -1,5334 -1,8544 -2,0372 -2,0245 -1,8062 -1,4372 -1,0156 -0,6388 -0,3671 -0,2103 -0,1438 -0,1405 -0,1916 -0,3043 -0,4843 -0,7196 -0,9720 -1,1839 -1,2995 -1,2901 -1,1581 -0,9183 -0,5922 -0,2223 0,1254 0,3810 0,5045 0,5098 0,4540 0,4016 0,3939 0,4360 0,5093 0,6123 0,7765 1,0285 1,3477 1,6740 1,9476 2,1378 2,2471 2,3023 2,3290 2,3176 2,2272 2,0305 1,7394 1,3897 1,0199 0,6598 0,3190 -0,0050 -0,2997 -0,5321 -0,6715 -0,7072 -0,6506 -0,5410 -0,4486 -0,4491 -0,5753 -0,8008 -1,0658 -1,3059 -1,4667 -1,4949 -1,3361 -0,9660 -0,4167 0,2410 0,9242 1,5502 2,0479 2,3684 2,4857 2,3986 2,1553 1,8635 1,6362 1,5165 1,4626 1,3918 1,2356 0,9673 0,5931 0,1374 -0,3579 -0,8406 -1,2737 -1,6600 -2,0312 -2,4081 -2,7719 -3,0717 -3,2562 -3,2978 -3,1931 -2,9576 -2,6314 -2,2854 -2,0102 -1,8817 -1,9314 -2,1465 -2,4785 -2,8456 -3,1488 -3,3036 -3,2599 -3,0091 -2,5908 -2,0777 -1,5320 -0,9775 -0,4129 0,1643 0,7419 1,2835 1,7303 2,0258 2,1601 2,1953 2,2267 2,3054 2,4104 2,4901 2,5135 2,4894 2,4558 2,4612 2,5458 2,7338 3,0363 3,4468 3,9203 4,3609 4,6554 4,7383 4,6300 4,4114 4,1675 3,9506 3,7703 3,6005 3,4063 3,1922 3,0320 3,0399 3,2978 3,8017 4,4636 5,1538 5,7475 6,1640 6,3954 6,4988 6,5473 6,5817 6,6081 6,6220 6,6216 6,6103 6,6015 6,6194 6,6845 6,7975 6,9442 7,1109 7,2870 7,4602 7,6133 7,7286 7,7948 7,8128 7,7854 7,6972 7,5152 7,2220 6,8480 6,4737 6,1956 6,0715 6,0929 6,2078 6,3492 6,4476 6,4507 6,3473 6,1612 5,9210 5,6379 5,3188 4,9967 4,7295 4,5557 4,4675 4,4355 4,4434 4,4854 4,5484 4,6152 4,6773 4,7363 4,7949 4,8533 4,9195 5,0125 5,1384 5,2727 5,3874 5,4860 5,5784 5,6315 5,5811 5,3909 5,0735 4,6618 4,1912 3,7156 3,3173 3,0826 3,0578 3,2171 3,4615 3,6688 3,7668 3,7582 3,6834 3,5843 3,4978 3,4534 3,4650 3,5199 3,5772 3,5845 3,5096 3,3619 3,1957 3,0843 3,0705 3,1371 3,2304 3,3087 3,3686 3,4295 3,5004 3,5644 3,5969 3,5881 3,5368 3,4372 3,2877 3,0953 2,8626 2,5988 2,3558 2,2162 2,2259 2,3591 2,5531 2,7511 2,9118 3,0066 3,0359 3,0478 3,1205 3,3095 3,6199 4,0279 4,5043 4,9990 5,4233 5,6764 5,7050 5,5287 5,2039 4,7875 4,3383 3,9202 3,5818 3,3428 3,2072 3,1788 3,2521 3,3996 3,5833 3,7796 3,9791 4,1627 4,2962 4,3484 4,3018 4,1455 3,8760 3,5121 3,1084 2,7446 2,4887 2,3642 2,3453 2,3774 2,4055 2,4030 2,3761 2,3449 2,3315 2,3668 2,4776 2,6534 2,8328 2,9453 2,9664 2,9165 2,8128 2,6461 2,4093 2,1300 1,8653 1,6654 1,5462 1,4998 1,5197 1,6064 1,7462 1,9004 2,0241 2,0948 2,1193 2,1212 2,1254 2,1491 2,2039 2,2991 2,4331 2,5905 2,7692 2,9949 3,2870 3,6237 3,9557 4,2372 4,4321 4,5107 4,4643 4,3311 4,2021 4,1874 4,3631 4,7401 5,2718 5,8739 6,4474 6,9006 7,1665 7,2200 7,0835 6,8068 6,4386 6,0196 5,5887 5,1901 4,8751 4,6952 4,6738 4,7716 4,8932 4,9381 4,8521 4,6409 4,3453 4,0112 3,6910 3,4460 3,3164 3,2951 3,3374 3,3764 3,3393 3,1886 2,9560 2,7228 2,5763 2,5710 2,6871 2,8112 2,7942 2,5597 2,1678 1,7715 1,5072 1,4144 1,4449 1,5204 1,5779 1,5956 1,6021 1,6546 1,8028 2,0652 2,4239 2,8312 3,2220 3,5248 3,6749 3,6390 3,4424 3,1705 2,9312 2,8094 2,8352 2,9698 3,1268 3,2255 3,2414 3,2085 3,1750 3,1645 3,1776 3,2098 3,2541 3,2943 3,3141 3,3142 3,3141 3,3402 3,4168 3,5521 3,7129 3,8237 3,8109 3,6569 3,4140 3,1711 3,0088 2,9666 3,0315 3,1503 3,2533 3,2804 3,2030 3,0346 2,8279 2,6569 2,5888 2,6576 2,8486 3,0959 3,3032 3,3793 3,2692 2,9715 2,5371 2,0472 1,5863 1,2203 0,9729 0,8224 0,7360 0,7004 0,7180 0,7879 0,8916 0,9890 1,0335 0,9970 0,8824 0,7157 0,5271 0,3322 0,1331 -0,0626 -0,2391 -0,3880 -0,5111 -0,6080 -0,6704 -0,6907 -0,6767 -0,6512 -0,6301 -0,6083 -0,5722 -0,5215 -0,4606 -0,3709 -0,2091 0,0630 0,4506 0,9141 1,3753 1,7541 2,0162 2,1851 2,3202 2,4904 2,7521 3,1195 3,5587 4,0203 4,4642 4,8543 5,1559 5,3502 5,4398 5,4373 5,3579 5,2206 5,0344 4,7722 4,3728 3,7899 3,0506 2,2657 1,5859 1,1428 1,0018 1,1472 1,4953 1,9281 2,3372 2,6521 2,8455 2,9451 3,0354 3,2081 3,5006 3,8838 4,2839 4,6058 4,7673 4,7424 4,5730 4,3337 4,0849 3,8530 3,6396 3,4438 3,2744 3,1421 3,0441 2,9640 2,8834 2,8003 2,7479 2,7851 2,9441 3,1910 3,4557 3,6960 3,9174 4,1326 4,3249 4,4614 4,5204 4,4939 4,3780 4,1690 3,8666 3,4766 3,0218 2,5506 2,1167 1,7450 1,4238 1,1215 0,8089 0,4815 0,1723 -0,0587 -0,1563 -0,1060 0,0609 0,2997 0,5778 0,8624 1,1020 1,2459 1,2747 1,1964
