Fp1   0,1553 -0,0742 -0,3191 -0,5210 -0,6344 -0,6463 -0,5557 -0,3460 0,0009 0,4663 0,9857 1,4786 1,8713 2,1053 2,1540 2,0389 1,8257 1,5933 1,3868 1,1995 1,0035 0,7801 0,5267 0,2643 0,0378 -0,1103 -0,1701 -0,1702 -0,1721 -0,2588 -0,5014 -0,9157 -1,4412 -1,9578 -2,3278 -2,4451 -2,2735 -1,8651 -1,3446 -0,8477 -0,4531 -0,1767 -0,0117 0,0553 0,0586 0,0485 0,0632 0,1076 0,1565 0,1762 0,1452 0,0650 -0,0292 -0,0714 -0,0017 0,1814 0,3993 0,5428 0,5635 0,4995 0,4210 0,3789 0,3898 0,4553 0,5875 0,8016 1,0945 1,4473 1,8366 2,2354 2,6123 2,9370 3,1884 3,3520 3,4086 3,3340 3,1183 2,7853 2,4013 2,0519 1,7806 1,5413 1,2308 0,7721 0,1769 -0,4511 -0,9650 -1,2310 -1,1695 -0,7937 -0,2270 0,3416 0,7638 1,0297 1,2597 1,6057 2,1758 3,0101 4,0695 5,2401 6,3649 7,2996 7,9668 8,3782 8,6147 8,7811 8,9582 9,1794 9,4322 9,6703 9,8355 9,8720 9,7252 9,3468 8,7192 7,8873 6,9621 6,0801 5,3523 4,8390 4,5494 4,4722 4,6081 4,9620 5,4988 6,1216 6,7034 7,1367 7,3565 7,3443 7,1289 6,7683 6,3094 5,7708 5,1743 4,5755 4,0448 3,6390 3,3947 3,3213 3,3798 3,4704 3,4513 3,2008 2,6845 1,9728 1,1988 0,4959 -0,0336 -0,3108 -0,2747 0,0944 0,7609 1,6492 2,6630 3,7117 4,7358 5,6896 6,5192 7,1867 7,7034 8,1188 8,4811 8,8252 9,1999 9,6854 10,3677 11,2986 12,4720 13,8247 15,2557 16,6603 17,9577 19,0961 20,0574 20,8725 21,6092 22,3308 23,0730 23,8476 24,6442 25,4261 26,1370 26,7270 27,1784 27,4966 27,6699 27,6647 27,4604 27,0672 26,5183 25,8604 25,1420 24,4036 23,6750 22,9773 22,3257 21,7197 21,1182 20,4275 19,5423 18,4058 17,0336 15,5118 13,9899 12,6392 11,5853 10,8630 10,4269 10,1954 10,0738 9,9577 9,7729 9,5267 9,2979 9,1725 9,1860 9,3143 9,5059 9,6977 9,7998 9,7154 9,4148 8,9887 8,6252 8,5166 8,7617 9,3283 10,0898 10,8884 11,5715 12,0005 12,0927 11,8871 11,5447 11,2595 11,1591 11,2606 11,4806 11,6758 11,6951 11,4382 10,8950 10,1445 9,3155 8,5314 7,8629 7,3119 6,8267 6,3352 5,7809 5,1466 4,4597 3,7882 3,2293 2,8773 2,7754 2,8975 3,1665 3,4788 3,7355 3,8752 3,8787 3,7564 3,5485 3,3329 3,2101 3,2503 3,4339 3,6536 3,7934 3,7986 3,6707 3,4354 3,1456 2,8922 2,7768 2,8739 3,2076 3,7339 4,3349 4,8627 5,2176 5,3920 5,4432 5,4334 5,3944 5,3331 5,2630 5,2050 5,1436 5,0164 4,7747 4,4477 4,1510 4,0199 4,1243 4,4510 4,9428 5,5193 6,0831 6,5402 6,8229 6,9210 6,9175 6,9727 7,2286 7,7194 8,3622 9,0026 9,4705 9,6409 9,4804 9,0508 8,4763 7,9058 7,4717 7,2344 7,1435 7,0708 6,8951 6,5634 6,1009 5,5932 5,1520 4,8614 4,7316 4,7034 4,6986 4,6664 4,5868 4,4453 4,2273 3,9501 3,6923 3,5621 3,6245 3,8640 4,2123 4,5967 4,9649 5,2819 5,5209 5,6736 5,7743 5,9015 6,1467 6,5653 7,1332 7,7453 8,2626 8,5660 8,5813 8,2874 7,7292 7,0159 6,2821 5,6350 5,1177 4,6965 4,2882 3,8218 3,2882 2,7488 2,3115 2,0841 2,1114 2,3417 2,6677 3,0064 3,3291 3,6172 3,8301 3,9404 3,9933 4,1145 4,4421 5,0347 5,8313 6,6873 7,4492 7,9977 8,2447 8,1444 7,7430 7,1878 6,6551 6,2682 6,0662 6,0226 6,0981 6,2774 6,5521 6,8892 7,2436 7,5883 7,9107 8,1918 8,3984 8,4882 8,4321 8,2368 7,9357 7,5626 7,1458 6,7147 6,2999 5,9334 5,6414 5,4192 5,2203 4,9982 4,7684 4,6187 4,6484 4,8962 5,3159 5,8014 6,2273 6,4854 6,5133 6,3179 5,9786 5,6094 5,3051 5,1212 5,0779 5,1463 5,2514 5,3212 5,3309 5,2993 5,2712 5,3041 5,4407 5,6794 5,9811 6,2981 6,5816 6,7748 6,8327 6,7602 6,6129 6,4566 6,3290 6,2300 6,1345 5,9983 5,7505 5,3149 4,6596 3,8203 2,8892 2,0013 1,3167 0,9764 1,0506 1,5089 2,2177 2,9779 3,6031 3,9977 4,1870 4,2883 4,4399 4,7346 5,2096 5,8637 6,6477 7,4498 8,1285 8,5762 8,7510 8,6614 8,3447 7,8794 7,4022 7,0789 7,0358 7,3139 7,8804 8,6708 9,6185 10,6529 11,6892 12,6470 13,4755 14,1448 14,6214 14,8617 14,8267 14,4953 13,8686 12,9770 11,8920 10,7265 9,6146 8,6735 7,9674 7,4854 7,1444 6,8306 6,4533 5,9665 5,3635 4,6632 3,8847 3,0354 2,1355 1,2328 0,3795 -0,3909 -1,0531 -1,5712 -1,9001 -1,9963 -1,8400 -1,4664 -0,9632 -0,4392 0,0062 0,3167 0,5015 0,6259 0,7843 1,0634 1,4989 2,0689 2,7342 3,4668 4,2448 5,0301 5,7549 6,3429 6,7677 7,0691 7,2941 7,4560 7,5665 7,6807 7,8865 8,2404 8,7242 9,2772 9,8504 10,4186 10,9698 11,4998 12,0051 12,4739 12,8874 13,2369 13,5398 13,8432 14,2097 14,6696 15,1930 15,7153 16,1705 16,5076 16,7034 16,7653 16,7264 16,6394 16,5563 16,4967 16,4432 16,3733 16,2748 16,1249 15,8855 15,5317 15,0726 14,5471 14,0040 13,4760 12,9711 12,4963 12,0784 11,7418 11,4768 11,2419 10,9820 10,6468 10,2152 9,7161 9,2182 8,7829 8,4120 8,0415 7,5943 7,0498 6,4754 6,0035 5,7691 5,8372 6,1696 6,6565 7,1748 7,6300
Fz    2,6816 2,5579 2,3935 2,2435 2,1401 2,0786 2,0380 2,0043 1,9708 1,9266 1,8579 1,7586 1,6332 1,4918 1,3479 1,2149 1,1036 1,0189 0,9535 0,8901 0,8162 0,7317 0,6456 0,5800 0,5693 0,6390 0,7786 0,9338 1,0218 0,9563 0,6809 0,1974 -0,4314 -1,1013 -1,6989 -2,1385 -2,3928 -2,5017 -2,5519 -2,6272 -2,7622 -2,9391 -3,1149 -3,2414 -3,2703 -3,1690 -2,9409 -2,6308 -2,3074 -2,0362 -1,8573 -1,7721 -1,7383 -1,6833 -1,5418 -1,2952 -0,9853 -0,6852 -0,4482 -0,2859 -0,1897 -0,1507 -0,1611 -0,2020 -0,2359 -0,2238 -0,1497 -0,0276 0,1090 0,2252 0,3004 0,3345 0,3433 0,3418 0,3293 0,2914 0,2118 0,0857 -0,0703 -0,2209 -0,3394 -0,4316 -0,5222 -0,6231 -0,7171 -0,7633 -0,7193 -0,5594 -0,2812 0,0901 0,5017 0,8897 1,2151 1,4946 1,7904 2,1662 2,6508 3,2277 3,8391 4,4037 4,8367 5,0745 5,1037 4,9694 4,7530 4,5330 4,3527 4,2118 4,0816 3,9278 3,7314 3,4978 3,2475 3,0026 2,7819 2,6045 2,4853 2,4220 2,3932 2,3726 2,3466 2,3291 2,3644 2,5000 2,7472 3,0655 3,3788 3,6000 3,6491 3,4724 3,0611 2,4540 1,7181 0,9259 0,1466 -0,5579 -1,1462 -1,6054 -1,9405 -2,1627 -2,2908 -2,3644 -2,4450 -2,5885 -2,8093 -3,0735 -3,3268 -3,5287 -3,6595 -3,6979 -3,6080 -3,3529 -2,9112 -2,2831 -1,4966 -0,6053 0,3250 1,2200 2,0049 2,6347 3,1170 3,4965 3,8208 4,1285 4,4610 4,8664 5,3825 6,0147 6,7289 7,4628 8,1502 8,7511 9,2637 9,7092 10,1171 10,5245 10,9670 11,4601 11,9936 12,5424 13,0762 13,5659 13,9916 14,3514 14,6639 14,9479 15,1899 15,3402 15,3441 15,1701 14,8224 14,3386 13,7770 13,2007 12,6626 12,1954 11,8049 11,4636 11,1046 10,6392 10,0004 9,1799 8,2286 7,2350 6,3059 5,5363 4,9726 4,5932 4,3262 4,0909 3,8235 3,4819 3,0650 2,6300 2,2688 2,0580 2,0222 2,1327 2,3336 2,5624 2,7558 2,8674 2,9004 2,9198 3,0222 3,2804 3,6997 4,2116 4,7052 5,0778 5,2629 5,2342 5,0148 4,6907 4,3905 4,2274 4,2465 4,4139 4,6405 4,8195 4,8597 4,7139 4,3964 3,9802 3,5683 3,2528 3,0791 3,0305 3,0442 3,0475 2,9926 2,8698 2,7048 2,5482 2,4613 2,4918 2,6456 2,8799 3,1215 3,2919 3,3371 3,2499 3,0626 2,8213 2,5750 2,3768 2,2742 2,2848 2,3774 2,4817 2,5291 2,4910 2,3821 2,2445 2,1384 2,1272 2,2487 2,4983 2,8357 3,1943 3,4893 3,6423 3,6207 3,4545 3,2156 2,9766 2,7736 2,5988 2,4274 2,2423 2,0317 1,7873 1,5210 1,2757 1,1154 1,0937 1,2235 1,4746 1,7934 2,1188 2,3949 2,5819 2,6619 2,6450 2,5749 2,5158 2,5146 2,5687 2,6278 2,6185 2,4779 2,1874 1,7866 1,3584 0,9984 0,7882 0,7699 0,9205 1,1513 1,3511 1,4423 1,4072 1,2802 1,1283 1,0267 1,0287 1,1367 1,3026 1,4572 1,5441 1,5348 1,4290 1,2556 1,0739 0,9651 1,0012 1,2092 1,5589 1,9843 2,4165 2,8084 3,1387 3,4049 3,6173 3,8032 4,0042 4,2612 4,5902 4,9628 5,3130 5,5716 5,6987 5,6921 5,5729 5,3740 5,1363 4,8982 4,6776 4,4608 4,2081 3,8798 3,4665 3,0023 2,5549 2,2068 2,0278 2,0412 2,2079 2,4530 2,7135 2,9559 3,1597 3,3081 3,4019 3,4766 3,5956 3,8171 4,1523 4,5529 4,9368 5,2308 5,3957 5,4230 5,3276 5,1564 4,9860 4,8936 4,9234 5,0702 5,2883 5,5259 5,7597 5,9938 6,2351 6,4810 6,7222 6,9410 7,1083 7,1899 7,1581 7,0022 6,7350 6,3898 6,0125 5,6506 5,3370 5,0786 4,8635 4,6726 4,4809 4,2574 3,9849 3,6853 3,4220 3,2666 3,2563 3,3708 3,5374 3,6598 3,6589 3,5020 3,2098 2,8459 2,4880 2,1974 2,0087 1,9292 1,9309 1,9546 1,9433 1,8732 1,7602 1,6534 1,6205 1,7169 1,9540 2,2925 2,6601 2,9745 3,1666 3,2040 3,1049 2,9259 2,7337 2,5823 2,4968 2,4676 2,4531 2,3897 2,2153 1,9007 1,4616 0,9530 0,4597 0,0791 -0,1116 -0,0840 0,1323 0,4593 0,7962 1,0603 1,2208 1,3074 1,3936 1,5593 1,8535 2,2830 2,8207 3,4097 3,9706 4,4299 4,7562 4,9691 5,1146 5,2326 5,3510 5,4961 5,6928 5,9466 6,2372 6,5354 6,8266 7,1199 7,4381 7,7961 8,1908 8,5992 8,9724 9,2420 9,3476 9,2619 8,9915 8,5611 8,0072 7,3815 6,7523 6,1872 5,7264 5,3666 5,0634 4,7477 4,3568 3,8636 3,2831 2,6583 2,0340 1,4257 0,8145 0,1759 -0,4901 -1,1565 -1,7839 -2,3264 -2,7304 -2,9436 -2,9324 -2,7024 -2,3097 -1,8453 -1,3966 -1,0181 -0,7198 -0,4710 -0,2212 0,0816 0,4720 0,9453 1,4595 1,9627 2,4156 2,7956 3,0946 3,3154 3,4727 3,6008 3,7455 3,9328 4,1540 4,3877 4,6297 4,8993 5,2200 5,5991 6,0323 6,5143 7,0318 7,5538 8,0336 8,4209 8,6792 8,8006 8,8128 8,7713 8,7440 8,7930 8,9496 9,2026 9,5134 9,8326 10,1137 10,3266 10,4622 10,5309 10,5610 10,5875 10,6264 10,6615 10,6592 10,5881 10,4263 10,1667 9,8247 9,4350 9,0398 8,6773 8,3703 8,1182 7,9050 7,7160 7,5410 7,3701 7,1954 7,0133 6,8254 6,6442 6,4935 6,3943 6,3427 6,2940 6,1756 5,9261 5,5354 5,0602 4,6057 4,2787 4,1357 4,1613 4,2881 4,4380 4,5550
F3    2,0732 1,9987 1,9109 1,8543 1,8567 1,9106 1,9853 2,0505 2,0860 2,0807 2,0328 1,9525 1,8560 1,7574 1,6645 1,5806 1,5079 1,4502 1,4050 1,3624 1,3138 1,2574 1,1945 1,1313 1,0799 1,0463 1,0148 0,9461 0,7891 0,4992 0,0590 -0,5067 -1,1310 -1,7257 -2,2109 -2,5416 -2,7220 -2,8034 -2,8600 -2,9458 -3,0659 -3,1870 -3,2678 -3,2735 -3,1752 -2,9571 -2,6338 -2,2536 -1,8804 -1,5664 -1,3349 -1,1754 -1,0440 -0,8777 -0,6299 -0,3042 0,0423 0,3369 0,5437 0,6773 0,7747 0,8662 0,9660 1,0812 1,2212 1,3902 1,5738 1,7395 1,8522 1,8929 1,8650 1,7892 1,6911 1,5856 1,4658 1,3097 1,0979 0,8289 0,5286 0,2437 0,0149 -0,1472 -0,2549 -0,3196 -0,3359 -0,2854 -0,1523 0,0660 0,3590 0,7026 1,0592 1,3860 1,6576 1,8907 2,1382 2,4513 2,8516 3,3254 3,8271 4,2909 4,6527 4,8776 4,9743 4,9861 4,9637 4,9381 4,9126 4,8758 4,8193 4,7422 4,6486 4,5447 4,4326 4,3056 4,1558 3,9857 3,8109 3,6480 3,5070 3,3943 3,3185 3,2999 3,3713 3,5587 3,8542 4,2048 4,5283 4,7427 4,7888 4,6414 4,3137 3,8482 3,2959 2,7035 2,1170 1,5857 1,1501 0,8294 0,6230 0,5180 0,4940 0,5167 0,5348 0,4958 0,3737 0,1844 -0,0238 -0,1966 -0,2897 -0,2608 -0,0714 0,2948 0,8258 1,4923 2,2514 3,0465 3,8153 4,4973 5,0453 5,4451 5,7248 5,9363 6,1306 6,3510 6,6425 7,0466 7,5796 8,2192 8,9162 9,6148 10,2720 10,8724 11,4263 11,9504 12,4572 12,9613 13,4781 14,0097 14,5445 15,0693 15,5703 16,0269 16,4162 16,7281 16,9709 17,1523 17,2548 17,2438 17,0996 16,8307 16,4675 16,0507 15,6216 15,2137 14,8474 14,5234 14,2226 13,9135 13,5535 13,0920 12,4928 11,7581 10,9261 10,0558 9,2202 8,4908 7,9084 7,4634 7,1084 6,7942 6,4870 6,1634 5,8198 5,4907 5,2377 5,1100 5,1140 5,2170 5,3745 5,5465 5,6896 5,7618 5,7505 5,6946 5,6738 5,7676 6,0077 6,3593 6,7441 7,0801 7,3027 7,3713 7,2863 7,1091 6,9436 6,8806 6,9509 7,1201 7,3143 7,4500 7,4577 7,3031 7,0038 6,6220 6,2359 5,9102 5,6754 5,5174 5,3895 5,2425 5,0492 4,8149 4,5750 4,3804 4,2784 4,2931 4,4099 4,5775 4,7279 4,7958 4,7392 4,5577 4,2876 3,9788 3,6778 3,4257 3,2556 3,1774 3,1636 3,1602 3,1256 3,0583 2,9872 2,9446 2,9575 3,0493 3,2281 3,4784 3,7676 4,0538 4,2843 4,4061 4,3931 4,2616 4,0570 3,8242 3,5851 3,3377 3,0781 2,8136 2,5490 2,2769 1,9945 1,7243 1,5125 1,4045 1,4150 1,5265 1,7077 1,9270 2,1579 2,3826 2,5917 2,7856 2,9846 3,2261 3,5346 3,8924 4,2395 4,5002 4,6159 4,5713 4,4013 4,1741 3,9630 3,8237 3,7821 3,8250 3,8988 3,9348 3,8880 3,7558 3,5716 3,3903 3,2671 3,2264 3,2425 3,2567 3,2169 3,1018 2,9164 2,6782 2,4147 2,1721 2,0134 1,9935 2,1265 2,3781 2,6905 3,0135 3,3160 3,5823 3,8060 3,9919 4,1623 4,3482 4,5717 4,8331 5,1080 5,3539 5,5263 5,5973 5,5622 5,4317 5,2216 4,9501 4,6379 4,3057 3,9677 3,6243 3,2661 2,8927 2,5283 2,2178 2,0063 1,9196 1,9478 2,0447 2,1553 2,2524 2,3449 2,4507 2,5765 2,7284 2,9268 3,2014 3,5691 4,0141 4,4871 4,9284 5,2973 5,5797 5,7738 5,8804 5,9163 5,9198 5,9326 5,9792 6,0661 6,1936 6,3706 6,6140 6,9296 7,2978 7,6826 8,0448 8,3432 8,5359 8,5939 8,5121 8,3132 8,0421 7,7477 7,4635 7,2027 6,9624 6,7273 6,4818 6,2215 5,9504 5,6708 5,3876 5,1253 4,9311 4,8517 4,9009 5,0459 5,2170 5,3302 5,3163 5,1487 4,8568 4,5150 4,2046 3,9763 3,8416 3,7831 3,7601 3,7228 3,6438 3,5342 3,4290 3,3726 3,4113 3,5757 3,8574 4,2059 4,5494 4,8228 4,9843 5,0227 4,9628 4,8580 4,7658 4,7201 4,7196 4,7341 4,7173 4,6166 4,3894 4,0271 3,5631 3,0595 2,5919 2,2367 2,0516 2,0589 2,2396 2,5373 2,8745 3,1823 3,4285 3,6311 3,8453 4,1246 4,4854 4,9066 5,3486 5,7617 6,0940 6,3118 6,4166 6,4387 6,4138 6,3673 6,3189 6,2956 6,3319 6,4525 6,6612 6,9490 7,3067 7,7294 8,2080 8,7211 9,2377 9,7220 10,1271 10,3976 10,4907 10,3970 10,1379 9,7449 9,2494 8,6910 8,1214 7,5927 7,1404 6,7755 6,4860 6,2360 5,9765 5,6667 5,2881 4,8447 4,3528 3,8237 3,2575 2,6575 2,0444 1,4533 0,9202 0,4781 0,1584 -0,0155 -0,0386 0,0688 0,2651 0,5038 0,7549 1,0129 1,2966 1,6396 2,0735 2,6131 3,2460 3,9250 4,5839 5,1675 5,6461 6,0136 6,2817 6,4681 6,5905 6,6748 6,7552 6,8508 6,9516 7,0419 7,1349 7,2763 7,5132 7,8642 8,3193 8,8522 9,4209 9,9678 10,4353 10,7856 11,0122 11,1344 11,1887 11,2209 11,2829 11,4194 11,6411 11,9141 12,1865 12,4182 12,5909 12,7041 12,7701 12,8103 12,8473 12,8893 12,9192 12,9019 12,8075 12,6273 12,3671 12,0391 11,6642 11,2738 10,9020 10,5708 10,2788 10,0043 9,7271 9,4498 9,1941 8,9809 8,8166 8,6906 8,5826 8,4771 8,3714 8,2697 8,1708 8,0549 7,8828 7,6165 7,2511 6,8335 6,4516 6,1940 6,1042 6,1632 6,3103 6,4792 6,6228
F7    0,3877 0,2947 0,2220 0,1979 0,2352 0,3210 0,4334 0,5640 0,7174 0,8951 1,0859 1,2692 1,4182 1,5027 1,4984 1,4000 1,2298 1,0279 0,8295 0,6520 0,5039 0,3899 0,3050 0,2391 0,1877 0,1489 0,1145 0,0676 -0,0155 -0,1571 -0,3647 -0,6221 -0,8939 -1,1395 -1,3234 -1,4214 -1,4282 -1,3641 -1,2701 -1,1818 -1,1065 -1,0348 -0,9631 -0,8918 -0,8112 -0,7059 -0,5717 -0,4215 -0,2798 -0,1706 -0,1061 -0,0809 -0,0691 -0,0322 0,0581 0,1939 0,3306 0,4192 0,4481 0,4473 0,4588 0,5095 0,6033 0,7319 0,8916 1,0839 1,3038 1,5361 1,7591 1,9484 2,0820 2,1465 2,1385 2,0580 1,9051 1,6825 1,4041 1,1011 0,8224 0,6204 0,5206 0,5016 0,5109 0,5001 0,4530 0,3889 0,3460 0,3640 0,4693 0,6575 0,8868 1,0965 1,2432 1,3292 1,3979 1,5030 1,6872 1,9726 2,3506 2,7806 3,2072 3,5830 3,8841 4,1103 4,2770 4,4043 4,5110 4,6124 4,7173 4,8259 4,9324 5,0238 5,0719 5,0380 4,8941 4,6436 4,3244 3,9926 3,7060 3,5106 3,4313 3,4754 3,6417 3,9180 4,2693 4,6397 4,9689 5,2105 5,3396 5,3556 5,2801 5,1442 4,9696 4,7621 4,5271 4,2851 4,0679 3,9075 3,8299 3,8477 3,9504 4,0998 4,2333 4,2856 4,2202 4,0456 3,8073 3,5640 3,3701 3,2733 3,3088 3,4825 3,7683 4,1261 4,5136 4,8939 5,2423 5,5436 5,7902 5,9906 6,1710 6,3609 6,5742 6,8099 7,0699 7,3699 7,7301 8,1605 8,6556 9,1976 9,7643 10,3363 10,8951 11,4149 11,8698 12,2567 12,6019 12,9398 13,2931 13,6730 14,0777 14,4883 14,8726 15,2008 15,4586 15,6435 15,7488 15,7641 15,6891 15,5372 15,3289 15,0850 14,8209 14,5430 14,2513 13,9464 13,6354 13,3263 13,0110 12,6568 12,2223 11,6823 11,0375 10,3190 9,5930 8,9454 8,4482 8,1312 7,9779 7,9449 7,9769 8,0128 8,0060 7,9497 7,8758 7,8245 7,8160 7,8485 7,9133 7,9952 8,0602 8,0642 7,9865 7,8542 7,7322 7,6868 7,7498 7,9075 8,1167 8,3308 8,5077 8,6066 8,6013 8,5082 8,3868 8,3050 8,3012 8,3700 8,4683 8,5339 8,5071 8,3500 8,0610 7,6757 7,2492 6,8335 6,4613 6,1394 5,8539 5,5842 5,3159 5,0455 4,7805 4,5390 4,3476 4,2314 4,1986 4,2375 4,3250 4,4307 4,5220 4,5754 4,5760 4,5108 4,3738 4,1797 3,9663 3,7737 3,6175 3,4831 3,3480 3,2004 3,0356 2,8507 2,6567 2,4852 2,3729 2,3435 2,4029 2,5376 2,7105 2,8711 2,9796 3,0236 3,0122 2,9619 2,8860 2,7955 2,7059 2,6337 2,5791 2,5207 2,4354 2,3213 2,2037 2,1192 2,0926 2,1356 2,2544 2,4446 2,6836 2,9388 3,1789 3,3875 3,5803 3,8049 4,1064 4,4923 4,9288 5,3586 5,7196 5,9655 6,0808 6,0784 5,9858 5,8401 5,6853 5,5541 5,4469 5,3369 5,1974 5,0234 4,8308 4,6474 4,5020 4,4076 4,3483 4,2873 4,1917 4,0512 3,8763 3,6829 3,4820 3,2862 3,1197 3,0113 2,9746 3,0010 3,0707 3,1677 3,2827 3,4078 3,5340 3,6553 3,7763 3,9123 4,0843 4,3044 4,5576 4,8018 4,9881 5,0788 5,0536 4,9104 4,6690 4,3683 4,0559 3,7720 3,5373 3,3456 3,1738 3,0005 2,8170 2,6280 2,4519 2,3132 2,2237 2,1690 2,1251 2,0878 2,0754 2,0999 2,1457 2,1889 2,2312 2,3122 2,4873 2,7893 3,2064 3,6906 4,1822 4,6244 4,9620 5,1518 5,1893 5,1193 5,0118 4,9344 4,9345 5,0309 5,2204 5,4912 5,8212 6,1690 6,4880 6,7472 6,9351 7,0523 7,1068 7,1084 7,0673 6,9962 6,9051 6,7954 6,6640 6,5123 6,3466 6,1788 6,0265 5,9042 5,8102 5,7315 5,6619 5,6134 5,6051 5,6405 5,6972 5,7373 5,7290 5,6582 5,5273 5,3517 5,1607 4,9899 4,8672 4,8079 4,8129 4,8602 4,9106 4,9364 4,9368 4,9256 4,9181 4,9319 4,9838 5,0804 5,2141 5,3643 5,4999 5,5847 5,5941 5,5319 5,4280 5,3173 5,2199 5,1363 5,0571 4,9692 4,8517 4,6832 4,4600 4,1970 3,9171 3,6486 3,4281 3,2925 3,2664 3,3535 3,5303 3,7494 3,9622 4,1448 4,3057 4,4736 4,6735 4,9127 5,1873 5,4926 5,8142 6,1191 6,3667 6,5289 6,5950 6,5629 6,4370 6,2400 6,0220 5,8480 5,7709 5,8153 5,9805 6,2533 6,6155 7,0395 7,4849 7,9088 8,2817 8,5859 8,8041 8,9182 8,9173 8,7989 8,5632 8,2137 7,7686 7,2675 6,7649 6,3137 5,9518 5,6907 5,5069 5,3522 5,1751 4,9366 4,6183 4,2274 3,7870 3,3246 2,8749 2,4784 2,1678 1,9539 1,8274 1,7707 1,7666 1,8042 1,8782 1,9789 2,0934 2,2161 2,3526 2,5162 2,7233 2,9858 3,3094 3,6905 4,1094 4,5376 4,9572 5,3655 5,7633 6,1418 6,4754 6,7302 6,8890 6,9638 6,9769 6,9445 6,8885 6,8539 6,8980 7,0566 7,3211 7,6511 7,9997 8,3279 8,6125 8,8500 9,0491 9,2200 9,3699 9,5035 9,6262 9,7478 9,8847 10,0477 10,2333 10,4281 10,6156 10,7802 10,9136 11,0138 11,0820 11,1228 11,1424 11,1416 11,1124 11,0463 10,9422 10,8011 10,6225 10,4094 10,1700 9,9130 9,6431 9,3602 9,0609 8,7498 8,4466 8,1767 7,9543 7,7759 7,6224 7,4671 7,2909 7,0978 6,9146 6,7719 6,6760 6,6014 6,5107 6,3833 6,2325 6,1002 6,0327 6,0529 6,1518 6,3027 6,4783 6,6571
