Fp1   1,7597 1,3387 0,9060 0,4953 0,1302 -0,1773 -0,4249 -0,6180 -0,7683 -0,8893 -0,9863 -1,0500 -1,0637 -1,0111 -0,8802 -0,6762 -0,4243 -0,1513 0,1273 0,4001 0,6544 0,8754 1,0440 1,1365 1,1374 1,0560 0,9298 0,8070 0,7211 0,6825 0,6915 0,7457 0,8247 0,8749 0,8246 0,6254 0,2823 -0,1545 -0,6210 -1,0563 -1,4032 -1,6097 -1,6412 -1,4956 -1,2044 -0,8216 -0,4129 -0,0502 0,2036 0,3174 0,2930 0,1379 -0,1567 -0,6053 -1,1993 -1,8851 -2,5640 -3,1176 -3,4460 -3,5060 -3,3251 -2,9810 -2,5637 -2,1498 -1,7926 -1,5164 -1,3100 -1,1280 -0,9150 -0,6459 -0,3488 -0,0841 0,0988 0,1839 0,1855 0,1303 0,0405 -0,0691 -0,1791 -0,2623 -0,2913 -0,2497 -0,1472 -0,0195 0,0952 0,1762 0,2268 0,2729 0,3493 0,4848 0,6953 0,9657 1,2322 1,4009 1,3981 1,2049 0,8518 0,3953 -0,0934 -0,5264 -0,8096 -0,8740 -0,7053 -0,3481 0,1131 0,5822 0,9810 1,2692 1,4431 1,5214 1,5233 1,4457 1,2649 0,9632 0,5503 0,0552 -0,4943 -1,0816 -1,6892 -2,2826 -2,8140 -3,2358 -3,5052 -3,5894 -3,4791 -3,2013 -2,8191 -2,4103 -2,0310 -1,7013 -1,4219 -1,1928 -1,0149 -0,8867 -0,8025 -0,7507 -0,7119 -0,6614 -0,5793 -0,4607 -0,3138 -0,1462 0,0505 0,3016 0,6286 1,0221 1,4419 1,8464 2,2208 2,5824 2,9661 3,4021 3,8970 4,4279 4,9571 5,4517 5,9011 6,3221 6,7456 7,1954 7,6730 8,1560 8,6043 8,9709 9,2218 9,3611 9,4307 9,4845 9,5711 9,7275 9,9618 10,2362 10,4822 10,6345 10,6531 10,5317 10,3043 10,0400 9,8109 9,6515 9,5518 9,4855 9,4397 9,4200 9,4364 9,4832 9,5280 9,5190 9,4103 9,1851 8,8538 8,4374 7,9613 7,4595 6,9761 6,5520 6,2031 5,9095 5,6277 5,3180 4,9750 4,6377 4,3629 4,1844 4,0911 4,0367 3,9698 3,8610 3,7075 3,5189 3,3101 3,1049 2,9310 2,8055 2,7309 2,7037 2,7205 2,7781 2,8679 2,9696 3,0567 3,1071 3,1083 3,0590 2,9750 2,8905 2,8493 2,8898 3,0282 3,2478 3,5042 3,7459 3,9336 4,0405 4,0453 3,9460 3,7796 3,6144 3,5144 3,4984 3,5281 3,5399 3,4887 3,3701 3,2115 3,0495 2,9138 2,8125 2,7228 2,6068 2,4457 2,2587 2,0859 1,9636 1,9143 1,9438 2,0352 2,1533 2,2579 2,3119 2,2848 2,1634 1,9575 1,6976 1,4326 1,2223 1,1157 1,1309 1,2494 1,4262 1,6104 1,7589 1,8371 1,8246 1,7291 1,5844 1,4329 1,3125 1,2539 1,2813 1,4116 1,6523 1,9934 2,4001 2,8201 3,2029 3,5122 3,7327 3,8693 3,9368 3,9457 3,8966 3,7876 3,6240 3,4182 3,1922 2,9831 2,8363 2,7826 2,8223 2,9315 3,0773 3,2297 3,3729 3,5116 3,6583 3,8106 3,9496 4,0599 4,1408 4,2035 4,2668 4,3484 4,4545 4,5797 4,7146 4,8541 5,0048 5,1772 5,3652 5,5428 5,6858 5,7877 5,8591 5,9197 5,9854 6,0554 6,1207 6,1830 6,2652 6,3984 6,5945 6,8325 7,0725 7,2759 7,4121 7,4634 7,4344 7,3528 7,2528 7,1553 7,0589 6,9503 6,8287 6,7229 6,6805 6,7375 6,9040 7,1716 7,5233 7,9307 8,3459 8,7040 8,9500 9,0712 9,0989 9,0869 9,0958 9,1764 9,3467 9,5798 9,8196 10,0075 10,0941 10,0492 9,8748 9,6043 9,2743 8,8971 8,4630 7,9699 7,4449 6,9425 6,5276 6,2588 6,1782 6,2982 6,5926 7,0040 7,4625 7,9027 8,2817 8,5873 8,8308 9,0331 9,2080 9,3500 9,4373 9,4480 9,3752 9,2335 9,0503 8,8451 8,6202 8,3759 8,1308 7,9219 7,7830 7,7181 7,6959 7,6702 7,6089 7,5092 7,3919 7,2858 7,2145 7,1934 7,2310 7,3293 7,4776 7,6516 7,8149 7,9240 7,9414 7,8523 7,6696 7,4280 7,1715 6,9405 6,7604 6,6402 6,5859 6,5989 6,6553 6,7086 6,7329 6,7529 6,8162 6,9410 7,1016 7,2591 7,3858 7,4652 7,4858 7,4473 7,3658 7,2745 7,2199 7,2465 7,3763 7,6047 7,9087 8,2546 8,6032 8,9170 9,1674 9,3400 9,4372 9,4749 9,4699 9,4321 9,3696 9,2955 9,2271 9,1746 9,1298 9,0736 8,9950 8,9042 8,8333 8,8206 8,8847 9,0087 9,1523 9,2769 9,3621 9,4038 9,4032 9,3594 9,2721 9,1479 9,0026 8,8537 8,7113 8,5773 8,4541 8,3540 8,3068 8,3540 8,5156 8,7632 9,0351 9,2726 9,4396 9,5244 9,5310 9,4644 9,3285 9,1396 8,9258 8,7051 8,4726 8,2166 7,9414 7,6649 7,3982 7,1401 6,8937 6,6747 6,5033 6,3925 6,3385 6,3151 6,2811 6,2029 6,0747 5,9209 5,7777 5,6707 5,6053 5,5692 5,5420 5,5072 5,4614 5,4078 5,3365 5,2213 5,0375 4,7770 4,4594 4,1392 3,8875 3,7550 3,7590 3,8960 4,1500 4,4862 4,8558 5,2179 5,5504 5,8404 6,0848 6,3077 6,5577 6,8768 7,2833 7,7768 8,3456 8,9635 9,5776 10,1099 10,4911 10,6972 10,7511 10,6927 10,5567 10,3726 10,1673 9,9647 9,7878 9,6497 9,5316 9,3863 9,1775 8,9091 8,6175 8,3493 8,1410 8,0072 7,9397 7,9209 7,9386 7,9832 8,0360 8,0730 8,0809 8,0606 8,0189 7,9619 7,8939 7,8128 7,7060 7,5583 7,3633 7,1198 6,8190 6,4499 6,0289 5,6242 5,3317 5,2153 5,2608 5,3865 5,4974 5,5369 5,4966 5,3961 5,2629 5,1256 5,0080 4,9246 4,8866 4,9021 4,9657 5,0645 5,2007 5,3934 5,6564 5,9769 6,3072
Fz    1,6628 1,3227 0,9567 0,6063 0,3065 0,0787 -0,0725 -0,1583 -0,2013 -0,2276 -0,2568 -0,2990 -0,3564 -0,4203 -0,4693 -0,4829 -0,4539 -0,3829 -0,2715 -0,1255 0,0408 0,2080 0,3560 0,4649 0,5166 0,5033 0,4363 0,3418 0,2437 0,1563 0,0910 0,0603 0,0664 0,0903 0,0958 0,0484 -0,0659 -0,2358 -0,4344 -0,6269 -0,7744 -0,8422 -0,8090 -0,6764 -0,4694 -0,2284 0,0004 0,1736 0,2603 0,2531 0,1629 -0,0027 -0,2519 -0,5974 -1,0311 -1,5078 -1,9527 -2,2862 -2,4476 -2,4131 -2,2050 -1,8813 -1,5120 -1,1567 -0,8547 -0,6222 -0,4514 -0,3118 -0,1653 0,0085 0,1952 0,3582 0,4649 0,5026 0,4793 0,4143 0,3269 0,2321 0,1453 0,0856 0,0726 0,1180 0,2122 0,3255 0,4255 0,4920 0,5232 0,5371 0,5638 0,6326 0,7658 0,9661 1,2009 1,4058 1,5133 1,4804 1,2985 0,9896 0,6042 0,2167 -0,0918 -0,2590 -0,2615 -0,1155 0,1343 0,4307 0,7197 0,9630 1,1430 1,2596 1,3199 1,3239 1,2626 1,1316 0,9387 0,6971 0,4143 0,0919 -0,2628 -0,6265 -0,9652 -1,2467 -1,4435 -1,5344 -1,5109 -1,3813 -1,1728 -0,9235 -0,6678 -0,4280 -0,2200 -0,0594 0,0431 0,0872 0,0845 0,0556 0,0254 0,0163 0,0417 0,1032 0,1943 0,3083 0,4469 0,6210 0,8398 1,0957 1,3637 1,6196 1,8602 2,1060 2,3893 2,7353 3,1477 3,6045 4,0666 4,4966 4,8793 5,2316 5,5870 5,9728 6,3963 6,8437 7,2858 7,6868 8,0212 8,2899 8,5156 8,7227 8,9243 9,1246 9,3169 9,4797 9,5853 9,6127 9,5539 9,4149 9,2179 9,0010 8,8037 8,6484 8,5334 8,4460 8,3763 8,3195 8,2707 8,2189 8,1474 8,0406 7,8887 7,6872 7,4372 7,1466 6,8312 6,5124 6,2138 5,9559 5,7475 5,5783 5,4197 5,2406 5,0335 4,8262 4,6627 4,5691 4,5345 4,5210 4,4901 4,4242 4,3282 4,2170 4,1088 4,0227 3,9723 3,9532 3,9471 3,9390 3,9261 3,9122 3,8996 3,8853 3,8622 3,8245 3,7679 3,6917 3,6040 3,5263 3,4912 3,5289 3,6482 3,8277 4,0226 4,1840 4,2773 4,2841 4,1991 4,0341 3,8247 3,6239 3,4803 3,4099 3,3860 3,3643 3,3167 3,2428 3,1573 3,0733 2,9965 2,9239 2,8408 2,7266 2,5732 2,3972 2,2324 2,1107 2,0483 2,0401 2,0616 2,0829 2,0834 2,0514 1,9800 1,8712 1,7430 1,6256 1,5511 1,5430 1,6090 1,7359 1,8925 2,0392 2,1427 2,1845 2,1578 2,0643 1,9155 1,7346 1,5514 1,3974 1,3047 1,3023 1,4086 1,6263 1,9385 2,3057 2,6742 2,9921 3,2209 3,3431 3,3665 3,3173 3,2225 3,1005 2,9639 2,8235 2,6876 2,5663 2,4769 2,4424 2,4771 2,5744 2,7113 2,8629 3,0133 3,1568 3,2943 3,4258 3,5459 3,6445 3,7115 3,7404 3,7336 3,7051 3,6753 3,6631 3,6800 3,7279 3,8019 3,8996 4,0218 4,1599 4,2940 4,4060 4,4862 4,5305 4,5429 4,5381 4,5352 4,5522 4,6053 4,7087 4,8675 5,0673 5,2731 5,4436 5,5513 5,5923 5,5821 5,5468 5,5135 5,5016 5,5151 5,5407 5,5554 5,5448 5,5187 5,5078 5,5454 5,6536 5,8397 6,0935 6,3878 6,6824 6,9305 7,0950 7,1703 7,1852 7,1863 7,2209 7,3230 7,4956 7,7050 7,8974 8,0234 8,0504 7,9687 7,7967 7,5720 7,3286 7,0760 6,8003 6,4898 6,1583 5,8433 5,5882 5,4294 5,3912 5,4791 5,6747 5,9418 6,2396 6,5318 6,7938 7,0183 7,2089 7,3706 7,5027 7,5982 7,6475 7,6452 7,5940 7,5049 7,3928 7,2652 7,1166 6,9397 6,7409 6,5413 6,3633 6,2166 6,0961 5,9906 5,8934 5,8047 5,7274 5,6655 5,6275 5,6268 5,6751 5,7742 5,9140 6,0761 6,2352 6,3610 6,4274 6,4212 6,3417 6,1991 6,0181 5,8339 5,6742 5,5484 5,4574 5,4005 5,3635 5,3191 5,2527 5,1825 5,1445 5,1597 5,2223 5,3128 5,4115 5,5020 5,5707 5,6091 5,6137 5,5874 5,5464 5,5202 5,5413 5,6335 5,8054 6,0426 6,3081 6,5550 6,7464 6,8671 6,9268 6,9511 6,9649 6,9823 7,0069 7,0376 7,0727 7,1091 7,1357 7,1391 7,1151 7,0766 7,0501 7,0644 7,1347 7,2553 7,4061 7,5614 7,6955 7,7861 7,8197 7,7963 7,7320 7,6532 7,5814 7,5185 7,4496 7,3582 7,2388 7,1030 6,9789 6,9006 6,8880 6,9328 7,0081 7,0867 7,1501 7,1896 7,1998 7,1741 7,1112 7,0265 6,9479 6,8937 6,8570 6,8134 6,7414 6,6330 6,4885 6,3126 6,1159 5,9139 5,7247 5,5656 5,4463 5,3619 5,2954 5,2320 5,1714 5,1268 5,1127 5,1333 5,1829 5,2504 5,3170 5,3560 5,3448 5,2755 5,1535 4,9917 4,8067 4,6130 4,4222 4,2521 4,1302 4,0808 4,1173 4,2445 4,4557 4,7249 5,0125 5,2857 5,5280 5,7299 5,8850 6,0018 6,1067 6,2287 6,3892 6,6008 6,8652 7,1661 7,4648 7,7102 7,8662 7,9311 7,9268 7,8738 7,7838 7,6699 7,5507 7,4407 7,3463 7,2664 7,1867 7,0789 6,9195 6,7076 6,4642 6,2192 5,9972 5,8106 5,6598 5,5447 5,4715 5,4462 5,4629 5,5090 5,5756 5,6533 5,7249 5,7705 5,7789 5,7479 5,6775 5,5670 5,4178 5,2322 5,0092 4,7470 4,4627 4,2063 4,0433 4,0124 4,0956 4,2292 4,3442 4,3992 4,3811 4,2951 4,1586 3,9971 3,8369 3,6988 3,5981 3,5445 3,5398 3,5833 3,6819 3,8448 4,0686 4,3309 4,5929
F3    1,2496 0,9632 0,6615 0,3756 0,1253 -0,0871 -0,2734 -0,4452 -0,6039 -0,7441 -0,8600 -0,9422 -0,9760 -0,9434 -0,8300 -0,6374 -0,3890 -0,1175 0,1502 0,3951 0,6014 0,7541 0,8397 0,8499 0,7877 0,6751 0,5502 0,4492 0,3898 0,3709 0,3867 0,4300 0,4793 0,4925 0,4268 0,2662 0,0317 -0,2376 -0,5037 -0,7321 -0,8879 -0,9404 -0,8750 -0,7022 -0,4554 -0,1820 0,0615 0,2174 0,2453 0,1395 -0,0762 -0,3742 -0,7417 -1,1771 -1,6699 -2,1825 -2,6450 -2,9723 -3,0949 -2,9918 -2,7013 -2,3035 -1,8867 -1,5215 -1,2491 -1,0757 -0,9698 -0,8729 -0,7321 -0,5353 -0,3174 -0,1361 -0,0374 -0,0372 -0,1179 -0,2378 -0,3529 -0,4333 -0,4652 -0,4446 -0,3721 -0,2511 -0,0960 0,0627 0,1906 0,2647 0,2838 0,2712 0,2613 0,2842 0,3598 0,4891 0,6386 0,7440 0,7439 0,6163 0,3829 0,0855 -0,2290 -0,5055 -0,6829 -0,7148 -0,5905 -0,3375 -0,0093 0,3309 0,6279 0,8481 0,9848 1,0539 1,0796 1,0757 1,0417 0,9759 0,8814 0,7589 0,5977 0,3782 0,0903 -0,2473 -0,5877 -0,8752 -1,0641 -1,1327 -1,0875 -0,9581 -0,7903 -0,6318 -0,5071 -0,4112 -0,3324 -0,2707 -0,2341 -0,2270 -0,2452 -0,2764 -0,3057 -0,3189 -0,3065 -0,2670 -0,2046 -0,1203 -0,0040 0,1640 0,3978 0,6878 1,0021 1,3093 1,5995 1,8892 2,2084 2,5788 2,9924 3,4086 3,7791 4,0791 4,3184 4,5312 4,7575 5,0246 5,3380 5,6831 6,0335 6,3607 6,6488 6,9091 7,1752 7,4776 7,8260 8,2119 8,6125 8,9886 9,2908 9,4747 9,5151 9,4142 9,2059 8,9483 8,6981 8,4866 8,3180 8,1858 8,0864 8,0185 7,9750 7,9336 7,8591 7,7201 7,5087 7,2436 6,9515 6,6498 6,3482 6,0565 5,7879 5,5562 5,3670 5,2075 5,0443 4,8395 4,5808 4,2996 4,0506 3,8698 3,7524 3,6630 3,5634 3,4360 3,2876 3,1373 3,0061 2,9104 2,8574 2,8428 2,8570 2,8900 2,9298 2,9610 2,9650 2,9210 2,8162 2,6568 2,4646 2,2660 2,0869 1,9525 1,8871 1,9094 2,0230 2,2078 2,4233 2,6256 2,7796 2,8583 2,8431 2,7407 2,5926 2,4570 2,3753 2,3493 2,3492 2,3407 2,3062 2,2488 2,1864 2,1420 2,1329 2,1592 2,1989 2,2212 2,2094 2,1703 2,1245 2,0923 2,0855 2,1036 2,1309 2,1451 2,1301 2,0786 1,9889 1,8670 1,7288 1,5984 1,5044 1,4702 1,5036 1,5961 1,7321 1,8933 2,0562 2,1935 2,2790 2,2963 2,2461 2,1477 2,0318 1,9323 1,8808 1,9000 2,0007 2,1862 2,4520 2,7764 3,1159 3,4166 3,6354 3,7600 3,8111 3,8208 3,8074 3,7683 3,6924 3,5734 3,4137 3,2280 3,0472 2,9129 2,8546 2,8703 2,9301 3,0031 3,0794 3,1696 3,2880 3,4337 3,5872 3,7275 3,8515 3,9678 4,0753 4,1623 4,2216 4,2601 4,2946 4,3385 4,3952 4,4638 4,5439 4,6273 4,6969 4,7422 4,7669 4,7847 4,8131 4,8654 4,9413 5,0334 5,1474 5,3042 5,5136 5,7513 5,9646 6,0999 6,1298 6,0633 5,9364 5,7957 5,6839 5,6291 5,6361 5,6825 5,7296 5,7527 5,7620 5,7919 5,8692 5,9996 6,1827 6,4236 6,7233 7,0593 7,3788 7,6217 7,7562 7,7897 7,7572 7,7090 7,6998 7,7630 7,8907 8,0397 8,1591 8,2099 8,1737 8,0552 7,8734 7,6426 7,3614 7,0243 6,6429 6,2510 5,8904 5,5999 5,4128 5,3541 5,4320 5,6275 5,9003 6,2063 6,5086 6,7840 7,0253 7,2367 7,4248 7,5927 7,7382 7,8559 7,9384 7,9770 7,9615 7,8794 7,7183 7,4797 7,1936 6,9129 6,6905 6,5537 6,4897 6,4540 6,3975 6,2942 6,1492 5,9887 5,8454 5,7484 5,7191 5,7679 5,8928 6,0805 6,3084 6,5380 6,7119 6,7726 6,6990 6,5198 6,2892 6,0561 5,8561 5,7071 5,6059 5,5445 5,5232 5,5349 5,5578 5,5796 5,6158 5,6912 5,8090 5,9486 6,0877 6,2145 6,3195 6,3882 6,4044 6,3609 6,2681 6,1565 6,0648 6,0281 6,0717 6,2042 6,4138 6,6709 6,9381 7,1815 7,3812 7,5368 7,6619 7,7708 7,8662 7,9332 7,9476 7,8972 7,7923 7,6569 7,5164 7,3920 7,2989 7,2515 7,2631 7,3359 7,4573 7,6060 7,7622 7,9116 8,0432 8,1439 8,2000 8,2058 8,1646 8,0840 7,9771 7,8598 7,7405 7,6189 7,4985 7,4008 7,3618 7,4043 7,5128 7,6448 7,7634 7,8529 7,9130 7,9462 7,9518 7,9303 7,8918 7,8527 7,8133 7,7484 7,6318 7,4612 7,2523 7,0216 6,7827 6,5516 6,3443 6,1708 6,0340 5,9289 5,8419 5,7571 5,6667 5,5744 5,4926 5,4351 5,4061 5,3921 5,3624 5,2818 5,1342 4,9380 4,7323 4,5459 4,3851 4,2448 4,1139 3,9818 3,8533 3,7518 3,7018 3,7132 3,7838 3,9086 4,0858 4,3124 4,5792 4,8665 5,1430 5,3769 5,5624 5,7303 5,9278 6,1921 6,5386 6,9585 7,4193 7,8705 8,2529 8,5200 8,6556 8,6674 8,5711 8,3895 8,1570 7,9094 7,6758 7,4804 7,3332 7,2127 7,0759 6,8935 6,6679 6,4274 6,2099 6,0437 5,9344 5,8704 5,8417 5,8474 5,8841 5,9342 5,9743 5,9935 5,9997 6,0085 6,0307 6,0675 6,1097 6,1376 6,1270 6,0623 5,9422 5,7691 5,5398 5,2615 4,9783 4,7629 4,6665 4,6714 4,7021 4,6856 4,6008 4,4788 4,3684 4,3037 4,2949 4,3350 4,4075 4,4950 4,5880 4,6895 4,8134 4,9795 5,2003 5,4654 5,7403 5,9779
F7    1,1672 0,8901 0,6163 0,3657 0,1601 0,0192 -0,0517 -0,0714 -0,0752 -0,0912 -0,1220 -0,1493 -0,1524 -0,1183 -0,0437 0,0595 0,1677 0,2639 0,3451 0,4141 0,4751 0,5327 0,5866 0,6252 0,6296 0,5880 0,5079 0,4153 0,3374 0,2906 0,2821 0,3131 0,3705 0,4212 0,4176 0,3157 0,0996 -0,2085 -0,5621 -0,9076 -1,1940 -1,3819 -1,4512 -1,4011 -1,2439 -1,0011 -0,7102 -0,4276 -0,2124 -0,1006 -0,0987 -0,2013 -0,4066 -0,7150 -1,1156 -1,5708 -2,0148 -2,3719 -2,5831 -2,6261 -2,5218 -2,3198 -2,0732 -1,8189 -1,5732 -1,3390 -1,1148 -0,8948 -0,6689 -0,4374 -0,2242 -0,0648 0,0174 0,0228 -0,0309 -0,1172 -0,2106 -0,2928 -0,3505 -0,3697 -0,3367 -0,2462 -0,1103 0,0409 0,1699 0,2441 0,2511 0,2077 0,1510 0,1185 0,1357 0,2062 0,3082 0,4027 0,4494 0,4179 0,2942 0,0876 -0,1669 -0,4143 -0,5939 -0,6570 -0,5799 -0,3687 -0,0602 0,2880 0,6190 0,8940 1,0931 1,2088 1,2385 1,1743 1,0055 0,7322 0,3723 -0,0439 -0,4860 -0,9314 -1,3602 -1,7453 -2,0598 -2,2902 -2,4355 -2,4951 -2,4627 -2,3299 -2,0968 -1,7830 -1,4276 -1,0763 -0,7689 -0,5326 -0,3788 -0,3029 -0,2908 -0,3219 -0,3670 -0,3913 -0,3663 -0,2830 -0,1535 0,0024 0,1728 0,3594 0,5662 0,7827 0,9844 1,1529 1,2925 1,4287 1,5974 1,8328 2,1580 2,5718 3,0395 3,5034 3,9156 4,2659 4,5775 4,8829 5,1989 5,5166 5,8057 6,0306 6,1698 6,2307 6,2474 6,2630 6,3141 6,4243 6,5942 6,7920 6,9633 7,0572 7,0452 6,9270 6,7304 6,5062 6,3074 6,1632 6,0687 5,9976 5,9260 5,8486 5,7767 5,7227 5,6891 5,6606 5,6041 5,4816 5,2702 4,9705 4,6001 4,1888 3,7757 3,4013 3,0945 2,8614 2,6841 2,5316 2,3823 2,2417 2,1350 2,0801 2,0667 2,0617 2,0295 1,9486 1,8135 1,6298 1,4172 1,2131 1,0584 0,9707 0,9380 0,9439 0,9862 1,0686 1,1819 1,2979 1,3828 1,4164 1,4009 1,3542 1,2995 1,2611 1,2613 1,3154 1,4213 1,5565 1,6881 1,7900 1,8520 1,8711 1,8410 1,7614 1,6528 1,5586 1,5278 1,5806 1,6871 1,7908 1,8528 1,8707 1,8600 1,8352 1,8046 1,7672 1,7078 1,6050 1,4544 1,2815 1,1279 1,0276 0,9965 1,0306 1,1062 1,1891 1,2463 1,2503 1,1788 1,0221 0,7928 0,5290 0,2903 0,1481 0,1638 0,3563 0,6802 1,0433 1,3540 1,5544 1,6223 1,5672 1,4268 1,2524 1,0914 0,9772 0,9293 0,9569 1,0641 1,2510 1,5078 1,8094 2,1236 2,4209 2,6712 2,8415 2,9132 2,8958 2,8153 2,6946 2,5503 2,3991 2,2585 2,1475 2,0902 2,1112 2,2187 2,3903 2,5798 2,7375 2,8345 2,8727 2,8761 2,8721 2,8814 2,9152 2,9712 3,0337 3,0866 3,1268 3,1611 3,1949 3,2310 3,2758 3,3414 3,4407 3,5793 3,7460 3,9153 4,0599 4,1601 4,2107 4,2257 4,2337 4,2611 4,3188 4,4034 4,5135 4,6611 4,8583 5,0955 5,3391 5,5475 5,6871 5,7411 5,7121 5,6186 5,4885 5,3499 5,2205 5,1069 5,0155 4,9620 4,9688 5,0553 5,2292 5,4780 5,7660 6,0465 6,2806 6,4420 6,5199 6,5300 6,5116 6,5105 6,5612 6,6767 6,8458 7,0393 7,2216 7,3557 7,4059 7,3523 7,2084 7,0158 6,8145 6,6149 6,3952 6,1308 5,8274 5,5220 5,2607 5,0819 5,0141 5,0701 5,2389 5,4891 5,7785 6,0616 6,3018 6,4851 6,6172 6,7089 6,7646 6,7790 6,7415 6,6481 6,5122 6,3682 6,2560 6,1935 6,1612 6,1247 6,0697 6,0079 5,9560 5,9185 5,8883 5,8535 5,8039 5,7349 5,6492 5,5564 5,4712 5,4103 5,3852 5,3956 5,4285 5,4645 5,4893 5,4988 5,4936 5,4670 5,4039 5,3017 5,1833 5,0792 5,0041 4,9550 4,9286 4,9246 4,9334 4,9350 4,9203 4,9082 4,9326 5,0127 5,1363 5,2697 5,3795 5,4484 5,4815 5,5029 5,5386 5,6018 5,6994 5,8396 6,0243 6,2427 6,4780 6,7122 6,9216 7,0791 7,1657 7,1801 7,1385 7,0665 6,9871 6,9130 6,8499 6,8042 6,7829 6,7845 6,7887 6,7667 6,7024 6,6039 6,5006 6,4304 6,4167 6,4511 6,4968 6,5144 6,4864 6,4210 6,3353 6,2405 6,1458 6,0681 6,0271 6,0282 6,0588 6,1013 6,1427 6,1782 6,2165 6,2793 6,3879 6,5431 6,7241 6,9054 7,0706 7,2102 7,3126 7,3558 7,3168 7,1906 6,9994 6,7789 6,5551 6,3310 6,0998 5,8625 5,6265 5,3987 5,1871 5,0024 4,8521 4,7362 4,6428 4,5502 4,4405 4,3116 4,1773 4,0595 3,9777 3,9424 3,9569 4,0221 4,1346 4,2760 4,4107 4,4971 4,5013 4,4044 4,2048 3,9161 3,5692 3,2180 2,9276 2,7496 2,7080 2,8048 3,0222 3,3158 3,6286 3,9235 4,1978 4,4695 4,7617 5,0945 5,4725 5,8794 6,2937 6,7050 7,1110 7,5018 7,8488 8,1091 8,2511 8,2780 8,2197 8,1031 7,9390 7,7395 7,5339 7,3535 7,2091 7,0904 6,9733 6,8292 6,6444 6,4325 6,2243 6,0475 5,9146 5,8203 5,7464 5,6750 5,6011 5,5354 5,4962 5,5019 5,5615 5,6616 5,7681 5,8463 5,8736 5,8363 5,7257 5,5432 5,3032 5,0286 4,7358 4,4290 4,1169 3,8366 3,6502 3,6078 3,7106 3,9066 4,1261 4,3151 4,4399 4,4811 4,4382 4,3297 4,1837 4,0290 3,8913 3,7881 3,7227 3,6927 3,7059 3,7824 3,9399 4,1796 4,4762
