Fp1   -1,2075 -1,5404 -1,7715 -1,9084 -1,9848 -2,0403 -2,1012 -2,1733 -2,2480 -2,3137 -2,3594 -2,3686 -2,3212 -2,2039 -2,0207 -1,7947 -1,5611 -1,3566 -1,2074 -1,1131 -1,0435 -0,9528 -0,7952 -0,5385 -0,1814 0,2397 0,6670 1,0500 1,3628 1,6049 1,7998 1,9887 2,2076 2,4633 2,7276 2,9554 3,1084 3,1613 3,0983 2,9160 2,6346 2,2984 1,9528 1,6161 1,2726 0,8905 0,4533 -0,0174 -0,4736 -0,8707 -1,1830 -1,3988 -1,5149 -1,5394 -1,4995 -1,4365 -1,3782 -1,3146 -1,2069 -1,0153 -0,7143 -0,2940 0,2429 0,8824 1,5968 2,3439 3,0712 3,7287 4,2808 4,7029 4,9728 5,0735 5,0046 4,7828 4,4315 3,9717 3,4289 2,8424 2,2583 1,7173 1,2511 0,8843 0,6260 0,4608 0,3534 0,2611 0,1465 -0,0109 -0,2091 -0,4313 -0,6631 -0,8998 -1,1340 -1,3432 -1,4978 -1,5788 -1,5880 -1,5401 -1,4473 -1,3198 -1,1767 -1,0520 -0,9869 -1,0144 -1,1432 -1,3552 -1,6205 -1,9165 -2,2393 -2,5979 -2,9966 -3,4239 -3,8577 -4,2747 -4,6567 -4,9905 -5,2642 -5,4680 -5,5980 -5,6591 -5,6588 -5,6005 -5,4862 -5,3246 -5,1335 -4,9324 -4,7332 -4,5330 -4,3174 -4,0680 -3,7587 -3,3575 -2,8450 -2,2328 -1,5542 -0,8405 -0,1172 0,5847 1,2336 1,8132 2,3259 2,7823 3,1927 3,5636 3,8959 4,1871 4,4374 4,6529 4,8469 5,0358 5,2365 5,4650 5,7331 6,0377 6,3557 6,6515 6,8901 7,0427 7,0890 7,0237 6,8606 6,6301 6,3735 6,1312 5,9310 5,7847 5,6902 5,6324 5,5886 5,5343 5,4444 5,2979 5,0865 4,8143 4,4902 4,1262 3,7466 3,3871 3,0770 2,8218 2,6057 2,4144 2,2554 2,1531 2,1217 2,1476 2,1985 2,2399 2,2422 2,1845 2,0645 1,9045 1,7423 1,6154 1,5445 1,5278 1,5460 1,5688 1,5583 1,4832 1,3334 1,1218 0,8714 0,6093 0,3696 0,1917 0,1078 0,1311 0,2543 0,4537 0,6979 0,9604 1,2308 1,5109 1,7973 2,0678 2,2839 2,4056 2,4083 2,2927 2,0886 1,8444 1,5994 1,3637 1,1224 0,8608 0,5865 0,3309 0,1312 0,0095 -0,0443 -0,0760 -0,1485 -0,3047 -0,5443 -0,8273 -1,0987 -1,3181 -1,4733 -1,5743 -1,6368 -1,6682 -1,6642 -1,6148 -1,5162 -1,3776 -1,2173 -1,0521 -0,8918 -0,7359 -0,5711 -0,3803 -0,1581 0,0822 0,3136 0,5111 0,6709 0,8124 0,9612 1,1302 1,3093 1,4722 1,5945 1,6650 1,6839 1,6530 1,5715 1,4366 1,2484 1,0219 0,7998 0,6453 0,6086 0,6978 0,8759 1,0837 1,2653 1,3864 1,4396 1,4342 1,3779 1,2773 1,1554 1,0569 1,0279 1,0912 1,2394 1,4424 1,6627 1,8716 2,0521 2,1874 2,2606 2,2605 2,1754 1,9894 1,6977 1,3306 0,9539 0,6372 0,4130 0,2671 0,1643 0,0770 -0,0056 -0,0809 -0,1352 -0,1454 -0,0831 0,0734 0,3287 0,6719 1,0811 1,5176 1,9259 2,2514 2,4642 2,5723 2,6108 2,6131 2,5944 2,5615 2,5284 2,5151 2,5400 2,6131 2,7363 2,9067 3,1199 3,3745 3,6748 4,0195 4,3892 4,7453 5,0428 5,2513 5,3727 5,4385 5,4852 5,5298 5,5697 5,5994 5,6206 5,6435 5,6853 5,7578 5,8492 5,9254 5,9550 5,9380 5,9129 5,9320 6,0209 6,1602 6,3023 6,4018 6,4392 6,4265 6,3918 6,3607 6,3495 6,3698 6,4314 6,5425 6,7077 6,9233 7,1732 7,4363 7,6981 7,9499 8,1765 8,3497 8,4344 8,4082 8,2776 8,0724 7,8229 7,5525 7,2920 7,0818 6,9553 6,9239 6,9754 7,0842 7,2246 7,3748 7,5133 7,6131 7,6428 7,5767 7,4041 7,1337 6,7889 6,3966 5,9799 5,5555 5,1308 4,7095 4,3074 3,9649 3,7353 3,6554 3,7229 3,8938 4,0963 4,2582 4,3342 4,3134 4,2083 4,0451 3,8605 3,6998 3,6060 3,6033 3,6906 3,8545 4,0800 4,3450 4,6174 4,8637 5,0578 5,1829 5,2356 5,2324 5,2054 5,1878 5,1998 5,2460 5,3207 5,4128 5,5082 5,5977 5,6840 5,7784 5,8873 6,0022 6,1033 6,1697 6,1841 6,1329 6,0035 5,7852 5,4768 5,0999 4,7058 4,3640 4,1330 4,0322 4,0367 4,0918 4,1413 4,1580 4,1506 4,1393 4,1267 4,0947 4,0286 3,9359 3,8410 3,7661 3,7232 3,7213 3,7747 3,8993 4,0985 4,3574 4,6490 4,9442 5,2157 5,4408 5,5960 5,6511 5,5734 5,3428 4,9647 4,4716 3,9109 3,3232 2,7289 2,1347 1,5485 0,9849 0,4576 -0,0312 -0,4926 -0,9433 -1,3979 -1,8580 -2,3013 -2,6827 -2,9532 -3,0848 -3,0818 -2,9774 -2,8272 -2,6972 -2,6426 -2,6897 -2,8227 -2,9806 -3,0787 -3,0454 -2,8408 -2,4557 -1,9091 -1,2495 -0,5450 0,1420 0,7816 1,3829 1,9684 2,5402 3,0697 3,5141 3,8361 4,0096 4,0215 3,8827 3,6281 3,3065 2,9775 2,7063 2,5435 2,5100 2,5973 2,7713 2,9810 3,1759 3,3270 3,4350 3,5247 3,6304 3,7775 3,9651 4,1614 4,3193 4,4011 4,3978 4,3277 4,2205 4,1045 4,0018 3,9215 3,8586 3,7962 3,7080 3,5674 3,3591 3,0896 2,7876 2,4913 2,2305 2,0141 1,8333 1,6751 1,5327 1,4004 1,2627 1,0972 0,8926 0,6596 0,4267 0,2214 0,0534 -0,0895 -0,2327 -0,4050 -0,6347 -0,9429 -1,3324 -1,7834 -2,2570 -2,7080 -3,0979 -3,3982 -3,5930 -3,6840 -3,6894 -3,6311 -3,5236 -3,3735 -3,1863 -2,9727 -2,7432 -2,4969 -2,2224 -1,9098 -1,5601 -1,1897 -0,8303 -0,5209 -0,2919 -0,1549 -0,1075 -0,1439 -0,2572 -0,4408 -0,6915 -1,0066 -1,3773
Fz    0,1848 -0,3266 -0,8810 -1,4595 -2,0346 -2,5769 -3,0614 -3,4696 -3,7899 -4,0120 -4,1186 -4,0814 -3,8730 -3,4899 -2,9645 -2,3540 -1,7194 -1,1088 -0,5529 -0,0658 0,3477 0,6875 0,9627 1,1949 1,4081 1,6162 1,8235 2,0358 2,2665 2,5270 2,8168 3,1195 3,4047 3,6311 3,7527 3,7334 3,5619 3,2537 2,8411 2,3607 1,8474 1,3315 0,8337 0,3640 -0,0746 -0,4844 -0,8692 -1,2247 -1,5351 -1,7792 -1,9423 -2,0249 -2,0424 -2,0188 -1,9800 -1,9428 -1,8991 -1,8108 -1,6288 -1,3158 -0,8550 -0,2508 0,4735 1,2813 2,1299 2,9724 3,7594 4,4472 5,0110 5,4463 5,7556 5,9366 5,9845 5,8983 5,6838 5,3540 4,9324 4,4555 3,9689 3,5145 3,1202 2,7990 2,5522 2,3716 2,2432 2,1464 2,0512 1,9221 1,7311 1,4667 1,1285 0,7213 0,2636 -0,2055 -0,6365 -0,9866 -1,2320 -1,3710 -1,4193 -1,4034 -1,3545 -1,3021 -1,2672 -1,2555 -1,2592 -1,2707 -1,2964 -1,3611 -1,4989 -1,7373 -2,0838 -2,5245 -3,0325 -3,5765 -4,1294 -4,6729 -5,1944 -5,6810 -6,1162 -6,4779 -6,7402 -6,8790 -6,8811 -6,7445 -6,4756 -6,0888 -5,6079 -5,0600 -4,4689 -3,8536 -3,2319 -2,6213 -2,0366 -1,4866 -0,9741 -0,4977 -0,0607 0,3242 0,6477 0,9239 1,1931 1,5047 1,8982 2,3903 2,9711 3,6101 4,2704 4,9191 5,5337 6,1003 6,6061 7,0314 7,3554 7,5717 7,6970 7,7611 7,7860 7,7784 7,7388 7,6693 7,5684 7,4301 7,2528 7,0460 6,8241 6,6001 6,3822 6,1751 5,9834 5,8100 5,6521 5,5036 5,3621 5,2243 5,0734 4,8799 4,6241 4,3140 3,9798 3,6557 3,3704 3,1467 3,0030 2,9491 2,9798 3,0773 3,2225 3,4011 3,5979 3,7926 3,9638 4,0948 4,1738 4,1869 4,1121 3,9253 3,6171 3,2024 2,7169 2,2040 1,7019 1,2372 0,8304 0,5070 0,3044 0,2672 0,4324 0,8119 1,3793 2,0702 2,7986 3,4832 4,0703 4,5413 4,9042 5,1728 5,3501 5,4278 5,3971 5,2589 5,0270 4,7241 4,3725 3,9834 3,5540 3,0730 2,5342 1,9456 1,3284 0,7074 0,1021 -0,4790 -1,0332 -1,5505 -2,0064 -2,3720 -2,6327 -2,8009 -2,9080 -2,9858 -3,0511 -3,1043 -3,1354 -3,1312 -3,0872 -3,0168 -2,9442 -2,8858 -2,8438 -2,8118 -2,7788 -2,7334 -2,6695 -2,5844 -2,4733 -2,3243 -2,1201 -1,8469 -1,5039 -1,1074 -0,6842 -0,2584 0,1545 0,5451 0,9066 1,2338 1,5260 1,7858 2,0108 2,1885 2,3059 2,3618 2,3686 2,3464 2,3168 2,2953 2,2875 2,2921 2,3052 2,3201 2,3298 2,3373 2,3648 2,4463 2,6094 2,8575 3,1635 3,4777 3,7463 3,9314 4,0136 3,9815 3,8315 3,5765 3,2408 2,8510 2,4389 2,0508 1,7447 1,5723 1,5578 1,6878 1,9159 2,1790 2,4216 2,6184 2,7818 2,9464 3,1463 3,4001 3,7048 4,0384 4,3670 4,6518 4,8568 4,9556 4,9380 4,8169 4,6239 4,3904 4,1344 3,8651 3,5934 3,3332 3,0972 2,8977 2,7530 2,6902 2,7392 2,9198 3,2320 3,6466 4,1031 4,5197 4,8145 4,9317 4,8608 4,6362 4,3163 3,9612 3,6224 3,3444 3,1603 3,0872 3,1276 3,2706 3,4893 3,7458 4,0087 4,2683 4,5399 4,8499 5,2149 5,6273 6,0569 6,4677 6,8378 7,1645 7,4560 7,7193 7,9572 8,1717 8,3660 8,5443 8,7131 8,8769 9,0351 9,1895 9,3503 9,5303 9,7325 9,9468 10,1559 10,3473 10,5232 10,6973 10,8826 11,0859 11,3092 11,5443 11,7658 11,9368 12,0218 12,0015 11,8835 11,6972 11,4766 11,2498 11,0387 10,8602 10,7158 10,5835 10,4210 10,1800 9,8251 9,3460 8,7593 8,1054 7,4459 6,8527 6,3876 6,0822 5,9284 5,8836 5,8885 5,8920 5,8669 5,8090 5,7283 5,6439 5,5799 5,5587 5,5945 5,6903 5,8399 6,0363 6,2741 6,5421 6,8178 7,0743 7,2924 7,4624 7,5810 7,6498 7,6755 7,6679 7,6361 7,5887 7,5356 7,4845 7,4363 7,3918 7,3587 7,3466 7,3536 7,3600 7,3369 7,2609 7,1220 6,9212 6,6675 6,3768 6,0734 5,7904 5,5627 5,4139 5,3439 5,3301 5,3385 5,3375 5,3111 5,2683 5,2374 5,2452 5,3013 5,3993 5,5273 5,6730 5,8214 5,9555 6,0664 6,1613 6,2609 6,3861 6,5437 6,7223 6,8990 7,0424 7,1155 7,0844 6,9284 6,6453 6,2509 5,7742 5,2428 4,6703 4,0589 3,4119 2,7379 2,0473 1,3517 0,6634 -0,0130 -0,6866 -1,3707 -2,0698 -2,7775 -3,4789 -4,1488 -4,7505 -5,2410 -5,5840 -5,7624 -5,7817 -5,6652 -5,4458 -5,1598 -4,8360 -4,4817 -4,0770 -3,5878 -2,9877 -2,2745 -1,4762 -0,6449 0,1579 0,8775 1,4777 1,9488 2,3116 2,6089 2,8867 3,1763 3,4892 3,8161 4,1287 4,3918 4,5822 4,6968 4,7473 4,7588 4,7679 4,8078 4,8937 5,0205 5,1682 5,3134 5,4424 5,5592 5,6840 5,8459 6,0734 6,3784 6,7418 7,1124 7,4238 7,6218 7,6897 7,6552 7,5746 7,5053 7,4816 7,5031 7,5441 7,5691 7,5463 7,4576 7,3041 7,1030 6,8785 6,6528 6,4365 6,2212 5,9770 5,6625 5,2422 4,6984 4,0346 3,2777 2,4753 1,6873 0,9735 0,3782 -0,0815 -0,4128 -0,6339 -0,7664 -0,8357 -0,8719 -0,9083 -0,9781 -1,1086 -1,3154 -1,6015 -1,9579 -2,3678 -2,8156 -3,2904 -3,7813 -4,2735 -4,7462 -5,1744 -5,5311 -5,7866 -5,9071 -5,8644 -5,6474 -5,2663 -4,7522 -4,1542 -3,5308 -2,9330 -2,3905 -1,9161 -1,5195 -1,2108 -0,9981 -0,8856 -0,8729 -0,9540
F3    -0,7303 -1,1905 -1,7586 -2,4027 -3,0361 -3,5543 -3,8756 -3,9690 -3,8573 -3,5963 -3,2426 -2,8324 -2,3863 -1,9282 -1,4868 -1,0795 -0,7023 -0,3370 0,0322 0,4017 0,7430 1,0189 1,2042 1,2901 1,2759 1,1742 1,0296 0,9215 0,9319 1,1101 1,4581 1,9366 2,4804 3,0131 3,4498 3,7063 3,7326 3,5391 3,1850 2,7458 2,2824 1,8216 1,3552 0,8608 0,3329 -0,2008 -0,6949 -1,1119 -1,4290 -1,6308 -1,7097 -1,6798 -1,5835 -1,4796 -1,4259 -1,4567 -1,5583 -1,6617 -1,6630 -1,4643 -1,0144 -0,3305 0,5114 1,4107 2,2783 3,0530 3,7001 4,2092 4,5921 4,8654 5,0373 5,1134 5,1040 5,0168 4,8514 4,6090 4,3039 3,9668 3,6380 3,3496 3,1078 2,8939 2,6867 2,4847 2,3086 2,1788 2,0922 2,0197 1,9112 1,7010 1,3261 0,7597 0,0401 -0,7327 -1,4346 -1,9676 -2,2924 -2,4293 -2,4350 -2,3711 -2,2853 -2,2114 -2,1722 -2,1706 -2,1824 -2,1662 -2,0975 -1,9982 -1,9302 -1,9586 -2,1250 -2,4507 -2,9442 -3,5922 -4,3498 -5,1503 -5,9320 -6,6603 -7,3185 -7,8743 -8,2590 -8,3973 -8,2556 -7,8515 -7,2284 -6,4467 -5,5916 -4,7571 -4,0127 -3,3915 -2,8999 -2,5254 -2,2364 -1,9939 -1,7782 -1,6059 -1,5163 -1,5357 -1,6451 -1,7659 -1,7820 -1,5819 -1,0957 -0,3145 0,7075 1,8693 3,0567 4,1760 5,1721 6,0234 6,7160 7,2244 7,5244 7,6181 7,5380 7,3342 7,0624 6,7770 6,5290 6,3589 6,2764 6,2551 6,2640 6,3021 6,3973 6,5721 6,8102 7,0580 7,2576 7,3757 7,4088 7,3688 7,2649 7,0925 6,8316 6,4592 5,9713 5,3942 4,7690 4,1290 3,5025 2,9295 2,4662 2,1693 2,0668 2,1446 2,3659 2,6938 3,0914 3,5194 3,9483 4,3609 4,7312 5,0071 5,1236 5,0325 4,7256 4,2368 3,6334 2,9966 2,3899 1,8376 1,3380 0,8989 0,5543 0,3547 0,3442 0,5395 0,9132 1,3921 1,8817 2,3066 2,6397 2,9040 3,1422 3,3763 3,5951 3,7700 3,8735 3,8886 3,8116 3,6544 3,4380 3,1801 2,8836 2,5364 2,1243 1,6454 1,1095 0,5340 -0,0553 -0,6297 -1,1694 -1,6642 -2,1066 -2,4909 -2,8211 -3,1106 -3,3633 -3,5640 -3,6915 -3,7371 -3,7050 -3,6034 -3,4442 -3,2479 -3,0365 -2,8155 -2,5715 -2,2894 -1,9715 -1,6428 -1,3388 -1,0882 -0,9056 -0,7892 -0,7177 -0,6536 -0,5612 -0,4213 -0,2298 0,0119 0,2964 0,6109 0,9467 1,3033 1,6755 2,0414 2,3608 2,5823 2,6693 2,6298 2,5169 2,3972 2,3227 2,3191 2,3819 2,4815 2,5794 2,6490 2,6906 2,7313 2,8098 2,9618 3,2080 3,5377 3,8985 4,2098 4,3968 4,4180 4,2730 3,9933 3,6267 3,2191 2,8000 2,3835 1,9805 1,6061 1,2791 1,0249 0,8775 0,8645 0,9788 1,1726 1,3862 1,5861 1,7765 1,9812 2,2235 2,5207 2,8803 3,2862 3,6959 4,0620 4,3573 4,5740 4,7061 4,7375 4,6472 4,4213 4,0640 3,5971 3,0522 2,4643 1,8732 1,3330 0,9204 0,7226 0,8066 1,1949 1,8581 2,7147 3,6437 4,5097 5,1950 5,6275 5,7933 5,7226 5,4665 5,0895 4,6734 4,3071 4,0539 3,9198 3,8581 3,8061 3,7222 3,5988 3,4584 3,3469 3,3243 3,4503 3,7666 4,2770 4,9367 5,6612 6,3590 6,9619 7,4321 7,7588 7,9591 8,0718 8,1400 8,1952 8,2559 8,3397 8,4719 8,6761 8,9525 9,2664 9,5660 9,8097 9,9759 10,0615 10,0846 10,0807 10,0861 10,1240 10,1989 10,2985 10,4016 10,4918 10,5651 10,6262 10,6804 10,7262 10,7528 10,7478 10,7160 10,6861 10,6874 10,7138 10,7064 10,5704 10,2159 9,6045 8,7737 7,8262 6,8913 6,0810 5,4617 5,0437 4,7837 4,6103 4,4661 4,3344 4,2294 4,1728 4,1814 4,2682 4,4371 4,6684 4,9179 5,1374 5,2984 5,4002 5,4682 5,5418 5,6496 5,7898 5,9377 6,0686 6,1741 6,2653 6,3562 6,4428 6,4999 6,4999 6,4297 6,2995 6,1474 6,0320 6,0113 6,1143 6,3181 6,5468 6,7012 6,7067 6,5475 6,2647 5,9265 5,5985 5,3299 5,1477 5,0496 5,0017 4,9521 4,8565 4,6995 4,4996 4,2967 4,1351 4,0492 4,0535 4,1421 4,3019 4,5173 4,7575 4,9710 5,1104 5,1690 5,1898 5,2378 5,3593 5,5627 5,8318 6,1481 6,4865 6,7975 7,0123 7,0708 6,9450 6,6446 6,2095 5,6852 5,0981 4,4534 3,7536 3,0062 2,2228 1,4264 0,6554 -0,0545 -0,6954 -1,2913 -1,8765 -2,4745 -3,0947 -3,7384 -4,3919 -5,0145 -5,5434 -5,9167 -6,0959 -6,0745 -5,8771 -5,5525 -5,1547 -4,7138 -4,2194 -3,6357 -2,9355 -2,1321 -1,2910 -0,5152 0,0927 0,4708 0,6169 0,5826 0,4553 0,3339 0,3002 0,4028 0,6566 1,0381 1,4851 1,9276 2,3252 2,6716 2,9746 3,2426 3,4791 3,6850 3,8702 4,0571 4,2624 4,4829 4,7017 4,9046 5,0909 5,2704 5,4518 5,6266 5,7591 5,7982 5,7112 5,5191 5,3014 5,1564 5,1496 5,2912 5,5467 5,8598 6,1728 6,4364 6,6122 6,6820 6,6506 6,5327 6,3359 6,0555 5,6809 5,2086 4,6501 4,0294 3,3700 2,6893 2,0070 1,3519 0,7521 0,2240 -0,2212 -0,5737 -0,8357 -1,0301 -1,1906 -1,3386 -1,4724 -1,5777 -1,6483 -1,6935 -1,7318 -1,7836 -1,8686 -1,9982 -2,1706 -2,3815 -2,6389 -2,9633 -3,3731 -3,8700 -4,4260 -4,9809 -5,4606 -5,8023 -5,9653 -5,9310 -5,7005 -5,2866 -4,7051 -3,9822 -3,1653 -2,3167 -1,4979 -0,7622 -0,1523 0,2996 0,5688 0,6391 0,5140
F7    -0,8907 -1,3941 -1,8686 -2,2442 -2,4748 -2,5530 -2,5039 -2,3702 -2,2072 -2,0732 -2,0028 -1,9869 -1,9892 -1,9782 -1,9360 -1,8505 -1,7182 -1,5493 -1,3575 -1,1452 -0,9096 -0,6625 -0,4317 -0,2372 -0,0666 0,1225 0,3717 0,6947 1,0724 1,4661 1,8318 2,1317 2,3423 2,4554 2,4773 2,4250 2,3239 2,2047 2,0987 2,0283 1,9932 1,9655 1,9091 1,8044 1,6527 1,4609 1,2351 0,9908 0,7587 0,5845 0,5204 0,6041 0,8331 1,1599 1,5114 1,8160 2,0242 2,1167 2,1053 2,0325 1,9623 1,9597 2,0752 2,3363 2,7417 3,2629 3,8508 4,4411 4,9647 5,3631 5,5963 5,6403 5,4860 5,1448 4,6552 4,0818 3,5023 2,9902 2,5978 2,3474 2,2358 2,2466 2,3507 2,5028 2,6477 2,7320 2,7123 2,5625 2,2799 1,8882 1,4286 0,9452 0,4741 0,0398 -0,3417 -0,6582 -0,9078 -1,1075 -1,2858 -1,4581 -1,6137 -1,7265 -1,7733 -1,7479 -1,6651 -1,5502 -1,4290 -1,3361 -1,3223 -1,4403 -1,7178 -2,1435 -2,6725 -3,2439 -3,8038 -4,3204 -4,7766 -5,1552 -5,4384 -5,6150 -5,6787 -5,6240 -5,4497 -5,1615 -4,7724 -4,3092 -3,8186 -3,3559 -2,9602 -2,6325 -2,3355 -2,0248 -1,6846 -1,3294 -0,9770 -0,6273 -0,2669 0,1150 0,5209 0,9551 1,4303 1,9629 2,5623 3,2234 3,9239 4,6292 5,2983 5,8881 6,3631 6,7129 6,9544 7,1128 7,2057 7,2500 7,2706 7,2910 7,3141 7,3214 7,2958 7,2381 7,1575 7,0580 6,9381 6,7952 6,6284 6,4407 6,2367 6,0220 5,8106 5,6265 5,4904 5,4066 5,3655 5,3518 5,3466 5,3281 5,2791 5,1969 5,0882 4,9558 4,7964 4,6102 4,4033 4,1837 3,9576 3,7335 3,5289 3,3675 3,2694 3,2447 3,2907 3,3920 3,5198 3,6292 3,6681 3,6014 3,4294 3,1827 2,9036 2,6271 2,3694 2,1312 1,9126 1,7206 1,5657 1,4580 1,4055 1,4101 1,4639 1,5527 1,6668 1,8055 1,9723 2,1691 2,3963 2,6546 2,9397 3,2320 3,4937 3,6816 3,7662 3,7428 3,6249 3,4277 3,1610 2,8363 2,4770 2,1167 1,7863 1,5027 1,2663 1,0678 0,8953 0,7404 0,5998 0,4743 0,3642 0,2605 0,1444 -0,0002 -0,1638 -0,3050 -0,3710 -0,3292 -0,1832 0,0331 0,2771 0,5218 0,7593 0,9917 1,2247 1,4695 1,7457 2,0775 2,4770 2,9234 3,3631 3,7292 3,9655 4,0396 3,9446 3,6977 3,3346 2,8997 2,4363 1,9845 1,5828 1,2619 1,0322 0,8824 0,7951 0,7622 0,7830 0,8547 0,9717 1,1269 1,3084 1,4974 1,6753 1,8370 1,9945 2,1617 2,3420 2,5359 2,7484 2,9815 3,2265 3,4678 3,6845 3,8534 3,9537 3,9688 3,8891 3,7147 3,4508 3,1072 2,7054 2,2865 1,9042 1,6095 1,4408 1,4178 1,5306 1,7336 1,9583 2,1409 2,2477 2,2856 2,2976 2,3413 2,4580 2,6545 2,9121 3,2044 3,5048 3,7908 4,0500 4,2834 4,4991 4,6991 4,8710 4,9942 5,0532 5,0431 4,9640 4,8206 4,6344 4,4564 4,3590 4,4146 4,6673 5,1078 5,6657 6,2368 6,7299 7,0979 7,3377 7,4727 7,5329 7,5401 7,5022 7,4205 7,3046 7,1820 7,0898 7,0508 7,0557 7,0733 7,0756 7,0523 7,0150 6,9969 7,0420 7,1807 7,4128 7,7110 8,0398 8,3712 8,6853 8,9618 9,1777 9,3158 9,3727 9,3534 9,2606 9,0951 8,8682 8,6092 8,3557 8,1370 7,9678 7,8523 7,7914 7,7842 7,8258 7,9030 7,9928 8,0662 8,0972 8,0714 7,9874 7,8563 7,7013 7,5553 7,4543 7,4238 7,4608 7,5311 7,5958 7,6395 7,6668 7,6725 7,6232 7,4718 7,1943 6,8115 6,3802 5,9699 5,6405 5,4204 5,2990 5,2428 5,2165 5,1917 5,1455 5,0633 4,9436 4,7952 4,6308 4,4648 4,3145 4,1923 4,0989 4,0248 3,9612 3,9058 3,8623 3,8377 3,8426 3,8966 4,0322 4,2841 4,6623 5,1372 5,6528 6,1543 6,6038 6,9859 7,3083 7,5960 7,8786 8,1767 8,4948 8,8221 9,1337 9,3910 9,5466 9,5562 9,3917 9,0511 8,5634 7,9874 7,4005 6,8768 6,4678 6,1924 6,0329 5,9404 5,8589 5,7544 5,6256 5,4924 5,3751 5,2795 5,1971 5,1163 5,0331 4,9513 4,8764 4,8127 4,7712 4,7759 4,8522 5,0082 5,2303 5,4975 5,7948 6,1097 6,4214 6,6978 6,9040 7,0208 7,0553 7,0277 6,9470 6,8046 6,5896 6,3032 5,9550 5,5571 5,1247 4,6802 4,2455 3,8251 3,3928 2,8959 2,2798 1,5241 0,6614 -0,2376 -1,0955 -1,8515 -2,4706 -2,9375 -3,2489 -3,4132 -3,4534 -3,3980 -3,2667 -3,0616 -2,7730 -2,3923 -1,9245 -1,3961 -0,8552 -0,3587 0,0473 0,3482 0,5662 0,7427 0,9161 1,1118 1,3444 1,6204 1,9350 2,2660 2,5809 2,8553 3,0859 3,2842 3,4643 3,6374 3,8166 4,0199 4,2623 4,5445 4,8473 5,1354 5,3651 5,4994 5,5246 5,4550 5,3163 5,1204 4,8604 4,5296 4,1468 3,7658 3,4609 3,3004 3,3261 3,5407 3,9015 4,3324 4,7474 5,0740 5,2697 5,3286 5,2737 5,1368 4,9363 4,6651 4,2993 3,8184 3,2244 2,5530 1,8746 1,2784 0,8397 0,5833 0,4740 0,4433 0,4279 0,3922 0,3278 0,2462 0,1715 0,1249 0,1082 0,1020 0,0785 0,0128 -0,1091 -0,2819 -0,4803 -0,6687 -0,8180 -0,9185 -0,9852 -1,0513 -1,1458 -1,2681 -1,3850 -1,4516 -1,4357 -1,3261 -1,1235 -0,8300 -0,4583 -0,0440 0,3651 0,7329 1,0445 1,2945 1,4723 1,5573 1,5261 1,3668 1,0902 0,7256
