Fp1   -1,4936 -1,4737 -1,1638 -0,6636 -0,0994 0,4213 0,8262 1,0879 1,2154 1,2225 1,1099 0,8796 0,5464 0,1261 -0,3704 -0,9189 -1,4632 -1,9231 -2,2183 -2,2923 -2,1243 -1,7283 -1,1550 -0,4921 0,1522 0,6844 1,0602 1,3022 1,4833 1,6726 1,8863 2,0864 2,2140 2,2160 2,0481 1,6731 1,0828 0,3303 -0,4651 -1,1611 -1,6493 -1,8771 -1,8380 -1,5654 -1,1257 -0,5942 -0,0368 0,4850 0,9066 1,1739 1,2675 1,2071 1,0268 0,7489 0,3871 -0,0243 -0,4152 -0,7005 -0,8219 -0,7701 -0,5751 -0,2875 0,0381 0,3642 0,6791 0,9844 1,2783 1,5460 1,7514 1,8436 1,7839 1,5725 1,2545 0,9062 0,6061 0,4028 0,2938 0,2396 0,2077 0,2051 0,2721 0,4502 0,7547 1,1582 1,5885 1,9591 2,2192 2,3757 2,4755 2,5646 2,6512 2,7062 2,6964 2,6086 2,4436 2,2074 1,9163 1,6074 1,3343 1,1366 1,0105 0,9140 0,7996 0,6425 0,4439 0,2097 -0,0685 -0,4039 -0,7900 -1,1867 -1,5361 -1,8039 -2,0157 -2,2414 -2,5410 -2,9242 -3,3548 -3,7886 -4,2135 -4,6482 -5,0997 -5,5263 -5,8329 -5,8987 -5,6307 -5,0151 -4,1252 -3,0709 -1,9411 -0,7931 0,3215 1,3421 2,2092 2,8864 3,3836 3,7629 4,1105 4,4907 4,9189 5,3658 5,7754 6,0906 6,2853 6,3873 6,4786 6,6646 7,0268 7,5871 8,2987 9,0583 9,7336 10,2073 10,4192 10,3775 10,1376 9,7664 9,3064 8,7639 8,1361 7,4569 6,8194 6,3449 6,1251 6,1845 6,4707 6,8652 7,2216 7,4235 7,4196 7,2217 6,8879 6,5032 6,1486 5,8669 5,6612 5,5155 5,4033 5,2871 5,1248 4,8856 4,5656 4,1894 3,7912 3,3970 3,0240 2,6766 2,3246 1,9117 1,4108 0,8640 0,3631 -0,0071 -0,2123 -0,2738 -0,2456 -0,1939 -0,1843 -0,2698 -0,4849 -0,8378 -1,2965 -1,7859 -2,2116 -2,4927 -2,5843 -2,4849 -2,2312 -1,8858 -1,5234 -1,2085 -0,9708 -0,8021 -0,6760 -0,5695 -0,4779 -0,4197 -0,4301 -0,5449 -0,7768 -1,0929 -1,4042 -1,5791 -1,4804 -1,0146 -0,1893 0,8499 1,8560 2,5940 2,9471 2,9418 2,6943 2,3414 2,0028 1,7667 1,6728 1,6992 1,7799 1,8510 1,8901 1,9146 1,9473 1,9861 2,0029 1,9601 1,8235 1,5719 1,2176 0,8220 0,4798 0,2805 0,2729 0,4448 0,7287 1,0406 1,3262 1,5746 1,7995 2,0159 2,2281 2,4277 2,5982 2,7145 2,7366 2,6137 2,3090 1,8274 1,2373 0,6702 0,2805 0,1801 0,4014 0,9029 1,5936 2,3645 3,1257 3,8286 4,4610 5,0293 5,5421 5,9978 6,3780 6,6478 6,7655 6,7110 6,5139 6,2358 5,9191 5,5668 5,1650 4,7135 4,2397 3,7955 3,4350 3,1863 3,0438 2,9816 2,9754 3,0205 3,1373 3,3535 3,6813 4,1145 4,6372 5,2242 5,8348 6,4085 6,8657 7,1241 7,1278 6,8670 6,3822 5,7514 5,0583 4,3685 3,7421 3,2568 2,9969 3,0067 3,2488 3,6148 3,9885 4,3086 4,5803 4,8327 5,0657 5,2316 5,2626 5,1173 4,8041 4,3729 3,8973 3,4590 3,1297 2,9502 2,9226 3,0204 3,2001 3,4030 3,5528 3,5679 3,3966 3,0559 2,6358 2,2672 2,0787 2,1564 2,5125 3,0844 3,7631 4,4305 4,9927 5,4010 5,6526 5,7768 5,8132 5,7856 5,6970 5,5639 5,4403 5,3894 5,4324 5,5331 5,6301 5,6757 5,6450 5,5360 5,3883 5,2879 5,3221 5,5225 5,8532 6,2439 6,6282 6,9600 7,2089 7,3526 7,3821 7,3070 7,1468 6,9169 6,6281 6,2901 5,9093 5,4975 5,0959 4,7837 4,6469 4,7326 5,0290 5,4816 6,0202 6,5753 7,0763 7,4469 7,6148 7,5321 7,2002 6,6874 6,1086 5,5766 5,1711 4,9363 4,8845 4,9899 5,1818 5,3621 5,4518 5,4288 5,3273 5,2113 5,1483 5,1822 5,3103 5,4835 5,6371 5,7252 5,7356 5,6762 5,5579 5,3978 5,2302 5,0900 4,9845 4,8929 4,7935 4,6860 4,5877 4,5152 4,4811 4,5009 4,5800 4,6930 4,7934 4,8440 4,8281 4,7480 4,6261 4,5071 4,4516 4,5148 4,7151 5,0213 5,3748 5,7261 6,0528 6,3433 6,5642 6,6580 6,5844 6,3544 6,0234 5,6658 5,3478 5,1034 4,9282 4,8068 4,7457 4,7712 4,9050 5,1447 5,4593 5,7929 6,0789 6,2654 6,3329 6,2943 6,1868 6,0673 6,0015 6,0306 6,1362 6,2446 6,2742 6,1862 5,9893 5,6963 5,2990 4,7977 4,2279 3,6393 3,0727 2,5645 2,1508 1,8510 1,6497 1,4976 1,3320 1,1018 0,7865 0,4064 0,0190 -0,3067 -0,5222 -0,6159 -0,6110 -0,5531 -0,4808 -0,3914 -0,2342 0,0658 0,5825 1,3680 2,4297 3,7154 5,1153 6,4805 7,6622 8,5665 9,1914 9,6111 9,9182 10,1720 10,3950 10,5947 10,7695 10,9047 10,9813 10,9856 10,9102 10,7619 10,5857 10,4692 10,5035 10,7244 11,0831 11,4650 11,7394 11,8181 11,6984 11,4607 11,2148 11,0320 10,9039 10,7498 10,4652 9,9788 9,2862 8,4462 7,5532 6,7037 5,9712 5,4011 5,0212 4,8405 4,8431 4,9964 5,2593 5,5769 5,8786 6,0965 6,1871 6,1347 5,9503 5,6701 5,3416 5,0099 4,7050 4,4236 4,1241 3,7641 3,3537 2,9639 2,6738 2,5084 2,4224 2,3301 2,1454 1,8095 1,3084 0,6834 0,0219 -0,5811 -1,0719 -1,4677 -1,8417 -2,2753 -2,8163 -3,4581 -4,1355 -4,7423 -5,1789 -5,4029 -5,4449 -5,3864 -5,3201 -5,3122 -5,3903 -5,5561 -5,7895 -6,0400 -6,2311 -6,2757 -6,0949 -5,6397 -4,9065 -3,9414 -2,8444 -1,7551 -0,7982 -0,0253
Fz    2,9584 2,7014 2,4971 2,3578 2,2747 2,2228 2,1654 2,0678 1,9096 1,6870 1,4099 1,0975 0,7672 0,4262 0,0731 -0,2934 -0,6663 -1,0222 -1,3213 -1,5216 -1,5990 -1,5551 -1,4117 -1,2032 -0,9710 -0,7556 -0,5913 -0,5010 -0,4941 -0,5712 -0,7266 -0,9416 -1,1743 -1,3662 -1,4679 -1,4639 -1,3709 -1,2168 -1,0253 -0,8171 -0,6156 -0,4416 -0,3025 -0,1910 -0,0920 0,0093 0,1188 0,2295 0,3257 0,3919 0,4206 0,4208 0,4178 0,4363 0,4856 0,5644 0,6762 0,8357 1,0598 1,3516 1,6910 2,0386 2,3486 2,5836 2,7262 2,7828 2,7748 2,7241 2,6414 2,5248 2,3634 2,1422 1,8532 1,5079 1,1383 0,7793 0,4481 0,1432 -0,1383 -0,3886 -0,5971 -0,7606 -0,8810 -0,9604 -1,0005 -1,0032 -0,9670 -0,8899 -0,7727 -0,6192 -0,4406 -0,2607 -0,1106 -0,0165 0,0100 -0,0255 -0,1100 -0,2335 -0,3872 -0,5550 -0,7203 -0,8788 -1,0410 -1,2220 -1,4343 -1,6860 -1,9803 -2,3160 -2,6946 -3,1187 -3,5823 -4,0664 -4,5500 -5,0185 -5,4637 -5,8778 -6,2490 -6,5662 -6,8264 -7,0312 -7,1765 -7,2519 -7,2442 -7,1387 -6,9246 -6,6049 -6,1999 -5,7407 -5,2556 -4,7604 -4,2563 -3,7303 -3,1623 -2,5384 -1,8610 -1,1489 -0,4332 0,2489 0,8659 1,4016 1,8575 2,2477 2,5939 2,9241 3,2725 3,6711 4,1383 4,6770 5,2757 5,9028 6,5045 7,0226 7,4221 7,7065 7,9060 8,0540 8,1652 8,2283 8,2193 8,1283 7,9770 7,8120 7,6834 7,6249 7,6448 7,7265 7,8343 7,9237 7,9531 7,9007 7,7795 7,6287 7,4864 7,3681 7,2682 7,1743 7,0769 6,9694 6,8380 6,6521 6,3733 5,9809 5,4890 4,9409 4,3921 3,8890 3,4482 3,0522 2,6650 2,2513 1,7885 1,2733 0,7225 0,1670 -0,3607 -0,8425 -1,2829 -1,7007 -2,1103 -2,5072 -2,8675 -3,1596 -3,3592 -3,4601 -3,4756 -3,4310 -3,3556 -3,2775 -3,2147 -3,1631 -3,1005 -3,0137 -2,9145 -2,8259 -2,7628 -2,7306 -2,7305 -2,7574 -2,7968 -2,8255 -2,8148 -2,7330 -2,5502 -2,2474 -1,8326 -1,3530 -0,8811 -0,4816 -0,1859 0,0110 0,1378 0,2339 0,3419 0,4915 0,6784 0,8615 0,9865 1,0185 0,9624 0,8586 0,7587 0,7007 0,6987 0,7407 0,7905 0,8067 0,7707 0,6960 0,6093 0,5290 0,4623 0,4106 0,3702 0,3388 0,3251 0,3501 0,4318 0,5660 0,7239 0,8732 1,0003 1,1095 1,2052 1,2760 1,2986 1,2588 1,1733 1,0904 1,0675 1,1426 1,3219 1,5910 1,9273 2,3002 2,6705 3,0010 3,2717 3,4857 3,6598 3,8079 3,9285 4,0031 4,0122 3,9565 3,8603 3,7549 3,6602 3,5831 3,5253 3,4893 3,4822 3,5159 3,6021 3,7422 3,9267 4,1416 4,3697 4,5892 4,7800 4,9357 5,0675 5,1974 5,3449 5,5168 5,7105 5,9228 6,1474 6,3690 6,5654 6,7153 6,8082 6,8483 6,8487 6,8203 6,7713 6,7104 6,6495 6,6023 6,5809 6,5871 6,6086 6,6287 6,6426 6,6573 6,6737 6,6747 6,6333 6,5311 6,3710 6,1691 5,9347 5,6621 5,3432 4,9856 4,6145 4,2608 3,9504 3,6988 3,5061 3,3600 3,2502 3,1811 3,1715 3,2417 3,4011 3,6393 3,9213 4,1979 4,4291 4,6040 4,7382 4,8559 4,9722 5,0902 5,2072 5,3230 5,4445 5,5851 5,7591 5,9691 6,1949 6,3982 6,5455 6,6269 6,6515 6,6313 6,5756 6,5003 6,4316 6,3985 6,4205 6,5016 6,6336 6,7992 6,9734 7,1302 7,2535 7,3401 7,3963 7,4312 7,4526 7,4630 7,4534 7,4020 7,2821 7,0767 6,7884 6,4410 6,0748 5,7408 5,4835 5,3182 5,2281 5,1854 5,1675 5,1549 5,1345 5,1132 5,1131 5,1514 5,2347 5,3688 5,5577 5,7909 6,0376 6,2565 6,4129 6,4873 6,4759 6,3864 6,2342 6,0356 5,8036 5,5491 5,2838 5,0154 4,7434 4,4610 4,1661 3,8733 3,6083 3,3874 3,2094 3,0670 2,9603 2,8963 2,8779 2,8925 2,9160 2,9309 2,9325 2,9224 2,9075 2,8964 2,8905 2,8814 2,8575 2,8128 2,7549 2,7039 2,6775 2,6779 2,6951 2,7200 2,7510 2,7866 2,8163 2,8258 2,8141 2,7985 2,8029 2,8476 2,9519 3,1357 3,4073 3,7523 4,1347 4,5022 4,7956 4,9646 4,9838 4,8562 4,6094 4,2937 3,9738 3,7114 3,5477 3,4982 3,5584 3,7137 3,9421 4,2083 4,4623 4,6560 4,7635 4,7766 4,6869 4,4860 4,1775 3,7776 3,3088 2,7957 2,2687 1,7664 1,3280 0,9722 0,6853 0,4333 0,1876 -0,0527 -0,2595 -0,3967 -0,4433 -0,4005 -0,2870 -0,1300 0,0455 0,2309 0,4422 0,7107 1,0598 1,4870 1,9646 2,4569 2,9392 3,4049 3,8600 4,3111 4,7612 5,2151 5,6807 6,1613 6,6500 7,1323 7,5862 7,9857 8,3148 8,5800 8,8026 9,0057 9,2118 9,4382 9,6839 9,9256 10,1284 10,2635 10,3164 10,2859 10,1811 10,0229 9,8412 9,6610 9,4889 9,3118 9,1082 8,8638 8,5810 8,2715 7,9476 7,6253 7,3295 7,0847 6,8974 6,7493 6,6114 6,4697 6,3304 6,2032 6,0847 5,9610 5,8204 5,6584 5,4795 5,2925 5,1040 4,9184 4,7378 4,5548 4,3475 4,0906 3,7698 3,3849 2,9472 2,4806 2,0152 1,5748 1,1668 0,7783 0,3810 -0,0504 -0,5208 -1,0167 -1,5243 -2,0439 -2,5877 -3,1645 -3,7722 -4,4018 -5,0379 -5,6559 -6,2292 -6,7414 -7,1888 -7,5764 -7,9141 -8,2099 -8,4641 -8,6693 -8,8148 -8,8868 -8,8695 -8,7484 -8,5134 -8,1602 -7,6872 -7,1001 -6,4247 -5,7124 -5,0163 -4,3602
F3    1,5942 1,3275 1,0839 0,8979 0,7803 0,7213 0,6947 0,6626 0,5889 0,4542 0,2676 0,0638 -0,1197 -0,2633 -0,3673 -0,4428 -0,5044 -0,5565 -0,5830 -0,5601 -0,4791 -0,3506 -0,1906 -0,0127 0,1680 0,3281 0,4382 0,4688 0,3976 0,2141 -0,0735 -0,4297 -0,7898 -1,0745 -1,2207 -1,2042 -1,0414 -0,7746 -0,4564 -0,1416 0,1182 0,2864 0,3517 0,3276 0,2412 0,1196 -0,0191 -0,1661 -0,3152 -0,4595 -0,5945 -0,7145 -0,8092 -0,8666 -0,8789 -0,8430 -0,7568 -0,6171 -0,4223 -0,1813 0,0809 0,3302 0,5344 0,6661 0,7026 0,6336 0,4738 0,2641 0,0555 -0,1125 -0,2265 -0,3013 -0,3689 -0,4584 -0,5796 -0,7268 -0,8904 -1,0609 -1,2259 -1,3751 -1,5075 -1,6293 -1,7412 -1,8312 -1,8813 -1,8782 -1,8167 -1,7004 -1,5387 -1,3413 -1,1172 -0,8817 -0,6613 -0,4872 -0,3802 -0,3426 -0,3682 -0,4576 -0,6123 -0,8163 -1,0389 -1,2531 -1,4464 -1,6221 -1,7987 -2,0039 -2,2592 -2,5711 -2,9441 -3,3930 -3,9296 -4,5373 -5,1675 -5,7604 -6,2660 -6,6528 -6,9123 -7,0632 -7,1399 -7,1671 -7,1484 -7,0755 -6,9452 -6,7668 -6,5559 -6,3235 -6,0748 -5,8153 -5,5512 -5,2807 -4,9866 -4,6379 -4,1994 -3,6480 -2,9863 -2,2463 -1,4811 -0,7471 -0,0863 0,4811 0,9560 1,3547 1,7018 2,0279 2,3669 2,7441 3,1619 3,6033 4,0474 4,4730 4,8574 5,1822 5,4459 5,6653 5,8639 6,0519 6,2172 6,3359 6,3888 6,3685 6,2797 6,1379 5,9702 5,8115 5,6963 5,6498 5,6820 5,7790 5,8961 5,9710 5,9502 5,8077 5,5506 5,2170 4,8663 4,5590 4,3347 4,1991 4,1234 4,0492 3,9071 3,6492 3,2754 2,8295 2,3722 1,9522 1,5914 1,2856 1,0094 0,7215 0,3738 -0,0659 -0,5930 -1,1655 -1,7255 -2,2274 -2,6554 -3,0183 -3,3245 -3,5633 -3,7109 -3,7529 -3,7016 -3,5940 -3,4762 -3,3874 -3,3534 -3,3858 -3,4732 -3,5727 -3,6295 -3,6155 -3,5439 -3,4446 -3,3381 -3,2348 -3,1422 -3,0622 -2,9878 -2,9067 -2,8068 -2,6809 -2,5273 -2,3474 -2,1454 -1,9298 -1,7101 -1,4919 -1,2752 -1,0573 -0,8330 -0,5915 -0,3183 -0,0124 0,2960 0,5525 0,7052 0,7307 0,6455 0,4979 0,3465 0,2395 0,2017 0,2280 0,2890 0,3539 0,4104 0,4627 0,5146 0,5594 0,5857 0,5838 0,5468 0,4755 0,3868 0,3086 0,2619 0,2446 0,2342 0,2106 0,1793 0,1709 0,2174 0,3288 0,4960 0,7093 0,9683 1,2727 1,6107 1,9573 2,2845 2,5782 2,8411 3,0766 3,2761 3,4256 3,5234 3,5852 3,6310 3,6683 3,6868 3,6700 3,6156 3,5419 3,4791 3,4545 3,4820 3,5558 3,6527 3,7428 3,8017 3,8193 3,8023 3,7677 3,7333 3,7116 3,7080 3,7187 3,7300 3,7236 3,6901 3,6423 3,6077 3,6121 3,6703 3,7873 3,9567 4,1625 4,3824 4,5916 4,7685 4,9021 4,9934 5,0467 5,0617 5,0328 4,9540 4,8284 4,6754 4,5279 4,4140 4,3433 4,3106 4,3099 4,3356 4,3738 4,3995 4,3886 4,3306 4,2275 4,0788 3,8777 3,6264 3,3480 3,0753 2,8343 2,6408 2,5058 2,4356 2,4296 2,4816 2,5877 2,7481 2,9590 3,2006 3,4394 3,6417 3,7857 3,8698 3,9176 3,9688 4,0587 4,2031 4,3954 4,6155 4,8415 5,0603 5,2704 5,4763 5,6773 5,8631 6,0176 6,1255 6,1742 6,1524 6,0484 5,8566 5,5879 5,2800 4,9947 4,7988 4,7380 4,8220 5,0240 5,2941 5,5788 5,8329 6,0245 6,1424 6,1999 6,2234 6,2359 6,2477 6,2536 6,2301 6,1403 5,9527 5,6684 5,3311 5,0083 4,7505 4,5628 4,4170 4,2917 4,1919 4,1328 4,1245 4,1715 4,2701 4,4011 4,5386 4,6698 4,8020 4,9488 5,1136 5,2876 5,4588 5,6175 5,7525 5,8485 5,8874 5,8527 5,7355 5,5429 5,2972 5,0190 4,7129 4,3783 4,0313 3,7110 3,4554 3,2740 3,1500 3,0683 3,0315 3,0488 3,1177 3,2159 3,3116 3,3798 3,4136 3,4267 3,4452 3,4899 3,5613 3,6369 3,6825 3,6677 3,5843 3,4518 3,3074 3,1891 3,1245 3,1272 3,1952 3,3086 3,4356 3,5497 3,6438 3,7262 3,8049 3,8821 3,9656 4,0781 4,2461 4,4815 4,7693 5,0648 5,3060 5,4344 5,4093 5,2174 4,8817 4,4635 4,0452 3,6988 3,4644 3,3466 3,3276 3,3880 3,5171 3,7016 3,9111 4,1028 4,2361 4,2770 4,1969 3,9780 3,6214 3,1474 2,5862 1,9680 1,3249 0,7004 0,1456 -0,3029 -0,6419 -0,8978 -1,1026 -1,2675 -1,3780 -1,4126 -1,3610 -1,2257 -1,0146 -0,7399 -0,4192 -0,0735 0,2810 0,6399 1,0028 1,3594 1,6830 1,9441 2,1328 2,2721 2,4118 2,6077 2,8996 3,3039 3,8156 4,4139 5,0677 5,7376 6,3773 6,9462 7,4242 7,8158 8,1414 8,4249 8,6854 8,9282 9,1408 9,3006 9,3909 9,4148 9,3928 9,3451 9,2764 9,1788 9,0418 8,8566 8,6167 8,3196 7,9694 7,5809 7,1822 6,8072 6,4823 6,2211 6,0269 5,8914 5,7906 5,6841 5,5286 5,2975 4,9897 4,6258 4,2410 3,8759 3,5640 3,3221 3,1496 3,0292 2,9302 2,8207 2,6798 2,5003 2,2841 2,0378 1,7629 1,4462 1,0675 0,6232 0,1374 -0,3517 -0,8129 -1,2376 -1,6407 -2,0484 -2,4824 -2,9508 -3,4453 -3,9451 -4,4252 -4,8691 -5,2763 -5,6588 -6,0285 -6,3901 -6,7438 -7,0895 -7,4265 -7,7500 -8,0460 -8,2909 -8,4581 -8,5272 -8,4929 -8,3693 -8,1795 -7,9407 -7,6588 -7,3303 -6,9483 -6,5114 -6,0349 -5,5483 -5,0763 -4,6178
F7    -1,2939 -1,3505 -1,3174 -1,1849 -0,9775 -0,7493 -0,5687 -0,4919 -0,5332 -0,6533 -0,7803 -0,8534 -0,8521 -0,7967 -0,7269 -0,6767 -0,6607 -0,6765 -0,7118 -0,7487 -0,7686 -0,7549 -0,6948 -0,5814 -0,4160 -0,2074 0,0319 0,2871 0,5387 0,7662 0,9574 1,1154 1,2513 1,3719 1,4787 1,5748 1,6653 1,7454 1,7931 1,7789 1,6837 1,5005 1,2275 0,8772 0,4886 0,1124 -0,2148 -0,4782 -0,6810 -0,8446 -1,0028 -1,1806 -1,3752 -1,5631 -1,7213 -1,8363 -1,9022 -1,9167 -1,8790 -1,7940 -1,6744 -1,5377 -1,4043 -1,2901 -1,1920 -1,0900 -0,9770 -0,8808 -0,8405 -0,8726 -0,9717 -1,1330 -1,3549 -1,6229 -1,9029 -2,1582 -2,3664 -2,5167 -2,6002 -2,6094 -2,5493 -2,4413 -2,3090 -2,1641 -2,0135 -1,8672 -1,7296 -1,5946 -1,4534 -1,3025 -1,1473 -1,0030 -0,8853 -0,7945 -0,7098 -0,6050 -0,4759 -0,3462 -0,2385 -0,1523 -0,0804 -0,0346 -0,0454 -0,1367 -0,3099 -0,5547 -0,8684 -1,2581 -1,7271 -2,2619 -2,8303 -3,3937 -3,9241 -4,4088 -4,8427 -5,2247 -5,5561 -5,8301 -6,0218 -6,0974 -6,0400 -5,8672 -5,6238 -5,3581 -5,1036 -4,8714 -4,6493 -4,4047 -4,0949 -3,6859 -3,1705 -2,5736 -1,9427 -1,3295 -0,7706 -0,2790 0,1435 0,4894 0,7474 0,9209 1,0428 1,1706 1,3549 1,6104 1,9200 2,2560 2,5955 2,9281 3,2557 3,5801 3,8929 4,1805 4,4424 4,6989 4,9813 5,3103 5,6762 6,0345 6,3184 6,4677 6,4586 6,3128 6,0837 5,8332 5,6110 5,4369 5,2949 5,1458 4,9554 4,7261 4,5063 4,3640 4,3388 4,4134 4,5259 4,6100 4,6275 4,5774 4,4807 4,3532 4,1895 3,9733 3,7023 3,3966 3,0883 2,7998 2,5280 2,2520 1,9582 1,6542 1,3595 1,0883 0,8424 0,6167 0,4080 0,2174 0,0429 -0,1245 -0,2977 -0,4895 -0,7098 -0,9628 -1,2464 -1,5493 -1,8466 -2,1018 -2,2814 -2,3705 -2,3697 -2,2753 -2,0728 -1,7610 -1,3785 -0,9936 -0,6729 -0,4640 -0,3895 -0,4359 -0,5520 -0,6728 -0,7480 -0,7512 -0,6740 -0,5215 -0,3130 -0,0790 0,1501 0,3550 0,5272 0,6640 0,7686 0,8565 0,9607 1,1123 1,3088 1,5088 1,6586 1,7199 1,6859 1,5844 1,4629 1,3659 1,3175 1,3129 1,3187 1,2883 1,1867 1,0073 0,7732 0,5272 0,3206 0,2044 0,2157 0,3653 0,6357 0,9878 1,3692 1,7238 2,0124 2,2326 2,4121 2,5797 2,7406 2,8712 2,9320 2,8910 2,7442 2,5206 2,2663 2,0244 1,8260 1,6921 1,6370 1,6697 1,7989 2,0317 2,3604 2,7497 3,1453 3,4956 3,7661 3,9446 4,0358 4,0540 4,0203 3,9568 3,8768 3,7820 3,6684 3,5395 3,4153 3,3240 3,2772 3,2551 3,2223 3,1539 3,0467 2,9138 2,7767 2,6530 2,5489 2,4674 2,4162 2,4061 2,4494 2,5566 2,7254 2,9323 3,1372 3,3004 3,4038 3,4608 3,4998 3,5363 3,5570 3,5294 3,4386 3,3137 3,2074 3,1472 3,1155 3,0779 3,0239 2,9778 2,9727 3,0221 3,1125 3,2150 3,3049 3,3697 3,3986 3,3751 3,2870 3,1358 2,9299 2,6762 2,3820 2,0633 1,7486 1,4803 1,3135 1,2969 1,4420 1,7114 2,0450 2,3965 2,7432 3,0726 3,3740 3,6449 3,8988 4,1540 4,4102 4,6441 4,8321 4,9711 5,0781 5,1752 5,2742 5,3677 5,4309 5,4388 5,3874 5,2932 5,1766 5,0505 4,9238 4,8030 4,6966 4,6226 4,6094 4,6840 4,8572 5,1100 5,3938 5,6529 5,8523 5,9920 6,0988 6,2004 6,3080 6,4200 6,5277 6,6103 6,6325 6,5563 6,3616 6,0592 5,6902 5,3118 4,9788 4,7316 4,5913 4,5569 4,6068 4,7046 4,8158 4,9288 5,0525 5,1918 5,3401 5,4943 5,6542 5,8075 5,9230 5,9653 5,9138 5,7730 5,5673 5,3269 5,0772 4,8383 4,6242 4,4449 4,3122 4,2369 4,2120 4,2103 4,2084 4,2072 4,2238 4,2698 4,3405 4,4194 4,4879 4,5311 4,5361 4,4876 4,3760 4,2123 4,0267 3,8488 3,6999 3,5947 3,5416 3,5480 3,6301 3,8066 4,0776 4,4157 4,7735 5,0910 5,3068 5,3857 5,3411 5,2206 5,0705 4,9216 4,8004 4,7354 4,7455 4,8283 4,9660 5,1373 5,3198 5,4883 5,6190 5,6938 5,6997 5,6270 5,4736 5,2508 4,9859 4,7249 4,5228 4,4165 4,4023 4,4440 4,5053 4,5729 4,6486 4,7255 4,7762 4,7701 4,6960 4,5595 4,3632 4,1021 3,7779 3,4122 3,0415 2,6941 2,3699 2,0496 1,7178 1,3747 1,0393 0,7413 0,5036 0,3340 0,2375 0,2207 0,2766 0,3812 0,5080 0,6402 0,7767 0,9405 1,1758 1,5146 1,9400 2,3897 2,7984 3,1377 3,4219 3,6840 3,9478 4,2217 4,5126 4,8361 5,2036 5,6043 6,0090 6,3908 6,7323 7,0258 7,2796 7,5209 7,7750 8,0413 8,2972 8,5211 8,7014 8,8306 8,9026 8,9211 8,9014 8,8594 8,8051 8,7512 8,7181 8,7199 8,7451 8,7526 8,6894 8,5151 8,2187 7,8157 7,3373 6,8285 6,3437 5,9273 5,5985 5,3617 5,2206 5,1787 5,2366 5,3852 5,5889 5,7855 5,9097 5,9188 5,8023 5,5744 5,2629 4,9031 4,5287 4,1557 3,7792 3,3839 2,9552 2,4854 1,9793 1,4579 0,9511 0,4869 0,0895 -0,2251 -0,4611 -0,6458 -0,8120 -0,9797 -1,1619 -1,3770 -1,6429 -1,9623 -2,3225 -2,7044 -3,0850 -3,4396 -3,7515 -4,0168 -4,2398 -4,4283 -4,5896 -4,7284 -4,8477 -4,9507 -5,0348 -5,0875 -5,0908 -5,0265 -4,8750 -4,6121 -4,2120 -3,6645 -3,0014 -2,3029 -1,6684 -1,1702
