Fp1   -0,9572 -1,1795 -1,5661 -2,0987 -2,6874 -3,1850 -3,4472 -3,3867 -2,9888 -2,3069 -1,4547 -0,5711 0,2291 0,8837 1,3847 1,7710 2,1035 2,4100 2,6510 2,7700 2,7648 2,6794 2,5426 2,3459 2,0733 1,7388 1,3911 1,0837 0,8404 0,6498 0,4937 0,3834 0,3723 0,5160 0,8023 1,1322 1,3808 1,4618 1,3376 1,0046 0,4852 -0,1832 -0,9390 -1,6650 -2,2077 -2,4629 -2,4277 -2,1932 -1,9297 -1,8451 -2,0773 -2,6122 -3,3305 -4,0993 -4,7929 -5,2822 -5,4526 -5,2493 -4,7212 -4,0116 -3,2940 -2,7210 -2,3939 -2,3277 -2,4499 -2,6452 -2,7968 -2,8261 -2,7252 -2,5386 -2,3074 -2,0507 -1,7967 -1,6069 -1,5401 -1,5902 -1,6818 -1,7269 -1,6717 -1,4995 -1,2216 -0,8771 -0,5173 -0,1763 0,1435 0,4550 0,7528 1,0048 1,1774 1,2580 1,2444 1,1160 0,8276 0,3288 -0,3928 -1,2745 -2,1993 -3,0514 -3,7505 -4,2625 -4,5955 -4,7823 -4,8614 -4,8603 -4,7989 -4,7236 -4,7450 -5,0214 -5,6723 -6,6881 -7,9257 -9,1929 -10,3343 -11,2675 -11,9744 -12,4656 -12,7495 -12,8380 -12,7843 -12,6848 -12,6032 -12,5062 -12,2971 -11,8984 -11,2920 -10,5065 -9,5761 -8,5020 -7,2637 -5,8639 -4,3461 -2,7829 -1,2648 0,1101 1,2618 2,1711 2,8895 3,4835 3,9821 4,3943 4,7528 5,1025 5,4514 5,7605 5,9754 6,0557 5,9870 5,7853 5,4819 5,0963 4,6410 4,1717 3,7937 3,5777 3,4915 3,4361 3,3240 3,1104 2,7904 2,4113 2,0764 1,8720 1,7749 1,6658 1,4355 1,0781 0,6993 0,4343 0,3503 0,4254 0,5887 0,7687 0,9385 1,1181 1,3316 1,5876 1,8760 2,1360 2,2360 2,0446 1,5244 0,7339 -0,2119 -1,1515 -1,9052 -2,3501 -2,4837 -2,4112 -2,2775 -2,2065 -2,2534 -2,3816 -2,4984 -2,5216 -2,4130 -2,1769 -1,8628 -1,5642 -1,3846 -1,3925 -1,5892 -1,8968 -2,1820 -2,3057 -2,1764 -1,7871 -1,2217 -0,6077 -0,0419 0,4334 0,7888 0,9775 0,9560 0,7146 0,2939 -0,2204 -0,7309 -1,1475 -1,3770 -1,3286 -0,9543 -0,2972 0,4834 1,1671 1,6115 1,8285 1,9028 1,8824 1,7666 1,5470 1,2256 0,8154 0,3579 -0,0563 -0,3054 -0,3037 -0,0567 0,3493 0,7994 1,1800 1,3867 1,3577 1,1246 0,8100 0,5548 0,4385 0,4540 0,5343 0,5911 0,5582 0,4446 0,3346 0,3113 0,3846 0,4941 0,5768 0,6196 0,6462 0,6715 0,6848 0,6723 0,6396 0,6022 0,5652 0,5327 0,5321 0,6146 0,8215 1,1507 1,5466 1,9273 2,2432 2,5120 2,7973 3,1610 3,6109 4,0803 4,4584 4,6288 4,5012 4,0651 3,4151 2,6909 1,9903 1,3358 0,6955 0,0289 -0,6641 -1,3281 -1,8894 -2,2920 -2,5037 -2,5316 -2,4289 -2,2533 -2,0337 -1,7877 -1,5509 -1,3803 -1,3138 -1,3081 -1,2522 -1,0753 -0,7947 -0,4299 0,0647 0,7301 1,5154 2,3001 2,9602 3,3938 3,5420 3,4039 3,0066 2,3893 1,6441 0,9205 0,3724 0,1095 0,1578 0,4389 0,8182 1,1745 1,4189 1,4965 1,4104 1,2268 1,0125 0,7624 0,4274 0,0101 -0,4026 -0,6972 -0,8121 -0,7600 -0,5942 -0,3761 -0,1491 0,0883 0,3604 0,6497 0,8758 0,9472 0,8203 0,5110 0,0809 -0,3843 -0,8141 -1,1677 -1,4034 -1,4751 -1,3885 -1,2341 -1,1450 -1,2222 -1,4861 -1,8868 -2,3472 -2,7947 -3,1762 -3,4671 -3,6690 -3,7822 -3,7760 -3,6141 -3,3135 -2,9486 -2,5971 -2,3070 -2,1041 -1,9933 -1,9550 -1,9577 -1,9563 -1,8878 -1,7173 -1,4880 -1,2917 -1,1997 -1,2318 -1,3605 -1,5315 -1,7001 -1,8604 -2,0528 -2,3260 -2,6560 -2,9248 -3,0035 -2,8376 -2,4603 -1,9686 -1,4976 -1,1743 -1,0487 -1,0806 -1,2032 -1,3629 -1,5207 -1,6812 -1,8999 -2,2284 -2,6645 -3,1247 -3,4565 -3,5401 -3,3727 -3,0250 -2,5749 -2,1118 -1,7497 -1,6081 -1,7703 -2,2363 -2,9169 -3,6857 -4,4191 -4,9900 -5,2859 -5,2737 -5,0187 -4,6192 -4,1453 -3,6484 -3,1790 -2,7596 -2,3888 -2,0970 -1,9465 -1,9649 -2,1326 -2,4326 -2,8599 -3,3829 -3,9404 -4,4712 -4,9263 -5,2694 -5,4911 -5,6160 -5,6771 -5,6848 -5,6286 -5,4965 -5,2996 -5,0822 -4,8980 -4,7790 -4,7205 -4,6806 -4,6075 -4,4832 -4,3229 -4,1262 -3,8518 -3,4561 -2,9586 -2,4660 -2,1177 -1,9875 -2,0367 -2,1648 -2,2890 -2,3600 -2,3373 -2,2021 -2,0007 -1,8327 -1,7913 -1,9300 -2,2716 -2,8134 -3,5170 -4,3147 -5,1223 -5,8663 -6,5507 -7,2897 -8,2153 -9,3416 -10,5303 -11,5777 -12,3306 -12,7396 -12,8511 -12,7789 -12,6557 -12,5708 -12,5558 -12,6166 -12,7362 -12,8418 -12,8009 -12,4657 -11,7340 -10,6102 -9,2285 -7,8052 -6,5530 -5,6037 -4,9595 -4,5113 -4,1092 -3,6274 -3,0082 -2,2680 -1,4501 -0,5705 0,3974 1,5060 2,7801 4,1373 5,3476 6,1094 6,2354 5,7816 5,0018 4,2140 3,6713 3,4567 3,4730 3,5404 3,4984 3,2536 2,7882 2,1533 1,4462 0,7698 0,2020 -0,2181 -0,4965 -0,6572 -0,7122 -0,6861 -0,6553 -0,7217 -0,9412 -1,2987 -1,7517 -2,2663 -2,8183 -3,3929 -3,9828 -4,5775 -5,1621 -5,7225 -6,2332 -6,6664 -7,0249 -7,3437 -7,6606 -7,9990 -8,3630 -8,7239 -9,0283 -9,2503 -9,4187 -9,5839 -9,7881 -10,0549 -10,3751 -10,7030 -10,9673 -11,1008 -11,0765 -10,9145 -10,6720 -10,4286 -10,2458 -10,1206 -9,9838 -9,7420 -9,3292 -8,7379 -8,0215 -7,2672 -6,5623 -5,9856 -5,5930 -5,3733 -5,2470 -5,1370 -5,0240 -4,9391 -4,9155 -4,9343 -4,9294 -4,8617 -4,7734 -4,7660 -4,9330 -5,2917 -5,7561 -6,1728 -6,3944 -6,3338 -5,9705 -5,3237 -4,4212 -3,3116
Fz    0,4125 0,3783 0,1880 -0,1276 -0,4977 -0,8292 -1,0406 -1,0907 -0,9811 -0,7413 -0,4162 -0,0554 0,2965 0,6030 0,8350 0,9783 1,0469 1,0714 1,0705 1,0491 1,0219 1,0147 1,0384 1,0739 1,0899 1,0703 1,0134 0,9083 0,7331 0,4809 0,1772 -0,1238 -0,3540 -0,4562 -0,4142 -0,2658 -0,0787 0,0861 0,1894 0,2059 0,1131 -0,1088 -0,4517 -0,8535 -1,2186 -1,4729 -1,5971 -1,6256 -1,6338 -1,7116 -1,9188 -2,2497 -2,6466 -3,0395 -3,3641 -3,5648 -3,6040 -3,4749 -3,2054 -2,8548 -2,5036 -2,2338 -2,0997 -2,1080 -2,2238 -2,3964 -2,5779 -2,7315 -2,8459 -2,9358 -3,0195 -3,0987 -3,1630 -3,2001 -3,1911 -3,1087 -2,9387 -2,6963 -2,4123 -2,1125 -1,8149 -1,5399 -1,3126 -1,1545 -1,0726 -1,0576 -1,0893 -1,1390 -1,1737 -1,1670 -1,1114 -1,0276 -0,9635 -0,9789 -1,1190 -1,3891 -1,7503 -2,1376 -2,4882 -2,7665 -2,9700 -3,1149 -3,2191 -3,2933 -3,3492 -3,4170 -3,5529 -3,8268 -4,2934 -4,9554 -5,7438 -6,5469 -7,2696 -7,8688 -8,3446 -8,7131 -8,9958 -9,2218 -9,4198 -9,5986 -9,7338 -9,7877 -9,7415 -9,6008 -9,3756 -9,0650 -8,6458 -8,0729 -7,3118 -6,3733 -5,3030 -4,1532 -2,9776 -1,8416 -0,8180 0,0432 0,7441 1,3229 1,8051 2,1907 2,4834 2,7052 2,8772 3,0044 3,0763 3,0721 2,9767 2,7941 2,5430 2,2457 1,9307 1,6451 1,4433 1,3491 1,3381 1,3653 1,3936 1,3948 1,3469 1,2541 1,1633 1,1294 1,1490 1,1456 1,0321 0,7862 0,4712 0,1868 0,0053 -0,0538 -0,0113 0,0978 0,2514 0,4455 0,6736 0,9236 1,1899 1,4544 1,6524 1,6942 1,5235 1,1474 0,6315 0,0857 -0,3697 -0,6539 -0,7617 -0,7478 -0,6809 -0,6170 -0,5906 -0,6056 -0,6356 -0,6428 -0,6007 -0,5032 -0,3632 -0,2148 -0,1060 -0,0808 -0,1594 -0,3217 -0,5085 -0,6486 -0,6938 -0,6434 -0,5417 -0,4438 -0,3769 -0,3387 -0,3283 -0,3606 -0,4516 -0,6031 -0,7992 -1,0145 -1,2285 -1,4223 -1,5669 -1,6291 -1,5884 -1,4515 -1,2620 -1,0834 -0,9511 -0,8509 -0,7558 -0,6655 -0,6069 -0,6131 -0,6964 -0,8351 -0,9842 -1,0995 -1,1600 -1,1747 -1,1666 -1,1520 -1,1383 -1,1327 -1,1456 -1,1801 -1,2205 -1,2334 -1,1792 -1,0321 -0,7973 -0,5153 -0,2472 -0,0469 0,0682 0,1215 0,1442 0,1388 0,0812 -0,0427 -0,2124 -0,3848 -0,5201 -0,5951 -0,6013 -0,5388 -0,4170 -0,2586 -0,0938 0,0589 0,2077 0,3775 0,5857 0,8244 1,0692 1,3048 1,5344 1,7647 1,9916 2,2030 2,3863 2,5216 2,5650 2,4556 2,1597 1,7073 1,1774 0,6457 0,1518 -0,2946 -0,6943 -1,0480 -1,3539 -1,6038 -1,7816 -1,8701 -1,8642 -1,7817 -1,6556 -1,5148 -1,3770 -1,2550 -1,1614 -1,0962 -1,0260 -0,8976 -0,6884 -0,4295 -0,1630 0,1026 0,3780 0,6588 0,9209 1,1279 1,2410 1,2417 1,1410 0,9610 0,7292 0,4935 0,3136 0,2295 0,2475 0,3437 0,4768 0,6044 0,6905 0,7074 0,6463 0,5304 0,4036 0,2894 0,1640 -0,0154 -0,2591 -0,5350 -0,7952 -1,0004 -1,1340 -1,2051 -1,2388 -1,2553 -1,2528 -1,2173 -1,1491 -1,0663 -0,9793 -0,8851 -0,7872 -0,6972 -0,6201 -0,5584 -0,5158 -0,4787 -0,4188 -0,3253 -0,2262 -0,1748 -0,2142 -0,3483 -0,5441 -0,7553 -0,9424 -1,0830 -1,1738 -1,2237 -1,2414 -1,2261 -1,1785 -1,1199 -1,0871 -1,1037 -1,1612 -1,2313 -1,2875 -1,3175 -1,3251 -1,3172 -1,2838 -1,2073 -1,0911 -0,9575 -0,8257 -0,7060 -0,6031 -0,5183 -0,4565 -0,4356 -0,4882 -0,6454 -0,9035 -1,2104 -1,4955 -1,7069 -1,8295 -1,8847 -1,9130 -1,9451 -1,9845 -2,0178 -2,0443 -2,0808 -2,1406 -2,2273 -2,3428 -2,4886 -2,6629 -2,8478 -3,0010 -3,0778 -3,0550 -2,9336 -2,7388 -2,5168 -2,3180 -2,1888 -2,1629 -2,2388 -2,3841 -2,5630 -2,7396 -2,8633 -2,8881 -2,8079 -2,6547 -2,4656 -2,2671 -2,0874 -1,9576 -1,8900 -1,8759 -1,9144 -2,0207 -2,2012 -2,4454 -2,7446 -3,0918 -3,4661 -3,8326 -4,1500 -4,3785 -4,4997 -4,5309 -4,5099 -4,4703 -4,4301 -4,3905 -4,3375 -4,2533 -4,1279 -3,9606 -3,7592 -3,5403 -3,3255 -3,1354 -2,9864 -2,8793 -2,7875 -2,6734 -2,5216 -2,3476 -2,1775 -2,0328 -1,9265 -1,8602 -1,8292 -1,8356 -1,8890 -1,9932 -2,1388 -2,3155 -2,5242 -2,7768 -3,0865 -3,4590 -3,8837 -4,3354 -4,7866 -5,2131 -5,5983 -5,9508 -6,3178 -6,7570 -7,2880 -7,8677 -8,4105 -8,8367 -9,1193 -9,2961 -9,4411 -9,6148 -9,8332 -10,0829 -10,3491 -10,6135 -10,8354 -10,9500 -10,8874 -10,5981 -10,0789 -9,3815 -8,5908 -7,7928 -7,0514 -6,3911 -5,7989 -5,2427 -4,6893 -4,1184 -3,5305 -2,9351 -2,3290 -1,6902 -0,9931 -0,2358 0,5374 1,2322 1,7373 1,9833 1,9824 1,8135 1,5796 1,3712 1,2368 1,1764 1,1606 1,1487 1,0976 0,9731 0,7610 0,4673 0,1112 -0,2749 -0,6541 -1,0009 -1,2944 -1,5058 -1,6193 -1,6594 -1,6783 -1,7144 -1,7747 -1,8593 -1,9867 -2,1892 -2,4934 -2,9089 -3,4187 -3,9728 -4,5033 -4,9525 -5,2984 -5,5581 -5,7678 -5,9598 -6,1507 -6,3416 -6,5245 -6,6887 -6,8321 -6,9674 -7,1043 -7,2360 -7,3488 -7,4308 -7,4717 -7,4621 -7,4045 -7,3212 -7,2414 -7,1827 -7,1463 -7,1160 -7,0620 -6,9626 -6,8228 -6,6641 -6,5045 -6,3570 -6,2336 -6,1405 -6,0749 -6,0292 -5,9911 -5,9489 -5,9051 -5,8836 -5,9181 -6,0210 -6,1596 -6,2694 -6,3002 -6,2476 -6,1475 -6,0470 -5,9716 -5,9097 -5,8304 -5,7130 -5,5589 -5,3797 -5,1714 -4,8988 -4,5218
F3    -0,4633 -0,4644 -0,5882 -0,8408 -1,1697 -1,4796 -1,6747 -1,6963 -1,5349 -1,2212 -0,8123 -0,3763 0,0261 0,3510 0,5727 0,6954 0,7615 0,8234 0,9031 0,9921 1,0810 1,1688 1,2457 1,2869 1,2689 1,1887 1,0599 0,8941 0,6979 0,4873 0,2929 0,1565 0,1242 0,2271 0,4501 0,7231 0,9593 1,0994 1,1168 1,0012 0,7507 0,3692 -0,1176 -0,6412 -1,1054 -1,4384 -1,6288 -1,7236 -1,8101 -1,9882 -2,3170 -2,7698 -3,2556 -3,6812 -3,9805 -4,1073 -4,0314 -3,7506 -3,3044 -2,7727 -2,2581 -1,8593 -1,6388 -1,5967 -1,6775 -1,8070 -1,9215 -1,9834 -1,9920 -1,9724 -1,9456 -1,9131 -1,8726 -1,8319 -1,7963 -1,7532 -1,6856 -1,5879 -1,4592 -1,2930 -1,0837 -0,8410 -0,5894 -0,3543 -0,1519 0,0109 0,1324 0,2159 0,2724 0,3149 0,3455 0,3417 0,2599 0,0565 -0,2824 -0,7222 -1,1918 -1,6141 -1,9316 -2,1216 -2,1966 -2,1914 -2,1527 -2,1252 -2,1420 -2,2338 -2,4473 -2,8412 -3,4525 -4,2569 -5,1604 -6,0394 -6,8009 -7,4138 -7,8950 -8,2771 -8,5879 -8,8488 -9,0805 -9,3012 -9,5072 -9,6625 -9,7191 -9,6453 -9,4352 -9,0971 -8,6282 -8,0002 -7,1890 -6,2102 -5,1110 -3,9480 -2,7844 -1,6930 -0,7442 0,0262 0,6391 1,1427 1,5608 1,8928 2,1521 2,3719 2,5778 2,7728 2,9410 3,0552 3,0907 3,0393 2,9105 2,7254 2,5193 2,3453 2,2541 2,2531 2,2986 2,3307 2,3057 2,2018 2,0178 1,7832 1,5639 1,4203 1,3454 1,2596 1,0767 0,7748 0,4164 0,1015 -0,0971 -0,1608 -0,1114 0,0153 0,1949 0,4174 0,6722 0,9491 1,2457 1,5396 1,7567 1,8001 1,6126 1,2058 0,6561 0,0872 -0,3665 -0,6127 -0,6400 -0,5075 -0,2969 -0,0828 0,0762 0,1545 0,1692 0,1611 0,1650 0,1912 0,2187 0,2020 0,0952 -0,1249 -0,4434 -0,8028 -1,1167 -1,2983 -1,2945 -1,1154 -0,8337 -0,5447 -0,3116 -0,1480 -0,0502 -0,0265 -0,0903 -0,2417 -0,4613 -0,7195 -0,9864 -1,2242 -1,3766 -1,3859 -1,2220 -0,9078 -0,5286 -0,1953 0,0326 0,1781 0,2917 0,3935 0,4678 0,4893 0,4487 0,3652 0,2786 0,2333 0,2594 0,3571 0,4974 0,6402 0,7523 0,8112 0,7989 0,7062 0,5532 0,3965 0,3052 0,3248 0,4563 0,6577 0,8615 1,0072 1,0761 1,0954 1,0981 1,0831 1,0159 0,8689 0,6560 0,4264 0,2325 0,1088 0,0710 0,1190 0,2353 0,3836 0,5211 0,6254 0,7161 0,8417 1,0371 1,2939 1,5727 1,8473 2,1234 2,4158 2,7217 3,0167 3,2655 3,4291 3,4646 3,3357 3,0440 2,6448 2,2149 1,8043 1,4202 1,0472 0,6738 0,3039 -0,0454 -0,3483 -0,5779 -0,7146 -0,7583 -0,7305 -0,6587 -0,5622 -0,4572 -0,3642 -0,3054 -0,2881 -0,2816 -0,2277 -0,0900 0,1213 0,3887 0,7244 1,1440 1,6236 2,1047 2,5188 2,8015 2,9117 2,8440 2,6123 2,2436 1,7962 1,3557 1,0054 0,8040 0,7708 0,8793 1,0731 1,2866 1,4596 1,5536 1,5676 1,5340 1,4819 1,4026 1,2708 1,0899 0,8973 0,7383 0,6415 0,6084 0,6175 0,6392 0,6548 0,6701 0,7017 0,7458 0,7720 0,7520 0,6820 0,5739 0,4475 0,3284 0,2308 0,1510 0,0932 0,0782 0,1168 0,1883 0,2471 0,2492 0,1797 0,0592 -0,0707 -0,1684 -0,2130 -0,2133 -0,1973 -0,1849 -0,1651 -0,1085 -0,0052 0,1248 0,2553 0,3723 0,4707 0,5502 0,6166 0,6773 0,7434 0,8403 0,9895 1,1717 1,3361 1,4389 1,4603 1,4064 1,3042 1,1779 1,0278 0,8328 0,5737 0,2658 -0,0279 -0,2303 -0,2965 -0,2364 -0,1045 0,0336 0,1368 0,2019 0,2452 0,2761 0,2977 0,3133 0,3075 0,2363 0,0572 -0,2378 -0,6053 -0,9614 -1,2272 -1,3634 -1,3636 -1,2456 -1,0549 -0,8570 -0,7263 -0,7235 -0,8648 -1,1188 -1,4376 -1,7680 -2,0394 -2,1810 -2,1647 -2,0131 -1,7667 -1,4644 -1,1539 -0,8842 -0,6747 -0,5165 -0,4169 -0,4098 -0,5168 -0,7307 -1,0399 -1,4364 -1,8960 -2,3730 -2,8134 -3,1656 -3,3949 -3,4988 -3,5019 -3,4359 -3,3276 -3,1964 -3,0527 -2,9001 -2,7391 -2,5673 -2,3874 -2,2119 -2,0537 -1,9205 -1,8206 -1,7511 -1,6793 -1,5567 -1,3562 -1,0926 -0,8162 -0,5877 -0,4419 -0,3685 -0,3315 -0,3077 -0,2978 -0,3103 -0,3523 -0,4356 -0,5731 -0,7690 -1,0230 -1,3400 -1,7183 -2,1362 -2,5592 -2,9490 -3,2713 -3,5277 -3,7807 -4,1179 -4,5834 -5,1445 -5,7122 -6,1931 -6,5421 -6,7840 -6,9947 -7,2491 -7,5757 -7,9615 -8,3798 -8,7961 -9,1562 -9,3864 -9,4085 -9,1649 -8,6512 -7,9345 -7,1296 -6,3559 -5,6965 -5,1695 -4,7378 -4,3436 -3,9325 -3,4689 -2,9446 -2,3696 -1,7524 -1,0894 -0,3686 0,4080 1,1924 1,8803 2,3472 2,5200 2,4240 2,1634 1,8705 1,6605 1,5903 1,6442 1,7598 1,8617 1,8840 1,7880 1,5735 1,2708 0,9230 0,5724 0,2474 -0,0457 -0,3037 -0,5080 -0,6451 -0,7361 -0,8311 -0,9687 -1,1525 -1,3700 -1,6160 -1,8926 -2,2047 -2,5602 -2,9572 -3,3704 -3,7558 -4,0734 -4,3115 -4,4942 -4,6612 -4,8398 -5,0341 -5,2296 -5,4001 -5,5147 -5,5618 -5,5623 -5,5453 -5,5265 -5,5133 -5,5120 -5,5266 -5,5591 -5,6133 -5,6946 -5,7989 -5,9093 -6,0109 -6,0931 -6,1397 -6,1372 -6,0879 -6,0021 -5,8852 -5,7430 -5,5867 -5,4275 -5,2737 -5,1306 -4,9930 -4,8498 -4,7041 -4,5836 -4,5280 -4,5590 -4,6554 -4,7669 -4,8582 -4,9331 -5,0239 -5,1634 -5,3570 -5,5707 -5,7490 -5,8451 -5,8384 -5,7312 -5,5288 -5,2186 -4,7817
F7    -1,1235 -1,2913 -1,4162 -1,4503 -1,3877 -1,2607 -1,1229 -1,0228 -0,9771 -0,9695 -0,9639 -0,9183 -0,7996 -0,5949 -0,3181 -0,0029 0,3206 0,6397 0,9477 1,2311 1,4754 1,6693 1,7951 1,8326 1,7813 1,6623 1,4981 1,3012 1,0831 0,8637 0,6724 0,5375 0,4773 0,4999 0,5961 0,7299 0,8529 0,9374 0,9801 0,9723 0,8827 0,6730 0,3281 -0,1263 -0,6410 -1,1779 -1,7165 -2,2304 -2,6819 -3,0470 -3,3361 -3,5788 -3,7907 -3,9627 -4,0728 -4,1050 -4,0593 -3,9480 -3,7873 -3,5964 -3,3950 -3,1916 -2,9712 -2,7028 -2,3613 -1,9455 -1,4853 -1,0338 -0,6466 -0,3635 -0,1983 -0,1276 -0,0890 -0,0012 0,2036 0,5439 0,9768 1,4203 1,7905 2,0341 2,1375 2,1139 1,9868 1,7819 1,5229 1,2353 0,9503 0,7059 0,5417 0,4858 0,5326 0,6376 0,7500 0,8451 0,9144 0,9367 0,8785 0,7198 0,4688 0,1548 -0,1839 -0,5181 -0,8438 -1,1760 -1,5339 -1,9328 -2,3745 -2,8491 -3,3533 -3,9005 -4,5009 -5,1383 -5,7789 -6,3926 -6,9489 -7,4101 -7,7507 -7,9756 -8,1139 -8,1958 -8,2297 -8,2009 -8,0929 -7,8994 -7,6189 -7,2479 -6,7808 -6,2139 -5,5553 -4,8324 -4,0775 -3,3023 -2,4932 -1,6369 -0,7468 0,1441 1,0087 1,8270 2,5669 3,1838 3,6437 3,9452 4,1178 4,1970 4,2008 4,1385 4,0309 3,9098 3,7954 3,6829 3,5525 3,3966 3,2317 3,0824 2,9603 2,8644 2,7859 2,7030 2,5921 2,4569 2,3318 2,2516 2,2238 2,2291 2,2508 2,2963 2,3812 2,5002 2,6254 2,7240 2,7678 2,7380 2,6345 2,4788 2,2994 2,1247 1,9923 1,9331 1,9380 1,9578 1,9403 1,8557 1,7015 1,5019 1,3026 1,1483 1,0536 0,9991 0,9589 0,9204 0,8710 0,7858 0,6399 0,4316 0,1892 -0,0393 -0,2043 -0,2755 -0,2594 -0,2028 -0,1740 -0,2192 -0,3314 -0,4677 -0,5926 -0,6962 -0,7832 -0,8605 -0,9322 -1,0036 -1,0806 -1,1581 -1,2163 -1,2394 -1,2285 -1,2009 -1,1801 -1,1798 -1,1939 -1,2061 -1,1956 -1,1364 -1,0169 -0,8577 -0,6905 -0,5230 -0,3456 -0,1590 0,0226 0,1875 0,3338 0,4639 0,5791 0,6755 0,7381 0,7394 0,6578 0,4986 0,2901 0,0659 -0,1358 -0,2757 -0,3383 -0,3415 -0,3065 -0,2433 -0,1705 -0,1239 -0,1387 -0,2294 -0,3893 -0,5976 -0,8247 -1,0438 -1,2446 -1,4352 -1,6287 -1,8293 -2,0271 -2,2017 -2,3248 -2,3660 -2,3125 -2,1884 -2,0483 -1,9400 -1,8635 -1,7694 -1,6005 -1,3332 -0,9862 -0,6097 -0,2692 -0,0202 0,1149 0,1473 0,1027 0,0108 -0,0923 -0,1777 -0,2500 -0,3386 -0,4668 -0,6420 -0,8567 -1,0857 -1,2954 -1,4698 -1,6191 -1,7602 -1,8986 -2,0299 -2,1444 -2,2351 -2,3104 -2,3892 -2,4764 -2,5504 -2,5808 -2,5473 -2,4325 -2,2239 -1,9391 -1,6296 -1,3461 -1,1116 -0,9300 -0,8013 -0,7265 -0,7063 -0,7423 -0,8337 -0,9734 -1,1447 -1,3151 -1,4424 -1,4953 -1,4686 -1,3835 -1,2729 -1,1592 -1,0488 -0,9489 -0,8745 -0,8326 -0,8086 -0,7785 -0,7260 -0,6437 -0,5307 -0,3947 -0,2477 -0,0918 0,0847 0,2951 0,5365 0,7796 0,9780 1,0910 1,0989 1,0060 0,8443 0,6709 0,5460 0,4975 0,5042 0,5161 0,4961 0,4397 0,3588 0,2633 0,1645 0,0789 0,0221 0,0042 0,0298 0,1021 0,2281 0,4150 0,6560 0,9190 1,1562 1,3293 1,4276 1,4647 1,4627 1,4344 1,3801 1,3011 1,2029 1,0830 0,9299 0,7387 0,5275 0,3426 0,2371 0,2357 0,3299 0,4973 0,7005 0,8758 0,9483 0,8690 0,6411 0,3106 -0,0663 -0,4455 -0,7881 -1,0571 -1,2327 -1,3192 -1,3297 -1,2681 -1,1310 -0,9282 -0,6938 -0,4755 -0,3113 -0,2101 -0,1476 -0,0834 0,0197 0,1807 0,3907 0,6179 0,8237 0,9767 1,0622 1,0769 1,0156 0,8718 0,6502 0,3772 0,0947 -0,1619 -0,3788 -0,5567 -0,6990 -0,8030 -0,8581 -0,8513 -0,7767 -0,6425 -0,4835 -0,3573 -0,3056 -0,3194 -0,3553 -0,3751 -0,3690 -0,3574 -0,3722 -0,4285 -0,5117 -0,5945 -0,6573 -0,6947 -0,7110 -0,7108 -0,6955 -0,6744 -0,6658 -0,6807 -0,7194 -0,7865 -0,8937 -1,0461 -1,2336 -1,4330 -1,6151 -1,7458 -1,7842 -1,6919 -1,4522 -1,0840 -0,6435 -0,2034 0,1813 0,4895 0,7231 0,8901 0,9980 1,0522 1,0513 0,9918 0,8850 0,7544 0,6089 0,4317 0,2036 -0,0691 -0,3608 -0,6527 -0,9369 -1,2053 -1,4504 -1,6720 -1,8817 -2,1028 -2,3591 -2,6584 -2,9909 -3,3382 -3,6921 -4,0673 -4,4861 -4,9452 -5,4085 -5,8362 -6,2102 -6,5243 -6,7637 -6,9063 -6,9312 -6,8199 -6,5696 -6,2182 -5,8357 -5,4807 -5,1663 -4,8605 -4,5137 -4,0887 -3,5695 -2,9601 -2,2893 -1,6143 -0,9994 -0,4851 -0,0783 0,2321 0,4562 0,6042 0,6999 0,7794 0,8690 0,9699 1,0604 1,1115 1,1065 1,0560 0,9992 0,9836 1,0297 1,1196 1,2160 1,2789 1,2733 1,1860 1,0320 0,8301 0,5856 0,3097 0,0272 -0,2483 -0,5262 -0,8169 -1,1082 -1,3701 -1,5840 -1,7668 -1,9588 -2,1876 -2,4423 -2,6763 -2,8412 -2,9314 -2,9966 -3,1062 -3,2960 -3,5473 -3,8084 -4,0286 -4,1793 -4,2547 -4,2657 -4,2382 -4,2023 -4,1757 -4,1626 -4,1646 -4,1865 -4,2351 -4,3160 -4,4349 -4,5959 -4,7981 -5,0359 -5,2970 -5,5584 -5,7932 -5,9859 -6,1319 -6,2275 -6,2727 -6,2777 -6,2528 -6,1918 -6,0795 -5,9250 -5,7758 -5,6803 -5,6516 -5,6806 -5,7580 -5,8732 -6,0094 -6,1469 -6,2679 -6,3610 -6,4252 -6,4649 -6,4845 -6,4874 -6,4735 -6,4377 -6,3771 -6,2971 -6,2011 -6,0790
