Fp1   -1,8227 -1,3678 -0,9988 -0,6890 -0,4217 -0,2082 -0,0787 -0,0549 -0,1206 -0,2175 -0,2839 -0,2923 -0,2450 -0,1514 -0,0304 0,0724 0,0880 -0,0485 -0,3671 -0,8376 -1,3628 -1,8057 -2,0407 -1,9912 -1,6364 -1,0191 -0,2546 0,4955 1,0798 1,4114 1,5015 1,4475 1,3729 1,3673 1,4695 1,6752 1,9277 2,1150 2,1129 1,8511 1,3481 0,6969 0,0257 -0,5411 -0,9093 -1,0311 -0,9104 -0,5915 -0,1344 0,4064 0,9810 1,5303 1,9893 2,3172 2,5191 2,6359 2,7182 2,7994 2,8711 2,8861 2,7855 2,5167 2,0371 1,3289 0,4296 -0,5510 -1,4585 -2,1400 -2,4711 -2,3847 -1,9190 -1,2337 -0,5401 0,0286 0,4898 0,9408 1,4241 1,8767 2,1900 2,2922 2,1955 1,9958 1,8242 1,7708 1,8381 1,9623 2,0718 2,1305 2,1580 2,2290 2,4347 2,8157 3,3225 3,8397 4,2452 4,4522 4,4158 4,1197 3,5710 2,8123 1,9252 1,0092 0,1527 -0,5869 -1,1795 -1,5946 -1,7901 -1,7499 -1,5318 -1,2652 -1,0981 -1,1483 -1,4861 -2,1243 -3,0092 -4,0335 -5,0747 -6,0446 -6,9190 -7,7094 -8,4009 -8,9252 -9,1935 -9,1496 -8,7974 -8,1883 -7,3818 -6,4125 -5,2907 -4,0196 -2,6001 -1,0395 0,6174 2,2654 3,7587 4,9714 5,8474 6,4039 6,7093 6,8624 6,9646 7,0993 7,3236 7,6495 8,0266 8,3563 8,5299 8,4796 8,2178 7,8285 7,4178 7,0726 6,8487 6,7717 6,8344 6,9938 7,1822 7,3389 7,4344 7,4625 7,4172 7,2764 7,0007 6,5505 5,9151 5,1219 4,2172 3,2521 2,2893 1,4170 0,7558 0,4486 0,6141 1,2653 2,2620 3,3620 4,3321 5,0223 5,3709 5,3829 5,1124 4,6404 4,0450 3,3868 2,7207 2,1160 1,6581 1,4179 1,4149 1,6188 1,9855 2,4761 3,0289 3,5223 3,7797 3,6276 2,9837 1,9212 0,6460 -0,6000 -1,6198 -2,2889 -2,5666 -2,5102 -2,2614 -1,9916 -1,8434 -1,8993 -2,1756 -2,6412 -3,2455 -3,9355 -4,6597 -5,3687 -6,0141 -6,5450 -6,9128 -7,0856 -7,0556 -6,8416 -6,4824 -6,0138 -5,4519 -4,8191 -4,1782 -3,6174 -3,1957 -2,9165 -2,7542 -2,6858 -2,6972 -2,7825 -2,9433 -3,1731 -3,4338 -3,6608 -3,8072 -3,8903 -3,9854 -4,1694 -4,4639 -4,8187 -5,1396 -5,3382 -5,3667 -5,2229 -4,9385 -4,5697 -4,1764 -3,8011 -3,4757 -3,2407 -3,1356 -3,1628 -3,2717 -3,3896 -3,4723 -3,5387 -3,6645 -3,9358 -4,3911 -4,9847 -5,5888 -6,0447 -6,2345 -6,1209 -5,7398 -5,1758 -4,5455 -3,9809 -3,5989 -3,4598 -3,5447 -3,7733 -4,0502 -4,3161 -4,5690 -4,8364 -5,1205 -5,3669 -5,4824 -5,3871 -5,0644 -4,5706 -4,0007 -3,4415 -2,9451 -2,5335 -2,2180 -2,0108 -1,9263 -1,9795 -2,1738 -2,4689 -2,7655 -2,9555 -3,0067 -2,9873 -3,0028 -3,1143 -3,3059 -3,5074 -3,6364 -3,6280 -3,4518 -3,1340 -2,7614 -2,4292 -2,1710 -1,9507 -1,7169 -1,4471 -1,1499 -0,8537 -0,6046 -0,4480 -0,3957 -0,4308 -0,5446 -0,7465 -1,0354 -1,3694 -1,6581 -1,7804 -1,6310 -1,1828 -0,5191 0,1948 0,7743 1,0724 1,0204 0,6516 0,0884 -0,5157 -1,0438 -1,4414 -1,6928 -1,7882 -1,7236 -1,5240 -1,2547 -0,9973 -0,7991 -0,6484 -0,5057 -0,3533 -0,2082 -0,0910 0,0048 0,1109 0,2595 0,4625 0,7035 0,9468 1,1548 1,2936 1,3321 1,2475 1,0429 0,7640 0,4995 0,3502 0,3728 0,5426 0,7881 1,0631 1,3717 1,7392 2,1686 2,6160 3,0098 3,2995 3,4766 3,5631 3,5951 3,6041 3,5951 3,5372 3,3784 3,0818 2,6582 2,1747 1,7367 1,4545 1,4023 1,5869 1,9530 2,4121 2,8621 3,1949 3,3307 3,2629 3,0513 2,7731 2,4851 2,2130 1,9541 1,6866 1,3906 1,0785 0,8040 0,6327 0,5969 0,6798 0,8443 1,0680 1,3445 1,6590 1,9755 2,2445 2,4105 2,4238 2,2687 1,9872 1,6602 1,3659 1,1594 1,0819 1,1652 1,4195 1,8255 2,3372 2,8926 3,4386 3,9520 4,4224 4,8162 5,0673 5,1091 4,9101 4,4906 3,9339 3,3804 2,9766 2,8206 2,9518 3,3506 3,9276 4,5477 5,0859 5,4608 5,6312 5,5820 5,3054 4,7960 4,0773 3,2485 2,5005 2,0600 2,0921 2,6323 3,5807 4,7461 5,9102 6,8792 7,5101 7,7348 7,5938 7,2328 6,8298 6,5117 6,3210 6,2312 6,1769 6,0844 5,9034 5,6197 5,2424 4,7946 4,3209 3,8773 3,4980 3,1843 2,9330 2,7680 2,7436 2,9150 3,2886 3,7910 4,2946 4,6742 4,8479 4,7846 4,4889 3,9824 3,2906 2,4244 1,3759 0,1423 -1,2386 -2,6664 -3,9847 -5,0295 -5,6894 -5,9226 -5,7248 -5,0976 -4,0609 -2,6939 -1,1660 0,2963 1,5019 2,3639 2,8838 3,0953 3,0410 2,7835 2,4104 2,0192 1,7082 1,5799 1,7306 2,2100 2,9810 3,9230 4,8866 5,7532 6,4561 6,9751 7,3398 7,6257 7,9148 8,2412 8,5718 8,8451 9,0371 9,1954 9,3965 9,6710 9,9736 10,2138 10,2977 10,1459 9,6988 8,9469 7,9659 6,9023 5,9109 5,1057 4,5509 4,2722 4,2643 4,4850 4,8449 5,2106 5,4377 5,4198 5,1256 4,6181 4,0412 3,5607 3,2884 3,2407 3,3497 3,5116 3,6502 3,7516 3,8408 3,9282 3,9834 3,9604 3,8306 3,5889 3,2468 2,8348 2,4146 2,0813 1,9296 2,0043 2,2801 2,6682 3,0304 3,2119 3,0970 2,6473 1,9002 0,9517 -0,0676 -1,0286 -1,8455 -2,4894 -2,9613 -3,2708 -3,4441 -3,5205 -3,5281 -3,4749 -3,3599 -3,1802 -2,9315 -2,6092 -2,2023 -1,6978 -1,1096 -0,5087 -0,0102 0,2749 0,2884 0,0523 -0,3356
Fz    1,5395 1,5996 1,6719 1,7298 1,7432 1,6928 1,5676 1,3644 1,1036 0,8349 0,6059 0,4287 0,2797 0,1187 -0,0914 -0,3663 -0,6893 -1,0214 -1,3233 -1,5700 -1,7545 -1,8828 -1,9612 -1,9865 -1,9488 -1,8518 -1,7282 -1,6240 -1,5631 -1,5283 -1,4729 -1,3483 -1,1261 -0,8078 -0,4262 -0,0364 0,3022 0,5458 0,6777 0,7065 0,6641 0,5995 0,5645 0,5938 0,6963 0,8620 1,0722 1,3028 1,5256 1,7151 1,8561 1,9442 1,9830 1,9805 1,9425 1,8712 1,7731 1,6635 1,5529 1,4316 1,2763 1,0719 0,8275 0,5748 0,3511 0,1821 0,0750 0,0220 0,0118 0,0308 0,0514 0,0283 -0,0776 -0,2626 -0,4744 -0,6478 -0,7457 -0,7728 -0,7616 -0,7473 -0,7442 -0,7402 -0,7113 -0,6459 -0,5621 -0,4971 -0,4743 -0,4832 -0,4871 -0,4361 -0,2841 -0,0095 0,3688 0,7991 1,2189 1,5755 1,8394 2,0036 2,0723 2,0516 1,9445 1,7520 1,4793 1,1395 0,7515 0,3375 -0,0771 -0,4724 -0,8440 -1,2071 -1,5876 -2,0096 -2,4871 -3,0141 -3,5679 -4,1277 -4,6810 -5,2168 -5,7250 -6,1961 -6,6116 -6,9395 -7,1451 -7,2064 -7,1185 -6,8858 -6,5132 -6,0103 -5,3992 -4,7105 -3,9728 -3,2116 -2,4548 -1,7328 -1,0721 -0,4892 0,0168 0,4703 0,9147 1,3906 1,9124 2,4699 3,0471 3,6295 4,1967 4,7203 5,1728 5,5373 5,8135 6,0149 6,1611 6,2733 6,3760 6,4905 6,6199 6,7414 6,8168 6,8183 6,7459 6,6242 6,4803 6,3233 6,1422 5,9257 5,6822 5,4336 5,1882 4,9267 4,6191 4,2514 3,8400 3,4280 3,0673 2,7967 2,6263 2,5391 2,5052 2,4978 2,4974 2,4863 2,4425 2,3456 2,1838 1,9583 1,6837 1,3841 1,0862 0,8176 0,6079 0,4811 0,4411 0,4635 0,4987 0,4793 0,3375 0,0252 -0,4677 -1,1061 -1,8232 -2,5453 -3,2120 -3,7854 -4,2564 -4,6518 -5,0250 -5,4230 -5,8610 -6,3289 -6,8073 -7,2715 -7,6930 -8,0468 -8,3184 -8,5085 -8,6400 -8,7533 -8,8801 -9,0194 -9,1442 -9,2306 -9,2741 -9,2776 -9,2382 -9,1506 -9,0169 -8,8471 -8,6558 -8,4594 -8,2756 -8,1183 -7,9920 -7,8911 -7,7987 -7,6854 -7,5177 -7,2749 -6,9617 -6,6109 -6,2727 -5,9878 -5,7678 -5,5969 -5,4502 -5,3095 -5,1663 -5,0216 -4,8913 -4,8116 -4,8213 -4,9307 -5,1169 -5,3500 -5,6128 -5,8973 -6,1948 -6,4911 -6,7631 -6,9875 -7,1593 -7,2973 -7,4283 -7,5701 -7,7240 -7,8838 -8,0498 -8,2254 -8,3979 -8,5400 -8,6329 -8,6844 -8,7242 -8,7813 -8,8619 -8,9484 -9,0128 -9,0373 -9,0280 -9,0032 -8,9685 -8,9031 -8,7660 -8,5184 -8,1478 -7,6766 -7,1501 -6,6176 -6,1174 -5,6710 -5,2813 -4,9393 -4,6370 -4,3765 -4,1641 -3,9949 -3,8452 -3,6845 -3,4951 -3,2807 -3,0543 -2,8195 -2,5678 -2,2946 -2,0116 -1,7426 -1,5086 -1,3254 -1,2076 -1,1598 -1,1577 -1,1493 -1,0844 -0,9417 -0,7284 -0,4596 -0,1512 0,1706 0,4696 0,7137 0,8823 0,9634 0,9496 0,8451 0,6748 0,4749 0,2712 0,0737 -0,1106 -0,2717 -0,4033 -0,5068 -0,5833 -0,6242 -0,6119 -0,5318 -0,3835 -0,1878 0,0179 0,1939 0,3140 0,3723 0,3811 0,3628 0,3395 0,3220 0,3010 0,2539 0,1690 0,0601 -0,0388 -0,0900 -0,0694 0,0255 0,1774 0,3534 0,5098 0,6031 0,6071 0,5208 0,3623 0,1562 -0,0714 -0,2889 -0,4605 -0,5598 -0,5782 -0,5133 -0,3559 -0,0921 0,2801 0,7314 1,2014 1,6236 1,9491 2,1618 2,2816 2,3491 2,4040 2,4743 2,5684 2,6682 2,7372 2,7396 2,6591 2,5100 2,3259 2,1394 1,9754 1,8525 1,7804 1,7593 1,7896 1,8766 2,0194 2,1992 2,3866 2,5605 2,7112 2,8233 2,8651 2,8081 2,6563 2,4464 2,2229 2,0198 1,8623 1,7727 1,7649 1,8369 1,9725 2,1463 2,3251 2,4678 2,5342 2,5030 2,3802 2,1871 1,9445 1,6755 1,4179 1,2245 1,1469 1,2127 1,4149 1,7193 2,0791 2,4448 2,7739 3,0373 3,2203 3,3194 3,3375 3,2901 3,2154 3,1659 3,1840 3,2822 3,4359 3,5937 3,7034 3,7315 3,6722 3,5469 3,3885 3,2124 3,0052 2,7523 2,4734 2,2313 2,1040 2,1430 2,3449 2,6549 2,9960 3,3004 3,5260 3,6526 3,6738 3,6021 3,4710 3,3186 3,1717 3,0447 2,9447 2,8670 2,7886 2,6748 2,4989 2,2536 1,9528 1,6327 1,3398 1,1090 0,9522 0,8622 0,8177 0,7878 0,7424 0,6593 0,5228 0,3305 0,0975 -0,1532 -0,4011 -0,6354 -0,8572 -1,0748 -1,2958 -1,5282 -1,7871 -2,0939 -2,4645 -2,8957 -3,3627 -3,8308 -4,2675 -4,6435 -4,9279 -5,0934 -5,1293 -5,0530 -4,8996 -4,6966 -4,4549 -4,1866 -3,9207 -3,6974 -3,5461 -3,4665 -3,4315 -3,4046 -3,3487 -3,2283 -3,0147 -2,6993 -2,3045 -1,8775 -1,4636 -1,0847 -0,7360 -0,3990 -0,0607 0,2762 0,5989 0,8934 1,1484 1,3707 1,5971 1,8761 2,2324 2,6536 3,1012 3,5213 3,8541 4,0492 4,0861 3,9879 3,8137 3,6300 3,4776 3,3576 3,2461 3,1160 2,9506 2,7424 2,4878 2,1838 1,8268 1,4133 0,9523 0,4811 0,0625 -0,2415 -0,3973 -0,4105 -0,3173 -0,1649 0,0033 0,1441 0,2116 0,1744 0,0386 -0,1556 -0,3600 -0,5405 -0,6828 -0,7835 -0,8422 -0,8636 -0,8608 -0,8486 -0,8389 -0,8491 -0,9064 -1,0404 -1,2769 -1,6319 -2,1024 -2,6656 -3,2868 -3,9261 -4,5385 -5,0752 -5,4969 -5,7948 -5,9920 -6,1218 -6,2153 -6,3027 -6,4124 -6,5651 -6,7696 -7,0200 -7,2884 -7,5285 -7,6920 -7,7448 -7,6766 -7,5075 -7,2829 -7,0535
F3    0,3064 0,2880 0,3858 0,5527 0,7294 0,8617 0,8997 0,8096 0,6073 0,3641 0,1571 0,0141 -0,0888 -0,1964 -0,3456 -0,5462 -0,7687 -0,9541 -1,0432 -1,0080 -0,8665 -0,6725 -0,4825 -0,3301 -0,2280 -0,1858 -0,2225 -0,3544 -0,5717 -0,8298 -1,0636 -1,2086 -1,2178 -1,0759 -0,8081 -0,4713 -0,1285 0,1710 0,3974 0,5447 0,6285 0,6749 0,7051 0,7323 0,7678 0,8231 0,9057 1,0096 1,1179 1,2145 1,2905 1,3371 1,3404 1,2830 1,1519 0,9486 0,6993 0,4513 0,2443 0,0834 -0,0495 -0,1616 -0,2322 -0,2238 -0,1086 0,1073 0,3769 0,6280 0,7877 0,8014 0,6450 0,3305 -0,0931 -0,5492 -0,9568 -1,2604 -1,4406 -1,5080 -1,4906 -1,4186 -1,3096 -1,1665 -0,9849 -0,7661 -0,5294 -0,3070 -0,1193 0,0393 0,1895 0,3508 0,5331 0,7316 0,9258 1,0893 1,2011 1,2547 1,2622 1,2455 1,2174 1,1756 1,1125 1,0225 0,8959 0,7115 0,4430 0,0731 -0,3989 -0,9574 -1,5737 -2,2188 -2,8741 -3,5279 -4,1643 -4,7638 -5,3174 -5,8366 -6,3369 -6,8126 -7,2304 -7,5463 -7,7282 -7,7735 -7,7070 -7,5649 -7,3740 -7,1391 -6,8440 -6,4626 -5,9724 -5,3656 -4,6581 -3,8932 -3,1356 -2,4493 -1,8729 -1,4040 -0,9997 -0,5911 -0,1111 0,4735 1,1445 1,8500 2,5408 3,1919 3,7998 4,3690 4,9001 5,3825 5,7951 6,1191 6,3531 6,5131 6,6184 6,6760 6,6745 6,5913 6,4058 6,1147 5,7382 5,3171 4,9027 4,5448 4,2820 4,1378 4,1206 4,2206 4,4020 4,6061 4,7665 4,8282 4,7562 4,5346 4,1665 3,6798 3,1262 2,5684 2,0674 1,6716 1,4060 1,2624 1,2024 1,1767 1,1480 1,1039 1,0540 1,0155 0,9975 0,9955 0,9959 0,9771 0,9136 0,7854 0,5885 0,3340 0,0389 -0,2848 -0,6356 -1,0263 -1,4776 -1,9994 -2,5791 -3,1897 -3,8074 -4,4229 -5,0365 -5,6394 -6,2061 -6,7087 -7,1339 -7,4813 -7,7503 -7,9364 -8,0369 -8,0592 -8,0262 -7,9736 -7,9331 -7,9110 -7,8852 -7,8227 -7,7064 -7,5480 -7,3795 -7,2317 -7,1170 -7,0285 -6,9518 -6,8761 -6,7985 -6,7206 -6,6416 -6,5537 -6,4423 -6,2921 -6,1009 -5,8856 -5,6696 -5,4700 -5,3009 -5,1739 -5,0893 -5,0310 -4,9760 -4,9072 -4,8227 -4,7404 -4,6986 -4,7455 -4,9125 -5,1884 -5,5246 -5,8653 -6,1695 -6,4149 -6,5963 -6,7221 -6,8010 -6,8332 -6,8194 -6,7692 -6,6975 -6,6213 -6,5621 -6,5493 -6,6141 -6,7692 -6,9885 -7,2155 -7,3937 -7,4915 -7,5091 -7,4700 -7,4063 -7,3462 -7,2982 -7,2506 -7,1894 -7,1101 -7,0086 -6,8723 -6,6843 -6,4353 -6,1291 -5,7804 -5,4109 -5,0485 -4,7215 -4,4410 -4,1924 -3,9535 -3,7208 -3,5111 -3,3395 -3,2067 -3,1049 -3,0240 -2,9514 -2,8674 -2,7467 -2,5686 -2,3357 -2,0788 -1,8410 -1,6555 -1,5335 -1,4694 -1,4503 -1,4588 -1,4725 -1,4723 -1,4548 -1,4323 -1,4137 -1,3822 -1,3021 -1,1524 -0,9435 -0,7001 -0,4426 -0,1914 0,0196 0,1493 0,1680 0,0665 -0,1496 -0,4606 -0,8256 -1,1807 -1,4573 -1,6054 -1,6078 -1,4769 -1,2413 -0,9303 -0,5673 -0,1776 0,1976 0,5078 0,7183 0,8246 0,8448 0,8052 0,7276 0,6180 0,4664 0,2659 0,0316 -0,2011 -0,3903 -0,4985 -0,5028 -0,4022 -0,2173 0,0145 0,2480 0,4482 0,6061 0,7350 0,8497 0,9455 0,9944 0,9642 0,8474 0,6735 0,4924 0,3535 0,2992 0,3640 0,5612 0,8686 1,2293 1,5689 1,8198 1,9450 1,9507 1,8737 1,7642 1,6791 1,6669 1,7448 1,8907 2,0547 2,1790 2,2155 2,1349 1,9355 1,6491 1,3304 1,0410 0,8397 0,7751 0,8697 1,1072 1,4378 1,8013 2,1507 2,4539 2,6763 2,7759 2,7241 2,5309 2,2437 1,9213 1,6093 1,3364 1,1219 0,9784 0,9036 0,8758 0,8607 0,8316 0,7859 0,7396 0,7121 0,7173 0,7564 0,8104 0,8505 0,8592 0,8447 0,8357 0,8637 0,9448 1,0733 1,2262 1,3783 1,5175 1,6440 1,7569 1,8490 1,9132 1,9524 1,9843 2,0375 2,1353 2,2719 2,4076 2,4922 2,4913 2,3932 2,2112 1,9923 1,8046 1,6978 1,6795 1,7292 1,8288 1,9729 2,1580 2,3675 2,5671 2,7142 2,7772 2,7529 2,6710 2,5813 2,5335 2,5580 2,6490 2,7618 2,8365 2,8319 2,7398 2,5736 2,3501 2,0831 1,7890 1,4902 1,2122 0,9780 0,8027 0,6930 0,6507 0,6665 0,7071 0,7171 0,6416 0,4472 0,1281 -0,2933 -0,7736 -1,2634 -1,7161 -2,0947 -2,3820 -2,5810 -2,7058 -2,7743 -2,8090 -2,8401 -2,8992 -3,0069 -3,1661 -3,3695 -3,6116 -3,8917 -4,2043 -4,5311 -4,8396 -5,0893 -5,2392 -5,2537 -5,1146 -4,8314 -4,4356 -3,9675 -3,4682 -2,9756 -2,5197 -2,1180 -1,7719 -1,4690 -1,1898 -0,9136 -0,6274 -0,3347 -0,0566 0,1807 0,3642 0,5031 0,6150 0,7103 0,7940 0,8705 0,9385 0,9931 1,0443 1,1212 1,2499 1,4350 1,6647 1,9220 2,1860 2,4294 2,6225 2,7514 2,8352 2,9135 3,0038 3,0735 3,0547 2,8899 2,5683 2,1270 1,6256 1,1228 0,6642 0,2751 -0,0439 -0,3086 -0,5300 -0,7019 -0,8096 -0,8488 -0,8327 -0,7843 -0,7282 -0,6924 -0,7041 -0,7715 -0,8696 -0,9539 -0,9864 -0,9481 -0,8424 -0,6952 -0,5465 -0,4406 -0,4173 -0,4959 -0,6655 -0,8968 -1,1624 -1,4482 -1,7526 -2,0783 -2,4245 -2,7877 -3,1622 -3,5321 -3,8719 -4,1579 -4,3846 -4,5745 -4,7678 -4,9953 -5,2614 -5,5518 -5,8510 -6,1530 -6,4636 -6,7953 -7,1527 -7,5170 -7,8417 -8,0638 -8,1272 -8,0111 -7,7432 -7,3883
F7    -0,4157 -0,4525 -0,4462 -0,3913 -0,3065 -0,2090 -0,1039 0,0063 0,1223 0,2521 0,3950 0,5245 0,5997 0,5853 0,4587 0,2177 -0,1040 -0,4364 -0,7034 -0,8569 -0,8902 -0,8377 -0,7620 -0,7165 -0,7066 -0,6930 -0,6354 -0,5194 -0,3502 -0,1469 0,0591 0,2404 0,3888 0,5122 0,6274 0,7555 0,9015 1,0318 1,0819 0,9988 0,7873 0,5153 0,2658 0,0816 -0,0416 -0,1219 -0,1642 -0,1665 -0,1377 -0,0935 -0,0379 0,0408 0,1576 0,3161 0,4958 0,6549 0,7509 0,7596 0,6690 0,4660 0,1422 -0,2849 -0,7584 -1,1918 -1,4993 -1,6332 -1,6048 -1,4729 -1,3041 -1,1455 -1,0267 -0,9672 -0,9638 -0,9741 -0,9222 -0,7390 -0,4064 0,0298 0,4878 0,8958 1,2202 1,4578 1,6135 1,6944 1,7103 1,6639 1,5543 1,3963 1,2272 1,0973 1,0558 1,1363 1,3475 1,6673 2,0365 2,3630 2,5541 2,5685 2,4342 2,2145 1,9608 1,6910 1,3949 1,0484 0,6307 0,1410 -0,3964 -0,9366 -1,4249 -1,8218 -2,1243 -2,3571 -2,5445 -2,6960 -2,8183 -2,9345 -3,0829 -3,3004 -3,6130 -4,0272 -4,5161 -5,0161 -5,4412 -5,7045 -5,7418 -5,5298 -5,0860 -4,4632 -3,7420 -3,0093 -2,3254 -1,7040 -1,1110 -0,4738 0,2813 1,1728 2,1440 3,0989 3,9529 4,6535 5,1711 5,4959 5,6502 5,6883 5,6702 5,6322 5,5823 5,5230 5,4708 5,4484 5,4660 5,5221 5,6186 5,7675 5,9816 6,2585 6,5767 6,9062 7,2187 7,4900 7,7014 7,8369 7,8776 7,8053 7,6181 7,3359 6,9881 6,6009 6,1938 5,7801 5,3755 5,0099 4,7237 4,5465 4,4801 4,5008 4,5731 4,6579 4,7199 4,7402 4,7257 4,7011 4,6834 4,6617 4,6037 4,4739 4,2504 3,9418 3,5970 3,2885 3,0736 2,9606 2,9040 2,8346 2,6970 2,4635 2,1266 1,6983 1,2151 0,7288 0,2873 -0,0805 -0,3673 -0,5895 -0,7837 -0,9916 -1,2388 -1,5248 -1,8254 -2,0997 -2,3073 -2,4287 -2,4678 -2,4403 -2,3717 -2,2984 -2,2524 -2,2393 -2,2407 -2,2414 -2,2467 -2,2672 -2,2985 -2,3186 -2,2961 -2,2030 -2,0331 -1,8090 -1,5663 -1,3286 -1,0932 -0,8407 -0,5531 -0,2280 0,1172 0,4522 0,7422 0,9505 1,0453 1,0146 0,8669 0,6130 0,2528 -0,2114 -0,7534 -1,3221 -1,8574 -2,3079 -2,6356 -2,8138 -2,8443 -2,7776 -2,6980 -2,6825 -2,7740 -2,9786 -3,2629 -3,5605 -3,8027 -3,9518 -4,0032 -3,9648 -3,8443 -3,6606 -3,4612 -3,3072 -3,2379 -3,2585 -3,3560 -3,5124 -3,6977 -3,8530 -3,9037 -3,8054 -3,5727 -3,2667 -2,9610 -2,7107 -2,5419 -2,4556 -2,4289 -2,4192 -2,3772 -2,2590 -2,0386 -1,7222 -1,3537 -1,0017 -0,7303 -0,5760 -0,5485 -0,6403 -0,8319 -1,0928 -1,3867 -1,6747 -1,9193 -2,0928 -2,1827 -2,1876 -2,1198 -2,0135 -1,9197 -1,8792 -1,9042 -1,9873 -2,1213 -2,3011 -2,5067 -2,6927 -2,8063 -2,8174 -2,7290 -2,5555 -2,3023 -1,9760 -1,6096 -1,2643 -1,0003 -0,8457 -0,7902 -0,7958 -0,8205 -0,8492 -0,9002 -1,0012 -1,1565 -1,3383 -1,5043 -1,6259 -1,7010 -1,7379 -1,7337 -1,6782 -1,5719 -1,4284 -1,2634 -1,0889 -0,9102 -0,7246 -0,5264 -0,3191 -0,1249 0,0177 0,0751 0,0456 -0,0300 -0,0935 -0,1050 -0,0565 0,0385 0,1579 0,2807 0,3874 0,4510 0,4427 0,3590 0,2336 0,1124 0,0193 -0,0480 -0,0947 -0,1116 -0,0847 -0,0123 0,0958 0,2351 0,4139 0,6431 0,9184 1,2104 1,4668 1,6348 1,7012 1,7145 1,7464 1,8331 1,9551 2,0585 2,0777 1,9500 1,6392 1,1664 0,6161 0,1020 -0,2747 -0,4457 -0,3838 -0,1150 0,2855 0,7286 1,1484 1,5047 1,7619 1,8851 1,8630 1,7214 1,5016 1,2319 0,9265 0,6031 0,2959 0,0499 -0,0934 -0,1063 0,0212 0,2792 0,6429 1,0788 1,5421 1,9687 2,2835 2,4332 2,4242 2,3262 2,2261 2,1739 2,1719 2,1981 2,2279 2,2438 2,2411 2,2267 2,2091 2,1868 2,1499 2,0968 2,0446 2,0230 2,0534 2,1292 2,2207 2,3030 2,3742 2,4497 2,5449 2,6626 2,7975 2,9469 3,1045 3,2475 3,3449 3,3795 3,3504 3,2592 3,1096 2,9215 2,7354 2,6013 2,5610 2,6363 2,8235 3,0869 3,3635 3,5865 3,7055 3,6955 3,5689 3,3814 3,2117 3,1288 3,1692 3,3286 3,5606 3,7922 3,9565 4,0214 3,9957 3,9136 3,8105 3,7029 3,5839 3,4361 3,2455 2,9998 2,6819 2,2749 1,7728 1,1897 0,5676 -0,0294 -0,5342 -0,8949 -1,0908 -1,1432 -1,1017 -1,0089 -0,8823 -0,7314 -0,5877 -0,5121 -0,5734 -0,8167 -1,2407 -1,7952 -2,3939 -2,9367 -3,3377 -3,5475 -3,5525 -3,3600 -2,9952 -2,5141 -1,9976 -1,5184 -1,1135 -0,7814 -0,4896 -0,1875 0,1667 0,5801 1,0222 1,4512 1,8424 2,1933 2,5108 2,8001 3,0653 3,3093 3,5272 3,7002 3,8070 3,8470 3,8455 3,8378 3,8599 3,9434 4,0999 4,3100 4,5381 4,7605 4,9739 5,1790 5,3638 5,4990 5,5450 5,4673 5,2541 4,9254 4,5300 4,1333 3,7940 3,5370 3,3432 3,1664 2,9659 2,7280 2,4631 2,1948 1,9581 1,7969 1,7512 1,8410 2,0635 2,4002 2,8155 3,2462 3,6028 3,8019 3,8108 3,6619 3,4198 3,1300 2,8021 2,4333 2,0410 1,6759 1,4063 1,2847 1,3213 1,4810 1,6989 1,9026 2,0309 2,0414 1,9103 1,6360 1,2384 0,7524 0,2188 -0,3228 -0,8355 -1,2843 -1,6418 -1,8970 -2,0608 -2,1663 -2,2616 -2,3966 -2,6108 -2,9223 -3,3130 -3,7253 -4,0744 -4,2690 -4,2349 -3,9487 -3,4623 -2,8824 -2,3180
