Fp1   -3,6650 -2,7455 -1,6029 -0,3306 0,9227 1,9848 2,7256 3,0940 3,1079 2,8168 2,2672 1,5062 0,6236 -0,2138 -0,7979 -0,9894 -0,8012 -0,3475 0,2573 0,9225 1,5586 2,0990 2,5360 2,9006 3,1962 3,3527 3,2556 2,8366 2,1397 1,3085 0,5154 -0,1076 -0,5001 -0,6800 -0,7303 -0,7566 -0,8426 -1,0329 -1,3326 -1,7033 -2,0771 -2,3940 -2,6307 -2,7979 -2,9060 -2,9327 -2,8584 -2,7364 -2,6771 -2,7376 -2,8561 -2,9118 -2,8229 -2,5821 -2,2402 -1,8867 -1,6237 -1,5230 -1,5880 -1,7553 -1,9366 -2,0728 -2,1661 -2,2473 -2,3043 -2,2615 -2,0475 -1,6697 -1,2121 -0,7792 -0,4529 -0,2732 -0,2270 -0,2632 -0,3357 -0,4107 -0,4305 -0,3257 -0,0754 0,2866 0,7357 1,2929 1,9950 2,8388 3,7479 4,5866 5,2059 5,4770 5,3175 4,7389 3,8785 2,9509 2,1460 1,5537 1,1303 0,7208 0,1571 -0,6377 -1,6175 -2,6230 -3,4123 -3,7563 -3,5528 -2,8598 -1,8526 -0,7618 0,1951 0,8712 1,2123 1,2384 1,0145 0,6323 0,1732 -0,3513 -0,9923 -1,7604 -2,5403 -3,1195 -3,2973 -2,9887 -2,2651 -1,3143 -0,3502 0,4638 1,0492 1,4030 1,5522 1,5132 1,3068 1,0076 0,7504 0,6762 0,8671 1,3002 1,8476 2,3496 2,7078 2,9160 3,0179 3,0367 2,9382 2,6566 2,1481 1,4280 0,5955 -0,1586 -0,6123 -0,6248 -0,2128 0,4603 1,1591 1,6631 1,8227 1,5758 0,9410 0,0177 -1,0091 -1,8990 -2,4411 -2,5483 -2,2853 -1,8018 -1,2348 -0,6596 -0,1052 0,4185 0,9332 1,5179 2,2707 3,1920 4,1040 4,7145 4,7950 4,3352 3,5600 2,8074 2,3627 2,3570 2,7647 3,4600 4,2686 4,9877 5,4159 5,4320 5,0708 4,5100 3,9703 3,6147 3,5044 3,6105 3,8540 4,1512 4,4504 4,7400 5,0200 5,2743 5,4765 5,6102 5,6682 5,6283 5,4460 5,0840 4,5639 3,9868 3,4795 3,1009 2,8049 2,4974 2,1364 1,7899 1,5924 1,6397 1,9262 2,3615 2,8330 3,2654 3,6183 3,8446 3,9073 3,8241 3,6501 3,4300 3,1789 2,8799 2,4977 2,0098 1,4207 0,7505 0,0391 -0,6319 -1,1526 -1,4364 -1,4456 -1,1695 -0,6141 0,1594 1,0001 1,7024 2,0911 2,0775 1,6663 0,9613 0,1598 -0,5199 -0,9297 -1,0213 -0,8289 -0,4499 0,0037 0,4887 1,0643 1,8209 2,7708 3,8064 4,7583 5,4909 5,9477 6,1332 6,0726 5,7865 5,3055 4,7132 4,1631 3,8292 3,8145 4,0703 4,3964 4,5591 4,4525 4,1461 3,7850 3,4746 3,2549 3,1422 3,1624 3,3483 3,7163 4,2403 4,8417 5,3930 5,7347 5,7192 5,2794 4,4919 3,5872 2,8630 2,5317 2,6082 2,9284 3,2803 3,5209 3,5978 3,5211 3,3348 3,0721 2,7148 2,2161 1,5576 0,7640 -0,1176 -0,9998 -1,7192 -2,0703 -1,9132 -1,2610 -0,2831 0,7625 1,6394 2,2290 2,5518 2,7072 2,7838 2,8081 2,7488 2,5366 2,0990 1,4241 0,6051 -0,1941 -0,8255 -1,2212 -1,3889 -1,3358 -1,0002 -0,2898 0,8072 2,1695 3,5976 4,8928 5,8973 6,5142 6,7381 6,6762 6,5083 6,3913 6,3857 6,4472 6,4652 6,3222 5,9624 5,4434 4,9109 4,4881 4,1768 3,8828 3,5350 3,1602 2,8557 2,7224 2,8098 3,0801 3,4239 3,7400 3,9915 4,1768 4,2816 4,2750 4,1379 3,8880 3,5857 3,3117 3,1160 2,9849 2,8724 2,7595 2,6774 2,6776 2,7837 2,9699 3,1811 3,3686 3,5126 3,6223 3,7214 3,8284 3,9272 3,9523 3,8208 3,4995 3,0444 2,5671 2,1777 1,9793 2,0832 2,5617 3,3540 4,2363 4,9052 5,1160 4,7789 3,9704 2,8824 1,7451 0,7254 -0,1449 -0,9184 -1,5906 -2,0298 -2,0634 -1,6120 -0,7264 0,4573 1,7573 2,9704 3,9240 4,5358 4,8255 4,8653 4,7232 4,4646 4,1919 4,0394 4,0994 4,3546 4,6942 4,9953 5,1840 5,2433 5,2094 5,1774 5,2750 5,5843 6,0693 6,5787 6,9259 6,9881 6,7607 6,3519 5,9344 5,6710 5,6459 5,8248 6,0588 6,1628 6,0367 5,7189 5,3285 4,9771 4,7376 4,6696 4,8248 5,1896 5,6331 5,9497 5,9676 5,6274 4,9949 4,2279 3,5162 3,0216 2,8430 2,9934 3,3999 3,9438 4,4938 4,9113 5,0875 5,0008 4,7165 4,3466 4,0289 3,8935 3,9984 4,2980 4,6819 5,0445 5,3328 5,5497 5,7375 5,9682 6,3314 6,9016 7,6859 8,5892 9,4342 10,0277 10,2323 10,0096 9,4440 8,7368 8,1281 7,7711 7,6613 7,6668 7,6331 7,4949 7,3102 7,2034 7,2899 7,6265 8,1822 8,8322 9,3816 9,6116 9,3358 8,4575 7,0252 5,2516 3,4638 2,0016 1,1145 0,8913 1,2479 1,9888 2,9162 3,9156 4,9444 5,9419 6,7785 7,2992 7,4061 7,1051 6,4826 5,6606 4,7970 4,0989 3,7687 3,9040 4,4434 5,2186 6,0548 6,8268 7,4610 7,9171 8,1531 8,1099 7,7479 7,1000 6,2846 5,4572 4,7455 4,2323 3,9699 3,9721 4,2111 4,6437 5,2294 5,9070 6,5684 7,0888 7,4005 7,5340 7,5854 7,6511 7,7939 8,0536 8,4533 8,9711 9,5188 9,9789 10,2755 10,4135 10,4524 10,4430 10,3933 10,2752 10,0196 9,5132 8,6692 7,5431 6,3822 5,5323 5,2458 5,5502 6,2693 7,1369 7,9044 8,4107 8,6152 8,5769 8,3805 8,0683 7,6342 7,0620 6,3645 5,6027 4,8766 4,2884 3,9184 3,8225 3,9959 4,3193 4,5787 4,5639 4,1609 3,3933 2,4029 1,3811 0,5050 -0,1031 -0,4139 -0,4924 -0,4342 -0,2944 -0,0631 0,3077 0,8526 1,5533 2,3394 3,1216
Fz    -0,9329 -0,7105 -0,5120 -0,3476 -0,2260 -0,1530 -0,1283 -0,1435 -0,1784 -0,1970 -0,1547 -0,0132 0,2454 0,6062 1,0227 1,4377 1,8112 2,1287 2,3877 2,5827 2,7096 2,7771 2,8001 2,7886 2,7503 2,6905 2,5947 2,4196 2,1195 1,6898 1,1780 0,6488 0,1468 -0,3062 -0,6943 -0,9983 -1,2045 -1,3188 -1,3675 -1,3816 -1,3873 -1,4167 -1,5266 -1,7893 -2,2446 -2,8582 -3,5354 -4,1683 -4,6672 -4,9739 -5,0757 -5,0125 -4,8625 -4,7071 -4,5991 -4,5449 -4,5100 -4,4482 -4,3375 -4,1905 -4,0359 -3,8944 -3,7677 -3,6393 -3,4855 -3,2876 -3,0362 -2,7277 -2,3621 -1,9445 -1,4838 -0,9982 -0,5243 -0,1119 0,2002 0,4006 0,5067 0,5625 0,6281 0,7469 0,9180 1,1052 1,2712 1,4003 1,5019 1,6014 1,7114 1,8033 1,8115 1,6640 1,3130 0,7561 0,0466 -0,7123 -1,3948 -1,8855 -2,1143 -2,0917 -1,9204 -1,7596 -1,7559 -1,9839 -2,4231 -2,9836 -3,5619 -4,0778 -4,4758 -4,7131 -4,7604 -4,6155 -4,3054 -3,8714 -3,3546 -2,7924 -2,2131 -1,6352 -1,0784 -0,5690 -0,1277 0,2437 0,5619 0,8559 1,1600 1,5054 1,9086 2,3570 2,8010 3,1648 3,3745 3,3824 3,1795 2,8039 2,3361 1,8596 1,4239 1,0473 0,7362 0,4915 0,3112 0,1828 0,0644 -0,1111 -0,3987 -0,8093 -1,3031 -1,7937 -2,1731 -2,3606 -2,3385 -2,1509 -1,8805 -1,6165 -1,4301 -1,3633 -1,4279 -1,6097 -1,8676 -2,1374 -2,3502 -2,4587 -2,4441 -2,3092 -2,0811 -1,8144 -1,5674 -1,3738 -1,2398 -1,1513 -1,0721 -0,9603 -0,7916 -0,5578 -0,2490 0,1475 0,6320 1,1852 1,7736 2,3548 2,8775 3,2904 3,5617 3,6985 3,7533 3,7993 3,8936 4,0664 4,3393 4,7342 5,2538 5,8575 6,4608 6,9598 7,2645 7,3306 7,1771 6,8762 6,5144 6,1567 5,8428 5,6029 5,4600 5,4189 5,4648 5,5746 5,7205 5,8688 5,9850 6,0346 5,9727 5,7464 5,3156 4,6781 3,8755 2,9830 2,1003 1,3371 0,7787 0,4622 0,3836 0,5024 0,7309 0,9465 1,0419 0,9768 0,7861 0,5461 0,3347 0,2074 0,1870 0,2600 0,3828 0,5013 0,5721 0,5638 0,4505 0,2208 -0,1087 -0,4924 -0,8706 -1,1912 -1,4242 -1,5584 -1,5939 -1,5413 -1,4229 -1,2630 -1,0681 -0,8152 -0,4625 0,0187 0,6160 1,2753 1,9219 2,4804 2,8894 3,1171 3,1777 3,1284 3,0383 2,9542 2,8929 2,8573 2,8572 2,9133 3,0453 3,2568 3,5267 3,8131 4,0690 4,2585 4,3647 4,3934 4,3673 4,3110 4,2448 4,1924 4,1748 4,1858 4,1870 4,1346 4,0079 3,8158 3,5810 3,3223 3,0505 2,7715 2,4856 2,1842 1,8532 1,4838 1,0783 0,6450 0,1975 -0,2401 -0,6368 -0,9651 -1,1992 -1,3042 -1,2422 -0,9994 -0,6177 -0,2049 0,1004 0,1963 0,0632 -0,2426 -0,6283 -1,0048 -1,3178 -1,5549 -1,7319 -1,8716 -1,9832 -2,0460 -2,0126 -1,8319 -1,4834 -1,0051 -0,4920 -0,0581 0,2133 0,2968 0,2195 0,0369 -0,1888 -0,4011 -0,5599 -0,6464 -0,6465 -0,5235 -0,2336 0,2261 0,8041 1,4294 2,0444 2,6094 3,0950 3,4798 3,7495 3,8893 3,8857 3,7428 3,5003 3,2296 3,0073 2,8852 2,8766 2,9587 3,0867 3,2101 3,2845 3,2796 3,1933 3,0586 2,9220 2,8161 2,7600 2,7705 2,8509 2,9773 3,1163 3,2511 3,3870 3,5406 3,7263 3,9390 4,1436 4,2900 4,3407 4,2884 4,1590 4,0067 3,9008 3,9068 4,0642 4,3590 4,7102 5,0021 5,1417 5,0937 4,8842 4,5799 4,2523 3,9536 3,7198 3,5797 3,5513 3,6299 3,7859 3,9737 4,1377 4,2128 4,1385 3,8896 3,4951 3,0287 2,5753 2,1969 1,9161 1,7209 1,5847 1,4933 1,4606 1,5136 1,6653 1,9060 2,2173 2,5887 3,0258 3,5406 4,1278 4,7417 5,2965 5,6979 5,8823 5,8413 5,6204 5,2918 4,9200 4,5472 4,2005 3,9006 3,6675 3,5194 3,4618 3,4863 3,5850 3,7534 3,9723 4,1921 4,3415 4,3588 4,2294 4,0057 3,7834 3,6453 3,6206 3,6941 3,8405 4,0384 4,2599 4,4710 4,6484 4,7910 4,9167 5,0528 5,2168 5,3899 5,5145 5,5290 5,4122 5,1888 4,8908 4,5288 4,1114 3,6795 3,3104 3,0884 3,0659 3,2484 3,6073 4,0965 4,6553 5,2143 5,7181 6,1393 6,4711 6,7207 6,9089 7,0577 7,1640 7,2026 7,1642 7,0797 7,0060 6,9990 7,1003 7,3291 7,6724 8,0770 8,4542 8,7051 8,7643 8,6331 8,3716 8,0564 7,7349 7,4046 7,0236 6,5355 5,8980 5,1194 4,2862 3,5461 3,0397 2,8354 2,9146 3,1931 3,5458 3,8355 3,9516 3,8483 3,5514 3,1363 2,6939 2,3033 2,0102 1,8195 1,7028 1,6167 1,5253 1,4243 1,3565 1,4005 1,6308 2,0691 2,6640 3,3176 3,9362 4,4584 4,8507 5,0963 5,1921 5,1506 4,9932 4,7409 4,4197 4,0761 3,7834 3,6135 3,5960 3,7060 3,8902 4,1006 4,3162 4,5457 4,8137 5,1450 5,5501 6,0118 6,4816 6,8991 7,2234 7,4532 7,6222 7,7771 7,9497 8,1479 8,3748 8,6436 8,9625 9,3115 9,6430 9,9039 10,0601 10,1085 10,0707 9,9722 9,8255 9,6277 9,3651 9,0244 8,6002 8,0953 7,5167 6,8704 6,1549 5,3658 4,5176 3,6665 2,9033 2,3058 1,8911 1,6130 1,3997 1,1975 0,9876 0,7698 0,5384 0,2812 0,0034 -0,2556 -0,4364 -0,4953 -0,4301 -0,2763 -0,0876 0,0823 0,1974 0,2495 0,2456 0,1829 0,0468 -0,1619 -0,4121 -0,6558 -0,8489 -0,9623 -0,9811 -0,8992
F3    0,7454 0,6973 0,4531 0,0882 -0,2933 -0,6059 -0,8119 -0,9167 -0,9391 -0,8789 -0,7036 -0,3642 0,1668 0,8572 1,6071 2,2847 2,7798 3,0357 3,0518 2,8772 2,5998 2,3155 2,0842 1,9104 1,7645 1,6141 1,4366 1,2209 0,9709 0,7068 0,4561 0,2296 0,0084 -0,2384 -0,5221 -0,8172 -1,0757 -1,2562 -1,3443 -1,3568 -1,3312 -1,3153 -1,3679 -1,5496 -1,8936 -2,3774 -2,9210 -3,4129 -3,7557 -3,9133 -3,9290 -3,8986 -3,9235 -4,0750 -4,3737 -4,7835 -5,2232 -5,6009 -5,8464 -5,9173 -5,7872 -5,4380 -4,8690 -4,1141 -3,2544 -2,4045 -1,6618 -1,0599 -0,5715 -0,1458 0,2603 0,6643 1,0412 1,3289 1,4682 1,4420 1,2865 1,0794 0,9140 0,8514 0,8804 0,9362 0,9634 0,9532 0,9352 0,9532 1,0366 1,1711 1,2915 1,3029 1,1228 0,7254 0,1604 -0,4700 -1,0499 -1,4702 -1,6457 -1,5528 -1,2612 -0,9255 -0,7320 -0,8227 -1,2365 -1,9108 -2,7315 -3,5789 -4,3408 -4,9161 -5,2318 -5,2629 -5,0280 -4,5643 -3,9124 -3,1147 -2,2189 -1,2918 -0,4344 0,2370 0,6463 0,7966 0,7598 0,6412 0,5472 0,5643 0,7429 1,0894 1,5645 2,0864 2,5422 2,8138 2,8198 2,5543 2,0858 1,5024 0,8665 0,2258 -0,3591 -0,8231 -1,1266 -1,2765 -1,3302 -1,3684 -1,4523 -1,6000 -1,7925 -1,9838 -2,1124 -2,1262 -2,0071 -1,7807 -1,5110 -1,2801 -1,1529 -1,1475 -1,2328 -1,3522 -1,4512 -1,4952 -1,4791 -1,4193 -1,3336 -1,2286 -1,1105 -0,9937 -0,8920 -0,8126 -0,7715 -0,7967 -0,8965 -1,0316 -1,1202 -1,0637 -0,7827 -0,2507 0,4924 1,3558 2,2315 3,0262 3,6738 4,1344 4,3959 4,4876 4,4828 4,4662 4,4884 4,5589 4,6773 4,8554 5,1042 5,4109 5,7328 6,0059 6,1645 6,1735 6,0563 5,8853 5,7405 5,6739 5,7040 5,8306 6,0391 6,2880 6,5063 6,6128 6,5459 6,2957 5,9194 5,5084 5,1251 4,7659 4,3775 3,9032 3,3152 2,6190 1,8544 1,0968 0,4345 -0,0607 -0,3468 -0,4264 -0,3633 -0,2655 -0,2246 -0,2594 -0,3207 -0,3408 -0,2733 -0,1067 0,1278 0,3598 0,5075 0,5157 0,3700 0,0839 -0,3125 -0,7677 -1,2095 -1,5608 -1,7677 -1,8172 -1,7319 -1,5565 -1,3483 -1,1608 -1,0195 -0,9117 -0,8005 -0,6435 -0,4039 -0,0648 0,3556 0,8095 1,2446 1,6239 1,9294 2,1582 2,3249 2,4609 2,6028 2,7767 2,9929 3,2431 3,4974 3,7146 3,8654 3,9516 4,0026 4,0552 4,1304 4,2236 4,3114 4,3737 4,4058 4,4107 4,3892 4,3430 4,2789 4,1994 4,0997 3,9855 3,8885 3,8503 3,8838 3,9468 3,9519 3,8019 3,4287 2,8282 2,0699 1,2680 0,5297 -0,0854 -0,5719 -0,9554 -1,2649 -1,5164 -1,6954 -1,7470 -1,6029 -1,2395 -0,7233 -0,2047 0,1463 0,2145 -0,0240 -0,5095 -1,1235 -1,7323 -2,2407 -2,6164 -2,8699 -3,0204 -3,0683 -2,9885 -2,7477 -2,3287 -1,7492 -1,0752 -0,4114 0,1386 0,5170 0,7208 0,7708 0,6753 0,4317 0,0679 -0,3341 -0,6674 -0,8410 -0,7924 -0,4972 0,0124 0,6519 1,3230 1,9524 2,5025 2,9625 3,3338 3,6137 3,7838 3,8214 3,7264 3,5411 3,3441 3,2142 3,1903 3,2553 3,3490 3,3964 3,3389 3,1524 2,8494 2,4778 2,1112 1,8199 1,6427 1,5918 1,6682 1,8546 2,1039 2,3535 2,5552 2,7004 2,8243 2,9789 3,1906 3,4364 3,6569 3,7883 3,7904 3,6680 3,4756 3,2911 3,1754 3,1567 3,2356 3,3882 3,5693 3,7207 3,7875 3,7422 3,5941 3,3697 3,0900 2,7759 2,4740 2,2615 2,2156 2,3706 2,6956 3,0970 3,4444 3,6242 3,5984 3,4209 3,1893 2,9754 2,7870 2,5825 2,3193 1,9959 1,6618 1,3939 1,2571 1,2790 1,4504 1,7416 2,1267 2,5993 3,1641 3,8055 4,4633 5,0444 5,4668 5,7014 5,7812 5,7725 5,7247 5,6372 5,4671 5,1674 4,7310 4,2174 3,7392 3,4070 3,2762 3,3351 3,5204 3,7365 3,8834 3,8928 3,7599 3,5505 3,3711 3,3058 3,3641 3,4872 3,6059 3,6867 3,7309 3,7450 3,7341 3,7177 3,7343 3,8242 4,0074 4,2591 4,4923 4,5828 4,4425 4,0777 3,5779 3,0506 2,5727 2,1883 1,9302 1,8302 1,9052 2,1411 2,4946 2,9161 3,3691 3,8295 4,2742 4,6830 5,0441 5,3473 5,5851 5,7639 5,8902 5,9412 5,8746 5,6790 5,4097 5,1692 5,0581 5,1366 5,4083 5,8160 6,2559 6,6118 6,8026 6,8221 6,7379 6,6422 6,5870 6,5545 6,4734 6,2556 5,8294 5,1642 4,2963 3,3462 2,4971 1,9246 1,7212 1,8706 2,2680 2,7547 3,1562 3,3341 3,2351 2,9018 2,4353 1,9359 1,4703 1,0735 0,7581 0,5155 0,3290 0,1994 0,1569 0,2533 0,5422 1,0529 1,7629 2,5903 3,4202 4,1439 4,6774 4,9606 4,9690 4,7356 4,3477 3,9137 3,5277 3,2511 3,1049 3,0719 3,1097 3,1718 3,2321 3,2903 3,3595 3,4601 3,6225 3,8772 4,2385 4,6914 5,1837 5,6338 5,9670 6,1557 6,2369 6,2922 6,4049 6,6204 6,9397 7,3417 7,8001 8,2778 8,7156 9,0491 9,2450 9,3158 9,3019 9,2478 9,1914 9,1551 9,1296 9,0619 8,8729 8,5029 7,9410 7,2248 6,4232 5,6088 4,8265 4,0821 3,3761 2,7461 2,2560 1,9437 1,7910 1,7408 1,7338 1,7248 1,6760 1,5506 1,3243 1,0065 0,6531 0,3572 0,2116 0,2664 0,5088 0,8638 1,2110 1,4304 1,4634 1,3349 1,1107 0,8467 0,5782 0,3236 0,0821 -0,1563 -0,3910 -0,6018 -0,7557
F7    -1,8817 -1,4250 -0,8319 -0,2343 0,2399 0,5435 0,7273 0,8916 1,1149 1,4165 1,7578 2,0545 2,2054 2,1483 1,9000 1,5502 1,2230 1,0342 1,0556 1,2862 1,6459 2,0088 2,2602 2,3441 2,2826 2,1486 2,0009 1,8295 1,5593 1,1238 0,5397 -0,0968 -0,6797 -1,1498 -1,4972 -1,7355 -1,8882 -1,9889 -2,0684 -2,1373 -2,1880 -2,2051 -2,1717 -2,0883 -2,0031 -2,0009 -2,1451 -2,4373 -2,8222 -3,2158 -3,5431 -3,7768 -3,9314 -4,0112 -3,9823 -3,8019 -3,4473 -2,9175 -2,2535 -1,5687 -1,0309 -0,7882 -0,8881 -1,2416 -1,6569 -1,9237 -1,8983 -1,5574 -1,0001 -0,3936 0,1029 0,3948 0,4756 0,4221 0,3656 0,4369 0,7061 1,1549 1,7011 2,2569 2,7802 3,2688 3,7035 4,0197 4,1476 4,0593 3,7713 3,3234 2,7715 2,1904 1,6632 1,2494 0,9640 0,7893 0,6948 0,6337 0,5452 0,3762 0,1026 -0,2700 -0,7180 -1,1992 -1,6355 -1,9252 -1,9947 -1,8307 -1,4793 -1,0239 -0,5511 -0,1288 0,1867 0,3399 0,2818 -0,0144 -0,5283 -1,1649 -1,7609 -2,1469 -2,2274 -2,0171 -1,6106 -1,1241 -0,6618 -0,3075 -0,1155 -0,0964 -0,2107 -0,3807 -0,5196 -0,5637 -0,4911 -0,3179 -0,0724 0,2284 0,5770 0,9505 1,2953 1,5503 1,6868 1,7149 1,6536 1,5081 1,2721 0,9357 0,4914 -0,0529 -0,6672 -1,2997 -1,8771 -2,3149 -2,5365 -2,4862 -2,1435 -1,5563 -0,8580 -0,2243 0,2094 0,4010 0,3864 0,2313 0,0151 -0,1588 -0,1966 -0,0780 0,1461 0,4249 0,7455 1,1065 1,4899 1,8527 2,1414 2,3360 2,4842 2,6640 2,9180 3,2347 3,5710 3,8771 4,1108 4,2416 4,2532 4,1588 4,0216 3,9444 4,0155 4,2653 4,6758 5,2050 5,7825 6,3042 6,6720 6,8507 6,8739 6,7929 6,6375 6,4124 6,0987 5,6700 5,1270 4,5150 3,9027 3,3548 2,9266 2,6756 2,6603 2,9105 3,3846 3,9524 4,4300 4,6555 4,5663 4,2213 3,7585 3,3383 3,1093 3,1619 3,4648 3,8635 4,1785 4,3065 4,2336 3,9926 3,6397 3,2421 2,8415 2,4256 1,9546 1,4193 0,8757 0,4244 0,1545 0,1083 0,2838 0,6284 1,0211 1,3067 1,3765 1,2107 0,8543 0,3809 -0,1138 -0,5079 -0,6728 -0,5263 -0,0876 0,5218 1,1543 1,7241 2,2304 2,7136 3,2001 3,6846 4,1437 4,5494 4,8718 5,0864 5,1999 5,2705 5,3786 5,5539 5,7356 5,8186 5,7421 5,5305 5,2744 5,0860 5,0510 5,1854 5,4204 5,6336 5,7218 5,6635 5,5071 5,3115 5,1160 4,9481 4,8310 4,7870 4,8283 4,9298 5,0236 5,0272 4,8844 4,5925 4,2049 3,8124 3,5113 3,3638 3,3590 3,4080 3,3898 3,2120 2,8476 2,3398 1,7823 1,2704 0,8404 0,4576 0,0816 -0,2543 -0,4387 -0,3672 -0,0280 0,5048 1,1307 1,7501 2,2755 2,6615 2,9147 3,0516 3,0597 2,9091 2,5782 2,0696 1,4313 0,7671 0,2026 -0,1710 -0,3201 -0,2554 -0,0122 0,3681 0,8585 1,4523 2,1490 2,9213 3,6854 4,3173 4,7243 4,9164 5,0068 5,1297 5,3441 5,6109 5,8488 5,9962 6,0324 5,9841 5,9220 5,9110 5,9455 5,9572 5,8825 5,7024 5,4268 5,0717 4,6676 4,2788 3,9962 3,9035 4,0388 4,3730 4,8121 5,2232 5,4783 5,5106 5,3508 5,1039 4,8763 4,7185 4,6264 4,5765 4,5437 4,4982 4,4105 4,2682 4,0861 3,9090 3,8070 3,8470 4,0476 4,3698 4,7570 5,1718 5,5897 5,9697 6,2500 6,3806 6,3444 6,1501 5,8370 5,4931 5,2439 5,2062 5,4264 5,8428 6,3115 6,6738 6,8218 6,7443 6,5284 6,2973 6,1186 5,9608 5,7441 5,4285 5,0479 4,6841 4,4264 4,3246 4,3573 4,4597 4,5913 4,7637 5,0055 5,3242 5,6978 6,0912 6,4738 6,8254 7,1282 7,3512 7,4569 7,4461 7,3760 7,2991 7,1981 7,0281 6,8088 6,6345 6,6019 6,7515 7,0453 7,3694 7,5770 7,5661 7,3389 6,9960 6,6653 6,4288 6,2918 6,1849 6,0041 5,6878 5,2651 4,8337 4,4942 4,3100 4,2961 4,4072 4,5432 4,6034 4,5418 4,3654 4,1048 3,8098 3,5618 3,4592 3,5614 3,8371 4,1709 4,4189 4,4613 4,2313 3,7393 3,0916 2,4700 2,0584 1,9644 2,1874 2,6307 3,1460 3,5951 3,8929 4,0254 4,0517 4,0739 4,1819 4,4207 4,7914 5,2596 5,7722 6,2808 6,7394 7,0873 7,2567 7,2142 7,0029 6,7379 6,5405 6,4655 6,4764 6,4759 6,3703 6,1258 5,7745 5,3835 5,0162 4,7130 4,4989 4,3981 4,4226 4,5444 4,6881 4,7614 4,6993 4,4868 4,1562 3,7659 3,3649 2,9607 2,5256 2,0451 1,5611 1,1612 0,9293 0,9121 1,1276 1,5762 2,2081 2,8942 3,4728 3,8383 3,9777 3,9386 3,7784 3,5442 3,2922 3,1038 3,0722 3,2821 3,7795 4,5168 5,3331 6,0107 6,3622 6,3029 5,8876 5,2876 4,7073 4,2863 4,0425 3,9039 3,8023 3,7180 3,6512 3,6098 3,6361 3,8004 4,1420 4,6308 5,2016 5,8131 6,4534 7,0988 7,6974 8,1965 8,5684 8,8170 8,9780 9,0939 9,1702 9,1721 9,0689 8,8671 8,6051 8,3255 8,0517 7,7965 7,5741 7,3834 7,1923 6,9599 6,6688 6,3199 5,9055 5,4219 4,9215 4,5314 4,3929 4,5587 4,9392 5,3457 5,5898 5,5580 5,2264 4,6405 3,8912 3,0923 2,3547 1,7638 1,3577 1,1132 0,9557 0,7987 0,5950 0,3727 0,2304 0,2765 0,5470 0,9773 1,4368 1,7829 1,9208 1,8565 1,6935 1,5682 1,5867 1,8055 2,2322
