Fp1   -1,6840 -1,6382 -1,5868 -1,4529 -1,2351 -1,0151 -0,8801 -0,8545 -0,9105 -1,0057 -1,0841 -1,0830 -0,9728 -0,7671 -0,4880 -0,1393 0,2880 0,7834 1,2809 1,6606 1,7978 1,6292 1,1942 0,6067 -0,0065 -0,5270 -0,8534 -0,9432 -0,8414 -0,6561 -0,5004 -0,4378 -0,4625 -0,5138 -0,5220 -0,4619 -0,3616 -0,2553 -0,1364 0,0526 0,3800 0,8529 1,3806 1,8184 2,0628 2,1032 1,9913 1,7805 1,4904 1,1228 0,7120 0,3378 0,0776 -0,0401 -0,0373 0,0485 0,2040 0,4379 0,7400 1,0589 1,3165 1,4223 1,2996 0,9475 0,4493 -0,1293 -0,8037 -1,6059 -2,5055 -3,4121 -4,2177 -4,8209 -5,1504 -5,1977 -5,0137 -4,6579 -4,1644 -3,5582 -2,8907 -2,2476 -1,7117 -1,3261 -1,0995 -1,0266 -1,0801 -1,1893 -1,2634 -1,2611 -1,2232 -1,2167 -1,2563 -1,3032 -1,3306 -1,3437 -1,3343 -1,2832 -1,2223 -1,2477 -1,4464 -1,8207 -2,2926 -2,7932 -3,3399 -3,9848 -4,7177 -5,4781 -6,2282 -6,9537 -7,6103 -8,1317 -8,4920 -8,7228 -8,8765 -8,9875 -9,0632 -9,1046 -9,1218 -9,1186 -9,0718 -8,9265 -8,6254 -8,1591 -7,5715 -6,9214 -6,2473 -5,5439 -4,7849 -3,9835 -3,1824 -2,3903 -1,5770 -0,7122 0,2166 1,2014 2,2167 3,2303 4,2066 5,0981 5,8532 6,4440 6,8799 7,1815 7,3422 7,3259 7,1073 6,7198 6,2563 5,8178 5,4636 5,2026 5,0046 4,8155 4,5930 4,3560 4,1780 4,1195 4,1926 4,3744 4,6050 4,7810 4,7906 4,5757 4,1667 3,6550 3,1360 2,6830 2,3507 2,1845 2,2178 2,4381 2,7479 2,9807 2,9689 2,6178 1,9478 1,0696 0,1201 -0,7900 -1,6002 -2,2833 -2,8126 -3,1719 -3,3905 -3,5280 -3,6167 -3,6453 -3,5946 -3,4722 -3,3171 -3,1779 -3,0712 -2,9646 -2,8373 -2,7494 -2,8037 -3,0228 -3,3184 -3,6009 -3,8587 -4,1140 -4,3570 -4,5476 -4,6567 -4,6814 -4,6343 -4,5407 -4,4483 -4,4220 -4,4987 -4,6411 -4,7534 -4,7360 -4,5287 -4,1383 -3,6325 -3,1010 -2,6268 -2,2772 -2,0908 -2,0479 -2,0441 -1,9371 -1,6545 -1,2241 -0,7081 -0,1690 0,3162 0,6736 0,8753 0,9389 0,8987 0,7995 0,6991 0,6556 0,7132 0,8782 1,0963 1,2746 1,3391 1,2594 1,0315 0,6871 0,3211 0,0616 -0,0013 0,1495 0,4617 0,8183 1,0685 1,1060 0,9286 0,6134 0,2613 -0,0245 -0,1565 -0,0995 0,1281 0,4878 0,9417 1,4583 2,0103 2,5489 2,9867 3,2401 3,3064 3,2717 3,2193 3,1604 3,0646 2,9184 2,7420 2,5776 2,4704 2,4470 2,4984 2,5918 2,7135 2,8787 3,0809 3,2687 3,3763 3,3464 3,1404 2,7460 2,1577 1,3718 0,4398 -0,5070 -1,3249 -1,9372 -2,3536 -2,6357 -2,8510 -3,0578 -3,3115 -3,6504 -4,0765 -4,5629 -5,0631 -5,5007 -5,7713 -5,7828 -5,5047 -4,9773 -4,2821 -3,5009 -2,6815 -1,8607 -1,1178 -0,5547 -0,2220 -0,1033 -0,1547 -0,3176 -0,5068 -0,6192 -0,5746 -0,3650 -0,0729 0,1661 0,2458 0,1626 0,0017 -0,1474 -0,2343 -0,2315 -0,1366 0,0077 0,1442 0,2590 0,3806 0,5131 0,6002 0,5820 0,4625 0,3001 0,1662 0,1231 0,2031 0,3845 0,6119 0,8440 1,0634 1,2469 1,3277 1,1983 0,7942 0,1828 -0,4623 -0,9674 -1,2384 -1,2805 -1,1802 -1,0574 -1,0152 -1,1170 -1,3743 -1,7445 -2,1694 -2,6239 -3,1069 -3,5930 -4,0176 -4,3051 -4,4036 -4,3050 -4,0606 -3,7884 -3,6275 -3,6581 -3,8665 -4,1811 -4,5450 -4,9455 -5,3642 -5,7242 -5,9212 -5,8969 -5,6691 -5,3045 -4,8842 -4,4951 -4,2274 -4,1600 -4,3362 -4,7272 -5,2176 -5,6711 -6,0188 -6,2579 -6,3781 -6,3376 -6,1140 -5,7503 -5,3325 -4,9314 -4,5808 -4,3007 -4,1138 -4,0469 -4,1181 -4,3084 -4,5645 -4,8384 -5,1071 -5,3517 -5,5392 -5,6293 -5,5890 -5,4130 -5,1403 -4,8312 -4,5170 -4,1971 -3,8914 -3,6523 -3,5147 -3,4768 -3,5238 -3,6228 -3,7141 -3,7549 -3,7612 -3,7806 -3,8391 -3,9335 -4,0561 -4,1943 -4,3273 -4,4358 -4,4971 -4,4922 -4,4375 -4,3781 -4,3450 -4,3306 -4,3015 -4,2404 -4,1767 -4,1687 -4,2503 -4,3951 -4,5336 -4,6050 -4,5876 -4,4805 -4,2857 -4,0398 -3,8524 -3,8663 -4,1632 -4,7198 -5,4346 -6,1667 -6,7798 -7,1785 -7,3088 -7,1657 -6,8197 -6,4025 -6,0493 -5,8522 -5,8392 -5,9796 -6,2141 -6,4826 -6,7280 -6,8929 -6,9384 -6,8749 -6,7668 -6,7151 -6,8263 -7,1497 -7,6351 -8,1849 -8,7233 -9,1986 -9,5759 -9,8557 -10,0792 -10,3076 -10,5833 -10,9056 -11,2395 -11,5435 -11,8028 -12,0471 -12,3236 -12,6570 -13,0459 -13,4735 -13,8990 -14,2593 -14,4911 -14,5498 -14,4136 -14,0766 -13,5468 -12,8549 -12,0472 -11,1711 -10,2715 -9,3796 -8,4940 -7,5910 -6,6648 -5,7544 -4,9197 -4,2004 -3,6036 -3,1065 -2,6772 -2,3115 -2,0301 -1,8282 -1,6399 -1,3779 -1,0202 -0,6393 -0,3478 -0,2405 -0,3758 -0,7559 -1,3010 -1,8680 -2,3247 -2,6124 -2,7400 -2,7402 -2,6403 -2,4561 -2,1873 -1,8271 -1,3946 -0,9533 -0,6068 -0,4792 -0,6697 -1,1964 -1,9925 -2,9527 -3,9569 -4,8740 -5,6005 -6,1111 -6,4600 -6,7342 -6,9893 -7,2193 -7,3909 -7,4894 -7,5170 -7,4825 -7,4181 -7,3701 -7,3551 -7,3569 -7,3646 -7,3954 -7,4945 -7,7126 -8,0665 -8,5220 -9,0095 -9,4424 -9,7370 -9,8347 -9,7154 -9,4082 -8,9870 -8,5264 -8,0597 -7,5887 -7,1125 -6,6378 -6,1920 -5,8283 -5,5998 -5,5350 -5,6414 -5,9042 -6,2670 -6,6337 -6,9140 -7,0779 -7,1683 -7,2556 -7,3862 -7,5657 -7,7655 -7,9445 -8,0807 -8,1844 -8,2846 -8,3958 -8,4835 -8,4853 -8,3745 -8,1694
Fz    -1,8671 -1,7529 -1,5859 -1,3616 -1,1082 -0,8835 -0,7337 -0,6626 -0,6461 -0,6613 -0,6912 -0,7205 -0,7400 -0,7489 -0,7488 -0,7350 -0,6966 -0,6287 -0,5471 -0,4818 -0,4563 -0,4750 -0,5291 -0,6149 -0,7329 -0,8647 -0,9680 -1,0024 -0,9556 -0,8441 -0,6937 -0,5243 -0,3514 -0,1875 -0,0381 0,0967 0,2187 0,3349 0,4675 0,6576 0,9494 1,3559 1,8371 2,3139 2,7130 3,0056 3,2038 3,3288 3,3859 3,3707 3,2954 3,1887 3,0683 2,9287 2,7548 2,5386 2,2859 2,0148 1,7427 1,4779 1,2200 0,9585 0,6772 0,3741 0,0687 -0,2237 -0,5087 -0,7923 -1,0648 -1,3090 -1,5102 -1,6578 -1,7509 -1,8082 -1,8643 -1,9529 -2,0925 -2,2786 -2,4811 -2,6593 -2,7827 -2,8388 -2,8285 -2,7611 -2,6476 -2,4926 -2,2931 -2,0502 -1,7849 -1,5341 -1,3216 -1,1487 -1,0223 -0,9648 -0,9812 -1,0497 -1,1560 -1,3127 -1,5410 -1,8452 -2,2063 -2,6004 -3,0198 -3,4619 -3,9012 -4,2982 -4,6355 -4,9244 -5,1764 -5,3898 -5,5649 -5,7128 -5,8514 -5,9977 -6,1559 -6,3200 -6,4875 -6,6640 -6,8528 -7,0366 -7,1776 -7,2434 -7,2271 -7,1393 -6,9845 -6,7452 -6,3973 -5,9433 -5,4130 -4,8349 -4,2187 -3,5624 -2,8718 -2,1702 -1,4882 -0,8508 -0,2760 0,2217 0,6321 0,9524 1,1875 1,3438 1,4210 1,4128 1,3200 1,1616 0,9743 0,7997 0,6695 0,5996 0,5947 0,6515 0,7675 0,9509 1,2064 1,5103 1,8206 2,1056 2,3403 2,4886 2,5122 2,4019 2,1972 1,9699 1,7890 1,7015 1,7288 1,8748 2,1319 2,4707 2,8284 3,1280 3,3098 3,3499 3,2610 3,0728 2,8097 2,4850 2,1130 1,7198 1,3430 1,0124 0,7260 0,4589 0,1951 -0,0633 -0,3151 -0,5753 -0,8718 -1,2222 -1,6051 -1,9651 -2,2597 -2,4965 -2,7184 -2,9584 -3,2188 -3,4840 -3,7362 -3,9537 -4,1092 -4,1821 -4,1724 -4,1001 -3,9928 -3,8697 -3,7362 -3,5914 -3,4320 -3,2464 -3,0178 -2,7356 -2,4035 -2,0420 -1,6818 -1,3531 -1,0791 -0,8706 -0,7207 -0,6073 -0,4984 -0,3611 -0,1860 0,0037 0,1739 0,2946 0,3430 0,3157 0,2352 0,1325 0,0276 -0,0720 -0,1645 -0,2486 -0,3246 -0,4025 -0,4996 -0,6259 -0,7726 -0,9255 -1,0799 -1,2262 -1,3263 -1,3259 -1,1900 -0,9212 -0,5595 -0,1752 0,1554 0,3850 0,5114 0,5583 0,5528 0,5272 0,5213 0,5608 0,6387 0,7274 0,8035 0,8639 0,9187 0,9676 0,9872 0,9502 0,8583 0,7478 0,6520 0,5641 0,4501 0,2884 0,0860 -0,1263 -0,3080 -0,4307 -0,4917 -0,5066 -0,4917 -0,4586 -0,4233 -0,4061 -0,4202 -0,4702 -0,5574 -0,6851 -0,8653 -1,1148 -1,4306 -1,7798 -2,1221 -2,4325 -2,7067 -2,9542 -3,1897 -3,4274 -3,6826 -3,9707 -4,2992 -4,6590 -5,0174 -5,3229 -5,5200 -5,5649 -5,4356 -5,1397 -4,7118 -4,1951 -3,6240 -3,0352 -2,4850 -2,0302 -1,6964 -1,4776 -1,3530 -1,2928 -1,2576 -1,2031 -1,0941 -0,9247 -0,7258 -0,5429 -0,4010 -0,2885 -0,1756 -0,0432 0,1132 0,3012 0,5324 0,8055 1,1027 1,4011 1,6758 1,8918 2,0094 2,0140 1,9353 1,8266 1,7369 1,6993 1,7255 1,8024 1,9064 2,0175 2,1145 2,1689 2,1467 2,0169 1,7735 1,4594 1,1554 0,9352 0,8275 0,8176 0,8675 0,9269 0,9441 0,8746 0,6913 0,3936 0,0065 -0,4367 -0,9057 -1,3661 -1,7749 -2,0894 -2,2857 -2,3745 -2,4013 -2,4285 -2,5029 -2,6305 -2,7824 -2,9260 -3,0575 -3,2027 -3,3822 -3,5777 -3,7414 -3,8350 -3,8546 -3,8290 -3,8015 -3,8088 -3,8675 -3,9749 -4,1140 -4,2502 -4,3268 -4,2886 -4,1136 -3,8179 -3,4385 -3,0206 -2,6159 -2,2765 -2,0422 -1,9318 -1,9443 -2,0622 -2,2558 -2,4955 -2,7640 -3,0538 -3,3539 -3,6432 -3,8997 -4,1089 -4,2622 -4,3526 -4,3677 -4,2855 -4,0817 -3,7430 -3,2752 -2,7079 -2,0970 -1,5073 -0,9864 -0,5579 -0,2346 -0,0191 0,1045 0,1598 0,1551 0,0868 -0,0354 -0,1853 -0,3361 -0,4700 -0,5819 -0,6792 -0,7641 -0,8242 -0,8471 -0,8376 -0,8165 -0,8041 -0,8052 -0,8154 -0,8383 -0,8824 -0,9451 -1,0097 -1,0619 -1,1051 -1,1565 -1,2308 -1,3310 -1,4593 -1,6394 -1,9132 -2,3099 -2,8187 -3,3892 -3,9464 -4,4177 -4,7596 -4,9641 -5,0527 -5,0706 -5,0698 -5,0880 -5,1431 -5,2369 -5,3547 -5,4657 -5,5370 -5,5543 -5,5248 -5,4659 -5,3986 -5,3464 -5,3381 -5,4056 -5,5607 -5,7700 -5,9788 -6,1599 -6,3192 -6,4650 -6,5888 -6,6844 -6,7768 -6,9146 -7,1357 -7,4467 -7,8304 -8,2669 -8,7459 -9,2617 -9,8051 -10,3726 -10,9720 -11,6053 -12,2520 -12,8716 -13,4084 -13,7966 -13,9765 -13,9129 -13,6063 -13,0949 -12,4444 -11,7284 -11,0054 -10,3085 -9,6508 -9,0353 -8,4635 -7,9329 -7,4326 -6,9521 -6,4909 -6,0574 -5,6688 -5,3432 -5,0801 -4,8562 -4,6452 -4,4411 -4,2556 -4,1029 -3,9955 -3,9465 -3,9538 -3,9766 -3,9454 -3,8070 -3,5542 -3,2196 -2,8534 -2,4993 -2,1778 -1,8884 -1,6275 -1,4008 -1,2183 -1,0930 -1,0533 -1,1360 -1,3537 -1,6810 -2,0737 -2,4866 -2,8716 -3,1784 -3,3665 -3,4233 -3,3718 -3,2507 -3,0829 -2,8705 -2,6142 -2,3244 -2,0221 -1,7401 -1,5136 -1,3629 -1,2999 -1,3423 -1,5072 -1,8027 -2,2247 -2,7397 -3,2782 -3,7586 -4,1163 -4,3211 -4,3760 -4,3063 -4,1533 -3,9697 -3,8032 -3,6825 -3,6186 -3,6147 -3,6699 -3,7765 -3,9207 -4,0900 -4,2793 -4,4917 -4,7298 -4,9820 -5,2230 -5,4314 -5,6081 -5,7769 -5,9671 -6,1924 -6,4412 -6,6827 -6,8889 -7,0566 -7,2070 -7,3656 -7,5399 -7,7077 -7,8320 -7,8881 -7,8686
F3    -2,0461 -2,0083 -1,8920 -1,6746 -1,3904 -1,1206 -0,9349 -0,8522 -0,8547 -0,9139 -0,9892 -1,0305 -1,0057 -0,9179 -0,7903 -0,6405 -0,4697 -0,2768 -0,0801 0,0800 0,1579 0,1231 -0,0282 -0,2728 -0,5654 -0,8461 -1,0558 -1,1532 -1,1284 -1,0033 -0,8158 -0,6047 -0,4011 -0,2148 -0,0293 0,1744 0,3978 0,6327 0,8793 1,1506 1,4607 1,8043 2,1471 2,4417 2,6566 2,7878 2,8467 2,8435 2,7771 2,6462 2,4703 2,2886 2,1342 2,0169 1,9238 1,8305 1,7177 1,5808 1,4223 1,2420 1,0332 0,7796 0,4649 0,0994 -0,2810 -0,6551 -1,0302 -1,4096 -1,7776 -2,1151 -2,4052 -2,6222 -2,7393 -2,7554 -2,7058 -2,6436 -2,6138 -2,6304 -2,6734 -2,7102 -2,7178 -2,6817 -2,5937 -2,4608 -2,3083 -2,1572 -2,0005 -1,8158 -1,6022 -1,3897 -1,2092 -1,0705 -0,9773 -0,9368 -0,9423 -0,9724 -1,0205 -1,1083 -1,2568 -1,4530 -1,6596 -1,8582 -2,0796 -2,3752 -2,7592 -3,1979 -3,6513 -4,0981 -4,5219 -4,9037 -5,2356 -5,5266 -5,7910 -6,0334 -6,2435 -6,4073 -6,5242 -6,6124 -6,6980 -6,7900 -6,8667 -6,8960 -6,8654 -6,7829 -6,6512 -6,4486 -6,1462 -5,7411 -5,2528 -4,6976 -4,0800 -3,4059 -2,6990 -1,9972 -1,3320 -0,7157 -0,1478 0,3703 0,8312 1,2312 1,5731 1,8544 2,0585 2,1675 2,1785 2,1035 1,9598 1,7705 1,5638 1,3650 1,1936 1,0649 0,9947 1,0114 1,1512 1,4278 1,8157 2,2648 2,7157 3,1043 3,3704 3,4797 3,4417 3,3015 3,1146 2,9356 2,8138 2,7890 2,8853 3,0910 3,3442 3,5543 3,6434 3,5782 3,3739 3,0720 2,7074 2,2991 1,8620 1,4215 1,0176 0,6885 0,4413 0,2532 0,1034 -0,0102 -0,0881 -0,1458 -0,2116 -0,3069 -0,4241 -0,5319 -0,6181 -0,7248 -0,9209 -1,2365 -1,6375 -2,0654 -2,4748 -2,8295 -3,0986 -3,2697 -3,3564 -3,3840 -3,3715 -3,3213 -3,2273 -3,0920 -2,9275 -2,7412 -2,5343 -2,3072 -2,0615 -1,8048 -1,5550 -1,3341 -1,1595 -1,0334 -0,9367 -0,8398 -0,7115 -0,5295 -0,3041 -0,0796 0,0989 0,2053 0,2315 0,1911 0,1175 0,0401 -0,0314 -0,0994 -0,1655 -0,2258 -0,2708 -0,2972 -0,3218 -0,3719 -0,4612 -0,5866 -0,7416 -0,9106 -1,0546 -1,1231 -1,0859 -0,9476 -0,7403 -0,5108 -0,3049 -0,1492 -0,0442 0,0233 0,0666 0,1024 0,1547 0,2405 0,3597 0,5015 0,6550 0,8134 0,9685 1,0989 1,1663 1,1344 1,0039 0,8260 0,6637 0,5428 0,4477 0,3527 0,2487 0,1565 0,1194 0,1721 0,3143 0,5200 0,7696 1,0606 1,3844 1,7119 2,0028 2,2153 2,3138 2,2780 2,1019 1,7939 1,3901 0,9538 0,5460 0,1948 -0,1112 -0,4029 -0,7043 -1,0260 -1,3748 -1,7520 -2,1472 -2,5432 -2,9187 -3,2392 -3,4510 -3,4950 -3,3358 -2,9817 -2,4801 -1,8945 -1,2828 -0,7052 -0,2371 0,0585 0,1704 0,1320 -0,0110 -0,2103 -0,4104 -0,5558 -0,6108 -0,5734 -0,4731 -0,3506 -0,2344 -0,1275 -0,0176 0,1015 0,2259 0,3589 0,5115 0,6811 0,8461 0,9853 1,0885 1,1438 1,1319 1,0506 0,9302 0,8114 0,7222 0,6789 0,6904 0,7512 0,8434 0,9472 1,0419 1,1044 1,1108 1,0359 0,8733 0,6631 0,4793 0,3787 0,3728 0,4366 0,5295 0,6116 0,6479 0,6027 0,4470 0,1777 -0,1849 -0,6154 -1,0865 -1,5575 -1,9747 -2,2792 -2,4230 -2,3979 -2,2553 -2,0894 -1,9874 -1,9850 -2,0611 -2,1717 -2,2946 -2,4401 -2,6222 -2,8236 -2,9976 -3,1017 -3,1208 -3,0676 -2,9718 -2,8690 -2,7936 -2,7753 -2,8323 -2,9540 -3,0869 -3,1588 -3,1254 -2,9849 -2,7570 -2,4672 -2,1493 -1,8451 -1,5917 -1,4082 -1,2975 -1,2557 -1,2790 -1,3664 -1,5209 -1,7436 -2,0260 -2,3463 -2,6690 -2,9502 -3,1520 -3,2534 -3,2413 -3,1023 -2,8323 -2,4480 -1,9857 -1,4973 -1,0482 -0,7027 -0,4975 -0,4337 -0,4893 -0,6275 -0,7966 -0,9511 -1,0794 -1,1953 -1,3073 -1,4102 -1,4960 -1,5591 -1,6005 -1,6296 -1,6468 -1,6351 -1,5829 -1,5049 -1,4354 -1,4049 -1,4229 -1,4854 -1,5925 -1,7474 -1,9398 -2,1430 -2,3303 -2,4931 -2,6417 -2,7892 -2,9384 -3,0881 -3,2491 -3,4469 -3,7047 -4,0262 -4,3863 -4,7304 -4,9963 -5,1476 -5,1833 -5,1258 -5,0139 -4,8958 -4,8146 -4,7968 -4,8483 -4,9538 -5,0833 -5,2074 -5,3076 -5,3730 -5,3968 -5,3807 -5,3355 -5,2833 -5,2607 -5,2991 -5,3927 -5,5111 -5,6411 -5,7900 -5,9587 -6,1285 -6,2812 -6,4277 -6,6047 -6,8407 -7,1335 -7,4607 -7,8056 -8,1766 -8,5958 -9,0740 -9,6068 -10,1858 -10,7971 -11,4149 -11,9978 -12,4918 -12,8431 -13,0106 -12,9701 -12,7221 -12,2963 -11,7388 -11,0982 -10,4135 -9,7088 -8,9956 -8,2845 -7,5949 -6,9500 -6,3675 -5,8574 -5,4172 -5,0352 -4,7078 -4,4370 -4,2095 -3,9930 -3,7604 -3,5106 -3,2654 -3,0541 -2,9062 -2,8466 -2,8802 -2,9697 -3,0382 -3,0090 -2,8462 -2,5626 -2,2059 -1,8358 -1,5017 -1,2283 -1,0184 -0,8656 -0,7636 -0,7154 -0,7420 -0,8730 -1,1190 -1,4586 -1,8539 -2,2631 -2,6370 -2,9238 -3,0863 -3,1253 -3,0871 -3,0327 -2,9942 -2,9690 -2,9430 -2,9038 -2,8427 -2,7639 -2,6868 -2,6296 -2,6030 -2,6149 -2,6725 -2,7927 -3,0022 -3,3093 -3,6826 -4,0656 -4,3992 -4,6350 -4,7460 -4,7329 -4,6262 -4,4789 -4,3447 -4,2563 -4,2233 -4,2376 -4,2779 -4,3218 -4,3655 -4,4275 -4,5315 -4,6877 -4,8860 -5,0972 -5,2852 -5,4283 -5,5320 -5,6205 -5,7165 -5,8273 -5,9448 -6,0485 -6,1159 -6,1404 -6,1413 -6,1549 -6,2105 -6,3029 -6,3939 -6,4425 -6,4260
F7    -1,8982 -1,6347 -1,3600 -1,0827 -0,8222 -0,6125 -0,4884 -0,4656 -0,5275 -0,6296 -0,7192 -0,7546 -0,7164 -0,6150 -0,4874 -0,3763 -0,3077 -0,2873 -0,3052 -0,3353 -0,3442 -0,3110 -0,2466 -0,1896 -0,1709 -0,1873 -0,2123 -0,2200 -0,1900 -0,1040 0,0475 0,2555 0,4909 0,7122 0,8776 0,9637 0,9736 0,9298 0,8600 0,7878 0,7319 0,7123 0,7486 0,8448 0,9755 1,0968 1,1748 1,1968 1,1597 1,0619 0,9052 0,6989 0,4616 0,2191 -0,0053 -0,1970 -0,3552 -0,4934 -0,6289 -0,7722 -0,9241 -1,0743 -1,2029 -1,2917 -1,3365 -1,3473 -1,3407 -1,3270 -1,3045 -1,2657 -1,2033 -1,1189 -1,0294 -0,9611 -0,9367 -0,9712 -1,0646 -1,1908 -1,3013 -1,3587 -1,3664 -1,3542 -1,3370 -1,3100 -1,2737 -1,2291 -1,1539 -1,0120 -0,7917 -0,5281 -0,2799 -0,0868 0,0441 0,1163 0,1269 0,0732 -0,0253 -0,1254 -0,2002 -0,2717 -0,3883 -0,5834 -0,8637 -1,2206 -1,6255 -2,0206 -2,3415 -2,5546 -2,6701 -2,7317 -2,7995 -2,9257 -3,1341 -3,4194 -3,7578 -4,1145 -4,4550 -4,7587 -5,0199 -5,2396 -5,4212 -5,5679 -5,6835 -5,7700 -5,8183 -5,8033 -5,6875 -5,4311 -5,0114 -4,4357 -3,7338 -2,9441 -2,1020 -1,2393 -0,3938 0,3840 1,0432 1,5596 1,9487 2,2518 2,5057 2,7220 2,8903 3,0027 3,0701 3,1058 3,1076 3,0663 2,9746 2,8285 2,6438 2,4642 2,3430 2,3156 2,3853 2,5252 2,6953 2,8639 3,0185 3,1566 3,2673 3,3343 3,3619 3,3845 3,4405 3,5416 3,6600 3,7406 3,7292 3,6013 3,3778 3,1215 2,9156 2,8271 2,8707 2,9951 3,1120 3,1539 3,1091 3,0035 2,8671 2,7169 2,5466 2,3309 2,0526 1,7215 1,3632 0,9987 0,6406 0,3017 0,0090 -0,1888 -0,2395 -0,1275 0,0965 0,3263 0,4566 0,4448 0,3226 0,1527 -0,0176 -0,1761 -0,3369 -0,5190 -0,7312 -0,9630 -1,1842 -1,3605 -1,4713 -1,5180 -1,5225 -1,5124 -1,5065 -1,5227 -1,5813 -1,6810 -1,7824 -1,8274 -1,7665 -1,5751 -1,2644 -0,8857 -0,5103 -0,1937 0,0376 0,1698 0,1904 0,1030 -0,0617 -0,2561 -0,4299 -0,5410 -0,5707 -0,5320 -0,4493 -0,3377 -0,2095 -0,0779 0,0513 0,1762 0,2848 0,3503 0,3410 0,2424 0,0723 -0,1295 -0,3216 -0,4701 -0,5491 -0,5460 -0,4634 -0,3141 -0,1212 0,0822 0,2678 0,4279 0,5757 0,7241 0,8642 0,9685 1,0121 0,9975 0,9643 0,9635 1,0170 1,1083 1,2071 1,2970 1,3806 1,4673 1,5664 1,6963 1,8841 2,1420 2,4472 2,7518 3,0083 3,1849 3,2647 3,2472 3,1456 2,9794 2,7683 2,5318 2,2935 2,0806 1,9074 1,7648 1,6285 1,4716 1,2763 1,0401 0,7691 0,4738 0,1731 -0,1099 -0,3611 -0,5794 -0,7744 -0,9593 -1,1353 -1,2781 -1,3475 -1,3122 -1,1665 -0,9300 -0,6353 -0,3223 -0,0377 0,1745 0,2883 0,3091 0,2721 0,2206 0,1808 0,1565 0,1408 0,1322 0,1387 0,1686 0,2227 0,2950 0,3750 0,4538 0,5322 0,6201 0,7271 0,8481 0,9601 1,0391 1,0807 1,0976 1,1023 1,1107 1,1408 1,1871 1,2157 1,1997 1,1460 1,0855 1,0485 1,0419 1,0397 1,0025 0,9064 0,7510 0,5587 0,3688 0,2182 0,1259 0,0950 0,1158 0,1660 0,2206 0,2584 0,2579 0,2027 0,0923 -0,0572 -0,2167 -0,3520 -0,4436 -0,5007 -0,5408 -0,5611 -0,5476 -0,5028 -0,4468 -0,3948 -0,3427 -0,2753 -0,1898 -0,1092 -0,0689 -0,0913 -0,1668 -0,2590 -0,3357 -0,4003 -0,4842 -0,6072 -0,7560 -0,8973 -0,9963 -1,0238 -0,9631 -0,8163 -0,6013 -0,3413 -0,0597 0,2117 0,4325 0,5681 0,6063 0,5642 0,4779 0,3856 0,3136 0,2623 0,2075 0,1234 0,0018 -0,1521 -0,3216 -0,4768 -0,5945 -0,6789 -0,7509 -0,8148 -0,8433 -0,7997 -0,6702 -0,4647 -0,2021 0,0889 0,3621 0,5688 0,6874 0,7219 0,6822 0,5839 0,4488 0,2911 0,1210 -0,0402 -0,1621 -0,2224 -0,2231 -0,1880 -0,1416 -0,0936 -0,0404 0,0226 0,0898 0,1400 0,1442 0,0856 -0,0332 -0,1994 -0,3969 -0,6047 -0,7977 -0,9571 -1,0758 -1,1540 -1,1990 -1,2208 -1,2158 -1,1663 -1,0743 -0,9804 -0,9317 -0,9420 -0,9855 -1,0164 -1,0049 -0,9652 -0,9403 -0,9631 -1,0351 -1,1299 -1,2120 -1,2609 -1,2827 -1,3041 -1,3576 -1,4600 -1,5953 -1,7291 -1,8384 -1,9220 -1,9895 -2,0496 -2,1047 -2,1489 -2,1762 -2,1946 -2,2275 -2,2957 -2,4026 -2,5341 -2,6756 -2,8327 -3,0342 -3,3131 -3,6866 -4,1538 -4,7080 -5,3389 -6,0179 -6,6996 -7,3418 -7,9167 -8,4049 -8,7806 -9,0097 -9,0702 -8,9650 -8,7071 -8,3147 -7,8210 -7,2676 -6,6858 -6,0947 -5,5138 -4,9632 -4,4554 -3,9929 -3,5633 -3,1374 -2,6859 -2,2038 -1,7184 -1,2676 -0,8664 -0,5031 -0,1743 0,0948 0,2749 0,3692 0,4086 0,4216 0,4197 0,4063 0,3913 0,3973 0,4478 0,5526 0,7061 0,8925 1,0828 1,2355 1,3155 1,3164 1,2613 1,1795 1,0817 0,9587 0,8011 0,6181 0,4312 0,2501 0,0617 -0,1514 -0,3868 -0,6215 -0,8344 -1,0204 -1,1771 -1,2914 -1,3434 -1,3250 -1,2514 -1,1458 -1,0294 -0,9358 -0,9111 -0,9906 -1,1792 -1,4493 -1,7610 -2,0825 -2,3847 -2,6338 -2,8052 -2,8989 -2,9250 -2,8832 -2,7681 -2,5917 -2,3896 -2,2067 -2,0798 -2,0335 -2,0784 -2,2036 -2,3805 -2,5850 -2,8059 -3,0230 -3,1958 -3,2879 -3,2920 -3,2312 -3,1479 -3,0871 -3,0752 -3,1138 -3,1868 -3,2711 -3,3412 -3,3689 -3,3346 -3,2484 -3,1576 -3,1214 -3,1673 -3,2729 -3,3875 -3,4677
