Fp1   0,7972 0,8156 0,7165 0,4961 0,2153 -0,0377 -0,1959 -0,2530 -0,2658 -0,3058 -0,4098 -0,5715 -0,7627 -0,9496 -1,0845 -1,1116 -1,0050 -0,7762 -0,4388 0,0098 0,5628 1,1713 1,7493 2,2143 2,5120 2,6050 2,4547 2,0293 1,3325 0,4289 -0,5458 -1,4149 -2,0226 -2,2889 -2,2339 -1,9619 -1,6081 -1,2754 -1,0042 -0,7891 -0,6012 -0,3899 -0,1067 0,2431 0,5819 0,8093 0,8728 0,7886 0,6097 0,3947 0,1989 0,0764 0,0794 0,2348 0,5136 0,8332 1,0932 1,2108 1,1370 0,8632 0,4303 -0,0675 -0,5085 -0,8022 -0,9348 -0,9477 -0,8774 -0,7307 -0,5122 -0,2631 -0,0572 0,0429 0,0111 -0,1492 -0,3993 -0,6438 -0,7586 -0,6700 -0,4028 -0,0464 0,3112 0,6166 0,8363 0,9384 0,9050 0,7586 0,5645 0,3994 0,3098 0,2907 0,2979 0,2754 0,1867 0,0372 -0,1385 -0,3121 -0,4804 -0,6586 -0,8551 -1,0578 -1,2381 -1,3579 -1,3769 -1,2649 -1,0159 -0,6596 -0,2512 0,1770 0,6555 1,2533 2,0103 2,8898 3,7672 4,4582 4,7996 4,7336 4,3162 3,6531 2,8411 1,9523 1,0419 0,1625 -0,6330 -1,3038 -1,8393 -2,2731 -2,6726 -3,0894 -3,5187 -3,9076 -4,1908 -4,3154 -4,2551 -4,0203 -3,6571 -3,2385 -2,8511 -2,5703 -2,4289 -2,4020 -2,4306 -2,4704 -2,5177 -2,5855 -2,6701 -2,7476 -2,7859 -2,7575 -2,6457 -2,4301 -2,0782 -1,5867 -1,0141 -0,4415 0,0777 0,5212 0,8901 1,2173 1,5592 1,9560 2,4006 2,8428 3,2221 3,5081 3,7085 3,8463 3,9466 4,0194 4,0215 3,8722 3,5274 3,0177 2,4305 1,8856 1,5039 1,3653 1,4957 1,8894 2,5262 3,3702 4,3649 5,4227 6,4194 7,2258 7,7614 8,0121 8,0045 7,7807 7,3936 6,9148 6,4369 6,0656 5,9030 6,0232 6,4419 7,0952 7,8481 8,5415 9,0468 9,2916 9,2588 8,9867 8,5657 8,1047 7,6858 7,3551 7,1434 7,0796 7,1892 7,4867 7,9661 8,5885 9,2687 9,8854 10,3348 10,5833 10,6531 10,5655 10,3209 9,9362 9,4778 9,0359 8,6708 8,3988 8,2262 8,1746 8,2677 8,5003 8,8260 9,1732 9,4785 9,7178 9,9056 10,0565 10,1505 10,1414 9,9939 9,7203 9,4024 9,1747 9,1568 9,3849 9,8094 10,3333 10,8349 11,1920 11,3274 11,2307 10,9341 10,4813 9,9291 9,3516 8,8130 8,3396 7,9201 7,5300 7,1648 6,8601 6,6762 6,6670 6,8539 7,2083 7,6400 8,0149 8,1996 8,1053 7,7171 7,1001 6,3791 5,7140 5,2669 5,1462 5,3656 5,8539 6,4890 7,1242 7,6014 7,7821 7,6071 7,1312 6,4891 5,8250 5,2486 4,8312 4,6095 4,5766 4,6745 4,8096 4,8852 4,8318 4,6241 4,2919 3,9137 3,5916 3,4174 3,4304 3,5957 3,8382 4,0868 4,2818 4,3742 4,3460 4,2241 4,0654 3,9249 3,8213 3,7252 3,5957 3,4220 3,2244 3,0434 2,9324 2,9289 3,0106 3,0844 3,0308 2,7751 2,3384 1,8373 1,4337 1,2685 1,4244 1,9284 2,7468 3,7658 4,8058 5,6795 6,2481 6,4455 6,2825 5,8425 5,2557 4,6464 4,0808 3,5584 3,0581 2,5872 2,1699 1,8133 1,5157 1,2933 1,1663 1,1253 1,1330 1,1620 1,2234 1,3554 1,5876 1,9206 2,3331 2,7962 3,2824 3,7726 4,2457 4,6585 4,9565 5,0996 5,0726 4,8856 4,5735 4,1871 3,7834 3,4128 3,0969 2,8296 2,6159 2,4935 2,4959 2,6128 2,8087 3,0672 3,3983 3,8189 4,3228 4,8527 5,3204 5,6696 5,8916 5,9857 5,9414 5,7579 5,4579 5,0750 4,6472 4,2283 3,8775 3,6238 3,4655 3,4061 3,4586 3,6158 3,8370 4,0655 4,2462 4,3404 4,3411 4,2705 4,1579 4,0301 3,9257 3,8947 3,9740 4,1624 4,4181 4,6838 4,9132 5,0726 5,1331 5,0780 4,9181 4,6975 4,4784 4,3037 4,1768 4,0832 4,0173 3,9761 3,9454 3,9023 3,8326 3,7517 3,6939 3,6595 3,5890 3,4128 3,1129 2,7292 2,3387 2,0404 1,9312 2,0691 2,4493 3,0074 3,6455 4,2647 4,7769 5,0994 5,1695 4,9781 4,5829 4,0758 3,5396 3,0517 2,7074 2,5898 2,7132 3,0169 3,4026 3,7652 4,0122 4,0828 3,9595 3,6766 3,3284 3,0405 2,8989 2,9109 3,0328 3,2047 3,3556 3,4044 3,2785 2,9517 2,4769 1,9705 1,5415 1,2347 1,0390 0,9190 0,8235 0,7078 0,5881 0,5583 0,7220 1,1079 1,6653 2,3170 2,9899 3,6135 4,1332 4,5291 4,8081 4,9810 5,0554 5,0444 4,9706 4,8504 4,6697 4,3891 3,9853 3,4871 2,9663 2,4940 2,1003 1,7746 1,5074 1,3163 1,2185 1,1933 1,1858 1,1404 1,0251 0,8392 0,6087 0,3728 0,1595 -0,0371 -0,2466 -0,4862 -0,7437 -0,9966 -1,2294 -1,4184 -1,5193 -1,4952 -1,3466 -1,1158 -0,8802 -0,7301 -0,7395 -0,9400 -1,2990 -1,7178 -2,0624 -2,2131 -2,1239 -1,8621 -1,5612 -1,3024 -1,0604 -0,7711 -0,4239 -0,0734 0,2152 0,4130 0,5290 0,5908 0,6200 0,6186 0,5932 0,5872 0,6640 0,8457 1,0644 1,1906 1,1327 0,9061 0,6167 0,3951 0,3357 0,4724 0,7862 1,2233 1,7019 2,1257 2,4140 2,5283 2,4770 2,2964 2,0192 1,6653 1,2716 0,9121 0,6783 0,6380 0,8001 1,1116 1,4930 1,8712 2,1936 2,4372 2,6076 2,7199 2,7825 2,7955 2,7511 2,6349 2,4325 2,1426 1,8020 1,4934 1,3014 1,2503 1,2919 1,3416 1,3172 1,1667 0,8879 0,5224 0,1239 -0,2592 -0,5800 -0,7993 -0,9097 -0,9457 -0,9570 -0,9635 -0,9437 -0,8641 -0,7057
Fz    1,1639 1,1733 1,1610 1,1072 1,0072 0,8823 0,7759 0,7243 0,7284 0,7644 0,8174 0,8911 0,9832 1,0594 1,0679 0,9789 0,7954 0,5379 0,2340 -0,0856 -0,3953 -0,6799 -0,9284 -1,1239 -1,2540 -1,3248 -1,3548 -1,3555 -1,3261 -1,2645 -1,1693 -1,0396 -0,8792 -0,6965 -0,5008 -0,3033 -0,1174 0,0480 0,1920 0,3064 0,3664 0,3481 0,2495 0,0905 -0,0990 -0,2890 -0,4523 -0,5675 -0,6236 -0,6239 -0,5879 -0,5514 -0,5542 -0,6189 -0,7395 -0,8876 -1,0251 -1,1204 -1,1635 -1,1701 -1,1708 -1,1941 -1,2551 -1,3605 -1,5176 -1,7301 -1,9878 -2,2634 -2,5171 -2,7073 -2,8092 -2,8272 -2,7900 -2,7367 -2,6978 -2,6761 -2,6421 -2,5580 -2,4112 -2,2209 -2,0220 -1,8503 -1,7355 -1,6927 -1,7174 -1,7954 -1,9160 -2,0668 -2,2189 -2,3329 -2,3902 -2,4203 -2,4828 -2,6127 -2,7891 -2,9517 -3,0376 -3,0143 -2,8995 -2,7513 -2,6281 -2,5522 -2,5098 -2,4793 -2,4508 -2,4211 -2,3806 -2,3102 -2,1873 -1,9964 -1,7408 -1,4523 -1,1849 -0,9897 -0,8859 -0,8560 -0,8649 -0,8875 -0,9262 -1,0095 -1,1722 -1,4332 -1,7829 -2,1847 -2,5962 -3,0010 -3,4171 -3,8689 -4,3653 -4,9035 -5,4733 -6,0503 -6,5947 -7,0551 -7,3803 -7,5414 -7,5475 -7,4369 -7,2553 -7,0378 -6,7990 -6,5388 -6,2616 -5,9799 -5,6973 -5,3964 -5,0482 -4,6443 -4,2220 -3,8476 -3,5699 -3,4004 -3,3275 -3,3243 -3,3532 -3,3766 -3,3627 -3,2892 -3,1507 -2,9606 -2,7390 -2,4977 -2,2341 -1,9348 -1,5856 -1,1790 -0,7071 -0,1650 0,4161 0,9597 1,3941 1,6943 1,8744 1,9653 2,0129 2,0741 2,1974 2,4089 2,7148 3,1039 3,5459 3,9884 4,3631 4,6168 4,7500 4,8079 4,8374 4,8607 4,8768 4,8709 4,8290 4,7481 4,6411 4,5413 4,4930 4,5218 4,6142 4,7348 4,8645 5,0053 5,1544 5,2933 5,4098 5,5105 5,6073 5,7021 5,7848 5,8356 5,8371 5,7895 5,7150 5,6391 5,5631 5,4644 5,3342 5,2085 5,1441 5,1688 5,2654 5,3989 5,5476 5,7009 5,8386 5,9327 5,9720 5,9748 5,9759 6,0069 6,0809 6,1780 6,2480 6,2475 6,1805 6,1043 6,0964 6,2050 6,4137 6,6473 6,8125 6,8374 6,6911 6,3929 6,0121 5,6409 5,3515 5,1792 5,1344 5,2079 5,3605 5,5269 5,6469 5,6967 5,6887 5,6537 5,6249 5,6235 5,6485 5,6793 5,6891 5,6628 5,6043 5,5240 5,4234 5,3026 5,1776 5,0729 5,0008 4,9553 4,9215 4,8868 4,8349 4,7316 4,5351 4,2311 3,8589 3,5103 3,2933 3,2774 3,4613 3,7772 4,1176 4,3782 4,5046 4,5079 4,4345 4,3278 4,2156 4,1148 4,0312 3,9606 3,8975 3,8382 3,7724 3,6806 3,5516 3,4019 3,2724 3,2059 3,2212 3,3028 3,4103 3,4988 3,5359 3,5106 3,4361 3,3392 3,2391 3,1431 3,0519 2,9630 2,8817 2,8280 2,8174 2,8374 2,8482 2,8023 2,6709 2,4578 2,1952 1,9265 1,6914 1,5234 1,4570 1,5182 1,7022 1,9689 2,2655 2,5487 2,7845 2,9393 2,9872 2,9274 2,7895 2,6173 2,4490 2,3111 2,2168 2,1614 2,1254 2,0959 2,0790 2,0863 2,1193 2,1692 2,2246 2,2762 2,3208 2,3550 2,3609 2,3075 2,1751 1,9794 1,7695 1,5984 1,4911 1,4458 1,4569 1,5255 1,6483 1,7993 1,9335 2,0190 2,0580 2,0694 2,0666 2,0591 2,0588 2,0663 2,0606 2,0116 1,8884 1,6624 1,3320 0,9427 0,5645 0,2561 0,0518 -0,0418 -0,0447 0,0156 0,1246 0,2825 0,4854 0,7096 0,9207 1,0909 1,1990 1,2278 1,1654 1,0046 0,7489 0,4283 0,1000 -0,1731 -0,3447 -0,3945 -0,3267 -0,1660 0,0433 0,2408 0,3685 0,3993 0,3487 0,2594 0,1776 0,1356 0,1457 0,2045 0,2972 0,3983 0,4779 0,5129 0,4950 0,4315 0,3441 0,2624 0,2165 0,2253 0,2786 0,3357 0,3576 0,3347 0,2733 0,1762 0,0546 -0,0635 -0,1566 -0,2281 -0,2980 -0,3919 -0,5356 -0,7434 -1,0081 -1,2946 -1,5374 -1,6597 -1,6143 -1,4078 -1,0944 -0,7516 -0,4601 -0,2891 -0,2728 -0,3903 -0,5810 -0,7854 -0,9718 -1,1369 -1,2965 -1,4680 -1,6465 -1,7995 -1,8885 -1,8887 -1,7959 -1,6273 -1,4105 -1,1712 -0,9398 -0,7646 -0,7064 -0,8139 -1,0977 -1,5113 -1,9620 -2,3538 -2,6201 -2,7234 -2,6643 -2,5044 -2,3463 -2,2589 -2,2306 -2,2040 -2,1370 -2,0169 -1,8411 -1,6150 -1,3676 -1,1461 -0,9860 -0,8921 -0,8426 -0,8030 -0,7383 -0,6222 -0,4535 -0,2700 -0,1345 -0,0937 -0,1469 -0,2563 -0,3815 -0,5018 -0,6177 -0,7404 -0,8815 -1,0565 -1,2937 -1,6226 -2,0462 -2,5319 -3,0346 -3,5182 -3,9522 -4,3051 -4,5585 -4,7173 -4,8028 -4,8454 -4,8829 -4,9448 -5,0311 -5,1185 -5,1906 -5,2491 -5,3007 -5,3466 -5,3796 -5,3919 -5,3891 -5,3961 -5,4457 -5,5574 -5,7152 -5,8696 -5,9734 -6,0139 -6,0036 -5,9548 -5,8773 -5,7928 -5,7299 -5,6993 -5,6811 -5,6353 -5,5229 -5,3326 -5,0981 -4,8808 -4,7260 -4,6366 -4,5891 -4,5680 -4,5727 -4,5955 -4,6196 -4,6399 -4,6700 -4,7315 -4,8379 -4,9803 -5,1285 -5,2499 -5,3251 -5,3432 -5,2903 -5,1493 -4,9186 -4,6336 -4,3620 -4,1658 -4,0714 -4,0701 -4,1329 -4,2255 -4,3189 -4,3909 -4,4286 -4,4337 -4,4197 -4,4071 -4,4190 -4,4697 -4,5476 -4,6130 -4,6258 -4,5863 -4,5484 -4,5783 -4,7013 -4,8940 -5,1133 -5,3190 -5,4856 -5,6093 -5,7006 -5,7703 -5,8343 -5,9262 -6,0827 -6,3068 -6,5596 -6,7961 -6,9980 -7,1659 -7,2893 -7,3419 -7,3061 -7,1901
F3    0,2083 0,3481 0,5499 0,7623 0,9328 1,0423 1,1049 1,1423 1,1679 1,1965 1,2530 1,3599 1,5111 1,6510 1,6939 1,5702 1,2578 0,7865 0,2221 -0,3632 -0,9145 -1,3974 -1,7870 -2,0655 -2,2310 -2,3014 -2,2955 -2,2087 -2,0171 -1,7089 -1,3067 -0,8587 -0,4194 -0,0415 0,2313 0,3813 0,4245 0,4030 0,3671 0,3474 0,3365 0,3089 0,2511 0,1654 0,0600 -0,0555 -0,1686 -0,2637 -0,3196 -0,3135 -0,2378 -0,1248 -0,0473 -0,0805 -0,2521 -0,5233 -0,8072 -1,0122 -1,0841 -1,0244 -0,8803 -0,7217 -0,6143 -0,6039 -0,7123 -0,9405 -1,2719 -1,6710 -2,0742 -2,3954 -2,5652 -2,5701 -2,4506 -2,2718 -2,0966 -1,9658 -1,8843 -1,8313 -1,7854 -1,7341 -1,6676 -1,5794 -1,4688 -1,3378 -1,1958 -1,0732 -1,0159 -1,0537 -1,1703 -1,3078 -1,4096 -1,4649 -1,5068 -1,5662 -1,6380 -1,6842 -1,6596 -1,5470 -1,3773 -1,2091 -1,0786 -0,9763 -0,8854 -0,8265 -0,8437 -0,9508 -1,1074 -1,2478 -1,3210 -1,3056 -1,2070 -1,0583 -0,9121 -0,8072 -0,7414 -0,6846 -0,6103 -0,5123 -0,4005 -0,2949 -0,2221 -0,2086 -0,2674 -0,3917 -0,5698 -0,8035 -1,1109 -1,5110 -2,0111 -2,6018 -3,2539 -3,9242 -4,5674 -5,1400 -5,5985 -5,9071 -6,0532 -6,0488 -5,9180 -5,6855 -5,3696 -4,9853 -4,5555 -4,1084 -3,6632 -3,2207 -2,7669 -2,2934 -1,8258 -1,4236 -1,1426 -1,0024 -0,9864 -1,0572 -1,1740 -1,3069 -1,4379 -1,5554 -1,6532 -1,7274 -1,7694 -1,7615 -1,6801 -1,5045 -1,2266 -0,8497 -0,3758 0,1936 0,8341 1,4932 2,1196 2,6877 3,1871 3,6016 3,9171 4,1439 4,3093 4,4375 4,5458 4,6450 4,7300 4,7779 4,7626 4,6838 4,5890 4,5458 4,5928 4,7232 4,9052 5,1028 5,2836 5,4179 5,4826 5,4749 5,4127 5,3211 5,2249 5,1530 5,1457 5,2420 5,4538 5,7653 6,1523 6,5860 7,0225 7,4042 7,6728 7,7827 7,7182 7,5035 7,1889 6,8196 6,4162 5,9885 5,5688 5,2237 5,0240 5,0021 5,1411 5,4007 5,7435 6,1333 6,5203 6,8422 7,0467 7,1148 7,0667 6,9519 6,8274 6,7265 6,6430 6,5558 6,4648 6,3995 6,3989 6,4826 6,6268 6,7725 6,8596 6,8459 6,7045 6,4317 6,0624 5,6583 5,2783 4,9681 4,7623 4,6783 4,7062 4,8104 4,9469 5,0841 5,2127 5,3462 5,5088 5,7106 5,9296 6,1160 6,2178 6,2094 6,0944 5,8866 5,6041 5,2835 4,9822 4,7480 4,5947 4,5058 4,4530 4,4063 4,3292 4,1720 3,8862 3,4575 2,9339 2,4323 2,1029 2,0526 2,2849 2,7041 3,1674 3,5425 3,7523 3,7908 3,7027 3,5478 3,3812 3,2487 3,1782 3,1715 3,2098 3,2614 3,2819 3,2239 3,0649 2,8269 2,5661 2,3474 2,2210 2,2066 2,2881 2,4213 2,5537 2,6451 2,6794 2,6584 2,5918 2,4979 2,4007 2,3178 2,2595 2,2320 2,2331 2,2493 2,2581 2,2332 2,1613 2,0508 1,9218 1,7903 1,6593 1,5237 1,3855 1,2587 1,1606 1,1022 1,0925 1,1387 1,2352 1,3551 1,4595 1,5174 1,5268 1,5210 1,5469 1,6289 1,7507 1,8616 1,9125 1,9014 1,8751 1,8837 1,9439 2,0423 2,1559 2,2590 2,3217 2,3160 2,2230 2,0351 1,7629 1,4437 1,1360 0,8966 0,7560 0,7148 0,7611 0,8881 1,0935 1,3611 1,6570 1,9513 2,2308 2,4793 2,6618 2,7423 2,7093 2,5813 2,4008 2,2152 2,0359 1,8242 1,5360 1,1735 0,7856 0,4336 0,1618 -0,0122 -0,0914 -0,0836 0,0100 0,1957 0,4727 0,8199 1,1972 1,5507 1,8189 1,9544 1,9423 1,7936 1,5313 1,1936 0,8353 0,5172 0,2900 0,1860 0,2138 0,3582 0,5821 0,8307 1,0471 1,1968 1,2766 1,3024 1,2956 1,2699 1,2299 1,1820 1,1388 1,1072 1,0851 1,0696 1,0631 1,0721 1,0980 1,1339 1,1761 1,2276 1,2796 1,3013 1,2627 1,1662 1,0437 0,9311 0,8554 0,8288 0,8429 0,8728 0,8869 0,8430 0,6946 0,4154 0,0219 -0,4174 -0,7947 -1,0013 -0,9740 -0,7172 -0,2929 0,2073 0,6865 1,0618 1,2869 1,3678 1,3452 1,2565 1,1130 0,9067 0,6280 0,2872 -0,0689 -0,3674 -0,5445 -0,5740 -0,4704 -0,2743 -0,0358 0,1938 0,3642 0,4287 0,3565 0,1499 -0,1514 -0,4838 -0,7813 -0,9951 -1,0962 -1,0628 -0,8918 -0,6301 -0,3639 -0,1583 -0,0173 0,0890 0,1755 0,2354 0,2648 0,2645 0,2230 0,1224 -0,0312 -0,1949 -0,3081 -0,3266 -0,2402 -0,0686 0,1454 0,3458 0,4899 0,5763 0,6420 0,7262 0,8427 0,9776 1,0988 1,1626 1,1253 0,9556 0,6428 0,2039 -0,3127 -0,8385 -1,3173 -1,7299 -2,0831 -2,3830 -2,6282 -2,8166 -2,9536 -3,0581 -3,1549 -3,2569 -3,3551 -3,4285 -3,4663 -3,4780 -3,4888 -3,5249 -3,5921 -3,6631 -3,6940 -3,6610 -3,5810 -3,4953 -3,4312 -3,3871 -3,3579 -3,3557 -3,3972 -3,4881 -3,6225 -3,7863 -3,9536 -4,0876 -4,1538 -4,1283 -3,9947 -3,7525 -3,4373 -3,1168 -2,8542 -2,6748 -2,5656 -2,5040 -2,4747 -2,4627 -2,4511 -2,4364 -2,4413 -2,5015 -2,6319 -2,8028 -2,9590 -3,0599 -3,0980 -3,0846 -3,0259 -2,9110 -2,7228 -2,4650 -2,1763 -1,9176 -1,7451 -1,6899 -1,7502 -1,9008 -2,1075 -2,3361 -2,5583 -2,7496 -2,8828 -2,9344 -2,9021 -2,8071 -2,6727 -2,5011 -2,2854 -2,0483 -1,8570 -1,7833 -1,8574 -2,0626 -2,3577 -2,6937 -3,0256 -3,3204 -3,5545 -3,7097 -3,7839 -3,8062 -3,8207 -3,8492 -3,8819 -3,9070 -3,9335 -3,9780 -4,0396 -4,0989 -4,1399 -4,1632
F7    0,5063 0,6725 0,8172 0,9459 1,0318 1,0180 0,8627 0,5697 0,1839 -0,2242 -0,5740 -0,7965 -0,8656 -0,8084 -0,6694 -0,4617 -0,1608 0,2456 0,7028 1,0930 1,2939 1,2380 0,9441 0,5128 0,0796 -0,2485 -0,4263 -0,4671 -0,4221 -0,3560 -0,3245 -0,3607 -0,4692 -0,6270 -0,7892 -0,9054 -0,9414 -0,8904 -0,7676 -0,5931 -0,3794 -0,1448 0,0663 0,2014 0,2424 0,2161 0,1610 0,0937 0,0182 -0,0437 -0,0503 0,0303 0,1876 0,3704 0,5219 0,6080 0,6184 0,5592 0,4500 0,3259 0,2340 0,2049 0,2218 0,2246 0,1520 -0,0089 -0,2147 -0,4121 -0,5817 -0,7322 -0,8699 -0,9875 -1,0724 -1,1110 -1,0943 -1,0230 -0,9093 -0,7719 -0,6198 -0,4415 -0,2145 0,0623 0,3474 0,5706 0,6644 0,5956 0,3965 0,1603 -0,0207 -0,1133 -0,1461 -0,1630 -0,1825 -0,2008 -0,2174 -0,2459 -0,3070 -0,4093 -0,5348 -0,6524 -0,7487 -0,8352 -0,9198 -0,9760 -0,9488 -0,7917 -0,5030 -0,1256 0,2839 0,6740 0,9967 1,2156 1,3185 1,3033 1,1724 0,9600 0,7419 0,5978 0,5625 0,6113 0,6803 0,6936 0,5737 0,2545 -0,2811 -0,9765 -1,7314 -2,4602 -3,1111 -3,6296 -3,9251 -3,9068 -3,5668 -3,0123 -2,4085 -1,8972 -1,5559 -1,3976 -1,3862 -1,4609 -1,5665 -1,6649 -1,7235 -1,7118 -1,6193 -1,4632 -1,2744 -1,0846 -0,9145 -0,7679 -0,6416 -0,5350 -0,4447 -0,3561 -0,2461 -0,0907 0,1296 0,4220 0,7740 1,1659 1,5892 2,0393 2,4923 2,9052 3,2349 3,4595 3,5924 3,6708 3,7355 3,8172 3,9206 4,0142 4,0534 4,0153 3,9178 3,8151 3,7741 3,8455 4,0539 4,4063 4,8873 5,4447 6,0009 6,4917 6,8886 7,1913 7,4193 7,6104 7,8036 8,0037 8,1699 8,2509 8,2351 8,1587 8,0707 8,0051 7,9860 8,0320 8,1539 8,3624 8,6638 9,0297 9,3858 9,6492 9,7811 9,8080 9,7986 9,8238 9,9227 10,0861 10,2644 10,3983 10,4496 10,4259 10,3893 10,4235 10,5704 10,7999 11,0338 11,1898 11,2121 11,0838 10,8176 10,4406 10,0052 9,6096 9,3762 9,3845 9,6198 9,9882 10,3823 10,7356 11,0244 11,2430 11,3900 11,4630 11,4560 11,3796 11,2779 11,2033 11,1807 11,2035 11,2571 11,3295 11,4056 11,4649 11,4769 11,3974 11,1944 10,8807 10,5084 10,1417 9,8415 9,6466 9,5457 9,4814 9,3984 9,2854 9,1768 9,1199 9,1364 9,2019 9,2612 9,2657 9,1898 9,0175 8,7392 8,3719 7,9733 7,6200 7,3630 7,2037 7,1141 7,0783 7,1042 7,1923 7,3047 7,3725 7,3376 7,1985 7,0169 6,8777 6,8421 6,9166 7,0413 7,1190 7,0746 6,8957 6,6237 6,3185 6,0369 5,8253 5,7153 5,7155 5,8045 5,9284 6,0198 6,0268 5,9254 5,7210 5,4544 5,1999 5,0445 5,0464 5,2002 5,4330 5,6341 5,7049 5,5997 5,3366 4,9812 4,6217 4,3421 4,1915 4,1586 4,1759 4,1595 4,0665 3,9270 3,8306 3,8808 4,1446 4,6246 5,2623 5,9535 6,5696 6,9997 7,1940 7,1670 6,9626 6,6226 6,1771 5,6459 5,0430 4,3996 3,7839 3,2763 2,9300 2,7694 2,8041 3,0191 3,3606 3,7524 4,1252 4,4270 4,6204 4,7015 4,7117 4,7089 4,7309 4,7960 4,9211 5,1191 5,3806 5,6699 5,9397 6,1481 6,2674 6,2855 6,2141 6,0890 5,9405 5,7623 5,5267 5,2235 4,8732 4,5125 4,1874 3,9539 3,8618 3,9231 4,0941 4,2902 4,4299 4,4780 4,4488 4,3711 4,2680 4,1728 4,1422 4,2290 4,4409 4,7317 5,0333 5,2921 5,4738 5,5593 5,5585 5,5130 5,4599 5,4031 5,3271 5,2224 5,0910 4,9489 4,8198 4,7164 4,6375 4,5860 4,5638 4,5501 4,5146 4,4638 4,4577 4,5667 4,8129 5,1456 5,4647 5,6706 5,7066 5,5755 5,3398 5,1053 4,9750 4,9911 5,1167 5,2653 5,3450 5,2989 5,1310 4,9017 4,6885 4,5334 4,4219 4,3023 4,1283 3,8928 3,6266 3,3686 3,1474 2,9934 2,9546 3,0816 3,3918 3,8529 4,3958 4,9408 5,4276 5,8256 6,1042 6,2088 6,1025 5,8148 5,4250 5,0172 4,6627 4,4044 4,2374 4,1255 4,0336 3,9418 3,8545 3,8091 3,8508 3,9846 4,1591 4,2983 4,3518 4,3239 4,2520 4,1587 4,0309 3,8347 3,5436 3,1620 2,7279 2,3043 1,9706 1,8075 1,8645 2,1299 2,5325 2,9678 3,3341 3,5718 3,6832 3,7146 3,7295 3,7892 3,9328 4,1585 4,4346 4,7290 5,0221 5,2840 5,4585 5,4907 5,3696 5,1284 4,8037 4,4109 3,9661 3,5109 3,1027 2,7916 2,5976 2,4968 2,4357 2,3748 2,3085 2,2344 2,1322 1,9931 1,8458 1,7315 1,6613 1,6092 1,5338 1,4079 1,2426 1,0866 0,9937 0,9849 1,0309 1,0691 1,0451 0,9400 0,7702 0,5815 0,4394 0,4060 0,5027 0,6837 0,8468 0,8844 0,7408 0,4481 0,1248 -0,0730 -0,0244 0,3145 0,9152 1,6981 2,5414 3,2895 3,7951 3,9836 3,8801 3,5844 3,2261 2,9132 2,6882 2,5274 2,3868 2,2419 2,0898 1,9323 1,7683 1,5924 1,3975 1,1895 1,0009 0,8868 0,9027 1,0809 1,4195 1,8798 2,3953 2,8901 3,3003 3,5843 3,7341 3,7905 3,8377 3,9574 4,1779 4,4664 4,7588 4,9847 5,0831 5,0189 4,7962 4,4555 4,0609 3,6839 3,3845 3,1934 3,1052 3,0954 3,1398 3,2183 3,3145 3,4171 3,5128 3,5794 3,5898 3,5159 3,3301 3,0180 2,6049 2,1584 1,7564 1,4536 1,2738 1,2209 1,2869 1,4491 1,6689 1,9001 2,0961
