Fp1   2,5963 2,2723 1,8951 1,4928 1,1391 0,9323 0,9619 1,2698 1,8080 2,4375 2,9828 3,2944 3,2927 2,9973 2,5297 2,0662 1,7511 1,6325 1,6550 1,6925 1,6109 1,3280 0,8307 0,1717 -0,5257 -1,0912 -1,3772 -1,3235 -0,9954 -0,5889 -0,3646 -0,5115 -1,0415 -1,7945 -2,5241 -2,9947 -3,0687 -2,7538 -2,1844 -1,5618 -1,0931 -0,9221 -1,0724 -1,4534 -1,9262 -2,3659 -2,6890 -2,8521 -2,8465 -2,7185 -2,5921 -2,6100 -2,8198 -3,1332 -3,3866 -3,4347 -3,2159 -2,7704 -2,2206 -1,7256 -1,4163 -1,3383 -1,4406 -1,6175 -1,7653 -1,8212 -1,7782 -1,6603 -1,4752 -1,2126 -0,9044 -0,6576 -0,5884 -0,7214 -0,9602 -1,1479 -1,1674 -1,0006 -0,7075 -0,3848 -0,1534 -0,1384 -0,4018 -0,8774 -1,3776 -1,6794 -1,6479 -1,3065 -0,7934 -0,2634 0,1656 0,4189 0,4619 0,2924 -0,0695 -0,5767 -1,1567 -1,7378 -2,2648 -2,6804 -2,9200 -2,9506 -2,8043 -2,5564 -2,2845 -2,0521 -1,9097 -1,8976 -2,0453 -2,3683 -2,8675 -3,4963 -4,1196 -4,5560 -4,6895 -4,5287 -4,1652 -3,7120 -3,2685 -2,9017 -2,6542 -2,5644 -2,6649 -2,9734 -3,4814 -4,1200 -4,7498 -5,2359 -5,5387 -5,7077 -5,7921 -5,8005 -5,7358 -5,6020 -5,3706 -4,9901 -4,4279 -3,6820 -2,7745 -1,7724 -0,8062 -0,0335 0,4440 0,6433 0,6864 0,7234 0,8689 1,1920 1,7214 2,4306 3,2265 3,9885 4,6453 5,2209 5,7997 6,4445 7,1579 7,9092 8,6727 9,4319 10,1539 10,7651 11,1614 11,2534 11,0236 10,5677 10,0638 9,6580 9,3764 9,1545 8,9248 8,6728 8,4410 8,2861 8,2205 8,1937 8,1277 7,9786 7,7686 7,5599 7,3998 7,2928 7,2259 7,1914 7,1821 7,1945 7,2375 7,3152 7,4066 7,4663 7,4388 7,2884 7,0256 6,7065 6,4152 6,2521 6,3127 6,6313 7,1385 7,6975 8,1775 8,4963 8,6382 8,6583 8,6450 8,6655 8,7358 8,8223 8,8833 8,9220 8,9827 9,0924 9,2199 9,2915 9,2462 9,0801 8,8481 8,6299 8,4949 8,4754 8,5443 8,6286 8,6694 8,6711 8,6789 8,7230 8,7910 8,8255 8,7518 8,5364 8,2191 7,8707 7,5346 7,2200 6,9350 6,7028 6,5396 6,4426 6,4202 6,5101 6,7352 7,0618 7,4405 7,8604 8,3252 8,7998 9,2157 9,5219 9,7109 9,7968 9,7834 9,6678 9,4559 9,1482 8,7314 8,2121 7,6264 7,0024 6,3573 5,7415 5,2440 4,9383 4,8296 4,8564 4,9581 5,1369 5,4333 5,8458 6,2977 6,6830 6,9259 6,9926 6,8757 6,5833 6,1459 5,6419 5,2000 4,9457 4,9481 5,2166 5,6930 6,2481 6,7454 7,1211 7,3944 7,6177 7,8331 8,0712 8,3551 8,6640 8,8987 8,9302 8,7126 8,3271 7,9007 7,5243 7,2664 7,1946 7,3429 7,6877 8,1575 8,6418 9,0198 9,2242 9,2973 9,3760 9,5948 9,9844 10,4631 10,9161 11,2616 11,4560 11,4986 11,4453 11,3583 11,2419 11,0652 10,8302 10,5849 10,3680 10,1446 9,8296 9,3862 8,8705 8,3968 8,0996 8,0910 8,3969 8,9347 9,5592 10,1162 10,4832 10,6142 10,5498 10,3723 10,1574 9,9583 9,8058 9,6953 9,5702 9,3417 8,9432 8,3698 7,6764 6,9506 6,2704 5,6770 5,1950 4,8588 4,6983 4,7110 4,8565 5,0796 5,3418 5,6333 5,9679 6,3689 6,8406 7,3586 7,8790 8,3191 8,5444 8,4349 7,9814 7,3104 6,6212 6,0893 5,7936 5,7014 5,7172 5,7518 5,7521 5,7034 5,6233 5,5395 5,4699 5,4251 5,4185 5,4665 5,5798 5,7630 6,0164 6,3366 6,7182 7,1400 7,5465 7,8605 8,0131 7,9730 7,7622 7,4443 7,1022 6,8377 6,7661 6,9516 7,3358 7,7507 8,0080 7,9777 7,6307 7,0472 6,3774 5,7562 5,2430 4,8492 4,5954 4,4965 4,5172 4,5916 4,6881 4,8278 5,0327 5,2735 5,4758 5,5774 5,5762 5,5344 5,5416 5,6660 5,9147 6,2161 6,4529 6,5498 6,5235 6,4425 6,3697 6,3331 6,3103 6,2504 6,1240 5,9193 5,5875 5,0496 4,2856 3,3911 2,5429 1,9253 1,6657 1,7789 2,1541 2,6100 2,9879 3,2142 3,3010 3,3164 3,3556 3,4987 3,7683 4,1327 4,5501 4,9764 5,3297 5,5073 5,4630 5,2203 4,8317 4,3761 3,9503 3,6205 3,3852 3,1706 2,8704 2,4255 1,8705 1,3047 0,8201 0,4625 0,2567 0,2354 0,4230 0,8066 1,3295 1,9101 2,4699 2,9467 3,2854 3,4375 3,3785 3,1338 2,7677 2,3196 1,7690 1,0890 0,3079 -0,4916 -1,2050 -1,7415 -2,0585 -2,1651 -2,0883 -1,8597 -1,5435 -1,2354 -1,0131 -0,9039 -0,8958 -0,9549 -1,0382 -1,1151 -1,1761 -1,2200 -1,2525 -1,2935 -1,3703 -1,5096 -1,7339 -2,0410 -2,3787 -2,6599 -2,8066 -2,7798 -2,5913 -2,2873 -1,8949 -1,3902 -0,7274 0,1063 1,0603 2,0362 2,9200 3,5994 3,9985 4,1238 4,0574 3,8922 3,6820 3,4356 3,1408 2,8169 2,5482 2,4264 2,4668 2,6105 2,7763 2,8974 2,9427 2,9158 2,8386 2,7605 2,7638 2,9121 3,1814 3,4607 3,6225 3,5834 3,3251 2,9079 2,4585 2,1052 1,9081 1,8406 1,8184 1,7407 1,5271 1,1574 0,6931 0,2487 -0,0670 -0,1996 -0,1675 -0,0529 0,0416 0,0511 -0,0357 -0,2138 -0,4818 -0,8154 -1,1578 -1,4465 -1,6332 -1,6939 -1,6526 -1,6006 -1,6655 -1,9334 -2,3803 -2,8832 -3,2989 -3,5213 -3,5009 -3,2672 -2,9346 -2,6493 -2,5120 -2,5398 -2,6884 -2,8989 -3,1219 -3,3131 -3,4338 -3,4668 -3,4298 -3,3614 -3,2979 -3,2576 -3,2264 -3,1577 -3,0095 -2,7868 -2,5444
Fz    0,4326 0,3442 0,2883 0,2659 0,2825 0,3527 0,4997 0,7418 1,0649 1,4114 1,7011 1,8643 1,8687 1,7319 1,5157 1,2990 1,1401 1,0525 1,0074 0,9547 0,8458 0,6506 0,3662 0,0267 -0,2951 -0,5106 -0,5507 -0,3935 -0,0776 0,2965 0,5928 0,6963 0,5636 0,2351 -0,1902 -0,5937 -0,8822 -1,0240 -1,0532 -1,0407 -1,0636 -1,1800 -1,4049 -1,6997 -1,9912 -2,2002 -2,2641 -2,1598 -1,9152 -1,6028 -1,3162 -1,1270 -1,0447 -1,0153 -0,9595 -0,8176 -0,5765 -0,2670 0,0547 0,3290 0,5140 0,6069 0,6444 0,6716 0,7120 0,7662 0,8269 0,8907 0,9631 1,0489 1,1290 1,1540 1,0781 0,9029 0,6863 0,5089 0,4237 0,4299 0,4921 0,5691 0,6232 0,6269 0,5837 0,5433 0,5875 0,7849 1,1409 1,5810 1,9916 2,2801 2,4062 2,3784 2,2312 1,9986 1,6972 1,3361 0,9337 0,5179 0,1184 -0,2292 -0,4824 -0,6095 -0,6052 -0,4878 -0,2969 -0,0940 0,0517 0,0844 -0,0242 -0,2742 -0,6482 -1,1081 -1,5820 -1,9829 -2,2617 -2,4301 -2,5327 -2,6174 -2,7221 -2,8671 -3,0573 -3,2945 -3,5779 -3,8992 -4,2385 -4,5530 -4,7768 -4,8636 -4,8297 -4,7367 -4,6332 -4,5271 -4,4025 -4,2388 -4,0169 -3,7270 -3,3681 -2,9382 -2,4389 -1,8970 -1,3737 -0,9355 -0,6068 -0,3493 -0,0926 0,2176 0,5978 1,0384 1,5228 2,0359 2,5580 3,0672 3,5597 4,0622 4,6134 5,2309 5,9017 6,6003 7,3016 7,9785 8,5959 9,1067 9,4630 9,6342 9,6239 9,4786 9,2771 9,0858 8,9200 8,7576 8,5827 8,4057 8,2496 8,1237 8,0110 7,8829 7,7248 7,5453 7,3649 7,1995 7,0505 6,9097 6,7740 6,6479 6,5347 6,4337 6,3402 6,2445 6,1339 5,9935 5,8055 5,5662 5,3089 5,0985 5,0030 5,0743 5,3370 5,7672 6,2861 6,7943 7,2143 7,5062 7,6723 7,7527 7,8015 7,8622 7,9588 8,0934 8,2586 8,4580 8,7012 8,9775 9,2445 9,4421 9,5232 9,4829 9,3629 9,2238 9,1133 9,0484 9,0115 8,9643 8,8804 8,7640 8,6341 8,5003 8,3579 8,1897 7,9763 7,7188 7,4439 7,1777 6,9225 6,6646 6,3994 6,1430 5,9187 5,7432 5,6306 5,5954 5,6361 5,7249 5,8304 5,9389 6,0452 6,1351 6,1879 6,1886 6,1352 6,0351 5,8940 5,7133 5,4917 5,2202 4,8840 4,4828 4,0377 3,5683 3,0830 2,6007 2,1651 1,8275 1,6224 1,5583 1,6264 1,8113 2,0840 2,3864 2,6329 2,7402 2,6611 2,3990 2,0026 1,5485 1,1152 0,7698 0,5685 0,5457 0,6993 0,9965 1,3803 1,7747 2,1116 2,3628 2,5424 2,6835 2,8150 2,9540 3,1056 3,2547 3,3619 3,3811 3,2981 3,1476 2,9834 2,8476 2,7793 2,8206 2,9966 3,3052 3,7187 4,1806 4,6206 4,9917 5,2935 5,5630 5,8376 6,1196 6,3739 6,5621 6,6694 6,6986 6,6615 6,5858 6,5026 6,4251 6,3554 6,3000 6,2712 6,2708 6,2699 6,2173 6,0803 5,8721 5,6430 5,4653 5,4090 5,4997 5,6988 5,9264 6,0953 6,1357 6,0224 5,7887 5,5049 5,2402 5,0406 4,9216 4,8675 4,8363 4,7800 4,6688 4,5003 4,2945 4,0849 3,9069 3,7845 3,7279 3,7380 3,8020 3,8852 3,9375 3,9236 3,8488 3,7505 3,6698 3,6346 3,6481 3,6932 3,7495 3,7918 3,7790 3,6706 3,4677 3,2285 3,0400 2,9702 3,0349 3,1973 3,3962 3,5762 3,6997 3,7550 3,7588 3,7391 3,7090 3,6608 3,5864 3,4965 3,4192 3,3832 3,4018 3,4686 3,5689 3,6863 3,7998 3,8884 3,9381 3,9455 3,9203 3,8810 3,8425 3,8193 3,8374 3,9244 4,0781 4,2570 4,4011 4,4606 4,4167 4,2854 4,1009 3,8906 3,6651 3,4358 3,2316 3,0833 2,9947 2,9452 2,9191 2,9216 2,9663 3,0542 3,1658 3,2694 3,3426 3,3865 3,4231 3,4807 3,5724 3,6754 3,7374 3,7186 3,6228 3,4872 3,3585 3,2695 3,2152 3,1565 3,0554 2,8876 2,6249 2,2399 1,7466 1,2219 0,7785 0,5186 0,4956 0,6903 1,0168 1,3622 1,6326 1,7804 1,8072 1,7521 1,6758 1,6365 1,6695 1,7910 2,0128 2,3312 2,6961 3,0181 3,2189 3,2595 3,1343 2,8719 2,5275 2,1575 1,8017 1,4781 1,1874 0,9336 0,7412 0,6467 0,6680 0,7872 0,9652 1,1643 1,3536 1,5102 1,6244 1,7012 1,7497 1,7687 1,7368 1,6205 1,3970 1,0772 0,7053 0,3278 -0,0274 -0,3421 -0,5982 -0,7854 -0,9086 -0,9884 -1,0643 -1,1814 -1,3603 -1,5864 -1,8366 -2,0990 -2,3655 -2,6253 -2,8700 -3,0915 -3,2747 -3,4037 -3,4717 -3,4829 -3,4567 -3,4221 -3,3998 -3,3966 -3,4168 -3,4621 -3,5199 -3,5645 -3,5658 -3,4962 -3,3442 -3,1215 -2,8412 -2,4944 -2,0564 -1,5121 -0,8770 -0,1992 0,4552 1,0169 1,4364 1,7134 1,8955 2,0400 2,1795 2,3123 2,4083 2,4396 2,4157 2,3719 2,3297 2,2863 2,2285 2,1408 2,0162 1,8671 1,7217 1,6186 1,5995 1,6875 1,8642 2,0717 2,2383 2,3053 2,2462 2,0830 1,8845 1,7261 1,6397 1,5976 1,5379 1,3999 1,1442 0,7638 0,2889 -0,2216 -0,7005 -1,0886 -1,3440 -1,4501 -1,4209 -1,2969 -1,1344 -0,9966 -0,9337 -0,9606 -1,0599 -1,2027 -1,3589 -1,5025 -1,6296 -1,7725 -1,9823 -2,2897 -2,6777 -3,0900 -3,4611 -3,7396 -3,8994 -3,9533 -3,9550 -3,9743 -4,0625 -4,2332 -4,4670 -4,7300 -4,9897 -5,2191 -5,3925 -5,4853 -5,4822 -5,3854 -5,2140 -4,9941 -4,7422 -4,4592 -4,1471 -3,8290 -3,5474
F3    0,8553 0,7550 0,6302 0,4928 0,3770 0,3360 0,4231 0,6684 1,0518 1,4939 1,8826 2,1160 2,1393 1,9640 1,6650 1,3469 1,0933 0,9345 0,8452 0,7639 0,6278 0,4037 0,0943 -0,2602 -0,5771 -0,7505 -0,6997 -0,4086 0,0582 0,5542 0,8920 0,9293 0,6396 0,1149 -0,4836 -0,9878 -1,2832 -1,3501 -1,2583 -1,1248 -1,0678 -1,1632 -1,4088 -1,7270 -2,0127 -2,1800 -2,1835 -2,0261 -1,7532 -1,4420 -1,1856 -1,0558 -1,0579 -1,1290 -1,1773 -1,1314 -0,9667 -0,7064 -0,4109 -0,1624 -0,0290 -0,0211 -0,0842 -0,1414 -0,1391 -0,0609 0,0776 0,2448 0,4181 0,5849 0,7144 0,7468 0,6342 0,3915 0,1016 -0,1304 -0,2408 -0,2362 -0,1652 -0,0814 -0,0357 -0,0736 -0,2049 -0,3706 -0,4534 -0,3393 0,0070 0,5170 1,0626 1,5194 1,8060 1,8916 1,7847 1,5145 1,1232 0,6678 0,2125 -0,1978 -0,5477 -0,8312 -1,0300 -1,1232 -1,1030 -0,9750 -0,7641 -0,5258 -0,3342 -0,2550 -0,3251 -0,5480 -0,9012 -1,3313 -1,7397 -2,0130 -2,0954 -2,0224 -1,8828 -1,7691 -1,7469 -1,8402 -2,0421 -2,3387 -2,7178 -3,1674 -3,6695 -4,1774 -4,6061 -4,8790 -4,9897 -4,9967 -4,9577 -4,8867 -4,7693 -4,5828 -4,3013 -3,9126 -3,4277 -2,8648 -2,2411 -1,5984 -1,0189 -0,5901 -0,3432 -0,2279 -0,1475 -0,0178 0,2063 0,5389 0,9759 1,4942 2,0477 2,5845 3,0845 3,5809 4,1338 4,7789 5,5064 6,2827 7,0706 7,8320 8,5237 9,0925 9,4796 9,6407 9,5740 9,3402 9,0452 8,7772 8,5536 8,3429 8,1234 7,9082 7,7320 7,6232 7,5819 7,5814 7,5901 7,5911 7,5859 7,5794 7,5665 7,5349 7,4826 7,4208 7,3617 7,3126 7,2692 7,2125 7,1179 6,9623 6,7241 6,4063 6,0615 5,7769 5,6314 5,6732 5,9155 6,3208 6,7978 7,2430 7,5874 7,8051 7,9097 7,9522 7,9971 8,0888 8,2339 8,4026 8,5536 8,6729 8,7781 8,8864 8,9862 9,0426 9,0270 8,9456 8,8369 8,7433 8,6876 8,6647 8,6441 8,5869 8,4753 8,3267 8,1754 8,0456 7,9385 7,8269 7,6692 7,4490 7,1916 6,9322 6,6805 6,4282 6,1801 5,9622 5,8000 5,7038 5,6811 5,7431 5,8837 6,0639 6,2381 6,3844 6,4937 6,5477 6,5264 6,4310 6,2877 6,1247 5,9529 5,7741 5,5893 5,3854 5,1346 4,8235 4,4646 4,0722 3,6546 3,2406 2,8857 2,6415 2,5249 2,5203 2,6066 2,7776 3,0252 3,3090 3,5528 3,6778 3,6369 3,4299 3,0994 2,7111 2,3316 2,0225 1,8440 1,8429 2,0325 2,3868 2,8388 3,2919 3,6628 3,9219 4,0926 4,2167 4,3250 4,4389 4,5785 4,7409 4,8760 4,9097 4,8080 4,6117 4,3939 4,2088 4,0955 4,0895 4,2084 4,4454 4,7697 5,1202 5,4207 5,6254 5,7527 5,8742 6,0578 6,3125 6,5854 6,8135 6,9678 7,0504 7,0778 7,0797 7,0804 7,0742 7,0403 6,9767 6,9047 6,8382 6,7487 6,5770 6,2883 5,9056 5,5034 5,1902 5,0684 5,1744 5,4547 5,7962 6,0733 6,1913 6,1257 5,9270 5,6778 5,4459 5,2680 5,1534 5,0819 5,0026 4,8570 4,6168 4,2986 3,9489 3,6212 3,3552 3,1625 3,0376 2,9772 2,9777 3,0196 3,0680 3,0955 3,1043 3,1221 3,1836 3,3146 3,5162 3,7629 4,0140 4,2096 4,2689 4,1269 3,7910 3,3598 2,9791 2,7657 2,7518 2,8875 3,0866 3,2732 3,4044 3,4796 3,5344 3,6076 3,7092 3,8225 3,9281 4,0165 4,0825 4,1232 4,1398 4,1396 4,1414 4,1687 4,2317 4,3163 4,3868 4,4042 4,3561 4,2665 4,1793 4,1461 4,2213 4,4345 4,7551 5,0942 5,3424 5,4136 5,2794 4,9790 4,5933 4,1949 3,8221 3,5009 3,2696 3,1532 3,1308 3,1510 3,1792 3,2178 3,2847 3,3811 3,4832 3,5603 3,6002 3,6191 3,6518 3,7323 3,8699 4,0285 4,1396 4,1533 4,0732 3,9419 3,8120 3,7215 3,6669 3,6099 3,5154 3,3602 3,1025 2,6908 2,1258 1,4963 0,9450 0,6047 0,5486 0,7588 1,1308 1,5211 1,8099 1,9397 1,9201 1,8118 1,7015 1,6669 1,7495 1,9560 2,2770 2,6824 3,0967 3,4158 3,5684 3,5423 3,3645 3,0869 2,7686 2,4485 2,1370 1,8216 1,4838 1,1312 0,8150 0,6048 0,5371 0,5893 0,7082 0,8517 0,9968 1,1278 1,2371 1,3305 1,4210 1,5074 1,5612 1,5374 1,4062 1,1811 0,9107 0,6302 0,3351 0,0120 -0,3268 -0,6455 -0,9094 -1,1092 -1,2712 -1,4355 -1,6141 -1,7838 -1,9244 -2,0426 -2,1512 -2,2521 -2,3438 -2,4257 -2,4903 -2,5253 -2,5219 -2,4774 -2,4011 -2,3136 -2,2331 -2,1683 -2,1266 -2,1136 -2,1210 -2,1278 -2,1101 -2,0449 -1,9231 -1,7549 -1,5423 -1,2538 -0,8406 -0,2746 0,4285 1,2105 1,9840 2,6467 3,1169 3,3811 3,4971 3,5457 3,5836 3,6245 3,6444 3,6159 3,5430 3,4490 3,3411 3,2088 3,0442 2,8482 2,6324 2,4173 2,2313 2,1139 2,1093 2,2335 2,4455 2,6579 2,7801 2,7527 2,5620 2,2516 1,9177 1,6598 1,5191 1,4654 1,4313 1,3492 1,1669 0,8623 0,4572 0,0083 -0,4159 -0,7532 -0,9616 -1,0328 -0,9983 -0,9130 -0,8345 -0,8131 -0,8788 -1,0243 -1,2069 -1,3752 -1,4890 -1,5273 -1,5047 -1,4852 -1,5550 -1,7636 -2,0861 -2,4430 -2,7517 -2,9565 -3,0377 -3,0229 -2,9832 -2,9995 -3,1221 -3,3521 -3,6512 -3,9699 -4,2711 -4,5319 -4,7327 -4,8498 -4,8600 -4,7529 -4,5397 -4,2459 -3,8926 -3,4947 -3,0795 -2,6954 -2,3965
F7    0,8168 0,6026 0,3631 0,1556 0,0553 0,1236 0,3821 0,7964 1,2700 1,6682 1,8717 1,8259 1,5555 1,1494 0,7284 0,4066 0,2554 0,2899 0,4722 0,7192 0,9290 1,0262 0,9847 0,8251 0,6121 0,4414 0,4006 0,5254 0,7708 1,0102 1,0835 0,8865 0,4326 -0,1626 -0,7426 -1,1666 -1,3486 -1,2851 -1,0547 -0,7919 -0,6444 -0,7163 -1,0191 -1,4735 -1,9610 -2,3767 -2,6510 -2,7547 -2,7063 -2,5807 -2,4955 -2,5495 -2,7495 -2,9976 -3,1524 -3,1159 -2,8876 -2,5502 -2,2088 -1,9413 -1,7826 -1,7226 -1,7173 -1,7217 -1,7174 -1,7101 -1,7099 -1,7104 -1,6796 -1,5830 -1,4289 -1,2894 -1,2583 -1,3739 -1,5813 -1,7709 -1,8585 -1,8310 -1,7290 -1,6146 -1,5615 -1,6437 -1,8899 -2,2417 -2,5673 -2,7217 -2,6184 -2,2767 -1,8073 -1,3447 -0,9925 -0,8026 -0,7751 -0,8812 -1,0980 -1,4145 -1,8115 -2,2537 -2,6943 -3,0744 -3,3311 -3,4263 -3,3766 -3,2411 -3,0782 -2,9230 -2,8027 -2,7579 -2,8407 -3,0941 -3,5224 -4,0626 -4,5830 -4,9436 -5,0760 -5,0005 -4,7851 -4,5124 -4,2689 -4,1266 -4,1242 -4,2706 -4,5590 -4,9733 -5,4824 -6,0249 -6,5127 -6,8863 -7,1665 -7,4229 -7,6905 -7,9419 -8,1284 -8,2089 -8,1496 -7,9310 -7,5533 -7,0237 -6,3472 -5,5460 -4,6910 -3,8935 -3,2418 -2,7448 -2,3432 -1,9697 -1,5888 -1,1919 -0,7779 -0,3444 0,1154 0,6110 1,1501 1,7322 2,3500 2,9912 3,6349 4,2493 4,8026 5,2814 5,6871 6,0125 6,2344 6,3327 6,3158 6,2330 6,1585 6,1456 6,1914 6,2516 6,2845 6,2807 6,2601 6,2431 6,2293 6,2032 6,1547 6,0867 6,0047 5,9087 5,7948 5,6608 5,5156 5,3752 5,2466 5,1270 5,0147 4,9093 4,8080 4,6980 4,5455 4,3158 4,0091 3,6652 3,3495 3,1501 3,1545 3,3864 3,7730 4,1886 4,5214 4,7072 4,7367 4,6434 4,4726 4,2606 4,0370 3,8227 3,6352 3,5020 3,4505 3,4838 3,5792 3,7028 3,8216 3,9089 3,9506 3,9467 3,9069 3,8347 3,7116 3,5113 3,2378 2,9389 2,6764 2,4882 2,3691 2,2710 2,1267 1,8968 1,5960 1,2687 0,9487 0,6487 0,3801 0,1691 0,0410 -0,0038 0,0219 0,1183 0,2931 0,5396 0,8454 1,2081 1,6194 2,0427 2,4215 2,7091 2,8887 2,9690 2,9589 2,8560 2,6557 2,3579 1,9668 1,5036 1,0065 0,5092 0,0395 -0,3607 -0,6410 -0,7735 -0,7661 -0,6466 -0,4329 -0,1142 0,3274 0,8698 1,4315 1,9082 2,2245 2,3518 2,2969 2,0854 1,7525 1,3505 0,9582 0,6596 0,5166 0,5617 0,7830 1,1123 1,4626 1,7896 2,1086 2,4564 2,8518 3,2862 3,7261 4,1045 4,3293 4,3349 4,1390 3,8423 3,5586 3,3549 3,2583 3,2784 3,4106 3,6394 3,9345 4,2351 4,4687 4,5995 4,6572 4,7192 4,8600 5,1004 5,4016 5,6979 5,9279 6,0494 6,0688 6,0588 6,1101 6,2579 6,4733 6,7003 6,8874 6,9924 6,9716 6,7947 6,4846 6,1216 5,8063 5,6311 5,6565 5,8745 6,2036 6,5321 6,7616 6,8300 6,7323 6,5260 6,3005 6,1309 6,0424 6,0051 5,9582 5,8397 5,6041 5,2333 4,7493 4,2185 3,7284 3,3483 3,1121 3,0338 3,1235 3,3721 3,7259 4,0877 4,3629 4,5118 4,5526 4,5333 4,5038 4,4884 4,4751 4,4324 4,3245 4,1167 3,7966 3,4038 3,0276 2,7673 2,6859 2,7870 3,0182 3,2973 3,5447 3,7044 3,7623 3,7537 3,7348 3,7418 3,7771 3,8257 3,8769 3,9242 3,9571 3,9731 3,9998 4,0900 4,2757 4,5301 4,7796 4,9517 5,0110 4,9591 4,8152 4,6106 4,4001 4,2613 4,2612 4,4076 4,6359 4,8427 4,9318 4,8488 4,5959 4,2306 3,8410 3,5088 3,2886 3,2103 3,2669 3,4026 3,5439 3,6527 3,7379 3,8186 3,8893 3,9272 3,9272 3,9171 3,9422 4,0384 4,2127 4,4352 4,6336 4,7104 4,6053 4,3413 4,0014 3,6810 3,4507 3,3237 3,2550 3,1764 3,0216 2,7309 2,2762 1,6970 1,0993 0,6141 0,3482 0,3466 0,5728 0,9205 1,2591 1,4837 1,5468 1,4619 1,2916 1,1269 1,0518 1,1059 1,2820 1,5562 1,9032 2,2734 2,5876 2,7785 2,8160 2,7035 2,4821 2,2116 1,9245 1,6136 1,2554 0,8373 0,3812 -0,0534 -0,3942 -0,5940 -0,6510 -0,5958 -0,4561 -0,2420 0,0359 0,3470 0,6449 0,8890 1,0549 1,1341 1,1307 1,0508 0,8955 0,6598 0,3329 -0,0942 -0,6050 -1,1495 -1,6616 -2,0815 -2,3791 -2,5768 -2,7322 -2,8836 -3,0273 -3,1544 -3,2745 -3,3968 -3,5202 -3,6480 -3,7929 -3,9634 -4,1515 -4,3366 -4,5019 -4,6477 -4,7777 -4,8745 -4,9145 -4,9008 -4,8560 -4,7885 -4,6805 -4,4964 -4,2016 -3,7914 -3,2917 -2,7184 -2,0593 -1,3027 -0,4707 0,3730 1,1443 1,7697 2,1995 2,4158 2,4483 2,3647 2,2297 2,0740 1,8931 1,6673 1,3981 1,1257 0,8956 0,7217 0,5953 0,5031 0,4360 0,4029 0,4269 0,5198 0,6798 0,9043 1,1709 1,4150 1,5488 1,5115 1,2968 0,9494 0,5494 0,1827 -0,0984 -0,2881 -0,4095 -0,4956 -0,5848 -0,7151 -0,9017 -1,1180 -1,3106 -1,4367 -1,4860 -1,4797 -1,4572 -1,4569 -1,4961 -1,5691 -1,6704 -1,8035 -1,9662 -2,1459 -2,3261 -2,4823 -2,5812 -2,5998 -2,5511 -2,4846 -2,4587 -2,5121 -2,6458 -2,8165 -2,9466 -2,9647 -2,8633 -2,7145 -2,6168 -2,6224 -2,7179 -2,8584 -3,0052 -3,1368 -3,2401 -3,3049 -3,3310 -3,3298 -3,3075 -3,2521 -3,1425 -2,9567 -2,6685 -2,2644 -1,7789 -1,2984
