Fp1   9,9548 9,4236 8,7106 7,9560 7,2394 6,5977 6,0844 5,7676 5,6684 5,7319 5,8572 5,9393 5,8890 5,6360 5,1341 4,3707 3,3640 2,1642 0,8701 -0,3591 -1,3314 -1,9027 -2,0628 -1,9419 -1,7276 -1,5678 -1,5247 -1,5965 -1,7701 -2,0466 -2,4275 -2,9083 -3,4858 -4,1290 -4,7505 -5,2392 -5,5229 -5,5991 -5,5102 -5,2924 -4,9596 -4,5347 -4,0947 -3,7802 -3,7433 -4,0755 -4,7659 -5,6876 -6,6319 -7,3894 -7,8143 -7,8408 -7,4807 -6,8213 -6,0086 -5,1929 -4,4545 -3,7689 -3,0492 -2,2292 -1,3071 -0,3358 0,5988 1,3995 1,9947 2,3752 2,5927 2,7297 2,8595 3,0136 3,1811 3,3235 3,3816 3,3001 3,0700 2,7463 2,4277 2,2139 2,1633 2,2798 2,5380 2,9160 3,4020 3,9709 4,5594 5,0701 5,4143 5,5590 5,5198 5,3174 4,9548 4,4271 3,7431 2,9521 2,1521 1,4642 1,0001 0,8380 0,9978 1,4188 1,9650 2,4675 2,7806 2,8157 2,5425 1,9752 1,1629 0,1841 -0,8644 -1,8961 -2,8603 -3,7543 -4,6321 -5,5891 -6,7045 -7,9754 -9,2950 -10,5048 -11,4866 -12,2109 -12,7146 -13,0567 -13,2906 -13,4525 -13,5602 -13,6071 -13,5553 -13,3536 -12,9526 -12,2954 -11,3385 -10,1139 -8,7489 -7,4047 -6,2055 -5,2209 -4,4756 -3,9379 -3,5199 -3,1311 -2,7445 -2,4069 -2,1872 -2,1048 -2,0783 -1,9323 -1,4703 -0,5703 0,7602 2,3881 4,1064 5,7156 7,0834 8,1587 8,9609 9,5533 10,0150 10,4284 10,8561 11,2953 11,6608 11,8334 11,7370 11,3731 10,7968 10,0676 9,2342 8,3709 7,5925 6,9788 6,4906 5,9942 5,3628 4,5526 3,6168 2,6725 1,8450 1,2163 0,8000 0,5527 0,4095 0,3214 0,2807 0,3186 0,4786 0,7903 1,2547 1,8413 2,4973 3,1555 3,7417 4,1974 4,4985 4,6491 4,6616 4,5629 4,4132 4,2951 4,2691 4,3257 4,3715 4,2695 3,9138 3,2825 2,4380 1,4933 0,5635 -0,2620 -0,9126 -1,3488 -1,5991 -1,7526 -1,8925 -2,0323 -2,1242 -2,1253 -2,0426 -1,9063 -1,7226 -1,4794 -1,1900 -0,9012 -0,6531 -0,4517 -0,2777 -0,1047 0,1028 0,4054 0,8795 1,5702 2,4435 3,3713 4,1617 4,6360 4,7155 4,4580 4,0205 3,5905 3,3258 3,3022 3,4872 3,7630 3,9848 4,0448 3,9062 3,5943 3,1707 2,6984 2,2004 1,6541 1,0214 0,2683 -0,6206 -1,6134 -2,6189 -3,5209 -4,2349 -4,7296 -5,0005 -5,0476 -4,8939 -4,6232 -4,3834 -4,3346 -4,5699 -5,0656 -5,7103 -6,3801 -6,9897 -7,5198 -8,0279 -8,6028 -9,2860 -10,0278 -10,7060 -11,1955 -11,4313 -11,4131 -11,1769 -10,7679 -10,2193 -9,5532 -8,8041 -8,0358 -7,3341 -6,7807 -6,4161 -6,2107 -6,0744 -5,9110 -5,6749 -5,3821 -5,0785 -4,8084 -4,6008 -4,4586 -4,3587 -4,2715 -4,1710 -4,0366 -3,8646 -3,6766 -3,5004 -3,3358 -3,1499 -2,9091 -2,6053 -2,2518 -1,8745 -1,5043 -1,1556 -0,8082 -0,4154 0,0659 0,6430 1,2819 1,9480 2,6515 3,4293 4,2857 5,1654 5,9756 6,6158 7,0019 7,0929 6,9075 6,5093 5,9766 5,3825 4,7845 4,2342 3,7959 3,5250 3,4201 3,4095 3,3692 3,1565 2,6804 1,9660 1,1334 0,3130 -0,4177 -1,0433 -1,5737 -1,9827 -2,1900 -2,1283 -1,8177 -1,3502 -0,8109 -0,2305 0,4014 1,0866 1,7723 2,3537 2,7305 2,8557 2,7422 2,4513 2,0771 1,7214 1,4574 1,3008 1,2259 1,2080 1,2397 1,3320 1,5137 1,8068 2,1959 2,6210 2,9973 3,2457 3,3170 3,2041 2,9318 2,5290 2,0178 1,4368 0,8546 0,3468 -0,0394 -0,2959 -0,4422 -0,5066 -0,5042 -0,4291 -0,2760 -0,0442 0,2895 0,7644 1,3743 2,0346 2,6380 3,1361 3,5513 3,9211 4,2604 4,5636 4,8011 4,9195 4,8770 4,6812 4,3852 4,0531 3,7370 3,4832 3,3309 3,2871 3,3185 3,3644 3,3379 3,1384 2,7049 2,0628 1,3213 0,6269 0,0938 -0,2510 -0,4616 -0,6115 -0,7346 -0,8219 -0,8523 -0,8000 -0,6355 -0,3563 -0,0036 0,3698 0,7312 1,0684 1,3773 1,6626 1,9440 2,2453 2,5659 2,8728 3,1229 3,2806 3,3284 3,2856 3,2119 3,1708 3,1834 3,2237 3,2539 3,2510 3,1970 3,0702 2,8675 2,6260 2,4042 2,2305 2,0625 1,7964 1,3218 0,5835 -0,3744 -1,4037 -2,3027 -2,9060 -3,1606 -3,1267 -2,9134 -2,6054 -2,2315 -1,7781 -1,2223 -0,5619 0,1742 0,9389 1,6668 2,2684 2,6556 2,7817 2,6510 2,3066 1,8119 1,2375 0,6637 0,1709 -0,2116 -0,5430 -0,9332 -1,4782 -2,2302 -3,1923 -4,3210 -5,5369 -6,7437 -7,8586 -8,8459 -9,7132 -10,4612 -11,0523 -11,4358 -11,5900 -11,5471 -11,3770 -11,1368 -10,8467 -10,5068 -10,1162 -9,6752 -9,1798 -8,6110 -7,9358 -7,1290 -6,1949 -5,1695 -4,1106 -3,0790 -2,1080 -1,1920 -0,3152 0,5103 1,2409 1,8367 2,2910 2,6169 2,8122 2,8524 2,7223 2,4515 2,1060 1,7392 1,3680 1,0097 0,7071 0,4863 0,3126 0,1151 -0,1586 -0,5302 -1,0174 -1,6467 -2,4394 -3,3892 -4,4445 -5,5146 -6,5040 -7,3419 -7,9899 -8,4422 -8,7193 -8,8482 -8,8379 -8,6855 -8,4077 -8,0466 -7,6532 -7,2674 -6,8929 -6,4825 -5,9686 -5,3229 -4,5794 -3,7990 -3,0288 -2,2890 -1,5845 -0,9266 -0,3286 0,2186 0,7424 1,2671 1,8166 2,4078 3,0075 3,5065 3,7592 3,6568 3,1643 2,2980 1,0920 -0,3951 -2,0493 -3,7201 -5,2960 -6,7349 -8,0094 -9,0643 -9,8376 -10,2921 -10,4183 -10,2416 -9,8295 -9,2681 -8,6373 -8,0196 -7,5039 -7,1599 -7,0013 -6,9733 -6,9699 -6,8689 -6,5744 -6,0648 -5,4207 -4,7968
Fz    8,7681 8,4589 8,0537 7,5871 7,0727 6,5220 5,9707 5,4734 5,0724 4,7801 4,5823 4,4430 4,3048 4,0980 3,7622 3,2692 2,6277 1,8793 1,0953 0,3667 -0,2211 -0,6260 -0,8723 -1,0309 -1,1710 -1,3261 -1,4943 -1,6647 -1,8433 -2,0544 -2,3196 -2,6507 -3,0559 -3,5232 -4,0001 -4,4067 -4,6735 -4,7704 -4,7086 -4,5192 -4,2439 -3,9450 -3,7121 -3,6443 -3,8119 -4,2298 -4,8544 -5,5910 -6,3150 -6,9079 -7,2832 -7,3948 -7,2390 -6,8558 -6,3211 -5,7165 -5,0900 -4,4388 -3,7325 -2,9541 -2,1232 -1,2885 -0,5087 0,1666 0,7121 1,1337 1,4601 1,7324 1,9927 2,2627 2,5287 2,7487 2,8777 2,8990 2,8409 2,7648 2,7449 2,8463 3,0981 3,4795 3,9358 4,4071 4,8453 5,2162 5,4994 5,6862 5,7767 5,7722 5,6633 5,4294 5,0568 4,5555 3,9589 3,3151 2,6778 2,1009 1,6384 1,3366 1,2175 1,2615 1,4032 1,5467 1,5972 1,4877 1,1904 0,7164 0,1071 -0,5776 -1,2772 -1,9508 -2,5876 -3,2040 -3,8379 -4,5328 -5,3107 -6,1485 -6,9761 -7,7060 -8,2792 -8,6905 -8,9741 -9,1672 -9,2866 -9,3304 -9,2892 -9,1496 -8,8929 -8,5042 -7,9790 -7,3148 -6,5145 -5,6079 -4,6587 -3,7375 -2,8945 -2,1590 -1,5510 -1,0722 -0,6917 -0,3660 -0,0757 0,1650 0,3338 0,4346 0,5170 0,6724 0,9990 1,5581 2,3484 3,3055 4,3222 5,2936 6,1545 6,8853 7,4979 8,0159 8,4631 8,8673 9,2515 9,6065 9,8804 10,0091 9,9551 9,7227 9,3445 8,8577 8,2960 7,7059 7,1499 6,6652 6,2271 5,7697 5,2337 4,5965 3,8768 3,1279 2,4225 1,8240 1,3601 1,0179 0,7650 0,5725 0,4264 0,3295 0,2974 0,3560 0,5337 0,8419 1,2614 1,7417 2,2098 2,5882 2,8184 2,8772 2,7731 2,5400 2,2351 1,9286 1,6757 1,4824 1,2954 1,0343 0,6476 0,1424 -0,4295 -0,9994 -1,5064 -1,9087 -2,1826 -2,3271 -2,3778 -2,3937 -2,4149 -2,4333 -2,4059 -2,2959 -2,0972 -1,8276 -1,5090 -1,1623 -0,8159 -0,5031 -0,2433 -0,0322 0,1480 0,3152 0,4884 0,7003 0,9980 1,4207 1,9696 2,5886 3,1742 3,6197 3,8682 3,9348 3,8858 3,8022 3,7534 3,7770 3,8591 3,9377 3,9423 3,8396 3,6489 3,4172 3,1914 2,9978 2,8251 2,6273 2,3497 1,9548 1,4421 0,8572 0,2774 -0,2229 -0,6030 -0,8615 -1,0171 -1,1010 -1,1687 -1,3053 -1,5999 -2,1028 -2,7982 -3,6080 -4,4283 -5,1724 -5,7962 -6,3090 -6,7692 -7,2491 -7,7858 -8,3556 -8,8839 -9,2866 -9,5044 -9,5054 -9,2816 -8,8519 -8,2552 -7,5387 -6,7548 -5,9606 -5,2190 -4,5946 -4,1346 -3,8456 -3,6867 -3,5897 -3,4941 -3,3698 -3,2146 -3,0412 -2,8652 -2,6910 -2,5047 -2,2886 -2,0380 -1,7671 -1,5032 -1,2735 -1,0870 -0,9270 -0,7655 -0,5885 -0,4035 -0,2259 -0,0619 0,0990 0,2828 0,5190 0,8246 1,1956 1,6076 2,0246 2,4227 2,8120 3,2274 3,6943 4,2065 4,7274 5,2005 5,5620 5,7602 5,7769 5,6298 5,3559 4,9932 4,5743 4,1368 3,7338 3,4118 3,1751 2,9824 2,7682 2,4678 2,0519 1,5491 1,0240 0,5353 0,1153 -0,2280 -0,4974 -0,6859 -0,7716 -0,7430 -0,6227 -0,4526 -0,2613 -0,0524 0,1789 0,4195 0,6240 0,7296 0,6921 0,5113 0,2310 -0,0759 -0,3277 -0,4585 -0,4418 -0,3040 -0,1012 0,1202 0,3401 0,5645 0,8198 1,1327 1,5039 1,8977 2,2497 2,4915 2,5786 2,5082 2,3127 2,0390 1,7362 1,4546 1,2394 1,1114 1,0567 1,0418 1,0398 1,0399 1,0439 1,0619 1,1035 1,1771 1,3037 1,5148 1,8193 2,1769 2,5176 2,7836 2,9515 3,0293 3,0448 3,0271 2,9880 2,9261 2,8471 2,7668 2,6969 2,6379 2,5871 2,5481 2,5239 2,5036 2,4653 2,3855 2,2366 1,9885 1,6251 1,1595 0,6373 0,1305 -0,2881 -0,5839 -0,7737 -0,8960 -0,9686 -0,9797 -0,9090 -0,7418 -0,4725 -0,1163 0,2868 0,6900 1,0584 1,3727 1,6284 1,8339 2,0072 2,1712 2,3452 2,5374 2,7395 2,9237 3,0542 3,1166 3,1333 3,1461 3,1833 3,2441 3,3088 3,3554 3,3614 3,3010 3,1565 2,9357 2,6764 2,4166 2,1521 1,8243 1,3583 0,7258 -0,0155 -0,7350 -1,2858 -1,5698 -1,5724 -1,3485 -0,9796 -0,5409 -0,0869 0,3538 0,7778 1,1948 1,6134 2,0351 2,4451 2,7993 3,0349 3,1017 2,9805 2,6839 2,2515 1,7401 1,2147 0,7352 0,3297 -0,0243 -0,3831 -0,8004 -1,3071 -1,9072 -2,5781 -3,2739 -3,9362 -4,5180 -5,0041 -5,4065 -5,7361 -5,9853 -6,1375 -6,1847 -6,1416 -6,0428 -5,9195 -5,7784 -5,6031 -5,3671 -5,0470 -4,6261 -4,0941 -3,4521 -2,7239 -1,9581 -1,2159 -0,5513 0,0100 0,4865 0,9272 1,3739 1,8314 2,2651 2,6288 2,8981 3,0785 3,1817 3,2000 3,1118 2,9104 2,6168 2,2633 1,8763 1,4886 1,1468 0,8860 0,6999 0,5483 0,3854 0,1723 -0,1267 -0,5422 -1,0855 -1,7348 -2,4334 -3,1106 -3,7111 -4,2092 -4,6037 -4,9106 -5,1555 -5,3589 -5,5212 -5,6276 -5,6686 -5,6485 -5,5794 -5,4764 -5,3458 -5,1740 -4,9341 -4,6101 -4,2123 -3,7633 -3,2792 -2,7618 -2,2069 -1,6212 -1,0270 -0,4475 0,1033 0,6219 1,1208 1,6124 2,0735 2,4376 2,6339 2,6259 2,4095 1,9925 1,3843 0,6052 -0,3001 -1,2723 -2,2654 -3,2530 -4,2011 -5,0559 -5,7575 -6,2549 -6,5113 -6,5210 -6,3223 -5,9832 -5,5774 -5,1754 -4,8480 -4,6618 -4,6591 -4,8272 -5,0854 -5,3098 -5,3865 -5,2642 -4,9780 -4,6286
F3    5,6694 5,6066 5,4640 5,2301 4,8843 4,4275 3,9156 3,4410 3,0724 2,8258 2,6879 2,6443 2,6738 2,7248 2,7167 2,5787 2,2898 1,8845 1,4299 0,9954 0,6285 0,3329 0,0650 -0,2298 -0,5639 -0,8941 -1,1582 -1,3236 -1,4108 -1,4796 -1,5931 -1,7987 -2,1264 -2,5714 -3,0774 -3,5552 -3,9174 -4,0962 -4,0466 -3,7558 -3,2639 -2,6747 -2,1370 -1,8032 -1,7870 -2,1384 -2,8283 -3,7402 -4,6970 -5,5213 -6,0896 -6,3533 -6,3260 -6,0625 -5,6359 -5,1142 -4,5423 -3,9407 -3,3186 -2,6882 -2,0710 -1,4949 -0,9891 -0,5757 -0,2549 0,0052 0,2571 0,5409 0,8600 1,1865 1,4880 1,7455 1,9443 2,0695 2,1225 2,1323 2,1550 2,2609 2,5043 2,8885 3,3583 3,8267 4,2153 4,4845 4,6395 4,7088 4,7139 4,6536 4,5049 4,2392 3,8470 3,3476 2,7846 2,2240 1,7452 1,4119 1,2478 1,2355 1,3314 1,4790 1,6152 1,6841 1,6537 1,5183 1,2837 0,9523 0,5274 0,0289 -0,5087 -1,0577 -1,6124 -2,1803 -2,7705 -3,3906 -4,0455 -4,7228 -5,3848 -5,9822 -6,4813 -6,8810 -7,2076 -7,4848 -7,7090 -7,8568 -7,9079 -7,8474 -7,6565 -7,3203 -6,8396 -6,2197 -5,4674 -4,6217 -3,7689 -2,9975 -2,3372 -1,7607 -1,2367 -0,7633 -0,3575 -0,0328 0,2111 0,3875 0,5126 0,6074 0,7173 0,9164 1,2729 1,8130 2,5172 3,3246 4,1445 4,8949 5,5446 6,1156 6,6488 7,1665 7,6647 8,1323 8,5603 8,9310 9,2128 9,3688 9,3638 9,1722 8,7869 8,2260 7,5404 6,8220 6,1823 5,6988 5,3705 5,1227 4,8497 4,4702 3,9647 3,3712 2,7493 2,1510 1,6161 1,1784 0,8662 0,6891 0,6298 0,6506 0,7110 0,7878 0,8820 1,0084 1,1770 1,3759 1,5692 1,7138 1,7829 1,7735 1,7012 1,5954 1,4912 1,4097 1,3367 1,2245 1,0167 0,6752 0,1990 -0,3691 -0,9562 -1,4900 -1,9239 -2,2372 -2,4215 -2,4854 -2,4728 -2,4451 -2,4318 -2,4087 -2,3309 -2,1792 -1,9701 -1,7345 -1,4949 -1,2603 -1,0360 -0,8260 -0,6237 -0,4105 -0,1705 0,0986 0,3873 0,6815 0,9723 1,2639 1,5707 1,8991 2,2370 2,5623 2,8495 3,0656 3,1732 3,1585 3,0536 2,9188 2,7917 2,6573 2,4743 2,2299 1,9606 1,7269 1,5729 1,4961 1,4442 1,3447 1,1410 0,8088 0,3644 -0,1303 -0,5867 -0,9359 -1,1601 -1,2789 -1,3185 -1,3081 -1,2965 -1,3553 -1,5585 -1,9550 -2,5477 -3,2832 -4,0640 -4,7873 -5,3885 -5,8655 -6,2693 -6,6638 -7,0853 -7,5216 -7,9127 -8,1762 -8,2447 -8,0906 -7,7308 -7,2134 -6,5979 -5,9381 -5,2757 -4,6461 -4,0859 -3,6329 -3,3232 -3,1791 -3,1890 -3,3038 -3,4568 -3,5873 -3,6545 -3,6430 -3,5590 -3,4191 -3,2416 -3,0442 -2,8461 -2,6774 -2,5812 -2,5853 -2,6657 -2,7491 -2,7644 -2,6852 -2,5230 -2,3010 -2,0528 -1,8273 -1,6692 -1,5869 -1,5461 -1,4925 -1,3864 -1,2208 -1,0085 -0,7540 -0,4440 -0,0613 0,3986 0,9161 1,4401 1,8972 2,2189 2,3625 2,3218 2,1336 1,8653 1,5842 1,3352 1,1402 1,0058 0,9294 0,8976 0,8720 0,7872 0,5845 0,2540 -0,1643 -0,6086 -1,0187 -1,3431 -1,5366 -1,5671 -1,4351 -1,1890 -0,9065 -0,6502 -0,4295 -0,2005 0,0904 0,4439 0,7789 0,9710 0,9332 0,6713 0,2835 -0,0886 -0,3190 -0,3397 -0,1595 0,1422 0,4564 0,7003 0,8497 0,9390 1,0364 1,1945 1,4125 1,6403 1,8118 1,8751 1,8083 1,6241 1,3597 1,0588 0,7610 0,5007 0,3020 0,1723 0,1021 0,0735 0,0668 0,0622 0,0428 0,0051 -0,0370 -0,0580 -0,0256 0,0886 0,2886 0,5403 0,7883 0,9891 1,1259 1,1982 1,2122 1,1846 1,1419 1,1126 1,1225 1,1877 1,3034 1,4430 1,5712 1,6626 1,7087 1,7105 1,6727 1,5984 1,4778 1,2856 0,9962 0,5978 0,1031 -0,4417 -0,9646 -1,3981 -1,7026 -1,8712 -1,9157 -1,8495 -1,6822 -1,4252 -1,0981 -0,7312 -0,3598 -0,0109 0,3089 0,6169 0,9400 1,2875 1,6400 1,9694 2,2590 2,5058 2,7043 2,8363 2,8901 2,8955 2,9194 3,0132 3,1711 3,3354 3,4318 3,4019 3,2137 2,8602 2,3623 1,7741 1,1742 0,6320 0,1659 -0,2691 -0,7421 -1,2822 -1,8397 -2,3041 -2,5650 -2,5736 -2,3641 -2,0222 -1,6271 -1,2195 -0,8112 -0,4128 -0,0441 0,2817 0,5702 0,8411 1,1090 1,3642 1,5742 1,7008 1,7113 1,5900 1,3497 1,0286 0,6748 0,3301 0,0026 -0,3511 -0,7980 -1,3722 -2,0504 -2,7692 -3,4541 -4,0392 -4,4762 -4,7418 -4,8472 -4,8386 -4,7775 -4,7189 -4,6988 -4,7229 -4,7622 -4,7724 -4,7201 -4,6005 -4,4364 -4,2602 -4,0865 -3,8940 -3,6328 -3,2618 -2,7888 -2,2735 -1,7877 -1,3660 -0,9858 -0,5893 -0,1320 0,3798 0,8875 1,3097 1,5842 1,7030 1,7159 1,6960 1,6934 1,7094 1,7060 1,6353 1,4668 1,2058 0,8977 0,6038 0,3563 0,1350 -0,1081 -0,4038 -0,7447 -1,1054 -1,4794 -1,8867 -2,3424 -2,8287 -3,3025 -3,7188 -4,0413 -4,2451 -4,3300 -4,3313 -4,3048 -4,2955 -4,3232 -4,3858 -4,4697 -4,5608 -4,6475 -4,7079 -4,7025 -4,5868 -4,3366 -3,9599 -3,4894 -2,9678 -2,4385 -1,9410 -1,5070 -1,1487 -0,8448 -0,5529 -0,2380 0,1124 0,4864 0,8375 1,0866 1,1595 1,0285 0,7089 0,2271 -0,3960 -1,1316 -1,9268 -2,7215 -3,4869 -4,2319 -4,9643 -5,6557 -6,2421 -6,6479 -6,8139 -6,7256 -6,4241 -5,9855 -5,4915 -5,0167 -4,6255 -4,3657 -4,2586 -4,2933 -4,4186 -4,5414 -4,5546 -4,3941 -4,0834 -3,7246
F7    2,5256 2,2584 1,9913 1,7090 1,3905 1,0383 0,6977 0,4379 0,3098 0,3239 0,4642 0,7028 0,9949 1,2688 1,4420 1,4585 1,3117 1,0394 0,7048 0,3779 0,1166 -0,0531 -0,1457 -0,1965 -0,2323 -0,2638 -0,2951 -0,3342 -0,3997 -0,5133 -0,6815 -0,8917 -1,1269 -1,3713 -1,6001 -1,7750 -1,8532 -1,7963 -1,5806 -1,2110 -0,7285 -0,2081 0,2475 0,5195 0,5033 0,1528 -0,4880 -1,2940 -2,1148 -2,8323 -3,3785 -3,7225 -3,8606 -3,8132 -3,6205 -3,3273 -2,9623 -2,5318 -2,0441 -1,5358 -1,0604 -0,6548 -0,3247 -0,0551 0,1757 0,3880 0,5927 0,7889 0,9638 1,0967 1,1664 1,1600 1,0785 0,9435 0,7962 0,6824 0,6441 0,7172 0,9170 1,2228 1,5797 1,9195 2,1895 2,3740 2,4960 2,5952 2,7011 2,8212 2,9429 3,0389 3,0771 3,0276 2,8719 2,6192 2,3143 2,0188 1,7833 1,6389 1,5999 1,6621 1,7976 1,9620 2,1066 2,1869 2,1644 2,0109 1,7177 1,3049 0,8193 0,3145 -0,1729 -0,6348 -1,0900 -1,5713 -2,1105 -2,7168 -3,3604 -3,9852 -4,5428 -5,0150 -5,4048 -5,7117 -5,9205 -6,0140 -5,9903 -5,8623 -5,6458 -5,3595 -5,0259 -4,6536 -4,2293 -3,7443 -3,2186 -2,6873 -2,1739 -1,6896 -1,2530 -0,8895 -0,6099 -0,4026 -0,2507 -0,1487 -0,0986 -0,0953 -0,1137 -0,1059 -0,0178 0,1899 0,5291 0,9826 1,5132 2,0813 2,6510 3,1881 3,6704 4,1003 4,5008 4,8987 5,3008 5,6739 5,9474 6,0464 5,9330 5,6290 5,2082 4,7598 4,3517 4,0196 3,7726 3,5894 3,4223 3,2225 2,9642 2,6429 2,2681 1,8609 1,4495 1,0630 0,7261 0,4590 0,2792 0,1992 0,2232 0,3448 0,5485 0,8169 1,1326 1,4717 1,8029 2,0990 2,3431 2,5195 2,6036 2,5684 2,4006 2,1149 1,7538 1,3702 1,0060 0,6775 0,3704 0,0551 -0,2840 -0,6356 -0,9750 -1,2831 -1,5568 -1,7999 -2,0049 -2,1570 -2,2573 -2,3266 -2,3831 -2,4247 -2,4288 -2,3733 -2,2577 -2,1053 -1,9421 -1,7848 -1,6468 -1,5403 -1,4618 -1,3910 -1,3077 -1,2010 -1,0588 -0,8566 -0,5637 -0,1584 0,3606 0,9665 1,5995 2,1789 2,6357 2,9392 3,1027 3,1712 3,2009 3,2328 3,2671 3,2613 3,1669 2,9768 2,7373 2,5147 2,3541 2,2570 2,1839 2,0785 1,8967 1,6176 1,2517 0,8518 0,5022 0,2757 0,1964 0,2390 0,3527 0,4779 0,5511 0,5039 0,2719 -0,1836 -0,8512 -1,6606 -2,5054 -3,2849 -3,9348 -4,4407 -4,8338 -5,1598 -5,4404 -5,6602 -5,7862 -5,7977 -5,6983 -5,5059 -5,2376 -4,9035 -4,5134 -4,0900 -3,6759 -3,3241 -3,0797 -2,9651 -2,9776 -3,0925 -3,2644 -3,4368 -3,5624 -3,6152 -3,5894 -3,4946 -3,3497 -3,1696 -2,9574 -2,7157 -2,4633 -2,2361 -2,0702 -1,9813 -1,9512 -1,9348 -1,8908 -1,8099 -1,7154 -1,6395 -1,5995 -1,5849 -1,5634 -1,5001 -1,3766 -1,1991 -0,9934 -0,7902 -0,6001 -0,3986 -0,1419 0,1945 0,5929 1,0003 1,3534 1,6019 1,7212 1,7059 1,5576 1,2867 0,9189 0,4986 0,0908 -0,2296 -0,4092 -0,4433 -0,3746 -0,2773 -0,2330 -0,2926 -0,4510 -0,6636 -0,8843 -1,0864 -1,2603 -1,3998 -1,4871 -1,4982 -1,4292 -1,3153 -1,2099 -1,1371 -1,0657 -0,9372 -0,7227 -0,4552 -0,2114 -0,0617 -0,0308 -0,0960 -0,2129 -0,3387 -0,4351 -0,4677 -0,4202 -0,3035 -0,1514 -0,0051 0,1087 0,1936 0,2695 0,3489 0,4320 0,5126 0,5766 0,6010 0,5666 0,4749 0,3515 0,2364 0,1721 0,1853 0,2647 0,3605 0,4145 0,3906 0,2794 0,0859 -0,1774 -0,4885 -0,8044 -1,0506 -1,1417 -1,0308 -0,7457 -0,3769 -0,0308 0,2211 0,3632 0,4221 0,4325 0,4126 0,3709 0,3315 0,3323 0,3975 0,5202 0,6672 0,7942 0,8649 0,8668 0,8105 0,7102 0,5633 0,3538 0,0722 -0,2717 -0,6451 -0,9923 -1,2547 -1,4053 -1,4640 -1,4766 -1,4780 -1,4721 -1,4384 -1,3475 -1,1761 -0,9188 -0,5892 -0,2106 0,1897 0,5795 0,9221 1,1850 1,3570 1,4578 1,5241 1,5871 1,6573 1,7213 1,7601 1,7782 1,8100 1,8923 2,0322 2,2008 2,3485 2,4231 2,3825 2,2079 1,9091 1,5232 1,1078 0,7181 0,3661 0,0036 -0,4397 -0,9852 -1,5686 -2,0666 -2,3648 -2,4143 -2,2467 -1,9430 -1,5880 -1,2444 -0,9481 -0,7124 -0,5281 -0,3701 -0,2145 -0,0444 0,1570 0,3977 0,6554 0,8727 0,9776 0,9216 0,7083 0,3851 0,0142 -0,3497 -0,6808 -1,0007 -1,3673 -1,8332 -2,4106 -3,0673 -3,7450 -4,3762 -4,8954 -5,2556 -5,4442 -5,4801 -5,3936 -5,2146 -4,9741 -4,7026 -4,4272 -4,1731 -3,9640 -3,8182 -3,7419 -3,7129 -3,6699 -3,5277 -3,2225 -2,7545 -2,1899 -1,6265 -1,1475 -0,7898 -0,5369 -0,3344 -0,1163 0,1603 0,4909 0,8263 1,1033 1,2792 1,3454 1,3164 1,2097 1,0373 0,8136 0,5647 0,3216 0,1080 -0,0603 -0,1698 -0,2172 -0,2252 -0,2377 -0,2963 -0,4281 -0,6491 -0,9666 -1,3740 -1,8480 -2,3500 -2,8322 -3,2490 -3,5674 -3,7751 -3,8812 -3,9072 -3,8762 -3,8082 -3,7188 -3,6123 -3,4779 -3,3029 -3,0869 -2,8337 -2,5343 -2,1756 -1,7639 -1,3263 -0,8905 -0,4774 -0,1098 0,1885 0,4062 0,5605 0,6965 0,8595 1,0641 1,2933 1,5150 1,6853 1,7529 1,6871 1,5032 1,2476 0,9572 0,6337 0,2539 -0,2020 -0,7379 -1,3549 -2,0509 -2,7961 -3,5190 -4,1269 -4,5363 -4,6950 -4,5967 -4,2852 -3,8359 -3,3310 -2,8480 -2,4561 -2,2079 -2,1296 -2,2126 -2,4078 -2,6293 -2,7800 -2,7969 -2,6886 -2,5332
