Fp1   -2,0277 -1,9437 -1,9812 -2,0289 -2,0150 -1,9433 -1,8765 -1,8766 -1,9578 -2,1086 -2,3423 -2,6915 -3,1614 -3,7202 -4,3084 -4,8157 -5,0689 -4,9057 -4,2860 -3,3204 -2,1912 -1,0711 -0,1081 0,5851 0,9788 1,1209 1,0583 0,7958 0,3239 -0,3490 -1,1709 -2,0112 -2,6445 -2,8130 -2,3719 -1,3908 -0,1030 1,2358 2,4671 3,5592 4,5365 5,3975 6,1097 6,6435 6,9750 7,0780 6,9551 6,6633 6,2783 5,8427 5,3794 4,9419 4,6258 4,5300 4,7064 5,1340 5,7267 6,3761 7,0086 7,6009 8,1449 8,6125 8,9430 9,0463 8,8428 8,3366 7,6602 7,0142 6,5236 6,1518 5,7505 5,1715 4,3486 3,3262 2,2483 1,2998 0,6149 0,2419 0,1954 0,5020 1,1640 2,0946 3,1262 4,0995 4,9189 5,5220 5,8493 5,8590 5,5399 4,9253 4,1231 3,3089 2,6650 2,3122 2,2747 2,4990 2,8968 3,3670 3,8010 4,1163 4,2987 4,3932 4,4548 4,5180 4,5915 4,6546 4,6665 4,5813 4,3580 3,9937 3,5635 3,2063 3,0516 3,1458 3,4223 3,7205 3,8596 3,7337 3,3522 2,8013 2,1688 1,4950 0,7780 0,0135 -0,7629 -1,4609 -1,9861 -2,3106 -2,4636 -2,4621 -2,2928 -1,9541 -1,4837 -0,9484 -0,4393 -0,0778 0,0156 -0,2196 -0,7538 -1,4816 -2,2514 -2,8894 -3,2197 -3,1009 -2,4821 -1,4215 -0,0408 1,5289 3,1689 4,7847 6,3169 7,7176 8,9000 9,7291 10,0845 9,9263 9,3125 8,3736 7,2784 6,2111 5,3378 4,7476 4,4188 4,2642 4,2175 4,2843 4,5277 5,0138 5,7684 6,7633 7,9184 9,1133 10,2006 11,0199 11,4324 11,3629 10,8181 9,8896 8,7392 7,5412 6,4074 5,3735 4,4566 3,7088 3,2225 3,0884 3,3362 3,8994 4,6284 5,3338 5,8327 5,9986 5,8190 5,4180 4,9914 4,7037 4,6270 4,7208 4,8471 4,8542 4,6920 4,4625 4,3689 4,6018 5,2331 6,1772 7,2304 8,1401 8,6550 8,5910 7,9440 6,9367 5,8978 5,0767 4,5606 4,3144 4,2586 4,3155 4,4092 4,4561 4,3818 4,1447 3,7450 3,2326 2,6955 2,2065 1,7870 1,4324 1,1508 0,9717 0,9245 1,0133 1,2260 1,5527 1,9579 2,3446 2,5626 2,4428 1,8622 0,8278 -0,4975 -1,8534 -2,9567 -3,5765 -3,6220 -3,1785 -2,4460 -1,6441 -0,9540 -0,5041 -0,3719 -0,5940 -1,1819 -2,1031 -3,2158 -4,2609 -4,9734 -5,2120 -4,9938 -4,4420 -3,7252 -3,0136 -2,4264 -1,9844 -1,6217 -1,2479 -0,8026 -0,2797 0,2698 0,7563 1,1009 1,2899 1,3690 1,3821 1,3202 1,1385 0,8297 0,4785 0,2378 0,2334 0,4691 0,8481 1,3026 1,8567 2,5469 3,3266 4,0639 4,5987 4,7909 4,5603 3,9275 3,0228 2,0379 1,1516 0,4804 0,0677 -0,0996 -0,0602 0,1520 0,5204 1,0348 1,6536 2,2732 2,7552 3,0099 3,0474 2,9345 2,7211 2,4200 2,0293 1,5512 0,9984 0,4116 -0,1220 -0,4976 -0,6584 -0,6266 -0,4557 -0,1570 0,3170 1,0252 1,9832 3,1451 4,4326 5,7565 6,9929 7,9925 8,6442 8,8922 8,6992 8,0548 7,0340 5,8152 4,6140 3,5926 2,8198 2,3050 2,0755 2,2069 2,7589 3,6996 4,9101 6,2432 7,5731 8,8127 9,9031 10,7824 11,3664 11,5670 11,3359 10,7022 9,7890 8,7955 7,9252 7,2946 6,9057 6,6971 6,6075 6,6103 6,6991 6,8423 6,9664 6,9811 6,8043 6,3866 5,7343 4,9047 3,9869 3,0948 2,3576 1,8929 1,7737 2,0096 2,5474 3,2843 4,0756 4,7424 5,1204 5,1467 4,8960 4,5267 4,1885 3,9832 3,9816 4,2337 4,7488 5,4798 6,3175 7,0957 7,6338 7,8040 7,5641 6,9450 6,0273 4,9144 3,7127 2,5385 1,5331 0,8366 0,5450 0,7066 1,3315 2,3674 3,6582 4,9372 5,8961 6,2959 6,0313 5,1333 3,7632 2,2075 0,8241 -0,0735 -0,3167 0,0943 1,0357 2,3334 3,8111 5,2901 6,5739 7,4647 7,8042 7,5049 6,5736 5,1385 3,4323 1,7013 0,1178 -1,2159 -2,2218 -2,8516 -3,0932 -2,9172 -2,2535 -1,0485 0,6480 2,6405 4,6376 6,3561 7,5968 8,2558 8,2972 7,7357 6,6605 5,2673 3,8244 2,5702 1,6518 1,1540 1,1312 1,5727 2,3561 3,2717 4,1187 4,7903 5,2755 5,6226 5,9116 6,2089 6,4967 6,6461 6,4818 5,9117 5,0224 4,0505 3,2501 2,7664 2,5940 2,6236 2,7394 2,8935 3,0997 3,3761 3,7269 4,1691 4,7338 5,4150 6,1200 6,6885 6,9730 6,8947 6,4431 5,6591 4,6198 3,4235 2,1726 0,9601 -0,1300 -1,0004 -1,5406 -1,6947 -1,5322 -1,2276 -0,9591 -0,8245 -0,8469 -1,0266 -1,3448 -1,7260 -2,0433 -2,1697 -2,0157 -1,5307 -0,7077 0,3953 1,6629 2,9707 4,2151 5,3130 6,1998 6,8157 7,0798 6,8924 6,2004 5,0957 3,8456 2,7877 2,1681 2,0673 2,4278 3,1012 3,8808 4,5521 4,9838 5,1907 5,2855 5,3783 5,5278 5,7552 6,0763 6,5139 7,0709 7,6874 8,2341 8,5535 8,5104 8,0307 7,1345 5,9477 4,6685 3,5086 2,6432 2,1641 2,0552 2,2253 2,5808 3,0834 3,7438 4,5623 5,4712 6,3334 6,9989 7,3645 7,3795 7,0163 6,2657 5,1743 3,8843 2,6260 1,6627 1,2332 1,4945 2,4482 3,8927 5,4799 6,8537 7,7600 8,0944 7,9305 7,4835 6,9868 6,5995 6,4041 6,4119 6,5410 6,6348 6,5490 6,2206 5,6530 4,8775 3,9553 2,9932 2,1276 1,4926 1,1772 1,1560 1,2596 1,2453 0,9077 0,1626 -0,8983 -2,0201 -2,9145 -3,4111 -3,4940 -3,2435 -2,7727 -2,1880 -1,5966 -1,1376
Fz    -2,5580 -2,1503 -1,8539 -1,6317 -1,4403 -1,2433 -1,0152 -0,7417 -0,4274 -0,1069 0,1580 0,3083 0,3204 0,2135 0,0349 -0,1534 -0,2847 -0,3066 -0,2064 -0,0146 0,2203 0,4515 0,6311 0,7156 0,6870 0,5562 0,3436 0,0750 -0,2125 -0,4787 -0,6910 -0,8193 -0,8317 -0,7078 -0,4619 -0,1442 0,1843 0,4767 0,7091 0,8772 0,9854 1,0411 1,0609 1,0697 1,0847 1,1091 1,1471 1,2153 1,3282 1,4774 1,6282 1,7339 1,7570 1,6832 1,5204 1,2874 1,0054 0,7021 0,4236 0,2270 0,1538 0,2081 0,3468 0,4852 0,5291 0,4221 0,1768 -0,1353 -0,4349 -0,6802 -0,8684 -1,0070 -1,0903 -1,1018 -1,0338 -0,9099 -0,7889 -0,7340 -0,7675 -0,8558 -0,9379 -0,9686 -0,9399 -0,8649 -0,7592 -0,6446 -0,5474 -0,4865 -0,4720 -0,5044 -0,5603 -0,5998 -0,6021 -0,5878 -0,6022 -0,6780 -0,8082 -0,9533 -1,0759 -1,1621 -1,2105 -1,2142 -1,1558 -1,0113 -0,7600 -0,3996 0,0406 0,4971 0,8795 1,0977 1,0993 0,8845 0,4969 0,0047 -0,5239 -1,0419 -1,5231 -1,9499 -2,3159 -2,6387 -2,9544 -3,2940 -3,6630 -4,0406 -4,3890 -4,6568 -4,7986 -4,8083 -4,7217 -4,5835 -4,4253 -4,2703 -4,1349 -4,0147 -3,8778 -3,6863 -3,4276 -3,1232 -2,8144 -2,5359 -2,2918 -2,0466 -1,7352 -1,2882 -0,6646 0,1336 1,0713 2,0931 3,1295 4,1111 4,9874 5,7285 6,3104 6,7114 6,9330 7,0205 7,0544 7,1170 7,2588 7,4895 7,7919 8,1304 8,4459 8,6632 8,7212 8,6013 8,3274 7,9410 7,4791 6,9669 6,4212 5,8621 5,3247 4,8543 4,4906 4,2458 4,0934 3,9828 3,8647 3,6984 3,4451 3,0713 2,5692 1,9749 1,3638 0,8202 0,3984 0,1055 -0,0867 -0,2179 -0,3237 -0,4323 -0,5593 -0,6951 -0,8136 -0,9021 -0,9749 -1,0598 -1,1791 -1,3359 -1,5129 -1,6813 -1,8087 -1,8666 -1,8459 -1,7690 -1,6790 -1,6190 -1,6248 -1,7201 -1,8978 -2,1025 -2,2526 -2,2925 -2,2235 -2,0937 -1,9651 -1,8868 -1,8902 -1,9922 -2,1898 -2,4574 -2,7587 -3,0578 -3,3232 -3,5416 -3,7209 -3,8745 -4,0095 -4,1352 -4,2737 -4,4565 -4,7027 -5,0052 -5,3445 -5,7081 -6,0937 -6,5043 -6,9366 -7,3713 -7,7802 -8,1359 -8,4074 -8,5619 -8,5940 -8,5475 -8,4993 -8,5205 -8,6485 -8,8912 -9,2381 -9,6583 -10,1039 -10,5253 -10,8795 -11,1360 -11,2981 -11,4187 -11,5737 -11,8071 -12,0978 -12,3727 -12,5489 -12,5666 -12,4084 -12,1021 -11,7020 -11,2673 -10,8537 -10,5157 -10,2969 -10,2107 -10,2376 -10,3436 -10,4964 -10,6702 -10,8387 -10,9623 -10,9872 -10,8684 -10,6082 -10,2625 -9,8950 -9,5393 -9,2095 -8,9214 -8,6957 -8,5559 -8,5252 -8,6120 -8,7886 -8,9887 -9,1380 -9,1918 -9,1419 -8,9967 -8,7670 -8,4646 -8,1009 -7,6861 -7,2302 -6,7495 -6,2730 -5,8351 -5,4582 -5,1469 -4,9046 -4,7456 -4,6837 -4,7178 -4,8310 -5,0041 -5,2222 -5,4644 -5,6980 -5,8915 -6,0300 -6,1143 -6,1511 -6,1458 -6,1034 -6,0337 -5,9532 -5,8677 -5,7543 -5,5760 -5,3055 -4,9336 -4,4731 -3,9597 -3,4420 -2,9659 -2,5647 -2,2569 -2,0500 -1,9427 -1,9209 -1,9477 -1,9673 -1,9370 -1,8514 -1,7317 -1,6064 -1,5018 -1,4357 -1,4192 -1,4691 -1,6087 -1,8480 -2,1646 -2,5123 -2,8432 -3,1228 -3,3350 -3,4787 -3,5533 -3,5533 -3,4778 -3,3372 -3,1480 -2,9270 -2,6842 -2,4259 -2,1704 -1,9515 -1,8036 -1,7502 -1,7960 -1,9164 -2,0592 -2,1681 -2,2077 -2,1687 -2,0577 -1,8877 -1,6792 -1,4695 -1,3017 -1,1960 -1,1360 -1,0869 -1,0220 -0,9281 -0,7947 -0,6111 -0,3747 -0,0961 0,1994 0,4697 0,6685 0,7688 0,7835 0,7610 0,7540 0,7836 0,8366 0,8917 0,9381 0,9668 0,9635 0,9262 0,8739 0,8269 0,7843 0,7256 0,6278 0,4787 0,2738 0,0125 -0,2950 -0,6190 -0,9202 -1,1705 -1,3645 -1,5116 -1,6242 -1,7159 -1,8108 -1,9381 -2,1116 -2,3096 -2,4710 -2,5167 -2,3874 -2,0661 -1,5787 -0,9960 -0,4280 0,0146 0,2633 0,3017 0,1591 -0,0896 -0,3442 -0,5186 -0,5722 -0,5199 -0,4146 -0,3162 -0,2666 -0,2814 -0,3575 -0,4882 -0,6675 -0,8821 -1,1123 -1,3478 -1,5921 -1,8409 -2,0631 -2,2183 -2,2866 -2,2746 -2,1962 -2,0589 -1,8734 -1,6650 -1,4676 -1,3153 -1,2440 -1,2928 -1,4875 -1,8108 -2,1821 -2,4725 -2,5580 -2,3821 -1,9821 -1,4591 -0,9176 -0,4243 -0,0104 0,3030 0,4991 0,5879 0,6150 0,6350 0,6730 0,7135 0,7187 0,6515 0,4838 0,1979 -0,2095 -0,7198 -1,2928 -1,8788 -2,4290 -2,8958 -3,2343 -3,4271 -3,5089 -3,5533 -3,6237 -3,7398 -3,8942 -4,0926 -4,3559 -4,6804 -5,0216 -5,3206 -5,5322 -5,6250 -5,5749 -5,3751 -5,0419 -4,6025 -4,0829 -3,5142 -2,9407 -2,4115 -1,9625 -1,6045 -1,3234 -1,0865 -0,8572 -0,6118 -0,3430 -0,0501 0,2639 0,5818 0,8663 1,0657 1,1339 1,0568 0,8518 0,5410 0,1415 -0,3166 -0,7728 -1,1453 -1,3625 -1,3999 -1,2979 -1,1380 -1,0073 -0,9802 -1,1061 -1,3958 -1,8232 -2,3443 -2,9125 -3,4910 -4,0665 -4,6463 -5,2296 -5,7807 -6,2326 -6,5243 -6,6455 -6,6454 -6,5886 -6,5045 -6,3813 -6,1932 -5,9241 -5,5659 -5,1077 -4,5414 -3,8832 -3,1707 -2,4337 -1,6850 -0,9453 -0,2595 0,3149 0,7216 0,9203 0,9150 0,7576 0,5117 0,2232 -0,0726 -0,3449 -0,5807 -0,7880 -0,9768 -1,1495 -1,3162 -1,5079 -1,7652 -2,1149 -2,5496 -3,0213 -3,4640 -3,8451 -4,1942 -4,5702 -5,0154 -5,5425 -6,1301 -6,7193 -7,2387 -7,6466 -7,9476 -8,1753 -8,3654 -8,5395 -8,7146 -8,9225
F3    -2,7427 -2,4015 -2,1197 -1,8977 -1,7270 -1,5797 -1,4150 -1,2007 -0,9347 -0,6455 -0,3731 -0,1533 -0,0098 0,0523 0,0512 0,0200 -0,0091 -0,0142 0,0091 0,0476 0,0771 0,0749 0,0297 -0,0570 -0,1737 -0,3067 -0,4446 -0,5745 -0,6764 -0,7260 -0,7017 -0,5915 -0,4017 -0,1594 0,0977 0,3353 0,5329 0,6891 0,8178 0,9338 1,0471 1,1697 1,3173 1,4975 1,6998 1,9055 2,1052 2,3041 2,5091 2,7129 2,8901 3,0114 3,0572 3,0218 2,9126 2,7417 2,5155 2,2373 1,9218 1,6024 1,3245 1,1262 1,0147 0,9576 0,9043 0,8146 0,6730 0,4872 0,2818 0,0921 -0,0431 -0,0916 -0,0363 0,1199 0,3506 0,6055 0,8181 0,9276 0,9067 0,7790 0,6128 0,4835 0,4311 0,4457 0,4889 0,5243 0,5341 0,5159 0,4744 0,4238 0,3928 0,4094 0,4739 0,5536 0,6046 0,5969 0,5285 0,4203 0,2983 0,1791 0,0743 -0,0021 -0,0328 0,0043 0,1369 0,3836 0,7340 1,1432 1,5438 1,8626 2,0346 2,0171 1,8047 1,4350 0,9707 0,4721 -0,0193 -0,4858 -0,9356 -1,3915 -1,8661 -2,3471 -2,8044 -3,2059 -3,5260 -3,7491 -3,8743 -3,9198 -3,9214 -3,9220 -3,9575 -4,0458 -4,1786 -4,3177 -4,4019 -4,3714 -4,1989 -3,9038 -3,5358 -3,1423 -2,7421 -2,3197 -1,8410 -1,2775 -0,6219 0,1131 0,9058 1,7348 2,5754 3,3945 4,1506 4,8037 5,3234 5,6952 5,9319 6,0840 6,2279 6,4322 6,7271 7,0997 7,5140 7,9294 8,3047 8,5968 8,7693 8,8028 8,6936 8,4424 8,0447 7,4944 6,8012 6,0118 5,2170 4,5309 4,0505 3,8168 3,8013 3,9235 4,0873 4,2115 4,2402 4,1395 3,8961 3,5225 3,0598 2,5649 2,0862 1,6514 1,2750 0,9720 0,7616 0,6530 0,6283 0,6478 0,6659 0,6388 0,5344 0,3502 0,1224 -0,0944 -0,2578 -0,3536 -0,3916 -0,3961 -0,3956 -0,4186 -0,4921 -0,6358 -0,8506 -1,1091 -1,3558 -1,5218 -1,5533 -1,4367 -1,2013 -0,9000 -0,5904 -0,3297 -0,1739 -0,1663 -0,3194 -0,6092 -0,9895 -1,4104 -1,8320 -2,2291 -2,5859 -2,8860 -3,1154 -3,2794 -3,4073 -3,5377 -3,7020 -3,9168 -4,1839 -4,4972 -4,8508 -5,2367 -5,6355 -6,0149 -6,3402 -6,5838 -6,7288 -6,7737 -6,7383 -6,6648 -6,6137 -6,6466 -6,8012 -7,0823 -7,4642 -7,8880 -8,2688 -8,5355 -8,6733 -8,7280 -8,7769 -8,8949 -9,1251 -9,4589 -9,8363 -10,1729 -10,3937 -10,4503 -10,3256 -10,0366 -9,6306 -9,1721 -8,7256 -8,3443 -8,0623 -7,8920 -7,8272 -7,8470 -7,9223 -8,0287 -8,1513 -8,2709 -8,3461 -8,3241 -8,1762 -7,9267 -7,6410 -7,3862 -7,1998 -7,0854 -7,0282 -7,0140 -7,0372 -7,0898 -7,1459 -7,1639 -7,1063 -6,9598 -6,7353 -6,4546 -6,1402 -5,8109 -5,4781 -5,1439 -4,8021 -4,4422 -4,0624 -3,6797 -3,3264 -3,0376 -2,8425 -2,7604 -2,7941 -2,9219 -3,1007 -3,2919 -3,4856 -3,6911 -3,9061 -4,1059 -4,2602 -4,3515 -4,3768 -4,3426 -4,2654 -4,1736 -4,1005 -4,0650 -4,0513 -4,0095 -3,8808 -3,6244 -3,2255 -2,6903 -2,0501 -1,3697 -0,7339 -0,2172 0,1417 0,3428 0,4148 0,4042 0,3634 0,3290 0,3087 0,2916 0,2664 0,2305 0,1848 0,1212 0,0169 -0,1514 -0,3846 -0,6547 -0,9199 -1,1467 -1,3248 -1,4635 -1,5726 -1,6445 -1,6599 -1,6069 -1,4872 -1,3103 -1,0865 -0,8294 -0,5640 -0,3292 -0,1619 -0,0781 -0,0707 -0,1245 -0,2252 -0,3561 -0,4985 -0,6389 -0,7700 -0,8798 -0,9462 -0,9504 -0,8946 -0,7950 -0,6577 -0,4726 -0,2336 0,0487 0,3533 0,6577 0,9414 1,1878 1,3865 1,5335 1,6335 1,7033 1,7710 1,8698 2,0276 2,2514 2,5186 2,7886 3,0237 3,1971 3,2889 3,2836 3,1724 2,9583 2,6589 2,3021 1,9192 1,5434 1,2035 0,9153 0,6792 0,4872 0,3233 0,1607 -0,0273 -0,2452 -0,4670 -0,6571 -0,8036 -0,9346 -1,0986 -1,3242 -1,5918 -1,8298 -1,9381 -1,8318 -1,4809 -0,9242 -0,2571 0,4015 0,9479 1,3155 1,4733 1,4255 1,2181 0,9313 0,6512 0,4387 0,3164 0,2740 0,2787 0,2903 0,2813 0,2514 0,2235 0,2264 0,2758 0,3629 0,4588 0,5290 0,5473 0,5040 0,4093 0,2886 0,1752 0,1058 0,1106 0,1971 0,3363 0,4711 0,5446 0,5268 0,4195 0,2466 0,0456 -0,1356 -0,2446 -0,2375 -0,0987 0,1504 0,4622 0,7850 1,0789 1,3230 1,5144 1,6638 1,7866 1,8909 1,9680 1,9985 1,9702 1,8854 1,7505 1,5677 1,3357 1,0477 0,6886 0,2452 -0,2768 -0,8441 -1,4037 -1,8966 -2,2787 -2,5383 -2,6955 -2,7821 -2,8214 -2,8253 -2,8084 -2,7949 -2,8077 -2,8553 -2,9284 -3,0063 -3,0688 -3,0997 -3,0860 -3,0211 -2,9054 -2,7403 -2,5268 -2,2744 -2,0016 -1,7209 -1,4230 -1,0797 -0,6651 -0,1814 0,3333 0,8256 1,2572 1,6149 1,9034 2,1352 2,3182 2,4450 2,4995 2,4672 2,3332 2,0829 1,7223 1,2935 0,8696 0,5335 0,3490 0,3332 0,4553 0,6533 0,8531 0,9831 0,9883 0,8375 0,5227 0,0579 -0,5208 -1,1657 -1,8363 -2,5069 -3,1497 -3,7157 -4,1497 -4,4316 -4,5890 -4,6640 -4,6725 -4,5946 -4,3917 -4,0313 -3,5018 -2,8159 -2,0119 -1,1532 -0,3141 0,4435 1,0809 1,5768 1,9228 2,1238 2,1919 2,1402 1,9913 1,7835 1,5587 1,3431 1,1467 0,9735 0,8248 0,6969 0,5829 0,4753 0,3649 0,2379 0,0722 -0,1636 -0,5017 -0,9590 -1,5259 -2,1713 -2,8550 -3,5292 -4,1424 -4,6576 -5,0663 -5,3767 -5,5954 -5,7282 -5,7984 -5,8523 -5,9426 -6,1024 -6,3355 -6,6309
F7    -1,5102 -1,1674 -0,9658 -0,8909 -0,9257 -1,0358 -1,1687 -1,2723 -1,3163 -1,3083 -1,2931 -1,3299 -1,4592 -1,6825 -1,9547 -2,1898 -2,2852 -2,1680 -1,8326 -1,3376 -0,7721 -0,2332 0,1780 0,3773 0,3377 0,0920 -0,3090 -0,8195 -1,3891 -1,9505 -2,4185 -2,7004 -2,7142 -2,4080 -1,7848 -0,9194 0,0589 1,0105 1,8323 2,4839 2,9780 3,3558 3,6697 3,9610 4,2343 4,4578 4,6001 4,6595 4,6499 4,5758 4,4350 4,2416 4,0360 3,8736 3,7980 3,8176 3,9002 3,9987 4,0917 4,2010 4,3672 4,6117 4,9097 5,1844 5,3402 5,3142 5,1081 4,7767 4,3820 3,9613 3,5324 3,1126 2,7242 2,3903 2,1287 1,9400 1,7959 1,6581 1,5235 1,4441 1,4950 1,7121 2,0558 2,4346 2,7545 2,9480 2,9846 2,8744 2,6542 2,3742 2,1003 1,9049 1,8368 1,8970 2,0399 2,2010 2,3297 2,3949 2,3736 2,2590 2,0802 1,8975 1,7770 1,7723 1,9119 2,1824 2,5233 2,8450 3,0570 3,1008 2,9706 2,7164 2,4259 2,1866 2,0351 1,9336 1,7986 1,5565 1,1787 0,6818 0,1122 -0,4750 -1,0330 -1,5339 -1,9606 -2,2906 -2,5023 -2,6056 -2,6504 -2,6970 -2,7874 -2,9348 -3,1177 -3,2798 -3,3561 -3,3208 -3,2084 -3,0860 -3,0031 -2,9583 -2,9017 -2,7682 -2,5114 -2,1172 -1,6022 -0,9939 -0,3027 0,4789 1,3495 2,2788 3,2122 4,0817 4,8078 5,3106 5,5461 5,5422 5,3927 5,2155 5,1095 5,1334 5,3003 5,5738 5,8707 6,0868 6,1476 6,0498 5,8623 5,6928 5,6447 5,7772 6,0801 6,4845 6,9013 7,2548 7,4888 7,5568 7,4158 7,0458 6,4781 5,7941 5,0853 4,4134 3,8050 3,2752 2,8484 2,5539 2,3995 2,3560 2,3668 2,3783 2,3617 2,3101 2,2327 2,1613 2,1395 2,1872 2,2828 2,3765 2,4162 2,3707 2,2437 2,0741 1,9208 1,8421 1,8717 2,0030 2,1907 2,3669 2,4584 2,4110 2,2254 1,9709 1,7388 1,5814 1,4984 1,4665 1,4611 1,4574 1,4272 1,3496 1,2263 1,0753 0,9080 0,7233 0,5200 0,3007 0,0713 -0,1529 -0,3506 -0,5123 -0,6458 -0,7609 -0,8458 -0,8681 -0,8130 -0,7178 -0,6674 -0,7593 -1,0531 -1,5342 -2,1226 -2,7091 -3,1750 -3,4138 -3,3750 -3,0917 -2,6637 -2,2147 -1,8594 -1,6892 -1,7640 -2,0951 -2,6392 -3,3107 -3,9983 -4,5917 -5,0226 -5,2901 -5,4421 -5,5298 -5,5814 -5,6036 -5,5838 -5,4812 -5,2382 -4,8144 -4,2156 -3,4997 -2,7665 -2,1311 -1,6841 -1,4582 -1,4337 -1,5704 -1,8367 -2,2181 -2,6966 -3,2139 -3,6575 -3,9005 -3,8733 -3,5958 -3,1335 -2,5442 -1,8752 -1,1872 -0,5629 -0,0959 0,1290 0,0673 -0,2494 -0,7141 -1,1967 -1,6013 -1,8792 -2,0120 -2,0003 -1,8586 -1,6052 -1,2532 -0,8119 -0,3052 0,2105 0,6578 0,9804 1,1707 1,2502 1,2323 1,1138 0,8876 0,5478 0,0884 -0,4804 -1,0988 -1,6545 -2,0296 -2,1580 -2,0440 -1,7351 -1,2832 -0,7279 -0,1031 0,5516 1,1991 1,8159 2,3801 2,8584 3,2159 3,4303 3,4961 3,4271 3,2573 3,0335 2,8030 2,6020 2,4444 2,3255 2,2520 2,2574 2,3712 2,5885 2,8844 3,2427 3,6595 4,1233 4,5903 4,9748 5,1764 5,1335 4,8576 4,4250 3,9451 3,5232 3,2258 3,0666 3,0235 3,0594 3,1304 3,1970 3,2387 3,2561 3,2594 3,2440 3,1705 2,9806 2,6423 2,1780 1,6556 1,1616 0,7749 0,5451 0,4842 0,5768 0,8030 1,1476 1,5808 2,0328 2,4168 2,6888 2,8716 3,0215 3,1897 3,4136 3,7168 4,0943 4,5017 4,8675 5,1190 5,2027 5,1051 4,8628 4,5475 4,2328 3,9647 3,7485 3,5647 3,4055 3,2926 3,2568 3,3090 3,4376 3,6204 3,8230 3,9895 4,0512 3,9567 3,6915 3,2684 2,7145 2,0748 1,4195 0,8371 0,4154 0,2249 0,3019 0,6329 1,1483 1,7342 2,2615 2,6246 2,7698 2,6996 2,4502 2,0615 1,5682 1,0086 0,4245 -0,1411 -0,6351 -1,0010 -1,2114 -1,2696 -1,1679 -0,8667 -0,3263 0,4459 1,3686 2,3051 3,1125 3,6854 3,9762 3,9894 3,7618 3,3554 2,8637 2,4004 2,0600 1,8840 1,8646 1,9654 2,1360 2,3220 2,4848 2,6232 2,7680 2,9441 3,1400 3,3144 3,4183 3,4102 3,2616 2,9652 2,5517 2,1001 1,7194 1,5064 1,5036 1,6857 1,9846 2,3377 2,7145 3,1009 3,4709 3,7901 4,0371 4,2067 4,2896 4,2603 4,0910 3,7733 3,3228 2,7696 2,1473 1,4812 0,7796 0,0433 -0,7077 -1,4159 -1,9898 -2,3343 -2,4059 -2,2552 -2,0054 -1,7859 -1,6844 -1,7467 -1,9957 -2,4192 -2,9385 -3,4159 -3,7059 -3,7102 -3,4026 -2,8234 -2,0647 -1,2448 -0,4694 0,1980 0,7399 1,1668 1,4922 1,7148 1,8175 1,7878 1,6484 1,4662 1,3253 1,2927 1,4039 1,6627 2,0425 2,4836 2,8985 3,2062 3,3799 3,4497 3,4576 3,4301 3,3929 3,3956 3,5063 3,7754 4,1948 4,6858 5,1215 5,3665 5,3143 4,9205 4,2201 3,3156 2,3476 1,4704 0,8185 0,4594 0,3679 0,4505 0,6036 0,7605 0,8956 0,9959 1,0408 1,0182 0,9460 0,8613 0,7831 0,6960 0,5764 0,4365 0,3348 0,3477 0,5447 0,9761 1,6438 2,4665 3,2993 3,9938 4,4423 4,5940 4,4714 4,1623 3,7714 3,3818 3,0512 2,8077 2,6364 2,4887 2,3178 2,0992 1,8174 1,4530 0,9994 0,4881 -0,0092 -0,4011 -0,6131 -0,6352 -0,5445 -0,4679 -0,5201 -0,7629 -1,1846 -1,6997 -2,1934 -2,5888 -2,8727 -3,0693 -3,2008 -3,2689 -3,2732 -3,2459
