Fp1   -1,1377 -0,7217 -0,3443 -0,0577 0,1174 0,2154 0,3109 0,4643 0,6810 0,9145 1,1027 1,2103 1,2460 1,2371 1,1918 1,0986 0,9581 0,7970 0,6498 0,5368 0,4570 0,3889 0,2971 0,1467 -0,0820 -0,3902 -0,7685 -1,2020 -1,6644 -2,1101 -2,4738 -2,6774 -2,6479 -2,3508 -1,8205 -1,1556 -0,4813 0,0972 0,5294 0,8246 1,0199 1,1385 1,1802 1,1400 1,0200 0,8215 0,5455 0,2149 -0,1104 -0,3569 -0,4878 -0,5242 -0,5145 -0,4931 -0,4669 -0,4155 -0,2929 -0,0432 0,3672 0,9127 1,4930 1,9588 2,1732 2,0737 1,6928 1,1245 0,4735 -0,1783 -0,7854 -1,3414 -1,8674 -2,3810 -2,8642 -3,2667 -3,5432 -3,6816 -3,6944 -3,5904 -3,3545 -2,9507 -2,3507 -1,5637 -0,6511 0,2784 1,0885 1,6544 1,9047 1,8378 1,5056 0,9932 0,4030 -0,1711 -0,6741 -1,0972 -1,4565 -1,7643 -2,0205 -2,2259 -2,4054 -2,6160 -2,9301 -3,4103 -4,0931 -4,9720 -5,9855 -7,0347 -8,0291 -8,9173 -9,6746 -10,2710 -10,6677 -10,8404 -10,8013 -10,5977 -10,2826 -9,8810 -9,3840 -8,7676 -8,0149 -7,1351 -6,1752 -5,2084 -4,3079 -3,5239 -2,8683 -2,3051 -1,7644 -1,1803 -0,5127 0,2642 1,1676 2,1854 3,2647 4,3334 5,3349 6,2420 7,0489 7,7530 8,3410 8,7886 9,0766 9,2119 9,2419 9,2430 9,2736 9,3316 9,3605 9,2979 9,1163 8,8348 8,5029 8,1719 7,8698 7,6033 7,3745 7,1726 6,9515 6,6372 6,1711 5,5515 4,8417 4,1431 3,5579 3,1616 2,9853 3,0140 3,2083 3,5281 3,9364 4,3894 4,8303 5,1950 5,4274 5,4919 5,3800 5,1122 4,7301 4,2836 3,8225 3,3929 3,0388 2,8044 2,7312 2,8425 3,1256 3,5232 3,9437 4,2933 4,5164 4,6204 4,6662 4,7294 4,8551 5,0316 5,1962 5,2688 5,1918 4,9577 4,6163 4,2536 3,9575 3,7841 3,7349 3,7693 3,8498 3,9631 4,1075 4,2942 4,5551 4,9106 5,3228 5,7027 5,9598 6,0455 5,9738 5,8316 5,7527 5,8441 6,1209 6,5105 6,9121 7,2458 7,4637 7,5399 7,4623 7,2359 6,8961 6,5057 6,1275 5,7977 5,5218 5,2805 5,0454 4,8029 4,5737 4,4082 4,3519 4,4073 4,5260 4,6386 4,6976 4,6948 4,6491 4,5826 4,5069 4,4238 4,3289 4,2144 4,0620 3,8355 3,4967 3,0449 2,5436 2,1086 1,8626 1,8807 2,1512 2,5770 3,0243 3,3885 3,6349 3,7952 3,9348 4,1186 4,3892 4,7651 5,2453 5,7967 6,3334 6,7288 6,8641 6,6778 6,1932 5,5229 4,8464 4,3499 4,1484 4,2485 4,5726 5,0136 5,4754 5,8891 6,2166 6,4463 6,5907 6,6886 6,7963 6,9573 7,1704 7,3855 7,5313 7,5540 7,4453 7,2503 7,0522 6,9394 6,9672 7,1380 7,4121 7,7357 8,0675 8,3905 8,7110 9,0456 9,4020 9,7621 10,0759 10,2729 10,2931 10,1194 9,7908 9,3923 9,0245 8,7661 8,6459 8,6492 8,7477 8,9190 9,1353 9,3449 9,4733 9,4477 9,2290 8,8325 8,3334 7,8520 7,5120 7,3888 7,4868 7,7536 8,1104 8,4799 8,7987 9,0092 9,0476 8,8560 8,4109 7,7525 6,9978 6,3137 5,8562 5,7169 5,9031 6,3442 6,9190 7,5004 7,9911 8,3306 8,4913 8,4795 8,3317 8,0964 7,8131 7,5089 7,2029 6,9038 6,6119 6,3271 6,0490 5,7789 5,5313 5,3322 5,1997 5,1283 5,0918 5,0627 5,0373 5,0401 5,1011 5,2297 5,4104 5,6136 5,8082 5,9664 6,0574 6,0385 5,8638 5,5106 4,9986 4,3843 3,7392 3,1269 2,5923 2,1712 1,9084 1,8526 2,0207 2,3687 2,8004 3,2032 3,4928 3,6472 3,7101 3,7592 3,8556 4,0029 4,1436 4,1916 4,0731 3,7505 3,2307 2,5638 1,8253 1,0935 0,4408 -0,0682 -0,3902 -0,5263 -0,5282 -0,4745 -0,4285 -0,4117 -0,4093 -0,3909 -0,3272 -0,1956 0,0181 0,3134 0,6703 1,0576 1,4392 1,7636 1,9628 1,9719 1,7504 1,3017 0,6928 0,0499 -0,4768 -0,7611 -0,7426 -0,4493 0,0091 0,4807 0,8280 0,9699 0,8852 0,5995 0,1833 -0,2562 -0,6089 -0,8001 -0,8107 -0,6798 -0,4864 -0,3149 -0,2268 -0,2487 -0,3727 -0,5665 -0,7894 -1,0018 -1,1642 -1,2424 -1,2154 -1,0711 -0,8043 -0,4351 -0,0203 0,3668 0,6699 0,8719 0,9889 1,0401 1,0276 0,9406 0,7676 0,5050 0,1652 -0,2204 -0,6059 -0,9403 -1,1884 -1,3595 -1,5167 -1,7488 -2,1197 -2,6310 -3,2155 -3,7623 -4,1656 -4,3727 -4,4033 -4,3268 -4,2209 -4,1507 -4,1756 -4,3441 -4,6689 -5,1094 -5,5799 -5,9832 -6,2453 -6,3280 -6,2260 -5,9653 -5,5950 -5,1629 -4,6889 -4,1589 -3,5424 -2,8143 -1,9677 -1,0209 -0,0228 0,9452 1,7872 2,4289 2,8458 3,0701 3,1789 3,2642 3,3956 3,5999 3,8669 4,1680 4,4798 4,7915 5,0898 5,3524 5,5665 5,7369 5,8600 5,8987 5,7996 5,5375 5,1366 4,6577 4,1685 3,7226 3,3538 3,0762 2,8742 2,6905 2,4412 2,0584 1,5247 0,8660 0,1217 -0,6762 -1,5010 -2,3244 -3,1179 -3,8591 -4,5232 -5,0689 -5,4424 -5,5975 -5,5124 -5,2017 -4,7176 -4,1343 -3,5178 -2,9081 -2,3333 -1,8390 -1,4891 -1,3334 -1,3847 -1,6228 -2,0115 -2,5140 -3,1028 -3,7581 -4,4506 -5,1214 -5,6820 -6,0464 -6,1691 -6,0591 -5,7778 -5,4329 -5,1572 -5,0697 -5,2406 -5,6691 -6,2795 -6,9480 -7,5458 -7,9704 -8,1624 -8,1087 -7,8262 -7,3353 -6,6519 -5,8121 -4,9057 -4,0704 -3,4415 -3,1053 -3,0825 -3,3303 -3,7568 -4,2435 -4,6667 -4,9186 -4,9303 -4,6954 -4,2809 -3,8055
Fz    0,6164 0,6290 0,5985 0,5394 0,4685 0,4065 0,3719 0,3683 0,3807 0,3845 0,3559 0,2785 0,1463 -0,0360 -0,2532 -0,4782 -0,6771 -0,8194 -0,8855 -0,8677 -0,7673 -0,5918 -0,3542 -0,0736 0,2187 0,4776 0,6535 0,7094 0,6330 0,4366 0,1499 -0,1875 -0,5300 -0,8305 -1,0477 -1,1534 -1,1383 -1,0138 -0,8069 -0,5495 -0,2700 0,0082 0,2637 0,4755 0,6246 0,6990 0,7014 0,6514 0,5780 0,5069 0,4528 0,4220 0,4214 0,4614 0,5531 0,7058 0,9232 1,1969 1,5000 1,7871 2,0048 2,1103 2,0863 1,9412 1,6982 1,3831 1,0180 0,6215 0,2095 -0,2030 -0,5985 -0,9510 -1,2215 -1,3683 -1,3658 -1,2179 -0,9596 -0,6508 -0,3560 -0,1194 0,0489 0,1682 0,2716 0,3882 0,5300 0,6852 0,8280 0,9359 1,0018 1,0328 1,0425 1,0428 1,0370 1,0183 0,9724 0,8818 0,7296 0,5039 0,1965 -0,1986 -0,6830 -1,2506 -1,8876 -2,5737 -3,2819 -3,9805 -4,6383 -5,2290 -5,7294 -6,1149 -6,3608 -6,4517 -6,3897 -6,1961 -5,9020 -5,5340 -5,1112 -4,6535 -4,1875 -3,7431 -3,3464 -3,0092 -2,7201 -2,4468 -2,1478 -1,7863 -1,3352 -0,7784 -0,1107 0,6632 1,5279 2,4554 3,4107 4,3626 5,2899 6,1776 7,0084 7,7586 8,4019 8,9173 9,2954 9,5373 9,6484 9,6371 9,5183 9,3163 9,0630 8,7942 8,5461 8,3521 8,2355 8,1984 8,2216 8,2765 8,3394 8,3967 8,4437 8,4813 8,5118 8,5342 8,5397 8,5105 8,4270 8,2774 8,0647 7,8077 7,5401 7,3021 7,1302 7,0486 7,0647 7,1659 7,3254 7,5136 7,7067 7,8855 8,0325 8,1325 8,1783 8,1758 8,1421 8,0982 8,0620 8,0425 8,0366 8,0324 8,0158 7,9774 7,9146 7,8332 7,7448 7,6642 7,6080 7,5910 7,6205 7,6903 7,7779 7,8465 7,8583 7,7937 7,6617 7,4892 7,3018 7,1168 6,9480 6,8121 6,7314 6,7312 6,8334 7,0492 7,3764 7,7989 8,2862 8,7959 9,2837 9,7162 10,0752 10,3527 10,5443 10,6467 10,6581 10,5826 10,4345 10,2351 10,0025 9,7463 9,4723 9,1847 8,8824 8,5642 8,2423 7,9462 7,7101 7,5573 7,4897 7,4894 7,5268 7,5714 7,6027 7,6160 7,6141 7,5911 7,5266 7,3949 7,1792 6,8788 6,5091 6,0973 5,6746 5,2697 4,9061 4,6054 4,3904 4,2799 4,2797 4,3787 4,5537 4,7783 5,0312 5,2998 5,5761 5,8517 6,1161 6,3592 6,5730 6,7567 6,9204 7,0800 7,2440 7,4050 7,5438 7,6406 7,6847 7,6783 7,6355 7,5789 7,5322 7,5130 7,5304 7,5870 7,6823 7,8143 7,9768 8,1566 8,3324 8,4821 8,5955 8,6770 8,7359 8,7786 8,8096 8,8331 8,8532 8,8767 8,9138 8,9753 9,0699 9,2063 9,3955 9,6473 9,9585 10,3083 10,6663 11,0048 11,3071 11,5689 11,7948 11,9911 12,1562 12,2781 12,3404 12,3348 12,2676 12,1574 12,0261 11,8924 11,7638 11,6310 11,4740 11,2767 11,0373 10,7672 10,4840 10,2080 9,9610 9,7650 9,6402 9,6024 9,6577 9,7960 9,9894 10,1990 10,3862 10,5229 10,5973 10,6158 10,5975 10,5647 10,5303 10,4874 10,4119 10,2808 10,0913 9,8633 9,6274 9,4093 9,2206 9,0587 8,9136 8,7755 8,6370 8,4931 8,3427 8,1900 8,0411 7,9061 7,8042 7,7636 7,8149 7,9816 8,2679 8,6468 9,0577 9,4201 9,6557 9,7076 9,5509 9,1960 8,6889 8,1085 7,5519 7,1061 6,8233 6,7110 6,7377 6,8498 6,9922 7,1238 7,2221 7,2820 7,3092 7,3086 7,2773 7,2071 7,0920 6,9316 6,7299 6,4946 6,2392 5,9873 5,7711 5,6191 5,5408 5,5204 5,5250 5,5178 5,4722 5,3784 5,2441 5,0892 4,9427 4,8339 4,7785 4,7692 4,7788 4,7700 4,7048 4,5520 4,3004 3,9733 3,6250 3,3165 3,0932 2,9745 2,9556 3,0154 3,1279 3,2678 3,4124 3,5452 3,6587 3,7530 3,8336 3,9072 3,9758 4,0326 4,0671 4,0716 4,0479 4,0065 3,9577 3,9044 3,8451 3,7766 3,6928 3,5832 3,4350 3,2405 3,0095 2,7682 2,5444 2,3536 2,1984 2,0731 1,9687 1,8784 1,8008 1,7384 1,6950 1,6752 1,6836 1,7256 1,8093 1,9419 2,1239 2,3494 2,6107 2,8941 3,1729 3,4101 3,5678 3,6097 3,5060 3,2498 2,8748 2,4511 2,0587 1,7584 1,5756 1,5026 1,5104 1,5643 1,6354 1,7047 1,7622 1,8043 1,8314 1,8440 1,8367 1,7979 1,7115 1,5611 1,3320 1,0172 0,6208 0,1577 -0,3500 -0,8734 -1,3782 -1,8286 -2,1930 -2,4490 -2,5891 -2,6193 -2,5546 -2,4129 -2,2117 -1,9663 -1,6848 -1,3655 -1,0013 -0,5869 -0,1212 0,3910 0,9397 1,5111 2,0897 2,6599 3,2078 3,7237 4,2057 4,6601 5,0975 5,5290 5,9614 6,3922 6,8069 7,1822 7,4893 7,7001 7,7965 7,7778 7,6591 7,4644 7,2199 6,9478 6,6601 6,3567 6,0301 5,6728 5,2849 4,8763 4,4623 4,0556 3,6618 3,2816 2,9124 2,5470 2,1775 1,8017 1,4238 1,0493 0,6844 0,3412 0,0387 -0,2067 -0,3933 -0,5335 -0,6390 -0,7065 -0,7193 -0,6597 -0,5184 -0,2965 -0,0083 0,3143 0,6267 0,8848 1,0587 1,1387 1,1312 1,0504 0,9116 0,7250 0,4905 0,1996 -0,1552 -0,5709 -1,0351 -1,5303 -2,0385 -2,5390 -3,0050 -3,4041 -3,7066 -3,8957 -3,9724 -3,9540 -3,8658 -3,7291 -3,5566 -3,3603 -3,1594 -2,9771 -2,8311 -2,7288 -2,6666 -2,6330 -2,6119 -2,5885 -2,5530 -2,4974 -2,4122 -2,2882 -2,1224 -1,9153 -1,6620 -1,3488 -0,9609 -0,4972
F3    0,3868 0,4554 0,5053 0,5172 0,4878 0,4279 0,3538 0,2794 0,2128 0,1552 0,1030 0,0496 -0,0149 -0,1024 -0,2227 -0,3749 -0,5389 -0,6745 -0,7356 -0,6950 -0,5604 -0,3702 -0,1724 -0,0008 0,1323 0,2209 0,2504 0,1993 0,0542 -0,1759 -0,4546 -0,7259 -0,9316 -1,0358 -1,0392 -0,9700 -0,8628 -0,7445 -0,6256 -0,4952 -0,3279 -0,0990 0,1989 0,5448 0,8901 1,1781 1,3649 1,4271 1,3632 1,1926 0,9513 0,6851 0,4374 0,2385 0,1079 0,0670 0,1383 0,3278 0,6068 0,9128 1,1722 1,3360 1,4005 1,3915 1,3335 1,2294 1,0644 0,8230 0,5026 0,1173 -0,3006 -0,7033 -1,0367 -1,2561 -1,3399 -1,2944 -1,1472 -0,9350 -0,6904 -0,4319 -0,1659 0,0990 0,3462 0,5560 0,7091 0,7849 0,7690 0,6633 0,4901 0,2897 0,1136 0,0076 -0,0061 0,0661 0,1964 0,3478 0,4781 0,5348 0,4539 0,1771 -0,3241 -1,0300 -1,8728 -2,7577 -3,5976 -4,3362 -4,9539 -5,4633 -5,8924 -6,2580 -6,5529 -6,7522 -6,8280 -6,7647 -6,5663 -6,2483 -5,8285 -5,3305 -4,7920 -4,2595 -3,7705 -3,3396 -2,9594 -2,6072 -2,2537 -1,8715 -1,4366 -0,9260 -0,3199 0,3895 1,1913 2,0534 2,9334 3,7946 4,6157 5,3928 6,1344 6,8481 7,5239 8,1276 8,6156 8,9586 9,1537 9,2198 9,1870 9,0873 8,9451 8,7749 8,5865 8,3929 8,2107 8,0591 7,9614 7,9446 8,0265 8,1981 8,4213 8,6448 8,8227 8,9238 8,9305 8,8376 8,6510 8,3828 8,0501 7,6825 7,3288 7,0486 6,8937 6,8893 7,0215 7,2382 7,4683 7,6561 7,7847 7,8712 7,9414 8,0125 8,0935 8,1869 8,2832 8,3568 8,3742 8,3088 8,1513 7,9149 7,6309 7,3328 7,0401 6,7608 6,4984 6,2536 6,0265 5,8268 5,6821 5,6303 5,6976 5,8746 6,1126 6,3470 6,5325 6,6591 6,7372 6,7781 6,7926 6,7985 6,8186 6,8701 6,9568 7,0725 7,2112 7,3721 7,5521 7,7371 7,9050 8,0419 8,1532 8,2549 8,3552 8,4459 8,5119 8,5493 8,5770 8,6255 8,7139 8,8368 8,9649 9,0508 9,0435 8,9136 8,6712 8,3605 8,0400 7,7577 7,5337 7,3618 7,2237 7,1033 6,9933 6,9002 6,8377 6,8081 6,7884 6,7391 6,6257 6,4321 6,1632 5,8415 5,4938 5,1405 4,7982 4,4872 4,2311 4,0508 3,9599 3,9669 4,0813 4,3089 4,6421 5,0530 5,4927 5,8978 6,2087 6,3906 6,4442 6,4064 6,3422 6,3262 6,4174 6,6420 6,9893 7,4200 7,8825 8,3250 8,7032 8,9891 9,1740 9,2600 9,2497 9,1462 8,9628 8,7271 8,4741 8,2327 8,0162 7,8244 7,6573 7,5238 7,4312 7,3799 7,3711 7,4130 7,5178 7,6977 7,9627 8,3165 8,7510 9,2419 9,7500 10,2289 10,6302 10,9103 11,0439 11,0370 10,9296 10,7866 10,6743 10,6308 10,6536 10,7137 10,7774 10,8166 10,8126 10,7601 10,6670 10,5486 10,4183 10,2764 10,1089 9,9021 9,6610 9,4103 9,1807 8,9933 8,8550 8,7693 8,7443 8,7882 8,9034 9,0856 9,3230 9,5880 9,8341 10,0106 10,0907 10,0905 10,0595 10,0422 10,0435 10,0275 9,9428 9,7490 9,4329 9,0175 8,5563 8,1094 7,7166 7,3894 7,1209 6,9055 6,7487 6,6598 6,6356 6,6531 6,6787 6,6885 6,6816 6,6827 6,7385 6,9044 7,2164 7,6568 8,1454 8,5703 8,8343 8,8813 8,6987 8,3128 7,7806 7,1754 6,5684 6,0194 5,5779 5,2792 5,1343 5,1281 5,2300 5,4054 5,6196 5,8389 6,0367 6,1976 6,3119 6,3670 6,3458 6,2344 6,0296 5,7430 5,4038 5,0559 4,7472 4,5146 4,3712 4,3048 4,2872 4,2826 4,2610 4,2120 4,1432 4,0654 3,9846 3,9021 3,8137 3,7094 3,5784 3,4150 3,2187 2,9938 2,7517 2,5122 2,2965 2,1223 2,0050 1,9552 1,9726 2,0484 2,1728 2,3321 2,5008 2,6415 2,7165 2,7054 2,6170 2,4879 2,3672 2,2998 2,3147 2,4185 2,5961 2,8188 3,0483 3,2414 3,3624 3,3960 3,3475 3,2321 3,0629 2,8527 2,6249 2,4155 2,2593 2,1757 2,1686 2,2270 2,3184 2,3889 2,3858 2,2829 2,0864 1,8249 1,5405 1,2840 1,1070 1,0459 1,1118 1,2974 1,5881 1,9623 2,3829 2,7936 3,1262 3,3120 3,2973 3,0606 2,6296 2,0828 1,5245 1,0434 0,6857 0,4589 0,3468 0,3190 0,3374 0,3644 0,3753 0,3719 0,3839 0,4492 0,5858 0,7718 0,9469 1,0365 0,9818 0,7578 0,3731 -0,1412 -0,7445 -1,3919 -2,0300 -2,6001 -3,0523 -3,3572 -3,5065 -3,5105 -3,3960 -3,1921 -2,9122 -2,5599 -2,1526 -1,7277 -1,3231 -0,9525 -0,5978 -0,2244 0,1950 0,6660 1,1737 1,6931 2,2027 2,6991 3,2022 3,7394 4,3238 4,9452 5,5735 6,1635 6,6626 7,0233 7,2157 7,2328 7,0923 6,8360 6,5253 6,2289 5,9996 5,8549 5,7776 5,7357 5,6971 5,6308 5,5038 5,2817 4,9409 4,4830 3,9341 3,3304 2,7033 2,0698 1,4345 0,8046 0,1999 -0,3538 -0,8323 -1,2086 -1,4496 -1,5327 -1,4698 -1,3094 -1,1113 -0,9156 -0,7346 -0,5599 -0,3674 -0,1248 0,1836 0,5322 0,8606 1,1024 1,2134 1,1838 1,0362 0,8146 0,5665 0,3171 0,0553 -0,2514 -0,6280 -1,0740 -1,5663 -2,0715 -2,5593 -3,0091 -3,4054 -3,7293 -3,9649 -4,1144 -4,1988 -4,2452 -4,2716 -4,2771 -4,2464 -4,1673 -4,0440 -3,8937 -3,7321 -3,5683 -3,4086 -3,2586 -3,1199 -2,9903 -2,8684 -2,7504 -2,6257 -2,4863 -2,3365 -2,1833 -2,0165 -1,8088 -1,5352 -1,1873
F7    0,2189 0,2527 0,2869 0,3310 0,3825 0,4364 0,4933 0,5574 0,6295 0,7048 0,7766 0,8369 0,8729 0,8653 0,7892 0,6202 0,3487 -0,0113 -0,4236 -0,8371 -1,1893 -1,4146 -1,4660 -1,3363 -1,0587 -0,6905 -0,2969 0,0584 0,3226 0,4621 0,4669 0,3487 0,1364 -0,1310 -0,4126 -0,6681 -0,8582 -0,9513 -0,9348 -0,8152 -0,6137 -0,3641 -0,1062 0,1267 0,3152 0,4537 0,5465 0,6061 0,6490 0,6841 0,7048 0,6965 0,6565 0,6013 0,5595 0,5616 0,6303 0,7700 0,9611 1,1650 1,3400 1,4585 1,5141 1,5089 1,4402 1,2991 1,0792 0,7811 0,4115 -0,0134 -0,4606 -0,8785 -1,2132 -1,4276 -1,5062 -1,4470 -1,2569 -0,9572 -0,5847 -0,1853 0,1954 0,5199 0,7692 0,9477 1,0762 1,1764 1,2609 1,3337 1,3917 1,4226 1,4015 1,2976 1,0837 0,7461 0,2891 -0,2642 -0,8765 -1,5058 -2,1166 -2,6787 -3,1618 -3,5404 -3,8098 -3,9925 -4,1306 -4,2726 -4,4636 -4,7362 -5,1005 -5,5384 -6,0089 -6,4619 -6,8532 -7,1525 -7,3420 -7,4088 -7,3405 -7,1336 -6,8058 -6,3968 -5,9523 -5,5020 -5,0490 -4,5748 -4,0553 -3,4746 -2,8320 -2,1410 -1,4198 -0,6811 0,0673 0,8119 1,5288 2,1883 2,7628 3,2324 3,5905 3,8488 4,0336 4,1785 4,3163 4,4756 4,6791 4,9402 5,2536 5,5873 5,8892 6,1060 6,1985 6,1460 5,9444 5,6069 5,1669 4,6818 4,2296 3,8913 3,7241 3,7441 3,9237 4,1989 4,4835 4,6911 4,7590 4,6630 4,4198 4,0812 3,7175 3,3986 3,1767 3,0738 3,0807 3,1661 3,2859 3,3972 3,4739 3,5147 3,5382 3,5722 3,6438 3,7701 3,9495 4,1576 4,3573 4,5167 4,6171 4,6462 4,5932 4,4484 4,2057 3,8687 3,4587 3,0193 2,6150 2,3189 2,1925 2,2668 2,5275 2,9116 3,3231 3,6678 3,8897 3,9813 3,9678 3,8862 3,7746 3,6684 3,5951 3,5721 3,6033 3,6727 3,7477 3,7953 3,7999 3,7702 3,7353 3,7342 3,8061 3,9824 4,2739 4,6585 5,0812 5,4721 5,7724 5,9522 6,0110 5,9700 5,8610 5,7133 5,5464 5,3706 5,1898 5,0066 4,8260 4,6529 4,4851 4,3113 4,1171 3,8973 3,6619 3,4311 3,2246 3,0540 2,9227 2,8314 2,7834 2,7856 2,8424 2,9464 3,0735 3,1881 3,2556 3,2522 3,1727 3,0320 2,8599 2,6936 2,5715 2,5249 2,5688 2,6973 2,8866 3,1029 3,3163 3,5146 3,7063 3,9112 4,1477 4,4202 4,7077 4,9624 5,1243 5,1451 5,0042 4,7104 4,2999 3,8371 3,4076 3,1012 2,9878 3,0980 3,4128 3,8699 4,3845 4,8772 5,2931 5,6073 5,8208 5,9446 5,9758 5,8975 5,7067 5,4379 5,1593 4,9477 4,8608 4,9247 5,1422 5,5021 5,9754 6,5052 7,0062 7,3882 7,5975 7,6455 7,5947 7,5152 7,4472 7,3943 7,3433 7,2859 7,2244 7,1608 7,0914 7,0167 6,9512 6,9157 6,9170 6,9377 6,9463 6,9149 6,8303 6,6959 6,5282 6,3492 6,1842 6,0634 6,0209 6,0825 6,2528 6,5057 6,7862 7,0260 7,1682 7,1825 7,0689 6,8556 6,5892 6,3142 6,0592 5,8354 5,6359 5,4397 5,2293 5,0123 4,8258 4,7200 4,7293 4,8499 5,0401 5,2405 5,3947 5,4600 5,4145 5,2626 5,0351 4,7780 4,5348 4,3340 4,1895 4,1054 4,0797 4,1043 4,1618 4,2248 4,2641 4,2588 4,2015 4,0938 3,9413 3,7523 3,5378 3,3099 3,0845 2,8835 2,7285 2,6287 2,5768 2,5539 2,5390 2,5169 2,4822 2,4367 2,3828 2,3250 2,2768 2,2599 2,2921 2,3783 2,5109 2,6724 2,8367 2,9700 3,0320 2,9819 2,7921 2,4624 2,0294 1,5659 1,1587 0,8738 0,7333 0,7160 0,7758 0,8671 0,9606 1,0408 1,0946 1,1125 1,0967 1,0662 1,0457 1,0466 1,0557 1,0418 0,9736 0,8389 0,6580 0,4779 0,3498 0,3095 0,3714 0,5262 0,7420 0,9720 1,1685 1,3010 1,3679 1,3889 1,3875 1,3825 1,3847 1,3930 1,3967 1,3810 1,3323 1,2442 1,1221 0,9850 0,8610 0,7801 0,7641 0,8204 0,9334 1,0580 1,1275 1,0809 0,8926 0,5872 0,2357 -0,0694 -0,2567 -0,3038 -0,2335 -0,0922 0,0698 0,2097 0,2988 0,3222 0,2768 0,1705 0,0180 -0,1679 -0,3796 -0,6116 -0,8499 -1,0667 -1,2264 -1,3000 -1,2781 -1,1763 -1,0283 -0,8706 -0,7305 -0,6256 -0,5733 -0,5960 -0,7117 -0,9182 -1,1928 -1,5044 -1,8244 -2,1295 -2,3981 -2,6101 -2,7527 -2,8326 -2,8827 -2,9495 -3,0684 -3,2461 -3,4607 -3,6800 -3,8838 -4,0679 -4,2294 -4,3523 -4,4088 -4,3692 -4,2142 -3,9394 -3,5516 -3,0654 -2,5033 -1,8890 -1,2365 -0,5484 0,1775 0,9387 1,7172 2,4726 3,1494 3,6907 4,0531 4,2207 4,2163 4,0994 3,9476 3,8305 3,7914 3,8423 3,9674 4,1294 4,2753 4,3460 4,2944 4,1016 3,7826 3,3783 2,9388 2,5077 2,1155 1,7775 1,4906 1,2315 0,9664 0,6678 0,3262 -0,0524 -0,4562 -0,8759 -1,3081 -1,7472 -2,1739 -2,5538 -2,8514 -3,0450 -3,1344 -3,1379 -3,0814 -2,9812 -2,8316 -2,6085 -2,2869 -1,8637 -1,3725 -0,8837 -0,4868 -0,2608 -0,2480 -0,4439 -0,8015 -1,2453 -1,6915 -2,0738 -2,3620 -2,5596 -2,6897 -2,7840 -2,8760 -2,9950 -3,1579 -3,3663 -3,6111 -3,8816 -4,1685 -4,4630 -4,7542 -5,0301 -5,2776 -5,4790 -5,6095 -5,6442 -5,5695 -5,3864 -5,1065 -4,7537 -4,3704 -4,0071 -3,6978 -3,4476 -3,2409 -3,0492 -2,8388 -2,5864 -2,2955 -1,9967 -1,7313 -1,5321 -1,4099 -1,3538
