Fp1   2,4745 2,0927 1,5885 1,1043 0,7371 0,4983 0,3425 0,2165 0,0852 -0,0526 -0,1575 -0,1710 -0,0547 0,1872 0,5089 0,8322 1,0784 1,2163 1,2861 1,3798 1,5905 1,9599 2,4542 2,9715 3,3788 3,5590 3,4462 3,0451 2,4171 1,6499 0,8454 0,1108 -0,4778 -0,9081 -1,2116 -1,4017 -1,4507 -1,3475 -1,1699 -1,0818 -1,2546 -1,7666 -2,5380 -3,3567 -3,9897 -4,3051 -4,3220 -4,1685 -3,9901 -3,8808 -3,8763 -3,9782 -4,1699 -4,4033 -4,5763 -4,5576 -4,2791 -3,8175 -3,3690 -3,1226 -3,1480 -3,3964 -3,7812 -4,2381 -4,7316 -5,2359 -5,6986 -6,0302 -6,1628 -6,1098 -5,9381 -5,7054 -5,4495 -5,2040 -4,9912 -4,8194 -4,6969 -4,6178 -4,5267 -4,3441 -4,0462 -3,6994 -3,3951 -3,1509 -2,9000 -2,5852 -2,2244 -1,8681 -1,5389 -1,2456 -1,0318 -0,9786 -1,1538 -1,5489 -2,0572 -2,5206 -2,8083 -2,8597 -2,6841 -2,3576 -2,0073 -1,7451 -1,5938 -1,4972 -1,4033 -1,3212 -1,3060 -1,4175 -1,6822 -2,0747 -2,5193 -2,9212 -3,2218 -3,4177 -3,5237 -3,5496 -3,5245 -3,4987 -3,4954 -3,4789 -3,3756 -3,1303 -2,7502 -2,2915 -1,8163 -1,3602 -0,9174 -0,4698 -0,0262 0,3888 0,7527 1,0284 1,1605 1,0989 0,8152 0,3106 -0,3581 -1,0519 -1,5840 -1,8187 -1,7412 -1,4416 -1,0358 -0,5778 -0,0300 0,6685 1,5017 2,3587 3,1104 3,6915 4,1204 4,4625 4,7848 5,1269 5,4772 5,7635 5,9003 5,8611 5,6776 5,3838 4,9961 4,5298 4,0157 3,5080 3,0676 2,7332 2,5067 2,3463 2,1721 1,9092 1,5413 1,1085 0,6600 0,2352 -0,1193 -0,3457 -0,4163 -0,3895 -0,3880 -0,4939 -0,6980 -0,9517 -1,2067 -1,3981 -1,4622 -1,4072 -1,3224 -1,2876 -1,3039 -1,3298 -1,3427 -1,3471 -1,3630 -1,4208 -1,5454 -1,7414 -1,9985 -2,2917 -2,5650 -2,7444 -2,7941 -2,7446 -2,6579 -2,5852 -2,5482 -2,5233 -2,4399 -2,2105 -1,7818 -1,1773 -0,4885 0,1830 0,7910 1,3602 1,9258 2,4597 2,8584 2,9950 2,7877 2,2514 1,5134 0,7595 0,1316 -0,3186 -0,5953 -0,7491 -0,8938 -1,1476 -1,5436 -2,0414 -2,6090 -3,2400 -3,8948 -4,4619 -4,8135 -4,9023 -4,7814 -4,5546 -4,3192 -4,1141 -3,9048 -3,6209 -3,2082 -2,6506 -1,9617 -1,1804 -0,3860 0,2995 0,7369 0,8281 0,5854 0,1375 -0,3596 -0,8115 -1,1822 -1,4498 -1,5921 -1,5869 -1,4295 -1,1559 -0,8118 -0,3990 0,1179 0,7568 1,4744 2,1623 2,6795 2,9104 2,8210 2,4875 2,0736 1,7487 1,5919 1,5675 1,5911 1,6136 1,6382 1,6807 1,7462 1,8453 1,9903 2,1576 2,2774 2,2774 2,1212 1,8046 1,3445 0,7900 0,2289 -0,2324 -0,4976 -0,5093 -0,2671 0,1813 0,7635 1,3908 1,9387 2,2485 2,2100 1,8708 1,4300 1,0986 0,9697 1,0067 1,1223 1,2468 1,3432 1,3995 1,4170 1,4036 1,3826 1,3944 1,4674 1,5955 1,7534 1,9208 2,0816 2,1901 2,1470 1,8593 1,3485 0,7598 0,2530 -0,0802 -0,2018 -0,0801 0,3031 0,9016 1,6056 2,3025 2,9043 3,3405 3,5794 3,6546 3,6433 3,6274 3,6801 3,8506 4,1308 4,4604 4,7737 5,0288 5,1816 5,1514 4,8397 4,1943 3,2619 2,1890 1,1685 0,3859 -0,0174 -0,0005 0,3488 0,8800 1,4758 2,0661 2,5952 3,0276 3,3665 3,6373 3,8618 4,0519 4,2061 4,2995 4,2943 4,1873 4,0280 3,8570 3,6504 3,3678 3,0451 2,8115 2,8101 3,0950 3,5991 4,1882 4,7248 5,1069 5,2960 5,3159 5,2156 5,0447 4,8470 4,6496 4,4726 4,3571 4,3680 4,5658 4,9513 5,4193 5,7850 5,8841 5,6871 5,3158 4,9118 4,4894 3,9491 3,2279 2,4010 1,6176 0,9727 0,4748 0,1083 -0,1372 -0,3119 -0,5290 -0,8986 -1,4579 -2,1674 -2,9221 -3,5586 -3,9113 -3,8936 -3,5279 -2,9184 -2,2070 -1,5193 -0,9179 -0,3961 0,1086 0,6936 1,4283 2,2658 3,0313 3,5241 3,6431 3,4319 3,0298 2,5954 2,2669 2,1536 2,3197 2,7562 3,3605 3,9610 4,3999 4,6035 4,5644 4,2883 3,7978 3,1868 2,6193 2,2416 2,1013 2,1428 2,2642 2,3766 2,4308 2,4255 2,4007 2,3910 2,3969 2,4220 2,5047 2,6715 2,8801 3,0306 3,0282 2,8558 2,6020 2,3993 2,3554 2,5516 3,0342 3,7641 4,6085 5,4013 6,0171 6,3898 6,4746 6,2225 5,6105 4,6856 3,5697 2,4323 1,4440 0,7254 0,3264 0,2301 0,3610 0,6267 0,9690 1,3588 1,7513 2,0538 2,1295 1,8548 1,2019 0,2654 -0,8043 -1,8727 -2,8163 -3,4958 -3,7812 -3,6201 -3,1062 -2,4797 -2,0072 -1,8130 -1,8277 -1,8967 -1,9071 -1,8237 -1,6654 -1,4825 -1,3474 -1,3347 -1,4775 -1,7363 -2,0033 -2,1446 -2,0819 -1,8526 -1,5628 -1,2963 -1,0897 -0,9374 -0,8046 -0,6903 -0,6512 -0,7389 -0,9608 -1,2932 -1,6878 -2,0640 -2,3294 -2,4279 -2,3631 -2,2113 -2,1230 -2,2291 -2,5437 -3,0116 -3,5975 -4,2719 -4,9557 -5,5156 -5,8114 -5,7657 -5,4016 -4,8197 -4,1310 -3,4112 -2,7228 -2,1599 -1,8389 -1,8440 -2,1917 -2,8335 -3,6592 -4,5064 -5,2111 -5,6629 -5,8323 -5,7673 -5,5484 -5,2139 -4,7249 -4,0267 -3,1418 -2,1891 -1,3114 -0,5685 0,1098 0,8417 1,6648 2,5081 3,2385 3,6579 3,5381 2,8458 1,9077 1,2074 1,0484 1,4166 2,0445 2,6105 2,9258 2,9298 2,5963 1,9163 0,9482 -0,1578 -1,2257 -2,1321 -2,7789 -3,0343 -2,8100 -2,2094 -1,5307 -1,0965 -1,0569 -1,3061 -1,5754 -1,6278 -1,3728 -0,8316 -0,0706 0,8197 1,7544
Fz    2,3342 2,0296 1,7232 1,4881 1,3574 1,3139 1,3168 1,3375 1,3680 1,4086 1,4593 1,5222 1,6007 1,6943 1,7981 1,9071 2,0210 2,1490 2,3062 2,5011 2,7238 2,9478 3,1393 3,2556 3,2403 3,0355 2,6054 1,9588 1,1492 0,2550 -0,6360 -1,4399 -2,0974 -2,5897 -2,9315 -3,1428 -3,2278 -3,1873 -3,0553 -2,9164 -2,8741 -2,9906 -3,2435 -3,5330 -3,7410 -3,7968 -3,7020 -3,5073 -3,2756 -3,0587 -2,8902 -2,7789 -2,7100 -2,6498 -2,5491 -2,3600 -2,0725 -1,7358 -1,4398 -1,2704 -1,2746 -1,4571 -1,7951 -2,2516 -2,7827 -3,3427 -3,8772 -4,3243 -4,6423 -4,8344 -4,9304 -4,9565 -4,9307 -4,8713 -4,7944 -4,7115 -4,6348 -4,5729 -4,5164 -4,4400 -4,3260 -4,1795 -4,0132 -3,8276 -3,6170 -3,3951 -3,1963 -3,0389 -2,9058 -2,7737 -2,6495 -2,5684 -2,5648 -2,6404 -2,7497 -2,8184 -2,7866 -2,6432 -2,4229 -2,1850 -1,9919 -1,8850 -1,8650 -1,9036 -1,9815 -2,1064 -2,2931 -2,5392 -2,8217 -3,1076 -3,3608 -3,5403 -3,6012 -3,5015 -3,2136 -2,7461 -2,1625 -1,5605 -1,0192 -0,5649 -0,1696 0,2218 0,6495 1,1119 1,5678 1,9576 2,2268 2,3383 2,2805 2,0775 1,7789 1,4284 1,0461 0,6343 0,1940 -0,2579 -0,6790 -1,0054 -1,1746 -1,1612 -0,9979 -0,7596 -0,5198 -0,3037 -0,0752 0,2235 0,6155 1,0730 1,5477 2,0099 2,4669 2,9519 3,4951 4,0925 4,6894 5,1993 5,5512 5,7211 5,7118 5,5207 5,1409 4,5835 3,8885 3,1156 2,3227 1,5504 0,8197 0,1326 -0,5273 -1,1829 -1,8374 -2,4612 -3,0037 -3,4133 -3,6510 -3,7011 -3,5864 -3,3781 -3,1725 -3,0393 -2,9978 -3,0373 -3,1329 -3,2433 -3,3296 -3,3908 -3,4658 -3,5927 -3,7756 -3,9969 -4,2517 -4,5558 -4,9281 -5,3697 -5,8570 -6,3479 -6,7940 -7,1493 -7,3742 -7,4436 -7,3666 -7,1930 -6,9857 -6,7831 -6,5882 -6,3810 -6,1300 -5,8044 -5,3969 -4,9402 -4,4912 -4,0965 -3,7713 -3,5028 -3,2744 -3,0914 -2,9862 -2,9995 -3,1583 -3,4593 -3,8600 -4,2929 -4,6994 -5,0462 -5,3173 -5,5208 -5,6991 -5,9000 -6,1397 -6,4095 -6,7072 -7,0411 -7,3976 -7,7134 -7,9009 -7,9131 -7,7752 -7,5662 -7,3716 -7,2339 -7,1361 -7,0321 -6,8854 -6,6829 -6,4258 -6,1265 -5,8144 -5,5408 -5,3734 -5,3756 -5,5714 -5,9336 -6,4124 -6,9586 -7,5129 -7,9999 -8,3514 -8,5236 -8,5078 -8,3382 -8,0724 -7,7532 -7,3935 -6,9884 -6,5337 -6,0415 -5,5448 -5,0889 -4,7134 -4,4299 -4,2097 -4,0036 -3,7848 -3,5624 -3,3527 -3,1512 -2,9390 -2,7084 -2,4699 -2,2346 -2,0103 -1,8210 -1,7101 -1,7084 -1,8109 -1,9901 -2,2140 -2,4434 -2,6269 -2,7144 -2,6792 -2,5279 -2,2908 -2,0027 -1,6923 -1,3897 -1,1444 -1,0230 -1,0648 -1,2292 -1,4045 -1,4798 -1,4148 -1,2472 -1,0475 -0,8711 -0,7433 -0,6676 -0,6453 -0,6878 -0,8059 -0,9914 -1,2188 -1,4606 -1,6926 -1,8924 -2,0471 -2,1716 -2,3125 -2,5165 -2,7858 -3,0684 -3,2927 -3,4088 -3,3968 -3,2491 -2,9696 -2,5937 -2,1823 -1,7836 -1,4173 -1,0933 -0,8227 -0,6074 -0,4363 -0,2890 -0,1353 0,0552 0,2831 0,5110 0,6917 0,7960 0,8097 0,7163 0,4962 0,1407 -0,3367 -0,9008 -1,4973 -2,0466 -2,4536 -2,6549 -2,6624 -2,5417 -2,3575 -2,1584 -1,9909 -1,8957 -1,8862 -1,9386 -2,0051 -2,0382 -2,0117 -1,9310 -1,8241 -1,7152 -1,6089 -1,5095 -1,4457 -1,4560 -1,5470 -1,6704 -1,7454 -1,7100 -1,5572 -1,3356 -1,1281 -1,0169 -1,0431 -1,1908 -1,4137 -1,6676 -1,9174 -2,1312 -2,2726 -2,3027 -2,2028 -1,9934 -1,7395 -1,5403 -1,4969 -1,6688 -2,0394 -2,5160 -2,9825 -3,3703 -3,6744 -3,9057 -4,0472 -4,0753 -4,0072 -3,8989 -3,7928 -3,6896 -3,5766 -3,4677 -3,4052 -3,4331 -3,5706 -3,7899 -4,0158 -4,1619 -4,1744 -4,0443 -3,7979 -3,4821 -3,1430 -2,8082 -2,4847 -2,1624 -1,8188 -1,4433 -1,0683 -0,7668 -0,6140 -0,6452 -0,8417 -1,1462 -1,4927 -1,8265 -2,1065 -2,3022 -2,4019 -2,4281 -2,4330 -2,4638 -2,5339 -2,6368 -2,7823 -2,9970 -3,2859 -3,6051 -3,8844 -4,0767 -4,1825 -4,2365 -4,2768 -4,3275 -4,3908 -4,4487 -4,4857 -4,5085 -4,5293 -4,5397 -4,5215 -4,4759 -4,4225 -4,3728 -4,3103 -4,1917 -3,9719 -3,6297 -3,1739 -2,6420 -2,1027 -1,6441 -1,3444 -1,2424 -1,3329 -1,5847 -1,9577 -2,4114 -2,9110 -3,4233 -3,9058 -4,3142 -4,6213 -4,8256 -4,9517 -5,0466 -5,1528 -5,2789 -5,4113 -5,5452 -5,6956 -5,8880 -6,1383 -6,4340 -6,7376 -7,0167 -7,2614 -7,4666 -7,6064 -7,6328 -7,5017 -7,2104 -6,8116 -6,3832 -5,9801 -5,6125 -5,2683 -4,9486 -4,6770 -4,4866 -4,4033 -4,4377 -4,5803 -4,8034 -5,0734 -5,3628 -5,6467 -5,9004 -6,1139 -6,2932 -6,4447 -6,5759 -6,6941 -6,7913 -6,8563 -6,8955 -6,9285 -6,9808 -7,0836 -7,2635 -7,5210 -7,8186 -8,0907 -8,2702 -8,3352 -8,3400 -8,3715 -8,4809 -8,6799 -8,9683 -9,3353 -9,7442 -10,1293 -10,4175 -10,5675 -10,5916 -10,5423 -10,4813 -10,4564 -10,5015 -10,6456 -10,9105 -11,3021 -11,8059 -12,3870 -12,9831 -13,5101 -13,8929 -14,0921 -14,1064 -13,9610 -13,6874 -13,2966 -12,7690 -12,0831 -11,2617 -10,3827 -9,5327 -8,7479 -7,9984 -7,2350 -6,4504 -5,6902 -5,0269 -4,5466 -4,3316 -4,3939 -4,6273 -4,8663 -4,9906 -4,9735 -4,8686 -4,7641 -4,7304 -4,8043 -5,0037 -5,3335 -5,7750 -6,2826 -6,8096 -7,3283 -7,8052 -8,1703 -8,3430 -8,2978 -8,0942 -7,8438 -7,6474 -7,5419 -7,4855 -7,3881 -7,1663 -6,7802 -6,2384 -5,5821 -4,8528
F3    2,0744 1,7047 1,3120 0,9727 0,7215 0,5439 0,4048 0,2910 0,2182 0,2031 0,2422 0,3169 0,4070 0,5008 0,6032 0,7288 0,8878 1,0811 1,3089 1,5774 1,8938 2,2524 2,6212 2,9376 3,1216 3,0994 2,8240 2,2942 1,5592 0,7085 -0,1437 -0,8843 -1,4396 -1,7956 -1,9810 -2,0322 -1,9716 -1,8209 -1,6294 -1,4815 -1,4695 -1,6449 -1,9793 -2,3683 -2,6880 -2,8658 -2,9045 -2,8535 -2,7683 -2,6905 -2,6480 -2,6562 -2,7132 -2,7941 -2,8462 -2,8082 -2,6522 -2,4154 -2,1877 -2,0601 -2,0838 -2,2698 -2,6056 -3,0578 -3,5748 -4,1003 -4,5812 -4,9623 -5,2036 -5,3052 -5,3005 -5,2308 -5,1342 -5,0386 -4,9528 -4,8708 -4,7873 -4,6995 -4,5908 -4,4313 -4,2014 -3,9098 -3,5827 -3,2392 -2,8879 -2,5501 -2,2693 -2,0768 -1,9599 -1,8829 -1,8312 -1,8232 -1,8814 -1,9995 -2,1333 -2,2220 -2,2226 -2,1297 -1,9698 -1,7910 -1,6517 -1,5942 -1,6148 -1,6699 -1,7240 -1,7805 -1,8640 -1,9928 -2,1691 -2,3753 -2,5686 -2,6871 -2,6735 -2,4937 -2,1400 -1,6354 -1,0425 -0,4474 0,0782 0,5018 0,8345 1,1149 1,3768 1,6261 1,8409 1,9833 2,0161 1,9140 1,6743 1,3306 0,9457 0,5803 0,2669 0,0040 -0,2373 -0,4914 -0,7674 -1,0284 -1,2104 -1,2703 -1,2136 -1,0831 -0,9238 -0,7436 -0,5077 -0,1823 0,2212 0,6550 1,0746 1,4667 1,8528 2,2747 2,7710 3,3535 3,9847 4,5800 5,0514 5,3487 5,4510 5,3404 5,0072 4,4712 3,7904 3,0500 2,3375 1,7131 1,1944 0,7576 0,3506 -0,0854 -0,5834 -1,1293 -1,6704 -2,1413 -2,4817 -2,6482 -2,6371 -2,5052 -2,3475 -2,2383 -2,2004 -2,2258 -2,2966 -2,3878 -2,4806 -2,5874 -2,7452 -2,9760 -3,2659 -3,5856 -3,9198 -4,2718 -4,6515 -5,0646 -5,5041 -5,9483 -6,3659 -6,7186 -6,9609 -7,0541 -6,9961 -6,8357 -6,6403 -6,4533 -6,2796 -6,0959 -5,8632 -5,5399 -5,1099 -4,6107 -4,1187 -3,6996 -3,3730 -3,1213 -2,9229 -2,7830 -2,7371 -2,8302 -3,0872 -3,4886 -3,9657 -4,4287 -4,8147 -5,1024 -5,2921 -5,4060 -5,5038 -5,6541 -5,8841 -6,1791 -6,5179 -6,8839 -7,2386 -7,5000 -7,5804 -7,4567 -7,1912 -6,8906 -6,6476 -6,4968 -6,4127 -6,3472 -6,2638 -6,1429 -5,9692 -5,7368 -5,4693 -5,2250 -5,0778 -5,0849 -5,2548 -5,5428 -5,8874 -6,2446 -6,5829 -6,8704 -7,0793 -7,1869 -7,1809 -7,0683 -6,8623 -6,5622 -6,1598 -5,6600 -5,0908 -4,5038 -3,9648 -3,5352 -3,2507 -3,0987 -3,0162 -2,9310 -2,8153 -2,6913 -2,5842 -2,4826 -2,3457 -2,1443 -1,8844 -1,5951 -1,3123 -1,0830 -0,9633 -0,9902 -1,1602 -1,4405 -1,7890 -2,1560 -2,4804 -2,7034 -2,7860 -2,7189 -2,5207 -2,2301 -1,8983 -1,5848 -1,3593 -1,2903 -1,3994 -1,6186 -1,8152 -1,8770 -1,7771 -1,5693 -1,3369 -1,1491 -1,0431 -1,0242 -1,0839 -1,2179 -1,4213 -1,6721 -1,9352 -2,1784 -2,3768 -2,5087 -2,5658 -2,5761 -2,6090 -2,7383 -2,9858 -3,2984 -3,5835 -3,7658 -3,8101 -3,7003 -3,4304 -3,0267 -2,5511 -2,0682 -1,6263 -1,2654 -1,0168 -0,8888 -0,8589 -0,8819 -0,9043 -0,8814 -0,7938 -0,6500 -0,4754 -0,3001 -0,1579 -0,0947 -0,1649 -0,4103 -0,8357 -1,3958 -2,0021 -2,5387 -2,8916 -3,0001 -2,8911 -2,6508 -2,3689 -2,1205 -1,9711 -1,9595 -2,0729 -2,2516 -2,4220 -2,5280 -2,5437 -2,4743 -2,3479 -2,1945 -2,0317 -1,8799 -1,7818 -1,7850 -1,8951 -2,0500 -2,1489 -2,1172 -1,9496 -1,7048 -1,4752 -1,3494 -1,3735 -1,5353 -1,7896 -2,0871 -2,3823 -2,6305 -2,7870 -2,8141 -2,6984 -2,4586 -2,1482 -1,8579 -1,6951 -1,7359 -1,9823 -2,3578 -2,7609 -3,1356 -3,4865 -3,8239 -4,1148 -4,3069 -4,3868 -4,3910 -4,3575 -4,2935 -4,2005 -4,1098 -4,0740 -4,1349 -4,3022 -4,5430 -4,7863 -4,9528 -4,9907 -4,8853 -4,6508 -4,3227 -3,9463 -3,5560 -3,1643 -2,7631 -2,3338 -1,8721 -1,4184 -1,0559 -0,8675 -0,8874 -1,0873 -1,3989 -1,7495 -2,0814 -2,3492 -2,5155 -2,5672 -2,5356 -2,4907 -2,5013 -2,5989 -2,7870 -3,0703 -3,4555 -3,9182 -4,3881 -4,7802 -5,0430 -5,1758 -5,2123 -5,1965 -5,1717 -5,1650 -5,1746 -5,1833 -5,1827 -5,1663 -5,1122 -4,9936 -4,8094 -4,5931 -4,3904 -4,2221 -4,0613 -3,8512 -3,5401 -3,0972 -2,5291 -1,8984 -1,3151 -0,8955 -0,7128 -0,7782 -1,0607 -1,5122 -2,0735 -2,6775 -3,2579 -3,7544 -4,1194 -4,3295 -4,3903 -4,3378 -4,2325 -4,1324 -4,0632 -4,0223 -4,0048 -4,0229 -4,1132 -4,3199 -4,6560 -5,0858 -5,5572 -6,0342 -6,4785 -6,8177 -6,9597 -6,8467 -6,5075 -6,0570 -5,6320 -5,3091 -5,0762 -4,8783 -4,6790 -4,4835 -4,3296 -4,2655 -4,3255 -4,5147 -4,8117 -5,1809 -5,5774 -5,9466 -6,2405 -6,4409 -6,5521 -6,5888 -6,5869 -6,5892 -6,6040 -6,6073 -6,5788 -6,5181 -6,4489 -6,4111 -6,4308 -6,4956 -6,5658 -6,6032 -6,5892 -6,5477 -6,5602 -6,7134 -7,0286 -7,4616 -7,9476 -8,4324 -8,8795 -9,2578 -9,5343 -9,6911 -9,7423 -9,7306 -9,7022 -9,6809 -9,6806 -9,7362 -9,9056 -10,2409 -10,7657 -11,4588 -12,2286 -12,9251 -13,4187 -13,6618 -13,6771 -13,5190 -13,2481 -12,9061 -12,4851 -11,9360 -11,2253 -10,3778 -9,4605 -8,5311 -7,5998 -6,6483 -5,6963 -4,8294 -4,1599 -3,7950 -3,8258 -4,2457 -4,8610 -5,3780 -5,6063 -5,5540 -5,3653 -5,1943 -5,1129 -5,1244 -5,2275 -5,4332 -5,7347 -6,0952 -6,4740 -6,8441 -7,1656 -7,3633 -7,3676 -7,1862 -6,9238 -6,7198 -6,6569 -6,7099 -6,7713 -6,7239 -6,4991 -6,0927 -5,5511 -4,9375 -4,2866
F7    2,4103 2,1083 1,7039 1,2725 0,8674 0,5100 0,2131 0,0016 -0,1016 -0,1072 -0,0628 -0,0203 -0,0063 -0,0202 -0,0440 -0,0492 -0,0115 0,0710 0,1872 0,3466 0,5878 0,9426 1,3914 1,8524 2,2137 2,3784 2,2909 1,9469 1,3958 0,7282 0,0524 -0,5403 -1,0041 -1,3309 -1,5194 -1,5544 -1,4214 -1,1435 -0,7986 -0,4983 -0,3510 -0,4255 -0,7177 -1,1417 -1,5739 -1,9178 -2,1395 -2,2607 -2,3271 -2,3837 -2,4706 -2,6239 -2,8648 -3,1759 -3,4840 -3,6859 -3,7147 -3,5924 -3,4225 -3,3268 -3,3862 -3,6219 -4,0016 -4,4516 -4,8871 -5,2507 -5,5156 -5,6564 -5,6441 -5,4735 -5,1787 -4,8231 -4,4769 -4,1942 -3,9958 -3,8735 -3,8076 -3,7700 -3,7136 -3,5812 -3,3382 -2,9957 -2,5983 -2,1908 -1,7987 -1,4374 -1,1249 -0,8797 -0,7115 -0,6270 -0,6378 -0,7533 -0,9606 -1,2170 -1,4696 -1,6808 -1,8370 -1,9398 -1,9961 -2,0221 -2,0508 -2,1162 -2,2140 -2,2974 -2,3260 -2,3033 -2,2584 -2,2231 -2,2278 -2,2861 -2,3720 -2,4296 -2,4064 -2,2661 -1,9817 -1,5474 -1,0009 -0,4130 0,1501 0,6492 1,0704 1,4114 1,6654 1,8218 1,8771 1,8334 1,6874 1,4258 1,0402 0,5534 0,0329 -0,4282 -0,7576 -0,9476 -1,0604 -1,1884 -1,3960 -1,6766 -1,9635 -2,1860 -2,3145 -2,3590 -2,3360 -2,2324 -2,0066 -1,6391 -1,1756 -0,7022 -0,2874 0,0489 0,3328 0,6165 0,9603 1,4116 1,9718 2,5811 3,1527 3,6135 3,9037 3,9737 3,8061 3,4279 2,9023 2,3204 1,7846 1,3756 1,1209 0,9871 0,8934 0,7416 0,4542 0,0042 -0,5857 -1,2596 -1,9353 -2,5113 -2,9076 -3,1170 -3,2035 -3,2447 -3,2927 -3,3749 -3,4968 -3,6360 -3,7622 -3,8712 -3,9856 -4,1255 -4,3005 -4,5208 -4,7986 -5,1408 -5,5451 -5,9862 -6,4091 -6,7504 -6,9726 -7,0736 -7,0711 -6,9914 -6,8760 -6,7839 -6,7596 -6,7948 -6,8307 -6,8008 -6,6665 -6,4188 -6,0739 -5,6781 -5,2906 -4,9512 -4,6691 -4,4351 -4,2397 -4,0866 -4,0008 -4,0197 -4,1643 -4,4115 -4,6935 -4,9376 -5,1128 -5,2298 -5,3083 -5,3779 -5,5005 -5,7474 -6,1467 -6,6706 -7,2614 -7,8487 -8,3477 -8,6666 -8,7469 -8,6078 -8,3409 -8,0589 -7,8345 -7,6674 -7,5131 -7,3469 -7,1815 -7,0238 -6,8442 -6,6074 -6,3277 -6,0750 -5,9311 -5,9389 -6,0760 -6,2660 -6,4320 -6,5444 -6,6213 -6,7008 -6,8081 -6,9269 -7,0060 -6,9956 -6,8637 -6,5953 -6,1977 -5,6993 -5,1440 -4,5878 -4,0904 -3,7035 -3,4564 -3,3347 -3,2784 -3,2248 -3,1595 -3,1146 -3,1167 -3,1439 -3,1335 -3,0305 -2,8304 -2,5802 -2,3480 -2,2049 -2,2153 -2,4202 -2,8231 -3,3911 -4,0631 -4,7549 -5,3696 -5,8197 -6,0471 -6,0311 -5,7915 -5,3864 -4,9031 -4,4454 -4,1229 -4,0246 -4,1635 -4,4425 -4,6995 -4,8017 -4,7066 -4,4559 -4,1303 -3,8060 -3,5327 -3,3297 -3,1950 -3,1250 -3,1247 -3,2036 -3,3666 -3,6019 -3,8678 -4,1018 -4,2555 -4,3294 -4,3792 -4,4829 -4,6828 -4,9479 -5,1897 -5,3204 -5,2954 -5,1078 -4,7745 -4,3450 -3,8961 -3,4985 -3,1964 -3,0148 -2,9588 -2,9989 -3,0683 -3,0972 -3,0542 -2,9501 -2,8039 -2,6149 -2,3703 -2,0688 -1,7418 -1,4616 -1,3228 -1,4020 -1,7221 -2,2354 -2,8325 -3,3715 -3,7261 -3,8364 -3,7231 -3,4529 -3,1012 -2,7458 -2,4645 -2,3043 -2,2496 -2,2372 -2,2087 -2,1436 -2,0454 -1,9120 -1,7339 -1,5112 -1,2633 -1,0305 -0,8736 -0,8542 -0,9887 -1,2178 -1,4336 -1,5469 -1,5352 -1,4340 -1,3021 -1,1974 -1,1601 -1,1992 -1,3008 -1,4475 -1,6189 -1,7824 -1,8946 -1,9195 -1,8434 -1,6697 -1,4148 -1,1220 -0,8633 -0,7119 -0,7024 -0,8170 -1,0189 -1,2968 -1,6625 -2,1073 -2,5747 -2,9885 -3,3097 -3,5518 -3,7390 -3,8786 -3,9886 -4,1179 -4,3092 -4,5538 -4,7997 -4,9915 -5,0895 -5,0732 -4,9481 -4,7410 -4,4795 -4,1861 -3,8842 -3,5848 -3,2702 -2,9013 -2,4446 -1,9038 -1,3441 -0,8802 -0,6211 -0,6103 -0,8059 -1,1090 -1,4144 -1,6480 -1,7708 -1,7704 -1,6648 -1,5114 -1,3947 -1,3843 -1,5002 -1,7273 -2,0541 -2,4815 -2,9913 -3,5190 -3,9742 -4,2857 -4,4319 -4,4374 -4,3570 -4,2575 -4,1912 -4,1748 -4,2015 -4,2718 -4,3985 -4,5824 -4,7934 -4,9722 -5,0505 -4,9740 -4,7118 -4,2581 -3,6410 -2,9216 -2,1749 -1,4758 -0,8974 -0,5118 -0,3775 -0,5055 -0,8392 -1,2912 -1,7966 -2,3202 -2,8280 -3,2744 -3,6117 -3,8116 -3,8845 -3,8785 -3,8615 -3,8986 -4,0279 -4,2481 -4,5284 -4,8274 -5,1069 -5,3479 -5,5602 -5,7677 -5,9806 -6,1898 -6,3709 -6,4760 -6,4402 -6,2192 -5,8191 -5,3012 -4,7712 -4,3534 -4,1451 -4,1709 -4,3768 -4,6733 -4,9956 -5,3376 -5,7257 -6,1658 -6,6258 -7,0574 -7,4291 -7,7333 -7,9660 -8,1148 -8,1739 -8,1428 -8,0149 -7,7950 -7,5040 -7,1487 -6,7310 -6,2897 -5,9033 -5,6585 -5,6166 -5,7828 -6,1032 -6,5000 -6,9062 -7,2751 -7,5866 -7,8401 -8,0116 -8,0485 -7,9446 -7,7851 -7,6858 -7,7034 -7,8150 -7,9588 -8,0797 -8,1519 -8,1830 -8,1964 -8,2132 -8,2517 -8,3336 -8,4809 -8,7124 -9,0404 -9,4523 -9,8849 -10,2366 -10,4255 -10,4290 -10,2820 -10,0680 -9,8963 -9,8410 -9,8798 -9,9016 -9,7947 -9,5265 -9,1424 -8,7105 -8,2852 -7,9178 -7,6670 -7,5689 -7,6047 -7,7198 -7,8519 -7,9123 -7,7870 -7,4124 -6,8227 -6,1148 -5,4084 -4,8248 -4,4522 -4,3154 -4,3751 -4,5525 -4,7634 -4,9396 -5,0390 -5,0515 -4,9901 -4,8793 -4,7554 -4,6647 -4,6499 -4,7331 -4,9048 -5,1152 -5,2817 -5,3270 -5,2182 -4,9671 -4,6089 -4,1949 -3,7800
