Fp1   0,8578 0,4749 0,1717 -0,0228 -0,1125 -0,1196 -0,0685 0,0162 0,1027 0,1662 0,2203 0,3120 0,4688 0,6663 0,8354 0,8896 0,7729 0,5125 0,2038 -0,0681 -0,2696 -0,3891 -0,4044 -0,2921 -0,0589 0,2513 0,5776 0,8626 1,0570 1,1145 0,9769 0,5875 -0,0214 -0,6748 -1,1654 -1,4087 -1,4576 -1,4106 -1,3399 -1,2836 -1,2624 -1,2804 -1,3011 -1,2415 -1,0151 -0,5758 0,0738 0,8777 1,7216 2,4722 3,0317 3,3382 3,3574 3,1399 2,8488 2,6562 2,6184 2,6805 2,7767 2,8956 3,0523 3,2303 3,3739 3,4326 3,4085 3,3492 3,2862 3,1931 3,0279 2,7885 2,5051 2,2015 1,8772 1,5243 1,1553 0,8131 0,5454 0,3664 0,2643 0,2490 0,3557 0,6108 1,0243 1,5854 2,2359 2,8681 3,3642 3,6490 3,7221 3,6568 3,5733 3,5689 3,6428 3,7117 3,6942 3,5369 3,1846 2,6026 1,8543 1,1066 0,5167 0,1289 -0,1119 -0,2726 -0,3666 -0,3765 -0,3285 -0,3198 -0,4564 -0,7527 -1,0972 -1,3352 -1,3816 -1,2515 -1,0091 -0,7038 -0,3752 -0,1149 -0,0623 -0,3041 -0,8045 -1,4314 -2,0111 -2,3668 -2,3709 -1,9960 -1,3138 -0,4466 0,4809 1,3788 2,2043 2,9365 3,5447 4,0008 4,3344 4,6532 5,0812 5,6848 6,4602 7,3585 8,3059 9,2183 10,0194 10,6451 11,0391 11,1613 11,0136 10,6575 10,1952 9,7229 9,2897 8,8844 8,4576 7,9724 7,4415 6,9024 6,3634 5,7953 5,1792 4,5514 3,9994 3,6081 3,4113 3,3909 3,4969 3,6620 3,8296 3,9850 4,1613 4,4106 4,7542 5,1554 5,5416 5,8500 6,0423 6,0907 5,9765 5,7046 5,3122 4,8626 4,4273 4,0710 3,8496 3,8127 3,9942 4,3982 4,9968 5,7376 6,5518 7,3694 8,1308 8,7853 9,2985 9,6745 9,9608 10,2222 10,5161 10,8756 11,2942 11,7331 12,1539 12,5327 12,8431 13,0433 13,0897 12,9622 12,6788 12,2888 11,8531 11,4181 11,0014 10,6108 10,2737 10,0419 9,9659 10,0568 10,2591 10,4698 10,5983 10,6122 10,5356 10,4202 10,3143 10,2338 10,1532 10,0297 9,8318 9,5396 9,1370 8,6182 8,0056 7,3524 6,7264 6,1887 5,7714 5,4667 5,2446 5,0738 4,9203 4,7426 4,5041 4,1950 3,8499 3,5420 3,3461 3,2911 3,3403 3,4147 3,4422 3,3995 3,3180 3,2519 3,2370 3,2773 3,3632 3,4787 3,5910 3,6581 3,6591 3,6036 3,5071 3,3735 3,2179 3,0902 3,0581 3,1617 3,3888 3,6884 4,0124 4,3493 4,7125 5,0996 5,4789 5,8156 6,1020 6,3517 6,5687 6,7293 6,7949 6,7363 6,5514 6,2757 5,9844 5,7722 5,7099 5,8059 6,0035 6,2228 6,4123 6,5642 6,6871 6,7771 6,8143 6,7795 6,6745 6,5261 6,3689 6,2160 6,0469 5,8383 5,6093 5,4333 5,4051 5,5847 5,9561 6,4361 6,9172 7,3067 7,5471 7,6253 7,5708 7,4438 7,3195 7,2699 7,3377 7,5141 7,7423 7,9487 8,0759 8,1001 8,0207 7,8365 7,5449 7,1650 6,7532 6,3907 6,1522 6,0753 6,1516 6,3390 6,5754 6,7908 6,9299 6,9837 7,0008 7,0616 7,2279 7,5013 7,8283 8,1424 8,3979 8,5790 8,6987 8,7905 8,8941 9,0401 9,2400 9,4825 9,7350 9,9464 10,0551 10,0185 9,8444 9,5924 9,3438 9,1606 9,0659 9,0585 9,1366 9,2982 9,5150 9,7188 9,8286 9,7987 9,6452 9,4357 9,2560 9,1761 9,2227 9,3706 9,5656 9,7621 9,9411 10,1034 10,2612 10,4376 10,6542 10,9041 11,1365 11,2724 11,2397 11,0084 10,6113 10,1257 9,6311 9,1813 8,7961 8,4622 8,1442 7,8019 7,4158 7,0049 6,6196 6,3196 6,1492 6,1154 6,1861 6,3190 6,4926 6,7011 6,9280 7,1425 7,3190 7,4457 7,5167 7,5267 7,4781 7,3808 7,2391 7,0479 6,8175 6,5912 6,4251 6,3613 6,4232 6,6097 6,8840 7,1783 7,4166 7,5383 7,5077 7,3144 6,9786 6,5484 6,0766 5,5951 5,1066 4,5973 4,0652 3,5414 3,0762 2,6924 2,3623 2,0410 1,7074 1,3759 1,0882 0,9001 0,8568 0,9751 1,2397 1,6048 1,9969 2,3288 2,5223 2,5284 2,3375 1,9819 1,5240 1,0327 0,5690 0,1933 -0,0364 -0,0903 0,0244 0,2846 0,6580 1,0895 1,5205 1,9304 2,3377 2,7593 3,1837 3,5799 3,9260 4,2228 4,4809 4,6953 4,8387 4,8809 4,8121 4,6441 4,3925 4,0686 3,6885 3,2776 2,8677 2,4997 2,2248 2,0907 2,1257 2,3387 2,7215 3,2400 3,8257 4,3891 4,8522 5,1808 5,3871 5,4968 5,5188 5,4521 5,3079 5,1014 4,8218 4,4388 3,9538 3,4302 2,9678 2,6534 2,5320 2,6010 2,8284 3,1874 3,6783 4,3075 5,0476 5,8249 6,5382 7,0845 7,3801 7,3788 7,0896 6,5891 6,0109 5,5043 5,1808 5,0863 5,2031 5,4711 5,8136 6,1566 6,4409 6,6209 6,6542 6,5067 6,1746 5,6985 5,1567 4,6365 4,2002 3,8727 3,6542 3,5361 3,5033 3,5262 3,5645 3,5848 3,5738 3,5306 3,4449 3,2784 2,9741 2,4959 1,8588 1,1220 0,3620 -0,3538 -0,9786 -1,4764 -1,8087 -1,9390 -1,8499 -1,5609 -1,1283 -0,6200 -0,0852 0,4506 0,9755 1,4810 1,9566 2,3790 2,6997 2,8509 2,7828 2,5048 2,0916 1,6485 1,2620 0,9645 0,7332 0,5180 0,2778 0,0110 -0,2386 -0,4176 -0,5107 -0,5571 -0,6182 -0,7211 -0,8237 -0,8424 -0,7206 -0,4698 -0,1600 0,1090 0,2392 0,1719 -0,0836 -0,4596 -0,8793 -1,3005 -1,7185 -2,1399 -2,5591 -2,9552 -3,2990 -3,5582 -3,6982 -3,6911
Fz    1,1208 0,7901 0,4401 0,0755 -0,2877 -0,6245 -0,9060 -1,1093 -1,2240 -1,2570 -1,2223 -1,1202 -0,9389 -0,6806 -0,3846 -0,1205 0,0514 0,1151 0,0984 0,0437 -0,0188 -0,0757 -0,1170 -0,1318 -0,1247 -0,1239 -0,1592 -0,2297 -0,3037 -0,3541 -0,3889 -0,4394 -0,5183 -0,5949 -0,6193 -0,5624 -0,4342 -0,2671 -0,0891 0,0854 0,2469 0,3858 0,5079 0,6522 0,8694 1,1796 1,5630 1,9825 2,4056 2,8142 3,1953 3,5194 3,7483 3,8758 3,9443 4,0085 4,0890 4,1665 4,2208 4,2644 4,3262 4,4175 4,5288 4,6508 4,7875 4,9445 5,0997 5,1910 5,1481 4,9428 4,6020 4,1745 3,6958 3,1840 2,6618 2,1681 1,7414 1,3992 1,1437 0,9847 0,9482 1,0598 1,3225 1,7052 2,1437 2,5586 2,8829 3,0883 3,1951 3,2539 3,3117 3,3805 3,4299 3,4242 3,3636 3,2693 3,1383 2,9388 2,6489 2,2863 1,9033 1,5577 1,2860 1,0994 1,0000 0,9853 1,0226 1,0305 0,9130 0,6300 0,2262 -0,2125 -0,6210 -0,9764 -1,2791 -1,5292 -1,7298 -1,9160 -2,1570 -2,5072 -2,9566 -3,4285 -3,8090 -3,9832 -3,8752 -3,4750 -2,8341 -2,0418 -1,1962 -0,3676 0,4204 1,1699 1,8778 2,5380 3,1698 3,8280 4,5758 5,4476 6,4296 7,4669 8,4889 9,4354 10,2615 10,9267 11,3903 11,6286 11,6559 11,5252 11,3017 11,0307 10,7223 10,3571 9,9077 9,3701 8,7756 8,1685 7,5763 7,0072 6,4654 5,9665 5,5463 5,2474 5,0937 5,0736 5,1455 5,2574 5,3695 5,4668 5,5551 5,6530 5,7817 5,9477 6,1364 6,3264 6,5030 6,6553 6,7710 6,8419 6,8742 6,8883 6,9157 6,9960 7,1702 7,4641 7,8769 8,3871 8,9679 9,5906 10,2192 10,8135 11,3377 11,7668 12,0894 12,3096 12,4490 12,5396 12,6104 12,6787 12,7495 12,8212 12,8949 12,9769 13,0714 13,1703 13,2500 13,2758 13,2129 13,0363 12,7435 12,3617 11,9403 11,5286 11,1604 10,8507 10,5998 10,3980 10,2280 10,0645 9,8806 9,6592 9,4015 9,1224 8,8404 8,5663 8,2971 8,0185 7,7140 7,3714 6,9915 6,5978 6,2348 5,9476 5,7642 5,6958 5,7422 5,8802 6,0554 6,1981 6,2493 6,1707 5,9472 5,6000 5,1958 4,8279 4,5745 4,4673 4,4863 4,5776 4,6872 4,7913 4,8978 5,0239 5,1708 5,3174 5,4336 5,4964 5,4935 5,4281 5,3285 5,2418 5,2058 5,2308 5,3092 5,4317 5,5891 5,7669 5,9479 6,1158 6,2627 6,3951 6,5248 6,6480 6,7380 6,7638 6,7169 6,6134 6,4745 6,3087 6,1109 5,8747 5,6069 5,3298 5,0775 4,8886 4,7936 4,8000 4,8862 5,0114 5,1394 5,2523 5,3414 5,3920 5,3825 5,2986 5,1513 4,9799 4,8310 4,7240 4,6335 4,5144 4,3511 4,1795 4,0620 4,0405 4,1092 4,2273 4,3503 4,4499 4,5157 4,5515 4,5751 4,6206 4,7269 4,9161 5,1825 5,4970 5,8202 6,1154 6,3596 6,5454 6,6723 6,7355 6,7307 6,6712 6,5944 6,5516 6,5856 6,7116 6,9173 7,1785 7,4683 7,7568 8,0199 8,2541 8,4816 8,7447 9,0806 9,4874 9,9199 10,3231 10,6650 10,9413 11,1633 11,3502 11,5272 11,7181 11,9293 12,1413 12,3125 12,3923 12,3415 12,1542 11,8641 11,5305 11,2150 10,9620 10,7899 10,7029 10,7036 10,7864 10,9163 11,0246 11,0381 10,9157 10,6648 10,3324 9,9852 9,6846 9,4602 9,2992 9,1607 9,0016 8,7981 8,5561 8,3096 8,1070 7,9921 7,9788 8,0323 8,0767 8,0285 7,8378 7,5098 7,0940 6,6514 6,2286 5,8464 5,4983 5,1581 4,7995 4,4166 4,0331 3,6928 3,4402 3,3015 3,2690 3,3036 3,3569 3,3962 3,4099 3,3958 3,3546 3,2907 3,2096 3,1123 2,9939 2,8478 2,6711 2,4636 2,2273 1,9742 1,7320 1,5360 1,4218 1,4249 1,5725 1,8624 2,2540 2,6762 3,0479 3,3006 3,3942 3,3185 3,0820 2,7004 2,1917 1,5768 0,8840 0,1565 -0,5454 -1,1604 -1,6550 -2,0349 -2,3280 -2,5638 -2,7656 -2,9504 -3,1229 -3,2731 -3,3790 -3,4156 -3,3675 -3,2377 -3,0521 -2,8543 -2,6921 -2,6051 -2,6159 -2,7224 -2,8970 -3,0917 -3,2444 -3,2967 -3,2192 -3,0223 -2,7429 -2,4255 -2,1118 -1,8290 -1,5809 -1,3557 -1,1418 -0,9345 -0,7321 -0,5361 -0,3533 -0,1924 -0,0597 0,0400 0,1017 0,1229 0,1075 0,0645 0,0086 -0,0434 -0,0831 -0,1216 -0,1865 -0,3102 -0,5156 -0,8025 -1,1410 -1,4785 -1,7605 -1,9506 -2,0392 -2,0376 -1,9617 -1,8225 -1,6351 -1,4374 -1,2851 -1,2235 -1,2720 -1,4337 -1,6984 -2,0321 -2,3758 -2,6655 -2,8493 -2,8920 -2,7764 -2,5054 -2,0967 -1,5747 -0,9729 -0,3385 0,2744 0,8186 1,2558 1,5579 1,7147 1,7392 1,6641 1,5387 1,4215 1,3612 1,3795 1,4677 1,5960 1,7277 1,8307 1,8808 1,8555 1,7249 1,4579 1,0417 0,4921 -0,1497 -0,8296 -1,4986 -2,1164 -2,6392 -3,0221 -3,2426 -3,3186 -3,2995 -3,2427 -3,1956 -3,1914 -3,2579 -3,4287 -3,7369 -4,1879 -4,7517 -5,3786 -6,0110 -6,5871 -7,0515 -7,3629 -7,4926 -7,4272 -7,1751 -6,7696 -6,2628 -5,7099 -5,1538 -4,6216 -4,1293 -3,6898 -3,3175 -3,0269 -2,8354 -2,7635 -2,8227 -2,9996 -3,2515 -3,5156 -3,7324 -3,8679 -3,9213 -3,9234 -3,9227 -3,9550 -4,0216 -4,0992 -4,1657 -4,2153 -4,2579 -4,3097 -4,3789 -4,4572 -4,5316 -4,6024 -4,6893 -4,8242 -5,0362 -5,3294 -5,6749 -6,0265 -6,3451 -6,6133 -6,8319 -7,0099 -7,1523 -7,2496 -7,2790 -7,2195 -7,0603 -6,7995
F3    0,5541 0,1459 -0,2007 -0,4906 -0,7309 -0,9228 -1,0555 -1,1042 -1,0406 -0,8593 -0,5865 -0,2544 0,1136 0,4881 0,8148 1,0226 1,0640 0,9521 0,7534 0,5426 0,3639 0,2274 0,1330 0,0846 0,0790 0,0907 0,0842 0,0417 -0,0283 -0,1104 -0,2074 -0,3368 -0,5003 -0,6643 -0,7796 -0,8195 -0,7950 -0,7366 -0,6680 -0,5997 -0,5366 -0,4766 -0,3944 -0,2328 0,0642 0,5047 1,0383 1,5777 2,0326 2,3590 2,5830 2,7590 2,9191 3,0760 3,2440 3,4282 3,5981 3,6964 3,6874 3,5899 3,4559 3,3292 3,2342 3,1880 3,2058 3,2911 3,4173 3,5251 3,5549 3,4852 3,3307 3,1127 2,8389 2,5089 2,1386 1,7725 1,4641 1,2493 1,1396 1,1361 1,2420 1,4611 1,7848 2,1794 2,5846 2,9318 3,1725 3,3006 3,3534 3,3864 3,4347 3,4804 3,4625 3,3404 3,1354 2,8943 2,6333 2,3354 1,9912 1,6277 1,2983 1,0552 0,9255 0,9079 0,9893 1,1444 1,3093 1,3737 1,2252 0,8260 0,2530 -0,3466 -0,8518 -1,2197 -1,4647 -1,6153 -1,7043 -1,7954 -1,9873 -2,3510 -2,8629 -3,4120 -3,8581 -4,0854 -4,0341 -3,7133 -3,1881 -2,5472 -1,8648 -1,1751 -0,4727 0,2565 1,0085 1,7683 2,5343 3,3232 4,1531 5,0365 5,9789 6,9694 7,9749 8,9516 9,8554 10,6386 11,2491 11,6497 11,8413 11,8628 11,7659 11,5875 11,3385 11,0078 10,5774 10,0479 9,4498 8,8211 8,1794 7,5282 6,8848 6,2955 5,8271 5,5384 5,4475 5,5196 5,6791 5,8392 5,9357 5,9455 5,8862 5,8045 5,7534 5,7619 5,8225 5,9055 5,9847 6,0483 6,0918 6,1103 6,1014 6,0714 6,0370 6,0268 6,0781 6,2226 6,4698 6,8066 7,2087 7,6441 8,0728 8,4577 8,7794 9,0342 9,2242 9,3560 9,4430 9,5037 9,5557 9,6115 9,6770 9,7521 9,8378 9,9403 10,0640 10,2006 10,3239 10,3976 10,3880 10,2736 10,0549 9,7631 9,4501 9,1645 8,9363 8,7764 8,6800 8,6316 8,6125 8,6023 8,5773 8,5188 8,4247 8,3083 8,1841 8,0543 7,9052 7,7121 7,4484 7,0947 6,6514 6,1509 5,6518 5,2111 4,8611 4,6119 4,4622 4,3961 4,3756 4,3482 4,2654 4,0961 3,8341 3,5062 3,1730 2,9096 2,7721 2,7737 2,8798 3,0222 3,1357 3,1965 3,2323 3,2911 3,3949 3,5213 3,6255 3,6713 3,6413 3,5405 3,4025 3,2820 3,2259 3,2489 3,3399 3,4822 3,6634 3,8734 4,1018 4,3376 4,5728 4,8052 5,0286 5,2173 5,3276 5,3260 5,2154 5,0328 4,8215 4,6085 4,3988 4,1883 3,9815 3,7983 3,6680 3,6179 3,6586 3,7776 3,9421 4,1118 4,2567 4,3676 4,4477 4,4961 4,4997 4,4438 4,3334 4,2009 4,0878 4,0091 3,9346 3,8156 3,6363 3,4378 3,2915 3,2530 3,3334 3,5051 3,7249 3,9523 4,1558 4,3147 4,4280 4,5208 4,6318 4,7882 4,9910 5,2208 5,4502 5,6547 5,8170 5,9267 5,9750 5,9507 5,8491 5,6877 5,5095 5,3723 5,3296 5,4101 5,6103 5,9042 6,2543 6,6158 6,9468 7,2283 7,4778 7,7445 8,0758 8,4757 8,8983 9,2844 9,5958 9,8235 9,9806 10,0962 10,2107 10,3606 10,5577 10,7837 10,9994 11,1532 11,1950 11,1025 10,8995 10,6452 10,4065 10,2312 10,1403 10,1370 10,2169 10,3629 10,5313 10,6519 10,6574 10,5169 10,2470 9,8976 9,5321 9,2072 8,9543 8,7712 8,6306 8,4994 8,3566 8,2020 8,0544 7,9463 7,9096 7,9515 8,0383 8,1045 8,0806 7,9233 7,6339 7,2547 6,8461 6,4624 6,1337 5,8603 5,6185 5,3791 5,1281 4,8769 4,6552 4,4920 4,3980 4,3578 4,3371 4,3035 4,2441 4,1669 4,0902 4,0333 4,0092 4,0179 4,0456 4,0714 4,0732 4,0306 3,9262 3,7549 3,5371 3,3177 3,1474 3,0669 3,1058 3,2767 3,5606 3,9056 4,2404 4,4938 4,6118 4,5683 4,3630 4,0136 3,5479 2,9984 2,3981 1,7784 1,1732 0,6244 0,1730 -0,1634 -0,3995 -0,5702 -0,7132 -0,8592 -1,0225 -1,1899 -1,3244 -1,3856 -1,3497 -1,2188 -1,0192 -0,7958 -0,6021 -0,4872 -0,4868 -0,6176 -0,8699 -1,2055 -1,5648 -1,8749 -2,0678 -2,1046 -1,9844 -1,7321 -1,3878 -1,0015 -0,6169 -0,2554 0,0799 0,3890 0,6672 0,9060 1,0943 1,2204 1,2782 1,2728 1,2198 1,1380 1,0449 0,9564 0,8843 0,8360 0,8145 0,8141 0,8184 0,8041 0,7499 0,6422 0,4817 0,2861 0,0877 -0,0778 -0,1851 -0,2287 -0,2165 -0,1582 -0,0613 0,0596 0,1704 0,2269 0,1982 0,0737 -0,1466 -0,4499 -0,7982 -1,1319 -1,3942 -1,5480 -1,5748 -1,4690 -1,2348 -0,8829 -0,4292 0,1013 0,6710 1,2383 1,7681 2,2285 2,5871 2,8207 2,9268 2,9271 2,8663 2,8006 2,7772 2,8197 2,9244 3,0653 3,2067 3,3156 3,3681 3,3425 3,2099 2,9409 2,5248 1,9806 1,3542 0,7073 0,0955 -0,4443 -0,8863 -1,2109 -1,4139 -1,5145 -1,5462 -1,5416 -1,5265 -1,5203 -1,5429 -1,6259 -1,8088 -2,1112 -2,5161 -2,9830 -3,4654 -3,9153 -4,2862 -4,5370 -4,6371 -4,5729 -4,3552 -4,0210 -3,6223 -3,2057 -2,8018 -2,4258 -2,0818 -1,7708 -1,4985 -1,2769 -1,1240 -1,0599 -1,0933 -1,2097 -1,3698 -1,5196 -1,6105 -1,6202 -1,5631 -1,4859 -1,4458 -1,4793 -1,5850 -1,7394 -1,9194 -2,1136 -2,3190 -2,5330 -2,7421 -2,9233 -3,0624 -3,1689 -3,2745 -3,4224 -3,6516 -3,9739 -4,3659 -4,7871 -5,2044 -5,6009 -5,9698 -6,3055 -6,5956 -6,8171 -6,9425 -6,9552 -6,8589 -6,6722
F7    3,5603 3,0357 2,3648 1,6602 1,0586 0,7112 0,6910 0,9164 1,2158 1,4550 1,5890 1,6458 1,6847 1,7474 1,8303 1,8823 1,8230 1,5890 1,1852 0,6863 0,1957 -0,1971 -0,4369 -0,5004 -0,3906 -0,1464 0,1480 0,3775 0,4499 0,3411 0,0798 -0,2871 -0,6898 -1,0300 -1,2353 -1,3175 -1,3490 -1,3834 -1,4111 -1,3935 -1,3307 -1,2854 -1,3407 -1,5477 -1,9093 -2,3780 -2,8490 -3,1821 -3,2643 -3,0690 -2,6735 -2,2188 -1,8270 -1,5533 -1,4131 -1,4110 -1,5223 -1,6882 -1,8542 -1,9855 -2,0484 -2,0082 -1,8502 -1,5886 -1,2649 -0,9467 -0,7209 -0,6603 -0,7774 -1,0168 -1,3032 -1,5886 -1,8719 -2,1898 -2,5794 -3,0397 -3,5277 -3,9803 -4,3423 -4,5884 -4,7245 -4,7683 -4,7328 -4,6229 -4,4342 -4,1535 -3,7836 -3,3842 -3,0684 -2,9252 -2,9559 -3,1089 -3,3370 -3,5805 -3,7541 -3,8209 -3,8438 -3,9138 -4,0630 -4,2839 -4,5788 -4,9503 -5,3805 -5,8281 -6,2253 -6,5016 -6,6279 -6,6153 -6,4678 -6,1858 -5,8264 -5,5141 -5,3742 -5,4620 -5,7452 -6,1328 -6,5292 -6,9154 -7,3777 -8,0042 -8,7624 -9,5193 -10,1413 -10,5373 -10,6470 -10,4486 -9,9824 -9,3368 -8,6028 -7,8556 -7,1576 -6,5500 -6,0437 -5,6080 -5,1630 -4,6124 -3,8975 -3,0256 -2,0493 -1,0255 -0,0046 0,9530 1,7763 2,4047 2,8021 2,9643 2,9174 2,7011 2,3550 1,9263 1,4801 1,0923 0,8155 0,6430 0,5197 0,3846 0,1889 -0,1028 -0,4926 -0,9312 -1,3359 -1,6291 -1,7682 -1,7585 -1,6549 -1,5438 -1,5058 -1,5726 -1,7089 -1,8424 -1,9203 -1,9384 -1,9300 -1,9374 -1,9800 -2,0376 -2,0689 -2,0427 -1,9582 -1,8519 -1,7842 -1,7958 -1,8795 -1,9927 -2,0875 -2,1209 -2,0514 -1,8533 -1,5415 -1,1651 -0,7803 -0,4372 -0,1788 -0,0342 -0,0063 -0,0708 -0,1947 -0,3522 -0,5149 -0,6397 -0,6815 -0,6199 -0,4706 -0,2827 -0,1229 -0,0473 -0,0805 -0,2234 -0,4718 -0,8186 -1,2425 -1,6976 -2,1145 -2,4228 -2,5812 -2,5968 -2,5186 -2,4090 -2,3152 -2,2570 -2,2304 -2,2240 -2,2371 -2,2855 -2,3907 -2,5664 -2,8172 -3,1429 -3,5320 -3,9497 -4,3409 -4,6562 -4,8765 -5,0134 -5,0917 -5,1376 -5,1807 -5,2548 -5,3885 -5,5919 -5,8523 -6,1404 -6,4200 -6,6534 -6,8068 -6,8639 -6,8465 -6,8095 -6,8023 -6,8308 -6,8581 -6,8434 -6,7814 -6,7050 -6,6547 -6,6533 -6,7046 -6,7969 -6,9010 -6,9759 -6,9874 -6,9263 -6,8056 -6,6409 -6,4384 -6,1994 -5,9293 -5,6474 -5,3866 -5,1787 -5,0413 -4,9800 -4,9983 -5,0936 -5,2447 -5,4135 -5,5649 -5,6791 -5,7525 -5,7947 -5,8187 -5,8264 -5,8031 -5,7310 -5,6128 -5,4810 -5,3842 -5,3627 -5,4296 -5,5643 -5,7204 -5,8499 -5,9327 -5,9800 -6,0111 -6,0315 -6,0384 -6,0449 -6,0875 -6,2001 -6,3820 -6,5963 -6,7943 -6,9395 -7,0170 -7,0325 -7,0062 -6,9594 -6,9020 -6,8296 -6,7295 -6,5916 -6,4172 -6,2159 -5,9947 -5,7536 -5,4905 -5,2112 -4,9413 -4,7271 -4,6183 -4,6453 -4,8033 -5,0498 -5,3138 -5,5093 -5,5595 -5,4294 -5,1412 -4,7567 -4,3479 -3,9793 -3,6985 -3,5210 -3,4191 -3,3302 -3,1935 -2,9924 -2,7655 -2,5759 -2,4661 -2,4364 -2,4573 -2,4917 -2,5026 -2,4626 -2,3665 -2,2297 -2,0789 -1,9533 -1,9021 -1,9577 -2,1093 -2,3080 -2,4974 -2,6391 -2,7206 -2,7476 -2,7318 -2,6821 -2,6139 -2,5640 -2,5721 -2,6445 -2,7506 -2,8530 -2,9304 -2,9778 -3,0024 -3,0213 -3,0543 -3,1122 -3,1962 -3,3096 -3,4570 -3,6243 -3,7691 -3,8488 -3,8604 -3,8485 -3,8752 -3,9804 -4,1664 -4,4062 -4,6577 -4,8770 -5,0353 -5,1301 -5,1841 -5,2363 -5,3252 -5,4663 -5,6443 -5,8264 -5,9845 -6,1087 -6,2079 -6,2958 -6,3769 -6,4469 -6,4938 -6,4948 -6,4288 -6,3017 -6,1537 -6,0365 -5,9913 -6,0461 -6,2163 -6,4926 -6,8309 -7,1626 -7,4174 -7,5423 -7,5125 -7,3439 -7,0966 -6,8506 -6,6667 -6,5661 -6,5373 -6,5585 -6,6141 -6,6968 -6,8033 -6,9328 -7,0922 -7,3012 -7,5814 -7,9337 -8,3257 -8,7136 -9,0729 -9,4000 -9,6948 -9,9514 -10,1614 -10,3161 -10,4048 -10,4128 -10,3292 -10,1617 -9,9415 -9,7119 -9,5110 -9,3593 -9,2643 -9,2379 -9,3015 -9,4680 -9,7207 -10,0111 -10,2794 -10,4799 -10,5879 -10,5933 -10,5054 -10,3568 -10,1799 -9,9858 -9,7758 -9,5604 -9,3596 -9,1947 -9,0844 -9,0378 -9,0493 -9,0995 -9,1610 -9,2101 -9,2368 -9,2455 -9,2479 -9,2579 -9,2882 -9,3484 -9,4459 -9,5849 -9,7636 -9,9740 -10,2048 -10,4417 -10,6683 -10,8673 -11,0234 -11,1233 -11,1531 -11,1031 -10,9774 -10,8036 -10,6348 -10,5340 -10,5512 -10,7110 -11,0124 -11,4234 -11,8762 -12,2840 -12,5731 -12,6992 -12,6465 -12,4208 -12,0368 -11,5146 -10,8923 -10,2307 -9,5938 -9,0223 -8,5323 -8,1396 -7,8728 -7,7623 -7,8175 -8,0053 -8,2488 -8,4565 -8,5639 -8,5538 -8,4504 -8,2948 -8,1247 -7,9652 -7,8310 -7,7365 -7,7016 -7,7442 -7,8722 -8,0919 -8,4088 -8,8092 -9,2521 -9,6887 -10,0824 -10,4086 -10,6465 -10,7757 -10,7873 -10,6997 -10,5624 -10,4349 -10,3633 -10,3788 -10,5028 -10,7339 -11,0414 -11,3854 -11,7348 -12,0595 -12,3175 -12,4601 -12,4527 -12,2915 -12,0040 -11,6432 -11,2700 -10,9265 -10,6274 -10,3715 -10,1469 -9,9415 -9,7650 -9,6554 -9,6537 -9,7723 -9,9892 -10,2649 -10,5557 -10,8093 -10,9672 -10,9921 -10,8957 -10,7412 -10,6185 -10,6064 -10,7380 -10,9961 -11,3363 -11,7151 -12,1025 -12,4768 -12,8179 -13,1110 -13,3545 -13,5559 -13,7218 -13,8594 -13,9859 -14,1229 -14,2854 -14,4872 -14,7496 -15,0917 -15,5107 -15,9763 -16,4409 -16,8545 -17,1779 -17,3974 -17,5281 -17,5990
