Fp1   2,1468 2,3353 2,4270 2,3919 2,2040 1,8590 1,3920 0,8762 0,3965 0,0119 -0,2637 -0,4501 -0,5814 -0,6995 -0,8488 -1,0564 -1,3140 -1,5904 -1,8579 -2,0984 -2,2963 -2,4356 -2,5113 -2,5335 -2,5111 -2,4295 -2,2584 -1,9902 -1,6577 -1,3042 -0,9453 -0,5678 -0,1573 0,2740 0,6780 0,9956 1,1956 1,2892 1,3184 1,3362 1,3875 1,4875 1,6063 1,6837 1,6655 1,5175 1,2189 0,7747 0,2309 -0,3410 -0,8762 -1,3320 -1,6830 -1,9150 -2,0325 -2,0690 -2,0787 -2,1137 -2,2020 -2,3446 -2,5246 -2,7132 -2,8680 -2,9375 -2,8771 -2,6625 -2,2958 -1,8075 -1,2429 -0,6348 -0,0011 0,6268 1,1906 1,6382 1,9685 2,2341 2,4972 2,7894 3,1061 3,4198 3,6941 3,8998 4,0282 4,0914 4,1032 4,0584 3,9422 3,7570 3,5331 3,3185 3,1663 3,1146 3,1581 3,2443 3,3088 3,3182 3,2821 3,2256 3,1457 3,0031 2,7672 2,4496 2,0878 1,7210 1,3863 1,1134 0,9112 0,7621 0,6265 0,4558 0,2057 -0,1543 -0,6320 -1,2089 -1,8501 -2,5081 -3,1283 -3,6664 -4,0946 -4,3875 -4,5196 -4,4824 -4,2922 -3,9822 -3,5856 -3,1179 -2,5685 -1,9195 -1,1769 -0,3707 0,4784 1,3803 2,3617 3,4354 4,5791 5,7429 6,8747 7,9251 8,8291 9,5188 9,9672 10,2085 10,3048 10,2916 10,1646 9,9140 9,5583 9,1445 8,7283 8,3545 8,0497 7,8198 7,6497 7,5143 7,3936 7,2864 7,2219 7,2552 7,4364 7,7752 8,2305 8,7305 9,2041 9,6005 9,8894 10,0552 10,1021 10,0621 9,9815 9,8925 9,7979 9,6813 9,5306 9,3560 9,1859 9,0499 8,9701 8,9554 8,9913 9,0380 9,0397 8,9397 8,7000 8,3176 7,8244 7,2587 6,6301 5,9198 5,1281 4,3124 3,5674 2,9662 2,5269 2,2351 2,0792 2,0514 2,1256 2,2562 2,3967 2,5018 2,5168 2,3869 2,0836 1,6183 1,0351 0,3980 -0,2210 -0,7529 -1,1370 -1,3249 -1,2975 -1,0848 -0,7645 -0,4266 -0,1319 0,0986 0,2729 0,4204 0,5859 0,8139 1,1293 1,5249 1,9610 2,3748 2,6888 2,8208 2,7066 2,3352 1,7700 1,1179 0,4676 -0,1372 -0,6865 -1,1832 -1,6157 -1,9392 -2,0928 -2,0321 -1,7517 -1,2950 -0,7401 -0,1710 0,3309 0,6891 0,8521 0,8149 0,6216 0,3552 0,1224 0,0235 0,1166 0,3969 0,8057 1,2503 1,6288 1,8673 1,9529 1,9297 1,8608 1,7905 1,7336 1,6938 1,6854 1,7262 1,8043 1,8653 1,8488 1,7430 1,5968 1,4741 1,3981 1,3399 1,2574 1,1318 0,9709 0,7950 0,6216 0,4570 0,3054 0,1894 0,1492 0,2190 0,3988 0,6369 0,8519 0,9916 1,0715 1,1519 1,2884 1,5064 1,8045 2,1689 2,5895 3,0706 3,6204 4,2273 4,8536 5,4513 5,9800 6,4178 6,7693 7,0611 7,3150 7,5237 7,6612 7,7109 7,6804 7,6002 7,5181 7,4947 7,5808 7,7875 8,0757 8,3702 8,5840 8,6537 8,5684 8,3667 8,1083 7,8489 7,6220 7,4321 7,2671 7,1157 6,9647 6,7969 6,6078 6,4235 6,2901 6,2365 6,2445 6,2574 6,2138 6,0837 5,8782 5,6313 5,3760 5,1357 4,9228 4,7412 4,5879 4,4565 4,3378 4,2148 4,0608 3,8573 3,6076 3,3306 3,0569 2,8341 2,7194 2,7544 2,9521 3,2978 3,7536 4,2677 4,7899 5,2825 5,7191 6,0788 6,3407 6,4867 6,5085 6,4131 6,2202 5,9454 5,5992 5,2161 4,8673 4,6321 4,5566 4,6451 4,8829 5,2475 5,6937 6,1517 6,5519 6,8480 7,0289 7,1195 7,1657 7,2103 7,2810 7,3862 7,5092 7,6156 7,6797 7,7004 7,6920 7,6724 7,6549 7,6391 7,6074 7,5307 7,3918 7,2152 7,0661 7,0114 7,0783 7,2398 7,4277 7,5598 7,5637 7,3889 7,0196 6,4923 5,9029 5,3752 5,0127 4,8719 4,9524 5,1965 5,5041 5,7651 5,8967 5,8722 5,7210 5,5037 5,2883 5,1295 5,0488 5,0365 5,0718 5,1433 5,2545 5,4201 5,6540 5,9543 6,2931 6,6200 6,8834 7,0620 7,1757 7,2568 7,3204 7,3569 7,3334 7,2064 6,9430 6,5274 5,9628 5,2887 4,5859 3,9495 3,4563 3,1519 3,0464 3,1188 3,3264 3,6201 3,9659 4,3556 4,7896 5,2542 5,7120 6,1037 6,3662 6,4704 6,4432 6,3418 6,2108 6,0712 5,9381 5,8232 5,7231 5,6208 5,5029 5,3710 5,2411 5,1388 5,0864 5,0915 5,1428 5,2075 5,2396 5,2088 5,1263 5,0412 5,0162 5,1008 5,3101 5,6106 5,9153 6,1038 6,0655 5,7383 5,1247 4,2949 3,3660 2,4580 1,6561 0,9901 0,4392 -0,0393 -0,4823 -0,9125 -1,3273 -1,6811 -1,9016 -1,9411 -1,8029 -1,5233 -1,1429 -0,6889 -0,1732 0,3979 1,0187 1,6866 2,3982 3,1432 3,9007 4,6385 5,3204 5,9160 6,4064 6,7909 7,0972 7,3822 7,7048 8,0848 8,4882 8,8419 9,0639 9,0944 8,9162 8,5599 8,0933 7,5918 7,1114 6,6852 6,3312 6,0506 5,8229 5,6061 5,3501 5,0187 4,6097 4,1553 3,7062 3,3076 2,9753 2,6941 2,4418 2,2113 2,0126 1,8565 1,7396 1,6497 1,5859 1,5696 1,6373 1,8243 2,1468 2,5904 3,1144 3,6622 4,1668 4,5655 4,8290 4,9758 5,0509 5,0870 5,0841 5,0186 4,8679 4,6342 4,3546 4,0934 3,9175 3,8644 3,9222 4,0461 4,1971 4,3520 4,4821 4,5413 4,4780 4,2494 3,8314 3,2311 2,4894 1,6686 0,8306 0,0081 -0,8130 -1,6664 -2,5541 -3,4379 -4,2719 -5,0213 -5,6602 -6,1815 -6,6045 -6,9493 -7,2090 -7,3709 -7,4412 -7,4294 -7,3255 -7,1039
Fz    3,7822 4,1380 4,4485 4,6702 4,7462 4,6306 4,3169 3,8446 3,2783 2,6809 2,0919 1,5216 0,9603 0,3916 -0,2008 -0,8241 -1,4654 -2,0937 -2,6717 -3,1647 -3,5506 -3,8299 -4,0259 -4,1683 -4,2692 -4,3097 -4,2509 -4,0613 -3,7390 -3,3078 -2,7960 -2,2261 -1,6201 -1,0115 -0,4484 0,0244 0,3907 0,6703 0,9037 1,1257 1,3462 1,5444 1,6777 1,6996 1,5782 1,3038 0,8878 0,3640 -0,2109 -0,7720 -1,2695 -1,6794 -1,9968 -2,2257 -2,3796 -2,4827 -2,5624 -2,6356 -2,6987 -2,7317 -2,7115 -2,6200 -2,4454 -2,1854 -1,8499 -1,4554 -1,0140 -0,5292 0,0035 0,5953 1,2538 1,9650 2,6891 3,3836 4,0333 4,6525 5,2613 5,8601 6,4255 6,9239 7,3288 7,6252 7,8018 7,8481 7,7585 7,5362 7,1949 6,7620 6,2780 5,7919 5,3492 4,9715 4,6430 4,3189 3,9526 3,5208 3,0322 2,5190 2,0208 1,5737 1,2085 0,9458 0,7843 0,6991 0,6584 0,6364 0,6150 0,5800 0,5207 0,4355 0,3354 0,2352 0,1454 0,0691 0,0028 -0,0636 -0,1443 -0,2484 -0,3654 -0,4607 -0,4937 -0,4427 -0,3098 -0,1060 0,1619 0,4982 0,9216 1,4601 2,1400 2,9814 3,9986 5,1912 6,5294 7,9528 9,3891 10,7781 12,0864 13,3010 14,4039 15,3620 16,1415 16,7184 17,0752 17,2000 17,0946 16,7842 16,3215 15,7811 15,2444 14,7824 14,4382 14,2159 14,0887 14,0264 14,0159 14,0627 14,1856 14,4103 14,7602 15,2442 15,8462 16,5200 17,1972 17,8040 18,2806 18,6018 18,7871 18,8849 18,9453 19,0002 19,0587 19,1113 19,1418 19,1379 19,0915 18,9991 18,8690 18,7246 18,5907 18,4738 18,3505 18,1732 17,8921 17,4788 16,9297 16,2495 15,4373 14,4932 13,4393 12,3300 11,2428 10,2506 9,3950 8,6810 8,0915 7,6031 7,1962 6,8615 6,5938 6,3761 6,1684 5,9154 5,5633 5,0770 4,4519 3,7229 2,9644 2,2756 1,7544 1,4696 1,4395 1,6306 1,9784 2,4139 2,8806 3,3429 3,7894 4,2355 4,7160 5,2699 5,9183 6,6437 7,3886 8,0760 8,6301 8,9861 9,1015 8,9753 8,6571 8,2294 7,7708 7,3298 6,9231 6,5499 6,2088 5,9112 5,6855 5,5665 5,5772 5,7140 5,9459 6,2173 6,4518 6,5698 6,5214 6,3127 6,0009 5,6702 5,4026 5,2567 5,2547 5,3825 5,6001 5,8548 6,0954 6,2914 6,4477 6,5964 6,7688 6,9720 7,1907 7,4044 7,5986 7,7567 7,8475 7,8273 7,6639 7,3605 6,9580 6,5142 6,0784 5,6784 5,3268 5,0341 4,8188 4,7106 4,7404 4,9235 5,2520 5,7019 6,2399 6,8217 7,3900 7,8829 8,2557 8,5013 8,6552 8,7799 8,9419 9,1925 9,5556 10,0223 10,5601 11,1318 11,7051 12,2501 12,7375 13,1422 13,4476 13,6522 13,7724 13,8356 13,8704 13,8978 13,9270 13,9586 13,9944 14,0426 14,1165 14,2338 14,4137 14,6676 14,9882 15,3440 15,6806 15,9370 16,0696 16,0668 15,9461 15,7416 15,4899 15,2205 14,9539 14,7005 14,4580 14,2192 13,9902 13,7935 13,6507 13,5631 13,5026 13,4182 13,2599 13,0043 12,6614 12,2593 11,8296 11,4050 11,0149 10,6789 10,4032 10,1835 10,0103 9,8707 9,7459 9,6166 9,4746 9,3259 9,1855 9,0779 9,0371 9,0898 9,2347 9,4399 9,6611 9,8613 10,0208 10,1381 10,2245 10,2956 10,3662 10,4439 10,5226 10,5846 10,6095 10,5820 10,5011 10,3897 10,2912 10,2510 10,2958 10,4263 10,6300 10,8931 11,1975 11,5197 11,8428 12,1674 12,5082 12,8816 13,2933 13,7308 14,1659 14,5646 14,8950 15,1348 15,2770 15,3328 15,3286 15,2961 15,2539 15,1957 15,0929 14,9089 14,6164 14,2130 13,7261 13,2031 12,6911 12,2170 11,7773 11,3417 10,8744 10,3571 9,8028 9,2553 8,7783 8,4330 8,2558 8,2516 8,3959 8,6347 8,8893 9,0727 9,1185 8,9994 8,7250 8,3315 7,8731 7,4115 6,9980 6,6608 6,4044 6,2170 6,0795 5,9704 5,8745 5,7923 5,7354 5,7075 5,6905 5,6528 5,5657 5,4074 5,1597 4,8057 4,3330 3,7403 3,0424 2,2656 1,4389 0,5920 -0,2436 -1,0342 -1,7444 -2,3365 -2,7737 -3,0289 -3,0954 -2,9917 -2,7522 -2,4111 -1,9917 -1,5060 -0,9635 -0,3872 0,1826 0,7049 1,1584 1,5402 1,8482 2,0735 2,2073 2,2468 2,1975 2,0780 1,9247 1,7845 1,7062 1,7311 1,8804 2,1475 2,5023 2,9024 3,3025 3,6682 3,9830 4,2458 4,4663 4,6581 4,8264 4,9583 5,0223 4,9750 4,7729 4,3865 3,8182 3,1103 2,3278 1,5302 0,7580 0,0347 -0,6235 -1,2013 -1,6924 -2,1118 -2,4844 -2,8162 -3,0842 -3,2529 -3,2955 -3,2010 -2,9711 -2,6111 -2,1277 -1,5349 -0,8533 -0,1064 0,6796 1,4767 2,2602 3,0096 3,7038 4,3148 4,8105 5,1733 5,4211 5,6077 5,7956 6,0226 6,2853 6,5417 6,7312 6,8023 6,7323 6,5328 6,2427 5,9069 5,5547 5,2021 4,8616 4,5410 4,2407 3,9595 3,7028 3,4844 3,3187 3,2114 3,1552 3,1330 3,1230 3,1020 3,0478 2,9474 2,8061 2,6454 2,4921 2,3741 2,3228 2,3693 2,5357 2,8274 3,2268 3,6884 4,1432 4,5219 4,7814 4,9138 4,9432 4,9186 4,8938 4,8978 4,9214 4,9303 4,8868 4,7749 4,6151 4,4549 4,3391 4,2855 4,2792 4,2816 4,2443 4,1204 3,8706 3,4711 2,9213 2,2438 1,4753 0,6578 -0,1671 -0,9711 -1,7544 -2,5517 -3,4194 -4,4010 -5,4917 -6,6327 -7,7401 -8,7385 -9,5835 -10,2709 -10,8327 -11,3097 -11,7213 -12,0574 -12,2865 -12,3659 -12,2560 -11,9351
F3    3,8245 3,8482 3,8325 3,7560 3,5867 3,3008 2,9045 2,4382 1,9564 1,5014 1,0871 0,6995 0,3136 -0,0924 -0,5305 -0,9966 -1,4671 -1,9090 -2,2961 -2,6156 -2,8675 -3,0618 -3,2146 -3,3408 -3,4413 -3,4913 -3,4501 -3,2884 -3,0109 -2,6490 -2,2357 -1,7895 -1,3206 -0,8438 -0,3853 0,0266 0,3783 0,6754 0,9334 1,1653 1,3738 1,5492 1,6719 1,7179 1,6679 1,5102 1,2416 0,8756 0,4491 0,0121 -0,3946 -0,7501 -1,0457 -1,2767 -1,4420 -1,5497 -1,6171 -1,6627 -1,6969 -1,7182 -1,7171 -1,6778 -1,5805 -1,4082 -1,1598 -0,8537 -0,5196 -0,1855 0,1341 0,4439 0,7581 1,0839 1,4151 1,7419 2,0665 2,4032 2,7607 3,1296 3,4853 3,7997 4,0529 4,2332 4,3318 4,3430 4,2675 4,1099 3,8743 3,5678 3,2075 2,8233 2,4500 2,1107 1,8050 1,5121 1,2065 0,8750 0,5223 0,1679 -0,1637 -0,4487 -0,6632 -0,7884 -0,8238 -0,7920 -0,7269 -0,6610 -0,6202 -0,6238 -0,6823 -0,7935 -0,9472 -1,1377 -1,3684 -1,6442 -1,9635 -2,3158 -2,6819 -3,0341 -3,3341 -3,5336 -3,5882 -3,4786 -3,2160 -2,8311 -2,3584 -1,8179 -1,2053 -0,5031 0,3024 1,2157 2,2343 3,3473 4,5316 5,7540 6,9773 8,1665 9,2943 10,3354 11,2522 11,9971 12,5358 12,8598 12,9776 12,9047 12,6598 12,2713 11,7832 11,2532 10,7431 10,3054 9,9701 9,7376 9,5863 9,4906 9,4339 9,4095 9,4224 9,4874 9,6169 9,8085 10,0422 10,2877 10,5168 10,7105 10,8579 10,9590 11,0341 11,1189 11,2451 11,4252 11,6508 11,8997 12,1460 12,3666 12,5399 12,6469 12,6799 12,6490 12,5726 12,4608 12,3044 12,0780 11,7548 11,3208 10,7765 10,1255 9,3626 8,4792 7,4868 6,4370 5,4129 4,4977 3,7431 3,1591 2,7251 2,4074 2,1710 1,9882 1,8368 1,6883 1,5010 1,2270 0,8265 0,2805 -0,3985 -1,1620 -1,9320 -2,6182 -3,1379 -3,4346 -3,4949 -3,3502 -3,0589 -2,6845 -2,2779 -1,8714 -1,4770 -1,0871 -0,6792 -0,2284 0,2772 0,8270 1,3882 1,9149 2,3552 2,6581 2,7871 2,7379 2,5462 2,2725 1,9768 1,7000 1,4598 1,2558 1,0851 0,9581 0,8996 0,9327 1,0609 1,2628 1,5016 1,7323 1,8998 1,9450 1,8328 1,5760 1,2326 0,8836 0,6095 0,4704 0,4906 0,6557 0,9234 1,2397 1,5570 1,8505 2,1241 2,3974 2,6817 2,9658 3,2256 3,4435 3,6174 3,7509 3,8364 3,8530 3,7830 3,6316 3,4295 3,2183 3,0317 2,8870 2,7879 2,7349 2,7354 2,8064 2,9655 3,2157 3,5424 3,9230 4,3330 4,7427 5,1134 5,4032 5,5819 5,6455 5,6231 5,5702 5,5543 5,6359 5,8491 6,1927 6,6405 7,1576 7,7076 8,2507 8,7475 9,1679 9,4963 9,7355 9,9092 10,0553 10,2072 10,3757 10,5453 10,6903 10,7963 10,8658 10,9128 10,9590 11,0320 11,1545 11,3284 11,5244 11,6873 11,7605 11,7133 11,5495 11,2985 11,0001 10,6895 10,3882 10,1054 9,8440 9,6007 9,3724 9,1705 9,0242 8,9617 8,9886 9,0769 9,1748 9,2316 9,2211 9,1424 9,0007 8,7962 8,5321 8,2232 7,8925 7,5669 7,2747 7,0391 6,8689 6,7547 6,6786 6,6246 6,5811 6,5405 6,5045 6,4903 6,5212 6,6071 6,7354 6,8810 7,0226 7,1510 7,2718 7,3982 7,5415 7,7050 7,8812 8,0505 8,1893 8,2805 8,3145 8,2862 8,2000 8,0764 7,9494 7,8518 7,8031 7,8128 7,8849 8,0142 8,1851 8,3841 8,6105 8,8704 9,1668 9,4947 9,8394 10,1763 10,4763 10,7111 10,8591 10,9114 10,8769 10,7843 10,6711 10,5649 10,4705 10,3717 10,2442 10,0671 9,8311 9,5434 9,2263 8,9067 8,6013 8,3080 8,0068 7,6716 7,2866 6,8587 6,4218 6,0298 5,7383 5,5850 5,5792 5,7017 5,9049 6,1157 6,2533 6,2615 6,1312 5,8927 5,5956 5,2959 5,0455 4,8802 4,8150 4,8458 4,9532 5,1032 5,2540 5,3720 5,4474 5,4878 5,4965 5,4612 5,3671 5,2122 5,0078 4,7685 4,5002 4,1902 3,8174 3,3708 2,8536 2,2749 1,6483 0,9993 0,3677 -0,1962 -0,6403 -0,9260 -1,0415 -1,0063 -0,8637 -0,6613 -0,4269 -0,1615 0,1473 0,5058 0,9012 1,3019 1,6722 1,9873 2,2340 2,4008 2,4772 2,4598 2,3549 2,1752 1,9407 1,6837 1,4468 1,2747 1,2054 1,2564 1,4153 1,6439 1,8946 2,1264 2,3153 2,4563 2,5610 2,6542 2,7650 2,9074 3,0665 3,2001 3,2545 3,1830 2,9586 2,5829 2,0882 1,5258 0,9474 0,3934 -0,1108 -0,5498 -0,9122 -1,1959 -1,4205 -1,6178 -1,8046 -1,9704 -2,0895 -2,1352 -2,0839 -1,9150 -1,6132 -1,1727 -0,6030 0,0738 0,8260 1,6161 2,4090 3,1800 3,9143 4,6009 5,2264 5,7698 6,2106 6,5486 6,8130 7,0436 7,2622 7,4588 7,5993 7,6436 7,5646 7,3555 7,0316 6,6265 6,1772 5,7077 5,2310 4,7603 4,3077 3,8800 3,4818 3,1209 2,8094 2,5581 2,3695 2,2324 2,1237 2,0145 1,8792 1,7046 1,4937 1,2653 1,0439 0,8482 0,6885 0,5758 0,5302 0,5801 0,7498 1,0410 1,4222 1,8343 2,2088 2,4869 2,6335 2,6505 2,5832 2,4982 2,4394 2,4009 2,3393 2,2065 1,9823 1,6886 1,3780 1,1051 0,9006 0,7646 0,6750 0,5993 0,5029 0,3527 0,1219 -0,2056 -0,6332 -1,1524 -1,7420 -2,3730 -3,0190 -3,6655 -4,3170 -4,9979 -5,7339 -6,5251 -7,3359 -8,1109 -8,7976 -9,3597 -9,7838 -10,0812 -10,2770 -10,3912 -10,4329 -10,4006 -10,2815 -10,0556 -9,7078
F7    2,0400 2,0659 2,0130 1,8902 1,7048 1,4686 1,2013 0,9293 0,6784 0,4621 0,2748 0,0981 -0,0845 -0,2807 -0,4949 -0,7307 -0,9860 -1,2521 -1,5163 -1,7620 -1,9720 -2,1335 -2,2415 -2,2943 -2,2831 -2,1865 -1,9813 -1,6637 -1,2639 -0,8355 -0,4283 -0,0677 0,2453 0,5213 0,7665 0,9791 1,1561 1,2937 1,3822 1,4070 1,3582 1,2375 1,0569 0,8342 0,5871 0,3262 0,0521 -0,2359 -0,5280 -0,8070 -1,0617 -1,2917 -1,4970 -1,6713 -1,8078 -1,9106 -1,9935 -2,0643 -2,1150 -2,1298 -2,0984 -2,0147 -1,8679 -1,6490 -1,3666 -1,0518 -0,7491 -0,5015 -0,3336 -0,2429 -0,2071 -0,2020 -0,2142 -0,2388 -0,2655 -0,2746 -0,2493 -0,1863 -0,0944 0,0086 0,0996 0,1560 0,1587 0,0965 -0,0291 -0,2053 -0,4156 -0,6451 -0,8786 -1,0954 -1,2759 -1,4129 -1,5174 -1,6113 -1,7133 -1,8305 -1,9582 -2,0843 -2,1910 -2,2549 -2,2508 -2,1664 -2,0200 -1,8558 -1,7173 -1,6284 -1,5981 -1,6380 -1,7692 -2,0080 -2,3510 -2,7805 -3,2770 -3,8184 -4,3761 -4,9200 -5,4255 -5,8693 -6,2192 -6,4317 -6,4705 -6,3292 -6,0293 -5,6028 -5,0789 -4,4751 -3,7977 -3,0508 -2,2436 -1,3898 -0,5053 0,3940 1,2938 2,1808 3,0428 3,8677 4,6422 5,3477 5,9574 6,4422 6,7834 6,9768 7,0255 6,9353 6,7182 6,3980 6,0111 5,6012 5,2136 4,8900 4,6611 4,5361 4,5019 4,5337 4,6031 4,6817 4,7507 4,8099 4,8713 4,9453 5,0328 5,1267 5,2153 5,2861 5,3303 5,3507 5,3647 5,3957 5,4619 5,5715 5,7228 5,9040 6,0961 6,2790 6,4312 6,5277 6,5490 6,4956 6,3859 6,2345 6,0346 5,7627 5,4010 4,9531 4,4386 3,8752 3,2648 2,5968 1,8686 1,1029 0,3469 -0,3484 -0,9483 -1,4417 -1,8325 -2,1300 -2,3449 -2,4897 -2,5851 -2,6687 -2,7887 -2,9865 -3,2857 -3,6905 -4,1848 -4,7357 -5,2999 -5,8298 -6,2725 -6,5789 -6,7270 -6,7358 -6,6531 -6,5343 -6,4228 -6,3360 -6,2610 -6,1601 -5,9866 -5,7052 -5,3086 -4,8224 -4,2939 -3,7782 -3,3306 -3,0017 -2,8254 -2,8011 -2,8905 -3,0352 -3,1808 -3,2895 -3,3425 -3,3358 -3,2705 -3,1458 -2,9595 -2,7170 -2,4345 -2,1334 -1,8323 -1,5502 -1,3192 -1,1819 -1,1641 -1,2519 -1,3997 -1,5530 -1,6656 -1,7112 -1,6865 -1,6033 -1,4772 -1,3223 -1,1523 -0,9754 -0,7900 -0,5893 -0,3781 -0,1784 -0,0152 0,1040 0,1922 0,2697 0,3466 0,4182 0,4776 0,5255 0,5679 0,6089 0,6492 0,6858 0,7155 0,7431 0,7856 0,8656 0,9972 1,1741 1,3749 1,5777 1,7662 1,9273 2,0469 2,1095 2,1013 2,0159 1,8616 1,6646 1,4653 1,3086 1,2296 1,2476 1,3767 1,6332 2,0208 2,5077 3,0274 3,5099 3,9137 4,2348 4,4952 4,7254 4,9484 5,1699 5,3812 5,5706 5,7312 5,8576 5,9408 5,9746 5,9680 5,9434 5,9223 5,9092 5,8905 5,8456 5,7585 5,6221 5,4375 5,2146 4,9699 4,7217 4,4848 4,2678 4,0686 3,8789 3,6974 3,5353 3,4075 3,3180 3,2506 3,1760 3,0754 2,9588 2,8538 2,7762 2,7158 2,6509 2,5656 2,4538 2,3180 2,1728 2,0410 1,9387 1,8637 1,7989 1,7236 1,6241 1,5001 1,3678 1,2593 1,2103 1,2389 1,3343 1,4676 1,6082 1,7332 1,8328 1,9105 1,9744 2,0293 2,0742 2,1059 2,1248 2,1360 2,1405 2,1275 2,0825 2,0039 1,9095 1,8233 1,7609 1,7301 1,7394 1,7960 1,9006 2,0512 2,2509 2,5077 2,8271 3,2065 3,6281 4,0577 4,4533 4,7769 5,0008 5,1094 5,1063 5,0206 4,8944 4,7582 4,6221 4,4861 4,3519 4,2234 4,1007 3,9821 3,8682 3,7589 3,6469 3,5193 3,3624 3,1644 2,9195 2,6327 2,3252 2,0342 1,8000 1,6482 1,5808 1,5805 1,6191 1,6591 1,6583 1,5870 1,4440 1,2538 1,0517 0,8735 0,7472 0,6873 0,6954 0,7639 0,8797 1,0227 1,1679 1,2963 1,4081 1,5170 1,6259 1,7175 1,7711 1,7795 1,7480 1,6843 1,5895 1,4536 1,2632 1,0121 0,7023 0,3410 -0,0587 -0,4746 -0,8740 -1,2146 -1,4550 -1,5714 -1,5699 -1,4853 -1,3660 -1,2530 -1,1592 -1,0664 -0,9436 -0,7690 -0,5473 -0,3118 -0,1066 0,0383 0,1162 0,1340 0,1016 0,0265 -0,0901 -0,2492 -0,4432 -0,6504 -0,8405 -0,9827 -1,0523 -1,0407 -0,9629 -0,8510 -0,7373 -0,6400 -0,5636 -0,5069 -0,4661 -0,4322 -0,3950 -0,3552 -0,3287 -0,3386 -0,4042 -0,5374 -0,7426 -1,0152 -1,3403 -1,7016 -2,0871 -2,4861 -2,8852 -3,2658 -3,5995 -3,8585 -4,0382 -4,1592 -4,2435 -4,2978 -4,3206 -4,3084 -4,2514 -4,1304 -3,9238 -3,6203 -3,2283 -2,7745 -2,2902 -1,7994 -1,3100 -0,8129 -0,2915 0,2656 0,8551 1,4544 2,0326 2,5708 3,0710 3,5414 3,9759 4,3501 4,6339 4,8039 4,8503 4,7727 4,5781 4,2842 3,9156 3,4949 3,0424 2,5789 2,1213 1,6828 1,2796 0,9321 0,6546 0,4459 0,2890 0,1570 0,0232 -0,1303 -0,3089 -0,5109 -0,7354 -0,9798 -1,2335 -1,4771 -1,6869 -1,8381 -1,9074 -1,8754 -1,7265 -1,4535 -1,0677 -0,6057 -0,1245 0,3136 0,6581 0,8901 1,0326 1,1344 1,2328 1,3318 1,4080 1,4310 1,3850 1,2837 1,1649 1,0693 1,0181 1,0031 0,9928 0,9448 0,8162 0,5737 0,2075 -0,2630 -0,8002 -1,3686 -1,9433 -2,5084 -3,0566 -3,5921 -4,1332 -4,7111 -5,3526 -6,0534 -6,7687 -7,4322 -7,9899 -8,4199 -8,7334 -8,9629 -9,1388 -9,2691 -9,3410 -9,3355 -9,2346 -9,0283 -8,7240
