Fp1   0,9498 0,7710 0,4982 0,2283 0,0513 0,0151 0,1152 0,3098 0,5515 0,8106 1,0761 1,3388 1,5701 1,7129 1,7025 1,5081 1,1625 0,7530 0,3852 0,1502 0,0977 0,2085 0,3866 0,4996 0,4437 0,1836 -0,2485 -0,7825 -1,3498 -1,9105 -2,4497 -2,9568 -3,4071 -3,7528 -3,9290 -3,8759 -3,5604 -2,9764 -2,1421 -1,1178 -0,0150 1,0317 1,8993 2,4958 2,7765 2,7498 2,4540 1,9305 1,2286 0,4282 -0,3569 -1,0005 -1,3910 -1,4530 -1,1615 -0,5501 0,2791 1,1534 1,8593 2,2020 2,0744 1,4970 0,5939 -0,4753 -1,5652 -2,5524 -3,3298 -3,8232 -4,0186 -3,9709 -3,7735 -3,5095 -3,2163 -2,8887 -2,5171 -2,1290 -1,7867 -1,5404 -1,3931 -1,3079 -1,2359 -1,1397 -1,0076 -0,8585 -0,7314 -0,6553 -0,6208 -0,5895 -0,5362 -0,4815 -0,4889 -0,6309 -0,9425 -1,3901 -1,8745 -2,2775 -2,5256 -2,6277 -2,6599 -2,7139 -2,8532 -3,1020 -3,4537 -3,8828 -4,3593 -4,8573 -5,3524 -5,8249 -6,2687 -6,6793 -7,0349 -7,2971 -7,4260 -7,3956 -7,2136 -6,9227 -6,5718 -6,1840 -5,7519 -5,2473 -4,6267 -3,8502 -2,9206 -1,8900 -0,8182 0,2593 1,3240 2,3594 3,3479 4,2720 5,1169 5,8773 6,5644 7,2004 7,8007 8,3555 8,8325 9,2014 9,4544 9,6094 9,6973 9,7526 9,8198 9,9574 10,2160 10,6053 11,0819 11,5702 11,9970 12,3181 12,5251 12,6317 12,6524 12,5934 12,4483 12,1957 11,8110 11,2887 10,6589 9,9899 9,3691 8,8679 8,5111 8,2646 8,0442 7,7573 7,3604 6,8866 6,4229 6,0690 5,9060 5,9756 6,2713 6,7388 7,2831 7,7881 8,1522 8,3185 8,2791 8,0544 7,6689 7,1447 6,5169 5,8493 5,2220 4,6956 4,2946 4,0278 3,9154 3,9833 4,2266 4,5798 4,9281 5,1539 5,1801 4,9905 4,6355 4,2194 3,8507 3,5859 3,4164 3,2933 3,1582 2,9676 2,7048 2,3748 1,9993 1,6183 1,2878 1,0688 1,0118 1,1425 1,4594 1,9516 2,6087 3,3991 4,2402 5,0066 5,5735 5,8566 5,8206 5,4699 4,8403 3,9977 3,0374 2,0668 1,1809 0,4572 -0,0419 -0,2726 -0,2170 0,1071 0,6410 1,3070 2,0417 2,8058 3,5677 4,2801 4,8707 5,2524 5,3469 5,1077 4,5326 3,6577 2,5477 1,2971 0,0347 -1,0934 -1,9587 -2,4757 -2,6106 -2,3812 -1,8426 -1,0674 -0,1405 0,8408 1,7854 2,6350 3,3712 4,0089 4,5830 5,1151 5,5841 5,9395 6,1324 6,1228 5,8758 5,3727 4,6378 3,7565 2,8583 2,0719 1,4811 1,1112 0,9437 0,9409 1,0663 1,2896 1,5833 1,9165 2,2551 2,5746 2,8701 3,1365 3,3441 3,4502 3,4285 3,2700 2,9638 2,5023 1,9195 1,3139 0,8207 0,5493 0,5331 0,7262 1,0446 1,4122 1,7801 2,1237 2,4374 2,7331 3,0335 3,3522 3,6627 3,8852 3,9144 3,6719 3,1488 2,4182 1,6163 0,9052 0,4318 0,2925 0,5108 1,0308 1,7258 2,4260 2,9732 3,2757 3,3252 3,1736 2,8925 2,5441 2,1693 1,7847 1,3885 0,9752 0,5557 0,1655 -0,1446 -0,3250 -0,3403 -0,1814 0,1218 0,5041 0,8922 1,2393 1,5394 1,8129 2,0792 2,3410 2,5845 2,7838 2,9021 2,8998 2,7520 2,4604 2,0497 1,5500 0,9848 0,3798 -0,2206 -0,7442 -1,0923 -1,1582 -0,8648 -0,1989 0,7780 1,9469 3,1590 4,2597 5,1141 5,6344 5,7893 5,5886 5,0665 4,2831 3,3362 2,3579 1,4832 0,8114 0,3865 0,2023 0,2210 0,3910 0,6518 0,9394 1,2044 1,4333 1,6520 1,8990 2,1858 2,4856 2,7625 3,0108 3,2551 3,5035 3,7136 3,8187 3,7718 3,5565 3,1776 2,6663 2,0980 1,5808 1,2074 1,0101 0,9537 0,9669 0,9827 0,9485 0,8151 0,5438 0,1369 -0,3403 -0,7666 -0,9977 -0,9128 -0,4594 0,3229 1,3074 2,3094 3,1375 3,6465 3,7643 3,4947 2,9080 2,1159 1,2369 0,3760 -0,3763 -0,9471 -1,2985 -1,4324 -1,3739 -1,1592 -0,8529 -0,5578 -0,3797 -0,3665 -0,4796 -0,6306 -0,7433 -0,7767 -0,7036 -0,5024 -0,1818 0,2010 0,5605 0,8202 0,9344 0,8927 0,7154 0,4380 0,0897 -0,3159 -0,7714 -1,2627 -1,7609 -2,2222 -2,6013 -2,8625 -2,9800 -2,9425 -2,7699 -2,5237 -2,2841 -2,1106 -2,0204 -1,9978 -2,0147 -2,0422 -2,0570 -2,0468 -2,0120 -1,9540 -1,8608 -1,7147 -1,5171 -1,3025 -1,1211 -1,0068 -0,9694 -1,0153 -1,1632 -1,4303 -1,8136 -2,2936 -2,8490 -3,4597 -4,0999 -4,7398 -5,3621 -5,9674 -6,5583 -7,1150 -7,5929 -7,9487 -8,1709 -8,2821 -8,3201 -8,3194 -8,3016 -8,2780 -8,2559 -8,2318 -8,1859 -8,1025 -7,9908 -7,8715 -7,7470 -7,5864 -7,3317 -6,9188 -6,2996 -5,4536 -4,3942 -3,1795 -1,9132 -0,7196 0,2999 1,0998 1,6959 2,1405 2,4786 2,7206 2,8586 2,8999 2,8645 2,7581 2,5775 2,3437 2,1093 1,9357 1,8724 1,9415 2,1236 2,3498 2,5129 2,5048 2,2519 1,7299 0,9780 0,1191 -0,6548 -1,1524 -1,2674 -1,0255 -0,5742 -0,1228 0,1403 0,1046 -0,2561 -0,9086 -1,7807 -2,7752 -3,7821 -4,6928 -5,4168 -5,8937 -6,0925 -6,0021 -5,6373 -5,0595 -4,3778 -3,7187 -3,1895 -2,8571 -2,7474 -2,8546 -3,1560 -3,6225 -4,2168 -4,8875 -5,5744 -6,2242 -6,7974 -7,2621 -7,5813 -7,7182 -7,6606 -7,4422 -7,1311 -6,7891 -6,4389 -6,0668 -5,6495 -5,1784 -4,6665 -4,1456 -3,6643 -3,2884 -3,0882 -3,1090 -3,3454 -3,7374 -4,1857 -4,5755 -4,8108 -4,8426 -4,6762 -4,3585 -3,9591 -3,5552 -3,2207 -3,0176 -2,9818 -3,1012 -3,3096
Fz    0,5108 0,2713 0,1459 0,1565 0,2922 0,5096 0,7478 0,9532 1,0959 1,1746 1,2117 1,2393 1,2784 1,3253 1,3557 1,3411 1,2626 1,1167 0,9125 0,6682 0,4121 0,1819 0,0104 -0,0907 -0,1378 -0,1664 -0,2124 -0,2941 -0,4085 -0,5414 -0,6771 -0,8055 -0,9247 -1,0372 -1,1454 -1,2517 -1,3581 -1,4623 -1,5549 -1,6195 -1,6344 -1,5720 -1,4060 -1,1270 -0,7526 -0,3271 0,0931 0,4625 0,7653 1,0123 1,2244 1,4188 1,6031 1,7732 1,9118 1,9932 1,9921 1,8964 1,7129 1,4579 1,1488 0,8080 0,4666 0,1531 -0,1206 -0,3596 -0,5770 -0,7835 -0,9841 -1,1801 -1,3675 -1,5345 -1,6635 -1,7403 -1,7610 -1,7356 -1,6809 -1,6090 -1,5203 -1,4057 -1,2535 -1,0547 -0,8086 -0,5260 -0,2323 0,0317 0,2192 0,2951 0,2472 0,0851 -0,1651 -0,4672 -0,7839 -1,0844 -1,3447 -1,5483 -1,6914 -1,7823 -1,8355 -1,8647 -1,8787 -1,8829 -1,8868 -1,9070 -1,9641 -2,0781 -2,2675 -2,5490 -2,9313 -3,4047 -3,9350 -4,4678 -4,9400 -5,2942 -5,4929 -5,5243 -5,3978 -5,1333 -4,7547 -4,2852 -3,7420 -3,1334 -2,4629 -1,7351 -0,9586 -0,1485 0,6712 1,4693 2,2163 2,8928 3,4924 4,0197 4,4866 4,9107 5,3149 5,7209 6,1383 6,5564 6,9484 7,2859 7,5538 7,7572 7,9182 8,0685 8,2426 8,4722 8,7814 9,1805 9,6600 10,1909 10,7314 11,2351 11,6582 11,9668 12,1408 12,1756 12,0801 11,8725 11,5744 11,2081 10,7995 10,3809 9,9857 9,6415 9,3675 9,1773 9,0795 9,0699 9,1250 9,2099 9,2974 9,3783 9,4517 9,5098 9,5324 9,4951 9,3872 9,2204 9,0239 8,8304 8,6664 8,5486 8,4857 8,4775 8,5089 8,5471 8,5477 8,4699 8,2944 8,0323 7,7206 7,4093 7,1475 6,9763 6,9198 6,9795 7,1394 7,3787 7,6721 7,9839 8,2714 8,4961 8,6305 8,6618 8,5931 8,4427 8,2401 8,0199 7,8150 7,6518 7,5446 7,4939 7,4963 7,5557 7,6806 7,8720 8,1192 8,4081 8,7246 9,0499 9,3587 9,6234 9,8190 9,9284 9,9477 9,8836 9,7470 9,5533 9,3272 9,1054 8,9293 8,8274 8,8032 8,8402 8,9176 9,0168 9,1188 9,2031 9,2537 9,2653 9,2425 9,1955 9,1351 9,0679 8,9987 8,9359 8,8912 8,8717 8,8739 8,8848 8,8898 8,8813 8,8638 8,8499 8,8513 8,8766 8,9346 9,0351 9,1826 9,3734 9,6015 9,8569 10,1134 10,3261 10,4460 10,4413 10,3125 10,0916 9,8251 9,5519 9,2900 9,0355 8,7687 8,4667 8,1193 7,7354 7,3408 6,9704 6,6582 6,4295 6,2998 6,2748 6,3516 6,5205 6,7670 7,0693 7,3938 7,6976 7,9365 8,0742 8,0896 7,9795 7,7582 7,4534 7,1024 6,7478 6,4364 6,2154 6,1253 6,1884 6,3988 6,7187 7,0877 7,4400 7,7199 7,8904 7,9382 7,8746 7,7318 7,5516 7,3735 7,2262 7,1285 7,0921 7,1187 7,1972 7,3033 7,4048 7,4732 7,4954 7,4787 7,4443 7,4100 7,3758 7,3220 7,2215 7,0536 6,8118 6,5066 6,1665 5,8360 5,5654 5,3974 5,3567 5,4452 5,6455 5,9300 6,2672 6,6243 6,9681 7,2680 7,4982 7,6423 7,6983 7,6770 7,5923 7,4551 7,2759 7,0710 6,8623 6,6733 6,5258 6,4348 6,4066 6,4397 6,5275 6,6604 6,8249 7,0034 7,1769 7,3293 7,4505 7,5375 7,5953 7,6342 7,6630 7,6845 7,6967 7,7003 7,7050 7,7325 7,8119 7,9665 8,2001 8,4948 8,8192 9,1376 9,4222 9,6613 9,8552 10,0039 10,0982 10,1218 10,0612 9,9127 9,6811 9,3765 9,0153 8,6200 8,2181 7,8415 7,5231 7,2860 7,1337 7,0509 7,0137 6,9998 6,9962 6,9999 7,0135 7,0372 7,0605 7,0613 7,0162 6,9154 6,7678 6,5955 6,4263 6,2862 6,1926 6,1498 6,1493 6,1704 6,1846 6,1641 6,0929 5,9752 5,8349 5,7041 5,6074 5,5543 5,5394 5,5482 5,5642 5,5707 5,5500 5,4881 5,3819 5,2409 5,0836 4,9347 4,8209 4,7605 4,7558 4,7975 4,8776 4,9970 5,1627 5,3777 5,6306 5,8892 6,1040 6,2251 6,2228 6,0992 5,8802 5,5965 5,2686 4,9055 4,5124 4,0997 3,6804 3,2624 2,8487 2,4438 2,0556 1,6980 1,3959 1,1838 1,0932 1,1401 1,3189 1,6090 1,9848 2,4192 2,8769 3,3098 3,6636 3,8913 3,9670 3,8928 3,6961 3,4181 3,1024 2,7871 2,5018 2,2660 2,0867 1,9540 1,8398 1,7055 1,5145 1,2450 0,8952 0,4785 0,0149 -0,4741 -0,9655 -1,4348 -1,8624 -2,2389 -2,5643 -2,8448 -3,0877 -3,2985 -3,4765 -3,6097 -3,6776 -3,6630 -3,5625 -3,3848 -3,1412 -2,8352 -2,4594 -2,0012 -1,4579 -0,8487 -0,2116 0,4086 0,9727 1,4538 1,8398 2,1326 2,3494 2,5211 2,6803 2,8456 3,0191 3,1939 3,3625 3,5218 3,6736 3,8206 3,9622 4,0915 4,1940 4,2489 4,2340 4,1315 3,9328 3,6415 3,2726 2,8468 2,3895 1,9349 1,5261 1,2036 0,9914 0,8891 0,8726 0,9010 0,9293 0,9221 0,8604 0,7414 0,5725 0,3618 0,1117 -0,1784 -0,5041 -0,8493 -1,1876 -1,4906 -1,7366 -1,9160 -2,0304 -2,0861 -2,0900 -2,0524 -1,9914 -1,9304 -1,8880 -1,8691 -1,8653 -1,8629 -1,8552 -1,8509 -1,8743 -1,9575 -2,1284 -2,3989 -2,7579 -3,1735 -3,6045 -4,0109 -4,3560 -4,6066 -4,7390 -4,7477 -4,6445 -4,4487 -4,1796 -3,8553 -3,4946 -3,1169 -2,7397 -2,3754 -2,0299 -1,7078 -1,4193 -1,1835 -1,0253 -0,9698 -1,0364 -1,2309 -1,5361 -1,9122 -2,3091 -2,6807 -2,9905
F3    0,1633 -0,1707 -0,2852 -0,1645 0,1394 0,5240 0,8750 1,1117 1,2169 1,2363 1,2460 1,3106 1,4495 1,6254 1,7629 1,7875 1,6623 1,3983 1,0335 0,6046 0,1452 -0,2983 -0,6640 -0,8986 -0,9849 -0,9490 -0,8439 -0,7261 -0,6365 -0,5889 -0,5720 -0,5691 -0,5717 -0,5827 -0,6144 -0,6854 -0,8084 -0,9756 -1,1515 -1,2887 -1,3543 -1,3359 -1,2276 -1,0245 -0,7360 -0,3937 -0,0384 0,3026 0,6231 0,9223 1,1887 1,4022 1,5505 1,6373 1,6742 1,6636 1,5926 1,4469 1,2258 0,9412 0,6159 0,2894 0,0107 -0,1889 -0,3176 -0,4206 -0,5558 -0,7647 -1,0567 -1,4101 -1,7802 -2,1155 -2,3836 -2,5815 -2,7202 -2,7995 -2,7963 -2,6781 -2,4281 -2,0599 -1,6133 -1,1429 -0,7034 -0,3374 -0,0722 0,0750 0,0954 -0,0062 -0,2144 -0,5128 -0,8898 -1,3319 -1,8119 -2,2872 -2,7094 -3,0408 -3,2658 -3,3917 -3,4303 -3,3772 -3,2138 -2,9355 -2,5742 -2,2000 -1,9035 -1,7662 -1,8366 -2,1265 -2,6235 -3,2996 -4,1064 -4,9663 -5,7773 -6,4291 -6,8243 -6,8993 -6,6402 -6,0854 -5,3077 -4,3888 -3,3992 -2,3900 -1,3972 -0,4474 0,4378 1,2369 1,9297 2,5084 2,9880 3,3979 3,7607 4,0811 4,3561 4,5913 4,8041 5,0164 5,2508 5,5280 5,8629 6,2588 6,7064 7,1855 7,6673 8,1210 8,5316 8,9166 9,3185 9,7730 10,2769 10,7862 11,2384 11,5783 11,7690 11,7921 11,6477 11,3581 10,9620 10,5012 10,0142 9,5387 9,1092 8,7507 8,4822 8,3225 8,2891 8,3866 8,5990 8,8859 9,1811 9,4028 9,4800 9,3799 9,1186 8,7562 8,3742 8,0451 7,8119 7,6843 7,6456 7,6666 7,7191 7,7823 7,8402 7,8798 7,8895 7,8570 7,7611 7,5706 7,2578 6,8166 6,2729 5,6845 5,1281 4,6826 4,4153 4,3655 4,5308 4,8693 5,3161 5,8006 6,2567 6,6286 6,8770 6,9882 6,9775 6,8821 6,7433 6,5933 6,4531 6,3349 6,2402 6,1641 6,1076 6,0833 6,1019 6,1559 6,2239 6,2961 6,3855 6,5113 6,6773 6,8680 7,0564 7,2152 7,3283 7,3916 7,4050 7,3695 7,2943 7,2032 7,1299 7,1024 7,1284 7,1975 7,2912 7,3865 7,4528 7,4575 7,3836 7,2424 7,0705 6,9167 6,8234 6,8120 6,8803 7,0078 7,1616 7,3038 7,4067 7,4643 7,4891 7,4987 7,5046 7,5020 7,4677 7,3794 7,2410 7,0873 6,9695 6,9411 7,0432 7,2884 7,6523 8,0788 8,4960 8,8385 9,0693 9,1857 9,2083 9,1595 9,0488 8,8717 8,6147 8,2591 7,7871 7,1944 6,5089 5,7985 5,1582 4,6775 4,4123 4,3737 4,5279 4,8146 5,1782 5,5858 6,0197 6,4557 6,8525 7,1626 7,3502 7,3930 7,2734 6,9803 6,5247 5,9564 5,3611 4,8371 4,4690 4,3133 4,3855 4,6482 5,0220 5,4206 5,7800 6,0643 6,2586 6,3578 6,3612 6,2758 6,1226 5,9406 5,7844 5,7101 5,7505 5,8910 6,0685 6,1997 6,2213 6,1170 5,9193 5,6851 5,4592 5,2527 5,0477 4,8148 4,5340 4,2121 3,8856 3,6023 3,3973 3,2827 3,2586 3,3257 3,4823 3,7190 4,0221 4,3761 4,7595 5,1391 5,4693 5,7014 5,8034 5,7788 5,6631 5,4959 5,2993 5,0805 4,8461 4,6117 4,4026 4,2475 4,1710 4,1900 4,3120 4,5305 4,8228 5,1502 5,4616 5,7078 5,8583 5,9057 5,8589 5,7390 5,5783 5,4143 5,2778 5,1861 5,1488 5,1821 5,3137 5,5698 5,9550 6,4406 6,9667 7,4573 7,8439 8,0881 8,1924 8,1863 8,1003 7,9503 7,7408 7,4757 7,1657 6,8251 6,4662 6,1018 5,7513 5,4405 5,2007 5,0627 5,0391 5,1161 5,2662 5,4631 5,6812 5,8897 6,0530 6,1426 6,1476 6,0723 5,9277 5,7263 5,4833 5,2183 4,9567 4,7248 4,5371 4,3907 4,2763 4,1914 4,1415 4,1329 4,1647 4,2227 4,2855 4,3387 4,3819 4,4202 4,4503 4,4561 4,4170 4,3209 4,1712 3,9849 3,7866 3,6003 3,4401 3,3103 3,2171 3,1760 3,2060 3,3150 3,4881 3,6937 3,9064 4,1251 4,3672 4,6437 4,9344 5,1856 5,3311 5,3223 5,1474 4,8272 4,3986 3,9002 3,3690 2,8468 2,3806 2,0077 1,7391 1,5611 1,4456 1,3579 1,2684 1,1697 1,0775 1,0151 0,9999 1,0410 1,1434 1,3123 1,5530 1,8660 2,2360 2,6232 2,9674 3,2094 3,3171 3,2937 3,1618 2,9437 2,6528 2,3019 1,9158 1,5290 1,1689 0,8425 0,5394 0,2425 -0,0603 -0,3687 -0,6775 -0,9908 -1,3210 -1,6657 -1,9980 -2,2847 -2,5110 -2,6862 -2,8357 -2,9961 -3,2088 -3,5005 -3,8618 -4,2417 -4,5665 -4,7654 -4,7846 -4,5897 -4,1690 -3,5361 -2,7293 -1,8074 -0,8473 0,0645 0,8503 1,4656 1,9097 2,2142 2,4195 2,5591 2,6566 2,7279 2,7850 2,8440 2,9267 3,0483 3,2079 3,3926 3,5910 3,8022 4,0305 4,2699 4,4932 4,6575 4,7232 4,6695 4,4939 4,1979 3,7773 3,2396 2,6302 2,0298 1,5157 1,1266 0,8611 0,6969 0,6092 0,5802 0,5983 0,6522 0,7280 0,8125 0,8928 0,9508 0,9642 0,9213 0,8308 0,7094 0,5625 0,3786 0,1398 -0,1649 -0,5288 -0,9311 -1,3480 -1,7583 -2,1349 -2,4393 -2,6321 -2,6919 -2,6261 -2,4671 -2,2635 -2,0734 -1,9577 -1,9670 -2,1244 -2,4182 -2,8098 -3,2506 -3,6944 -4,1017 -4,4401 -4,6905 -4,8495 -4,9228 -4,9081 -4,7864 -4,5328 -4,1378 -3,6184 -3,0084 -2,3450 -1,6691 -1,0277 -0,4641 -0,0100 0,3118 0,4765 0,4593 0,2518 -0,1274 -0,6348 -1,2101 -1,7853 -2,2955
F7    -0,2590 -0,0989 0,0957 0,3119 0,5394 0,7688 0,9892 1,1875 1,3534 1,4834 1,5801 1,6458 1,6752 1,6514 1,5510 1,3540 1,0524 0,6589 0,2169 -0,2016 -0,5186 -0,6784 -0,6659 -0,5105 -0,2753 -0,0348 0,1494 0,2441 0,2457 0,1696 0,0344 -0,1481 -0,3703 -0,6227 -0,8953 -1,1805 -1,4661 -1,7234 -1,9079 -1,9761 -1,9030 -1,6860 -1,3460 -0,9289 -0,5006 -0,1305 0,1312 0,2726 0,3242 0,3421 0,3786 0,4593 0,5834 0,7384 0,9123 1,0949 1,2730 1,4292 1,5402 1,5744 1,4985 1,2941 0,9698 0,5576 0,1014 -0,3537 -0,7723 -1,1411 -1,4680 -1,7641 -2,0243 -2,2252 -2,3379 -2,3446 -2,2494 -2,0787 -1,8696 -1,6578 -1,4726 -1,3325 -1,2358 -1,1586 -1,0669 -0,9305 -0,7366 -0,5004 -0,2653 -0,0806 0,0256 0,0574 0,0414 0,0058 -0,0430 -0,1262 -0,2726 -0,4958 -0,7934 -1,1593 -1,5887 -2,0721 -2,5871 -3,0962 -3,5524 -3,9099 -4,1412 -4,2501 -4,2728 -4,2649 -4,2838 -4,3702 -4,5308 -4,7347 -4,9288 -5,0623 -5,1021 -5,0355 -4,8674 -4,6203 -4,3297 -4,0273 -3,7219 -3,3942 -3,0071 -2,5190 -1,8953 -1,1227 -0,2204 0,7583 1,7347 2,6211 3,3486 3,8897 4,2606 4,5064 4,6840 4,8445 5,0187 5,2158 5,4305 5,6507 5,8633 6,0638 6,2656 6,4958 6,7784 7,1197 7,5056 7,9057 8,2809 8,5965 8,8366 9,0043 9,1067 9,1440 9,1108 9,0021 8,8200 8,5796 8,3119 8,0554 7,8405 7,6762 7,5499 7,4370 7,3119 7,1573 6,9685 6,7492 6,5023 6,2288 5,9341 5,6343 5,3573 5,1372 5,0024 4,9620 5,0015 5,0930 5,2076 5,3232 5,4211 5,4819 5,4871 5,4278 5,3099 5,1509 4,9671 4,7645 4,5386 4,2798 3,9779 3,6303 3,2530 2,8805 2,5529 2,2971 2,1208 2,0206 1,9894 2,0134 2,0692 2,1285 2,1643 2,1529 2,0775 1,9365 1,7516 1,5628 1,4117 1,3236 1,3041 1,3499 1,4657 1,6687 1,9687 2,3432 2,7362 3,0839 3,3381 3,4712 3,4755 3,3656 3,1745 2,9402 2,6894 2,4263 2,1377 1,8123 1,4577 1,1055 0,8061 0,6119 0,5552 0,6395 0,8475 1,1518 1,5143 1,8846 2,2120 2,4614 2,6207 2,6948 2,6939 2,6262 2,4993 2,3274 2,1298 1,9197 1,6972 1,4586 1,2114 0,9823 0,8096 0,7244 0,7327 0,8151 0,9474 1,1186 1,3260 1,5610 1,8072 2,0503 2,2824 2,5001 2,7005 2,8816 3,0461 3,2020 3,3545 3,4915 3,5786 3,5740 3,4487 3,1957 2,8260 2,3611 1,8333 1,2904 0,7970 0,4229 0,2211 0,2052 0,3378 0,5445 0,7457 0,8893 0,9576 0,9557 0,8977 0,8006 0,6807 0,5508 0,4224 0,3125 0,2464 0,2480 0,3262 0,4676 0,6409 0,8106 0,9495 1,0466 1,1072 1,1442 1,1643 1,1636 1,1331 1,0666 0,9661 0,8444 0,7197 0,6036 0,4999 0,4142 0,3568 0,3331 0,3328 0,3287 0,2911 0,2029 0,0652 -0,1095 -0,3121 -0,5468 -0,8248 -1,1426 -1,4669 -1,7469 -1,9404 -2,0276 -2,0024 -1,8610 -1,5970 -1,2076 -0,7112 -0,1570 0,3867 0,8532 1,1892 1,3587 1,3460 1,1573 0,8183 0,3697 -0,1353 -0,6392 -1,0883 -1,4386 -1,6640 -1,7583 -1,7274 -1,5744 -1,2974 -0,9051 -0,4322 0,0618 0,5144 0,8831 1,1499 1,3127 1,3775 1,3543 1,2542 1,0918 0,8904 0,6806 0,4908 0,3416 0,2461 0,2124 0,2446 0,3383 0,4812 0,6548 0,8371 1,0050 1,1343 1,2020 1,1956 1,1232 1,0100 0,8834 0,7626 0,6613 0,5913 0,5552 0,5408 0,5255 0,4920 0,4427 0,4030 0,4064 0,4719 0,5893 0,7235 0,8306 0,8722 0,8265 0,6924 0,4888 0,2444 -0,0142 -0,2662 -0,4936 -0,6816 -0,8222 -0,9136 -0,9572 -0,9576 -0,9258 -0,8776 -0,8268 -0,7760 -0,7150 -0,6309 -0,5250 -0,4208 -0,3533 -0,3498 -0,4202 -0,5572 -0,7395 -0,9345 -1,1024 -1,2060 -1,2235 -1,1517 -1,0054 -0,8162 -0,6260 -0,4706 -0,3666 -0,3111 -0,2926 -0,3023 -0,3377 -0,4024 -0,5108 -0,6857 -0,9442 -1,2787 -1,6532 -2,0160 -2,3162 -2,5176 -2,6073 -2,5951 -2,5076 -2,3795 -2,2386 -2,0943 -1,9473 -1,8099 -1,7152 -1,7061 -1,8189 -2,0654 -2,4179 -2,8074 -3,1419 -3,3365 -3,3370 -3,1298 -2,7412 -2,2321 -1,6845 -1,1785 -0,7677 -0,4740 -0,3012 -0,2482 -0,3116 -0,4829 -0,7473 -1,0869 -1,4833 -1,9157 -2,3579 -2,7797 -3,1558 -3,4730 -3,7327 -3,9483 -4,1396 -4,3259 -4,5210 -4,7300 -4,9451 -5,1482 -5,3223 -5,4605 -5,5634 -5,6346 -5,6853 -5,7362 -5,8056 -5,8941 -5,9831 -6,0478 -6,0669 -6,0221 -5,8949 -5,6679 -5,3262 -4,8618 -4,2813 -3,6092 -2,8867 -2,1652 -1,4941 -0,9113 -0,4430 -0,1031 0,1178 0,2635 0,4009 0,5885 0,8494 1,1620 1,4738 1,7282 1,8903 1,9536 1,9344 1,8606 1,7612 1,6581 1,5631 1,4789 1,4016 1,3230 1,2315 1,1138 0,9621 0,7832 0,5950 0,4158 0,2539 0,1036 -0,0524 -0,2312 -0,4338 -0,6503 -0,8804 -1,1402 -1,4451 -1,7870 -2,1293 -2,4193 -2,6100 -2,6761 -2,6234 -2,4892 -2,3335 -2,2201 -2,1968 -2,2842 -2,4753 -2,7456 -3,0654 -3,4075 -3,7447 -4,0439 -4,2699 -4,3978 -4,4246 -4,3729 -4,2842 -4,2013 -4,1510 -4,1409 -4,1654 -4,2132 -4,2705 -4,3208 -4,3446 -4,3319 -4,2931 -4,2539 -4,2362 -4,2439 -4,2561 -4,2296 -4,1161 -3,8853 -3,5420 -3,1268 -2,7028 -2,3346 -2,0691 -1,9271 -1,9093 -2,0089 -2,2214 -2,5417 -2,9544 -3,4211 -3,8776 -4,2490 -4,4738
