Fp1   -0,2321 -0,3510 -0,4364 -0,5008 -0,5471 -0,5601 -0,5058 -0,3544 -0,1086 0,1833 0,4308 0,5256 0,3893 0,0219 -0,4769 -0,9273 -1,1333 -0,9646 -0,4216 0,3500 1,1176 1,6759 1,9325 1,9006 1,6393 1,2265 0,7596 0,3353 0,0148 -0,1811 -0,2577 -0,2488 -0,2229 -0,2500 -0,3531 -0,5006 -0,6435 -0,7494 -0,8116 -0,8472 -0,8918 -0,9689 -1,0435 -1,0169 -0,7877 -0,3209 0,3306 1,0453 1,6695 2,0671 2,1699 1,9961 1,6301 1,1861 0,7638 0,4154 0,1549 -0,0130 -0,0905 -0,1004 -0,0834 -0,0819 -0,1279 -0,2356 -0,3987 -0,5888 -0,7502 -0,8084 -0,7100 -0,4649 -0,1585 0,0726 0,0990 -0,1339 -0,5854 -1,1543 -1,7210 -2,1755 -2,4454 -2,5158 -2,4241 -2,2356 -2,0127 -1,7889 -1,5637 -1,3122 -0,9955 -0,5851 -0,1126 0,3011 0,4964 0,3821 0,0057 -0,4771 -0,9005 -1,1664 -1,2585 -1,2218 -1,1482 -1,1568 -1,3400 -1,7040 -2,1563 -2,5482 -2,7382 -2,6376 -2,2259 -1,5481 -0,7059 0,1617 0,8986 1,3601 1,4618 1,2228 0,7562 0,2121 -0,2813 -0,6544 -0,9040 -1,0780 -1,2456 -1,4655 -1,7713 -2,1647 -2,6118 -3,0648 -3,4914 -3,8726 -4,1895 -4,4393 -4,6515 -4,8572 -5,0414 -5,1466 -5,1262 -4,9781 -4,7327 -4,4328 -4,1339 -3,9070 -3,8256 -3,9462 -4,2867 -4,8061 -5,4040 -5,9415 -6,2769 -6,3123 -6,0240 -5,4417 -4,6067 -3,5740 -2,4398 -1,3264 -0,3299 0,5036 1,1536 1,5940 1,7960 1,7587 1,5354 1,2326 0,9786 0,8817 0,9988 1,3234 1,7965 2,3341 2,8576 3,3197 3,7165 4,0650 4,3669 4,6093 4,8049 5,0132 5,3052 5,7085 6,1981 6,7277 7,2489 7,7125 8,0765 8,3185 8,4321 8,4154 8,2848 8,1024 7,9685 7,9725 8,1382 8,4082 8,6869 8,9105 9,0828 9,2513 9,4631 9,7457 10,1091 10,5407 11,0031 11,4489 11,8441 12,1792 12,4599 12,6811 12,8083 12,7829 12,5555 12,1269 11,5672 10,9992 10,5553 10,3287 10,3462 10,5709 10,9197 11,2860 11,5812 11,7851 11,9625 12,2217 12,6527 13,2945 14,1239 15,0486 15,9247 16,6118 17,0252 17,1444 16,9925 16,6178 16,0824 15,4484 14,7658 14,0749 13,4201 12,8514 12,4007 12,0631 11,8018 11,5737 11,3656 11,2134 11,1840 11,3413 11,7181 12,2928 12,9821 13,6647 14,2179 14,5387 14,5616 14,2916 13,8237 13,3039 12,8523 12,5130 12,2646 12,0629 11,8691 11,6541 11,4005 11,1104 10,8030 10,5050 10,2407 10,0091 9,7696 9,4764 9,1388 8,8474 8,7268 8,8474 9,1739 9,5941 9,9851 10,2603 10,3863 10,3808 10,3010 10,2196 10,1808 10,1697 10,1342 10,0287 9,8361 9,5698 9,2642 8,9592 8,6973 8,5232 8,4715 8,5591 8,7813 9,1047 9,4715 9,8211 10,1027 10,2777 10,3332 10,2969 10,2321 10,2135 10,2931 10,4757 10,7305 11,0197 11,3016 11,5143 11,5813 11,4514 11,1289 10,6573 10,0748 9,4040 8,6880 8,0071 7,4432 7,0380 6,7928 6,7085 6,8169 7,1639 7,7610 8,5463 9,3753 10,0571 10,4335 10,4463 10,1361 9,5898 8,8984 8,1533 7,4540 6,9004 6,5725 6,5020 6,6457 6,8888 7,1031 7,2265 7,2949 7,3982 7,5939 7,8508 8,0778 8,1946 8,1669 8,0000 7,7240 7,3818 7,0125 6,6449 6,3096 6,0488 5,9047 5,8990 6,0307 6,2905 6,6570 7,0728 7,4522 7,7281 7,8822 7,9330 7,9162 7,8675 7,7994 7,6864 7,4794 7,1424 6,6875 6,1824 5,7305 5,4346 5,3544 5,4750 5,7125 5,9631 6,1591 6,2880 6,3652 6,3960 6,3700 6,2849 6,1611 6,0277 5,8900 5,7086 5,4290 5,0493 4,6490 4,3495 4,2485 4,3806 4,7091 5,1486 5,6092 6,0256 6,3552 6,5680 6,6412 6,5599 6,3274 5,9774 5,5670 5,1486 4,7483 4,3750 4,0375 3,7518 3,5542 3,5120 3,6900 4,0784 4,5585 4,9541 5,1205 4,9930 4,5799 3,9377 3,1666 2,4095 1,8143 1,4842 1,4704 1,7796 2,3580 3,0726 3,7288 4,1353 4,1965 3,9734 3,6561 3,4568 3,4943 3,7514 4,1209 4,4807 4,7364 4,8223 4,6963 4,3546 3,8436 3,2449 2,6444 2,1091 1,6833 1,4015 1,2938 1,3818 1,6762 2,1622 2,7750 3,3954 3,8760 4,0818 3,9244 3,3829 2,5231 1,4987 0,5064 -0,2913 -0,8304 -1,1494 -1,3314 -1,4501 -1,5651 -1,7443 -2,0555 -2,5060 -2,9873 -3,3037 -3,2657 -2,7742 -1,8613 -0,6805 0,5532 1,6300 2,3783 2,6869 2,5314 1,9748 1,1340 0,1556 -0,7950 -1,5617 -2,0465 -2,2358 -2,1817 -1,9645 -1,6646 -1,3474 -1,0599 -0,8397 -0,7219 -0,7318 -0,8748 -1,1334 -1,4760 -1,8744 -2,3177 -2,8116 -3,3568 -3,9184 -4,4200 -4,7718 -4,9119 -4,8419 -4,6373 -4,4183 -4,2932 -4,3034 -4,4063 -4,5133 -4,5604 -4,5548 -4,5509 -4,5846 -4,6442 -4,6970 -4,7221 -4,7129 -4,6591 -4,5456 -4,3806 -4,2151 -4,1250 -4,1672 -4,3402 -4,5797 -4,8097 -5,0061 -5,1966 -5,3982 -5,5745 -5,6520 -5,5685 -5,3119 -4,9279 -4,4983 -4,0995 -3,7624 -3,4643 -3,1644 -2,8534 -2,5686 -2,3560 -2,2245 -2,1431 -2,0815 -2,0477 -2,0955 -2,2936 -2,6665 -3,1453 -3,5875 -3,8675 -3,9562 -3,9181 -3,8435 -3,7872 -3,7545 -3,7144 -3,6174 -3,4210 -3,1178 -2,7458 -2,3713 -2,0662 -1,8944 -1,9010 -2,0996 -2,4709 -2,9700 -3,5412 -4,1426 -4,7608 -5,3924 -6,0119 -6,5525 -6,9195 -7,0317 -6,8607 -6,4358 -5,8171 -5,0669 -4,2501 -3,4555 -2,7929 -2,3523 -2,1587 -2,1620 -2,2728 -2,4134 -2,5533 -2,7087 -2,9146 -3,1848
Fz    1,2932 1,2425 1,1253 0,9533 0,7643 0,6079 0,5206 0,5099 0,5569 0,6293 0,6903 0,7053 0,6552 0,5518 0,4374 0,3620 0,3501 0,3830 0,4084 0,3710 0,2421 0,0344 -0,2043 -0,4172 -0,5641 -0,6281 -0,6117 -0,5350 -0,4294 -0,3259 -0,2463 -0,2005 -0,1865 -0,1922 -0,2006 -0,1974 -0,1740 -0,1331 -0,0921 -0,0764 -0,1130 -0,2231 -0,4056 -0,6265 -0,8342 -0,9925 -1,0991 -1,1725 -1,2298 -1,2830 -1,3424 -1,4068 -1,4546 -1,4560 -1,3977 -1,2976 -1,1930 -1,1170 -1,0837 -1,0860 -1,1027 -1,1129 -1,1078 -1,0938 -1,0839 -1,0840 -1,0863 -1,0793 -1,0630 -1,0517 -1,0656 -1,1267 -1,2539 -1,4458 -1,6716 -1,8847 -2,0465 -2,1392 -2,1691 -2,1672 -2,1814 -2,2516 -2,3785 -2,5134 -2,5853 -2,5400 -2,3619 -2,0758 -1,7407 -1,4362 -1,2353 -1,1715 -1,2274 -1,3556 -1,5087 -1,6551 -1,7779 -1,8691 -1,9296 -1,9683 -1,9943 -2,0100 -2,0089 -1,9719 -1,8747 -1,7076 -1,4840 -1,2307 -0,9731 -0,7308 -0,5170 -0,3361 -0,1779 -0,0214 0,1542 0,3540 0,5584 0,7242 0,7954 0,7148 0,4416 -0,0256 -0,6378 -1,3098 -1,9553 -2,5200 -2,9829 -3,3388 -3,5984 -3,8018 -4,0111 -4,2810 -4,6304 -5,0335 -5,4321 -5,7645 -5,9897 -6,0906 -6,0649 -5,9269 -5,7103 -5,4556 -5,1866 -4,8989 -4,5707 -4,1840 -3,7390 -3,2578 -2,7828 -2,3705 -2,0714 -1,9078 -1,8627 -1,8827 -1,8953 -1,8337 -1,6587 -1,3664 -0,9856 -0,5682 -0,1681 0,1809 0,4755 0,7374 1,0002 1,2943 1,6298 1,9897 2,3412 2,6552 2,9187 3,1331 3,3044 3,4431 3,5730 3,7310 3,9524 4,2561 4,6417 5,0854 5,5404 5,9553 6,2994 6,5711 6,7885 6,9742 7,1475 7,3205 7,4923 7,6459 7,7524 7,7823 7,7238 7,5983 7,4550 7,3472 7,3117 7,3623 7,4846 7,6338 7,7571 7,8259 7,8441 7,8328 7,8134 7,7966 7,7813 7,7621 7,7367 7,7047 7,6588 7,5900 7,5044 7,4300 7,4060 7,4686 7,6362 7,8992 8,2239 8,5664 8,8833 9,1353 9,2940 9,3536 9,3351 9,2750 9,2095 9,1619 9,1382 9,1297 9,1200 9,0991 9,0760 9,0714 9,0975 9,1476 9,2019 9,2371 9,2316 9,1723 9,0583 8,8987 8,7095 8,5177 8,3629 8,2848 8,3029 8,4018 8,5326 8,6339 8,6567 8,5808 8,4185 8,2086 7,9992 7,8283 7,7105 7,6385 7,5916 7,5443 7,4713 7,3545 7,1972 7,0276 6,8846 6,7973 6,7756 6,8030 6,8364 6,8217 6,7206 6,5325 6,2953 6,0661 5,8969 5,8167 5,8201 5,8729 5,9361 5,9850 6,0096 6,0082 5,9828 5,9336 5,8643 5,7944 5,7526 5,7567 5,8005 5,8545 5,8852 5,8830 5,8694 5,8798 5,9414 6,0592 6,2177 6,3940 6,5718 6,7443 6,9060 7,0434 7,1413 7,1921 7,1969 7,1621 7,0981 7,0152 6,9159 6,7944 6,6419 6,4506 6,2199 5,9636 5,7082 5,4858 5,3273 5,2486 5,2368 5,2546 5,2618 5,2374 5,1925 5,1600 5,1671 5,2170 5,2910 5,3621 5,4103 5,4233 5,3865 5,2838 5,1143 4,9029 4,6899 4,5142 4,4034 4,3670 4,3887 4,4283 4,4412 4,4070 4,3405 4,2779 4,2500 4,2689 4,3369 4,4541 4,6091 4,7751 4,9265 5,0509 5,1457 5,2127 5,2562 5,2825 5,2958 5,2923 5,2563 5,1664 5,0059 4,7682 4,4688 4,1635 3,9405 3,8762 3,9961 4,2702 4,6312 4,9964 5,2894 5,4629 5,5143 5,4796 5,4106 5,3519 5,3261 5,3287 5,3301 5,2892 5,1771 4,9939 4,7681 4,5428 4,3561 4,2258 4,1456 4,0952 4,0500 3,9846 3,8793 3,7301 3,5498 3,3611 3,1920 3,0672 2,9917 2,9461 2,9028 2,8454 2,7766 2,7130 2,6696 2,6463 2,6322 2,6203 2,6102 2,6008 2,5849 2,5528 2,4969 2,4131 2,3030 2,1746 2,0386 1,9070 1,7888 1,6872 1,6006 1,5249 1,4527 1,3728 1,2803 1,1872 1,1156 1,0815 1,0903 1,1391 1,2204 1,3208 1,4163 1,4754 1,4760 1,4201 1,3393 1,2840 1,2899 1,3492 1,4214 1,4669 1,4630 1,3985 1,2712 1,0956 0,9055 0,7387 0,6174 0,5374 0,4706 0,3775 0,2258 0,0099 -0,2428 -0,4872 -0,6834 -0,8114 -0,8730 -0,8858 -0,8805 -0,8974 -0,9694 -1,1028 -1,2803 -1,4770 -1,6703 -1,8391 -1,9661 -2,0442 -2,0787 -2,0840 -2,0827 -2,0989 -2,1490 -2,2385 -2,3574 -2,4729 -2,5358 -2,5055 -2,3734 -2,1694 -1,9528 -1,7862 -1,7094 -1,7286 -1,8215 -1,9487 -2,0683 -2,1525 -2,1999 -2,2363 -2,2981 -2,4082 -2,5668 -2,7598 -2,9623 -3,1377 -3,2547 -3,3151 -3,3607 -3,4519 -3,6349 -3,9255 -4,3119 -4,7588 -5,2104 -5,6024 -5,8838 -6,0350 -6,0728 -6,0412 -5,9952 -5,9828 -6,0284 -6,1248 -6,2433 -6,3514 -6,4258 -6,4549 -6,4348 -6,3683 -6,2743 -6,1876 -6,1355 -6,1137 -6,0951 -6,0578 -5,9986 -5,9252 -5,8488 -5,7879 -5,7648 -5,7903 -5,8563 -5,9439 -6,0321 -6,1040 -6,1538 -6,1869 -6,2103 -6,2263 -6,2311 -6,2178 -6,1744 -6,0834 -5,9294 -5,7131 -5,4578 -5,2031 -4,9913 -4,8539 -4,8027 -4,8316 -4,9220 -5,0383 -5,1245 -5,1232 -5,0032 -4,7738 -4,4835 -4,2075 -4,0259 -3,9961 -4,1305 -4,3904 -4,6993 -4,9720 -5,1487 -5,2165 -5,2103 -5,1947 -5,2340 -5,3627 -5,5723 -5,8187 -6,0431 -6,1931 -6,2334 -6,1544 -5,9802 -5,7659 -5,5780 -5,4640 -5,4331 -5,4612 -5,5104 -5,5430 -5,5284 -5,4546 -5,3400 -5,2310 -5,1787 -5,2144 -5,3403 -5,5342 -5,7562 -5,9577 -6,1010 -6,1810 -6,2295 -6,2964
F3    1,1138 0,9686 0,7598 0,5202 0,3084 0,1832 0,1743 0,2695 0,4278 0,5993 0,7390 0,8164 0,8240 0,7832 0,7369 0,7203 0,7285 0,7169 0,6316 0,4404 0,1473 -0,2080 -0,5658 -0,8705 -1,0873 -1,2020 -1,2112 -1,1191 -0,9449 -0,7285 -0,5160 -0,3353 -0,1870 -0,0521 0,0943 0,2740 0,5011 0,7710 1,0432 1,2435 1,2901 1,1206 0,7160 0,1154 -0,5860 -1,2660 -1,8242 -2,2108 -2,4149 -2,4492 -2,3460 -2,1449 -1,8756 -1,5599 -1,2265 -0,9197 -0,6867 -0,5528 -0,5096 -0,5253 -0,5641 -0,6013 -0,6233 -0,6238 -0,6042 -0,5699 -0,5246 -0,4774 -0,4592 -0,5176 -0,6883 -0,9747 -1,3532 -1,7812 -2,1913 -2,4961 -2,6219 -2,5512 -2,3378 -2,0834 -1,8926 -1,8284 -1,8812 -1,9702 -1,9869 -1,8502 -1,5408 -1,1076 -0,6519 -0,2907 -0,1120 -0,1413 -0,3419 -0,6392 -0,9522 -1,2195 -1,4130 -1,5337 -1,5981 -1,6230 -1,6117 -1,5566 -1,4518 -1,2999 -1,1111 -0,9076 -0,7230 -0,5805 -0,4761 -0,3907 -0,3099 -0,2189 -0,0917 0,0976 0,3507 0,6400 0,9256 1,1708 1,3394 1,3848 1,2631 0,9650 0,5340 0,0492 -0,4174 -0,8351 -1,2027 -1,5162 -1,7704 -1,9879 -2,2228 -2,5322 -2,9409 -3,4266 -3,9289 -4,3772 -4,7207 -4,9408 -5,0446 -5,0589 -5,0169 -4,9328 -4,7884 -4,5456 -4,1720 -3,6604 -3,0343 -2,3436 -1,6588 -1,0576 -0,6081 -0,3523 -0,2936 -0,3901 -0,5653 -0,7325 -0,8138 -0,7498 -0,5153 -0,1386 0,2995 0,7052 1,0232 1,2585 1,4593 1,6802 1,9486 2,2537 2,5587 2,8202 3,0090 3,1290 3,2172 3,3258 3,5038 3,7828 4,1658 4,6298 5,1409 5,6604 6,1425 6,5462 6,8496 7,0539 7,1800 7,2627 7,3418 7,4512 7,6066 7,7929 7,9630 8,0574 8,0402 7,9235 7,7596 7,6068 7,5043 7,4699 7,5046 7,5932 7,7131 7,8447 7,9722 8,0823 8,1672 8,2305 8,2852 8,3424 8,4037 8,4615 8,5022 8,5173 8,5204 8,5462 8,6282 8,7816 9,0069 9,2971 9,6298 9,9560 10,2089 10,3299 10,2904 10,0976 9,7881 9,4198 9,0589 8,7600 8,5560 8,4606 8,4667 8,5488 8,6799 8,8432 9,0261 9,2141 9,3950 9,5586 9,6889 9,7684 9,7852 9,7271 9,5815 9,3497 9,0569 8,7465 8,4609 8,2196 8,0082 7,7972 7,5737 7,3517 7,1591 7,0211 6,9512 6,9497 7,0007 7,0675 7,1022 7,0696 6,9591 6,7820 6,5738 6,3931 6,2956 6,3047 6,4098 6,5741 6,7420 6,8534 6,8610 6,7490 6,5433 6,2978 6,0637 5,8718 5,7350 5,6550 5,6198 5,5926 5,5145 5,3383 5,0602 4,7151 4,3579 4,0575 3,8854 3,8885 4,0691 4,3834 4,7534 5,0911 5,3298 5,4479 5,4685 5,4404 5,4190 5,4498 5,5570 5,7398 5,9696 6,1958 6,3682 6,4548 6,4435 6,3405 6,1711 5,9712 5,7707 5,5872 5,4270 5,2851 5,1542 5,0409 4,9695 4,9694 5,0569 5,2161 5,3897 5,5000 5,4911 5,3562 5,1338 4,8814 4,6424 4,4371 4,2730 4,1552 4,0901 4,0794 4,1095 4,1547 4,1967 4,2379 4,2942 4,3780 4,4863 4,6006 4,6941 4,7393 4,7144 4,6132 4,4564 4,2882 4,1502 4,0626 4,0353 4,0800 4,1974 4,3633 4,5385 4,6836 4,7651 4,7624 4,6746 4,5139 4,3001 4,0617 3,8260 3,6065 3,4024 3,2046 3,0147 2,8695 2,8351 2,9632 3,2566 3,6684 4,1184 4,5131 4,7749 4,8769 4,8576 4,7958 4,7665 4,8131 4,9414 5,1231 5,2980 5,3864 5,3209 5,0836 4,7226 4,3308 3,9961 3,7599 3,6148 3,5264 3,4548 3,3656 3,2388 3,0753 2,8913 2,7062 2,5393 2,4064 2,3114 2,2500 2,2203 2,2225 2,2523 2,3030 2,3659 2,4247 2,4606 2,4650 2,4460 2,4280 2,4404 2,5007 2,6041 2,7247 2,8278 2,8813 2,8600 2,7552 2,5841 2,3801 2,1695 1,9625 1,7670 1,6069 1,5217 1,5395 1,6461 1,7858 1,8935 1,9252 1,8748 1,7703 1,6479 1,5275 1,4121 1,2997 1,2015 1,1506 1,1721 1,2532 1,3567 1,4544 1,5303 1,5685 1,5585 1,5137 1,4694 1,4548 1,4651 1,4570 1,3714 1,1651 0,8263 0,3760 -0,1300 -0,6086 -0,9758 -1,1799 -1,2192 -1,1323 -0,9796 -0,8275 -0,7260 -0,6920 -0,7205 -0,8103 -0,9641 -1,1676 -1,3820 -1,5609 -1,6698 -1,6986 -1,6629 -1,5919 -1,5124 -1,4449 -1,4038 -1,3891 -1,3843 -1,3729 -1,3530 -1,3335 -1,3303 -1,3630 -1,4428 -1,5599 -1,6873 -1,7955 -1,8635 -1,8837 -1,8669 -1,8421 -1,8443 -1,8953 -1,9940 -2,1242 -2,2607 -2,3713 -2,4292 -2,4359 -2,4326 -2,4847 -2,6475 -2,9393 -3,3334 -3,7702 -4,1847 -4,5310 -4,7857 -4,9354 -4,9771 -4,9361 -4,8724 -4,8566 -4,9384 -5,1323 -5,4143 -5,7304 -6,0185 -6,2263 -6,3106 -6,2423 -6,0306 -5,7369 -5,4482 -5,2285 -5,0955 -5,0310 -5,0016 -4,9694 -4,9057 -4,8075 -4,7019 -4,6283 -4,6115 -4,6503 -4,7233 -4,8108 -4,9146 -5,0510 -5,2255 -5,4232 -5,6208 -5,8008 -5,9444 -6,0159 -5,9726 -5,7999 -5,5297 -5,2230 -4,9430 -4,7324 -4,5989 -4,5165 -4,4472 -4,3585 -4,2248 -4,0364 -3,8110 -3,5851 -3,3937 -3,2683 -3,2455 -3,3581 -3,6049 -3,9330 -4,2553 -4,4922 -4,6119 -4,6395 -4,6319 -4,6449 -4,7170 -4,8672 -5,0863 -5,3333 -5,5499 -5,6803 -5,6795 -5,5257 -5,2369 -4,8740 -4,5190 -4,2428 -4,0824 -4,0421 -4,1061 -4,2492 -4,4386 -4,6322 -4,7895 -4,8940 -4,9582 -5,0046 -5,0443 -5,0774 -5,1027 -5,1167 -5,1074 -5,0663 -5,0077 -4,9729
F7    0,2044 0,1578 0,0594 -0,1081 -0,3127 -0,4983 -0,6134 -0,6324 -0,5664 -0,4593 -0,3576 -0,2750 -0,1864 -0,0507 0,1619 0,4533 0,7825 1,0650 1,2020 1,1351 0,8865 0,5428 0,1983 -0,0867 -0,2938 -0,4286 -0,4954 -0,4908 -0,4152 -0,2770 -0,0881 0,1291 0,3319 0,4691 0,5072 0,4447 0,3088 0,1372 -0,0373 -0,1862 -0,2854 -0,3297 -0,3365 -0,3219 -0,2800 -0,2034 -0,1181 -0,0780 -0,1219 -0,2426 -0,3909 -0,5091 -0,5682 -0,5778 -0,5614 -0,5355 -0,5145 -0,5178 -0,5631 -0,6514 -0,7591 -0,8480 -0,8948 -0,9093 -0,9176 -0,9297 -0,9285 -0,8870 -0,7923 -0,6511 -0,4829 -0,3218 -0,2125 -0,1905 -0,2725 -0,4614 -0,7453 -1,0895 -1,4417 -1,7523 -1,9903 -2,1324 -2,1439 -1,9885 -1,6640 -1,2172 -0,7077 -0,1690 0,3789 0,8921 1,2987 1,5342 1,5780 1,4676 1,2819 1,0980 0,9478 0,8073 0,6210 0,3432 -0,0350 -0,4813 -0,9266 -1,2721 -1,4208 -1,3203 -0,9765 -0,4444 0,1834 0,7983 1,3083 1,6626 1,8581 1,9278 1,9148 1,8485 1,7413 1,6002 1,4224 1,1808 0,8356 0,3800 -0,1334 -0,6207 -1,0176 -1,3022 -1,4785 -1,5590 -1,5726 -1,5776 -1,6418 -1,8022 -2,0473 -2,3331 -2,6077 -2,8270 -2,9582 -2,9740 -2,8544 -2,6010 -2,2466 -1,8455 -1,4555 -1,1211 -0,8689 -0,7153 -0,6701 -0,7270 -0,8610 -1,0366 -1,2090 -1,3151 -1,2816 -1,0572 -0,6464 -0,1119 0,4607 1,0028 1,4757 1,8652 2,1786 2,4440 2,6957 2,9519 3,2074 3,4463 3,6533 3,8204 3,9554 4,0941 4,3046 4,6565 5,1612 5,7483 6,3183 6,8206 7,2753 7,7278 8,1904 8,6187 8,9331 9,0668 9,0038 8,7824 8,4711 8,1484 7,8957 7,7880 7,8659 8,1066 8,4225 8,7031 8,8787 8,9528 8,9782 9,0166 9,1238 9,3501 9,7203 10,2067 10,7378 11,2411 11,6753 12,0275 12,2974 12,4871 12,5996 12,6383 12,6025 12,4840 12,2738 11,9771 11,6262 11,2801 11,0077 10,8635 10,8689 11,0101 11,2563 11,5801 11,9634 12,3865 12,8165 13,2123 13,5363 13,7609 13,8763 13,8978 13,8596 13,7910 13,6990 13,5817 13,4528 13,3338 13,2252 13,0916 12,8785 12,5479 12,1077 11,6139 11,1474 10,7826 10,5610 10,4845 10,5300 10,6705 10,8843 11,1464 11,4132 11,6183 11,6922 11,6001 11,3671 11,0672 10,7813 10,5525 10,3703 10,1976 10,0134 9,8359 9,7106 9,6762 9,7372 9,8594 9,9819 10,0356 9,9661 9,7558 9,4353 9,0785 8,7724 8,5814 8,5286 8,5932 8,7153 8,8165 8,8319 8,7359 8,5459 8,3041 8,0544 7,8392 7,6977 7,6461 7,6708 7,7476 7,8491 7,9327 7,9381 7,8122 7,5499 7,2122 6,9045 6,7370 6,7901 7,0914 7,6060 8,2455 8,9019 9,4916 9,9661 10,2900 10,4321 10,3801 10,1491 9,7784 9,3206 8,8231 8,3157 7,8184 7,3571 6,9656 6,6782 6,5220 6,5057 6,6161 6,8341 7,1418 7,5056 7,8659 8,1562 8,3275 8,3617 8,2758 8,1139 7,9255 7,7344 7,5356 7,3353 7,1762 7,1079 7,1435 7,2530 7,3818 7,4731 7,4919 7,4453 7,3724 7,3133 7,2893 7,2985 7,3197 7,3259 7,3073 7,2802 7,2720 7,3079 7,4021 7,5455 7,6993 7,8103 7,8330 7,7399 7,5245 7,2086 6,8438 6,4903 6,1973 6,0151 6,0085 6,2215 6,6195 7,0936 7,5301 7,8633 8,0725 8,1584 8,1347 8,0220 7,8355 7,5790 7,2504 6,8548 6,4170 5,9856 5,6194 5,3631 5,2320 5,2057 5,2377 5,2787 5,2990 5,2992 5,3100 5,3704 5,4941 5,6542 5,8018 5,8985 5,9298 5,8948 5,8022 5,6791 5,5685 5,5048 5,4876 5,4829 5,4506 5,3782 5,2980 5,2671 5,3236 5,4503 5,5817 5,6566 5,6662 5,6449 5,6247 5,6116 5,6016 5,5948 5,5899 5,5779 5,5464 5,4856 5,3865 5,2356 5,0187 4,7348 4,4105 4,1029 3,8789 3,7828 3,8186 3,9459 4,0962 4,2084 4,2591 4,2596 4,2295 4,1774 4,1064 4,0260 3,9441 3,8647 3,8012 3,7759 3,8026 3,8792 3,9902 4,1059 4,1900 4,2173 4,1850 4,1076 4,0030 3,8855 3,7629 3,6363 3,5049 3,3749 3,2702 3,2371 3,3240 3,5411 3,8401 4,1356 4,3482 4,4328 4,3779 4,1965 3,9191 3,5805 3,1982 2,7585 2,2382 1,6531 1,0742 0,5906 0,2628 0,1094 0,1247 0,2941 0,5945 0,9950 1,4666 1,9852 2,5272 3,0618 3,5405 3,8946 4,0576 3,9935 3,7104 3,2581 2,7154 2,1679 1,6866 1,3191 1,0951 1,0382 1,1662 1,4747 1,9204 2,4265 2,9010 3,2482 3,3810 3,2491 2,8617 2,2865 1,6312 1,0076 0,4838 0,0680 -0,2568 -0,4951 -0,6350 -0,6641 -0,5821 -0,4118 -0,2033 -0,0168 0,1091 0,1690 0,1694 0,1075 -0,0189 -0,1868 -0,3465 -0,4554 -0,5050 -0,5138 -0,5041 -0,4905 -0,4773 -0,4578 -0,4226 -0,3735 -0,3274 -0,2988 -0,2791 -0,2389 -0,1525 -0,0139 0,1659 0,3685 0,5757 0,7713 0,9369 1,0536 1,1146 1,1402 1,1764 1,2624 1,3873 1,4914 1,5127 1,4270 1,2578 1,0680 0,9255 0,8608 0,8656 0,9269 1,0432 1,2104 1,4073 1,5955 1,7280 1,7688 1,7187 1,6228 1,5441 1,5221 1,5507 1,5920 1,6075 1,5747 1,4863 1,3525 1,2029 1,0735 0,9855 0,9397 0,9246 0,9241 0,9175 0,8871 0,8289 0,7497 0,6532 0,5408 0,4242 0,3268 0,2710 0,2656 0,3002 0,3416 0,3479 0,3027 0,2399 0,2321 0,3433 0,5836 0,9029 1,2252 1,4864 1,6466 1,6870
